	Excellent - we will be back	We have just spent 3 nights at this hotel and really enjoyed our stay. Reception area was very attractive and the Christmas trees were up which added to the ambience. Reception staff were very accommodating when we arrived 2 hours early they found us a double room right away. It was very spacious, clean, well decorated and there were nice products in the bathroom. We ate in the restaurant on the first night, the food was good and there was an exceptionally friendly Spanish waiter who was really helpful. Breakfast was excellent plenty of choice and something for everyone. There is a well equipped little gym with sauna which we intended to use but sadly we ran out of time. Gloucester Road tube station is only 3 mins walk away which made it easy for us to get around the capital. There are two good little pubs nearby and some shops and cafes. The only negative thing I have to say about the hotel is that the towels were really small and thin - it's about time they were changed for new fluffy BIG bath towels.	
Oct 10 2008 	Mixed Feelings	Booked the Harrington Hall through Easy Jet Web Site when booking flights from Scotland for a four night stay in the capital with my partner. Hotel is rated as 4 Star and the positive review comments on Trip Advisor and closeness to the Museums assisted in my decision. On arrival I had language difficulties with the reception staff and I am Scottish. The reception staff attempted to sell us an upgraded room which ww were told was available for £150 but we declined. Apart from that check in was quick and painless until we were allocated our room.We were unable to enter the room using the key cards and sought assistance form a member of staff only to find on opening the door it was already occupied.Back to reception and given apology and proper room. The room was spacious clean and very well furnished.It faced the rear of the hotel hence no view and was on the first floor but did have air conditioning which worked - See other traveller's reviews.It also had a flat screen television but the picture reception on the majority of the channels was below standardThere was tea and coffee making facilities and the bathroom was large and well appointed with a nice strong shower.Residents had to use the lifts as the stairs were at either end of the building meaning either a walk through the restaurant or the conference areas.There were a variety of complimentary morning and evening news papers in the foyer.Breakfast was charged at £17 per person which we avoided and visited a nearby cafe where tea and coffee with two free croissants was available for £3.50 a bargain indeed. There were many other nearby outlets offering full breakfasts from as little as £4.If booking this hotel ensure that your air conditioning is paid as part of the booking as I overheard other residents being charged for the use of same.Apart from that a well located easily accessable hotel when visiting the capital	
Sep 20 2008 	Wonderful Stay	We booked this hotel through Airmiles....took a while to find it in their system but eventually.....We had stayed here before and since I last stay (2006) it had been refurbished to a high standard. The rooms are clean and spacious....flat screen TV, good bathroom, very comfortable.Staff are good and nothing appears to much for them.breakfast is especially good...a 'help yourself' buffet with full English, or continental....take your pick (or both)Location is excellent for all of London. The closest tube is about 3 minute stroll and you can be in theatre land in 15 - 20 minutes.Recommended and would stay again.Only thing to be wary of....Bar prices....a bit over the top (but there is a nice pub about 2 mintues from the hotel (with real ale!!)	
Aug 20 2008 	Average accommodation	We have returned from 7 night stay and found the position of the hotel excellent for acces to tube and musems in Kensington.Our room was on the sixth floor with no view as the windows were behind the parapet. Behind the scaffolding facade the hotel is very old, corridors and rooms very stuffy.The air-conditioning ceased after 2 nights and was not available for the remainder of our stay. The staff offered to open the windows to allow some air but these could only be opened approx. 12 inches and little or no air came in due to the obstruction of the parapet. We were very annoyed that no effort appeared to be made to fix the problem and other guests remarked that the air conditioning was a huge problem. Would not stay here again in summer. Breakfast very good and concierge very helpful. Insist on accommodation on lower level.Beware the photos on website - rooms are not as up to date as they appear	
Aug 12 2008 	mixed feelings	The best thing about this hotel is the room size. We stayed in a standard twin room, which could be considered quite big compared to many other London hotels of the same range. The location is also very convenient and very close to the tube. However, there were several things that we were not pleased with: First of all, we were asked for a 150 Pounds deposit (25 Pounds for each day we stayed) while checking in, to unlock the minibar and the telephone! Why don't they just ask for the credit card to secure payment, I don't understand. I paid this amount in cash and that made me very annoyed. I collected it when checking out. In addition, the air conditioning was not working for the first three days and the window couldn't be opened properly! Last but not least, the beds were not comfortable at all and were both creaking and squeaking in every small move we made. In summary, I agree to the previous comments stating that the hotel is trying to be something it is not.	
Jun 21 2008 	A Nice room well located in Kensington	Our corporate agent booked me at NH Harrington Hall because of high tarrifs at Holiday Inn and Millenium Gloucester where I usually go. I upgraded to a corner room on the 2nd floor and was delighted : lots of space, flat screen TV. I also enjoyed the lounge in the lobby in the morning and had a business meeting there over Cappucino. Frankly this was more cosy than the equivalent at the two other hotels I 've mentionned. I always visit Buggis Street Singaporean restaurant accross the street when I am there so I cannot judge the hotel offering. And there are plenty of choices around from the Bombay Brasserie to the pub and even the grocery shop in front of Gloucster station. And if you like this area of London it's a perfect location.	
Jun 19 2008 	Perfect hotel for us	This is a great hotel, near a tube stop (about 1 1/2 blocks away). Hotel staff was great to us. Had a problem with one of the four rooms we booked, but they worked it out for us and ensured our stay was just what we wanted. Daily buffet breakfast was very filling and tasty. This location is great if you like to walk - you can get to Buckingham Palace, Hyde Park, etc in about a 10-15 minutes! I would definitely stay here again. Oh and there's a little casino right across the street if you fancy gambling!	
Jun 9 2008 	Wonderful stay	We stayed at the Harrington Hall for 10 days and were very impressed with the rooms and service. Our standard room was lovely, larger than most London rooms, very clean, quiet and with a comfy bed and nice bathroom. We requested a room (604) at the back of the hotel since scaffolding was on the front during repairs. Breakfast buffet was outstanding - be sure to get this as part of your room rate as it is expensive if bought on site. Bar area is small but drinks are generous. The staff is remarkable - they seem to speak many languages and this must be very helpful to guests. Concierge is on staff daily. Location is very near a tube stop, handy for connections, and there are many shops and pubs close by. Cabs easy to obtain in front of the hotel. We used Heathrow dot2dot for our transfers and were very pleased with this service, helpful for the jet lagged! We'll stay here again.	
Jun 8 2008	Never again!	Being a frequent traveller myself, I've understood how to be polite to people and expect the same in return. I've never been to a hotel where the employees are this rude. Possibly due to the lack of people skills training (management issue???). It was late by the time we got from airport to hotel. Upon arrival we were given the rooms, of which one of them had air-conditioning problem. This means that instead of cooling the room down, it was heating up (which makes the room all stuffy and difficult to sleep). We politely asked the reception staff if this could be fixed. They then came back with a request why don't we simply open wide all windows to sleep. What if it is raining? or if someone crawled in during the night? These were rooms on the lower floor, close to street level and were facing balconies of nearby buildings. Anyway, we politely asked if there were any rooms left that didn't have any air-conditioning problem and were responded with one employee's comment: &quot;We'll have to see how much you have paid for the rooms first, before we could change another room for you.&quot;. This comment shocked us. How blunt could you be towards a customer. Having worked in the customer service field myself, I know simply what NOT to say to the customer (even if you disagree with the customer's point of view). Also, whether if the customer booked through the internet site or through the last minute &quot;walk-in&quot; rate, no-one should be greeted with this kind of comment or treated differently. After a long while, we finally got a temporary room change. There were also a few minor problems with one other room, but were later on resolved.I have to say, honestly that I will NOT return to this hotel even if their rates are cheaper than other nearby ones.	
May 1 2008 	Excellent Location and Bathroom	First of all, the hotel is in an EXCELLENT location right next to a Circle Line tube station. Also, the Natural History, Science and Victoria and Albert museums are all within walking distance if you don't mind walking. After waiting all morning and some of the afternoon for our room to be ready, the hotel got our reservation wrong and put my wife and I in a two twin room on our honeymoon. My wife stated that this will not do and we asked to be put in a double. No other rooms were available and the first night we stayed in the twin room. After reminding the staff we wanted a double the next morning, they were nice enough to oblige and move our bags for us to the new room. The hotel staff was nice and understanding of our problem, but I believe no reservation mistake was made only an over booking on the hotel's behalf. Rooms are small but the bathrooms are normal size and very clean with new work and fixtures. We were told the rooms have both heating and cooling although I only felt heat and no heat. The flat panel TV was nice and the beds were comfy. I would stay again but I image there are other hotels similar and cheaper.	
Apr 23 2008 	Nice!	You can’t beat the Harrington hall location – just 2 minutes walk from the Gloucester road underground station, which easily connects you with Heathrow airport (45 minutes) and the very center of London (10 minutes). The outside of the hotel is impressing, the lobby – quite modest but comfortable. My room 101 was really large, clean and quite. Additional space for you luggage in hall, big bed and clean bathroom. London guides at your disposal on a tea table with shops, restaurants and places to visit shown on the map. The stuff was very pleasing, I came at night and had no adapter for my mobile phone, but needed it badly since it was my business trip. No matter that it was about 12 am, they found an adapter for me in 3 minutes. English breakfast was perfect, really tasty and plenty to choose. All and all, a really nice place to stay, especially with the rates they have!	
Apr 16 2008 	Terrific	This was my secong trip booked through Virgin Vacations at the NH Harrington Hall. It's a short ride f45 min from Heathrow on the Piccadilly Line to Gloucester Road, the hotel is less then 5 min from the tube. Our room was &quot;superior&quot; not the &quot;standard room&quot; which faces the street. The standard is fine but sometimes you hear noise from the street.This superior room has a small table, lovely bathroom, mini bar - which we used to store some food, flat screen tv, and comfortable bed, our room #609 at the end of the hall away from the elevator. Included in our room package was a wonderful breakfast each day choice of eggs, bacon, sausages, various home baked breads, fruits, ceral, home made muffins etc wonderful array of choices. In a nice comfortable setting. Near the hotel is Waitrose, Sainsbury, Tesco express, Pret a Manger, great selection of place to buy some food to save on meals. I had terrific coffe at &quot;House of Coffee 149 gloucester rd around the corner from the hotel 2 mins a away, great place for a meal open from 7- 1am.	
Apr 11 2008	Perfect in Every Way!	Just spent a week at the hotel and had a great time. The staff was smiling, friendly and especially helpful, not only with questions about the city, but out of town travel as well. The room was quiet, despite being full, and the room size was acceptable for 3 adults in 3 comfortable beds. The breakfast was hot, more than adequate and varied. The dining room was spacious. The hotel location was perfect, as it is a block from the underground. The neighborhood offers some really good restaurants, pharmacy, a lovely bookstore, gift shops, food shops - everything you would need. A lovely walk to Kensington Palace and The Victoria and Albert Museum. Would gladly go there again and recommend it.The only drawback was the smell of cigarettes in the hallway, but it did not penetrate our room in any way! So they probably have smoking rooms available.	
Apr 1 2008 	Spacious Rooms and Conveniently Located	The first thing I noticed was the size of the rooms - decorated in a traditional style with modern touches. From the moment you walk into the recently refurbished lobby, you begin to experience the excellent service the NH chain is known for. I was most impressed by the attention to detail - the &quot;pillow menu&quot; and name-brand bath products specifically.NH Harrington Hall is a very short walk from the Gloucester Road tube stop which puts all of London at your doorstep. A short 15 minute ride will put you in the middle of Picadilly, 20 to Big Ben and Parliament. I walked (a comfortable pace) to Buckingham Palace passing by Harrod's along the way in about 50 minutes. Overall, you can't beat the NH Harrington's service, location and larger than normal rooms for London. Compared to other mid-range priced hotels in London, this is an excellent choice.	
Mar 31 2008 	Very happy with Harrington Hall	We stayed for a week at the Harrington Hall in Feb. 2008 for a vacation in London. This was our first trip to England. The staff was very helpful at check-in. They let us check in early, gave us maps, and other helpful information for our first stay in London. Our room was spotlessly clean (and I am picky about that!). The desk in the room was worn and a little beat up, but, to me, that is no big deal. The bed was comfortable, the room was plenty big enough, as was the bathroom. We were there on Valentine's Day and found when we returned to room at the end of the day, they had left us with some very nice chocolate as a Valentine present. The complimentary breakfast was amazing. There were three tables of food with everything you could possibly want for breakfast and more. I would certainly recommend this hotel for anyone wishing to stay in London. The nearby tube station makes it easy to get anywhere you need to go in the city.	
Mar 28 2008 	Good value in excellent location	We have stayed before and although some recent travellers gave rave reviews our thoughts now are a little more circumspect but I hope fair. Check in is very good and for a small price we got an upgrade to an executive room. I checked in at 10.30 a.m. no problem. Rooms are a good size although the bathroom was a bit small and we noticed that the complimetaiy 'smellies' had been reduced. I think that the rooms generally are a bit tired and in need of redecoration. There is a reasonable choice of TV channels and an internet connection whioch looked expensive.The lounge area has been been tastefully done up but a little spartan and we had breakfast this time. It was OK but pretty standard for a 4* London hotel. Overall we would stay again as it is good quality for the price compared to other equivalent hotels. You do have to shop around the comparative websites for the best price as it can vary by up to £50 per night. The location is fantastic - a few minutes walk from Gloucester Road tube and easy access to almost everything.	
Mar 10 2008 	Fantastic	Just come back from a weekend at the Harrington Hall. All in all it was excellent. Helpful staff, large rooms, comfy beds even offering you a choice of pillows! Perfect location with lots of cafes and restraunts nearby to choose from and the tube station a 2 min walk away. You can also walk to Hyde Pk, Museums and Knightsbridge in about 20 mins. Our only draw back was that breakfast was not included!Would definitely stay here again.	
Mar 2 2008 	Absolutely Wonderful	My daughter and I stayed in this lovely English hotel in 2005. It was absolutely wonderful. The rooms were large and nicely decorated. The bathroom was very adequate with a nice LARGE tub. The facilities gym, restaurant, concierge and of course the wait staff were all very nice. The bar was small, but quaint. The staff was extremely helpful at all times. The breakfast had a variety of food that was very pleasing. We felt safe at all times. The staff takes the time to get to know you. They were very personable. I am giving this hotel an excellent rating due to the response we had from other tourists. They complained about their rooms in large hotel chains being small and cramped. I would love to go back to England and of course stay at Harrington Hall.	
Feb 26 2008 	Served its purpose	We stayed here in early February for a long weekend. The location is really ideal as the Gloucester Road tube stop is a block away, this tube stop is on the Piccadilly Line so its fast/easy/direct to and from the airport (LHR) and the station also has an elevator to accommodate your luggage (I've always taken the underground to/from airport on various trips and its no fun lugging luggage up and down multiple flights of stairs). We had an initial problem at check-in as we prepaid for a non smoking room but were assigned a smoking room -10 mins in that room made me nauseous and we asked to get the nonsmoking room that we booked/ paid for. This seemed to be a great difficulty for them as it took hours to make the change. Our rate of $160 did not include breakfast so I have no comments about the breakfast except there were many breakfast options around the corner and all were excellent.The good: The room was huge by London standards. The bathroom was modern. The body/hair products were nice. The King bed was comfortable and the TV was large. Quiet street, undisturbed sleep. Also the location is ideal for quick access to all London has to offer. Quick trip to Heathrow.The bad: The fee for in room internet connectivity was exorbitant $30 a day! or $13 an hour! Room was not really updated. We did not get the wake up calls we had requested. Desk service was not very good.The ugly: the furniture was old/worn. Broiling! We had no heat on and the room was so warm +80F, we had to open the window, in FEBRUARY!, There did not appear to be any bathroom exhaust system so it was always like a steamy sauna in there. If you are assigned a smoking room and are a nonsmoker -the stench will make you gag.All things considered I wanted a big quiet room in a great location and it won on all three of those. I'd stay again if the price was right.	
Feb 25 2008 	Fantastic customer service	We stayed at the NHHarrington Hall Hotel for 6 nights in February. Check-in was quick and professional. The lobby has been completely redone and reflects a rather generic but peaceful atmosphere. Our luggage was safely stored until check in time.Our room on the 4th floor was immaculate, large and well appointed. The room was a bit worn and &quot;chintzy/flowery&quot;...(which I like), huge and very well appointed: in-room safe, fridge, iron, hairdryer, soaps, etc. The bedroom and modern, marble bathroom were very clean and fresh. The staff had left candy and a note to welcome us. Nice touch. The only drawback to the room: The mattress was really awful: lumpy and hard. The associate at the front desk told me the American standard for comfort was quite different than the European standard! I doubt the travelers of the world happily tolerate substandard, lumpy mattresses! Anyway, the great customer service kicked in and the associate sent someone from housekeeping to build the mattress up a bit, rather like a homemade pillowtop mattress. This helped quite a bit. The manager and concierge told me they are planning a full refurbishment of all the guest rooms to be completed by 2009 and this will include the mattresses. I would suspect that rates at this hotel will skyrocket when this refurb. takes place as the location and services available here are fantastic. Our rate included a breakfast buffet and this was a real treat. We were expecting the usual croissant, cold cereal and fruit but were presented with a full buffet that offered anything one could want: full English with mushrooms, beans, tomatoes, various cheeses including wheels of brie, hot meats, cold meats, cereals, yogurts, pastry, fresh fruit, etc. etc. Again, fantastic customer service.The hotel is located on a quiet side street just a few minutes walk from Gloucester Road tube station and is conveniently located close to various pubs, restaurants and grocery stores, the museums and Hyde Park. This hotel stands out because of its location, cleanliness and its dedication to providing the consumer with a superior lodging experience. The NH influence is apparent here and the quality of our stay was superior.	
Feb 19 2008 	More than we expected- by far!	In early February, my wife and I took a trip to celebrate our 25th anniversary, and found that Orbitz offered what seemed to be a great deal through the internet. We pre-paid for the room at the UH Harrington Hall Hotel for an eight day stay with the hope that it would be a better-than-average room and a pleasant stay. It was definitely a better price than even booking directly with the advertised internet prices that the hotel posted. And, honestly, it was attractive to us because it fit within the budget we had set- which was pretty tight (considering the cost of London). We paid about $1450 total for the eight nights for the room (including fees and taxes)- which was advertised as a 'standard non-smoking room for two with a minimum of hot eggs and bacon served at the table.' Trip Advisor had rated the hotel has being good with good reviews, so that was why we looked at this one carefully to start with. Our only (semi) problem (or concern) was that, when you use Orbitz to book at room, the hotel doesn't get any confirmation of our name until 24 hours ahead of the actual date of arrival, so I had to call more than once (both the the hotel and with Orbitz) to make sure that they were indeed expecting our arrival the next day. Ok- so I'm not very trusting of these internet middlemen.... But, when we arrived, they were indeed expecting us, and I asked the clerk at the desk if I could upgrade a little bit since it was a special occassion for us, and when she conferred with her supervisor, they gave us a superior room at no additional cost. Plus- and this really surprised us- they sent up a bottle of champagne as their gift to us! Wow! But the thing that really, really was surprising was how absolutely wonderful the breakfast buffet was every morning! Three buffet lines of everything you could possibly imagine- hot food, cold food, pastries, cheezes, yogurts and all sorts of beverages... everything!- and if you get breakfast included with your room- you automatically get the amazing buffet! By the way- the cost of the breakfast if you walked in off the street to buy it was 17 pounds per person (roughly $68 for two people at today's exchange)! With all that food, breakfast was our main meal for the day. And with the help of the huge Sainsbury grocery store four blocks away, we would make sandwiches in our room for lunches, and most often we would fix our own light supper and eat in hotel room watching t.v. after long days of walking, looking at wonderful museums, and enjoying the beautiful city. The hotel itself was overall very quiet since it wasn't on a main thoroughfare, and yet it was only two blocks from the Glouster Road tube station. There are numerous grocery stores and restaurants, cafe's and little shops nearby for convenience. All in all, we couldn't have been more pleased with this hotel. The value of what we got- and the wonderful attitude and helpfulness of the hotel staff was five star service. We would recommend this hotel in a heartbeat- especially if you get the breakfast with the deal!	
Feb 13 2008 	Great home base for our stay	My husband and I were quite pleased with the services and facilities during our 5 night stay. Food at the breakfast buffet (included in rate) and restaurant better than expected. Most pleasant and helpful staff. Room pleasant with modern, beautiful bath. We would not hesitate to recommend. Located in the midst of all price range eateries and close to Gloucester Road tube station which is part of 3 tube lines.	
Feb 11 2008	Favorite London Hotel	The first thing that appealed to me was that the Harrington Hall was a three minute walk from the Gloucester Road tube station (where three lines intersect) which was right on the Piccadilly line- a straight 40 minute shot from Heathrow. Then I was impressed with the friendliness at reception in the gorgeous contemporary lobby. The room-impeccably clean-was a good size and had all the ameneties I look for (room safe, minibar I can empty for my own things, like food from Borough Market!, and a comfortable area with a round table and two upholstered chairs.) The breakfast buffet was enormous. Full English breakfast, as well as lots of fresh fruits, smoked salmon, prosciutto, plum and apple tarts, etc. And it was open until noon on Sunday! The proximity to three underground lines made getting around a breeze. And a Tesco Express a minute walk from the hotel. This was the best hotel out of eight I've stayed at in London over the last nine years. Highly recommended.	
Jan 22 2008 	Couldn't fault it	We have just returned from 3 nights at the Harrington Hall Hotel in South Kensington and were not disappointed.The location of the hotel is great, the area is safe and quiet but with plenty of shops &amp; restaurants/bars around. The Gloucester Road underground is about 2 minutes walk away.The reception and bar/restaurant area is impressive and the room we were given was massive and very comfortable. The Natural History Museum is no more than a 10 minute walk away, which is makes for a fascinating day out.  The buffet breakfast had every option you could think of from fruit, yoghurts, cheeses, cold meats and pastries to a tasty cooked English.  I also discovered on day 3 that you get 15 free minutes on the internet per day of your stay, which is handy if you need to keep in touch or do some quick research. We didn't use the Spa/Gym facilities, so can't comment. The best thing about the stay was the staff. Every single person was polite, friendly and attentive at all times, at reception, the dining area, the bar and the maids.	
Jan 3 2008 	Wow Wow Wow!!	This hotel was everything and more!We were very lucky as they were full over the Christmas period so we were given a suite at no extra cost, thats the second time thats happened to me at 2 different hotels. It was out of this world. Couldn't fault the hotel, facilities, breakfast or location 10/10. Well worth every penny, just sad that i couldn't stay longer.Look forward to my next stay whenever that is.	
Nov 6 2007 	Good Accommodation in London.	My partner and I spent five nights at the Harrington Hall in August. This was the third time we had stayed at the hotel, the last being six years ago.Since our last visit, the Harrington Hall has been taken over by the NH group, and most of the staff seemed to be European. However, all the staff members we dealt with spoke good English, and the standard of service remains high.There is much to recommend the Harrington Hall. The location is excellent, with the Gloucester Road tube station nearby and a very good selection of shops, restaurants, banks etc within a few minutes walk. The ground floor areas of the hotel have recently been refurbished in a clean, modern style, and in the restaurant both the breakfast buffet and evening meals are excellent.Our only disappointment on this visit was that the guest bedrooms have not been updated since our first visit in 1996, and they are looking quite tired. Our room was on the top floor of the hotel, and the furniture was quite badly marked and scuffed. Our bathroom had a number of heavily cracked tiles on the floor and walls, and a glass shower screen which looked like it was about to become detached from the wall at any time.In our opinion the Harrington Hall offers a good standard of accommodation at a reasonable tariff for London, however it would be good to see the new owners refurbish the guest rooms along the lines of the renovated ground floor areas.	
Oct 16 2007 	Good value for London	We wandered around the Gloucester Road/Cromwell Road area for about an hour looking for a reasonable hotel at a reasonable price. The good hotels, for the most part, would have broken the bank - the cheap hotels would have broken your health. Then we stumbled into the Harrington.This seems to be part of a Spanish chain called &quot;nl&quot; and several of the staff are Spanish although all spoke good English; reception and concierge are most attentive. What sets this place a little above the average is the size, furnishings and decor of the rooms. It's not cheap - you'd have to be desperate to stay in a really cheap London hotel - but we thought it was extremely good value for money. It's right opposite The Imperial Hotel ,which has a car park you can use (AT A PRICE!), and it's close to Gloucester Road Tube Station, Exhibition Road and lots of places to eat and drink.	
Sep 10 2007 	Very pleased!	Stayed here with my husband for one night whilst visiting the Natural history museum and science museum which are reasonably close. Friendly reception staff, they held our luggage before check in so that we were able to visit the museum suitcase free. Nice modern reception area, bar and restaurant. Rooms are slightly more dated but still lovely. Nice modern bathroom. TV was a bit old fashioned. On first inspection the bed seemed very hard and lacking in springs, but actually turned out to be very comfortable. All in all great hotel, would stay here again. However we did get room for half price and I wouldn't pay the £200+ prices quoted in reception.	
Sep 5 2007 	Great location	Stayed here for a night in August having booked through the website Lastminute.com as a top secret hotel at the reduced rate of £65 - hotel is in a great spot just a few minutes walk from the tube and surrounded by bars and restuarant. Reception staff were really friendly and helpful - i think the reception must have been newly renovated as it was much nicer and more modern than the rest of the hotel. The hallways reminded me of a pub and were quite dated, as too were the rooms although the bathroom may have been recently renovated. By London standards the room was huge and although the decor was old fashioned it was very comfy and there was a plasma tv. Lots of free toiletries though they were a bit citrusy for my liking.All in all a very pleasant hotel but being a younger guest i'd prefer something a bit more modern.	
Aug 27 2007 	excellent hotel	August 24 2007The Harrington Hall is an excellent hotel, took our Grandson to London so booked a 3 bed room, plenty of space, good sized comfortable beds. Bedroom had an iron and ironing board which was very useful.The staff were friendly and very helpful, my grandson found the mobile phone chargers in the lobby useful as he had forgotten his. Breakfast was included in the price I got and it was excellent with the usual choice of continental and full english, everything was very tasty and freshly cooked which I think was the key thing too often Hotels offer a full breakfast but it has been sitting there for an hour by the time you get to eat it. The hotel is a 5 minute walk away from the tube station and is well postioned for eating out if you dont want to travel too far with a mixture of steak houses, restaurants and burger kings in easy walking distance. Only down side was the prices in the hotel, mini bar was expensive as were drinks at the bar but no more than you would find in any london hotel.	
Aug 20 2007 	Very Pleasant Hotel	Only stayed for one night but room was large and comfortable. Bathroom modern and clean, personally not keen on the toiletries (citrus) but a minor detail. Reception staff very pleasant and helpful. Breakfast was above average. South Kensington was a very pleasant area to stay and hotel was only 3 minutes from tube station. If staying in this area again would probably choose this hotel.	
Aug 1 2007	Nice hotel	We stayed here as part of our tour group. It was noted at the desk that the prices were around 215 pounds for a regular room, this equates to about $430 American dollars. Way more than I would actually pay for a hotel room on my own!Check in was stressful here but maybe because we were so beat from the flight over and maybe because we were part of a tour group...They would not give us our room one moment before the &quot;appointed check in time&quot; and in fact, we still waited half an hour after that to get in to the room. This happens everywhere but it was particularly irksome because we were so exhausted and they could see us sleeping in the lobby. All the while I could see other folks getting their rooms. One would think they would want to get us out of the lobby given our condition. But I guess not.After that it was fine. The hotel was nice and clean. Decor was traditional and tasteful. Of course the rooms were small which are typical of European hotels so no complaints there. This hotel had air conditioning, although with the rain we really didn't need it. The beds were comfortable and we slept well. It seemed quiet in the hotel and on the street at night.There is a small exercise area but no pool. The gym dressing area was very nice. Small, but nice.Location was ok, kind of in the Kensington area. It's near an underground entrance so getting around is easy. Breakfast was included in our package. It was a buffet and was really well stocked. If you couldn't find something to eat at this breakfast, then you deserved to go hungry! Everything was fresh and tasty also, which isn't always the case with buffets. We had dinner at the restaurant the first night as a group. The food was good. We didn't eat here again since we were out touring. The bar is just that, a bar where you get your drink and then sit in the lobby. The lobby is nice though. They provided great bathroom ammenities here. They were really nice smelling, kind of a citrus smell. You could purchase big bottles from the front desk. They also had toothbrushes and razors provided if you needed them. Small stuff, but a nice touch.Overall I would stay here again if prices became affordable. It was a nice place.	
Jul 26 2007 	Perfect Hotel; simply wonderful excellent location great staff	I just LOVED every moment in this hotel. Don't look for another hotel, go there!!!! The reception area was bright and friendly, we could check in without any problem at all, it was quick and very well organised. Even though our room wasn't ready yet (as we arrived at 10 am), we could store our luggage in a secured room right next to the reception desk. We then only got back at 9 pm, and were given our room immediately. The room itself was very cosy, perhaps the bed was a bit small if you're not used to English hotel beds (1.40 metres broad, but that really didn't matter, because everything else was great: We had TV, minibar, a lovely, clean and bright bathroom, we even had an ironing board and an ironing &quot;machine&quot; along with it. The breakfast was simply one of the best buffets I've ever seen in a hotel. Lovely full English Breakfast, but also just the usual buns, croissants, muffins, fruit, cheese, ham, even salmon, flakes, joghurt, simply perfect. The coffee was great, so was the tea. Service was extremely fast and attentive; I managed to spill some coffee on the table, and there was no fuss at all. The location of the hotel is really excellent: it's about 2-5 minutes walk from Gloucester Road station, which is on Piccadilly, Circle, and I believe Central Line of the tube. That was great, because you can just sit on the tube and get anywhere you like. At the reception there always was someone who was responsible for information on London, like the best means of transport, how the Underground works etc. etc. etc. . There obviously also are some exchange staff workers from other countries, at least I could hear some fluent Italian, so foreign languages shouldn't be a problem. I really can't find one negative thing about the Harrington Hall hotel. At the reception there always was someone who was responsible for information on London, like the best means of transport, how the Underground works etc. etc. etc. It was really a perfect stay, I want to go back right away. Obviously even &quot;Swiss Airlines&quot; thought the same, cause they seem to use the hotel as a stopover hotel for their personnel.Check out was very fast indeed, we basically just handed in our room cards, and that was it. We were able to store the luggage again from 10 am to 5 pm, which was perfect, as we then had another full day of exploring London. So: Don't go searching for any other hotel, this one's got everything you need for London.	
Jul 25 2007 	classy hotel	classy hotel, beautiful and big room,lovely decoration, generous breakfast. good area for eating	
Jul 17 2007 	breakfast feast at the Harrington Halll	This hotel was in the process of being refurbished when we stayed at the end of May but we would never have known it had there not been signs up apologising!Rooms were compact and tradtionally furnished but bathrooms were modern. The breafast buffet was tremendous. This hotel is really well located for the underground. Good pubs around and a Tesco Metro.	
Jul 13 2007 	Good Hotel - No Complaints	I did a lot of research on London hotels for my first trip there and decided on Harrington Hall. Friends recommended staying in this area, and HH seemed to get generally favorable reviews and the price was good for London. I thought the room was a good size, with a nice sitting area. The room and bathroom felt clean and in overall good shape. The large lobby with bar was enjoyable to us - we were 2 couples traveling together, so it was convenient to meet there at the start and end of the day to plan. The bartender was very nice. Drinks weren't cheap - we paid for convenience. We did not pay for their breakfast but opted for the coffee shop across the street. I would stay at HH again. The hotel was nice, location was convenient to the metro with a 24 hr Tesco mini mart across the street. We felt very safe. We were fairly self-sufficient, so I can't really comment on the helpfulness of the staff. No problems except we had some key/lock issues ,mainly because we didn't understand how the locks worked. It did seem that the night clerks were not as competent as the day clerks when we had this issue.	
Jul 5 2007 	Being refurbished...be patient	My daughter and I stayed here in mid-June 2007 and enjoyed our stay. It seems to attract business travellers and airline personnel, which to me indicates reasonably priced, good accommodations. The property is well-located and minutes from the Gloucester Road tube station. The breakfast (included in our price) was very comprehensive, catering to all dietary requirements, and even had great coffee, by American standards! This hotel has apparently been bought out somewhat recently by a chain (thus the NH designation in front of its name? which I'm not familiar with). There were extensive renovations going on while we were there, particularly to the main lobby, which could appear a bit uninviting to access the adjacent dining area/bar, but we didn't spend very much time there except for the breakfasts (the dinner menu seemed overpriced and not very populated.) There are some things to note: while the room fixtures themselves (i.e. lighting, television, bathrooms) have been upgraded, they haven't gotten around yet to the hallways/common areas. They are still a bit outdated, decorwise in relation to the rest of the property and smell of ancient cigarette odor (not strong, but still not for the sensitive). You definitely get the feel that it is in the restoration stage and once the upgrading/refurbishing process is completed, it could be a quite fine property..Our room was fairly large (by European standards) and fit the two of us comfortably. Would we stay here again? Definitely, if the price were right.	
