	Mostly good...	Our room was very nice and beautifully decorated. We stayed 4 nights and it was my birthday on the day we arrived and the Ritz had put champagne in the room and a little cake and that was lovely. But we also got some strange treatment in that we asked if we could have a later check-out (not really expecting it because the hotel seemed quite busy) and were told we could have a one hour extension, then got a call at 11.45pm (yes, at night) to say that we couldn't have the extra hour. Very odd to call so late when they could have told us the next morning. We also needed to book our seats on BA and asked if we could use the business centre (meant to be open 24 hours?) computer. No. We had to hire a laptop for $30 or $40AUD and used it for maybe one hour and then had to have the boarding passes emailed to reception at the Ritz, and when we checked if they had them they didn't, but when we checked again they'd been put in the junk folder and they told us so, which was just not professional and the way they handled it was quite insulting. The dining room is spectacular and we enjoyed our dinner there both nights, and we also liked the room service. Breakfast was ordinary. The ladies in the beauty/hair salon were pleasant and thoughtful. If you're the type who gets offended at being asked if you're a guest each time you re-enter the hotel, then don't stay here. We would just have our card handy to show the doormen when we returned. If you aren't the type to dress up each day then don't stay here because there is a dress code and it was great to see all the beautiful clothes, shoes, bags and hairdos, but if you're on a tour then it's difficult to have enough appropriate clothing. We can't rave about the Ritz, but it was an experience we wanted and we get a bit of a buzz to think that we've stayed at such a famous hotel.	
Feb 10 2009	Tea- fantastic!	On a recent visit to London I decided to have Tea at the Ritz with some friends. What a great experience! Everything was great about it. It started by waiting for the table in the lobby- whilst we were here it was great to watch all those who had no idea about the dress code get knocked back from the bar etc. How can you go here and not know about the famous dress code? Lots of fantastic strops!! When the table was ready, the food was fantastic- don't be worried about there not being enough as they top everything up for you! I would say if you are in London- this is a great thing to do! Reading the reviews about heavy security and people in the wrong dress- well what do you expect? Given the level of people who stay here security is needed and if you don't know the dress code or think you are above it- then more fool you really! A fine British institution- well worth a trip.	
Feb 2 2009	Grandeur opulence and beauty.	Just arrived back after an amazing weekend at this beautiful hotel. We had booked a exec. king room for my 40th birthday and on arriving at the hotel we were upgraded to a Jr Suite as a birthday 'treat' from the hotel! From the moment you arrive at the Ritz the service you receive is second to none and the quality of the hotel is nothing short of breathtaking. Yes it is expensive but for a special occasion it's the perfect venue.We did not encounter any problems with security as mentioned in other reviews, nor did we feel uncomfortable as the staff are all very friendly and cannot do enough to help you. For those who complain about not being aloud in parts of the hotel without jacket and tie then they should go to other hotels. It's nice that everyone is made to dress smart in an age when 'anything goes', as it all adds to the sense of occasion.	
Jan 4 2009	Best Value Hotel in London	The Ritz is a throwback to how hotels were before they were put in huge global chains and staff left every other week. Its a fantastic experience which anyone travelling to London should experience. Its expensive but all five star hotels in London are when compared to regional or international standards and I think the quality make it exceptionally good value. You can stay in five star hotels nearby which are slightly cheaper but nowhere near as good. The hotel has everything: great atmosphere, comfortable rooms, amazing attention to detail from staff, superb location. I think the answer is staff retention, something too few hotels nowadays focus on. I hadn't stayed at the ritz for 14 months and it was amazing how many faces I recognised. This ensures you have professional staff not some spotty teenager or eastern european with limited english. Its great to see a hotel investing properly in its people. I am amazed at how they remember names, we were only there for two nights beofre christmas and when we returned after christmas the doormen welcomed us by name when we stepped out of the cab.	
Dec 16 2008 	Great service though not flawless	My friend and I stayed at The Ritz for one night in December. We booked the cheapest roome (even this was £300 for the room without breakfast). There was a mix-up over our check-in time which was entirely the hotel's fault, and this was rectified efficiently. We were given a free breakfast worth £30 each as an apology. Everything else about the room was lovely. It was in very good condition, although if you looked closely you would see signs of wear and tear so I wouldn't describe it as immaculate. Nonetheless, the service overall was impeccable, with doors opened for you everywhere you went, doormen with umbrellas accompanying you to your taxi and conciereges most helpful.All in all, this hotel deserves the reputation it has.	
Dec 7 2008 	One of the most beautiful hotels	I stayed at the Ritz in a superior queen room on Saturday the 29th November this year. I've previously stayed there in a junior suite (later js) with my family.I was happy with my stay, no problems at all. I arrived quite early in the morning (before 11 am), but my room was ready, so I was able to unload my luggage and go shopping straight away. The check-in and the check-out the next day were exremely efficient and friendly.The room was smallish (as compared to the js) but ok for one person. Also the bathroom was smaller and the shower was in the bath. But of course you get what you pay for (the js is about 50% more expensive). The Floris toiletries were nice, the bathrobe and all other textiles of an excellent quality.I had room service twice (the dinner and the breakfast), it was promptly delivered and good. The service was excellent, as it is allover the hotel. I especially liked the fact that you are addressed mostly by your name by the staff. The first time was when I arrived and put my foot out of the taxi! How do they do it?! The door men are really helpfull when you need a taxi etc.I didn't have any problems at all with the security staff as I was properly dressed. I think it's nice that there still are places where people dress up a little bit. Some afternoon tea tourists, however, slightly OD'd on the dressing thing, I noticed. (Of course it's none of my business.)All in all, if you like elegant and beautiful grand hotels with excellent service, the Ritz is a place for you. Not so much, if you are keen on latest technological gadgets, megasized tv's etc.As you probably know, the location is the best possible, you can walk almost anywhere. It's still one of my favourite hotels. Last, I'd like to recommend the Renaissance faces exhibition at the National gallery. It¨'s great and at the same time very informative.	
Nov 12 2008 	Great Service	We arrived on a busy Saturday afternoon, and we're welcomed by the doorman. After he took our suitcase, we checked in and went to our beautifull room. Changing our traveloutft to our afternoon tea outfit, we went down for the afternoon tea. And that was superb! Such a lovely afternoon tea, big choice of items, very friendly international staff (love that). It took us almost 2 hours from start to finish, that is how good it was!We went out for diner and the theatre, but when we arrived back we had a drink in the bar with a few cocktails, and again fantastic service, very relaxing.For breakfast we got a great variety of items, which were perfectly cooked. And the service was fine, nothing special.The only hickup we had was a roomservice charge on our bill, whilst we didn't had any roomservice. But that was instantly adjusted by the receptionist. So, yes, it was expensive to go the Ritz, but we loved every minute of it.	
Oct 21 2008 	Afternoon Tea	We visited The Ritz for their famous afternoon tea and weren't disappointed. The atmosphere was both relaxed and opulent and the service impeccable. Sandwiches, scones and cakes were excellent and we both enjoyed the Earl Grey and Jasmine Flowers teas. Security wasn't an issue for us and had no problem assurring the staff who we were and why we'd come to the hotel. I think some of the reviewers are missing the point about hotel security; they're there for your safety and security as well as the other hotel guests, some of whom may have more security needs than others.	
Oct 6 2008 	best hotel in london	All i can say about thye ritz is perfection. every moment of my experience in this historic hotel was comfortable, enjoyable and stress free. from the moment I walked in with the staff carrying my bags from the taxi to them waving me goodbye as i left i was stunned by the elegant and nostalgic decore, the spacious rooms, the impecibly polite and prompt service and last but not least the world class restaurant. i ate there twice during my stay and both meals were delicious and wonderfully presented, the wine was wonderful and the classic design of the dining hall tops it all of as it seems to almost transport you back in time. there is no other place in the world that has had such charm, class and elegance as the ritz in london. some people have complained that the dress code as well as the attitude to those in informal wear can seem to be snobby. however the ritz is a special establishment with an old fashioned feel that should be respected. if you do stay at the ritz it is a special occasion and an effort to dress up accordingly should be made. after all you would not dress casually for a wedding or a black tie ball. anyway i would recommend the ritz to anyone in search of an unforgettable few days regardless of the occasion as long as you are prepared to dress up and spend big because perfection isn't cheap.	
Sep 25 2008 	Can't wait to come back	Me and my husband went to the Ritz on his birthday 16.08, I booked Ritz Romance package and Afternoon Tea. It was a surprise for him so I was anxious and stressed after reading all those negative reviews thinking that were were about to endure the disappointment of our lives! The thing is that my husbands idea of birthday party is a picnic or barbeque with the nearest and dearest but I wanted to organise something really special and different this year. On arrival we got a complimentary upgrade to Delux room, staff were VERY polite and descreet. Absolutely impeccable service in Palm Court as well as in the restaurant. My husband was deeply impressed and asked me to book another Afternoon Tea asap! Unfortunately, due to enormous popularity &quot;asap&quot; turned out to be 5.11.08 that was , probably, the only drawback - no availability. Now we are both looking forwards to our next Tea at the Ritz.:) Hope some of you will find the following things useful. When you arrive they check your card for &quot;sufficient funds&quot; which is the price of a room PLUS £150 deposit for the room service, so if your rate is , say, £515 make sure you have £665 available. When you check out you will only be charged for the room (providing you didn't use room service of course) , no need to wear a suit when you check in , just something smart (NO JEANS) I saw the staff giving dirty looks to a young couple in denim , but in the end of the day its the rule of this hotel so if you are not happy with it there are plenty of other places to stay. What surprises me is that people knowing full well there's a strict dress code in the Ritz still wear jeans and then complain when turned down?! And the last tip - don't take pictures in the public areas , it is incredibly tempting as the hotel is very, very beautiful but you'll be immediately approached by staff and security and that would be very, very embarassing. That's it , hope you'll enjoy your stay as much as we did xxx	
Sep 18 2008	Loved the Ritz	This Hotel is for those who like extravagance and for the affluent. If you want modern, high tech or hotel chain style service and, or, accommodations then this hotel is not for you. However, if you seek formal elegance, world class service and that formal old world charm, this hotel simply cannot be beat. If you can afford it, I recommend a stay in a junior suite, and you must endeavor into the Ritz Dining room for their weekend dinner dance. The whole experience is so extravagant it's to die for. We loved the location and would do it all over again in a heartbeat.	
Sep 18 2008 	Simply the best!	My partner and I stayed at The Ritz in August for four nights. We had notified the hotel that we might be late in arriving since we would be on the Orient-Express from Venice and there was absolutely no problem when we arrived. We were assisted from the taxi and our luggage brought into the hotel and received a warm welcome from Reception, which upgraded our accommodation and then escorted us to our room. As we had to be at the Victoria Palace shortly thereafter, there was no time to drink the Champagne which awaited us, nor later since we dined at Sheekey's, quite the best seafood restaurant in London. The Champagne was kept for another night.Breakfast the following morning (and all others) was excellent, including the finest fresh raspberries I have ever had. The fresh orange juice left something to be desired - it certainly was freshly squeezed, but not as sweet as we are used to in California. Beautiful omelettes though and excellent service, if a little leisurely by American standards. However, we were not pressed for time except for one morning, and having mentioned this on arrival in the restaurant, the service was speeded up to allow us to eat rather more swiftly.The room itself was everything it should be - we did not have a suite, but compared to one at the Waldorf=Astoria Towers (New York) it was quite as acceptable. The beds were comfortable, the drapes let in no light and there were no noises from outside. Room service was prompt and the beds were always turned down before we returned. The bathroom was immaculate and had a separate door from the vestibule. The decor may not be to everyone's taste, but it matches everything else in the hotel in a grand luxe manner; it is in no way minimalist! The Hall Porter was always affable and helpful, although he did not actually believe we had a private tour of Buckingham Palace! Every time we arrived back, whether early or late, we were greeted by name and made to feel at home, which was greatly appreciated. I rather like the &quot;old fashioned&quot; keys and was pleased not to have a magnetic-striped card, which inevitably fail once or twice.On our last evening we dined in the Restaurant but, like so many contemporary establishments, found the offerings a little too clever, but probably appealing to younger 'foodies' since our taste is more for The Ivy and The Gay Hussar, the latter no longer fashionable. Nevertheless, we enjoyed the meal and then retired to our room to pack for the flight back to Los Angeles. Altogether a most enjoyable stay; whether we would stay there on a regular basis I can't say. Certainly it is most convenient, whether for walking, taking a taxi or the 'Tube'. But it certainly should be done once in a lifetime since very few of us actually live like that from day-to-day. Highly recommended!	
Sep 18 2008 	The Ultimate in Turn-Off Snobbery!!	I have to concur with the other reviewers who complained about the over zealous security at the Ritz. It boils down to one word: snobbery. It was such a turn off that I'll never return. A friend and I stopped in to talk with the reservations desk to see about room availability for a later return to London (we were on a London - Rome - London itinerary). We are attractive, professional looking people and were dressed very respectibly (not wearing jeans as per another reviewer's comments, not that I think there's anything wrong with that either). As soon as we entered and walked toward the front looking for the reservations area, the security man practically chased us down -- you would've thought we were criminals. It was incredibly embarrassing. He was &quot;politiely rude&quot;, if you know what I mean. While very openly looking down his nose at us, he ushered us back toward the door and told us we would have to make our enquiries at the information desk by the exit. Okay, so if he'd been polite and not condescending I would've called him helpful, but that was not the case. My reason for arriving unannounced to make a reservation in person and for staying there was to do an incognito site inspection, as I'm a meeting and event planner and was considering the hotel for a major upcoming booking which would have brought them a nice chunk of revenue. I don't want my guests being treated like that, however, and it sealed the deal. My friend and I left and I never considered this hotel for another event since, nor would I. There are too many other good options available where my guests will be treated with dignity from the moment they walk in the door, as it should be. It is the hospitality industry, after all. Elegance and snobbery do not have to go hand-in-hand, in my years of travel and planning experience. You can do better than this.	
Sep 5 2008 	Ritz Hotel London don't go thereunless you're David Beckham.	I spend last weekend at the Ritz in London. What a disappointment ! Because I booked by phone, i didnt recieved an conformation with the dresscode from the hotel. I was there to do some shopping at Old and New-Bondstreet. Because i wear a suit all week, i was wearing a comfy darkblue jeans, lightblue shirt with a darkblue pullover and brown leather shoes.All from Prada. (doesn't matter,but to give you a picture..) If my name was David Beckham i wonder if it was a problem then..I was treated like a beatnik! I was checking in and asked if i could use the bathroom after an 5 hour trip. The answer was &quot;No, i'm sorry, you are not allowed wearing jeans, and i wasn't allowed in the bar or have breakfast dressed like that!Every time i came in the hotel, security asked me who i was, if i could show them my key etc etc... EVERY time i came in!I travel all over the world, but i've never been more insulted in my life then there at the Ritz.Because i wasn't allowed to have high-tea at the Ritz, i wend to the Landmark hotel. They know how to tread their guests! Even wearing jeans! Wonderful hotel ,excellent service,great high-tea. So my advice is: go to the Landmark hotel, it's a little more expensive then the Ritz,but worth every penny!	
Aug 30 2008 	Birthday tea at the Ritz real treat	Five females from 22 to 60 in various garb arrived for tea. Lovely reception warm and friendly. Excellent cocktails - don't look at the price it's scary! Loved the tea -birthday cake was a lovely surprise and was delicious. Ritz roses were beautiful. Palm Court was delightfully OTT. I felt the staff were genuinely nice - it didn't seem to matter who you were.It's a special treat and we enjoyed it. Thank you to all the staff	
Aug 22 2008	Excellent Sevice	Fabulous hotel, fantastic location, it was brilliant to meet the Queen at afternoon tea. Special thanks to Jeeves the butler, top guy.	
Aug 21 2008	Over zealous security	We returned to the Ritz after having stayed about eight years ago for Valantines day - it was a disaster and a huge disappointment then, but we had a letter from the Manager apologising and that we should contact him when we next wanted to stay. It was our anniversary and we wanted to stay at Clariges but The Gordon Ramsey Restaurant was full, so my huband booked us two nights at the Ritz instead, we booked a Romance package for one night and the theatre for the next. The Romance package included a bottle of champagne in the room, flowers and dinner/dance in the restaurant to include a bottle of wine. We were given a room upgrade and greeted by the Duty Manager, the room was large and decorated in rich silks, the bathroom was of a good size, all gold taps and marble, with classic bath, tiny separate shower cubicle and gorgeous Floris toiletries. The Ritz is in a fantastic location and is a beautiful hotel but I have given the Ritz only one star rating due to our disappointment again. The trouble with world famous hotels is that they tend to have over zealous security and consider most people entering the hotel as sightseers or criminals. Therefore it is extremely annoying to have security keep asking you if they can help you, whilst the rest of the six or eight staff stare at you. We wanted a glass of champagne in the bar before dinner, so we asked for our restaurant order to be taken there. Bar Staff were excellent, but it seemed to confuse the restaurant staff that we were in the bar and things did not go smoothly. We selected from The Summer Menu which was included in our room rate along with a bottle of wine - which we had to ask for - this made us feel slightly cheap. The evening did not seem to flow as it should, we waited forever for our starter, there was no pre-starter or bread just awful soggy melba toast already on our table. The band was playing, the room was beautiful but our meal was acceptable but not great, Perhaps it was due to the package we had booked. Breakfast was really good, as of course, it should be. When returning after shopping security pounced, then again when we came back from the theatre. If the doorman can regognise guests why can't security, it was irritating and spoilt our trip. All in all the Ritz is, due to its fame, over-rated, service is fantastic but some staff are condesending, the dress code is nice for the restaurant and afternoon tea, but for guests wanting to use the bar is just ridiculous. Yes of course the Ritz is 5 star deluxe but I would never stay here again and would select a hotel just as luxurious but more modern without the pomp.	
Aug 17 2008 	Amazing place to stay in London	The Ritz is an amazing historic hotel. When we arrived, they upgraded us to an Executive King room. It was very spacious and very well appointed. The bathroom was very large and and it had a deep soaker tub. The beds very comfortable and the room was in very good condition, (The breakfast was good too). It is in a very convenient location for shopping and sightseeing. it is close to the Burlington arcade, the Royal arcade, and Fortnum &amp; Mason. When we arrived, we asked if they had any availability for tea the following day, we got reservations for tea the next day at 11:30. The man at reception told us that normally, you have to make reservations for tea two months in advance. The Ritz is a great hotel and I hope to go back soon.	
Aug 14 2008	Afternoon tea at the Ritz	Afternoon tea at the Ritz was a total disappointment for me! I booked a session at 17.30, approximately two months in advance, hoping that it would be a memorable experience for me and my friend. The minute we entered the hotel a very heavy smell surrounded us as if we were in a cheap restaurant. When we made it to the Palm Court at 17.35, we were seated at a small table at the very front of the room, above the stairs, both chairs facing the entrance door of the hotel. In addition, the fabrics of our chairs were dirty and full of stains, which really doesn't suit the image of the hotel. I believe everything related to such a reputable occasion should be immaculately clean! The table next to ours was of 5 people, so their seats kind of squeezed me. We tried to move our chairs a bit to the other side and, soon, a man, probably the headwaiter, approached us and stated quite conceitedly that we shouldn't move our chairs as it would be difficult for people to pass around. I asked him why in the first place they placed tables so inappropriately, he just mumbled and walked away. After a while, we asked one of the waiters to take a picture of us and he said it wasn't allowed to take pictures, there!? The food and service was OK, but my overall impression was not! Last year I had an afternoon tea at the Dorchester where the atmosphere and the attitude was much better. I would recommend it highly to those who would like to have a nice afternon tea experience in London.	
Aug 8 2008 	Beautiful hotel but level of service depends on who you are	Stayed at the Ritz for four days in July 2008. The room was a good size for London, with beautiful antiques and antique-style furnishings, and all the modern conveniences you could want. The major problem with the Ritz is that it is just too full of itself, and the level of service one receives depends on who you are. When you walk in the door, you see an amazing number of employees, in at least three types of uniforms (I assume the uniform signified something). They are clearly looking at you and mentally assessing whether you are (1) royalty from some country, (2) high government, (3) multi-billionaire, (4) someone else who has been allowed to stay in the hotel, (5) riff-raff who merely want to sightsee. Since the Ritz still uses the old, heavy keys which must be left at the desk and the desk is near the door, people in category 5 are immediately obvious and are ejected. The elevator is near the desk, so category 4 people are expected to go directly to the elevator. There are closed French doors leading to the Grande Allee, off of which are the Palm Court (for afternoon tea), the restaurant, the bar, and several quiet areas for lounging. Unless you have a reservation and are properly attired (jacket and tie for men after noon), the employee will not open the French doors. Your only chance to get thru is at breakfast, before the dress code goes into effect. But even the level of service for a category 4 person is not what you expect considering the prices. Twice in four days I returned from the theatre to find that the maid had not yet been in the room for turndown service. Therefore the choice was to put out the &quot;do not disturb&quot; sign and forego the turndown service, or sit in the room and wait to go to bed until the maid had been there. True, she was there within 15 minutes each time, but at RItz rates, you expect turndown to be completed well before 10:00. Also, when I asked the concierge for a London Walks brochure, I received the winter brochure (in July). None of this would matter if the Ritz didn't charge what it does. (For a contrast, see my review of four days at Claridge's on my return to London, where the staff treats everyone the same and provides superlative service without fail.)	
Aug 5 2008	Tea at the Ritz - overpriced and overrated	We thought we were going somewhere special.... but ended up in a place with a bright gold fountain centrepiece. It's fairly crammed in and we were seated facing inwards, for some inexplicable reason, so had nothing other than this monstrosity to look at.We didn't feel the overall experience was worth UKP 38 for a 1.5 hr &quot;sitting&quot;, a pianist who stops playing to give you an oh-so-subtle message that your time is up, and ladies' loos downstairs (how do disabled visitors manage?) that have seen better days, with threadbare carpet on the stairs.	
Jul 31 2008	Needs a refresh!	What a tourist trap!The Palm Court is beautful but it is so touristy for afternoon tea!!!!The Ritz Restaurant is nice however for dinner. Rooms are old and small. Overdecorated in my opinion. And a bad location because it is on Picadilly Road(noisy) and on the corner of a subway stop. Would not recommend.	
Jul 4 2008	Great bed- confused staff	We came from the Four Seasons in Paris so this was a little disappointing. I think it has to do with the attitude of the traveler who enters- if you expect to love it, you will. It is lovely and the rooms are good sized with wonderful beds and pillows. But I have several pet peeves in hotels- first, the bathroom opens into the bedroom directly so if you get up at night, you must shine bright light (no night lights in the bath) into the face of your significant other. Also, there was MOLD in the bathroom around the tub and soap dish. There is no excuse for mold to grow in a 5 star bathroom! Housekeeping left the sprayer on in the tub, so when water was turned on for the first time, it sprayed the entire bathroom! Also, at check in, NO ONE came to the curb to help us. We waited about 5 minutes on the curb (having walked from the tube) and no door man was there. We finally walked into the hotel and had to ask for help. They were apologetic, but well, it was a bad start. The young woman who checked us in at the front desk said we didn't get breakfast in our plan, though it said so on our sheet, so we couldn't ask again until the next day AFTER breakfast was over as to why we didn't get it- and the next day the other clerk said, oh yes- you DO. SO they made about 60 pounds off of us by denying us breakfast the first day. The bed was very comfortable, but we were out of sorts from travelling and having things go wrong. So, be sure you bring a nightlight or small flashlight if you get up in the night and don't want to disturb your partner, and ask for a different clerk if you think yours is wrong. We should have asked for our 60 pounds (the price of breakfast for 2) refund. Also, I agree with the commenter who said they were stuffy- I agree that in this day and age, it is silly for the staff to be standoffish to the customer. One can be professional and still be friendly. The staff at the Four Seasons in Paris proves that. Maybe they think you expect this as part of the British experience? But, it is still the Ritz. So if you want to say you were there, you'll at least get a great bed!	
May 4 2008 	Frustrating stay at The Ritz!	My partner and i stayed at the Ritz for one evening last night with our friends. Having stayed in the best hotels in Dubai, London,New York etc, we feel able to make a fair comparison and i have to say we wont be returning to The Ritz. The hotel itself is beautiful, as expected. The room was well maintained and comfortable with fruit and champagne, all the usual comforts. The staff are very friendly and polite, serving staff are impectable with food and drink being of excellant quality. However we have had some dificulties during our stay. We had pre-arrange for our rooms to be ready at 12 o'clock when we arrived. We were on time however our rooms weren't ready. We hadnt taken photo ID for the Casino which is required. We were informed by the conceige when we arrived that it wasnt a problem, we just needed to have photocopies faxed to the hotel. We called a freind who went to considerable trouble to provide faxes of our passports.He also e-mailed the same. Reasurred that all was in hand we thought no more of it and spent a lovely afternoon in London. We had booked dinner for 8pm however our time was changed to 7pm which was a little too early for us.On returning to the hotel we arranged with our friends to meet in the hotel bar for a pre-dinner cocktail only to be told that we should have booked a table in the bar and that it was full so we wouldnt be allowed in.We told them that we were not advised that we needed to do thisbut we were not offered an alternative. We then decided to try the casino before dinner only to be told that photocopies were after all not allowed and we weren't allowed in there either. We explained that we had followed the instructions given by the staff and that had we been given the correct information our passports could have been sent to the hotel within plenty of time. Again no real apology,alternative or compensation was offered. By this time we were annoyed by the attitude and politely complained. We were shown to the bar and a table was found but we were asked how long we intended to sit at it! The evening dinner and dance was lovely, as was breakfast. Check out was simple and we were able to leave our car at the hotel whilst we went out for lunch. However on our return to collect our car we were stopped from using the hotel toilets as we were no longer guests. Quite embarrasing.The overall feeling we were left with was not one of a weekend of luxury, rather that we have spent the last two days in an institution. We are patient and un-demanding people generally but it did try us.Obviously to maintain standards there needs to be rules, however if the hotel has made the oversites you would expect remorse. Bed side manner was definatly lacking. All in all we feel our money could have been better spent elsewhere.	
Apr 17 2008 	Perfect hotel if you like elegant old style Grandhotels	Stayed at the Ritz for 2 days and really liked it compared to other hotels. Great location, rather large room by London standards. Everything functioning well, well-maintained and very clean, although some equipment (e.g. hair-dryer in bathroom) looks somewhat outdated (remainder of 80ies).Very elegant interior with nice, classical decorations. Service very attentive, although somewhat stiff for modern times. Excellent restaurant.Would definitely go again!	
Mar 30 2008 	Worth the Money	My husband and I were lucky to get a great rate for the Ritz with British Airways. Arrived to a beautiful room with flowers, champagne and a fruit basket that they refilled while we were there. Staff knew our name after check in and always greeted us.Rate included breakfast that could be taken in the beautiful dinning room or by room service. This is one of the worlds premier hotels and to stay here was great. We went to their Dinner Dance that is held on Fri. and Sat. nights. Price was not bad for London at 85.00 GBP each but after wine ( 40.00 GBP) and water (5.00 GBP) dinner worked out to about to about 200GBP per head.  We would go back if we could get as good a deal next time. We went to their Tea a few years ago and enjoyed that too. Do stay here if you can&gt;	
Mar 16 2008	wow!!!	my daughters booked a night for my 60th birthday and wow what a great time we had.from the minute we arrived, when the doormen saw us alight from our taxi and hurried down to take our luggage from us.The service was exellent throughout our stay.we wre given a free upgrade to a superior suite for the four of us which we wanted to stay in all the time because it was so fantastic eg. 2 bathrooms with a telly in each the bedroom and lounge also had tellys.It was lovely to have a taste of how the other half live.Also the breakfast in the morning was exellent.ALL IN ALL AN EXELLENT PLACE TO STAY.rose anderson	
Mar 3 2008 	One of London's Best	Beautiful hotel, perfectly located for theaters and shopping. Public areas of the hotel are lovely, and my single (a.k.a. &quot;superior queen&quot; ) room was very quiet, charming, and quite spacious, with an exceptionally comfortable bed and an oversized bathtub. Nice touches included fresh flowers in the bedroom and bathroom, and a large basket of fresh fruits that was refilled twice during my 5-night stay. The room had french doors leading out to a small balcony. However, the doors were wired shut (and attached to an alarm). I don't know whether the hotel is concerned about the structural integrity of the balcony or the possibility that guests could fall or jump. Although the ventilation system was very good, it didn't quite compensate for the windows that couldn't be opened. All of the hotel staff were helpful, thoughtful, and kind. One day I was ill and unable to leave the room. That evening, the hotel's duty manager called to make sure I was okay and offered to bring me complimentary soup and crackers. Housekeeping staff were excellent and unobtrusive. Check in and check out were handled quickly, courteously, and efficiently.My rate included a full English breakfast, which could be taken in the hotel restaurant from 7 to 11am, or from room service anytime during the day. Breakfast was plentiful, waiters were excellent, but the food was quite ordinary. The scrambled eggs were disappointing, everything else was perfectly fine but unremarkable.Although the atmosphere is a bit too formal for my taste, overall it was a wonderful experience and I will definitely return to the Ritz.	
Feb 8 2008	All pomp no substance!!	Well at a loss how to start - beautiful hotel, central to the theatre district which was the purpose of our trip - front office staff, concierge, doorman, were good (nothing much different from any other hotel). Restaurant staff indifferent, room service first night was as advertised on website, beds turned down, champagne in room etc, however had suite with three people - paid £900 per night - no robe, no slippers for third person (they were very well aware of this) room service and extra's (ironing) was prompt and very courteous (guess the extravegant tips helped!) Have stayed in all types of accommodation, from little huts in backwoods of beyond to 5* deluxe and ALL would beat this hotel on service. There is only so long that they can trade on the name eventually people get wise. Back for the theatre two weeks later, decided on Dorchester - what a wonderful unexpected surprise. Much more reasonable in price and the service was so much better! So yes, if you want to impress and say you &quot;stayed at the Ritz&quot; however if you want to really enjoy your London experience try another hotel and save your money for something special :)	
Jan 13 2008 	Christmas at the Ritz	I stayed at the Ritz for three nights (24-27 December) in an Executive King Room at 360 pounds a night. It was my first stay and was, all in all, a pleasant one.On my arrival (five hours before check in time) I was checked in and shown to my room while being given a brief overview of the property by the desk clerk who, among other things and as mentioned by other reviewers, did point out the dress code required in the area beyond the lobby. Frankly, I hadn't even packed any of the forbidden items, so I wasn't too worried.The room was pleasant enough, but the highlights had to be the bathroom (lovely long countertop, huge mirrors) and the closets. As something of a clotheshorse I loved the wide wooden suit hangers, the cedar-lined closets, the clothes brush, and the shoe horn. Items like this should be standard in any upscale hotel, but so rarely are.On the downside, the view from my room was far less than spectacular, and the broadband internet which was (according to my package) complimentary was charged at 20 pounds a day and wouldn't work over WiFi--only by plugging in. That was certainly annoying.The interior of the hotel was very charming and grand--the lobby in particular, with a huge Christmas tree and all of the polished wood was truly beautiful. Not the grandly spacious lobbies you see other places, but a very intimate space. At other places however (for example, on my floor near the lift) furniture seemed piled in something of a hodge-podge (I mean wardrobes and desks on landings) which did little to add to the environment.As I was there over Christmas, I had made reservations for the Christmas Eve Gala Dinner and Dance in the restaurant. Before arrival (in early December) I had been contacted by the events staff and told of all the events happening over the holidays--they were very helpful. Dinner was good (not stunning) and dancing was very enjoyable. The event seemed largely populated by couples who had made it a standard event of theirs for several years, which meant that many of them left earlyish (before 10 PM) and the cuisine was not particularly innovative. Still, though, my most memorable experience of the stay was the wonderful feeling when at just the right point of tipsiness I looked at my lovely dinner date, around the gorgeous room overlooking the park, at the dozens of waiters and sommeliers and busboys and the crystal and china. The jazz band began playing &quot;Puttin' on the Ritz&quot;, and I had a wonderful moment.Other huge positives were the salon (great haircut on short notice) and the breakfast I ordered on my last day--If I hadn't had a flight that day I would have ordered a second breakfast, it was so good.All in all, a memorable experience, but not a hotel I was so entranced by that I'm likely to stay there again before trying out some of the other grandes dames of English hotels. Also on the plus side, London hotel prices are so high that whenever I travel elsewhere I no longer feel guilty about splurging on suites, knowing that they'll still be less expensive than London stays.	
Jan 9 2008 	Amazing stay	Stayed at the Ritz on a theatre package for a treat and had an amazing stay. We checked in after afternoon tea, a surprise by my girlfriend, on a package which included bed/breakfast in a standard room, theatre tickets, and a post-theatre supper. On check-in, we were upgraded for free to the £1500 per night Green Park suite, which was bigger than our flat with views across the park. Amazing - made our stay rather memorable (although I admit we were a bit lucky!).I'd certainly recommend a stay here. Afternoon tea is a pleasant experience, the bar is good, dinner and breakfast were enjoyable, and the suites are out of this world.	
Dec 31 2007	Fantastic Hotel	My fiance (then boyfriend) and I stayed at the Ritz for our birthdays in 2006. We decided to do this rather than buying one another a present. From the moment we arrived it was a fantastic experience. The hotel really is beautiful inside and the dining room has an amazing ceiling. The food was excellent and the service second to none.The Wolsely next door is a must for breakfast and if they are full but you tell them you are staying at the Ritz (we just said we were staying next door and could they call us if a table came free) then they will find you a space somehow	
