	great location lovely staff but needs double glazing	Arrived early for check in but staff kindly let us in to our room early since we had been travelling from early morning. Room nicely decorated but bathroom very small. The main problem with the room was a very bad draught coming through the window very cold. Think double glazing would solve the problem of the cold and the road noise which kept us awake.Area lovely but not much to do in the immediate area not a great choice of entertainment. Taxis very expensive took one to west end cost us twenty five pounds each way. All said we enjoyed our stay needs a few minor adjustments.	
Apr 22 2009 	central location	I had read the reviews about the rooms being small and a soon as we checked in we got asked if we want to upgrade for £30 per night which we chose not to do. We were in room 414 and I was pleasantly surprised the rooms were no where near as small as paris hotel rooms, there was no wardrobe only a hanging rail, the bathroom was very small but it was ok and the shower was good. We were not in our room very much and thought it was perfect for our needs the only moan I had was the window would not open and it was boiling but there was air conditioning. The hotel is nice and there are internet facilities its £6.50 for a minimum of 90 minutes. Put a £1 in the machine rather than buy a token from reception and its a £1 for 20 mins. The breakfast was ok, would never pay £12.50 for it, I appreciated the complimentary paper though. The hotel is right on hyde park and on day 1 we walked through hyde park to oxford street in 10 minutes, the hotel is right next to lancaster gate tube station buy an oyster card its only £1.60 per journey. We ate in the swan oub next door to the hotel, its a touristy pub and very nice food and live music on some nights. I thoroughly enjoed london and would recommend the hotel if you got a good deal, we paid £200 for two nights and that included train fare from edinburgh, bargain!!!!!	
Apr 18 2009	Clean hotel great location helpful staff	Stayed in a twin room on 8th floor with my teenage daughter, we were both happy with the room. It had a partial view of Hyde Park. The room was comfortable and a decent size with ironing board, hairdryer, safe, coffee/tea maker and flat screen tv on wall . Plenty of space for two suitcases, carry-ons, and a place to hang clothes. Plenty of space to sit with laptop. The shower was an adequate size for us and the bathroom looked fairly new and clean. The beds were clean and comfortable with a small table with phone between them. The windows had sliding shutters that kept out the noise from the street. The staff was helpful. The location was great. A short walk to Queensway for shops and restaurants and a little longer walk in the other direction to Marble Arch/Oxford Street for shopping and restaurants. I would recommend this hotel.	
Apr 14 2009 	Great spot nice people room good - shower unuseable	Central spot, good food, nice hotel BUT room small (but clean) however the shower can only be used by dwarfes - its over bath with just 6ft headroom and into this protrudes a ceiling overhang. I am 6ft 1&quot; and fairly big with it and had just an 18inch gap to get my head and shoulders in!!!!	
Apr 10 2009 	decent hotel	From the bad reviews, I was not expecting much and was pleasantly surprised. It was close to the tube, across the street from the park. We heard no one! The breakfast was fine, nothing fancy, but certainly good enough. The room was normal small for European standards and clean enough. I thought the staff were very very helpful. I would stay here again, especially because we tend to be away from our hotel except to sleep.	
Apr 1 2009 	nice hotel and very good location	the hotel is located in front of hyde park. if you've got a room on this side of the hotel you've got a great view. and the subway station is very close, just a few metres. the hotel staff was everytime friendly and very good to kids. good breakfast in the morning for 7 euro. so very nice hotel !!	
Mar 26 2009 	I would be happy to stay here again	I was dreading the hotel after reading the reviews- however we came on a personal recomendation. Got a deal with lastminute.com whcih made the rooms cheaper- for the room itself, over £100 is a bit steep.The foyer was very nice and smart. We were able to check-in at 12:30 which was excellent. It was nice to freshen up in our room rather than in the toilets! The room wasn't huge but way big enough for two women to be able to share! The beds were comfy, it was dark enough at night and the shower was clean and powerful. We were woken up at 6:30am by next door who were IRONING. Ther toiletries were nice enough as well. We didn't eat at the hotel, preferring to try different places in London. Overall, a good stay in a nicwe hotel- provided I get a deal again, i'd go back. The location was amazing- 10-15 minutes walk to Oxford Street and 2 mins from tube.	
Mar 23 2009 	You get what you pay for.	At first glance this is a very nice hotel and good location. We were placed in a room that had been recently been painted (perhaps that very day) and became ill as a result. We asked to change rooms and were placed in an &quot;upgraded&quot; room on the ground floor. Not very upgraded in my opinion. The bedding was clearly aged and towels were clean but stained. The carpeting needed replacing as well. The noise from being on the ground floor was loud, but to be expected.  The manager was nice enough, but the staff was not as polite as I would expect by UK standards. I asked for advice on a day trip at the concierge and he seemed annoyed and uninterested never looking me in the eye. I did my own investigating from there on out. Breakfast is overpriced and crowded. The hotel staff even recommended that visitors arrive for breakfast before eight-thirty so that they could prevent overcrowding. We did as they suggested thus did not have to wait, but was annoyed at a timetable whilst on holiday.	
Mar 16 2009 	Good location with nice average room	Hotel is 2 mins walk from Lancaster Gate tube. Nice small hotel with average room, should book viceroy rooms. Friendly staff, thanks to Hafiz from concierge, help with tours and entire stay. Traveller with budget will find this hotel is good yet very clean, nice bed and fresh towels. Breakfast was good eventhough same dishes everyday, olio restaurant average only, nothing great but worth a try. I would go back there if i'm on a budget holiday.	
Mar 14 2009 	Convenient location to tube 	Hotel staff, particularly the Front of House Manager was very polite &amp; helpful.We thought the paid upgrade to a Viceroy room was dissappointing. The room we were allocated was dark, plain &amp; very basic. We immediately complained &amp; the above manager showed us 2 rooms to choose from. We settled on a double room &amp; was offered complimentary Tea/coffee in the lounge.Irritating to have the maid knock on the door at 8am - why?Full English Breakfast satisfactory if not chaotic.Frank - waiter in the lounge area, what a pleasant man.	
Mar 8 2009 	Great Location! Hotel Average	Hotel - Corus Hyde Park; Good location, no, it’s a great location! Lancaster Gate Tube 5mins, Queensway Tube 10min walk. Oxford Circus 10mins using the toob!Hyde Park, across the Road. The Diana Memorial playground in Kensington Gdns, is across the road, and a 15min walk. Lots of joggers in the park, and nice for a pleasant stroll. Hotel itself was ok, just that, I wouldn’t have chosen to stay there if I had to pay with my own money. But it was ok for a freebie, rooms ok, bit small, nothing special, not particularly modern, but nonetheless they were adequate, but they need sound proofing tho, and flat screen TVs and need more channels (only had 8). The dinning rooms were adequate, and communal/foyer/reception areas all adequate, even if a little bland.Breakfast was OK, but not particularly good value at £12.95 a plate for a full English and £7.95 for Petit Dejeneur (but we didn't have to pay, as it was included in our deal).Reception staff were fine, room wasn’t ready at 14:10 when we tried to check-in tho - and that’s not good IMO. The concierge was helpful. You can leave your bags with him if you arrive early, or drop them off later and go on a wander, he has London maps and is happy to point out how to get to places and whats in the near vicinity too.Queensway: is just up the road, 10min walk from the hotel, this is more like the real London, less touristic, plenty of ethnic places to eat, North African, Middle-Eastern, Italian, Indian and Chinese restaurants, plus cafe's, Pizza houses, supermarkets, chemists, Banks, coffee shops, waffle houses and up the road is Whitelys Shopping Mall with cinema and more places to eat and drink; the Ice-skating/Ten-Pin Bowling venue is just up from Queensway tube too. Overall we liked the location of the hotel, and if you're feeling fit, you can easily walk to Oxford St from here, its virtually a straight walk. We would consider staying again if the prices was right, because of the amenities close by and that it is well located. With ease of access from the Central Line tube. Its not a great or particularly outstanding hotel itself IMO, but when you're in London you are not going to be stuck in your hotel for much more than sleeping hours, so this make the hotel adequate for what it is, its t the cheaper end of the market, not no-frills as such, but functional. There was nothing particularly to dislike. The location is the winner for this place.	
Mar 1 2009 	Good location nice foyer small room	I treated myself (I don't usually stay in Hotels - I do B&amp;B). Anyway a few days in London and I wanted a good location. I got this and it has a nice entrance foyer with staff that were very courteous although I didn't have a lot to do with them.My main gripe was the room was tiny. I booked a 'superior double' apparently but couldn't find anything superior. It was nicely presented, clean and quiet but rather on the small side. I was on my own in a double (told you it was a treat) but I don't think 2 people would have faired too well. It's a good job I didn't take the cat as there was no room to swing it, particularly in the cramped bathroom.I spent more money than I've spent on a hotel to stay here as I wanted to be central. I stayed in the Hilton at Gateshead the week before and the room and the experience was so much better than this.I'd stay here again if I could get a good deal but not sure it's worth the money I paid this time - will check for good deals before booking again	
Mar 1 2009 	Overpriced	Hotel has a great location - handy for Lancaster Gate, Paddington Station and Kensington Gardens. But I felt their website was misleading. The promise of a superior double room with a separate working area space actually turned out to be one of the smallest rooms I've ever stayed in and was located in their Mews Block, i.e. ground floor level. Apparently these rooms are much larger than standard but the hotel's website mentions nothing about a Mews Block nor about being on the ground floor (elevated ground floor is probably how they would describe it but you still hear the rubbish being collected, cars driving by and horses on their way to Hyde Park.). The one other off-putting factor was dirty plates in the corridors - I had to walk past half eaten fish and chips left outside the room next to mine from early evening until late morning - not nice. Room itself was very clean.	
Mar 1 2009 	good location. Modern rooms but very small!	We were staying in a standard double room and whilst it had been refurbished recently and was to our taste, two major things let it down - firstly the double room for 2 people had the bed up against the wall - very disappointing when there with a partner and not something you expect of a modern double room.The bathroom was tiny and although clean and fairly modern you had to shower with your head bent down as there was wall sticking out above the shower which was very poor design. But otherwise, overall good. Staff friendly enough and fairly good value for London. Worth staying	
Feb 23 2009	Corus Hotel Hyde Park	This hotel occupies an elegant building in a superb position -- very close to Hyde Park,Kensington Palace and bus and tube transport.The reception area and public rooms are very smart and the staff really helpful and friendly.Breakfast was pleasant and better than many other London hotels but oh dear the room!Having booked a standard double I didn't expect luxury but our room was so narrow that the standard double bed had to be pushed up tight to the wall. Access into /out of bed was made even more of an adventure by having to limbo underneath thedressing table shelf which butts right up to the end of the bed.This room was barely adequate for a single bed but with a double it was ridiculous Reception staff informed me that all of the standard doubles are this small and that I should have requested an executive room--- refreshingly honest and what good advice.	
Feb 22 2009 	Very pleasant and convenient	My husband and I stayed at the Corus Hotel Hyde Park the last week of April, 2008 for four nights. The hotel itself was very pleasant and the staff were helpful. We were able to schedule a day trip to other parts outside the city through the concerge service at the Corus. The only negative aspect of our stay was that our room was not ready when we arrived (after stated check-in time) and had to return to the hotel more than once only to find out that it still was not ready. Finally, on our third attempt, we were &quot;upgraded&quot; to another room. In the elevator, we realized that the floor we had previously been assigned to was under construction. The room itself was small, which is characteristic of any hotel room or residence (in terms of room size) that I have experienced in the UK. We were, however, very comfortable and had access to everything we needed. There was a hairdryer in the room, so there is no need to bring one (along with the dreaded converter). The rooms were very clean and comfortable. The bathroom a little cramped. but functional, so no complaints there. If you are traveling to London, chances are you are not going to experience the hotel life, anyway, right? We purchased the option of the included breakfast and were pleasantly surprised by the quality of the full English. We got up early every morning and had a good sized breakfast before leaving for various parts of the city. I would definitely recommend this option, as it was well worth it in quality and convenience. The hotel itself is VERY well located - the Lancaster Gate tube station is just around the corner (turn right coming out and cross the street and the hotel is just down the block on your right). In addition, Hyde Park is a lovely walk and just across the street - and so is Embassy Row, which is home to several very beautiful residences and is a nice stroll (but don't take any pictures!). There are also always taxis outside the hotel, and if nothing else, the doorman can hire a taxi for you. And, don't miss the fish and chips at the Swan pub next door to the Corus - that is where we started and ended our trip. And the Young's Ale isn't bad, either! If we return to London in the future, the Corus will be at the top of our list of places to stay.	
Feb 15 2009 	So pleasant after long days sightseeing...	We stayed at the Corus in January - my husband, teenage son and I and we all enjoyed the hotel. We did have the full breakfast, rather than the continental, included in our rate- eggs, bacon, toast, cheese, yogurt, fruit, coffee and tea. We were up early and planned full days, so enjoyed a leisurely breakfast in an almost empty dining room before heading out for the day.The hotel is an extremely short walk from the Lancaster tube station (maybe one block) and a 5 to 10 min. walk to Paddington station. We found the concierge very helpful - he spent a good deal of time helping us with maps, looking up info on the internet for us, etc. and didn't leave us until we were sure we knew what we were doing. The rooms are tight, but many hotels in London have the same issue. Certainly the room was clean, and very quiet which was appreciated after our long days. We ate a few times at The Swan Pub right next door and loved it - friendly, warm place where we all ate, dinner for three at under $40 with the recent exchange rates. I chose this hotel because I wanted a place far from the noise of downtown London, yet convenient to everything by tube. I also wanted breakfast included in the rate. All in all, it was exactly what I wanted. I would definitely go back.	
Feb 2 2009 	A great location in central London	I stayed at the Corus Hyde Park at two different times, one on a group trip and the other on a solo trip, but both times had similarly positive experiences. The first time I had a twin room, which I shared with another fellow who was in my group. Room was a bit confined, but enough room to get around. Room was clean, bathroom was functional but not particularly roomy, and bed was comfortable. The second time, I had a nice room, which had a double bed, and it came with a more spacious bathroom and room in general. This bed was very comfortable.Any hotel in London is going to be expensive, as this is one of the world's costliest cities. However, for the money, I found the Corus Hyde Park to be a good value, relatively speaking. The lobby is nice and spacious, but the breakfast is not exactly what I consider to be a great deal, for the price that they ask for it. They do have a nice bar in the lobby with a nice selection of beer on draft, and the concierge is very friendly and knowledgeable as far as getting around. There is a great pub located directly next door, The Swan, and they have great fish and chips, a huge assortment of draft beer, and upstairs they have a fellow who is very entertaining and plays the piano most evenings. Past the Swan, which is a historic spot in London (see plaque on right side of building), is the Lancaster Gate Tube station, which is located on the Central Line of the Underground. The hotel is also located near several city bus stops. Right across Bayswater Road is Hyde Park and the Serpentine, which is great for an early morning walk, which my girlfriend and I took and enjoyed. About a 15 minute walk down Bayswater Road, towards West London, you run into Queensway, which is a street full of all sorts of shops, restaurants, a casino, an ice skating rink, and several department stores, and if you need to pick up any last minute souvenirs for anywhere in the UK, Queensway is your spot, some pretty good shopping and bargains to be found.All in all, this is a decent hotel, not to be mistaken for the Ritz, but it treated me well both times I was there and the location is hard to beat as far as being located within arm's reach of everything in London.	
Jan 26 2009 	Pleasant stay at Corus Hyde Park	I didn't get around to reading other Trip Advisor reviews (which are mixed in opinion) until after I had booked, but I needn't have worried. The location is fantastic - close to the tube, Hyde Park, restaurants. Also close to Paddington St -I dragged my suitcase for the the short walk to the hotel after arriving on the Heathrow Express train. I stayed in a single room and knew in advance it wouldn't be huge. I was pleased with the clean and tidy room that had space for a desk, and also a fold-out ironing board. Staff were friendly, although service was a bit slow in the restaurant. The continental breakfast was disappointingly small (cereal, few slices of cold meat and cheese, and the only bread were some small rolls), but in my case it was included in the room price.  I'd be happy to stay there again.	
Jan 24 2009 	Used to be better	I've written good reviews about the Corus in the past and had found it to be clean, comfortable and with good service. After a break from traveling for work I returned and actually was rather disappointed to find the Corus has downgraded in a few small ways which add up to a mediocre stay. I shan't be asking to stay here again.	
Jan 22 2009 	What a Dump	Had the hotel stay from hell in this kip last weekend. Arrived late (approx 10.45) on Friday evening. Booked through lastminute and had a copy of my conf. email. According to reception I had no booking. Couldn't understand because in addition to my conf. mail I had emailed the hotel telling them I would be a late check in and recieved a reply telling me I could check in anytime after 2.30pm?!?So, we booked fresh, a double room. We were sent to the most ghastly room I have ever seen. A double room in a 4 star hotel with the bed against the wall, and the fresh, strong scent of nightclub ashtray. Disgusting. No other double but could have better twin. Bad news when away with girlfriend. Room was Blue!?? 1970's chic, with a filthy carpet, filthy torn chairs, 2 beds, one bedside lamp, 20 year old tv with bad reception.Tried to get lastminute to sort out problem on Sat morning- they told me they had mailed a cancellation notice(sat unopened in my mailbox, it arrived just before conf. mail). After that they didn't want to know. Customer Service. It simply does not exist with that type of company or this kind of hotel which exists for unsuspecting visitors to London who don't realise that they are being had.Met duty manager on Sun at checkout. He couldn't have been more unhelpful. My problem at this stage was that I booked through lastminute for 170 euros total, and they wanted 230. Because you've given a card on check in you are wasting your breath making your case, the manager told me to take it up with lastminute, like it or lump it.	
Jan 22 2009 	Wonderful Hotel	This hotel is wonderful. We stayed here for eight nights and enjoyed every min. of our stay. The room was very clean and quiet with a nice bathroom. We had a window over looking the street and Hyde Park. The staff at this hotel were all very friendly and went out of their way to assist us. The breakfast was very enjoyable each morning at a table overlooking Hyde Park. Anyone visiting the greatest city in the world would enjoy their stay at this hotel.	
Jan 20 2009 	Worst staff ever.	This has to be by far the poorest hotel I have ever stayed in, and for one reason only - the staff. The daytime staff were ok, although Giovanni at Concierge was rude and it seemed deliberately unhelpful whatever the time was. The night staff it appeared hadn't been trained in either customer service or, how to even be just plain polite. Asking if there was room service after midnight was like trying to get blood out of a stone - the night staff just cant be bothered. Although it is apparently possible to get baguettes through the night if one wishes, when asked for, one certainly does not get, as the reception staff reply with , &quot;I no understand.&quot; Many conversations were had with reception staff in plain, simple english - all my wife and I wanted after a night out at the theatre was to come back, have a sandwich and go to bed. When I rung down to reception and ordered 2 cheddar and pickle sandwiches, the man's reply was &quot;We got no cheddar.&quot; So we ordered the next thing on the menu - a feta cheese. the reply: &quot;we got no feta&quot; . So again, we ordered the next - a ham and pickle. &quot;we got no ham or pickle.&quot; I then said - so what do you have in stock then? The reply &quot;I no understand.&quot; So after deciding it was less stress to have nothing at all, we went to bed. We were disturbed by who I can only imagine was the same man from downstairs, knocking at our door. My husband got up, answered the door, and the man came into our room, uninvited, asking what we were going to order. We explained we hadnt ordered anything, and it seemed they had nothing downstairs anyway. &quot;But you rang. You must order something or I will have to do a report.&quot; A report on what? I asked. &quot;On the sandwich you ordered!&quot; I told him we hadnt ordered anything at which point he turned around and said &quot;i dont understand&quot;. I asked him to leave our room, at which point he refused and did nothing, just stood there. I dont know if he was waiting for a tip (?!) but I had to basically usher him out of our room. Disgusting behaviour. I went down to reception the next morning and spoke to Jackie, a duty manager,. who was also just as rude, ignorant and untrained as her night colleague. Her exact response to my account of the previous night was &quot;well if you dont like it, check in somewhere else! you have a problem with the way a member of staff treats you, file a complaint against them, not the hotel!!&quot; Ridiculous! Definitely the worst hotel I have EVER stayed at, hardly slept at all, and as someone who has worked in customer service for 22 years, I KNOW that a LOT of the staff there should be fired for sackable offences, and not maintaining even the most basic levels of customer service and manners. The manager there (who was never available when asked for) needs hauling over the coals.	
Jan 14 2009 	Noisey	This was out second stay at the hotel and will probably be the last. First stay was great, in a standard room. The second stay we upgraded to a duluxe room and this was a big mistake.The room was ok but the bathroom was in need of a good clean and modernisation. It seemed dirty and it was tiny.The TV was broken and when we turned it on it was set on full volume! Not the best way to find out at 10.30 at night. The pipes had an air lock in them so all night there was the most awful noise (like a ship horn) every few hours. The location of the hotel is great, close to everything, Hyde Park, Oxford Street and a tube station but I am sure there are other without all the hassles we experienced.	
Jan 6 2009	Wonderful time at the Corus	We had a great stay at the Corus hotel. it was a quick and easy check-in with friendly staff, our room was comfortable and clean and definately big enough for 3 adults. It was in a good location, across the road from Hyde Park, not a long walk from Oxford Street and the underground was only a few mins walk away. The concierge was very friendly and helpful. No complaints at all, would definately stay here again.	
Jan 4 2009 	Tiny tiny tiny	The location is perfect, two minutes walk from Lancaster Gate underground station, but the room, double bed, was extremely small! Yes, it was clean and the bathroom was brand new but the walls were thin enough to hear everything happening on our floor. Long, long queues for breakfast, which was not something special and though it was prepaid we skipped it several times, in order not to lose the day.	
Dec 19 2008 	Mixed feelings	We stayed four nights at the Corus Hotel in September 08. We found the location to be very conventient, very close to Lancaster Gate tube station and also walking distance (10-15mins) to Paddington to catch the Heathrow Express. We found the hotel and our room to be very clean. We used the concierge service a number of times and they were very helpful and quite friendly, although one time we got a man that did not communicate very well in English. The room was small, but when in London you don't spend a lot of time in your room, so we found this to be ok. The biggest issue was having space for all of our luggage as we were travelling around for quite a long time and had accumulated quite a lot along the way. Our stay included continental breakfast, which we found to be very average. There were very few options for breakfast.	
Dec 15 2008 	Fine Hotel at a Good Location	I stayed here for work in November, after I stayed in another hotel (Shaftesbury Premier Hotel Paddington London) for work in October. I would rate this hotel as much better than the Shaftesbury, because the rooms are far more spacious, there is more light in the rooms and the bathroom actually had a bath. Rooms were clean, no complaints there.Moreover, the enterance with reception, restaurant and bar was excellent. Staff was all very friendly and helpful. The location was perfect, next to Hide Park and very close to the underground. The neighbourhood is fine, altough not the place where you have many bars/restaurant/nightlife, it is a quiet neighbourhood.On my last day, I tried the continental breakfast for the first time. This was a big disappointment (although I don't know how the English Breakfast was). Very little to choose from, definetely not worth the money. It was better to get a muffin or sandwich at any café.Basically, this hotel delivered everything you would expect from such a class of hotel. Although it is not cheap, but then again nothing in London is. It is a reasonable price for London standards. Therefore I would certaintly recommend this to anybody else.	
Dec 7 2008 	Tiny Room Rude Receptionist Paper Thin Walls	We stayed here for one night and tried to book originally by turning up at reception.The receptionist told us on arrival that they had no rooms left at all, I said I had seen some on the internet and she told me that this was not the case.I made a phone call to the hotel and booked a room over the phone. I then returned to reception and hey presto they now had a room available for me, and internet people said there was &quot;loads&quot; of availability!!We booked an executive suite in this supposed 4 star hotel. The room is under a 2 star and is no way an executive suite. It was tiny, old run down bathroom with a door half the size of a normal door. The bed was very old, the mattress was the most uncomfortable I have ever slept on with broken springs in it.On minor points the hotel website mentions that the executive suites come with LCD Television (we had a tiny old TV with terrible reception and no remote), water (1 small bottle to share between 2). The bed covers are scratchy and old (no duvet) there are wires hanging out of the walls and the ceilings are so low it feels very claustrophobic.I would never recommend this hotel, and for the same money in London (we paid £169 not including breakfast) there are plenty of far superior hotels. I have had better experiences in Hostels! Never stay here!!!!	
Nov 21 2008 	great stay	we stayed here for 3 nights, the room was clean, a bit small but we were not in the room other than at night, we had our 8 month old baby with us, staff were excellent, all very friendly, hotel location was great, tube 2 minute walk, swan pub next door nice and friendly, we walked through hyde park to harrods which only took 30 mins, and also walked to oxford street which took about 30 mins,breakfast was fine, good selection, we ate in the hotel 1 night it was great and staff couldn't have done enough, ordered room service dinner which had a £5 tray charge, same as any hotel we hav ever been in, no complaints, great value for money in london,	
Nov 19 2008 	Distinctly average and Costly	My boyfriend and I stayed here for 2 nights in early Nov. We were allowed to check in early and the front desk were very helpful, but the gave us a small cupboard with 2 single beds! Im so glad when we went back down to reception they changed it for us, as there would have been no room for both our suitcases!We were given a double room, and told it wasnt a smoking room, but as we had booked a smoking room, we were told that would be ok. I dont know how non-smokers would feel about this.The room was small with only room to move around if someone was sitting on the bed. The bathroom, was extra small, with one not being able to move from toilet to shower without closing the door. The room was eye level clean in that all the noticable places were clean, on closer inspection it was dusty and the carpet could have done with a hoover. and the blind was held up with velcro, with a huge gap which kind of defeated the purpose.Decent storage space regarding the room size, and tea/coffee facillities were in the room, No ironing board and iron though.its my advice NOT to order room service, after a long day my bf and I ordered dinner at around 9pm. 2 steak and chips was really overpriced, and the food definately sub-standard, had i been in a restaurant, i would have complained, and im not really a complainer. Just trying to leave a fair review.the lobby is nice and most of the staff are too. But you will pay for absolutely everything in this hotel, which i dont think is great considering its rating. You are allowed to leave your bags free of charge though with the concierge which is great if you have a late flight and are checking out early like we did.My advice is if your not happy with the room, ask to be moved, dont order room service, and dont let the impressive lobby fool you, its fairly average.	
Nov 17 2008 	room was tiny !	the hotel was lovely, staff very friendly and helpful. breakfast was good - although we were told that 'full english' and 'continental' were served in 2 separate rooms!! the only downside was the size of our bedroom and bathroom - you couldnt swing a cat! there was barely room at one side of the bed to walk to the bathroom without hitting off the shelf were the tv was. we didnt mind about the bedroom as we were only staying for 1 night and it was spotless clean and the bed comfortable. we were on the 5th floor and the walls of the bathroom were slopped [attic like]. it was impossible to have a proper shower - once the shower curtain was closed, there was a width of about 12&quot; to shower in.. but as the shower head was in the corner, overhead bath on the slopped wall, you couldn't actually stand under it, due to the shape of the bath. if we had been staying more than 1 night, i would have asked to be moved to a different room.	
Nov 15 2008 	Fawlty Towers in London?	We were booked in at this &quot; supposedly &quot; 4 star hotel to attend an awards ceremony at the Hilton Park Lane Hotel.All accommodation was paid for in advance to include full English breakfast. When we arrived we were asked for our credit card as the room needed to be paid for before we could have it.We showed them all the paperwork regarding the booking but were still informed that the room was not paid for. We had to contact the company who organised the booking in order to get it sorted out.The room was a twin, but was the smallest room we have ever been in, with both beds against a wall, with a space between them which would only allow one person at a time to be there. However it was clean, and reasonably comfortable, if very basic, with no storage space except for one small hanging rail. The bathroom was tiny and anyone of a larger stature would have struggled to use it. On arrival for breakfast the following morning we were informed that this was not included in our booking, despite being on the booking arrangements. After a trip back to the room to get the paperwork this was then sorted out with reception. The food left a lot to be desired. The eggs were like bullets, and the rest was barely edible. Not what you would expect from a hotel of this standard.The only good service we received was from the Concierge, Jean, who was excellent and could not have been more helpful, and was also extremely polite and amenable.I would definitely not recommend this hotel to anyone.	
Nov 5 2008 	Think I got one of the better rooms......	Booked this as one of the 'mystery' hotels on Lastminute, purely on price. It's at a pretty good location but the place is looking tatty around the edges - frayed carpets and flaking paint in the rooms.It's also one of those irritating places where they charge for absolutely everything - WiFi? Extra. Forgotten a razor? Pay for it. Breakfast in your room? That's a fiver please....I actually got a decent-sized room, but there was a woman in reception complaining loudly about the size of her 'cupboard' sized room. I did see a few of the others as they were being cleaned this morning and they were teeny - even the doors are smaller!	
Nov 3 2008 	Don't Eat at this Hotel go next door to The Swan Pub	While the Corus Hyde Park is well situated to Hyde Park the food left a lot to be desired! £22 for a very tough sirloin steak even I found hard to swallow! But the Swan Pub just left around the corner does wonderful steaks for £9!! Plus really friendly service no matter what time of the day I went in I skipped the Corus breakfasts as well and had the full English Breakfast at the Swan along with dinner at night.The £50 surcharge for a later checkout time I thought was excessive overall the Corus was comfortable and clean. Not sure I'd stay there again though.	
Oct 22 2008 	Disappointed	Fortunately I stayed here at someone else's expense. For an expensive hotel I expected more than average standards of service - in particular, only 8 Freeview channels on the TV, fag burns on the bedside table and the films on the TV failed.Staff were fine, and I can't say the room was uncomfortable. But it just lacked the edge that you expect for £200 a night.	
Oct 21 2008 	Convenient	We'd stayed at the Cumberland Hotel last year near Marble Arch, but this year, needed something a little more affordable at the last minute. The Corus Hotel Hyde Park ended up being a decent option for the week stay. The location was great -- as mentioned in other reviews, very close to the Lancaster Gate tube stop.Upon arrival, they provided us an upgrade to a &quot;larger room&quot; which was still small by American standards, but sufficient by London standards. We didn't plan to spend much time in the hotel room, so it was fine for our needs.A full hot English breakfast (eggs, sausage, bacon, fresh fruit, etc.) was included in the price, so that was a great bonus. I'm uncertain why they had 2 breakfasts offered -- one continental and one full English.The location really can't be beat. If you're not looking for luxury, but need a clean, convenient, affordable and safe place to stay, then the Corus Hotel Hyde Park is a great choice.	
Oct 16 2008 	Convenient Location Nice Accomodations	We stayed at Corus Hyde Park for three nights from September 30, 2008 through October 3, 2008 on a trip to London to celebrate our first wedding anniversary. We booked with British Airways Holidays and got the room for a bargain of $426 total for three nights ($142 per night).The lobby was nice, using mirrored walls to make it seem spacious. It featured modern furnishing and two computers with internet access (I think we paid a pound for 15 minutes).The hotel is very convenient to the Lancaster Gate tube station and only a 10 minute walk to Paddington. When leaving the Lancaster Gate Tube station, turn right, cross the street, then take your first right, after &quot;The Swan&quot; pub. &lt; 5 min walk.The first day we arrived we wandered through Hyde Park and found we were also only a 15 minute walk to Knightsbridge.The hotel rooms were small, as expected in London, with modern, simplistic furnishing. It appeared to have been renovated within the past 5 years. Our room was on the 6th floor and had a view of the back alleyway. There was some noise at night, garbage bins in the back alley, but that is expected in the city. We had everything we need, including a flat screen TV and a shower with great water pressure. We also had tea and tasty ginger biscuits in our room. Our rate included breakfast daily. It was a nice spread, including juice, coffee, tea, cereal, croissants, rolls, cheese, deli meat, granola, yogurt, etc...We had drinks at the bar one night and the bartender was pleasant and accommodated our strange American mixed drink requests.I would stay here again. Not the nicest hotel in London, but a good bargain, nicer than I expected.	
Oct 10 2008 	Corus Hyde Park - Not quite what it seems	If you hear the word “upgrade” from any of the staff, please ignore them. I stayed at the Corus Hyde Park for two days in October paid for by my employer.I had booked a standard double room but when I got to the hotel they advised that all double standard rooms had been booked so they would “upgrade” me to a twin single room. It was hardly an upgrade just standard small room with two single beds. In fairness they had advised that as a gesture of good will, wait for it, they would “upgrade” me to a superior double room the day after.The day after, they put me in what was supposedly a superior double room which once again appeared very standard.There was no bottled water in my room but there was water in the room next door occupied by my colleague.The Corus website stated that all bedrooms had large flat screen TV’s but both rooms I stayed in had standard 19” CRT TV’sAvoid staying on level one as this is infact the basement, avoid staying on level two as this infact the ground floor. Both of these floors had poor views and a lot of street noise.We ordered Mohitos from the bar which were the worst Mohitos I had ever tasted. The hotel restaurant was empty on both days I was there &amp; when I tasted the food I realised why. The presentation of the food was awful, the chips seemed to have been cooked in old oil, the Malaysian food was limited in choice and not very appetising. The restaurant was also very cold as it was incorporated into a conservatory structure. The physical hotel, furniture, carpets etc was visibly suffering from wear &amp; tear.I would not stay at this hotel again. The only positive thing abut the Corus hotel was that it was close to Lancaster Gate tube station, Hyde park was across the road and there was a decent pub next door.	
Oct 10 2008 	You can do better	We stayed at the hotel for one night to attend a function nearby and had it not been for the exellent location for that specific event, we would have been very very disappointed.The room has to be the smallest I have ever stayed in, so small in fact that 2 people have to move around the room very carefully to avoid bumping into each other and all the extras one would expect in a 4 star hotel are there, but on a very small scale. It really feels a very cramped environement, with unomfortable beds.Shop around to get a decent sized room if you can, otherwise prepare for the doll's house experience	
