	Just ordinary	I stayed in an individual room at the Meliá White House for one night. I found the hotel just ordinary. The decoration and furnishing are pretentious and a bit dated.The staff at the reception desk were nice and both the chek-in and the check-out were fast. The room was small, if not too much for London standards; however there wasn't even one chair and the only &quot;table&quot; in the room was more of a ledge with legs, barely 25cm deep and placed in a narrow, poorly-lit, aisle-like space (which is awkward for a four-star hotel that claims to be ideal for business travelers; but of course with a chair and a desk the room would have appeared crammed). The TV was big and a bit old. The closet looked a bit shabby. The bed was comfortable. The bathroom was up-to-date but really tiny; not even a shelf for the toilet bag, just the small counter around the sink. Everything was clean enough. There is a coffee and tea kit (inside the closet, as there is no other place to put it).There is something odd about the use of the in-room minibar: an note advises that if the customer uses the minibar to cool his own stuff then he will be charged 15 pounds.No free internet at any area of the hotel. Rate is 15 pounds per 24h.I didn't have breakfast at the hotel; I don'd remember the price but it was in the region of 20 pounds, so I had a good breakfast somewhere nearby (Great Portland St. is just across the street).The hotel is well located but you can find plenty of well located hotels in London at similar or cheaper rates and this one does't add any special value.In brief, it was just fine but there's nothing special about it. I've stayed at nicer hotels in London and would recommend this one only if you get a cheap rate.	
Sep 24 2008 	Wonderful stay	We stayed 2 nights at the Melia White house in september. The hotel staff were really lovely, and allowed us to park at the front of the hotel for a small fee. We also had a late check out, which was free of charge. The hotel breakfast was superb, and as our stay included one dinner we sampled the restaurant one night. This was also very nice. The room was fine - a bit small - but we didn't spend long in there! The bed was comfortable and the room quiet. The hotel is situated very centrally for all attractions, and we walked everywhere as its very close to everything you need. I would love to stay there again!!!	
Sep 23 2008	Construction Noise and Little Sleep	During a 5 day business trip to London, I stayed at the Melia White House.Next to the hotel, there are TWO buildings under construction. Both buildings perform construction 6 days a week (Mon thru Sat) and start at 7am. The noise is unbearable, especially the jackhammers. I recommend avoiding this hotel until after the construction is complete (perhaps call the hotel to check if the buildings are still under construction). Or see http://www.regentsplace.com/ which says the construction should end in Autumn 2009.The beds are quite uncomfortable and the bathrooms are small (and slippery, watch out). The hotel lobby is probably the most peaceful place. The location is very good, with easy access to the tube.In short, avoid the hotel until after the construction.	
Sep 22 2008 	London at the MWH	The hotel is nice. The service is good: Nothing out of this world but good. Well located and easy to access. Food is OK.	
Sep 11 2008 	Exceeded Expectations	We got a good deal through priceline, but of course we were concerned what we would get. The hotel was in a good location next to Regents Park, with two tube stations within walking distance. We arrived at 10:00 am from our flight and were allowed to check into our room. Staff were mostly Spanish, spoke good english and were very nice. This hotel was clean! Very pretty lobby and public areas. Lots of marble, brass and nice furniture. Only one negative, this was a very small room, not much different from a cruise ship. It was clean, quite and had a decent view, the older furniture was in good shape, bed was great, bathroom (had bath-tub) was small, but marble and clean. For what I've had in London in the past, maybe best deal yet. I would say that if you don't require a large room, this is a great value for under $200. I would stay here again, but I might consider the $80.00 extra for a larger room, but which puts it into competition with some nice other hotels. Breakfast was not included, and was very expensive, so we ate across the street for cheap (for London).	
Sep 10 2008 	a fabulous 4* should be a 5	we originally booked this hotel throught the melia website but then saw it on last minute.com in the secret hotels for about £100 cheaper which to start off was a bonus . but when we got there we were astounded we have stayed a lot in london in various hotels but this was above par the foyer is large and beautiful the staff even tho they are mainly spanish being as it is a spanish run and owned hotel ...were friendly and very helpfull we booked in with ease . we were asked if we wanted to upgrade to a junior suite we declined and really if we had we would of been bowled over because the superior room was ample big enough and comfortable. it was clean and spacious the king size bed could of easily slept four it was huge. we had our fair share of small minor problems but they were fixed instantly for example the light in the room was flashing on and off they came up immediatly and replaced it the iron kept blowing the fuse but they changed it instantly they were very efficient and they even telephoned the room after to make sure we were happy with the service it was a first class service we can not fault it. your underground stop is great portland street which is across the road the rooms are sound proofed . it is about a 15 min walk to oxford st 10 min walk to soho and leicester square and piccadilly circus it is in a real good location.we reccomend that if you want a comfortable and luxurious stay in london go straight to the melia white house they have many facilitys and are very accomodating we will definatly be going again and again and again.	
Sep 9 2008 	Worst hotel in London.	The worst hotel I have ever stayed in. We paid an extra £30 per night to upgrade to a junior suite. The room was extremely dark but most importantly the road noise was horrendous. You expect some road noise being in the centre of London but the noise was that bad that at 3am I asked to be moved. We were moved to a smaller room on the opposite side of the building and I eventually slept until 7am when I was woken by the construction workers commencing work on the building opposite. When complaining at reception, after they had translated my complaint as no one seemed to speak English, I was transferred to another room later that day. No apology or understanding from staff and I had to ask about the refund for the upgrade, which they said I would receive on checking out. This executive room was much better and £30 cheaper a night than the junior suite. I wouldn’t waste your money with the upgrade. My friends had booked another room and had the same issue but also found a gigantic hair ball in the middle of the floor. It looked like someone had empted their hair brush after a years brushing on their carpet. Housekeeping were very understanding, changed their room and offered £30 compensation from their bill. Breakfast was dull and tasteless. One of the benefits was supposed to be the ‘help yourself’ complimentary drinks in the evening from 6pm to 9pm. However they were limited to choice, bells whiskey, no brandy or liquors, there was a small amount of vodka in one bottle the first night which was not replaced. When I asked the bell boy about obtaining a taxi, he just shrugged his shoulders (probably didn’t speak English). I ordered a black Russian cocktail in the bar one night (tia maria, vodka, coke) and received a white Russian (similar but has fresh cream on top). When I explained the error the waiter said ‘it’s not that different, can’t you drink it?’ I had to explain that I am allergic to milk, cream etc and it wasn’t what I had ordered. I did receive my black Russian eventually but I was made to feel most uncomfortable. I thought I would try and let the hotel redeem itself and ordered two aromatherapy pillows one evening. I rang room service to order as instructed but requested the pillows be delivered later that evening as I was about to slip in a nice warm bath. I placed my ‘do not disturb’ on the door and climbed into the bath. Needless to say five minutes later there was several knocks at my door. The last and final straw was on checking out of the hotel. We asked for our bills and neither room reductions was showing. Bothe my friends and I spent the next hour in arguing with the receptionist for a £130 reduction. The hotel deputy manager was called who came and said ok to my reduction from changing my room from a junior suite to an executive room; however he debated that I did sleep some part of the first night in the junior suite! He would not however agree to the £30 reduction for the hair ball in my friend’s room. He stated that housekeeping had no right to offer a refund without his authority and he knew nothing about it. He just left no apology. After the receptionist realised that we were not going to pay our bill until the £30 reduction was deducted as promised, she mad another phone call, the deputy manager would not come to see us again but agreed to the reduction. What a coward of a man!!!! All in all a bad experience. Don’t go to this hotel. You’ll pay as much at The Landmark down the road a great 4/5 star hotel. Give the Melia a miss.	
Aug 29 2008 	highly recommend	We stayed at the Melia White House as part of a trip package in August 2008. Price was around 150 pounds per day for 3 people. For this price range, the hotel was superb. Great location near the Great Portland Street tube stop, quiet neighborhood. Easy tube access to all London tourist attractions . Hotel is new, nice, staff are very helpful. This hotel draws a largely continental crowd, lots from Spain, Portugal, and France. It has a very international flavor, which we like. Breakfast included was a huge buffet, often our big meal of the day. My wife and daughter would go back without hesitation, high praise indeed. Unreservedly recommended.	
Aug 26 2008 	Nice looking good location but bad service	The hotel is very convenient and the decor is good. The standard rooms are tiny the bathrooms for these rooms are very small too, though the amenities are okay.Main issue with this hotel though is the level of customer service. My Air Con was broken and I had reported it before leaving for dinner. 3 hours later no-one had even been to the room. When I spoke to 2 members of staff all I got was &quot;what do you want me to do about it?&quot; At £120 a night - I'd expect a lot actually. Finally well in to the early hours of the morning the Duty Manager who was lovely and understood what Customer Service actually meant, moved us to another room.	
Aug 12 2008 	Great value beautiful hotel	My wife and me first booked a room at the Royal National, for our London weekend getaway, but soon changed our booking after reading the terrible reviews we found onhere.As we are both students, the budget was tight, but we hoped the extra money spent on Melia White House would be worth it.And was it ever! This hotel is simply wonderful.The hotel and area:Location was great. You're just 2 minutes away from the tube, the surrounding area is mainly embasseys, expensive appartments and businesses. Hence the chance of running into a mob of drunk kids is minimal. Oxford st. is a bit of a walk, but it's a nice walk and unless you're carrying kids or heavy bags it should be no problem.5 minutes walk will get you to a business area with loads of small restaurants and pubs catering lunch to hungry suits. Don't be alarmed by the look of some of the places... Some of them look a bit on the dirty side, but as a rule of thumb: If the place is packed it is usually worth the wait, since most of the customers are probably regulars. Breakfast at the hotel was overwhelming. Cook to order omlettes, a wide selection of cold and warm meat, loads of fresh fruit, good coffee, decent pastries and for the morning buzz, a lovely cava. We did not try the wine for breakfast, but it is there, should you desire it.The staff:The service was for the most part simply outstanding!The desk was able to answer any and all questions we had and gave us great advice on pubs and... donut-stores (yes, we had a craving!) They stored 3 dosins of donuts for us in the kitchen fridge, as the guestfridge was too small - Free of charge!Service was fast and spotless at the desk.In the restaurant it's more so-so. We had a late night dinner in the restaurant, just before closing, and service was incredible slow. The food was quite nice and worth the wait, but for a quick meal there was nothing quick about it.The room:As we were on a budget, we decided not to upgrade to a superior-room when offered to do so. We stayed in their cheapest room, but we weren't dissapointed. Yes the room is quite small, with barely enough room to walk around the bed, but it was still beautiful and spotlessly cleaned.The bathroom was marble tiled, shiny and black. The bathtub was a nice surprise and great after a long day of walking the streets of london.All in all it was a great stay and we wouldn't hesitate to book again.	
Jul 26 2008	Really nice hotel - fair price	+ Very friendly staff+ Spacious lobby+ Spotless room+ Superb breakfast- no car parking - very confusing lift calling system	
Jul 24 2008 	Spanish friendly	Great location, 15min walking Oxford St., opposite to the most beautiful park in London: Regents. Classic décor, luxury in the old sense, huge room and bathroom, comfy king-size bed, professional, helpful staff. Spanish tourist London favourite is always packed with couples and families in a shopping spree to the City. To be honest, the kind of place your parents would be happily stayed over. Recommended for whoever is looking for a quite, elegant place, Spanish friendly (all the staff is either Spanish or speaks the language) and those who rank location in the first place in their preferences. It features an elegant Spanish restaurant and a modern-eclectic one	
Jul 15 2008 	Love this hotel!!	We booked this hotel originally on lastminute.com as a 'secret hotel' knowing it was close to where we wanted to be but not realisiing it was this hotel.We have actually now stayed there twice and have booked to stay again! The hotel is very clean, the staff very friendly and the check in was very efficient with barely any queue.We went to the hotel bar in the evening, which, if you are willing to spend a ridiculous amount of money for drinks, is well worth it. There was a pianist who also sang, she was fantastic and we enjoyed some old and also newer songs.We have not experienced the breakfast as yet but after recommending this hotel to a friend, she stayed there with her partner and said the breakfast was superb!!	
Jul 9 2008 	Fantastic hotelL - Highly recomment	My wife and I stayed at the Melia White House for 7 nights and enjoyed every minute. It's centrally located and a 5 minute walk to the Regents Park tube station. From there, you can hop on the Bakerloo line which will take you to Oxford Circus, Piccadilly Circus, Charing Cross (Trafalgar Square) and Embankment (Thames, Big Ben, Houses of Parliament, Westminster Abbey). If possible, try and get a package where their breakfast is included. You will not be disappointed. It includes anything you desire including fresh fruit, pancakes, omlets, cereals, juices, muffins, and much more. If puchased separately, it will cost you 20 pounds a person. The rooms are quite small but immaculate. Air conditioning worked great and the windows open. The staff were extremely helpful and if you decide to take side trips as we did to Stonehenge, Bath, Windsor Castle and Canterbury, all buses will pickup at this hotel. I would definately stay there again.	
Jul 6 2008 	Good London hotel...	Good central London hotel, within easy walking distance of Tottenham Court Road, and a 10 min walk to Oxford Street. Two tube stations very close, Warren Street and Great Porltand.Very pleasant staff. Reasonable size rooms for London. We were offered an upgrade for £30 for two nights. Rooms smart, clean and comfortable.Try to get a rate that includes breakfast as it is certainly worth it. Buffet style, lots of choice and better than most hotels.The only negative is that there is currently some building work being carried out close by...they seem to start work very early, and they are doing some pretty major construction, so they ain't quiet!A really good 4star hotel in London, you're unlikely to be dissapointed.	
Jun 25 2008 	a nice few days in london	I stayed at this hotel with my husband for 3 nights in June. It was lovely, no complaints at all. We booked the hotel through last minute.com as it was one of their &quot;top secret&quot; hotels so it was excellent value. When we checked into our room we found it was a twin room, we phone reception and asked for a double, they sent along a porter and moved us without a problem. Breakfast was good, yes a little cold but arn't buffet breakfasts always that way, the choice was excellent though.	
Jun 24 2008 	Good value	Stayed at the White House for a weekend two weeks ago. It belongs to the Spanish chain Melia and is excellent value for London. We got a good deal for a superior room in their website. They have a floor named The Level where, besides your acommodation, they compliment you with free tapas and drinks during the day. The rooms are good sized and clean, the bed is very confortable. The breakfast buffet was fairly good but a little bit short in terms of choice. Location is good but not great (20 min. walk to Picaddilly for instance); nevertheless, the Great Portand Street circle line tube station is a stone's throw away and is very convenient to sightsee or get to transport hubs such as Victoria Station, Paddington, etc. I got a minor issue with the Internet connection as the mini IR keyboard they supply was not working and could not navigate. On check out I stated this and the charge was not added to my acoount, which was great of course. The worst thing this hotel has are the lifters. They look ultra-modern at first sight but it itakes *forever* to get to your floor. It can get up to 5 minutes!All in all good value.	
Jun 9 2008 	Lovely stay at the Melia	My wife and i had just got married and we stayed at the Melia on our wedding night. We had a Junior Suite and it was lovely, we were greeted by a lovely bottle of brut, compliments of the hotel along with a nice note of best wishes.The hotel looks really nice everywhere, our suite had a fantastic bathroom so if you can afford to upgrade to a Junior Suite i would strongly recommend it.The breakfast sure enough was not as hot as i would have liked and so perhaps it needs to be kept a bit hotter but it was still tasty stuff. I had a full english buffet style and then pigged out on some pancakes and syrup . . . . yum yum. Coffee was good too.When we arrived at the hotel i pulled up outside in a brand spanking new mercedes that i had hired and i was hoping that a porter would come to assist with baggage, unfortunately this didn't happen which disappointed me slightly. My wife went to sit in the reception lobby whilst i parked around the corner and struggled with luggage to The Level check in dressed in my wedding suit. This did surprise me actually because every time i went down to the lobby afterwards there were plenty of porters around.All staff are very friendly and i would certainly recommend this hotel, parking around the hotel is free during the week end so it's ideal if you are going to see a week end show. A cab cost around £10 to The Strand (WC2) from the hotel.	
Jun 9 2008 	Fantastic hotel in particular the location!	We stayed in the Melia White House as part of a theatre weekend break. We had two classic rooms and one superior room - not much difference between the two apart from the decor but rooms were extremely clean and comfortable. The staff were friendly and polite and the location was unbeatable. There are three tube stations located nearby and there was also a tour bus stop located across the road. Location alone made this hotel amazing!Breakfast was not included in our hotel package but the staff recommended that we join the loyalty club for free and we could get a 2 for 1 deal for each room as I had originally thought that the buffet breakfast was very overpriced at 21 pounds each. It was well worth the money however with a superb selection of very tasty food!I would definitely recommend this hotel!	
Jun 7 2008 	Excellent Value Great Location Highly Recommend...	My partner and I stayed at the White House for a night in May, I would highly recommend this hotel, the staff were very polite and helpful and the hotel itself was exceptionally clean and in a fantastic location. We stayed in a standard/classic room and bar the bathroom being very small the room was lovely and clean. I would recommend staying in a classic/ standard room for a maximum of 2-3 nights; if you are going for longer I would recommend staying in one of the larger more expensive rooms due to the standard rooms being on the smaller side. Overall this hotel was exactly what we wanted great value for money, in an excellent location and very clean and comfortable, we would definitely stay here again if/ when we return to London!	
May 30 2008 	Nice hotel great location	Really nice hotel. Typical for European hotels. Don't try to directly compare with US hotels. They are quite different in a lot of aspects. Rooms are small. Bathroom is really nice. Bed is comfortable. Dont bother bringing plug adapter - there is a build in US - UK - EU adapter in the wall. Very convenient. You can charge your camcorder, camera, cell phone, laptop etc. electronics that dont require power transformer(120V to 220(250)V). Expect to pay extra for all services - Internet is 15 L per day!!! Phone calls are 2L per call just to get an outside line. Use the pay phone in the lobby. The hotel is in very conveniently located to Underground and bus stations. Small grocery store across the street (great sandwiches on the go). Most restaurants are rather expensive. I would recommend &quot;Cafe Meze&quot; across the street behind the Underground station. Oriental kitchen, very tasty food, reasonable prices.	
May 30 2008 	Excellent value for money cenratl London hotel	We stayed at the Melia White House for 2 nights on a long weekend of sightseeing in London. Having stayed at London hotels before we were delighted finally to find one that is clean, friendly and in an excellent location for touring around. The staff could not have been more welcoming and helpful throughout the stay. We stayed as a party of 3, which meant that through Expedia we had a junior suite to share. This was well kept, very comfortable and spacious (for London)! We would definitely recommend upgrading to the hotel's &quot;Level&quot; package. This was automatically included as we had a suite but you can upgrade for GBP30/room. This gives you a private check-in desk with private bar (free drinks 6:30-11pm and free light-bites/tapas selection too). This is very handy as the bar drinks are quite expensive (from GBP5.50/pint of lagerThe hotel is literally a few yards walk from Great Portland St. tube stop, from which you can access the 'Hammersmith &amp; City', 'Metropolitan' and (most importantly for sightseeing) the 'Circle' line. We have all agreed that for the price we would definitely stay at the Melia White House Hotel again for future trips to London.	
May 26 2008 	Good service and (on a discount rate) great value	I got a great deal at lastminute dot com on this hotel - a rate that was actually a couple of pounds less than the Ibis at Euston, so for me, this represented great value.The first thing that struck me was that there was a doorman and concierge service: not something you usually find at the price I was paying.The other big plus point was that all the staff I encountered were very good indeed. Most seemed to be Spanish, or at least Latin/Hispanic, perhaps reflecting the hotel's ownership. I always look for good value deals on the internet, where value doesn't necessarily mean cheapest, and I've stayed at a good number of hotels that would put themselves the equal or the better of the White House, and nowhere in the last five or ten years have I come across staff as friendly and communicative as at the White House: everybody you met, even chambermaids (who, in London, even if you can attract the attention, often can't speak English) always had a cheery &quot;Good Morning!&quot;, &quot;Good Afternoon&quot; or &quot;Good Evening&quot; for you. That's actually quite a tiny thing, but why can't more hotels manage it? I often find reception staff very difficult to understand at London hotels, due to strong non-English accents, but here, although most looked Spanish/had Spanish-sounding names, they all spoke perfect English and understood my northern accent perfectly.The room was above average for the price band. First off, it was very clean and well maintained with no visible shabbiness anywhere. The bathroom was very flash, hotel bathroom, and the heated mirror was much appreciated. Nice big fluffy towels were good.The room is the first hotel room I've been in for a long time that had a tie/belt hanger in the wardrobe. The wardrobe also had an ironing board and iron, plus the ubiquitous tea/coffee making facilities. The bed was comfortable with decent linen.Perhaps the main downside of the room was that TV reception wasn't brilliant: Channel 4 in particular was verging on unwatchable. Also it's a shame that the selection of radio channels available through the TV is so limited and didn't include Radio 4.As well as being a couple of pounds cheaper than the Ibis rack rate, the rate I got here also included breakfast, which was great, as I was struck by how good the breakfast buffet here was. I can't remember everything, but do remember a good selection of fruits, hams, cheese, even gravadlax, plus a full English selection, that varied slightly (different sausages) each day. Scrambled eggs were above average for a hotel buffet breakfast.On my last day, I was surprised and delighted to see freshly made Spanish churros and chocolate sauce, which were delicious and very light. Yum Yum. The one criticism of the breakfast would be that the cooked element is a buffet, and not cooked to order, with the result that some elements could be overcooked or not quite hot enough.We didn't eat in the hotel apart from breakfast. My one top tip to visitors to London would be don't eat in your hotel restaurant, but take advantage of one of the most vibrant restaurant cultures in the world. Use the Hardens guide, the Good Food Guide, Time Out or Zagats (or even better them all and cross reference) or check Metro and the Evening Standard for latest openings.I should mention (especially as I see someone else is reporting a similar problem below) that the first room I was given was a smoking room (they said that that is what had come through from lastminute) which was of course (to a non-smoker) foul and disgusting. But the reception desk staff quickly sorted out a new room with good grace.The hotel's location is good but not great with the Great Portland Street station on the Metropolitan, Circle and District Lines more or less just across the road. Taxis were always easy to find and all taxi drivers knew the hotel without further explanation. It's not quite as good for buses, as most of the services passing the hotel are going east-west along Marylebone Rd/Euston Rd, and not north-south down to the main shopping areas.I would definitely be very happy to stay here again.	
May 26 2008 	Excellent well priced Hotel	Stayed from 17 to 20 May 2008 for my wife's 50th birthday trip and the first thing that turned up when we arrived in our room was a bottle of Cava, nice touch. I had booked this through my Triprewards card points and upgraded to 'The Level' which gave us a great buffet breakfast, use of the Level Lounge and drinks and canapes at night. All seemed good value to me.The room was very well appointed although a little small for what was a 'superior' room.We ate in the Albufera restuarant on our arrival night and the food was well prepared well presented and had good quantities so although the bill was over £100 for two courses and wine you would expect that in any London hotel.Great Portland Street underground station is about 50m away and the bus stop for buses to Oxford St, Regent St, Piccadilly, Trafalgar Sq and Whitehall only 100m away.If I was working or on recreation in london in the future, I would certainly head for here and would recommend for anyone looking for good quality accomodation and good service.	
May 21 2008 	not impressed	We have just returned from a 3night stay at the Melia White House . The room was very small but exceptionally clean . Hairdryer was wall mounted in the bathroom , when did I last see one of those ? Also it did not work !The breakfast buffet was excellent , but the hot buffet was COLD on all of the 3 mornings .The main restaurant lacked atmosphere &amp; the staff were totally indifferent . Not sure how this can possibly be an award winning Spanish restaurant . Who gave them the award &amp; when &amp; more interestingly why ??The hotel advertises it has a gym &amp; separate sauna facility . yes there is a small gym but no female shower or sauna exist &amp; the reception staff were not pleased to be questioned about it . As a female using the Gym you have to trail through the lobby &amp; return to your room for a shower . The male changing room has both the shower &amp; sauna , but the sauna was never switched on .Yes, the hotel is in a good position for transport , and walking . Sol Melia Group now need to update the hotel description and be honest about what is on offer .	
May 19 2008 	Disappointed tired and fed up	Whilst the hotel is in a good location for London's Regents Part and Oxford street I was disappointed with my room and the attitude about resolving my problem.I booked a non-smoking room on 12th May for the 15th and 16th May. When I arrived I was put into a room that had previously had a smoking facility......needless to say I had a poor nights sleep and didn't feel very refreshed for a conference the following day.The staff found me a non-smoking room for the Friday night but when it came to checking out would not reduce the £200 room fee for the inconvenience I experienced. The message I had was too bad, you have to put up with what we've got - thanks for your empathy!!	
May 17 2008 	Comfortable Hotel in Good Location	Recently spent 8 mights at the Meilia White House. We loved the location adjacent to Regents Park and one block from Underground. We stayed in a superior room, which though small - typical for London - was very well appointed. Rooms was spotlessly clean and services was excellent throughout. We noted several problems:1. Using our in-room thermostat to adjust heat/airconditioning was very difficult. The room was often too warm or too cold2. Internet access costs 15 pounds per day3. Housekeeping does not routinely provide washclothes - an oddity in our experience3. There are few dinner alternatives in walking distance and the hotel menu can become rapidly tediousWe thoroughly enjoyed the access to Regents ParkNote: If you stay be sure to include the breakfast buffet. It is worth the extra money.	
May 12 2008 	London WHite House - very recommendable	Nice hotel, with great access to shopping areas, subway, and Hyde Park.The Level service is also great for just a bit more money.	
May 9 2008 	nice location good looking hotel bad attitude of some staff	The hotel itself is an ideal location just 20 minutes walk to kings cross or right next to Great Portland Street or Euston underground station. The hotel itself looks very swish and has a lovely bar (although it was £14.01 for a pint of beer and a glass of wine).On arrival we were offered upgrade to a &quot;superior room&quot; for just 15 pound a night, we went with this and although the room was nice it was still quite small just managing to fit in the kingsize bed and not much elseOverall we were happy with the stay until leaving when they tried to charge us double for the upgrade and although this was sorted out the receptionist said I was calling him a liar?!?! so that ruined it for us really.if you can get a room at a good price then i would recommend it, for the location and it was very clean.but if you're considering paying full price I would look elsewhere.	
May 4 2008	London Weekend	Just spent a weekend with the girls at the Melia White House Hotel. Staff very friendly, rooms not enormous but were clean and had everything you could require. Breakfast was absolutely excellent, vast choice. Close to London Zoo, Regents Park and a 10 min walk from Euston station. Would definately stay here again.	
Apr 26 2008	walls made of paper	we had a serviced apartment for three months at the melia, good location nice hotel as long as you don't expext to sleep you will be fine, walls are paper thin so you can hear everything down to your neighbour turning over in there bed, hairdryers,or flushing of toilet.	
Apr 24 2008	Loved the Melia !!!	I stayed at the Melia from April 12 - 19 with my 16 year old daughter. This was our first trip to Europe and it was fantastic. The staff at the Melia were excellent and very helpful. The concierge helped us throughout our entire stay -- from directions to helping us pick a restaurant. The breakfast buffet is one of the best I've ever had. At times some of the the hot items were cold but overall the food was delicious -- great selection of fresh fruit, cheeses, bread, etc.I would definitely recommend this hotel and when I return to London I will stay here again. A special thank you to Jose Ortega for all his help.	
Apr 12 2008	quiet peaceful hotel	We stayed at this hotel unfortunately for only the one night but certainly intend to go back for a longer break sometime.The booking was made via the hotel website for a room on 'the level' which has its own check-in and check out plus lots of other extras included so feel it is worth paying the extra. Rooms on the level are much larger than the standard ones.We were allocated a quiet non-smoking room as requested and from the pre-arrival conversation that we had with the hotel via the phone about our possible time of arrival to the time we checked out we found the hotel excellent in every way. The staff were very efficient and friendly and the room service food, 'the level' service and the breakfast buffet were suberb.The hotel is right opposite Great Portland Street underground station and only a few minutes walk fro Regents Park underground station. Harley Street, Oxford Street, Regents Park and Baker Street are all close by within easy walking distance.	
Apr 9 2008 	very disappointing!	We stayed at this hotel for one night in January and found it to be excellent - rooms not too large but very well appointed and comfortable. When we planned another trip to London in March we re-booked and discovered a whole new aspect of the hotel! Call girls were very active in the room next to us for the majority of the night. We could even hear them negociating terms. We complained at 3.30pm and suddenly the room next to us was vacated! In the morning the managment apologised but did not seem very concerned. We may be prudish, but would rather not attempt to sleep next to this. If we had a child with us it would have been totally unacceptable.	
Apr 7 2008 	Lovely stay at the Melia White House	My husband and I stayed for 1 night at the Melia White House hotel. We booked through Octopus and got some money off with Nectar points. The hotel is very convenient for the Tube Station, a 2 minute walk away. Our room was ready when we arrived, we had booked a standard room, but it was a good size for a London hotel with a huge, very comfortable bed. The bathroom was small but very clean, and the room had everything we needed.The buffet breakfast offered an excellent choice and the dining room was not too crowded. The staff were friendly and helpful at all times.I would certainly recommend this hotel to friends.	
Mar 25 2008 	Loved this hotel	We stayed at this hotel for 3 nights over Easter weekend and it is fantastic. We had a superior room which had the biggest bed I have ever seen, the rooms are really cosy, clean and nicely decorated. The bathroom was small but is big enough and has everything u need. Room service is really quick and the food was fantastic. We also loved the hotel bar which is really cosy with big sofas and a fire, the bar was always quiet and relaxing. The hotel staff were friendly and the location is good, next to regents park, a 10 min walk to oxford street. i would recommend this hotel to anyone wanting a bit of luxury at an affordable price.	
Mar 17 2008 	Perfect :)	Perfect hotel in London !Rooms are beautiful, clean and big enough for twoThe bathroom was a little small BUT there was everything you need : bath, hairdryer .. and perfectly clean !All people there are Spanish and are very helpfull ans smilly :)We will defintly go again there on our next stay in London Ps : The &quot;great portland&quot; metro stop is just across the street	
Mar 13 2008	An excellent hotel but don't get caught by the extras.	On the plus side, this is an excellent hotel, clean, air-conditioned, quiet and attractive. We also had an excellent rate of 95 pounds a night. There is a very good breakfast buffet and a tube stop across the road. On the down side, that very good breakfast buffet is expensive, 20 pounds a person. The hotel is in a poor area for travellers; there are no restaurants nearby, and if you don't take the buffet, you have to travel for breakfast. The other thing that infuriated me is that overseas phone calls cost 10 pounds a minute, and as a result of a family emergency back home I received a huge phone bill. If you can get a good rate, this hotel is an excellent choice. But eat breakfast elsewhere, and use a phone card for calls. One of the other reviews on this site mentioned having to register in another building and seeing prostitutes nearby. That wasn't my experience; the registration desk is in the hotel itself, and I saw no untoward activity at night.	
Mar 13 2008 	We loved the Melia White House!!	My partner &amp; I shared a romantic weekend at this hotel, as we were in town seeing Chicago. The hotel &amp; staff wonderful, becasutiful reception area, with marble (very luxurious) and smelt absolutely amazing!!! The staff were a little quiet, but I presume that it's their job to keep their head's down and quite a few of them didn't speak English despite being in the centre of London. The ones seeing to us at breakfast and dinner however, did speak English, so that wasn't a probem. But it gave us the feel that you were really &quot;away&quot; on holiday, which was nice!The room was fantastic, we stayed in a part of the hotel called &quot;The Level&quot;, which is the Executive suite and it truly was worth every penny. I presume, as my partner paid as a valentines treat.The food was fantastic, even though &quot;some people&quot; complained that it took a while for items to be refreshed, we didn't have that problem. There was one occasion where it did take a while for the baked beans to be refilled, but it was extremely busy and the staff just didn't stop, (very professional) so it was understandable that it would take a few minutes longer. Everyone was nagging at them to refresh this or that, or the other and to be fair, it wasn't rocket science to know that items needed attention. People being impatient didn't help. If you do go to this hotel, please don't hastle them, a calm word with an attendant will suffice and it will be dealt with.I really did feel spoilt on this two night stay and didn't want to leave. Even after we had left, the &quot;bell hop&quot; was very helpful and let us leave our bags, so that we could have one final mooch around London before our journey back home. This was free.All in all a great stay!!!	
Mar 10 2008 	Good location	Central location for the West End, 10 minute easy walk to Oxford Street. If you can get a deal which includes a room on 'The Level' this includes breakfast &amp; complimentary drinks &amp; tapas in the evening. As the hotel bar is expensive this is a good way of having a few drinks if you dont want to venture out in the evening.	
Mar 9 2008 	Good Stay	Stayed at ths hotel with my collegue for one night whist in London on business. Got a reduced rate through lastminute.Hotel: Rooms were upgraded upon arrival , spacious clean and comfortable. I would recommend that you ask for a room that does not face main road as there was some traffic noise.We ate in the hotels spanish resturaunt and the food was very nice.Location: great location next to the tube, you can see the hotel from tube exit so very well located. I much prefer design/ boutique hotels so I would not stay for pleasure but I would stay again for business.	
