	Great location for traveling out of the capital	Recently spent the night at Premier Inn Euston, i must say that the location of this hotel for both Euston Station and Kings Cross was great, i go to visit my Parents in Berwick upon Tweed quiet regularly so having a good hotel close to the station has been great . If you need to get an early morning train ,then i would recomend this Hotel, the staff are were very polite and rooms very clean, breakfast was reasonable as it was a buffet and you could eat whatever you liked and even started at 6.30am.I hope this helps anyone planning to stay in London.	
May 10 2009 	Most pleasant stay and staff where excellent	My wife and myself have just returned from a very pleasurable stay in the Premier Inn London Euston, Duke's Road, Euston, London and we found the experience memorable. All the aspects from reservation to departing was very special.ReservationThis was undertaken by telephone and the operator was very professional, helpful and gave a lot of assistance. There were a number of issues which neede to be clariication and how these would be resolved was fully explained.ArrivalOn the day prior to arrival at the hotel I received a text confirming the reference number and giving more details, e.g. evening meal costs, etc.On arrival at the hotel the staff were very polite, helpful and all had a smile on their faces, yet still professional. We had arrived early morning so left our case prior to visiting the city. Check in was again a pleasant exercise with all aspects fully explainedRoomOur room overlooked Duke's Road which was quiet with triple glazing, (not sure how quiet the rooms are overlooking Euston Road). Everything you required for the stay was available with clear helpful notices. It was very clean and extremely well decorated in relaxing colours. The bathroom was again very clean and water very hot at all times.BarWas very nice to return after a night at the theatre for a relaxing nightcap, in pleasant surroundings, staff again very good.RestaurantWe had decided to have breakfast (this had to be booked on arrival), which proved to be an excellent decision. On arrival we were greeted by again a smiling waitress, as were all the others, before the buffet system was explained together with the location of each type of food. The food was of a very high standard and there was no limit on what or how much you could eat.DepartureAgain very professional, although the siling faces were still visible.Overall an excellent experience and we shall certainly stay there again when next in London	
May 6 2009 	We love Premier Inns and this one is terrific	My wife and I based ourselves here from April 26 to May 3. Every time we walked in or out all week, staff at the front desk smiled and said hello. Our room was clean when we checked in and spotless every day when we returned from sightseeing. We had the breakfast buffet five mornings and enjoyed it. Most nights I went to the bar and had a nightcap while reading the paper and staff there were friendly and accommodating. A good safety feature here is that you need your room key to access the elevators. This Premier Inn is ideally located right between Euston and Kings Cross stations. From one or the other stations you can go anywhere. Nearby is a good Italian restaurant Prezzos. To the east is a good restaurant Euston Flyer and an O'Neills. Right down the block from the Premier Inn is a must see attraction--the amazing British Library with its stunning collection of rare books and other documents. We've now stayed at Premier Inns in Dublin, Belfast and London and have enjoyed each visit. Thanks to Simon, Elvio and all the staff at Euston for a very enjoyable visit!	
May 1 2009 	Great hotel in convenient location with excellent staff. – Recommended.	As with stays in other Premier Travel Inns we were not disappointed. One of the major plus points for us about Premier Travel Inn is that you know exactly what you should be getting and this hotel did not disappoint.We were give a room on the 4th floor overlooking the main road which was quite noisy when we checked in at 3pm on a Friday afternoon but was much quieter overnight which is when it needed to be! Room was large (especially for London), clean, comfortable and looked very fresh. When we arrived check-in was very busy even though there were three staff at reception – still only took a little over five minutes though. All staff we encountered in this hotel were extremely pleasant and seemed genuinely interested if we were enjoying our stay.An early evening request for extra pillows was met with a ‘sorry there will be a delay as housekeeping is very busy – you may have to wait up to 10 minutes’!?!?! And they arrived within that time frame – excellent service!We opted to have breakfast in the hotel and it was excellent – one of the best I have ever had in a hotel for £7.50. Hotel location is also excellent – less than five minutes walk to Euston station for both underground and over ground train services and plentiful buses. A 20 minute walk to Leicester Square/Convent Garden if you would rather walk than get the tube.Overall a great hotel in a good location with excellent staff.	
Apr 30 2009 	Good value location and clean!	This was my first trip to London, so I had no idea what to expect in hotels other than what I had read. The room was close to the tube, clean, large enough to walk in and a great price. The bathroom were nice and had a long tub to soak in. I would recommend this hotel if your looking for a nice, clean place to stay. It's not fancy, but we were barely in our room other than to sleep and take a bath. We went on to say at another premier in Durham and were not disappointed!The breakfast was also good for the money!Would stay again!	
Apr 26 2009 	Very Good	I stopped at this hotel for two nights in April 09 and I found it to be a very good hotel. I have stopped in a number of Premier Inn's in the past so didn't expect anything else. The hotel is in the perfect location, its between Euston &amp; St Pancras International Railway stations (short walk). This hotel is right next to a busy London road, this is one thing that would have put me off if I was choosing it myself, but the rooms barely let any noise in. The only noise you do hear is sirens, but as its a city that's not much of a surprise. Overall this is a very good hotel and I would recommend it.	
Apr 21 2009 	Excellent value for money!!!	I had travelled to Northern England to meet with a business associate but unfortunately the meeting was cancelled at the last minute.I returned by train to Euston the same day and walked into this smart looking modern hotel half-expecting that I would not be able to find accommodation.I was pleasantly surprised to find that rooms were available and that too at a very reasonable tariff for Central London. The room was spacious and neat and the double glazed windows did their job in muffling the traffic noise from Euston Road. The attached bathroom was also comfortably large.The buftet breakfast was wholesome and included in the tariff.It must be difficult to find a central london hotel that is as conveniently located to two mainline stations and is comfortable in almost every respect.I will definitely make it a point to stay there whenever I return to London.	
Mar 31 2009 	Great connectivity great value	Being on a last minute, and I mean really last minute, trip to London, the Premier Inn was the first hotel who had a room available for 3 nights. This is not a con, but an opportunity for those who get directed from St. Pancras to Russel Square and find themselves hopping from one fully booked hotel to another.This hotel is located at a 3 minute walk from Euston Station, which is connected well by train, tube and bus. You can reach any of your destinations quickly. St. Pancras is near, so it's a short shift to the main airports.The room was very clean, the bed very good and the bath/shower a delight. There was a flat screen TV, but who needs one when you're visiting London. Ventilation was a major flaw on the whole experience, something they should improve. Can't imagine it will get any better during the summer season ;-)For the party people: Scala is down the street. Get your tickets in advance and prepare for a long cue.	
Mar 26 2009 	Great Location	The hotel was in a great location for accessing both London Euston and Kings Cross stations. There are a number of local shops and food places within a short walk.Our only issue with the hotel was the rooms got really hot and despite leaving the heating off to try and cool the room down, the cleaners had put the heating back on during the day. Also in our room, the window couldn't be opened which made the matter worse.The rooms are comfortable and clean if a little small but perfect for what we needed. This hotel is in a great location and an ideal base to explore London from for a few nights.	
Feb 23 2009 	Does what it says on the tin!	This is a clean and efficient no-frills hotel that does what you need for a visit to London where the room is somewhere to sleep... and its cheap Would stay again - special thanks to the staff who changed our room as the previous occupant had been smoking (which is illegal, not the hotel's fault but the ignorant smoker)Breakfast good standard, lots of choice if you don't do fry ups and free for kids.	
Feb 23 2009 	Perfect for a short break - with kids	We have just got back from London staying as a family of five in two rooms. When we arrived we where given rooms at the opposite ends of the same floor but too far away from the kids ( teenaged and slightly younger). We asked for adjoining and got rooms on opposite sides of the corridor - So that was fine. The rooms where clean and big eonough for all. The staff always polite curteous and friendly, despite the weekend being obviously busy for them. Breakfast is good value ( kids ate free if the adults had a Breakfast at £7.95 ) and it was eat as much as you want. My only gripe was that there was no decaf coffee to be had. The hotel is 100 metres from Euston Station and the underground and on a busy Bus route so the sites are only a short ride away, there is plenty of restaurants around if you don't fancy the hotel restaurant (We didn't so I can't comment). The price for the long weekend stay was good value - remembering you are based in central London. We had a late returning train and where able to leave our bags in the hotel while we explored on the last day. All in all we wouild not hesitate about going again .	
Feb 20 2009 	Disappointed this time	I used to stay here a lot and really rated this hotel. This time there were a few problems. I'd asked for a quiet room, ut was given one next to a man whose endless phonecalls I could hear through the bedroom wall. Was given another room, but there was something wrong with the heating and you could hear someone urinating in another room.I used to stay on the fifth floor, but was told there was no room available there. During this stay I met a female colleague who said the fifth floor is now reserved for women only. Is this true? I've come across this plicy at another Premier Inn on the Wirrall. If it's true, it's blatantly sexist.Breakfast usual disappointment. Luke-warm beans, shrivelled bacon, cold eggs. Come on Premier Inn you can do better	
Feb 17 2009 	Just one problem......	I feel really bad writing this after all the great reviews but, we had a major letdown last night.We had booked the Premier Inn as we have used other ones before. My sister and two young children came to London to visit for the night. They had a 4 hour train journey. We had booked a family room weeks ago, for the four of us. We arrived at 2pm to be told that the family room wasnt ready. Fair enough, we left our bags and went into London to look around. The children were tired by 9pm and we made our way back to be told that the linen hadnt arrived and that we would have to wait!!!! in the end the staff gave us two rooms on separate floors. We were so tired. It was 1130 pm by the time we got the keys!! This is not good with young children. And I hadnt seen them for months but we were all separated. We kept been told that we were lucky to be charged for only one room but, even so, if that was the case we shouldve been able to book into those two rooms at a more civil time. Consequently, the children were knackered for their full day in London the next day!!!!!!!!! There were some good points but the whole episode has put us completely off.The rooms were spotless, although the spell of cleaning fluid was overpowering. If you get a room facing the main road, be prepared for abulances whizzing past every 20 minutes.The bar was lively and friendly (I needed a drink!!)The breakfast was great. All you wanted as many times and, the kids ate free.The staff were very amicable, even they couldnt believe it.It will be along time before we use them again, which is a shame.	
Feb 12 2009 	Location location location	This hotel was in the perfect location for my business trip. I needed a hotel near St Pancras station and the Welcome Trust on Euston Road and this was pretty much perfect for both - just a 5 minute walk to each. Room was very big - I had both a double and a single bed in my room - and the bathroom was pretty big too. Breakfast was nice and had plenty of choice. My booking included a free evening meal in the restaurant but as my colleagues and I fancied a curry we didn't eat in the restaurant for dinner. Only one negative - the room had two controls for heating. One which worked and one which didn't. Guess which one is by the entrance to the room? And which one is hidden away around the corner next to the bed? Yes, that's right. So I only spotted the one that didn't work when I went to bed and set the temperature to 21 °C. Unfortunately the correctly working control was set to a chilly 17. So I woke up cold.So apart from the problems with the heating I would recommend this hotel for business trips.	
Jan 8 2009 	Excellent location to explore London	As a treat I took my two teenage daughters to London for New Year's Eve to do some sightseeing and watch the fireworks at midnight. The hotel is excellently located to explore London. It's just a short walk from Euston and Kings Cross tube station. The reception staff were friendly and helpful and the breakfast was good value. Children under 16 eat free so three all you can eat breakfasts for £8.00 was well worth it! The room was clean and the beds comfortable. We were not disturbed by other guests or from traffic noise. I would recommend Premier Inn Euston to anyone looking for a great budget hotel in an excellent location.	
Jan 5 2009 	Now a Loyal Customer for PTI	I am in total agreement with other positive reviews here; and have stayed here again and again.There is one sour note. With a lot of extra luggage in hand, we asked the front desk to call us a taxi to take us to a nearby Tube station Russell Square (ten minute walk). What we got was a shady crook of a taxi operator who wanted £15 to go this short distance and who continued to lie about luggage capacities of normal taxi cabs, about special holiday rates, etc. Refusing to give business or to waste any more time to a lying crook, I simply walked over to Euston station (5 minute walk) to get a normal taxi driver who drove back to pick up wife and luggage and then took us to Russell Square Tube station for less than £5 total.So beware if you want to get a taxi from this location.Other notes. Taxi from Kings Cross Tube Station (also a ten minute walk) to this PTI is £3.The breakfast buffet of £8 looks like an interesting deal. For the same price though, a more interesting meal can be found at any of a number of pubs in short walking distance.	
Dec 14 2008 	Great Location for London Stopover	We stayed for 1 night on the 29th November, before getting the eurostar early the next morning.We paid £90 for the room, and I thought this was great value for money for the location on a Saturday night in London.The hotel is 2-3 mins away from St Pancras station and Kings Cross, and there are a few cafes and restaurants doted around nearby.The room was very modern, clean with nice furnishings and a very comfy bed! Staff were very nice and helpful and we were able to check into the room early, which was great.The only downer was there was a lot of condensation on the windows of our room and a slight damp smell, as were on the Euston Road side we could not open our windows to try and get rid of this.Overall though a good budget hotel (rooms are much higher quality than travelodges). The Novotel across the road is approx £120.00 a night, and I think if you want a quick stop over the Premier Travel Inn is much better value.	
Dec 9 2008 	Pleasant but overpriced	Needing somewhere to stay close to Euston for one night, I chose this hotel.It was pretty expensive by my standards (&gt;$100), but comparable with other hotels in this area.The hotel itself is modern, and looks to be recently refitted. The room was nicely decorated, very stylish, modern, clean.There was a small LCD screen TV, and a really comfortable bed.The windows didn't open, probably because of noise from Euston road, which I didn't really notice overnight as I was so tired.However, the previous occupant must have been a smoker (even though the room was non-smoking), and I never really did get rid of the smell.The only odd thing - the bathroom didn't have any toiletries (there is a silly explanation about how customers really prefer not to have them... when paying upwards of £100 a night, I'd expect a little something perhaps). Instead, there were public-toilet style dispensers for hand wash and toilet paper - felt a little clinical in there.Overall, a smart and clean hotel, but really overpriced for what it is. In other cities and countries, you can get much more for your money.	
Oct 28 2008 	Perfect But for .....	Stayed for one night 24th October Check in was very efficient and we were given our rooom at 12pm well before 2.pm we thought we could check in. Parked our car on site for a very reasonable rate for London Our room was very clean and had everything we needed nice flat screen tv and bathroom modern and clean. we had breakfast all you could eat for £7.95 and it was really good everything was fresh and of a good quality. The staff were very friendly and helpful This would have been a perfect stay in fact nearly as good as the stay we had at their other hotel at Kings Cross that was 5 * But we had been given a front facing room overlooking the main road in Euston and being a light sleeper was awake most of the night due to the sound of Police and Ambulance sirens going up and down the road all through the night. While I accept the emergency services need to let traffic know they are coming through i don't think at 4am when there was no traffic to speak of they needed to sound the sirens. I realise this is not the fault of the hotel but perhaps mentioning there could be a problem with noise we would have asked for a room facing the rear of the property Which would have been better for us. Even being tired on our second day couldn't spoil a lovely quick break to London and a really nice stay at this hotel, with everything else being perfect.	
Oct 23 2008 	Very positive experience	Travelling on my own for business purposes I am a little wary of London hotels, having had some less than pleasant experiences.My stay at this hotel was literally faultless. From check in to check out everyone I encountered was 100% helpful and friendly without being pushy. I was recommended at check in to book a table for dinner because it was going to be a busy evening. How right she was - the place was heaving! This did not seem to affect either the service or the quality of the food. Both were excellent.Breakfast was also very good, and a particularly good point for me was that the waiter took me round the restaurant before seating me so that I could see where everything was.My room was spotlessly clean and the bed was very comfortable. I could hear voices from the room next door, but as I always travel with ear plugs at the ready, this did not affect me getting a good night's sleep. I heard no noise whatsoever from outside.This hotel is outstanding value for money and I would stay there again without hesitation.	
Oct 15 2008 	Can't beat it for the price!	I stayed here with 3 friends and thought that it would be a very basic place to lay our heads, ahead of catching the early morning eurostar on the following day. I was very impresed with the quality of accommodation, service, cleanliness, food and location. Everything had been thought through - speedy breakfasts, quick meals before theatre etc! The restaurant is very pleasant and I would definitely stay there again!	
Oct 1 2008	Thumbs up!	My Mother and I stayed at the Premier Inn Euston last weekend.We where in London to do lots of sight-seeing and basically just wanted somewhere decent to put our heads down for the night.The hotel is just what it says on the tin - with a little extra, dare I say.We booked a twin room via the hotel's website, this turned out to be a queen size bed plus a single sofa bed, both of which where comfy with quality bedding. The room was equipped with everything it states on the hotels website. On arrival the receptionist was polite and helpful, and on both nights we slept well with no disturbance from the traffic outside or other guests.We also paid the £7.50 each for breakfast - which was well worth the money. As a fussy vegetarian I always have a slight worry when it comes down to food - but there was plenty for me to choose from - in fact one morning I think I ate a little too much!The hotel is well situated, around 5 minutes (10, if like us you struggle to cross the busy roads!) from Euston Station - which has brilliant underground and bus links to almost every part of the city!I would certainly stay there again!	
Sep 19 2008 	Stay here	Stayed here with two sons and son's wife. We all agree with everything that's been said . Had the £7.50 breakfast. Amazing value, good quality food and well cooked. Wide variety. The only fault was the VERY slow service at the evening meal , which was again well cooked and good quality. Would stay here again at the drop of a hat.	
Sep 17 2008 	Excellent stay at Premier Inn	Was pleasantly surprised to have a wonderful nights stay at the Premier Inn at Euston!Booked it at the last minute and got a reduced room rate. Arrived around midnight and staff were very welcoming and helpful. The guy on reception told us that they guarantee you a good nights sleep. We found that comment a bit odd but come the morning realised he was absolutely right! I'm not sure how they did it (?!) but we had a brilliant sleep in a super comfy bed! Maybe they pipe something into the room???!!!The room was really big and very clean and quiet. We didnt have the breakfast but we did park at the hotel which was also really handy for central London.Overall a really good hotel that we would recommend and use again.	
Aug 27 2008 	Spotlessly clean!	We stayed here for one night to escape the noise from the Notting Hill Carnival, which was taking place right by our flat.My husband booked the room by phone half an hour before we showed up at 9:00pm. Jorge (he told us it was pronounced &quot;George&quot;) checked us in. He was pleasant, polite, and efficient. Most importantly, he gave us a very quiet room, which was what we had asked for.The room itself was cleaner than some of the 3-5 star hotels we've stayed in before!The bed was amazingly comfortable, and the pillows didn't sink in to become flat, as is the case in many hotels.We didn't have the £7.50 buffet breakfast, but for London this is quite reasonable.When we left, we gave our keycard to a lovely girl who looks like she's probably a goth normally, and she was very polite and all smiles too.After this experience, I can't believe that any tourists ever stay in those overpriced, dingy bed and breakfast hotels that are so popular around Queensway/Bayswater.	
Aug 22 2008 	Excellent location	My wife and I spent 6 days there in July, 2008. The location is perfect, just next to the London Eye. Westminster Bridge, Big Ben, Houses of Parliament are 5 minutes away. It's in the middle of London. Rooms are clean and tidy. Staff are always very helpful. It is also within walking distance to Waterloo and Embankment tube stations. Breakfast was very nice though not included in the price of the room.	
Aug 13 2008 	Great location! Great Breakfast! Lousy Staff!	We are a family of 2 adults, 2 kids and my main requirement in London was that we could stay in one room with a bathroom, breakfast, hotel had an elevator and location was decent. Premier Inn has a great location - near one of the main Tube stations and near the Eurostar (5 minutes walking from each) - great since we were taking the Eurostar at the end of our stay. The breakfast buffet was awesome and since the kids ate free, the price ended up being reasonable. Kept us fed till the evening. Room was comfortable and quiet and the A/C was tolelrable.... but... Family room meant that they added two lumpy small mattresses on either side of the bed for the kids (their website implied the kidsa ctually get a real bed). It took us 3 days to get extra pillows (I need several due to a sinus condition). The staff kept saying that each room has 2 per person, and I kept explaining that is only when there are only 2 people int eroom. Also took us 2 days to get more soap (we were completely out) and clean towels. Laundrette is non-existant. Staff sent us on 2 wild goose chases, wasting an entire evening of our vacation looking for a laundrette. Finally someone gave us the addresses of the laundry facility and we realized the nearest was 3km away. Do not use the restaurant - we waited 30 mintes to get seated (even though it was almost empty), 20 mintues to order, food came out one at a time instead of all at once and we waited an additional 20 mintues to get hte check. Another night it took me 25 minutes to get a slice of cheesecake to go. Staff was very unknowledgeable and on several other occasions gave us incorrect information and didn't do simple things we asked. If you want to use the phone, even for toll-free calls you need to buy a calling card for 5 pounds and if you don't use all the money on the card you don't get a refund. all-in-all, I don'tt regret using them since it had a good location and breakfast, but they are severely lacking in customer service.	
Aug 6 2008 	Great For Families With Small Children!!!	We stayed at this premier inn for the sake of price and we were not let down, The hotel is in an excellent location just a 2 minute walk to Euston Station/Bus station. The actual hotel is great the staff are very kind and helpful they were always cheery. The room was Clean and roomy and included tea and coffee. There was a cot for our 3 month old son already set up when we got into the room which was excellent as he had fallen asleep on the way to the hotel. The bathroom was spotless. and a big plus was the air conditioner! All in all it was the best hotel stay I've had in London! Definitely recommended.	
Aug 4 2008 	great location/service/food	Didnt feel too optimistic when we got in a taxi at Marylebone station and the driver did not know the hotel or the road !, &quot;these chains change hads so often it had to keep up&quot;, Showed him my map and off he went, so much for &quot;The Knowledge&quot;. Hotel was busy on arrival and staff appeared to be doing something other than serving arrivals, the manager noticed this apologised and dealt with us himself. We have booked 2 rooms, one was ready (11:00am) so checked in and dumped our stuff.  The room was clean, fresh, on the side away from the road so very quiet. as this is a busy hotel the lifts tended to take some time 5 floors in total. Euston Station is across the road and Euston Square Tube is a couple of blocks away, so you have access to prety much all the Underground lines, which was good as Circle and District were shut on our weekend.When we got back to the hotel later our second room was available, but despite asking for rooms close to each other the second room was a couple of corridors away, but again to the same high standard as the first room. We all spent a comfortable nights sleep and set off for breakfast, we had been warned at check in that the breakfast was very busy between 8 &amp; 10, but we took the risk going at 9. had to wait about 5 minutes before a table for 4 was available, which I thought was very good. Breakfast up to normal good standard, but couple of things, no cups to make you own tea, had to chase a waitress down to go and get some out of the dish washer. Glassed for the COLD drinks were piping HOT again just coming out of the dishwasher one last little thing, this is an &quot;all you can eat&quot; breakfast, but when the waiters took the plates away he also took the cutlery, so if we had wanted more (which we didnt actually) we would have had to chase some replacements. Over all a very good standard all over, hotel has a bar and resturant (where the breakfast is served in the morning, and a Costa coffee bar, we did not use any of these.note there is a M&amp;S at the station, so wine /beer /goodies can be sourced cheaper that the bar prices.	
Aug 4 2008 	A Chain Hotel done well!	We were catching a late train into London and wanted a hotel to crash at for the night, so found this in short walking distance of Euston. While many of the travelodge, holiday inns, premier inns, etc. tend to blend into one another it was really nice to stay at one that will linger in the mind as it had no problems and great staff.The whole place was clean, tidy and the staff were genuinely friendly and helpful.The room was no surprise with all the usual stuff, a little small but fine for two. There was the potential for noise as the walls seem a little thin but we were at the rear of the hotel so noticed no traffic. Room and bathroom all very clean and tidy. Also had a snack at the restaurant downstairs (1 Duke Street? I think) which seemed fairly good value for money in London.It's not 5 stars as £90 a night is never exactly cheap, but on the whole a very pleasant surprise.	
Jul 31 2008	Nice but bad staff attitude....	Nice little hotel - very comfortable and convenient. Sadly it was let down by the people staffing the restaurant who were rude and didn't seem to give a s..t about what they were doing. In particular there was some Turkish or possibly Greek-looking gentleman behind the bar whose attitude really stank. But anyway, for the price (about 100 quid a night) you can't really complain. Overall good value	
Jul 24 2008	Excellent Hotel	I've just come back from a weeks stay in London at the Premiere Inn Euston. I can't recommend this hotel highly enough, As I was travelling to London alone with my daughter I had a number of concerns before I left eg would the hotel be noisy at night from other guests, would the room be big enough for a weeks stay as we would be staying in from about 9pm, would the hotel be child friendly? I have to say on all these counts the hotle was excellent. They have a good nights sleep policy which seems to mean that you get your money back if you are disturbed at night etc. We did not hear any noise during our entire stay, the rooms seem to be fully insulated and you couldn't even hear TV etc from other rooms. The rooms themselves are big enough- we had a queensize bed and a full sized single bed in the room, a desk, TV and shelving unit, coffee maker, seperate bathroom etc. They do not include breakfast in the room rate but I would highly recommend paying the extra £7.50 for their breakfast. My daughters breakfast was free once I both breakfast for myself. There was everything available in unlimited supply- fresh fruits, juices, breads, rolls, sausages, rashers, egg, yoghurts, granola, cereals, tea, latte, hot chocolate etc. A very good start to the day. The other things I really liked about this hotel were- they seem to have a policy of acknowledging and smiling at everyone entering and leaving the building which is very nice. And secondly the house cleaning staff were really excellent and cleaned the room at any time- we left our room at about 5pm fully expexcting it to be in a mess when we got back but the hosue cleaning staff had cleaned it by the time we got back which I was very happy about. The only problem was that they did not have a safe in the room which is a bit of a pain, but a minor one. If I was going back to London I wouldn't bother looking anywhere else and would book directly with this hotel again.	
Jul 24 2008 	Excellent for families	Easy to find opposite Euston Station, checked in an hour early but reception were very helpful and had a room ready for us. Room was big enough for a double and two singles (on the floor) and the glazing did its best to keep the traffic noise from the Euston Road at bay and generally succeeded. Room was hot - but all hotel rooms are hot in my experience - air con was provided and worked to some extent. Windows don't open (on purpose) in the room but that's a minor niggle. Overall cleanliness of room and linen excellent, bathroom spotless and everything worked as it should - everyone said beds were comfortable.So few hotels in London cater for families of four and this was ideal fo a one night stopover. I have stayed in London on business in more expensive hotels in than this and sometimes found them to be well below the standards here.We paid for two adult breakfasts and the kids ate free - ample seating and lots of good quality and choice on offer to suit all tastes.Could have done without the false fire alarm at 08:30am but these things happen - staff were very apologetic.Highly recommended and would definitely use again	
Jul 22 2008 	Excellent Hotel	Myself and my boyfriend stayed at the Premier Inn London Euston Hotel for 4 nights at the beginning of July. I would highly recommend this hotel. On arrival we were greated by a very friendly and helpful receptionist. Our room was quite spacious and really clean. It was very warm and we could not open the windows but thankfully they provide a fan in the room which is definately needed. The all you can eat breakfast was amazing and the hotel restaurant at night was fantastic value and the food was delicious. The only downside I could find was the location. it is quite a walk to get to the major attractions but there were always cabs and buses about. Overall I would recommend this hotel for a short break. I would have no hesitation in staying there again.	
Jul 18 2008 	Perfect for a 'stop-over'!	I booked one room for my 12 year old son and myself - one large double bed and a more than adequate 'z bed' type of contraption - perfectly comfortable and more than adequate for his needs. The room and bathroom was spotlessly clean with good quality linen, pillows and towels. Superb power shower too!Tea / coffee / biscuits were provided with a decent kettle and (surprise, surprise) a proper hairdryer! What a rarity! Our room was very quiet (at the back of the hotel) and I honesty didn't hear one siren all night! It's crowning glory is its' very close proximity to both Euston and St Pancras - as long as your luggage has wheels both are only moments away. Breakfast was excellent (continental and hot) but a downside is that food is only served unitl 10pm in the evening - we checked in at 10.05pm and were too late to order pizza for my son - 11pm would be a better time in such a busy city centre budget hotel in my opinion. Cost was £110 for midweek with £7.50 for breakfast (children's b/fast is free) on the premier inn website - didn't bother to shop around on price as I needed a confirmed booking in a rush - the hotel price in reception said £150 for midweek but I'm sure no-one ever pays that much! Ideal for a one night stopover - I felt very safe as the toilets in reception and lifts to the rooms are controlled by your key card. Would stay again without doubt!	
Jul 1 2008 	Stayed one night last weekend in June. Fantastic!	Staff extremely friendly and helpful. Room extremely clean &amp; comfortable. Flat screen TV with hundreds of channels. Triple glazing blocked out road noise. Room warm bur air con OK. Breakfast fantastic and Costa cappucino's/lattes free(from machine). Convenient for Euston and Central London. Would definitely stay again. One problem, I booked on credit card and paid cash. They wanted other ID which I wasn't aware that I needed to take. Beware.	
May 31 2008 	SHAME THAT THEY HAVE SEALED UP THE WINDOWS	Much work has gone on to re-furbish and add bedrooms over the last year or so and prices have gone up to match Eurostar being close-by. Sadly, opening windows have been sealed and the air circulation system does not chill the bedrooms. On a cold May night, the bedroom temperature never fell below 25c. Staff are friendly and cheerful from many cultural backgrounds. The hotel is squeaky clean and the rooms a good size and significantly re-furbished. Rooms on the Bloomsbury side are much quieter than those overlooking Euston Road.	
May 29 2008 	The one for the expensive hotels to fear!	I'm a life-long devotee of the Holiday Inn in Mayfair, and have just become sick of the huge prices for the pretty average rooms and the add-on's, and the indifferent staff there - so I've checked into the Premier Inn, half way between Kings Cross and Euston, on the last two visits to London.The only down-side in my view, is the location, if you're returning to the hotel late at night - personally I think it warrants a taxi right to the door rather than public transport, for safety.Otherwise, 11 out of 10 for these guys - the newly completed refurb makes this an ideal 'budget' hotel - it can still be over £100 at busy times, but on average it has been £100 less than the Mayfair hotels.The rooms are new, clean, airy, the breakfast is excellent 'all you can eat' value, all the staff are young, pleasant, motivated people, and it's literally ten minutes maximum walk to KX, Euston or St Pancras, with Euston Square nearby too.This is a huge step up from the old Travel Inn format, which frankly was uncomfortably shabby latterly, and I think Premier deserve every success.You've got to question why you'd pay £100 more, for an old place in Mayfair that is looking and feeling really tired. It's much more fashionable to pay less for better service - look at Primark!	
May 20 2008 	Great Staff	Booked this hotel after reading reviews on this site. Fantastic hotel. Staff were very helpfull and could not do enough for you.If I visit london again, I will certainly stay at this hotel.	
May 16 2008 	Not a shining example of the chain	Stayed for a business event over several days. Handy for Euston Station and not shabby for Kings Cross St Pancras either. Service wasn't great, staff didn't seem to know what was going on, and check in and check out took a needlesly long time, with the now all too common language barriers in London making things harder. My room was clean, but rather small. Several residents complained about road noise in the rooms on the front of the hotel - ask for a room at the back or side if you want a good night's sleep. Didn't use the restaurant other than for breakfast, which wasn't great even by Premier Inn standards. Other than the handy location, it seems expensive for what you get, even factoring in London pricing. OK as a basic base if you can get a deal through a rebooker - not worth rack rate unless you're desparate.	
Apr 23 2008 	Lenry Henry would be proud of Euston!!	LOCATION: 5/10 mins walk from Kings Cross and the nearest Underground LinkHOTEL: Clean, Modern and very welcoming STAFF: We found staff both at reception and restuarants to be more than helpful, friendly and politeROOMS: Our room was on the second floor, which overlooked the main entrance, the only outside noise we heard was the chime of bells. Bed really comfortable and most welcoming after a long day shopping!!Added bonus the bathroom had a bath as well as a shower, which is also great after a tireing day down Oxford Street.Although the hotel has gone for the modern, clean and minimal look which is nice, the vanity unit in the rooms is in an odd place, right outside the bathroom door which means when getting ready to go out you can be on top of each other.BREAKFAST: The price of the breakfast my seem steep compared to other places but it was worth it. We had ample hot and cold food to choose from...........I would recommend having this, it will set you up for the day.Last time we went to London we stayed at the Kings Cross Inn, but would not hesitate in staying or recommending this one also.	
Apr 3 2008 	Good sized room for London	I spent three nights here away on business in March / April 2008. My initial impression of the hotel wasn't the best. The reception area is currently being refurbished, so had to wait in the lobby until a member of staff was free to help, however, they were clearly trying to deal with arrivals as efficiently as they could.The room was good, more spacious than most in London, very clean, and the bed comfortable. WiFi access was £9 for 24 hours. The evening meals were fine, breakfast plentiful (all you can eat for £7.50) and restaurant modern in appearance. The only issue I encountered was with one of the lifts, which didn't seem to want to leave the floor I was staying on. I struggled to explain this to the members of staff nearby as English wasn't their first language, but the problem seemed to have been resolved by the following morning.The location is convenient, five minutes walk from Euston and Kings Cross, so a good place to stay if you want to get around by tube. All in all, I'd recommend the hotel as a place to stay in London.	
Mar 30 2008 	Good location and room	Have now used this Premier Inn on a number of occasions ... partially because near the tube, partially because on street parking in the area is free and fairly accesible at the weekend if you know where to look. Currently being refurbished - has improved the rooms, which are undoubtedly basic but have decent bed / shower with adequate TV. Reception service helpful, room very clean. Not too badly priced by London standards (90 prpn r/o at weekends), but worth noting that if you are prepared to pay £15 more and shop around you can get a lot more for your money. However, very easy to book online, and usually possible to get a room at the last minute.	
