	Super views reasonably priced	Stayed at the Tower for one night on business due to an overnight function in London.The view from some of the rooms or the front of the hotel over Tower Bridge, especially at night, is something to see. Room was comfortable if not a little small but for the rate paid that was fine. Breakfast in the morning was plentiful with a good selection of hot and cold.Check-out was quick on this occasion - have known it to be slower.	
Aug 29 2008 	Very nice room - shambolic breakfast	Slap bang next to Tower Bridge and 10 minutes walk from Tower Hill tube station the Tower Hotel is a 1970's block which, from the outside looking in promises nothing, but from inside looking out has some terrific views.Our room on the fifth floor was very clean, well equipped but rather souless in character. However, the bed was large and comfortable, the bathroom well fitted out and a modern flat-screen television (and that view!) made it altogether a very good room.The room was in the hotel's (middle) &quot;deluxe&quot; price bracket. We were able to see in to one of the cheaper rooms on a lower floor and they certainly were showing signs of age!Reception was efficient, the concierge staff helpful, and, following an excellent night's sleep, everything appeared to be shaping up for a most pleasant weekend.Until we hit breakfast. Sunday morning; no rush; come down at 10.00 (breakfast on a Sunday available until 11.00) and lo-and-behold a queue from The Brasserie stretching in front of the reception desk. Therefore up to the next floor to the other breakfast location (The Carvery) where the queue was even longer! Back down to the Brasserie (the queue appeared not to have moved) and into line.That was at 10.05 - we eventually were seated at a table at 10.30 - a full 25 minutes!At one stage a member of staff came along and said she realised there was a queue (how's that for stating the obvious!) but if guests preferred they could get coffee and a croissant at a service point in the hallway.The hallway area is large and could easily accommodate a number of chairs so if there are not enough tables why not sit guests down at those chairs, take a room number and then call them through when a table becomes available? The answer was simple - only 1 person on the door and he was having to lay up tables as well as deal with guests. No visible management presence!Once we were finally seated we noted that tea and coffee was served from insulated jugs by a member of staff. No proper tea or coffee pots put on the table. Everything else was a help youself buffet. Mediocre quality sausage and the most anaemic scrambled eggs I have ever seen.Did we learn our lesson? No! Rather than book breakfast in the room for our second morning we again came down (this time a little earlier) and this time 3 queues (they at least had had the sense to open a vacant function room) but again no real sense of urgency from the staff, no organisation in relaying tables, and food quality that was more boarding house that 4-star hotel.All told I would find it very difficult to recommend the Tower Hotel. We only stayed their because our usual haunt (also in the same group) was full. If this happens again in the future I won't accept the Tower Hotel as an alternative.	
Aug 28 2008 	fantastic hotel	not a very good exterior but brilliant ,staff very helpful and friendly and exceptional view of tower from room. Room very clean could do with a bit more colour , but well worth a visit. Two Wetherspoons nearby,one across the Bridge and one about 500 yards past Tower, both very good value with decent food.	
Aug 28 2008	Disappointing "4 star" hotel	We spent 2 nights at the Guoman Tower during a weekend tour trip to London. The location is spectacular, right beside Tower Bridge. The decor in our room was dated and the furniture had tonnes of scratches and dents in it. Another member of our tour group said their bed was broken. It's definately time for renovations. OK if you're spending most of your time sight-seeing, but I'm sure there are cheaper accomodations that would be fine. Check-in and check-out was smooth. Breakfast on Saturday morning had a huge line-up so we skipped it. We did have breakfast on Sunday. A stern hostess brought us to our table and commanded us to sit without a friendly smile or &quot;good morning.&quot; Food was average.Next time I go to London it won't be with a tour group and I will choose another accommodation.	
Aug 23 2008 	Hated the Tower	This hotel, whilst having a great location near the Thames, is very poor - cramped old fashioned rooms which if you are on the first floor are also noisy early hours when the rubbish bins are emptied. The room in which I stayed had 3 single beds - all of which were long past overdue for replacing - the springs had gone and dug into my back. The remaining furniture was shabby - the chairs were too big for the room and you struggle to squeeze past them!The shower was Ok - but mold on the ceiling, and it wasn't particularly clean.The lift in a morning is a nightmare, so I used the stairs - they were being mopped at the time, so hence I then slipped -the end of an awful stay. I would recommend the Crowne plaza on Shoreditch High St - much better rooms and cleaner - and near some great restaurants in Hoxton. This used to be a poorer area, but is very much up and coming and near some tube stations to get around the City.	
Aug 22 2008 	Great location	I stayed here with my spouse for 5 nights and found it extremely comfortable. We had requested a non smoking room and a king bed ahead of time, but not a view. When we arrived and I realized how close it actually is to the Tower Bridge I asked if we could have a preferred view. Luckily there was no problem and we got a great room on the 5th floor looking directly out to the Thames and the Tower Bridge. The room is small if you are used to hotel rooms in the US, but it is fine as far as European or UK standards. There was a small seating area and a desk. A great flat screen TV. The robes were great and I was surprised how great the hairdryer was for a hotel. Sheets, pillows and bed were comfortable. I read on another review that there are refurbished rooms, so I am assuming we had one. Be sure to ask when booking. It's at least a 10 minute walk to the Tower Bridge Tube. If it's windy, raining or you are with someone who has trouble walking I would keep that in mind. We never used the gym, but I believe there is a charge for it if you are not staying on certain floors. There is wireless internet and since we were there for 5 nights we got the 30 day package for 40 pounds which I think is a lot, but we needed it. There is a Starbucks within walking ditance which was nice. We ate at a casual Italian restaurant Zizzy twice (within walking distance) and had a nice dinner both nights. Not out of this world, but good. Service not so great (that was almost everywhere we went though.) I used the concierge a couple of times and they were friendly and helpful. Bring a small umbrella with you! They were out of the ones they lend out on a rainy morning and told you that you could buy one. The St. Catherine's dock is right outside the hotel, so you can catch a boat and take it to a few different places. We went to Greenwich for the day and it was a nice getaway (I would only do that if you've seen all the major attractions in the city.) You need to do a lot of walking in Greenwich, so do it on a nice day and buy a round trip boat ticket (you will save money.)	
Aug 17 2008 	Enjoyable stay....	Have just returned from spending the weekend celebrating my 50th birthday with my husband and daughters at Tower Hotel. Booked two deluxe rooms with guaranteed views of Tower Bridge and wondered what sort of view this would be just a glimpse? NO i was not disappointed both rooms had an amazing view. The rooms were comfortable and clean. We ate on two occassions in the hotel where the food was good and service was pleasent. We queued for a few minutes for breakfast in the Carvery but then were quickly redirected to another function room where breakfast was being served. The food was hot and plentiful. Reception staff were helpful and efficient. The area surrounding the hotel was very nice, would recommend having a wander around St Katherines docks. Overall would definitlely stay at the hotel in the future.	
Aug 13 2008 	Peaceful stay in peak season	The Guoman was the venue for an overnight stay on a coach trip to tour Buckingham Palace.We arrived early evening tired and very wet after a summer downpour.Check-in was simple and we were soon in our room drying off with the 2 hairdryers(very handy).We quickly had drinks ready -pleased to see proper teapot and cafetiere.The room was very clean and comfy with a pleasant view over St Katherine's Dock. We both had a good nights sleep as it was so peaceful for an inner London Hotel. The bathroon was clean with lovely BIG fluffy towels and Elemis toiletries.Read earlier reviews so arrived at 7:15 am for our Continental breakfast (fairly standard quality) and waited just 5mins. As we came out there were very long queues to go in. Only drawback was having to wait a while for one of the 4 lifts.All in all, great location,no problems and would recommend The Tower.	
Aug 7 2008 	Good Hotel	This is a very good choice if you want to stay in the City (tourists might need to be aware of the fact that when we talk about the City we mean the Financial District - not London as such - most tourist hotels are in the West End) . Alternatives such as the Grange or the Nototel by the Tower are nowhere near as good and in the case of the Grange more expensive and strangely the Grange is a five star whereas this is a four star - and better.Location is very good, next to Tower Bridge, Circle Line is easily accessible from Tower Hill and there's plenty of bus routes and always a line of Taxis outside. Rooms are excellent, very clean, spacious, good bathroom, all mod cons etc. Usual mountain of pillows and cushions on the bed (why do hotels do that?).It was very busy during my stay and there was a very long queue for breakfast and this would be my only complaint. I've also stayed at the Cumberland in Marble Arch which is also owned by Guoman and they have the same problem there - they obviously don't put enough staff on. Probably best to skip breakfast and go to a Starbucks nearby.Staff very helpful and always seem to have a smile on their faces. Generally very impressed.	
Aug 5 2008 	Fab!	The standard of this hotel for a London hotel is good. The room was immaculate and clean, and was an excellent size for a London hotel. There was a good selection of Elemis products in the bathroom as well as robe for use. I was pleased with the service I received over the two nights I stayed from all of the staff I encountered. I had no problem with breakfast (as has been decribed in other reviews here), and found that there was a good selection of food (full English, fruits, cerealsetc) and that it was of good quality. The hotel in in a convenient location and has excellent views of wither Tower bridge or St Katherines Dock. I was most pleased with my experience of this hotel and would return.	
Jul 28 2008 	Smokey room	Check in quick and easy but on entering room on a non-smoking room it immediately smelled of smoke. Contacted reception and after many phone calls which in total lasted about an hour we were finally relocated to another room. Breakfast was very good after a small wait because they were very busy. Location for this hotel is great for bars and resturants. The hotel bar has a great view over the tower bridge but drinks are very expensive even for a london hotel. Would go back if the price does not increae because of the location.	
Jul 25 2008 	Great Hotel	I was a little worried when i read reviews for this hotel before my holiday as it has quite alot of bad reviews but i was very pleasantly suprised when we arrived. Firstly we got a taxi from the Train station and when we arrived with our cases someone immediately ran out to greet us and carried our belongings into the hotel. Check was quick and hassel free, staff very curteous. The room was very nice, although i dont think it was a refurbished one. The decor was perhaps a little dated but it was spotless and tidy. The view over st Katherines dock was breathtaking, and we could see the gerkin! Breakfast was very nice, lots to choose from and the staff were very attentive eventhough it was very busy. At night we sat in the outside terrace for drinks, with a lovely view of tower bridge. We had the cavery and it was very nice and good value for money. I would recommend this hotel.	
Jul 21 2008 	what a waste!	Stayed here for one night when my husband and I were in London to see Bruce Springsteen. I’m glad we weren’t back in the room until 12.30am after the concert because I don’t think I would have wanted to spend any time there. Granted the hotel is in an excellent location but the minuses definitely outweigh the pluses. I found the lady that checked us in extremely rude. We booked a non-smoking double room but the hotel had obviously overbooked and given our room away so they tried to compensate by giving us a suite on a smoking floor. When I informed them that I wanted a non-smoking room I was told I should be grateful and I was lucky to get a suite! I didn’t care about getting a suite I just wanted a simple room on a non-smoking floor but the lady persisted to argue with me until the manager had to be called. I thought this was totally unprofessional. We ended up getting what we had asked for in the first place which didn’t make any sense at all!The room was fine. Very outdated but comfortable enough and with an amazing view out over the Thames. However the breakfast the following morning was poor. The queues were out into the lobby for both restaurants. When we did get seated nobody came to take our tea/coffee order and the food was cold as it has obviously been sitting out a while. I don’t think I’m overly picky but I expect general manners and a standard level of service which was not simply not apparent at this hotel. With so many other good hotels in London I will definitely give this one a miss in future and wish we hadn’t bothered with here.	
Jul 16 2008 	Poor value small room	This was one of the stragest rooms I've ever been in. The &quot;bedroom&quot; area was big enough for a Twin bed a desk and perhaps a second twin bed. That's it. maybe 100 sq. ft., plus a bathroom.The room was clean, service was great. Although they couldn't check me in early.Price was outrageous and decor is in need of an update.However, if I couldn't find anything else, I'd have no problem staying here again. the views alone are great.	
Jul 9 2008 	Suprisingly Good	We won a night in The Tower so didn't have to find the £287 that the company paid! because of this I was prepared to upgrade before we arrived, having read reviews warning about the hard sell at reception. I was offered a 'refurbished room on the 5th floor' for £70. I offered £60 which was accepted.At reception I ask for 2 extra pillows and they arrived at the room at the same time as we did- very good!The room was very good. A little small maybe but the following morning we were still discovering extra touches! These include;heated floor and mirrors in the bathroom, Illuminated shaving mirror, bathrobes, USA and continental plug sockets ( a first in my experience) a great tray with umbrella, shoe horn, clothes brush and various bags, minibar (but no price list), large LED TV (but the instructions were for a different model), phone (but no number list), hairdryer (and not on the wall- a proper one!) a very large safe which would have held a laptop (and had a mains socket INSIDE the safe) an extension box for the TV on the desk which took various computer connections (HDTV etc), tea/ coffee facilities (real coffee- real cafetiere, not enough milk sachets as always.)Standard of decoration was very high and the lighting options staggering.We had a perfect view of London Bridge, City hall and the Thames.They had converted the ballroom to an extra breakfast room. I estimate that they held about 600 people for breakfast and the service was spot on! Breakfast was good but there is no way that I would have paid £18 extra for it!Newspaper is complimentary in the morning.We would definately stay here again if we were not paying the somewhat exorbitant rate!	
Jul 7 2008	Couldn't ask for more	I stayed at the Tower Hotel in London this weekend and have to say that I couldn't have asked for more. First - the location. It's right on the Thames and depending on which way you look, you've got views of Tower Bridge, the Tower of London, St Katharines Dock or the old Butlers Wharf Building on the other side of the river. The hotel itself is in very easy walking distance of Tower Hill tube station - important to me as my travelling companion was over 70!Don't be put off by the exterior of the hotel, which is all 70's concrete and cubist lines; for it does not do justice to what is inside. Check-in was simple and the staff were very courteous and attentive. I had asked for two quiet, non-smoking rooms on the same floor and was pleased to find out that all of this had been arranged. The lobby is pleasant and has a little bar / coffee shop in one corner. There are plenty of sofas to lounge around on too. There's a bigger bar area on the first floor, but I didn't check that out so can't really comment on it.We stayed in two single rooms on the 10th floor, looking over the dock. I suppose that they weren't the biggest rooms I've ever stayed in (maybe cosy is a better description!) but overall they were fine. Also, they were spotlessly clean and very comfortable.Breakfast is served at three places - the carvery, brasserie and one place I forgot the name of! We were in a queue for the brasserie and were advised to go to the other place as there wasn't a queue there. Sure enough, we got straight in and there was the usual selection of hot &amp; cold buffet plus as much tea or coffee as you can manage.I guess what impressed me most about this place was the staff. From the moment we arrived they were all pleasant and courteous - maids, bar staff, check-in &amp; restaurant staff were all great. I've stayed in some hotels in London (and elsewhere) where the staff simply couldn't be bothered, but that was not the case here.Would I recommend it - yes. Will I stay there again - yes.I booked through Superbreak, but you can also do it through the &quot;visit London&quot; website.	
Jul 2 2008 	A very pleasant stay	I was in England on business. My husband and 13 year old daughter were meeting me in London for the weekend. We arranged to meet in the Hotel lobby on the Friday morning. When my husband and daughter arrived at 9.15 am they were told our room was ready. However there wasn't a third bed in the room for my daughter. I explained this on arrival and within 5 mins a housekeeper came to our room to make up the extra bed. Our room was on the first floor and we had a lovely view over St Katherine's dock. The decore in the room was a bit shabby but we had everything we needed. The beds were very comfortable. The lobby is really nice with beautiful fresh flowers. The staff were very friendly and very helpful. We went down for breakfast (which was served in the brasserie) on the Saturday morning at 9 am and had to join a queue. We went earlier on the Sunday morning. On the Monday morning breakfast was served in the Carvery. The location of this hotel is lovely (quiet) although somewhat out of the centre. However we walked into the centre of London along the Thames path on the same side as the hotel. This took us about one hour. We walked back in the evening along the Thames path on the other side of the river. This was a lovely evening walk passing by some lovely restaurants. I would stay here again.	
Jun 28 2008 	Massive improvement since my last visit	I am giving this hotel 5 stars basically because of the massive improvement since the last time I visited (which was mid 2007).In a previous job I used to have to stay at the Tower if the preferred hotels were full, and it had become a horrible experience. The rooms were very dated and dirty, the staff completely uninterested and as other people reported there were frequent fire alarms and power failures. I had got the impression that Guoman had just planned to run the hotel into the ground and make no investment in it.I had to stasy again at the Tower for a week because the first choice hotel was full, and I was not looking forward to it.However, the experience was better from the moment I stepped into the hotel. I was approached immediately by a bellboy who offered to take my bags, and there were at least half a dozen staff manning the reception.I think i got lucky and got an upgraded room. In the past an upgraded room meant it was decorated in the 1980s rather than the 1970s but the room I got was fantastic. It was on the 5th floor which looked to have been completely refurbished. If you can pay extra to guarantee one of these rooms, it is definitely worth it.The bed was very large and brand new, the bathroom had a great shower and nice touches like a heated mirror and underfloor heating. There were plenty of towels and bathrobes. I even got a turndown service each night.The only minor issue I could find was that the room door is relatively thin so you could hear people walking past in the corridor. The room itself is well soundproofed though.I checked the guoman website to see if there were any pictures of the room but could not find any which is odd since I should have thought it was a big selling point for the hotel.Maybe my experience was atypical but if Guoman continue to refurbish the rooms and don't raise the rates too much, it is going to be somewhere I would choose to stay even when spending my own money.I did not eat at the hotel so I have no idea whether the food has improved but there are plenty of places in the surrounding area you could go to for breakfast.	
Jun 19 2008 	Poor restaurant queues for Taxi's and a fire alarm at 3am	The views are tremendous and the location great, but it needs a re furb. The food - dined in the carvery was not very nice and the price was a rip off - basically it's £16.95 between 5pm and 7pm and £21.95 thereafter, I dined at 6.45pm and they charged me the £21.95......I didn't complain because you get the feeling with the place that they wouldn't do anything anyway. When the fire alarm went off at 3am and we all trooped outside, I just thought....never again am I staying here.	
Jun 18 2008 	Poor value money! wouldn't stay again!	Stayed at the Guoman Tower hotel on Tuesday 17th June for 1 night.I had to stay near the City of London on Tuesday evening as I had an important piece of work to complete very early on Wednesday morning.I had been given a special discounted rate of £135 for the night (without breakfast) as my company uses this hotel as 1 of its preferred choices. My company was paying for the accommodation and I am glad not to have paid out of pocket for this experience.I checked-in around 3pm on Tuesday afternoon, and had to wait approx 5 minutes before I was acknowledged. I was assigned room 422 (a non-smoking floor).The room itself was incredibly dated, with worn furniture and tatty, outdated fixtures/fittings. The only nice thing about the room was that it faced onto St Katherines docks. The bathroom had some nice elemis products, but really, this rooms only redeeming feature.The location of the hotel is ok, situated right on the Thames with a great view of Tower bridge. There are a number of rooms which face the Tower, but I assume you would have to pay extra.This is the point where my review goes way downhill. I had visited the Tower hotel in December of 2006 when the hotel's fire alarm went off at 3am. Everyone was evacuated and we stood outside in the cold for around 30 minutes while the fire services checked he hotel.I was joking with a colleague on Monday 16th June 2008 stating that I hoped the same would not happen again!. Well, I couldn't believe my bad luck because at approx 3.50am on the Wednesday morning, I was awoken to the piercing sound of the fire alarm.I had to get up, get dressed and head outside to stand for approx 20 minutes while the fire services again checked the hotel.I couldn't believe my bad luck!. When I checked out the next morning, I informed the receptionist that this was the second time this had happened to me. As you would expect, she was completely disinterested.I feel this hotel is definitely not worthy of its 4 star rating and I would definitely recommend people consider the Hilton Tower Bridge as a far superior alternative!.	
Jun 10 2008 	Nice suprise	Having read all the bad reviews I was expecting the worst. We were quiet suprised, had a lovely view of St Katherines Dock, room was clean and had a nice feel to it. The bed was just how I like it. We paid £90 per night. I think if we went again we would try and stay more central but I'm not sure we would have got something decent for that price.	
Jun 9 2008 	Brilliant Hotel	Just stayed at The Tower this weekend and we had a fab time. The staff were friendly, helpful and efficient, every where was spotless both public areas and bedrooms, food was great, masses of fresh flowers, fantastic views. Would I stay here again? Yes and I would advise friends and family to stay here as well - I am well travelled, both home and abroad and would have no problem recommending this hotel to others.	
Jun 3 2008 	how to wind up your guests	I booked 2 rooms as we were going to an 18th birthday party at tower bridge one for my wife and I and one for my son. Room was ok but a bit small. On check out the problems started having prepaid I asked for the number of my son's room so I could go and wake him up as he was not aswering the phone I was told they could not give me that information, I explained that I had paid for both rooms and if they checked the surname, ours is unusual, they would see that they were the same and it was my son. No joy, I asked to see a manager this was refused so by then I was getting rather annoyed, so I asked again in a loud voice and a guy came I explained the whole thing again and he said that he coul not give me that information I then asked to see the general manager tHis was refused so again in a loud voice asked and he arrived I again explained, sorry can't give you that information! So by then shouting asked for a credit for the room I had paid for but was not allowed to have the room number he then said he would write it down. Faulty Towers or what. Stay AWAY	
May 27 2008 	Rip-off london	My Boyfriend booked a 'deluxe' room, as he wanted to stay somewhere special when he proposed to me. Well the furniture looked like someone had attacked it with a baseball bat - all chipped, the carpet had holes in it and we were sorely disappointed. So i complained - they wanted us to pay for an upgrade to excutive but eventually agreed we could have it at no extra charge. So we moved up two floors to our 'executive room'. What a joke it was exactly the same size as the deluxe the furniture looked like some cheap ikea cr*p and the bathroom was actually worse! i felt so sorry for my boyfriend who wanted a special place to propose, it didnt ruin our evening but i cant believe the price they charge for some average 3 star room not 4 star quality. This is the first complaint i have ever made about a hotel or anything actually, but i feel so strongly about it. How can people mark All i can say is is that i shall never stay in a Guoman hotel ever again!! ps it didnt stop me saying yes...	
May 22 2008 	Love the Tower	Once again I had a brilliant weekend at the Guoman Tower. My room had a terrific view and everything in it that I could possibly need. Reading some reviews I do wonder if they were staying in the same place as I was, the bed was perfectly comfortable with spotlessly clean linen and the ' funny switch' in the bathroom is there so that you can hear the TV or Radio, very clever! As for the breakfast, I had Contenental and I've never seen such an array of food, definitely something for everyone. Now, I musn't leave out the staff, each and every one of them go out of their way to be helpful. Hopefully I shall be back again soon.	
May 13 2008 	Pleasant LocastionLUDICROUS room rate SNEAKY HOTEL	Ok, firstly booked through a corporate travel agent, rate was SUPPOSED to be £140 flat HOWEVER this sneaky hotel had misled the agents by not adding the vat onto there rate so I had a nasty surprise upon checking in when my single room cost me £165!!!!!!!!!!!!!!!!!!!!!!! THAT said upon checking here I wont be using the agents again as I could have booked for £80 on the various sites here on trip advisor...you live you learn.Ok the hotel, well after reading some of these reviews I was a little concerned other than the cost issue (overpriced) and this daft ADDITIONAL £50 charge for room service! Pleasant location and comfortable rooms, nice branded toiletries and iron etc in the room.Would recommend but shop around for a good rate.I think the last review was a little harsh on the breakfast review, it WAS cheap slightly tastless breakfast but not the worst in the world.	
May 9 2008 	Average hotel great location	This was for a work trip, so expected the usual corporate room. Was not disappointed. Thankfully, on checkin they were aware my work had paid for room in advance, and did try to sting me for the £50 pre approval. I declined. The room was clean, but no minibar or bathrobe. Strange knob in bathroom said &quot;volume&quot;. Beds were so hard it was like sleeping on an ironing board and there were no extra blankets in the room. The duvet was lightweight, felt cheap. Not fluffy at all. The breakfast was most disapointing. I had breakfast included in my room rate, and was amazed to see they charged £20 for the full english. TBH, if the photo attached is a full English, then I am a monkey's uncle. The bacon was cut too thick and was cheap, with the white goo that comes from water injected bacon still on the flesh. It really wasn't cooked very well at all, more warmed through. The scrambled egg was devoid of taste and was made using that homogenised egg hotels used. Sausages were tasteless and the hash brown was very soggy. No toast was offered on the menu, but bread rolls were. I didn't rate them much. All in all it's good for location but they are really taking the mickey with the pathetic breakfast. I don't understand why a 4 star hotel can expect to get away with 2 star food. I've had better at a greasy spoon and this area needs some attention.	
May 8 2008 	OK but nothing special	Booked into here for 3 nights in April 08 by my company on an expensive room only corporate rate (with breakfast an extra £17.95 + VAT).I last stayed here several years ago when it was still the Thistle Tower. Not much seems to have changed with the rebranding, apart from new LCD TVs in the bedrooms (and the price of course).Room was spacious but the decor looked a little dated and tatty and hadn't really changed since my last visit. Lampshades had brown scorch marks around the tops from the heat of the lamps. There was a broken floor tile in the bathroom which had a sharp edge, the heated towel rail did not work and neither did the Wardrobe interior lights. The in-room safe could hardly be called secure as the door was missing! The newspaper I ordered only turned up on the first day. Tea &amp; coffee supplies and toiletries were not refilled every day. A large number of room keys stopped working on the second day which coincided with a massive group of people arriving, resulting in chaos at the front desk with queues of people everywhere. All minor things but not really what I expect from a company which claims &quot;unwavering commitment to service&quot;.The location is good for Tower Bridge and the Tower of London and is a short walk from Tower Hill tube and Tower Gateway DLR stations. London Bridge station is a little further away over the other side of Tower Bridge but still walkable in 10-15 mins. You get some excellent views of Tower Bridge at night from the hotel entrance. The St Katharine's Dock area in which the hotel is located has a number of restauarants and bars set alongside the boat moorings and makes for a pleasant way to spend an evening.Breakfast was expensive and always busy with queues of people waiting to be seated and being told that there was no tables available despite emptly tables being visible from the door. You have to preesent your actual room key as the colour of this determines your entitlement to breakfast and seemingly the area in which you get seated. The breakfast selection was resonable but you only get given coffee one cup at a time. Once you have drunk that you need to catch someones eye to get a refill. What's wrong with a coffee pot on the table as in other places? Toast was available if you asked for it but it was never offered. I never ate here of an evening as there were plenty of alternatives close by.I would not choose to stay here again. You can do far better for the money. Try the Hilton Tower Bridge just the other side of the river - New, modern hotel with good deals available and just as convienient.	
May 5 2008 	Tower - Brutal Buildings But OK	Just travelled to London on another business trip. Based on previous experiences in London I had no expectations of this hotel but was pleasantly surprised.The hotel is very well located with views of the Tower Bridge and a 5 minute walk to the Tower Hill tube station.Rooms are very large by London standards and the service from all staff - receprtion, cleaning, room service and restaurant - was courteous and friendly throughout.Restaurants were nothing special. Internet costs through BTOpenZone quite high, particularly for r short term use.	
May 2 2008 	Inconvenient and underwhelming	This hotel was booked for me in connection with a meeting I was attending in the City. Overall, I wasn't impressed. Yes, London hotels are expensive for what you get, but this hotel in particular failed to offer any value for money. The front desk staff tried to hard-sell an upgrade, which I couldn't take advantage of because someone else was paying for my room. They also asked for (but didn't get) a 50 pound deposit for incidental expenses like room service, minibar and phone calls. Consequently, I ended up in a standard room on the very worn out and faded third floor (ripped carpet in hallways, held together with black tape). My room was of a reasonable size, but the bed was rock hard. The shower curtain was a limp thing that attached itself like a barnacle to me when I showered. I ate breakfast once - exorbitantly priced at 18 pounds for one of the worst hotel breakfasts I've ever had. The hotel is located a good 5 minutes' walk from the nearest tube stop and as it rained off and on throughout my stay I managed to get soaked several times on my way to and from the hotel. One positive experience - the bar/restaurant Prohibition near the hotel is worth a visit. There wasn't anything terribly wrong with my experience at this hotel - but there wasn't anything pleasant about it either.	
May 2 2008	If you like getting over charged - including paying for other rooms stay here!	I am not one for writing hotel reviews, however I feel it nessesery to let people know about my experience with the Guoman Tower Hotel. I had the miss fortune of spending 3 days there for a work course. the hotel was nothing to write home about, and it was when checking out I had a problem, my bill was completly wrong, over double what it should have been! When I asked to see exactly what it was I was paying for I was left waiting for nearly an hour, with no end result - my bill was reduced to an amount close to that it should have been ( I wanted the issue resolved as I had wasted so much time with still no explanation of how they had reached the fiqure first quoted) I found a week later that they had taken another amount from my card! they had charged anothers room bill to my account, this has been refunded however the amount of time I have spent and the frustrations with the way my concerns have been delt means I will never be staying in this hotel again and I recomend others not to either!	
May 1 2008 	Impressive views - but bed was hard as nails	Stayed here two nights on business in deluxe room (double on fourth floor). Incredible view of Tower Bridge - right outside my window, with lovely view of river beyond. Toiletries very good - Elemis. Has ironing board/iron build into wardrobe, which is always a plus. Large room - window that opened - again, a plus. LCD TV with good array of channels including spanish or portuguese, german, etc. Tea &amp; coffee making facilities, as you'd expect. Reception staff very friendly. Ate first night in carvery - waitress a little cold we thought. Food okay - meat a little fatty but plentiful. Shower good - like needles on full blast. Also separate shower head if you want a bath then to rinse your hair.Easy reach of the City - and two mins walk at most from Tower of London itself. We took a river boat from Tower Pier to London Eye - great way to miss rush hour and learn something about the City for our colleagues who'd flown in from across Europe.Not so keen on: bed.....so firm it was like sleeping on the floor, with pillows so thick that one wasn't enough and two were too much. Had to sleep on duvet, and wrap rest of it over me, to get any sleep as my back was protesting at no give in the mattress. Who are these people who love beds like concrete?Hairdryer worse than useless - take your own if you need to style your hair - one of those awful contraptions with a hose in the bathroom. Minibar - keep your kids' hands out of the cabinet - even lifting a flap incurs an unrefundable charge apparently!	
Apr 23 2008 	HORRIBLE HOTEL - more like a 2 Star cheap Hotel!!!!	Extremely unfriendly. I had cold water for 2 days... i kept asking for the shower to be fixed but evertime I returned to my room , it was the same ole same ole.Second day, was impossible to have breakfast as the queues were too long. I waited 15 minutes during the 3 times i tried to have breakfast... ended up giving up and going to starbucks.The management were absolutely UNPROFESSIONAL! when i complained about the shower all i had was 'i get it'... when i became distressed and a little bit angry, the duty manager said if i didnt 'shut up' he would call the police!!!!! It was merely laughable at the attitude and the professionalism of the staff.My room (single standard) was tiny, the carpet was filthy and sticky!! cold water as above mentioned, impossible to get breakfast, awful staff, wake up call was forgotten about, no newspapers (they forgot to deliver).If the management had just simply said 'sorry' for the cold water instead of shouting 'i get it' , perhaps it would have made it a bit more acceptable.all in all the hotel is as good as a 2 star , cheap chinese hotel in china town.no service, bad attitude, I would not classify it as a 4 star.... absolutly dreadful experience. Luckily i had a sense of humour when the little duty manager wanted to call the Police!!! that was funny actually.....	
Apr 20 2008	Excellent locationExcellent Carvery! Friendly staff	Stayed at The Guoman Tower as part of a Superbreaks package which included tickets for the Chinese Emperor exhibition at The British Museum, tickets for the Tutankhamun exhibition at The O2, Double Room, Evening Meal and Breakfast for two, all for £250 which I thought was good value. I was a little concerned about what to expect after reading other reviews on Tripadvisor so emailed the manager after booking requesting a pleasant stay (and to subtley make him aware that as a user of Tripadvisor others would be aware of my experience - the power of the internet!)I need not have worried as we did not experience any of the problems listed previously, no queues at check in or out, we were advised of ongoing work on floor 5 (we had a room on floor 1 overlooking St Katherines Dock) but did not hear any noise until 8.30am the following morning (not intrusive and I would imagine most guests would be up and about by then). The heating worked fine and was easy to operate and the room was clean and in good repair, although if I had paid for the maintenance I would have demanded a better standard of finish. The bed was huge, two 3' singles pushed together, shower worked fine, two shower attachments, two hairdryers, plenty of room in the underground car park (which only cost £20 for 30 hours- I asked if we could leave the car whilst we spent the afternoon sightseeing after checking out - no problem and no extra charge!) All of the staff we encountered were extremely friendly and helpful, especially in the carvery for our evening meal. This was one of the highlights of our visit and I would strongly recommend eating here if you are staying. It was very quiet, most 'business' guests seemed to prefer the other, trendier restaurant in the hotel. The roast meat was excellent and delicious with a wide variety of accompaniments and puddings, we were promptly served and repeatedly encouraged to have 'seconds' by the friendly and cheerful staff, a bit like having your mother fussing over you! By the end of the meal we could barely move. A minor confusion over the dinner bill was quickly and professionally resolved.The only 'problems' we had were accessing the hotel by car (the entrance is immediately before Tower Bridge and poorly signposted, we missed it and had to cross the bridge to find somewhere to turn around whilst trying to avoid straying into the congestion charge zone), and the remote control for the TV did not work. All in all a very pleasant stay.	
