	Fantastic Value/location	Stayed at the hotel Nov. 24 - 26 in room #8. Fantastic location for the hotel, the room was spotless and what really impressed my wife was the cleanliness of the washroom. The room was quite small by North American standards but all we did was sleep there. Special thanks to the guys at the front desk, you made our stay very enjoyable. We will be back...	
Mar 24 2009	Perfect Place to Stay in London	The reviews here on Trip Advisor helped me select the Luna &amp; Simone Hotel plus the good review in Rick Steve's book. The reviews were right on the mark. The hotel is centrally located with nice, quiet, clean rooms and fantastic service. Every member of the staff was friendly, patient and helpful. My teenage daughter and I used the #24 bus daily - the pickup and drop off stops are right out the front door. The morning breakfast was ample and tasty with a chance to catch up with other guests. I used the available internet connection to keep in touch back home via email. The nearby pubs (Marquis of Westminster was especially good) and stores were so handy. I'll stay here next time I'm in London!	
Mar 23 2009 	Luna Simone lived up to the wonderful reviews	Luna Simone is a family run hotel in the Pimlico/Victoria section of town. The rooms were exceptionally clean, comfortable, the fixed breakfast menu was ample, transportation options could not have been better, and the staff (mostly family) could not have been more helpful. The neighborhood was well maintained.Holy Apostles Catholic Church is only 4 short blocks away and they have a Sat 6pm mass that was full of good energy. The restaurant selections, grocery stores, TUBE/Bus stops within easy walking distance proved to be exactly as stated in other Tripadvisor.com reviews.There are several fantastic options for long jogs/runs and the other guests were a bonus. This hotel attracts the Rick Steve's crowd and well traveled individuals were more than willing to share their daily events to help each other explore the city and surrounding regions.	
Mar 20 2009 	Clean comfy central and very friendly	I booked this hotel for a business trip based on the reviews from this site and I'm very happy I did so. My room wasn't large, but I've been in far smaller ones in central London hotels. Good, clean bathroom. Excellent breakfast options. Bit of trouble getting the hotel wi-fi to work - don't rely on being able to access email etc in your room. However, a hotel internet room is available, which is always useful. I'm planning to stay here again for a leisure trip later in the year.	
Mar 12 2009 	nothing to add	We stayed at the &quot;Luna&amp;Simone&quot; last year in a triple room and weren't disappointed. The staff was friendly, the breakfast served by the entertaining owners was great and definitely one of the highlights. I have stayed in much more expensive hotels were the breakfast service took hours compared to here!The location is very good if you travel via Victoria Station and there are loads of Coffeeshops, Take Aways and supermarkets nearby.Will definitely stay here again!	
Mar 10 2009 	Wonderful stay at the Simone!	My wife and I had a 10-night stay at the Simone in February and can't say enough good about this hotel. Last year we stayed on the Luna side, so we've had a chance to experience both parts of the establishment. What's so good about this place? The location--only a short walk from Victoria Station, two tube stops, the bus stop, grocery stores, restaurants/pubs, etc.; the rooms--they might be small, but they are extremely efficient in the use of available space; the cleanliness -- I wish some American hotels would take lessons on how to keep a property as pristine as this one is. But most of all, it's the people who work here that give the Luna Simone such a distinct personality. It's easy to see that they care about their guests, the property, and the good name that the hotel has earned over the years. Anything bad? Absolutely not. I doubt if there's a place in London that offers such value for the price. And I'd like to know of another hotel where customer service is as friendly and sincere as it is here. We are looking forward to a return visit.	
Mar 6 2009 	Great friendly family accommodation	We had 2 rooms (one triple and one twin) here. Both rooms were clean and neat with everything we needed. The staff are what makes this place so good. They are incredibly friendly and went out of their way to help us. The breakfast is good and our boys were offered all sorts of cereals and hot chocolate too. It's a bit of a walk from the tube but the area is good. There are plenty of nice places to eat and good supermarkets between the tube and the hotel.We would definitely stay here again, good value.	
Mar 4 2009 	Gem of a hotel affordable great location and really friendly people.	Me, my mother and grandmother stayed at the Luna Simone on the 3rd march 2009.We had a family room that was more than adequate size-wise, and had a lovely en-suite bathroom.The english breakfast is tasty, seved rather early but this was a bonus for us as it gave us an incentive to get up early and therefore do more whilst in London. They have a free internet room which we didnt use, but another good element as this is usually really expensive in most hotels.The staff are really nice and friendly and will go out of their way to help you, they stored all our luggage for almost a full day after we checked out so we could explore london before our journey home in the evening.Locations is great, its between Pimlico and Victoria tube stops, and bus 24 stops opposite the hotel and drops off back right outside the hotel, and goes to a fair majority of the attractions.Another note, the hotel was not noisy at all during our stay, the only noise we heard at night was next doors shower!It is a fab hotel to stay at whilst in London and the price is very reasonable for what you get, Would definately recommend!	
Feb 26 2009 	Terrific!	When we travel we look for four basic qualities: clean, comfortable, convenient and friendly. This hotel rates at the top in all of these areas. Very clean from top to bottom. The room was comfy and a fair size. The location is only a few blocks from Victoria Station, and a bus (#24) with great connections stops only a few yards from the door. But perhaps the best feature is the friendly staff. We had a great time talking with them, and they were always very helpful with directions, tickets, etc. There is a reason the place is nearly always full - it is a great value. We hope to get back to London and will positively stay there again.	
Feb 26 2009 	Comfortable 	My teenage daughter and I stayed at this hotel for 9 nights last April. From the moment we arrived we were made to feel very welcome. The staff were friendly and were helpful and courteous at all times. I really liked the 'family feel' to this hotel. The room was spotless, although small by Canadian standards, but I expected this as I had done my research. I was impressed that the towels were changed every day, and when we returned to the hotel at the end of a long day of sightseeing, the room was clean and inviting. As I said, the hotel is spotless and while some people have mentioned a smell of cleaners, I didn't notice anything except for an extremely clean room. I'm very fussy about that and I have no complaints there! Anyway, I would rather the smell of a cleaner than have to deal with a room which is substandard.The computer was a bonus, luckily located right beside our room. In a previous trip I had spent about 90 GBP on internet alone at a hotel in the South Bank. This is the equivalent of one nights stay. You may have to wait as we did find times when the computer was busy, particularly in the morning. But we found that the other guests were always courteous, and we in turn were the same, limiting our time emailing home on on the web.The breakfast was very good. The coffee was always a welcome start to each day, and the food hot and filling. My daughter isn't a tea or coffee drinker and they quickly offered hot chocolate to her as an alternative, which she said was some of the best she had ever had! The brothers who served us were attentive and very nice, and after a couple of days noticed that my daughter really enjoyed raspberry jam and would come over to the table to make sure that we had an ample supply at our table. We thought it was a very caring gesture. It's nice that they remember the small details.Breakfast is served from 7:00 to 8:30, and while that may be early for some people, I think it's a great kick start to get moving and not waste a minute in London! Occasionally, we needed help with directions or advice and the family was very quick to help in any way they could. We liked the location of the hotel. It was within walking distance of Victoria Station, which we used every day. We also used the Green Line bus at Victoria Coach Station to get to Windsor Castle, which is basically across from Victoria Station. It was all very convenient. There is also a shopping area adjacent to the Victoria Station with restaurants on the upper level. We really liked the buffet at the Fresh Pizza Company. It was reasonably priced and the service was great.Also, Luna &amp; Simone is within walking distance of many attractions, or a short bus or tube ride away. And there are many convenience stores in the area. We were very pleased with our stay as a whole, and will return to the Luna &amp; Simone. In fact, we will be there again in a couple of weeks and we can't wait!I would recommend the Luna &amp; Simone to anyone who would like to stay in a clean, comfortable B&amp;B with friendly service, in a nice, quiet location. It's simple &amp; lovely.	
Feb 26 2009 	Simple and clean	We had 2 rooms at the Luna and Simone, both were basic but clean. The owners are very friendly, helpful and accomodating. There was a nice English breakfast every morning and free internet access. Although we were generally awake already during the breakfast hours of 07:00 to 08:30 , this may be too early for some people. We used the Gatwick express to and from Victoria Station which is about a 10 minute walk from the hotel, very easy. Several good restaurants, within a variety of cuisines, are around the hotel as well. There is some airplane traffic overhead and street noise if you are staying on the front of the hotel and a light sleeper. Overall though, this is a very good hotel for people on a budget and a good value. And I must comment again on the friendliness of the family running the hotel (usually this is something that doesn't really matter to me)but they were very nice and pleasant to speak to.	
Feb 25 2009 	A bit disappointing but somewhat convenient 	I finally remembered to give this review...albeit 3 years later...but it left quite an impression on me so I still remember a good part of my experience.I stayed at Luna Simone for 2 nights. I originally booked a single room for 40GBP/night, thinking that it also had a private bathroom. When I received the confirmation, it turned out that the reservation was for a single room with shared bathroom. I immediately emailed the hotel and received a quick response. They told me that I did in fact book (through venere.com) the single w/ shared bathroom, but they went ahead and already changed my reservation to a single w/ private bathroom for 55GBP/night. For a grad student, this was quite a big change in price, but I was excited to stay at a highly recommended/rated hotel anyway so I didn't protest.To give a quick background...this was my first trip to England. I stayed in London for 3 nights total before going off to Nottingham for my MBA class. For the 1st night, I stayed at the Radisson Edwardian Vanderbilt Hotel on the other side of town because of a British Airways free night promo (my review: [--]Granted, these two hotels are two worlds apart - Kensington vs. Victoria area, world-renowned chain vs. family-owned, etc. But please know that I'm NOT comparing the two hotels or basing my experience at LunaSimone against the other hotel. My expectations of LunaSimone were solely based on the stellar reviews I read (the warm friendly staff, nice accomodations, etc.). I have traveled a lot and knew not to expect the world of a place that was about 1/2 cost of other hotels in town.With all this... I was pleased that transportation was conveniently located (the bus stop being almost right out front). The tube station was not too far, but still a bit of a walk especially if you have a couple of heavy suitcases you have to lug by yourself. I felt safe walking down the street to where the restaurants were. Victoria is not a badly situated location, but certainly not as convenient as other parts of town.I don't remember my room number, but I do remember it was a corner room on the right on the 1st floor of rooms. It was spacious compared to the Radisson room I stayed at my 1st night. The bathroom was small but clean. The lighting was a bit dark and it was fairly quiet. Overall, it was a simple and clean room. It looked and felt like a singles college dorm room (I have never stayed in a hostel, but maybe it could be comparable to one?).There is a tiny room downstairs with a single computer, so it was a nice amenity they offered (since I refuse to pay for internet connection on my laptop). Breakfast was okay, nothing too memorable. Lukewarm toast and basic jam. The people working down there didn't seem too open or friendly. You would think they'd try to make a sole traveler feel a little more welcomed by being friendly, but there was no more interaction other than taking my drink order.My front desk experience did not give me the warm &amp; friendly/fuzzy feeling like I read in past reviews. I had trouble communicating with the person, plus that person couldn't really suggest nearby places to eat or even give helpful directions where I can go to look on my own.What I cannot shake from my memories is the air inside the place. I never experienced this before, but something in the air literally put a bad or weird taste in my mouth. The best I can describe it is like having &quot;cotton mouth&quot;, or felt like an invisible residue on my tongue, something to this effect. Maybe it's the cleaning products they used or the air is just stale? I tried to air out my room, but it didn't help much. Remember, I stayed in March and it was too cold/wet to keep the windows open. That weird feeling in my mouth would go away whenever I left the hotel.Thanks for reading this long review. I might consider looking at this hotel again if I need an inexpensive place to stay next time I visit London, but it won't be my first choice. Same thing with recommending to a friend. If they need convenience AND inexpensive play to stay, then I would suggest they take a look at LunaSimone.	
Feb 25 2009 	Excellent B	We stayed at the Luna &amp; Simone Hotel for 2 nights over Valentine's weekend. We had read all the great reviews on Trip Advisor before we booked and we were certainly not disappointed. The rooms are not large but are perfectly adequate and the bathroom although small was spotlessly clean and had a good shower. We had a room on the ground floor at the front which does suffer some road noise and we could hear people coming in late at night so request a room at the back if this might bother you. What really makes this hotel is the wonderful owners who are very friendly and really go out of their way to make sure you have a great stay. Breakfast was lovely, not a lot of choice but really well cooked and if you don't like something on the menu the owners try their best to find you something else. For example I don't like tea or coffee and was perfectly happy having neither but the owner really didn't want me to go without and kept coming back with numerous suggestions of alternatives until I laughed and agreed to have a yoghurt instead! I noticed this with the other tables as well and it really goes to show the attention to detail and the desire to please the owners of this great B&amp;B have. The location is great, 5 min walk from Victoria station and close to numerous restaurants - we ate at O Sole Mio which was a very good inexpensive Italian 2 min from the hotel and at Kym's Chinese restaurant which also had great food.Overall we had a great stay here and would definitely stay here again. Highly recommended.	
Feb 23 2009 	Great place great staff	Brilliant location, rooms at the front of the hotel suffer from traffic noise, however staff excellent and managed to relocate us to the rear of the hotel where it is very quiet. Some building work going on at the moment - but this is good news as the hotel is going to be better than it already is. Breakfast very well made and will keep you going all day. We will stay again.	
Feb 23 2009 	Great Hotel for Your Money	We were so happy with our stay at Luna &amp; Simone! It was incredibly clean and the staff was very helpful. The morning breakfast was wonderful and helped us keep our trip costs down even more. The rooms are small for what Americans might be used to, but we found them to be bigger than other hotels we've stayed in throughout Europe. The location was wonderful - we walked everywhere and never felt we were in a bad area. The train station is literally a few blocks down the street - takes 5 minutes to walk there and get right to/from airport. We highly recommend this hotel and will be staying here everytime we come back to London!	
Feb 20 2009 	Great friendly service with a room to match	Arrived early &amp; our room was ready, allowing us to relax after a very early flight. All the staff we dealt with were very friendly, pleasant &amp; most helpful. The room was: spotless, bed comfortable, very quiet (even though it was on the front of the building), room had a kettle &amp; loads of tea &amp; coffee.Breakfast room was surprisingly large &amp; food was even better than what we expected.Top notch hotel, plan on staying there again...Just one thing to note, pictures on their own website does not do it justice.	
Feb 16 2009 	Loved Our Stay Here!!	We just returned from our stay at the Luna and Simone hotel. We had a great stay there and highly recommend it. From the moment we arrived there we were very happy with our decision to stay there. We arrived around 12pm after taking the Eurostar from Paris. The lady at the front desk gave us our key and told us to go get settled in before checking in since we had our all luggage and were tired. They were so nice and accomodating. Our room at two twin beds and was on the second floor. We had a balcony which we had requested. The room had a table between the beds, a desk situated in the corner of the room. The room was bigger than we expected. It was small but we had plenty of room for the two of us and we were satisfied with its size. We have stayed at a couple hotels in New York that are much, much smaller. The hotel serves a breakfast every morning in the dining room. They serve you at your table and have a menu for you to choose from with a few options. They have a great meal with egg, beans, and bacon. You can also have juice, coffee, and tea. There is a bus stop right out in front of the hotel that will take you to Westminster Abbey and Trafalgar Square. The hotel is only about a five minute walk from Victoria station so it was in a very convenient location for us. The hotel is very clean. It has daily room cleaning and is kept very clean. The front desk staff is so friendly and helpful. They even arranged for dot2dot to pick us up at the hotel and take us to the airport to fly home. They have an internet room with a computer to use. You can also use internet free in your room. We used the internet and it worked great. We highly recommend this hotel. It is a great hotel with a great location, price, and atmosphere.	
Feb 9 2009 	Fabulous!!!!!	This hotel was fantastic! We stayed for a week with a double room. The price was very reasonable. Peter, Bernard and his whole staff made our first trip to London the best. The rooms were cleaned every day. They have a full English breakfast in the mornings which included eggs, ham, bacon, the best hot chocolate in the world, toast, coffee, juice and all. They even loaned my daughter money to get to Bath on a tour she had missed. That would never have happened in the States. We will be back one of these days and we will stay at the Luna and Simone. We will always remember what a great time we had.	
Feb 6 2009 	Great value for money lovely place!	I stayed in Luna&amp;Simone Hotel for 4 nights in late January and again for 5 nights on February (till today). This hotel is great value for money, at least as far as concern what used to be the situation in London till recently. Walking around Victoria area, I saw B&amp;B and guesthouses offer cheaper rates, but I am not quite sure that they offer good quality. Then, as far as the crisis in the English economy continues, rates may become even lower due to competition. Before booking my accomondation in Luna&amp;Simone, I did a mini-research on other B&amp;B that get good reviews, and definately this offered the best rate. I booked about 10 days in advance, through the hotel's website.First 4 nights I spend there, I was staying in number 16 in the Simone part of the hotel. A single bed,TV,telephone and hair dryer, a desk and a chair, tea&amp;coffee making facilities were provided. Room not large, but quite decent size for such a hotel. Shower with lots of pressure and free toiletries. The only problem was the stairs. That room is located on the top floor, and sometimes can be a bit tiring to go up and down the stairs, especially in case you want to do that a lot of times per day.When I checked out, one of the owners offered (without me mentioning anything), to give me a room at a lower floor when I was coming back. Well, he didn't forget. On my second stay, I was given room 9a, at the Simone part again. A bit smaller than the 16, and due to the way rooms were setted, I got the impression that architect's original plans may have been for a linen room there, not a guest room. But anyway, same facilities offered,equally very clean and tidy, and located between 2nd and 3rd floor, which was great!I got the impression that maybe the Luna part was closed for maintenance, but I am not sure. Sometimes I could here someone using a drill or a hammer from this part of the building...? (Not terribly disturbing noise or something, could be heard only occasionaly). And the Luna entrance seemed to be closed during all my stay. (There are two entrances and a common reception.Reception staff was always polite.Quite often there was one of the twin brothers(propriators) their self on the desk (as it happened often with the breakfast area too). Also a couple of other,younger cute people behind the desk. There are plenty of leaflets with informations for attractions, tours etc, and there is a PC with fast internet connection for guest use, between 7am till11pm everyday, for free! I think there is WiFi too, but only for lower couple of floors.Breakfast lady very efficient, usualy aided by one or both of the brothers. Even around 8-8.30 when it's the most busiest in the breakfast area, everyone was taking a minute to ask you if you were OK, or need anything else etc. Very pleasant experience. There are two rooms, and depending how busy it is, one of them, or both may be in use. They are located at the basement and are clean and tidy. Breakfast is quite rich for a B&amp;B and could fill you for hours. It is served from 7 till 8.30. Now, I think they should add an extra half an hour here,as people may want to sleep a little longer, but still it wasn't too bad.Rooms are very clean, usually housekeeping take care of them between 10-12.00. I saw a lady one day, I am not sure if she is the only one or there are other housekeepers too. She was smiley and polite. I think even just for having to go up and down the stairs so many times per day, everyday, she deserves at least a tap on the shoulder!Last but not least about Luna&amp;Simone: Location. Very handy indeed. 10-15 minutes walking from Victoria station, 10 minutes walking from Pimlico. Bus 24 stops exactly outside the hotel and goes to these stations if you are bored to walk. It goes to sites such as Westminster Abbey and Trafalgar Square too. And it's a 24 hours operating bus! Belgrave Road itself is quite pleasant, well-lit at night and safe. A mix of B&amp;B, houses,small grosseries and a couple of pubs and eateries. There are TESCOs and Sainbury s in a walking distance, as there are indian, italian and even Cypriot restaurants, launderettes etc around. So everything about this hotel is good. Stairs can be the only problem, but there are some rooms on ground floor in case you have a disabled person in your party. Just let them know and they will do their best to help!Will I come there again? Definately!	
Jan 29 2009 	Luna 	We relied heavily on Tripadvisor reviews for a six week holiday in UK/Europe 2008. The excellent reviews for Luna &amp; Simone are all 100% accurate we're pleased to report! When booking, we just couldn't get over the price for the location...which led us to wonder if it might be on the slightly dingy side. Not at all. Yes, the double room we stayed in was on the small side, but it was light, bright, spotlessly clean and had a very modern (albeit small) bathroom which was also spick and span. The location is excellent as a base to explore London too - very close to all the transport. We had one of those ghastly early morning flights to Dublin through Ryanair and were able to walk to Victoria Station at 5am to catch the bus to the airport. Very convenient. The staff are exceptionally friendly and professional. Four great nights at Luna &amp; Simone - won't hesitate to stay there again next time.	
Jan 28 2009 	Exactly what we were looking for!	After a lovely week in Paris,we stayed in Luna&amp;Simone for 9 nights before returning back home.We decided to book it because of all those good reviews that are written for it,and-of course-the great location and price.It is very close to pimlico metro station,and the bus stops right in front of the hotel.Our room was on the top floor,small,but comfortable,clean and warm,and the bathroom was extremely clean too.We did not have breakfast there because it was served only until 8.30 (and that was too early for us),but I have to mention that they were very kind when we appeared there the first day at 9.00 (thinking that it was until 9.30) and they told us that the kitchen was closed but we could still have some coffee if we wanted.The only -little- problem was when we checked in and we had to carry all of our heavy luggage up to the 4th floor on foot because there was no elevator.Of course this was just for that specific day and all the other times we didn't bother at all climbing up the stairs.The best thing in this hotel is that the staff was incredibly kind,helpful and friendly and made us feel really wellcomed,and that's very important to me when travelling abroad!	
Jan 22 2009 	Good Hotel in a Great Location	After staying in paris, My boyfriend and I stayed in London for 2 nights before heading back to Manchester. We found this hotel to be in a great location (central London) and perfect to visit London's sights. The hotel is extremly clean and found the staff very friendly. Breakfast was also good (ENGLISH BREAKFAST) but does finish quite early 8.30am. Worth getting up for.	
Jan 21 2009	Great place	We actually traveled in '05, and I have been meaning to post a review ever since. My party was three single friends and we were very pleased with this hotel. The room had 3 single beds and was very comfortbale. We were looking for a clean, comfortable place in a good location, with a good price. Nothing too fancy. This hotel met all of our expectations. The hotel staff were very personable and made our trip much more enjoyable. And the location can not be beat, in terms of access to the rail system.	
Jan 20 2009	Disappointing	This hotel was disappointing because we anticipated some comfort and a pleasant greeting after a long haul flight from Austrlalia and got neither. We booked a room for 3 to consist of one double bed and one single and when we got there we were given a room with 3 single beds. When we enquired we were told that nothing could be done and no apology or explanation was offered. The room was very small, characterless and smelt heavily of chlorine based cleaning products. Breakfast was provided and was ok and the hotel is well located, quiet and safe but the owners were not particularly helpful or friendly. Unfortunately I could not recommend this hotel and will not be staying there again.	
Jan 6 2009 	A Must!	I absolutely love this hotel. My husband and I stayed in a double and my kids were in the room next door with two twin beds. They were very comfortable too. We stayed for 6 nights and we were very pleased, the staff was very friendly, the room was an adequate size, clean and the English breakfast was hearty.The #24 bus runs 24 hours and stops in front of the hotel, which can be a plus when you're out late. It's also within walking distance to either the Pimlico or Victoria Underground.It was the perfect hotel for us.	
Dec 22 2008 	Great Value 	I stayed at L&amp;S for 6 nights in late November in single w/ shared bath. Everybody knows these rooms are small. And they are...but perfect as a place to rest your head and allow you to spend $ elsewhere. The property is clean and as a solo traveler I felt safe in the neighborhood. Easy walk from Victoria or Pimlico station...Pimlico a much calmer experience. Breakfasts were filling and tasty. Great access to bus, tube, grocery and restaurants. I would stay here again.	
Dec 21 2008 	Never felt so welcome in London! My best stay ever.	What a change compared to the thousands of shabby places with shabby service in the medium-low price range in London! This was a perfect stay, and I will look no further in the future. Luna Simone are two &quot;twin&quot; hotels (or two parts of the same hotel) with a common reception, I was in the &quot;Luna&quot; part, room 7 (twin) on the first floor. I can't speak for the &quot;Simone&quot; part, but I assume it was the same.The place is spotless, with soft built-in carpets, security fire doors, simple but pretty furnishings. The room lacked nothing, and was quite spacious. The bathroom was magnificent, better than mine at home, with a gigantic shower. Very confortable beds, very clean linen, towels changed every day, space for luggage, desk and chairs, hangers, wardrobe, extra pillows, a fan, very good heating and lighting, hairdryer. Never seen anything like this room at this price in London!The breakfast (A' LA CARTE!) is magnificent, served in a modernly furnished cafè in the basement. You can select one thing from each of the three paragraphs the menu, but if you don't fancy something, they offer you stuff that's not in the menu. And they bring you more if you want. Better service than in any cafè in town! It's like being in a luxury hotel.The BEST thing of this hotel is the service and the staff, all EXTREMELY nice and professional. I just couldn't believe it! The staff at a Sheraton hotel I once stayed in were no nicer than the ones at Luna Simone. Heartwarming, really.The hairdryer broke, so they instantly gave us a replacement, and the next day a new hairdryer had been installed. The curtain had come off one of its hooks, and immediately they sent someone to fix it. Never in London have I felt so welcome before.We were checking out early, so I asked for a discount and they did give us one. Not as much as I was hoping, just 5£, but that's more or less what I spent for breakfast for two in Starbucks at the airport, so it was fine. I appreciated their fairness. Other hotels don't give a fiddle if you miss breakfast.It was well worth spending (per room) 15-20£ more than a lot of budget hotels in London to have such a wonderful and confortable experience.Loved it!	
Dec 10 2008 	look no futher!	Clean, comfortable and at a good price with breakfast included and not far from London Victoria. A pleasant, quiet, family run hotel. After spending over 2 hours looking online this hotel kept popping up. Do not let the fact of not being able to check vacancies online put you off. I rang them the next day and was able to book without a problem. I asked for a ground floor room as my mother has walking issues and they accomodated us by moving some bookings around. There is also a flight of stairs down to the breakfast room in the basement. The bus stops just outside the hotel, so do not forget to get your ticket in advance. Taxi's pass by frequently but the cost varies on the driver not the distance. We will recommend this hotel to our friends and would have no hesitation in staying there again.	
Dec 7 2008 	Look no further	After spending hours and hours trawling through websites to find accommodations deals, I began to think there was nowhere in London that could provide us with a room for a night at a reasonable rate, in a good location and that wouldn't have a trip advisor review without the words, dirty, terrible, and don't stay here, etc. Finally, on the basis of all the positive reviews on trip advisor I booked the Luna &amp; Simone, and was delighted to find it was exactly as all the previous reviewers had said - spotless, warm, in a good location, and with very friendly hosts.We stayed for 5 nights and friends who live a few hours outside London came down to join us and stayed in the B&amp;B in the room beside us for 2 nights. They also found it to be excellent and would definitely stay again. As we hadn't booked directly (it was through an agency), the rooms allocated were on the top floor (my friend tells me she counted 86 stairs!) and whilst you dread climbing it after the simple but filling breakfasts, the rooms were quiet, clean and comfortable and it wouldn't put me off going back. The breakfast is as described, cornflakes or orange, eggs with or without bacon and beans, or ham and tomato, and toast. The breakfast room is immaculately clean. The owners, who were as hospitable as everyone says, did offer to provide alternatives if we wanted, but I found the breakfast to be just what we needed for a day out in London.Our rooms were cleaned and made up every day and we were provided with fresh towels daily which I didn't expect. There is a hairdryer, tv and tea and coffee making facilities. I can't compare the size of the rooms to other hotels as this was my first stay in London, but you can't beat cleanliness and we were there to see London rather than stay in the room. As Victoria station was approx 10 mins walk away, we bought a weekly travelcard and used the tube to travel about. The travelcard also got us 2for1 deals into things like the Tower of London, Tower Bridge Exhibition and the War Cabinet Rooms etc, which was very useful and they were all worth seeing. The travelcard can also be used for the buses and we went to see 2 shows and were delighted to find that the number 24 bus stop was not too far away from either theatre and it dropped us off right outside the door. I would definitely stay here again, and if you are currently searching for a place to stay, look no further and book the Luna &amp; Simone.	
Dec 3 2008 	Wonderful B	I've stayed in many places in London and this one tops the list.The rooms are typically small London rooms, but absolutely spotless. The bathrooms, although small are nicely tiled and have great showers and lots of hot water - not always common in London. Breakfast was more than ample and I loved the jovial atmosphere in the breakfast room, where the owners actually help to serve. The location is very central and there are a couple of great restaurants just around the corner. All in all this B&amp;B offers the best of everything and I would highly recommend it.	
Dec 1 2008 	Great Value Hotel	My son (13) and I stayed at the Luna Simone for 2 nights last week. We found the hotel to be in a great location for us due to close proximity to Victoria and easy walking distance for many of the attractions. The staff were friendly and helpful, the breakfast simple but good quality and the bedroom and en-suite, although small was clean and warm. Great value for money, would definately use again.	
Nov 28 2008 	Great hotel!	Lovely little hotel, extremely clean rooms, pleasant staff and good cooked breakfast! Rooms were absolutely spotless, decent selection of tea and coffee in room - the hotel is old, but very well maintained! Staff was very welcoming. Had a single room w/ shared bathroom, small room but more than okay for a weekend trip! Short walk to both Victoria and Pimlico.	
Nov 26 2008 	Very Clean.	We stayed here for only one night on Sat 22 Nov.The hotel is located very close to Pimlico tube and is also only a short (5mins) walk from Victoria.The area around the hotel was fine with plenty of pubs, bars and places to eat. These we found just by wondering from the hotel towards Victoria station.We paid just £80 for the night inc. breakfast. We booked directly via the hotel’s site.We had to complete an inquiry form and ask for the price, but they were very quick with their response. We asked for a quiet room on a high floor and got one. Our room was at the back and up 4 flights of stairs. There are no lifts in the hotel, but I’m almost sure that if you were to ask any of the staff, they’d help with heavy bags etc. The whole place was spotless and very tidy. The en suit in our room was very clean and no crappy mould in the corners.All the lights worked as did the TV and hair dryer. There was a safe in the room with no additional charge.There was of course the usual tea and coffee making facilities, but we didn’t use them.Breakfast was very simple but ample. It was served in yet another spotlessly clean room and consisted of:Juice or Corn FlakesBoiled egg or Bacon, egg and beansWith Tea / Coffee and toast.I’m a vegetarian, so just asked for beans and egg. I got two eggs instead of the usual one as a replacement for the bacon. A nice touch.All in all, a great hotel and I really don’t think you could do a great deal better in London (Inc breakfast) for the price.Many thanksGraeme &amp; Sandra	
Nov 25 2008 	Wonderful!	What a lovely and friendly little hotel! I stayed for four nights and I really enjoyed my stay. The staff is brilliant- you can tell they like what they are doing. The rooms are spotless and comfortable. Central heating, good waterpressure, tv,safe,hairdryer and kettle to make your stay more pleasant.The breakfast was served from 7.00 to 8.30. You can choose from a wide selection and as I wasn't keen on bacon&amp;eggs style- they brought me a youghurt as an extra. Plenty of food to keep you going till lunch.It was lovely to watch the staff at work.Everything happened so smoothly(years of experience I guess) and the atmosphere was relaxed. Many guests were regulars as they hugged or shook hands with the staff when they were leaving. You don't get that in bigger hotels do you?I know where I'll be staying on my next trip to London.	
Nov 22 2008 	Great deal in London Town!	Had not stayed in this place for 23 years -- what a gem! I was in #5 - a single room w/ shared bath (right next to me) and was totally satisfied.Great breakfast - spotlessly clean and incredibly friendly staff.My single room was extremely small, but for 40 pounds and in a great location it was a deal!	
Nov 20 2008 	Great Hotel	Great little hotel, very clean. Good hearty breakfasts and the owners are extremely helpful. Try to get a room away from the front of the hotel where it is quieter. Otherwise, no complaints.	
Nov 16 2008 	Great Value in London	My family and I stayed at the Luna &amp; Simone hotel this past spring. The Luna &amp; Simone offers an excellent value in pricey London. Our rooms were clean and well-kept. The hotel is conveniently located half-way between London's Victoria and Pimlico tube stations, offering easy access to the Undergound. There are a number of nearby restaurants as well.The Luna &amp; Simone offers an excellent British breakfast each morning, which my family and I took advantage of as often as possible. The owners of the hotel were very pleasant and welcoming.I'd highly recommend the Luna &amp; Simone for a stay in London. My family and I were very pleased.	
Nov 15 2008 	Great location	Was really pleased with the price of this hotel considering the location (5 mins walk from Pimlico tube, 10 mins from Victoria). Great to find an English breakfast included for a change, unlike the previous hotel nearby where we got cold croissants, biscuits and long life yoghurts! Room wasn't massive, but plenty big enough and really clean. Hade to queue for breakfast on second day, but wasn't too much hassle and staff were very attentive. Friendly, family run hotel which I would reccommend to anyone.	
Nov 14 2008 	Nice place great staff	Stayed here on the tail end of a small Eurtrip with friends (3 of us total, all mid 20's). The staff was insanely helpful, I'm pretty sure it's family owned. It's convenient and is 2 blocks from Pimlico tube station. Rooms, while basic, were very clean. The bathroom stood out as new and clean.Overall, from what I researched from booking the hotel, the price was reasonable and it's a great place. Definitely not 5 star or anything, but newer and clean.	
Nov 14 2008 	Fab Hotel	First time in London. Had a fab time. Absolutely loved everything about it especially this hotel. It had everything onecould ask for - fantastic location, lovely staff, spotless roomand a great breakfast to set one up for the day. The Marquis of Westminster public house a short stroll away was the perfect place to end a perfect day. Would definitely stay at this hotel again.Mary &amp; Carmel, Dublin.	
