	Great place	Stayed here on weekend of 28th Nov, with 3 other ladies. Was brilliant room, great value for money. Cant knock anything, it was fab. Would definitely recommend. The location is ideal and the tube is right outside the door. The staff couldnt do enough, it deserves its 4 stars. Kensington is a lovely place, very quiet and safe.	
Jun 2 2009 	Nice refurb	This hotel has recently been refurbished and has a quality feel about it. The rooms and bathrooms are modern and comfortable. The only negative is there was only one lift due to one being replaced and a sign said the lifts were being replaced so I guess this is the final piece.	
May 26 2009	Great location and very nice rooms	We stayed at this hotel twice in February (we stayed 4 days, went to Paris for 4 days, and came back here for another 4 days). We will definitely stay here again, but there were some problems. However, almost all the problems were either a result of the current renovation or will be fixed by the renovations, so I have no qualms about recommending this hotel.The rooms are pretty spacious, at least compared to the other European hotels I stayed in. They are decorated nicely, have comfortable beds, a new, modern bathroom, and a flat screen tv. If possible, request a room with a view of the garden rather than the street because those rooms seem to be bigger. Also, if you get placed on the top floor (the sixth, I believe) request a change. There's no view because some stone work blocks the window and it's unbearably hot (they had problems with the heater when we were there the second time, but the top floor was most affected -- heat rises). When we were there, the garden was being used to store debris from the remodel but this wasn't an issue since it was winter and no one would want to use the garden that time of year anyway.The service was very good. The desk-staff weren't particularly friendly, but they were very polite and helpful. When we complained about the heat, they opened our window for us and even brought in a fan. The bellmen were also very helpful. The Italian concierge was especially nice, and kept me company while I waited for my family to come down in the extremely slow elevator (the elevator was a MAJOR issue during our stay, but it is definitely being replaced so future guests shouldn't find this an issue for them.)We didn't eat at the restaurant, but it seemed good as it was PACKED. They even moved some tables into the lobby (the lobby and restaurant being separated by a partial glass partition.) As for location, it is right next to the tube, there are several internet cafes, lots of restaurants (go to Nando's -- inexpensive, tasty, and very good-looking waitstaff), walking-distance to museums (take kids to the Natural history Museum, not the V&amp;A Museum so as to spare them from boredom) and shopping (Harrods is close but really nothing special). If you're really up for a walk, you can make it to Hyde Park. If not, then take the tube. Take the Westminster line to get to all the sight-seeing hot spots along the Thames and the Piccadilly line to get more into the city center (where you can either shop or do &quot;royal stuff.&quot;)We will stay here again for sure and I recommend it to everyone.	
May 26 2009 	Excellent Choice	If you are looking for somewhere to stay in London this hotel is a real find. The rooms are to a very good standard, the staff are friendly, the location is great for the museums and just across from the tube station, and the price is excellent. We stayed here for two nights with our two children (age 10+11) to see the sights of London. We picked the hotel based upon the location and the feedback on Tripadvisor. In every aspect the hotel exceeded our expectations. Despite arriving early the room was ready for us. All of the staff we encountered during our stay were really welcoming and friendly and greeted us with a smile. The room was very clean and finished to a high standard. Tea/Coffee and even free water was provided (recently stayed in a £250 a night hotel, where we didn't even get this). We didn't have dinner at the hotel but saw they had some great early bird offers (£15 for 3 courses), but did enjoy breakfast. We would strongly recommend this hotel to anyone. The quality is great and the staff very friendly. If we go back to London we would definitely stay here again.	
May 24 2009	Amazing change	Stayed here one night as I had friends in town – I remember this place as the old Holiday Inn (it still is a Holiday Inn at the moment but is soon to be a Crown Plaza) – big change from what it used to be. Had a really nice two-floor suite with lots of room, and everything is brand new. People on here have said before that the beds are very comfortable, with this I agree. Great nights sleep. Bathroom had a walk-in shower and a heated floor which was lovely, nice big toiletries too. Staff all very friendly and smart. Lobby seems a bit empty but I was told that new furniture was arriving very soon. There’s a little bit of building work going on, but not so much you would notice it – the nice gentleman behind reception said it was almost finished. Got a good rate too, the same person told me that they were keeping the Holiday Inn rate until they had finished the building work, which is a bargain that made up for the few builders around the place and getting a nice Crown Plaza standard hotel for this price is a great deal that sadly won’t last. Bar is very modern and comfy, and breakfast was buffet style with plenty of choice (who needs lunch after eating all that!). A really nice hotel that I would use again and highly recommend.	
May 20 2009 	Fantastic hotel gorgeous staff and a wonderful warm welcome	The newly refurbished hotel has excellent staff and a great feel to it. Due to the location of the hotel (Kensington area) is a fantastic hotel to book if you are coming to London. As we were in a club room (which was wonderful) we experienced the full English breakfast in the club lounge. The breakfast was delicious! The staff in the hotel are ever so friendly and always willing to help or offer suggestions for dinner and transport.We had a wonderful time!! And will return to hotel in the future!!	
May 18 2009 	excellent service excellent staff excellent hotel...	On arrival we where helped by even the manager. The service was excellent. In the morning there was a news papar on the door. (club member) The bed in the room was incredeble big and from excellent quality. On arrival there was a bottle of fine wine in the room (not standerd). Breakfest is excellent and complete. Due to some improvements (How could it be better) we had a electrical failure during breakfest, the lights went out, but it was fixed in minutes.The tube is less than two minutes away. The tube is also going to heatrow airport. The restaurant in the hotel is fine, but if you want to have something else, there are lots of restaurants on walking distance. I would recomand this hotel to all my friends who wanted to stay in London.	
May 13 2009 	Great Holiday Inn	This simple and elegant hotel in Central London. This time we were 2 Couple. Simple yet elegant breakfast room, comfortable and stylish living room with nice collection of travel books and magazines available. Rooms and bath rooms are very comfortable and quiet. Very comfortable and high quality beds, linen and towels. Excellent breakfast. Kind service. Not the cheapest option, but realiable quality and excellent spot for reasonable price!	
May 7 2009	Excellent hotel	Just returned from an overnight stay at this hotel.Very impressed with large room and convenient location. After reading reviews I requested a garden view and this was allocated.Arrived at 10am after an early flight and expected to leave our bags and come back to check in later but we were given our room straight away giving us the chance to settle in. All staff were friendly and helpful, only reccomendation would be to put do not disturb sign out as housekeeping were at the door from 8am but cannot complain about this after the early check in we got.	
May 6 2009 	Excellent hotel excellent friendly staff a total must stay in London	My husband and I turned up at the Crowne Plaza Kensington after being let down by another hotel we had booked and the Manager and his assistant were very understanding and helpful. We paid for two nights on our Priority Club Points and one night by Mastercard and were given a Club Room for the whole stay, although the points did not cover that. The room was excellent, underfloor heating in the bathroom, a queen size, very comfortable bed, safe, plazma TV, french door windows, leather chair, the works. The only thing I would say is that the air con wasn;t as cold as I would have liked and luckily we were on the 4th floor and could open the french door windows safely overnight. The breakfasts, although a little pricey at 17.50 per person, were excellent and well exceeded the Forums breakasts and service. This hotel is well worth the money and we will definitely be recommending it to everyone we know and will definitely be using it again. I have never been at a hotel ever where the staff are so freindly and helpful. It's a pity I can't remember their names, obviously they take pride in their jobs.	
Apr 24 2009 	Nice comfortable hotel in a convenient location	I spent three nights at this hotel recently on a business trip to Imperial College. The hotel is very conveniently located in terms of restaurants, tube, and sightseeing. Te area itself is pretty nice (particularly as one heads north towards Hyde park). The room was quite spacious, clean, and nicely furnished. The staff was very friendly andcourteous, both at the front desk and the StreetSide restaurant where I had dinner one night. The food itself was so-so though as is typical of hotel restaurants. The hotelwas still undergoing some renovations as part of its transition to Crowne Plaza and so there was a lingering smell of fresh paint on my floor (1st floor).My biggest complaint was the frustratingly awful internet connection: the ethernet port on the wall didn't appear to be functional, while the wireless network (CPK_Service) was very unreliable with signal strength varying quite frequently from great signal to no signal. It'd also take many minutes to get an IP address, and often it seemed that the DNS server was not responding properly and even well known web sites such as google, gmail etc. were getting redirected to banner pages. On the other hand, the wireless network was free... so I imagine I shouldn't complaint too much. But I'd have happily paid for a more reliable connection.	
Apr 21 2009 	lovely little gem	Loved this hotel and put it on my favourites alongside the Crowne Plaza in Liverpool.Room was outstanding and the barmen was great, sitting outside having a meal and a drink in the hidden garden, in the centre of London was fabulous, would recommend this hotel to anyone wanting a great hotel to stay in.Very close to Gloucester road tube for Heathrow.i have stayed in many London hotels and this is near the top of the pecking order for me.I do not normally give such a high rating in my reviews, but this was 100% for me	
Apr 19 2009 	Great hotel for families	Booked a double-double on the executive floor for two adults, two children (3rd floor). Room was modern and up to date with small bay window overlooking Cromwell Rd. No noise from street. Kids loved the &quot;fab&quot; up to date look. Parents loved the location and space. Very comfortable. Service was great from bringing us ice to loaning umbrellas. 1st and 2nd floor renovations currently being completed.	
Apr 16 2009 	Don't waste your money	I purchased a single night stay at this hotel in order to spend an additional night in London after purchasing a trip through British Airways. My scheduled hotel was across the street at the Holiday Inn Kensington Forum. Unfortunately, the Forum was booked, and I had to stay here. Upon arrival, I found that the hotel was undergoing a new paint job, and the front door was being blocked by the painters. There was no clearly marked entrance into the hotel, and I had to inquire to the painters as to where the entrance was located. Upon finding the temporary entrance, which led into the bar/lounge area, I found that door to be too narrow to allow luggage to easily be taken through. Whats worse, no hotel staff was there to assist us in getting in through theses doors. Upon arrival, I found the entire lobby and bar area to be awash in the smell of latex paint. Almost nauseating. Check-in was easy enough, and we found the room to be acceptable. It was clean, neat, and quaint. It consisted of no real view, aside from that of another building, but I wasn't staying in this hotel for a view from a window, so it didn't bother me. The only real problem I found was that the volume on the television was not adjustable, which was an annoyance. Upon getting settled into the room and going out for the day, we returned to find that the elevator/lift was out of service. This required us to walk up 6 floors to our room. Upon checking out the next day, we found that the elevator/lift was still out of service, and we requested a bell hop to carry our luggage down. We received no apologies from the hotel staff for the inconvenience, and we checked out without any further issues. I recommend that staying at the Holiday Inn Kensington Forum across the street would provide a better experience for less money, and hassle!	
Apr 15 2009 	Good hotel nice sized room comfortable - book it before it goes way up in price!	I thought finding a hotel for two adults and two children would be pretty easy in London. I had a reasonable budget in mind and a couple of locations to choose from. The problem was finding a decent hotel that would sleep four people in a room. I found hotels with rooms with two single beds, or one double. Or one double bed with a sleeper sofa. Ugh! So, I went to the tried-and-true Holiday Inn. Sure enough, a room with two double beds. The price was not cheap but was comparable to a Holiday Inn in a big city like New York.I agree with everyone that the hotel is in a good location. The tube station is literally across the street and even a pick up point for the red tour buses. There are plenty of restaurants and take-aways in the neighborhood so you don't have to eat in the hotel restaurant. The major museums are within walking distance.Most of the renovation seemed to be completed. I was pleasantly surprised with the rooms. I knew they would be nice since they were renovated but they had plenty of room. Our room had a bay window which was a small sitting area. Having that space made the room feel more, well, roomy. It is still a small room but it wasn't as cramped as most hotel rooms in large cities.So if you are traveling with three other people, consider staying at this hotel. But do it quick. I have a feeling when the hotel upgrades the rooms will be even more expensive. I am glad I stayed when I did.	
Apr 12 2009 	A plesant surprise from Holiday Inn (to be rebranded as Crowne Plaza)	We stayed in Holiday Inn South Kensington twice in the last week. We booked a B&amp;B package on both occasions and were not disappointed at all. In fact, we were pleasantly surprised by the good levels of service, in particular the simply, but nicely decorated duplex we were upgraded to in our second stay. We would particularly like to commend one of the restaurant staff whose name we have forgotten, but who is easily recognisable by her curly and tied-up hair. She was helpful and very friendly with her morning greetings. She made a great start to the day! We will definitely come back during summer for the Crowne Plaza experience.	
Apr 2 2009 	Can't beat the location!	We stayed here for 4 nights in the middle of March. Although our initial impression was not very good due to a rather unfriendly clerk at check in, we soon realized that we'd made a good choice. The room was quite spacious and had plenty of room for our three adults and all our luggage. The bathroom was modern and had wonderful soaps and lotions. We were happy to find a magnifying mirror attached near the sink, but were disappointed to realize that it was mounted too high and without an extender to be of any use. While we were there, there was quite a bit of construction going on with the elevators and the lobby. It seemed like the workers worked right through the night, because each morning we'd find something else new had been installed. Although there are plenty of dining options closeby, we regretted not getting the breakfast option when we booked online. The breakfast looked delicious and would have saved us time in the morning. We could have added it to our bill at check in, but the cost to do it at the hotel was much higher than the online cost. The location is perfect. It's right across from a tube station and is also close to a pick up/drop off spot for many of the tour bus companies. We were very impressed with the concierge (Raj?). He was very friendly and gave us a quick tour of the renovations on the day of our check out.	
Mar 31 2009 	Fabulous!	So we arrived at the Holiday Inn Kensington, March 18th, 2009. I was slightly put off by the renovation but quickly got over it seeing how great it looked inside. We couldn't check into our rooms until 2:00 pm so the staff stowed our luggage into a locked room. 2:00 rolled around and we were exhausted from our flight so we finally got into our room and it was small but for two people it was fine. Very comfy. The bathroom is a great size, shower is beautiful and the water pressure fantastic. Don't see the point of that stupid magnifying mirror in the corner though since I'm too short to even reach it. The bed is so comfortable that we almost had trouble falling asleep. The down comforter is great and the pillows are so squishy you just want to sleep all day. There's also a nice flat screen TV in the wall hanging above the table thing that stores the (well stocked) mini refrigerator. There's a great hair dryer in one of the drawers in the desk as well. The only problems I had with the room is that there are no clocks and no dressers to store clothes. However there is a safe and a small closet but not enough room if your there for more than a week and have a bunch of clothes. Now the staff was super attentive and helpful! Every day we would go see the manager and he would help us plan a tour, book a show, or put us in the right direction for the attractions we wanted to visit. Extremely helpful and super duper nice. The restaurant is okay, good food but way too expensive and we only went there for breakfast! A few days went by and the manager asked how our room was and we said it was good but our sleep wasn't great because we could hear the traffic. Right then he immediately switched our room to a garden view suite with a king sized bed. Absolutely fantastic. So nice of them to consider and we definitely had a good sleep after that (and the room was bigger!). We cannot wait to go back to London and stay at the Holiday Inn Kensington again. Such a great upscale, classy hotel! And for a Holiday Inn I was super surprised. Thank you to the staff for making our stay in London so enjoyable!	
Mar 24 2009 	Great location	Stayed here using Priority Club points for my boyfriends birthday in January.Very nice decor. Room not the biggest but very nicely furnished, and we were not in it for long as we were going to the theatre and for a meal.Didn't eat or drink here, but used the bellboy for luggage storage which was very efficient.	
Mar 23 2009	Great Hotel Great Location...just great!!!!!	I recently stayed at this hotel for 4 nights with a rather large group of students. The hotel is undergoing an amazing renovation to become the Crowne Plaza. The staff was extremely accommodating and helping with arranging anthing we needed--from additional room amenities to tickets to events in town. I would HIGHLY recommend this hotel to anyone looking to stay and a nice, clean, ROOMY spot centrally located in London's Kensington bourough.	
Mar 23 2009	Fairly standard	Stayed in this hotel for two nights in March, work was ongoing on the entrance, lifts and stairs at the time. We were asked to authorise full payment plus an additional £50 per night when checking in, which is something I find very annoying. We thad to use the stairs to access our room as work was ongoing in front of and to the lift system. The stairwell definitely needs some work with paper peeling from the walls. I had enquired about wireless broadband prior to booking and was told it was available free of charge in the rooms but when we stayed it did not work although we did get a cable from the concierge. There is very limited storage in the room and only basic supplies for tea and coffe making, towels etc are provided. Overall the rooms are fine but small and basic and I wouldn't like to be staying for more than 2 nights.	
Mar 19 2009 	Wonderful staff + Perfect room	I just returned from staying at Holiday Inn Kensington and can't say enough good things about it. The staff was so helpful in assisting our every need. We had no money when we arrived due to our debit card being frozen from suspicious activity, and the bellman took our bags to our room with a smile, knowing we couldn't tip him. The concierge assisted my husband in making international calls to clear up the debit card problem. As the teenagers and I waited in the room for the money issues to be taken care of the assistant manager sent up fresh fruit and bottled water via room service, no charge to us. It was a wonderful treat in the middle of a difficult time. As for the hotel itself, we stayed in a recently renovated room that was perfect for our family of four (hard to find in London.) The towels were some of the thickest I've found in any hotel in the states. The bathroom was good sized. The location of the hotel is very near a tube station, allowing us to tour London easily. It is also adjacent to a grocery store where we bought breakfast items at night and had them in our room the next morning. I have stayed in many luxury hotels in the states, and I've never had an easier, more pleasant stay than I had at Holiday Inn Kensington.	
Mar 16 2009 	Nice hotel friendly staff	Stayed at this hotel for four nights March 7-11, 2009. The hotel is undergoing renovations so there was some inconvenience with the lift being out of service for part of our stay. Upside was that we were in a renovated room that was very comfortable. The staff was friendly and helpful. Breakfast was good but pricey. Will definitely go back.	
Mar 14 2009 	Excellent value for money and a terrific hotel!	Booked this hotel for 5 nights in March 09 for 3 adults and received one of the already refurbished rooms on the sixth floor. The room was excellent and far better then we had learned to expect and hope for from our previous visits to London as hotels in London tend to be... less then pleasant to put it delicately....The room was large and decorated very much to our liking, it had 2 huge double beds - very comfortable too, the bathroom was good in size and looked great as well, wouldnt mind to have one like it in my home.The staff was very professional, helpful and welcoming, they even provided me an adapter for the electric socket which i had forgot to bring from home, what else could you ask for?The breakfest was excellent and is highly recommended as well.The Location is also great - 2 min walk from &quot;Glocester road&quot; tube station which means you have to take only one train to almost anywhere in the city.So would we recommend this hotel to a friend? We already did, are friends are coming to visit London next month and are definetly going to stay in this hotel.My only hope is that after the renovations are completed, prices wouldnt be much higher so we could enjoy staying here in our next visit to London as well.	
Mar 13 2009 	A largely unremarkable stay	After an indifferent check-in (rather off-hand, no mention of newspaper or wake-up call) I went to my room on the third floor (executive floor) - presumably as a Priority Platinum member free upgrade, but no-one mentioned this. Newly refurbished room was very pleasant and comfortable, unfortunately the neighbouring 'executives' were excited American children but they settled down before too long. The plate of fruit was a nice touch, but the impression was ruined by the discarded stalks of grapes left by a previous guest! (must add the room was otherwise clean and well prepared)The location is on the busy Cromwell road but I had asked and was allocated a room at the rear of the hotel - no external noise at all so very impressive for a bustling location. The hotel is well located - just over the road from Gloucester Road tube (District &amp; Circle) and there are many places nearby to eat, drink and shop.Good value for London at £99 room only excluding VAT	
Mar 10 2009 	great hotel and location	I stayed here last weekend with two friends for two nights on a girlie sightseeing weekend (we're all aged 26). The three of us shared a good-sized room with breakfast for around £105 a night in total, I thought this was a bargain for such a lovely modern hotel and would definitely pay more to stay again once the refurb is complete.Our room had two double beds so two of us shared comfortably, they were VERY comfortable in fact and just what our poor feet needed after a hard day's sightseeing! Had a shiny bathroom too with some nice touches such as flannels and gorgeous arran aromatics smellies. (Tip, we didn't get a shower cap though so you may want to pack your own!) Room was very clean, you could even smell new carpet smell. I was impressed by the hairdryer too, a proper one and much better than you usually get in hotels.Our room (226) was at the back of the hotel overlooking the garden and a church so we didn't have any problems with noise. Breakfast was really good, a selection of cereals and pastries, cold meats, cheese, fruit and fish and a cooked breakfast, which I was pleased to see was tended to well and the dishes were replaced often, rather than being left to stand for a long time.I've previously stayed at the Radisson hotel across the road for work but am definitely pushing for this one in future! It's quite a safe location for a female traveller on her own as it's a busy main road directly opposite the tube. Also lots of handy shops such as a 24 hour Tesco, Boots, Waitrose, Starbucks etc. The only downsides to our stay was the fire alarm going off at 1am on our first night, we were some of the guests in dressing gowns mentioned by another reviewer! We found standing outside in our PJs and being beeped at by passing motorists quite amusing but see it was more of an issue for the families with young children. Or if it had've rained. No complaints though as we knew it was being refurbished and these things happen when builders are in - was sorted quite quickly and was pleased to see the fire brigade had attended so it was treated seriously rather than just being put down to the buildng works. The only other thing was lift was a little bit wobbly too but I think it's being replaced.All in all a great base for our trip and I'll definitely be back!	
Mar 10 2009	Will be lovely once finished.....	A group of us girls stayed here for a hen weekend. Just so people don't get scared off, we were a very well behaved hen! This is not a 'pink hats and L plates' kind of hotel anyway and we definitely weren't that kind of group either! Despite the renovations going on at the hotel (it's being upgraded to a Crowne Plaza), everything went pretty smoothly with our stay I think. Granted, we arrived late from the airport on the day of our arrival and were very stuck for time when checking in, as we were hitting a show, and the girl on reception didn't seem to appreciate this when there were a few hiccups with check-in! She seemed to get more flustered and slower the more it was impressed upon her that we didn't have time to waste! Anyways we got checked in evenutally and, you'll be glad to know, we made it to the show with one whole minute to spare!The hotel itself is quite nice (the bits of it that have been renovated) and it will be very nice when all works are completed. The rooms are bright and modern, bathrooms are a very good size and I was very pleased to see a bath in there! We had two double beds for two of us and I have to say, they could quite possibly be the most comfortable beds I have ever slept it, hotel or not! Nice flat screeen TV in room that had a tendancy to turn itself on and off of its own accord! Think it might be picking up the remote signal from the adjoining room next door? It might be something that the management should look into. it didn't bother us but I can imagine it might do some people! Also, there's been a great job done on sound proofing here as our room faced out onto Cromwell Road and there was little to no traffic noise that we could detect. Gold star for the architect/s! You'd be surprised how many hotels neglect sound proofing! Never underestimate how much people appreciate peace and quiet! The dining area is quite a nice space and breakfast on both mornings was very pleasant. All hot and cold food was constantly replenished and there was an endless supply of tea, coffee and toast. You could opt for the healthy option of cereals and fruits or go with the big greasy fry-up or have both if you fancied it! A great way to set yourself up for the day so I would recommend getting it included in the rate if you're a breakfast person. There is a Tesco and Waitrose within spitting distance though so you will not be short on options if you don't go for the hotel breakfast. Staff were quite nice. I wouldn't say overly friendly by any means now. I think they might all have been a bit wary of irate guests, what with all the renovations going on. I can imagine there would be a lot of people that would have issue with things like drilling, crazy lifts etc. Again, it didn't bother us in the slightest. Also, there was a fire alarm on the Friday night of our stay. We had only just arrived back at the hotel so standing out in the back garden (which, I should mention, is a lovely area and will be smashing to sit in in the summer and have a drink!) wasn't an issue for us, as we were all well wrapped up (and had had a couple of drinks!) to shield us against the elements but the people in bathrobes, especially those with grumpy and agitated children, didn't look best pleased! It was dealt with relatively quickly, when I say relatively though, it was the best part of an hour I think. I stand open to correction but I think it was about that. The hotel is in a great location. Gloucester Road tube station is just around the corner so travelling around the city is very easy. Kensington High St. is a pleasant, 15 minute-ish stroll away (or a 2 minute taxi ride! :) Harrods is within walking distance too but unfortunately didn't have the time to get there this trip.Overall, I would definitely recommend this hotel. It is modern, not too big and well located. Will be hitting the four star mark I'd say once renovations are complete so that could bump the prices up? I would definitely stay again when I'm in London next.	
Mar 9 2009 	Graet location and very comfortable	Had a last minute one night stay here as the sister Forum hotel over the road was full. Very pleasant modernised hotel with good public space and comfortable modern bedroom with huge bed and sparkling new bathroom. Room was at the back so very quiet. Breakfast was included in the room rate and was buffet style, very plentiful, and cheerfully served by young staff. Great location near the tube and shops/restaurants etc., good last minute room rate, would certainly recommend this place.	
Feb 24 2009 	Great location for the Tube	We stayed at the Holiday Inn Kensington very recently which to my surprise was undergoing a major refurbishment. Considering the amount of work being done, it really wasn't intrusive at all. We were given a room that was not on the main road so was ideal. The room was spacious and the bathroom very clean. Possibly the only gripes being that the basin tap was a bit stiff to turn and the water didn't drain away very well in the basin. Everything else was very good. All the staff were polite. I requested a couple extra towels from Housekeeping and they were delivered within 5 minutes, so that was excellent. The hotel location was ideal - literally across the road from Gloucester Rd Tube Station (Picadilly Line). A Waitrose and Tesco Express was across the road should you choose not to pay for breakfast in the hotel. Children under 12 eat breakfast for free which was plentiful. All in all, I would recommend this hotel.	
Feb 20 2009 	Great Location comfy beds	One night Priority Club reward. Great location opposite Gloucester Road tube, one block from museums, 20mins walk to Harrods, 15mins walk to High St Kensington. Nearby free on street parking after 1pm Saturday and all day Sunday.Room newly refurbished, but stained carpet, very dark gloomy colours made small room seem smaller, bathroom spotlessly clean and resonably sized. Beds super comfy, but quite a lot of traffic noise from Gloucester Road - and this was the 8th floor. In common with other comments, room was very very hot (due to spotlights everywhere and TV screen), aircon seemed to make no difference - does it work?Ate breakfast at Starbucks over the road, where there is also a Waitrose, Pret a Manger and several other coffee shops.Overall a pleasant stay.	
Feb 20 2009 	Nice location pleasant staff good accomodation and breakfast	Got a great price (expedia, £145 per night) for a family of four in a decent-sized room with two double beds, probably because the hotel was undergoing a certain amount of refurbishment. However, it was not at all intrusive.The room was on the top floor, with decent furniture and somewhat subdued decor. The only real complaint was that the aircon was noisy, and if switched off then the room was too warm.Breakfast, included in the rate we had, was pretty decent. The front desk and breakfast waiting staff were all very pleasant.	
Feb 19 2009 	Unbearable Heat and Lifts not working	The hotel is undergoing renovation and there is no clear entrance. In fact we walked past it several times.The heat in the bedroom and corridor was incredible. A fan was provided but this made no difference. On several occasions during our 2 night stay the one lift in the hotel was out of order. We had to walk six floors up a fire escape to our room. The only available stairs. I was with my two children and elderly mother. The heat in the room and the trek up and down the stairs spoilt our holiday. I cannot describe how hot the room was - suffice to say none of us could sleep. The worst experience I have ever had in a hotel. Although we had booked two nights, we had to check in both days. We requested a later checkout, but the keys were disabled before this. We only discovered this after another trek up the fire escape. Staff commented that the air conditioning had been broken for some time.The breakfast staff were very helpful and smiley. The breakfast was well worth the money - children under 12 eat free. The hot food was freshly prepared and the staff were constantly replacing any almost dishes. Lots of lovely fresh fruit to choose from.	
Feb 7 2009 	Good hotel in great location	Got back on Monday from a weekend break in Holiday Inn South Kensington and was really impressed with the hotel. It looks lovely from the outside particularly in comparison to the monstrosity of a holiday inn that is across the road. There is work going on but other than the main entrance being closed off it made no difference to us at all. We were on room only basis and ate out so I can't comment on the food but reception staff were very friendly and the room was great - clean, attractive and quiet. The location is brilliant - just up the road from the Natural History and Victoria and Albert Museums and Harrods is just a little further up the road. The underground is 2 mins away and we had brekkie in a lovely patisserie across the road. An ideal location for a sight seeing holiday - we'll be back.	
Feb 1 2009 	Great Value with some nice touches	I have stayed in a King Club and standard double room in the last few weeks The Hotel is being refurbed to Crowne Plaza standard.Both are of a great standard, if you have a bit of cash to spend the King Club is worth the extra, but can also recommend the standard room.A Flat Screen TV that has reasonable priced movies and Sky sports is a great plus after a hard day at work and wanting to watch a bit of TV.Lovely power shower and very comfy beds and pillowsWill be staying again soon, Gloucester Road tube is a stroll across the road making it a very easy to get around.Good Hotel for both Tourists and Business alikeAs for the staff , have found them friendly and always found a smile is met by a smile	
Jan 26 2009 	Good Room Bad impressions	We booked the Holiday Inn Kensington after reading a lot of bad reviews for other, cheaper hotels on Trip Advisor, and decided to go with the best overall reviews within our budget.We paid a little more than we would have liked for the hotel, after they added VAT on top of the price we thought we were paying, which was a little annoying to start with.We knew that the hotel was undergoing refurbishment, so we were not put off by the scaffolding on the outside of the hotel as we arrived. However, it took us a while to find the door, as there were no clear signs amongst the building work as to where the reception was. On arrival, there was a temporary reception set up amongst the building work, and I must say the staff were not particularly friendly towards us. We do not own a credit card between us, and they would not take our debit card as a room guarantee, even though this was the card used to book the room. As such we were unable to use our mini bar or add any extras to our room.Our room was one of the new upgraded rooms, and was absolutely fantastic. The bed was the biggest I have ever seen, and the facilities were wonderful. The only issues with the room were initial problems with the shower which were soon resolved, and the TV seemed to change volume all on its own! Other than this it was brilliant. We did have some problems with the building work - when we got up and tried to get downstairs, the lifts were out of order due to the building works. We had to find our own way to the stairs and trek down four floors to get to the reception area. There were no signs to direct us, something which had been rectified the following day. It was inconvenient for us, but we managed okay. None of the staff were particularly friendly, but the hotel room and location of the hotel made up for it. Being right across from the tube was brilliant, as well as numerous shops and restuarants. Overall, the hotel was good, if you are willing to put up with the problems whilst they upgrade the hotel. I would go again - but no doubt it will be more expensive once the refurb is complete! In general, a good stay, but could have been better.	
Jan 12 2009	Had a great time	Just returned from a two night deal which included breakfast on both days and an evening meal on one. Great value for money even when paying a little extra for room upgrade to Club.The evening meal with a choice from the a la carte menu was great and the service from Christophe (sorry I can't spell his name in Polish) was friendly and polished. Service at breakfast from Arrieta was also good. In fact the staff over all were very friendly and helpful.Requested and received a room overlooking the rear garden which was very peaceful - although there is building work going on to convert the hotel to Crown Plaza.Altogether we would recommend this hotel particularly as within walking distance of Royal Albert Hall, Natural History, Science, V&amp;A museums and Knightsbridge shopping.	
Jan 12 2009 	Great experience	Had a wonderful stay at this hotel with my family - 4 adults, we fit comfortably in one room with 2 doubles. The room was clean, modern, bathroom was of decent size. The location was perfect, the hotel is just across the road from Gloucester Road station, which is on the same line to the airport. It's also within walking distance to a few museums and just a couple of train stops away major attractions.It was great value for money, cost $150. Would definitely stay here again!	
Jan 5 2009 	Great Location Good Value!	This hotel was a pleasant surprise. The hotel is going through an upgrade to a Crowne Plaza, according to the staff. It is a smaller, 6-floor, traditional London hotel building. The room was recently renovated, decently sized, and comfortable. The staff was EXTREMELY friendly and helpful. The lobby area and bar are nice, and it's worth it to include breakfast in your reservation. The fitness center is small but well equipped and recently upgraded. The best part is the hotel's location--at the corner of Cromwell and Gloucester Roads, and right across from the Gloucester Road Underground stop, through which three different lines connect. This makes it very easy to get nearly anywhere in London. The hotel is a short 10-minute walk (or one Tube stop away) from Kensington High Street, where there is a great deal of shopping available. It was certainly a great value	
Dec 30 2008 	Great but another room would be better!	Was planning to stay nearby but booking was messed up by Best Western so got last available room on garden side of hotel at 10 at night.Room was newly furnished, comfortable, and only drawbacks were that the windows were shaded out to avoid rooftop view of air conditioning units, and the room was beside the service elevator which meant noisy mornings as cleaning staff started at 8 and had the world's squeakiest carts.The hotel is undergoing a full upgrading - our part was done and great - and exercise room is good. The lobby is pleasant and the dining area is attractive and very modern.We would happily stay there again - but not next to the service elevator! The location is great - one bus to downtown sights and shopping, easy walk to major museums, and across road from tube.	
Dec 15 2008 	Great Deal @ Sth. Kensington	Nice hotel with great comfortable rooms recently &quot;refurbished&quot;. Good location close to subway and commerce. Nice, friendly staff.	
Dec 14 2008 	Great place to stay	Stayed at the Holiday Inn, Kensington recently and for the size of the place it was great. The rooms were recently decorated with great facilities. The room itself was a little too hot with the air con not up to scratch and I couldn't open the windows. Wireless internet would have been useful. Overall, great stay.	
