	Very nice would certainly revisit	I visited this hotel for 7 nights this November, and I was very pleased with the service that we received relative to the good price that we paid for our stay. The hotel is in a relatively central location, just minutes away from the tube. The room was basic but had whatever was necessary to make our stay a good one, cleaned and having fresh towels provided on a daily basis. Breakfast was a good one, with fresh fruit being really fresh, whilst the hotel environment and staff were extremely helpful. This hotel is ideal for anyone looking for a centrally located budget hotel in london for a very good price, and we'd recommend this hotel to anyone.	
Nov 11 2008 	Great!!!	Very pleasant stay, the staff were extremely friendly, room was clean and comfortable, food was lovely and not over priced, in a brilliant location. I was very impressed :)There were a few downsides to the stay: The chef didn't turn up on the 1st night there, but there are loads of places to eat within a 5 minute walk so that wasn't a problem.The room was slightly small, but we didn't spend much time in there so we didn't really notice it.The croissants at breakfast were cold! :) But again, everything else was lovely.I found that for the price of the rooms, this hotel is very good value and I would definately stay there again. It is very quirky, with the sink in the bedroom(as opposed to the bathroom) and slightly wonky floors...i think it used to be victorian town houses that have been joined to make a hotel, got lots of personality! We stayed in a 'Groove room' so we got a cafetiere with fresh coffee every day, and kimonos as well and a paper every day. Overall, a very nice stay :D	
Nov 1 2008 	Could do worse...	I have just returned from a week at Umi - I had a single room as I was on business. It's okay for a London hotel - I've definitely stayed in worse. The reception area and bar give the impression that it's reasonably smart and almost trendy but the rooms don't keep up the same image. My room was tiny but actually that didn't bother me. It was a bit odd having the sink in the bedroom part rather than the bathroom but one makes do. I did manage to pull my headboard off when I tried to move the bed as it was only glued on! They replaced it the next day so quick service! I think if you were coming for a romantic weekend you'd be disappointed as this isn't that sort of hotel. If you were backpacking or just wanted somewhere cheap to rest your head, if away on business, then this is ideal. The breakfast was a high point as the food and coffee's good quality rather than being cheap and nasty. I agree with another reviewer though that it feels like a hotel that's tried to be done up, but on the cheap. Overall I'd return if I wanted a weekend in London to visit museums and theatres etc as the location is fab. Staff were relatively friendly.	
Oct 31 2008 	Disappointed	I expected an average 3* hotel with good quality/price. But...The 1st room, was over-heated +++. i had to have the wondow wide open all the time. The TV didn't work &amp; the only way I could watch was by sitting in the sink (yeah the sink isn't in the bathroom). I changed room. The 2nd was just between the stairs &amp; the lifts and above the entrance of the hotel. I didn't sleep for 3 nights. A real nightmare.	
Oct 30 2008 	Great hotel to stay	I've just come back from 2 nights at the Umi hotel and I would definitely recommend this hotel to any of my friends and am planning a return visit next year. Its a lovely hotel in a beautiful area only 5 mins from Bayswater tube station. There are plenty of restaurants, bars and other amenities in the area.The staff were extremely pleasant and helpful and we were always greeted with a smile. The continental breakfast was included so helped us to a good start to the day and breakfast is served til 12 if you need a lie in. Our rooms were spotless and were a good size.	
Oct 21 2008 	good central london hotel	We stayed at the Umi Hotel in London on October 15th for 2 nights. After reading the last few reviews I was slightly nervous. We arrived at 8pm &amp; check in went smoothly &amp; the receptionist was very pleasant. We had a double room (408) and it was a really nice clean room (spotless infact) We also had a nice view of gardens out the window. The beverage tray was stocked with a range of teas &amp; coffees including fresh ground coffee. Breakfast was lovely with a good choice it was fast but that doesnt bother us, and the staff were friendly &amp; helpful. We would definitley stay at this Hotel again. The only complaint we would have is the floorboards from the room above,so maybe ask for a top floor room.The area around the Hotel is excellent, with a good range of restaurants,take aways, pubs &amp; shops. We used the Bayswater tube stop &amp; it was only a 5min walk to the Hotel. If you go on maps.google.co.uk it will give you exact walking instructions.	
Oct 8 2008 	Not worth the money	Very expensive for what it is. Rooms are old, very very small and noisy. The staff is not friendly. The breakfast is very expensive compared to a local pub breakfast. Really not a good choice for the price.	
Oct 8 2008 	OK but a bit disappointing	I booked Umi after reading some good reviews here and the location (Bayswater/Notting Hill) was convenient. On arrival I was pleased as it looks out onto a garden square and reception looked smart and contemporary. Staff were, at all times, lovely. However I was disappointed when I got to my room. I paid for a Grove room (311) - unfortunately I could not see why it was classed as a 'superior double'. The furnishings were old fashioned and tatty, the bathroom had seen better days and the bath really needs replacing. I had to go straight out and did not have the time or energy to complain to staff - I regret this now but I did complete a customer feedback form. The bed WAS comfy, the digital TV worked well, breakfast was simple but pleasant. If anything I was just disappointed that what could be a really nice 3* let itself down on presentation.	
Sep 25 2008 	A cut above	Umi definitely provides better value for money than many similarly-priced London hotels, especially if you are able to arrange a favourable rate by booking ahead.Last things first - the room is small, or at least, mine was. But then, what else does one need to do there when in London, other than rest, change clothes and maybe enjoy a cup of tea?My room, Nº 224, had a large window with a VIEW - not something you'll get at every London hotel. The room overlooked an idyllic garden where one could catch sight of squirrels playing; it was nice to just lift the blinds in the morning and lie in bed looking at the garden.Speaking of which, the bed was very comfortable: two nice pillows: coffee/tea facilities in room; modern, functional bathroom: and a flatscreen TV with a full assortment of channels (Lots of BBC and ITV plus CBeebies, Sky News, CNN and more) - again, not something you'll find at all comparably priced hotels.Someone was even thoughtful enough to hand little signs in the various rooms at ground level explaining who lived in each area of the Umi in 1891, and showing census extracts for that year.The hotel was not noisy but should you get a room with a window, pack earplugs just in case - I always do, for any hotel. Definitely a pleasant experience. Two things to bear in mind: 1) You will be asked for either a swipe of your credit card or £20 deposit at check-in to cover possible damage to the room, so be prepared; also - coffee in-room is apparently limited to one sachet, per person, per day! (Not enough for some of us...)	
Sep 15 2008 	Above average London hotel at a fair price	We shared a tripel room at the Umi Hotel for 3 days in september 2008. The hotel is located in a nice and quiet neighbourhood conveniently situated 5 min walk from a tube station. We found the room quit big for a triple and furnished with nice beds and light duvets (nice for a Scandinavian!). The room was cleaned to an acceptable standard and we had clean towels every day. One issue to comment on was the flats screen telly that didn’t carry a decent signal for any channel. The breakfast was served in ground floor and a good service was given as a lot of staff was available – but be sure to arrive no later than 8 – 8 15 am as You may otherwise have to wait for a free table. Continental breakfast is served at the table - you are given a choice of 4 items from a list consisting of fruit/cereals, bread and drinks. Remember that you can have toast as a side order without extra charges. Be sure to choose the fruit salad – it was really nice. Don’t plan on sitting down for a slow meal – it looks like the hotel needs to move a lot of guest’s trough the breakfast café real fast. All in all a really nice budget hotel in a city where budget hotels tend to be really rundown. I would go back to the Umi hotel on another occasion if I was looking for a place to stay in the same price range – on the other hand I might choose to move up the scale a bit if I only need a double room on my next visit to London but that just to get a bit of “luxury” it’s really not necessary.	
Sep 9 2008 	At Last a good hotel in London that doesn't cost the earth	I had a single room for one night at the Umi and wasn't quite sure what to expect after reading some previous reviews. All I can say is that this hotel was excellent value for central London and all the staff I met were very friendly and helpful. The room was very clean and comfortable although the bathroom was small, but then cleanliness is more important to me than room space. I'd read some reviews that criticised the rooms and staff but my experience was great from start to finsh. The price was excellent and included continental breakfast. The only minor niggle was that the mattress was too soft on the single bed. I don't know if that applies to other rooms though, and I had a good sleep anyway. I arrived quite late and was happy to find a few late-opening places to eat on Westbourne Grove nearby. It's located in a good safe area and it took me about 5-10min to walk from Bayswater tube station to the hotel. I'll definitely be staying here again as I've been in a few disappointing budget hotels in London that cost more. This was a real find. Thank you Umi.	
Aug 16 2008 	A gem budget hotel in London	Book via Venere.com...This is a find, a gem of a budget hotel in London! The room, though small as expected, is very comfortable, and certainly not a closet like another hotel I've previously stayed in London. It is in safe, clean, quiet, underground-accessible Westminster neighborhood. The hotel staff are superb - helpful, and courteous. There is a lift. There is a reliable internet service/computer workstation. I will reserve again when I return to London.	
Jul 28 2008 	Excellent!	I alway stay in the Bayswater area and at last, with UMI, have found a base! This is exactly what a &quot;budget&quot; traveller needs: clean and with everything you need, not squallid like so many of the other hotels in this area. OK, so the room is small, but do you go to London to stay in your room? I didn't find the basin in the room a problem. I liked the touch of the box of tissues. The breakfast was also excellent and all the staff very friendly and professional. I hope they continue exactly this way and offer a great quality/price ratio!	
Jul 28 2008 	Great value for money savvy staff!	This is a great hotel! The rooms are really cheap, and I have never encountered more professional staff in London.I find it hard to find decent priced single rooms in London; single supplement charge of hotel rooms are usually horrendous, which I find frustrating since I normally travel with couples. At Umi I only paid 59 pounds per night including breakfast (I strongly recommend the blueberry muffins) which is not a lot more that what my friends paid per person in the double rooms. My room was not huge (as stated by several previous reviews) however, if you've ever been in London you'd know that rooms of more than 10 square metres don't exist.The location is excellent. Walking distance to Portobello market and Kensington gardens, and the area is really nice. The best thing about the hotel was the staff though. I normally get really frustrated when staying in London, normally the receptionists know less about London than I do, and it is hard to get good advice on where to go. However the receptionists in Umi knew all the good nightclubs and gave great little tips on what was on during the weekend, some great little shops, where to eat, drink and what to do, so we didn't end up in all the touristy expensive places... I've been to London so many times, so I wanted to see some new places, and they knew exactly where to go. This hotel is great value for money!!	
Jul 23 2008 	verygood	it was really good experience,thought i had a long flight from india staff were really welcoming and offered me room wihtin 1 hour nice coffee shope where you can get nice coffee with fresh food. overall i would say this is nice hotel i would come back and stay again.	
Jul 20 2008 	Go Somewhere Else - ANYWHERE Else!!!!	I have never experienced worse customer service at a hotel! I watched the clerks roll their eyes at other guests and talk behind their backs when the guest walked away. They were incredibly argumentative with me and other guests and made the stay very uncomfortable. I e-mailed the corporate office to let them know how rude the front desk staff had been and I never got a response. The rooms are okay, but you can do much better for the money. Any call you make (including phone card and credit call cards) are charged at $ .50 a minute! So, if you are using a calling card, you will pay with the minutes on the card and an additional $ .50 a minute to use the hotel phone. If you don't use a calling card and call direct, the rates are outrageous! The rooms are shabby and rundown. Breakfast was a pre-packaged danish and yogurt. You can find much better than the Umi!	
Jun 26 2008 	Simple London Hotel	I stayed here four nights in February and stayed in a single room. It was a good price for London (about 100 usd per night) considering the painful exchange rate. It's not far from tube stations. I used Bayswater and Queensway.Now the rooms are small and there are squeaky floors throughout the hotel, but that wasn't a huge bother. I was glad that it was really clean and the bed was so comfortable. There is little room to place things and no place for toiletries in the bathroom.The staff was excellent and the concierge guy was the best and helped arrange transportation to the airport for me. Something different about the hotel that I liked was their breakfast that was included in the room. Many of their products were organic and fair trade. I made sure I was there every morning for breakfast. I'm definitely coming back to this hotel.	
Jun 24 2008 	Worst customer service I’ve ever encountered!	My stay here was just awful – this hotel has just about the worst customer service I’ve ever encountered. Firstly, when I booked online this hotel had a different name - the Westminister. I was never informed of the name change and spent a number of hours searching for it when I arrived in London. The weather was particularly bad and when I did finally arrive at reception, I was completely soaked through. Then a young man at the desk tried to convince me that I had cancelled my booking the previous week! I asked for a manager and when she arrived both her and the young man had a full-blown argument right in front of me! I could hear them saying there was no room for me and they each blamed each other for “loosing” my booking. After more than two hours (!) of sitting in my drenched clothes in reception I was finally (and begrudgingly) given a single room (even though I had booked for &amp; paid for a double). I stayed just one night and when I was checking out a girl tried to charge me for my stay – despite the fact that I had paid online months previous and had a receipt to prove it. She called the manager and I got held up for over an hour trying to convince them I had in fact paid. This was highly embarrasing as the lobby was full at the time and I was treated with no sensitivity whatsoever. Finally, after a call from my credit card provider to the manager, they accepted that they had already recieved payment. I then told the girl &amp; the manager that I had not enjoyed my stay at all and would not be recommending the hotel to anyone. At this, the girl actually had the cheek to roll her eyes and laugh! I asked her if she was laughing at me – I could hardly believe my eyes – and she made a face at me!!! Her manager, standing beside her, never said a word to her! I got no apology and barely even a goodbye. Absolutely appalling customer service. Only stay here if you are comfortable being treated as a third-rate citizen.	
Jun 13 2008 	Nice enough for a wee break.	Stayed at the Umi hotel for 3 nights in a double room in mid June,the place has the look of an old hotel that has been done up on the cheap,but at least its trying.The staff were all helpfull and happy enough and the &quot;tick your own breakfast &quot;order cards were ideal as most seem to have little spoken English.I dont think there is one straight wall or level floor in the building but hey, its not my mortgage!The nights were very stuffy and the rooms could do with a fan,(I`m sure Ikea has a range for you Mr Umi )apart from that we had a nice stay.Ideal base for a few days	
Jun 12 2008 	Never Again!	My son and I travel to the UK annually and this year decided to spend a few days in London at the start of our trip. We found the Umi Hotel through Hotwire and have never been so disappointed. The reservation that was sent to the hotel was for 1 adult for a single room - beware! In Britain, this translates to a single, twin bed. When I showed the front desk staff my confirmation from Hotwire, as being for 1 adult and 1 child, they rudely informed me that they would only consider the information that they were sent and that since I was requesting an &quot;upgrade&quot; I would have to pay more. I contacted Hotwire and was told that the situation was taken care of but was still continually harassed by the front desk staff to pay the additional amount. The room itself was a tremendous disappointment. The curtains were black on the edges, the towels had holes in them, and when I went to turn on the shower, the control handle came off in my hand. I asked the front desk staff about local restaurants and they would refer me to their hotel restaurant only. I was loathe to try it after the treatment I'd already received. Any information I requested from the front desk was given in a patronizing manner and I was continually asked about paying for my &quot;room upgrade&quot;. I would never recommend this hotel to anyone. Ever.	
Jun 11 2008 	Could do better could do worse.	Two colleagues and I were booked in three singles for a business trip. It's not exactly anything to get excited about if you're there for business, but I imagine a backpacker or solo budget traveler would be satisfied. The rooms are so basic, like staying in a college dormitory. I think I was in room 206. Bed was comfortable and soft, and the trade-off for sleeping in a single bed is you have more floor space. The bathroom I had was ridiculously small, although my friend's bathroom was a bit longer so your feet weren't in the shower when you were on the toilet, like in my bathroom. The sink isn't even in the bathroom, it's in the bedroom instead. There is a small armoire for hanging up clothes. The TV was nice but the satellite reception was rather dodgy, I didn't get many channels although I got a station here and there, now and then. My friend's room had the same problem, hardly any TV reception; but my other friend's room (with no satellite) had fine reception, but only basic stations. (I suspect London is not a good city for satellite reception, with all the cloudy weather? Just a theory, but I also had it happen at another hotel I stayed at in the same area.) The hotel breakfast, included in the 70 pounds/night rate, is really good. You get a good variety of pastries, drinks, fruit, yogurts, cereals. The hotel itself is quiet but it's on a square, and at night there seem to be boisterous crowds of men hanging around, at least on two of the nights I stayed. The staff at the hotel were very friendly, and the location is good.	
May 17 2008 	Probably great for budget travelers	I booked this hotel for one night in London as I was heading home after a week in London, then Brussels and Bruges. I based my pick on the reviews here.To be fair, the previous nights I stayed in a 5 and 4 star hotels. For this night I wanted something relatively cheap with easy access to Heathrow.So approaching the hotel in the taxi I noticed a lot of of cheap, youth 'hostel' hotels in the area and this made me a bit nervous.The staff at Umi was very competent, friendly and nice. They were very helpful in finding a late night place for dinner. They were great!But the hotel and room had a strange smell of mold and curry. I know this was a hot week in London but there was an odor. The room was recently &quot;remodeled.&quot; Not sure what was done except for installing a flat screen TV. The rug was dirty and the floor sloped to one side. The bed was awful and barely fit two adults. The bathroom was tiny and was not well maintained. And this was for 100 British pounds!! So not exactly a cheap place.	
Mar 18 2008 	Very nice stay	My friend and I spent 3 nights in a double/twin room. We received excellent service. Had a really great stay at the Westminster. Friendly and smiling staff, ok rooms. Would definitely stay there again. Nice breakfast and the coffee was great. Would have preferred a buffet and more alt. choise of bread instead of sweet bread. A short work to Portabello Road and underground. Great value (London prices that is!). We have stayed in other 3 star hotels in London and this has by far been the best hotel.	
Mar 12 2008 	Great Experience at Umi	I found Umi online while booking a long weekend in London with 2 friends. We were traveling to visit our friend who’s studying abroad there for the semester. We stayed in a big room with 3 single beds, a spacious bathroom, and plasma T.V. The continental breakfast every morning was delicious and the wait staff was pleasant and punctual. The concierge helped us plan our days so that we could see and do as much as possible without spending too much, which is a challenge in a city as pricey as London. Overall, we were very pleased with Umi. We had a great time in London and the hotel is always an important part of the experience.	
Feb 27 2008 	Basic but clean and friendly	I stayed at this hotel for exploratory reasons. I'm going to be working in London and I wanted to know if this hotel was adequate/comfortable. In summary, yes the hotel meets my requirements. It's cheap, clean, friendly and well situated. For a more detailed review read on....On arrival the foyer is modern in appearance and the reception staff were friendly/polite. However, once you're past the reception the corridors become somewhat drab and show signs of aging. The room I stayed in was clean, but basic - it showed signs of being from a bygone era, i.e. old wardrobe and hand basin in the room (rather than in the bathroom). The woodwork around the basin had seen better days and I could not decide if the mirror or the sink was sloping, but one of them was definitely not straight!However, having said all that the room did have coffee and tea making facilities and the television had more channels than most other hotels I've stayed at. The bathroom was small, but fucntional. The shower was powerfull and certainly refreshing after a full day wondering around London. The hotel also has WIFI, at £3 per hour. So, where possible the hotel has modernised itself to meet more recent expectations. The nearest tube station is Bayswater (6-10 minutes), with Paddington train station just 15 minutes walk away. Hyde Park is also close by (about 10 minutes) and the local shops are just around the corner. This hotel is great if you want something cheap and cheerful, with great access to the city.	
Dec 22 2007 	Umi is okay but ...	I stayed at Umi hotel for six nights a week ago. The information given in other reviews was quite accurate so I knew what to look forward to and expect. The service is very good the concierge was more than helpful. The breakfast – You can choose from 4 items. One can also ask for extra toast to add to the croissant.The fact that the sink is in the room didn't disturb me at all. The mattress on the other hand wasn't even &amp; not hard enough.  In another review it said that biscuits and free water were provided - I didn't get such addition but I did get a small fridge at my request.My room faced the leinster garden – there was no disturbing noise and I slept with my window open as far as it was able to open.I want to add that it is not permitted to smoke in the hotel and smoking was one of the reasons I chose this hotel (out of others as location, price &amp; information I read in the reviews) – it said in the description there are non smoking rooms but not that smoking is not permitted at all.This made me stay at the hotel as little as possible and as a solo traveler I intended to return not very late in the evenings and watch television in my room. There is a problem with the television – only 4 channels and not even BBC1. For a traveler that wants to see the news – it is a disappointment..	
Oct 23 2007 	comfortable and good value too!	I stayed at the Umi for one night, on my own, and I have to say I found it to be comfortable, welcoming, safe, clean and good value! I had stayed here previously when it was the Westminster, and it has now been brought up to date as the Umi. Yes, the floors are sloping and creak a little, but it is an old building and that's part of its charm! My room was at the back, perfectly big enough, flat screen TV, very quiet indeed - my only complaint was the clanking of the heating in the early morning. Coffee/tea/biscuits and free water all provided - I paid £54 for one night, which I consider a bargain for central London. 5 minutes walk from Bayswater tube station, 15 minutes walk from Paddington main line station. Reception staff were efficient and welcoming. I will definitely stay here again.	
Oct 18 2007 	A very disappointing stay	I stayed at Umi for 5 nights this past week.While I was expecting a budget hotel, I was not expecting it to be such a miserable stay.While the lobby and restaurant looks renovated, my room was very shabby. The furniture bottoms were shaved off to accomodate the sloping floor.The hallways and my room were VERY stuffy. I could not keep the windows open due to large swarms of bugs coming into the room. There was a cluster of lady bugs at the top of my window on the inside of the room. They roamed all through the room. My sheet was not changed even though I had dropped a sandwich on it. It stayed there even though it was apparently in need of changing.The people at reception were not friendly or warm. None seemed English and gave me the feeling of not being in London, and I seemed to feel I was bothering them. The only person to say 'Thank you' was me when I talked to them.There was a lot of noise, loud music all night from the flats across the street. There was yelling, and extremely loud music from immigrants and it kept me up for 2 nights. Literally it was all night and seemed violent at times with yelling between the flats.A lot of yelling which made the neighborhood an usafe feeling.I would not stay here again since I could likely find a nicer hotel for a little more money.I do not know why hotels do not insist of good customer service. It seems to be a thing of the past. Not the usual experience I've had in London before. Does not deserve 3 stars. 1 1/2 at most.	
Jul 12 2007 	disappointing...	This hotel has been renamed as &quot;Umi&quot; and I booked one of their &quot;Grove Rooms&quot; which was billed as their best rooms, with bathrobes, teas, welcome snacks and mineral water. (No mineral water or welcome snacks were provided in my room!)The room was shabby, but they had tried to dress it up as a more modern &quot;boutique style&quot; room. My biggest complaint was the shower. I expect a power shower in a hotel, not a domestic white plastic shower. The water pressure was appaling. I've never known anything like it! I didn't feel clean, after standing under the pitiful trickle and I wouldn't book this hotel for this reason only.It seemed like an old-fashioned, chain hotel which was well past its sell by date had tried to fix itself up a bit and relaunch, but the main areas they should have concentrated on were neglected. I'd rather they replaced the carpet or installed a decent shower as gave flavoured teas and bathrobes.The hall areas were dowdy and dull, a bit creepy actually. The lift was tiny and rather 70's in style with wood panelling.The girl at reception who checked me in was really nice, and all the staff was pleasant enough. There's computers with broadband (fee) in the reception area, and a coffee shop and nice lounge area with newspapers.It seemed like a lot of students and tour groups were staying when I was, but I didn't hear any noise.	
Jul 12 2007	Not as bad as it sounds!	Before I stayed here I was very unsure of this hotel by the reviews written. But i can honestley say it is not that bad, altough i did stay in one of the grove/superior rooms (These rooms are recentley refurbished). These rooms are just okay, they are basic but kind of cosy. We walked into the reception which is very nice, on the left is the breakfast/snack bar wich is also very nice, and on the left of the reception there is a lounge with internet access, further on is a lift to the bar and restraunt (underground) or up to the rooms.The rooms are quite small. the hall that leaded into the main part of the room was slanted, there was a door on the left leading into a small en-suite with only a toilet and a shower (no sink!). The sink was located in the main part of the room. The room had a terrible view looking onto the back of the hotel. The bed was quite comfortable but was small, and the rooms were quite hot. We had a nice flat screen TV but only had 4 channels. For breakfast there was a continential breakfast. There was a choice of cereals, fruit salads, muffins, croisannts, pastrys, tea coffee, juices etc. which started from 7am. Overall the hotel was not bad but would recommend booking superior rooms!	
Jun 27 2007 	Great for a London Hotel	I stayed at the Westminster at the end of May for 5 nights with my boyfriend. We were very happy with the hotel because we had heard some pretty bad things about London hotels. The rooms were quite small but we were expecting that, because in London you have to pay a fortune for a big room, but why does it matter because you're not spending much time in the room anyway (only sleeping and showering). The rooms were clean, the beds were comfortable and there were nice little things like dove soap dispensers in the shower and by the sink. The only thing i would say about the room was it was very hot all the time, they need to install ceiling fans to get the air moving. The breakfast was quite nice, also has the option of taking it away if you have an early start! Fantastic area, lots of restaurants and shops with Bayswater tube station a short walk away. I was also there on the morning of the fire alarm, but it's good to know they had a good evacuation plan, and we didn't mind the 4am wake up...it's better to be safe that sorry!! Anyway it made a very funny story to tell when we got home! All up this place was great for the price and we were very pleased with our first stay in London.	
May 29 2007 	This Place Is *Very* Hard to Describe"	I read the other reviews below, and I can understand how there is confusion about this place. It seems unusual for one small hotel to have so many different price points for rooms. There are business rooms (and business people) here. These are the rooms pictured on the hotel's web site. During my six-night stay, there were groups of American high school students traveling with chaperones and some American college kids. They seemed to all have been placed on the upper floors. Families and regular tourists seemed to have been placed on the lower floors. That's where my room -- room 224 -- was located.Some folks I chatted with stayed here because (1) it is very safe (2) it is bug-free (3) there is a not-too-bad free breakfast that lasts daily until noon (4) it is within walking distance of dozens of restaurants of every possible cuisine (5) the #70 &quot;red bus&quot; stops at the corner (6) two different underground lines are within easy walking distance (7) there is a &quot;we're all in this together&quot; camaraderie among the guests -- some of whom moved out after a 4am fire alarm we had on May 28th.This makes up, somewhat, for the small rooms, the squeaky floors, the cramped ensuites, and the smell of burnt timber noticeable in some parts of the hotel -- and even the broken window sash in my room that I propped open daily with a coffee mug.The nicest things I can say are that this hotel is filled with 'personality' and that I met some really great people here. I'm sure some will be back for another stay. Me? I'll have to think about it.	
May 8 2007	Not So Great	I was there 4 nights in April. As another reviewer observed, the single rooms are extremely small and the tv reception is very poor. To this I would add that the furnishings in my room were tired and worn, nothing remotely fresh about it. You should not believe the website room descriptions are necessarily accurate. I should also mention that my room faced Leinster square and there was a lot of street noise from rowdy people carrying on all night.It's not all bad news. The location is pretty good with access to the tube, pubs, and dining all within easy walking distance, and overall the neighborhood feels safe. Also, the hotel appeared reasonably clean, and the staff reasonably friendly. For what I paid (via hotwire) this hotel was probably a fair value at US $85 per night. That's not much for London.Photo 1 - Shows the room as viewed from the entry door. En suite is on the right and a small freestanding closet on left out of camera view. Photo 2 - Shows desk made from a board and what appears to be a shower curtain rod. Note frayed upholstery on chair. Taken from en suite.	
Apr 27 2007 	Dont trust their website	Booked a single room in this hotel after checking the hotel website. Rooms shown as nicely decorated and text says all room warmly decorated and comfortably furnished. Not my experience. The room I was allocated on arrival was like a corridor, the ensuite really small, mould on the sealant of the shower. The receptionist had told me when handing me the key to dial 0 if there were any problems - should have got alarm bells ringing I guess.I called reception and asked for a different room, they sent someone up I told them this is not what I had seen on the website, she showed me to another room which was a bit bigger, the ensuite was even smaller than the last though, not big enough to accomodate the basin so that was in the bedroom, I could sit on the loo and put my feet in the shower, not bad as I am only 4'11&quot;. Was minus the mould though.Both rooms were painted cream/magnolia over lining paper, anything but warm and far from welcoming. The television reception was so bad not able to watch it. Complimentary tea and coffee ok if you only wanted to have two drinks.The front of the hotel looked different on the website, that showed hanging baskets but nothing like that in reality.Over all a real let down.Perhaps their double rooms are better. I do not normally travel alone and if this is the general standard of single rooms people are getting a raw deal, and are paying more. It was only a one night stay, but even so I felt that they had misrepresented the type of accomodation they were offering. I know they say you may not get exactly the same room as in the photographs, but hey this was so far removed as to look like an entirely different place! Wouldnt recommend this hotel. I have made my views known on their visitors feedback, be interesting to see if I get any contact from them - would show whether or not they take customer care seriously.Be warned ring and check what the accomdation is really like in relation to website.	
Apr 13 2007 	Excelent service 	Myself and my girl friend just came back from a weekend break in London, we stayed at The Westminster Hotel in Bayswater, the hotel was exseptionally clean and tidy althought it is a 3* hotel it felt like a five star, all the staff are so friendly and helpful, they really can do anything for you from booking theatre tickets to getting your laundry done the same day. Breakfast was excelent offering fresh pastries, fruit salad and a great tasting cappachio, It really is amazing to stay in such a friendly enviroment were nothing is to much hassel, its amaizsing to see a 3* hotel offering such great service and standards at such reasonable prices, I would recommend this hotel to anyone.	
Feb 11 2007 	Good Value	nice and quick check-in ,staff are very friendly . Good breakfast and excellent location.Will certainly go back	
Dec 22 2006 	The room smelled badly!	The first room we got, smelled badly and had damp/humidity in the walls. The window didn't work properly - and was some places it was covered with mold. :-( We asked in the reception, to get a new room - but the hotel was fully booked. Our first night at the Westminister hotel, was a bad experience. Because of the smell, we had to sleep with the window open all night. The next day, the housekeeper moved our luggage to a new room, with was mutch better.More generally: Good breakfast, but we missed a darker/more heathy bread alternative. The service was ok. The nightguard was really nice, the rest of the staff could have smiled a bit more. :-)The standard of the buidling is poor. The lobby and restaurant is ok (newly renovated, it seems), but the rest of the hotel is a bit shabby. We had problems with the toilets and the shower - everyting is quite old.Awoid room 204!! Next time we visit London, we will try another hotel.	
Dec 4 2006	Cute!	Charming!Stayed at the Westminster last week on vacation with my wife and found the hotel to be much larger than I had imagined. Great size room (Grove Double) with robes! The lobby/bar area is recently renovated with plasma screens &amp; a coffee/alcohol bar where a delicious breakfast is served each morning from 7-11. Also a great spot to unwind after walking all day.Pros: location (Notting Hill), charm, decent size room, priceCons: small bathroom, a bit smokey (for families), kind of hard to find initially (all the building are in the same style)Would definitely stay there again for the price and the location.	
Nov 27 2006 	Great Weekend	Had a really great stay at the Westminster. Friendly staff, clean rooms and great value (London prices that is!). Would definitely stay again. Really enjoyed the breakfast, the coffee was great (so nice to have good coffee in a hotel for a change!)	
Nov 24 2006	hairball in window!!!	hairball in window!, rotten milk! and that was in the first 10 minutesrun by russians, with non- english speaking staff! room was OK, clean (except for hairball), beakfast was goodbut expensive, but then again its in london!	
Nov 14 2006	Not all that great	Felt like I was staying in somebody's bedroom in a house rather than a hotel room. Tiny rooms, very basic bathroom. No AC. Most disappointing though is that their website makes it look like a boutique hotel where in fact it's a series of coverted Victorian row houses!!At least the breakfast was nice, even though it was in the basement.The location is great however. 5 minute stroll from the Tube, lots of nice restraunts close by.	
Nov 12 2006 	do not pay full price	I paid £70 for one night stay, supposed to be half normal price. On arrival at 2pm room still not ready, the room allocated was small and in need of decoration. The on suite facilities consisted of a tiny room with a toilet and a rubbish shower in it. There was a washbasin located next to the bed in the main room. One of the main reasons we booked the hotel was that it had a bar which was open until 1am, we were going to a concert and wanted to wind down on our return. Unfortuantely although there was someone on reception,they refused to walk the ten yards to the bar in order to serve customers. The barman had decided he no longer wanted to serve customers and just shut up shop.	
Nov 8 2006	bed like a buckboard	Reservation was not on record although I provided the confirmation document. We waited over an hour for the room while front desk contacted the travel agent. I guess they didn't want to welcome us while they checked out the error. Worn, tired, creaky room. 12&quot; TV with only a few channels. Raised, slippery tub with no shower curtain. Cracked linoleum.But the worst was to come . . . the bed was a slab mattress with a thin covering and no padding at all. We had to re-make it and use the duvet as a mattress cover then request blankets for warmth because. . . there was no hot water or radiator heat for 2 of the 3 nights. The front desk had posted a sign that the boiler would be repaired between 11 and 4 pm. I guess the repair was not a success. They finally let us shower down the hall. They did NOT offer a room change or offer any explanation other than they were working on it and in a half hour the water would be ready. It really ruined the London visit. And it was not a cheap hotal at $180 per night. I've wrote a complaint to the travel agency. I doubt anything will be done. It was worth the price of a campsite: $20 per night. The front desk was polite but useless.	
