	Great location	Just returned from 2nights stay at this hotel. About 10minute walk from London Bridge and Southwark Underground stations. We visited the O2 arena and a London theatre during our stay and found it a great central location which was very easy to get to.We arrived early on the day of check in and had hoped to leave our bags so that we could go on to our destination but check-in staff were really helpful and found a room available for us to check into immediately (at 10.30am). The room itself was great. Not the biggest but the bed was comfortable with fabulous black out blinds. Road outside was fairly busy so would suggest bringing along ear plugs unless you're used to city traffic. Continental breakfast was great with plenty of variety-we didn't find it necessary to upgrade to the full english but this is an option if you want. Also had an evening meal at the hotel-great value food and drink especially for London. Plenty of main courses for under £10 and very nice too. Other reviews have said that there isn't much nearby but Bourough market has plenty of lunch options while there is a high street about a 5minute walk away with plenty of different restaurant options. Staff were very friendly and helpful during stay. Would definitely stay there again and would recomend it especially for anyone arriving into London via Waterloo or Kings Cross national rail stations due to convenience. Kepp an eye out on their website as they are running offers for weekend stays!	
Oct 10 2007 	Worth Your Consideration	Stayed here in a double for six nights in early October 2007. No real complaints, and nothing to get really excited about. Prices varied per night but averaged about 110 pounds.I was in a fifth floor room at the back, away from the street. The room was very quiet, although I did hear a nightly series of loud thumps apparently coming from the restaurant/bar on the sixth floor. Folks along the street side should understand that traffic along Southwark Bridge Road, while very real, is considerably less than traffic in the West End.By American standards, the room was small. By London standards, typical. The decor was unoffensive, but struck me as something out of Office Depot. The bed was firm and comfortable. The pillows, all four of them, were OK but a little hard for my tastes. The only chairs provided were two small thinly padded chairs pushed up under a narrow desk laid out underneath the window. Closet and shelf space in the wardrobe was adequate for me but might challenge a couple. There's really no good out-of-the-way place to store your bags, though.The bathroom was bright and big enough. No tub, but the shower was great: powerful and as hot as i wanted it.The room offered a small TV located on a bracket up in a corner. Several pay movie channels and a small handful of BBC, ITV, Sky, and Channel 4 offerings were available. Fine for a quick check of news and weather before leaving in the morning.The AC/heating seemed pretty feeble to me. The heat eventually took the chill out of the air in the evening, when the outside temps dropped into the 50's. The unit would not be adequate on a real winter's day. The bed had a comforter, but no top sheets or blankets. As noted elsewhere, the window did not open.Staffers were competent and willing to please. The restaurant is a small narrow affair on the sixth floor, and includes a tiny bar. Didn't eat there, but I'd guess you wouldn't need to make a reservation since it didn't seem busy. No room service is offered.The restuarant offered 3 different breakfasts: a continental, an English breakfast, and a veggie version of the English breakfast, priced in the 10 pound range. Oddly, the continental was available only by prior arrangement, but was offered free if you ordered the veggie breakfast.The hotel is located a few minutes walk from the London Bridge Underground and railway station. In between is the Borough Market and several coffee shops, which are a better bet for a light breakfast. The Novotel immediately adjacent has a cafe, which might be worth trying.Pubs and such are sparse in the immediate neighborhood. The best bet for catching a snack or a drink seems to be the Borough Market area.All in all, this hotel seemed like a good deal given current London prices. If transported to the U.S. it would be seen as an economy hotel along the lines of a Comfort Inn. If you are looking for such a place outside the noisy and crowded West End, it's well worth considering. However, if you are looking for something plusher and fancier, understand that you won't find it in London at these prices.	
Oct 8 2007 	Fancy! Funky! Fancy!	We found the hotel lobby/restaurant/guest room design very funky &amp; the art work by some Japanese artist were very impressive. The corridor lighting was stunning. However, the air-con did not work as we liked so the room was a bit warm.. Can't open the windows too as it was over-looking the road (which was a bit noisy). No room service at night, but we managed to get some ice in the top floor bar. No minibar too but we did not mind it at all as we were out most of the time anyway but it'll be nice to have the option. Very central.Service was kinda rushed in Front Desk &amp; the Bar although the lady at the desk (think her name is Katie) &amp; the male manager (probably Front Office Manager or Security Manager) were very helpful. Was happy with the hotel all in all.	
Aug 20 2007 	Not artsy... just fartsy.	THE REALITY: If you're looking for a soul-less hotel that feels like a medical ward in a semi-convenient location then this is the dream bargain for you! We stayed here for (prepaid) 5 nights and were initially assigned the now infamous handicapped room. We returned to the front desk and they moved us to a smoking room without telling us. Stained yellow drapes.... seriously. Back downstairs... they finally found a &quot;suite&quot; to put us in for the night, telling us we would have to move the following morning. Nice attempt, but.... Ugh. The &quot;suite&quot; (and all of the rooms) were lousy and on par with a roadside motel in New Jersey. Hanging up partially clad shots of an asian artist does not make the place artsy... it's a band-aid on an axe wound. The &quot;included&quot; breakfast was lame and they charged for burnt lattes. No free wireless (what is this 1998?). We spent $100.00 just checking our email. The rate seemed decent, but after a little more research, we found an abundance of classier alternatives. THE GOOD: The staff did try (after being prodded), but were often tied to the grim realities of this lame hotel. London is VERY expensive, but next time we'll do better... MUCH better. STAY AWAY!	
Aug 17 2007 	Great weekend	We recently stayed at the Southwark Rose for 3 nights. Great to be within walking distance of great places such as the Royal Festival Hall where we saw Carmen.The room was fine although traffic noise audible, our only disappointment was the restaurant. The room itself was lovely and our waitress helpful, but the food was diabolical I wouldn't even describe the person in the kitchen as a cook let alone chef! My husband foolishly agreed to have the soup of day CHEESE !!! I knew he was asking for trouble and he was it was inedible.Needless to say we dined there on the first night only. That said I would recommend the hotel to friends as the tube was near by, bus tours and places of interest easily accessible. We had a great weekend.	
Jul 22 2007 	You could do a lot better for the money in London	I was allocated a disabled room, with handles everywhere, low switches and emergency buttons and cords. The bathroom, for this reason, was also fitted out for somebody in a wheelchair. My room also featured badly noise-insulated interconnecting doors - great if you need these facilities, not so great if you don't. This would make for a very &quot;functional&quot; room if you are a disabled traveller.Tiny TV 14&quot; up in the top corner of the room. Couple of light stains on the duvet cover. Cheap and nasty toiletries that neglected to include anything you could remotely identify as shampoo. Water pressure in the shower was not great either.Continental breakfast included the cheapest cuts of meat, lots of processed cheese and a coffee served from a machine. London has some terrible hotels - this is certainly NOT one of them. For me, it's a last resort if none on my preferred list of hotels in the area are available.	
Jul 12 2007 	Great Hotel near Central London	Staying in London in a couple of hotels traveling for business on my own (£110 – 120 a night excl. breakfast and always noisy) the Southwark Bridge hotel was a relief.I would recommend this hotel and I definitely stay here next time I am in London.The hotel: £80 on a Sunday nightA modern furnished and clean hotel, near the Thames in a safe neighborhood. Even the elevator in the hotel is secured and can just be used by hotel guests with a smart card. Hotel staff: normal.Although the rooms are on the small side they offer you all the comfort you’ll need; a clean, modern en suite with a good shower, a nice bed with a duvet (no ‘doubtful’ blankets), an iron board and a safe deposit in your cupboard. Rooms have air conditioning, which can be switched off. The electric blinds which you can operate yourself from within your room are just fancy; I rather would have had real blinds…, without the electrics…… The windows of your room can be opened just a little. Although the main road in front of the hotel is rather quiet; I had asked for a room at the back of the hotel, with seemed to have a nice view on the London tower.The wifi connection to the Internet at the hotel room is restricted and secured by T-Mobile, which I think is disappointing. At the sixth floor, where the bar and restaurant are located, you can find two PC’s with a free ‘live’ Internet connection and a printer; nice to know if you would like to print out your boarding card for the next day? Unfortunately I have found this out the next morning when I enjoyed a continental breakfast (£9, Monday morning)Getting thereAlthough someone advised to take the Circle line form Paddington to the Mansion house station, it took me some time to get there.Perhaps taking the Bakerloo line until Charing Cross and then transfer to the Circle line to Mansion House is quicker?Leaving Mansion House station and then turn right and right again is the quickest route I quess. I turned left and left again and walked by the Millenium Bridge to the South bank of the Thames; two hundred meters to the left I was on the Southwark Bridge Road again.From the end of the bridge it’s a four hundred meters (2 minutes) walk to the hotel and on the left side of the road you will find the hotel. What I have learned from the reviews; don’t let the distances mentioned distract you upfront; it often is just a little walk.Tip:If you want to travel to the e.g. The Tate Gallery or Waterloo Station just take a boat trip organized by London Transport.The first pier east of the Southwark Bridge (100 meters) offers you several boat trips from 10AM.I took the Tate to Tate (From Tate Modern to The Tate Gallery near Millbank and it cost me £4; a nice boat trip and a wonderful view of the banks of the Thames and especially the Houses of Parliament. For maps and other travel information go to: [-]Southwark information:[-]Enjoy London.Maarten	
Jul 4 2007 	Lovely modern hotel	If you are visiting London, this hotel is the perfect location. You can walk to almost every major sight: London Eye, Big Ben, Tate modern... It is all within a 20-25 minute walk.The hotel staff was very friendly and very helpful. Stayed in a suite room... The sitting room had all you need for a night in and with the kitchenette area, you had all you would need when comming with children.The shower was wonderful - very strong water pressure and big shower heads.The rooms are very well insulated... we had a room facing the main street, but could not hear any street noise (the blinds make your late morning very nice and cosy).The breakfast was very good. It was not included in my price, but for only 9.95 per person for full english - it was really worth it!I would stay hear again... The hotel is very clean, rooms good size, staff very friendly and again, modern and new!	
Jun 14 2007 	Great little spot	Delighted to have found this great place which for us made the perfect bolthole in London. Reception staff were very friendly and helpful. The room was a bit on the small side but well laid out and had everything we needed. Great opportunity to visit the nearby Borough Market with plenty of stuff for foodie fans and there were plenty of cafes etc for eating just over the road and around Southwark Bridge. Two mins walk. St Paul's etc very walkable too. Made a change to be staying in a part of London that wasn't in the heartland of tourist hotels. Will return	
Jun 8 2007 	Clean modern comfortable handy to South Bank attractions.	The Southwark Rose Hotel is perfectly functional with modern décor, clean, comfortable accommodations. Quiet rooms. It is great for art lovers as it is just a 5 minute walk to the Tate Modern, Globe Theatre and other South Bank attractions. We also discovered, to our great delight, the Borough Market, open Fridays and Saturdays and just a short walk from the hotel; all manner of foodstuffs, much of it organic and artisan made products, fresh produce, in short - a great food spectacle. Plenty of pubs around but not many really good restaurants, so it's fine if you like pub food. Note: England is going smoke-free on July 1.On the downside: The breakfast at the hotel was greatly overpriced and the prices seemed to change often. For example, on a Monday a mediocre continental breakfast would have cost us £8 each, in dollars that's $16. Weekends were a little less. Instead, we went to a nearby coffee specialty place near the Borough Market that had excellent homebaked breads and pastries.The hotel was not really handy to a metro/underground stop. There are several but they were all some distance. An all day pass and bus maps got us where we wanted to go and it was much more fun to see London from the top of the double decker buses.We found a good deal for this hotel by shopping around hotel websites, but be sure you check if the prices quoted are in pounds, dollars or euros. Be sure to visit the magnificent (and free) British Museum. And always, always bring comfortable shoes.	
Jun 3 2007 	Absoultly Fab!	Lovely hotel, fab location great food, great bar, clean modern, and clean rooms and bathrooms, Great location for the shows.Definatly recommend this hotel.	
Jun 1 2007 	Great value and good quality in London!	It's rare to find a hotel in London that is good value for money and is an honest representation of its rating (3 star). I could not fault the room - it was a good size and clean. I asked for a quiet non-smoking room and was not dissapointed.I got a good rate through centralr.com for one night (£90) and got an even better rate at the desk when I extended our stay for an extra night (£68 - although they had to be gently persuaded). Car parking worked out at £14 per day (round the back - access from Thrale Street).We did not use the restaurant, but the small bar area was smokey (roll on July 1st when England bans smoking in enclosed public spaces!). You can get breakfast in the hotel for an extra charge but we walked round the corner to the Bramah Tea museum (Southwark Street under the railway bridge) and had tea and toasted teacakes there. There are a few other places around borough market as well.We stayed at the Southwark Rose for easy access to the Tate Modern, but the main South Bank attractions are only about 20 minutes walk along the river.We will certainly stay there again.	
Apr 27 2007	Nice accommodations - surly staff	We stayed at the Southwark in June of 2005 -- the rooms were spacious and the bathrooms the largest of any of our accommodations in England. Everything was quite clean. But... the front desk staff was unfriendly bordering on rudeness. Simple questions were answered brusquely and dismissively. Hopefully in the ensuing time this problem has been solved, as the location and accommodations are terrific!	
Apr 20 2007 	Recommended for short business stay	Chosen for its proximity to Waterloo station, the hotel was good for a single night business stay.Check in was fairly quick, although the double I'd booked the week before wasnt available so had to be content with a two single bed room. Although clean, the room itself was small and not particularly inviting. Definitely not a room you'd want to linger in after a late night out with breakfast in bed. One big plus was the surprising availability of cabs at 05:30 for the short drive to the Eurostar terminal at Waterloo.Ultimately I'd recommend for a short business, or good budget touriststay. This may well be a boutique hotel, but its definitely not of the 'hip' variety.	
Apr 1 2007 	Modern and minimalist.	A second recent business stay at the Southwark Rose. It is hard to find a quiet hotel in London - but stay in a room at the rear &amp; you will find a quiet night. Food is plain, home cooked with a limited menu choice, but plentiful &amp; tasty. Staff a little frosty &amp; the place lacks any character. The facillities are basic but okay for a one night stay. Overall a sterile feel to the place - no atmosphere - but no complaints either.	
Feb 12 2007 	No blankets no wake up call no service	I generally don't ask for much from a hotel, and I have traveled all over Europe. But the Southwark Rose sinks to new lows, unworthy of a hotel in a capital city. The rooms actually are quite nice and the beds very comfy. But the front desk neglected to give me my wake-up call the first morning and were unapologetic about my missing an important business meeting. When I requested a blanket that evening, the staff took my information and never brought a blanket or told me it was not coming. Much of the staff has only a passing knowledge of the English language so communication is dicey. I would recommend the hotel only if you are entirely self-sufficient and in need of a bed and shower only. The breakfast is inedible and the location is pretty remote.	
Feb 12 2007 	great stay at the Southwark Rose	I stayed at this hotel for 3 nights for a theatre break . We arrived at Heathrow and on advice from a trip advisor member we took the Piccadilly line changed at Hammersmith to the district line and got off at Mansion house. Take 2 right turns out of the station and walk over the Southwark bridge the hotel is a five minute walk after the bridge .If you are worried about getting lost this is the most straight forward route.Check in was quick and easy and i had a non-smoking room on the second floor.The hotel is very modern the rooms were on the small side but spotlessly clean which in my view is more important than a huge room. The bathroom was equally small but the shower was brilliant. We had a continental breakfast which was the usual type of food, cereal, toast etc we never had to queue for breakfast despite the hotel being busy. This has to be one of the quietest hotel rooms i have ever stayed in despite our room facing the road we heard very little noise, none of the usual door slamming and dragging of luggage.As for eating out in the area there are several restaraunts on both sides underneath the bridge. Pizza , Greek and Portugese to name a few. If you are looking for a hotel in the centre of London then this hotel is not for you but we were happy to walk and use the tube system which was very easy to follow. Overall i would denfinately use this hotel again and had a lovely break. We went to see The Sound of Music which was excellant.	
Jan 30 2007 	Ok bit of a mess up with the booking	This review could have been better. We booked this hotel for NYE and booked it well in advance at a special rate. When we checked in they tried to charge is the standard rate which for NYE was a lot more. The girl on checkout tried for a short while to say this was the rate and we had to pay it but the manager did amend this hassle free shortly after.Then when we went to our room and discovered they had given us a smoking room when we booked non-smoking and it stank so much (anyone who doesn't smoke would know the thought of having to sleep in a smoking room is not nice)We went back to reception to change rooms and were told that all the non smoking rooms were booked and all that was left was smoking so we had no choice but to try another room and see if it stank as bad as the previous one. We had to make do in a smoking room which is not good if you don't smoke and I was not impressed by this.Other than this the hotel is fine, lobby is nice and rooms are ok, the bar on the 6th floor is nice.Location is good easy walking distance from the tourist attractions.I would probably not stay here again, club quarters in St Pauls is half the price and the same standard.Although this is a negative review don't be totally put off the hotel is clean and location good and if you get a good rate it would be fine!	
Jan 16 2007 	Modern hotel	We stayed at the Southwark Rose for 1 night while on a theatre break. The reception area was quiet and modern but the staff were not particulary welcoming. The room was quiet but pretty small. The bathroom was lovely with very good shower. The beds were very hard! Overall we enjoyed are stay and we had a good deal from superbreaks. I would however stay nearer to Covent Garden if I were to come again.	
Dec 20 2006 	Superb Stay	Stayed here at the beginning of December and absolutely loved the hotel. I had booked it for a group of 12 and everyone was delighted with the choice. The rooms were spotlessly clean and ideal for us, particularly as the price was so reasonable. We ate in the restaurant and the food was good. The staff were all friendly. Would definitely stay here again.	
Dec 11 2006 	Usurped	I would like to give this hotel a positive review but I can't. When we arrived to check-in we were told that the hotel was overbooked by 20 rooms, the reservation had been made 2 months earlier.We were marched to another hotel that was not our choice. This incident was very disappointing because the hotel had been selected for its good reviews on Trip Advisor.Confirmation of a booking is no guarantee of a room in this hotel!	
Nov 3 2006 	Modern and Convenient Hotel	We stayed here after reading the reviews and were not disappointed. The hotel was modern and clean with helpful staff, not that we had to bother them much. It was in a great location - A couple of minutes walk to the Tate Modern on one side and London Bridge station on the other side. My only criticism would be that the rooms were on the small side but we didn't spend too much time there, too busy sightseeing.	
Nov 1 2006 	Not bad for London	We booked directly with the hotel as it was the cheapest quote. Overall, i think it was fair value in a good location. Pity about the lack of parking facilities and the breakfast was mediocre but otherwise it was okay. The staff were a bit lazy and unhelpful but, overall as far as London hotels are concerned it provides good value in an okay position for anyone either doing business or visiting central London	
Oct 28 2006	Clean and neat	Booked this hotel for 1 night having read the reviews here. A lovely hotel. Very clean, staff very hospitable, breakfast very good. All in all, an excellently priced hotel and would stay there again.	
Oct 15 2006 	Great location and fantastic value for money	I booked this hotel after reading the reviews on here - it was for a surprise trip to London for my boyfriend's birthday so it needed to be great, but also within a certain budget. Well, it was even better than I expected, especially for a 3 star rated hotel. The staff were courteous, although we didn't really have to say much to them other than to check in and check out. At breakfast, they were fairly brisk, but not impolite and I noticed that they were very helpful to other guests who did have queries.The room itself actually looked exactly like it does on the pictures (I was beginning to think this was unheard of) - it was clean, and spacious and the bathroom was clean and well designed. The shower was excellent too (i've never used such a powerful shower in a 3 star hotel!) The blackout blind is a thoughtful and useful touch to the room. I found it to be nice and quiet when we got back (at about 2.30am) and with the blind down a restful night's sleep was easily achieved.We didn't use the restaurant other than at breakfast time so I can't comment on the general menu. However, I highly recommend the breakfast - the continental breakfast was varied and continually refilled, even near the end of the breakfast period (which incidentally runs to 11am at weekends, which is gratefully received when you stay out until the middle of the night!) My boyfriend turned down the offer of upgrading to the full breakfast as he'd assumed it was also served buffet style (we've had this happen before, and it really wasn't worth it, very poor quality) but we later discovered it is actually cooked to order and looks delicious, so if you're tempted, from what other reviewers say too, then go for it!I had initially worried about the location but it was actually fantastic having great access to London's South Bank, the London Eye etc, and it didn't take too long to walk into more central areas of London. (So it's a great spot for seeing London as a tourist) It is also only about 5 mins walk to the London Bridge tube station which of course means you're instantly connected to the rest of London anyway.I recommend this hotel very highly!	
Sep 22 2006 	worst hotel I have ever stayed in in London over 25 yers	Welcome: very poor; it was 30degress outside, I was struggling with luggage through the revolving door only one working) three healthy young women in reception watching but not helping (I am 60). Another guest had to help me. When challanged on this hotel management said they don't provide this service (it would mean the tarriff wouldhave to be increased!) but &quot;staff would help if asked&quot;. This was not my experience.Dealing with problems: There was a phone charge on my account for four minutes to a number I did not know. As a matter of principle I do not use hotel phones: I prefer my mobile. When this charge appeared I asked to have it investigated. instead I was told that I was in the room at the time and their rechnoolgoy was never wrong: so I would have to pay. The other technology advantage they advertised were in-room safes. The safe in my room did not work. On enquiring I was told that it had stopped working some time before and they decided not to re-activate it in case it failed again.!!Management of the complaint: Dissatisfied with the attitude of the staff and my experiences at checkout (the phone bill and the implication that I had lied about the phone) I asked to see the Manager. He was too busy to see me then; I offered to return later that day, my plane left that evening, but he would be too busy to see me at that time too!!Finally on my return home I lodged a complaint with the booking agent; after three attempts to get a responnse and weeks later, I was told (not by the elusive manager, but one of his staff) that I should have asked for help and that because I was in the room at the time I must have made the call. (Is it possible that I can make phone calls and not remember?)The hotel was clean and the ariconditioning worked	
Jul 24 2006	Had a lovely stay at the Southwark Rose	We were visiting london for the weekend and booked this hotel online via their website. It was below average price for b&amp;b in central london and also offered VERY cheap parking.The hotel is verystylish and modern. The staff are helpful and efficient, and we had a swift check-in and check-out. The rooms are small, but have everything you need, including electric blinds (very exciting!) and steam free mirrors in the bathroom!The bed is lovely with a giant square pattern headboard. It is very clean, well kept and very inviting. We were going for tea at the ritz so were only going to have a small breakfast, but with the massive selection ot tasty cold meats, cereals, yoghurts, juices and spreads, we ate a huge breakfast - it was delicious!Would recommend as a romantic break, or just as a place to stay in london. Oter reviewers are right,. its not that central, but it is only 2 minutes from london bridge tube station so we had no problem getting around.highly recommended - book on their website for discounts on rates!	
Jun 12 2006 	Clean clinical modern quiet	The Southwark Rose is located on Southwark Bridge Road, which is quite busy but is surprisingly quiet after about 10 PM. If you want guaranteed quiet ask for a room at the rear of the hotel. The hotel is well placed, but a little out from the main attractions, but good tube &amp; travel comnnections mean this is not a problem. Reception staff are coolly efficient and the whole place feels like a modern private hospital - clean, clinical and no frills - no real ambience - but high quality and peaceful . Food is good, plentiful and freshly cooked. Overall a quaity place - if you are on business or visiting and want quiet, quality accomodation with a bit of class you will be well satisfied here.	
Apr 29 2006	Glad we stayed here. Great location for the south bank.	We don't mind a bit of walking so this hotel was ideal for us. Modern /quiet /clean/near enough the National Theatre to walk back at night. The walk way by the Thames was pleasant at all times of the day or evening. I'd stay here again. You may upgrade from the Continental breakfast for £4, and get the cooked breakfast which was different from anything I had seen before. Almost a work of art with a frill on top!! In the middle of the plate you have a scewer of gammon steak, steak, and a huge cumberland sausage which was delicious. All sorts of breakfast items served with it. More a main meal than a breakfast. Would be adequate for anyone. We went back to the Continental for our 2nd and third morning, it was very good too. As others have said the bed is very firm, but not a problem for us. We found the staff very nice and attentive. I would recommend a visit to the Gilbert Collection at Summerset house, I drooled over the fantastic collection of ABOUT 200 jewel encrusted snuff boxes for ages. The history behind some of them was captivating. The Collection is on the opposite riverside from the hotel just a short distance from the actual Sommerset house entrance. the building in the photo is worth having a walk round. It's nicknamed the Gherkin, actual name 30 saint Mary's Wynde. The other location was within reasonable walking distance to the hotel, I think it tooka leisurley about 25 minutes.	
Apr 13 2006	A Gem	Just back from a fantastic weekend in London.The Southwark Rose Hotel is a lovely clean and friendly hotel.The room was immaculate and the breakfast is well worth the £8.99 for buffet style which includes full fry.All the tourist attractions are within easy walking distance and the tube and train station are also so close.Would highly reccomend this hotel and we are looking forward to our next visit.	
Jan 30 2006	Amazing Value; Not Perfect	Unlike the previous reviewer, I did not think that the location of the Southwark Rose was too inconvenient. If I wanted to be right in the middle of things, I would have shelled out the extra 100 pounds to stay there. Instead, the Southwark Rose is a clean, contemporary hotel in a quiet area within easy walking distance of the London Bridge tube station. All at an unbelievable value (we paid £105).I found the staff to be friendly enough (the girl at the desk remembered later at checkout that I had mentioned that my last visit to London was 20 years ago and she asked how my most recent visit was - a nice touch), but not over the top good. Pretty consistent with this type of hotel and star rating.As I expected, the room was small but comfortable. The finish out was modest and contemporary - with a simple and clean stylishness to it. The door to the bathroom was cleverly done such that you could close off only the toilet or the entire bathroom depending on the level of privacy demanded. My only nit was that the TV was tiny and the channel selection was pretty limited. But since I did not go to London to watch the TV, I really cannot complain.Okay, so the Soutwark Rose is not perfect, but for all that it offers at a 50% relative discount to similar quality hotels in the city, I will stay there every time I return to London.	
Jan 28 2006	Decent enough hotel shame about the location	We stayed in this hotel for a weekend out in London, for 6 people.The hotel is pretty decent. Decent room size (for London, anyway), decent bathroom with a good shower, decent staff (they were fairly pleasant to us, we didn't experience the problems of other members).The room, decor and experience fits pretty well with its 3 star rating. I'd say that's quite accurate.However, the biggest problem for us was the location.It's a 15 minute walk to the nearest tube station which may not sound a lot, but it's a pain in the rear when you want to go out shopping or out for the night, when the tubes close at just gone midnight or you have a load of bags to carry back to your room.It's right near the Financial Times building, and the area is DEAD (although, if you follow the stairs down next to the FT building, there's a nice restaurant area with a Nandos and a few other trendy looking places).If you want to be in the heart of the action- and by that, I mean Leicester Square, Picadilly Circus, Oxford Street, etc- I would not recommend this place unless you like walking or don't mind calling a cab everywhere you want to go.All in all, it'll take you about 30-40 minutes to get to each of these places with the walking, the tube changes, etc. Again, this may be fine for some people- but for a group who just wanted to go out shopping and out for the night, it was a bit of an inconvenience.The hotel itself is decent enough, but there are a few niggles that were a little frustrating...1. Using the Internet wirelessly was very expensive- 13 pounds for a 24 hour pass. That's about $20-- and the connection was VERY slow, too... almost dial-up at times (they have free Internet access upstairs using their own computers, though-- but it's not the same if you need to download your email or work from your own laptop).2. There was no room service. They DO have a bar/restaurant upstairs, but that stops serving their full menu pretty early- and up to 2am, you can only get chips, onion rings and other crappy foods.3. Their restaurant service in the early evening was STUPIDLY SLOW. My friend and I ordered a burger- and with just 1 other table occupied in the restaurant, it took them *45 minutes* to bring the food to the table (and even then, they forgot the side orders-- which took an additional 15 minutes).And believe me, the food was NOT worth waiting for (or the 30 pound bill that came with it!)4. The rooms was decently decorated, but there were scuff marks on the walls, and little things like the toilet roll holder hanging off its hinges annoyed me. These kinds of things should be checked regularly and resolved- it's not a big deal.5. The staff messed up my reservation. I told them, via phone (twice) and during check-in (a further 2 times) that we wanted 1 double room and 1 suite for the first night and 2 doubles and 1 twin the second, because another member of our party was coming that 2nd night and it made sense.A fairly simple request, you would think, but it caused a great deal of confusion for them. They asked me to a) phone them to confirm this, b) confirm this via email... and then on the Saturday morning, two of the rooms still got calls to check-out, when I had told them 4 times previously that we would be simply switching rooms and NOT checking out until the Sunday.They charged it all to my card, as requested, and the amounts were eventually right-- however, when I got home, I received an email saying that 2 of our party didn't show... how they came to that conclusion, I have no idea.Overall, a decent enough hotel with fairly decent rates (we paid 75 pounds per room, per night- except for the suite, which was 120)-- but the location and the room for improvement would very likely mean that I won't be returning there in the future.	
Dec 27 2005 	Modern and confi but with awful staff	A very modern hotel South of the river in what used to be a run-down neighborhood some years ago. The area still keeps its dark side in some parts but one is very close to the Tate, the London bridge and Waterloo. My wife and I felt very safe walking from the tube to the hotel at night, with just a couple of weirdos asking for cigarrets, but nothing different from NY or Chicago. I always stay nearby the Soho while travelling for business, due to the proximity to my office, but most hotels over there are just outrageously expensive for what you get. The Rose is modern, well located, clean and confortable. Sure, the rooms are not as big as one is used to in the US, but excellent for London standards. The restaurant is quite good for a couple of days if one does not want to dinne outside. In summary, a fair deal. The only caveat: part of the staff is very unpolite and not at all helpful. Also the service tends to be very slow and not corteous when they are under pressure. But, if you do not need to talk to them, who cares?	
Nov 17 2005	near the tate modern	A great hotel at a great price (buy via lastminute) very convenient for the tate modern 5 minute stroll along the thames. The room was modern very clean and had everything we needed. As with alot of hotels the breakfast is overpriced if you just want the basics - but you can get that somewhere else.	
Nov 2 2005	Excellent value	Stayed for 2 nights this last weekend.I chose this place based on previous reviews here,and that it was cheapest,65GBP per room,booked direct with hotel.Modern,clean hotel,easy access to tube and mainline stations.Bedroom ok size wise,clean,and quite trendy.Plenty of bars and restaurants nearby,as well things to see and do.I thought this hotel was very good value for money,and I would definately stay again.	
Oct 28 2005	Nice hotel	Stayed at this hotel because of its location. Room was not very big, but clean and very modern feel. The whole hotel is very modern. I agree the staff was not the best. They seemed to not know the area and did not have much initiative. There are some food places nearby and it is a short walk to the tube station. No internet in the room, but free interent in the bar/restaurant on 2 PC's. One was down while I was there, but I was able to plug my laptop in and use it. Very nice hotel.	
Oct 23 2005 	Will stay here again very nice!	I recently stopped at this hotel when in town for a meeting in Canary Wharf. The hotel cost me £100 per night which I thought was a bargain for the standard of accommodation I experienced. On past visits to the city I have paid more and received a poor quality of hotel. The reception is very trendy, all black and white photography and stylish décor. My room was on the fourth floor. The room was an average size for a London hotel. The bathroom did not have a bath but did hold a very impressive and contemporary shower. The bedrooms were very stylish and cleverly designed. The window even had an electronic black out blind instead of curtains!The room was very clean, had internet access for my laptop and a TV which had UK satellite channels you would not normally find in a hotel (e.g. E4).The hotel restaurant is on the top floor. I ate there for my evening meal and breakfast with my colleagues. The food/drink choice and quality is good and excellent value for money. The top floor also had an area with a huge plasma screen to watch TV. This was very popular as an England football match was on when I stayed. When I checked out for my meeting in Canary Wharf, it was very easy to get a taxi and was only a 15 minute cab ride away. I will definitely be stopping here again when I am in London for business. However if you are in London for pleasure you need to be nearer to the centre. I would recommend a hotel based within Holborn!	
Sep 29 2005	Good value for money	A quite nice place to stay considering what you usually get for these prices in London. The hotel is modern, everything is clean and confortable to use (bathroom, shower...). I recommend it for those who can't afford to much but still want to avoid flea-pits...	
Sep 21 2005	A nice surprise	I stayed at this hotel with my boyfriend for one night during a quick trip to London. The hotel is easily accessible from London Bridge Tube station, the rooms are modern, clean and airy, and the shower is wonderful! We had a lovely dinner in the restaurant where there was an offer on for a three course meal for £14.95 and all drinks were on 2 for 1. In a city where I regularly feel somewhat ripped off, this was a really pleasant surprise. I read previous reviews saying the staff were unhelpful and unfriendly, but I didn't find this to be the case - I suppose it depends what you are asking of them, but my check in and out went very smoothly, they arranged a taxi for me with no problems and the staff in the restaurant were very polite, even if they were still working on their English! All in all a great experience, and I would definitely recommend this hotel to a friend.	
Aug 25 2005 	some weird staff nice location	Nice, stylish, clean, but don't expect any internet in the room or any gusto from the staff to do something about this. first they told me to call T-mobile myself, then someone else said that it hadn't been working in a long time and that that probably wouldn't change for some time to come. Also rather funny: when asking directions to Waterloo station (which is supposed to be really nearby) the girl at the reception told me she had no clue. When I just checked in I was also chased out of my room in horror by an awful piercing sound. On asking at reception they informed me dryly to be 'testing the fire alarm'. Just the sound of it. Thanks for not warning me...Slept like a baby otherwise, and for every rather weird member of staff they also have a very friendly and helpfull one working there. Loved being so close to Tate modern and the Thames. Liked the smell of the hallways... Would go again, but maybe wouldn't bother to bring my laptop.	
