	after-pains	not customer-oriented hotelvery low service levelboor reception	
Aug 19 2008 	Good location but need upgrade	I really love the location of this hotel. Kensington is a charming place. And the Hyde Park is perfect for jogging after my business activities.The hotel is quiet old. The rooms are quite small but the problem is they really could use some renovation. Especially they need better soundproofing of the room. I could hear some noise from outside. Other than that, everything is just average (breakfast, gym, lobby etc).So I guess it will depend on what you're looking for. For tourist, probably there are cheaper places around unless you have a good deal with the hotel. To be honest, it's quite expensive rate for the facilities they have. But again, the location could justify charging that price.	
Aug 19 2008 	Good hotel great area	Eight of stayed here in June of 2008 and paid less than $150 a night which is a STEAL in London in a hotel of this caliber.....thanks, Priceline!!!The hotel is very nice and the location is excellent. It is a leisurely 10 minute stroll to the tube station and then the greatest city on earth is yours!We ate breakfast at the hotel the first morning and it was fantastic but WAAAAAAAYYYYYYY over priced. It woud have been Ok for a Sunday brunch at $30 a person but for a midweek breakfast it was too much. We found a nice little Italian cafe between the hotel and the tube station where we could get a full English breakfast for about $8. There are also some great restaurants around the tube station. We are Americans living in Germany so you can imagine our delight at having a KFC nearby. Not exactly what most tourists are looking for but when you have been out of the states as long as we have you eat fast food when you get the chance!!!The hotel staff is great. We were upgraded to Junior suites which included complimentary bottled water, wine and juice in the room. This was very nice. The rooms were extremely small however and with the couch turned into a bed it was impossible to get from the bed to the bathroom. I can't imagine how small a normal room would be.	
Aug 14 2008 	Exceptionally poor - and surprising - service	Booked through hotels.com - and for a special occassion. Thought that we would be looked after given its rating and the price paid. Arrived, didn't get the room we paid for or booked - apparently they are allowed to do this and its in the small print! - So watch this one. Worse though they knew this when we checked in and we didnt find our booking had been changed until we arrived in our room. Despite raising this with staff on the day and the following day - no one even bothered to get back to us on this. Several other less important things wrong with how they treat customers but not really worth me listing in detail.	
Aug 14 2008 	Bad Staff + Bad Services = Bad Hotel !!	I really don't write much reviews but I felt that I have to write my experience the this hotel. (I stayed there from 26th Jul - 1st Aug 2008) I stayed in this hotel because my company registered me in a course that was held in the hotel.My english isn't that good so I'll try to use simplest words that I can &amp; straight to the point.What happened to me during my stay...1- Two days Before my check in I went to reception to confirm my reservation which was confirmed long time ago &amp; I was told that there is no reservation under my name &amp; when I showed the the emails from there hotel they had to mange a room for me .. that was one wasted hour for me on that day.2- When I tried to check in 2 days later they simply gave me a single bed room where my reservation was a twin bed room when they corrected it &amp; I went to my room it was a smoking room &amp; I had to go back to change it they said there is no rooms available &amp; I have to sleep the night &amp; they will transfer me in the next day like it was my fault !!3- Very rude staff !! when I asked about my reservation they didn't want to check there email &amp; I had to go back &amp; bring the emails to show them that they already confirmed my reservation by email ! ... when i told them that my room is a smoking room &amp; I specified in my reservation that its non-smoking the employee asked me &quot;I wonder how could you specify that&quot; &amp; there was other incidents as well. 4- OK so when you stay in a bad hotel you tell your self it's over when you check out ... think again ... when I checked my VISA when I went back to my country I found out that I was charged 1 extra day that was even before I stay in that hotel (I stayed from 26 Jul - 1st Aug = 6 nights) &amp; the extra night was (7th night on 22nd Jul before I even check in) I contacted the hotel &amp; they even didn't bother to answer so I've already contacted my bank waiting for them to reclaim the extra charge &amp; my lawyer is on standby in case of complications. I've more bad stories about this hotel &amp; I have stayed in less stars hotels but it was more enjoyable than this hotel where I would not recommend to anyone.	
Aug 10 2008 	Great Hotel	The hotel was clean and comfortable offering smoking or non smoking rooms. We opted for non smoking and were placed on the 10th floor. My husband and I were given a double room which had 2 single beds but we didn't mind. The beds were really comfortable and we slept well. . There were tea/cofee making facilities, which were topped up with tea bags, coffee and hot chocolate every day. There was a fridge in which we kept our own water, milk and pop etc. There was a hair dryer in our room but no iron. The rooms are quite small but suited the two of us. The bathroom had a bath and shower and the towels were replaced every day. Our room had a TV and free wi-fi connection. The windows are double glazed but being on the 10th floor they did not open! There was however an air conditioning unit. We had the full English breakfast which was delicious. You also had the choice of cereals, coissants and continental breakfast. The staff in the restaurant were very helpful and spoke different languages. The concierge in the reception was great, He was very helpful and was able to advise on trips, travelling on and around the London underground, theatre bookings and places to eat etc. He was also very witty! Checking in and out of the hotel was very simple and straight forward. The hotel is situated 1 minute walk from Gloucester tube Station and near shops such as Waitrose and Tesco Express.	
Jul 23 2008 	Superb Location	Stayed here for two nights and was not disappointed. Hotel is perfectly located for walking to V&amp;A Museum and Harrods. Tube station right beside the hotel and central line to Heathrow Airport so no problem carrying luggage. Room and bathroom both clean and perfectly adequate. TV didn't work, but who needs TV in London. I expect it would have been fixed if we had got around to reporting it.. Very pleasant reception staff	
Jul 20 2008 	Well Worth It!	Here's the deal. . . If you're looking for a no-frills hotel that is all about location and price, this is your place. My wife and I booked through Priceline on our recent trip to London. The price was exceptional for the Kensington area, and as many reviewers have mentioned, it is a two or three minute walk to the Gloucester tube station. Gloucester station is excellent as it has entry to three different tube lines. The area is safe, and there are markets and restaurants nearby (La Liasion is a great quick breakfast place). Hotel rooms at the Kensington Forum are small by US standards, and frugal with the ambience, but everything in the room worked and we had a great view. The bathroom was small, and water pressure was weak, but it was doable. All-in-all this hotel was a great choice for the price and location. Since we spent little time in the room to begin with, it really didn't impact our time in London at all. However, if you must stay in a luxury hotel, look elsewhere.	
Jul 18 2008 	Great location!	The Holiday Inn Kensington Forum has a fantastic location for a city break in London. We stayed there for 2 nights, and got a fantastic deal through the hotel's website. We arrived at the hotel 2 hours before check in, and were delighted when we were offered a free upgrade to a kingsize room, although this was a smoking room, there wasn't too bad a smell, and we just opened the windows. We could also check in early which was great! The room was a decent size for a London hotel room. Tea/coffee facilities, hairdryer, decent television channels. The best thing was the location. Right next to Glouchester Rd tube station, which was very safe to travel, even late at night. The area of the hotel was lovely. Walk down Cromwell Rd to visit some lovely restaurants. I would highly recommend Little India. Yummy!!! Have had some problems with the hotel over payment after returning home, but im sure this doesnt happen often. Overall, a great hotel!	
Jul 15 2008	good hotel	I booked this hotel via Holiday inn ,2 nights for the price off 1 .The rooms are clean average UK size .The rooms have air con and the windows do open .The windows have two layers off double glazing making them soundproof. A lot of hotels in the area are converted houses this hotel is purpose built .I paid a promotion rate off £109 for two nights .Without the promotion rate it was aprox £300 .Good location ,near the tube .I could see the tube line from my room on the 15th floor .	
Jul 14 2008 	Good price / location but no thrills	This was third time staying at this hotel. The location is great - very close to Gloucester Road Tube, with Waitrose supermarket, coffee shops and restaurants nearby. Got decent price on Hotwire as well. Downside is that it is a no thrills hotel (expected). There is no mini-fridge in standard rooms, so you can't store any food - the hotel used to have mini-fridges. Water pressure is also very weak. Overall, for the price (and considering location), it is a pretty good deal.	
Jul 4 2008 	Great value and awesome location	This is a big modern, efficient hotel so don't expect old-world charm. Instead you get attractively appointed, decent-sized rooms (by London standards), AC that works, a modern bathroom, plumbing that doesn't gurgle and bang in the night, iron and board, bathrobe and slippers, lots of TV channels and a location that can hardly be bettered. The higher your room the greater the view. The location is terrific for museum-going and the Royal Albedrt Hall is an easy walk away if you enjoy concerts. The area is full of restaurants, particularly if you head into South Kensington and the Chelsea Fulham Road area. Gloucester Road underground station is only a two-minute walk, putting all London at your doorstep and direct trains to Heathrow at a fraction the cost of the Heathrow &quot;Rip Off&quot; Express from Paddington. (Yes, it takes 40 minutes but it would be the same if you took the underground to Paddington etc.) And, of course, as every London visitor knows, you MUST buy an Oyster card to make your bus and underground travel easy and economical. It seems a bit confusing at first but once you get the hang of using an Oyster card you'll never look back. There's an excellent internet cafe right across Cromwell Road from the hotel (the hotel does have a limited-hours business centre and broadband is available in rooms and lobby). A 10-minute walk has you in Kensington Gdns/Hyde Park. Hotel staff are great. The hotel breakfast buffet is okay but not stellar (I was hoping for kippers) but on a par with similar establishments. Overall I couldn't have been more satisfied and far from assigning me a humble room because I'd booked a discounted Hotwire rate, I was given a room upgrade! (This may have been because I arrived early and accepted an available smoking room but it smelt fresh anyway and the windows open). One day they even put complimentary wine, water and orange juice in the room. Finally, a gastronomic tip-off; if you like Italian cooking and a lively bistro atmosphere you'll love Carluccio's. It's worth the 12-minute stroll or you can go one stop to South Kensington underground and it's right there at 1 Old Brompton Road. If I could nail a good rate again at this hotel I'd definitely revisit.	
Jul 2 2008	Great Location Nice Rooms Friendly Staff	I highly recommend this hotel. It's located close to the Gloucester Road tube stop, which is on the Piccadilly line, and you can take the tube straight from the airport to this stop, then just a short walk (block and a half) to the hotel. The staff at the front desk and the concierge desk are extremely friendly and helpful. The rooms are nice and make efficient use of the space (almost all rooms in London hotels are small, so the size isn't unusual). Complimentary tea and coffee in the room, plus a safe in the closet. My only complaint (extremely minor!) is they don't provide conditioner in the bath amenities (shampoo, bar soap, bath gel, lotion, sewing kit, nail file and shower cap are all there, though) so if you can't live without conditioner, bring your own. The windows open so you can let in fresh air. Fun pubs and restaurants within walking distance. All in all, a very nice experience. I'd definitely stay there again.	
Jun 30 2008 	Forced to endure smoking room for 3 nights!	Excitement at the prospects of staying at a four star hotel in posh kensington turned to dismay at the sight of the ugly behemoth that is the holiday inn kensington forum. The imposing stalinique fascade has no cheerful nor grand front entrance - instead you need to enter from the back after walking past the delivery entrances. The interior is no improvement with pastels and greens reminiscent of 70's florida retirement homes. The cherry on the bombshell cake was however reserved by the chirpy receptionist who said directly that our rooms reserved with priceline are the lowest category rooms and hence we are only entitled to the rooms which they have the hardest time selling so hence double non-smoking rooms cannot be given to us eventhough they are available as &quot;there are still chances someone may pay for them later during the day&quot;. So he put us in a double smoking room on the smoking floor. The smell was overwhleming and we have to open the window to breathe. We tried to complain about the smell but the hotel staff were too busy to pick up the calls as it was evident it was a very busy hotel with in particular a lot of airline crew staying there. Once we managed to get someone, they told us they couldn't do much that day and told us to have our bags packed the next day so they can do the move for us. The next day, after coming back from sighseeing at around midnight, we went up to the room after seeing the queue of 8 persons waiting to see the receptionist and amazingly our keys worked and our bags were where we have left them. Too tired to complain and change rooms, we slept and asked to change rooms again the following morning. The response after a few unsuccessful calls was the same - pack your bags and we'll move them. We grew tired of the same story and literally living in our suitcases and decided to put up with the smoking room with its peeling wallpaper, 16 inch cathode tube tv, low pressure shower and unfluffy towels. It seems to be worst four star hotel I have ever stayed in and the general condition of the common areas attest to the age and high traffic. It wasn't cheap as well as I actually clicked on priceline's offer that a four star hotel was willing to accept USD131 per night etc after my initial bid was not accepted. I'm dissapointed to say this hotel is not deserving of a four star by priceline and priceline should really look into their policy of not giving double non-smoking rooms to priceline customers even when such rooms are available.	
Jun 29 2008 	Great location service questionable	Checking in for one night at the hotel on the 10th June 2008, we had booked a double smoking room. Upon arrival to the room itself, we discover that we have in fact been given a disabled, non smoking room. Returning to reception I was told that there was nothing that could be done, the hotel was fully booked and that was why we had been given that room. I politely explained about my shock at being given a completely different room than what was booked! The receptionist explained that this often happens when overbookings are made. Whats the point in making preferences when booking then? The issue was rectified (partially) by being upgraded. The overall disinterest from the reception staff seemed to reflect the entire attitude of the hotel itself. One of disinterest for the paying customer. The argument between two of the receptionists with some rather choice language was yet another unprofessional spectical to be watched whilst waiting the 20 minutes for my own issue to be addressed! The room itself was small, though clean and well appointed with a complimentary bottle of wine and water. This I will guess is the norm for guests staying in the executive rooms. Like other reviews, the location of the hotel is great, seconds around the corner from the tube. In the end, I wont stay there again!	
Jun 27 2008 	always delivers!	Me and my family have always found great comfort in the Holiday Inn network. Basic necessities like iron, tea kettle, multiple TV channels, safe deposit lockers, newspaper are always available in the room as standard equipment ; and there are no surprises. The rooms / toilets are of a certain size and you can settle in quickly, to start discovering the city you’re visiting. Moreover, since it is a large hotel, I find comfort in the anonymity, as I despise being ‘helloed’ and ‘greeted’ all the way.The Holiday Inn Forum at Kensington is thus ideal. Check-in was super-quick, the rooms was spot-on and breakfast was more than elaborate. Location wise, the tube station (Gloucester Road) is just around the bend and key restaurants (Bugis St. for Chinese, Bombay Brasserie-Indian, Burger King are just across, including a big supermarket). Even better, the open top tour bus stops right outside the tube station !The Concierge were very helpful and friendly and organized a private car to the airport for just 45 GBP ! All in all, a great hotel to camp and discover the adopted city of the Fab Four ! Go for it !	
Jun 17 2008 	Londons little secret!!!!	Great hotel for the price. Booked thru Priceline and was a little leary, but everything turned out perfect. Didnt stay long in the room as thye are quite small, but functional. We had a smoking room and it actually smelled ok, thank god as we dont smoke. Staff was very courteous and helpful. Great location, close to the Underground and several excellent Pubs. Kensington is a upscale area and not overly crowded like some other areas in London. Water pressure was a bit weak, but that is our only complaint. We would def. stay at this hotel in the future	
Jun 15 2008 	Good hotel well situated	Only stayed for a couple of nights and spent very little time in the hotel itself but seemed good. Everything was clean, the staff were very friendly and helpful and the location was excellent, all at a relatively cheap cost. Recommended for a long weekend to see the city on something of a budget.	
Jun 4 2008 	Nice stay at Kensington Forum	We stayed at the Holiday Inn Kensington Forum after our cruise on the Norwegian Jade. Everything went according to clock-work! When we arrived, we were directed to check-in and our rooms were available in quick order. Luggage was brought to our room within 10 minutes. The concierge directed us to a local pub for lunch, within walking distance, and it was perfect! Harrod's was a walk away so that was our next stop. Upon the concierge's recommendation we had dinner at ASK, an Italian bistro, also within walking distance and it did not disappoint. The following day we had a wonderful continental breakfast (complete with BabyBel cheeses) at the Forum restaurant and then hit the streets. The Gloucester Road tube station is a block away so most of London is within reach by Tube. Our room was clean, though small, the service was great, and we would stay here again in a heartbeat!	
Jun 3 2008 	Wonderful stay!	We spent the first few nights of our European vacation in this hotel and enjoyed our stay! The staff was friendly and helpful - Peter at concierge was especially wonderful.The room was very small (as we expected) but clean, modern and comfortable. There was a quirky thing where you had to put your room key into a slot by the door to control the lights in the room. The hotel was a short walk from the Gloucester Road Tube Station (Piccadilly, Circle and District lines)Beware there is another Holiday Inn right down the road so be sure you go to the right one!	
May 27 2008 	good hotel great location	While this hotel is very large, and rather impersonal because of its size, all staff were very professional. We arrived early after our flight but were able to check in right away. Rooms were very clean. Nice view of London. Location can't be beat, right on bus lines, next to tube station. It is a little confusing because what looks like the front of the hotel on Cromwell road is not the front. You have to walk around to get in. Short walk to Kensington gardens. I'd stay here again.	
May 17 2008 	A nice hotel  a resonable rate and a great location	I stayed at this hotel for 1 night in April whilst on Business. Whilst I didn't actually pay for this hotel myself, it was in my opinion a really good rate for a London hotel.It's literally 2 minutes walk from the nearest tube station and is on a great line for seeing a lot of London. I was attending a trade show at Earls Court and it was exceptionally easy to get to from this hotel.The check in was really quick and they allowed me to check-in a lot earlier than I was suppossed to.As I was a lone woman traveller, I felt comforted by the fact that you needed a key to access the guest floors.The room itself was dated and the en-suite tiny, but it did have everything you needed for a comfortable stay.I found the staff exceptionally pleasant, which can be an extremely rare thing in London.I would return to this hotel again.	
May 13 2008	Nice hotel and very nice room	I liked this hotel, Nice big room and very good customer service.	
May 7 2008 	Some problems but good things too	Cons:Preferences for non-smoking via Reservation made through Equivio were not known by hotel at check-in.Very slow check-in process. Understaffed reception area, and staff not knowledgeable and not polite.Internet modem not working in the room, and refused to be fixed by hotel. Very bad for a business trip.Cable TV not working in the room, and refused to be fixed by hotel.Warm water pressure was a joke even by UK standards. Had to wait 5 minutes for warm water to kick in even on the 4th floor.Outrageous phone fees: 2.5 pounds for a free 0800 number call. 2 pounds for a local call to a mobile number in London.Pros:Very good location. Good price through ExpediaHotel in general is in good shapeTips:Across the street on Gloucester Road there is a good and cheap Internet Cafe open to 11 PM.Also there is a good 'Ask' Italian restaurant in the mall next to the hotel.	
May 6 2008 	Great weekend	Booked a break with lastminute.com including trip on London Eye and river cruise, show etc. The hotel room was very clean and housekeeping made up my daughter's bed five minutes after phoning reception. Location of hotel is great, next to Gloucester Road tube, close to museums, short hike to Buckingham Palace etc. A very safe and clean area of London. Also, just as you come out of the hotel (with your back to the doors) walk down the street on your left (towards tube and Tesco Express) and there is a great little cafe (La Laison) that does a full breakfast for £3.45 and a large fresh coffee for £1. The owner was a lovely friendly chap and couldn't be more helpful when my 4 year old daughter asked for something that wasn't on the menu. Would stay here again. The people that complain about the hotel obviously spend far too much time in it.	
May 4 2008 	Convenient Hotel	We stayed at the Holiday Inn Kensington Forum for a short weekend, where the main focus of our trip was to see &quot;The Lion King.&quot; We arrived late at night and easily found the hotel and checked in. The hotel is located VERY close to the Gloucester Tube station. It is an extremely well located hotel. The Kensington area is also a pleasant and quiet place to stay.Our hotel room did not have a view, as we were only on the third floor. But, we were very happy with our room. The bed was big and comfortable. The room may have been one of the quietest ones I have ever stayed in. We did not hear traffic or other guests.We really did not spend much time at the hotel but enjoyed our time there.	
Apr 21 2008 	Comfortable and Convenient Choice	Great Hotel! I would definately stay here again. Nice clean hotel, in a nice area of town. Close to the Gloucester Tube Station. Very Convenient. The staff was very helpful, especially the concierge. They also offer a wonderful continental breakfast. I highly recommend this hotel.	
Apr 9 2008 	Location is the only thing it has going for it.	My husband and I stayed at the Holiday Inn Kensington Forum for 9 nights starting January 18, 2008. I had written this review upon returning home, but have not had a chance to post this until now (thanks to hospitalization).LOCATION: The only thing going for this hotel. It is a 3-minute walk to Gloucester Road tube station for easy access to the Piccadilly, Circle and District Lines. It is within an easy walk to grocery stores like Waitrose, Tesco Express, and Sainsbury’s. There are many restaurants in the area. And it is a 15-20 minute walk to Kensington High street, and about a 10-minute walk to Earl's Court Road. Note that entrance to the hotel is NOT on Gloucester Road; it is off Ashburn Place.ROOM: Small even for London standards, but adequate if not staying for more than 2 days. The beds are comfortable, and a kettle is available for making tea and coffee. There is a desk, a phone, and a TV which has more channels than some other budget hotels. The closet space and drawers are adequate, but do not count on being able to store more than two 26” uprights in the room. The room also has a fridge, which is not really a fridge, but a “cooler”, as described by staff. If you have medication to store, it might not be cool enough for it. Guests are unable to control the heating and cooling modes in their rooms (see below for more details)BATHROOM: The bathroom is a good size. There is a good size tub, and the water pressure in the shower is adequate (could be better). Note that it may take you a while to get hot water and if you like steamy showers, don’t count on getting one.CUSTOMER SERVICE: Poor. Front desk hardly ever picks up the phone. We’ve had to let the phone ring for about 3 minutes before someone picked it up (try to guess how many rings that would be). Other times, we had given up and just gone to the front desk personally only to find staff members doing nothing! Front-line staff members speak very poor English, and provide VERY poor customer service (exception is Manager, Irene). At check-in, staff tried a questionable up-selling practice on us, which, in my opinion bordered on a bait-and-switch tactic (see below for details).RESTAURANT/BARS: Poor customer service, bad and overpriced pub food. Drinks prices are reasonable for a hotel bar. We tried to get a pint glass so we could get some ice from the ice machine, but were scolded for it by the bar maid saying they did not have enough glasses (there were only about 20 people in the bar at that time).OTHER AMENITIES: Microwave and ice machine available on the 25th floor for use by guests (They will not provide you with an ice bucket. We actually saw a woman using the kettle to get her ice). There is a gym, and you would need to get a separate key card to access it. VALUE FOR MONEY: Too expensive for the product you are getting (even at a bargain price of GBP109/night)CONCLUSION: NOT RECOMMENDED. You’re better off staying at the Premier Inn on Knaresborough Place if you’re looking to stay in the South Kensington/Earl’s Court area.*** WARNINGS ***QUESTIONABLE UPSELLING TACTIC: When we got to the hotel the front desk clerk told us that the double room we booked is not available because their reservation centre had overbooked the hotel. They only had a twin room for us. She was quick to add, however, that she would be willing to give us a free upgrade to an executive room for 1 night, which would normally cost us GBP35, but for the inconvenience, she would waive this upgrade fee for the first night only. The catch is, we would need to move to a standard double room the following night. BUT if we wanted to stay in the executive room, we would have to pay the extra GBP35/night for the rest of our stay. Although she made it sound like she was doing us a favour, it was actually us, who would be doing her a favour because they are the ones who can not meet their contractual obligation should they not be able to provide us with a double room (or better), and we are the ones being inconvenienced for having to move to another room. At any rate, we said we did not want the upgrade because we did not want the hassle of having to switch rooms on our second night; we told her we want a non-smoking double room and demanded to speak with a manager. After talking to one of her colleagues, she was suddenly able to put us in a double room. (The whole situation reeks of a very questionable up-selling practice, bordering on a bait and switch tactic. We heard them giving the same spiel to another guest the following night.)HEATING AND AIRCONDITIONING: Rooms do not have individual climate control in the truest sense of the word. The air-conditioning/heating is controlled in the basement for a block of 7 rooms, and that if someone in one room calls about the heat, they may turn on the cooling, but they would have to turn on the heating if someone in that block complains about the cool temperature. The only thing a guest can control is the temperature in either the heating or cooling mode, but not the actual cooling or heating mode. In other words, if the room is already hot, you will not be able to cool it down unless you ask that the AC be turned on, or unless you open a window (which is out of the question considering the noise from Cromwell Rd). This was a problem for me because I have a medical condition that makes me very intolerant to heat.	
Mar 31 2008 	a safe bet	Arrived an hour before check in and tried to blag an early check in with out luck, but checked in, dropped off luggage and were told a room would be ready in about an hour. A spot of lunch and 2 hours later we returned, but no non-smoking rooms available. I refused the smoking room point blank and pointed out we had already been sent away once. The front desk then took my priority club card and trotted off to see if there was a room nearly ready. He returned a few minutes later and upgraded us to a non-smoking executive room. The room was what we were expecting. Clean but enough room for the two of us...but no more, we had to be organised. The sofa was comfy and so was the bed. A/C worked well as it was very warm. No problems with the bathroom or water pressure. Had to run the water for a minute or so to get super hot water, but that's personal choice. Room was on 3rd floor but there was a private function in their function suite. We could hear the music in our room despite having the TV on until about 1am. (We had requested a quiet room due to jetlag) We called down, but there was nothing they could do except call through. Next time I would want a higher floored room.Basically, It is a typical Holiday inn. Great location, okay value and what you would expect.	
Mar 28 2008 	A Poor Hotel	The room we booked was supposed to be an executive room. The room we were given was small, poorly funished ( we even had to ask for a second bedside table to be provided) it had the smallest bathroom we have ever had in an hotel and the traffic noise went on from about 06:00 - 02:00. The breakfast was not very nice, under cooked sausages, over cooked bacon and the scrambled egg was grey in colour and tasteless.The lift operating system was hit and miss.The carparking charges were a little eccessive at £67.00 for 2 days and three hours, considering you were a guest at the hotel.We quite like to stay at Holiday Inns, but this is one of the poorest hotels that we have ever stayed in in London and I would not recommend this hotel to anyone.I e-mailed my comments to Holiday Inn as soon as I got home and have yet to receive any answer from them.	
Mar 22 2008 	Definitely can do better in London	The Holiday Inn Kensington Forum bills itself as an upmarket central London hotel, but as an executive summary, I was quite disappointed and would try to avoid it for future stays.Location: The hotel is a short walk from the Gloucester Road tube station, so the accessibility of major London attractions is very good. Taxi from Victoria was about 10 pounds at night. Thumbs up for location.Room: My room was a typical London size (i.e. small), no &quot;points deduction&quot; for that. Bed was a good size and was comfortable, no complaints there. My room was non-smoking and did not smell like smoke. TV was small and had an average channel lineup. My room was clean, although since I only stayed one night I cannot comment about ongoing housekeeping. The hotel did not offer free WiFi, but at least I had a BTOpenZone signal from my room. Overall, I would describe the room as free of serious problems, but drab and in need of modernisation or livening up.Bathroom: My bathroom was, like the room, small. I had a wet hand towel in my wash basin upon arrival, so I cannot honestly describe it as &quot;clean&quot;. The water pressure in the shower was insufficient (and I took a shower at 2 am, so &quot;peak demand&quot; can't be blamed). The amenities were OK, but pretty basic. Plastic cups on a formica counter is definitely not the same as glass on marble.Staff: Staff were quite poor. Like a lot of London establishments, there were more non-English than locals working there; communication was not always easy. Check-in took forever, I have no idea why. Then they tried to sell a &quot;pre-paid&quot; breakfast when it was already included in my rate. My colleague, who was on a separate reservation, experienced even greater frustration when his reservation was &quot;lost&quot;. This despite it being a corporate-contracted hotel using the company rate (so I hate to think what it would have been like for someone on a &quot;special&quot; rate). Check-out at least went smoothly, but again took forever. The doorman was more interested in talking to his friend than paying any attention to the customers. On the bright side, the overworked concierge seemed to know about London and was friendly. Overall, I very rarely &quot;rip&quot; staff like this, but at this hotel they stood out as a weak point. Thumbs down for staff.Facilities: I really didn't use any of the hotel's facilities, so am unable to comment.Miscellaneous: This hotel is used by at least one US airline for crew, and perhaps in recognition of that there is a &quot;crew lounge&quot; that is off-limits to other guests. And, at the time of my stay, there were also a disproportionate number of American high school students, so it was consequently quite loud. However, it WAS around spring break time, so I'm prepared to overlook this as atypical.Summary: This Holiday Inn charged a typical London premium, but offered a mediocre experience. If you are looking for a decent quality hotel, I've had much better success at the Hilton Hyde Park (about the same price). I would not stay at this Holiday Inn again unless the price was halved, because there are simply too many places offering better value in London.	
Mar 17 2008 	one month biz trip at Holiday Inn	I've stayed at this hotel twice now - each time for one month for work. This place sucks!! The toilets tend to back up and/or become clogged on several floors. General upkeep &amp; cleanliness is poor. The &quot;Full English&quot; breakfast is English all right! It's hideous and inedible.The only reason to stay here is if your broke and have to be in Kensington. Also, this tall crappy building in the heart of a very nice neighborhood is an embarrassing eye-sore. AVOID!One more thing - The elevators require you use your room &quot;card&quot; to go to any floor above the lobby. The cards work about 1/2 the time.	
Mar 16 2008 	Quantity not quality.	On the positive side the location of Holiday Inn Forum was very handy for a conference I was attending. It is close to Gloucester Road Underground station, and there are a selection of shops, restaurants etc nearby. The bed was very comfortable, and the whole place was clean.However, the rooms were VERY small – I did have an executive room too, with a very tiny bathroom – you know it’s going to be small when you see a sliding door. Water pressure in the shower was none existent - a pathetic dribble came out. The ‘add ons’ (films, internet mini bar etc) were high compared to other hotels in central London. Waiting for the lifts took ages – especially in the morning. I ended up using the stairs, which were extremely basic and obviously not intended for guests. Breakfast was appalling, plenty of it, you certainly won’t starve, but the quality was awful considering the price paid. The hotel was busy, with many Americans and air flight crews, who I assume have little choice but to stay here!	
Mar 10 2008	Perfect for First Visit to London	My husband and I spent six nights at the Holiday Inn Kensington Forum over the 2007 New Year's Holiday. We booked through a package deal with British Airways, and we could not have been more pleased with the hotel! The location is superb with the tube and bus stops literally steps away. The area surrounding the hotel had plenty of restaurants, cafes, and grocery stores to meet every need. With it being our first time to London, we were overwhelmed with the large choice of hotels (and the prices.) If we were to return, we would absolutely stay here again. For it being a no-frills Holiday Inn, we were especially impressed with the concierge. Gladstone was a gem in setting up our dinner reservations and various outings. I cannot say enough about how helpful he was. By European standards, our room was large. The bed was quite comfortable, and we had a lovely view of the city. I was somewhat apprehensive about going all the way to London only to stay in a Holiday Inn, but really, this place was perfect and I would return again in a hearteat.	
Mar 9 2008 	Nice location by Glouchester tube stop	The best part about the hotel is the great location in Kensington. It is close to the Tube stop from which you can get anywhere.The rooms were clean and comfortable.There is a grocery store close by that you can pick up food and a Starbucks nearby.Underground parking is available, but the traffic in the area is terrible.	
Mar 3 2008 	Great Location and great business hotel	I travel to London at least once a year for business and I have stayed in many 3 star hotels around the Kensington/Earl's Court area. Holiday Inn Kensington Forum is a perfect no fuss business hotel with fantastic location. I got a good rate through internet website--and I wouldnt pay over 200 USD per night for this place. The room was clean and breakfast OK. The staff were friendly compared to the average 3 star hotel staff--I liked the American attitude. The hotel is filled with American Airline Staff--so its filled with friendly Americans. A nice change while you are in Europe. The only scary part is the charge when you make a local mobile phone call--4 pounds per call.	
