	Cracking Gem with Central London a 30min tube ride away	Stayed 2 nights at the Chiswick Moran to attend a friends wedding at Kew Gardens and I am soooo glad that we did. Its a cracking hotel which, if it was in central London would be far more expensive. We were booked into Room 425 which was a lovely spacious room, albeit set up for disabled guests-although that meant it was very spacious. The carpet was lovely and the room was very modern and well designed. It is only about 400m away from Gunnersby Tube station and ideal to visit Kew Gardens and about a half an hour away from Hampton Court-it was ideal for our needs. The bar is lively and when we stayed (Fri and Sat) had a DJ playing which gave a great atmosphere with some cracking bar staff to boot! Only had breakfast the first morning (was severly hungover on day 2!) but it was good 7/8 out of 10-its a help yourself style buffet but no baked beans : (. We had a lovely evening meal on the first night selecting the set menu which at around £17 for 2 courses was good value for the food.	
Nov 17 2008	Great apart from one particular member of staff	Upon arrival we were greeted by the reception staff and checked into our wonderfully modern and super clean room promptly. The following morning ( Sunday) we made our way into the restaurant and were politely greeted by a very curteous and kind young man with an Eastern European accent, who explained to us how the restaurant buffet worked and showed us to a vacant table. The breakfast buffet was of very good quality and replenished continuously. We thouroughly enjoyed our breakfast and the atmosphere in the breakfast room was friendly and welcoming, even though it was busy.I was very impressed with the hotel and the amount of wonderful courteous staff who attended and helped us.Unfortunately this wonderful experience came to an abrupt end the minute we made the aquaintance of the assistant restaurant manager MarkThis man greeted us on the Monday morning ( 3rd Nov) by asking our room number and when given stated : You don´t have breakfast included do you?When I told him that indeed we did and offered to go upstairs to look for our email confirmation, he very charmingly said GOOD GRIEF, where I AM SORRY, would have been more appropriate and then started fiddling with what looked like a printed out list of room numbers and said GOOD GRIEF yet again, before waiving us through to the breakfast room.Then we sat down and shortly after the same man returned to our table with menus, telling us that indeed we only had continental breakfast included and had to pay for warm in case we wanted any. I just said OK fine, we just have continental to the waitress, when MARK returned yet again, saying we could after all have the warm breakfast included.Now I was a little confused.What is going on?I told him, that we already had breakfast here the previous morning and no one had stopped us telling us we couldn´t eat, so he just said : Don´t worry, I am not going to charge you for yesterdays´breakfast!!!!!!This was entirely unnecessary and left me feeling irritated.Then MARK told us again that we were only entitled to contintnental due to a new rule. Now I was just a little puzzled and MARK proceeded to explain to me that once supplier had a new rule and bookings made through them only had continental breakfast from now on. This is all very nice, but WE DIDN`T book through this particular supplier, we booked through Alpharooms, which I pointed out to him. He wasted a few minutes asking me numerous times if I was sure that I booked through Alpharooms and not ( somehting TRAVEL) and GOOD GRIEF was uttered a few times as well.this was accomanied by him rifling through his list of room numbers and rolling his eyes dramatically.By now I felt far from welcome and a little annoyed to be made such a show of in front of all the other guests, looking like I wanted to steal something which I am not entitled to, so I went upstairs and returned with my email confirmation, which I showed to Mark.He read it and then said Good Grief, rifling through the list once more, letting me stand there whilst he went to make a phone call and then returned with another look into the list of room numbers and another Good GRIEF, before he said ok we could now go ahead and order the warm breakfast.We did and when we were about half done eating, MARK returned to the table stood there looming over us and said:OK I just checked and you only were supposed to have had the continental! With that said I was now furious....Can this man not leave things alone!?What did he want me to do now I am half done eating my eggs??? Does he want them back!?Everyone around us was now sniggering and enjoying the scene. I felt like an extra in FAWLTY TOWERS and half expected Basil Fawlty to make an appearance.I felt anger creeping up me, but I am not going to make a scene, so I chose to get up,leaving my half eaten breakfast and walked out,I travel a lot ( business as well as pleasure) and I have to say that in the whole 15 years of frequent travel, I have never felt less welcome by this one individual.This gentleman should be redistributed to another department, where customer contact is not one of his duties. When I travel in my spare time I expect to be able to relax and be treated with respect not having my blood pressure raised.Once again I would like to stress, that EVERYONE else working there has been absolutely delightful and curteous and that the hotel is modern, beautifully furnished in a modern 70´s twist style and spotlessly clean. Would I recommend this hotel to my best friend ? Absolutely .....I would just advise him to stay away from the breakfast room when this gentleman is working.	
Nov 11 2008 	Nice Comfy Hotel But probably would not stay here again.	Stayed here for 2 Nights, weekend break in November. Got a great rate through alpharooms. The hotel is really nice, both decor and comfort. We really loved the big walk-in rain shower in the bathroom as well as the big 2 person tub. The bed is possibly one of the comfiest ive ever slept in. The Gunnersby tube is about 5 mins walk away, with a journey of approx 30 mins to Central London. This we found took the good out of our day, especially if the tube was running slow. The Bar is very nice but the selection of draught beer available would need to be looked at, as no Heineken or Carlsberg on tap. It is the first place in London where i have failed to get either on tap. The Aircon controls in room are a bit fiddly but once you get the hang of it, is really nice to have it during the night if the room gets too muggy. We stayed on the top floor and were woken each night by pigoens on the roof, and outside the window, so request a room lower down. The Breakfast was ok but nothing worth writing home about. On the Sunday Morning it was Buffet and the Monday Table Service. We had booked a full breakfast as part of our booking by alpharooms, but when we went down for breakfast first morning we were told that we could only have continental. On explaining that we had booked with a Hot breakfast, the head waiter said no problem go and enjoy your hot breakfast. However we had to go through the whole process again the second morning with another waiter, but once again he did not make a big deal about it. Just a tip for the Hotel Cooks / Chefs - lads rashers should be soft and tender not hard and chewy, obviously they had been in a holding cabinet or something. Housekeeping made up our room, replinished our sugar, coffee and milk on our tray but left our dirty cups, i ask why? All considered it is still a nice hotel, in a nice area, but a bit too far out of London for my liking. However the comfy bed and large bath made up for that. Would i stay here again - probably not.	
Nov 2 2008 	Good hotel * Great Location to The Tube	Booked this hotel through Late Rooms, a few days before arrival in London. Chosen due to it's locality to the M4 &amp; the tube and the fact it was on the Earls Court Line!Easy to find hotel on the correct side of the road to not miss it! Parked the car in the underground hotel carpark (£10 per 24hrs although sign states £20) then proceeded to check in. We were given a room on the 2nd floor, very nice room, black &amp; turqoise colouring (I loved it!), huge comfortable bed, gorgeous bathroom! Nice rain shower and double ended bath.. A view of the back end of the hotel overlooking other back gardens! Very light and airy room, Carpet a bit tatty as was shaggy pile with stains but not too bad! Air conditioning a tad noisy but when turned off was fine room did not get too hot.After we returned from our night out we were taken aback by how load the hotel bar was.. On a Friday night they blasted really tacky early 90's music, you could even hear it when in the restaurant. The restaurant staff were very helpful and professional. The food was faultless infact a very enjoyable meal, apart from the resounding pounding of the bar tunes. However, when back in the room we could not hear the music - luckily!We breakfasted the next day, the waiter advised our breakfast was not included in the price we were happy to pay extra deal done! We opted for the hot buffet which was perfect just what was required. The hot buffet was £10 per head with the cold buffet £9! We got down to eat fairly early and had no problems although I did have to search for milk! Again the staff very pleasant and helpful when asked. Checked out at 9am but requested that we leave our car there as we were popping into London. No problems with us being allowed to leave it there. Spent 8hours in the City before collecting our car. Great!!I wil return to this hotel - purely for location &amp; practicality!!	
Oct 20 2008 	Not again	Regular weekender in London, we normally stay in Docklands. Unable to book there mid-week, we chose the Moran with one eye on reviews here and the words on the hotel's website.I like Chiswick having worked and stayed in the area many years ago; the Moran is easy to find [from Gunnersbury station; District line] and looks good from outside and in reception. Check in process good, we were allocated a room on the 6th floor at the front which reeked of smoke, the whole floor being designated a Smoking area.Reception happily re-allocated a No Smoking room [as we had requested on our booking] but it was at the rear on the first floor and had a full height wall about 5 feet from the window, so absolutely no view, at all. Not even a glimpse of sky.We went out to a concert at the RAH and returned about 11pm to have a drink in the Bar, where the music was deafening [see other reviews] - but the worst thing was as I told my wife I had seen a mouse run across the floor, she accused me of having &quot;one too many&quot; - but I was only on my first drink. Anyway, while we watched both of us saw the mouse, or mice, happliy scurrying too and fro across the bar floor. I wonder what cleanliness is like elsewhere in the establishment.Anyway, off to our room. Ring downstairs to ask for the Hospitality Tray to be replenished - &quot;no problem&quot; says the Receptionist but NO ACTION 45 mins later when we went to bed.Only to be awoken about 6am by more loud music which we eventually traced to the public seating area just inside the front door of the hotel and clearly heard in Room 129. Now - one of the chores in the morning for men is to shave! And now the great shaver socket hunt begins. I won't bore you with all the details, suffice it to say - there isn't one.I ring down to Reception to ask where the shaver socket is as most males I know expect to find one in a modern hotel room. The Receptionist has to refer to someone else and then replies &quot;it's in the room&quot; - I was a little grumpy by this time and asked &quot;precisely where&quot; so more reference to someone else brought the reply &quot;we will bring up an adaptor&quot;. And they did.Now we may have had the only room in the hotel without a view and without a shaver socket - but I suggest you take your own adaptor if you stay at the Moran. Unless you don't shave.Breakfast was OK - although we were seated where we could see all the preparation area and entrance to the kitchen.But by now, I had had enough of the Moran.It may be fine for some, but not for me.	
Oct 10 2008 	Just OK	Stayed at this hotel for 4 nights. It is nice and clean but nothing exceptional, would not call it 4-star. Being spoiled by American hotels, found room to be a bit too small. Breakfast (was included in the rate) is also just OK, nothing really to talk about. Chiswick is at quite some distance from the Central London. Subway station is very close, and it is a direct line to the downtown. Takes probably about 35-40 minutes by subway to get to the main London attractions. Service at the bar in the evening is very uneven. Somtimes it was fine, sometimes not so good at all.	
Sep 30 2008 	Could be Better	I attended a conference in Chiswick and booked 4 nights at this hotel upon recommendation from the conference organizer. This is not your typical tiny London hotel room. It has a big bed, modern design, nice duvet covers, a flat screen tv, a cool bar, and a good restaurant for dinner. It's also close to the tube.One the flipside, there are a number of frustrating things about the hotel. Booking through their internet site is a complete pain. To get the best rate on a multi-night stay, I literally had to book 3 separate reservations. Also, the &quot;free&quot; wireless access from the rooms does not work. Finally, there were stains on the thick shag carpet in the room. The pillows were hard. And the movies on demand did not work. The worst thing was that the cool-looking bar downstairs created an unbelievable amount of noise. The management allows them to keep their base music pumping until 1am on Friday and Saturday nights. When I called down to ask if they could turn it down, they said no. This is unacceptable as far as I'm concerned. The primary reason people book a hotel room is to have a place to sleep. Overall summary: Nice if you can put up with a few annoyances. Don't expect good service, and know what you're getting. It could be better.	
Sep 12 2008	Great hotel in great location	We stayed at this hotel on a Saturday night.The hotel itself is very well maintained and our room facing the front was very nice and clean. The price is also reasonable and the breakfast was a delight for quality and service. I only wish the girls working the breakfast shift had been working the dinner shift on the Saturday night.The two blokes seemed to get everything wrong from the start, water we had ordered never arrived and was put on the bill, side order of chips which arrived 10 mins after main course and which were undercooked because they had been done in a rush and the list goes on.I would definitely stay at this hotel again and I just hope they sort the waiting staff out as this Hotel would have been 5 out of 5.	
Sep 6 2008 	Very good	Excellent family room (best we've found in London hotels), and overall a very high quality establishment.Breakfast was good (buffet on Sunday, table service on a Monday), and the hotel is very well located for buses, tube and taxis.Tiny quibble - the shaving mirror (in the excellent bathroom) is located at an angle to the washbasin - I ended up with a crick in my neck !!!	
Sep 1 2008	Absolutely brilliant	Stayed in this hotel for REM at Twickenham. For the price we paid it was more than value for money. Everything about the place was fantastic, from the moment I walked into the room I was pleasantly surprised. Staff were friendly and the breakfast was lovely. My mam is allergic to certain foods but had plenty of food to choose from. I would totally recommend it.	
Aug 12 2008 	Brillant!!!	Stayed for Calcitta Cup at Twickenam. The England team were staying here and we got a load of autographs!!!Rooms spaceous and clean. Breakfast FAB! (RRP £15.99!!!)	
Jul 14 2008 	Gorgeous	The Moran is so beautifully decorated, the rooms are really plush.. the little things like the huge walk in shower, the tv that tilts out....the gorgeous mesh of green net. accross the window... a safe with number combination, I would definitley stay there again. The room faced the high road, so i could plane watch! The breakfast was great continental pastries cheeses ham, or fruit salad or cooked (black or white pudding)... and help yourself to much as you can. The globe bar does food too.. so had a lovely chicken brie grilled sandwhich came with tortilla chips and salad. The down side.. no shaver point despite being told evey room had one its on the desk at the side by the hair drier, the receptionsit even came up couldnt find it so left a adaptor free of charge, normally a £10.00 deposit. The car parking was secure £10.00 for residents get your ticket validated on exit.. and its free, if you have a meal at Napa restaurant, this did not extend to the bar. Huge choice of drinks and even things off the menu like a non alcoholic cocktail mustered up for me. Oh their was an ironing board too with iron.. Also no biscuits...evey hotel has biscuits.! Booked through Hotel Connect, as direct no availablity, they are great have used them many times. Enjoy and so near Gunnersby tube too..	
Jul 3 2008 	A Star In the West	Found a good deal here with Alpharooms. It suited us because we were going to Wimbledon and it is very handily placed on the District Line - Gunnersbury station is almost opposite. Also it has a secure carpark - £10 per day (pay at reception when you leave - it does say £20 on the sign, but is halfprice to guests). Chiswick is also now one of the dining out hotspots and at lower prices than in central London. We can recommend La Trompette, and particularly Le Vacherin, and Sam's Brasserie. There is also a dining in/but also takeaway fishshop/restaurant close by, with decent fish meals and wine at good prices.We really liked Chiswick - leafy, quite residential, reasonably quiet, handy for Kew, lots of cafes and pubs, and good shops on the High Street..The hotel itself is pretty good. The rooms are a reasonable size, we had no noise whatsoever, comfortable beds, all very clean, a very good climate control system, nice lighting, good bathroom with bath and walk-in shower, a walk-in wardrobe/storeplace and modern decor. Food was OK and adequate. Our deal included breakfast and we were pleased with what we got..The staff were pleasant.We experienced none of the things that one or 2 other reviewers mentioned, like the rooms being too warm and water too cold - my guess is that some people may not have figured out the controls well enough.If you are content to be this far out of town, it is an excellent option, and I think we will stay there again..	
Jun 30 2008 	It's the tiny things that make a difference	Just got back from a great long weekend in London. We booked this hotel as the price seemed to more than compensate for the out of town location, and the cost of an underground day pass is £5.90 wherever you are.It really doesn't disappoint. The rooms are very well decorated, the bathrooms great and the breakfast good too. The underground station is a hundred yards away and the trains regular and around 10-15 minutes to most places (with the excpetion of, for example, the British Museum and that end of town).I can only think of two things that let this place down - and one is so trivial it hardly matters. The service at breakfast wasn't that great and the cooked breakfast could do with baked beans (to keep you going all day!). But more importantly, there is no air in the rooms. Remember when you used to go caravanning and your mum used to open it up 'for a good airing'. That is what this place needs. It's in danger of smelling musty through lack of air and you can't open the windows.All in all the best 4* I've been to in London.	
Jun 23 2008 	Excelent choice - Modern Hotel	Excelent choice for them who dont care staying far from downtown. This is a brand new hotel, modern, big rooms (really big, mainly comparing to other London hotels). Excelent bar, services, meals and cleaning, powerful broadband internet (cable - charged) and wirelless connection free on the lobby, etc.I first stayed at a hotel located in Mayfair, fency and expensive (350 pounds/day with full breakfast, on business) and after that changed to Chiswick Moran (100 pounds/day with full breakfast). I didn't think it was a downgrade at all.The problem.......it is located far from dowtown or other known sites and there is nothing to do around. But is close to the &quot;tube&quot; (Gunnesbury - 100mts). I had problems with the cable connection and they promptly moved me to another room.[--]	
May 28 2008 	Loved the Chiswick Moran	The newly designed Chiswick Moran is a great choice for anyone visiting London. The hotel is about 2 minutes walk from Gunnersbury tube which will have you into Sloane Square in 10 - 12 minutes. We stayed there for a recent trip to the Chelsea flower show and the comfortable rooms/beds were very welcome after lots of walking around London. Chiswick High Road is full of lovely restaurants and bars - within a 10 minute walk but with a bus stop outside the door anda travel pass it is very easy to find a perfect restaurant or fun bar. The breakfast was excellent as were the free newspapers. We had the biggest bathroom I have ever seen in a hotel (room 317).I would have no hesitation is staying in Chiswick - it's close enough to get to the centre very quickly and out of town enough to have lots of restaurants and nice parks.Richmond is only two stops on the Tube and was a wonderful discovery to find the walk along the Thames	
May 9 2008	This has to be the worst hotel in the world	I wanted to send an email or phone the hotel to complain about the terrible service I received, but there are no contact details on the website. I think that pretty much sums up a hotel that makes pretensions to West End glamour but fails to deliver on every level.1. Our breakfasts were cold. And the Salmon we ordered was all grey... like the 'value' cuts from supermarkets. We weren't the only ones.... loads of people were sending back their food. 2. The reception staff are without doubt the rudest I've ever encountered. The hotel offers free wireless Internet access. My laptop has a problem connecting so I asked if one of the reception team might be able to help me. She looked me straight in the face and said no. I asked if there was anyone else who could and, again, she just said no. Don't offer the service if you're not prepared to help people when they have a bit of difficultly. 3. The bar staff are also rude. I asked if there was anywhere in the bar area where I could plug in my laptop. The bartender, just turned her back and walked off without saying a word. I was just stunned (she came back about 5 minutes later with an adapter). Do yourselves a favour, if you're going to spend this amount of money, stay somewhere central, with a good atmosphere, decent rooms and, above all, helpful staff. What a disappointment.	
May 4 2008 	Nice room but no hot water	On first impression the Chiswick Moran is very nice - helpful reception, nice room, easy walk from the tube. However we experienced very bad service when we enquired why there wasn't any hot water on Friday evening. Our first call to reception was fine - he apologised and said maybe in 30 mins it would be fixed. Still no water after an hour so we called again and this time a lady answered and she said the hotel was full and it was only to be expected that there would be no hot water and then she hung up after saying she would talk to her duty manager. We didn't get an apology or a call back. In the end we boiled the kettle and used that for 'showering' (ie. a wash in the sink). Next morning the hot water was lukewarm only. Glad we paid much less than the rack rate for our 1 night stay. Would not go back, esp on a Fri or Sat night when the hotel would be more likely to be full.	
Apr 6 2008 	Excellent location for doing the sights	We recently stayed at this quirky hotel for a couple of nights to do a touristy weekend, see the sights and go to the theatre.It's refreshing to stay in a hotel that has deliberately veered away from the bland, standard hotel norm of beige, coffee and cream as it is boldly decorated in monochromes accentuated with splashes of bright jewel colours. The carpet is really unusual - it's like hay, quite long and tufty but nice under bare feet!The hotel is well situated for those not wanting to venture by car too far into London, just off the M4 and easy to find. You can park your car at the hotel and the Gunnersbury tube is a minutes walk down the road. Have to say that I've not used the tube in London for years and it is vastly improved from what I remember. It used to be like going into the bowels of the earth and always smelt like a public toilet with filthy trains, but every train we caught was new and clean as were the stations.Anyway, back to the hotel - room was clean, bright , quiet and spacious with a great double shower and good quality beds and linen. Only slight disappointment (and this is being picky) is that there weren't any complimentary biscuits to go with your cup of tea!Breakfast was also good, plenty of choice with attentive staff, and you could settle down and read your complimentary Irish newspaper (Owner is Irish!) at a leisurely pace.We were late back one evening and used room service for our dinner - again no complaints. It was promply served, prices were competitive and food was tasty.We got the room for a very reasonable non city centre rate and are already planning our next trip - highly recommended!	
Mar 5 2008 	Great Decor - terrible air conditioning	I stayed at the Chiswick Moran for a week on business. I found the decor, room size and bathroom to be really nice, fitout was very cool so my inital impressions were very high. Staff were nice and polite and helpful. Only problem and it was a BIG problem on the two days I worked in my room was the air conditioner does not work!! I spoke to reception about 4 times about it during my stay and they kept saying it was &quot;getting fixed&quot;. I dont think anyone was actually fixing it so I would hate to stay here in Summer - you would swelter. Also unlike most Australian hotels there was no fridge in the room nor ice machine on my floor which when it is HOT in your room is terrible. So middle of Feb it was like the Aussie summer I left - so it was nice to go outside and cool down. Hate to winge so up sides are - great size room, nice staff, decent breakfast, nice bar, cool fitout, not too far from tube (in fact gunnersbury is right there - however Chiswick is more frequent). I'd stay again if they ensured me the air con worked.	
Mar 3 2008 	Great Hotel	We booked the Chiswick Moran through TravelRepublic three months in advance and got a double room for under £80. What an absolute bargain. Just 15-20 minutes into the centre of London by tube (Gunnersbury tube right next to hotel), so well positioned if you're prepared to stay a bit outside the Zones 1 &amp; 2.The hotel is excellent; decorated to a very good and modern standard. The room was clean and had a large comfortable bed. Small Plasma telly. We only stayed the one night but would have no hesitation in staying again. The Breakfast was ok, nothing exceptional, but was included in the price so a definite bonus as many hotels and B&amp;B's nearby charge extortionate amounts for the privilige. The staff were friendly and helpful and spoke excellent English, which we've found on many occasions in London to be a big problem. Overall, we would recommend this hotel without question.	
Mar 3 2008 	Good Hotel... but not for me!	I stayed here for five nights. I was on business and was given the option of a number of hotels and chose this one because it was the closest to my work. Apart from that it was close to absolutely nothing and I nearly died from boredom in the evenings. It is close to a tube station but I spent an hour and a half getting to central London one evening. I had an executive room so I really cant compain about the hotel. The room was big, bright, spacious, modern and luxurious as was the bathroom... it was everything you could expect from a hotel of it's standard. I enjoyed the complimentary breakfast also. My only complaint is that it isnt really near to anything of interest.	
Feb 24 2008 	lovely hotel convenient	Stayed here for weekend with my partner, booked through alpha rooms.net for £148.00 (2 nights b&amp;b for both of us.) We flew from dublin to gatwick, flights very reaonable with ryan air (30 euros for 2) I booked the gatwick express train online, it was £58 return for 2) the train goes every 15 mins. When we got off the gatwick express, we got the district line to richmond. The ticket was £4 single, we got off at gunnersbury, this takes 19 mins. We arrived at the hotel and I was very pleased, our room was lovely. The next morn we were woke by drilling on the road at 8am, seemingly this was out of their control. I would accept that, however the duty manager was not too pleasant, she moved us to another room. The breakfast was fine, I was wary off the cooked breakfast from other reviews but it was o.k. Personally I would have liked a better selection of bread or croissants and fresh fruit. We got the tube from Gunnersbury into Picadilly. Get an all day travel ticket, ours was £5.60 each and this gives unlimited travel on the tubes all day. When you book a show be careful, we booked in Leicister Square and had to queue for ages, we realised when we arrived at the Lyrics theatre, our tickets were £9.00 cheaper than we paid. All in all, hotel is not difficult to find, all the staff especially Jamie and Patrick in reception were more than friendly. Rooms were very funky and relaxing. I would go back here.	
Jan 16 2008 	Good Locationcomfortable accomadation	Hotel is clean and comfortable.Very easy to get into cental London from the hotel as it is beside a tube station.Food is very poor (Avoid the Fried Breakfast at all costs)	
Jan 15 2008 	Yes it's a good onebut avoid the fried breakfast!	We stayed at this hotel January 08, based on the very good reviews here. We came by car, and there is a spacious and safe underground car park for £10/24 hours and you can go in and out as you please (pay at Reception on checkout)I was worried the room might be too hot as the windows don't open, but the heating is controllable, and it wasn't a problem. Although our room faced the busy road, noise wasn't a problem, The bed was the most comfortable bed I have slept in for ages-very large double, with crisp white cotton sheets. Good tea/coffee making facilities, but when we asked for more sugar, it never came. All the staff appeared to be from Czech Republik or Poland and it was probably a language misunderstanding. Excellent Breakfast buffet included in the price and you could also order Irish cooked breakfast. However, this arrived swimming in grease, so if you want something hot, get the scrambled eggs with salmon instead.I would definitely stay there again, and you can get the best price from alpharooms.com	
Jan 4 2008 	You can't go wrong!	Excellent! Nice room, nice hotel, nice area.Yes, you have to walk a bit to get to the shopping/restaurant part of Chisweek and yes, you need a Tube trip to get into London city, but this hotel is definitely worth it!	
Jan 4 2008 	Nice	My wife and I have read the reviews from this hotel and we chosen this hotel for the staying for a 4 day vacation for new years eve in London.It is a very nice hotel but we have a pretty big objection - none of the windows can be opened. We took a double deluxe room. It is small but very nice, with a pretty big bathroom - we had a bath and a walk in shower. The climate was set to 25C and it was too hot to sleep. There were no windows and the air-conditioining is blowing directly to your face while in bed. That was a big minus for me.We had a walk in closed but with no shelves, so it kind of hard to unpack your staff, but it wasn't a problem for us. We had a safe and a tee making machine. The personle was really nice and help with everything we ask for. The breakfast is not that rich. There are just 2 kinds of salami and one day they ran out of yogurt?!? But also included in the price was a irish breakfast with mushrooms, eggs, bacon, sausages - very tasty and very large :).The location is pretty conveniece. The distric line is a couple of minutes from the hotel and it takes you directly to Westminster or Tower of London. If you're going to oxford street you must chage but it's not a problem. Also I would like to advise you not to change at Acton town as stated on the hotel web site if you're going from heathrow, becouse you'll need to change your train again. Rather change only at Hammersmith and take the district to Richmond.It is a very nice hotel if you're not claustrophobic.	
Dec 18 2007 	A lovely hotel in a part of London which is very worth some extra travell time.	I loved this hotel. To me, it is a perfect retreat in London. It is a couple of minutes walk from the nearest Underground station, and a few minutes from where I used to live in London, in Gunnersbury.It is a four star hotel without relaxation facilities though with a fitness room.I had a four night stay in London, with two nights first in the Crowne Plaza, Docklands, and two nights in this Moran Hotel. I much preferred The Chiswick Moran Hotel to The Crowne Plaza Hotel, Docklands. Even though I had one complimentary night at the The Crowne Plaza Docklands, I still paid over £20 more for the two night Crowne Plaza Hotel stay than for the two nights here, booked through ABA hotels (abahotels.com). Although The Crowne Plaza, Docklands has full leisure facilities, I found I would much rather stay at The Chiswick Moran. I fully recommend The Chiswick Moran. TRY ABAHOTELS.COM. I paid £68 per night for a room for one person which had one area with double bed and comfortable seating and a further, separatearea with a single bed and desk and chair. This is one hotel, of only a few, I would pay the hotel's usual rate, which I think is £99 online (more otherwise I believe) for a room for one person. It is good value.As expected, there was a hot drinks tray in the room, a stylish one actually, with safety kettle design. The bathroom was lovely with a large, walk in shower (large round 'monsoon' shower head) and separately, a bath.The restaurant is nice, unpretentious, relaxing and a good place to unwind. The bar I must say is one of the nicer places I have experienced in London. THIS BAR IS WORTH TRAVELLING TO if you are not staying at the hotel. It may seem kind of 'retro' in a seventies style but seems, more than that, very modern and of this decade as much as any. Visit to see. There is free Wi-fi Web network access for guests, also free for visitors to the restaurant aand bar. The bar prices are very good. Also 4 to 7 O' Clock afternoons, excluding Sundays, cocktails are only around £3.50 (I can't remember the exact price.) This was refreshing coming from The Crowne Plaza where, away out near furthest South East London, beyond Canary Wharf, cocktails were £8 a time.Room Web network access is by cable and is not free, though you can pay by half hour or hour rather than by day if you like, which is good, and not so common for four star hotels who often charge only a 24 hour rate.Looking at the photos of rooms taken by other guests on Trip Advisor , I think the room I had was best for me, in subtle dark and light greens and white and mauve, and thick, dangle pile carpets. I thought it was the nicest design room I'd had for ages. I really relaxed. (I actually had gotten sick in The Crowne Plaza, then when I needed to go out, I spent all night in a Central London dance club on my second night, though the garish red and brown decor at that hotel had gradually made me ill anyway.)Staying at The Chiswick Moran really was a tonic. It is a lovely area to stay in, though in the immediate vicinity, not offering attractions beyond a shop and take-aways. It is an extra 15 to 20 minutes on the underground to Victoria than if you were staying in Chelsea or Kensington. For me it is very worth this. The hotel is in relatively quiet Gunnersbury which is at the end of Chiswick, and excellently placed for the huge Gunnersbury Park (lovely, really recommended for any time in London). There is a very small nature reserve, The Gunnersbury Triangle also, worth walking through and sitting in, not far from the hotel, entrance by Chiswick Park underground station. What's more, Richmond is a quite short train journey from Gunnersbury station, also Richmond Park. Kingston is a bus ride from there. I happened to have some special views on suburban London with lovely greenery in the back gardens on the road the window looked onto.Shopping, eating and drinking is good in and around Chiswick High Road, one to two stops on the train, or get on a bus from a stop near the hotel, no extra if you have a one day London Travelcard for your underground train journeys. For me, I would very often prefer to go drinking, and eating, in some of the stylish places in Chiswick, than bother trying to find two or three places in the evening in more Central London. And at least one day of any two day stay, I would be very happy to stay in this lovely hotel for refreshment, sustenance, and pleasure. There is further relaxing lobby seating on the first floor, looking down onto the entrance.For excellently priced car rental near the hotel, there is Aim (aimrentacar.com). They offer very nearly the best rates in London, perhaps Easycar aside, and you can pick up from their branch near the hotel at Chiswick Park station, at Gatwick or Heathrow airports, or delivery to any London location (I don't think to Stansted or Luton airports, though you can check).	
Dec 3 2007 	Nice hotel in West London	Due to bad weather I ended up staying an extra night in London. Luckily I manage to book a executive room (129 pounds including breakfast) at the Chiswick Moran Hotel. The Moran hotel in Chiswick is recently opened (2007) and is decorated in a bright (my room was lime green), modern style. Very large room with two reading chairs. Bathroom had both walk-in rain shower and bathtub. Lovely dimmer lights in the main room for a relaxed feel. In room kettle for coffee/tea making.Breakfast is adequate - small selection of cheese and meats, toast and 1 other kind of bread, cereal, the usual continental stuff.Some niggly points: stain on carpet in room (otherwise very clean), expensive Internet (3 pounds for 30min). Chiswick highroad is a very noisy road, would always recommend to stay in one of the rooms not facing the street in Chiswick.	
Nov 12 2007 	Excellent hotel with links to central London	Booked a night at the Chiswick Moran in order to see a show in London. Having stayed at 4 star hotels in central London, with bedrooms the size of cupboards, I thought I would try somewhere further out, but near a tube station (just opposite the hotel on the District line).We arrived just after midday and had no problem checking in at that time. Room size was excellent with an enormous, very comfortable bed. Room had everything you would need, with plenty of tea and coffee. Rooms are decorated in a modern style, our only complaint was that both bed side lights seemed to be on the same switch (a little bit picky).We did not use the retaurant or bar apart from breakfast so I cannot comment on them.Checkout does not need to be completed until midday and as breakfast is served until eleven, this allows for a very lazy morning if required. The staff were all very friendly and I would certainly stay there again.Carpark costs £10 for 24 hours but I don't think that is excessive considering the location.	
