	ubiquitous large hotel but excellent value for money	Rooms were a decent size, very clean and very quiet. Excellent location and good value for money.	
Feb 28 2009 	terrific London hotel	I stay there 2 months a year, in 1 week chunks. Location is unbeatable, rooms and bathrooms are spacious, the executive club room is convenient w/free snacks and drinks, and returning clients enjoy personalized service, free morning paper to room, etc. Wonderful young staff, all aiming to please altho occasionally baffled.	
Feb 25 2009 	Nice hotel with clinical atmosphere	The Park Plaza Victoria is located less than 5 minutes away from Victoria Station, which is most convenient, particularly as there are not too many (nice) hotels in the area. The hotel is modern, the rooms are clean and relatively spacious compared to other London hotels. However, already the reception area, but also the rooms and even the restaurant lack of atmosphere. We couldn't help feeling a little bit like in a hospital.Otherwise the hotel is nice and recommendable; sometimes pricey, but often not too expensive either. It is most recommendable if you need to be close to Victoria and if you travel with children, as the hotel has suites and apartments that can accommodate families as well.The breakfast was not very tasty, I have to say, and the service was not really attentive or particularly friendly. Whereas the receptionist at check-in was very helpful and welcoming, the receptionist who was on duty when we left was most unfriendly and did not even say goodbye when we left.	
Feb 23 2009 	Perfect one night stay to watch a Musical	We got a great deal for the Park Plaza and had no expectations, except for those you generally have of London hotels which is generally poor and overpriced. We booked the overnight parking at £30 and were told to park outside and the concierge would help. This was the only disappointing side to our stay and the hotel needs to do more for guests on this part. After queuing for a while for the concierge we finally sussed that we had to reverse back up to a lift - there are no signs for this and you immediately drive past it.... It was a little scary driving into the lift and then finding a space.However, checkin was very good and we were speeding up to our room in minutes. The room was very clean and fresh, with good facilities and a clean shower and toilet. We went to see Wicked which is practically next door to the hotel so it was perfect for that stay. When my husband responded to a questionnaire with comments about the parking he received an apology from the Manager - which in my books is good customer service - I just hope they act on it.I would recommend the hotel for short stays in London, it is ideally placed for the most of the Shows and has some good restaurants around as well.	
Feb 19 2009 	Good location nice large rooms - but nothing extraordinary!	Stayed at the Park Plaza Victoria for three nights in December. Booked the hotel based on good reviews and it looked like a clean and neat hotel. A lot of hotels in London look really dodgy and I wanted something nice, but affordable. I think we paid about £130 a night, okay - but I'm not sure whether I think it was good value.It is situated close to the Victoria station (very handy if you are flying from Gatwick). The area around Victoria Station is a bit busy, but there are some nice and more quiet side streets with restaurants, bars and cafés. We had some trouble finding the entrance of the hotel. The building does not look very much like a hotel, it's just a plain business-like building. It felt like a hotel aimed at businesspeople as well - professional and unpersonal. The reception area is very nice, and the bar/restaurant looked good as well - we didn't eat there though so I cannot comment on the food/drinks. The staff were professional and nice. We arrived a bit early but were given a room straight away at the 6th floor. The room was large and there was lots of space, which is nice and quite unusual for London hotels?! Based on previous reviews we did not have the best room! No chocolate or fruit in our room! There was a hairdryer, minibar, safe and television. But the hairdryer was awful - there was no real on/off button so you had to keep pushing the button to keep it going, my thumb was aching after a few minutes so I had to give up - it also smelled awful (overheated, burnt) and there was no real power so I would have to stand there for ages! The bathroom was nice, but some places like the bath tub looked dirty - it might've been flaking paint but it still looked gross. The bed was comfy and we had a nice view from our hotel room, down to the busy street below, roof tops and we could get a glimpse of London Eye as well. Despite being a lot of traffic outside of the hotel we were never bothered by any noise. My only real complaint is the internet access, it was incredibly expensive!!! I think it was £ 20 a day! I've stayed at lots of hotel and never had anything close, and at this room rate the wireless net should be free! The location is great as it is possible to walk to Buckingham Palace, Oxford Street.. and the tube is just minutes away! The Apollo Theatre is nearby and there are lots of restaurants, cafes and bars in the area. Good area to stay in!All in all, Park Plaza Victoria a good hotel with nice, spacey rooms - but that's it! We might stay here again, but there are probably better hotels charging the same or lower price than Park Plaza!	
Feb 10 2009 	Nice bed. Terrible artwork and finishes in rooms	Staff at front desk average. Room spacious but little details like incorrectly directed lights and door handles which were impossible to open very annoying.They sprayed a room with some sort of chemical down the hall and then stunk everything up. Not very nice for our young baby.Area is average but convient to the train station.Breakfast is average as well. Nothning special for a hotel breakfast.Room faced onto noisy building works.Would stay again but for the price they asked would also consider similar hotels in better locations.	
Jan 29 2009 	Perfect Location for a little bit of everything	We spent our first three days in London here and the hotel was just perfect. I had booked with the hotel and received their business class upgrade, and that gave us access to the business lounge - which had complimentary breakfast and a 'happy hour' of sorts. It was so great to come back after a long day of sightseeing and go for a glass of wine or beer in the lounge and have a few snacks (oysters, crackers, cheese etc). One night this was our dinner as we were late for the theatre. the front staff was very accomodating, and I would definitely stay here again.	
Jan 28 2009 	Excellent - no problems at all (single night)	Here with my better half for a single night prior to a business meeting and really couldn't fault the place. Very pleasant front desk staff who changed our room without complaint when we found we'd been booked a twin rather than a double. Quite large room, spotlessly clean and extremely comfy bed. We were on the 7th floor, sort of on the side of the building, so it was very quiet during the night too. Another big plus was the breakfast, which was one of the best experienced in a London business class hotel - self service admittedly, but a cracking full English - all well cooked and tasted like proper food as opposed to much of the horrid bland stuff many similar hotels manage to serve up !Very good conference centre on the lower ground floors too. Would certainly stay here again and it's perfect for Victoria station and for Victoria Apollo theatre where we got last minute cheap tickets to see &quot;Wicked&quot; - audience full of kids but a good show nonetheless.	
Jan 5 2009	Decent hotel inefficient front desk staff / check-in procedures	The hotel itself was nice and clean. The rooms were good size and the beds comfortable. The water pressure was good and the bathrooms in good condition. The internet rate we paid was very good.The front desk staff was another matter. They appeared confused, disorganised and unable to communicate clearly. They need to improve the booking and checking in systems / procedures for staff. Our simple on- line prepaid booking of 7 rooms caused chaos. The staff did not know what to do, the check-in took much longer than necessary. They were not communicating what we were expected to do, they kept disappearing from the desk and not explaining whether they wanted us to wait, etc. The staff would greatly benefit from customer care training and a list of standard questions / text for checking –in. Then the credit card was billed incorrectly - more than once. I had to have more than one conversation with the accounts dep. to sort this out.Overall – the hotel was very nice, but make sure you get a clear explanation from the front desk what they are billing you for and at what rate, or you might get a nasty surprise when your credit card bill comes through.	
Jan 4 2009 	Basic 4* hotel near Victoria Station	Stayed there 2 nights for New Year's Eve. Choosed this hotel first for its location and its price.Booked through booking.com and got a Superior (Standard) Double Room for £303 the 2 nights including taxes but no breakfast. Hotel is non-smoking which is good for us 2.Room on 4th floor was ok for the size but bathroom was rather small. Bed was King size but old and not comfortable at all. Didn't like it as well as the pillow. TV was not a flat one so for a 4* hotel in London it's old fashioned I think for the price you pay.Staff was ok.Good thing is the location near Victoria Station when arriving with the Gatwick Express. Tube and Buses really nearby.Shops and bars around as well as a good pub Wetherspoon's. Internet café nearby also. Try the Wagamama for dinner.Don't go there unless you get a good price.	
Jan 3 2009	Great Staff yet overpriced	We stayed here to get to a Southend United and Arsenal FC match. This hotel is overpriced. Not only per night, but for any amenity you usually have to shell out a lot of money to stay comfortable. If you are looking to save money, do not go to this hotel. The staff was incredibly nice, and gave us smart travel tips, the rooms were comfortable and the lobby and rooms were very stylish and pretty. Altogether a good hotel if you don't find spending too much money.	
Jan 2 2009 	parking a joke	I would like to pass on my experience on staying at this hotel.I would firstly like to mention about the parking situation which i think is disgusting when i asked where to park the car it was said cant park at hotel no spaces available so will have to park on the roadside alongside the hotel which we did .After parking in this space for about twenty minutes just to allow us to take belongings to our accomodation we arrived back at the car to find a penalty ticket of forty pounds.When we approached the hotel staff regarding the penalty they just said well you can park in NCPcar park which is situated about ten minutes down the road there were no apologies that we couldnt park on the hotel premises which i think that is the least they could do,when you book in at a hotel you expect a parking space.Not at any point does it state on the internet where i booked this reservation that the parking is very limited or you may have to park down the road.Secondly when i booked this reservation i booked two rooms with QUEEN BEDS only to find the both rooms had two single beds how can this be A QUEEN BED?So i would like to say not an enjoyable experience had by all of us,AND WOULD NOT RECOMMEND IT TO ANYONE!	
Dec 25 2008	Great Weekend	My wife and I spent two nights at the Park Plaza last weekend. This was our first visit to this hotel as we normally stay at the Cavendish in Mayfair. However, We needed to be near to Victoria Station this visit so we chose the Park Plaza because of its proximity and on the strength of reviews on Tripadvisor. The location was perfect for our needs as it was literally a two minute walk to the station and there was a reasonable choice of restaurants and bars in the immediate area. We were pleased to find our room was ready when we arrived shortly after midday. The room itself was spacious, clean and had everything you would expect from a four star hotel.We didn't have breakfast as part of our package but we used the bar three times for drinks and found the service excellent and reasonably -priced. The staff throughout the hotel were friendly and efficient. In fact we had no complaints whatsoever and will certainly stay at this hotel again in the future.	
Dec 20 2008 	Excellent!	I have just returned from four nights at the hotel and would thoroughly recommend it.The staff were friendly and helpful and we had a huge, modern, clean room with lots of facilities. There was a range of toiletries, bath robe, ironing board, iron, fruit, chocolates etc.The continental breakfast was also good, with a selection of juices, pastries, cereals, meats and cheeses.I think the hotel is excellent value for money and will definately go back!	
Nov 30 2008 	Nice room terrible concierge	The hotel is lovelty, comfortable and spacious, ,but, and this is quite a major grumble for me, the lack of help with parking. I was charged £30 for overnight parking and the concierge gave me a ticket and mumbled some directions to me and i then had to squeeze my car into a car lift and figure out how to use the lift, park up then find my way pack up the reception. For a hotel of this type am i wrong to expect someone to take my car into the car lift and park it up for me and then bring it to the front of the hotel when i check out? ( for £30, a not unreasonable expectation) Maybe it was because i was not wearing a suit, maybe it was because i have a scouse (liverpool) accent, maybe it is not hotel policy or maybe they could not be bothered, that said, they were all smiles and helpfulness for the french airline staff who turned up as i struggled back to reception with my suitcase to find my wife.........	
Nov 28 2008 	Business Location Great but Otherwise Totally Disappoints	Stayed at this hotel 5 nights (Sun-Thurs.) on business in September, 2008. Spent week working just 5 blocks away, so an easy walk in the Victoria Station area. I can think of 3 nice things to say so let's start with the good 1. Very quiet...I didn't hear noise from adjoining rooms nor from street below. 2. Bath was spacious and well supplied with toiletries. 3. One of the concierge employees was outstanding and arranged dispatch of car and pickup of my partner at Heathrow Airport. Was my partner's first time traveling international so was really concerned about him getting safely to the hotel but they arranged perfectly.But the downsides are numerous: thick dust in 1/2 inch margin between the floor moldings and carpet - so really noticeable. Burn holes in the drapery liner and poor lighting to boot. When I went to ask for desklamp the frontdesk said &quot;we don't have any&quot;...shocking for a place that bills itself as a business hotel and so I had no choice but to settle for dim, recessed ceiling lights. Overall I would not recommend this hotel and would recommend that it be at best, a last resort in the area.	
Nov 23 2008 	Great stay after a few hiccups resoved	The hotel is literally 3 minute walk from victoria station with a huge sign of WICKED next to it :) We arrived just before 2pm and i was told by recepetionist Sigfried that our room was not ready and wont be til 2. After going back at 2pm, Sigfried again, i was still told that our room wont be ready and will take a further 20 minutes to clean. I was a little annoyed as these rooms arent totally cheap and you are paying from 2pm onwards til 12am the next day. i finally went back at 2:30ish and he said our room was not ready still, by another person, and went out the back for a minute. he came back and said he has put us in another room. And i had to ask. what room is that? he said it was a studio room as apposed to our standard room. I asked what the difference was as he didnt mention it as i didnt want to be ripped off. He said it was a bigger room. We went up to the room straight away to unload our stuff and the room was pretty big as i expected it to be much smaller yet still good. Water was set out with fruit and chocolate which was compliments of the hotel. The tv had a message with my name on it which was kind of cool. Had a couch and desk if we needed it. The aircon didnt put out cold air but its winter so we just opened a window. The bed was massive,it must of been a king. The breakfast was great and we needed the buffet to fuel us for the day before we went back. overall i think the experience was good other than the checking in bit. Overall good and i'd recommend it. If your rooms not ready chances are you'll be upgraded and if you arent kick up a fuss as your paying from 2pm. we left at 12ish and paid the normal room rate which should of been more but thanks to the upgrade it was a good rate. I would recommend this to my friend so book today and go see wicked as the temp singer is amazing and i think better than the original.	
Nov 16 2008 	A splendid place	A wonderful hotel. Nice breakfast. Lovely evening meals. Splendid cafe but shut Saturday and Sunday. had the most exceptionally delicious gateaux and coffee. Good at reception desk. Rooms were so spacious and homely. Nice situation as well. Near to new shopping centre, Buckingham Palace and the theatres for Wicked and Billy Elliott. Marks and Spencers nearby and Victoria Station. Taxis and everything you could wish for.	
Nov 9 2008 	Nice hotel shame about the bar staff	We stayed in an executive room which was spacious and pleasant, also well worth the price.Great location and there's plenty of nice bars and restaurants nearby.Breakfast would have been okay had we not been vegetarians, as the veggie option was lacking to say the least - egg on toast was about the size of it, which certainly wasn't worth the cost.The only big complaint was the attitude of the bar staff. They were rude, slow and more interested in talking to each other than serving us our (rather overpriced) drinks.Their lack of customer service is the only thing that would put me off staying at this hotel again.	
Nov 4 2008 	Fine stay - would recommend.	My wife &amp; I spent 3 nights in Sept. 2008 on vacation. Chose this hotel based on price, TripAdvisor reviews, and location. We also booked tickets to see Wicked and the proximity of the theater seemed like a bonus.I was on business mid-week in the City - stayed at the Crowne Plaza - VERY NICE. But heard the City was boring on weekends since many shops close when the business people aren't there. We didn't want to get stuck in dullsville on the vacation portion of our trip!I'll admit I was disappointed having just come from the Crowne Plaza. But don't forget - we were paying a lot less than the Crowne Plaza - I don't believe the hotels are even the same class. I kept asking the staff when we first arrived - is this really an Executive Room? Good size, but very plain - not well appointed. From afar - the hotel looked very nice, but on close inspection everything seemed in slight disrepair. Very much like the Victoria area itself - a little dingy/grimier than other parts of the city we visitied. A lot of contruction going on around the hotel (although I was never bothered by noise). The walk towards West Minster Abbey &amp; Parliment was a little dreary - your average working business district found in most cities (fast food, convenience stores, other misc. shops you won't go into). Overall we had a very pleasant stay here - no complaints. Convenient to transportation. We found the staff helpful &amp; nice. We ate at several nearby restaurants and had great meals everywhere.One shining feature of the PPV was the Executive Suite! Snacks, beer, wine, sodas in the evening and breakfast every morning. It wasn't fine dining, but when you're traveling about the city all day - this was a real welcome treat at key moments when you need it most! And again - the staff running the Suite were very nice and attentive. I would definitely recommend upgrading to the Executive Room for this.	
Oct 30 2008 	Very very bad	Stayed at the Park Plaza Victoria from 24th - 27th October. I booked the room through the hotel web-site then emailed to request an extra bed for the Sat. and Sun. nights (got a confirmation email back). 3rd bed was confirmed at check-in. It did not arrive until 1am Sunday morning! Staff were then very rude, dismissive, insulting, made insulting and sarcastic 'phone calls and told lies. I agreed a level of compensation with the Duty Manager on Sunday morning, which was then refused by the Front-of-house Manager on Monday, saying it agreement never happened, even though it was witnessed by three of my friends. I was then threatened with legal action when I refused to pay.It is incredible that this level of behaviour is tolerated by any company, let alone one that depends on customer satisfaction so directly.	
Oct 23 2008 	Poor Cust Service	We just returned from a great trip to the UK. We ended our trip at the Park Plaza Victoria, which is unfortunate since the attitude of the staff nearly ruined the entire trip. Our reservations were made a couple of months in advance through Orbitz. When we arrived the Duty Manager was extremely rude and made inappropriate comments. The hotel was very nice &amp; clean; however, when a member of management is rude to guests, the overall level of customer service diminishes for all employees. I would not recommend this hotel, nor would I stay there in the future.	
Oct 20 2008 	Good value hotel	The rooms were spacious and very clean and modern. The people at the desk were very helpful and courteous. The location was excellent. It was a 5 minute walk from Victoria Station and 10 minutes from Victoria Coach where buses are available to take you to Heathrow airport.	
Oct 2 2008 	Good	Have used the Victoria when couldn't get into its sister hotel at Riverbank. It is not as good as the Riverbank with older, less well equipped rooms but it still is much better than average. In a good location behind Victoria Station with many good restaurants and pubs in the area behind the hotel (Pimlico). Breakfast is good.	
Sep 29 2008 	Great Location and Comfortable!	While not located in a restaurant area, it is so close to Victoria Station (and the Gatwick express) that its convenience outweighs its neutral location. We had a huge room with a king bed - extremely comfortable beds and pillows. In-room safe, and a hair dryer that actually works. The bathroom was huge with a separate shower and tub. We had a little couch, desk &amp; chair, and separate chair and table - spacious! We also had a mini-welcome basket with fruit and chocolates. The front desk wanted to upsell us with an &quot;executive&quot; package - for breakfast and additional amenities which did not seem to be a good deal. This was a great business hotel, with a comfortable lobby/bar for a night cap. When asked for restaurant recommendations, the front desk said their own restaurant (which I find cheesy to do). Wetherspoons was around the corner, and breakfast is cheap and good there. Again, while not in a restaurant area, it is very close to the musical theatres, and Victoria station. Great place to grab a taxi, the underground or a quick baguette and coffee. Overall, the location and quality of this hotel was exceptional for the price we paid.	
Sep 25 2008 	Average hotel	Stayed at this hotel on August Bank holiday, as I wanted to be near Buckingham Palace. The location was good, but I would not go back and stay in a hurry. When we checked in, the receptionist could not find our booking, after speaking with a colleague they eventually checked us in. The room was only set (we think for one person) due to the fact that the toiletries we had was for one shampoo, and one bath/shower. We did not eat dinner but was booked in for breakfast, and for the amount of money that was charged for the breakfast, I was very disappointed in the quality. However I would not have liked to be coming later for breakfast, as the queue was horrendous waiting for tables, as the restaurant is very small, there is a pub serving breakfast about 2 minutes from the hotel which I recommend (we had our dinner there), Overall for a four star hotel, I expected better. Just glad that it was not my hard earned money paying for it.	
Sep 25 2008 	Excellent Staff	We stayed in one of the Apartments at the Park Plaza and it was brilliant. Apart from a couple of marks on the sofa and chair (which were nothing to worry about) our stay was wonderful - the staff were lovely and the room totally soundproof. Well done Park Plaza!	
Sep 4 2008 	Great!!	This hotel was great!! We arrived on time to get our room, but it was not ready. We went to the bar and had lunch, and seeing that the room was still not ready, the concierge upgraded us to a nicer room. As soon as we arrived in our room, the Guest Relations dept., ( Daniel and Peter) send us a bottle of champagne with fruit for our honeymoon! We had stayed at two other hotels before we arrived at this one, and we never got anything from the other hotels. Another concierge, Daniel, helped arranged for us to get on a bus to Heathrow. We had room service and although it was expensive, the food was great.My only complant about this hotel is that they could clean the rugs more often - they do not smell, but looked somewhat dirty (The Park Plaza Hotel in Amsterdam had the same problem, but their rugs actually gave off a bad odor).When we return to London, we will definitely stay at this hotel again!	
Sep 1 2008 	Good location problematic service	Wife stayed at property, Aug 29-Sept 2. Disappointed to have experienced the following: no voice mail in room, had to change rooms due to internet problems, staff was unresponsive to report of MOUSE in lobby bar (when she approached the staff member, the person shrugged her shoulders and said 'there is nothing we can do about it, we have our doors open, and they come in from outside&quot;), I called the property and the phone rang 20 times with no response, and a second time was left on hold for 3 minutes with no service. For the prices paid in London, better services are expected. The location is great, and for the most part the staff is friendly and helpful. The concierge was informative and very nice.	
Sep 1 2008 	Needs to try harder	Stayed 4 nights, arriving Wednesday 27th August. Having read earlier reviews about reservation issues I phoned the hotel two days before just to check all in order as room booked via hotels reservation department over a month in advance. I had requested a walk in shower as friend has undergone hip replacenent and unable to climb over bath sides, I was assured all was in hand and exact room specified was available. On arrival, the room, a twin with a shower, with executive package was not available. Allocated a room on the 2nd floor, atrium view, which I was assured was a 'good quiet room'. On entering the room we were greated by an ironing board still up, dirty dishes, newspaper in the bathroom, beds made but dirty linen. I returned to the reception desk, a few internal calls, confirmed the room had been serviced and back checked, this clearly was not the case. I was then offered another room on the 6th floor, our executive package would have to follow and would be sent up. The bags were then transferred to our final room on the 6th floor, I would not really rate an 'executive', but it did have a view, was light, decoration getting a bit tired, glass vanity top had chunk of glass broken off, old style tv, carpet and decoration must be due for refurbishment. So we ended up in a room, not really what we wanted but forced to accept. The executive package arrived on a wooden tray after 10minutes, great service but this was a comb, sewing kit, two pairs of slippers, some better coffee, face clothes (which were never replaced during stay) and bathrobes (which had seen better days), not forgetting two apples and an orange, we never got the chocolates mentioned in the package!!It quickly became apparent paying extra for executive rooms does not mean you get any better rooms. The real and I would suggest the only benefit was access to the Executive lounge, this was used for breakfast and predinner drinks.The one member of staff who stood out over all others was the lady who served breakfasts mid week in the Executive lounge, very helpful, very polite, if only all the reception staff could rise to her standard, just how much better the hotel would be.The executive lounge did change at the wekend, with families staying, the quiet atmosphere lost, but still a great concept if standards maintained.Check out OK, errors quickly corrected, bags left for collection, when collected, no offer to get a taxi or enquire if assistance required. It was probably easier and quicker just to arrange yourself, but it would have been nice to be asked.	
Aug 26 2008 	Really disappointed - much worse than last time.	I stayed at the Victoria Park Plaza for two nights in August, having stayed at the hotel in 2003 on business and having very positive memories of it. Unfortunately this time around I was extremely disappointed.There were a number of things wrong with the hotel this time:- We arrived at 2pm but were told that our room wasn't ready yet and we were asked to wait 30 minutes. We went back 45 minutes later to be told that the room STILL wasn't ready and we had to wait a further 10 minutes to get our key.- The hotel clearly hasn't been refurbished since my last visit and the decor now looks dated and worn. Our room was very dark as we were on the third floor and the window simply looked straight out on to another building so there was no daylight whatsoever.- There was a connecting door between our room and next door which unfortunately meant that we could hear every word that the couple next door were saying to each other, even though they were speaking at a normal volume.- Our room wasn't serviced at all while we were there. We were out of the hotel from 10am to 3.30pm but when we came back to the room no-one had been in and we ended up having to call down to the housekeeper for extra toilet roll as we had run out.- Both mornings we had to queue for breakfast, even though we tried going earlier on the second day to avoid the queues.All in all the hotel is okay but I had very good memories of it from 2003 being quite luxurious and modern and it is definitely no longer like that. I wouldn't stay here again - there are other hotels in London for the same price that are much nicer.	
Aug 20 2008 	Excellent	Stayed for 1 night at this hotel on 18th August and really couldn't fault it . Check in was fine - nice welcome room was ready for us and it was only 9.45 am and was upgraded to a suite which was great - large light room with great bathroom.Had booked an executive room so had all the little extras and use of the executive lounge which we used on getting there for coffees and later before we went out for drinks and nibbles.Excellent location - 2 mins from Victoria station and lots of eating places around.Breakfast was great and even suited my husband who is very fussy!Hotel is modern ,light and airy will definately return.	
Aug 19 2008	Fantastic Staff!	We stayed here on two separate occasions (15th &amp; 19th August). The outstanding impression was of the staff. Every staff member that we met was friendly, cheerful, courteous, professional &amp; efficient. They really made our stay a very pleasant experience. I can honestly say that for a hotel of this grade, especially when you consider the location in a busy major city, I have never found a hotel where all of the staff excelled at their jobs to this extent. So often the staff in busy city hotels become jaded, but not here. They were of a standard that I would expect from a small exclusive hotel.The hotel in generally was perfectly as I would expect for a 4 star city hotel. The only negative comment I have is that the dining/breakfast room carpet is tatty &amp; very stained &amp; needs replacing urgently.The position is fantastic for Victoria station &amp; many of the nearby theatres. Highly recommended.	
Aug 19 2008 	Good Location - double check your reservation!	I was aware that this hotel has reservation issues before I went (previous Trip Advisor reviews) so I was cautious to double check everything before I went, not only with Hotels.com site, but also with the hotel directly. We had 3 rooms, all on the executive level to include breakfast for 3 nights. We were changing hotels in London so I went to check in prior to having my luggage delivered just in case there were issues. Sure enough, there were. All the rooms were confirmed as standard rooms. Fortunately, I had brought names, dates and confirmation numbers (including hotels) plus I had an excellent front desk person (Peter). It was agreed that we did indeed book executive level rooms but when they are entered into their system, the indicators which show that it is &quot;executive&quot; are not being picked up by the Plaza people, nor any of the other extras. DOUBLE CHECK YOUR RESERVATIONS!This is a nicely renovated Swedish hotel. Although the list of 'extras' you get with the upgrades room shows a bunch of things, we got almost nothing. Rooms were not cleaned each day, no new soap or shampoo the entire stay.There is a pillow variety option but they only had 1 foam pillow in the hotel which my Mom really needed. The housekeeping staff was short tempered when pressed as to why there were none available. We never received our newspaper and although it states that there are beverages available in the lounge area all the time, we were asked to leave outside the breakfast and evening starters times. This is a pricey hotel - and although it looks 4 star, it was very average. Location is great about 2 blocks from Victoria Station. They have a package which includes tickets to see &quot;Wicked&quot; next door - which we did and it was outstanding!Tip: Use their shuttle service to Heathrow. It was a bargain at 22 pounds, very nice and timely.	
Aug 19 2008 	Just average	The location of the hotel is perfect if you're staying as tourist. It's close to Victoria station and major route of bus, even at walkable distance from Big Ben. But because of that, the hotel is a bit noisy. I'm not sure if that happened to me only.The hotel room is pretty much standard business class hotel room. The toiletries are simple, only soap, shampoo, body lotion. That's all. They even forgot to supply them for one two days, so I had to call to get the supplies. The TV is very outdated. The bed is standard. The breakfast is ok but has limited choice. Probably I'm too demanding but hey, for that kind of price, I think I deserved to ask for more.So, to be honest, if you're in business trip, just need good location to catch public transport and your company pay for it, it's pretty much good option. But if you're tourist. I guess you could find better hotel around Victoria with cheaper price.	
Aug 19 2008 	Excellent Stay Friendly Staff!!	We stayed at the Park Plaza Hotel for three nights at the end of our honeymoon. When we arrived the front desk staff was really friendly and courteous. It's location to Victoria Station was perfect for us. We did have the continental breakfast one morning and it was less than what I would have expected.Overall though I will stay at this hotel again when I travel back to London.Thanks	
Aug 18 2008 	Will Definitely Stay Here Again	Just returned from spending 2 nights at the Park Plaza Victoria. The location is excellent. My wife and I are avid walkers when it comes to touring cities but London is a big city so having the option of using the &quot;Tube&quot; was fantastic with the Victoria Station just around the corner. We arrived at the the hotel around 11:00am and the reception was excellent. The lobby is contemporary and nicely designed. Stephane took care of us by starting with a pleasant greeting and smile. He was very professional and responsive to our inquiries including a late check-out request. The room was not quite ready (about an hours wait) but he quickly directed us to the concierge Marcin, for baggage storage.Upon returning we went to our room on the 4th floor and weren't disappointed. It was a good sized room, nice bathroom, king-size bed and very clean.The only concern was the mattress as the king was made up of 2 doubles put together and one was softer than the other. I'm sure if we had called the front desk they would have done somerhing about it but we chose not to.All and all a great stay and value. We celebrated our Anniversary and were sent complimentary champagne and strawberries, a nice touch. I had made a note when I registered online and they didn't forget. We will definitely stay at the Park Plaza the next time we travel to London. TipsVictoria Station for the tube is around the corner. A Day Pass is 5.30 pounds ea. You really only need Zone 1 &amp; 2 as it covers most of the main tourist hot spots. Day Pass is also good for the buses.You can walk to Buckingham Palace comfortably.If you are looking for a breakfast option other than the hotel there is a nice cafe called Caramel about 150yds south. Mon-Thurs the meal is 1/2 price.	
Aug 16 2008 	Has changed over the last year or so....	I stayed at the Victoria Park Plaza during previous visits to London, and I was satisfied with the hotel, so that is why I decided to stay there again this June for a business trip.The hotel is conveniently located two blocks from the Victoria station, so commuting to and from my work location was easy enough. Also, the hotel staff could be considered helpful. However, during this stay I did not need any extra assistance, such as dry cleaning or concierge services, so I did not have many encounters with the staff other than checking in and checking out.One noticeable difference that I realized during this visit was that the carpeting in the hallways and room has become more and more stained over the last year and a half, and it seems that the hotel management has not done much to remediate the situation. Also, I noticed that the walls seem to be thin enough to hear the loud television from my neighbor’s room. I do not know why I did not notice the thin walls during my previous visits, but it may be because I just did not have people staying next door to me then. During this visit, I also tried out the hotel restaurant for breakfast. I was not exactly impressed by it, so I switched to picking up pastries and tea at Starbucks during most of my stay.	
Aug 15 2008 	Fab Hotel Fab location Great price!	Fantastic Hotel in fab location - 2 minutes walk to Victoria Tube Station.Rooms were modern. clean and with good facilities.We booked directly on the internet and got a fab rate in an executive room with breakfast - cheaper than late rooms. Executive rooms give access to the executive lounge with free drinks, including alcoholic, and nibbles which our 10 year old thought was great!The staff were friendly and the breakfasts great as well.Absolutely couldn't fault it and will stay again when next in London	
Aug 14 2008	Bit disappointed	We stayed here after booking a deal online so got the rooms cheaper than booking direct. Even with the cheap deal I don't think the hotel was worth the money. The location is great but the hotel itself not so much. We were given two adjacent rooms on the first floor (which apparently has been redecorated). One of our rooms was so bad (cracked glass sink, architrave held on with masking tape in the bathroom, disgustingly mouldy tiles in the bathroom) that we complained and to be fair the staff were very helpful and not only moved us but upgraded the room as well. Ourrooms on the first floor on the corner opposite the bars were very noisy with loud music playing and people chatting (seemingly right outside our window) into the early hours. The air conditioning didn't work in our rooms either which made them quite stifling depsite not having the greatest weather (overcast and rainy but very close). All in all we were expecting a lot more from the rooms after seeing the impressive lobby area so were left a little disappointed.	
Aug 11 2008 	Great Location	The location of this hotel was just perfect, within easy walking distance to Victoria Train Station and Buckingham Palace. My reservation was for a King sized bed but I was given a queen instead. The air conditioning was sufficient but very noisy. Overall, the staff are friendly and helpful; the conceirge desk staff were most accommodating. Upon check-out, I had some questions about my bill that did not make sense. The woman who emerged from the back office to aid the pleasant trainee desk clerk was not so nice and actually pulled the bill out of my hand after a lame explanation and threw it in the garbage. I told her I was not finished looking at it and still had questions; when she gave it back, I noticed it had someone else's name on it and was not my bill at all. A new bill was printed and the issue resolved but she was very unprofessional and impatient.	
