	Don't stress just book it- it's fine!	I stayed up until 1:30 a.m. one night, stressing about hotels (and their cost !) and especially worrying about the reviews on this place and whether I could find a more affordable, more centrally located, nicer hotel in London. I wish I had gone to bed earlier in the night, because the hotel was fine. It wasn't grand- simple, small, clean and a place to sleep. But it wasn't awful, either. Would I book here again? Yeah, probably if the price was right. However, I wouldn't go out of my way to book here either. LOCATION- I wouldn't say it was &quot;centrally&quot; located- maybe walkable to Kensington Palace, but that's about it. However, it is just about a 7 minute walk to two different tube stops (the district, central and cirlce lines), so that's really all that matters in London. BREAKFAST- We purchased through Veneer and breakfast was NOT included in our price- it would've been an extra 8 pounds. So, instead, we stopped at the Spar near the tube stop and purchased some bananas and cereal bars. Much cheaper and allowed us to get going at our own pace. SIZE/AMENITIES- We stayed in room 37. It was small- if you're American, imagine a typical guest bedroom with bath. However, I personally don't care about having a large room 'cause we are active and siteseeing. Rooms included a nice large hair dryer, shirt press, hot water pot with instant coffee and tea, large closet with safe. The TV did not have cable, only about 5 stations or so... again, doesn't matter to us, but might to others.BATHROOM- Decent sized, with deep tub. Really bad shower pressure. Tile was loose on the floor. Included lots of counter space and a towel warmer. STAFF- Always seemed nice enough. No problems, but they didn't go out of their way to be super kind or anything, either. They did let us leave our bags in the &quot;luggage area&quot; when we arrived VERY early in the a.m. before our check in time. The luggage area was really just open shelves. It worried my hubby at first because we were the first to put our belongings there, but when we got back later that evening, the luggage shelves were full and noone had tampered with our luggage. NEIGHBORHOOD- The street where the Tube exit/entrance is was a bustling area with lots of food and shopping. Some of the restaurants were obviously more geared toward tourists, but there were a few unique spots, including some authentic Chinese and Mediterranean. There's also an indoor mall, marked with a big &quot;W&quot; on the outside near the Bayswater Tube station and I also noticed a few consignment shops, which I was discovered too late to visit. So... if you're up late reading this and super worried about the accomodations... just book it!	
Jan 6 2009	More like a standard B	I stayed at the Byron with my boyfriend 3-6th Jan 09. I was expecting something a bit more up market than your usual London B&amp;B's as this is meant to be a 4 star hotel. However, it really isn't anything special, and certainly not 4 star quality i'm afraid. The good points: Friendly staff, clean room, clean bathroom which has a powerful shower, modern bed linen. The bad points: Very small room, ( we stayed in 004) only just big enough for a double bed! For a four star you would expect maybe a snack bar , or room service on offer but all the hotel served was breakfast at £7.95 per head. The hotel itself was tiny and I was a bit disappointed that it looked so ordinary. There was a lounge but nobody used it, it was small and although looked quite pleasant it was obviously never in use. I was expecting more facilities and more things to be on offer in the hotel itself as like I said 4 star is meant to be a bit more special than 3 star but this is really not much different to your bog standard 3 star small B&amp;B's around London. It served its purpose but was more of a B&amp;B than a classy country style hotel as it claimed to be.	
Dec 8 2008 	Location warmth secure clean and a great shower at a great price!	Excellent hotel. I was originally booked for a couple of days, ended up coming back for another night later in the week because it was such good quality and value.I paid approx 65 quid a night, by booking directly on the hotel's website, for a double room which was a nice size. The single rooms were quite small, and for my second stay I was booked in for that, however, when I arrived late at night they had a double free, so said I could stay in that instead if I wanted. That's great hospitality, and ensures I'll not only come back, but will also tell all my friends.Highlights - strong hot shower. Very important when its 5 degrees or less outside. Good central heating. Quiet rooms (if you're not facing the road). Good soft bed and nice linen. Very clean, which is a rareity for central london.The Byron Hotel proves you can get reasonably priced quality accommodation in the centre of London.	
Dec 1 2008 	Communication issues	I stayed in London because of a congress from 26-30 November 2008. As I had to pay the holiday part of the journey myself, the price of the room was quite an important factor. As you will be aware, finding budget accommodation in London that meets at least some (hygienic) standards, is nearly impossible. Therefore, I was quite happy finding this hotel through TripAdvisor. Through the reviews I had to some extend a positive image, though I was prepared for a small room. I booked the room directly at the hotel website and was quite pleased to find there was a special Internet promotion at that time, stating &quot;room and breakfast included&quot; for about £400 for 4 nights. That's about as &quot;budget&quot; as you can reasonably get in London. Moreover, the location seemed quite good, near the congress venue and near the tube. So I decided to give it a go. Though when I received the reservation confirmation, it stated &quot;room only&quot;. At that time I didn't really care too much as I thought these things to be pretty standard, i.e. not adapted for some temporary promotion.Upon arrival, I was met at the reception with cordiality and treated perfectly fine. I was way too early for check-in time, but could leave my luggage there to enjoy London. At that time I did hear someone check-out though and heard he had to pay extra for breakfast. Huh? But well, I thought it might be he did not have this &quot;promotion&quot;. So I returned at check-in time to complete forms etc. I have to say I was quite astonished to hear &quot;breakfast was NOT included in the rate&quot;. I did mention to the receptionist that I thought it was, but he stated it was not and would cost me about £8 extra per person. Now this is not about the £8, but at that time I did decide that I would certainly not have breakfast at the hotel, as there were cheaper options around the corner. And that decision was more because of the lack of good communication, than because of the price. That said, the rooms were small indeed, to the point of it being impossible to put 2 suitcases (1 regular, and one suitcase for hand luggage, so that's a small one!) in a way that one could pass to the bed. (We booked a standard room). Moreover, we noticed 4 days in a row that the red &quot;decorative&quot; pillows on the bed were not clean. The room was not the only small thing - I guess in such a small room one does not have another option than to put a small bed. I admit we both are rather tall (I'm about 1m78, my boyfriend about 1m86), but not extraordinary and our feet sticked WAY out! Which was quite uncomfortable ... Last but not least: the room gets invariably hot even though the heating was OFF. In conclusion: I think the price of this hotel is way too high for the services offered, though the staff are friendly and we didn't notice the noise problem mentioned by another reviewer.Then again, I'm afraid this is a problem in London as a whole ...	
Nov 27 2008 	Highly Recommended - Quality service - Excellent location	I was informed at the last minute I needed to go to London on Business and meet up with several clients. Not being familiar with Central London I was looking for a 2 night stay close to the tube. After looking on the internet and studying the map I came across the Byron Hotel. I telephoned them and asked them if they had a single room for 2 nights starting that very evening. They were extremely helpful, they told me where I could park, which tube station and gave me clear directions. On arrival they checked I had parked in the correct area outside the hotel and explained I would need to move the car before 8am in the morning and could put the car in the NCP car park for the remainder of my stay at a low cost of 40p per hour, which is just round the corner. I stayed in a lovely double room with a beautiful ensuite bathroom. Nicely decorated and clean. In the morning I had a full English breakfast and the customer service was excellent.This is an excellent hotel in a perfect location to visit central London. All the staff are friendly and helpfull. I would highly recommend it and look forward to my next stay.	
Nov 26 2008	Sincere and honest service providing a cosy and comfy hotel that is not too big	I stayed in a double room with 2 single beds with my son who had just graduated in University of Kent in Canterbury. The room was well decorated with heating (appreciated in November 2008) and toilets were clean and worthy of mention. Everything was up to expectations from the breakfast facilities served by smiling staff who were very obliging. Its proximity to the Queensway station and Hyde Park made it easy for us to access the tourist attractions like Kensington Palace, Globe theatre, etc. The airport transfer at 40GBP in a chauffeur driven Mercedez limousine at the end of the stay was a great send-off. I shall certainly bring my family to stay there again in future. Helen Chin practising solicitor in Malaysia	
Nov 23 2008 	Lovely hotel but noisy at night I'm afraid.	I booked this hotel after reading the reviews on tripadvisor . The hotel is in a great location, our room was very nice, very clean, beds were very comfortable, we booked an executive twin so also were pleased to find that although our room was small, we had the use of a seperate room next to it with a seating area and tv (as well as a flat screen tv in our room).We only stayed one night, everything seemed fine until we tried to get to sleep. Sadly the constant woooshing of the lift and the noise of the air conditioning (even though we had turned it off), plus the loud buzzing of a fuse box on the wall made it very difficult to get to sleep. We even had to close the windows due to the sound of (what I assume were) the air conditioning units outside.Maybe we were just unfortunate as we were on the 5th floor room 43, but if we'd have booked for 2 nights I would have asked to be moved to a different quieter room. Apart from that, the staff were great very helpful, and overall the hotel is very nice but I wouldn't go back as I value my sleep.Maybe we were just unfortunate in having that particular room, as we also had the random ringing phone that another reviewer mentioned.	
Nov 19 2008 	Nice Hotel	A really great (and not expensive) hotel! Me and my wife, having a bad experience with a horrible hotel some time ago and reading all the bad reviews about various hotels of London were afraid of what to expect. Thankfully, our fears were not true. The building seemed renovated, and the room we stayed in was in perfect condition. The room was a little small, but, in fact, we liked it, since it was very cosy! The location of the hotel, next to Hyde Park, is convenient. Finally, the hotel staff was professional, helpful, and polite. We would definitely stay in Byron Hotel again if we sometime visit London (which is a really nice, interesting and beautiful city) again.	
Nov 18 2008 	Nice but our room was very small	We stayed 4 nights in the Byron. It was our first stay in the centre of London. I can't compare with any other hotels.My husband booked the Byron mostly due to reviews on this website. I was a little bit disappointed because the room and the bed were very small. But they were clean. The bathroom was clean and small as well. We found everything we needed, even an electric kettle (that I appreciated). I was disappointed by the internet services (I had to connect for work purpose but it was so slow that I couldn't work. Fortunately they accepted not to ask payment for it.).The hotel was very well located. The services and the breakfast were good. The place was quite.What I specially appreciated was the london style of the building.You'll have a very idea of what you can expect by watching the pictures in this website.	
Nov 17 2008 	Excellent Value in London	I found the Byron on Venere.com, a site that I've found to be reliable for good quality but lesser known accommodations in Europe. The staff is friendly, accessible and knowledgeable; my room was quite small but managed not to feel cramped, and it was clean and comfortably furnished. The location near 2 tube stops makes getting around very easy, and there's an amazing variety of good restaurants just around the corner. As a single woman, I felt quite comfortable staying there alone. In pricey London, this is an excellent value on all fronts.	
Nov 13 2008 	Excellent hotel.	Excellent hotel in every respect. Would definitely stop here again.Very close to 2 tube stations. Room very comfortable and clean.Staff extremely friendly and helpful. Excellent breakfasts.	
Nov 12 2008	very nico place to stay	We have been in The Byron for 5 nights. This hotel is very good located near two undergroundstations (3 lines!) and very near to the Kensington park and shops and small restaurants.The room is very proper, but on the fifth floor is the shower and the toilet very small, especially when you are 1.93 m tall!!!The breakfastroom and the breakfast were good. The staff of the Byron is very friendly.	
Nov 11 2008 	Very pleasant stay	Very pleased with this hotel. I needed a triple room room for adult &amp; 2 kids including teenager. We got a very good sized twin room with an adjoining room with a double sofa bed, table &amp; chairs &amp; its own tv. Teenager very happy! Cooked breakfast was included although continental looked a bit limited and fruit was all tinned. Staff very helpful both before &amp; during our stay. Hotel very central. 5 minutes from Queensway &amp; Bayswate tube stations. Also just 3 minutes from pick up stop for London sightseeing buses. One problem was that airconditioning didn't work the 1st night and as the room wason the 5th floor (via lift) it was very hot. This problem was sorted the next day. Room a bit noisy due to furnace/lift making noise at regular intervals during the night. But we all slept fine. All in all a good place to stay and I'd go back again.	
Nov 6 2008 	Really good hotel	Our experience at Byron Hotel has been very good: rooms are clean, furniture quite new, very gentle receptionists and it's 5 min away from 2 underground station.Also our additional requests (room at higher floors, baby cot, etc...) has been satisfied.	
Nov 3 2008 	A Classic Pom	A well located classic English hotel. Clean and welcoming though the smallish rooms are a bit of a challenge.Overall good value for the money and would probably stay there again because of the location to Bayswater Rd. A safe area frequented by backpackers but don't be put off as there is a good vibe. Plenty of restaurants around catering for all. Very central, close to two tube stations, nice walk from Paddington Station and close to Kensington Gardens.	
Nov 3 2008 	The Byron - Great value in central London	The Byron is a 4-star family hotel just around the corner from Queensway Tube on the Central Line, and about 50 metres from the Bayswater Road and Kensington Gardens. I found the staff were friendly and helpful and the rooms were very comfortable. I was offered a tariff at less than £80pp a night, including a very generous English breakfast. This is real value for money!It's certainly a hotel I will return to regularly - very convenient to everything in central London and situated in a quiet street. A real bargain!	
Oct 30 2008 	10 thumbs up from this family :)	Our experience was one of extreme satisfaction. We're a family of 5 (children 11, 12 &amp; 15). We were all very happy and impressed with the accommodation, location, cleanliness, etc, but most of all the warm and friendly demeanour of the staff.Furthermore, for a hotel that is within a15/20 tube ride to the heart of London, situated close to Hyde Park &amp; Kensington Gardens, it offers amazingly competitive rates.As with all holiday accomodations, some visitors will encounter problems at times (maybe they set the bar too high?). This hotel has minimised the risk by providing a service that meets the basic requirements to allow you enjoy your stay in London at a very competitive rate with no hidden charges. As with everything, agree the terms and price of your stay, have it confirmed by email and from then on rest assured that your holiday will be a success.Many Thanks to all the staff. 10 thumbs up from this family :)	
Oct 27 2008 	Would definitely stay here again.	The Byron Hotel is located in sleepy Bayswater/Queensway, well away from the hustle and bustle of the city center, but an easy underground or bus ride to the main attractions. The room was tight, but clean. My husband couldn't stand up in the shower, but anyone 6' and under will have no problem. The front desk was helpful and friendly. If ever we're in London again, we'll try to book the Byron.	
Oct 20 2008 	Recommend the Byron	The Hotel was very clean and comfortable, with polite &amp; friendly staff. Didn't try TV. Shower was good, bathroom was clean.It was a good location, 10 mins stroll from nearest tube at Queensway. Local to Kensington park &amp; palace. The street was fairly quiet and pleasant. We didn't try the restaurant breakfast so can't comment. We preferred to walk to nearest cafe nero to get some fresh air before breakfast.We walked to Notting Hill &amp; Portabello Road from Hotel. We got the tube back!Would recommend this hotel to all my friends and anyone else. In fact it was recommended to me by a friend.Prices vary depending on who you book through. It cost us £216 for 2 nights for twin room, which I thought was reasonable considering how close to centre we were.	
Oct 18 2008	a very good deal at a reasonable price	I spent four nights at Byron Hotel in early October. For the first two nights, I stayed in a double room with a friend. For the last two, I stayed alone in a single room.The double room was wonderful, clean and tidy. Though smallish, the cleanliness made us feel comfortable. There is a modern flat screen TV as well. All the basic needs like towels, shampoo, shower gel are catered for. The room faced the back street, so there was absolutely no noise at all during the night! The single room was equally clean and tidy. But it faced the street, so there were a little traffic noise at night. The air-conditioning was not strong enough for me to keep the window shut. There was also an electric kettle in the room which was quite a nice surprise!! On the whole, the room was comfortable. Paying about 70 pounds per night, I think it was a very reasonable deal!All the staff I met were very friendly and helpful. During my stay, I noticed that there were a lot of hotels nearby but after reading the reviews... I am really glad that I have chosen Byron Hotel. Should I need to go there again, I'll stay in it again!	
Oct 7 2008 	Super friendly staff	We started our holiday in London, staying at the Byron Hotel, Bayswater. This reasonably priced hotel is close to the Bayswater station and Hyde Park, the area was safe to walk in the evening, with lots of people out and about. The staff was very friendly and helpful throughout our stay, the room clean and comfortable. We dined at a recommended restaurant - Khan's -and thoroughly enjoyed it. We would stay here again.	
Oct 1 2008 	Good value old word flair modern and clean	Three of us stayed at The Byron for three nights in September and would recommend it to anyone. It was in a safe neighbourhood, had an 'old world' air about it but was completely modernised. The 'guys' at the front desk were exceptionally friendly and helpful. It was on a main bus line and near a Tube Station. It's an exceptional value.	
Sep 28 2008 	A great little hotel	Just spent a week in London, and we stayed at the Byron Hotel, which we'd seen good reviews of on a couple web sites, including the Tripadvisor. We can confirm that it was a spotlessly clean and recently fully renovated hotel..a great place to get home to after sight seeing all day. Our room was smallish but tastefully furnished including a flat screen TV on the wall. The noise from the other rooms was almost nil, tho we kept the windows open, to get some cool air in the room which got stuffy at night, and this let in a lot of street noise till midnight . The location was superb..two short blocks from the Bayswater Tube station and blocks of neat cafes and shops, and only a few doors away from Hyde park. The desk staff were unfailingly pleasant and helpful, and made us feel welcome...all for 96 pounds a night. From what I hear this is a major deal in London.	
Sep 28 2008 	Convenient stay for one night	We stayed one night at the Byron based on positive reviews on this site and it's location to Paddington Rail Station. The hotel is on a quiet street very close to Kensington Gardens and within a 5 minute walk to shops, small restaurants, and the Queensway and Bayswater tube stations. Definitely take a taxi from Paddington if you have heavy luggage, due to the lack of elevators in the tube stations! As with most hotels, be prepared to leave your luggage if you arrive early in the morning, as the rooms will not be ready until 2:00pm. Our double room was small but clean and comfortable. It would have been a bit too small for us to stay more than one night, however. The bathroom was fairly small, but also clean, despite having a bit of a musty smell to it. The shower was nice. There was also a small flat screened TV and air conditioning in the room. The front desk staff were always friendly and helpul.Overall, the Byron is a good choice for a short stay in an area that is quiet, but also close to transportation options for the city.	
Sep 26 2008 	Good Value	An ideal location for the West End Theatres and yet away from the hustle &amp; bustle. Its location close to Kensington Gardens /Palace and Queensway subway is just great.We received a friendly welcome on arrival with the services explained simply but efficiently. All the staff were courteous and friendly. The room was compact but very clean with both a double &amp; a single bed. Breakfast was very good also.I would recommend the Byron as a good location offering excellent value for money.	
Sep 24 2008 	Good value well located comfy hotel	We stayed here for a budget cost honeymoon. Good location with 3 tube stations close by and lots of other hotels and shops near too.Room was small, but adequate and clean. We did not eat there so booked a room only deal which was excellent value.We would stay there again for sure.	
Sep 21 2008	Byron Hotel (London) for your Aussie break	You will read other reviews on Trip Advisor which must relate to before the hotel was refurbished - disregard those. The company has certainly upgraded this property. I stayed here with my dad whom I have bought over from country NSW (Australia) to visit London and other places in England. We had a very good stay. The front desk staff were excellent and the ladies that run the restaurant were lovely and friendly. As an aside, the full English breakfast was quite ample, and my dad being a farmer who can &quot;put it away&quot; never left hungry or disappointed. After the first day they knew that he wasnt going to eat the mushrooms - so confirmed that with him each morning on ordering (a nice touch). The room we stayed in (twin) was large enough for London standards. The only thing I would say is that London at this time of year was strangely warm, and therefore the room was quite hot in the evening. If you are coming over from Australia, you may find the rooms small, but upon arriving you would find that everything in this country is small. The rooms (for London) and the comparative price is quite good. As a tip in planning, call the hotel for a rate. The desk is manned 24 hrs a day, so calling from Aust, you should always have someone answer the phone. It is also only about 50m from Hyde Park (lovely), a short walk to tube station, and is only £4.50 cab ride from Paddington station if you arrive there from the Heathrow Express train (from Heathrow). If you are broke then it is only a 10 min walk - but bags can be heavy. I would definitely choose this property over others to stay at.	
Sep 15 2008 	Lovely relaxing stay	We stayed for a week ending 11th sept 2008.We asked for a quiet room with air conditioning which was exactly what we got.The whole hotel has been recently redecorated and refurbished,and is beautiful.There is a lift to all floors .Our double room at the rear was quiet,and very comfortable.The bathroom was clean and kept clean with new towels daily.The staff were all friendly and helpful...........................................................................The excellent optional breakfast was served in the modern mezzonine dining room,which was kept clean at all times,the staff clearing away used crockery as soon as a table became vacant laying it out again ready.The hotel is in a quiet terrace, and yet is very conveniently located a few hundred yards from Bayswater High Street &amp; shops,Hyde Park and only three quaters of a mile to Oxford St shops by direct bus from the end of the road.There are plenty of restaurants in the area if required and the underground..............The next time we go to London for a break,I shall not have to trawl my way through hotel website customer reviews, now I have found The Byron Hotel.	
Sep 7 2008 	Beatiful hotel	It is simple perfect. The room are very clean and confortable. Good position in London, just 2 min from tube so you can go easily everywhere to visit the city. Excellent!	
Aug 17 2008 	A safe bet	This was my first trip to London - a work trip on a small budget. Flying solo, I had heard many negative reports about the expense and the standard of London accom, and was apprehensive to say the least. I breathed a huge sigh of relief upon walking into my room at the Byron. It was small, but not tiny, and was well appointed and clean. Pretty much everything I wanted. The hotel is secure [guests hand in their room keys as they leave, and pick them up again on the way in - the front desk is attended 24 hrs per day]. Staff are friendly and helpful, location is great -- 2 tube stations nearby, loads of food options. I would recommend the Byron to anyone not wanting to blow their budget on accom in a second.	
Aug 9 2008	Cozy and comfortable-great staff	Booked the hotel initially through an online site, but when I tried to ask a question regarding the room, I was unable to contact any human being either by phone or email at the online booking agency site by using their listed customer service phone and email numbers for people in US. I finally called hotel directly and found they were not expecting us. The Byron staff said it was unusual that they had not received notice of our arrival from the online booking agency by then, since we would be there the following week. This made us a bit anxious. Long story short: I cancelled the original reservation through a credit card payment denial (had already received the hotel bill on the credit card prior to leaving US for the trip). I booked the room directly through the hotel and they even gave me a better rate than the one I originally had through the online site. The place was comfortable, air conditioned, with smallish rooms, clean, and nicely decorated. Everything worked. The traditional breakfast was good (you've got to like baked beans, eggs and meat). Service was good. Location was great, close to the Kensington gardens, which is a lovely place to go jogging every morning. The hotel was in Bayswater, conveniently located near an underground stop and a commercial street full of ethnic restaurants, stores, and even a mall with a movie theater. The staff was helpful and courteous, especially Syed. I would recommend the Byron to anyone, especially travelers on a budget. Good value.	
Aug 4 2008 	The Byron is fantastic!	My 16 year old daughter and I stayed at The Byron in July 2008 to celebrate her Sweet 16, and we made a great choice. This is a terrific hotel with an amazing staff. The night desk crew of Syed, Ali and Martin were so nice. They were really interested in what we had done all day and gave us great advice on places to go and things to do! The Byron is located literally two blocks from the Queensway Tube station and the Bayswater Tube station is on the same block a little further down the road. ( Two different train lines )The Tube is the most efficient subway system I've ever used. It runs so well, the trains run constantly, if you miss one, don't worry, there is another one coming in 1-2 minutes. The trains were clean and the people are so civilised. Men would stand up and give you their seat and the train was quiet, people read etc.. What a delightful treat, and you will use the train extensively, it is the best way to get around. Do not buy individual train tickets , that is the most expensive way to travel. Buy a &quot;travel card&quot; or an &quot;Oyster card&quot; it's the cheapest way to do it.. We were there for 5 days and I wasn't sure how we'd be traveling so at first I bought a 3 day travel card for each of us and that worked great and then at the end just a 1 day travel card per day. That allows you unlimited use of the trains and buses and there are no restictions about what times you can travel. We used the trains and the buses constantly!! We live in a suburb on Long Island and never travel that way but we were pro's at the subway system within a few hours of using it , it's that easy to use!! The area around The Byron is very safe and the Queensway &quot; High Street&quot; which just means the main street of this area of London is filled with restaurants, souvenir shops ,etc. is on the same block as the Tube station. We ate at a restaurtant called La Cabana just past the Queensway Tube Station( same side of the street) and it was very nice and the food was yummy. We had the Spagetti Bolognese. At the end of the Queensway &quot;High Street&quot; is a mall called Whitleys, it has stores, restaurants and small markets where you can buy prepackaged sandwiches etc. It was terrific. We did laundry just across the street on Sunday morning, it is one of the few places that was open before 11 am. We were travelling onto Paris for a week before going home. We took the Eurostar train with no problems to Paris from St. Pancras Station.Kensington Park and Kensington Palace ( where Princess Diana lived )are a 5 minute walk just across the street from the Tube Station. We recommend having High Tea at The Orangerie at Kensington Palace. It was so nice and who wouldn't want to have high tea where a princess lived? There is an internet cafe on Bayswater Road , the main road that the Byron Hotel street is off of called The Royal Bayswater Hotel, which is really a youth hostel, but the computers were great and it cost 1.50 GBP ($3.00 US) for 75 minutes of internet , you had to use it within 24 hours though. It still was a great deal and an easy way to keep in touch with family back home in the USA. The Byron Hotel was a great choice, our room, # 29 had twin beds and was on the 3rd floor, there is a small elevator, just enough room for 2 adults and 2 pices of luggage. Our room overlooked a quiet courtyard , that backed onto the garden of a private home. Thankfully it was not scorching hot when we were there because the a/c is not very strong in the room and it is shut off while you are out. Which I understand, no sense wasting electricity, but had it been really hot I personally would have been uncomfortable with the room temperature.The bathroom was a good size with a bathtub/shower. The water was hot and the pressure was great. There were plenty of outlets to charge your cameras, IPODS etc, just remember to bring an adaptor, I would bring one adaptor per electrical item that way they charge at the same time, I only brought one and woke up at night to switch them so the next thing could charge. Adaptors are cheap maybe $3.00 US so its worth it to have one per item.We had the hotels breakfast and it was good, 7.95 GBP per person, which is about $ 16.00 US pp for a couple of eggs, bacon, tea and toast. There was a buffet of Continental Breakfast food items, like canned fruit salad, cold meats and cheese, rolls and juices etc to choose from that was included in the price. The food was fine just a bit expensive. We made small sandwiches from the cold cuts and rolls and ate them for lunch , so it worked out well. London is a very expensive place though so be prepared. The hotel has recently been renovated and it is really nice and clean. The girls that serve breakfast are also the same girls that make up the rooms, they work really hard and are very sweet. The room had a good size desk with deep drawers to store clothes and a closet with shelves.There was a tea kettle and tea/coffee stuff to make some tea if you needed it in the desk drawer. There was a safe in the closet where you set the combination, that was really helpful. I used that everyday. My daughter and I loved everything about the Byron and would highly recommend it to everyone. I told my travel agent to recommend it without hesitation. It was reasonable priced and the ideally located, what more could you ask for!?!	
Aug 3 2008 	A small hotel in a great location in London	The Byron Hotel offered us a wonderful place to rest and recuperate at the end of each day's sightseeing in London. Staff greeted us on our arrival after a very long flight from Australia and made sure we were able to access our room as soon as possible. Our room was light and airy and meticulously clean. The updated bathroom provided welcome hot showers. The decor of this hotel is akin to taking a step back in time, a refreshing change from the more bland style of modern hotels. We will definitely book into this hotel when we next visit London. Cheryl and Ed Wilson	
Jul 23 2008 	Convenient and Good Value	Stayed in the Byron whilst in London for both business and pleasure. Great location, good value (for London) and excellent friendly staff. As mentioned before the room was a bit small, but I booked for somewhere to sleep and the bed was comfortable. Good selection of TV channels; the one extra thing I would like and expect from a 4 star would be tea and coffee making facilities.In summary, I would certainly recommend the Byron and have no doubt I will be back next time my schedule takes me to London.	
Jul 23 2008 	Wekend at the Byron...	My girlfriend and I stayed at the Byron for a long weekend. It is in a convenient location...near Paddington station...perfect for traveling to and from the airport...and anywhere else. The hotel is tucked away down a quiet street, just blocks away from resturants, shops and pubs. The staff is VERY friendly and helpful. They also helped us book some tours. The room was smaller than expected, but hotels are expensive in London. The Byron is worth every penny...	
Jul 21 2008 	Nice and quiet	This hotel is very pleasant and situated in a calm area in Bayswater. If you like big fancy hotels you shouldn't pick this one but if you , like me, prefer a nice and quiet place , you should definitly pick The Byron. The staff was really nice and helpful and the girls in the restaurang (I think they only served breakfast there ) were very sweet and effecient so it was a nice start of the day to take the lift to the breakfastroom. The rooms are not very big, in fact they are quite small, at least the one I stayed in. We were 2 adults and with 2 suitcases there weren't much free space left but with a big nice bed and a nice bathroom is was quite alright. A small room and a nice bathroom is perfectly alright with me when you are sightseeing all day and only stay in the room to watch some tv and sleep. I would certainly recommend fellow travellers to stay in The Byron. Rooms are small yes but staff is nice and helpful. There were at least 3 subwaystations in relatively short walking distance from the hotel. There were also lots of buses ( I never tried to go by bus though) so there are absolutely no problems to get from the hotel to the center of London or wherever you want to go.Next time I go to London, if I go, I would gladly stay in The Byron hotel again.	
Jul 18 2008 	perfect if you are looking for a clean bed/bath only	Good location, staff very friendly, room and bath clean, slept very well, but you don't want to stay in the room while you are awake	
Jul 16 2008 	Cheap and Chearful	Myself and two of my friends stayed in a triple room in this hotel and found it met our needs perfectly. All we wanted was a clean comfortable place to bace ouselves from and this hotel was ideal. The bathroom was recently refurbished and the beds were clean and comfortable. The carpet is the only real fault I could find, there were make-up stains on it but apart from that the room was very nice, a fairly decent size aswel. We were supplied with clean towels and our beds were made daily. On arrival we were asked to pay for the room, which I though was a little bit out of line, considering that we had not even seen the room yet. They already had our credit card details from our booking so I thought they could have trusted that we would pay on our departure. As we were booking in we were asked if we would like to reserve a table for breakfast in the morning, my friend enquired if this was covered in the room charge and she was told that breakfast was not included, even though it was clearly marked on the booking page of their website that the price included breakfast and taxes and charges....a word of advice, when you are booking the room online, print off the page that says price includes breakfast and charges to avoid situations like this. All in all, we found this a very nice hotel in a very convenient location but we got what we paid for...if its a cheap, clean, convenient location you're looking for this hotel is perfect, if its luxury you're looking for, try somewhere else	
Jul 13 2008 	Lovely hotel with a good english breakfast	I stayed here for two nights along with my two daugters and my mother. Staff was very attentive and the penthouse room we had consisted of a double bedroom with a separate lounge which housed a sofa bed and table and chairs, was clean and comfortable. It was great to return to the UK after 4 yrs away to a lovely english cooked breakfast. I will definately be recomending this hotel to family and friends. I know rooms in London are small but this had adequate space for several large suitcases and it had a built in wardrobe complete with a safe. Had lots of valuble information from the reception staff and didn't experience any of the negative things some of the other people have commented about. I have just stayed in a 4 star in Singapore and yes the room was bigger but not as comfortable. See you again Byron Hotel !!!	
Jul 12 2008	The Byron is a Good Honest Hotel	It was just great to find that the hotel lived up to its web site publicity. Our room - one of the last available at the hotel - was perfect. Well heated and with windows that open, very clean, pleasant decor, comfortable beds and clean fresh linen. The staff were genuinely helpful and friendly and I recommend the breakfast. Big thanks.	
Jul 9 2008 	Nice cosy little hotel	Very nice, helping staff, preemptively thought of giving a more fitting room to me and my daugther. Very small room, but clean and nice.	
Jun 11 2008 	Very nice for the price!	I moved to this hotel after staying in another one in the area, and for a 10 pound difference (rate was 80 pounds a night), it was quite a huge upgrade! We stayed in Room 18, named &quot;Gayhurst&quot;. Yes, it's small but every room I've stayed in in London has been small. It had a closet at least. I loved how bright, clean, and modern the room and bathroom were. They are doing renovation but it wasn't much of a disturbance. We didn't have breakfast there but it's so close to Queensway, where everything is! The only complaint was that the satellite tv doesn't pick up many channels, I usually only had BBC1, on occasion a few more channels were available but never more than three or four. (The other hotel I stayed at in this area had the same problem. Maybe London isn't an ideal town for satellite reception, with all the cloudy weather?) In any case, I'd have much preferred to have just had the regular basic local channels instead of the flaky satellite reception. I found the front desk to be friendly and helpful for the most part, only one night when we had a beeping sound all night and when we called we were told &quot;maybe it's the neighbour charging their laptop&quot;. Whatever, we complained again in the morning and it was fixed. We suspect it was the satellite or a dying smoke alarm battery, but in any case that was one very bad night's sleep. Also, the A/C is ok but not very strong. Otherwise, I was very pleasantly delighted with this hotel and would definitely stay there again. Great location!	
Jun 8 2008 	ok hotel but expensive	Clean rooms, but the hotel is inder renovertion.It is sad, that the hotel states on their own homepage that breakfeast was inclued, but when we came, they asked for 16 pond per day.	
