	Great location	Have just returned from three days at the Holiday Inn Bloomsbury from Nov 27th. We could not fault the hotel. We had room 429 right opposite the lift and had no problems sleeping on any of our three nights there. location is great, Euston Station is only 10 mins walk away, so messing with taxi's when you arrive or leave. Lots of places to eat within walking distance, make sure you take a walk into the Bunswick shopping centre right by the hotel, really nice in there and lots of good places to eat. We ate at Giraffe and Strada which we could not fault. Would highly recommend using the Big Bus Company tours to get around, you pick up the bus on the main road buy the hotel, it drops you at Trafalgar Square where you can collect the other buses to different attractions, brilliant way to get around, 48 hr pass for the two of us cost £50 and we well had are moneys worth [one ten minute taxi ride back from the strand cost us £10 and that was around 10pm so when the traffic is busy I'm sure the price would be a lot higher. To sum up great location, great breakfast, nice staff, would highly recommend.	
Apr 11 2009 	Sigh. Just another Holiday Inn...	I was a bit skeptical when I saw that the Holiday Inn Bloomsbury was a four star hotel because come on, the Holiday Inn? Four stars? Really?... Hmm... The first thing that comes to my mind when I think about the Holiday Inn is mediocrity and those tellies. You know what I am talking about.. Anyway here is my review:This hotel falls far from being four stars. I have to admit that I came here with high expectations from those **** reviews to only be disappointed. Starting with their service, I had asked for wake-up calls and newspapers upon check-in and received a wake-up call on only one of my three mornings. The newspapers never came. When I asked for an adapter, I was told to come down and retrieve it which I don't mind but is that really a way to treat a &quot;guest&quot;? I don't like the price for their Internet and their charge for exercising doesn't appeal to me either. The room reminded me of those Tokyo business hotels which are extremely cramped and the window faced some really ugly air conditioning units. At night, people make a lot of noise going to their rooms most likely because they are drunk and the hallway light shining into the room from the gap under the door can be really annoying. Besides all that, the hotel is conveniently located a block from the Russell Square Station and close to many stores. There are some really good restaurants you can find in a ten minute walk if you prefer to make the most with your money. There is also a cybercenter with cheap Internet in a small street between the hotel and Holton station. Just walk past Cagney's restaurant from the main street and make a right at the corner. The cybercenter is near a laundromat.I seldom write reviews but had to inform my fellow travelers what to expect from this hotel: just another Holiday Inn...	
Apr 10 2009 	May not entirely meet 4 Star criteria	An hotel booking on the Priceline “name your own price” program constitutes a certain abandonment of choice of establishment and to a degree location. Having used the program quite a few times mainly for the London area means that I have been allocated the same hotels on several occasions but it sometimes gives the opportunity to try something new. Each novelty brings some element of apprehension, especially if the booking is for several nights.Holiday Inn, Bloomsbury was quite unfamiliar to me – and I reckon to know London pretty well.It is a little off the beaten track only in the sense of being in a small, not unpleasant, square nestled close by a relatively recent block of apartments (Brunswick Estate).In fact it is also a mere three or four minute walk from Russell Square Tube (London Underground rail) station which is on the Piccadilly Line and therefore a direct, no-change route from Heathrow Airport. An important thing to note if travelling by tube with luggage is that to get from the platform to fresh-air involves climbing about 20 steps from the platform, then waiting for a lift (elevator) which is generally very congested. What kind of mentality calls for the elevator to be a floor above the platform? OK It was all built a hundred years ago I suppose.Additional useful note – Russell Square serves quite a few hotels and there is often congestion at the ticket machine especially by young travelers who haven't got London Underground's most useful item – An Oyster Card. Go to Transport for London's website for full details of this essential item. Buy one at any tube station but get one if you are to be in London for more than a day or two.The hotel incorporates a pub (Callaghan's) which also does food but I didn't have the chance to use it this trip as they stop serving at 9pm or two hours before the pub closes.There is a small pedestrian zone within the nearby Brunswick flats development which incorporates a supermarket, Starbucks, several restaurants and on my visit today an enterprising genuine German-sausage stand – Mmmm delicious! Similarly in adjacent streets there are Chinese and Indian restaurants and several other places next to the tube station. Plenty choice for folks who do not wish to eat in the hotel.First positive thing to say is that Holiday Inn has excellent, attentive and pleasant staff. The Italian lady who checked me in did a great job as did her male colleague who was patiently answering a barrage of questions from a wheelchair bound lady about rooms for the disabled.Rooms. I was allocated a room on the 5th floor at check-in and it was small. Small to the degree of having to make my way round the bed to get to the TV and lamp-standard. In fairness again to Holiday Inn my complaint that the room was too small for a 4 night stay and not consistent with a 4 star rating was dealt with instantly and pleasantly by an offer to move me. Due to other commitments that first evening I delayed a move till the following day and then took over a 6th floor business room which was much more reasonably sized.I'm not going to comment much further on the first room other than to say it just does not meet 4* standards. As in the 6th floor room the refrigerator bears a printed sign saying that a” replacement system is being investigated and it is unsuitable for storing food or drinks”! Wait a minute! Even small motels in the USA usually have working refrigeratorsWhat kind of system are they investigating? Go out and order a bunch of small refrigerators folks! In this day and age it is unreasonable not to provide one in a 4 star establishment. I suspect the “system” being investigated is an unwanted mini-bar, another method of extracting every last penny from the client. It's 2009 and few clients are going to be allowed to schmooz mini-bar charges on expenses.The room lacks those 4 star touches. The chairs in my room were worn out and uncomfortable - management please look at Marriott 4 Star hotels in London for some ideas. It's a shame the hotel is let down by those items and it does bring the star rating into question.The hotel is clean, well furnished and pleasant. Elevator frequency is good and controlled access to floors by a key-card system for security.	
Apr 8 2009 	Nice Hotel Great Location	My husband and I recently stayed at the Holiday Inn Bloomsbury and we were very pleased with the facility. It is a great location, convenient to the Russell Square Tube Station, grocery stores, restaurants, and pubs. The staff was very friendly and extremely helpful. The only issue we experienced during the stay is our first room was located above the recycling/trash bin and delivery area, so beginning around 6 a.m., the noise began. We asked to be moved to a quieter section of the hotel and when we returned from our outing, all our belongings were moved to our new room. No hassle for us what so ever.	
Apr 7 2009 	Convenient Location and Great Service	Booked this hotel as part of a &quot;Stay and Show&quot; package and I don't regret it. In spite of some difficulties negotiating stairs at various Tube stations to get to the hotel (not many stations are easily accessible for people in wheelchairs or with luggage), once there, staff were friendly and service was excellent. The room, while small, was comfortable and lacked for nothing. Towels, pillows, and shower were all excellent. As I was attending the theatre, the location could not be beat and staff were most helpful in providing directions to the theatre and the location of the nearest Tube station to the theatre.The cost of wifi (internet access) seemed expensive in comparison to other places where I have stayed but not knowing what other London hotels charge, I can't provide a comparison. However, when I returned from the theatre and enquired at the front desk if there was a computer where I could do on-line check-in, Gary immediately said that it could be done there and with a few key-clicks had me on the airline site and we even managed to move me to a seat which was more to my liking. Gary then printed off the boarding pass, put it in an envelope and asked if I required assistance the next morning with bags and if I needed a care to the airport.Staff in the bar were friendly and knowledgable about the wines they were serving. Prices were reasonable and I enjoyed a glass of white wine while watching the late night news on the flat screen television.Breakfast the next morning gave so many choices: cold meats, cereals, pastries, croissants, fruits, juices, cheeses, different types of milk, coffee, tea, and some other items that I don't remember. There seemed to be something for everyone and staff were very attentive. A cup was not even half-empty before someone was asking if a refill was required.I wished to obtain a ticket to see a production in June. However, I was having difficulties booking on-line as few theatres have seating plans available to peruse. When I asked about time to walk to the theatre box office, a map was provided and directions in very short order. I did manage to obtained a ticket for the theatre production I wanted to see in June (one of the very last seats available due to Ascot beginning that same day).Check-out was quick and easy and when I enquired about the possibility of a booking for June, Gary spent the time to look at all the options available and advised as to when final booking needed to be made due to the various events occuring that week.I would recommend this hotel to people looking for a centrally located place to stay with friendly and knowledgeable staff. I am looking forward to returning in June.	
Apr 7 2009 	Noisy thin walls. Disappointed	This is a very noisy hotel. The walls and doors must be paper thin! We heard every sound in the room next door, and in the hallway outside our door all morning and night! Very annoying. Room and bathroom were a bit cramped. Shower had poor pressure. I've had much better rooms in London at the Marriott and Hilton. Russel Square Tube is a two minutes away, but beware the lines can be long in the mornings with lots of tourists lining up. Room was clean and staff helpful, however the noise issue made for a disappointing stay.	
Apr 5 2009 	Great New Rooms	Stayed for 1 night on a Saturday and was pleasently suprised. From the exterior it doesnt look great but once inside the lobby area is bright ultra modern and seems very swish. Now usually in hotels that doesnt carry through to the rooms, but in this case it does. They look like they have literally just been refurbished, We stayed in an executive room on the 1st floor and it was fantastic. Large room, great fabrics and carpet and stylish colour schemes. Beds were the most comfortable ive even slept in and we made good use of the pillow menu. Only negatives is our morning paper didnt arrive and a maid knocked on the door at 12 midday when the do not disturb sign was up - annoying as we had a late (2pm) check out. But i would defiantley saty here again.	
Mar 22 2009 	Loved my stay - Would use again!	I was in London 20th March for a special occasion and to see the new musical Priscilla Queen of the Desert (Amazing). The hotel has had a fantastic refurbishment and looks amazing. The checkin process is quite slow but the rooms are worth the wait. We were offered a room on the top floor and we had great views of the courtyard and city behind. Everything you'd want is in the room. The only downside was the shower - The pressure is awful and it takes ages to wash your hair. The towels are very small and there isn't any shower gel or shampoo offered. The hotel is two minutes walk from Russell Square and there is a tesco behind (for a midnight snack). I'd stay here again and really loved my experience at Holiday Inn Bloomsbury.	
Mar 15 2009 	Very pleasant stay in lovely Bloomsbury	Despite the rather tired exterior and oh so '70s Holiday Inn logo, their hotel in Bloomsbury is rather nice and very good value. All the public areas have been recently refurbished and give the hotel a contemporary and spacious feel. The double room I had was not as well decorated as the main areas, but it had all the essentials - TV with wide range of channels, desk space with internet connection, comfy bed and spare pillows, bath / shower and trouser press (if you're so inclined).The high point of the stay was the breakfast. Even though the restaurant was very busy, the staff were plentiful, quick and attentive. Most conceivable breakfast options were covered and tea and coffee refreshed as and when it was required. Newspapers were also available.The only downside of the stay was checking out which was vey slow indeed. reception staff didn't seem to know how to handle guests in an efficient way. Perhaps they should get the woman who runs the breakfast service to do some trouble-shooting at reception!But that is a minor gripe. The hotel is in an excellent location and did a good job.	
Mar 10 2009	Good value for central London	This is a typical Holiday Inn. My daughter and I stayed for one night last week on a theatre/shopping break. We had a good B &amp; B deal with Travel Republic.Check-in was quick and efficient. Our twin room was of reasonable size and the beds were very comfortable. The pillows could have been better (although I'm a bit picky!)The room was clean and had tea/coffee making facilities, and the bathroom, although a little tired, was clean. Only a bit of noise from outside, but this is to be expected in London. My only real complaint was the high cost of internet access.Breakfast was great - plenty of choice and a nice cooked breakfast. The restaurant staff were very friendly and attentive.Russell Square tube station was just around the corner (2 mins walk), as well as coffee shops, small shopping precinct and Boots chemist, which also sold sandwiches, wraps, cold drinks etc. Just 5 minutes walk to the British Museum and 15 minutes to Covent Garden/Theatreland.Altogether a great value, comfortable and well located hotel in central London.	
Mar 9 2009	Reasonable Hotel very close to Tube.	The four star Holiday Inn Bloomsbury is located adjacent to the Brunswick Centre (Selection of Shops, Waitrose Supermarket, and Restaurants), and only a couple of minutes walk away from Russell Square Tube Station. It is also a short walk to the British Museum (approx 5 min).Check-In:Check-in was prompt and problem free.Room:Not overly impressed with the first room that I was allocated. However, this was promptly sorted by contacting reception and alternative room was offered, which was comfortable and of a good size. It appeared to have been recently refurbished, and generally quite clean, with the exception of a previous guests hair in the plughole of the bath, which was easy to spot and a dirty shower hose rail (see pictures). Found the room to be quiet and no noise free, apart from the odd emergency service vehicle, but this is to be expected in London.Internet/Wi-Fi:Internet/Wi-Fi is available in room, but at a very costly £15 per a day. Perhaps people would use this more if the rates were dramatically cut, not everyone is charging this to a business account. Staff:Staff were quite good, with a 'can do' approach.Breakfast:Got to say I have had much better from other hotels with the same star rating. Not a vast selection, nor were vegetarian sausages available. Having said that, the breakfast was acceptable and you would not go hungry.Overall, I would stay again at the right rate.	
Mar 5 2009 	Decent enough for a quick stay	We stayed at the hotel for one night last weekend. I wasn't expecting much as I'd seen the reviews and I'm not a great fan of Holiday Inn hotels, but it was a last minute booking, so I didn't have much choice in it. The hotel is a short walk from Russell Square tube station and is located in a busy side street, however, I can honestly say that the noise didn't bother me, so don't let that put you off. The rooms are fairly small in size, but are clean and have all the facilities you would expect to see. The only thing I didn't like was the bathroom which looked clean but was old and tatty &amp; had seen better days. Breakfast was great - lots of choice, fairly quick to get tea too. I'd recommend this place for a quick, good value stopover or girly shopping trip rather than for a romantic break.	
Mar 1 2009 	Very luxurious	We stayed for 4 nights in this hotel. The room was wonderful. The bed was comfy and it had a sofa, coffee table, tv and all the little extras like a kettle and a bathroom. Only downside to the hotel was that there was a lot of door slamming going on all night.The breakfast was nice. Choice of breads and pastries, cereal, english breakfast and toast.	
Feb 19 2009 	A place to rest with comfort	Just come back from a 2 night stay. Good sized room for London, yes a little tired, breakfast great, staff lovely especially in breakfast. no problems. Paid £108 per night for a double. Best thing they have designated smoking rooms	
Feb 15 2009 	Nightmare in Bloomsbury	The location of the hotel is great, on a quiet street in Bloomsbury, near Euston Station (main line) and Russell Sq tube, close to the British Library, British Museum etc.The hotel entrance is nice, the rooms smaller than I expected, but to the normal Holiday Inn standard. The TV is OK, with around 15 channels, but is an old fashioned set, not flat screen or hi-res. The desk lamp does not work.Unfortunately, during my stay, there are two major problems (I am writing this from the hotel). There is no cold water, due to a problem with the &quot;mains&quot;. This may or may not be down to the hotel, but they don't have a contingency in place to cope with such an event, (no cold water supply = no drinking water, no showers, no flushing WC etc) and there are no warnings/apologies posted at the entrance.Also, a problem probably specific to my room, is that the radiator is stuck &quot;full on&quot;, and the heat is unbearable, unless the windows are left open - causing the &quot;London ambience&quot; to enter the room, in the form of wailing sirens, mechanical noise and the sound of traffic and airoplanes.The staff have not offered a refund, or to place guests in other hotels. I expected better.Also (as with all hotels in the IC group, internet costs are ridiculous. Bring your own 3G modem.	
Feb 10 2009 	Decent enough for a business stay!	I found the hotel clean and comfortable. Rooms were ok, but the bathroom was very small. Great location – 2 minutes from Russel Sqaure tube and less than 10 minute walk from Kings Cross. There’s a small shopping centre right next to it with a few eateries, shops and a Waitrose.Breakfast was very good and staff friendly!For a business stay I’d recommend it, but for leisure purposed, I think you can get far better for the £140 (roughly) price tag!	
Feb 2 2009	brilliant place to stay	Stayed in hotel for one night with my daughter(8) , the hotel was central, clean and had everything you needed.For breakfast there was something for everyone and the food was lovely and fresh. The rooms were clean although not massive big enough for what we needed, beds were comfy and room was lovely and warm, you could adjust the heating in your room for how hot or cold you wanted it, which was great.Overall couldn't fault anything.	
Jan 31 2009 	a one night stay at the Holiday Inn bloomsbury	We booked a one night stay as we wanted a theatre visit with a mini break.The room was clean but very small,standard double bed , no bedside table my side, the bed was close to the wardrobe which had no door as you would have been unable to open it. Bathroom was clean but very small and cramped. Mini bar out of action and air conditioning not working. Room was stuffy but too noisy to open the window for long. We were offered an upgrade for £30 but decided not to bother as it was for 1 night only. Breakfast was enjoyable.All in all disappointing for a four star hotel .	
Jan 18 2009 	Very Convenient Location	Stayed 2 nights to celebrate New Years Eve in London. Minimalist design hotel located near Russell Square Underground, so very convenient. Reception staff very attentative, upgraded to executive room which was quite spacious and clean. Buffet breakfast was excellent.. Other facilities include Callahans Pub located on ground floor and NCP car parking avalable in basement. Plenty of restaurants nearby for eating out. Recommended.	
Jan 2 2009 	Happy New Year!	It was a great choice hotel to celebrate the New Year in the Capital. Everything was PERFECTION, hotel cannot be faulted in any way. Holiday Inns certainly know how to please their clients. Rooms spotlessly clean. Staff polite, friendly and welcoming. Breakfast superb with a wide choice to choose from (in fact we didn't eat again until late afternoon!!) Believe me if you book this hotel you will not be disappointed. On main bus and tube routes in a safe area - even a brand new shopping complex opposite the hotel. So glad we can relay on Holiday Inns - returned home with nothing but praise!!!!	
Dec 7 2008 	great weekend stay	we stayed here on the 5th DEC for the weekend, it was a lovely hotel, we were on the 6th floor and the room was perfect.It was clean and had everything we needed, the bed was comfortable and had 4 different types of pillows and a leaflet to tell you which were which we had a large spacious room with a good view.our room was cleaned on the saturday while we were out and all the soaps and shampoo were replaced as the tea and coffee were restockedthe location of this hotel is very good for sight seeing we walked to oxford st and regents st within about 10 Min's and there was plenty to see there there is a pub called callahan's adjoining the hotel with is very reasonable (especially to us as they never charged for my spirits all evening) the food also looked good their fish and chips came in a paper bag we are so impressed with the hotel and its location the we will be going back next year If you want to eat out of the hotel there is a good restaurant just off of oxford street called STEFS, it is italian and the staff are very welcoming but it is advised to book before hand as they were turning people away as they were fully booked	
Dec 5 2008 	Loved the Huge Bathroom	I booked this hotel after some research claiming it had good accommodations for people with disabilities. My partner walks with crutches and we used a wheelchair for most of the walking around.I booked an accessible room, and was very pleasantly surprised at the size. It was HUGE!The bed was comfortable, the amenities were nice and the restaurant food was great. Getting there, I was worried because the Russell Square station, although just a block from the hotel, had a few stairs leading to the lift. I was wondering how I would carry the wheelchair and our luggages up, but people didn't hesitate to help me and I really was worrying for nothing.My only complaint was the front desk staff could have been more helpful. When I asked about suggestions nearby, she barely looked up at me and just pointed to a stand with a bunch of brochures.The restaurant staff were excellent though :)	
Nov 29 2008 	Good London Hotel	Based on my research for London this hotel turned out to be a good hotel, fairly good location and a nice size.The hotel is a block away from the Russell Square Underground stop. I recommend the lift as the steps with baggage is a workout! The hotel staff was knowledgeable, friendly and I was able to store my luggage as I had a later flight. There are loads of small pubs and places to eat outside the hotel in multiple directions. Internet was not free which is a poor way to make money from people. The one nice touch was the selection of feather pillows from soft to firm. I also would recommend not staying on the side of the hotel that faces the small mall - very noisy street and area. One other recommendation is to get a day pass and ride the tube or the bus. The bus being the better way to get around as you can see everything and when it starts heading in a direction that you don't want to go, just get off and change buses.	
Nov 28 2008 	Great Wee Hotel	Friend and I stayed in this hotel for 2 days while Christmas shopping in London. First stay for my friend but I have stayed here before and had great experiences so, naturally, chose to stay here again. Our room was exactly what we needed. Hotel is in a fab location and less than 2 minutes walk to tube station. Buffet breakfast was great as it usually is and staff were pleasant, helpful and nothing was too much trouble. We were overcharged by a minicab that we booked through the concierge. The driver charged us more than we had been quoted (we were outside the Ritz Hotel and didn't want to cause a scene there. Would you?) and when we arrived back at the hotel we complained. It was dealt with total professionalism and politeness. We were given a total refund of our fare and apologised to even though it wasn't the hotels fault in any way. All this for £75 per room per night! Well done Holiday Inn, 10/10.	
Nov 21 2008 	Spotted Charles ad Camilla	This hotel is in a great location, a few stops from Oxford Street and for those who don't mind walking, it's only a 20 minute walk to Oxford Street through some of the &quot;posh and famous named&quot; parts of the city. The hotel foyer is minimalist, modern and very clean with efficient staff. We booked an executive room on the top floor, floor six which had a number of &quot;suites&quot; located on it.The room was a reasonable size, dressing table with a tv on it, a lounge chair and double bed (not two singles as you get in many European hotels). The room view was the back of the hotel so there was absolutely nothing to see, which was not a problem for me.The bathroom was clean and modern with toiletries provided and there was plenty of clothes storage space with a wardrobe with a trouser press. However, the facilities provided in an executive room were not quite as good as those I have received in standard rooms in similar chain hotels in London for an equivalent price.For example, the shower looked fantastic but turned out to be fed via the bath taps and the pressure was extremely low, some of the lights in the room didn't work and the walls are thin so we could hear the couple next door's conversation in the morning. There was also only one bathrobe and one pair of slippers and although there was a mini bar, it was empty and not in use which seemed odd for an executive room, either use it or lose it. There were tea and coffee making facilities.One problem during the stay was that some guests on our floor were &quot;socialising&quot; until the early hours of Sunday morning waking us at 3am with people moving between rooms, shouting, giggling and chatting in the corridor as if it was the middle of the day and allowing the doors to slam repeatedly.I was surprised as this hotel did not give the impression as being a type of hotel which would attract clubbers. The Sunday night was much better and the hotel much more sedate as the weekend corridor socialisers had probably checked out.I didn't use the pub attached (it looked a bit artificial - for those seeking a genuine London pub there are lots on the same street as the hotel). I didn't eat in the hotel. The stay was ok but a few minor tweaks in the rooms would deliver a true executive experience. We did bump into Prince Charles and Camilla at Russell Square tube on Monday morning as they passed the zebra crossing in their black Jag. Their cover was blown by the large police presence with them!!!	
Oct 21 2008 	Shame I only stayed there for 6 hours	I booked the hotel to stay overnight in London as I had a very early train trip out of London, on the map the hotel looked like it was the nearest to Euston.The hotel is located on a side street behind Russell Square Tube , the location is quiet (Well it was at midnight on Sunday).Arriving late I was told that room service had stopped but there was a Tesco nearby that was open 24 hours.The reception staff were very helpful, they upgraded my room to an Executive Room due to Priority Club status, check-in was quick and painless, took less than 2 minutes.The room itself was quiet large for a London hotel, the bed was comfortable, I did not use any other facilities as I did not have the time, I only ended up staying there for 6 hours.The reception arranged a taxi to take me to the station (Euston), although they did advise me that the station was about 10 minutes walk away.Would I stay again? Yes! But hopefully more than 6 hours!	
Oct 21 2008 	Tiny but very nice	We had been told that hotels in Europe were small but we weren't quite expecting they would be THAT small. We have hard suitcases that open lengthways and to open them we had to do some suitcase gymnastics and evended up having to step over them all the time. You had to shuffle sideways to get between the bed and the wall to get to the window/fridge area and there was no option of putting stuff in the doorless wardrobe as the bed was hard up against it. Having said that it was nice, clean, had everything you would need like shampoos, moisturiser, decent tv with lots of channels etc. The buffet breakfast was probably the best we had in any hotel for the 5 weeks we were away - everything you could want which was included on our room price. It was only a minute from the Russell Square tube station which was great and the staff were a little clinical but friendly enough. We weren't so happy to get charged 2 pound (NZ$5-6) for a 30 sec local phone call to give our friend the phone number to call us back on!All up lovely &quot;cosy&quot; hotel that if you have small bags and a cellphone, I would highly recommend.	
Oct 6 2008 	Good and bad.	My husband and I stayed at the Holiday Inn Bloomsbury for a week or so in September 2008. We were in London and needed to find a place for that night so we booked a deal through lastminute.com where you don't actually know the name of the hotel and so get a cheaper price. It's a three star hotel and the deal said it would be a four star hotel but other than that we were happy with the price we paid for our stay. The closest tube station to the hotel is Russell Square which is always closed so you often have to walk a fair distance to the next nearest tube which is really irritating. That aside, the location is actually really good, you're right next to a large shopping mall with Waitrose Bloomsbury and other places to get tea and supplies.The internet and breakfasts are ludicrous prices, and after complaining and getting a room service breakfast for free (nice of them I admit) we wouldn't recommend the breakfasts anyway - revolting! Almost inedible.The only major issue we had (which was what we complained about) was that each and every day we had our 'do not disturb' sign up as we had many valuables in our room (including two laptop computers which didn't fit in the supplied safe) and were repacking our luggage for the flight home after months abroad and had stuff EVERYWHERE, so we really didn't want anybody in our room. Every single day the sign was ignored and our room was made up and the windows opened (something we hate anyway), we even left a note which was ignored and rang reception. By the third or fourth day we were really frustrated, and when it continued until the day we left, we cracked it (hence the free breakfast on our final morning). The reception staff are also really unhelpful (a whole other story). However our room was quite nice and large with plenty of space for our two very large suitcases and four hand luggage bags, we'd come from a much smaller room so the space was nice.Over all I wouldn't stay here again due to the invasive policy of ignoring 'do not disturb' signs (not sure why they're provided at all, they said it was only there so reception don't ring - but it's a door sign!), however if that doesn't worry you, I think it'd be a decent stay. Don't expect too much from reception and house keeping though, they seem to go out of their way to be unhelpful. There are tour groups coming through this hotel constantly which is also annoying when trying to use the lifts or check in and out. But it was quite nice overall and a decent price for London.	
Oct 2 2008 	Much better than I expected.	Pleasantly surprised. Room was a bit on the small side but well equipped and clean. Breakfast was excellent. Good position close to Russell Square tube and within easy walking distance of many places. Loads of restaurants, etc. in immediate area. Only irritation is if you are expecting phone calls - firstly people have to ring an 0845 number so have to pay extra and then the switchboard denies all knowledge of its residents (I suspect it is some remote call centre that they use as reception staff were good).	
Sep 8 2008 	good location	I booked with NHS discounts and got good price for hotel. we stayed for 2 nights, rooms clean, adequate size. Air con units a bit noisy outside room but able to close windows and have air-con on. Drinks expensive in hotel but hotel pub much cheaper. Staff very friendly and helpful. Breakfast good, plenty of choice. I would definately stay again - easy location to access, we got day pass for bus which was satisfactory, could also walk to Covent Garden.	
Sep 7 2008 	A sad state-of-affairs . . .	I booked a double room with wheelchair access and facilities for Saturday 30 and 31 September 2008. I spent a long time explaining to the young man in reservations my requirements and the neccessity of having a room with toilet access on the right hand side of the toilet, when facing it from the entrance. I was assured that all was understood and confimed. Upon arriving at the hotel at 530 p.m. on Saturday 30 August, none of the hotel staff helped my and husband and me with our luggage. My husband had to help me with my wheelchair as well as running back and forth to our motor car in order to bring our luggage into the hotel. The young woman at the reception desk handed my husband the cards to the door. I had to go up in the lift alone. My husband was made to follow with the luggage in another lift. The concierge did not raise a finger to help us. Upon entering the room, we found it to be the incorrect room (due to the toilet being on the wrong side, with a left-hand space and the right hand being too close to the wall). In addition, the toilet seat was broken and unusable. Upon telephoning the reception desk, the young woman (whose English was minimal!) told us that there was nothing that she could do. We then went downstairs to the reception desk (with our luggage) and asked for the manager. He could not help us. In addition, we were to go to the Shafstsbury theatre and asked the concierge or the young woman to hail us a taxi, as we did not want to drive to the theatre due to traffic and parking issues. Both the young woman and the concierge did not want to find us a taxi and gave us faulty explanations. I virtually had to force the concierge to hail a taxi, which he reluctantly did after much persuasion from me. Suddenly the manager found us an alternative 'accessible' room; an exectuive suite. We were in a hurry to get to the theatre by now. Our luggage had to be left in the foyer and the concierge did eventually take it to the executive suite, which we promised to look at after the theatre. Upon returning to the hotel there was different staff and a very decent and helpful manager called Henry. He accompanied us to the executive suite which proved, once again, to be INACCESSIBLe (I could not use the bath and the toilet was much too low for my use, as well as being faulty once again). We told Henry that it would be best for us to return to our home in Bedfordshire. As it was so late Henry was reluctant to let us travel home without eating something first (we had not eaten since breakfast!) He telephoned room service and was told that there was very little to choose from. We ordered a tuna sandwich, a cheese sandwich and some coffee. This took almost an hour to arrive! After this ridiculous sojourn, my husband and I journeyed home. Henry was most helpful and the concierge also helped us with our luggage.It is a sad state of affairs when a hotel such as the Holiday Inn, Bloomsbury, cannot provide what it advertises and that the afternoon staff was so lazy and belligerent. It is sad that your hotel is in disrepair. It is sad that people have to deal with hotels of such a low standard and pay so much money for the 'privelege'. It is sad that a hotel in London cannot provide a decent stay for people with disabilities.	
Sep 7 2008 	Fantastic Location nice breakfast kind staff...	Our family really enjoyed our stay at the Holiday Inn London Bloomsbury this spring. The location was excellent for our purporses, which is why we chose it, of course! Directly across from a shopping centre, near a laundromat, easy access to St Pancras, and right next to a tube station to get you anywhere you wanted to go. We loved walking in the neighbourhood, just a quick jaunt to the British Museum and several small parks in the area.Coming from North America I found the prices high, but they seemed in line with other accomodations we saw on the Internet. The breakfast buffet also seemed pricy to me, but on our first morning I discovered it was excellent and really worth the cost.The room was adequately sized; not overly large, but not small either. I also found it quiet at night, which was nice.The staff were kind, especially to our two-year-old daughter. She left with a few little Holiday Inn dollies!I would definitely stay again based on the great location alone.	
Sep 3 2008 	Great Value	Very good value &quot;special offer&quot; from Holiday Inn's own advertisement. £89 per room including breakfast! Rooms small but very clean, good bed, excellent choice of various pillows. Great shopping centre (Brunswick) just outside, and also Gt Russell St underground station a few yards away. Building looks old from outside, but must have been re-furbished internally not long ago. Breakfast is good, large selection of quality fruit, cooked breakfast, etc. Typical 4-star breakfast fare. Recommended at this price!	
Aug 27 2008 	A bit tired	With its dark interiors, saggy old carpets and suspect plumbing, London-hotels are seldom worth its price (at least not below 5 stars). @ Holiday Inn they apparently cater to non anglo-saxons since at least the interiors are light (white) and fresh and the bathroom does neither have a carpet and the plumbing works!!!The lobby, breakfast and bar area are all in cool modern, somewhat minimalistic design which is refreshing after staying at typical London hotel with ostentatious/sullen receptions.However it is all superficial (obviously not the light interior though). Door handles are loose, elevators ramshackle and the corridors a bit claustrophobic. Staff proffessional (they usually are at those chains arent they) and location really good.All in all it was an OK stay (better than the Bayswater tourist ghetto anyway) but I definitely wouldn't go out of my way to stay here.	
Aug 18 2008 	Not bad for London	A comfortable hotel of about three star standard . The good points: well located about 10-15 mins walk to St Pancras for the Eurostar. The location is also handy as there are a number of shops and restaurants nearby, including a supermarket - also close to the tube. Check in was efficient and they put allowed me into the room early by 10am. The bed was very comfortable and I slept well. Check out was also very efficient as was collecting my bag at the end of the day. The things which were not so good...my room was really small, barely half a metre between the end of the bed and the wall. It had no mini-bar or working fridge which was annoying. To be fair they did ask me on check in if I would use anything in the mini-bar and I said probably not, nevertheless I still would have liked a fridge to store a few items. Very unexciting view from the window of the inside of the building - there was a generator of some sort outside my window, probably an AC unit humming the whole time. They were unable to call me a taxi at the front of the hotel and I had to walk to the main street to flag one down.So overall I thought it was not bad for London, but not the best place I have stayed either.	
Aug 1 2008 	Not worth it...	This was our first time to London and we wanted to stay somewhere close to the British Museum.Location was great....the room itself was incredibly small, which is fine, but the mini-bar/fridge didn't work and that was a problem since we had medication with us that we needed to keep cold.Normally something small like that wouldn't have bothered me, but the fact that we were paying double for this room (since the dollar sucks at the moment) I was pretty irritated.We didn't contact the front desk because we had JUST brought all of our bags up to the room and didn't really want to change rooms.Now, while the room itself was fine, the walls at this hotel are INCREDIBLY thin. I could hear our neighbor cough. I could hear everything happening out on the street. I could hear the elevator all night. It was terrible. I didn't get any sleep.So...location of this hotel is great, staff was adequate, but if you need a good night's rest....spend your money elsewhere.	
