	Dorchester Hotel - London	It was ouir second time at the Dorchserter and when we got yo our room there was a bottle of champagne. They show you around your room and make you feel so welcome.	
Apr 8 2008 	Unexciting Hotel Rooms with Fabulous Afternoon Tea in The Promenade	The Dorchester is famous, one of the Grande Dames of London. Celebrities galore used to stay here, and the hotel has a 5 star rating.The hotel's web site is stunning. The lobby really does look like that.However, in reality, the bedrooms themselves bear little resemblance to the glorious pictures you will see on their website.It is an old-fashioned rabbit warren of a hotel. Long, stuffy hallways are without windows to let in light or air.The rooms were all redone perhaps five years ago. Smoking is allowed in each of them. The front desk manager, Aiden Griffin, claims that housekeeping has machines that bring the air quality up to standard after each guest has checked out.Since I can smell the lingering odor of cigarettes the second I walked into each room, I disagree.Aiden shows me to three different room types.The Stanhope Suite is on the 8th flor, and has no view. It is depressing, and could be found in any corporate hotel in the U.S.The Jr. Suite has no view either, and is done in an art deco style. There is a shower over the tub, rather than a separate shower and tub.The Executive Room has a park view, and is nice, done with a traditional decor.If you are a smoker, and you choose a room with a park view, this hotel may work for you.Now comes the fun part :Afternoon TeaIt is served in the famous Promenade, a high ceilinged room with gilt crown molding on two enormous soffets.The green and gold room is magnificent, recalling times when dressing up was expected.Blue jeans or sneakers would not dare to make an appearance here.A gray-and-white marble floor covered by rugs in the center of the room.Heavily tufted benches with backs and green armchairs beckon invitingly. My back rests against an incredibly comfortable pillow.The room is not noisy, despite being full. Thanks to the good acoustics of abundant use of fabrics throughout, conversations are skillfully muted.The piano player is playing something nice.Orange and gold silk curtains flank gilt mirrors above each of the sofa benches, and add to the lushness.Arrangements of orange tulips, potted palms, and 4 politically incorrect blackamoor women statues bearing fresh flowers or carrying spears accessorize the room.Orange and gold marble pillars with gold trim at the tops define the spaces, which are nicely lit by chandeliers and floor lamps..Wearing a black tailcoat and tie, quite formally dressed, Gavin was my server.3 orange roses in a bud vase on the table are tired looking and need replacing.White Haviland Limoge China &quot;Illusion&quot; by Barbara Barry has silver edging and delicate handles.The Robbe &amp; Berking silver-plated service is lovely.Sugar cubes in a chine pot come with silver tongs.I am offered a choice of tea, and choose jasmine. It is poured through a strainer from a heavily decorated silver pot.One cucumber sandwich on rye with the crusts removed and one smoked salmon sandwich on farmhouse brown bread with the crusts removed are served, both tasteless. More sandwiches are brought around, and I decline.A parfait is brought around, consisting of orange segments with pastry cream and lemon crumbs. It is lightly chilled and overly sweet.Scones are to be next.Strawberry and black currant jam are brought in china bowls on a plate, accompanied by clotted cream.The freshly made plain scone is delicious. Soft and slightly warm, it melts in my mouth, the clotted cream spreading like room temperature butter.The fruit scone studded with raisins is equally delicious.By now, I'm totally stuffed, but Afternoon Tea still has another surprise - a tray of pastries is still there to be tasted.A delicate almond paste with candied grape and powdered sugar, and a dollop of whipped cream in a scallop shape.A chocolate and cream cake.An incredible fruit tart without any glaze. One raspberry, blueberry, blackberry and strawberry on a soft french macaroon.I just want to sit back and bask in the comfort of it all :) This is something to do when you have time to relax and simply savor, unhurried.An indulgent afternoon treat. I don't want to leave...	
Mar 30 2008 	The Dorchester is a Total 5* Experience!	My family of five (3 children ages 8, 10 and 12) just stayed with the Dorchester for 5 nights. We had interconnecting rooms, one with a king for the parents and one room with three twin beds for the kids. The accomodations were beautiful, spacious, clean. We booked through the hotel directly and paid 275 British pounds per night for our stay, due to a wonderful Easter promotion. (Parents stay in one room and the children's room was complimentary!) The bathrooms are huge. It is located on Park between Hyde Park and Marble Hill tube stops. We enjoyed afternoon tea on Easter (quite costly!) We didn't really fit in to the luxurious lobby and Promenade when we would return from sightseeing each day in our sneakers (trainers) and jeans but who cares? I highly recommend this hotel and hope to return one day. Great location!	
Mar 12 2008 	Top stay	The Dorchester,Maybe i have been extremely lucky but when looking for a hotel in London, close to the area where i had to attend a dinner, i came across 'The Dorchester'.Having heard a lot about 'The Dorchester ', they happened to have a promotion in February and could book a single room at £200 (excl taxes, 15%), which for London standards is very, very good price for a hotel with that class.The reception was rather cool, but the good news was that for one or the other reason i got 'an upgrade'. Frankly speaking when booking i thought i would get an overpriced,small, crampy London hotel room but all of a sudden i found myself in a very nice luxury top class room with marble bathroom. During my stay i had nothing to complain and treated myself the next morning with an (overpriced) Englisk breakfast, but all in all a lovery experience.Thanks Dorchester, a stay to remember...	
Feb 18 2008 	I was very very impressed	My friend and I stayed here in January for one night. We got a really good deal of £235 direct from the hotel, so we decided to treat ourselves. We were met at the reception by a really nice lady, it was only 10.30am yet our room was ready for us. She escorted us up to the room, showed us where everything was and was really helpful with our questions.We had complimentary fruit delivered by a nice little man.The beds are sooo comfy!! we stayed in them until the last minute possible the next day - we didnt want to leave.I would say this is one of the nicest hotels I've ever stayed in, and I've just booked again for March for 2 nights to treat my mum.	
Jan 25 2008 	good hotel	Booked a decent rate for this hotel directly with the hotel website for about £200 for a one night stay not inclusive of breakfast. On arrival first impressions on the recent refurbishment seemed good, the promenade seems to have a freshness to it whilst retaining some of the features it had before. Check in was friendly, but nothing extrodinary. The room itself was better than expected for the price. A hallway leading to the bedroom, which was large and comfortable, and again seemed to have a fresh feel to it. The bathroom was the most exciting feature, with the famous bathtubs. Did decide to go for breakfast, which altough nice, very steep at £30. Check out, again was friendly and efficient, no complaints there really. All in all a very nice hotel, I think the only thing the hotel lacks is service, whilst good, just nothing to run home about. Would I stay here again, only if I can get breakfast included in the rate.	
Jan 21 2008	Deserves it's 5 stars	The Dorchester offers all you would expect but with the bonus of exceptional staff.Our room, although small, was well equipped. The bed was blissfully comfy. Lovely large bathroom (the enormous bath filled in about 2 mins) with a good selection of Floris products. The minibar was well stocked.The public areas are a bit garish for my tastes but well maintained with stunning flower arrangements. Spent an hour in the spa which was disappointing because the mens &amp; womens areas are separate, so no lounging in the jacuzzi with my husband. The spa reception is a lovely place to relax with tea after treatments. I didn't have any treatments but met a lady in the changing rooms who offered good reports.Breafast was good. I got the impression that you could order anything &amp; the staff would try &amp; provide it. Morning coffee in bed arrivred within 5 mins of ordering.What sets this hotel ahead from it's rivals is the staff. From the moment we checked in until departure we found the staff unfailing helful. Not fawning, just friendly. The service cannot be faulted.For central London I don't think you could do much better.PS. if driving I'd use the hotel valet parking. We used the underground car park up Park lane which was dark, damp &amp; seedy. I felt uncomfortable even in daylight.	
Jan 6 2008 	Its still one of the great hotels of the world	We always have a weekend at the Dorchester in January to get over the christmas blues.Once again the Dorchester didn't disappoint. The reception staff were very friendly and we were able to check in early and get in the room. The room as always was stunning, The bathroom is about the size of most hotel rooms. The bath (WOW) ,easily fits 2 and you can fill it so deep its heaven on earth !!!.Everything you would expect from a 5*, linen, decor, top quality TV,We had breakfast sent up to the room, full english cooked to perfection, big plate of pastries, fresh orange juice etc etc all presented on a table wheeled in to the room with fresh flowers (quality)They even gave us a late check out (no charge)If you go out of season this hotel is great value for money £240 per night with breakfast, for the quality of room and the service you get it is great value.Cant wait to go back !!!	
Jan 3 2008 	Great to experience it loved most of it but some parts a little bit lacking	Stayed here after a news years break to Paris, arriving on a later Eurostar service so decided to try the Dorchester. I have alwasy wondered whehter such a renowned hotel would live up to its reputation. Its certainly elegant and pretty and has a definite aura of grandure. If anything lets it down (and perhaps stops it being as good as some of its competitors such as Four Seasons and Mandarin Orinetal for example) it can be the staff. Dont get me wrong the service is good, but all too often just a little bit curt and abrupt and lacking sincerity. I understand that New Years Day, being a bank holiday etc and at the end of what must have been a very busy season for the staff, however when a hotel charges what they charge and i suspect has aspirations of being ranked amongst the best in the world, then it really needs the service to be exceptional. That sounds like im expecting perfection, and im not, just some sincerity. Only main niggle with the public areas of the hotel was that the main bar closed at 12 midnight (no issue with this - we moved to the promenade area). We ordered a drink and 3 minutes later were told that it was going to be last orders there in 10 minutes. Seems a bit odd for such a classical establishment to close all their bars like that. There were still plenty people drinking etc, and no alternative was suggested so i assume that was the only option. The Room was very well appointed. Spacious and comfortable and everything clean and as it should be. Everything worked and the bed was extremely comfortable. TV - Bang and Olefsen, very good sound. The bathroom was marble, and quite spacious, situated along a little hallway. My only gripe with the room was the ceiling in this hallway was a suspended ceiling (and a badly suspended one at that - just not what you expect)Selection from the mini bar and toiletries etc were very good. Yes expensive but these hotels always are. Overall am i gald i tried it - yes. Would i recommend it - yes. Do i feel like i was over charged - No but then again we did get a &quot;January Special Rate&quot; so if i had paid their higher rates i perhaps would feel cheated. If there was one piece of advice i would offer to the hotel it would be this. 95% of everyting you do is great. The staff need to figure out the other 5% and then you will be close to perfection.	
Dec 31 2007 	the best as always	For many years we have regularly stayed at The Dorchester and in our opinion every visit has been faultless. The staff from the front desk make your arrival very special and once checked in escort your to show you to your room, on our last visit we were upgraded to a magnificent suite which was huge.The hotel is always spotless and all the staff are extremley polite and courteous and nothing is a problem The new bar is a really buzzing place and The Promanade is an excellent place for lunch or dinner.Well done to all the staff at The Dorchester you have made it one of the finest hotels in the world	
Dec 19 2007 	minor moans	we booked the hotel direct by telephone and agreed a rate for 3 nights in a junior suite for a birthday weekend. on arrival we were upgraded to a fantastic park suite and given a bottle of champagne and a birthday cake, what a brilliant start!!!its difficult to moan when you have been given a free upgrade but here we go ;-no mineral water in rooms unless you get it from the minibar and the tapwater is not healthy.no cotton buds in bathroombreakfasts meagre and although included in price the 12.5% gratuity isnt!!!£6.50 plus 12.5% for a bottle of beer in the barthe hotel service is generally good and friendly, very good housekeeping staff and informative reception / concierge etc.id rate this hotel better than the mandarin oriental and i will probably return due to the good location , general aura and atmosphere the dorchester has.	
Nov 26 2007 	Prepare to be a little disapointed!	My daughter and I have just returned from a weekend at The Dorchester and I cannot pretend it was anything but a bit of a disappointment. The hotel lobby is lovely and the staff were extremely nice and very helpful. Our room itself was what you would expect in a 5 star hotel, good bed, quality linens and furniture etc. But that was really where it ended. They brought the wrong luggage to our room which is unforgivable in such an exclusive hotel. But it was sorted. In such an expensive hotel complimentary mineral water really should always be available in the room, especially for those people who have arrived after a long flight but no, not even the ubiquitus chocolates at turndown. We returned late from the theatre on Saturday night and decided to have room service. We tried the number a couple of times before we could get a reply.The food came quite quickly and was OK nothing special, no marks for presentation but it tasted good as we were hungry. The following morning we looked forward to breakfast in the dining room (and at £28 each we expected something special). Sad to say it was very poor. We ordered the English Breakfast which consists of ONE small glass of juice, tea or coffee, cold toast no butter. We ordered poached eggs with bacon and sausage. sadly it was cold and very overcooked, although at the time you try to make the best of it, in truth it was very poor. They never offered us any more coffee or juice or inquired if we had enjoyed our food even though the food was only half eaten. I looked at the stains on the table cloth and no matter how hard I tried to ignore the many faults I had to admit to myself I wouldn't stay here or recommend this hotel to anyone. Go for a smaller hotel like Dukes or the Draycott where attention to detail is just beautiful and they make you feel very special. We paid our bill which of course was incorrect with a £50.00 charge for parking, strange as we had arrived by train and taxi. Needless to say quite a few people were questioning their bills, not suprising as when we checked in a man next to us was asking the receptionist can it be true that 4 bottles of house wine on his bill came to £208.00? &quot;I'm afraid so sir &quot; came the reply. Which leaves me only to say you don't always get what you pay for or what you deserve!	
Nov 22 2007 	Lovely!	We stayed at the Dorchester for 3 nights with our 2 kids. The accomodations &amp; staff were top notch. The traditional English Staff was professional, but also warm &amp; helpful. The morning breakfast was great. We loved the Dorchester-really gave our kids a taste of Englishcharm.	
Nov 16 2007 	Treated like royalty!	We spent 3 days at the Dorchester and loved it. The place oozes luxury and you definitely see where your money goes. The staff is extremely courteous. Our executive deluxe room was spacious and elegant. The bathroom was spectacular, with very high-end towels and amenties. The bed was super-comfy.Room service was terriffic for breakfast, The piano bar is a nice spot for drinks. The place is a celebrity magnet, apparently. Tom Cruise and the King of Saudi Arabia were ther, but we were most excited about sharing an elevator with Dustin Hoffman and his wife and pretending not to recognize them.Highly recommended.	
Oct 26 2007	A favourite hotel for plush acoomodations and good service	I have stayed three times over the past 2 years at The Dorchester. This is one of the best, value-for-money, hotel in London. The rooms are huge, especially the Deluxe and Executive rooms and most afford really nice views of Hyde Park. The in-room amenities are great even if their DVD-TV-Radio flat screen system is a tad capricious and often needs to be rebooted by the technical staff. Tea, breakfast and room service are just wonderful even if prices are steep. Would definitely return in a heartbeat.Try it and you will not bve disappointed.	
Oct 10 2007 	Sub Par Hotel	The Dorchester is a nice hotel but that is about it. It is by no means a deluxe hotel. The hotel lacked any kind of movie PPV system, which seemed odd to me considering it is supposed to be a luxurious, full service hotel. The rooms are decorated in a terrible old Englishstyle and need to be gutted and renovated. I really don't need a tassled headboard that surly hasn't been cleaned since it's installation. The halls smelled musty, probably because of the heavy old English style of decor..(The Four Seasons is only now renovating their hotel. When it is completed, it will be the best hotel in London.)The service is abyssmal. The &quot;famous&quot; afternoon tea service was impossible to attend. I had just arrived in London and decided that I would like to have a nice afternoon tea. I approached the counter where two women eyed me suspiciously. When I told them I would like to sit down for tea, they informed that if I didn't have a reservation I couldn't have a table since they were full. I looked across the tea room to find not a SINGLE table was occupied. When I mentioned this to the two women, they again informed me that I neededa reservation! When I complained to the Concierge they simplyshrugged and did nothing. I find it impossible that I stay in a hotel(in a suite no less) and they can't get me a table at tea! You would think they would hold a table or two for their own guests.I didn't like the place and the train station of a lobby does not make someone feel at home. It is only a good hotel for people who want to see and be seen, not for people looking for a 5 start experience.	
Oct 6 2007 	Skip The Dorch unless you are a movie/rock star.	I arrived and was checked into The Dorchester with great service. Everything AFTER that was poor. When I put a &quot;Do Not Disturb&quot; sign out, I was surprised to see an employee knocking on the door. That would never happen elsewhere. Then the front desk called my room and hung up at night. I called back and they knew nothing of what I was saying. When I explained the phone said where the call was from and that I was not making this up, they were flippant. When my breakfast was delivered to my room on the second day of a four day stay he actually had the guts to call me out and complain that I didn't answer the door when he knocked. I then explained I had the &quot;Do Not Disturb&quot; sign out because I took and bath and needed a nap after the long flight and no sleep. All of which I had already explained to the front desk.I had to leave very early in the morning so I left a comment card at the front desk, which I doubt made it to the General Manager. So I wrote a letter, not an email but an actual letter.The other thing that bothered me was the staff kept referring to me as Mr. &amp; Mrs. When I made my reservations I filled out as Ms. I had to remind them time and time again I am not a Mrs. or a Mr. for that fact. I am a single female traveler. I think the only way you will get stellar treatment is be a movie star and not just an ordinary girl. The only good thing was the location. I did get a call after they got my letter. They left a message for &quot;either Mr. or Mrs.....&quot;At this point I give up.	
Sep 18 2007 	A Weekend Of Luxury and Elegance	We stayed at this hotel as a treat as we felt we needed a bit of pampering; we were not disappointed.Check in was fairly smooth. Our room wasn't ready so we offered complimentary teas and coffees in the bar. It was very welcome after travelling all the way to London by train. After our room was ready we were shown around the lobby area and the restaurant, bar and shops were explained to us and we were shown to our room. It was an amazing room at that. The bathroom was huge with a deep bath and big shower. Our room itself was very well presented, clean, tidy and the complimentary champagne was a very welcome touch. After they have turned your bed down at night you also get a rose petal heart on your bed, very sweet I thought.We had spa treatments while we were there. My boyfriend had an Indian Head Massage and I had the delux manicure and pedicure. The ladies that did them were very friendly and professional and the spa was very clean.Then came the highlight of the stay, Afternoon tea. I recommend it to everyone and it should be a compulsary part of your stay. Try the Dorchester blend tea it is amazing. The clotted cream scones were to die for and if there is nothing you can eat on the menu they will make you sandwiches to your liking. There is as much champagne and tea as you can drink.I will say that the bar in the evening is a little expensive, but if you are staying there what do you expect? You do not book into one of the Dorchester Collection hotels if you are on a budget!!Breakfast was not disappointing either and they serve it till 12pm. Usually the more you pay for food the less you get, in this case, happily this isn't true. I would stay here again any time.	
Aug 17 2007 	One of the great London hotels	We usually stay in the Dorchester once per year on our regular London visits. It's well located for Oxford Street shopping and for Hyde Park. We had a special &quot;July Only&quot; deal for an amazing GBP 275 (only) for the room, although this ended up being GBP 705 having added dinner, breakfast, a third person in the room (14 year old) and the usual taxes.The room was the utimate in opulence as is usual at the Dorchester. The view was nothing special, but in our price category, this is normal. The bathroom is vast and amazing as is to be expected here. We had dinner in the Asian restaurant which wasn't as good as in previous years. However, the breakfast was as usual something special. There is no buffet, everything is brought to your table, which is a refreshing change to the usual buffet queues. The service at breakfast sets the standard for how service should be as far as I am concerned.In summary, it's always a special treat to stay at the Dorchester whenever my wallet allows it.	
Aug 13 2007 	Almost perfect	This has London's best lobby, and among London's biggest rooms. The beds are extremely comfortable and the hotel is, generally, well managed. Having said that, however, a few flaws showed up on this stay: room had a bad smell (so the hotel switched my room), the property is leaving Leading Hotels at the end of the year, so benefits were not forthcoming (until I asked). Room Service was slow--though the food was fine when it finally arrived. Gym was OK, though the jacuzzi pool was broken. Just enough to make this less than a perfect stay. Still, you'd be hard pressed to find a nicer place to stay in London. Good weekend rates make it exceptional value, for London at least.	
Aug 13 2007 	A very enjoyable stay!	We stayed at The Dorchester just over last weekend and overall had a thoroughly enjoyable experience. We booked a room via the The Dorchester's own website at a fairly competitive rate considering we would be staying at one of the best hotels in London.Firstly, the room was light , beautifully furnished but a little on the small side and with an amazing bathroom (nearly the same size as the room!). It had a 'Mayfair' view however looked out, rather boringly, onto the buildings opposite.Us Brits like our tea and coffee making facilities in hotel rooms and we were surprised that there were none here, as room service always usually takes up to 30 mins. We telephoned and asked for the above to be delivered in order that we could make our own and this was not a problem - we were advised this would be complimentary. However on collecting our bill a £25.00 charge had been added. We queried this and the amount was then removed. We really would expect a 5 star British hotel to provide these facilities, even if guests did not want to use them and call room service instead.  Dinner at the Grill Room was excellent from a food and service perspective, one thing about this hotel is that the staff are all exceptionally polite and unstuffy. One glitch that spoilt out dining experience a little was that our table for two was rather close to the next, unfortunately with a rather loud lady next door who was obviously not staying at the hotel and totally in awe of that fact that she was dining at The Dorchester! We did inform restaurant staff of this the next day who were apologetic.After dinner we sat at The Promenade and listened to the pianist and double-bass playing down near the bar area. It would be good if the hotel had a residents lounge area or designated part of The Promenade as a 'resident only' as I did object a little having to wait to be seated at The Promenade.Just before we went down to breakfast the next morning I happened to lose an earing in the room and had to move the bed. I think housekeeping need to check and hoover underneath their beds more often as it was dusty and there were old luggage labels, hairgrips there which showed it had not been cleaned for sometime. Going back to breakfast! It was definitely one of the best English breakfasts we have ever had in any hotel. Obviously the hotel is very central and only a 15 minute walk to Harrods. We decided, last minute, to go in and see Buckingham Palace, which was well worth the visit and I would highly recommend it to anyone visiting London this summer. Concierge can issue a voucher for this tour however you still have to queue to redeem the voucher for the tickets at the Palace.	
Jul 18 2007 	The best place	Plush and super fancy. The rooms are sumptious. You'll never want to leave. Service goes above and beyond. Tea here is awesome. Very English. Overall, it's very expensive, but money well spent.	
Jul 8 2007 	A True Pleasure	I had the pleasure of staying at The Dorchester on two separate occasions for business on Thanksgiving 2006 and in January 2007. Simply splendid accomodations. Gorgeous lobby. Elegant rooms - I enjoyed a suite on one stay and a four poster bed room on another. Super comfortable beds. Fabulous lighting. Lovely views. Superb service - from reception to housekeeping to room service to concierge. The spa is also a delight. If you want to enjoy the epitome of lavish comfort, do yourself a favor and stay at The Dorechester.	
Jun 17 2007	Wow	Impossible to fault. My wife and stayed here for one night in a suite and I must say everything was perfect.Room size was excellent given the average London hotel. Food was amazing and service was perfect. The decor throughout the hotel was very tasteful and elegant.	
May 22 2007 	Special!	My friend and I booked the Dorchester because it was opposite Hyde Park and we had entered the &quot;Playtex Moonwalk&quot; for Breast Cancer Research. When we arrived our room was not ready so we had a pot of tea in the Promenade. However our room still was not ready but it wasn't a problem as everyone was very polite. We went off to have a spot of lunch at the Hard Rock Cafe, which was great. The room was ready when we arrived back, and it was a great room with lovely decoration, poor view but this did not bother us. I ordered a pot of tea through room service as they do not provide tea and coffee making facilities in the room. However, this experience was not a great one as we had to wait for over an hour, I rang after 45 minutes and then waited another 20. Everyone apologised so I thought well not to worry. We went off to do our &quot;Moonwalk&quot; and arrived back approximately 5.00am on arriving in our room we ordered another pot of tea, again we had a long wait, if this had been the first time as it was 5:00am I would have thought fair enough, but ....Breakfast was the best and afternoon tea superb. Our overall experience was excellent as the service in every other area was special.I did give them feedback about the wait for room service and they were very apologetic. It wouldn't have really been anything to complain about but we English enjoy our tea.The Doorman was the most friendly I have ever come across and made us feel really special.Thank you Dorchester	
May 13 2007 	Great but lots of working being done...	Stayed here in the summer of 2005 and they were extensively renovating, resulting in closed restaurants and lots of noise. Looking at recent reviews it appears that the work still hasn't stopped to be careful. Other than the renovating the hotel was great. Very large rooms, great bathrooms (along with those famous bathtubs) and overall very wonderful staff. The location is very pretty but not exactly near all the tourist areas.Overall a very good experience at the Dorchester. It seems to be showing its age lately but I guess that’s why they've been working on it for so long. If you prefer the more traditional hotel, this is the hotel for you. If you're looking for a more modern touch (what i typically prefer, you might want to look elsewhere).	
Apr 18 2007 	A class act of perfection	We stayed at the Dorchester for four nights over Easter having not stayed there for several years. The experience was wonderful with smooth and sniling service in plush surroundings.Our room was a deluxe room which overlooked Mayfair which is not the best view - the Hyde Park rooms would have a more picturesque view. However the room was large with lovely traditional, quality furnishings and a great bathroom - natural light, one of the biggest baths in London and a shower that could accomodate four should you so wish! Toiletries were all Floris with luxury robes and a surfeit of towels.The in room entertainment facility was good with internet and films reasonably priced. There were two soft chairs and a chaise longue and working desk.The public areas of the hotel can only be described as stunning, especially the Promenade where breakfast, teas etc are served. The Grill Room is done in grand Scottish decor and is really impressive.Throughout our stay theservice from all staff was exemplary and there was always staff on hand.The hotel is in a great situation with Hyde Park across the road, Mayfair on your doorstep and Knightsbidge ten minutes walk away. There is always plenty of taxis if one of the Ferraris, Lamborghinis or Rolls parked outside does not belong to you.Our Easter rate was a good deal for the class of hotel and included a bottle of Champagne and breakfast each day ( which if we were paying would seriously mount up).Great experience.	
Apr 16 2007 	Still good but be careful!	Well I have been lucky enough to go back to the Dorchester and it had a few issues!Firstly they are working on the 9th floor and as such, there is noise from 9 to 5 Mon to Fri and 11 to 5 sat &amp; Sun (which did surprise me!) The hotel did not advise me of this when I called earlier int he week to book the room, I also had to call them the day of arrival to say that there was a cheaper rate on their website, and they did agree to use that rate (a saving of £200 per night!).When we arrived no mention of building work at reception, nothing form the receptionist as she showed us the room, it was only when a maintenance guy arrived to fit a door stop and I asked him what the noise was, he mentioned the work and there should be a letter on the desk form the General Manager! I would have preferred to know in advance!One thing I was very surprised at for such a high class 5* hotel, is it depends on the rate you are on if you get complimentary water left by your bed! I didn't and when I for some, I was told I would have to pay for it!Also slightly surprised you are not allowed to drink alcohol near the lobby while they are serving afternoon tea (with Champagne) at the nearby tables even though at lunchtime I was more than happily served a pre lunch G&amp;T at the very same table! When I mentioned this to the lady who refused to serve me, I was told I was mistaken!! Not all the staff as as pleasant this time round, they must have been having a bad day!The final night we didn't sleep much at all due to what I assumed was noisy neighbors int he upstairs room whop were insomniacs! But it turns out the hotel was having the room above us re-decorated and they work through the night and due to the fact that they remove the carpet, we could hear everything! When I checked out as we were leaving, they lady at the cash desk advised we should not have been in that room at all and if we had told them we would have been moved (Shame as it was our last night, otherwise yes we would have asked to be moved!)I will certainly remember that next time, I will ask if any work is being carried out in the hotel, I want a room no where near it!Other than those minor niggles the weekend was perfect and the weather was wonderful!!	
Apr 7 2007 	A Really Swell Stay	Young, elegant and thoroughly professional staff. Attended to every and all needs. Exquisite rooms, luxurious bath - a great bar - and the lobby area for tea or breakfast is just the tops. Could not have been more well looked after. Especially after an endless overseas flight. P.S. Bring bags of money!	
Mar 23 2007	just wonderfull	In the middle of a fourday stay, this is still one if not the best hotel in london, great room, best grill in town, first class afternoon tea possibly best in london. wondefull chinese restaurant, you cant go wrong.	
Feb 6 2007 	Just perfect !	Just spent a wonderful week-end at the Dorchester with my daughter. Everything was so perfect, the room was gorgeous (de luxe twin), massage ( try it, it's worth it !) at the spa, dinner at the Grill ( the menu seems at first a bit &quot;special&quot; for a continental, but it's very original and very good), the baths (ever so deep, a divine experience!) and most of all the service : everybody is there to please you and make you happy, from the minute you are in front of the hotel till the minute you leave, all the staff is ever so kind and helpful. Thank you very much, the Dorchester. Christine from Belgium	
Jan 25 2007 	Lovely hotel	Just returned from a long weekend and decided to try the Dorchester for a change from either the Met or from private clubs. I was a bit worried after reading some of the reviews but I had a great rate from the hotel website so I thought I'd give it a try. On arrival in the morning from the overnight flight from the States, my &quot;assigned&quot; room wasn't ready, so I was upgraded to a larger room. The room was beautiful and very well appointed, and the bathroom was even more so. The deepest tub I've ever seen and a great separate shower. If I had one complaint, it woudl be that the satellite tv was very slow and often &quot;frozen&quot;, but that is nothing. The concierge, front desk and room service staff were all wonderful. I had an Eve Lom facial in the spa, which was one of the best I've ever had. The spa did appear to need a little freshening, but not so much so that it detracted from the exerience. All in all, a great experience. I think this hotel suffers from what other higer-end luxury hotels suffer from: unrealistic expectations. An over-critical nit-picker might have negative things to say about the Dorchester, but I found my experience to be one of the nicest I've ever had in London.	
Jan 23 2007 	Loved the Dorch	First class all the way. One of the top deluxe London hotels. Overlooking Hyde Park, a few blocks walk to Shepards Market, Tube, but somewhat tucked away from the mainstream tourism. Taxi line at hotel waiting as you exit most times, or arriving within a few minutes. Concierge desk the most helpful in London. The restaurants, bar, and afternoon tea all fabulous; room service extraordinary. Pinch yourself! Only drawbacks are family accommodation; must book a suite or 2 rooms if traveling with 2 children. $$$$Park Lane active, but surrounding streets deserted at night. Safe, but if you can't find a cab you will find yourself walking alone through several blocks late at night when returning from pubs.	
Jan 11 2007 	Great to be back at the Dorchester	What a delight to return to one of London's finest hotels. The Dorchester has an excellent location in Mayfair and my King Deluxe room had a view overlooking Hyde Park. The bed-rooms are a comfortable size, luxuriously furnished with superb beds and enormous marble bathrooms. Comfort is key here and everything from the heated towels and fluffly robes to the thick soft carpet is pampering and luxurious. Service at the hotel is outstanding and everyone from the doorman to room service and especially the excellent concierge staff--made me feel welcomed. The Dorchester spa is the finest--and there was nothing better after a good workout to sink into the hot tub or enjoy a steam bath. The Dorchester Grill--with its over the top decor-- was outstanding and worth a visit--even if you are not staying at the hotel. Breakfast was always good, especially room service. The hotel frequently has celebrity and high profile guests and this can be fun or annoying depending on your point of view--but everyone who stays at this fine hotel will feel like a VIP indeed.	
Jan 3 2007 	Like a great traditional English pudding...	We moved here following several disappointing stays at the Mandarin Oriental across the park. The Dorchester has a homely, personal feeling which you will not find in a corporate chain like the Mandarin or the Four Seasons. The service is friendly and faultless from the moment you arrive.Room service provides a good range of well presented dishes and once again service is quick, friendly and efficient.The common areas of the hotel are well maintained and extremely traditional, with the highlight being afternoon tea in the Conservatory (make sure you book ahead!). The bar was very smoky due to poor ventilation but that will cease when the long overdue smoking ban comes in this year.There is a great choice of dining options from the tradition of the Grill to the cutting edge oriental cuisine of China Tang.The Rooms? Not overly large for the price but generous enough and you can always upgrade to a sumptuous suite if space is important and (considerable) budget permits. You will feel like you have fallen into a period drama - no stainless steel or black marble in sight! If you want cutting edge, The Metropolitan is 100 yards away but if you want indulgent, comforting luxury with amazing service The Dorchester will feel like home from the minute you arrive.	
