	Quiet clean and modern.	We loved our stay and found the hotel to be very clean and relaxing. We actually lounged in the lobby and read from their collection of travel guide books. The front desk staff was happy to assist us with snail mail, restaurants, and anything else we needed. The breakfast was of a great variety and the staff tending to the buffet were readily available to supply whatever we needed. We stayed on the back side of the building and had no noise and a comfortable bed. The rooms were a decent size for Europe. Also the location was three blocks north of a major metro stop and Hyde Park.	
Apr 10 2009 	Good value in London	This is a nice hotel with a very good staff. Initially, we had room 100 which is very large, but in the basement, and the shower did not work. The staff moved us to room 206, gave us the differential and another discount for our trouble. Room 206 is small by US standards, but is a typical London room. Breakfast was very bountiful and good. I would stay there again. Location is good. And internet available in the public room.	
Apr 1 2009 	Perfect complement of our trip!	Once we found Trip Advisor we cannot stay at a hotel before checking the info on the website. That is how we found The Sumner! We decided to stay in a good hotel and move around the city. If you want to do the same thing! This is your hotel! Great Service, location near Marble Arch, beautiful boutique hotel, very comfortable room. After a very busy day walking around you got back to a very clean and comfy room and have a great shower! Thanks for all the people that also add good reviews on this hotel, they were not wrong! I would only extend a little bit breakfast our...	
Mar 27 2009 	cant wait to go back	have visited London several time in the last 12 months and have stayed elsewhere, no longer! this hotel is now on speed dial.	
Mar 27 2009 	Great Value in London	we spent our last night in London at The Sumner and were pleasantly suprised by the quality of the hotel. The Sumner is wonderfully decorated and the staff was incredibly nice and helpful. The breakfast was good and the hotel price was really good.	
Mar 26 2009 	nice not exceptional	With all the appraisal this small hotel has gotten on tripadvisor, I was expecting a bit more than what it ended up being. the location is comfortable and quiet, and the building itself is a nice little townhouse. The tiny lobby looked stylish and modern, but sadly the same couldn't be said of the room. it was not terrible, but not very stylish either, reminded me of a very basic big chain airport hotel room. extremely tiny, no space for even a single suitcase on the floor. the bathroom seemed a bit more fresh in appearance and was quite convenient.overall, we enjoyed our stay but I couldn't really see anything that would've made this hotel better than the the couple of Radissons I've stayed at close by, in fact I recall both having a bit fresher looking rooms than The Sumner. All in all, a nice place to stay, but not exceptional by any means.	
Mar 24 2009 	Immaculate place young/hip staff great location.	I loved this place! Crisp linens and comfortable beds adorned the elegant little room I stayed in. Everything was new, and clean, with form and function running neck and neck to the finish line. There's a nice breakfast room downstairs, as well as a lovely sitting room adjacent to the reception area, which was perfect for greeting business associates, or saying your &quot;good-evenings&quot; when dong so in your room would be inappropriate.The location was wonderful, right near the Marble Arch underground stop. The neighborhood felt safe, and was within reasonable walking distance to transportation, restaurants, and sights. As a solo traveler, I felt extremely comfortable.Having said all this, be advised, that if you are a person who prefers or requires large, open rooms, with big elevators and big staircases, this is not likely the place for you, as it has a scaled down feeling in regards to room size, and moving about the corridors, getting to and from your room, etc... Getting there was not difficult at all from London Heathrow. I believe the hotel offers chauffeur service; however, I opted for the Dot 2 Dot limo shuttle from the airport, which was around +/- £22, and helped me to get a feel for the area.The hotel staff is young, and hip, very polite and helpful. I really liked the place and the staff very much, and I wouldn't hesitate to stay there again, but next time as a romantic getaway, not solo - it was too nice to keep it all to myself!	
Mar 20 2009 	Great small hotel!	We stayed here for 8 nights and picked the Sumner based on reviews here. This is a very nice, small hotel. Very clean and comfortable. Staff was extremely friendly and helpful. Our room was small, but very adequate. Very quiet. Bathroom was spotless, a nice plus was very plush towels. Bright, colorful breakfast room with excellent hot breakfast.Excellent location, easy walk to Marble Arch tube and major bus stops. We walked from Paddington Station (Heathrow Express arrival) in about 15 minutes.A number of good restaurants within easy walking distance. Pub next door (Mason's Arms) was very friendly, excellent ale (try the Badger ale) and good food. Zayna, an outstanding genuine northern India - Pakistani restaurant 2 blocks away - we ate there twice.	
Mar 16 2009 	good hotel reasonable rates	We stayed at the Sumner Hotel for 3 nights. Very friendly and helpful staff. Close to Oxford Street for those who like to shop! Also enough restaurants within walking distance of the hotel.The hotel is on quiet street (at least for London standards!) and we were not bothered by street noise, the windows are well insulated. The only reason why we gave the room 4.0 instead of 5.0 is because the bathroom was very small, but having said that, it had a very good shower. The room was very clean and the king bed very comfy. Breakfast was good, not extravagant but nice continental selection as well as poached eggs, baked beans and bacon or sausages. More than enough to get you going all morning. Would not hesitate to recommend this hotel or stay there again.	
Mar 14 2009 	Good location for seeing the sights	Booked this after reading previous posts on this site. Room(208) was very clean but small, but we knew that before booking. Bathroom was small but adequate, the only gripe was that the sink plug was not working properly but other than that room was ideal as it was at the rear of the hotel(very quiet). No fuss when arriving at the front desk.  The breakfast room was downstairs in the basement, plenty of it but as previous posts have said it was'nt hot. Had a great time in london, we done a show(mama mia), saw Tina Turner at the o2 arena. Done plenty of walking about, sometimes it was easier to walk than use the tube. The hotel was 5 mins from Marble arch tube &amp; Hyde park. We walked around Hyde park on the last morning which was beautiful in the spring sunshine. Overall a very nice hotel &amp; if we are in london again will definately use it again.	
Mar 11 2009 	Great location great staff clean-cosy-comfortable!	Stayed here for five days during a business trip. Great location, reasonable rate. I booked it purely based on the reviews on this site, thankfully I wasn't disappointed. The staff are very helpful and efficient (helped book tickets for a show). I had a king room, was very spacious and comfortable, bathrooms are a little small but manageable. The daily breafast buffet is noting fancy, but good regardless and convenient. The building has a nice, cosy feel, sitting room with PC is uselful. Very central - next door to Oxford St. and Marble Arch station. Good eating options closeby, especially the sushi place around the corner (I think its Mura)! Would highly recommend this hotel.	
Mar 6 2009 	Excellent small hotel in central London	The Sumner has an ideal location: close enough to Paddington to walk in 10 minutes, readily accessible to central London: Hyde Park, Oxford High St, the musea; 5 minutes from Marble Arch tube station. Two blocks away, you can find rows of Lebanese restaurants, open long into the night. (many with live music). The hotel has free WiFi, well-designed, scrupulously clean rooms, and a pleasant staff. Breakfast needs work, but that seems to be a problem everywhere. Do yourself a favor and walk over to Le Pain Quotidien (about 10 minutes),	
Feb 25 2009 	Location and service at a price that can't be bettered	From the moment I booked with them online I was impressed. Hotel just a short taxi ride from St Pancras where we arrived by Eurostar. Location is excellent, literally a few minutes walk from Oxford St and Marble Arch tube station. Staff at reception and at breakfast friendly and helpful above and beyond expectations when we lost a camera and needed to phone round various locations looking for it. Breakfast is simple but deceptively complete. Room on the third floor was clean and large enough for our needs. There is noise from the traffic outside but it never disturbed us in any way. Would definitely stay again.	
Feb 24 2009 	Ultra old ultra modern not so ultra breakfast	We booked this hotel overnight because we were driving to Newquay the next day. As usual I will list my pros and cons.Pros:Quiet and tucked awayVery nice front desk manTea and cookies were nice touchBoth modern and oldFast internetClose to Hyde ParkComfy bedCons:Breakfast was very small and there were about 30 people thereBathroom was a little crampedUpon arrival front door wouldn't open, finaly the front deck man had to comeShower is hard to opperateOverall, awsome hotel but all I suggest is redoing their shower control and adding more variety to their breakfast.	
Feb 21 2009 	A smart hotel in a convenient location	We have just returned from our two night stay at The Sumner. It is in a lovely Georgian house in Upper Berkeley Street. As others have said, it just has a brass plaque beside the door, no gaudy hotel signs. This sums up the hotel. It is smart and tastefully decorated in neutral colours and modern style, keeping original features of the house. It is very clean and well presented. Our bedroom was a decent size, not huge, but not too small (it was a queen sized room at the back of the hotel). It had a great sized bed which was also comfortable, and a toilet/shower room which was small but perfectly formed! The TV with radio was one of the best in any hotel room we've had (Radio 4 has to be on in the background in the morning for us). There is a comfortable lounge to sit in if you don't want to be in your room, which has daily papers, magazines and books on London to browse through. There is also a PC provided in the lounge. The buffet breakfast is good with all you need to start the day, including a choice of cornflakes or muesli, various breads, toast, tea or coffee, orange juice, yogurts, cold meats/cheese and a hot buffet of egg/bacon/baked beans. The breakfast room is in the basement, and again, well presented, clean and comfortable. Also, the hotel is situated in a very convenient location; near Oxford Street, theatre land, Hyde Park and a choice of tube stations to enable travel anywhere in London. The price was quite high (£132.50 a night), the most we have paid for a hotel room in our travels, but on the basis that you get what you pay for it was good value for money. We would definitely stay here again, credit crunch permitting!!	
Feb 20 2009 	Wonderful Breakfast Safe Location	The directions on their website were great, however they don't tell you that there is little signage and you need to be &quot;buzzed in&quot; as the front door is locked. Once I figured that out and went through the maze of hallways, they checked me into my beautiful room. The staff was efficient but cold. It was by far the best breakfast and shower of my whole two week trip in England/Scotland. For the price, I was very pleased with the quality and location of the hotel. I felt very safe walking around even though I was a single traveler. Everything looked exactly as it did on the website, so I won't post any pictures.	
Feb 16 2009 	Excellent Location yet a little haven	After reading the reviews on trip advisor we decided to book the Sumner. We arrived early on the Saturday and my room was available before scheduled check in time - great after a long journey from up north!Perfect location, walking distance to Oxford Street and Mayfair yet quiet enough at night to get that well needed rest. Room was a king double and slightly smaller than expected but was top floor and was v clean. Good weekend had, stay v nice and v helpful. Would stay again.	
Feb 13 2009 	Beautiful boutique hotel	The Sumner Hotel is a lovely boutique hotel in a great location.It is very easy to miss as it has only a brass plaque at the side of the front door, but once you find it you will not be disappointed!The hotel is within easy walking distance to many locations and Oxford Street for shopping ! We had a spacious front room on the first floor and were not worried by any noise. The bed was very comfortable and the bathroom was compact but well appointed.The breakfast room is in the basement and has a very adequate selection of food.We will certainly be staying here again on our next visit to London, the staff, the rooms and location are excellent.	
Feb 9 2009 	Very nice but could be a bit better	My wife and I stayed here in February 2009, for the standard weekend of sightseeing and a west end show. The location is perfect, just around the corner from Oxford Street, and the hotel is a lovely small townhouse far from any noise.One word of advice - do not stay in either of the rooms on the lower ground floor - they are right next to the breakfast room and the noise from 8am onwards is crazy. We were warned about it, but we still didn't think it would be that loud.Our room was nice and spacious with plenty of storage space, but was let down by the bathroom - very poor shower and no ventilation whatsoever. The breakfast was included in our rate, which was just as well, as you would certainly not want to be paying extra for it. One person is tasked with running the whole operation, which resulted (on both mornings) in cold food that should have been hot and very little supply of anythng else, including bread, orange juice, etc. Just not good enough, even for a basic offering such as this.Overall, it's a nice spot with nice staff, but they need to sort out a few things before you could give it a rating of 4 or 5.	
Feb 2 2009 	Smart Sumner	The Sumner is a very nice hotel. Perfectly situated for shopping and West End. Very nicely decorated and appointed. Our bedroom was large with an ensuite shower room. Bed was a bit hard and there were no drawers for storage, just a large wardrobe.The buffet breakfast was simple and tasty.The staff were excellent.All in all a comfortable stay but yet another hotel suffering from hard bed syndrome.Would definitely reccomend if you don't mind hard beds.	
Jan 22 2009 	Great Stay!	Stayed here late on in December to soak up the festive spirit of Christmas, and we also had tickets for spamalot at the theatre &amp; the darts championship at alexandra palace so decided to made a weekend of it.Nicely located in a side street off Marble Arch (in what we found to be close to the arabic quarter, lots of lebanese restaurants!), lovley Georgian building beautifully rennovated in a contemporary style. Private entrance with allocated key for own entry. Reception friendly, lounge area nice and comfortable, breakfast room (in basement) contemporary with some shared banquet style seating for large parties, fruit &amp; cereals, and cooked breakfast which was self serve buffet style (one day egg/bacon &amp; beans, other egg/sausage &amp; beans, never bacon &amp; sausage together unfortunately but still nice) We had a large room at the front of the hotel with 2 large sash windows, one was opening leading out onto a small 'balcony' which was great to watch the world go by. Compact en suite (polite way of saying small) but all very clean and comfortable.I would stop here again if I weren't such a rubbish sleeper (as our bed was quite hard and I like plush, soft and fluffy) but if you're a normal sleeper (like my husband) then you'll not find this a problem!Definitely recommend and the price, which includes breakfast, rare in London, then it's a great choice.(apologies for poor quality photos, taken on my iphone!)	
Jan 18 2009 	As great as everyone states...	We stayed at the Sumner saturday evening for a weekend break in London which we frequently visit, although it was our first time at the Sumner as we usually stay in a chain hotel. Extremely impressed, the room was huge by London standards, clean &amp; modern. The staff were extremely helpful. Breakfast was nice. Location was fab as we'd booked to go to Gordon Ramsay's Maize restaurant and it was a 10 min walk away. Got the special January deal on the rates so if we could visit again for the same price we'll definitely return soon.	
Jan 16 2009 	Best in London in EVERY way	My husband and I spent a few days in London before Christmas in 2008. It was our third time in London and we've had mixed experiences with small hotels. I am excited to say, that this was by far the best experience we've had. First, we arrived very early in the morning. They had a room ready for us right away. It was the deluxe room we had requested but unfortunately, it was on the first floor in the front of the hotel. My husband is a light sleeper so he knew this wouldn't work. Immediately, the front desk found us another room and let us stay in the deluxe room until it became available several hours later. We appreciated their understanding and accomodation. The rooms were spotless, well decorated and the largest we've seen in London. The rooms were also incredibly quiet, which is a huge plus. We moved from the deluxe room to a regular room with a king bed. We have to say, it was just as nice and roomy. Unless you really want a huge shower, we'd say the regular rooms are just as good. The breakfast was well stocked every morning. There was sausages and eggs, along with fruit and cereal. We're not huge breakfast people, but it was more than satisfying for us. The location of the hotel is also excellent. It is a very short walk to Hyde Park as well as public transportation. There are many restaurants in the area for a quick bite. The pub on the corner has great soup and fast service if you're up for a bite after a long day of walking around the city. As if our stay wasn't pleasant enough, the hotel further surpassed our expectations when we returned home. My husband lost an expensive necklace I had given him as an anniversary present. He called the hotel and they found it in our room!! They also promptly air mailed it to us at home. It was a wonderful Christmas present to know that such honest people still exist. Overall, we had a great experience at this location and if we go back to London, our first call will be to the Sumner.	
Jan 7 2009 	Wonderful as Billed - Outstanding Service	The Sumner was a wise choice for a home away from home. The front desk staff (especially Mark and Beatta) could not have been more perfect. The hotel is nice building and is certainly centrally located. A recommendation for a restaurant (seafood just around the corner from the hotel) was excellent. We were always asked whether we wanted Tean and buscuits - which were either served in the parlor or our rooms. We took a 2 day trip to Zurich during our stay and the hotel was kind enough to work out an arrangement that was very convenient. Upon leaving - we had more heavy baggage than I care to admit - the young lady on duty provided a great deal of assistance with luggage that was larger than she was. I coukd go on and on - but I think you get the picture. Nice bathrooms - nice size rooms. Pretty common areas. We've found our new hotel in London and will return - Really this was a 4.5 rating - Karen and Gil (USA)	
Jan 7 2009 	Lovely--Great Location	We stayed at The Sumner for two nights in December. The location was great, convenient to many sights and restaurants. We set out walking at 11:00 a.m., after a wonderful complimentary breakfast , and we went to all of the sights that we had wanted to visit. We were back at the hotel by 7:00 p.m. after dinner. The staff was very accomodating and friendly. We will definitely stay at The Sumner when we are in London again. We will also recommend it to our friends.	
Jan 7 2009	"Well-known" hotels could learn a thing or two from this little gem!	We stayed at The Sumner Hotel for one night in December and were very impressed by this small boutique hotel. I had booked a deLuxe double room on the first floor, which like the rest of the hotel, was spotless. Having stayed in many London hotels, I would recommend The Sumner, above any other, to both business and leisure travellers. It gets five stars from me for cleanliness, service, value and dining; it’s in a great location just off Marble Arch … and it’s lovely and quiet too! Some of the larger &quot;well-known&quot; hotels could learn a thing or two from this little gem.	
Jan 6 2009 	Elegant home away from home	Truly a jewel in London. On a side street, very quiet, the surroundings are at once historic and modern. Our room was spacious - very unusual for Europe - and tastefully decorated. The service was so discreet, you hardly knew anyone was working there, except that the room and the public areas were immaculate. Lots of careful detail - the living area, shared, had lovely soft music playing, a computer available, good reading material, and beautiful furniture. Also, terrific location, interesting neighborhoods, shopping and great walking.	
Dec 15 2008 	Great Stay	We stayed at the hotel for one evening but would happily recommend it to anyone else. Not too far from Kings Cross and easy to get to the Grosvenor Hotel for our function. Room nice with contempory furnishings and large which makes a pleasant change for London. Shower is compact but enough room to do what is necessary - shower. We were on the first floor and it did feel like a rabbit warren with lots of corridors and doors.Fantastic night sleep had. Thanks!	
Nov 20 2008 	Ab Fab Hotel and Staff	I stayed at the Sumner for 8 nights. I was impressed from the moment I stepped over the threshold. The location is ideal for shopping and transportation, the street is quiet, and the room was large by London standards. The hotel seems to be run very efficiently. Everything was spotlessly clean. Throughout the stay the staff were exceptionally friendly and helpful, and accommodated all our wishes without fuss and without error. Next time I visit London I shall definitely stay at the Sumner.	
Nov 12 2008 	A great London find.	Our stay totaled 4 nights and we were very comfortable and well cared for. The staff is incredibly helpful and pleasant. They can get you tickets to shows, explain the Tube, check opening and closing times of attractions. The hotel is spotlessly clean and our room was very quiet. We paid 112 pounds for 2 doubles with the Rick Steve's discount. Bathrooms were the best we encountered in Euorpe, plenty of hot water, and toilets that flushed, etc and good soaps and shampoos. The included breakfast was very nice, with excellent tea. The parlor/drawing room was pleasant and we even had a pot of tea there late one nite after trudging back thru a very cold and blustery snow storm! The free internet is great to print boarding passes or check reservations, tho the front desk will do all this for you. Its a great choice for a London hotel. The car service they book is excellent, on time, and curteous. We'd return. A great find!	
Nov 9 2008 	great boutique hotel	located in Marble Arch on a quiet streetconvenient for Tube, but not near attractionsquiet, clean, basic room and breakfast was basicbreakfast room was windowless which was not attractivevery helpful staffwould stay here again	
Nov 6 2008 	A great find	My wife and I thoroughly enjoyed a 2 night stay at The Sumner over Hallowe'en. The Hotel is clean, modern and easy to find, and the staff were friendly and efficient. It's very handy for Oxford st. and there are plenty of restaurants on Edgeware road which is a 1 min walk away. The only slight downside for me was the breakfast. it was ok, but not everyone likes bratfurst sausages, and they were the only cooked option other than eggs. It's really ony a minor criticism, though, as we'd definitely stay there again.	
Oct 31 2008 	An excellent London option	We booked the Sumner after reading the Trip Advisor reviews. We were not disappointed. The hotel is well located - the tube is less than 5 minutes away - the Oxford Street shops - the same.We booked a King Double, which was larger than the average London hotel room. It had a pleasant view over the street and the double glazing ensured there was no street noise.The staff were very helpful. The breakfast was generous and while it is described as &quot;continental&quot; it includes hot and cold food and was more than enough for us. Within a 5 minute radius were some very interesting pubs and restaurants. On the ground floor is a very comfortable guest area with a free internet connection. London is an expensive city by any standards, but we felt we received comparative value for money from the Sumner. We were more than pleased and have booked to stay there again next year.	
Oct 30 2008	Highly Recommended	This is a top quality small boutique hotel in an EXCELLENT location. It is only a 2 min walk to Oxford St and Marble Arch and a 5 min walk into Hyde Park.The decor is really tasteful and modern and we were really impressed with the lounge area which had lots of lovely reading material and more importantly, a PC for guest use FREE OF CHARGE to surf the web. We had drinks in the lounge one evening and although they were a little pricey, it was a lovely atmosphere.We had an executive king sized room which was immaculate, with high quality fittings and fixtures and plenty of space. It overlooked the street but wasn't noisy at all and it was nice to be able to open the windows. (In many hotels we find that's not possible!)We didn't really need specific help from staff but we found them pleasant at all times. When we asked to borrow an ironing board - it was no trouble at all.Although we would recommend this hotel and would stay again, it did have some small down sides for us. Firstly, there were no tea and coffee making facilities in the room which I would expect from a 4* hotel. We had to pay £3.60 for tea for two with biscuits! Also, I like to have a bath and robe in a hotel room, especially after a hard day's sight seeing in London but unfortunately, we had neither. The shower room was like new and very clean but quite small.As for the breakfast, it was more continental than traditional English. The first day, there was no bacon at all and the sausage was like a bratwerst! On day 2, we did have bacon but no sausage. Toast wasn't readily available on the buffet but we did get some when we asked. Despite these small niggles, we thorougly enjoyed our stay.	
Oct 26 2008 	wonderful choice	The Sumner was a perfect choice for comfort, location and service and the price with the the Rick Steves discount was excellent. We had a standard room which was in the back which was very quiet and of a good size. The many buses that serve the area are terrific for a first time visitor and good for sightseeing as well as getting where you want to go.The tube is good if you are in a hurry if the lines are working properly. We found good restaurants nearby - Prezzo and the Spaghetti House. The prepared food at Marks and Spencers is as good as all our London friends been telling us. The Sumner staff were always pleasant and helpful. The breakfast was more than ample. Having tea served in our room or the lounge at any time of day or night really was wonderful especially after a long day of touring.	
Oct 26 2008 	outstanding hotel	What a magnificent little jewel. We loved the Sumner and the service was outstanding. We could absolutely not ask for more! This hotel is warm, charming and beautiful. Our room was very spacious and well equipped, the attention to detail was evident throughout the hotel. We felt so at home we did not want to leave. It is spotless, and the breakfast was lovely with many choices. The location was superb and very handy to many conveniences. You will not find anything like it for the very affordable price charged. We cannot say enough about this hotel and will certainly stay there the next time we are in London. We have already recommended it to many friends in Canada. Mark was awesome and Peter was wonderful, they were so kind and helpful it made our stay enjoyable. It has internet available for use 24hours. The bathroom was also very comfortable and spacious. Many thanks to the owners for caring so much, it shows! Sincerely, David and Marcella Abugov, Halifax, Nova Scotia, Canada	
Oct 22 2008 	Very Enjoyable Stay at the Sumner	Spent one night at the Sumner in London on our way back home from Europe trip. The room, a deluxe, was delightful - surprisingly large and airy for a London hotel. It is very well fitted out with a wonderful comfortable bed and the bathroom was well accomodated too. Breakfast was included in the rate, which also was surprisingly reasonable by London standards, and the breakfast fare was very good.Also enjoyed the comfortable and large guest lounge and really appreciated having a dedicated guest computer with free internet access.Staff were extremely friendly and helpful.	
Oct 21 2008 	Loved the Sumner Hotel.	My husband and I recently stayed for 3 nights at the Sumner Hotel. The hotel is very modern and clean and our bedroom was like a haven after a busy day siteseeing in London. We felt very safe staying there. The buffet breakfast was good value. The staff were very helpful - they even arranged theatre tickets for us. Nothing was too much trouble. The position of the hotel is great, close to the busy shopping precinct of Oxford Street and close to the peace and fresh air of Hyde Park. Plenty of restaurants, cafes &amp; pubs nearby. Also the Odeon picture theatre just around the corner in case you want to sit down for a couple of hours rest and catch the latest movies. Of course the Marble Arch tube station is very handy. I would definitely recommend the Sumner Hotel to anyone who wants to stay in a small, quiet hotel.	
Oct 19 2008 	Loved this hotel	This hotel was one of the best I've stayed in on my last several trips to Europe. The location is great, a sort of quiet area but close to everything plus the Marble Arch underground is only a few blocks away. The staff were extremely curteous and the room was fairly big as far as European standards go. It was very clean, had free internet service in the lobby level, and the hot breakfast which was included I thought was superb. The beds were fairly comfortable as well which is a rarity in most hotels I've stayed. For the price this hotel was a great deal and I for sure would come back.	
Oct 19 2008 	fantastic location	September 4thWe spent 3 night at the Sumner and would book there again.The staff were professional and helpful. Our room was large for European standards, big king size bed.Everything was clean and well cared for.The breakfasts were substantial, containing hot and cold items.We could walk to Oxford street and explore alot of the city on foot from this location. Great little pub next door.	
Oct 3 2008 	Incredible London Value	Contacted the Sumner after reading all the excellent Trip Advisor reviews. Right away I knew we had made the right choice because of the efficient, courteous and professional manner in which they corresponded with us.We stayed 5 wonderful nights in a spacious and most comfortable king room. The driver and car we requested was right there to meet us after customs at Heathrow and take us to the hotel. The location was great...it took us about 3 minutes to walk to the Marble Arch Tube Station. (If you are going to ride the tube quite a bit as we did, I suggest purchasing Oyster Cards before you go. They reduce the fare for each ride per person from 4 pounds to 1 1/2 pounds. You can purchase them online from the Visit Britain website). There are several restaurants within two to six blocks of the hotel...I would recommend Prezzo and Seaport...they were both excellent...Prezzo very reasonably priced and Seaport a little expensive but well worth it. You are also only two blocks from beautiful Hyde Park, where you can walk forever.We paid 145 pounds per night and besides the lovely room, that also included a very nice breakfast with both hot and cold items, Wi-Fi in the room, a computer with internet access in the lobby, room service at anytime for tea or coffee, and the assistance of one of the most helpful staffs we have encountered anywhere in the world for absolutely anything. You can pay twice that in London and get a tiny room with a cold breakfast in a not so good location and then have to pay extra for computer access.The bathroom had a shower only, which we prefer, with fantastic water pressure, instant hot water, nice toiletries and soft, fluffy towels. The room had both heat and AC, both of which you could adjust to suit you. We had two floor to ceiling 12ft high windows, which you could open, but when closed you could not hear the street traffic.I can't imagine a more pefect place to stay in London..we will definitely stay there again.	
Oct 1 2008 	The Sumner was lovely	Had a lovely 5 day stay starting with a car pick up at the Heathrow that the hotel arranged for us which was fantastic as London greeted with pouring rain ! Had a king room on the top floor which was a great size and 130 GB per night was a good price. Lovley furnitures, manchster and wall mounted flat screen. An extra bonus was the windows open so fresh air can come in ! The staff were helpful, the breakfast (included) was great (met some nice people) and having a free computer in the lounge was great for checking emails. Location was the best. Great Middle Eastern supermarket down the road, restaurants near by, can walk to the tube and we even walked acorss Hyde park to Harrods !(My tiny little concern was that the shower was claustrophobic as the door nearly goes to ceiling heigth and the steam engulfs you however open the door a little gulp air and off you go again ( a bath would have been nice but no room). The heating of the room was questionable (we expressed our concern and a staff member felt the cold air blowing out) as the reverse cycle only blows cool air not hot too and the wall heaters are controlled elsewhere.Lovely blankets were forthcoming but should not have been needed)However these are meant to be minute comments and we loved the place and without a doubt we would stay there again.	
Sep 30 2008 	The Sumner is the place to stay in London	If you're looking for super value, incredible service and great accommodations in London, this is the place. My wife and I stayed 3 nights at the Sumner and the staff was simply fabulous in helping out with our needs, from theater tickets to directions. The gentleman at the front desk who greeted us, Mark, made us feel very welcome. The room was super clean and comfortable. Also very close to an Underground station where you can go anywhere in London and beyond. Great breakfast every morning, except they close a bit early (no biggie). Even offered to have breakfast ready on the morning we left. Next time, we're in London, the Sumner will surely be our hotel destination. Our only complaint is that we could not find good nearby pubs after our late nights on the town but we never inquired with the Sumner staff.	
Sep 29 2008 	We loved it here!	We stayed here for four nights in a regular room and we would go back in a heartbeat! Comfortable room, nice breakfast, friendly staff and a great location - not to mention a reasonable rate for London. We will definetly recommend the Sumner to our friends and family.Dova and Kacee Jones	
Sep 19 2008 	Would have been great except for the cold shower	I stayed here for 2 nights in a King room. Everything was great except for the lack of hot water one morning. Given the rave reviews on this site for the hotel, I believe this was an isolated incident, but it does make it difficult for me to want to stay there again, especially as it caused me a lot of inconvenience &amp; the staff provided no apology. Yes, London hotel rooms are very expensive &amp; this hotel is practically a bargain in that context, but for US$320/night I would at least expect hot water when I need it.My room was on the 3rd floor, spacious, well lit with 2 windows overlooking the street, &amp; quiet. The bed was incredibly comfortable, with very soft sheets. There were many cable channels available on the flat screen TV. The main downside was the bathroom - tiny, with a tiny stall shower. One morning, I found there was no hot water; 5 minutes after I called down to reception, I was told that one of the boilers had been turned off but had now been turned back on. I waited 20 minutes for the water to heat up &amp; couldn't wait any longer, as at that point I was already 30 minutes late for my appointment. So I took a barely lukewarm shower. No apologies from reception.The hotel's public areas are very nicely decorated, in a stylish, muted fashion, with a comfortable drawing room. The staff was nice if a bit stiff. The location is great if you need to be near Marble Arch or Oxford St; the street itself is nice &amp; quiet. The room key also opens the front door, which is very convenient but also feels secure. I wouldn't hesitate to recommend it as an alternative to a big hotel. My only (significant) problem was with the hot water.	
Sep 18 2008 	Very nice option	Finding a hotel that is reasonably priced in London is incredibly difficult. There seem to be either very expensive or inexpensive yet sketchy hotels. The Sumner is moderately priced by very expensive London standards and is nicely located near the Marble Arch tube station. The hotel is located on a quiet street full of hotels that don't look nearly as nice as The Sumner. The hotel itself is well-appointed with comfortable rooms, a friendly staff and complementary breakfast. The room was spotless, quite large, and relatively quiet. The pros of the hotel are: it feels like (and is) a higher end boutique hotel, great location, reasonable room rate, staff, clean and modern rooms. I would definitely stay at The Sumner on a return visit.	
Sep 13 2008 	Best Hotel In Marble Arch	I am a business traveller who visits London about 4 time every year. I always stay near the marble arch. I have tried several hotels in the area. Most are noisy, overpriced with tiny rooms and indifferent service. I was looking to change so I found the Sumner reviews on this website and booked my most recent trip for 3 days. The location is excellent. 3 minute walk to marble arch tube. My room (King) was in a word - massive. I travel extensively all over the world and this is one of the biggest rooms I have ever had. Similarly the bathroom was very large.The Furniture and accessories were all top notch. The staff and service was great. The Breakfast did not feature a massive selection but was good quality and totally acceptable. Wifi was free.I will definitely be back.	
Sep 11 2008 	Exceptional	This is an outstanding hotel and I can't recommend it highly enough. The hotel is impeccable clean and the staff are falling over themselves being helpful and courteous. Despite other reviewers comments that the rooms were small, I found mine to be quite spacious for London. It is situated just a few blocks from Hyde Park with easy access to the tube and Oxford Street, so the location is excellent. There is a laundromat around the corner and a gym only five to ten minutes away. Internet use is free on the computer in the lounge and there is a library of London guides for your research. The breakfast was fantastic and overall The Sumner is the very best hotel I have ever used.	
Sep 9 2008	London in Sumner	Recently stayed in the Sumner, following great reviews on Trip advisor. We were not disappointed! The staff were very friendly and the location is fantastic.We will definately go back. the only slight downside is that the breakfast is all pre cooked but there is a great deli just around the corner which just adds to the whole experience!	
Sep 6 2008 	Great little hotel	Very comfortable hotel in an excellent location. Staff very friendly and helpful. Bed and pillows excellent (Very important for me). Breakfast very filling. Hotel is spotless. Have booked a return visit. Highly recommended.	
Aug 21 2008 	Loved the sumner!	I stayed here with my parents end June 2008, stayed for 5 days. We had requested for a triple room and they got us a basement room - big enough for 3 of us. Tho initially when we saw we were placed next to the bfast room, we were worried bout the noise, but it was perfect.Which brings me to bfast - fabulous and delicious - eggs (2 types), sausages, baked beans, bacon - all very well cooked, plus a small selection of cereal, cheese and breads.The hotel itself is lovely, and the use of the free internet available 24/7 was much appreciated.Location is fantastic, just 5 mins walk to Marble Arch, with nearby grocers, small cafes and resturants if we're feeling lazy to venture more than 10mins beyond the hotel to have a bite.	
