	Great value very convenient helpful staff hearty breakfast	We were there for 2 days and returned for another 7. Location couldn't be more convenient as it's a 5 minute walk to the Gloucester Street tube station with Picadilly, Circle, and District lines. Good, reasonable restaurants nearby and a grocery store at Gloucester and Cromwell. Staff was very nice and helpful. Breakfast is great. They call it continental, but it includes eggs, bacon or sausage, baked beans, toast, sweet rolls, cheese, meats, juice, etc. Only thing missing was fresh fruit. We stayed in two different rooms, both of which were quite nice. Really liked having the refrigerator. They have two non-smoking floors if you request ahead. Didn't try wifi but there are computers with internet access in the lobby, 1 GBP for 20 minutes. I guess we like crisp sheets and firm beds because we found everything very comfortable and clean.	
Mar 7 2008 	Excellent - Will Stay There Again Next Trip	I stayed at the Park International for five nights (Feb. 26-March 1, 2008). If you book on-line and in advance, you can receive a very reasonable rate. I paid 62 pounds for weeknights and 87 pounds for Friday, Saturday night. If you walk in off the street, the weeknight rate goes up to 129 pounds. I chose this particular hotel because I wanted a hotel with a British ambience. Hotel staff were very polite and helpful (each afternoon I would return to my room and it would be very clean, restocked and my pjamas would be folded and placed underneath my pillow!). Although check is wasn't until 2 pm, they allowed me in at noon. For those wanting a safe, clean neighbourhood at a very good price, the Park International in South Kensington is a great choice. For those who want to retain a North American ambience, please note the Holiday Inn is on the next block. I loved this hotel and will definitely make it my &quot;home&quot; next time I visit this wonderful city.	
Jan 28 2008 	Some very small bedrooms!	The location is good, close to Gloucester Road tube, a Waitrose supermarket, internet cafe etc. However, my room was tiny to say the least. It was a single room, and from my single bed I could nearly reach both walls. I was unable to lay my (small) suitcase by the side of the bed (to give you an idea).However the price was good, so one should perhaps not expect more.The check in service and concierge were good. The service at breakfast poor. It's a self service buffet. I complained about the lack of hot water for a cup of tea, and just received a shrug (could have been that English was not the first language of the staff).If I were to stay again, I would either pay more and ask for a larger room (I did spy some larger ones through open doors), or accept that £60 odd a night is very cheap anywhere in London, and not spend anytime in the room at all, except to sleep.	
Jan 25 2008	Exactly what we were looking for.	My mum and I visited London in mid-Jan 2008 and stayed in the Park International Hotel. I came across the hotel on a travel website and after doing much research into the location and proximity to the shows we were going to see, decided to go ahead and book it. As we were there as tourists, we simply needed a place to lay our heads at night that wasn't too expensive. And the Park International certainly met our needs. We stayed for 2 nights mid-week and the total cost was just under £180 which was a good rate for the location and time of year. On the day of our arrival, we arrived just after 1pm and even though check-in was not till 2pm, our room was already waiting for us. The room was basic but comfortable. We had a twin room so there were 2 single beds, TV and ensuite bathroom. Also, there was more than enough storage space for our clothes. The beds were comfortable to sleep in and we found the temperature in the room to be perfect. After a long journey over, all we could think of was eating and sleeping. We inquired whether the hotel did any bar food, which they did not. The only meals available there are breakfast in the morning. However, they were more than helpful in suggesting places we could have lunch. The breakfasts each morning were lovely. There was everything you could ask for. There are cooked breakfasts which include sausages, scrambled eggs, mushrooms and beans. There was toast, croissants and scones as well as 2 different types of cereal and juice and tea and coffee. We ate our fill every morning and it certainly kept us going during our sightseeing that day! On the day that we were leaving, our flight wasn't until 9pm but checkout was at 10am. However, you can leave your bags in the hotel for the small charge of £1 per bag, which we found excellent. So we could go and finish our shopping without lugging our suitcases around all day! The only bad thing we noticed (and I don't think the hotel could really be blamed for this but its worth knowing) was that, on our first evening, we asked the concierge to book us a taxi to bring us to the theatre. The cab was sitting ready for us when we arrived down 10 mins early and he escorted us out of the hotel with an umbrella as it was raining heavily. We were delighted with this and the driver was very friendly and showed us some of the sights on the way. However, he obviously knew we were tourists and charged us £20 for what could only have been a 15 min journey! Of course we paid but we hailed a taxi back that night and it only cost £12! From then on, we didn't ask the hotel to book , we just went out onto the road and hailed a black taxi. All in all, I would definitely recommend the Park International Hotel if you are planning on visiting London for a short trip. The location is excellent - not far from Kensington/Knightsbridge and the West End and, with the Tube just around the corner, its easy to get to anywhere you want to go!	
Jan 14 2008 	Location location location	What a great hotel in a great location... and at a great price! I managed to book a king room for right about $150 over the New Year's holiday for my boyfriend and I. It was just what we expected, based on pictures and descriptions and reviews. The staff was friendly and the rooms were clean. And the location was great, just a couple of blocks from the Underground stop.The only drawback... breakfast was only adequate. And the walls were very thin. We could hear conversations in the room next to us like the people were in the room with us!But, neither of those would deter us from staying there again. For the location and price, there's no better place to stay.	
Jan 9 2008 	Excellent Location Great Value Would Stay Again	My wife and I were traveling through London on our way back home from a trip to Egypt and we booked this hotel after doing a LOT of research here on Trip Advisor. I think that many of the negative reviews of this hotel are people who have unrealistic expectations about what any hotel in London should provide. I have stayed in many cities and in hotels ranging from the Omni chain, Four Seasons, Hilton, InterContinental, all the way to Holiday Inn and Comfort Inn. The Park International isn't the Mandarin Oriental but is certainly a well maintained, comfortable hotel that has good sized rooms (speaking in comparison to American hotels) and a decent staff. The location is brilliant, being a very short walk from the Gloucester Road tube stop thus making the entire city available to you. The Kensignton neighborhood can't be beat in terms of class...every other car driving down the street is a high-end one. Upon requesting a bucket of ice, the concierge was standing at the door within a matter of minutes, and there was a fridge in the room to stock drinks and goodies from the grocery store which is a block away.I love London, and would totally stay at this hotel again. If you're looking for a good value in a good neighborhood, this would be a very reasonable choice. After staying here, I realized that many of the hotels I'd been looking at on a myriad of discount hotel sites were either next door, across the street, or a matter of minutes away and were charging much more than the Park International was. What a deal!	
Jan 8 2008 	Great Location but uninspired.	The Park International Hotel in Kensington, is quite simply very standard in most respects. The outside of the building hints at a 4 star experience, but once inside you realize that you get what you payfor in London.Compared to most hotels in London, I think the Park is a pretty decentvalue but there are a number of little details that could make the hotel much more hospitable. I stayed for three nights on business in September and not once did any staff member greet me or show any kind of hospitality.The room was very small, but typical for British standards with a clean and simple bathroom in the room. There is no Internet connectivity in the rooms, so I used the Internet cafe on the other side of the street which worked out alright.I would not suggest eating at the many of restaurants on the other side of the street as I had very bad service and food in each of the ones I tried. Walk towards the subway and eat at one of the local pubsas an alternative.The included breakfast was decent but like everything at the hotel, it was nothing out of the ordinary. The Park does have a great location in London and is very close to the tube station which is why I chose the hotel.If you can get over the uninspired service and mundane rooms, and you are looking for good value in this particular location then the Park would be a fair choice. Hopefully, they can work on things a bit because it has some good potential.	
Jan 8 2008	Ho hum	With the dollar being so weak, we decided a 3 star hotel was all we coult afford if we were going to be able to also enjoy the sights. This hotel was really not more than a 2 star. The location was wonderful, a very short walk to the Underground and within walking distance of many famous museums, parks, etc. However, the lodgings themselves were bare bone. Front desk and concierge were adequate at most; did their jobs but didn't go out of their way to exude much warmth or offer any information beyond the bare minimum requested Rooms were worn and tiny; plumbing was very loud,; hairdryer, vending machine and lamps broken. Clean enough. If you are looking for a basic hotel in a great location, this one does the trick. Just don't expect much more.	
Jan 5 2008 	Lesson Learned - NEVER AGAIN	My friends and I stayed at the Park International Hotel for two nights to celebrate the new year in London. We paid around 250 pounds for two nights.I must agree with the other reviewers that the location is convenient and in a nice neighborhood. It's two blocks from the Gloucester Road tube station and there are several places to eat and a grocery store and Tesco express nearby. However, we had several issues:1. When we checked-in and got to our room we found our room (family room with two full sized beds) to be really stuffy. We opened the windows and tried turning on the a/c (lowering the heat) The room remained stuffy for the two nights we were there. The a/c didn't really let out any cold air and there was poor circulation in the room so opening the window wide only cooled the one person sleeping right next to the window.2. There was a incredibly loud (I mean REALLY loud) rumbling noise coming from the bathroom that I'm pretty sure was coming from the water pipes (perhaps because it's an old building). The noise was so loud and disturbing we called downstairs and a not very helpful man came up and pretty much told us we were hearing things and it was merely the vent in the bathroom. (DUDE are you deaf?) He made it very obvious that he could care less. The noise lasted through both nights and made it impossible to sleep for most of us (with the exception of my one friend who's a really heavy sleeper and can sleep anywhere)3. When we got back to the room we found that the cleaning service employees hadn't changed our sheets, but simply made the beds and didn't replace the towels (even the ones that were placed in the bathtub as we were instructed if we wanted them replaced), but simply folded them nicely and placed back on the towel rack. Eww.4. The employees on a whole don't seem to want to be working there and are rude. For example, while we were downstairs having breakfast (which is included when you book through the hotel's website), one of the employees repeatedly bumped into one of my friends without apologizing or saying a single phrase like &quot;excuse me&quot;. And while checking out I had mentioned that our television and hairdryer didn't work (I did not want to be charged for something that never worked in the first place) even after we turned on the switches (they have power switches for everything in the room) and the women pretty much said I was stupid and didn't know how to use it. I think to be fair the hotel is a 3 star hotel. The room was small, but I believe that's how it is in Europe in general. Breakfast wasn't great, but it was good enough to keep us from getting hungry before lunch.The hotel is old and everything in our room was old. I'm not sure if the loud pipes were heard throughout the rest of the hotel (I doubt it) So if you're fortunate enough to get a room without the noise and don't have to deal with the employees, the hotel works as a place just to crash. I definitely will not be staying there again and wouldn't recommend anyone else to, but if you have to, make sure it's a brief stay.	
Jan 4 2008 	Good for the price	3 minute walk from the Gloucester stop. The lobby was nice looking. The room was adequate for a budget hotel. Definitely acceptable especially for the price. Good if you're on a tight budget and don't want to stay in a dump.	
Dec 24 2007	great hotel but ignorant staff	I stayed with my girlfriend at Park international hotel for 4 nights between the 19th of December to the 23th. All in all, I found the hotel OK, not bad, but not extraordinary either. The location of the hotel is superb. A 2min walk to Gloucester Road underground station made it very easy to reach most parts of London. There were also quite a large amount of restaurants nearby, which we found positive. The room was rather small, but since we were not spending much time in the hotel room, that did not matter. Apart from a minor rip in the wallpaper, effectively hidden behind the bed, and a bad paint job on the bathroom door, the room was good. We had a room located on the 5th floor, which meant that we got farther away from the road, which was good since the morning traffic could be rather intense. The breakfast served was above expectation. There were yogurt, cereals, toasts, croissants etc. and also a small section with hot food (scrambled eggs, bacon etc.).The staff however, were quite ignorant, and especially the receptionist. When we arrived, she told us that they would pre-authorize £40 for &quot;extras&quot; with no further explanation. When I came down later and asked about a previous pre-authorization, made for the first night, she would really listen, but eventually, the concierge came to the reception and told me that the old reservation of money, would disappear a few days after the next one was made. At check-out, the same receptionist was working, and of course there were problems this time as well. Since the pre-authorization from the check-in was still active, she couldn't make a new one, since about £340 was already blocked. When I told her that I could call my bank and reverse the old block right away, she wouldn't listen, and just tried different ways of getting the transaction to work. This got rather annoying, but finally she got it to work (at least she said so), and we could leave.All in all, the hotel is good, but the staff ain't.	
Dec 8 2007	Absolutely Appalling	We have booked the room for our son and when he arrived at the hotel, a poor English speaking receptionist refused to let him stay because we used our credit card for the booking instead of my son's. After some heated argument they let him stayed on the ground that they would keep his passport for the duration of his stay. When he checked out, the threatened to withold his passport on the ground that there was not signed authorisation for the credit card. They insisted we sent an email with all the credit card information. And then they said no email was received. After a lengthy and unplesant argument which almost involved the police, they finally agreed to return the passport and delete the credit card information in their system. Worst hotel service ever experienced.	
Dec 5 2007 	2 nights in "Hell" for 3 night's price in "heaven"	I was staying in Park International Hotel for a week, but it was a big mistake, first of all, it was an ethernity to check in, because there was only one receptionist there around 6-7PM and two computers, but no one to operate the secound one, than came the secound thing, because I was asking for a superior king room with a good view, instead of that I got a tiny double room at the back side with almost no view at all. The Italian receptionist guy was nice, he apologized for the inconviniance, and promised me a roommove free of charge of course, to a higher floor with the prefered view, till this point it was ok, but than at night there came the turning point.When I went in the bathroom to take a shower I saw a couple of COCKROACHES running around the floor, it was a shock , when finished panicing I called reception, to do something, but they were unable to do anything because they were fully booked than I asked to bring me some bugkiller spray and kill those tiny pests, but it turned out, that they don't have any at all!!!!!!I decided to get my company to book me anodther room for the rest of my stay elsewhere nearby, I went to the bar to have a drink, the service was fine, but the offered range of drinks was very small, like half of the wines were &quot;Shiraz&quot; and there were not really much of english beers anyway which wasn't a good sign for me. It was a bit late when I went to sleep, but soon I find out that it was quite cold in the room, when I checked the radiator it was cold, I tried to turn it on without any use. I called the concierge, to get maintanance fix it before I freeze, but he just said without any kind of suprise to turn on the AC, when I called them again to do something more for my money because it's still cold in my room they agreed an extra heater, but only problem was that they run out of them (I guess I was not the first one with this sort of problem). Next morning afther breakfast I tried to have a talk with the manager about these things, but there was none, they told me to come back after a short while, but I had to go to my conference, when I came back around 8-9PM there was't any manager available again...Upstairs in my new topfloor room I had to realize, that it's COLD AGAIN, and the heating is not working there aswell, I called the reception to get me one of those radiatores thistime and to cancel the rest of my stay, this time I had luck and got the radiator, but the sweet women voice said that they'll charge me because of some stupid policy of their's. I went to the bar, to have anodther taste of the beverages and started chating with anodther guest, it turned out that there's no heating in he's room neither, after our drinks I decided to go one last sleep, but first I wanted to drop a couple of lines in the claims book, unfortunately it turned out that there's no such thing like that. I had a bit long chat with their night concierge, he was from some eastern european country, after a couple of minutes I figured out from him, that there are bugs here and there, the heating was not working since a long while, they were told by the management that they have ordered the replacement parts to fix it, but couldn't tell when will it be fixed,I said &quot;thank you&quot; for the honest information went up to sleep and checked out forever and asked my company not to ever book a room there anymore.	
Nov 28 2007	Ok ish for two nights.	Have spent two nights here. This was a Birthday Celebration for Husbands 60th. We asked for a low Floor as we are smokers and Husband is Disabled. This was good, but Bathroom not good at all very old Bath well if I had had a bath I would not be able to get out with out a crane. ! The Shaver point was broken so I asked calmly if they could fix it. As Hubby wanted to not grow a beard!! But it was difficult asking for a shaver plug ! We won it in the end !! The outlet from the basin was in need of repair. The Breakfast was poor buffet but not much service, from the rather unfriendly staff. The Bar was very expensive and we caught them over charging us. Then they closed at 11pm !! Time for Bed !!!! You cant even relax in the bar in the late afternoon with a cup of tea.!!! Anyway am glad to be home.	
Oct 30 2007 	A great find......	My reservation was for seven nights and I came to know about the hotel by searching online and reading reviews. It was my first experience in a three star Londone UK hotel usually I look for four stars but London is too expensive so now I settled for the three star. I did my home work about the hotel and know the area. I was pleasantly surprised with the hotel. The staff were friendly and helpful. I am 77 years old and some time we are invisible to people but that was not the case here. The room was not small ( that is too big a word) it was tiny. But clean, workable and will a coffee treay, refrigerator, room safe. a window overlooking a court... nice view. The shower was a problem. It was so modern I had great difficulty getting the right mix of hot and cold water. The water was too hot. It remaind a problem throughout the week even though they tried to help me.I made the best of it. A good breakfeast plenty to eat and chose from. Not a &quot; full english breakfeast &quot; but not a disappointment either. The location is great. Transportation at you door, A waitrose food store ( a must ) a blood away. An Itialian Resturant name &quot; ASK &quot; another must. Go for the bitter pint of beer. If your 65 and over check the box office of some of the show for special discounted tickets purchased one hour before showtime. I always get the Oyster Pass, its great. Check it out carefully because you can use it to your advantage many ways. I get my oyster pass for bus, underground and trains. It is a good deal. But you need to know what type you want and how your going to use it for places to go to. It is so easy to use and avoids the longlong lines. If your going to be just in Centeral London areas 1 and 2 for one day you save money. I like to travel by bus you see london that way. Enjoy London........... Mark	
Oct 26 2007 	Great location and quality for the price!	I chose this hotel based on the reviews on this site, and I was not at all disappointed. I'm a young female who was traveling alone, and a place that felt safe was my biggest priority. The only thing I can complain about was that my room key didn't work when I first checked in, but they fixed the problem within an hour, and I spent that time wandering Kensington. The staff are very helpful and friendly. The breakfast wasn't bad, not a typical US hotel breakfast, but enjoyable and convenient. The location was amazing. 2 minute walk to Gloucester Station, which is on the Circle Line and will get you to most of the attractions in London in 10-15 minutes. 15 minute walk to Kensington Palace and Hyde Park. Single room was a bit small, but I expected that, its London, and it really wasn't an issue since I was only using it to sleep. Great little fridge and a safe in the room. I found the hotel to be in good condition. Next time I'm in London I will stay at this hotel, and I would recommend it to anyone planning a trip there. They will store your luggage until check-in time for free, and after check-out for a £2 fee per bag. If you want a taxi to the Train Station/airport, I suggest calling a taxi company yourself. When I asked them to arrange for a taxi, they actually called a chauffeur service they use, and while it was a good service, the trip to Paddington was twice as expensive as a taxi. £15 versus £7. If you're coming in from Gatwick to Victoria station, a taxi to the hotel is about £10.	
Oct 13 2007 	Really rate this hotel	This hotel isn't a luxury hotel but the stay we had was a very pleasant one. The staff were extremely friendly and helpful and I can't fault them at all. We stayed on the third floor and the room was clean and perfect for our purposes. Breakfast was also good though maybe not the best of choices but it is has a variety of breads, cereals and cooked food. Location next to an underground is also good. If you want a no frills hotel I would highly recommend this hotel.	
Oct 11 2007 	Nice hotel great location good value!	We found the Park International a fine hotel to stay at - yes, the room was not very large but we didn't expect anything different considering the rather good price we were paying for the room - it is London after all! The staff were friendly when we interacted with them and the location is hard to beat - right beside the Underground and in the heart of the South Kensington museum district - how can you not enjoy being a 5 minute walk from the Natural History or Science museums! :)	
Oct 5 2007	Not really worth it.	I booked this off Hotwire and it was listed as a 3 star. I would give it a 2 at best. The location was great and breakfast was good, the staff was also very nice. The room was very bad. The bathroom was very old and there were cracks and mold in the shower. The bed was awful. All the furnishings were very old and abused. Nothing matched in the room. But then it may have just been the Hotwire room. If you need a place to stay real quick with a breakfast that it may be worth it. But if you are staying in London for a long period of time then this is not your place.	
Sep 20 2007 	Great Location --- Good Front Desk Service	Three mid thirties girls on week stay in London in a triple. Front desk was excellent in arranging car service for us to Waterloo station in the very early morning to catch chunnel train to Paris. Also arranged our car service to Heathrow for our return to the US --- also very early morning.Safe hotel, could use a sprucing, but fine if all you're doing is sleeping there. Clean room, quiet floor. Excellent proximity to shopping at Harrods, viewing the sites and jumping on the train. Good restaurants and next to two grocery stores / drug stores. No late night pubs (past eleven PM) that we found, but other than that, excellent for the price we paid. Breakfast was continental and did the trick. Also, coin operated internet access was great to get rid of all our change! Would stay there again alone or with friends.	
Sep 18 2007	Good experience	I find these reviews very helpful because location is paramount to a good vascation for us. I have nothing but good to say about this hotel. Location was great- it really was just 2 minutes to the tube station. It had low priced cafes nearby, and a grocery store. There was a small fridge in the room also. We didn't get breakfast so I can't comment on that. The elevators were fantastic by European standards. The room and bath were both large enough- I mean this is not a luxury hotel.. and people who complain about amenities- give me a break- do we really need new shampoo and soap everyday? You just take it home and eventually throw it away. Staff was good, room was clean, linens were nice. We had a 4th floor room in the back. Anyway, I would recommend this hotel - it's a great value.	
Aug 19 2007 	Very Nice Stay	As a single woman traveling with a young teen my priorities were: safe, clean, convenient, and low priced. This hotel met all of those. We stayed a total of 4 nights. The staff was also friendly and helpful. We are not much of breakfast people but did have toast and juice each morning. They had many other selections as well. Everything looked fresh. This is not a luxury hotel but then the price reflects that. If you plan on being on the go and just want a place to rest each night, I would not hesitate to recommend the Park. I would stay here again.	
Aug 16 2007 	Very comfortable stay - no problems	Stayed here with my wife for a couple nights in early July. Upon reading some of the more recent negative reviews of this hotel, I wonder if we all stayed in the same place.We were placed in a 2nd floor room, facing the back with a king bed. We found the room to be very clean and comfortable with ample room. We were travelling with 2 hard bike cases and had ample room to store them without them getting in the way. Ameneties in the room were more than adequate (coffee maker, in-room safe, enough towels and soap). Decor wasn't exactly hip but in the grand scheme of things, we could care less about decor.The included breakfast was decent enough. We found the restaurant staff to be friendly and efficient. Front desk staff were very businesslike and professional (translation - not the friendliest people we've met but pleasant enough).Terrific location - as others have mentioned, a quick walk to Gloucester Road tube station. There's a huge 24hr Sainsbury (grocery store) across the street as well as a super cheap internet cafe (if you were computerless like us).We would stay here again without hesitation, especially for what we paid (£100/night including breakfast). Very good value for London.	
Jul 31 2007	Quite nice	Stayed in a triple room for three nights. Room was nice and clean. Bathroom also OK.Breakfast was very good and served in a nice room. Gloucester Road tube station just a few minutes walk from the hotel.	
Jul 28 2007 	Not too bad	We stayed at the Park International for one night in a quad room (2 adults &amp; 2 children). Location was great, staff were friendly, nice lobby, reasonable price. The room faced Cromwell Road &amp; the noise was well muffled by the double windows. However, the room itself I found quite run down and shabby. The mattress was obviously very old, ragged, stained, and lumpy, and I literally did not sleep a wink as I was so uncomfortable. Hard, lumpy pillows too.	
Jul 27 2007 	Disappointing wouldn't recommend	We stayed on the 5th (top) floor and started in a double room. The room was so small that we barely had room to put our suitcases on the floor. The desk chair did not fit under the desk, so we had to put it on top of the TV to get it out of the way. The shower was about half the size of a telephone booth with no shelf for soap/shampoo. Also, it did not drain well so we were standing in water the whole time. The carpet was tired and the bathroom flooring looked cheap like it was bought at a flea market. In fact, on the floor around the toilet and sink, the colors were all run together so it wasn't even colorfast and there was a plaque on the bathroom wall with a list of instructions on how not to get the floor wet. Also, when they replaced the sink and toilet, they cut the tile out of the wall just around those 2 areas and replaced it with a cheap slab of tile. I thought they could have splurged to replace all of the tile especially given the size of the bathroom.On the second night, we requested to change to a king room and the next morning they were able to move us( £10 extra per night). The new room was also on the 5th floor and quite spacious with the same carpet, bathroom floor and furnishings. The first night in our new room when we returned from sightseeing we discovered 3 problems. First, we had to clean a significant amount of brown residue off the toilet seat and bathroom floor because the roof was leaking from the rain. Also, the air conditioner leaked and we had two tea cups on the floor to catch the water. They resolved this the next morning. It took them 2 days to replace a burned out light bulb in the bedside lamp. Overall, not a good experience, and the kicker was that when we checked in we had to make some phone calls and so we asked how much it cost to use the pay phone in the lobby. She told us that it was 25 pence a minute, but that we might as well use the phone in the room because it cost the same. I asked if she was sure because it usually cost more to use the room phone. She repeated that it was 25 pence a minute with no connection charges, just like the pay phone. But when we checked out, we were charged 25 pence per 30 seconds. She refused to adjust the charges saying that it didn't matter what we were told by the person who checked us in because the correct rates are posted in the room. I consider it stealing when you are quoted a price for a service and then charged double that price after you've used it. Also, when I went to the front desk the morning we checked out, I witnessed another guest changing his room although I did not hear the reason why.On the positive side, the rooms were clean, had AC, fridge, and huge TV's. Breakfast was OK too.	
Jul 12 2007 	All the smoke and musty smells you want.	On the plus side the lobby, location and breakfast were all good. On the down side they gave us a room in the basement. I am not sure that any basement room is worth more than a budget accomadation. The hallways smelled strongly of smoke as did the room. As the room was in the basement it also smelled very musty and humid. They could spend the 200 dollars for a dehumidifier and make the rooms much more tollerable. The sheets were clean but the matress was old and in rough shape. I have been in worse hotel rooms, but not since my 20's when backpacking though Europe. I won't go back and wouldn't recommend the place to anyone.	
Jul 11 2007 	Comfortable stay in London	Be sure to ask for a room that is not on Cromwell Road. The first night our room was # 207 and it is on the side of the hotel next to Cromwell Road, very noisy. So we asked to change rooms and were moved to #404 on the back side of the hotel. Now, the view is not as interesting but that is ok. It was much more quiet and very comfortable. The staff is pleasant and breakfast was good. The best thing about this hotel is the location. It is in a very nice neighborhood and very close to the Gloucester Road Tube station. There many nice restaurants nearby and a post office across from the tube station. It was a short walk to Hyde Park and we felt very safe in the area. I would definitely stay at the Park International again.	
Jul 11 2007	Not great but convenient	I really don't care that the rooms are small in Europe but I do care that they are clean and well maintained, which mine was not at this hotel. The word I'd use is shabby - very old and worn what looked like indoor/outdoor carpet, the television barely worked, the bathroom was dingy, and I've seen furniture in much better condition at yard sales. I guess for the price I thought it would be a little more updated.On the plus side, the location is convenient to the Gloucester Road metro (2 blocks), there is an internet cafe across the street, two grocery stores, a Boots (drug store), laundry mat, and a couple of restaurants within a few blocks. There's not much to do in the immediate area but if you don't mind walking, you can get to Kensington High Street/Palace in about 15 minutes. It felt like it was a very safe area to walk around in and I was a single woman travelling alone.The morning breakfast was good (cereal, eggs, cheeses, bacon, yogurt, breads, juice, tea, coffee) and was included in my room rate. The conceriege was helpful. Overall it was ok but next time I think I'd stay in an area that had a little more going on in it.	
Jul 9 2007 	Helpful staff	I've just some back from a 5-day stay in London, UK. A &quot;trip down memory lane&quot;, as I lived in London a few years back. This time I took my 9-year old son with me.Booked the hotel through world reservations online.I must stress that my rating of the overall experience is above average FOR A LONDON HOTEL. As many people know, most London hotels don't have super standards...(often small rooms and bathrooms, i.e).Anyway, this hotel has a very friendly and helpful staff, especially the concierge who ran a few errands for us (tipped him, of course).We ordered a king room, which had a large doble bed, a new fridge(good size), A/C, bathroom with shower/tub, widescreen TV, downlights, etc.Seemed to be a newly decorated room on the 4th floor(non-smoking). No wallpaper coming off or smelly bathroom.Breakfast something in between continental/english.Internet available downstairs.In other reviews I've read that you can be very unfortunate and get a room in the basement....On the downside, the hotel is on a largely trafficated road, which meant that sleeping with the windows open was not possible, unless you've got ear-plugs!!Only 150 metres to the nearest tube-station (Gloucester Road), which is on the Piccadilly line. The tube to and from Heathrow stops there, which made travelling easy.Harrods and most museums are only one or two stops away.Overall we had a great stay, and would definitely go back to this hotel.Warning; in addition to the price there is a surcharge of 17% to the original price, which meant that our 5-night stay cost us nearly a 100 pounds more.	
Jul 6 2007 	Would stay again	After reading several reviews on Tripadvisor we made our reservation. We found the service to be good, with a polite and helpful staff. We stayed a couple of nights, had to catch a train up to north and stayed again on our return. They stored our excess luggage until our return. Upon our return trip, we had a larger room, but still small. Our AC went out but they provided a fan until they made the repair and it was the coolest room we stayed in the UK!It was close to several food marts, and of course the Gloucester Rd. Tube station which was a big plus. We tried the local Italian across the street but found the Black &amp; Blue on Glocester Rd. which we went to twice!We would stay again, it was clean and comfortable.	
Jul 1 2007 	You get what you pay for and that's not necessarily bad.	I have been to London multiple times and always choose to stay in South Kensington, usually at the Holiday Inn off Gloucester Road. That is across the street from this small hotel, therefore, I consider this location to be supurb. For this trip, I was accompanied by a girlfriend and budget was a consideration, therefore we were unwilling to spend the extra money to stay at the HI. After much research and reading of reviews here, we decided on the Park Int'l. As I said, the location is perfect. It is right off of Gloucester Road, about 2 blocks from the tube. This stop is a District, Circle, and Piccadilly line station, absolutely perfect for getting around to the tourist sights. There is a Waitrose, a Tesco, a Boots, and a Starbucks within a couple of blocks.The hotel itself, well, eh. There are some bad points. The air conditioner cooled the room nicely (a plus) however, it dripped BADLY (a minus), so much so that the towel we placed under the drip while we were sleeping was soaked through overnight. The fridge did work, but it wasn't exactly cold. Decent for water, but not for say, soft drinks. There were also very few electrical outlets. We had to unplug the fridge to get an outlet at one point and there were no outlets in the bathroom. The outlet behind the television didn't work. The shower was a pleasant surprise, as usually these are terrible in 2* hotels. Water pressure was good and it was large enough that the curtain wasn't attacking us. Beds were comfortable. Room was very small. Perhaps 120 square feet.Checking in, we were allowed to leave our luggage with the front desk until our room was ready, early in the afternoon. However, checking out we were made to pay for our baggage storage, which I think is absolutely crappy and speaks volumes about the lack of quality of this establishment.When checking out, I informed the front desk about the air conditioner and the outlet behind the television and their response was an extremely snotty &quot;Are you American? you do realize you need a converter for that outlet&quot;? Yes I'm an American and obviously I didn't say that NONE of the outlets worked so naturally there were converters involved. I would never stay here again, mainly because of the awful service.	
Jun 28 2007 	Basic hotel for basic needs	The Park International in South Kensington is a basic hotel that has mixed reviews.The staff were quite cold but were helpful when asked for assistance.Our quadruple room was clean, comfortable and standard sized when comparing to European standards (which are quite small). The only negative review here is that the air conditioning didn't work, but at the time of stay in summer, the weather was not hot at all.Breakfast was basic but good, with a variety of cereals, pastries, baked beans, bacon, hard boiled eggs and juice.The location was excellent in terms of public transport accessibility (a few minutes away from Gloucester Road tube station and the bus stop), safety and recreational use (with many restaurants and an internet cafe across the road). The tube station is also on the Piccadilly line which is accessible from Heathrow airport.To sum this hotel up, it is a basic hotel for basic needs.	
Jun 26 2007	Good Value small room	This is the only place I have stayed in London but I was pleased. Pros: -Twin beds available-Full breakfast included in price-Good Location. Three blocks from Gloucester Road underground, supermarkets, restaurants.-Bus 74 stop across the street-Internet Cafe across the street-Post office across from the tube-Quiet (as long as you keep the windows closed)-Safe, clean, pleasant neighborhood-Pre-check in bag storage for free (1 pound per bag after check-out)-ConciergeCons:-creaky floors-NO DRAWERS for clothesI would stay here again	
Jun 17 2007 	Nice hotel very nicely situated	I stayed at the hotel for two days while on a visit to relatives in the UK (family wedding). My time at the hotel was my non-family/non-wedding time. The room was rather small -- but quite clean -- and the hotel service was excellent. This hotel is located in a very nice part of Kensington -- and was just a block or so to the nearest Tube stop. After my two days alone in the hotel, I returned a few days later with my husband -- and a very nice surprise awaiting me: We were upgraded (at no extra charge) to a junior suite, along with a note &quot;thanking&quot; me for returning. This was unexpected and certainly -- on my part -- not asked for. So I will definitely plan to return to The Park International Hotel on my next visit to London.	
Jun 15 2007 	OK place to stay	We stayed at the Park International for 3 days while in London. The accomodations were adequate, but if you require a cool room for sleeping, this may not work for you. Additionally, the room (for 3 adults) was pretty small and we were crawling all over each other. The staff was not very friendly or helpful.It is very near a transportation station and there are places to eat and shop near the hotel. I don't think it was a great value for the dollar, but then again, at the current exchange rate, nothing is.	
