	Almost Perfect...	I was in London on 21-24.11.2009. We stayed in Premier inn which is situated in center of London (50m from London Eye and Big Ben). They have unconventional reception which is very good (you can check-in on check-in machine if you want to, so there is no waiting). We have reserved twin bedroom but we have got a extra large bedroom with one double bed and one bed extra!!! Great!!! Room was perfect. Extra clean with nice and clean bathroom, flat TV, hairdrayer, cofee machine...Breakfast is so good that I can't describe... Full english buffet breakfast... planty of everthing... no more words... One and one only thing which has not been OK is that shampoo in our bedroom stayed empty for all three days. Definetly I'm going again in Premier inn...	
Jul 8 2009 	Great Location basic hotel	The location of this hotel is amazing, you could not ask for anything more central, you can walk almost anywhere in London from here and if not, it close to three tube stations. Hotel is basic, but clean. Stay is a bit hit and miss, night staff seemed to be more friendly than day staff.	
Jul 7 2009 	Perfect spot to see a lot	The hotel is by the Eye, close to Westminster Abey, Parliament, Waterloo StationBus tours. Easy access to Globe andTate Museum via bus	
Jul 6 2009 	Excellent stay despite the "view"!	We stayed at the Premier Inn County Hall on a Saturday night and had booked a family room. The online booking process was easy and having phoned to ask for a quiet room away from the lift I was pleased to see that we had been given exactly that.The check in experience was fine despite the receptionist having trouble with the computer system. The receptionist was friendly and chatted with my daughter; gave us information about breakfast and the location of the restaurant, and we made our way up to the room. I was expecting a much smaller room given the hotel's central location but it was a very spacious room, with a comfortable double bed and a sofa bed which had already been made up for our daughter.The room and bathroom were spotless (with the exception of the windows - but with good reason). The Premier Inn takes up the back of the former County Hall building and each side of the hotel faces into a deep courtyard with no visible access - hence the lack of view and dirty outside windows. If you peered out of the windows and upwards, you could see the sky and the top of the London Eye, but we hadn't booked the room for the view so weren't worried.Every member of staff we encountered was friendly and chatty. Everything in the room worked perfectly and we had plenty of bedding, loo rolls etc. so no need to ask for anything extra.We were out for most of the afternoon and hadn't realised how close the hotel is to Waterloo station and underground, which was a bonus - only 5 minutes walk. You could also walk to Westminster Bridge within a few minutes and therefore had easy access to Westminster, the Houses of Parliament etc. The London Eye and London Aquarium are based at County Hall itself so are within a minute's walk.We were eating at The Ritz that night for a special birthday so didn't dine in the hotel. Finding a taxi was no problem, if you turn left out of the main entrance of the hotel there are taxis waiting.We had a very quiet and comfortable night, and weren't disturbed by noise from any other room, despite the hotel being full. Premier Inn do offer you a night's money back if anything at the hotel causes you to have a bad night's sleep but the only thing that woke us was a thunderstorm!Breakfast the next morning was fantastic. We paid £7.95 for each adult but children under 16 eat free, and the breakfast is a full buffet &quot;eat as much as you like&quot; system. The food was delicious, great variety, hot, tasty and freshly cooked, and even the coffee was good. We had so much food we found we didn't need lunch that day.We only had one problem and that was the lack of lifts. One of the lifts was being refurbished and there was no indication where the stairs were, so all the guests were using two lifts. This meant that we waited almost 15 minutes for a lift to get down to breakfast on Sunday morning which was a nuisance. One would hope that when the refurbishment is completed things will improve but it would have been very helpful if the stairs had been signposted so that those who were able could have used them.Check out was painless and quick and I'd definitely stay at this hotel again.	
Jun 29 2009 	Wonderful Experience!	I stayed at this hotel with my 16 year old son. The location can't be beat. Waterloo station is right around the corner which was great for our trips to Windsor and Hampton Court. The staff was very pleasant and very helpful. The beds were wonderful!! There was a large selection of items for breakfast, but as other posters stated, stay away from the scramble eggs. I will definitely be back again.	
Jun 29 2009 	Basic hotel staff helpful but some hotel quirks	The room was basic. We found the staff very helpful, but agree the breakfast was way too expensive and since we stayed 4 days boring as it is the same everyday. Also had to have 2 rooms as Premier counts over age 15 as an adult and you cannot have 3 adults per room. Had to go downstairs to ask staff questions as phone in room doesn't have in-hotel contact information. Great location by London Eye. ( Unfortunatley couldn't view it from our room.) We walked many places from here.	
Jun 28 2009 	Pay a little extra and stay in a proper hotel	Poorly signposted has issues with the safe and arranging a taxi.The manager said we would receive a refund or the safe purchase and a letter suprisingly none received.Rooms too hot no air conditioning.Cost 120 er night room only so not even cheap	
Jun 28 2009	Great beds!	This Premier Inn does what is says on the adverts - I wanted to take the bed home it was so comfortable. Great hotel, best service have received in a UK hotel and ideal location. It was worth paying a little bit more than other hotels we looked at. 5 minutes walk from Westminster and the underground there, about 10-15 mins to Trafalger Square. We also walked to the Imperial War Museum, about 20 minutes away.	
Jun 27 2009 	Great affordable hotel in London	We ended our two week vacation in the UK with 3 nights at the Premier Inn on Belvedere Rd. right beside the London Eye. We made our way easily to the hotel after returning our rental car to Heathrow. Took Tube from Heathrow to Hammersmith and switched over to the District Line and got off at Westminster and walked over the Westminster Bridge and over to the Hotel. We were able to leave our luggage locked safely at the hotel since we arrived before check-in. The staff was very courteous, and we returned after some productive initial London sightseeing to check in at the time promised. You are close to everything and two major Tube stations (Westminster and Waterloo) and major bus routes so everything is easy to travel to. The breakfast is great (they even had vegetarian sausages!). If you have kids under a certain age you would be crazy not to eat there before heading out sightseeing because they offer &quot;kids eat free under 16&quot; per adult. All staff were great and the room was clean and tidy. This is an ideal hotel to base yourself in to explore central London easily and affordably. Would stay there again.	
Jun 23 2009 	Fantastic Hotel - Right next to the London Eye	We had a brilliant weekend in London stayed at Premier Inn, which is right next to the London Eye. This hotel ticked all the right boxes. Clean and spacious rooms, fantastic full english breakfast, buffet style, eat as much as you like. We also ate there in the evening before going to a show, and the meal was really delicious and plenty of it.. The staff were so helpful and very courteous.	
Jun 19 2009 	Can't wait to stay here again!!	I took my daughter on a whirlwind European vacation in celebration of her 16th birthday and London was the second stop on our trip. We stayed at 5 different hotels during the course of our two-week vacation and the Premier Inn London County Hall was hands down our favorite hotel. The others did not even compare, though nearly all the others were comparable in price. The room size was great, beds extremely comfortable (my daughter said it's the only bed our whole trip she got a good night's sleep on), the outside noise was minimal, the staff was very friendly and helpful, and the breakfast was the best, yet again, of all the hotels we stayed at (definitely worth the money and a steal if you have kids under 16). The location was phenomenal - literally right at the London Eye and just across the Thames from Big Ben, Westminster Abbey, Houses of Parliament, in County Hall where there are many other attractions and restaurants of all price ranges, and exceedingly convenient to London transportation, both the Tube and buses. I don't think there would be a better location for a hotel in the heart of London than this. It allowed us to get quickly and easily to all the other sights we wanted to see, Buckingham Palace, Shakespeare's Globe Theater, Trafalgar Square. They do offer high-speed internet in your room, but it has to be purchased and at the time of our stay it was 12 GBP for 24 hours. It was worth it for us so I purchased it for two days and it worked well. I would recommend this hotel to anyone wanting to stay in the heart of it all in London (with the exception of anyone who wants isolation or seclusion - but then if you want that, why would you come to London?). My daughter and I can't wait to go back to London and will definitely stay at the Premier Inn London County Hall again!!	
Jun 18 2009 	Fantastic Trip to London and helped that hotel was very central	After a recommendation, I booked this premier inn (family room)as it was very close to all the major tourist attractions. Myself, my sister and 2 teenage daughters were visiting London to attend the Jonas Brothers concert at Wembley Arena. We thought while we were there that we would do the 'tourist sites' as we had never visited London before.The hotel for us was perfect as it was in a safe location, quiet, very close to London Eye, Bus Tours, Westminster &amp; Waterloo underground stations, Big Ben, etc, etc.The staff also stored our luggage as we arrived before our room was ready. The reception staff were very helpful, with maps, information, etc. Breakfast was fantastic, eat as much as you want and very good quality food. Big bonus is that under 16s eat free with a full paying adult - so it was perfect for us.My only gripe would be that there was no free internet access - even if they had free access for 15 mins or so, enough time to check e-mails etc. You have to insert your credit card and you are charged per minute. Not a good idea when you have teenagers with you!!All in all, I would certainly go back to this Premier Inn if I was visiting London and would certainly recommend it to friends.	
Jun 17 2009 	Perfect and affordable ideal base for exploring	For the price, this hotel is great. The rooms are basic but large which is unusual for London, and have private baths. Also very clean, and actually very quiet. Right by the London Eye and Westminster Bridge, it is very central. The hotel is in the back side of the County Hall so there are no river views, but that keeps it cheap. Adding the buffet breakfast is a good move if you start early, though it can get crowded. From the hotel you can easily walk to Westminster or Charing Cross, and Waterloo station is nearby to give you full access to the Tube and several train lines. We found it to be perfect for our family, and next time we're in London we'll stay here again as we still have lots to see.	
Jun 16 2009 	Cheap but functional 	Well what do you expect from a centrally located hotel? It was cheap and my expectations were met! Bed was comfy, room OK but dark, no air condtioning ( packed up), shower OK, TV Ok but the plus was the breakfast which was ample but avoid the scrambled eggs.Shabby hotel but apparently having a face lift - lets hope so and that the prices remain the same	
Jun 16 2009 	Cheap Clean Safe Central	Good budget ( for London) accommodation. Pretty standard Premier Inn stuff. Clean room, with en suite bathroom. There is a bar and restaurant, breakfast not included, so the cost for breakfast is an exorbitant £7.95. The location is fabulous, right next to Westminster Bridge , the London Eye, Waterloo Sation and a short stroll from all the South Bank attractions. The room had good facilities, WI FI ( not free though) a TV, tea and coffee, hairdryer and a safe for your valuables ( again not free and you have to organise first with reception, if you can get them to answer the telephone.) The hotel was short staffed when we stayed so all calls to reception went unanswered. Front of house staff were friendly and helpful although quite clearly they were under some pressure. I would recommend this hotel for those wishing to just find relatively cheap accommodation in central London that isn't a hostel. It does the job just fine for a place to sleep if you are spending all day out of the hotel and don't want or need 4 / 5 star luxury or prices.	
Jun 11 2009 	perfect location	Stayed here May 24th to go and see Girls Aloud in concert, never thought about staying in Premier Inns before this was my 2nd time and is great! the location is the most convenient I have ever stayed in London. The bed was amazingly comfortable, and breakfast was well worth the £8, and forgot to say staff were very helpful.Have re-booked for next month: - )	
May 31 2009 	Perfect Location for our first visit to London	The Premier Inn County Hall was a perfect choice for our first trip to London. The location was perfect for getting about. The bus stop was just around the corner and Waterloo station just a few minutes away. The London Eye was right outside and it was within walking distance to most major sites including Big Ben, Trafalgar Square and Buckingham Palace. The buffet breakfast was well worth the £7.95 (kids free) and filled us up till tea time. All staff were friendly and helpful. Rooms were clean and comfy. An ideal hotel for exploring London	
May 30 2009	A compromise but a good one	I normally prefer not to stay at generic chain hotels, and wouldn't have thought I'd give one five-stars. But this is London, and when it comes to accommodation you can't have it all. Price. Comfort. Location. Style. In London you're lucky to get two. Here, you get two and a half.The location is exceptional for a tourist to London. Proximity to Waterloo give you four different underground lines and useful trains to Kew Gardens and Hampton Court. But mostly, every morning when you leave the hotel, there's the London Eye to greet you, with broad views across the Thames. To the left and across the bridge, and you're at Westminster. To the right and across the bridge, and there's Charing Cross. And the hotel itself is very quiet, since it's on a traffic-free street.It also wins on comfort. London is famous for rooms the size of a closet. These rooms are good size, no complaints at all. The beds are comfortable doubles, even in the single room. The double rooms have a comfortable day bed, accomodating three I'd presume. But don't expect much for amenities, as it is a Premier Inn.Finally there's price. If it weren't London, I'd say it was a rip-off. It was about 120 pounds when I stayed. But it could definitely have been worse, and I don't think it gets much better while staying in a good neighborhood (for touristic purposes) unless you want a closet-sized room.Breakfast is 8 pounds and decent, except that the scrambled eggs are clearly powdered, and if it's busy they fall behind restocking.	
May 27 2009 	Great hotel great location	This is a really good find in the heart of london. Really good value, very good size room for central london. Good restaurant, friendly staff, excellent location	
May 24 2009 	Absolutely location perfect	Not the cheapest ,certainly not the dearest but the location was ideal,we could walk to where ever we needed to,the Tube was 5 mins. away if required,the hop on-off bus is 3 mins away.Rooms are clean and spacious enough,the breakfast buffet was quite sufficient,I suggest eating in the Pubs they are cheaper and the food is great,The London eye is outside the Hotel ,book on-line,miss the que's have a champagne and enjoy the great sights.Big Ben,House of Commons a min away,we walked to the Old Vic to watch Billy Elliot everything very close.	
May 23 2009 	Highly recommend	We spent one night here. Was 2 mins walk from waterloo tube station (main entrance). Its RIGHT next the london eye with fabulous views over the river to parliament. We were able to walk from the hotel in the west end/trafalgar square, very easily, so the location was really convenient. And when we came back at night Big ben and the eye were all lit up. The room itself was fine, usual premier inn standard. Spotlessly clean. The girls at reception couldnt be more helpful and welcoming. What more could you ask?	
May 21 2009 	Overall - reasonable a couple of problems though.	We stayed here for 2 nights in May 09 with our two year old, and we had a mixed experience. We have stayed in a lot of Premier Inns across the UK, and this one rated as mediocre by comparison.The positives for this hotel are as previous reviews state: its location and its well-trained, friendly and efficient staff.Check in was quick, despite a group booking being checked in concurrently. The hotel was spotless throughout – including rooms.Wifi available in rooms - £12 for 24 hours.£160/night (not inc. Breakfast) may well be a good rate for London, but not if you are woken up by noisy and inconsiderate guests.Our main problem was that we were put in a room on the same floor as a party of teenage girls. They woke us up at 11pm, and the noise of doors banging, TVs, hairdryers, screaming, chatting etc carried on til 12.30am. We complained to Reception, who said they would look into it, but didn’t. In the end we banged on the door of one of our neighbours to ask them to tone it down. Alas, too late, we were awake and so was our two year old! (She then slept for most of the next day, which hampered our sight-seeing). This problem would not have happened had staff allocated us a room away from the group booking – an easy solution. The next day we were moved to a different room, and our second night was fine.We asked for a refund for the first night, and were told we would get it – however, we haven’t received it as yet. The rooms are looking a little tired; however, a member of staff told us that all rooms will be refurbished by October 2009.Breakfast is full self-service and was not as good a standard as other Premier Inns we have experienced. The sausages were greasy, the scrambled egg looked unappetising and there was no cheese. However, the mushrooms were fresh, the fried eggs were reasonable, and there was a good selection of yoghurts, and cereals, along with warm croissants and a selection of fruit juice. On the second morning, it was pretty busy at Breakfast, there was a queue to get into the restaurant; the staff seemed stretched, and were rushing around. It was also a bit hazardous with so many guests going back and forth with hot drinks/plates of food and so on. It certainly was not a relaxed meal!To conclude, friendly staff are hard to come by, and the staff at this hotel do work very hard; with the forthcoming renovations in mind, and the good location, I would stay again; but I would request a room away from any groups!	
May 18 2009 	Special birthday treat	My family treated me to a week-end in London for a special birthday. My friend and I really felt we were welcomed by the reception staff and found all the staff in the Hotel very polite and friendly and nothing seemed to be too much trouble. It was a pleasure to stay at the County Hall and it is so well situated for getting around London.Many thanks to all staff members.	
May 9 2009 	Nothing new to add to previous reviews	So I ask myself why write a review. Another glowing report will just make it more popular and more difficult/expensive next time I wish to stay. But that would be selfish. For a large hotel the staff are so friendly and helpful. Obviously well trained. breakfast excellent for the price, room clean and tidy. Location excellent. We will certainly stay here again.	
May 9 2009 	Mixed feelings.	The best thing about Premier Inn County Hall, as so many have mentioned, is the location. I got the best delight arriving in central London at night. Imagine taking a tube from the airport and arriving at Westminster station. Find the correct exit, go up a flight of stairs to be faced with London Eye. Go up another half flight and Big Ben is right there chiming away. Welcome to London! No better welcome than this. At about 9pm on a Saturday night, the walk from the station to the hotel just across the bridge was a pleasant and buzzling stroll (some carts selling light snacks or souvenirs).The hotel is pleasant and I agree with most what others had said about it. However, for the price I would hope that there was a better bathroom door (not as heavy), better furnishings (I personally hate those cheap light-coloured boards) and better sink (need to turn on two taps at the same time to get some warm water). Oh, and for the not too cheap price I paid I was surprised that no toothbrush and such was provided. I am not a luxury traveller and can accept that Travelodge does not provide those amenities but the two should be a different category considering the price difference.The service at frontdesk is friendly and fine but with nightmare stories I read about other hotels I think Premier Inn must have made the grade fairly well. Especially when taken into account a staff I met on the last day. Nothing was too much trouble for him. We asked him too many questions but he gladly and readily answered them. He took initiative on several things out of our expectations even though it was obvious he had many other things to tend to. When checking out, he insisted on helping us with our luggages (those luggage-unfriendly stairs I'll say). So Lenny, thank you. And I bet I am not the only one to say that you are the best.This is an excellent place for first timers to London however I still feel that it's a little overpriced for what it is.	
May 6 2009 	Just what we needed.	After flying in from Prague, and dealing with a poor customer service, the Premier Inn was a nice change of pace. The friendly people in the hotel were amazing. We were always asked &quot;are you okay?&quot; &quot;Do you need anything?&quot; We ate at the bar once and had drinks there on another occasion. The food was quite good for hotel food and the cost wasn't too bad. The location was fabulous. The tube is so close but we only took it a few times because we enjoyed walking everywhere. (Granted, we were only in London 3 days).You'll probably need to request more towels, as there was only one is our double room.The breakfast was wonderful! A lot to choose from.One problem with our stay was upon check-out we asked for them to call us a cab and needed one that took credit cards. They told us we needed to go to the Waterloo Station to do this. I wasn't happy with this and I was unclear why this would be so difficult to arrange. We ended up dragging our bags across the streets of London in search of a cab. Not a very good ending to an otherwise nice trip to London. The only other problem I could see....the interent connection was pricey and you enen had to pay to use the safe. I don't know when I have seen that before? Overall, I would recommend and I would go back.	
Apr 29 2009 	Excellent Location in Central London for Families	The location was excellent, within walking distance to lots of attractions. Easy walking distance to Waterloo station for trains and Underground. Even though so central, hotel was quiet at night. Breakfast was good. Room was comfortable and spacious. One double bed, one single bed and a single mattress on floor. Room was large enough to take another proper single bed instead of mattress on floor. Restaurant in hotel had good variety of meals for parents and children. Staff all very friendly and helpful.	
Apr 28 2009 	Nothing Special	Location was very near Waterloo Tube station. Room was good size for London but offered not even the basic toiletries. It was a triple room but we continuously had to ask for three bath towels as they'd only leave two. I'd look elsewhere next time.	
Apr 25 2009 	BRILLIANT	Fantastic location. 5 mins from London Waterloo. Right beside London Eye. Lovely and clean and staff were great. Bar prices were pretty reasonable. Will be staying again when in London thats for sure	
Apr 23 2009 	SoSo	This hotel has a couple things going for it and the rest is real so-so. First the good. It is located in a very good area close to some of the atttractions, mind you however, not all of the attractions. Once you've seen Big Ben, Westminster Abbey, the Parliment and the London Eye, the location is not that great anymore. Taking-in those sights does not take that long, you see them and then go. You will then use the Tube to go anywhere else, including just to find a nice resturaunt. Nevertheless the hotel is inexpensive considering this location. My daughter did look out her window to see the London Eye going around, so its kind of a novelty being that close, even though it really doesn't help limit the number of &quot;Tube&quot; trips needed to get around.The staff was very helpful when it comes to getting what you need as far as rooms and anemities. The rooms themselves however are very bland, small ,and not very well equipped. The housekeeping was minimal and at times kind of humerous, as in the way the beds were made. Cleanliness, while not horrible, was not very good. Would I recommend this hotel to anyone? Yes, but only because the novelty of the location is great for first time London visitors and the cost is good considering this.	
Apr 19 2009 	Excellent hotel for the money	I have stayed here on a number of occasions now. The hotel is 'typical' Premier Inn, which is no bad thing. This basically means it is clean, warm, welcoming and does what it says on the tin.The staff are always friendly and welcoming. The rooms are always clean (although the views are not much usually!). The restaurant is clean and welcoming with reasonably priced food for both individuals and families alike. The restaurant service is good and never rushed.I stay in many hotels in London, many at a higher price than this one. However, I always try to stay here when I can get a room as it is well priced, in a good location and, most importantly, clean, warm and welcoming.	
Apr 14 2009 	The best place to stay in London	Awesome hotel in the perfect place. Close to the London Eye and all heart of London attractions. Easy to get to as it is only 1 block from Waterloo Station. Rooms were nice and spacious, but a little sparsely funished. Staff was friendly and the breakfasts were huge and inexpensive (kids eat for free). Not many restaurants in the area.	
Apr 14 2009 	Very happy with our choice.	You say you'd like to stroll along the Thames River in the evening and watch the sun set as Big Ben chimes in the background? Then this is the hotel for you! Besides the great County Hall location next to the London Eye and easy access to two tube stations, the hotel is reasonably-priced and roomy by London standards, serves a great buffet breakfast in the restaurant, and is staffed by friendly people. I'd love to stay there again.	
Apr 14 2009 	Great for Families	Terrific location next to London Eye and Westminster Bridge, on the South Bank with lots of activity for all ages. Walkable to 2 Tube stations. Large room easily slept our family with room to relax. Great breakfast buffet. Drawbacks: Go elsewhere for dinner--we had a torturous wait for food. Also, don't count on hotel staff for info about London attractions (such as time of changing of guards)	
Apr 13 2009 	Great Value	Great Value - Very well located for Sightseeing. Nice staff who are genuinely friendly. would go back and would recommend to others. Need to book in advance as others know it's good value!	
Apr 3 2009 	Perfect for families	Our family of 4 loved the Premier Inn. Sometimes the buffet breakfast (kids eat free) was our best meal of the day and definitely the best food value in London. I think the County Hall location is a perfect tourist starting point. We took the Big Bus one day and there is a stop right there. We also did lots of walking and it is a nice central spot. The room was not big. We were wall to wall with beds and mattresses, so we just slept there and did not hang out. The room was super clean and felt very new. I also liked that there was a minimart just across the street for buying kids snacks and a couple restaurants. The neighborhood felt safe at night with lots of tourists wandering around the London Eye.	
Apr 1 2009 	A credit to 'budget' hotels - My first choice for a London break	The hotel is situated just a few minutes walk from Waterloo underground station. So it is easy to find and access. The front of the hotel is on a quieter street than i imagined, right next to the London Eye. If you can see the Eye in the distance you have found your hotel!This was my first stay in a Premier Inn and it will not be my last. I was impressed with what you get for your money. London hotels are not cheap! So if you are happy with no frills this is the one for you and at the end of the day we sent very little time in the room, as there is so much to see.Cabs, bus routes and alot of the major sight seeing attractions are within an easy walk or tube ride awayThe staff here were a credit everyone said hello as they passed, provided all info without prompting. The restaurant/breakfast staff were better than i have had in many normal restaurants. A good selection of reasonably price food (lovely desserts!)I can't fault them.The rooms are no frills, but our room was huge for the two of us and a nice comfy king size bed was spot on with very little noise from other rooms or outside. Huge dresser/desk and seating area.There is a luggage room to leave your bags before you check in/after you check out.We liked the security feature that the lifts are operated by your room key card, so only guests can move around the hotel. Which made us feel more secure. Generally i felt safe here and will be returning....**I would recommend purchasing an Oyster card for the tube I paid £15 and that was more than enough for 3 days travel. Journeys after 6.30pm seemed to be free tooAny westend show is highly recommended and try the main attractions such as Madame Tussauds and judge for yourself. All excellent in my opinon BUT book online or in advance to fast track the queues. Look out for deals and special offers. There is no need to pay full price. I think we benefited from going out of peak season. Very few queues.	
Mar 28 2009	Excellent and welcoming to large groups	Hotel was extremely welcoming to our large group, family rooms were airy and roomy with high ceilings, clean and modern bathrooms with plenty of hot water, towel warmers, and hair dryers provided in rooms. Also provided pots to heat water and tea in room. Kindly allowed us to select from the larger tea selection in the dining room and carry back to the rooms or even a cup of coffee at no extra charge (our group had the full breakfast daily however). We did arrange in advance to enjoy breakfast as soon as they were open daily, and they saw to it sufficient food was available fresh and hot on the buffet for our arrival of 30 + people. Bathrooms were shiney and clean daily, towels were large and fresh, none of this small towels and tepid water in tiny rooms we'd been warned of. Location was excellent, lots of family friendly restaurants in the near area, convenience store across the road with fairly reasonable prices, and easy landmark right next door (London Eye) in case any of our group got separated.	
Mar 25 2009 	London with ease!	I stayed here twice and was very impressed. The location is superb, indeed the London Eye can be seen from the corridor windows (and I mean up close). Waterloo (one of the main stations for trains and tube links) is a 5 minute walk away, Trafalgar Sq. 10 mins. Rooms are clean always, comfortable and roomy. Staff are extremely helpful and friendly, I would recommend this to anyone! We ate once at the restaurant, the food was reasonably priced and nice! The rates are also reasonable, similar to those of other chain hotels such as the express holiday inn.	
Mar 25 2009 	Perfect place for a London visit. Exceptional staff great location.	Visited with my 2 daughters and was impressed by the staff. Had read previous reviews so knew it was in a busy neighborhood, but that's what happens when you're in the heart of everything. I can't say enough good things about the staff. They made us feel welcome and cared for. The rooms were clean enough that even I was comfortable. I manage vacation rentals for a living and know what to look for. There were the usual misses - dust on the hinges on the bathroom door and fire sprinklers, but those are minor compared to other places I've been. Again, the staff made it all worth it. Plus it is within walking distance of enough sites that we rarely needed to take transportation. All in all, I highly recommend it and will stay there again.	
Mar 25 2009 	Fantastic!	We're from Australia and went to UK to visit my parents. We had stayed here a few years ago and decided to treat my parents to a trip to London and booked this hotel. This time we paid for breakfast. We had 2 family rooms, the cost was 109 GBP each, the rooms were basic (no fridge, we put our drinks in the double glazed windows), it's so reasonable because there are no fancy extras and we could not fault the superb friendly service, the buffet breakfast for 7.50GPB is the best I've had anywhere, and I've stayed in posh places!! We stayed a night at Manchester Travel lodge before our flight home.... now that's a different story..... Premier Inn all the way!	
Mar 24 2009	Fantastic location-thanks to trip advisor L.Collins Tipperary.Ireland	My husband and I and our teenage daughter have just returned from a 4 day trip to London. We chose this hotel after reading the reviews on trip advisor and we were delighted with the choice. It has a fantastic location, so many places were within walking distance. We walked to Picadilly Circus and Leister Square, and to Buckingham Palace,we strolled along the South Bank at night under the London eye. This was our best trip to London ever. The main purpose of our visit was to go to 2 Shows in the West End- they were both brilliant ( Phantom of the Opera and Wicked) and it was such a treat to stroll home in the moonlight. We were also very lucky with the weather! The Breakfast in the hotel was excellent value, with a great selection to choose from and children under 16 ate free. The photographs on the Premier Inn website were an excellent indication of what food was on offer. The Staff were really friendly and always greeted us and smiled when we met them on the corridor. The rooms were not luxury but were very spacious and had everything anyone could want on a trip-clean beds, fresh towels daily, tea/coffee making facilities, hairdryer and even a heated towel rail in the bathroom(also no problem when we requested extra pillows!). WE had piping hot water day and night ( something that is often absent in some more expensive London Hotels!). I can't wait to visit London to stay in this superb location again as soon as I get the opportunity and I will be recommending it to all my friends as an ideal location for sightseeing etc. Big Ben is just accross the river and the London eye is so near that you can keep an eye on the queue and visit when it's quiet. Well done Premier Inn County Hall! See you again soon.	
Mar 22 2009 	Quieter than you could believe	This hotel is in the heart of London only yards from the London Eye but you would not know it. Once in my room it was so quiet you would think you are on the moon.The hotel is contained within County Hall which is a massive old structure and as a result has real floors so you cannot hear people above, below or even in the corridor outside unless they are shouting, certainly you cannot hear footsteps. As a result I had one of the best nights sleep for ages.Check in was efficient and within a couple of minutes I was in my room. Rooms are standard Premier Inn fair with no aircon but were spotlessly clean.I also dined in the restaurant which is more pub fair than top restaurant but the food was good and well presented. This Premier Inn also has a licenced bar.This venue provides a great centre to explore London and I may return with the family later this year.This hotel is not suitable for disabled as there are 15 steps to enter the reception and being an old building I am not sure there is anything they could do to solve this.	
Mar 21 2009 	Great hotel and location!	Spent 4 nights here early March on a Mother/Daughter trip. Daughter's first time to London. We could not be more pleased. Arrived early and they happily stored our luggage while we went sight seeing. Had reserved a twin room and were pleasantly surprised with a double bed and a single bed. Both very comfortable. The room was very large and had all the necessities. There were no extra frills but we didn't need them. We really enjoyed the breakfast every day and the complimentary newspaper. The staff were the most friendly and helpful I have come across in a long while. Loved being so close to the London Eye and Westminster. Waterloo station was just down the street and there were bus stops at the corner. We could not have chosen a better place to stay for our trip and I would definitely stay there again.	
Mar 18 2009 	Ideal Location for Family Trip to London	My wife and I took our 2 kids (aged 6 and 3) on a weekend break to London and the Premier Inn, County Hall proved to be an ideal base for us. We arrived on Saturday shortly before lunch and dropped our bags off before heading out for the afternoon. The staff at reception were very friendly and helpful giving us lots of info on things to do and places to eat.The room itself was a nice size with a sofa bed with full size single mattress and a second pull out mattress providing comfortable sleeping accommodation for the 2 kids. The hotel itself is located on a quiet street which meant that we got a good nights sleep. This was an extra bonus for a hotel based in central London.We ate breakfast in the hotel both mornings. There was a great selection of food to suit both the adults and the kids. On our second morning, my son was not feeling well and the restaurant staff were most helpful, offering to send up food to the room if we needed it.The location of the hotel couldn't be better. It is situated within easy walking distance of 2 tube stations (Waterloo and Westminster). The London Eye and London Aquarium are just around the corner. The London bus tours and duck tours both stop nearby also. I would definitely recommend a stroll along the riverbank as a good way of passing an afternoon. There is always plenty to see and do. There are some nice, family-friendly restaurants within minutes of the hotel too so you don't have to go too far to grab a bite to eat.I would definitely recommend this hotel to anyone looking for a good base for a London break. If you are looking for a high-end luxury base, this isn't it. However, if you want somewhere in a good location, with friendly staff, good facilities on your doorstep and a comfortable room, then this is the hotel for you.	
Mar 17 2009 	Great Location - Clean - Good Value - Friendly Staff	This is our second stay in a Premier Inn since it was 're-branded'.The staff were really friendly and helpful without being over the top.The hotel was clean and the sel-service breakfast was excellent.Ideally located in Westminster and the bar after our night out at the theatre was welcoming.Great value - well worth the price.	
Mar 15 2009 	What a value and location!	Located in a great spot, right next to The London Eye and in the same building as a much more expensive Marriott. Very helpful and friendly staff. Nice restaurant and bar for meeting friends that were with us on the trip. Close to Starbucks, restaurants and Parliament. Rooms are sparse but clean and comfortable. Will stay there again.	
