	RUDE STAFF REPULSIVE ROOM. NO CUSTOMER SERVICE. AVOID AT ALL COSTS. WORSE THAN A HOSTEL	This hotel has the rudest person in a customer service based job that I have ever had the misfortune to encounter. She lied, she accused me of lying, she was obnoxious and completely incapable of working in a hotel reception. No people skills and quite clearly no ability to deal with a genuine complaint. In our brief time at the hotel I hoverheard 4 seperate people making complaints about the facilities.We had booked 3 double rooms for a family break, as we were travelling seperately the others in the party arrived before my partner and I and had booked in. When we arrived we were told by the 'receptionist' that they did not have any double rooms left and that we would be in a tripple, she said that if we came down before 12pm the follwing day we could change our room to a double, we reluctantly accepted this, and made our way to the tripple room. The room was not what we would have expected from a travelodge (see photos). The bathroom was dirty and had dirty towels that had not been removed, there was a hole in the bathrooms door, the grout around the bath and sink was grubby, there was dry rot in the skirting and a disgusting brown build up of something unidentified around the join between the toilet and tiles, we had no soap, the plastic disposable cups had clearly been used by the guests before us (toothpaste stains etc) The dressing table/desk had no chair, there were what looked like brown liquid stains all over the walls from top to bottom (god knows what happened in that room?!?!) there were what looked like either vomit or hot chocolate stains down the side of the tv unit and finaly there was mould around the window. DISGUSTING. AVOID AT ALL COSTS. THE PHOTOS POSTED BY OTHER REVIEWERS ARE NOT REPRESENTATIVE OF ALL THE ROOMS IN THE HOTEL. ONLY SOME OF THE FLOORS HAVE RENOVATED ROOMS.As suggested the night before we went to reception to ask for our room to be changed, The receptionsist (a different one) said that this was fine and told us to pack our bags in preparation for the move. We were told to come back in the afternoon and our double room would be ready. When we returned the original rude receptionist was back on duty- to cut a very long story short - our double room was not available, she denied that the person we spoke to in the morning even existed, then when countered about it she said the woman didn't work there!!!! She denied that she had told us when we checked in that we could swap rooms, and basically accused me of lying and making it all up. The hotel was overbooked so our option was to stay in the room we had or to find another hotel. It appeared to be ok for the hotel to give someone else the double room we had booked and paid for before arrival but she refised point blank to give us a double room that someone else had not yet booked into even although it meant splitting up a party of 6 . In the end two of us had to move to another hotel. She arranged for us to be picked up by taxi and moved to another travelodge. As it turned out the taxi was unmarked and the driver dropped us off 10mins away from the travelodge. We had no idea where we were going and had to hail a black cab to take us there. When we got to the second hotel they had no record of us being moved! We had to wait an hour before the deputy manager was able to give us a room. He had to sort out the mess. I am not fussy, I expect a room of the standard that is being paid for, we paid £59 per night (room only), cheap by London standards. I was not expecting a palace but I was expecting to get a double room, get a clean room and have staff treat me with a bit of respect and dignity as a paying customer.	
Dec 5 2008 	Nasty Little Dump	What a horrible little dive.I was taking an early Eurostar train and decided that it would be a lot easier to stay the night near St Pancreas rather than get public transport from South London at the crack of dawn on a Sunday.I was also quite well aware that Travelodge is a no-frills chain. We simply needed a decent place to spend the night. I have also stayed in Travelodge before for a similar reason.Bearing all this in mind though this branch is way below what you should expect to find at this sort of price.Check inThis took ages. There was one girl on the desk and about 15 people queuing. She kept having to vanish into the office for some reason so when we arrived all we could see was a huge queue and no-one there to attend to the guests.How to Find Your RoomWe were on the 2nd floor which strangely you had to take the lift to the 2nd floor then walk downstairs to get to. The room was found by way of a dark stairwell with peeling wallpaper and a worn carpet.The RoomIt was very dark. The beds were tiny and uncomfortable. The bathroom was just about acceptable but is had a nasty grubby shower curtain and no hairdyer.Most worryingly there was no telephone in the room so you could not call reception if there was some sort of emergency. Or if like us, you had no-one to call when you were kept awake all night by the sound of someone's tv on ALL NIGHT, following having the pleasure of hearing their bedhead banging against the wall accompanied by various moans.The Bar Area/FoodThis hotel is not exactly in the hub of Kings Cross so places to eat are pretty much non-existent so we decided to eat there.Bar Staff - pretty hopeless. One person took our order and poured one drink before wandering off. Someone else poured the other drink and took our food orders then also wandered off. We then had to ASK a third person what the bill was and could we pay. She very helpfully picked up 2 knives and forks and proceeded to see how many times she could touch them with her bare hands before giving them to us. The food was pretty much as I expected: sub-standard motorway service station.BreakfastWe left at 7.30am and the breakfast area was in darkness.Check OutEven though we had paid and there is no room service or mini bar or telephone so you can't rack up a bill the reception area was deserted.I had one of the worst nights 'sleep' I have ever had, the place is grubby, run down and the staff are pretty hopeless and can't speak English very well.There are loads of hotels in this area. Many of them are probably worse. But this is part of a chain and you would expect a consistent standard of accommodation throughout that chain. This branch was horrible. Don't stay here. Stay at the Premier Inn.	
Dec 3 2008 	No frills but good value	Travelodge Kings Cross Royal Scot is situated about 10 minutes walk from Kings Cross/St Pancras station. It's not the prettiest hotel to look at - it's a converted office block and it shows. And the reception area hasn't done much to hide that either. It looks every inch the office security front desk. The bar/restaurant is located just to the side of the reception, and looks a bit worse for wear and slightly unloved. The chairs are a bit old and the tables slightly worn. It resembles something direct from a working mens social club (think Peter Kay's Pheonix Nights).The lifts are a bit of a squeeze. You'll fit a couple of people with a medium suitcase each, but probably no more.The corridors are never ending. Walking along them feels like walking along a cruise ship. The corridors seem to stretch for miles, the walls adorned with heavy wooden doors, and the floor covered with thick, but wearing carpet. And speaking of doors, your first challenge is learning how to close the door quietly. It can't be done. The doors slam behind you, even with the most careful shutting, which can be a nuisance when your neighbours roll in at an ungodly hour of the night.Our TV reception was a bit rubbish on some channels and the toilet didn't flush very well - you needed to pump it rather than flush it to clear the toilet paper from the bowl.But, for all of this, the hotel has some pretty postive plus points. The rooms are clean and the beds are incredibly soft and comfortable. The hotel is fabulously located for a weekend in the capital, being close enough to KC to have the city at your feet, but far enough away not to feel totally bombarded. And if you're looking for value for money, you can't get much better. We got two nights less than a month before Christmas for £64 the lot. OK, it's not the exhuberent luxury of a Hilton or Marriott, but if you're going to spend your days out and about and are just looking for a base and a place to put your head down at night then this hotel will more than do the job.	
Dec 2 2008	Pleasant stay	Stayed at the hotel for three nights from Saturday 15th November. Taking a group of six 17yr old students on a study trip. We all found the rooms to be satisfactory. I was only paying £49 for a triple room per night. For central London it is hard to beat price wise. Pupils commented favourably on the rooms. Only 10 minute walk from KX/St Pancras. Only real grumble was the really poor pressure in the shower. Did not take breakfast, partly as the cues were massive on the Sunday morning. Any requests made of staff were dealt with pleasantly and efficiently. An overall pleasant experience.	
Nov 24 2008 	Nice hotel!	Me and my mates stayed here for 3 nights in November 08. Very nice hotel with clean rooms. About 10 min walk from Kings Cross/St. Pancras. Will definitely stay here the next time I`m in London!Please visit the restaurant Konstam, about 50 meters from the hotel, very nice food!!We tried the breakfast at the hotel, but I will recommend that you buy a cheaper and better breakfast in one of the cafes nearby.All in all, a nice and very cheap hotel!	
Nov 21 2008	Good base if you can get a good rate	Have stayed here several times over the last few years. It's a 10min walk from Kings Cross/St. Pancras stations, from where you can reach pretty much anywhere in London with ease. Not the nicest part of town late at night, but OK. Travelodge often have some excellent sales. If you can book ahead your room may be as cheap as £9 (usually more like £29-£49) - v. good for central London. Rooms are fairly small and basic, with a small bathroom. They're looking a bit worn, but usually very clean. A kettle with tea &amp; coffee is provided. Rooms overlooking the central car park area are quiet - those on the road are much noisier.Hotel has a bar and a breakfast area. I usually have breakfast elsewhere - there are many nice cafes nearby.	
Nov 6 2008 	Not so good but was value for money	knowing that london hotels are pricey, we picked this place for just to sleep and shower. we arrived at the hotel before the check-in time and the hotel staff allowed us to check in 1/2 hour earlier. the room and bathroom were of decent sizes, enough for a good night sleep and hot shower!!	
Nov 1 2008 	Nice Stay In Budget Hotel	Having looked at alot of the reviews for the Royal Scot I was not sure what was in store for me. However I only paid £29.00 for the room to stay in Central London! I must say I think some of the reviews are very mean. The room was clean and tidy could do with updating. The staff on reception were very helpful and friendly and the restaurant was fine. The location was also very good close to the main line station and you can be in the west end in less that 20mins. I am not really sure what people want from budget hotels if you want the five star service you will be paying alot more than £29.00 per night in London!.	
Oct 28 2008 	So its late	I stayed here last November for 5 nights. The room was in great shape and I experienced no problems at all here.Its handy for visiting all over London and there is plenty of food/drink outlets nearby.The room was small however it was clean and warm and the bathroom was spotless!I would happily go back here.	
Oct 19 2008 	Good value night's stay	We have stayed at a number of Travelodge hotels and are always aware that they are basic and budget-class hotels. We therefore don't expect the world when we do stay in one.We stayed in this one for one night at a cost of about £59. It is very close to Kings Cross rail station but not close enough for noise problems. There are no restaurants around the hotel, but there are some takeaway outlets close by.The room was double-glazed windows which was fine but we couldn't open the windows for fresh air (the hotel has air conditioning though).We stayed in a double room on the first floor, the room was situated facing out from the front of the hotel. The room was clean and tidy, the bed was a little soft for our liking but not a major problem. The staff were freindly and knowledgable and when we needed extra towels this was not a problem at all.The hotel allows food to be taken to the rooms and we had a good night's sleep.The next morning we chose not to have the full breakfast (£5.25) but just wanted a bit of toast. The hotel kindly allowed us this for free! which we thought was great of them.All in all very happy with the stay there.	
Oct 7 2008 	Beware of this Hotel	Stayed in this hotel for one night before using eurostar.Let me start with the good points:LocationNow for the stuff that was not so good:Couldnt sleep due to constant trains noise throughout the night (to be fair they did have a warning on the website) but the noise was tremendously loud.The room was small dirty and dated. The window was single glazed and had no curtains which made the room really cold and the electric radiator was useless.The bathroom was small, filthy and very basic. i.e no shampoo's etc. Considering we paid £87 for one night that is not value for money.They provided two small hand towels in the bathroom in a double room. it was like trying to get dry with a napkin.This is the worst excuse for a hotel i have ever witnessed in my life and had i been staying for longer i would have complained or simple found somewhere else to stay.	
Sep 23 2008 	Not up to usual Travelodge standards - best avoided	What a disappointment. I persuaded my family to book at the Travelodge as you always know what you are going to get - how wrong was I! I always think of the Travelodge as real value for money especially if you have one of their lovely cheaper deals - they are clean, tidy and comfortable with decent size rooms and bathrooms.Well not at this one. The first impression as I walked in wasn't great, not as nicely presented as I'm used to but when I got into the lift my heart sank, the brass doors on the inside were filthy and had obviously been for some time - all streaky - they only needed a bit of Brasso and some elbow grease!Bedroom and bathrrom were tiny - sheets and towels were clean but that's about it as there was a thick layer of dust on the table and loads of crumbs and bits under the glass top!!The best description is that it was very shabby - furniture was battered and scratched in my room and the corridors were a joke - health and safety would have a field day - the carpet was loose in places and black tape had been put over to make safer but this was loose and flapping about - probably more of a hazard!I've stayed at other chain hotel's in London at Euston and the London Eye with IBIS and Travel Inn and they've been fine. Sorry Travelodge this one really lets the side down - I hope your other London places are better.This wasn't horrendous and I have to say all 3 rooms we had were on the back or side so were very quiet which was great, but overall - this one is to be avoided.	
Sep 23 2008 	Perfect for what we wanted	We stayed in a family room for one night, using it as a stop over due to an early train with Eurostar the following day. We had a double bed and a double pull up sofa bed. The room was spacious considering there were two double beds in it. The bathroom was fairly small, but was clean and tidy. The room was very basic but we only paid £50 so I didn't expect it to be 5* standard. Some people expect to pay peanuts but still get a lavish room - not going to happen !! The check in and out was very quick, all the staff were courteous and it was literally a 5 minute walk from St Pancras which is why we stayed there. I wouldn't want to honey moon there but for a stop over hotel it is perfect. I'd read reviews on this hotel prior to staying and wasn't massivly bothered as it was only a one night stop over, but I have to say some of them are pretty harsh. I had no problem with the hotel and I can be a right critical wot not when I want to be !!	
Sep 4 2008 	not great	Like a few others, we found the wrong Travelodge in King's Cross first. We were directed to the correct property. When we arrived the lobby was a madhouse. I think a tour bus had just arrived. Check in seemed very chaotic. We were assigned a two twin bed room, and requested a double. Unfortunately we were denied. Since it was just one night we decided not to fight it. The room was located on the second floor and directly above a dumpster in the alley behind. There were two old and broken air conditioning units in the room. We knew the hotel didn't have air conditioning, but were suprised to see these old broken units. There was no phone or clock in the room. There was a small 13&quot; TV that was supposed to have a clock/alarm feature that didn't work. The bed linens seemed clean. The window opened both at the top and bottom but didn't close completely. Overall the room was very run down and seemed quite dingy. There were three elevators that held two people and luggage comfortably but they were extremely slow. In the morning as people started walking through the hallway, the door on the room rattled every time someone walked by. There is a restaurant/bar in the lobby, but we did not eat there. For the price in London, it was to be expected, but if given the choice I would not stay here again.	
Aug 23 2008 	Hotel Gone Downhill!	I've stayed at this hotel on many occasions before and it has been adequate - you get what you pay for! But this last stay was very disappointing; entrance lobby/porch littered with debris and glass doors smeared and dirty. Lifts - smelly and very hot, brass wall panels filthy and litter in corners of lift compartment. Room small with not much space to move around and no storage space for more than 1 bag; fairly clean apart from the bathroom which had black marks in the corners of the wall tiles around the bath. Tea and coffee facilities (mugs, tea, coffee, etc.) but no kettle. Repeated requests to bored receptionists eventually produced one 30 hours later! Customer care doesn't seem to be a priority here!Breakfast; endless queues, coffee/tea machines out of order and so on. I don't think the food hygiene training was being followed by the kitchen staff - fresh food was being tipped on top of the stale food in the dishes on the buffet. I would suggest going to one of the several cafe's between the hotel and Kings Cross Station where you will get a freshly cooked English breakfast for less than the hotel charges.	
Aug 19 2008 	Not the best xxperience	Never stayed in a travelodge hotel before but I now know why the other budget hotel chain is called &quot;Premier&quot; and I HAVE stayed with them many times.To be fair I did only pay £19 for one night but it also cost me a whopping £81 for the first night. Could not leave bags at the hotel before and prior the booking which was very inconvenient and poor customer service. They were prepared to let you check in early/out late for an additional £10, which is helpful in view of their very late check in time of 3pm. (It's only £6.50 to leave your bags at King's Cross for 24 hours)There was no literature in the hotel room to advise of hotel services and having treked to the hotel reception for an iron, was offered the iron only, not the board. Welcome to the 21st century.In addition there was only one set of towels in the room so another trip to the reception was necessary, so check before you shower!This is a budget hotel and as far as I could tell this was an ex Thistle hotel but appeared clean enough. £19 was an excellent rate for this hotel but £81 was not. Other budget chains offer far better value!	
Aug 11 2008 	Pleasantly surprised	Just returned from a 2 night stay at this hotel and felt I had to write a review which I have never done before, as after booking, I read some of the reviews on this site, and ended up almost dreading my stay, the reviews were not good! I was with my husband, 2 young children, and my parents, so felt almost guilty for booking it after reading previous reviews. However, I found it extremely handy for Kings Cross Station as it meant we could use Kings Cross left luggage facility without interrupting holiday to have to trek across London to collect cases before trekking to hotel. We made our way back to Kings Cross at end of day, and was a very short walk from there to hotel with bags. This was also handy for our last day which we did the other way around. Staff were very friendly and helpful, and was particularly impressed with the breakfast. Was as much as you can eat buffet of cooked English, choice of 4 cereals, fruit, croissants, toast, yoghurt, juice, tea/coffee, and even chocolate muffins, so those who were not impressed with this breakfast I am baffled as to exactly what they were expecting!!! Yes, hotel could have done with a refurbishment, and yes it was a bit noisy on a night, but we cannot blame the hotel for its location, Kings Cross in Central London is not expected to be a quiet country retreat! For the price I thought it was excellent value, and I marked it a 3 star because I am not under any illusion that it is a 4 or 5 star, obviously, but just wanted to write in to put other peoples minds at rest who may have booked it like me then panicked after some of the cruel reviews.	
Aug 5 2008 	was threatened and sworn at by the deputy manager	if your young i do not reccomend this hotel. i had paid online for a room and went to check inn and was straightaway accused of fraud. i was being shouted and sworn at front of his other colleauges, by the deputy manager, then took my bank card to the staff room and checked by contacting the bank and found out it was not fraud and that it really was my card. he then came back to me and gave the card and did not even aplogise. i then asked him what happened he then replied 'come out i'l sort you out' he was threatening to fight me. his colleage then refused to let me use their phone to call the police. i was absoultley disgusted of the way i was being treated.	
Jul 28 2008 	Basic - but good value for one night	Stayed here for one night on a return from our holidays in France. Having arrived at the hotel at 2pm, we were told we couldn't check in until 3pm (no problem to us), however, bizarrely we could check in early if we paid £10. Hmmm...it appears no frills hotels are cashing in like no frills flight companies now. They'll be weighing your bags next!But, the hotel was fine, clean, our room ok sized. Breakfast £7.50 for a basic but slightly limited english breakfast - it was ok to be honest, but there are little cafes dotted about close to the hotel which might be better value. But it's not a complaint - it was ok.A good 10-15 min walk to Kings Cross so just be weary if you have heavy cases - if not then it's worth the walk as it is good value hotel. Staff all in all ok - nothing to write home about.Not top notch, but then that wasn't what we wanted - or paid for. So if you don't mind checking in at 3pm and stay for one night - then I'd def recommend.	
Jul 25 2008	Value for money	Stayed for one night on the way to Belgium, a cheap hotel with a double room for only £30 for the night (excluding breakfast). Rooms were comfortable and a reasonable size, bathroom a bit small and no chairs were provided so laying on the bed to watch the TV was a bit uncomfortable. I wouldn`t recommend anyone staying at the hotel for much more than 2 nights and the current charge of £81 per night would be a bit expensive even for London but ours for £30 was very reasonable.	
Jul 16 2008 	Not Great	I was staying at the Royal Scott for 5nights whilst in London, the room was £81 a night for a triple. The Hotel exterior looks pretty grubby and the inside fairs no better i'm afraid. Once checked in we went to our room the room was so small it was actually hard trying to walk in straight with your bags, the room was very clean but was kinda grotty, there were all these stains on the walls like water or something- I don't know and the Furniture and Fixtures were almost all falling apart. The electricity went in our room three times until we figured out it was the electric kettle- we didn't get a replacement. The room was so small and very stuffy even with the window opened all night it was hard to sleep comfortably, on the last night as we were going out the room door wouldn't close properly, a key card had to be put in the side to close the now broken lock as it was jutting out to much for the door to close. The hotel is clean but is in need of some serious updating asap, once the problems were reported to reception they were addressed to straight away. But I wouldn't really recomened this hotel as I feel it is not worth the price you pay for it. I would however recommend the Travel Lodge- Kings Cross(not Royal Scott) it seems to be an overall better standard of hotel and is nearer to Kings Cross Station.	
Jul 9 2008 	Not the worst	It's fair to say I didn't have great expectations of this hotel, but I must admit some things did leave me a little disappointed. I've stayed in a few Travelodges now, and I'm well aware that some are very good, others not so much. This one falls into the latter category.I booked the room for 2 nights in advance and paid the discounted rate of 49 pounds per night, if I'd paid the full rate I would have been horrified! The hotel isn't the most attractive from the outside, but it is quite handy for Kings Cross station - a major factor in my decision to book there. I decided to reserve judgement until I saw the room... And then found a broken chair! I reported this to reception, and the guy on there was very polite and assured me he'd make sure it was replaced; however on return to the room 7 hours later, the same broken chair was still there! It did ge replaced the next day in all fairness, but I would have thought something that was clearly a safety hazard might have been a bit higher on the priorities list... But there you go.The bed was very comfortable, can't fault that at all, but the furniture did look very old and tatty, and it got quite cold at night and we couldn't get the heater to work. Also, we were inone of the rooms that faces the car park, and there was a ledge outside the window where people had clearly been ignoring the smoking ban and having a sneaky one out of the windows and dropping the butts, it was disgustingly filthy and smelled awful.We never ate in the hotel so I can't comment on the food, but there did seem to be quite a few people eating breakfast on a morning so I would assume it wasn't too bad.All in all, I would say this hotel is fine if you just want somewhere to lay your head at night (as we did) and not spend much time in, but it's only worth the discount rates. And don't go expecting much, because you will be disappointed!	
Jul 7 2008 	Dirty	My husband and I stayed for one night before getting the Eurostar the next morning. All I can say the place was dirty. The lift doors looked they had been cleaned with dirty water. The bar area looked shabby and there was no way I was eating there.Our room was so tiny I kept tripping over things as there wasn't enough room to walk. Room was shabby and wanted a good clean. Wouldn't stay there if I was being paid to.	
Jun 25 2008 	Worst Hotel I've Ever Stayed In	Avoid this hotel like the plague. Everything about it is awful, the food, the rooms, the service, the general condition of everything. The fire alarms go off during the night (twice during one night), meaning you get very little sleep. I'd rather camp in a park than go back to this hell hole.	
Jun 25 2008 	Filthiest hotel I've ever seen	Very dirty, very small rooms (not even a chair fitted in the one we had) dirty bathroom, barely a pice of soap. Very noisy. Unclean breakfast room, cheap food, not one this was fresh, dirty tables, dirty elevators. unpleasant and unprofessional manager. we have assisted to various discussions with other clients. She was very unpolite too. Don't stay there if you don't want to spoil your stay in London.Dr. Umberto SebastianiRome Italy	
Jun 17 2008 	The best breakfast.	I stayed at this hotel with my husband and 2 children. We paid a very cheap rate of 26 Pounds a night.We stayed for 5 nights. We found the hotel clean, basic and the family room was quite big. Bathroom was small, but what do you expect for 26 Pounds a night?Service at the front desk was good. The restaurant was great, after a day of sight-seeing, it was good to be able to feed 2 tired children for not a lot of money. Breakfast was fantastic and the children ate free.The area around the hotel was ok and it was a bit of a distance into the centre of London, about 1/2 an hour by foot and bus.Overall the hotel was good especially since the rate was so cheap.	
Jun 3 2008 	Why without baggage room? Where are shampoosoap etc.? And what about chairs?	We've been here in the end of May for 4 nights. Receptionist was attentive, quick and friendly. We were given a room on 1st floor, with a view to the mainroad. A noise from outside was not loud enough to bother us. Room was clean and well maintained, bed was comfortable, linen was clean. Shower and toilet were clean and OK, but shampoo and hair-drier were not given. There was a tea/coffee place, tea, sugar, etc.were re-stocked every morning.. Breakfast was adequate, but menu was the same everyday. But: how to drink tea or coffee if there are no chairs? And why the guests have to manage with their cases on the floor, instead of any absent table? And why there is no baggage room for the last hours between check-out and getting out from the city? Review: adequate for the price, but some simple things have to be done.	
Jun 1 2008 	Not Bad For London	We have stayed in a few travelodges, London and other parts of the UK, and this one is ok. Prior to arriving, we called and asked if we could check-in early and was told we could for a £10 early check in fee, which was good so we could sightsee for the afternoon. On arrival this was fine so we got our room just after 12pm. I do not understand why the previous reviewer was not allowed to check in early and was told 3pm was the check-in time - not very good. Anyway, the room was ok - it had a bed and a bathroom, although the bathroom was small it had a good shower over the bath. The decor was a bit tired but for one night was fine. The bar was good and open until 1am. We had some drinks in the bar which was reasonably priced but chose to eat in the Italian on the corner opposite which was fantastic. All in all it was fine but room could do with a re-vamp.	
Jun 1 2008 	A place to sleep	I brought my family to London for a two night stay and was a bit worried after reading some of the reviews of this place. For a cheap hotel it is conviently close to Kings Cross tube station which made getting about easy. The bar area was nice although the food wasnt. The room was decent and clean enough for the price we paid but the corridors and lifts were a bit mucky and people were running around at night time which didnt help me get to sleep. All in all though I would recomend this place as long as you dont mind roughing it a bit. The area isnt the best but I wouldnt say it was rough, after reading some of the reviews I think some people must be be scared of their own shadow.	
May 30 2008 	Keep your expectations low..	Found a great offer on a triple room on the travelodge website and i can see why it's so cheap.Pros: 1) 10 minute walk to Kings Cross underground/St Pancras.2) the bar looked impressive although i admit i didn't use it.Cons:1) reception refused to let us leave our bags behind the desk in the morning so we had to carry them round all day (3pm earliest checkin)2) the elevators and corridor walls are disgusting.3) the walls in our very small room were dirty.4) the toilet roll holder had been ripped off, the toilet was dirty and the shower head was diconnected.for the price and the fact it was just a bed to sleep on i suppose this did the trick, anything else and avoid at all costs	
May 28 2008 	Cheap hotel cheap area	This hotel is a strange mix of modern and old. It seems that Travelodge has taken over an existing hotel and built another wing at the back because my two stays here were in an older room (with a redundant air-con unit) and your common or garden Travelodge room. Both rooms were facing in on the car park, but as is usual with every Travelodge I've stayed in, the windows weren't up to the job of keeping the noise out.Make no mistake, Kings Cross is a really grotty part of town. Don't let the nearby glitzy St Pancras station fool you - I wouldn't recommend this place for tourists as it really lets the side down. There are also no nice places to eat, unless you frequent kebab shops on a regular basis. But as a cheap, clean-ish place to stay (make sure you get a good price by booking way in advance), this Travelodge is okay.	
May 26 2008 	Grubby - use Travelodge at Euston or Kings Cross Grey's Inn Road	I usually don't bother reviewing many hotels I stay on business with, but I think this place is going to make me change that! I ended up somehow with a twin room, two single beds, something that's never happened to me when I've been away on business - even with Premier Lodge you generally get two doubles in twin rooms. I'm well over 6ft and found it impossible to sleep.I was going to get into one of the beds and found it to be a bit grotty so used the other too! The air conditioning unit had been disabled, assume they all had and didn't look as if it was still in operation. Wardrobe was dropping to bits.The room had evidence of recent re-decoration, however this meant that the painters have gone over the woodwork and painted on the walls with gloss paint.The chair was missing from the desk, so impossible to work.Shower and WC were of average standard. No shower gel, which seems to be quite regularly happening at Travelodge sites – assume they’re not doing it anymore. I’ve used the one down the road which is actually nearer Kings Cross – the one on Grey’s Inn Road, that is very modern and quite nice. Very amazed that a big hotel chain could have such a mismatch in standards. There is also a new Travelodge at Euston – which I assume will also be quite nice. Ultimately this place is very tired, needs a complete re-furbishment all rooms and all floors – which is quite a bit of money, assume they’ll just sucker in coach trips etc and the odd business person who can’t get booked into one of the other ones (like me!).	
May 17 2008 	basic and clean	if you're looking for a no frills, basic, handy hotel room, look no further than this little place. 5 mins walk from kings cross station and the underground, the rooms were basic, but at £26 a night for a twin room, how can you complain! breakfast was a bit unorganized, they took their time refilling the items, but apart from that, this was great! there were roadworks outside, but you couldn't hear them from our room	
May 12 2008 	Awful Rooms But Easy To Get Around	This hotel is supposed to have been refurbished??? The cushions on the lobby sofas were sunken and the inside of the (very tiny) lifts look as if people have spat on them. Every time I rode in them, I hoped not many people would enter so that I wouldn't have to stand too close to the walls. The furniture in the rooms looks worn and the shower curtain was mouldy.The first room we were given was supposed to have been one of the better ones, with a &quot;view&quot; of the main road. The hotel is supposedly strict on not smoking in the rooms but it stank of smoke even thought the window was left ajar. Unfortunately, the window was stuck in that position too, and the road noise came in. The air con was noisy. We resigned ourselves to our room until we realized that it wouldn't lock when we closed it from the outside.We complained to the reception about the faulty lock and were told that we should just slam the door a bit harder! That usually took more than one attempt to make sure the door locked. After doing this a couple of times, we almost came to blows with a burly guest from a neighbouring room who (understandably) was upset at the noise.Intimidated, my husband (5' 5&quot; and not at all muscular) went to the reception and explained that we just HAD to get another room. Thankfully, they had one available, although it only had two single beds. Our new room had other drawbacks: a &quot;beautiful&quot; view of the parking lot and dumpster, a tiny bathroom, and an air con that did not work (a problem as London was experiencing hot weather during our visit). Next, we discovered that the safe could not be used. According to the receptionist, the safes have either been disconnected or removed from the rooms! Although we put up &quot;do not disturb&quot; signs, housekeeping entered the room. And don't bother to try and be environment-friendly by hanging your towels on the towel rails, because they'll change them anyway.Yes, there are tea and coffee making facilities but the rooms are not comfortable enough to want to sit around and have a cuppa.If you are a coffee drinker and planning to have breakfast in their cafe I recommend that your STAY AWAY from their coffee as it's terrible. Walk up the road towards King's Cross station and you'll find a little place with an Italian name for your morning cup.The only things I liked about the hotel was that the sheets were clean and it's close to King's Cross station.	
May 12 2008 	A Great Cheap Base Hotel but area shabby	Stayed at this Travellodge for a cheap theatre weekend with my two daughters 9-11 May 2008. About a ten minutes walk from Kings Cross Railway (and tube) station. About a £11 taxi ride from Covent Garden in the daytime. Weather was incredibly warm and doesn't appear any air conditioning works in this hotel. Staff very helpful at finding us a fan which when it was plugged in fused all the sockets in the bedroom. Staff again very helpfully moved us to a bedroom on the inside of the hotel (hotel is triangular shaped with an internal courtyard/carpark) which was much cooler and quieter. Apparently its the largest Travellodge in the country. Plenty of takeaways directly outside the hotel but nothing else of interest. Purely a cheap base! We paid £53 a night by booking in advance. Lots of large foreign coach parties arrived day and night so lifts struggle at those times. Room and bathroom immaculately clean. Beds comfy. Certainly not shabby!	
May 10 2008	Well it was at least cheap...	I'll start with the good parts: we got a very cheap deal on our triple room, the beds were comfy and clean.The general state of the room was a bit tatty - black mould in the corners of the shower; a hole ripped in the hand-towel; a broken pedestal bin; missing parts from the 'converter' that swaps between shower and bath.The staff, I have to say, were worse than useless. On the second day we had to re-book in... not that this has been mentioned. But anyway, our keycard didn't work, fair enough. We were on the fifth floor. It took me 4 trips back and forth to reception before one of them actually came up with me (very reluctantly) to 'test' our card - and had to let us in with the master key. No explanation as to why it didn't work, merely that we could get it re-programmed again when we came back down... just like the other 3 times...Walls are very, very thin, the italian students next door woke us up both nights.The curtains don't fit the windows properly, meaning that in the bed next to the window you get the sun on your face at a very early hour, argh.We ordered pizza from the bar downstairs, and it was completely disgusting so something to avoid.I didn't mind the general area, but if i had been alone I would have felt quite unsafe.	
May 8 2008 	Don't Go There	Awful hotel, I would not recommend anyone to stay here. The lift area in the lobby smelt of urine. The first room we were allocated was dirty and the curtains were hanging off the rails. The second room was worse, there was thick black mold around the bath, the shower didn't work and the sockets were hanging loose from the walls. The third and final room was substandard but after what we had already seen maybe this was the best the hotel had to offer. Stay at your peril	
