	Excellent location disappointing hotel service	I stayed in this hotel as a solo traveller, I was visiting various friends in London, The location of this hotel was excellent, right next door to warren street station, &amp; within a 5 min walk of Euston &amp; Euston Square. Unfortunately warren street was closed for maintenance for the weekend, but Euston square is a 2 min walk. On first impressions I thought the hotel was reasonable value for money. But that night my single room which was small &amp; perfectly adequate for me was Freezing! I turned the thermostat up in the room, did not work, there was a huge window which had a blind but the cold draught could be felt. I was so cold that I could not sleep properly, in the morning I reported it to reception who seemed very flustered with the people coming &amp; going. I went for breakfast &amp; had to wait 20mins to get a table, with the lady seating me saying it's busy this morning, but do they not realise how many guests are coming for breakfast. The breakfast was lovely great &amp; prompt tea&amp; toast. I presumed that the heating had been fixed due to the card in my room that night saying the problem I reported had been sorted, but again that night was freezing, but after getting kitted up in my jumper &amp; leggings as well as PJs things where warmer &amp; a better nights sleep. I also had a note in my room asking me to go to breakfast later as it was too busy, between 9-10am.The hotel was very clean &amp; staff where friendly enough, I just expected a better service from a 4 star hotel. I will admit I didn't complain again about the cold room or about the breakfast queue, I just got on with it, but just found it disappointing as I've stayed in hostels, tents etc &amp; payed for a better hotel as a treat, it didn't help as it rained very hard the 2nd night I was there, with the streets flooded &amp; it was soooo cold, so it made the hotel room more noticable.Location wise this hotel cannot be faulted, I would stay again if it was cheaper, &amp; with thermals of course!	
May 31 2009 	Good location	Booked this hotel through the radisson site direct as I am a goldplus member. Went for the online check in as it would save time. We went to London for one night to catch a show for my girlfriends birthday. On arrival we were asked to check in even when I had already checked in online( the staff seemed unaware of online checkin. We were told we were getting an upgraded room and sent to the 2nd floor. The room was small and clean (I would not like to see the standard room) but very very hot. I turned the A/C down to the lowest setting but still the room was like a sauna. We could open the windows but it was on to the busy street below and to much noise could be heard as the hotel is across the street from a main hospital. When we got back I received an email comment card from the Radison website asking for my comments. I was then emailed and advised I would be receiving a free upgrade if I stayed with them again All in all a good central hotel if you can deal with the sauna like rooms.	
May 29 2009 	Excellent hotel well situated for sightseeing	situated about 5 mins walk from Euston Station. Within walking distance from west end, Oxford Street and Soho. Tube station just next door for all other sights. Staff really helpful, courteous and friendly. This is our second stay and will definitely come again.	
May 26 2009 	Clean and safe in Central London	The hotel is very clean, the staff courteous and helpful. A good breakfast. A good location and the room not too noisy considering its in central London.	
May 25 2009 	Here's a hotel you should get to know	The Radisson Edwardian Grafton hotel is a chain hotel which offers a combination of location, comfort and relatively reasonable prices in London. The hotel is situated at the top of Tottenham Court Road, next to the Warren Street tube station, and within walking distance of three major railroad stations (Euston, King's Cross and St. Pancras International). Oxford street is a 2-station ride from the Warren St. station, or a comfortable 20 minute walk. Several bus lines stop in front of the hotel or within a few steps of the hotel. The hotel appears to have been created by remodeling several existing buildings, and has all of the comfort and conveniences one expects in a first-class hotel. The rooms are relatively spacious, and well-equipped. The bathrooms are fine, and the over-sized bath towels a real pleasure to use after showering. The closet houses an ironing board and iron, and even a sewing kit for those emergency repairs. All rooms are equipped for wi-fi internet access, which is free and unlimited for hotel guests, and a daily newspaper is delivered to the room each weekday morning.The English breakfast available as part of certain rate packages is all that one expects, with a very wide choice of edibles and beverages. Travelers should be aware that room rates are significantly lower on the week-end.About the only criticism I can make is that the check-out time (11 a.m.) is a bit early, but it should be noted that the concierge has a baggage storage room where he will be happy to keep your bags until later in the day.	
May 22 2009	OUR ANNUAL REUNION	How can you improve upon perfection? Our group has used this hotel for a number of years but this year's reunion lunch was the best yet. 58 of us sat down to good food, well presented, attended by an attentive staff (full marks to Alfredo and Fayssal) in comfortable surroundings (The Warren Room) in a hotel well situated (next door to Warren Street Underground Station) for Central London.We hold at least one reunion per annum and would have no hesitation in choosing the Grafton again for future year's events.	
May 20 2009 	Quality Hotel wiTh Friendly Attentive Staff	I have stayed in this hotel on several occasions this year and have no intention of staying anywhere esle when I am in London. I have tried several others but they do not compare with the Edwardian Grafton. The staff are welcoming and attentive, making every effort to please. The location is good being very close to a tube station and there are many eating places and pubs near by. Well situated for any activity you would wish to take part in if sightseeing. An all round excellent choice for a stay of any length.	
May 19 2009 	Weekend Break	Exellent hotel, great location, easy walking to most tourist sites and theatre land.Rooms were very comfortable, very clean,quiet, although we were at the back of the hotel, Reccomend breakfast but suggest that you eat before nine oclock to avoid waiting.All in all an exellent weekend.	
May 15 2009 	Excllent staff convenient position.	Staff friendly without being intrusive. Desk staff, concierge and bar/restuarant staff polite and friendly. They are the hotel's best assets.	
May 14 2009 	to see the show	We traveled to London to see my son perform at RADA. When searching for a hotel I wanted to get as close to the school as possible so we would be in walking distance and it was a great pick! Upon on entering the hotel we were greeted cordially and had to worry about nothing!!! The breakfast served was AWESOME and the servers were so pleasant! Also when we arrived our son decided to stay with us in the hotel and we upgraded to a triple room and didn't have to worry about a thing! Very nice and accomodating employees and best of all, spoke English very well. The location is great - an underground station right outside the door.	
May 14 2009 	Very fancy and central	Superb service - only the poor barman didn't understand the difference between diet coke and real coke, kept getting them mixed up, and couldn't mix a cocktail to save his life. But a very minor gripe in an excellent experience. Bar meals were substantial and tasty, rooms were plush and quiet, security was excellent (no access above ground floor without a room key). Extremely central, late night supermarket opposite for all your last minute needs, comfy beds.	
May 11 2009 	Very nice!	A great location, good staff, free Internet and a nice room. What more do you need? The bed was excellent, but if you don't like noise you should ask for a room not facing Tottenham Court Road.	
May 8 2009 	Good hotel Great staff	I stayed here for one night, in order to attend a social function and got a room for £100 with laterooms.com. When I arrived to check-in, there was no record of my booking (not good, laterooms!). However, the extremely helpful chap at the front desk gave me access to the business suite, so that I could check my email and when nothing more could be done, he honoured the price and booked me in himself. This is good service and the kind of thing that makes me think about staying in a Radisson again.The hotel itself is nice - the common areas are well-presented, the bar is pleasant and the staff are generally attentive.The room was a good size, but don't expect any large-panel TVs - mine had a little 14&quot; job from the early 90s! Still, I wasn't there to watch TV. It was also a country-mile from the reception - I needed to leave a trail of breadcrumbs to find my room again that night!Overall, clean rooms, good staff and good value.	
May 7 2009 	Great hotel in an ideal location	I wanted to stay in the centre of London where I could walk to the attractions if I wanted and I could. The tube was next door and less than 10mins in a taxi from Kings Cross. The staff were very helpful during the whole of our stay, at booking-in, breakfast room and at check-out. Our bags after check-out were locked away while we made use of the last day. Whatever I asked of the staff was done.	
May 6 2009 	A great friendly comfortable place to stay home from home	A friendly hotel with good comfortable room and an excellent service that cares for its guests and makes them very welcome. Location on north side of London is handy for central London and for mail line railway stations with access to underground close by.Staff afford everyone a friendly welcome and good service.	
May 4 2009 	A hotel close to euston giving a great service	The hotel was close to all tube and national rail links. The staff were friendly and eager to help. the rooms were of a very good standard, breakfast was excellent. the hotel is close enough for easy access to the west end. We have already booked for another trip in May.	
Apr 28 2009 	OK-just !	I love London, so to go when someone else is paying (work) is always a delight. I have had this pleasure 6 times in recent months and although I have been to the Radisson for meetings this is the first time I have stayed. So everything I say has to be taken from the view that I didn't pay, but if I had I would have been underwhelmed.It is in an OK location, saying it is near a tube station as an advantage, well all the hotels I have stayed in have been near a tube, so its average. It is not particularly near any attractions, the British Museum is a15 minute walk as is the British Library, average again.The food is OK but was not available for the time we booked it, but the staff were pleasant about the delay, but they should be, that's customer service.Our room had an indelible foot mark on the loo seat, ingrained stains on the bed side shelf. The electricity didn't work , but did when we complained ,thanks again to a very nice maintenace man who fixed it.The bed was like me , a bit cream crackered (note the cockney rhyming slang for our American readers). But everyone was very pleasant, and the best thing was it didn't cost me a penny, but if I had had to pay the £155. bed price I would have thought it was...OK.....just !	
Apr 27 2009 	fabulous hotel in an excellent location	I have stayed in this hotel, initially for business but also for leisure and it is always consistantly an excellent place to stay. The localtion is ideal as it is practically next door to warren tube station. It is located within walking distance Euston station (and kings cross if you fancy a walk for about 10 mins). It is also within walking distance of shaftebury avenue and leicester square but with the tube nearby incase you want public transport. The hotels exterior is average but it hides on of the gems of london in terms of accomodation. The public spaces and bedrooms are all completed to a high standard and the staff are consistantly helpful and friendly without being intrusive. I have stayed here numerous times over the last few years and although the staff may change the quality of the service does not and is consistatly high.The breakfast offers a wide range of choice or both hot and cold foods and again is always of good quality.The rooms are comfortable and furnished to a high standard with all amenities you would expect.This hotel is always my first chice if staying in london.As well as being close to the tube it also has pleanty of places nearby to eat as well as various foodstores (late opening) for snacks etc. The room service is also of high quality.If you have to stay in central london I recommend staying here. Its not the cheapest hotel but is reasonably priced for the area. It is however of a much finer quality than similarly priced or more expensive hotels in central london.	
Apr 27 2009 	Great Hotel for regular business visitors perfect location good value	The Grafton Hotel (part of the Radisson group), is one of the best hotels I have stayed in in Central London. It manages to combine everything I need, from very friendly staff, a nice bar and restaurant, neat and tidy rooms, great location (plenty of shops near by), and great travel connections (1 minute walk to Warrant Street station Victoria/northern lines and 10 minute walk from Euston station).All of the rooms (and I have now stayed in over 15 different ones on over 30 visits) come with an Iron/Ironing Board, and most irons are newish and perfect for ironing you work shirts, or clubbing gear!. The Décor has a slight Oriental feel to it, and there plenty of wood around giving the whole hotel a classy feel.Some of the services that make this hotel a great one are the free shoe shine service (just hang your shoes on the door handle outside you room in the provided bag and there shined over night and back by 06:00H) and the luggage store. The luggage store is simply genius. If you arrive in London and you room isn't ready, simple check in and ask the hotel to store your bags, you can then go and enjoy the city and return later collect your room key and your bags. This works in reverse to, when checking out on the last day, store your bags go to the office and on the way back collect your bags. For me this is indispensable because I arrive in Euston so on the way back I just get of the tube a station earlier collect my bags and then walk to Euston, and it only adds 15 minutes. For regular London visitors, the feed back system actualy works. After a stay you have the option to leave some feed back and some actualy reads it and gets back to you.The staff are always pleased to see you, and always ready to help, nothing is too big a problem.The restaurant is nice, offering a good selection of English food sprinkled with some Italian and Indies dishes. If the menu at the Grafton doesn’t tempt you the location has one more surprise. With in a 10 minute walk of the Hotel are over 30 Restaurants.A review wouldn't be complete without saying how this Hotel stacks up against the local Competition. I have stayed at the Hilton and Holiday in in the same area and neither offer the convenience of the Grafton. The Hilton is more expensive and I find the Restaurant food a bit oily. The Holiday Inn has a good location but its further away from Euston and Oxford Road. In my opinion the Grafton has them beaten hands down.	
Apr 23 2009 	Hassle free.	I'm not really a London person but I was persuaded by a friend to go on a weekend break and see a show in London. A pleasant welcome awaited us at this hotel and nothing was too much trouble ( even hailing a cab for us !). The room was comfortable and I slept well and the meals in the restaurant were nicely presented and again the staff were very friendly and obliging. The location of the hotel was excellent for theatre land. Now I am looking forward to my next visit to London !	
Apr 22 2009 	Not 4-star but clean and convenient	I had lots of work and play to attend to and only spent the nights in my room - and it had its pros and cons.The pros are that it was spotlessly clean, smelled fresh, and despite being located right on and facing Tottenham Court Road, which is quite a busy street, the double-paned window kept the noise to a reasonable hush. The location next to Warren Street tube and about a 10-minute walk to Oxford Street was the biggest plus for me as I was able to walk back the Leicester Square clubs/pubs in under half an hour on two nights, and take a 7-pound taxi the next. The internet rate was also quite reasonable for a central London hotel. The free WiFi in the rooms wasn't fast, but it worked and that was a big help. There was also a complimentary newspaper which appeared on my door two of the three mornings I awoke there.The cons were that the hotel seemed needlessly understaffed at the peak checkout hour. The staff on duty, while dilligent, was overburdened. Service, if not especially cheerful, was curt, polite, and efficient. The hotel should have at least 3 attendents on duty at the peak check out and check in hours. It's fortunate I wasn't in a hurry at checkout time. Also, it was rather surprising that there was no hair dryer in the room, nor other basic amenities such as a toothbrush and toothpaste, separate shampoo, conditioner and soap (rather there was an all-purpose hair and body wash in the shower), shoe-shine mitt, etc. A 4-star business traveller would certainly expect these things, and having to dash out at night or in the morning for a toothbrush would be a real hassle. Breakfast wasn't included either.The hotel was clean and convenient, but hardly a 4-star experience.	
Apr 21 2009 	Good location easily accessible thru tube	The biggest plus point for the hotel is the location in central london and closeness to tube station - in fact the tube station is just next door. Its located on the tube line which directly connects you to the main shopping areas and entertainment centres like oxford circus etc - thus you dont have to go thru the hassle of changing lines. Apart from this the staff is nice and the restaurant was good. The rooms are well kept.	
Apr 20 2009 	Tiny Room.	I found the experience in the Radisson Grafton very disappointing. This was due to poor staff and a very, very small room (375). I normally stay with Radisson a lot with work, I am now thinking about bringing my business elsewhere.	
Apr 15 2009 	Loved it	Previous reviewer must have been unlucky, as I stayed here for 1 night with my partner on 4th April and we had a lovely time. We arrived at the hotel just after 2pm, we were impressed by how clean and modern it looked, very nice reception area, bar and restaurant. We were informed that our room wasn't ready yet but we were able to leave our luggage there. This didn't really bother us as we had come to see London and weren't planning on spending much time in the hotel anyway, so left our bags and went off to explore. We came back at about 5:30ish and were swiftly checked in and handed our room key. Rooms were fine, nicely decorated and very clean. Small-ish but who goes to London for a weekend and spends the whole time in the room anyway?! We returned later on that evening to find a message on the tv from reception asking for a credit card number for our incidental charges...a little confused we called reception, turns out they were trying to charge us for items in the mini bar which we had not actually taken! This was quickly resolved, however, and reception staff were very apoligetic. Breakfast the next morning was lovely, plenty to choose from-hot and cold, and staff could not do enough for you. Overall we thought this was a lovely hotel, with a location you could not fault (warren st tube station literally a few steps away!) I would not think twice about staying here again.	
Apr 15 2009 	Nice enough but there's room for improvement	The location is excellent - only steps away from Warren St. underground station. The staff are all very professional and helpful too, while the whole place surely looks grand enough and well decorated.What we didn't like was that the whole place was like a maze. After getting out from the elevator, we needed to drag our luggage through a very long corridor with many turns and steps to reach our room. Some of the cushions were stained too, and as our room was on the first floor and facing a bar, it was really noisy at night. We needed to keep our windows tightly shut. We were only staying for one night and for the price we paid we absolutely had no complaints. But if you're staying for more than one night, try to ask for a quieter room.	
Apr 14 2009 	Had a pleasant stay eventually	We were allocated room 331 initially which in our opinion was dark and gloomy as well as smelling distinctly like the previous occupant. We requested to move and were shown another room which sadly developed a leak just before we took up residence ! Eventually we were given another room which was fine.. I had no problems with the cleanliness overall although the decor is slightly tired . The staff however could not have been more accommodating and apologetic even providing complimentary bottle of wine for the inconvenience. Loved the breakfast and this makes the break good value. Bathroom fine but tiny. Lovely towels .	
Apr 14 2009 	Service without a smile and disgusting rooms	I travel alot and this is definitely one of the worst hotels I have ever stayed in. I cant believe it got some good reviews. Staff are unfrienldy and very rude when asked any questions. First of all our reservation was lost,when this was sorted an early check in was guaranteed on arrival which was not heard of by check in staff when we arrived. They said it would be after 2 because rooms were being cleaned. This was not apparent to us when we got to room. Room we had was 324 and it was absolutely disgusting. Carpet was about to lift from the floor with the filth of it. Air conditioning was not working,windows would not stay open and I was honelty afraid to touch anything in the room it was so grubby. Walls were all stained and fumes from cigarette smoke was constanly venting through. No matter how much you showered in this lace you would feel dirty. I cant believe the cheek of rating this dump a 4 star,2 would be pushing it. No bedside lamps and no shaving light in bathroom. It was appauling,find yourself something better.	
Apr 3 2009 	Unfriendly staff - distinctly average hotel	Good location, nice art-work, but that's about it. Staff indifferent, &amp; the member of staff who delivered breakfast to the room was distinctly unpleasant &amp; rude. When I complained at check-out, was met with complete disinterest &amp; no apology. And I don't appreciate lifting lid of bin in bathroom to find previous occupant's rusty razor...nice. Spoilt a lovely theatre trip organised for my birthday. Will not be visiting again &amp; would not recommend to anyone.	
Apr 3 2009 	A small hotel where you can relax with the family in style.	This hotel is frendly, clean and you can relax in the lounge bar area with your family, here you can enjoy a snack without having to go into the resturant, great if you like eating as and when you like !.	
Mar 31 2009 	Excellent stay	Stayed 2 nights last week on business, couldn't fault the hotel, check-in was fine, room was spotless, breakfast excellent with lots of staff clearing tables and bring coffee and toast.One small complaint was price of coffee in bar but there was kettle in room so next time I'll just make one there.Location was excellent for me as I was working in UCLH across the road but also walked to Oxford st one lunch time. Loads of restaurants nearby and I recommend Mondello Italian in Goodge st, very reasonable prices for London.	
Mar 29 2009 	Good Location but guest rooms small	Arrived on Friday afternoon for a two night stay. The queue for check in was long and there didn't seem to be enough staff to cope with the amount of weary travellers. Once we got to our room we were really disapointed as it was tiny!, We rang reception to request a bigger room and it was sorted quite quickly but there is an additional supplement for the king size rooms. The second room we got on the 2nd floor was much bigger and was clean but noisy as the window faced the main room. The staff were helpful but there always seemed to be queue at reception or for the concierge. The location was great for sightseeing, a tip for eating out- head towards fitzrovia as there are some really nice restaurants in this area especially in Charlotte Street. Another tip is to get to breakfast early, on the Saturday morning we were there at 8am, there were no queues but the next day at 9am we had to wait about 15 minutes to get a table. A good hotel but let down by the room sizes and queues.	
Mar 29 2009 	Cannot fault this hotel	Stayed here this month for a birthday weekend. Arrived just after 2pm on a Friday afternoon so the busiest time to check in. Reception area was crowded however I only waited for less than 3 minutes and got checked in with ease. The first thing I liked was the fact that there were 2 lifts and both required your key room card to operate them so very good from a security point of view. Very Modern room, spotless clean and the bathroom was also spotless,it was gleaming. We had a great view of the BT Tower from our window. Beds very comfortable and no noise at night although we were at the back of the hotel. I was quite consious that my Nan and Grandad would be more critital with being older and easily woken at night but they both said what a great sleep they had on both nights. Breakfast was fab, long queue but worth waiting for. Ideally located just a few steps away from Warren Street Tube Station and with being on Tottenham Court Road there were always black cabs coming along every few seconds. I go to London a few times a year for theatre trips etc and would certainly stay here again.	
Mar 27 2009 	Great location. Great Hotel	The Radisson Edwardian Grafton is a great hotel, situated less than a minutes walk from Warren Street tube station, and 10 minutes walk from London zoo/oxford street. Excellent hotel, staff were all very friendly, we upgraded our room for an extra £30 a night and the room we had was great - not a bad word to say really. We took advantage of the valet parking at a nearby NCP - we literally pulled up outside the hotel and the concierge drove the car away (£36 per day which beat getting the train) too which was so handy - hotel was easy to find and very easy to drive to.	
Mar 21 2009 	Good value excellent staff	I stayed for one night in March 2009, having stayed a couple of times in 2008.Hotel is very handy for the underground (Warren Street) and there were plenty of restaurants and bars nearby. The bedroom and bathroom were both very comfortable and clean. All the staff I came into contact with were very helpful, friendly and efficient. I received a free copy of the Daily Telegraph.The breakfast was fine with a good choice and decent quality and there were good internet facilities	
Mar 19 2009 	Convenient spotless hotel	location convenient for underground station. Room on the small side, but have stayed here before and had a bigger room. Room and bathroom spotless which I think is very important. Went for the B + B option and breakfast was fresh and plentiful, but very busy on Sunday morning, so get down early. Reception staff were very accommodating when i asked to be moved from first room allocated as it was on the road side and very noisy.Would definately stay at this hotel again.	
Mar 17 2009 	Excellent location just next to Warren Street tube with lovely interior and friendly staff	This hotel was excellent for a two night stay. All staff in the hotel were very helpful and friendly. The concierge took our luggage and stored it both before and after we checked in... which was really useful and meant we didn't have to lug our bags around. The hotel is literally round the corner from Warren St station and this makes it really easy to get around. Breakfast was delicious and lots of choice!	
Mar 17 2009 	Radisson Edwardian Grafton	Nice clean rooms if on the small sixe. Double beds are atad small especially when other half is 6ft7&quot;!!!! Only really one complaint and that was at breakfast, we had to wait for tables to be cleaned and food was brought out fresh but cold!!EXCELLENT LOCATION, short walk to oxford street and theatre was 5mins away . HAD TO HAVE WINDOW OPEN AS HEATING PERMANATELY ON AND ITS A VERY BUSY ROAD OUT THERE LOL!!!!WILL BE GOING TO LONDON AGAIN BUT DIFFERENT HOTEL!!!!	
Mar 17 2009 	Welcoming and Friendly after the working day	The rooms are sometimes small but always clean and comfortable.The best thing are the staff without exception they are helpful and friendly.The location is perfect for business or leisure visitors	
Mar 14 2009 	Great Location	ideally located right beside Warren Street tube and on Tottenham Court Road within 10 minutes walk of Oxford Street. I was upgraded to a double studio suite which was located on the corner of the building. Lots of amenities close by. Busy road so quite a lot of noise if you are located on that side of the building but it didn't bother me as I was dog tired and went straight to sleep. Good selection of food for breakfast. Staff very friendly and efficient.	
Mar 12 2009 	Great hotel great location	I had a really nice overnight stay at this hotel. As our time was limited it was really great to have the tube station right next door to the hotel - it made getting around really easy. There is shopping within walking distance and also plenty of places to eat along the street that it’s situated on. Staff were perfectly friendly, check in and out was seamless. The hotel was spotlessly clean and room twin room was perfect size. Great Shower in the bathroom and the breakfast we ordered to the room was good and plentiful. I would definitely return to this hotel if I return to London and would definitely recommend it!!!	
Mar 10 2009 	Excellent location - would stay again	This hotel was booked for us by Superbreak after we rejected their original suggestion after reading poor reviews. Most aspects of the hotel were excellent. Check-in was efficient and polite, even though Superbreak had booked us for 2 separate nights using different initials, which confused everyone a little. Our room was on the small side, but had everything we needed; the bathroom had a bath as well as a shower. Everything was very clean. The downside was that the room was much too warm for our comfort, and opening the window (though nice that we could!) meant a lot of noise from the street below. With the window closed, the noise was not intrusive, but it was difficult to strike a balance between temperature and noise.Breakfast was good, with plenty of choice of both hot and cold food. On the Sunday morning, when the hotel was busier, breakfast goods were laid out in 2 locations, but there was not such a full choice in the centre of the room as on the left hand side (the only serving area on the Monday) - we only realised this when someone passed our table with a plate of fresh fruit - fortunately well before we'd finished our meal!The location was excellent. Two tube stations (Warren St and Euston Square) on different lines very close at hand; 2 supermarkets less than a minute away; a great choice of restaurants in nearby Charlotte Street were the best things about the location for us.Depending on price, we would stay here again.	
Mar 6 2009 	Want a good location?	Location is great for access to the City. Warren St Tube Station is literally just round the corner. It is also on a major road so lots of buses and taxis. Walkking is OK too!Staff at the hotel are always friendly and helpful.	
Mar 2 2009 	Wonderful Romantic Weekend Getaway!!	My partner and I came here for a theatre break to celebrate our anniversary, having heard glowing comments from family and friends about the Radisson hotels we chose the Radisson Grafton and we were not at all disappointed! The location of the Hotel is fantastic, a one minute walk from Warren Street Underground (Northern and Victoria Line so main attractions were very accessible). We had booked a Deluxe Double room (as it was a special occasion so thought we would pay a bit extra) and upon checking in we were told we had been upgraded to a Suite! That was an excellent sign of how the weekend was going to turn out! A little off topic but if you are in the theatre district area and looking for a good meal, we would recommend Sophie's Steakhouse yet another addition to our perfect weekend!Everything from the hotel room, breakfast, staff to the location was exceptional and I would definitely recommend the Radisson Grafton! If we come back to London this will certainly be our first choice. Thank you for making our stay so memorable :o)	
Mar 2 2009 	Great location with good family room	Great location next to the Walton Street tube station. We had a good sized family room with a very comfortable large double bed and a big clean bathroom. The room was also very quiet.We came for a week - end theatre break and it was great that the room was available for us when we arrived at 11.00 a.m. enabling us to drop off our luggage and freshen up before exploring London. Booking in an out at reception was also very quick and all the staff were polite and helpful.The hotel was on the Tottenham Court Road and was handy for the Dominion Theatre were went to in the evening being one stop away on the tube. We were also able to get snacks and drinks from the Sainsbury's opposite the hotel which was open until midnight.We all thoroughly enjoyed the whole week end and are looking forward to going to London for a week end break in the near future. Hoever, there were a few minus points.Breakfast was excellent but as the children were sharing our room and &quot;staying free&quot; we were told that there would be a charge of £17 per child which was excessive particularly as most children only tend to eat half a sausage and a cornflake for breakfast. Fortunately, our teenage daughter decided she would rather lie in than get up for breakfast which was something of a financial relief. However, if your children do want breakfast then there is a MacDonalds and also cafe next door which is very reasonable.Other slight minus points were the fact that the complimentary Sunday paper did not arrive and the gym in the basement looks rather small and uninviting. In our brochure, the hotel has a symbol indicating that it has a swimming pool but it does not. Also the big screen TV in the Aston Bar is rather out of keeping with the relaxed atmosphere of this room.	
Feb 26 2009 	have now made it a bit of a habit	This is the second time i have stayed at The Grafton. Besides being centrally located it was simply a great experience. the rooms are very comfortable. The staff went beyond the call of duty to assure my comfort and ease. the fact that it was my second visit it was very welcoming. they kept great notes from my previous stay and made sure that i was accommodated with out my having to ask. looking forward to returning.	
Feb 26 2009 	Great staff good service and fab breakfast	This is a friendly hotel with good staff. Breakfast is excellent with lots of fresh fruit and pastries or hot good if needed. I stay here on a weekly basis and keep coming back.	
Feb 25 2009 	Stay here regularly good hotel very close to the tube	I stay here regularly for business. Its well situated for the tube at Warren Street just 1 minures walk. Staff are very friendly and helpfully. Particularly Hasan at breakfast in the dinning room. Always happy to see me with a warm welcome. Rooms are good to very good. Can be nosiey if on the front of the hotel.Lots of pubs and places to eat nearby. I'd recommed it. Have a good stay.Brian	
Feb 25 2009 	Good location Would stay again	Reasonable rooms. Friendly staff, reasonable food in restaurant with very good service.	
Feb 24 2009 	very family friendly with a warm welcome	Stayed for a short weekend break with my wife and two small daughters. The staff were among the friendliest and most polite of any hotel that I have stayed in worldwide. Restaurant dining was excellent.	
Feb 22 2009 	The Radisson Edwardian Grafton London	Well priced, central location. Check in was quick, friendly and easy. We also checked in at 11.00am (instead of 2.00pm) and there was no problem with this - we didn't fancy dragging bags around London. The room was clean and tidy, situated at the back of the hotel. The Red Roses and Chocs were already there and the Champers arrived later (Valentines Weekend Special). A voice mail message was left to make sure everything was okay. We went out and stayed out until after our show, returning to get a good nights sleep - which we got. I could not believe how quiet it was - we live in North Yorkshire and this hotel was so much quieter than the street we live on! So far, so great - something has got to go wrong - well, I thought it had when we went down for breakfast at 10.00am. It was packed and we had to wait for a short while - the staff in the breakfast room were very impressive and everything ran like clockwork - you don't get this many people through without great teamwork and staff who know exactly what to do. Incidentially the food was excellent as well - okay, here's my whinge, I could have done with a pot of coffee instead of one cup - I live on the stuff. Check out was easy, quick and efficient and this is a hotel I will be returning too.	
Feb 18 2009 	Great stay but book direct for best rates	Stayed for one night and was very happy with the hotel, the room and the staff. I was not happy with the way I booked, which was my own fault. Foolishly, I thought it would be cheaper to use Lastminute.com. Ha ha. Just go direct. I'll say no more on this.Thanks to Tripadvisor, I knew to ask for a room either to the side or back of the hotel as my husband and I hate noise and the Grafton is nearly opposite a hospital. The receptionist was v helpful and changed a few bookings around to accommodate us. The position - next to Warren St tube - was ideal for our sightseeing trips and I would definitely recommend this hotel.	
Feb 10 2009 	A great value decent quality hotel in central London	I stayed here with 3 girlfriends as part of a weekend theatre break and was pleasantly surprised. The hotel's official rating is 4*, but I think much of that is based on the location (very central London). For the price, it was excellent - quiet, clean, reasonably plush rooms in a very central location. Do ask for a quiet room if you're a light sleeper. We asked for a quiet room at the back and were completely undisturbed.	
Feb 9 2009	OK for a night	Stayed Saturday night, hotel is in a good location literally ontop of Warren St tube. Staff relatively welcoming, check in quick. Room was not somehwere I wanted to be for long I felt like you were in a cupboard, was dark due to the bottom half of the window being opaqued out. Couldn't open one side of the wardrobe as it hit the back of the door. As you walked in the room you had the bathroom on left and then immediately 5 stairs down to the bed. This meant that if you wanted the bathroom in the night, you had to turn lights on so you didn't trip up them. We didn't have this problem as fortuntaly the TV kept turning self on every hour on the hour, which was just delightful - finally I could bear it no longer and at 7am I just had to get up and go, did not bother with breakfast. I told the lady as we were checking out and she said I should of called, I did say at 2am,3am, 4am, 5am and 6am I just wanted the thing off to go back to sleep, not someone to come up to the room and fix it. (I am aware that in the cold light of day this sounds stupid, but trust me, in the middle of the night turning the thing off was the best idea) Then after all of this, she asked if I had had a pleasant stay - just don;t think she listening really. Wouldn't go back, usually I stay in City Inn and I find that much better	
Feb 3 2009 	Good Budget Hotel not 4* Though!	The Radisson is well located - I wanted walking access to London Zoo, though the top end of Tottenham Court Road is rather grotty, especially at the weekend. Luckily the restaurants of Charlotte Street were within reach, as you wouldn't want to eat at the hotel.The room was OK, though being single was not large and had no outlook. The bed was fine, as was the bathroom (skimpy toiletries) but very few TV channels available unless you wanted to pay for a film. Reception kept sending annoying messages via the TV which you had to acknowledge before you could delete them. However, there was everything you needed for a weekend and it was a great plus having free Wi-Fi available everywhere.If you are not on an all in deal, don't have breakfast there. It was pretty awful - fatty undercooked bacon kept under hot lights, awful looking fried eggs, ditto with the lights, surprisingly nice suasages, cold coffee &amp; flabby toast. The cold meats and cheese looked horrid - all curled up and dry and for £17, I think they should try harder. Go to Cafe Republique down the road for a toasted panini &amp; coffee for £5! The bar was OK with friendly staff but a tasteless club sandwich. I ate out the rest of the time.I think this hotel is reasonable value - £75 a night in central London but I don't think it warrants its 4* rating. However, the staff were friendly, if foreign and it was fine for a woman on her own.	
