	Great hotel quiet location ideal for weekend away!	We stayed at the Apex for a weekend in November based on the reviews from this site. We were not disappointed. We stayed in a King Deluxe room on the first floor and the room was HUGE! The bathroom had a large bath and a walk in shower.My only gripe was that the pillows were terrible! The standard ones are feather so I would suggest ordering extra or foam ones for a more comfortable night.The room was VERY quiet for London as we could only hear the wind in the trees of the small square opposite our window. It is within 3 minutes walk of Tower Hill tube station, which will take you to Embankment which is only a 5 minute walk from Leicester Square etc. Ideal for Tower of London as it is just across the road. We didn't have any food in the hotel as there was a pub just around the block that did full English breakfasts for £3.99 which was OK for us. There is also a pizza place, noodle bar and various other eateries within a 5 minute walk. I would also suggest walking over Tower Bridge and walking towards London Bridger on the South Bank as there were a multitude of places there.All in all a fab weekend at a fab price.	
Jul 22 2009 	Luxury at budget prices	We spent a weekend in the Apex in London, we had previously stayed in a sister hotel in Edinburgh and thought it was fabulous so when we decided to go to London it was the obvious choice. The hotel is in a good location a few minutes from Tower Hill tube station. The reception area and staff were both impressive, there was never any trouble helping with luggage or calling a taxi. The rooms are well appointed, slightly smaller than those in Edinburgh but still comfortable, there was also a good selection of toiletries in the bathroom which was unexpected for the room rate we paid. We had some cocktails in the hotel bar; they were delicious though slightly overpriced but nothing too outrageous, just hotel prices.I have recommended this hotel to friends.	
Jul 21 2009 	Excellent Hotel for value location service and cleanliness.	My wife and I stayed at the Hotel for a weekend break, it was very good value for money for a 4 star Hotel in London. We have stayed at other London Hotels and paid much more, but this one had the lot, price, location, service and cleanliness. We would definately go back. There are several pubs and restaurants in the immediate area so if you don't want to stay in for food and drink it won't be a problem (Weatherspoons is just round the corner, and a full English breakfast for £3.99 is a bargain). Butlers Wharf, just over Tower Bridge is also worth a visit for Restaurants and shops. Tower Hill tube station is only a 3 Minute walk away.The local area is also good, felt quite safe walking out at night (some areas in London can be a bit dodgy). One thing we noticed was that some of the smaller local pubs and restaurants did not open Sat and Sun, they probably make enough money in the week from their business customers who work in the local offices.	
Jul 17 2009 	Excellent - will be back	After a lot of research we decided on this hotel. We stayed in the budget rooms which are in the basement. They were absolutely devine. I could have moved in! The only downside, which I knew anyway, was that there are no windows down there so you can't see what the weather is like! Area was perfect for us. Busy all throughout the day sightseeing etc so came back in the evening to freshen up and go for a drink and a bite to eat. Quite a few pubs around. Weatherspoons, All Bar One, Hung Drawn &amp; Quartered, Pizza Express. Cannot recommend this hotel enough.	
Jul 17 2009 	Hidden Gem in London	We recently stayed here for 3 nights and had a wonderful stay. We were upgraded from a Superior King to a Junior Suite which was LOVELY! The room was very big, a separate sitting area and bedroom. The decor was great...lots of attention to detail, the room was very clean and the bathroom modern. The mini-bar was all free...so rare these day...which was a great touch. I would highly recommend this place! On the downside, while the sheets were great (very soft), the bed wasn't very comfy...in need of thick mattress pad, and the towels were thin and very scratchy. However, it was easy to look beyond that because everything else was so nice. Another downside is the location, depending where/what you are doing in London. It was a bit far from most major attractions, but quite close to a few as well. I really enjoyed our stay here!	
Jul 16 2009 	Excellent Hotel and very good value	Everything about our stay was first class, from the moment we walked through the doors to be met by one of the very friendly staff to our check out. The only slight moan would be a lack of proper view from the hotel window, apart from that the room was perfect, offering everything and more from a 4* hotel. The continental breakfast was excellent and the menu for the evening meals seemed very reasonably priced for a London hotel of this standard. The location is very good as you are only two minutes walk from Tower Hill tube station. Overall great value for money given what you can pay for hotels of a lesser standard in London.	
Jul 14 2009 	Fabulous modern trendy hotel	Stayed for 2 nights with my boyfriend. Booked on a special travel agent's rate, extremely good value for money. We booked a city double room but on arrival were told we were upgraded to a deluxe! Fab! Check in smooth, receptionist was very friendly and helpful.Our room was fairly large, double bed, sofa, big tv, fridge, walk in shower and bath. It was made up to excellent standards. We were even given complimentary pringles and jelly beans! The decor was very modern and chic, very clean room and bathroom. only slight negative was didnt like the pillows or duvet cover, pillows very squishy and covers rustled all night, but thats just personal taste! Our room was serviced to high standards, and for a £20 refundable deposit, you could have a choice of dvds to watch. We didnt use the restaurant but I ordered a sandwich to our room which came quickly. The late night room menu was very limited though, basically a bowl of soup, some sandwiches and ice creams. The hotel is a few minutes walk to Tower Hill tube station and around the corner from various pubs and restaurants. All in all a lovely hotel to stay at	
Jul 12 2009 	Fab!	We have just spent two nights staying here for a leisure weekend in London. What a fab hotel, great spot, only two minute walk to Tower Hill tube station and the Tower of London. Lovely comfortable room with a sofa bed made up for our son. Includes a safe, air conditioning, separate bath and large walk in shower, fridge and so quiet. Spotless and lovely bath products including a rubber duckey which was a big hit with our son. You cannot get better value for the quality and service. The area is quiet but we got the tube to the Embankment - the West End, within 10 minutes for lots of restaurants, shows etc. Friendly professional staff, free internet. We didn't have breakfast with our deal but it looked fab and next time we will indulge - Stay there!	
Jul 11 2009 	Just perfect!	Chose this hotel after recommendations on TripAdvisor and was really impressed! We went to London to celebrate my husbands birthday, I had booked a standard room but on arrival we were upgraded to a premium room on the 7th floor with a great view of Tower bridge. The room was great, spacious and really clean with comfy beds, our room even had a small terrace.The location is in the business district close to the Tower of London and Tower bridge so not centrally located although this was definately not a problem with the Tube station being very close, also the boats running on the Thames are just a short walk from the hotel. We did try the hotel restaurant one night, it was quite OK but I would still recommend a walk to St Katharines dock close to Tower bridge where you'll find a lot of different restaurants, a really cosy area.We had booked the full English breakfast but next time we will just have the Continental breakfast (included in price for room) with great yoghurt, lots of fresh fruit, different kinds of bread, ham, cheese, salmon... enough to keep you full for the better part of the day. :-)All in all, a perfect choice with spacious, clean rooms, totally wonderful and friendly staff and a quiet and calm location - we will definately be coming back!	
Jul 9 2009 	Close to Tower of London and St. Paul's Cathedral	We stayed at the Apex on a Saturday and Sunday night. This hotel is in the business district, so weekend rates are pretty good. The Tower of London is across the street. The service was excellent, and the room was very nice. There was free wi-fi, iron/ironing board and a large safe in the room. There was a heat wave in London, so we really appreciated the air conditioning!! All the amenities were really nice. We had breakfast in the hotel restaurant the first morning, but it was pretty expensive for what we got (and we're not big breakfast eaters). The next morning, we walked to the corner and had coffee and muffins/croissants at Pret A Manger, which was wonderful, and a lot cheaper!!	
Jul 8 2009 	Excellent	We stayed in this hotel the weekend before last and had an excellent time. The hotel was conveniently located (2 mins walk from tower hill tube and the tower of London) and we found it very easy to get around. We were particularly surprised by the ‘extras’ that you don’t normally get in hotels of this price range, toiletries, tea/ coffee making, free in room safe, bottles of water. The bedrooms were well equipped and stylishly fitted out, not the normal bland budget hotel interior and the staff were really friendly. Also on my rate continental breakfast was included which was excellent, a good selection of cereals, bread, pastries, cold meats, cheese and fruit- all fresh and tasty. I would definitely stay there again and would have no hesitation recommending the place to friends and family who visit the city.	
Jul 7 2009 	great place to stay	Free internet was a great perk to staying at this hotel. Also the location is convenient and quiet. The rooms were awesome. Great value and service.	
Jul 6 2009 	Very Good Hotel - Service Could Be Better	Booked this hotel through 1800Hotels.com after reading reviews on trip advisor.We paid £106 / night including continental breakfast for 2.Reception: Staff very helpful, some minor problems with the computer system checking-in but no trouble to ourselves. One of our keycards stopped working after the first night typically it was on our way back from breakfast so everything was in the room but a quick trip down to recption and confirm who I was and I was furnished with 2 more with no issue.Rooms: We stayed in room 238 an end of corridor room, it had king bed, nice walnut finishing, a good size desk, 30&quot; &quot;old&quot; CRT TV bathroom with shower and bath. A word of warning however the wardrobe has limited hangning space, we had 6 hangers and just enough room for them, the iron and ironing board are stored in the wardrobe - good to have them in the room but a bit of a pain for hanging stuff up. As others have commented the rooms were spotlessly tidy, including the bath room. Next to the wardrobe there was anothe cupboard containg free room safe, fridge and kettle with teas.Breakfast: We managed to get the continental breakfast included in the room which noow looks like a good deal, as breakfast was the least efficient part of the service at the hotel and paying the £15 or so per person would not have have impressed me for what was on offer. 1st morning they struggled to get tea and toast out - arriving some 20 mins after prompting and also prompting for buttter and jams. 2nd morning there seemed to be a change and everything ran very smooth - a credit to the young waiter who was serving us. 3rd morning normal service resumed, table had no side knives, milk or butter and toast only arrived after prompting again. My thoughts are that even the least sharpest of tools in the box should be able to get the hang of setting a table, asking guest tea or coffee and bringing out some toast. The waiting staff are not ver efficient at clearing tables either so it can get a bit crowded on your table!Breakfast was reasonable not a wide selection, 6 cereals, 4 cheeses, 4 hams, couple of breads, couple of fruit juices, fresh fruit and some yogurts. On the whole it was sufficient but they didn't seem to stock up the trays very regularly either - not a patch on a Raddisson Breakfast.Location: The hotel is well located for central London, the DLR is 5 mins walk, Tower Hill Tube station 3 mins walk, you have a Weatherspoons pub a couple minutes away, along with an All Bar One Pub, Pizza Express, Pret a Manger and Subway just round the corner as well. If you skip the breakfast option probably weatherspoons all day breakfast or something from pret would be a more cost effective option. I never used the freee WIFI so can't comment but think this is a great option to have.All in all the hotel is very good based on cleanliness, location and rooms, I would go back but am aware of the hotels shortcomings so may do it a little different. If they could work on their breakfast I would say it would be better value for money.	
Jul 6 2009 	Very helpful staff	My travel agent tried to tell me not to stay here because it is in the business district. I'm very happy that we did not take her advice. I is neat the tower of London and since we went to Wimbledon the underground direct line we just up the street.	
Jul 6 2009 	Very nice place and a good location	I stayed with my wife in the deluxe room.Pros- clean and modern design hotel- great location- nice staffCons- breakfast not worth the price, the cold bar is poor and the fry-up (eggs, sausage, etc...) takes about 15 minutes to be prepared- no minibar on the room (not even in the deluxe one)- construction site nearby, quite noisy	
Jul 4 2009 	Amazing Experience	Wow what a hotel! The room was spotless, the only downside was a lack of teletext on the plasma tv on the wall, however that is just being picky!The staff although not the best at English did well once they understood and couldn't do enough for us. Starting at the door the doorman took my suitbags from me and hung them up whilst we attended to the booking in at the reception. We were given 1st class service by 1st class people.We thought breakfast was included although this was not the case, perhaps something others should confirm with reception at check in.All in all a 1st class stay in a 1st class hotel.Will definatley return someday!	
Jul 3 2009 	Pleasantly surprised	I booked one of the value (basement ) rooms because of the low cost, and I was expecting one of the small but modern and clean &quot;W Hotel&quot; rooms. So when I walked in to a room much larger than anticipated, I was thrilled. The room itself is a nice size, plus there is an alcove with a small sectional sofa and a (I believe 42&quot;) plasma television. The room was clean, comfortable and spacious.The staff was polite &amp; helpful and the location was fantastic. There are tons of restaurants in the area and the Tower Hill underground station is a 2 minute walk away. We grabbed take-away breakfast at the neighboring Pret every morning then ate on benches in the lovely Trinity park (right next to Tower Hill station-- former home of the notorious execution site. There is a memorial there to Thomas More, Bishop John Fisher and the countless others that died there). I also suggest walking to the nearby St. Katherine's Dock-- we enjoyed both The Dickens Inn and Mala, a delicious indian restaurant.The Apex is primarily a business hotel so we did stand out a bit as tourists, but who cares? Highly recommended.	
Jul 2 2009 	A gem of a hotel!	I usually HATE staying in London hotels - feel ripped off by the prices for substandard accomodation and lacklustre service. Therefore, after years of searching for a hotel that meets my needs both when in London for business and for leisure, I am delighted to have found a hotel that bucks the trend and has restored my faith.The rooms are wonderful - so comfortable and modern and very well finished. The staff are always friendly and helpful and made you feel valued.The position of the hotel - so close the the Tower and the Thames - make it accessible for a relaxed walked around the city and offer a wide range of amenities.This is the only hotel I would recommend in London!	
Jun 29 2009 	Well taken care of...	My wife and I booked the Apex in London 6/25-28 in anticipation of our first ever voyage to England from the USA for a 5 day Rotary Convention in Birmingham, followed by 3 days in London on our own. I had done extensive research and found terrific reviews consistently in Trip Advisor for this hotel as a 4 star. Apex is 2 blks from the Tower Hill tube station and Tower of London. It was very clean and orderly which I cannot over emphasize, our room had a limited view of the London Bridge overlooking a small park and other buildings along with the king sized bed in the Superior King, we also had a sitting room and couch, with desk (all electrical was located here and had a mirror) and TV w/Bose Stereo (free 128 dvd library if you want it). Hotel rooms in GB seem to be smallish vs USA, but we were pleasantly surprised! I was able to unpack and put all my items away in well thought out side closet with drawers (my Radisson hotel did not have drawers so had to have my suitcase out). The amenities for full toiletries and coffee/tea with complimentary snacks and bottled water was well done. Again, I took note that they didn't just provide tea or coffee mugs, but cups and saucers! We were also greeted with white Terri Cloth Apex robes and slippers in our room, a journal for your London visit if needed and complimentary newspapers. There was a separate shower and deep tub, where normally you find these combined. Everything was well maintained, nothing appeared worn out, all electrical worked well. We had a fridge to use, if needed, and of course a safe. We had access to the internet and email with a hotel provided system, service was outstanding and concierge service was very helpful for first timers to the city. Restaurant was quite good (burgers are hand prepared and thick), and we were able to package a continental breakfast with each morning of our stay through Travelzoo.com, but hotels do not commonly offer such a package anywhere in London that I could find. I really had to hunt. Lastly, the hotel does offer some packages for dinner and theater discounts, etc, but we never took advantage of this as I had already made separate plans. They also had a large exercise room with equipment in the last level which we never accessed either. Very clean, accomodating and friendly service, professional appearance, good food and orderly. There were no surprises or hidden fees as we checked out. If coming from USA, bring 2 and 3 pronged electrical adapters - the desk had one 3 prong for me to use, but the 2 prong could not be used. We had to plug the 3 prong into the outlet, and the 2 prong in this adapter so U.S. 2 prong electrical devices could be plugged in. Oddly, GB hotels do not have any electrical in the bathroom by the mirror except for shavers so the hairdryer (hotel provided) and the curling iron for my lovely wife had to be used in the sitting room. At least there was a mirror there, as the other hotel didn't even have that. That aside, and mostly seeming to be a national reality rather than for this specific hotel, we highly recommend Apex City of London!!	
Jun 25 2009 	Quality good value hotel near the tower of london	I have to say that the staff were excellent and couldn't do enough to help us. The room was very spacy with good facilities.We ate at the bar and the quality of the food was good, if a little pricey (standard 4 star hotel prices).The hotel is very close to the tube making it relatively easy to get to the west end. You are also right in the heart of the tourist area for the tower of london. One advatage of the city location is it is quiet at the weekend.Would reccomend this to anyone. Very good value at £80 per night for a room.	
Jun 25 2009 	A comfortable clean and modern hotel	Booked the Superior King room for £110 for a Saturday night and got a really nice room with comfy large bed, large bath and walk in shower. Lovely and quiet overlooking a church with the tube station a short walk away. Will use this place again	
Jun 21 2009 	Excellent Hotel - 4star hotel at bargain prices!!!!	My girlfriend and I stayed at this hotel for a 3day break in London and I would happily recommend it to anybody looking for somewhere to stay in London. The hotel is located in a business district near Tower Hill tube station and so there is easy access to the centre of london, west end etc. The staff are pleasant, polite, helpful and extremely efficient. The rooms are spacious and well appointed with a large shower and seperate bath. The only downside to this fantastic hotel is the lack of ameneties open late at night, as it is in a business district, all shops close early! This isn't really an issue though, once you know about it you can just stock up earlier in the day!!!!! Definitely worth staying in!	
Jun 18 2009 	Excellent Hotel with faultless amenities.	Highly recomended to anyone booking a hotel in London. This Hotel is superb &amp; within a bus ride of everywhere significant to see or do in London. The staff are very proffessional. The hotel is faultness.	
Jun 16 2009 	Almost faultless	Stayed here on our way back from holiday, to meet up with friends in London, and we were very happy with the hotel. Quiet (for London), well situated, helpful staff and great rooms.The only detraction was breakfast - friends had praised the Apex hotels for their breakfasts but we had a very different experience. It took 3 requests for a pot of tea, the toast was stone cold, the table wasn't properly laid, the cereal 'selection consisted of cornflakes,branflakes and muesli, the pastry selection was minimal and the service generally poor. The staff spent too much time clearing and not enough time serving or replenishing; we were not happy.The rooms however, are excellent - spacious, well equipped and comfy (if a little warm - the a/c wasn't the best).We'd stay again, but only for the location and the rooms.	
Jun 14 2009 	First class	My partner and I experienced first class service at the Apex City of London Hotel. He booked it for me as a suprise romantic theatre weekend and I was not dissapointed. The service was efficient and friendly, not to mention helpful. The room we had was on the 5th floor. It was a coner room and was very spacious and the fit out and decor was very stylish indeed. I wanted to take all the soft furnishings home with me....and I have very discerning taste! The bed was confy and the area is quiet in the evenings so we had a great nites sleep. The bathroom had a very roomy shower cubicle which was big enough for two and a rather nice bath. I would def stay here again..if only to sample the gym downstairs which looked great and very underused. (It was empty when I went to check it out). Well done Apex, cant wait to come back.	
Jun 12 2009 	Fabulous Hotel	My husband and I stayed at this hotel last weekend and we would be more than happy to recommend this hotel to anyone. The whole hotel had a modern contemporary feel to it and the staff were extremely friendly and helpful and couldn't do enough for you. The room was clean modern with fabulous facilities, fridge, iron tea/coffee and plasma tv, excellent bathroom and luxury products which were complimentary.We had breakfast included in our stay and this was great too. Lots of choice and the buffet you could eat as much as you like!	
Jun 7 2009 	Superb hotel in a great location and great value too!	We stayed in a Deluxe King Room with a view of Tower Bridge, and thought it was very good value. The room was large, comfortable and very clean.As well as the advertised perks such as a Bose CD/DVD sound system, large wide-screen TV, bath robes &amp; slippers, separate bath and shower, good quality toiletries, fridge, safe, free wi-fi, free morning paper, etc. there were other little touches which we weren’t expecting, such as a free DVD library and a cute rubber ducky in the bath tub!If we were being hyper-critical, then I guess the only thing we might mention was that the “view of Tower Bridge” was a bit limited – we could see most of the bridge, but only quite small and in the corner of the window.All the staff we talked to were very friendly and helpful, and really did make us feel welcome. They checked us in early, helped us with directions, sorted out the stereo system when we couldn’t figure out how to work it, took our picture with the hotel’s green cow (an interesting artwork in the lobby), and were just generally happy chatty people.The full Scottish breakfasts we had, including haggis and black pudding, were very tasty and set us up for the day.The hotel is in the business district which means it is very quiet at night if you’re after a good night’s sleep, but it is only a few hundred yards from Tower Hill tube station so it’s easy to get about too!All in all we were really pleased that we chose this hotel, and will almost certainly be going back again.	
Jun 4 2009 	Will go back again	We were offered this hotel when the one we wanted (london Bridge) was fully booked - we were not disappointed. The hotel is a stones throw from the Tower of London and Tower Bridge and just a minute from the Tube at Tower Hill. Being in the heart of the financial district it is busy in the week but nice and quiet at the weekend. We had a standard room but to be fair it was much better than the name suggests, the rooms are very nice with enornmous beds and walk in showers plus bath, and air con, fridge, and safe.The continental breakfast is fine with lots of choice and was included in the price but the full english was over priced - you may consider booking room only as there is a Weatherspoons pub just on the corner of the road which does breakfast for £2.99; they had quite a bit of our custom over the weekend as the drinks in the hotel are overpriced.All things considered we would definitely go back again.	
Jun 4 2009 	Best Budget Hotel Ever!!	I have just returned from a one night stay at the Apex City of London Hotel, staying in one of their budget rooms. I was a bit worried about what the room might be like as it didn't have a window and was billed very much as a 'budget room'. I have to say that when I got to my room I was very pleasantly surprized to find the most luxurious budget rooms I have ever stayed in.I am one of the fussiest people there are and complain about everything so it is not often I am impressed, so hats off to the Apex. I will def stay there again and will recommend to everyone I know.	
Jun 3 2009 	Huge comfy modern rooms close to the City and Tower of London	I stayed here whilst at a conference in Old Billingsgate Market.The rooms are great, really big, really comfy, really modern. The bed was really comfortable.The bathroom was huge with big walk in shower and bath.Plasma TV, coffee making facilities, safe, wifi, ironing board, and all mod cons.Location is great for the city and tower, docklands etc.Breakfast was fantastic... huge range of delicious foods.I loved this hotel and would definitely stay here again on business or pleasure.	
Jun 3 2009 	Great hotel in London	We stayed 2 nights in the Apex London hotel and felt very comfortable.Clean, big and modern rooms with a nice bathroom (deluxe). Fair rates. Quiet street. Tube and bus station just around the corner as well as Tower Bridge and Tower of London.Great hotel for a weekend or business trip.We will come back for our next stay in London.	
Jun 1 2009 	Excellent value in London	Stayed one night in the Budget City Room. It was basically a standard room in the basement, so therefore no window. It was excellent value for a London hotel. The room was very spacious - a large bed, a L-shape sofa, coffee table, a desk/dressing table, massive TV, walk-in shower, large bathtub...However, the breakfast was disappointing. Expensive (£25+ for the two of us) and the food was terrible. The coffee was the worst I have ever had. Great location for Tower of London.	
Jun 1 2009 	Super Modern Clean Hotel - Stay here!!	Really super modern hotel and i'm picky.The room was very clean and modern/boutique style. The bathroom was clean and very lavish with a seperate shower room and a very large bath (this was just a standard room!).The room has expensive furnishings including a 40&quot; LCD TV with Sky included.I would definately stay here again for the value; this was £100 whereas a Travelodge would of cost me £85! I would definately pay the extra every time. I have also stayed at the Apex in Edinburgh which is just as good.It is also only literally a few minutes walk Tower Hill tube station, very close to London Bridge area. It has a restaurant/bar but if you want a cheaper lunch option then is a pret sandwich place just next door. Also has a All Bar One accross the road so there are alternatives.	
May 31 2009 	Great Hotel in a great location	This hotel is a very clean en modern hotel. It's location is just 2 streets away from the underground at Tower Bridge. Rooms are spacious en very nice.Staff is helpful and they even gave us a room at 9 o'clock in the morning when we arrived. Would stay here again!! Not the cheapest, but certainly the price worth it!!	
May 28 2009 	Wonderful Hotel!!	My fiance and I stayed at this hotel for 3 nights. The rooms are very modern, spacious, and clean. The bed is extremely comfortable and has a duvet cover. There is a big LCD TV, a fridge, iron and board, and closet. The bathroom is spacious and has both a shower and a tub. The toiletres provided were good quality (shampoo, soap, conditioner) and were in medium sized bottles that lasted us the full 3 nights. We had chosen the room with no windows to save some money and it didn't make any difference to us that there were no windows because the room itself was so nice and big. The reception desk was very friendly and offered us great suggestions for food - we were looking to try Indian food and were directed to one fine dining resturant Lovage which was wonderful and a cheaper alternative on Brick Lane street which had an abundance of excellent Indian restaurants as well. The location of the hotel is convenient - the tube station is only a 3 minute walk away and less than 20 minutes on the tube to get to any of the major attractions. Reception also stored our luggage for free when we checked out because we weren't travelling till later in the day and check out was noon. There is free internet access as well although we didn't use it - I think the hotel provides you a code to enter when you use it. Overall, I had a great stay in this hotel and would defintely return! For the price paid (about $140CDN a night) it was well worth it as the rooms felt luxurious to me!	
May 25 2009 	Stylish clean hotel with excellent service.	We took our 6 year old daughter for a weekend in London. Though ostensibly a double room, the hotel were happy to set up a sofa bed for her. The room was clean and stylish with an excellent bathroom (seperate shower and bath). Service in the restaurant was uniformly excellent, staff being particularly attentive to our little girl which always scores highly with me. An excellent hotel at a very reasonable rate.	
May 20 2009 	Great hotel in London - great value	Superb boutique-type hotel a few steps away from Tower Hill tube station. Very nice rooms, friendly staff ... worth the stay in London. Best value I have ever had in London!	
May 18 2009 	Customer service needs improving...otherwise great hotel	My friend and I stayed at this hotel on 2 occasions in May. First, I will describe what I liked about the hotel. On both occasions, the rooms we were given were top notch - spacious room and bathroom with excellent amenities such as iron &amp; board, hairdryer, lux toiletries and even a cute rubber ducky. The beds were so comfortable we had trouble waking up in the morning!Now the not so good. As we stayed during the weekends, it was a real hassle getting to West End / Oxford Street as the yellow (circle?) line was closed for upgrading on both occasions. We had to walk to Bank station, which was 10 mins away. Getting food was difficult as most places in that area were closed during the weekends. That being said, the east end attractions (Tower of London, St Pauls, etc) were easy to get to and Old Spitalfields market is a mere 15-20 minute walk away.Customer service definitely needed some polishing up. I wanted to make some calls to a UK mobile phone and called reception to enquire the charges (as the pamphlet in the room did not specify charges for calling a UK mobile line). Reception said they will check and call me back, but they didn't (I waited 15 minutes) so I called them again and was transferred to the concierge desk. The guy whom I spoke to was not sure but he said &quot;should not be more than 20 pence&quot;. So I made a 6 minute call and upon checkout, I was horrified to see that I was charged 4.20 GBP for the calls. That worked out to be 70p per minute! After explaining myself, the reception lady agreed to take the charge off my bill, although she did it in a most rude and unfriendly manner.All in all, a good hotel if you are coming for business or visiting the east end. Do check the tube schedule for any planned closures on weekends. If we had known that the yellow line was not operational, I doubt we would have chosen to stay at this hotel. It would also be better if the service staff showed more warmth in their smiles and attitude, and go the extra mile to help their guests.	
May 18 2009 	Truely exceptional	I have been meaning to write my review several times now. I have stayed at The Apex on several occasions for business reasons and we have had multiple room bookings. I find it a great hotel to stay at. Good mannered polite staff, lovely clean building throughout, very nice bedrooms, very clean and very well laid out, can't fault them. Nice bar, it is great the way it is all laid out ,open plan rather than being locked into a rooms. Love the idea of the Al A Carte service for Breakfast, means you get a nice hot fresh breakfast, also more importantly the hotel are not wasting money throwing excess food away. More hotels should be learning from this. I would recommend this hotel to anyone, whether you are visiting london on business or for a social event. There customer service is exceptional. So to all the staff and mangement at The Apex hotel keep up the good work, you are delivering a great product.	
May 17 2009 	Great Location for Business	This hotel is a great location for the business I am in, nothing is anymore than 5 minutes walk away. Service during breakfast is not the best, primarily it is a communication issue, they can't understand me and I can't understand them. Appreciate we all come from different language speaking countries but assuming english is the language of the country I am staying in it gets a little frustrating having to repeat requests 2 and 3 times.I am not sure why the Apex does not have in room movies, cost I would assume, but this needs looking at as not to many people me including want to walk downstairs to book a dvd out. Think this needs looking at as it is assumed by many 4 star hotels to be common place.Overall though I would stay here again and I also advise my staff to stay here, as although the comments above are 'nice to have's' they are minor in the whole scheme of things.	
May 17 2009 	Will definitely stay again	I chose this hotel after reading the review on trip advisor. Room was good. No flatscreen TV though. Bathroom was lovely and the toiletry products were excellent and not stingy size. The decor is modern and discreet. We had two twin beds and would have preferred a King but to fair we never asked to change so don't know if we could have. Liked the layout of the room as It made it feel bigger having a TV with seating area, almost like a mini suite. The room was not a bad size for a London Hotel.Staff were very efficient when checking us in and out. Bar staff were also good.The location is Ok, good for touristy stuff on South Bank and Tower of London. As it is in the city it is absolutely dead on weekends. We got caught out as there was lots of tube maintainence going on so the nearest lines (circle / district and Metropolitan) were closed. We walked from Bank, no more than 10 mins.	
May 15 2009	We Shall Return	My daughter and I thoroughly enjoyed this hotel. We appreciated the ambiance, the cleanliness, spacious room, lovely linens, and special bath products. The service was excellent and the location to the London Tower was exactly what we were looking for.	
May 13 2009 	Excellent base for an excellent weekend	Arrived early despite the best attempts of London transport. Very pleasant check-in and easy luggage storage. When we arrived back later, we found our room to be everything we expected - very clean, comfortable, really good shower, comfortable bed (no views though, but not expected).Eating locally was not a problem, only 5-10 minute walk from St. Katharin's Dock. Other establishments locally as well. Breakfast was good with an wide choice.Overall a very good London hotel	
May 8 2009 	weekend in london	Excellent location good service helpfull staffBreakfast is disappointing and expensiveRestaurant is overatedoverall a good location from which to explore london	
May 8 2009 	Great location staff and rooms!	I booked a twin room at this hotel through Xcapewithus, unfortunately (unknown to me)they ceased trading the day before my arrival. On arrival when I attempted to check in the girl on reception informed me that the reservation had been cancelled the previous day, she was very helpful and sent my friend and I off to the bar for a complementary drink while she attempted to find out what had happened. On discovering the cause of the problem she was most apologetic that there were no longer any twin rooms available and the only room she could offer us was a budget city room. She suggested that we try the room for one night and if it didn't suit she would see what else was available for us the following day.Despite the minimal natural light (these rooms are in the basement) we were very pleased with the room, it was very spacious with a super king bed, sofa, desk, huge TV and a fabulous bathroom. Our only gripe was that the bed was too firm for our tastes but only cos we are both side sleepers.All the staff were very pleasent and nothing was too much trouble for them. As for the location of this hotel, it's a 2min stroll to Tower Hill tube station and there are plenty of places to eat nearby. The wetherspoons on the corner does a great breakfast for less than £5!	
May 5 2009 	Once again an excellent stay!	We have now stayed at this hotel 6 times, over the past few years.Every time we have had an excellent stay.We have never had the same room, or even style/decor of room. I like how each has it's own individual feel to it.Our rate included continental breakfast, and we had a full english for £5 supplement.The staff were great, and can say no more other than look forward to my return in July.	
May 5 2009 	Very good hotel with excellent service	Very nice, clean and quite hotel in the city. Very friendly and helpfull staff. Good value for money. Will defenitely stay there again	
May 4 2009 	An excellent hotel offering 1st class customer service	I visited this hotel on a theatre break with 3 friends. We were celebrating a friend's 50th birthday and from the moment we arrived at this hotel the service we received was exceptional and professional.Rooms are fab:comfy bedspristine bed linenlarge walk in shower and bathfridge, safe, hairdryer, ironing board and iron in roomspotlessly clean.Breakfast in the hotel was included in our price and this too was exceptional, we were delighted by the service provided by Paul (manager of restaurant?). Nothing was too much for him or his staff who made our breakfast a very pleasant and enjoyable experience. Thank you.We did not have a view but it did not make a difference to us as we were only in our rooms to bathe or sleep. We had an &quot;ouch&quot; moment when we purchased a round of 4 drinks at the bar and the bill was £30!!!In all, this is a little gem of a hotel just a few minutes walk to the tube station at Tower Hill, so if you don't mind being a wee bit out of the biz, then try this hotel - you will not be disappointed.N.B.Buy an OYSTER card to travel on London Transport - saved us a fortune.Go and see &quot;WICKED&quot; at The Apollo - a fab show, even 2nd time around!	
May 1 2009 	Not sure how's it so high	I stayed here for one night. I couldn't fault the hotel. Unsure why it's so high on the list. Good value for Money, location good and very clean. Rooms on the small side but then again it is London	
Apr 29 2009 	Great value for London	I can recommend this hotel, as it has a perfect, quiet location near the Tower and in the heart of the City of London. The room was very clean and nicely decorated and good sized for a London hotel. The only bad thing was the sound of the air-conditioning even when it was turned off!	
Apr 28 2009 	great hotel	had a 2 night stay at a great hotel with very freindly and polite staff, exellent breakfast, upgraded to a deluxe room (worth every penny) extra room made huge differance, 2 mins from tube &amp; public secure parking would recommend this hotel to any one and would return any time	
