	Nice hotel - great value	After checking the reviews to try to find something not too expensive in this area, I decided to book the City Hotel. I was not disappointed. Entering our twin-bedded room on the 4th floor I thought I was going to pass out with the heat, but I was able to turn the very efficient radiators down to a comfortable level even though the control knob was very stiff. It was surprisingly spacious, clean and with a nice view of the City lights. The beds were a little small and on the hard side, and I would have preferred duvees rather than sheets and blankets, but still comfortable enough, and reasonably quiet. The bathroom was small, but a surprisingly enjoyable shower for a small non-power-shower rose, so no complaints. I didn't have breakfast, which would have cost an additional £10. Very good value for a City hotel!	
Aug 3 2008 	Nice hotel but loud music	Got this room last minute for £50, just stayed for one night. Was really impressed with the room for the money. There was power shower, bath, big bathroom, tv, fridge, big room with 3 beds (I was staying in single room).Only prob is the music, the place is located on top of a nightclub playing loud music until the early hours - plus my room was at the back above the beer garden so loud noise from there too. It depends if this would bother you though - I think if you were going out anyway and only coming back late or if you were having drinks anyway you'd prob sleep through it as the room was a bargain for the money.Is quite a busy, lively area and only couple of minutes to aldgate east tube station. All in all was an enjoyable stay, but would have been perfect if it wasn't for the noise - I wouldn't let this completely put you off though.	
Jul 19 2008	Invasion of privacy	I stayed at this hotel in May and was shocked to discover the lack of professionalism shown by the hotel staff. Last weekend a guy that i had been going out but I had finished with at the time I was staying at the hotel revealed to me that he had asked the receptionist staff to spy on me.To my horror he told me he had obtained a dvd of the hotel surveillance recording which monitored my movements. Apparently he knew the staff well and had asked them to watch my movements. He was not a hotel guest but was there using the hotel bar with work colleagues.The receptionist staff also fabricated a story against me in the aim to discredit me and the guy believed their lies.As per data protection act and code of ethics, hotel staff should not have given out such sensitive information.	
Jul 9 2008 	Stay Away - Book another Hotel	This hotel was horrible, the location was out of the way and if someone said where are you staying and we answered, they would reply with shock and horror! The sheets were wripped so we knew when they changed them, the beds were uncomfortable, the staff in the lobby was not helpful at all. The subway station was closed for maintenance during part of our stay which made getting around even harder. The hotel was not only noisy but all night long we heard sirens. One night the club downstairs put black plastic bags over all the doors and windows so you couldn't see the party going on and Security was 'patting everyone down' before entering. Seriously, spend more money and stay somewhere else. The City Hotel was the Sedey Hotel. We needed a cab to go from the Hotel to the airport since the subway was closed and was told the price ahead of time but once we were in the cab on our way we were told the price was almost double what the hotel staff said it would be.	
Jun 28 2008	very disappointing	Stayed here for 1 night in June '08, room was right over the bar/nite club in the hotel and despite being assured we would not be able to hear thew music inthe room, it was as if we were in the middle of the actual dance-floor! Staff were unconcerned when we complained and we only managed to get some sleep when the music finally finished around 2:30am.Room was spacious but the interior designer must have been having a bad day when he got this one - bizarre is all it can be described as.Safe to say we will not be back.	
May 29 2008 	Fantastic for a short stay!	I stayed at The City Hotel one night - yesterday, actually, due to it's convenience to a shooting location, as I was taking part in some filming with quite an early start the next day. Due to my location 150 miles away in Telford, I required to travel the afternoon beforehand, stay the night, and then check out the next morning for the filming, taking my little overnight bag with me to the shooting location - so really, all I required was a hostel. However, if you've ever visited London, you know not to book into hostels, unless you like sleeping in very secure trousers, with your cash strapped all over your body in various places (although this could then make you a form of running target, where tramps chase your being to grab wads of cash), and therefore, I decided to spend a bit more for my one-night accomodation!Henceforth, The City Hotel beckoned! Originally, I was going to stay right up near Bethnal Green station at The City Inn, due to it being considerably cheaper (I payed £75 for a single room with ensuite bathroom - which actually was a room with 3 single beds, but which I had to myself, thank the Lord! - whereas a room at The City Inn would have been £44. It would have been cheaper to, because it was closer to the shooting location up at Claredale Street, and I wouldn't have had to spend more on travel, but they didn't accept cash, and The City Hotel did), but I plonked for The City Hotel, due to the reasons in the brackets, and because it held considerably better reviews. Breakfast wasn't included in this rather hefty price though (you have to buy breakfast at a seperate charge, at around £6.50 for a continental breakfast, which consists mainly of ham. Orange juice is £1.50!), but I stayed there anyway.It was pleasant enough, I have to say! I arrived with my overnight bag at Aldgate East tube statiion, and the hotel was just a short walk up the road, past Burger King and KFC, and on the direct road to the left. You could see it a mile off, and I felt incredibly posh when I stepped into the foyer with marble floors! I've never actually stayed overnight in London either, so maybe this was somewhat of a novelty, but it's always lovely! I then checked in - to which a French-sounding receptionist woman helped me, although she couldn't really speak much English, and went on up to my room, number 403 (fourth floor, third room along). It was lovely, actually. Smelt highly of disinfectant, the beds were clean and white, there was a comfortable-sized bathroom with a shower, large bath, sink and obviously, a toilet, lovely little toiletries including a Lancome mini-moisturiser bottle (!), and in the main part of the room there was a television with five working channels (always a plus point, too. Don't you always find in hotels the television's never work?!), a kettle, a fridge, and a large vanity desk. There was a large wardrobe, a bookshelf, and a phone, and of course, a menu, with £5 off at 'The Lane', the hotel's incredibly pricey restaurant (£21 for a two-course meal, for one person! Take my advice, go and see the area and eat out! Who wants to be stuck in their hotel anyway, when your in the UK's finest city?). There's also a safety deposit box in the top of the wardrobe, but I never bother with such things, because I'm a bum :)Anyway, I unpacked, and suitably went out into the area, to see London, and revel in the few hours I had to spare before my filming commenced. The hotel's location is actually fantastic - Osborn Street leads right onto the infamous Brick Lane, which is the hub of London's Asian culture and sports so many curryhouses you might well convert to Islam, and I saw Carrie Grant walk past the hotel (the red-haired judge off Fame Academy!). And after I'd revelled in the many attractions East London has to offer - such as Brick Lane, it's bagelhouses (a man in a greasy spoon named Sams Cafe, up on Bethnal Green Road, following on from Brick Lane, told me Brick Lane is actually nicknamed 'Bagel Lane', because of it's Amsterdam-like 24-hour bakeries. And God, do they smell divine! Cheap, too - around 60p for a large slice of cheesecake), Bethnal Green Road, Vallance Road (where the Krays were born and raised!), the Blind Beggar, Tower Hamlets and all it's markets and typical London culture (it isn't as rough as quite made out, go visit, I encourage it), and of course, convenient for Whitechapel, the Jack the Ripper walks, and all the East End frivolities and history which encompass it! The tube's only a street away, as I mentioned before, so this was all fantastic! On the down side, the beds are absolutely rocksolid. I'm not talking 'hard' either, I'm talking, as if they were from The Flintstones and they are actually made from slabs of rock. They were so uncomfortable, two days later, I still have back ache, and I didn't get a wink of sleep. But I was only there one night, so I really can't complain with all the positives. However, I would re-consider your accomodation choice of The City Hotel if you were staying more than two days - I don't think any doctor can sort out your back after that!Remember, there's no breakfast either, which is quite annoying. I'm nothing but a grump without breakfast, and as I had to leave the hotel at 7.30am due to my filming (check out is actually at 11am), I was quite peeved. The staff aren't very helpful either. It's not their fault that their English is incredibly poor, but they just shouldn't be employed if they can't speak fluent English. Maybe it's my rather strong Northern English accent that throws them from the usually London twang, but this still shouldn't be a problem. I am the customer, and I don't expect to have to spell out words so that they can annoy me even furthur by saying they have no idea where Claredale Street is, they do not have a London A-Z, and they are unsure of bus and tube times, and do not know where to look for them. This was quite a problem, as my shoot was immiment, but fortunately, I caught the bus outside and the busdriver kindly told me to get off at Bethnal Green station and walk it from there. Londoner's really aren't as unfriendly as they're made out. I've visited quite a few times and I've never come across abruptness, but of course, be careful. It is the capital city, and indeed, this is the East End.As a whole, a pleasant stay. I'd stay again if hopefully, I take part in more filming in that particular area, but I wouldn't advise it for any longer than a few days. Make sure you know your directions too, and take quite a fair bit of money if you plan to eat at the hotel! Breakfasts are easy to locate in the many cafes, bagelhouses and greasy spoons in the area though, so I truly wouldn't bother with it. Still, fantastic location, and nice and clean, and what more can I ask from a £75 room?	
May 17 2008 	HELL HOLE! - Mr Gormez The so called Manager!	We arrived at the hotel and room looked OK for the price of £100. We went out for the evening and returned around 12.30am. The nightclub next door was loud and busy, however knowing about this before we went we was not too concerned. We was woken at 3.00am by fighting directly outside the hotel. This involved around 100 people and that is probably under estimating! It was like a war zone and my wife was horrified to see people on the floors heads been used as footballs! Bottle used as weapons and it was as if all the locals had also come out to join in. Masses of police and ambulances arrived and after an hour or so order was restored. We failed to get back to sleep after this as our sleep had been broken and my wife was disturbed by the acts of violence we had witnessed. We went to reception at around 9am to ask to see the manager and was told he was due in at 11am. We went out to grab something to eat and returned at 11am. We was then told he was in a meeting. As we had a train to catch we left our contact details and asked if he could ring us. In the end my wife ended up ringing him the Monday after the Saturday night. She explained the situation and voiced her concerns and the response was &quot;It is nothing to do with me, what do you want me to do about it&quot; In an obnoxious tone. Fair enough he could not help the riot that night, however a courtesy call or a part refund, well basically anything other than being rude and totally arrogant. This guy needs sacking and quick before he tarnishes the reputation of this hotel even further.	
May 8 2008 	Not sure what to say	I am sat in the room now as I write on my laptop. I booked the room through Late Rooms and it was the only one under £100 pn within 1 mile of where I am working (Aldgate/Tower Hill). I am here midweek and cannot vouch for week ends.Location is fantastic. Walking distance to the City, Tower Bridge and Tower of London etc (10 mins) and situated at the southerly end of Brick Lane so no shortage of places to eat and all of the character that goes with the Indian Quarter.The standard Tariff for the room is rediculous for the area (£150 pn) but there seems to be plenty of sub £100 deals. I've paid £275 for 3 nights.They are in the middle of an extensive refurbishment and the hotel is a confusing mix of boutique/up market accommodation (completely out of place for the area) and a building site.The frontage is respectable but the foyer is plaster and wires. The reception is staffed by non too enthusiastic Europeans or maybe Indians - not sure. The lifts are tiny and not all service all floors which was confusing. The corridoors are worn and tired looking but are probably the last things on the list to be modernised. Rooms oposite mine are boarded up at night with workmen going about their business during the day.As observed by other TA members this is a noisy street with lots of activity, sounds and music outside throughout the evening and into the night, however, that is part of the character of the area so join in.Thats the worst bits. There is no in between!The good bits are fantastic. The location as mentioned before. The good sized room is done out with modern wooden flooring, large wall mounted Digital Freeview TV, very tasteful, modern (if minimalist) furniture, fridge (not stocked), large fan, airconditioning, very comfortable and clean bed (bedding changed daily as far as I can tell) and there is a clean working en suite bath/shower/toilet. Loads of plug sockets and lighting.The bar is very modern and comfortable and looks onto the street so you can sit and watch the amazing mix of people walking by.Breakfast is served in the bar at very reasonable value with Continental and Full English Options amongst others ranging from £1.50 to £6.50 (the pork and leek sausages are very tasty) but there is further coice of cheaper al fresco or under cover breakfast oportunities round the corner on Whitechapel Road. Great on a sunny morning.The Bar Menu in the evenings is good too at reasonable prices but if you fancy something different and exclusive go next door to The Lane restaurant which seems to be part of the same business (you get a £5 voucher to spend in there). The quisine is Carribean and exceptionally good. Not cheap for the area but competitive for the same standards elsewhere in London. They boast celebrity diners over the 3 months since they opened including Alicia Keys and Boyonce and I understand the chef Collin Brown is also well known.Finally one futher downside. I am here in the middle of a mini heatwave in May! The room temperature is very uncomfortable and with the windows open the street noise is very invasive (I am on the first floor). Having the fan on all night leaves you with a head ache and the airconditioning unit works for about 20 mins before failing with an error code. It may be that all of these problems are on the list of improvements still to be done, on the other hand it may indicate that quality will not be maintained.It will be interesting to see what other people think once the work is completed.	
Apr 9 2008 	Really Not Great!	Not been very happy with my stay here at all. When I turned up there were three receptionists of which none were really interested in speaking to me. The original room they put me in was at the front of the hotel which was noisey and just horrible!I complained and was moved into a room which was at the back. The &quot;kitchen&quot; has no sink and is just an old damaged worktop, the bathroom is missing tiles and bolb really poor. The main bedroom seems to also back onto the service area so really noisey at 7.30 when staff are banging up and down the lift!There is also a funny window the is kind of blacked out between the room and service area (I am not joking!) so you can see people walking around!!!!!The fire exit plan is not clear.... I could go on and on and I believe they were proud of this room!Honestly with the area this hotel is in I would not recommend anyone staying here no matter of the cost and it would not shock me all the good reviews are planted.Think I have some photos so will look for them.	
Mar 1 2008 	Great Location for getting around	This hotel is such good value for London. If you book in advance on Laterooms you can get a twin for £65 or a single for £55.During February 2008 I think the hotel is in the process of refurbishment.The rooms are a good size, warm and are en-suite. The beds are comfy, I have stayed here a number of times.The great thing is that you get a full size fridge in the room and plenty of tea and coffee.The bathrooms are big enough, showers are powerful but the fittings are a bit wobby. Osborne Street can be a bit noisy early doors but noise will be an issue in most London hotels.The hotel is situated 2 minutes walk from Aldgate East on Osborne Street which turns into Brick Lane. This is predominantly an Asian area and you are so spoilt for choice if you fancy a curry.As with alot of areas in London you need to be aware at night (no worse than alot of areas) but being such a short walk from the tube is a bonus. I would say this hotel is a 3 star, it isn't luxurious but it is ok, above the standard of alot of backpacking hotels and great value for London. Staff are very friendly and the bar and breakfast looked good. I have no hesitation in recommending this hotel.	
Feb 17 2008 	CIty hotel	We booked this hotel through last min.com for £110 for 2 nights.it cost us £40 to park the car at the hotel-we though that was included in the cost of the room but so came as quite a shock! The hotel is located near to a tube station which it good but i have to say i did not feel safe walking from the hotel to the station especially at night. The room was ok nothing special. What i didnt like was at night as i was trying to sleep the constant noice of police sirens this did not help my already formed opinion that this was not a great area. We chose not to try any of the local resturants so can't comment there however there was a nice looking chinese next to the hotel. Have stayed in london lots of times and for cheaper and this was the worse hotel so far.	
Feb 11 2008 	Worst hotel I've ever stayed in	The pictures look nice but don't be fooled. There is a nightclub on the ground floor that goes on until 3am. Even though we were on the 5th floor the room was rocking...The guys behind the desk were rude and very very unhelpful. We ended up leaving and wasn't even offered a refund. The rooms are very very basic and haven't been refitted in (guessing) 20 years. Carpet is worn. Just a very bad experience.	
Jan 30 2008	Good location but above a nightclub that is open till 6am!!!!!	We stayed at City Hotel on a Saturday night.....which was a bit of a mistake!!! Our room was above a nightclub that was open until 6am!!We were out ourselves until about 3am, and by the time we got back to our room the nightclub was in full swing and the noise was a bit much.The club closed at 6am, and then it took another hour before everyone from the club left the street.It made sightseeing the next day pretty hard when we had only had a couple of hours sleep.....check out is at 11am.The room itself was roomy and clean, just a shame about the noise....would not go back again.	
Jan 16 2008 	alright hotel bad location	myself and three friends recently stayed in this hotel for one night whilst visiting london. the location is terrible, if you like the ghetto then your fine, we however, being four young women, found it to be very unsafe and shabby. the hotel looks very out of place here. upon arrival we were greeted with a less than impressive welcome, the staff bearly spoke english and were very rude. at first we were given the wrong room, so we complained and they gave us a different one, which was still not the room we had booked. we booked an executive quad room off their website as the pictures looked fantastic, in reality, we were given a family room which was absolutely nothing like the photographs and the decor left alot to be desired. the hotel was undergoing building works and we were awoken by very loud banging and drilling. having said this, the bedding and towels were all clean, i suppose we got what we paid for and the hotel itself wasnt all that bad, but i would deffinately not stay here again, nor would i recommend it to anyone.	
Jan 3 2008 	Nice enough	We stayed at City Hotel for 2 nights. We chose it mainly due to the low price. The neighborhood is pretty shabby, and the rooms are not very fancy, but we spent most of our time discovering the rest of London anyway, so we really didn't care. After all, the hotel is nice enough if you are just looking for a place to get some rest in between your sightseeing. However, if I was to go back to London, I would choose a hotel with even better location.	
Dec 4 2007 	The worst hotel i've ever stayed in	Me and three of my work friends stayed at this hotel for one night after our christmas party in a family room for 4 adults and it is possibly the worst hotel i have ever stayed in, when we arrived to check in the staff were short and not very polite.As soon as we stepped into the room there was a strong smell of damp and the floor boards were curled up at the corners and the decor was very dated there was also damp patches on the ceiling.When we arrived back at the room two of the beds were absolutly soaking wet, there was water dripping from the ceiling and from the lights, the beds were so wet we was unable to sleep in them, when we called down to reception they didn't seem bothered at all and told us that the hotel was fully booked so we wasn't able to be moved, one of my friends had to sleep on the floor.In the morning a member of staff came to inspect the room but didn't apologise or offer any explination, when we checked out i asked for a refund, they didn't even question it so they obviously knew about it but wasn't going to offer us any refund or discount.At no point was we apologised to or offered any kind of explination on the matter.I would never recomend this hotel to anyone and i would never stay here again.	
Dec 3 2007	Night club versus Hotel	The rooms are clean, reasonable size &amp; general facilities are Ok.The main issue is that a nightclub is situated on the ground floor of the hotel &amp; operates every night. It is not so much the ( music emanating from within the club but roudy patrons leaving in the early morning hours (1.00 - 6.00).Management need to decide if in the club business or hotel business, both are not compatible. Issue raised with management and little interest or concern shown.Cacelled further booking and do not recommend.	
Nov 21 2007 	No no nope!	We stayed in the City Hotel in September of 06 and found the hotel to be much less than expected. From the photographs on Hotels.com the hotel looked fine, but there is a vast difference between photos and the actual rooms. The establishment is tired and in dire need of remodeling, but due to the neighborhood it is in I doubt that this will ever happen. The view out our second story room window was of an abandoned building with a pile of trash and junk deposited in front of it. Charming!The room was clean, but there as no air conditioning and opening the window was an invitation to the aromas of curry and the noises of Whitechapel. I personally like curry, but the noise was not acceptable. We didn't see any bugs.The breakfast buffet was fine and was included in the room charge of $155.00 per night. The hotel was close to the Ripper tours and the Underground. Aldgate station is just around the corner. Our room was huge by European standards and I do have to say that there are some fine Indian restaurants in the area. Next time we are in London we will find other accommodations.	
Oct 26 2007 	Great location super value on Brick Lane	The City Hotel is one minute from the Aldgate East station, just off Whitchapel Street on the trendy Brick Lane. It's an old hotel that's been modernised many times, and some of the decor and fittings seem to have been missed on sucessive refits. But it's in a great location, the room we had was large and with a view over the street onto the 'Pickle' a couple of blocks away. Service was very good, and although all the staff seemed to be East European, with somewhat erratic English, their willingness to help made up for the amusing (sometimes frustrating) conversations. Good basic breakfast restaurant, and the adjoing bar is busy at nights. There's dozens of fantastic Indian/Bangladeshi restaurants within five minutes walk up Brick Lane. And more than a few wild night spotsAs London prices go, this one is cheap. Better value for money than most in central London.	
Sep 29 2007 	Grunge Grunge Do not stay here	This is an awful hotel. It has no connection with The City other than being in sight of some of the taller buildings. It would more accurately be described as the Bangla Hotel. It is en route to Brick Lane.I paid for 3 nights and wanted to move out after one Staff would not refundDidn't see bugs... but would not be at all surprised... see previous reviewDecor was tired and run downBad Indian Music was playing loudly all day from a nearby buildingSafety Handle in the Shower came off in my handThere is a vacant lot across the street full of abandoned washing machines and fridgesAccording to a taxi driver there was a bomb explosion some years ago outside which may be the reason for the vacant lot	
Aug 24 2007	Hmmm ok.......	Stayed here for one night.The hotel is located near to Aldgate East station, so good location.But the area around the hotel is quite 'dodgy' looking.Streets not clean etc I didn't like walking back late from a night out back to this hotel.The staff was pleasant.The hotel itself as very clean.Stayed in a double room, which had an extra single bed, i guess that will make it a triple.Room was large and clean, and had a fridge in it.I was on the fourth floor and stayed on a Thursday, so never got to hear the noise from the club beneath.The hotel is undergoing some refurbishment, so if u plan to be in your room between 9-5 then its gonna be noisy.Being on the fourth floor, i had a good very of london, after looking thru the scaffolding.The beds were quite comfortable and the night was hot. I tried to leave the window open but the noise from the traffic made it difficult. But the room had a standing fan, so it was ok really.I slept pretty well.Bath/shower was powerful and clean.Breakfast, full was included in my deal. Breakfast was served in the club, which was great, nice room/ambience and music(soft) as u ate. Breakfast wasn't buffet, u ordered and they brought it out. So its pretty standard but tasted good.Despite the surrounding area, looking like a dump.....there are loads of indian restaurants located close to the hotel.I ate at saffron, which was pretty good. Hmmm not sure about this one, I thought all in all, the hotel was ok, but because of the surrounding area, i wouldn't stay at this hotel again.	
Aug 21 2007 	Very unpleasant	Grubby.Old fashioned.Noisy.Not recommended.I do not need to say more.	
Jul 11 2007 	multiple problems	The hotel extends out over the night club next door, Cafe Suki. Our room was on the first floor right above the club. Friday and Saturday night it was impossible to sleep before 3AM. BTW, did you know that, when you filter out all the high frequency stuff, leaving only the bass drum, modern music all has the same incessant beat at essentially the same tempo?The wireless Internet service was spotty. The signal seemed to come and go producing frequent disconnects. Multiple complaints to the front desk revealed that it is probably always like that (they didn't seem surprised) and that they could not possibly improve it.Our room (112) had 3 microscopic beds (genuine singles, not even twins) which were very hard. Sitting at the small desk in the room, there was at least 3 inches between the back of my chair and the foot of the bed.For a Yank, the price of $275/night seemed outrageous....but it is London.On the good side, the front desk girls were pleasant and the place was pretty clean. Also, if you like Indian food, you're in the heart of that district on Brick Lane (Osborne turns into Brick Lane just north of the hotel).	
Jul 6 2007	Shared my bed with bugs	Great location and fantastic value and the room seemed to be spotlessly clean. It wasn't until the morning that I realised I'd been biten all night by beg bugs.Needless to say this will be my first and last stay.	
Jun 28 2007 	Tired and unhelpful	Recently stayed at the City Hotel London on Osborne Street, chosen due to its excellent location for that part of town. However, was deeply disappointed by this hotel - the decor was tired and in need of serious TLC, particularly in the rooms. My room had tired, cracked and damaged floor, the bath panel was unattached revealing a crust of dirt underneath, the shower head was filthy, the room corners were filthy, and curtains stained. On arrival, some of the staff (though not all) were unhelpful. It reminded me of an old-style backpacker's hostel, though the price - £130 - certainly wasn't. The hotel was busy with tourists, which made me regret that this would be their experience of a city London hotel. Duly checked out and found a much cheaper and spotlessly clean room at the Ibis round the corner (lacking in character yes, but clean and good value). I was only on business, so it didn't matter to me hugely, but if it was part of my holiday, I'd be pretty fed up with it as it is now. Hotel needs some serious updating to be worthy of its room charge.	
Jun 23 2007 	Awful	My wife and I stayed here for two nights in order to see a show in the West End.We arrived on the Sunday to find that both the bar and the restaurant were shut - I chose this hotel specifically as it had both to save us having to go out for food. The room was reasonably clean though had mysterious marks on the carpet and just outside the window was full of cigarettes and fast food cartons. My wife commented how the tiled bathroom floor was dirty and showed me the soles of her feet after her first foray in there.Both nights we were kept awake by street cleaning, passing sirens and the stench of fast food coming from the nearby Indian food outlets. I can't comment on the hotel food as we didn't feel like spending an additional eleven pounds for the continental breakfast. Luckily a pleasant sandwich shop next door provided for us in that regard and again for lunch.I'm sorry to say this hotel had no redeeming features at all!	
Jun 16 2007 	Just Plain Weird	This hotel was really weird, in that it was a mixture of unexpected good things and terrible general day-to-day things. First I booked and paid in advance, but when I got there they tried to make me pay again and were very unhelpful and downright rude. My room was very large and clean, which was great, and there were lots of complimentary quality magazines in my room, which was great, but otherwise it was really, really dingy and the coffee facilities were dirty. Bathroom was also very dingy. I can't put it into words, but I felt very strange being in this hotel and couldn't wait to leave. One good thing was a terrific view of the gherkin building from my window. I only stayed here because I needed to be in Whitechapel for business and the Ibis was full. I wouldn't stay again.	
Jun 11 2007 	Good value for money. Convienant location.	We stayed here for a recent short break. After reading review on Tripadvisor I asked for a high floored room when booking incase the club was noisy. My husband and I has a 3rd floor room over looking the front. Ok, the views aren't great but we spent little time in the room. We were surprised by the large room it had a double and two single beds. It was basic but clean. The hotel location was so handy. Only five mins from the tube station which serves several lines. We enjoyed a great meal on Brick lane. You must try the 2nd Bagel shop from the hotels Salted beef bagel it was delicous. It's about 15mins walk from the hotel but worth the walk. The club/pub under the hotel in nicely decorated and even on the Friday night we didn't hear any noise from it.	
May 31 2007 	Excellent value in grungy area.	Away from the tourist areas, this is a good value hotel moments from the City at the end of Brick Lane. I personally love the area, though overseas visitors may find it a bit tatty. With a tube station (Aldgate East) just round the corner, there's no need to splash out for a West End hotel. And at the end of the evening you can take advantage of the excellent choice of curry houses in Brick Lane and saunter back to your bed.The rooms themselves are surprisingly spacious considering the built-up surrounding area. The staff were pleasant, and with internet access, free newspaper, tea/coffee making facilities etc, this hotel is well worth the money.	
Mar 10 2007	Still very good value	The City Hotel is our regular base when visiting our daughter, who is living in digs in Stepney. It's probably not ideal for conventional tourists wanting the West End, but if you want the City or East End it's great.Rooms vary from big to vast - the room we had recently would accommodate a 2-bedroom apartment. The photo shows the double plus twin beds and sofa, it doesn't show the wall devoted to wardrobes, dressing table &amp; TV, or the kitchen area with fridge plus two armchairs &amp; coffee table! There was a full bathroom with a generous supply of toiletries. All that for less than £60 per night for the two of us - pretty good for London.The room was spotlessly clean, as is the hotel as a whole, although the corridors always smell of cigarette smoke. The staff were polite, efficient and helpful (eg when I needed to make an emergency repair to trousers).On the down side - be aware that Saturday night is disco night in the bar downstairs, and it goes on until the wee small hours. Bring earplugs - or stay mid-week.Also, from past experience the breakfast is adequate but not wonderful - we didn't bother with it this time.Big attraction for us (though again, this wouldn't suit everyone...) - just along the road is Brick Lane, 'Curry Heaven'. The Shampan Restaurant is the best, we reckon. The whole area deserves a wander round in daylight, there are still traces of the original Huguenot settlers and subsequent Jewish community,it's a fascinating and rather neglected bit of London's history.It's worth shopping around as rates vary enormously between different internet agencies.	
Feb 22 2007 	Good but Noisy	This hotel has definite benefits. It's cheap and close to an Underground station. It's near Brick Lane and the Aldgate East station is just around the corner. If you love Indian food, there are plenty of great restaurants nearby. Also close are two different grocery stores. The room was clean, comfortable and surprisingly large for European standards. The bed wasn't fantastic, but wasn't bad either. We had a mini-fridge which was very handy. Breakfast isn't impressive, but there are a lot of caffes nearby where you can get a full English breakfast cheap. The view isn't great, but you really can't beat the price. My only complaint is that the club downstairs is loud. We were on the second floor and could hear the music in our room. It's not a problem on Sunday, and stops at 11 pm Monday through Thursday. The problem was on Friday and Saturday when it goes on until 3 am. However, when we complained the hotel staff took great care of us. They gave us another (bigger) room on a higher floor at no extra cost for the rest of our stay and even threw in a bottle of wine. I'd definitely stay again, but specifically ask for a room on one of the higher floors.	
Feb 22 2007 	Great Hotel in London	Wonderful, helpful staff, spacious and sleek room, FANTASTIC location - easy to walk to most attactions but on a quiet street which allowed for great rest. The breakfast was very good.	
Feb 19 2007 	Not amazing but comfortable and very good location	We stayed one night at this Hotel. Room was very spacious - maybe it required a bit of updating, bathroom was ok, pretty clean. Overall hotel was ok - counting on fact that we only slept there and we were mostly walking and sightseeing. We flew to Stansted Airport, then train connection to Liverpool Station. This hotel was located only 10 mins walking from this station and staff was very friendly and allowed us to leave luggage at the reception as we arrived before room was ready early in the morning. We found it very useful. If you just expect economy, clean room that you'd like to sleep in and not palace - I would recommend this Hotel.	
Jan 5 2007 	Not perfect but incredibly good value	After having read some of the bad experiences other guests had had, I was somewhat nervous before I got to the City Hotel. However, in the end I was very pleasantly surprised. I paid an extremely reasonable £50 to stay here for one night - and although I booked a single room, the room I got actually had a double and 2 single beds. My night wasn't quite as wild as to justify them all, but it was brilliant to have a large room and plenty of space to spread out.The room was CLEAN - from carpets and corners to sheets, I do tend to look closely, and there were no problems there. The bathroom, too, was very clean, and nicely decorated.Okay, there were glitches. The curtains were hanging off the curtain rail for a foot or so, so it was a bit rough-looking and I couldn't achieve perfect darkness (however, on Brick Lane and with the lights of the Gherkin shining down this is unlikely anyway. You're in the City!). The TV in the room didn't work - it seemed someone had nicked the batteries from the remote control, but even when replaced, it didn't work. However, the staff were extremely helpful over this, and within an hour had replaced the non-functioning set with a brand new (bigger!) set. They were friendly and helpful throughout.There was also a bit of trouble with the door lock, which kept sticking, meaning I had to get help from the (still helpful) staff more than once to get into my room. Oh, and the seal around the bath plughole wasn't properly sealed, so a bath gradually leaked out down the drain when I was in it.But look, for the money and the location, it was absolutely brilliant. The staff did what they could for every problem, and couldn't have been nicer. (They are still repainting, by the way.) All in all, I would definitely stay there again when visiting London. Having lived in London for 7 years, I know what kind of thing you can expect and for how much money. This was an absolute bargain. And no sign of any cockroaches :-)The breakfast was okay - nothing very special, but fine, and hosted in the bar next door, which is quite &quot;cool&quot; (as I believe the young people say). Best way of getting there is to get to Aldgate East tube - it's literally 2 minutes walk around the corner.	
Nov 24 2006 	Are you really in London here?	Accommodation was ok as regards beds &amp; cleanliness. Hotel staff were a bit indifferent, with several reception staff seemingly chatting in russian. They were, however, helpful when we left our luggage for several hours at the hotel, since our flight was way past check-out time, and they did book us a private car (not a taxi) to take us to Victoria station for our departure flight from gatwick.The restaurant, where breakfast is served, was being refurbished during our stay. The meal itself was adequate but rather disappointing.Hotel location is near to tube &amp; to Petticoat Lane Market. The area is an ethnic south asian enclave - heaven if you love curries (which we don't!)The area right in front of the hotel is actually quite rundown. From our hotel room we saw several persons, both males &amp; females, on several occasions, entering the alley right across from the hotel entrance and relieving themselves. Truly a room with a view! Some visitors may find the neighbourhood rather intimidating.We chose this hotel only for its price, which was great and the triple room was of a decent size. Otherwise there is nothing to attract you here. Next time I visit London, I will be happy with a smaller room in a better area, even if we have no views from the room!	
Nov 8 2006 	Great Eastend location	Hotel is situated just off Whitechapel High Street at the start of Brick Lane.The hotel's website describes it as being in the financial district, this is not the case. The area is quite shabby but fascinating. Fantastic if you want to sample the multicultural Eastend of London. The markets - Whitechapel High Street ,(Sat.) and Petticoat Lane and Spitalfields (Sun am.) are great. Loads of cafes, coffee bars and cheap curry houses.Good transport links to the rest of London. Hotel room was quite basic but was big and clean, the beds were comfy. Breakfast good. Staff efficient and friendly. Would stay here again.	
