	Great neighbourhood classic hotel	Overall satisfied, the lobby makes you feel in an expensive hotel. The room is perfect, however walls are thin, the neighbours kept knocking on the wall for any small noise from our room. The hotel is huge, and in the morning the breakfast area is totally crowded - the breakfast selection is quite ok.	
Sep 30 2008 	Beautiful hotel in a beautiful area only a minute's walk from tube	My husband and I chose this lovely hotel for a 2 night stay. He had stayed there before with work and so knew it would be nice. Full Breakfast was included in our standard double room rate. I think we got two twins &quot;zipped&quot; together but it made for a lovely big super king sized bed! On arriving, we got a very good first impression, the lobby and reception are beautiful and pristine and the staff well turned out and courteous. We arrived very early and so left our bags with the concierge and came back later having done some shopping. Our room was ready on time and our bags brought up for us. The only thing I would say about the room was it was a little dark, very little lighting especially around the mirrors - A girl has to do her hair!! It was very cold at night in the room too and we need to use the spare blanket in the middle of the night.Breakfast was very well run despite being very busy and there was a plentiful supply of food. The fresh coffee was lovely. I would have liked some cereal or muesli instead of just a cooked breakfast or fruit but if I had asked for it I am sure they could have obliged. I was happy though to just have toast and coffee. There was a lot of food on offer though and it would set you up for the day if a cooked brekkie is your thing.Overall, we had a lovely, relaxing stay in this hotel. The staff cannot do enough to help even after you check out, especially if your flight is late in the evening and you want to leave your bags for a while. I was also impressed with the way in which one female receptionist who, at 11:30am handled a typically brash American who obviously not having read that there was a check in time of 2pm couldn't understand why he could not have a room there and then! I would like to see how he would have reacted if that time the next morning he was asked to vacate his room so someone else could have it! Still, she handled him very well despite him being a rude boar! I will stay here again. A very good deal for a lovely hotel.	
Sep 21 2008 	Really NOT impressed	We booked through Lastminute.com as we do with most of our hotel trips. Having read some of the reviews for this hotel I had my doubts but I do like to give places the benefit of the doubt.On arrival - all seemed well - the lobby is amazing!!The reception was well manned - no queue with friendly staff. We checked in - had already specified that we wanted non smoking with a double bed but were asked again. That was fine - we were told we were staying in a nice room on the 2nd floor. Still all seemed well. Tired after our trip to London - we just wanted to relax!!We got to our room and realised it was a twin room, that was ok we just went back downstairs to the reception and explained we asked for a double. The recepionist said it was probably twin beds which could be 'zipped' together which was ok because someone would go and sort it out for us. I asked how long it would be because of our long journey - she didnt seem to know or care!She then phoned housekeeping to sort out the beds - I asked her where we needed to wait !?? I thought a complementory drink in the bar may have been appropriate - obviously not - she said we could just go and wait in the room.After about 10 minutes the housekeeping staff came and zipped the beds together - and remade the bed - it was awkward to say the least!Finally we had our double bed !!We found the room and bathroom very dated and old (unlike the photos of their rooms in their website and by other guests on tripadvisor). There was a burn in the net curtain - the air con didnt work (the knob to work it was missing), the bathroom tiles were from the 60s and fitted by an amateur. The taps looked like they were coming off the wall (photos to follow).The breakfast in the morning was average. The coffee cold. I can understand the reason for cold cooked breakfast and queues when its a buffet for so many people. But I have to say I didnt enjoy it at all.All in all - No I wouldnt go back.I was very very disappointed and for a 4 star hotel it seemed more like a 3 to me. The only jewel in this crown was the piano man playing in the lobby in the evening!! He was charming (with a lovely smile too!!) This brought an ambiance to the hotel which was very relaxing.	
Sep 21 2008 	A great stay in London	I had booked a night for my wife and I in the hotel during September 2008 - we live in London but I wanted a romantic night out in a nice hotel near to the West End.I booked the hotel via Lastminute.com secret hotel promotion and was thoroughly impressed from the start to the finish of our visit. We were warmly welcomed by the excellent staff and promptly upgraded to the Kensington Suite for the night, which was spacious and a real treat.I would certainly reccomend this hotel based on location, staff, price and breakfast - we had a lovely Sunday morning Full English which was thoroughly enjoyed.I would recommend this hotel to any visitor to London.	
Sep 20 2008 	Lovely Suprise!	Having booked this through a website, where by you only find out the hotel name after having paid - &quot;secret hotel&quot;, both my boyfriend and I were a little disappointed with the hotel images and the write up. However, on arrival, we were both suprised at just how lovely it was. It was only seconds from the underground, and as we walked into the reception (where a doorman greeted us!!!) we were both taken a back by how grand the hotel actually was. Although the receptionists were a little hard to understand, they were friendly and helpful. The room was not vast, but the bed was huge! The bathroom was lovely and we had a nice view of traditional London buildings. We both had a really nice stay and would recommend it.	
Sep 16 2008 	Hardly understated!	The website proclaims that the hotel offers an understated elegance with a relaxed environment and friendly, whilst discreet level of service. It's a pretty posh lobby and they have &quot;club&quot; floors. The receptionists were certainly relaxed, if a little difficult to understand and the bar was the same. Staff were friendly and discreet. The room was comfortable with nice chairs and a large TV. Fairly quiet with comfy bed but average shower.Good location convenient for the tube and loads of local restaurants.	
Sep 15 2008 	Excellent location	I stayed at the Millennium Copthorne Gloucester Place on Thursday and Friday night. This was as part of a prize I'd won through work to have a two night dinner, bed and breakfast stay in London. I'd chosen the Copthorne as I've stayed in a lot of their hotels so I know what I'm getting, in respect of both the room and the staff. The cost of a twin room on the 6th Floor (their Millennium Club floors) was £171 for Thursday and £141 for Friday, this was just for the room. Personally if I were paying for the room I wouldn't have paid £171 for the room, call me cheap but I think that's a lot, but hey this is London we're talking about and everything is expensive!On arrival (via taxi from Euston for £15.00) we pulled up outside the hotels doors and their doorman opened the taxi door, took our luggage and held the main doors open for us- all very lovely. I had to wait a few minutes to check in as all three staff were dealing with other people. I checked in with no problems, asking for a non smoking twin room (for me and my mom), hauled our cases up to the room to find we'd been given a double smoking room, we then hauled our cases back down to reception. The lady who originally checked us in wasn't on reception so another chap helped, very apologetic and dealt with me very quickly.Our room was on the 6th floor, rooms on the Millennium Club floors are serviced by their own lifts which miss out floors 1-4. Much nicer than having to call at every floor. Room 681 overlooked one of the side streets, facing the NH hoteles hotel. As it's just off Cromwell Road the road below was busy at all hours. The room doesn't have double glazing as such, just a thick single glazing window that opens (which is always nice and not always available in London hotels - I might add the room also had air con). Even with the window closed it was noisy, well it was for my Mom as she said the car noises, police etc kept her awake. I had no problems as I wear earplugs when sharing a room with my Mom (&quot;No dear I don't snore&quot;) :o). The beds were firm and bouncy and had sheets and fluffy blanket, non of this one duvet business where you end up boiling hot smothered under the duvet. The only let down was the bathroom, whilst ok in size the tiles needed regrouting as they were somewhat discloured and mouldy in places. That's really my only issue with my stay.Breakfast on Friday morning was a busy affair, at 8am the breakfast room was already heaving. Breakfast was prepaid for me and should have been £17.50 but we were charged £12.50. Now this is extortionate but Copthorne buffet breakfasts are fab, they keep me going all day. If £12.50 isn't to your liking there is a place directly opposite the hotel La Liason? which served breakfast for around £4. Likewise if dinner in the hotel isn't in your budget there is a Waitrose, Tescos, Burger King and KFC across the road, and a pub I think, but the fact you are right on Gloucester Place tube station means good food is only 15 minutes or so away. As dinner was included we dined their Olives restaurant. A perculiar set up as the resturants that show on their website aren't actually in their hotel. Olives is a walk around the corner in their Baileys Hotel. Olives had a set menu special, two courses for £16 or three for £19.50. We had the two courses but the food was nothing special to write home about so unless your food is included, like me, then you'd be wiser to go elswhere as it was all very mediocre.The location of the hotel is great, a 30 second walk from Gloucester Place tube, GPT is older station which has been remodelled which is lovely, it's bright and well lit we were happy to use this at all hours. A 10 minute stroll away is the Natural History Musueum and the V&amp;A, 15 minutes away is Harrods. All in all the hotel is in a very nice part of London.If you can get a reasonable rate at this hotel then book it, it's a great location with friendly staff.	
Aug 26 2008 	great hotel	The Millenium Gloucester hotel is an excellent hotel.The entrance lobby was very grand and had a slight oriental feel to it.It was a little different to other hotels i have stayed at in the past.The check in was very smooth and the staff were very polite and friendly and they offered for a small price an upgrade on the room.We decided not to and were glad we didn't.The room was the largest standard double i've stayed in when i've been in London.The bed was 6ft wide and very clean and comfortable.The bathroom had a bath/shower which was very nice, although the temperature was a little up and down.Never too hot or too cold though,just a little nit pick.The room had an iron and ironing board and the usual plasma tv and tea/coffe. The hotel was a minute walk to Gloucester Rd tube station which has the district/circle line, and the piccadilly line which leads to Covent Garden and Leicester Sq etc.So was very good for getting around.It was also just a 10 min walk to Earls Court so its ideal for any concerts and shows.The breakfast was very nice and there was plenty to choose from.Its also served in the conservatory which on a sunny day is lovely. All in all it was a lovely hotel and i'd stay there again without doubt!	
Aug 20 2008 	Excellent - Recommended	Booked as a Lastminute.com 'Secret Hotel'. We were delighted with The Millenium Gloucester. All the public areas were very attractive, smart and clean. There were plenty of lifts.The (superior) room was very nicely decorated and well furnished. The en-suite was excellent.The staff were pleasant and helpful. They took a lot of trouble over a couple of email requests I made before arriving and the requests were carried out perfectly.The location was superb, just a minutes walk from Gloucester Road tube station.Breakfast was very good.I have no hesitation in recommending this hotel and would stay again anytime. It was very good value for money.	
Aug 12 2008 	Very disappointing!	Having booked a double room at this overpriced hotel, we were allocated a twin room on arrival and made to feel as though two men should not be sharing a bed (which we have done for eight years). The male member of the housekeeping staff who came to put the beds together was extremely discourteous and obviously disapproved. The small ledge outside our window (room 247) was covered in cigarette butts and other detritus thrown from the room by previous residents or the windows above, and the shower was little more than a fine mist. I actually resorted to using the bath so any attempt to save water was futile. The noise in our room was appalling. We were woken each morning a little after 5.30 and 7.00 am by deliveries to the Waitrose store across the road, and kept awake all night by what sounded like a dumb waiter or other lift mechanism (presumably to the more plush suites above), although we could not ascertain where the noise was coming from. I was extremely surprised that a supposed four star hotel in London did not have double glazing. It certainly needs it - especially at street level.Notwithstanding the attractive lobby and the generously sized room that we were allocated (for a London hotel), we found the decor in the room to be tired and generally shabby. The colour scheme was very monotonous (shades of brown - always quite a disconcerting colour). The back areas (stairs and corridors) were dirty and unkempt, as were the windows which needed a good clean. Plastic sheeting covered some parts of the corridor flooring and the adjacent doors too were covered in plastic sheeting. It was reminiscent of a sealed crime scene!That said the beds were comfortable and the mattresses very clean. Sheets were fresh and visibly (reassuringly) clean as were the towels each morning. We would not pay the extortionate fee for breakfast, but there are many fine patisseries in the area where you can eat well for a fraction of the price. We were VERY disappointed and unlike every other hotel we have ever stayed in, we most certainly would not want to stay at the Millenium Gloucester again.If travelling to London by car you need be aware that there is no on street parking nearby (meters were limited to a four hour maximum stay) and the hotel car park is vastly overpriced (£35 per 24 hours or any part thereof). We felt aggrieved at having to pay a full 24 hour fee for our last night and then being told (having paid until the evening) that we only had 15 minutes to leave the car park having paid our bill.	
Aug 6 2008 	Great Hotel!	We recently took a trip through Europe and this is the hotel we actually stayed at the longest for 3 nights. We really enjoyed staying here. Rooms had recently been renovated and repainted in some spots you could tell it was painting over some old stuff (mainly in the bathroom) but overall the room was nice. The lobby was really nice as well and modern as well. We got the continental breakfast everyday, definitely wasn't my favorite breakfast of our trip but it was okay. I was annoyed that I had to pay extra for a soda...I don't drink coffee so sometimes in the morning I need caffiene and get a coke they charged me 2 pounds for a mini coke. After the first morning I walked across the street and got a bottle of coke for under a pound and kept it in our room.The location was great there are some good restaurants/pubs in the area. Also the tube is right across the street which is what we used frequently to get in and out of the heart of London and also to the train station as we went to Windsor for a day.	
Jul 28 2008 	Absolutely Fab Hotel	We booked this hotel as 'somewhere to sleep' for an overnight girly break. Managed to get a Half Board rate through lastminute.com and to be honest wasn't expecting great things.This hotel was fabulous, the staff were amazing, could not do enough for you, from putting up with are painful room requests to the late night concierge struggling to open my bottle of wine at 3am in the morning.We had dinner in the Bugis Street Brasserie, which was really tasty and breakfast the following morning was the best hotel breakfast I've ever had. I would highly recommend this hotel to anyone, although I would say I don't remember seeing any children whatsoever within the hotel.	
Jul 19 2008 	Great Hotel	Ignore the carpers! This is a good hotel: big rooms, pleasant (more than could be said for some of the guests they were patiently dealing with) and efficient staff, better than average breakfast and a piano playing in reception. Next to the tube and with a wide range of restaurants close by. What more do you want?	
Jul 9 2008 	have no fear...book this hotel !!	stayed a 3 night weekendlocation brilliant right outside gloucester rd. tube piccadilly line,we came in from Heathrow direct to hotel no changingalso straight into piccadilly on this tube routecheck in great,friendly,room not ready so went out and bags were taken to room when ready.on B &amp; B rate full english beuatiful restaurant very clean all other choices of breakfast available as well.rooms adequate and clean nothing wrong with them except our mini bar not working asked for repair but not done.bar excellent but no draught beer all restaurants mentioned in brochure are shared with Baileys millenium right next door but did not try any.overall a 4 star hotel what more do you want	
Jul 8 2008	Very nice hotel with great location	They are located in 2 minutes walk from Gloucester tube stationwith Tesco Express, Starbucks, Burger King, KFC.Yes, I have 2 kids. Very convenient, if you are American considering 2:1 currency between UK Sterling and USD.Hotel is very clean and we enjoyed spacious room.Staff were nice too.The inconvenience we had was the elevator.They have 2 elevator solely for Millennium members thereforeit does not work for other guests. It works fine until couple of elevator starts to malfunction.Breakfast buffet at the restaurant, they didn;t seem to know the difference betweenJapanese and Chinese food. When asked about Japanese food, I was directed to Chinese food which was Congee and pork bunand some other stuff.	
Jul 1 2008 	better than expected	with all the mixed reviews... i was expecting a so-so experience but the hotel was great. not excellent just above average first the concierge was helpful with the luggage, reception was pleasant, and the . my parents stayed in the first floor and got a bigger room with 1 couch and bigger desk area.i stayed in the fourth floor with the room slightly smaller and being located well in the back.. it was quite dark without the lights.both rooms were renovated and they contain tea/ coffee amenities; toiletries were replenished everyday and the rooms were clean. the hallways do have a slight smell but that posed no problem for me. the only problem i experience was their useless iron that doesnt heat up. they responded immediately after i called and had it exchanged.breakfast is expensive at 15 pounds. this is just standard fare breakfast so i suggest eating somewhere else.i suppose they are required to promote their own restaurants but the bugis chinese brassiere was NOT good at all.location's excellent. just a 1 minute walk away from the tube. i like the fairly residential area of gloucester with tesco and waitrose nearby. south kensington is also a 5-15 min walk away and have lots of good restaurants	
Jun 26 2008 	4 star lobby 1 star everything else	It's seems that staying here is something like a lottery considering the variety of ratings so far and unfortuantely I can only award the minimum in relation to my stay.It started out well. The lobby was well presented and the check-in was painless with pleasent staff (where we were reminded that we were getting a continental breakfast). I enquired about good places to eat for lunch and instead of getting some insiders knowledge I got the 'official list' of affiliated establishments (advertised around the hotel). I guess that must be hotel policy!?!? Unfortunately that was as good as it got.The corridor leading to our hotel room smelled stale. It's wallpaper was peeling off in places and the harsh downlighting over our door highlighted various dents and scratches. The room itself was tiny (TINY I tell you), dark and depressing with the same faintly stale smell. There was hardly any natural light and the fixtures did not shed much more of it.The following morning we went down to breakfast where we were reminded once again that we were having the continental breakfast. Call me stingy if you like, but when staying at a so-called 4 star hotel it seems strange to have to pay a supplement for a hot breakfast (the price of which was astronomical on the menu). Both morning we had to repeatedly remind the staff to bring us tes/coffee and on both ocasions it arrived after we finished.We were not asked whether we enjoyed our stay when checking out and I'm glad because I didn't want to ruin our break by getting hot under the collar.To sum it up, this hotel is trying to be something it's not and not trying very hard.	
Jun 18 2008 	Loved the Millennium Gloucester!!	I just returned from my stay at the Millennium Gloucester and I had such a wonderful time at the hotel. I was worried after reading many reviews. Upon my arrival, I was given a choice of a smaller room on the 1st floor, but for 25 pounds I was told that I could upgrade to a Club Room on the 5th floor. I took a look at both and worked out a deal with the person who was checking me in, for only 20 more pounds to stay in the Club Room on the 5th floor. It included free internet, mini bar and a full breakfast in the morning. It also had an express elevator which bypassed the first 4 floors. It was well worth the extra money. The room was beautiful and really large, with a desk area for my laptop. I couldn't believe how large it was considering how European rooms tend to be smaller than what I'm used to in the States. It was definitely a four star experience for me. The staff from the front desk, to the concierge and the wait staff in the breakfast area, were so nice, polite, helpful and a real pleasure. There was a hair dryer over by a large mirrored wall unit, and also one in the bathroom. I had a hugh wide screen TV with many channels, English, American and then some in German &amp; Italian I think. There also was a keyboard hooked up to the TV so you could have used the TV for the internet access. I loved the towel warmer in the beautiful marble bathroom. There was a nice terry robe hung on the bathroom door, In the closet there was a pants press, an ironing board and iron, as well as a safe. Everything was very fresh looking and the carpet in the room looked very new, although there was a small cigarette burn. I was told that it was a non smoking hotel room, and there would be a large fine, if caught smoking. There were many many lights throughout the room and so I could have many levels of lighting. I also tried out the room service and was very happy with everything excepting the potato soup.Overall, I was extremely impressed with this hotel. It's convenience to the Gloucester Tube station. The grocery store Waitrose right past the tube station. The 7-11 type store which I think was called Tescos was also right down the street. South Kensington is centrally located and a very nice area. There were some nice restaurants within a couple of blocks of walking. It was near Hyde Park, the Natural History Museum, Albert Hall, Harrods, Victoria &amp; Albert Museum to name a few. I look forward to my return to London and the Millennium Gloucester.	
Jun 15 2008 	Keep looking!	I am currently travelling on business, and dont want to stay in a [--] hole, nor a 5star. 4star is fine. but i wont stay here again. if you need the internet....be sure to be ready to work in the business station. i HATE them, preferring to do my work in my room but the internet played up the whole time.the rooms are of decent size, but outdated, with a couple modern touches....but its disappointing. it is across the road from the underground, and in a cute strip of shops and near Fulham, Chelsea and Hyde Park and Oxford st (about 20-30mins walk), but i got very depressed here at the hotel. it was just boring and a bit away from it all....and im not even a party animal!i was there for 2 weeks.....i just couldnt be bothered packing up and going. there is a very good osteo/chiro down the road. i have since left london, went to dublin (dont stay at D4) and am back in london at a very cute and cool hotel at covent garden....the radisson edwardian mountbatten. see if you can stay here.....much better. its in a quiet spot but so close to it all and right amongst the west end, streets away from Soho and China town....bloody marvellous. No depression here!	
Jun 14 2008 	Disappointed	We booked this hotel on a last minute site. On arrival we were very impressed by the lobby and thought ourselves lucky when we were informed we were upgraded on our room. As we stepped out of the lift on the 7th floor we were met with the smell of damp and cigarette smoke. Our room was a good size twin room which I'm afraid to say was the only good thing about it. The room had a musty damp smell, interior was very outdated. The net curtains were stained and grubby looking and the curtains themselves were also stained and ripped. In the corner of the room sat a grubby and threadbare armchair and footstool. The so called duvets on the beds consisted of an old wool blanket concealed inside a duvet cover. Breakfast ws very good and there was a good selection on offer. The hotel was in great locality and close to tube and shops.Overall very disappointed with the room and would not stay in this hotel again. Looks great on the outside but very poor inside.	
May 27 2008 	very good location	met by friendly spanish lad at reception.room fine.reception area nice.breakfast ok if can beat queue.hotel scores on location,beside underground and street with pub and restaurants.recomended definitely if get good deal.	
May 27 2008 	4*hotel- as noisy as a Youth hostel	Was sorely dissapointed with the overall service provided by a supposed 4* hotel.The air-conditioning in our room was faulty, meaning we were presented with a fan rather than having it fixed- the room itself, aside from being stifling was situated directly above the street resulting in horrendous noise levels; and as for the inter-connecting doors present in many of the rooms, not everyone wants a summary of their neighbours day at 2am.I would not recommmend this hotel to anyone looking for a peaceful nights sleep!	
May 17 2008 	Loved this 24 hour hotel	I stayed here, having booked it as a Top Secret Hotel on Last minute. I was pleasantly surprised which hotel it was when it was revealed, and I was not disappointed at all with my stay. The night before I'd been staying in another hotel, across the road from the Casino attached to this one, but I have to say this hotel far exceeded any expectations, and ranks higher in my opinion than the one across the road of higher stars.I arrived early, leaving one hotel, crossing the road to the other, and expected to be able to leave my bags - but was extremely and pleasantly surprised to be told there was a room available on the 2nd floor if I wanted to check-in there and then.I did, and the room was fabulous. Although it was at ground level, being at the back, it did look out into a restaurant/conference suite, but it was an extremely quiet room,and there was no intrusion from across the way.I had a large room, with vestibule, wardrobe, nice bathroom adequate large towels, a huge flat screen t.v. in good working order, and a very comfortable bed. I had been assigned a twin room, so I could chose which bed to sleep in - and I slept like a log.Extremely friend staff at check-in, welcomed you with a smile which is always a good start,a whole team of knowlegeable concierges, beautiful in the foyer on an evening with someone playing a grand piano, gave it that extra ambience.The hotel has an excellent location, right by the Gloucester Road tube, and very easy to get about anywhere within the Greater London District.This is very much a modern 24 hour non-stop hotel. I had a very pleasant one-night stay - and would definitely consider returning there in the future. Overall I was impressed.	
May 2 2008 	Awesome! Great big bathtub!	Booked a room in a Millennium Bailey's. Unfortunately (or maybe fortunately?) they'd just run out of non-smoking rooms. Helpful service-desk swiftly found us a non-smoking room in close-by Millennium Gloucester. Apparently some floors are recently renovated and we got a great room in fourth floor. (If I remember correctly, it was second and third floors that weren't yet renovated. You might want to ask for a renovated room in check-in!). Only downside is that the room actually smelled a bit of paint, it was so new!The room itself was really big, with a separate sofa-corner. Best part was a huge bathtub! Beds were very comfortable, pillows awkwardly thick though. Room was silent.I really loved this place! It was an awesome base to visit the Natural History Museum and the Science Museum! Also all around was a buzzing 'greatest cars' show with Maserati's, Ferrari's and lovely Lotus'es rolling around.	
Apr 17 2008 	Great location..	Great location near museums and a short block from the tube station. Breakfast was ok. But, was included in our rate so it was fine. Would definitely stay there again.	
Apr 15 2008	great location	rooms not very big, but nice and clean. continental breakfast ok and a very good location! 1 min. walking to metro station gloucester road.	
Apr 12 2008 	Shop around for a good deal	We used this hotel to make a weekend of our wedding anniversary after a theatre trip. We booked and got a great deal with an online company. The room was huge by London Standards and was clean with good facilties. When I arrived they tried to tell me there were no double rooms avaliable, I am sure this was because I has booked the lowest possible rate for the hotel and twin rooms are the hardest to fill but in a hotel with over 600 rooms it didn't wash so stood firm and got a double room. The hotel looby is impressive. The contiental breakfast was ok and inculded, all not the usual choices offered in a 4 star hotel.	
Apr 9 2008 	Great Value OK location	The location is less than ideal if you are interested in nightlife. Although there are some local pubs and places to get food. I picked this place because it had the best price. Overall a good hotel.	
Apr 5 2008 	Style over comfort and safety	I obtained an internet bargain on this hotel.But if I had paid full price I think i would have been disappointed.It is in a great location.And it is certainly very glitzy.But the furniture in the rooms lets the place down badly.The bed bases stick out further than the mattresses, so I was constantly stubbing toes and cracking ankles on the bed base.The desk return is incredibly flimsy, so that I nearly toppled over leaning on the desk.I think an occupational health and safety officer would have a field day.I would hate to be an elderly or disabled client ....it is a law suit waiting to happen.Also found that the wall panel in my room was not secured....I had full access to a dark cupboard full of electricals.All in all looks glitzy but not up to scratch for the price.Try somewhere else.	
Apr 4 2008 	Very Happy	We stayed here over a weekend at the end of March 2008The hotel check in was efficient and done by friendly staff. We arrived to early to get in our room, but the hotel stored our suitcase until later on when the room was ready.We had booked a twin room, which was on the second floor. The room was clean, modern and had a comfortable bed, writing table, enough closet space. There was a mini safe, ironing board and Iron, Mini bar and a large screen LCD tv. The bathroom was fine if slightly dated looking. There was a bath with shower over, which worked well, we had plenty of hot water. The towels were large and nice and soft too. Toiletries were provided and replenished daily.The hotel had a small fitness suite, which was well equipped and free for guests to use. You had to get a key card from the business centre to get in to it. They are both on the first floor.Breakfast was good, with a ample selection. We took continental breakfast, although for an extra charge, cooked breakfast was available.Staff at the hotel seemed to be friendly and efficient.The Millenium is very handy for the Gloucester Road Tube, which is only a minutes walk away. Our room cost £90 per night inclusive of breakfast - I didn't think this was too bad for a 4star hotel in London.We would definitely stay again.	
Mar 28 2008 	Fantastic hotel but you'll wait to eat	My wife and I stayed at the Millenium Gloucester for just one night over the Easter holidays as we had tickets for a show at the Royal Albert Hall which finished late and thought we would make a small weekend out of it. Getting to the hotel is no problem at all as it is located on the road behind Gloucester Road tube station (2 minute walk) which itself is one the Circle, District and Picadilly lines so convenient for getting in and around London. Its also perfect walking distance to the Royal Albert Hall, History, Science and V&amp;A museums. There are also plenty of cafe's, supermarkets, shops and a pub all within a short walk.  Checking in was very quick and easy and in fact we had been upgraded free of charge to one of their Millenium Club Rooms on the 6th floor. The room itself was of an adequate size, I wouldn't say it was huge but it was big enough but then if this was an upgrade I wouldn't like to have seen how big tha standard room was. It was equipped with a free safe, iron and ironing board and the bed was massive and very comfortable. Our view overlooked the interior so was also very quiet not just from the outside noise but also from other rooms. The TV was also an impressive large flat screen one with pretty much every channel you could hope for whether it be English, French, German or Italian. The bathroom though was very small and felt it had the necessary things all crammed in to fit the space. The shower though powerful was not high enough and couldn't be raised so I kept having to duck down. A continental breakfast was included in the price paid and this is perhaps where the hotel falls down slightly. We went down at 8:20am which seemed reasonably early enough but queued for 20 minutes before being sat down. But this is the weird thing, you can upgrade a continental breakfast to a full English and change the booking at the door but after that no one has any clue what you are having. Both are buffets and in more or less the same area so there really is nothing stopping you from paying for a continental and having a full English once you are seated. We finished by 9:30 by which time the queue to get in was even larger. Admittedly this was Easter Sunday though and we were told at check in that it would get busy so come early so whether this is normal I couldn't say. We booked this through Lastminute.com as one of their mystery 4* hotel deals where you book it knowing roughly what area it is in but do not know the name of it until after its paid for. For that it would have cost us just £80 for the night but breakfast was aded to it so went up to £94. But even for that price this was exceptional value. For that deal I would thoroughly recommend it.	
Mar 24 2008	Good Location good hotel in London	We recently stayed at the Millennium Gloucester Hotel in London for a week on business/holiday. I would recommend this hotel because of the excellent location: (one block from the tube station, Waitrose, Boots and Tesco within one block, numerous restaurants and cafes), the competent staff, and the quiet room (ours faced the interior courtyard). Based on other Trip Advisor postings, we requested a Club room and were very pleased with the decision. Our room was recently refurbished, and large for London standards. The Club lounge was very comfortable, the staff very efficient and the breakfast buffet was complete with pastries, fruit, cereal, meats and cheeses; and in the evenings, there was wine and cheese and other appetizers from 6-7:30 pm.	
Mar 19 2008	Fabulous Service and room!	I was originally booked in the Millenium Bailey's Hotel but they didn't have a non-smoking room available when I arrived so they quickly took my luggage next door with great apologies and ushered me to a fifth floor room that was huge and beautiful with heated towel rack in the marble bathroom and a large bed and the most amazing linens! It was perfect and the staff were wonderful! I will stay here again no matter the price!	
Mar 4 2008 	Great central hotel	I have nothing but positive things to say about this hotel. I visited with over a weekend for a friends wedding reception in the hotels conservatory. The biggest plus about this hotel is its location, being just steps away from the tube station, so it’s not too far to carry all the bags. I had an efficient check in and we were able to go straight up to our room even though we checked in a little early. The room was spacious, clean and the bathroom was very modern. If I had one slight quibble it would be that the shower wasn’t all that powerful but it wasn’t really an issue. The variety of food for breakfast was good and I didn’t see anyone waiting for more that a few moments before they were seated. After a leisurely checkout, which was dealt with efficiently and pleasantly, we wandered up to Hyde Park and walked for a couple of hours which was a great way to end a very pleasant weekend. I will definitely stay here again.	
Feb 28 2008 	Valentine's Weekend	I booked this through work, granted I work in travel so received a hefty discount - but I would have been more than willing to pay the rack rate for this little gem of a hotel.I think people are too fussy, if you want 5-star facilities and service, then book a 5-star hotel. This does not promise to be anything it isn't, and it is definitely a 4-star hotel.Beautiful lobby, with the option of leaving your luggage for as long as you want after check out. Very efficient concierge and professional staff. Check-in can get very busy but that happens at every hotel, so cannot complain about that.My partner and I were allocated a very large and airy, newly renovated superior room. It was decorated in a classy fashion, very unoffensive decor and with beautiful linen and perfect lighting. The room was spotless and the bathroom sparklingly clean.The shower was lovely, and could be changed to &quot;Rainfall&quot; which was a nice touch and a change from the standard &quot;power shower&quot;.We did not sample breakfast so I cannot comment on the food, however we did have a drink in the bar and we were served politely.The hotel is located in a very handy part of Kensington, near to most amenities and could not get any closer to Gloucester Road tube station if it tried. I cannot fault this hotel in any way. The bed was incredibly comfy, the towels and linens soft, and the service top-notch.Will definitely stay again.	
Feb 21 2008 	Not happy	The room we were allocated was far below the standard for a 4* rating. Behind the interior door was a panel which opened easily to what we can only describe as a building site and a health and safety hazard (thank goodness our children were not there!). The bed was one that could be winched up for easy cleaning and had a horrendous metal bar at the end which overlapped the mattress, goodness knows how many times I caught my foot on the metal part (the bruises are unsightly). The staff were polite but a little rushed at breakfast but on the whole okay. Aware that we booked through a website that offers big discounts, for what we paid still should have been a whole lot more!	
Feb 16 2008	Reasonable overall	We stayed in the Gloucester for 4 nights. The packaged was a theatre break package (orginally for two nights but we increased to four, booking the additional nights was very expensive with the hotel directly and we saved over £100 going back through the theatre booking company).The location is excellent about 200m from Gloucester Rd tube station (Come out of the station turn right and sharp right again the covered entrance to the hotel is just after the sister Baileys Hotel)FIrst problem was on checking in, we had requested an upgrade to a superior room (based on comments on this site about standard room), the checkin desk claimed to have no record of this and when i referred to email correspondence I had with a person called Gaby in the hotels reservations I was told there was no such person! I was furious - but they agreed to get me access to pc to download the evidence - eventually got but room.On the 1st floor and unfortunately right beside a staff store room - twice we had to complain about noise including once at 1am.That said the hotel is generally very nice and staff are reasonable (range from friendly to obilivious your there).I would recommend the hotel for london but not 4* overall	
Feb 16 2008 	Posh entrance run down rooms....	Stayed here one night, booked through top secret booking at last minute.com where hotel was advertised as being five star. Would rate it no more than three. Lobby and dining room are very nice and look promising, rooms are a lot less however. Very dated bathroom which was a bit dirty and very poorly finished (lose doorhandles, gold on outside, silver on the inside (after being replaced 10 times probably...) Room itself was also cheaply finished and a bit grubby. There are a lot better hotels in London for this money...	
