	Great hotel great location lacking on breakfast"	I went there with a group from school and it was a really nice experience. The rooms where really nice and everything was to our service. Local pubs and restaurants around the hotel made the stay even better. But from a grade 1-10, 10 being the best and 1 the worst, the breakfast buffet at the hotel was like a 6. After the first day eating there, the following morning all I ate was toast and coffee. The food overral wasnt that good, but besides that a very beutiful hotel.	
Apr 19 2009 	Not really 4 star quality but location makes up for it.	Booked through holidaycity.com at a special rate £158 for 2 adults for a double room for 2 nights. Recieved email confirmation of this. Rang hotel to confirm, told me it was for single occupancy and tried to increase the rate. However after contacting holiday city again, i was sent an email from the hotel accepting that they had made a mistake and would honour the booking and rate. The room should have cost £330 per night. On arrival the building itself if beautiful with an impressive reception area. However the rooms were not of the same standard. Adequate, clean and comfortablebut not standard one expects for a 4 star hotel. Rooms look like they have been refurbished recently in a modern contemporary style, but finish and attention to detail is poor. I agree with another guest that the 4 star description probably applies to the location. In summary I was happy with the hotel for the price I paid, however if I had paid £330 per night I would not be impressed. I would recommend it only if you get a special rate. If you are happy to pay £330 per night, try the hilton which is 2 minutes up the road.	
Apr 14 2009 	So Disappointing	We checked in at 1 pm and our room wasn't ready! We went for a cup of tea but I had to stay with my lap top and luggage as the concierge had left them unattended in the lobby. They didn't place them in left luggage until I insisted. At 2 pm I had to queue for another 10 minutes just to get the room key. The room was dusty and windows &amp; bathroom needed more thorough cleaning. Although four of us shared this family room, there were only towels for two. The fridge was broken and the toilet blocked. The response to our complaints was very half hearted.The location is excellent and the breakfast was good but we have stopped in many London Hotels, some cheaper, and been much more satisfied. This is not a 4 star quality hotel.	
Mar 30 2009 	An excellent hotel in the centre of London	I spent two days and one night here for a conference, including eating two lunches, one dinner and a breakfast in the hotel, along with sampling the bar (purely for research purposes).Having stayed in other hotels in the Russell Square area, I was expecting a &quot;faded glory&quot; place. I was wrong, the Hotel Russell isn't faded. Full of marble, chandeliers, thick carpets, and attentive, helpful staff, this was an excellent hotel.My room, from which I could see Russell Square, was comfortable and equipped with all that was needed for a good night's sleep. Meals were of excellent quality - breakfast, in particular, was one of the finest I have had anywhere.I can't comment upon the value, as I didn't pay the bill, other than the bar (£4 for a pint), but am certain that it represents good value, well worth the doubtless expensive price.The hotel is located 10 minutes walk from Euston Station, 20 from King's Cross and Saint Pancras, and about a minute from Russell Square Underground station. Covent Garden is about 10 minutes walk away, and various West End theatres are within easy reach, too. An excellent, central location, overlooking Russell Square itself - a green oasis in the heart of the city.I would certainly seriously consider staying here myself if staying in London for leisure purposes.	
Mar 30 2009 	I think the four star rating is releated to the location and bar prices.	I would recommend you book this through a travel site, rather than direct with the hotel. We got the room cheaper and with breakfast included, doing it that way.Checking in was easy; the staff spoke good English, but felt that it was somewhat scripted and impersonal.The double room was an average size, with a good sized bathroom, however the general decor was tired looking. In the bathroom, there were orange stains on the grouting and the showerhead was caked in lime scale, so obviously not cleaned daily. This lack of attention to detail was somewhat disappointing considering this is a four star hotel.The cooked breakfast was good and hot, but basic, again I would expect more from a four star rating.The hotel itself is an elegant building with some nice old features and the location suited us, as this was easy to get to by bus or tube.	
Mar 23 2009 	Good 4 star hotel in great location	Excellent location, on Russell Square, with the Underground about 2 minutes around the corner. There are a number of restaurants and bars in the area, and a Tesco Express and Metro within a few minutes walk. Good breakfast, clean and tidy, but can be expensive during the week.	
Mar 21 2009 	fine	no problems with hot water 3 shared room enough space bathroom was excellant staff v friendly very clean Breakfast was excellant had alight lunch in hotel one day it was adequet very central to all the sites quiter in the evenings which was great	
Mar 19 2009 	Let down by clash with wedding party	We find Tavistock road convenient for our visits to London, and Hotel Russell is very convenient, for the BM and the tube just round the corner. The accommodation was similar to the HI close by. The lower 2 floors have wonderful Victorian fixtures. We did not have any hot water problems and the room was fine; the pillows were too full for a pleasant night's sleep. The staff were helpful.HOWEVER our stay, as with every other guest that weekend, was somewhat spoilt with the queuing at breakfast which was caused by the hotel hosting a wedding party on Saturday afternoon. This caused us not to use the normal dining room but a function suite. At least one guest vowed to never return. Monday's breakfast was fine.Perhaps next time I'll try the Hilton closer to Euston.	
Mar 19 2009 	Disappointing	My partner and I booked into The Russel for 2 nights for his birthday weekend. When we arrived It took 20 minutes to get checked in eventhough we were the only people waiting! We eventually got to our room which was awful! The room was split on 2 levels the bedroom being on the ground floor - it was tiny - the bed was right against the wall and a very small double! Up stairs the bathroom was much nicer and the nicest part of the room! We requested to move but was told this was not possible - the next day we explained to the receptionist that we would like a refund as we were not willing to stay another night in that room - she told us we could be moved! We came back later that day and had to explain again that we wanted to be moved as nothing had been done! We were eventually moved to a nicer but by no means lovely room, as we could hear all the traffic through the single glazed windows! Extremely Disappointing Stay!	
Mar 15 2009 	Well-located historic hotel with hygiene and modernity issues	I was booked into this Edwardian palace because I had a meeting across Russell Square. The hotel is nice enough, though it is surely a *** and not ****. I first was shown a horribly loud room with painted dirty windows facing the inner courtyard and its extremely noisy machinery (and since of course the windows didn't close, this would have been very loud all the time), but after complaining received a nice larger one on the top (6th) floor with a nice side view. Furniture, carpet etc. have seen better times, bathroom was tiny, there was hardly any closet space, etc., but it was an okay place for such a meeting. (Also here, of course, the windows did not close porperly.)What I really minded, however, was that the drains of my bathtub were clogged with the hairs of my predecessor(s), and it was really yucky how they floated up when one took a shower. I left a note and they were removed after the first night, so things looked much better, but during the next shower, the hair was there again, if much less. Still, I find this unacceptable, and I would therefore not come back.Breakfast was fine (included; I would not have paid for it); internet is outrageously expensive, 1400% more expensive than in the internet cafés of the neighborhood. Nice location.	
Mar 4 2009 	Perfect location very comfortable and modern	This place is a great deal for the price. After reading the reviews on Tripadvisor.com, I was pretty apprehensive about staying here, but I ended up having a great stay. The building's facade is gorgeous, and the room itself was not huge but was not cramped, either, and was very clean with nice, modern decor. We had a balcony overlooking Russell Square. Despite many of the other reviews, the hot water was just fine. We were able to walk to many of London's sights, but it was also extremely convenient having the tube stop just around the corner. I'm going back to London in a few weeks and staying in this hotel again! I would actually like to try staying in another neighborhood, but with the guesswork involved in trying to find a place that doesn't cost an arm and a leg but also isn't a total fleabag joint, I'm sticking to a place I can trust.	
Mar 4 2009 	Great Hotel (if you can get the right Price?!?!?!)	I have stayed at this hotel 3 times now and each time I have paid £50 B+B per room per night. My Friend works for the Chain that own the Hotel and so I get a &quot;mates rate&quot;I think this is an amazing deal as the hotel is a lovely hotel, with fantastic service and a great location. However I do not think I would be willing to pay the regular Rates which always seem to be around the £200 mark. This is not because I think The Russell is not worth that..... it is because personally I don't think ANYWHERE is worth that!!!! (well not when you can get a travel inn for £70)The Hotel however (if you do have that budget) is really very nice. With it's grand Entrance and what I believe is an Original Mosaic Floor that Depicts the 12 Signs of the Zodiac, Spectacular Staircase and refurbed, Spacious Bedrooms that are Modern but fitting to the Grand Style of the Building.The Staff are very Good. The Service each time I have been has been faultless and the Housekeeping Team are very good at what they do!Breakfast is OK but again if you are paying on the day, It is overpriced in my opinion. (but probably standard for London Hotel Breakfast Prices)The Location is great! Right on Russell Square. The Tube station is just beside the hotel and you can walk from Euston in about 10-15 minutes easily. Plus although it is very central the area doesn't feel as crowded and as overly touristy as places like Piccadilly or Covent Garden... Especially at night. And the Restaurants in the area are smaller and seem to be all independent. Which I like.Overall it is a great hotel but I realise that I have paid a snip of what most people will pay so maybe my judgement is not as critical as it might be if I was £200 pound out of pocket!.I will say if this is within your budget then it is a nice hotel and well worth a stay.	
Mar 1 2009 	Second visit and no complaints	This was our second visit to the Russell Hotel and we would definitely go back. We have stayed in the Ambassador style rooms each time and maybe this is why our experience is so different from many of the reviewers.The room was large, warm, well furnished with views of Russell square. All was spotlessly clean. The bathroom a little small but nicely fitted with no problems with hot water. No comments on breakfast as we thought almost £20 each was scandalous and there is a great range of cafes and shops nearby (Brunswick square WC1N is very close and well served). We booked in with no queues and the staff were friendly and efficient.We're going back in April :)	
Feb 27 2009 	Cold weather cold water and cold hotel	I stayed in the hotel on a Friday night on the 6th February 2009. It was a cold night, but the room was also very cold, due mainly to the fact that the windows don't shut properly and that also meant that my room was noisy as I could hear the traffic very clearly - I woke up at 2 a.m. as I was freezing and spent some time trying to tighten the screws around the window lock to try and cut down on the draft (without much success). To make things worse, the water was cold when I went to bed and colder in the morning - it's fine to have a cold shower in the Summer, but not so good when it's literally freezing outside. Service was pretty blah - the girls on reception hardly looked at me - the TV only had about four channels and the room was at best, functional. It was clean and close to where I was working so it was OKish for one night. Having said that, I wouldn't go again on business - and certainly not for pleasure - and I wouldn't recommend it to anyone.	
Feb 25 2009 	Lovely historical hotel but could use a few improvements	I stayed at the Hotel Russell for one week in February 2009. I had a single room that was billed as a &quot;contemporary deluxe single.&quot; I had upgraded from a standard single after reading reviews of the hotel online, and I wanted to be sure my room had the modern type of decor rather than traditional. Overall I enjoyed my stay, but I have to say that the room didn't quite live up to the descriptions I'd read on their website. For example, they advertised a 42&quot; plasma TV, while the TV on my wall was no more than 32&quot; or so. Not that it mattered to me, really, but it's an example of the exaggerations in the advertising. I had also been promised that the room was &quot;spacious&quot; which it was not ... quite tiny actually. The bed was supposed to have &quot;Egyptian cotton linens&quot; but it bizarrely (to me as an American at least) did not even have a top sheet ... just a bottom sheet and a duvet, no other blankets. Other minor complaints -- the floor of my 7th floor room creaked horribly every time I walked around, and the bed was positioned right next to some very drafty windows. Also, I feel that the internet service was overpriced. It's £15/day for internet in the room, and it's not even wireless ... you have to plug your computer into an ethernet cable, which isn't very long and kept falling out of my laptop every time I moved around at all. I feel that if they're going to charge that much for internet, it should be wireless. The only food I had from room service was late-night paninis, one of which was awful (the tuna) and one of which was delicious (the Mediterranean vegetable). On the 2nd night that I got a sandwich, I asked if it was possible to get chips (fries) instead of the crisps that were supposed to come with it, and was told that it was too late for that (after midnight). However, when the food was delivered, they gave me chips after all! I was so happy that they accommodated my request. I also really appreciated having a fridge in the room so that I could keep cold snacks and water in my room. Everyone was very nice and helpful, and the location can't be beat. I had no problems with hot water. Overall it was a comfortable and pleasant place to stay for the week that I was in London.	
Feb 24 2009 	GREAT location beautiful hotel.	My husband, daughter (10) and I stayed at the Russell Hotel for several nights. The exterior and interior of the hotel are lovely. The location couldn't have been better -- just a block away from the nearest Underground Station with a direct connection to Heathrow. We were fortunate enough to stay in a larger (Ambassador) room, which was quite spacious compared to other hotel rooms we have stayed at in London in the past. One drawback to the room was the absence of a dresser. We were sorely in need of places to properly unpack our clothes. The breakfasts were very good. Beware the breakfast lines on Saturday mornings -- Everyone seems to head down to breakfast around 8:30-9:30 a.m. and the staff gets overwhelmed. The concierge (Bernard) was wonderfully friendly and helpful. We did not have ANY problems with getting hot water, no matter what time of day we showered. I would DEFNITELY stay here again.	
Feb 15 2009 	Great value good room	I've stayed at the hotel twice this month for a total of 3 nights on business (about £85pn inc breakfast and tax). In a single room on each occasion; reasonable size for London. Modern bathroom with bath and shower. No problems with hot water - very hot whenever I wanted it. [There are lots of water main replacements taking place in London, this has caused problems for a lot of hotels when water gets cut off or the pressure drops - so boilers cut-out -with little warning. this may explain the water problems in other reviews].Check in was quick and efficient. The ground floor is a very impressive - lots of marble and brass. Good choice at breakfast time - service could be a little quicker. Hotel is well located for the tube; there's a station about 200m away.I will be staying here again and would recommend it for any business traveller.	
Feb 12 2009 	No hot water	the staff were very friendly, eager to help but after giving us our room key informed us there were problems with the hot water and that if it was cold then to wait 20 minutes. we had no hot water for the whole of our 2 night stay. this is completely unacceptable. far too pricey. our room seemed very dark. Had to keep lights on during day time hours too.Bath room was freezing and the hotel is on a main road which could be heard at all times in our room. breakfast was very nice ,lots of choice. hotel nice inside, just opposite is a park and the british museum. we booked with Hotels direct, an embassador room and when we booked in I checked which room we were in and hotels direct had only booked a double room for us. luckily we had the paper work and the hotel was not too busy so we were able to get the room we had initially booked. would we stay here again.......no. there is far better value for money in london with hot water and bigger , better rooms. dont go to this hotel.	
Feb 8 2009 	The fifteen minute hotel...........................................	Fifteen minutes to check inFifteen minutes is how long you have to run the taps to get hot water (told this at reception as I had waited ....... Yes fifteen minutes to check having only found cold water in our room.Avoid	
Feb 6 2009 	Grand Hotel but don't expect to wash	The Hotel Russell is a grand hotel approached from Southampton Road is imposing on the square. The exterior is an epitath of an age of glory of the British Empire. It was just a pity that the splendor is not illuminated in the evening. It is almost as if the owners widh for the hotel to be a lower league establishment.The Interior is a very grand affair. From the immediate entrance with the grand chandelier s and marble columns. The staff are very helpful and welcome you with open arms. The check in process is relatively swift.The problems with the Hotel Russel are only apparent with entry to the rooms. Having stayed in room 608. The room was a cosy affair, whilst it was plain to see that the bathroom was recently refurbished, i could not say the same for the actual bedroom itself.The decor was gaudy at best, a mustard yellow wall covering and equally garish curtains overwhelm the senses. The furniture is antiquated and heavy. A lighter more modern approach to furniture would have complimented the somewhat intimate (small) room. In short the rooms do match the grandeur of the public areas of the hotel.What will define my visit to the Hotl Russell was the lack of hot, or even warm, water. Having a shower in the hotel was a shocking affair. A new water heating system is in desperate need. It is just as well i read up on the hotel before hand and discovered the issue has plagued previous visits. I was therefore able to mentally prepare myself for the 'plunge'.The breakfasts in the hotel are fairly decent. From what i could gather, the food was not the standard 'blue bag' affair that you get as standard in many hotels. From the 'blue bag' affair, i mean that the food is delivered in sealed blue bags and merely heated in the mircowave. The food actually seemed veru decent. The scrambled eggs were moist, as too were the poached eggs, which were cooked to perfection with a runny yolk.The sausages were flavour-some with seasoning. My only criticism was the fatty bacon, but this is to be expected in any british hotel.All in all the Hotel Russell was a decent standard of hotel. If they could sort out the fundamentals of warm running water the hotel maybe able to justift the £120 fee for a single room, bed and breakfast. It was just as well i was not paying.Would i go back? I'd want to but i'd definately seek assurances that i was going to come out cleaner than when i came in.	
Jan 23 2009 	Still Can't Beat the Location	My second stay at the Russell Hotel - I had a single room, but this time the bathroom was much larger. Yes, the complaints about the hot water are true - I had very little in the mornings, but found that there was plenty of hot water in the evenings. Also my breakfast was included this time, but agree that if you have to pay extra for it - don't. Not worth it. Long queues in the morning for breakfast, and not necessary because there were emply tables once you got inside. Appears to be an inefficiency on the part of the dining room staff in sitting people at tables. Food was just OK.On the plus side - it is still wonderfully located. Around the corner from the Russell Square Tube stop on the Picadilly Line. There is a bank (and ATM) across the street, as well as a Post Office across the street. There is a Tesco Express across from the Tube station that has really decent food selections for an impromptu meal in your room (you can eat much better than in the hotel's restaurant). You can walk through Russell Square to the British Museum close by. I also walked from the hotel down to Leicester Square to get theatre tickets - about 15-20 min. walk. I would stay here again - I just would not pay extra for breakfast, and know that I need to shower in the evenings!	
Jan 22 2009 	Don't stay here...	This hotel appears average on the surface, not sure why some others decribe it as amazing....I stayed here during a work trip and my room was very small and poky but perhaps this was to be expected as I paid a very good rate compared to the advertised tarriff - therefore I wasn't too concerned. Then I ordered room service at 8pm a sandwich which I hade to decribe twice to the person on the phone - I was told this would take 25 mins - 50 mins later I called and was told the order had never been recieved, I asked to speak to a duty manager and was told they would ring me - then someone rang and asked me what the problem was and when I asked are you the duty manager he hung up! He called back later saying he had been cut off, I again asked to speak to a manger and was told that they were too busy - a few mintes later someone claiming to be the manger (but who knows!) rang by which time I said that I would be dealing with head office and didnt want to discuss it any further given that I had been at work all day and simply wanted to relax.....I reminded her that I was actually a guest! Twenty minutes later a sandwich turned up! Which I turned away having waited almost 1 and a half hours for it. This is the kind of hotel that gives London a bad name - avoid it at all costs there are far superior places to stay even at discounted rates.....	
Jan 21 2009 	Only stay if you like water torture and poor service	I stayed at the Russell in January 2008. Having worked in London every January and summer for the last seven years – I am used to the ups and downs of hotels, but for a well known chain and large hotel the service here was just awful.Firstly we were booked into a room on the sixth floor; this was large, well accommodated. We were very impressed. The issues with the room didn’t start until the following morning. Upon getting up, and needing to get to a meeting on time, I decided to take a hot shower. Be warned, that in the Russell, this is NEVER going to happen. The water was freezing. I washed – cursing the water, but needing to get to a meeting. I reported this to reception – was told I should have ‘left it ten minutes’ and that maintenance would take a look (isn’t it lovely when you can just shift the start of meetings….in your pretend world).Upon returning in the evening – there was no message at the front desk or on the room voicemail – I thought the issue was resolved. No! The water was colder! I called reception and got the Front Desk manager who told me they knew about the issue it was being resolved and Thames Water were to blame for turning pressure down (heat in water is not about pressure and it’s amazing that even the lowly Imperial down the street had boiling water that day, it’s clear the boilers in the Russell are not working and they are doing nothing about it). I insisted I was moved to another room – they moved me to the fifth floor – again cold water, broken air con and very noisy fans at the back of the hotel (really feel sorry for those on the lower floors). In the queue at breakfast I heard a man from the second floor that he had been moved and he had not had hot water for three days. If you Google reviews of the hotel this has been an issue for months. It’s unacceptable and makes you wonder how they clean rooms and baths with cold water……To top this off – asking for a cup of tea and slice of toast three times and never getting it after half an hour of waiting – with paying for a £20.50 breakfast is a joke. I have stayed all over London, and never had such a poor customer service or lack of care for a rip off price. Stay at one of the Gower Street B&amp;Bs where you will be looked after (the Jesmond is fantastic). They may not look so pretty, but you will be warm, your water will be hot and your toast will be steaming. This experience was the worst customer service I have encountered in London hotels. I will not return, I will encourage my colleagues to keep away and I will never look at that beautiful building in the same way again. In one word – avoid.	
Jan 7 2009 	"Old World" Ambiance and Hospitality	My wife and I recently returned from London, after celebrating the Christmas holidays with our daughter who is married and lives there. Upon her recommendation, I called the Russell Hotel and booked an Ambassador suite since it was large by European standards, and has a King bed.When we arrived on the 24th of December we checked in at the hotel, and were told by the desk clerk that unfortunately due to some plumbing issues, the room we originally booked was not available. Another room was assigned which she said was an upgrade.When we entered the alternate room, we immediately saw that it quite small and not what we were expecting. We have traveled for over 35 years so we have a fairly good idea what a room should look like,We returned to the desk clerk and told her about our disappointment about their choice of alternate room selection.I asked to speak to the Assistant Manager in an effort to resolve the problem. It was then that we met Sanket who listened to our problem and invited us to go to the hotel pub for about 30 minutes, and have some champagne &quot;on the house&quot; while he tried to make us &quot;happy campers&quot;.By the time Sanket returned, we had the pleasure of meeting Manuel the bartender, and the longest employee at the hotel (over 40 years).Sanket immediately escorted us to our new suite. To say the least, it not only met, but exceeded all our expectations. It was truly outstanding.Kudos to Sanket for making the difference.....We stayed at the hotel until the 28th of December.The concierge, primarily staffed with Stephen and Carey, were always there to assist and provide valuable advice.Their customer service approach was always top-notch, and the Russell Hotel is very fortunate to have them in their employ.The house-keeping staff was always ready to accommodate your requests and the rooms were cleaned to the highest expectations.Another bartender by the name of Arjay was also a delight to deal with when Manuel wasn't there.During the day we spent all of our time celebrating with our daughter and the in-laws, but in the evening it was certainly a pleasure to return to the Hotel Russell.The hotel is over 100 years old, and maintains an &quot;old world&quot; charm in its' structure but mostly through its' staff.If you are looking for the typical modern hotel, then this may not be your &quot;cup of tea&quot;. However, if you are looking for a unique hotel experience, with a great location to everything, this would be a great choice. One additional suggestion would be to book a package at the hotel with breakfast included.We are already thinking about a return trip................	
Jan 5 2009	Hotel Russell - Good except for lack of hot water	We stayed at this hotel for five nights starting December 27, 2008. We had previously stayed here a couple of years ago and liked it very much so booked it for this visit. The location right next to the Russell Square tube stop (on the Piccadilly line) is excellent. The location is ideal for trips to the British Museum. The west end theatres and National Gallery are walking distance for those who don't mind a long walk. Soho and its restaurants are also within easy reach. The room we had was very spacious and well appointed. In London terms, the room was enormous. The big disappointment was the lack of hot water. Some days I managed to grab a lukewarm shower. Sometimes there was only cold water. The management was aware of the problem and was working on getting the boilers fixed. On my last day (New Year's day) I had a hot shower. We had called to the management several times about the problem. We did not ask for any compensation to make up for the inconvenience.	
Jan 1 2009 	Go somewhere else	I had received very enthusiastic comments on this luxury hotel from friends in London, specially regarding the style and beauty of the building. The Russell is wonderfully located in the heart of Bloomsbury in front of a lovely square, right next to the tube station and very near to the British Museum. The fact that I had several appointments at the University of London only a few blocks away convinced me that the Russell would be a great choice for my London stay. I made my reservation through the hotel website. I was surprised that the hotel policy is to charge a 10% non-refundable deposit to confirm your booking. The average rate per night for a single room was 160 GBP.When I arrived to the hotel I already remarked that the reception and check-in area was quite small and unappealing. The check-in process was not very friendly and the clerk did not point out to me any of the hotel facilities and amenities.The room I got was a sort of narrow corridor with a small bed, wardrobe and writing-desk. I did not expect something very big for a single room but this was a joke. The room had almost no light as there was no roof lamp but only a 1-meter high lamp with a 40 w bulb (Is Russell a green hotel or it's just saving money?). Plugging my laptop under the table was an difficult endeavour as the lamp cable was 10 inches long I could not use this floor lamp to see under the table. Note that the hotel charges 15GBP a day to use internet. The safe was &quot;conveniently&quot; placed in the wardrobe's floor and had a leaflet with instructions that corresponded to another model so it was impossible to use it. The bathroom was OK (no bathtub): modern and well lit. If I wanted to read The Times or review my presentations this was the place to go...The overall result was very depressing and the only good thing about it it was that it really pushed me out of the hotel. It would be fine if you would be staying at a youth hostel but not if you are paying for a luxury hotel.But the problems did not end there. When I got back home I realised that my 10% deposit had not been deducted from my final bill. So I had to call to England to claim my money back. The accounting office ask me to fax them the confirmation e-mail (one would think they should have it on their own booking system). This was 10 days ago and I haven't heard from them yet.	
Dec 16 2008 	1st Time In London	We stayed here for 3 nights from 12th Dec. Hotel was lovely, especially the staircase. Very impressive. Room was clean however it wasn't cleaned properly the next morning. Rubbish in bins remained &amp; whb wasn't cleaned. En suite was tiny. Staff were friendly enough. Only a short walk from Leisester Square and Oxford Street etc. Would probably stay here again though.	
Dec 9 2008 	Looks better on the outside	We booked this hotel for our wedding night before flying out the next day. You look at the outside and think &quot;wow, that's awesome&quot;. That wasn't quite our response once we got into the hotel. We carried our bags in, had to wait for a porter, the room looked out over some pipes and machinery, and we could hear a noisy disco playing till late. Shower was good, room wasn't spacious by any means. Fine for the night, but glad we didn't have to unpack or live there for a few days. Breakfast had a pretty decent range and hey, we got a free paper.	
Dec 1 2008 	Disappointed	We arrived a the Russell 30/11/08 to find it all in darkness, power cut I thought, but no, planned maintenance. Unfortunately it was not in their plans to tell me. We arrived about 12.30 for rooms to be ready at 2.00pm. We were told the rooms would not be ready until 4.00pm and that there were no other facilities we could use. It was a cold and wet day so we had to trudge off to find somewher to sit and eat for three and a half hours. We did get a room in the end and a bottle of wine as an apology. The room was nice although the water pressure was low and I could not get a hot bath to relax in after the cold and wet wandering round London. The room did not have double glazing either so it was not a quiet night.Good points lovely building in a good location and I did have a good rate for staying there	
Nov 23 2008 	Unexpected Free upgrade.	Both my partner and I had stayed at another Principal Hayley hotel (Horwood House, Milton keynes) at that time we had complained about how bad that was so we were given a complementary nights stay at the Russell (choice of hotel was ours) We arrived to find that we had been upgraded to a top floor suite at no extra cost (nice one and we didnt question it) We found our room to be very nice indeed which was large and tastefully decorated. The bed was VERY comfortable and the views from our room were very nice. The location of the Russell is pretty good and we walked to Covent Garden in 20 mins although there is a tube station a few mins from the entrance. The service was very good, we found the concierge was very helpfull. We liked check out being at midday and breakfast at weekends being served until midday too (breakfast selection was excellent) ok a couple of bad points, the TV picture in our room wasnt great (maybe just a technical issue?) and I felt it took too long for our room to warm up with the heaters on. Apart from that we enjoyed our stay and felt looked after and comfortable but then again this is a fairly expensive hotel so you should expect nothing less.	
Nov 22 2008 	Good hotel in good location	A good hotel in a great location. My single room was a good size (often rooms are very small in London) and all the amenities worked (bath, shower, TV, heating etc. - again often in British hotels things are broken). The food at breakfast was fine, not spectacular but lots of choice and healthy options. Russell Square is a pleasant location close to Brunswick shopping centre, the British museum and there is a tube station next to the hotel which goes directly to Heathrow on the Picadilly line. The only problem was that my room was quite noisy as it is on the main road, especially with the sirens from ambulances and police vehicles. I went on a business account - I probably couldn't afford to stay here if I was paying!	
Nov 13 2008 	Good but also pricey	No doubt this is a hotel with nice, rather recently modernised rooms. Modern design and good furniture, however the renovation budget, reportedly 20 million British pounds wasn't enough to replace the aged windows. Location is close to the Russell Square tube station and close to the British museum.Price is high but most hotels in London are overpriced and the Russell Hotel is probably just in line with what the market gives. However if breakfast were included in the price, one might coem awya feeling to have gotten a relatively fair deal. At check-in time I was asked if I wanted to add-on breakfasts for 10 ponds a day in advnace, or if not in advnce (at check-in time) it would cost 19 pounds. I decided to go for a short morning stroll to near-by cafes and had breakfasts for under 10 quid, as they say. Otherwise, an acceptable place, worth a try.	
Nov 5 2008 	A hotel of 'great' contrasts	Right then, where do I start....... I stayed here for four nights on business at a reasonable rate including breakfast. At first glance, the hotel looks impressive, both outside and as you walk in (fantastic marble staircase). It's a beautiful old Victorian listed building with a tube station just round the corner - the location is perfect, with a supermarket and a wide choice of restaurants, cafes and pubs nearby. The breakfast is very good, food is actually hot and there is a wide variety to choose from. The concierge was probably the most helpful person in the hotel. That's the good part......Now the not so good...... the reception area looks totally out of place in contrast to the Victorian aura, the reception staff are pleasant but, unless you ask, they won't tell you what time breakfast is etc. The room was very small, furniture was dated and scruffy. Bed was however very comfortable. Bathroom was ok, although the water pressure is abysmal, and the water is never hot, tepid at best.There are coffee and tea making facilities but the kettle was prone to falling off its dangerous perch (hard to explain I know). The safe didn't work and there was no chain on the door. Room service was efficient but the food was plain ordinary and hellishly overpriced, as were the drinks. Also, there was an incessant clunking in pipes all night long and the heating in the room was so poor - didn't help that London had its first snow in October for 70 years while I was there. None of the issues I had were addressed during my stay. I know I wasn't alone in having problems. I did overhear a few other people complaining. I get the overall impression that this grand old lady is resting on past laurels and it is probably a pale shadow of service in years gone by. I wouldn't stay here again, except on business and if no other suitable hotel was available.	
Nov 4 2008 	really nice!	Stayed for a night with business and I found it to be a lovely hotel, beautiful architecture and great location. The dining room was really nice for breakfast and staff were very courteous.The room was clean, great air conditioning and just a great place to stay.	
Nov 1 2008	Nice hotel	Stayed for 1 night on business, very nice communal areas and I had an upgraded (£20 extra) newly refurbished room but it was MILES away from reception. Fairly small room but well equipt and when the show tray didn't drain away it was fixed very promptly. Room service was speedy but expensive.Location is good for the tube but parking is a little walk away at the local holiday inn.Overall, a good stay but not amazing.	
Oct 29 2008 	Loved the Russell	My husband and I stayed at the Russell four years ago and was hesitant about going back because of some of the reviews. Four of us stayed at the Russell the end of September into October for 10 days and must say we loved every minute of it. A couple of small gliches but things were taken care of promptly. The rooms were spotless and special dietary needs for one of our travelers was taken care of. Took the Euro-star into Paris for the day and was very disappointed due to police activity causing severe traffic jams. Because of the traffic gridlock, we almost missed the train back to London. We will think twice about going back to Paris. Would recommend the Russell to anyone. If you don't like something go straight to the front desk and they will help you.	
Oct 22 2008 	Very Pleasant Stay at The Russell	Ok, at the rack rate I can see why people might be a little picky. I paid just over £200 for two nights in a twin room including breakfast and considering the location i think that's pretty good, considering the hotel standard it's excellent!We didn't actually get the twin room, i had an apologetic call 3 days before to say the hotel had overbooked the twin rooms and would two singles next to each other be ok - no problem at all and it's nice to be told these things before you're stood at reception waiting to check-in. Ok the single rooms were on the small side but it meant we had two bathrooms so getting ready in a morning was much easier.Both rooms were quite traditional but had recently refitted bathrooms. The rooms weren't as modern or contemporary as those shown on the website but were well maintained, smart in an old fashioned kind of way and had sash windows facing onto the street. There was a nice selection of teas, etc on the beverage tray and good quality toiletries in the bathroom. The room was spotlessly clean, the bed comfortable and the shower hot, the main things you need for a pleasant stay. Public areas were absolutely beautiful, modern facilities with the quality decor of a bygone era.On the Sunday morning there was quite a queue for breakfast but they do serve till 12 on a weekend and there was no queue at all when we left the restaurant at 11. It may be annoying if you're in rush but the bar was set up if you just wanted a quick and simple continental breakfast. Breakfast was actually pretty good, we didn't have to wait long for tea/coffee even though they were obviously very busy, there was a decent selection of fruit, cheese and cereals aswell as good quality juices and a piping hot cooked breakfast.I would happily recommend The Russell on my experience, in fact i'm quite sure some of the other reviewers stayed in an entirely different hotel!	
