	It's the staff that make it excellent	Just off Leicester square, but surprisingly quiet this is a functional Radisson, with well equipped rooms and feels very new. I was given a first class welcome at Reception and that level of service continued through my one night stay. At breakfast (which is costly but worth it) it was a real pleasure to be served by staff who seemed to be enoying their work, but were also professional. Simple things like saying &quot;May I take your plate away&quot; make a big difference. Definitely not a budget option, but worth it for the location.	
Jun 2 2009 	Can't fault this hotel!	We stayed here for 4 nights in May to celebrate our first wedding anniversary. The hotel is in a fantastic location, on Leicester Square, all the restaurants, bars etc on your doorstep. Yet just on a side street and I never heard a single noise at night. It would be easy to get confused with the Radisson Hampshire - that hotel faces right on to Leicester Square itself. If you are looking at the Hampshire face on, turn to your right and you will see a Ben &amp; Jerry's ice cream place on the corner. The Radisson Leicester Square is just on that side street, you can't miss it. Our room was on the 3rd floor and pretty much outside the lift - I was concerned we'd be bothered with passing noise. Again, I never heard a thing! We slept very well for the entire 4 nights. The room itself was a good size for a London hotel and very nice decorated. We had plenty of hanging space as well as drawers. Plenty of plugs was also a bonus - we usually have to decide between plugging in hair straighteners and phone chargers. Not here though, plug sockets everywhere! It was also good to be able to open the windows for fresh air and as the room had air conditioning, it was very comfortable temperature wise. The bathroom wasn't huge, just a shower, no bath, but well laid out, nicely fitted out, great shower with overhead rain shower and handheld attachment. The only suggestion I could make is maybe having a shelf in the shower area, as if you are using your own products you have to keep bending down to pick them up off the floor. They did have a good selection of Gilchrist &amp; Soames toiletries, using the pump dispensers rather than wasteful individually wrapped items. We didn't have breakfast here so cannot comment. There are plenty of places within a stones throw serving good breakfast at better prices. The staff were very friendly and helpful, helping us get a taxi on our evening out. We decided to book this hotel as a special occasion, but if coming back to London, this hotel would be the first place I'd try to book. Location, quality of accommodation, helpfulness of the staff, I'd like to come back here.	
May 29 2009 	Wonderful friendly staff made us feel welcome.	The hotel is so convenient for theatres and shops and restaurants. Just a few minutes walk from Regent Street, Haymarket and Covent Garden. The staff are great, very helpful and welcoming. We had dinner in the hotel restaurant. The food was excellent as was the service. The restaurant itself was very comfortable and had a nice atmosphere. The prices were quite reasonable for London.	
May 18 2009 	Nice location cosy rooms	Stayed for 3 nights in Nov 2008. Terrific location, behind National Gallery. Rooms quite cosy, but really small even for a single traveller. Bathroom was spacious and clean, a big plus. I would highly recommend this hotel for its central location. But shop around -- for its steep price, this place is best for short stays only.	
May 9 2009 	Quality in every respect well worth a visit.	Having searched extensively for a hotel in or around Leicester Square (to be handy for 'theatre land') Radisson Edwardian came up with good reviews and was well priced (for a London hotel). The reviews proved to be true. We recieved a warm welcome and found the room to be lovely, a very reasonable size and nicely kitted out, as was the bathroom. I nipped out soon after arrival and on my return was welcomed by name and asked if all was well, it was, but I mentioned that I wasn't quite sure where the theatre was that we'd be visiting in that evening, immediately a map was produced and directions given, all very helpful! A good nights sleep was had as the hotel is just off the main square, and the bed was very comfortable. The breakfast was also excellent, a wide choice and service was prompt and efficient. As a result I would certainly recommend a stay at this hotel, the only tiny point is that there is no fridge/mini bar in the room so remember to take your own water/cold drink etc, kettle and tea/coffee/ironing board/iron/hair dryer are all there though. We stayed for my partners birthday and the hotel decor etc and quality of the rooms were of a high enough standard to make the hotel feel more than special enough for the occasion.	
Apr 27 2009 	Great Location	The hotel is in perfect location near all the bars, cafes, cinemas, clubs, art galleries, Covent Garden, Chinatown and restaurants. The hotel is small. I liked the fact that all the corridors have carpets in them, so we didn’t hear any noise from other guests. There is only 1 very small lift for guests which was out of service for 2 days during our stay, so if you do not like using the stairs I suggest that you ask for a lower floor just in case it breaks down. The standard rooms are very small with small closet, typical for London, but because of the location we were outside most of the time and this did not bother us at all. The bathroom was very nice. Our room did not have a mini bar in it. The furnishing was very nice, neat and new. We booked the 1st 3 nights directly from the hotel and the last 3 nights through expedia, doing so we saved about %20 total and got breakfast included in the last 3 days of our stay. The 1st time we had breakfast, it was amazing. Excellent English breakfast and excellent quality choice of fruits and yogurts. However, the 2nd and 3rd time we had breakfast it was overcooked, extremely dry and unpleasant. Even though the lovely waitress changed the cooked breakfast for us, we still got the same dry rubbery eggs and sausage as before. I guess the main chef has a break on the weekend.We would give the hotel a 4+ stars and would highly recommend it.	
Apr 26 2009 	Decent hotel at a fair price in an excellent location.	My wife and I stayed here from April 23 - 25, 2009. We were looking for a quiet hotel in a good location. The room we had was quiet and the location is excellent, within walking distance of theatreland, the shops, Whitehall and the National Gallery. The stand-out features of our stay were the quality of service and friendliness of the staff, both of which could not be faulted. The shower is the only potential downside for the elderly traveller like us, being of the very modern, walk-in variey with marble, and slippery, floor. Perhaps some sort of mat could be made available for those with precarious balance.Would we stay again? Yes, we would!!	
Apr 23 2009 	great hotel breakfast to die for	great hotel nice staff very helpfull breakfast to die for well done ime impressed	
Apr 20 2009 	One night in Leicester Square!	I was met by incontinent staff who spend hours trying to process my details. The Hotel Receptionist Insisted that in the charge of £149 for one night that my breakfast was included. The Room was nicely furnished nonetheless but with alien hairs on the bedspread which were a nice welcome treat. A broken television remote and poor amount of channels were also included in the fixed penalty. After I had eaten my seventeen pound breakfast which wouldnt have looked out of place on a plate in wetherspoons I was then told by the staff that there had be a mistake and breakfast had not been included in my original charge!	
Apr 16 2009 	Amazing	Excellent service, comfortable room, brilliant location!!!	
Apr 7 2009 	Radisson Leicester Sq Perfect central and chic in every sense	Both myself and my wife stayed here last weekend. The 3rd to the 5th of April. Our main purpose was to see a show on the Saturday night. This hotel is really a little gem. Not as big as the other Radisson right next door( the Radisson Edwardian Hapshire Hotel) to which I was mistaken myself in thinking from researching it on the internet that they are the same hotel. They are not. however this one is beautiful in its own way. Its very chic and contemporary and the staff cant do enough for you. A particular mention has to go to the reception, specifically one of the guys who altough I cant remember his name recommended several really nice places to eat out in and gave us directions to the key attractions. After all 2 and a half days is never enough in London , especially when you are in the very center of everything while staying at this hotel. So you sort of heve to prioritise seeing things. The breakfast is very good. As another review has already rightly said, you can have a healthy brakfast with lots to choose from or you can go for the Full english fry up which is also very very good. If its shopping you would also like to do, Oxford street is about 15 minute leisurely walk up through Soho, Covent Garden(a Must see) and Regent Street are 5 min walk away and Picadilly Circus is right around the corner. All the major theatres are within 5 mins, trafalger Sq in th the other side of the block. Saying that this hotel is so peacefull and quiet being in the middle of a very busy city. Would definetly recommend to anyone going to a show or wanting to be near all the attractions. The rooms arent huge but are a nice size and dont feel cramped.	
Apr 3 2009 	Wow now this was grand	I thought this hotel was typically British and even had that stiff upper lip atmosphere to it - but that added to my enjoyment of this establishment. Bang in the center of Leceister Square where all the movie premieres are held I thought this was a wonderful choice. I was on business, but after the meetings, I felt like a tourist....and would love to stay here again.	
Mar 27 2009 	Like being home	We celebrated New Year in London. The Radisson is perfectly situated in walking distance from most cultural and shopping activities you can imagine.The rooms was spacy, modern and the king size bed was comfortable. The B&amp;O TV kept us in contact with the outside world.Service was just Thumbs up. We had forgotten our hairthings. One call and the serviceteam ran out and purchased what we needed.Breakfast was increadible with focus on health if you so wished.We will certainly be back.	
Mar 21 2009	Luxurious lovely 	We have nothing bad to say about this hotel. It is well worth every penny. Stay here. You will not be disappointed. From the rooms to the staff to the location, everything exceeded expectations by miles and miles.	
Mar 12 2009 	Fantastic location and service - recommended	We stayed here on Sunday night (08th March) for my husbands 40th birthday. Fantastic location. Just off Leicester Square, so within walking distance to all the west end has to offer. It was also very quiet at night which was a real suprise considering you are in the heart of all the action. We booked a superior double and found the room to be spacious and very chic. I would describe this as a very classy boutique hotel. The staff were wonderful, so friendly at check-in with particular mention to Maria on reception. I wish more organisations employed lovely,friendly people like her! We would definitely stay there again and hope to go back soon.	
Mar 8 2009 	The hotel was fantastic the staff were superb all in all a wonderful time	The hotel was fantastic the staff were superb all in all a wonderful time, right on Leicester square fantastic location for central London	
Feb 26 2009 	London Baby!! The Radisson Leicester Square Rocks!	Stayed at this hotel for three nights on a trip to London with family to take in a show and see the sights. The location of this hotel can't be beaten - it is practically on Leicester Square and the whole of theatreland is within walking distance, as is Trafalgar Square (5 mins), Downing St (15 mins), the London Eye (30 mins). The half price tickets booth on Leicester Square is right on your doorstep. We had booked tickets to one show in advance but couldn't resist temptation to buy half price tickets for two more shows! Very convenient.The hotel itself was spottlessly clean. The bedrooms aren't huge as you would expect in London but perfectly functional and well decorated, with a quite luxurious feel. The decor is bright and modern and all necessary mod cons are provided.The only gripe about the hotel is the breakfast price, £17 for full english - not including tea/coffee which is an extra £3! Not to worry though, there are plenty of places around and about to eat. We frequented Garfunkels for their extensive breakfast menu each morning - just around the corner via Leicester Square, on the way to Trafalgar Sq. We bought Original Bus Tour tickets from the nice man on Trafalgar Sq and used that to get about for the next couple of days.Didn't eat in the hotel or use the bar - it is not a very big bar area. Guests are however able to use the hotel bar at the Hampshire - literally across the road from the Leicester Square hotel. The bar tariff is pricey though!If we go back to London to do more theatre shows we will definitely stay here again.	
Feb 25 2009 	Perfect Place to Stay in London!	We stayed for the second time in a few months having held our work Christmas do there in December, my wife and I went back for a long weeken. The staff are incredibly friendly and helpful and the hotel is very clean, new and even the food is excellent (very rare in a city hotel!).Now wouldn't stay anywhere else in London!	
Feb 18 2009 	Nice room shame about the windows	We stayed once again for my husbands birthday, we had a double premier room, which was spacious and clean. However, the view left a lot to be desired, looking straight out over the back yard and facing a brick wall, but we closed the blinds and forgot it. The room seemed very cold and bearing in mind it was winter and very cold outside we decided to turn the heating up, but no matter how we tried all we got was cold air con. I asked reception if someone could look at it and they said someone would come shortly. In the meantime I discovered why the bathroom was freezing, there was a small window just outside of the bathroom door, and in our seating area. The wind was howling through this window, as although double glazed it was in fact broken at the hinges, and had come away from the frame. About 45 minutes later a maintenance man arrived, messed about with the heating and said he had fixed and and would be back to check in a short while, I pointed the window out to him and he said there was nothing wrong with that. His english was not very good. After another long wait he came back and said that the heating was now working. After he'd gone I had to push rolled up paper into the gap around the window, and it took a lot of paper. Appart from that we had a nice time, but at the prices they charge we will not be going back again. I did expect a warm rooom not one that was blowing an artic gale, and also for the price a better view. Also hanging around for the maintenance man lost us a valuable few hours sightseeing. If you go in the winter, take warm clothes just in case.	
Feb 4 2009 	Great Location	Stayed at this hotel last week (27th to 29th Jan 09) with my wife and have to say that it was great. Room is spacious with ample cupboard space and bathroom very well set out. The room was very well kept , modern with plasma tv , no external noise and extremely clean througout. Step out of this hotel and you have a wide variety of restaurants, night clubs, cinemas, theatres.Oxford Street is within walking distance.Staff very friendly and helpful from moment we arrived. Would highly recommend this hotel.	
Feb 1 2009 	Excellent!	Incredible location. We spent six nights here, and it was just great. Very professional and helpful staff. Sparkling clean rooms with extra-comfortable beds (our stay was divided, so we had two different rooms). The only little thing I'd mention is that the doors to the rooms slam loudly and can be heard (and sometimes felt) quite clearly .Turn left out the front door for Leicester Square and the theaters. Turn right and the National Gallery, Trafalgar Square and the London Eye are there. Easy walks to wherever we wanted to go. Buy an Oyster Card for tube use - costs 3GBP, plus the amount you want to put on it for travel. Add money when you need to. When you leave, turn it in and you get back your 3GBP plus whatever amount remains on the card!	
Jan 9 2009 	Liked the Radisson Edwardian very much	We stayed at the Radisson Edwardian Leicester Square overnight to go to a film premiere at the Odeon Leicester Square. The location could not have been better - it was literally a 2 minute walk across the square to the cinema. The hotel is not actually easy to find unless you know its location. Just look for the Radisson Edwardian Hampshire which is in Leicester Square and the Radisson Edwardian Leicester Square is almost next door - actually on St Martin Street. A bit confusing! The hotel was bright, modern and absolutely spotless, although quite small. The lift is very small and needs your room key to operate it - a bit unusual but probably a good security point. Check in was quick, efficient and friendly. Our room was compact (but not as small as some I have stayed in) but modern and well organised. The bed was a bit hard (I usually say that!). The bathroom was lovely - small, but modern and sparkling clean with nice soaps and bits and pieces and a walk in shower (no bath). We were a bit disappointed that there was no bar to sit in and have a drink after the film, but there are plenty round about. We paid about 190 pounds for a superior double room including breakfast. Breakfast was excellent - plentiful, lots of choice and the English breakfast beautifully cooked and presented. The restaurant itself was very comfortable and service was good. The hotel maybe lacked one or two facilites because of its size, but I would very happily stay again if I wanted to be in that location and would be happy to recommend it.	
Oct 15 2008 	Radisson Edwardian in Leicester Square-great!	Excellent location - could not get any better!Room was also great (although check in not allowed before 2.00p.m.). Bathroom a little on the compact size, but nothing to complain about.Service was beyond what we expected - nothing could improve on how we were treated by the staff. Did not have breakfast at the hotel though - a little pricey at £21.00!Highly recommended - a lovely haven of tranquility in a bustling Leicester Square!	
Sep 27 2008 	rooms and bathroom small	stayed here in July. Rooms very small and bathrooms tiny. Resturant was empty most nights and TV didnt work despite repeated requests for assistance to fix it.	
Sep 26 2008	Perfect location wonderful staff weird ventilation system	Perfect location for where I needed to be (midway between Leicester Square/Covent Garden) and a really nice staff. (when the promised printing service at the business center was non-existent the staff gave me his yahoo email address so I could send documents, he printed and delivered to me under the door at 1am!; one went blocks and blocks away to grab a cab). The rooms are small but perfectly serviceable. It's not a place you want to spend a lot of time in (one small window) but well-priced, free wi-fi, everything you really need for a quick trip.The only weird thing was the ventilation system. The first morning I was there I woke to smell bacon/eggs like they were in the room. The next morning I smelled some kind of perfume/cologne (not a bad smell but odd), and then I smelled cigarette smoke. Clearly an issue.	
Sep 18 2008 	British at its best	Expensive but in a prime central location. I stayed here for a family weekend and it was perfect for our purpose we had tickets for the westend and generally wanted to do the tourist thing.Although the atmosphere lacked a little the staff were pleasent and helpful.	
Sep 7 2008 	Brilliant Birthday Treat	We stayed here for one night only during which we spent little time in the room.However the room was spacious and elegant. The bed is very soft and comfortable and the bathroom was also reasonably sized.I have been to bigger and better hotels in different cities but I felt this hotel was just perfect.The receptionist was polite and spoke good English. The breakfast was ok but not worth the extra money (ours was included). The lift is very small and slow, so it is normally easier to walk up the stairs. The hotel is located right behind Leicester Square, perfect for Tourists. The only downside was the main door of our room (307) didn't quite reach the flooring and left a gap. This allowed all noise outside right in. The doors are also very heavy and cannot be closed quietly. However there was only 1 other couple on our floor, so we were lucky.Overall a good hotel.	
Aug 27 2008 	Fab Location!	We loved this hotel, perfect location and really contemporary which we love. The room was very plush although the glass door to the bathroom was a little disconcerting even though it was frosted but you could still see a silhouette so if you're in a new relationship you may not want to go to the toilet while you're there! :o)We chose to have our breakfast which was included in the price in our room and it was lovely. Would absolutely stay here again, in fact we can't wait to!	
Aug 26 2008	overall fantastic	As a Travel agent im always looking for good customer service and quality hotels, well The Radisson Edwardian Leicester square lived up to its superbreak overview it was fab!I booked the hotel through a package theatre break with superbreak.we arrived at the hotel about 11am in the morning concierge carried our bags! felt abit silly! knowing we couldnt check in until around 2/3pm. they let us check in at 11am our room was ready which was fab, lovely front of house staff tending to our every need, telling us about facilities of hotel and area.we had room 104 on the first floor the room WOW! cream leather padded walls bang olufsen plasma on the wall power shower square tiled sink and floors, the room was a work of art! very modern. not massive but big enough for what you would expect from a London hotel. brillant air con. Breakfast wow! loads of juices cereals nuts apricots fruit laid out for you to pick yourself. full english was included in our package which came as you ordred it! a posh full english! enough though, they brought you as much toast as you wanted posh jams tea coffee etc! location was prob the best in London right in the heart of leicester square but not noisy at all! the radisson hampshire is next door and is facing leicester square the edwardian is situated on the side street next to the big cinema which is prob a better location than the hamshire, right outside the hotel is the stars handprints of slyvester stallone etc! its brill! you can walk 1 min away is trafalgar square 10 min walk is buckinham palace, The London Eye and theatreland. I really recommend this hotel, its well worth the money and def a 4*.p.s we went to see The Lion king and it waas great.Lauren Thomsons Travel	
Jun 30 2008 	Worth the money	Firstly lets get the rating out of the way; is it worth its four star rating - yes (IMHO)Stayed here in late June for my wedding anniversary, booked directly with the hotel. Very efficient booking service - got email confirmation within 10 minutes, and was also able to view the booking on their website.On arrival at the hotel we were both warmly greeted by the concierge and the lady atthe check in desk. Check in quick and efficient. Room was not not ready but we were early (midday) We were offered help getting our luggage from the car, but as we only had one bag I declined. The car park is only about 200 metres away; as car parks go, it's quite nice - well lit with generous spaces. £35 for 24 hours - expensive but that's London for you.After seeing our Matinee show we returned to the hotel; room keys issued we proceeded to floor 7 (top) to find that the key card didn't work. I returned to reception where the lady was most apologetic, and re-coded the keys. Back up and guess what - same again - still didn't work! Back down again to reception. This time they took no chances and sent for both the housekeeper and the maintenance guy with me! This time key was ok, and we entered our room.OK, so the room wasn't massive - bit it wasn't small either. Huge queensize bed with plenty of room all the way round. One pale leather wall, the rest light greyish paint. Great Bang &amp; Olufson flat screen TV on the wall, all channels working. Beautiful bathroom, black marble (effect) tiles walk in shower which was fantastic.So there you have it. Booked a standard room, got a standard room, thouroughly recommend it.Location is great for all things; Theatres, National Gallery, shopping, Covent Garden, restaurants, etc.Staff were VERY polite and friendly - could not fault one of them.Can't comment on the food as we ate out. However, the hotel restaurant looked great, and the prices reasonable. Breakfast looked expensive at £17 - so we found somewhere else nearby for a more price sensible option. Not the cheapest hotel, but we wanted something a little bit more luxurious - and in my opinion - we got just that.	
Jun 8 2008 	Great Modern Hotel	We had a great stay at this hotel. The location is very good and proximate to many London sights. The room and especially the shower was awesome. The place was recently renovated and is very nice and current. The free internet access was a great feature as well. We will definitely stay here again.	
May 28 2008 	Lovely Chic Boutique-style Hotel	Arrived late and first went to the neighboring Radisson Edwardian Hotel, There was no sign of Leicester Square Hotel on my booking. That said, I think it was an upgrade. I liked the sleek design and the very friendly desk person who checked me in, The room was lovely but small. Very smartly decorated and comfortable. It was quiet, which was surprising for such a busy location. The location is perfect for walking to many interesting sights and museums. I was there for work but enjoyed my short walk to my office. It was a good experience in a nice, clean, modern hotel with friendly staff, I will stay there again.	
May 9 2008 	Good location some good rooms but incompetent booking system	When we arrived the receptionist kept us waiting for almost half an hour saying there was some financial discrepancy on our voucher from Superbreaks for which we had prepaid a 3 day stay. Eventually he gave us a room and told us we would have to phone the booking agency - despite their number being printed on the voucher. When I called the helpline they quickly made it clear that the hotel was completely in the wrong and that they should have phoned themselves. We were also given the worst room in the hotel (they admitted afterwards) with no window). The next day we were moved to a very pleasant room - comfortable with nice view and modern, stylish fittings. Enjoying the central location and excellent breakfasts we relxed until checkout when another recptionsis suddenly came up with the idea that we had only been entitled to &quot;express breakfasts&quot; andwould have to pay for those we had had. Apart from no such thing being offered or being on the menu it was again absolutely clear on the voucher that the purchase was for &quot;full breakfast&quot;. We left with a bad feeling.Until this establishment sorts out its incompetent booking/finance system I would not recommend it, despite its other advantages.	
Apr 24 2008	Lovely Old Fashioned Hotel and Fab Location	Had booked to stay in the neighbouring Raddison Hotel and was upgraded to the 5 start one (well they were obviousally overbooked and we were moved but not complaining). Lovely room and it had some little personal touches to it. Right on Leicster Square which was a bonus. Breakfast was fine, not a huge choice but adequate. Staff were friendly and smiled which is always a bonus. Would stay here again.	
Mar 26 2008 	Location is king	Stayed for one night in January in connection to a business meeting. The room was very small, but in a modern design, including a very nice bathroom. The hotel - including the room - is clean and the restaurant connected to the hotel is Nice. The helpful staff at the reception adviced us (and booked) on a fantastic upscale Indian restaurant in the neighborhood. The hotel is nothing fanzy and not for claustrophibics, but the location right beside Leicester Square is fantastic.	
Mar 23 2008 	well positioned but small rooms	we stayed for three nights as part of an aniversary visit to london.the first room offered although well presented was small. we paid for an upgarde the window looked out onto the fire escape so do not expect much of a view.. the staff were all freindly and helpfull but the making up of the rooms was very slow. the bar closes at 10pm but you can make use of the facilities in the Hampshire next door.this is really a business mans hotel its a bit over priced for what it offers but if you want good clean rooms plus a very good breakfast in the center of london then rhis could be the hotel for you.	
Feb 10 2008 	Very clean but very small and overpriced	Good points:Great location,Clean and very friendly professional staff.Bad points:WAY overpriced,.Stayed in a king deluxe room on the third floor which was just tiny.The same could be said for the bathroom.No Bathrobes,No minibar and to top it all had only one chair in the room so either me or my wife had to sit on the bed.Would i go back to this hotel.Hell no have been to far better in london and just sort of felt we have been properly ripped off with the whole DELUXE room title.When our sunday morning came we was out the room by 10am due to feeling very clostraphobic.Big tip for a great romantic meal is the Brumus restaurant just off of the strand.Mega quality food and service,Cheers guys.	
Jan 3 2008 	Excellent Location	Very good hotel in a brilliant location. If you are looking to be near Theatreland, shops, Soho, Covent Garden and Trafalgar Square/Galleries then this Hotel is the perfect location.Rooms - Very good, not as big as you might hope for but has everything you could need. We stayed in a deluxe room and upgraded whilst we were there on New Years Eve to the one and only suite, which was well worth it. Lovely room split in two by a state of the art bath room with a huge bath, two great TV's.Staff on the whole very pleasant, Reception staff very attentive.Would definitely go back to this hotel. Highly recommend it even just for the location!	
Dec 20 2007 	Fantastic Location	The best location in London. It is right off of Leicester Square, perfect for Theatreland (with the official half price ticket booth right out the front door) and Trafalgar Square one block away (could spit on the back of the National Gallery, that's how close). The hotel and rooms are sleek and ultra-modern - I actually liked the odd green/purple/white color scheme. Our room was TINY. Basically only a bed could fit in the room, so there was no desk or chair. Not good if travelling for business (nowhere to work). The bathroom, however, was suprisingly spacious (almost as big as the room itself) and very well appointed. Ask for a top floor room - from our window you could see the top of the Nelson Monument, the Eye and Big Ben (if you craned your neck). Skipped breakfast at the hotel and just ate at one of the many &quot;Pret a Manger&quot; locations near the hotel (relatively cheap, decent food). All in all very pleased with the hotel, albeit at a discounted rate (you're really paying for the location).	
Nov 8 2007 	Looked good but never so it!	I have booked this hotel with Expedia for business. I choosed it because of the perfect location and modern rooms (I hate old style english hotels). I got there at 8 pm, tired and hungry. At the beginnig the lady at teh reception made some good acting but at the end she admitted that they did overbooking and sold my room. I was sent to Radisson Edwardian close to Tothenam road: of course it is a old style victiorian hotel with old forniture, old bathroom and old guests. I will never book a Radisson Edwardian again.	
Oct 16 2007 	Was the Pastoria now the Leicester Square Hotel	Have stayed at this hotel on several occasions when it was the Radisson Edwardian Pastoria. Following a complete refurbishment two months ago it has been re-named the Leicester Square Hotel.The whole place has been refurbed to a very high standard in a very contemporary/minimalistic way. I think this contemporary look is becoming a bit ubiquitous and dull in hotels nowadays. The previous Pastoria (and Hampshire) had a luxurious oriental feel about them which seems to have been lost somewhere.The new look is a bit sanatary and the expanse of white marble in the reception area reminded me of some sort of pathology lab. The rooms are well appointed if not small and the decor and soft furnishings are very modern in look. The bathrooms are to a very high standard. The Bang and Olufsen TV is far too complicated to operate. The location of the hotel for visitors to London cannot be beaten - right in the thick of it! Everywhere is within easy walking distance to all the major sights and shopping.-Ve's - breakfast was disappointing for the £16.00 paid. Bacon was fatty and sausages were pathetic cocktail efforts not proper English 'snorkers', although the breakfast area was very pleasant (used as the bar in the evenings) Fan in bathroom couldn't be turned off (constant drone all night).+Ve's - very high standard of decor throughout. Staff were unusually polite, helpful and professional [Chris on Reception in particular]. I speak from experience when I say that hotel staff in London are usually surly, unfriendly and indifferent - so it was a refreshing change to deal with people who were genuinely pleased to see you.The crystal french Baccarat lampshades in the rooms are a very nice touch.	
Oct 14 2007	OK place	Spent a night at the hotel in October 2007. The room was on the small side and overlooked lots of scaffolding! The front desk staff were friendly but very slow and check out was a nightmare. The trainee was left in charge and the training was either in the early stages or was yet to happen. On the plus side the room was OK , the location brilliant for theatreland, the bed huge and comfy and the breakfast service in the restaurant was excellent. Actually, I kinda liked this place and would return.	
Sep 25 2007	Beware which Radisson you are booking into	we booked the Radisson Leicester Square via the website but beware - there are two seperate hotels in Leciester Square, the Edwardian and the Hampshire. From the website pics we were under the impression we were booking a deluxe in the bigger Hampshire, when in fact we booked the Edwardian. the room in the Edwardian was very disappointing given the nightly rate we were being charged. it could only be described as standard and had an air conditioning unit outside the window which droned constantly. The duty manager couldn't seem to care less about our comments either. So beware if you are looking to book this hotel.	
Sep 9 2007 	Under construction...	I stayed at the newer of the two Radissons at Leicester Square for three nights on business. First, the positive: Location! Right smack in the middle of Theatreland, it can't be beat. But that was about it. I had the pleasure of visiting London for three warm days and nights, and the airconditioning was not working. Opening the window was out of the question, as Leicester Square is bustling with activity 24/7. I assume this is because the hotel has recently been refurbished, but a business hotel at 250 pounds a night really need cool rooms. The staff seemed a bit rusty as well. I asked for a fan to be put in my room, which I was told would be fixed. I never saw a fan. On my second day, my room was not cleaned. I asked for it before I went out for a quick shopping, and it was still not fixed when I came back an hour later. Granted, the room had been cleaned when I came back to my room after dinner. The cleaning itself was not good either. I left the ironing board in my room out the first morning, and it was never put back in the closet. And the breakfast, at 16 pounds, really should have been better. Dry croissants and a very slim selections of fruit would suggest a lot better value at the Ben &amp; Jerry's around the corner. So until the rebuilding and retraining of this hotel is verified, I would definitely suggest staying elsewhere.	
Sep 4 2007 	Last Minute Deal	The location of the hotel is great - being on one of the corners of Leicester Square. The room we had (standard double) was a very good size, clean and tidy with a good view over Leicester Square.We expected it to be noisy in our room, but it was very quiet. The staff were excellent on reception and very helpful. They were especially helpful today in giving us directions to get across London whilst the tube strike was on.The only negative point was the room got very hot in the night as the air conditioning did not seem to be working very well. Other than that we had a very pleasant stay.	
Aug 1 2007 	Pass On By	Stayed for 1 night in July. Room very small, bed even smaller forget it if you are over 6 feet tall. Decor poor needs a refurb.Main complaint was noise. Doors banging all night and staff drilling in the afternoon. Not a 5 star hotel by any stretch of the imagination oh apart from the bar prices! Give it a miss.	
Jun 2 2007 	Great Staff	This hotel is right on Leicester square - - thus everything within easy reach.I appreciated the hotel service. The staff were professional and friendly - - the best service, I recieved in a Radisson hotel.Another plus is that notwithstanding the hotel is in Leicester Square,it is still quiet &amp; one can have a good night rest.On the down side, one has to not that the rooms are quite small, and I think that in the summer, the rooms will be extremely hot. The windows in the rooms are very small.	
Sep 25 2006	We checked in and checked straight out!	This hotel may be well situated in the West End but that is all that is going for the hotel. The decor and rooms are dated - no aircon, very small and my colleagues room didn't even have a window in the bedroom!!No hotel bar, no mini-bar. Hotel hot and humid, no atmosphere.We checked in and checked straight out. There are better hotels in central London for the same money.	
Jul 3 2006	Brilliant Location - Shame About The Rooms	Having previously stayed at the Hampshire, a sister Radisson Hotel just a stone's throw away, I often went by the Pastoria admiring it's foyer and dining room, clearly visible from the street, and so on a return to London in June 2006, decided to try it out.The staff are superb - friendly and knowledgable, and every bit as nice as those in the Hampshire, and the two public rooms are as inviting from the inside as they look from the street.There is no bar - or at least there is one, but it is totally stripped. However you can use the bar in the Hampshire and anything consumed there can be added to your Pastoria bill.The bedroom I ended up in however, was sonmewhat gloomy. It did look out onto the street, and was fully equipped, but I do feel that when a room is already gloomy, utilising dark furniture is not always the best solution! However, it was spotlessly clean at all times.The bathroom was large and airy, but like the room, somewhat tired and dated.The public rooms have air-conditioning, but the bedroom I was given, had none. (I am not sure if any of the bedrooms have the facility, but the hotel did give us a large and reasonably quiet fan!)The room itself however was very quiet. Leicester Square being pedestrianised, is mainly traffic free, and although a few football fans were vocal enough early in the evenings, by the time we went to bed each night, the area was very quiet and remained so throughout the night.Breakfast was excellent - I actually got the impression that it is cooked in the Hampshire, and brought over on trays from that hotel, but perhaps I was mistaken. In any event, it is the highlight of each day.It seems you can have any newspaper you like as long as it is The Telegraph. (Is the Telegraph a compulsory feature of all Radisson hotels?)Check-in was quick and friendly. Checkout equally so although the hotel was unable to raise a taxi for me on a Sunday afternoon, even though I had given them a half-hour's notice. (Admittedly England were playing Equador at the same moment, so perhaps London's taxi drivers had more important things on their minds than my need to get to Heathrow!).The elevator as others have mentioned, is unusually small - certainly, taking our luggage up with us is a bit of a squeeze (and a timely reminder that I really must do something about my weight).Overall, a very enjoyable stay. The staff and the breakfasts more than make up for the rooms, but it is not an inexpensive hotel, and if you can push the boat out just a little further, the pricier Hampshire is far better value.But what a location, and what a staff!	
Jun 24 2006 	Skip this hotel	Like other people wrote the one big thing going for this hotel is the ideal location in Leicester Square. It's near every convenience and if you're going to the theater it's perfect. HOWEVER, the rooms are shabby, the bathroom is depressing and there is no air conditioning. This particular weekend is quite warm and the room was stuffy and uncomfortable. There is no one to help with bags, no restaurant, no bar, no mini bar. And true, the one and only elevator is SLOW and miniscule. I barely fit in with my suitcases.	
Apr 5 2006	Very pleasant stay	One night stay, friendly staff, excellent location, very reasonably priced hotel for central London, clean and comfortable. Definitely consider this as an option for central London again.	
