	On the slide	This hotel is on the way down. We have been going for several years and it started off as a great value find. Time passes and standards slip. Dirty towels, disinterested staff, no staff on Reception...no sense of Service	
Mar 22 2009 	Basic Comfortable Hotel	We stayed here for free in March 2009 as part of British Air’s London for Free promotion. A few years ago we had stayed at the Royal National as part of the same promotion and this was a much nicer hotel than the Royal National. The hotel is fairly new and the rooms are fairly large and equipped with coffee/tea service. The rooms are basic, but clean with comfortable beds and showers with hot water and good pressure. The rooms didn’t have safes and the internet access was 10 pounds for 24 hours. We should have paid cash for this since the hotel’s exchange rate for putting this on our credit card was the worst rate that we had in London. The continental breakfast included hot and cold cereal and an assortment of fruit and breads.My main complaint about the staff was that they weren’t able to answer any questions. They didn’t know exactly when the water taxi operated (apparently only for approximately 2 hours in the morning and another 2 hours in the late afternoon) or info about the buses or info about the nearby restaurants. On the morning that we checked out, only one person was working at the front desk and the line got fairly long.As everyone has mentioned, the Fulham Broadway tube station is quite a hike and a closer tube station is supposed to open later this year. In the meantime, take the 391 bus to the Fulham Broadway station (take the 391 to Richmond and get off at Fulham Town Hall stop for the tube station…to return to the hotel take the 391 to Sands End and get off at the Chelsea Harbor stop which is to the right of the hotel’s front door). To save a transfer on the tube it is better to take the C3 bus to the Earl’s Court Station (C3 to Clapham Junction and get off at Earl’s Court Station…on return take the C3 to Chelsea Harbor and get off at the Imperial Way stop which is to the left of the hotel’s front door). You can catch both the C3 and the 391 buses at the stop that you can see from the lobby when looking straight out the front door. The fare is 2 pounds. The only time that the bus did not run promptly was the morning that we needed to go to the airport so after waiting for 15 minutes we took a taxi to the Earl’s Court Station and that cost 9 pounds, including tip.There are several restaurants near the Fulham Broadway tube station including a nice (inexpensive, fast, good food, friendly, family-owned) Vietnamese restaurant called Me Me near the Fulham Town Hall bus stop. There is also a pharmacy and Sainsbury’s Market in the Fulham Broadway tube station. The M &amp; S market near the Jury’s Inn is now closed and the Thai, Indian, and Chinese restaurants in the Imperial Wharf development were never open as far as we could tell. We did eat at the Waterside in the Imperial Wharf development and the food was good, but the service was absolutely terrible. If there had been other open restaurants nearby, we would have left. The Imperial Wharf development looks as if it is far from fully occupied which has probably had a negative effect on the M &amp; S market and the restaurants.	
Mar 20 2009 	Great find at a great price!	Stayed at this hotel when attending a friends wedding in London. Great room on the 6th floor, the &quot;Laura Ashley&quot; floor. Considering the very small price I couldn't believe the large corner room with view onto Imperial Wharf development. Very comfortable large double bed, a sofa, 2 chairs, a large LCD TV and plently room to move about. Sparse but functional &amp; clean en suite facilities .Fantastic value all round. Staff were friendly &amp; helpful, especially the chamber maids and front desk. Location only a few minutes walk from Kings Road and Fulham and when they open the overground station at the wharf it will be even easier to get to. Nice waterfront with bars &amp; restaurants and a Marks &amp; Spencer Foodhall just yards away. Recommend this to all my friends travelling to London on a budget.	
Mar 7 2009 	Nice room and not to badly located	We found the check in quick and polite. Two suggestions at check in are to order breakfast for your stay as they will charge 8 ? if you pre book and 10 if you walk in. The next suggestion is to decline their offer to pay in your own currency on your credit card and take the bill in ? as you most likely loose and they win on this, as in our case. They say it is a service so you know exactly how much to pay, but they add more % on their Reuters rate of exchange than the 1.48 added by VISA. Room is very clean and we thought spacious compared to the little tourist class cabins in the city center. Bathroom was clean and nice with loads of very hot water. If you splash on the floor it will stay as there is no drain outside the tub.Restaurant is not much to jump for joy over as it is understaffed and the poor bloke serving also does the bar in another room, so you have to wait and part of your order might be forgotten as with our two Indian Nan bread pieces. We ordered them as a side and were charged 6 ? for those little late arriving pieces of bread! Try the Thank Good Its Friday at Fulham Broadway tube station instead (other places to choose at the station). You will also find some restaurants at the Imperial Wharf complex 2 min walk from reception. Please observe that the Marks and Spencer Only Food (mentioned in another review) store will close.The breakfast comes pre ordered at 8 ? and we were satisfied with it although some what limited in the variety, as at most hotel chains in his segment. It is hot and cold dishes nice bread sorts including an English muffin. Location does call for a travel card if you want to avoid a long (after a days sightseeing walk through London) walk to the hotel. The helpful reception will guide you to the bus going up and down to Fulham Broadway and the fun double decker bus going to Earls Court tube station. The one for Earls Court is about 15 minutes and fun. The one to Fulham Broadway is 5 minutes (traffic permitting). There is a great fun bus going from New Kings Road all the way to Piccadilly Circus we enjoyed this ride a lot as you can get on and off along the route at tempting stores. Reception will know this bus.	
Feb 27 2009 	Good Value	My friend booked for triple for 3 of us (men) over for a Chelsea Match.Walking distance stamford bridge ..if you can share taxi from heathrow is worth it 30-40 pounds. Problem on arrival not overly welcoming manager(no &quot;good Evening&quot; or Welcome etc...didn't bother looking up from his screen) informs us there are no rooms with three beds ..offers us a fold up camp bed(big lads -no thanks)...Excellent Junior Manager takes over says he'll organise a third bed no probs....notice his photo opposite lift &quot;Employee of the year&quot; i think ..no surprise there (Tall Guy Mid Twenties).So cheers for him...big boos for other guy who is in the wrong job. Rooms clean everything works v.nice.Reception will call you a taxi which arrive quickly, buses stop outside , tube about 15 mins walk..nice area.Feels Safe.Restau looks ok ..didn't eat there ..bar ok but shuts early (well.... no residents bar)Overall very good value hotel great for Chelsea matches.....:-)BTW Thumbs down for charging for wi-fi.......	
Jan 28 2009 	Fantastic hotel!	I stayed at this hotel last night, after an evening work event that prevented me from travelling home. I didn't check in until late at night, but my experience of the hotel was outstanding. All the staff I encountered were pleasant, friendly and efficient. My room was the largest hotel room I've used in London and was absolutely spotless - you could have eaten off the bathroom floor. The room was very comfortable and well-appointed, and far superior to what I would have expected from a three star hotel. The only thing that this hotel doesn't seem to offer is room service, but as most room service food is overpriced and distinctly average, I don't think that this is a big loss, and certainly not in the context of all the great things about the place.I caught a taxi to Victoria station in order to continue on to the City this morning, and I only had to wait for five minutes before I could flag one down. You're definitely not in the middle of a bustling area of London if you stay at this hotel, but it's not difficult to catch a bus or walk to busier areas.	
Jan 22 2009 	Great Hotel but no Parking on Site	I stayed at Jurys Inn Chelsea last week for one night. The Hotel is perfect for a one night stay or even a week. The room was spacious and clean and the buffet breakfast was very tasty. The staff were extreemly pleasant and caring and the checkin was fast.My one major disapointment was that there was no parking at the hotel. I had to park accross the road in an upmarket apartment complex. The cost of the parking from evening to the following morning was nearly half the price of the hotel room so it was very expensive. Parking is available on the street but car wouldnt not be safe overnight outside.Overall enjoyed the whole experience but the parking was a disapointment.	
Dec 3 2008 	Exceptional Property	The hotels that we normally stay in London have become too expensive so we took up a special offer from BA and tried the Jurys Inn. This is a property that is very well run. The front desk staff were very good and helpful. The room was like new. The morning breakfast was an an example on how to serve breakfast to busy guests. There is a pleasant lounge. All staff that we encountered seemed happy and enthusiastic. It will be our new place to stay in London.The area in which the hotel is located is very safe. Our family came and went during some late hours. There is a 10-13 minute walk involved to get to the nearest tube station, however, there are lots of interesting shops and places to eat as you approach it.We are visitors from the west coast of Florida	
Nov 28 2008 	Liked it so much I've stayed there thrice!	I have stayed at this Jurys three times. The first time, they'd just opened for business and had a special rate going. When we first laid eyes on our room, we were astonished. Perhaps this was a result of staying at the Fawlty Towers-like Enterprise hotel in Earl's Court for two days prior. The room at Jurys was spacious, clean and beyond comfortable. The bathroom was larger than my den at home!We have a Jurys here in Boston and I have to say the initial interior (lobby, bar, restaurant) is a lot more posh. But the Chelsea Jurys trumps our Jurys on space and comfort. The restaurant, bar and room service were extraordinary.The only downside is the hike you have to make to the Tube station. It's a good 15-20 minute walk to get to the Metro rail but that's obviously not a deal breaker since I've stayed here 3 times.	
Nov 23 2008 	consistent standards	clean rooms,excellent breakfast,good friendly staff especially humpfrey at breakfast-all smiles and welcoming	
Nov 16 2008 	Great Experience at Jurys	A great hotel. Obviously the reviews on the site are spot on. It's in the middle of a really nice waterfront area of London. A 2 minute walk brings you to a nice little shopping area e.g. M&amp;S Simply Food. There's also a lovely walk along the Thames.Staff were lovely. Bar was a bit short on staff, but otherwise a nice environment.The breakfast is buffet, but for the price is spot on.Rooms are above average for London.All in all, I'd thoroughly recommend the hotel. I was there on business, but would be a decent spot for a weekend break, right on Kings Road Chelsea and handy to tubes etc.	
Nov 3 2008 	Good Value and a Good Hotel	I stayed here for 9 nights at the end of September. As noted by other reviewers this hotel is about a 15-20 minutes walk from Fulham Broadway Underground station but I enjoyed the walk there and back – and there is a bus if you really don’t feel like walking.Breakfast was a buffet (great choices too!) and all except one morning I was able to find somewhere right away to sit down.There is a Marks and Spencer Simply Food a few minutes walk away and is very handy for picking up snacks.The brief look around the area (really close to the hotel) for other restaurants produced only a couple but none that I really wanted to eat at so I ate at the hotel on a couple of evenings. I had dinner in the restaurant once and once in the bar. The food was okay, nothing fantastic. I was in room 311 and it was in a quiet location of the hotel. The room looked out into the courtyard so there was no traffic noise. The room itself was very clean and the bed was comfortable. The hotel had a computer for Internet use that was pay per each use - ?1 for 10 minutes. Only a few negative things during my stay. The pillows were most uncomfortable; it’s a good thing that I had a travel pillow as I ended up using that! Most evenings I expected a phone call from home (the USA) and on a lot of the calls they were put into an endless hold so it made contacting me impossible.All in all I would stay here again and would recommend this hotel to others.	
Nov 2 2008 	Anniversary Break	UmranManchesterGreat hotel for families. We decided to book this hotel for an anniversary break.Glad to say that this decision was one that i`ll never regret. The staff in particular were very friendly &amp; helpful particularly towards our two young children.They took time out to assist us on every occasion we needed help as it was our first time in London. Our family room was a good clean sized room.Breakfast was nice without being crowded &amp; no big queues. Would I stay in this hotel again on my next visit to London? Definitely yes!	
Oct 29 2008 	excellent value for money	Stayed here for one night (27th Oct) with my 11 year old son, who I had been promising for years to take on the London Eye &amp; to see the sights. I haven't stayed in London for a long time and was not sure what to expect. The hotel was fantastic, the service we received was so friendly and helpful - thanks so much! The room was lovely &amp; very clean - so refreshing! Didn't eat here, but that was just cause we were pushed for time. Earlier reviews stated that it was quite a way from the nearest tube station (Fulham Broadway), but it really is only a ten minute walk. We took a river taxi into town and back on the Monday night &amp; also back down to the Eye on the Tue am - what a cheap way to travel (&amp; no charge for kids!). What a truly memorable time we had - my son thought it was &quot;so cool&quot;. We will definately be back and also recommending to friends and family - thanks again from one VERY happy mum &amp; son !!! :)	
Oct 25 2008 	Quiet Location and Good Value	Stayed for 3 nights in Room 303. Had researched location beforehand so knew this hotel was a bit &quot;out-of-the-way&quot;. However this was not too much of a problem as the 391 bus service is fairly frequent and takes you most of the way to/from Fulham Broadway Tube Station, where you will also find a profusion of shops. I would advise obtaining a TFL Oyster card for the buses and tube even for short visits to London as cash fares are very high. You can get a refund on the card when you leave London if you are only making one visit. Otherwise it stays valid for 2 years from date of last use.I have stayed in Jury's Inns in Belfast and Nottingham, and Jury's Inn Chelsea was up to the usual standard. The &quot;King Coil&quot; bed is very comfortable, everything works and breakfast is good. The room had 1 single and 1 double bed which is a good arrangement. However during the night there were occasional loud clicks and humming noises coming from a ceiling panel just inside the door which woke me up. The door entry card needed to be reprogrammed at reception every day during our 3 night stay.But these were minor problems. A complementary newspaper was delivered every morning. The immediate area of the hotel is very up and coming with millionaires' apartments in abundance, river walks, sensory garden, and a Marks and Spencer food store.Overall I would recommend this hotel.	
Oct 17 2008 	Value for money in London	I've stayed at the Jurys Inn Chelsea a couple of times and have enjoyed my stay each time. You get a decent sized room for the price you pay compared to other hotels of the same class in London as well as it's relative newness (though it's started to fray ever so slightly as noticed on my most recent visit last week). The staff has always been courteous and friendly. Breakfast is basic but good and is bundled with the British Airways room rate that I use for my booking.Others have mentioned distance to the tube, but I find the 15 minute walk to the Fulham Broaday tube station a nice way to work off some of the breakfast with the option of the 391 bus route always available if you're not so inclined(as well as the C3 to Earl's Court Tube Station). You walk through a home design district with some nice furniture/drapery/fittings shops if you're into that sort of thing and also by the Chelsea Stadium.All in all one of the better hotel values in London.	
Oct 7 2008 	Great Hotel And Value!	I stayed at this hotel a few months ago, it was extremely good value for money. When my wife and i arrived i was treated with a warm smile, i felt very welcomed and acknowleged. When we got our card we went ttraight to our room too unpack or things, we found plenty of space for all of it. The room was a good size and the beds were very comfortable. When we unpacked alour things we went down to the bar for half an hour, the barstaff were very friendly and gave a sense of feeling at home and comfortable. The prices on food and drink were very good aswell.When we went out of the hotel were slightly puzzled on how to get to central london so we went back inside and te receptionist was very helpful to point us in the right direction, we took a bus as our option wich was good.The hotel is a little bit out of the way but we have heard of new transport being available soon. Their is some nice sops down by the river, a two minute walk from the hotel. We went their several times at night to get some bits and bobs.Overall exremely well presented, comfortable and affordable hotel especially for London's standards!I would highly recommend this hotel, and look forward to possibly returning!	
Sep 20 2008 	Great Value	We booked our room through LondonTown.com for 60 pounds/night ! What a great value for London. The room was clean and well appointed, and by London standards the room was HUGE. We had one double and one twin bed in our room. We arrived early (10am) to check in and hoping to have our luggage stored, and they already had our rooms ready! Staff were all very pleasant and helpful. The only reason I did not give this hotel a 5 is because it is off the beaten path, however, the 391 bus takes you directly from the Fulham Broadway tube stop to the hotel in less than 5 minutes. As a side note, the Fulham Broadway is one of the nicest tube stations I've ever been in...they have a Starbucks, Krispy Kreme, and 4 sit down restaurants for lunch or dinner. I have already recommend this hotel to friends.	
Sep 9 2008 	well priced modern hotel	A clean, modern hotel. Tea and coffee making facilities in the room. Comfortable and well equiped with internet connection (extra charge), and hairdryer , TV, airconditioning, keycard locking and good double glazing. We were on the first floor, by the road, but the room was quiet. Our package didn't include breakfast, but we did eat in the bar once, very nice food but the portions weren't huge but fine. The bar was pleasant enough to sit in in the evening (quite busy early evening) and the drinks weren't overpriced.It is in an area where there is a lot of redevelopment going on at present. These are mainly large modern flats overlooking the river. You can walk through the new development in 5 minutes down to the Thames for a pleasant walk along. There are also a few new bars and restaurants on the ground floor of the blocks of flats, and are likely to be more in the future. There's an M &amp; S food store 2 minutes from the hotel for snacks/picnic food and drinks. It's a 15 minute walk to Fulham Broadway, the nearest tube (there are plans for a train link near the hotel). Not an unpleasant walk though, no hills, and you can cut through the park. There are restaurants and bars in Fulham near the station if you don'twant to go into the city in the evening.We stayed in a room for 3, 2 adults and a 12 year old. My son had a proper bed not a camp bed! All in all a nice hotel, friendly staff, clean and comfortable - I would stay again.	
Aug 22 2008 	Lovely hotel	This hotel was smart, clean and above all else the staff were very helpful and friendly! The room we stayed in was a family room with a bath/shower and did i mention it was clean! I can not fault the staff or the hotel and would not hesitate going back to stay. We ate in the hotel bar both nights we stayed and although there was a bit of a wait for the food it was well cooked and inexpensive.	
Aug 3 2008 	Great place for families great value	A bit out of the way, but in a real London neighborhood. Pleasant walk to the Fulham Broadway Tube, or the bus stops right outside. Not touristy at all. Big room, enough for three (myself, my wife and son). A few pubs within walking distance. Closest hotel to Stamford Bridge (although we support Arsenal). Best of all, a GREAT VALUE. And I can't emphasize enough that this is in a real neighborhood where real people live. I'd rather bump into Londoners than tourists!When we return to London (once the exchange rate is a bit more favorable) we stay here, especially with the underground station being built.	
Jul 23 2008 	Good hotel not so good location	Had a pleasant enough stay at this hotel. Room was a bit cramped with a double bed, a single bed and a camp bed for my youngest daughter, but it was spotlessly clean and we weren't in it that often.The breakfast was good for the extra £18 it cost and really set you up for a day of sightseeing.We were at the hotel for 4 nights and by the last day we were all fed up with the travelling to and from the hotel. Although there is a bus stop outside the hotel it does take around 40 mins into the centre of London.I realise that if the hotel was closer to the centre it would cost considerably more so it is a toss up between cost and convenience.	
Jul 21 2008 	Absolutely Fine :- just a little bit out of the way	Jurys is functional enough and looked pretty clean throughout. The area is going through a pretty big development and this can only get better. I understand there are plans for a new station to be built in the future. It is a bit of a hike circa 15 mins walk to Fulham Broadway tube but buses do look as if they go closer. Bar area pleasant enough and the rooms spacious and fine. The best thing really is the price, which for London is competitive. Be interesting to see what happens when the station opens!!!	
Jul 13 2008 	Can not recommend	Sometimes I wonder if hotel staff ever stop to consider how much time and effort we put into selecting a hotel, now that so many of us book our own travel. Whether we are choosing a room based on price or value, location, or comfort, we all are, undoubtedly, looking forward to checking in. The staff at Jurys Inn Chelsea have clearly never stopped to consider the guest.I had any number of disappointments with the staff here: From the apathetic to the oblivious to the argumentative to the rude, but I'll site only one symptomatic experience for the sake of brevity.Upon pulling back the bed cover on Night 1 (of 3), I immediately noticed dried &quot;sexual fluid&quot; on the underside of the cover. This was not a stain, this was right there. I folded it up and placed it in the corner. In the morning, I called reception, and informed them that the cover was not clean and should not be put back on my bed. Imagine my delight when I turned back the cover on Night 2, only to stare straight into the dead eyes of all the little seamen once again. It was bad enough that the housekeeping staff did not inspect the cover on at LEAST two occasions, let alone WASH it, but even after being notified of the situation, they still replaced it on the bed. No one at the front desk had the awareness to follow through and ensure that a clean cover was found, or at least that the befouled one was cleaned.Finally on Day 3, the cover was gone, and there was only the comforter, which not only looked better, but it seemed clean.There is absolutely no reason to suffer this hotel: It is not particularly convenient to anything, it is not a property with any advantages, the staff are unprofessional, and the price is not cheap. (At one point, I accidentally found myself at Jurys Inn Kensington, and it seemed a much different experience. This chain, apparently, has different standards for each property.)	
Jul 9 2008 	Great value and comfort	I stayed at this hotel for a week with my two teenage girls a couple of years ago after booking it through londontown. com, and without knowing too much about the hotel. Guess my pleasant surprise when we arrived ! Because of a great stay back then, me and a friend decided to stay at this hotel when we visited London early this July. Another week - another great stay. A little bit out of the beaten track, but with a bus-stop just outside the door, it's no problem getting to the tubestation since the bus passes every ten minutes or so. Stayed in a family room, which is actually fairly big. Quick check-in, very helpful people at the front desk (especially after we arrived late at night after a rock concert and we where really hungry, and they help us order a pizza delivered to the hotel.....) and clean rooms. No noise, working aircondition and icemachine just outside our room. I've been in London close to a dozen times, and stayed at many &quot;hotels&quot; - but this is the one I will use every time I'm in London. Very reasonable prized (payed £84 a night) and a great bargain. Highly recommended !	
Jul 4 2008 	Good Quality at Good Price	My wife and I stayed here for 2 nights , whilst attending Wimbledon tennis. Having stayed at many hotels in London over the years, this was as good as it gets for the price. Staff were pleasant and helpful, The room was clean, bedding was freshly laundered, and shower facilities were excellent. The choice at breakfast was more than sufficient - Continental (£8), and English (£10). And a good selection of beers in the bar to celebrate Murray's progress!!. Yes, its a 15 minutes walk from the Underground,but there is a bus (or taxi) if you wish. And heh, this is a standard you will be hard pushed to find in central London for this price.Finally, the management clearly take a close interest in what their customers tell them on this and other sites.....and act on it...thats got to be a positive recommendation in itself!!	
Jun 12 2008 	Great Find for London Vacation	Jurys Inn is a basic hotel with nice interior design features. The location is great - Chelsea is a quiet neighborhood a little away from downtown London - we enjoyed &quot;going home&quot; through residential areas after a noisy crowded day of touring London. The rooms were clean, beds comfortable, showers hot. The staff were extremely helpful with any inquiry (actually took their time to help me figure out how to top up my new SIM card!). I was here with my husband and 18-month old daughter, and they immediately set up a pack n play crib for her, which was helpful. The restaurants were both good - the first night we had tomato soup, caesar salad and ravioli in the restaurant, which were excellent. Two days later we had the fish n chips and sandwiches in the bar - also great, and the barman was attentive and friendly.The (minor) down sides are that the rooms are on the small side. And the walk to the Fulham Broadway station was a good 15 minutes. We didn't discover the C3 bus out front until the last day. Taxis are not plentiful, but the front desk can always call you one and it arrives within a few minutes. Also the breakfast staff seemed a little lost - they could not keep silverware stocked, or food from running out, and seemed confused when I asked for something. By the time we got there, the tables seemed a little dirty, like no one was maintaining the cleanliness during the mealtime. The food was good, though, and selection adequate.In the area - there is a children's playhouse just behind the hotel (next to Il Barista) - great for kids 3-10 years old. There is also a Design Center half a block away for people interested in architecture, and the marina is just behind that. We LOVED a little coffee house called &quot;Megan's&quot; which has amazing (fair trade organic) cappucinos, buttery croissant and other lovely pastries and breakfasts. Go up to Kings Road. Take a right, walk about 300 meters just past the gas station.Overall, a nice find. We would stay there again.	
Jun 7 2008	Best hotel stay ever!	I don't normally ever consider writing a review about a hotel. My best friend suggested that I write one, because I kept on talking about my stay and the helpfulness of the staff. The staff at this hotel are courteous, attentive and friendly. Gio, as the team call him did my check in and promptly delivered the iron that I requested. I saw him clearing tables and serving food at the buffet during breakfast. It is not often that you see a senior manager so involved; so it was astounding to see such a harsh review of him. The food was good, service even better. London hotels don't normally have such a warm feel to it. The only issue that I had during my stay was being able to get a taxi during in the morning without waiting half hour and that is due ot its location.this hotel is amazing, will stay there everytime I am in London.	
May 31 2008 	Still waiting....	Nice clean basic accomodation but I've just a few observations to make.Requested a smoking room at booking and when checking in it was confirmed smoking room allocated.However, room did not contain an ashtray and I wouldn't smoke where I could not have somewhere to put the ash and cigarette butt when finished.Rang reception and spoke to Assistat General Manager Giovanni Andrew who once more confirmed room was smoking and would have an ashtray delivered asap. I was still waiting for one and checked out without ever seeing it despite a second request in person to the same member of management.Second annoying ddetail was Il Barista coffee bar where I stood waiting for someone to make a coffee. The young bar man on duty said he'd get someone as he was not familair with the machine. Would you believe the same management member arrived took over service and duly served clients with alcohol beverages but still no coffee. A little disappointed with his lack of personal skillsand general demeanour as I've been to Jurys Hotels and Inns for amny years and have always found both management and staff, attentive, courteous and above all friendly.Mr Andrew should take some time to obeserve Martin, the night manager in action. and follow his example.He is a superb asset to Jury's Chelsea and was helpful to many guests when they returned to the hotel late from the football game.All said, stay was comfortable and nothing less than I expected	
May 5 2008 	Right on the mark	We arrived midafternoon and were greeted by a friendly young receptionist. Our room was spacious and clean. A nice front view of the harbour area. We had a lot planned in London and could not have done it without the guidence of the night manager, Martin. What a gem Jurys Inn has in him! He even came out to the bus stop to make sure we were on the right route. I can't think of a single negative about this locale. Maybe the standard, 'too narrow tubs' and 'a little more soundproofing on the windows.Overall, a great place, friendly, clean, comfortable and safe.	
Apr 25 2008 	Afforadable comfort and convenience	We stayed at the Jurys Inn Chelsea as part of a tour group pkg (through Trafalgar). Although we did not pick this hotel, the accommodations proved to be comfortable and the hotel was easily accessible to local transportation.The hotel itself is quite nice. The main lobby was not extravagant, but was appealing. The front desk staff were very helpful, and provided information on all our questions re local restaurants, and getting around via the tube system. The rooms were clean, comfortable, and spacious. We initially had a problem with a toilet that did not flush, but received immediate attention, and were moved to another room when the toilet could not be fixed. We ate breakfast in the hotel restaurant in the morning, and there were many tasty options. We didn't have to eat again until dinner, as we were quite satisfied with the great portion sizes and variety at breakfast. There is also a small bar located in the lobby area, where we enjoyed a few pints in the evenings. The hotel location was nice, a beautiful walk down by the harbour, where we discovered some very nice restaurants (about a 10 minute walk from the hotel), we dined out there both evenings that we stayed at the hotel. The area was very modern, as the condominiums / apartments were new, and you could see that this area was up-and-coming. The double decker buses (stop right in front of hotel and across the street), took us up to the tube station (within minutes), and we were off to explore the city of London. All in all we enjoyed our stay at the Jurys Inn Chelsea, and would definetely consider staying there again when we return to London.	
Apr 21 2008 	Good hotel but location not the best unless you want to be in Fulham	Stayed here for 2 nights on business.The hotel itself was very good, despite a mix up with the booking - only had me down for 1 night instead of two, but resolved quickly enough.Good room and breakfast was fine. There is no room service as such, you have to order and go and collect it on a tray. I presume this is to save on costs, but at the end of a long day, it would have been nice to avoid the trek to reception.My main gripe was the location. If you can live with a 20 minute walk to Fulham Broadway or spending on a cab wherever you need to get to, then fine, or you actually want to be in the Fulham or Chelsea Harbour area, great.If I could pick the hotel up and move it nearer the city I would use it again.	
Mar 31 2008 	Jurys Inn Fulham - Good Value	Lets get one point clear - Jurys Inn Chelsea is not in Chelsea, its in Fulham, actually. The location is next to a rather soulless new riverside development called Imperial Wharf, which at least has some useful shops now (e.g. Marks and Spencer).The out of the way location has been commented on by many previous posters. Be prepared for a long walk to get to the interesting parts of Kings Road. The upside of the location is that the riverside walks (Thames Path) are close by and in fine weather this is a plus. However, in bad weather (like the day we arrived) the rain and wind sweep in from the river-front.The room we had was reasonable in size (although not the &quot;spacious room&quot; described on the hotel website). It was spotlessly clean, blissfully quiet and the bed comfortable, nice bathroom everything worked well.It was let down by the breakfast service. On arriving for breakfast at about 10.00 a.m. (this was Sunday) we found almost every table in the breakfast room covered with used plates and cups.A disgusting sight, with the remains of cooked breakfasts strewn everywhere, people were finding refuge from the chaos in the bar area. Over the next half an hour one thoroughly miserable-looking young man cleared and wiped down each table with extreme slowness as we watched.There was almost no spare cutlery, bowls and plates, we had to search around to find a single teaspoon. There was no sign of any other staff to help. The breakfast was anyway rather poor, regardless of the state of the breakfast room.Despite this I felt that the room size and quality, appearance and ambience of the hotel in general were good and overall the hotel is good value for money - for London. I just hope that the breakfast service was just having an off day.	
Mar 28 2008 	Would Stay Again	As most of you know any large city is expensive and with the dollar at an all-time low against other currency, you really need to shop for bargains. I traveled with my college age daughter and my girlfriend and her two college age sons. We booked the hotel as a special offer through British Airways in November. Our room w continental breakfast was $109 per night with all fees and taxes. This was a bargain. The hotel was a little way from the center of London. It was clean and quiet while we were there. Breakfast was a choice of cold cereal, fresh fruit, yogurt, cheeses, rolls, juice, coffee and tea nicely arranged and clean. The staff was polite and helpful. You can exchange some money there but it will cost more than a bank. The room was fine. Comfortable beds, TV, and adequate bathroom-no exhaust fan though so it gets steamy. We had a double and one twin bed-fine for us. A family with more than three requesting a cot may find it a little tight but it would work. No chest for clothes (as in a lot of hotels there) but there was space to hang some. Hot water for coffee or tea (supplied) in room. A hair dryer was attached inside the desk drawer. No clock and/or clock radio so bring an alarm clock. If you ask for a wake up call, the hotel keeps waking you up every day at that time so be clear about it-better yet bring your own travel alarm. It would have been nice if the hotel had a ready list of buses and tubes to take and taxi service numbers. They will arrange for a taxi but it will be very expensive. Flagging one down will be cheaper but still expensive. We discovered that the bus stop was called &quot;Chelsea Harbour&quot;. You can get a bus right across the street-cross over the road, take a quick left, then right and you will see a sheltered stop. The bus will stop just before the hotel to let you off on the return trip. You can take the 391 bus to the Fulham/Broadway tube station(get off at the Fulham town hall stop.) You can also take the C3 bus to Earl's Court tube stop.( We got off at Earl's court square but could have stayed on for the next stop.) Get an Oyster card at the tube station. It's pay as you go so you can add more when you need it-just make sure you have enough on it for your bus ride back. The card covers both buses and tubes. Also after you reach a maximum of either cost or number of stops, you are no longer charged for that day-I forget what it was. My best advice is to ask people you see. Many people will hear you discussing where you need to go and were very helpful.  Getting back to the hotel, it is located on Imperial Wharf on the Thames. The area is being expanded. We found 4 restaurants-seafood, chinese, indian, and thai plus a wine shop and a small M&amp;S food store which sells some sandwiches too.The hotel does have a restaurant and bar area where you can get food. The menu looked fine but we always were out so we did not eat there. I wish I had known this before I left but we all had a great time and I would stay there again and would recommend it. Unfortunately, I probably won't be visiting London again for many years.	
