	Small dusty noisy and bad service	My husband and i stayed here for one night only and that was enough. I know this may sound harsh but we have never been so disapointed with a hotel. I boasted to my family about staying in a 4* hotel but had to admit on my return that there wasn't much to boast about. The room was tiny, you have to walk around it sideways apart from the bathroom which i must say was the only good point especially the way the water ran out of the tap but i must stress this was the only good point. It was dusty because of the continued refurbishment that was happening. I know many peopke have taken this into account but the work should be finished if it's going to cause disruption fot the guests. The next pitfall parking, this is something we specifically looked for and it suggested that parking is available for guests but it didn't state as long as you are willing to pay £40 a night. Last but not least breakfast, after entering the dining room and waiting 10 minutes for them to clear a table which we subsequently cleared ourselves, we then waited 10 minutes for some clean plates but forgot to ask for clean cups at the same time which took another 5 minutes to get. After eventually sitting down to breakfast which wasn't very nice we then heard a funny noise followed by two of the guests unplugging the warming hubs as it sounded as though it was about to blow up. We shortlly checked out after this. We responded to the review on their website and were offered an apology and a free upgrade to a clubroom on our next stay if we paid for a double standard room. Which i personally thought was a bit of a joke!!!! The other point we found was after entering our debit card details online we were then asked to pay for the hotel when we got there as it didn't take the money out from the online booking which on top of everything else was a little irritating!!!!!	
May 9 2007 	4 star??!!	We were going to stay in a Marriott in Maida Vale which is a lovely 3 * but decided to pay the extra €50 per night for a 'deluxe' room in this 4*. What a let down.. could only open the toilet door 18 inches because the toilet was in the way! The room was tiny even though it was supposed to be deluxe. We asked staff if this was a deluxe and they said all rooms were the same size.... front Desk Staff were unhelpful, almost rude, infact. The hallway was wide enough for one person and quite damp smelling. This hotel should be 2 star not four star. I think I will stick with Marriott from now on.	
May 6 2007 	Quality of Furnishings comfort and extras make this hotel an excellent choice	I've been staying on business in London every week since February, and I've finally settled on a hotel that offers high quality of furnishings and room comfort.Room extras include complimentary cable broadband access, steam iron, fridge and 17&quot; flat screen televisions. The Clarion Shaftesbury Hyde Park has been coming in at a very reasonable price recently - approx £79.00gbp per night for a single room, and this makes it head and shoulders above the rest of the opposition (£79.00gbp gets you a travelodge...enuff said).OK, so the rooms aren't all that big - but personally speaking I'd sacrifice room size for quality and comfort any day.All in all, a very nice hotel.	
May 3 2007 	Cockroaches but so what!	If you hate cockroaches, then don't stay here. Personally, I would rather have them than spend the night breathing insecticidal chemicals.Anyway, the location is fantastic and the public areas of this hotel are magnificent. My room was down in the basement: small, but spotlessly clean and well appointed. Air conditioning was effective and virtually silent. However, the telephone did not work and so I could not order a wake-up call. Facilities for making tea and coffee were provided, but no cups.However, the hotel bar is beautiful and served good but over-priced drinks.I found the dead body of a cockroach on the floor of my room, and later a living one crawled out of the bag in which I had been keeping my spare shoes. I mentioned this to reception when I checked out, and they agreed that my drinks would be on the house. They obviously get lots and lots of cockroach complaints. I heard one couple complaining about how their packet of biscuits had been partly eaten by insects (cockroaches), so do not bring any food into your room here.	
Apr 26 2007 	Nice hotel in a great location	I stayed there from 20-24 April 2007. The location was great! 2 mins walk to the Queensway Tube station and 3-4 mins to the Bayswater.On the road behind there are 2 supermarkets, many souvenir shops, xchange shops, restaurants, McD, Burger King, everything a single traveller needs. Hyde Park is just infront of the hotel.The room was a little bit narrow, but with discussions I had with native friends in UK, all houses and hotels are like this.I had no problem at all with the room, I was on the 7th floor, it was clean, it had a small kitchen and a small fridge (it didn't work though), water boiler for coffee, air condition. I can say it was small, but cute!I REALLY LOVED the 11mbps broadband Internet! I was in London for work on evridiki.gr and I had to work for many hours on my laptop covering latest news and uploading photos and videos. Honestly, the free Internet and the location were the two reasons I chose the hotel.The room hotel was really reasonable!Grooms were very helpful and smiled all the time. I can't say the same with the reception stuff. Helped me but, maked it look like as a burden ... especially one of them.	
Mar 21 2007	A Horrific Experience	We booked a delux twin room through hotels.com and even had a copy of our itenerary from hotels.com stating that we'd booked a twin--however we were told that a twin was not available and that a twin room should not have been offered by hotels.com. Frustrating, but the worst was yet to come. instead of the twin room, we were given a double room with an extremely uncomfortable &quot;day-bed&quot; in the corner of the room that was lumpy and about three inches off of the floor. We were also on the second floor, but the elevator did not go to the second floor for whatever reason. We were told by staff to check back in two days to see if a twin was available.One the third day of our stay, my sister saw not one but two large black cockroaches in our room. I thought she was kidding, but upon seeing them myself I immediately called the front desk, who was not surprised. A porter was sent up an could not capture the insects, and told us verbatim that this had happened &quot;two days earlier,&quot; and that &quot;if there is one, there are definately more&quot;. I went to the front desk and demanded my money back so we could check into another hotel, but was told by the person in charged that he didn't have clearence to refund my money and that his manager would be in the next morning at 7:30. I asked that the manager be called at home, but this evidently could not be done. Of course my sister and I wanted to be moved to another room, but the only double room available was located in the basement--as the building is has an infestation problem, we refused. We were then offered two sinlge rooms, one on the third floor, one on the fifth floor--as we did not feel comfortable being so far away from eachother we refused. We were then offered two single rooms back on the second floor--where we saw the roaches to begin with. We agreed to take them though they were around the corner from eachother and not &quot;right across the hall&quot; as we were told. One rooms had an pungent sewage-like odor coming from the bathroom. We went back down to the lobby and told the staff that the room was unacceptable. As there was nothing else they could offer my sister and I spent that night in a single room that was so small we could not open our luggage at the same time, and we slept in a single bed. The next morning we were at the front desk at 7:30 am and were told the the manager was ill, and would be out for the day, and that another manager would be in at 9:00 am. We waited until 9 and were told that this manager would now be in at 10. We asked the staff to call the manager, and were told that the manager was aware of the situation, but they could not give us a definative time of his arrival. When the manager still wasn't there at 10 we went back to our single room and waited. The manager arrived at about noon, apologized and offered us a complementary breakfast which we quickly declined due to the roaches on the premesis. The manager offered to comp us for the previous night, but we insisted upon compensation for the last two nights of our stay as the last two nights were ruined due to the situation with the insects and the lackadaisical manner in which the situation was handled by the hotel management. The manager said that he was only authorized to comp one night, and asked us to write a letter to yet another manager to provide &quot;back-up&quot;, so he could request compensation for two nights. We agreed despite the fact that we had spent our last full day in London waiting for a manager to show up and writing a letter explaining our situation to yet another manager. We gave the letter to the manager with his word that the two days comp would not be a problem.The next morning we checked out and spoke with yet another manager who at first said she was not aware of our incident, and told us to &quot;contact hotels.com for a refund as this was a last minute reservation&quot;. I referenced the conversation with the first manager, and she was suddenly aware of our situation and agreed to put in writing that we are to be comped for two days or our immense inconvenience. When I arrived back home, I contacted hotels.com, explained the situation yet again and was told that I would be comped for the two nights. I appreciate the representative from hotels.com's willingness to correct the situation with far more effort that the hotel management, but I do not know if I will book hotels through any third party vendors as this horrific experience should not have accured in a four star hotel. Under no circumstance should this hotel be listed on any sight as a four star establishment. I am still behooved as to why it is.	
Mar 9 2007	cockroaches	We stayed four nights and we saw roaches. We had to ask five times to get toiletpaper. The rooms were tiny. I do not recommend this hotel. A four star hotel..yeah right.	
Mar 5 2007 	Had a marvelous stay at this hotel!	I loved this hotel! Historical, beautiful upkeep, in a convenient location and the staff was excellent!! I was quickly checked into my room and the staff were extremely courteous throughout my whole stay, and in fact went over and beyond to assist me. The e-mail room is lovely - do you usually get to sit in a wood paneled room with stained glass windows while you surf the internet? My room was tiny, but suited my needs perfectly. I had my kettle and refrigerator and plasma tv - tiny piece of heaven. I was a solo female traveler, and always felt safe and looked after at this hotel. I would stay here again.	
Mar 3 2007	Small but well placed	I stayed at the Clarion Shaftesbury for 2 nights recently. I was a little put off by some of the reviews but it was midnight and i needed a hotel for the next day.With a bit of shopping around I got an excellent deal £69 per night (the hotel wouldnt be such a bargain if you are paying there advertise £160 per night).The location is excellent. It has two tube stations within 2 minutes walk which access central london within 8 minutes (5 stops).You walk out of the hotel and you are 50 metres from Hyde Park which is great for getting out of the traffic.The hotel itself is quite well done out and the room we stayed in was small but with everything you need. The rooms have a large plasma screen tv built into the wall and InterNet access which is free, just plug in and go. The beds are fine and theres the addition of a kettle and iron in the rooms. The bathroom although very small is well decorated and quite modern.To summarize our stay the hotel is in a great location, cheap (you may have to go through a few search sites to get your bargain but try doorman and bookings.com) and has everything you need for a short break in London. What i would be wary of is that you could start to feel a bit cramped if you are staying for more than a few days.	
Feb 25 2007 	Getting Shafted at the Shaftesbury	They are operating a sham. Stay away from this hotel. I booked this through lastminute.com. When I arrived, they took my credit card (simply for check-in procedures), checked me in, then promptly told me that a taxi had been called as there was a problem and they didn't have any rooms available. I was sent to a poor hotel in Earls Court with exposed wires hanging out of holes in the ceiling. When i complained to the Shaftesbury, I was told that they would move me back the next day and give me some concessions.The next day I was told that I couldn't move into the hotel and had to stay where I was. I again complained and was told that a manager would call me back. That was nearly 8 months ago and she still hasn't called. I lodged a formal complaint in writing to which no response has been forthcoming. I advised my credit card company about the sham. When the credit card company checked with the hotel, they produced an invoice and claimed I had in fact stayed there. The dispute is ongoing and the hotel will not take my phone calls.I would advise anyone to give this hotel a wide berth, unless you want to pay 4 star prices to stay in a 2 star hotel on the other side of London.	
Feb 22 2007 	Great rates small but nicely refurbished.	I was staying here as a single traveller so had a single room. The room was small but had everything I needed. I got a deal through Clarion after reading the review on here (thank you!).I had to change rooms as I had been asigned a smoking room to begin. The reception staff were very helpful and didn't mind moving me at all.The corridors are very narrow and it is a maze to find the room and then to get back to the lift but you soon get the hang of it.The bathroom was very clean and newly decorated. The shower glass screen is useless as someone else had pointed out but just leave the bathmat on the floor to dry up the water. The water pressure wasn't great for the shower but I was in no rush and it was a nice warm shower so I couldn't complain.I think all the rooms come with tea and coffee facilities which was great and also Wifi but I didn't have the use for this.It was a very pleasant stay and I will be using the hotel again in the future.	
Feb 4 2007 	Worth a Try	I agree with the previous review that your stay at this hotel depends on the room you have. We luckily had a room that was just fine. We were in room 109. After reading the many reviews on this website I was VERY concerned about staying at this hotel. I will say I was pleasantly surprised by the room. Yes, it is tiny. The bathroom was tiny. But it was clean and not too hot. I was assisted to the room by a bellman. I have never had that happen to me before. It was very helpful. The shower had plenty of hot water and good water pressure, but no shower curtain, just a small glass wall to keep the water in the shower....and it doesn't work very well. If you aren't really careful, your bathroom will be covered in water. But use some caution and you will be fine. The location is great with easy access to Hyde Park and two tube stations with two different lines. It is a block off of a busy road with many restaurant selections so you won't have to go far for a meal.During our checkout I heard another couple complaining that people had entered their room three times during the night. Sounded scary....use caution.	
Feb 1 2007 	So much better than expected!!	I honestly dont know what people are expecting from this hotel! I stayed for one night for £55 (even a Travelodge would have cost me £70 when I checked!!) After reading reivews on here I was seriously thinking about cancelling as I cant stand hot hotels rooms! However, as it was only for a night and there was nothing cheaper that wasnt a crummy B&amp;B I decided to stick with it.The reception is very well presented and the staff more then happy to help you out. My room was on the ground floor. The room is a bit small but there was more than enough space to move around and I've certainly stayed in smaller places! My boyfriend is well over 6' and he didnt have any problems! The decor was really nice and modern both in the bedroom and the bathroom. And there was a massive LCD tv too!To be fair, the rooms may really differ but I booked fairly last minute and managed to get a decent sized room.Please dont be put off this hotel be previous reviews. The price is excellent for london considering what you get, and like I said, somewhere like a Travelodge could easily cost you a lot more for a lot less.It's also very well situated near 2 tube stations (queensway and bayswater)The only negative aspect is that there isnt much going on in the area, however, there's so much to do in London there's no reason you should hang around in the same place all day!	
Jan 22 2007	comfy clean but very hot and small!!!	This is the second time i've stayed at this hotel, purely because the location is great and the price is low. The first time was disappointing as the room was very small and i mean small!! It was also very warm and stuffy even with the window open. This January i have to admit my room was better. It was slighly bigger, no steps into the room and very nicely decorated. My conclusion therefore is that your opinion of this hotel depends solely on the room which the staff will pleasantly show you around so you can have the best available room. I happily recommend this hotel as if your like me you are on a budget and require a CLEAN and pleasant room this is for you.	
Dec 30 2006	4*? Really!	Stayed for 1 night. Nice location wish I could say the same about the hotel. Staff is pleasant but rooms are very cramped. In our “Executive Room” window was leaking, phone and broadband was faulty. Bed was not comfortable, bathroom &amp; loo is very cramped. Had to use a torch to get to our room because our corridor fuse was blown and nobody was able to fix the fault before next day. I had to borrow an electric heater from hotel reception, which surprisingly turned out to be faulty.Checked out after 1 day and checked into Ramada Ealing (great value for money).	
Dec 30 2006	Small... and smaller	This hotel is a typical brittish one. When we first arrived we were astonished by a lobby which was full of old and dusty wall-papers, antic furniture screaming to be cleaned, and by a floor-rug which we felt suffocated by. Rooms aren't better - same all thing, but smaller. The bathroom was small enough for children maybe. Almost I didn't stay in bath tub while brushing my teeth. It was summer, the window couldn't get opened very much, as I managed to open it, it was difficult to keep it opened. Below us was a kitchen or something, so we were almost &quot;cooked&quot;. The window looked on a fire-escape, so I think anyone could have reach our window from the street - the feeling wasn't so good. Our friends in the other room had problems with cockroaches, we, fortunately, didn't. Breakfast is so-so, nothing special.So, overall, it wasn't as good experience as we hoped, but it wasn't as that disgusting. But I know I won't stay there anymore...	
Dec 24 2006 	Pokey little joint...but a good location.	Late flight in and got the last available room, even though we'd pre-booked a family room. Room was so small that when the missus wanted to open a suitcase, myself and our daughter had to stand in the hallway outside...seriously. (Edwardian era) Elevators cranked away loudly all night, and central heating was not adjust-able. Freezing cold outside, but we had to endure a fitful nights' sleep on a small double bed in 30c temperatures. The English love their warmth, but this was extreme. Nice location, but the area is full of people that seem to consider tourists to be akin to something they may have just stepped in. Very handy to Kensington Palace Gardens/Notting Hill etc.	
Dec 13 2006 	4*? I don't think so!	I cannot understand how this hotel can claim to be 4*. It's 2 at best. I stayed for only one night thankfully as I certainly couldn't have stayed another.I arrived with a friend around lunchtime and was told no rooms were ready (fair enough) and to return after 3. They looked after our bags whilst we were away. That's the good bits over with!When we returned we were shown to our room and I was expecting it to look a bit like the one on their website (foolishly) and couldn't believe my eyes when we saw our room. It was the smallest hotel room I have ever seen. It had 3 steps up to the bed and the wardrobe was on a sort of mezzanine level between the bed and the bathroom, speaking of which had no bath and could only fit one person in at a time. You had to lean up against the toilet to shut the door behind you!I immediately complained about this as it wasn't at all what I was expecting and was moved to another room which had a bath and was on one level. Again, this was a small room and wasn't at all how their website has you thinking it might look. After about 5 minutes I discovered that the floor was wet (I had taken my shoes off), the fridge didn't work and there was no plug in the sink so I called reception and they sent someone to take a look whilst we went to the bar.When I went back to Reception to ask what they had done I was told by their female Receptionist that there was nothing they could do about the floor, fridge or sink so offered me another room in the basement. The porters took our bags and we went to take a look at our 3rd room in the space of an hour only to find that this room had a window that was sealed shut, but otherwise seemed fine. We began to settle in and get ready to go out etc when we discovered that the TV didn't work so I called Reception who said it was probably the batteries in the remote so they sent a porter to change them over but that didn't work. After about 20 minutes they finally gave up and said it's broken. By this time I had had enough, I rang Reception to ask for a room with a dry floor, a fridge that worked, a sink with a plug, a TV that worked and a window that opened (by the way, this hotel is boiling hot all the way through for some reason so you NEED a window that opens) and we were told the only room that fitted this criteria was the first one we went to one 2 levels. We gave in and moved right back to where we started!All in all, a real disappointment! I was actually looking forward to this weekend away in a 4* hotel but came back VERY disappointed.We didn't stay for breakfast and we had one drink in the bar (massively over-priced).I certainly would not recommend this hotel to anyone and would love to find out how it can possibly be a 4* Hotel.I stayed in the lake district the previous weekend in a 4* hotel and it was a world apart. Absolutely gorgeous hotel with all the trimmings. If that's your idea of 4* then don't go to the Shaftesbury as you will surely be disappointed!	
Dec 7 2006 	Unique Service	Clarion Collection Shaftesbury Hyde Park Hotel London. Top Marks!How many places can you name where, if you lose nearly 100 pounds in cash, and don't even notice the fact until you have checked out and are in another city, the hotel staff will acknolwedge finding the money and put it in safe-keeping for you? .That's the Clarion. For me, that speaks volumes about the professional values held by all the staff of the Clarion. In November 2006 I checked into the Clarion after a flight from New Zealand. The desk staff were friendly, courteous and helpful. I was shocked at the small size of the room (delux double) but found out later that it was not too different from similarly graded hotels in London. The room was well-appointed and very clean and very conveniently located to good shopping, the underground and Paddington Station. The big plus was the comlimentary broadband internet access. I stayed 3 nights and the helpfulness of the staff was consistent over that time. I warmly recommend the Clarion to all travellers.	
Dec 3 2006 	Terrible attitude!	My friend and I booked a twin room through ---.com but was extremely disappointed with the service that we received. The hotel staff had made a mistake and only reserved a single room for us and were reluctant to offer us an alternative arrangement. Eventually they offered us a single room each which we were happy with, however the rooms were at opposite ends of the hotel. We remained polite and courteous but the staff were very rude and arrogant when we said that wasn't acceptable. We were then offered 2 other singles next to each other but when we were shown them we were left stunned and disappointed. They were ridiculously small, infact my bathroom at home is bigger. When I walked in with my suitcase I was unable to even turn round without first having putting the case on the tiny bed. They were of extremely poor quality and a far cry from what we were expecting. To make matters worse, I had overheard a chinese tourist complaining about the intense heat in her room. The reception staff were as rude to her as they were to me and casually announced that there was no air conditioning in any of the hotel. It absolutely stiffling in the tiny rooms. We refused to stay there and demanded our money back. They refused this and I am now having to take the matter up with ---.com. We paid a little extra for this hotel as we wanted and expected abit of class but all we got was bad manners and awful attitudes from all the staff. I wholeheartedly advise people to avoid this hotel. We ended up staying at a beautiful hotel in the next street called Central Park which was nearly half the price of Shaftesbury and included breakfast. The rooms were spacious and clean and the staff were lovely. Go there instead!!	
Nov 18 2006 	generally not a bad hotel	Pros: -close proximity to the Queensway station (which is your starting poing to go anywhere using the tube)-nicely decorated and furnished rooms (the rooms appear to be newly re-decorated)-let's say friendly staff-a very cozy and cute hotel bar-towels changed every day-flat screen TV-keycards (you get two if there's two of you in the room)Cons:-wooden floors covered with carpet (minor issue)-very very narrow hallways (about the width of my not that big of a suitcase)-not easy to understand the english spoken by the staff-extremely small room and bathroom (even more if you consider that we booked a 'deluxe' room; enough space to walk in only one direction one at a time; not recommending it to claustrophobics) -empty minibar-very low pressure in the bath/showerAll in all, we had an OK time at this hotel - probably would go there again.	
Nov 16 2006 	Good value beautiful bathroom but not 4*	Great hotel if it is just for sleeping. I stayed 1 night with my mum after going to see a show. Room was great, if not a little small. Bathroom could not fault. Booked a twin, but got a double- staff at reception not too helpful about this. But on plus side, asked for more milk and tea in room- knock on the door within 5 mins to replenish. Didn't use breakfast or dinner service so cannot rate. Sister stayed in room 611, a single, do not stay in this room as stunk of damp, and very wet carpet by window. For price cannot fault,have stayed in more expensive travelodges not as pretty, or as close to 2 different tube stations, only 3 stops from west end, great.	
Nov 14 2006 	Not as bad as some of the reviews	This hotel is not as bad as some of the reviews here although I agree that I am not sure how it managed to obtain four stars. I paid £55 for the room and considering its location I thought the hotel was good value for money. It is about two minutes from Bayswater and Queensway subway. Check in was painless, however the receptionist's directions to my room were &quot; down that way&quot;. I agree with the previous reviewers comments about feeling like Gulliver. My room was on the lower ground floor through some very narrow corridors, I had a small overnight case. I think I would have struggled to manoevre my way through with anything larger. The same applied with my room, everything was there just smaller. I was in what was supposed to be an executive double. It was fine for just me but it would have been a bit tight with anyone else in the room. I opened the double wardrobe to find that it was actually only about four inches deep and could only accomodate the iron and ironing board. The shower room was impossibly small; the sink was tiny and the shower tray likewise yet the shower head was disproportionately large. However everything was newly decorated and clean and there was a small fridge which I liked. I did have a few problems. There were no bath towels in the bathroom and it took two phonecalls before they were delivered. There is the promise of free broadband, however it was not working while I was there. It might be a little thing but in most hotels you have a hotel directory, there was none to be found. The room was roasting, there is a temperature adjustable radiator in the room but even when I turned this right down it didnt make much difference. Finally and most importantly the bed was a bit wonky and very lumpy - not conducive to sleep. If I thought that I could get a more comfortable bed I may actually use the hotel again as it was fine for my purposes.	
Nov 6 2006 	The Hotel is Good and Bad	My hubby and I stayed here for 6 nights from 29th October 2006 to 4th November 2006.Although we did encounter some problems with the hotel, we didn't mind our overall experience in the hotel for some reason. Probably because the place we stayed the week before was ALOT worse!Ok, the positives first:Yes the rooms are small, but we expected it to be small so we weren't too phased;They have FREE broadband internet in the rooms, I hooked up my laptop and away we went. I found the connection pretty fast as well. Other hotels charge a fortune for using the internet in the rooms, so this was a BIG positive;The staff at the front desk and porters are fairly friendly / helpful, although check in / check out can get quite hectic - and we had to sometimes wait awhile to have queries answered as there were people everywhere and only 2 people on the front desk;Its a great location next to Hyde Park, and close to both Queensway and Bayswater tube stations;Now for the negatives, which I must say were mainly to do with the housekeeping rather than the front desk / porters:We tried to check in at 9am on the Saturday and the room wasn't ready, which was fair enough.. so we left our luggage with them.. which is all ok. The negative was that we came back at 1.30pm and it wasn't ready, then back at 2.15pm and it wasn't ready... it wasn't until 3pm that it was ready because housekeeping were behind in cleaning the rooms;On the last night, housekeeping had not replaced our bathroom with 2 large towels (only small towels were replaced). At 9pm I called reception and asked for 2 large towels and was told they would send them up. At 10pm I called them again and they apologised that the porter was busy before and will send it up now. At 10.30pm my husband called them AGAIN and they said they will send them up right away. We finally had someone at the door only to tell us there were no more large towels left??! So he gave us 3 smaller towels. I didn't really enjoy drying myself from the shower the next morning with a face washer!! There was some problem with the laundry that day or something.The only other grumble would be that I found the housekeeping most days to be overall sloppy. One day we were out of tissues and it wasn't replaced. The bath/shower wasn't cleaned very well. That's it. We didn't use the restuarant / bar at the hotel so I can't comment on that. There are lots of restuarant / bars around Bayswater anyway. Overall, not too bad an experience.	
Nov 2 2006 	Not worth 75 pounds a night	The room was way too small with no space for a second suitcase. The room and all the hallways and elevators were very hot. We got a fan for our room. Because of street noise i asked to be moved to the back of the hotel. However, I was told it is even noiser back there. The shower was an adventure. No shower curtains, had to step over the tub side, not recommended for the elderly. The opague window in the bathroom door was silly. So others in the room can see you while you do your business. Beds are small. My feet stuck out the end of the bed, I'm 6 foot. Did have an internet connection for free but the lights are really low in that room.I guess it was to force you to the bar for $7 beers. Rooms are nicely appointed, modern, staff friendly, location good as it is near 2 tube stops both on different lines. Overall clean.	
Nov 2 2006	great value for money:	This is a lovely hotel. I booked a twin room for myself and my son, and the hotel offered me two single rooms at the same rate. The hotel is in a lovely area with numerous restaurants and shops. There are two tube station within a five minute walk. The rooms while small are very clean and have a large flat screen tv. Internet access is free and the staff are very helpful.	
Oct 29 2006 	I Would Rather Spend The Night In Jail Than Here Again	This is the worst hotel I have ever stayed at. When my wife and I arrived we were sent to our deluxe double room that was not accessible without climbing many stairs because the lift did not stop at second floor. The room was the tiniest room I have ever seen passed off as a bedroom. There were ten inches between the bed and three of the walls. The bed was pushed up against the fourth wall. One of us had to stand on the bed if the other wanted to pass. I had to store my suitcase in the bathroom.I immediately went down to the front desk feeling this must be an error. They told me no, that I was in a deluxe double. They then had a staff member show me five other rooms none of which were any better.This is a horrible hotel!!!!!	
Oct 26 2006	Rabbit Hutch Great hotel for Dwarfs CLARKE JONES 	Great hotel if you’re not thirsty at 11:00 pm and either stared in the borrowers or a Dwarf! Not 4 stars, rooms were ridiculously small and they refused to open the hotel bar at 11:00 pm after 9 of us had been out for a meal. It does have a good location and the rooms were well equipped with LCD flat screen TV’s but lets face it - there was no room for a conventional TV! Would not stay there again!	
Oct 25 2006	Excellent Quality Fittings	Lynn - NorthamptonshireI have read through many of your other reviews for this hotel and am somewhat amazed at what has been written about it. I am not sure what people are expecting from a London hotel that offers single rooms on the web at £59 per night which contain all the modern facilities such as Flat screen TV, Brand new luxury fitted bathroom, good quality bedroom fittings etc. I found this hotel to be lacking in nothing. If you wanted to spend all day in your room then my only comment would be the rooms are small but as we wanted to spend time enjoying the city not sitting in our rooms (Which is what I assume most people who come to our great city for) . The reception staff especially where second to none and our cases where stored &quot;FREE OF CHARGE&quot; till 7.00pm on the day we went home even though we had checked out of the hotel at 10.00am. I felt I must write this review as I nearly cancelled my rooms due to your negative ones, but luckily I didn't and was not disappointed. If you are looking for a good value for money then this hotel is for you. If however you want all the luxury’s possible and to spend all day in your hotel with a cost of £100 plus for a single room the check out the THE RITZ at £150 per night.I for one WILL BE using this hotel again and sorry for all the other people who may have missed this bargain due to bad reviews!	
Oct 25 2006 	Gulliver in the land of the little	We arrived after booking a double delux on Hotels.com and were given the keys to room 301. This room had a small stairway leading to the bed platform-- the closet was located along the stairway wall and the bathroom was also to the side of the stairs. There was no way our luggae could fit in (we travel with 2 small carry-on suitcases). So we thought there must be an error, this couldn't be a double delux. So my husband went to the desk and was shown several other rooms -- all tiny and delux doubles. We finally ended up in room 217 which had a tiny alcove that we could use for luggage and to set up our laptop. The Internet was not working for half the time we were there. While I was in the lobby I overheard one phone conversation with another customer who wanted a bigger room. The bathroom was so tiny that a person could hardly turn around in it. I felt like Gulliver in the land of the small in this hotel. If you have desired to live in a doll house this is just the ticket for you.	
Oct 23 2006 	lovely hotel.	i stayed here for 2 nights on the 14th &amp; 15th October and i found it to be a lovely hotel.I booked a standard double room through last minute.com at a very good price for a 4* in london. The hotel was in a great location also.The room was very small but me and my boyfriend didn't find this a problem, there was enough space to walk around the bed and get to the bathroom etc. and if anything the size just made it cosey.The room was decorated wonderfully, the bathroom was clean and modern, the bed was very comfortable and the television was huge! The ironing board in the wardrobe did seem pretty pointless as i have no idea where excatly you would put this up but luckily it wasnt needed!The room I stayed in had 3 steps leading down to the actual room which were right behind the door! so be careful if you stay in 502 as i was not given any warning about this (probably because the woman at reception was as rude as everyone says) and could of had an accident.Other than the female receptionist, the staff were very polite and friendly. Overall a great weekend break.	
Oct 5 2006 	Who rated this a 4 star?	For a so-styled 4-star this hotel was abysmal. We arrived thinking the location seemed good, and first impressions from the lobby were favourable; marble floors, tidy if small, plenty of staff about. It all changed very quickly. We were given Room 902-NEVER TAKE THIS ROOM! Firstly, the lift only goes to 8th floor. Not good. Then after some help from porter lugging bags we arrived at the room. He even laughed when he opened the door.... There wasn't room to stand our two cases on end in there, they had to go on the bed. The bed filled the sleeping area from end to end, impossible to get to other side except by going over it. The sheets were dirty. There were cobwebs in the corner, probably because the cleaners couldn't get over bed? No fridge, despite the listing claiming all rooms had one. Ironing board-to be set up where, I don't know. Tea facilities were on far side of bed, so you had to clamber over it carrying steaming kettle to make a cuppa. The toilet dripped all night. There was no power in the shower, it wouldn't even wet my hair. A little skylight didn't close. My boyfriend could operate tv with his feet the bed was so short, despite taking up whole room..We were offered another room with no air-con instead, in the basement.We left the next morning, but not before they kept the deposit. They must make all their money this way...	
Oct 5 2006 	Nightmare	I booked through a corporate travel agent. Upon arrival the hotel had never heard of me. The hotel manager was working on reception (no badge) and berated me in front of other guests for not having a printed confirmation. It was 7pm, so I failed to reach anyone at my office. The hotel people told me I was going to have to wait until their agents searched about 200 web sites to find my booking. After half an hour and watching other people go through reservation problems, I asked for the manager, only to get the same rude woman.She continued to berate me for 'assuming it was their fault', and told me that she was not responsible for my travel agent messing up. She was being rude and loud, and it was impossible to have a normal conversation. I am a very patient person, and would have had a sense of humour about sorting out the booking issue the next day, had I simply been given a room in the meantime.I was given the option of waiting indefinitely in the lobby until they found my booking, or paying in advance for two days as a walk-in booking and cancelling the travel agent booking. I couldn't cancel with the agent, as it's pre-paid, and she told me over and over again that I could not 'confirm a past booking' and get a refund. Eventually after about half an hour of wrangling with the manager, she agreed (visibly angry) to put me in a room with me paying up front on my card, and that if I came in the next day with my confirmation, she would refund the charges to my card.It therefore took me an hour of discord to get into my tiny, semi-functional room. The a/c problems mentioned in previous reviews are still happening, and my room was hot. The windows cannot be wedged open without stuffing the curtain behind, and doing that made light shine brightly into the room. The hallway to the bed was claustrophobic, and I couldn't move past the ironing board once I set it up. It was dangerous to iron my shirt because I couldn't move safely around the ironing board. The corridor absolutely must be a fire hazard. No water pressure.Next day I came back with the confirmation, and she was on the desk again. She told me that they had received the confirmation that morning, late, and that it was the fault of my travel agent. She agreed to refund my card, and continued to tell me it was my fault. I noticed that the confirmation had a 'hotel confirmation reference', including a staff name. I told her what it was and she confirmed that this person worked in the hotel reservation department, meaning that they did indeed confirm my reservation with my travel agents on the day it was booked, but didn't enter it into their system.So I had long, multiple conflicts with the hotel manager because they messed up, and they took their mistake out on the customer over and over again. Completely unacceptable.The last day, I had problems checking out, because they tried to charge me for the first day's breakfast (pre-paid inclusive by my travel agents), and again demanded my confirmation. She said I had to pay, and I had to ask her to read the confirmation again. I managed to get it sort out, but this delayed my departure.Never again.	
