	Who gave this hotel 4 Stars ??	I have just spent Saturday night at this hotel, and must say it was a big mistake.A West End show, romantic dinner and a night in a great area of London was spoilt by this Hotel.Although all of the staff were very pleasant and helpful, the room was very tired / antiquated bathroom / pathetic toiletries / dirty windows / tatty net curtains / filthy window runners / no mini bar (in a 4 star London hotel ??) breakfast was awful (which the hotel tried to charge me for, after I had prepaid on B &amp; B terms / bad stains on the carpet / very basic bed and pillows - just a very miserable room.I am not sure about Health and Safety regulations, but if ever there was a fire in the corridor outside the room I stayed in , the occupants would perish as the windows could not be opened at all- they were secured by means of obvious screws into the window frames. It's hotels like this that can give London a bad name - the room was two star at best - do not stay here expecting 4 star !	
Feb 21 2009 	I can think of no better summary than AVERAGE	I've stayed at this hotel several times before on business because it's a central location and convenient for the tube network (about 300m to High Street Kensington station). The main entrance suggests a hotel that's fairly modern and up-market; however, it's not somewhere I'd pick for a short break with my wife or the kids - the rooms are rather bland and dated. My room was clean and a reasonable size. Everything worked. A couple of things I wasn't keen on; the VERY soft bed (but I guess that's a matter of preference) and the rather odd and inaccesible location of power points for plugging in the laptop and phone charger.The bathroom decor was rather tired but everything worked (bath and shower), was clean and there was plenty of hot water. Had a bar meal in the evening; nice enough and turned up in about 10 minutes so no complaints. Had breakfast too. This was less satisfactory. If you want toast you have to toast the bread yourself using a single 'conveyor' type toaster; not great if there's more than a couple of people who want toast when you do! The English breakfast is poor; in my opinion, it's the poorest choice and quality of any of the half dozen hotels I regularly use in London. However, there's a good selection of alternatives if English Breakfast isn't your thing.Check in and out was problem free.	
Feb 15 2009 	never again	the hotel states its a 4star and when you first walk in the lobby it looks it, but thats about it. our room was more like 2star,The bed was like a launch pad 1 end higher then the other.Bathroom fan did'nt work, paint falling of the ceiling.wiring not boxed in under heaterpanels coming off walls in passagegot told the parking was £20 for 24 hours then they tried to charge £25	
Feb 6 2009 	Enjoyable Not too bad!	EnjoyableWe stayed here Jan 1 to Jan 3rd from a bid off of Priceline. For the rate we paid the hotel was decent. It was categorized as a four star hotel but I believe it’s more of a three star.Admittedly, I prefer the larger modern chain hotels but the stay here was comfortable and the location was perfect for our short stay in London. The nearest tube was less than five mins away (Kensington High Street). When we first arrived, the lobby was a bit chaotic as there were many New Year’s party revelers in the hall. But the front desk staff was quick to check us in. The rooms itself looked at first glance dated but upon further inspection the furniture and carpets seem to have undergone a recent remodel – the choice of furnishing was traditional giving it the sense of being dated. Our TV did not work and we had to unplug it so not to hear the annoying buzzing sound. Our biggest complaint would be the lack of soundproofing. I could hear our neighbor’s television blasting in the background. However, the beds made up for that, and were the most comfy of our trip through Europe. We decided to try the Malaysian restaurant (Bugis Street) and were disappointed with the quality and authenticity of the meal, although we saw many Asians dining there. There are other restaurant choices nearby if you are feeling like Asian cuisine. All in all, it was a pleasant stay and a much different vibe than out first in London in neighbouring Earl's Court.	
Feb 5 2009 	It was okay...	Stayed a night at the Copthorne last weekend. Although this is a four-star hotel, I did not expect much - I generally find Copthorne hotels to be dated and weary. This one was no different. This hotel is a short walk from the High Street Kensington stop, with some rooms overlooking the tube line. However it's a bit off the road so if you've lost your bearings, just ask anyone at the shops next to the tube and they'd be able to help.Check in was smooth. We were able to check in at 12pm although the official check-in time was 3pm; quite grateful for that!The room itself was okay. Nothing amazing to shout about. Some of the wooden furniture eg the top to stow your luggage was a bit worn with paint peeling off. There was a bathtub in the toilet but to my horror I noticed spots of mould/mildew on the ceiling when I inadvertently looked up while bathing! That would be my only complaint... otherwise, it was an average stay at an average hotel.	
Feb 2 2009	Not worth it	Kensington is a great location, but there are plenty of other places to stay. This is definately not a 4 star hotel, even by an overseas definitions. The shower curtain was REALLY dirty and smelled aweful. We asked for a new one. The girl at the front desk was really rude and told us they were all like that and there was nothing they could do.	
Jan 27 2009 	Dated three star in reasonable location	Got this on priceline for £63 all in and now would not bid in the same area in case I got it again. One can get a far better 3* in London for the same price if not less on expedia.Very dated indeed, paid the £35 upgrade to a top floor room and really not worth the money. Bed soft, room dark and dated. Toilet required care and attention to flush properly. Although on top floor the shower was acceptable.Would only recommend this to businessmen who needed somewhere central to stay and didn't really care about the decor. Not a place to take a partner.If you really wanted a cheap central location for no more than £50 this would be ok given the above warnings.	
Jan 19 2009 	Helpful staff but dated rooms with dodgy heating systems	The staff here are professional and quick to respond to queries. The restaurant serves tasty authentic Singaporean food, but in true Singaporean style it arrives at the table in a sporadic fashion.The rooms are dated and in need of refurbishment. My biggest problem was with the heating/cooling system. Turning the dials made no difference to the desert like temperature. Minutes after I made a complaint, an engineer was sent along. He then transformed my room into a fridge. Once again, turning the dial made no difference. I stayed here a year ago and had the same problem in a different room.The fixtures and fittings are all in need of an update. The hair dryer in my room was on its last legs and on the last day it blew up, which gave me quite a shock. However, I enjoyed telling the tale at breakfast. The breakfast fodder is more than ample and there were plenty of staff at hand to deal with requests.	
Jan 15 2009 	Not that bad so don't fret	We made a bid on Priceline and got this hotel for about $95 a night (9 nights - 3 rooms) VAT included. I immediately came to Trip Advisor to read the reviews and admit I was very nervous about the hotel. Reviews are lukewarm for the most part. But if you read them closely, most of the gripes are about the &quot;tired&quot; furniture and some &quot;treatment&quot; issues. Most agree the place is clean and secure. Yes, the hotel needs new furnishings. But what is there is not that bad - especially for the price. I would compare this hotel favorably with the Holiday Inn Kennsington - or any older Holiday Inn in the states. Room size was fine, and the staff was very helpfull and nice. All 3 of our rooms were acceptable on the 9th and 10th floors. The bar is nice and breakfast (special for 8.5 GBP) was a good deal - not included in our bid, but was acceptable and certainly as good as the fry up offered at the Muffin Man for the same price. The hotel was an all you can eat buffet. (The Muffin Man is a nice place to eat however - I am just putting the breakfast in perspective. I would not eat a fry up 9 days in a row anyway). The TV is old and not a premiere offering - but on the other hand, it was acceptable - it worked, picture was good and offered about 6 English stations and one in French, German and Polish or something. They offered pay movies and porn but we did not use that feature. The location of the Hotel is perfect. Tube a block away and the number 9 bus (same walk) is a perfect way to see parts of London on the ride downtown. (We went downtown for the New Years day parade and of course all the tourist things to do). There are lots of good restaurants near to the hotel (out by the tube entrance) and of course the Cafe Nero, Starbucks, M&amp;S, Wholefoods and numerous fast food places including McD's. While we all hoped that we would get a real 4 star hotel with our Priceline bid, this was not a four star - but as another poster said earlier on - don't freak out if you get this one. It is just fine and is acceptable for a week or so at a reasonable price for London.	
Jan 13 2009 	Loved it!	After 4 weeks travelling in standard hotels, this was a luxury to us and quite unexpected after booking last minute! We stayed for three nights on the 10th floor - large and clean bathroom, relatively large hotel room, double glazing on windows so nice and quiet (as the High Street Kensington tube station runs below), a Guest Services area where they will make bookings, give you tips and act as tour guides (so friendly too!), a welcoming reception area and an affordable Brasserie breakfast if you like (not included in our package). It was also a hotel so the room was serviced daily and had a fridge &amp; tea/coffee facilities. The room service food is also very affordable, quick and tasty. The staff in all areas we visited (especially Guest Services) could not do enough to help you.During the day, it's not much from the outside but it was affordable, great location two minutes from High Street Kensington (restaurants, shops, tube station) and about another 5 minutes walk from there through an affluent and beautiful suburb to Notting Hill Gate.I would definately recommend this hotel to anyone for a short or longer term stay in a nice part of London close to all amenities.	
Jan 13 2009 	Good Hotel - Great Location	This hotel is in a great location. I loved the breakfast.The room had ample space and was clean and tidy.The bathroom was clean and tidy.I encountered no problems at this hotel. I found the rate reasonable considering the location.	
Jan 8 2009 	Poor Hotel with a Great Location	The location of this hotel is excellent if you want to stay in Kensington. However, that is the only positive reason to stay at this hotel. We purchased a night at the Copthorne Tara through Priceline.com based on a four-star rating, which it is not. We have stayed in many two-star hotels that were much better than this hotel. The hallways smelled of old cigarette smoke. Our room was very outdated and overlooked the tube station below, which made it noisy. It was difficult to control the temperature of the room and almost impossible to control the temperature of the shower.The business centre included a single computer but was very cold and had the AC on full. The Concierge was unable to solve the problem. The staff were friendly but I would not stay at this hotel again.	
Jan 4 2009 	Good location needs updating	Booked hotel through priceline £41 a night plus taxes. Hotel is in a really good location 3 minutes off Kensington High Street. Hotel room needs refurbishing especially the bathroom (leaky taps). Be careful not to get a room overlooking the tube line as these can be quite noisy on lower floors. Overally good value for money through priceline, but not worth paying the full rack rate.	
Dec 18 2008 	Lovely stay	I have read some of the reviews and can say that our stay was nothing like others have reported.The hotel is lovely, it is brilliantly situated close to High St Kensington and the tube. The breakfast was lovely with lots of choice and very helpful staff.Room was clean, tidy and serviced when requested by again friendly staff.We stayed at the hotel for a couple of days to shop and to attend theatre. We could not have asked for a better place to stay and would not think twice about returning.	
Dec 18 2008	no 4 stars not even 3	The friendly and efficient staff at check in could not compensate for a rundown room (#811). The fridge was empty but made a loud noise. Only after major redecoration we could imagine to stay there again.	
Dec 11 2008	Location good - hotel below average	After reading many bad reviews on this hotel I contacted the Manager prior to our arrival stating my concerns. He responded by stating that he would make sure we were allocated a room which would be 'comfortable and clean'. On arrival we were given a room on the 8th floor, corridor carpet very frayed in areas and panel outside our door hanging off the wall. Inside room, bed was VERY lumpy with no top sheet and pillows were very hard they weighed a ton. Carpet had numerous stains on it and there was a strange odor in the room which turned out to be bug spray as in the bathroom the light above the sink was full of dead cockroaches!!I contacted the Manager but he never responded, seems they are not too interested when booking is made via discount company. Very below average hotel, 2.5 out of 5 would be my rating at the most.	
Dec 11 2008 	overall it was very good	I stayed there for one night and I have to agree with Irelandduchess,some of the reviews - based - on my experience seem to be really tough on the hotel.The staff were friendly and efficient.They upgraded me to a club room on 11th floor,it was clean,tidy and well furnished.OK there were a couple of small niggles,I could not get the trouser press to work and a bulb outside the bathroom had gone ,the bathroom was bit tired but hey thats not a problem in the grand scheme.It was quiet,one other reviewer seemed to blame the hotel for the fact that he heard a conversation from another room,well unless the room is a soundproofed cell that is hardly the hotel's fault that other guests have loud voices.I would stay there again without hesitation.Also a great location for shopping and eating out.	
Dec 9 2008 	Beware the trains	Very average hotel .Reasonable location but beware if you get a room at the back of the hotel.Yes it is very convenient for the Tube station because the railway lines run directly behind the hotel.Noisy from 6am !!Very little to recommend it for £180 per night.	
Dec 4 2008 	Nothing special	The room was ok, clean and comfortable but nothing special. The walls were very thin and was woke up early by neighbours, having a loud telephone conversation. Location isn't too bad, in easy reach of the tube station but it's not great for places to eat out.	
Nov 30 2008 	Really good Hotel.	We stayed at this hotel for 1 night in november 2008. Reading some of the reviews ,it sounded like a totally differant place.!!! We were welcomed by a very friendly and helpful guy on reception. Our room was spotless and comfortable.The location of the hotel is brilliant, with the tube and bus so close. I would definatly recommend this hotel and will stay again on our next trip to London.	
Nov 21 2008 	Tired needs refurbishment.	M&amp;POB. Aust.Stayed at this hotel for nine days in oct 2008, good breakfast staff somewhat helpfull, on the down side standard rooms where tired with rickity furniture a/c that was noisy and didn't work properly which left room hot and stuffy leg fell off bed and hand basin was blocked. Not good enough Copthorne get your act together,	
Nov 18 2008 	Great value in London	I booked this hotel using priceline it was better than expected however did not meet my expecations of a millenium hotel. As others say it is a little tired and in need of some taking care of. For the price the staff was exceptional and location is fantastic for anyone who has been to London before. overall i was quite happy with my stay here although expectaions where a bit higher for the hotel brand.	
Nov 8 2008 	Getting a bit tired	This hotel is starting to show its age, although it's still very good value at the discounted price you can usually get.Reception staff very efficient and reasonably friendly. The bedrooms are clean and the white bed linen nice and fresh, but my bathroom shower curtain was a bit mouldy.The bar is pleasant, although drinks are very expensive.Above all, the location is extremely convenient - the hotel is a short walk from High Street, Kensington Tube and there are plenty of shops and restaurants on the High Street.A good choice for leisure or business provided the deal is right.	
Nov 7 2008 	Not Good!!	I have stayed in this hotel on numerous occasions, purely because it is booked by my company but I dread it on every occasion! The rooms are tired and dirty. The carpets are in dire need of changing or at least a deep clean, would certainly not contemplate walking around barefoot, slippers a must! The t.v is at least 15yrs old with dodgy controls and poor channel choices. For some reason the temp in the room does not relate to the control in the room so it is always far too stuffy or bordering on frosty. The bathroom is poky and the shower/bath is always filthy and never drains well. The reception area is pleasant but the check-in proccess is always painfully slow. The 'gym' is minimal to say the least, half the size of a hotel room with 3/4 machines, and no a/c on my last visit. The bar and dining area are ridiculously overpriced, and lack anything resembling an atmosphere. I know I am sounding very critical but believe me if you had to put up with this on a continous basis you would be equally irritated!! The only positive of this hotel is its central location which means you can happily escape with ease to a better spot!	
Nov 5 2008	Good stay at the discounted price!	The hotel looked a little depressing from the outside but reception was clean, service was friendly and check in (and out) was AMAZINGLY quick and easy! The room was clean and served it's purpose, more like a good 3* than 4, but the location was great - easy access to the tube. Didn't sample the bar or food. Would not be overly happy to pay the advertised price but booked at a discounted price and this was fair. Would happily book again!	
Nov 5 2008 	Great Hotel	Very pleasant stay at the Tara. The room was clean and serviced to a high standard. I was quite surprised to see one of the p*** channels on ch6, bit naughty if you're staying with children. One more gripe, why does a 4star hotel feel it necessary to water down the orange juice?	
Nov 4 2008 	Pretty good hotel if you get a good price	I got a very good deal on this hotel through priceline, and had some concerns after reading reviews. First, the location is very good. As others have noted, its less than 1-2 blocks from the Kensington High Street tube station; very convenient to most anything in central London by subway. Second, the hotel amenities (restaurants, bar, and room items) are adequate. The room furnishings are relatively old (probably early 1990s decor), but my room was clean even if it was a bit worn. Third, the desk staff was friendly and helpful. The first room I got had twin beds, but I wanted a double. I asked the desk if they could switch. The clerk said there were no doubles clean at the moment, but she guessed they would be in about an hour. I went had had a coffee on Kensington/High St. and came back and she had already arranged a room swap. Very nice.If you're expecting a 4 star hotel, this definitely is not. I'd rate it a 2 1/2 star property, but for the value and location in London, if you can get a good price (under $130/night), I'd recommend it. If you're picky about more than friendly service and a clean room in a good area, then perhaps this is not the hotel for you.M	
Nov 1 2008 	Air lines love it. Great location!!!	Went through Priceline at $95.00 plus $ 42.00 in fees. Great location but a well worn hotel. No a/c and we had a hot water pipe running through the room. Windows don't open!! Told staff about problem 3 times and no response. Couldn't turn heat off!Most of this 25 year old hotel's guests were Asian air line crews.Breakfast was $44.00 each. Outside to the left 2 blocks is a McD's and can be had with coffee for $5.00.Doorman ignored us as we came through the door with our backpacks and wheeled suit cases. We got the not popular relative room, but with this location it was worth it.You walk from the Paddington U-stop. About a 4 minute walk.v.	
Oct 22 2008 	Pleasant Stay	The hotel is great, especially after reading the reviews of other hotels in London. I booked via lastminute a cut me a special offer. They sell it as a four stars and I can classify it as a good three stars. The staff is nice, the room clean and quite. It is positioned near the tube. The only remarks are about the room service, since the food is not that good and quite expensive. The breakfast is also expensive since you can find the rooms nearby the hotel with very great pies.	
Oct 20 2008 	Very central	Booked through Priceline for a price of £70 per night room only. Priceline claimed it was 4* but more like 3.5* I would say. Breakfast was £15 per day but they forgot to charge us for 2 days! Brilliant value for money in a safe and very central location. Only little niggles stopped me giving it the full 4* but I would be more than happy to stay there again for £70 per night for 2 people.	
Oct 15 2008 	Overpriced The Hotel Needs To Be Refurbished Its Really 2 Star	I stayed in The Club Level as I often did before The Rooms Have gotten so grotty and the mold over the windows on the ceiling is beginning to fall onto the carpet and it also has a bad odur. The bathrooms are so worn out and you can see rust on the bath that is so old anyway. They seem to be penny pinching everywhere the club lounge is a laugh there is really nothing there for you in the line of snacks you will get a drink free between 6:45pm and 8:15pm I mean a drink just one drink because the poor chap that is there all on his own by time he gets back to you its already 8:15pm then your told its too late what a laugh this is not a club lounge its nothing they should look to other 4 star hotels and see how they run there club lounges with pride and really make the guest fell looked after and not be made feel like a begger. My company pays for me and insist I stay there but if I had to pay for myself or my family I would book elsewhere.	
Oct 14 2008 	Nice Lobby/Grotty Room	I spent 2 nights on a business trip at this hotel in Oct '08. Like other reviews have stated the lobby etc is nice and the staff quite efficient. The conference facilities in the hotel were good (Capita Conference). The room was a let down though. Horrible nets on the curtains that hadn't been washed in many months, bathroom awful. Bed very clean though on the up side. Also, the Chinese restaurant was excellent, room service was good and the location was superb just off Kensington High Street and about 2 mins from the Central Line. It's a pity about the rooms but the rest was pretty good.	
Oct 5 2008 	Great stay at The Copthorne Tara	My mum and I stayed at The Copthorne Tara Hotel in September this year for eight nights. The location of this hotel is really wonderful, about 300 metres from Kensington High Street. It's in a really lovely area of London, very pretty and upmarket. The shops on the high street are mainly fashion stores and boutiques. There is a Marks &amp; Spencer very close to the hotel and Kensington tube station is also within very close walking distance. There is a cab rank across the road from the hotel, so it is always very easy to get a cab. There is cash machine in the lobby and coin operated computers in the cafe.The rooms were clean and comfortable, if a bit shabby and dated. The bathroom was really clean and the shower was very good.The staff were very helpful and friendly and there were always plenty of them around.On the down side, wifi was ten pounds a day, and room service was average and very overpriced. Overall, we really enjoyed our stay at The Copthorne Tara Hotel.	
Sep 25 2008 	Pretty decent stay	Stayed for one night (on my own) and checked in on 24th September after booking this hotel on Priceline. Wanted a hotel near Olympia and this is just a 5-8 minutes bus journey towards Hammersmith.I actually arrived at 1.00pm not 3.00pm, was greeted by a very friendly lass on reception who checked her system, said &quot;no problem to checking in early sir&quot; and got me a room on the 6th floor.Arrived at room and was pleasantly surprised. Carpet appeared quite new and the room didn't look too bad at all. Everything seemed clean and checked the bathroom to find the towels were of good quality. Perhaps I got one of the better rooms as I did smile nicely at the lady on reception which I find helps because they will know which are dodgy rooms.My room overlooked the edge of High Street Kensington tube station but noise of the trains was just a faint murmur. In fact I thought the whole hotel was quiet and there seemed little noise in the corridor outside my door that I wondered how many people were staying there. Anyhow I personally would stay again although if with my partner then I would take up the offer of club room upgrade for £40 per night which includes breakfast, evening drinks and free entry into gym.	
Sep 14 2008	Okay but some problems like MOLD on wall of hotel room!	Decent hotel with an identity crisis... lobby &amp; restaurant areas are modern and pleasant... 3-4-star for sure. The rooms are not pleasant: mold on wall; grungy, institutional bathroom; battered furniture... a dump, in short... 1-2-star at best. All of the reviews here have basically stated things accurately. Location is great... tons of good restaurants within a five- or ten-minute walk. Two-minute walk to the Tube station. It's a safe, functional hotel, but definitely not a luxurious property - not event close. Most staff were helpful. We were able to check-in about 10am, which was very much appreciated. I'm not sure I can recommend this property, but it served its purpose for us okay.	
Sep 14 2008 	Great Location!	We just returned from a long trip to Africa and wanted to spend a couple of nights in London on our way home. We were there Sept 11-13, 2008 and found the hotel to be all that we needed. We were in one of the larger rooms on the 11th floor (they upgraded us for free when we arrived). This wasn't a big room so I am not sure how small the other rooms are. We really only slept there as we were out checking out the town most of the time. But it was perfect for this purpose - clean, quiet and convenient. I can't comment on any services in the hotel as we didn't use anything. We would stay again. The location was really perfect. Just a few short blocks off the Kensington High Street Tube Station. Just take a couple of lefts when you come out and you will find it. It's so close to Kensington and Hyde Parks and with the Tube Station right there you can get anywhere quickly.We took the recommendations from others on this site and went to the Muffin Man Tea/Coffee House just around the corner for breakfast each morning. It was lovely. The Brittania Restaurant is closeby and that was wonderful as well.	
Sep 9 2008 	Great Local not 4*	Recieved a great price via Priceline, knew would get this hotel based on bidding posts, was a little concerned with reviews on this site, but overall my experience was very good and would book this hotel again (assuming a deal again on Priceline). Great location, you actually see the High Street Tube station from the hotel. Friendly staff. Small, clean rooms. Powerful Shower. One thing though, this hotel is not 4* and priceline should know better then to even have that listed. I would put this at 2 1/2 star, but for $80/night US, well worth it.	
Sep 8 2008 	Pretty good!	My husband and I really enjoyed our stay at this hotel. We booked it through Priceline and got a very good deal, so we weren't sure of what to expect at first. We got a very clean, non-smoking room on a high floor - no complaints! Bed was clean and very comfortable, and we had enough room to lay out our luggage and other things. The bathroom was a bit dated, but functional. The area is really nice, very close to shops, the tube, and Hyde Park. We'd stay there again!	
Sep 6 2008 	Overall Good Hotel in a great location	This hotel is more of a 3.5* hotel. I'm just rounding up.I've stayed at this hotel on two separate visits. Both times with my family. I liked this hotel and it's convenient proximity to the tube. It's a little outdated both inside and outside. Here's my breakdown.Hotel: The hotel has a somewhat classy looking lobby with an adjoining bar, gift shop and restaurant. It also includes a tourist desk where you can buy tickets and a currency exchange kiosk. A complete package for tourists wanting to see London.Rooms: The rooms are decent. Nothing special. Some rooms have an odd smell to them. The smoking rooms are especially bad. But even the non smoking ones had odd smells which you notice once you enter. Beds are OK and the air condition worked fine. There was a fridge but no safe. Just your typical hotel room. Not a 4 star room by any means.Staff/Service: The staff for the most part was good. Some people at the guest service/concierge were great and very helpful. Others not so much. The night staff I felt were the better. They offer internet for a small fee (1 pound for 20 mins). Or you can use the business center which has one computer, printer and photocopier for free.Location: The hotel is in a good location. Located down the street from High Street Kensington station which is in a &quot;posh&quot; area. It's not on a big street, so it may be difficult to find at first. It is located next to the station's tracks. I could barely hear them at night and it did not disturb me in anyway. I was on the 10th floor which may have played a part. The Kensington area is a nice area. Shopping is abundant around the area as well as restaurants. Also if your doing the Big Bus Tour, there is a stop 5 mins from the hotel. Hyde park is close by. The major attractions aren't in the area, but a 10 - 15 min Underground ride away.Tip: If you want a change from restaurant food, there is a grocery store at Mark's and Spencer (lower level). It's in the complex next to the Underground station. I found myself here picking up sandwiches, water, fruit and snacks for the family. The prices are good too. You can also have lunch here as they have a deli.Conclusion: Overall a good hotel in a great area. If you can get a deal with priceline, then it's hard to beat it on price and location. Don't expect 4 star rooms. Like I said in the first sentence, overall this is closer to a 3.5 star then it is a 4.	
Sep 5 2008 	Copthorne Tara - Don't bother unless you get a Club Room	The Copthorne Tara is like two hotels under one roof. I had the misfortune of staying in a standard room on the second floor in January this year. After complaining about the room I was offered the chance to upgrade to a Club room. A Club room is much better; these rooms are on the 10-12th floors and have great views over London. The bathrooms are a little dated but the room is comfortable and spacious the bed is very comfortable indeed. Club rooms come with free access to the very nice Club Lounge which serves complimentary drinks and snacks each evening between 18.45 and 20.15. You also get a complimentary continental breakfast thrown in with the room rate. We paid extra for the Full English Breakfast which is ok - the buffet has a reasonable selection of pastries, fruits and cereals, however, the cooked breakfast is a little lame as it is not buffet style and you have to take your plate up to have a member of staff fill it for you! This is only after you have handed over your cooked breakfast meal token. It reminded be of going to get your school dinner! Having said that, the scrambled egg is excellent :-) A Club room also comes with complimentary internet via a network cable. All in all, I could only recommend the Tara if you can secure a Club room. In my opinion, standard rooms are below the standard of your average Travelodge, and definitely not worthy of a 4-star hotel.. There is an underground car park at the hotel and the rate is £20 per day which seems reasonable for the location.Personally, I would be more than happy to stay in a club room at the Tara again.	
Aug 29 2008 	No complaints	I booked this hotel through Expedia the day before I travelled. Was a little wary after reading some of the reviews here, but for one night it was great. Room on the second floor, was clean and plenty of space for 2 people. If we had been staying longer I would have been concerned about the heat, and that was with the air conditioning on!!Didn't have breakfast, so can't comment on that. Used guest services to leave our luggage after check out and they were very friendly and efficient. Overall staff at check in/out were friendly and helpful.For the price that i paid - £95 for the room I would stay here again, very convenient for the tube	
Aug 21 2008 	HATED THIS HOTEL: Filthy dated and nonfunctional at every level.	I have no idea what type of 4* hotels the other reviewers are comparing this hotel to in their review. I am shocked that anyone could say anything positive about this hotel other than of its convenient location. This hotel ranks as one of the worst I have ever experienced in twenty years of going to Europe, and certainly the worst representation of hotel rating I’ve ever seen. The Millennium chain which now owns this and generally runs pretty nice properties should be ashamed. The hotel is a 2* AT BEST, and even as a 2*, if offered to me for a FREE STAY, I would not stay here again until they learn how to clean better. I’d have given it less than 1* if I was an independent rating agency. It is BEYOND ME, how on earth this hotel gains a 3* or 4* rating through various agencies. They must have a specific set of rooms set aside to show to organizations that go through this hotel. I experienced three different rooms at this hotel, the final one being a “club level” room, and was shown another two. While the club level room was marginally more acceptable than the rooms we were initially given, I still cannot find much good to say about this hotel.Positives1- Location is great, and close to the Underground station.2- There is a single fantastic manager (Joshua, I believe) who goes out of his way to try to deal with guest complaints, and is constantly being paged and running around, while most of the rest of the hotel staff could care less. As another reviewer noted, these people have no interest in repeat customers. They provide cheap rooms via priceline, and they hope that the very low price people pay makes up for all else that is wrong with the place. This single hardworking manager did his best to move us to a better room on our last night, and we appreciated his efforts, but not much could be done to improve our view of the property itself. I feel bad that he has to weather the brunt of nonstop complaints because Millennium can’t bother to fix things around this hotel or at least revise the hotel rating!Negatives:FILTH. This is one of the dirtiest hotels I’ve ever stayed at. The carpets in all three rooms we experienced as well as the others we were shown were absolutely disgusting. Not only are there endless sticky stains, the carpet is often torn up in regions, and so dirty in spots their vacuums don’t reach instantly that you must not allow clothing to drop on the floor. The bathrooms in the hotel are not well cleaned. Our first room had towels with big yellow stains, and a used towel. We had to hand them to the housekeeping supervisor so he could instruct his staff to avoid “similar issues”. Replacement towels are worn thin from use, with holes in them. How on earth do these people put such towels out for guests? The flimsy shower curtains were torn or stained in two rooms. I am absolutely convinced bedding in this hotel is NOT cleaned between customers, or not cleaned properly. One pillow on one bed in our room reeked of rose water perfume, clearly a remnant of the previous guest, while another pillow on another bed had the most disgusting hair-oil smell. I truly felt assaulted by the odors emanating from the bedding in our first room and the various stains on the bedding were enough to make one lay down layers of clothing to sleep upon rather than be exposed to the bedding. The stains on the various walls of the various rooms were disturbing on many levels. How can they not clean this stuff? The desk’s response to complaints: Absolute nonchalance. They apologize, and then ask what you’d like done. They are happy to show you other rooms, but there is little improvement in terms of cleanliness on regular floors. The final room, our upgraded “club room” at least had linens that did not smell. AGE: The furniture in the rooms is ancient, but this normally is not a problem if it was kept in fine condition. In every single room, however, including the so called forty pound upgraded “club rooms” the furniture is chipped to a disturbing degree, or broken. Its truly shocking to stay in a hotel room with furniture that looks like this. Rarely in a 1* hotel in the US, be it a Motel Six, or Econolodge, or even random highway motor inns have I seen furniture in this shabby a state. The rest of the room is not much better – every room has black chipped tubs, sinks, broken bathroom tiles. Its incredible how much damage one could see in each of five rooms.LACK OF FUNCTIONALITY: The rooms have nothing in them and what little they have doesn’t work. No safe, no iron, no amenities. Two of four lamps in the room did not function. The TV remote did not function. And the final straw, which resulted in our final utter meltdown was that we had an absolutely nonworking shower, where the water could not be switched from tub to shower. Air temperature controls are archaic.AWFUL BEDS:I’ve already disgust the filthy bedding in our room. The quality of the mattresses is so bad that you are guaranteed backaches the next day. These mattresses sink with any kind of weight about 100 pounds in a manner that is not amenable to any form of comfort. I didn’t even want to look under the mattress cover to see what state of filth I’d find there. HORRID NOISE:Walls are paper thin and you can hear everything in every room in your proximity.Even worse, if you are on the side the train runs, you will have the pleasure of being rattled from its passage every 10 minutes.STAFF: I’ve rarely seen a staff with the exception of the particular mentioned manager who could care less about guest’s complaints or concerns. The quote I got was “I don’t know about your standards in the United States, I’m used to Polish standards” – this is the type of person they have at the desk. Resentful of any expectations from the guests, they seem to be implying that the hotel in its present state should be acceptable to most except those from the United States. The other desk person just stared at me blankly, unclear of what to do. The bell staff do their job well, as they spend most of the day having to log in and log out luggage from guests who can’t check in, because rooms are not ready.Other than location, this hotel has nothing to recommend it. Avoid this hotel under all conditions, at all costs. I have stayed at other 4* hotels in London before – this hotel does not belong in that category, and even in any other category, or as a free stay - its not worth it.	
Aug 13 2008 	Average	Slightly shabby rooms but generally ok. I was first given a smoking room on floor 3 where the whole floor stank of smoke. They changed the room but were rather grudging about it. None of the windows open which is a bit frustrating but at least the air con worked. Great location just 2 mins walk from High Street Ken tube.	
