	This is a 3 star hotel	I booked for 2 rooms through superbreak and was very disappointed with the dated room and especially the bathroom. My friends room was even worse with very dodgy electrics and although the tv was reported it didn't work no one acturally went to fix it.We had to ask for soap which you would think would be provided! and the shower curtain rail was placed above your head, so when you had a shower it stuck to your body!The bar was very expensive with 4 drinks costing £18! however the restaurant was very good and helpful staff.When we went down for breakfast the queues were horrendous, waithing a good 20 minutes! although breakfast itself was ok.No way is this a 4 star hotel! I will not be staying here again.	
Jan 31 2009 	Bad breakfast 	We arrived at the hotel, and check-in was fine. The room was clean and a nice size TV to. The heating was on low, however the room was very hot and stuffy. We were only staying the one night, so this wasn't to bad. The location of the hotel wasn't easy to find when exiting Euston station especially when on foot, it was tucked away at the end of Cardington St. The breakfast experience was awful, we queued for over 20 mins to be seated, several managers walked by us, and didnt try and resolved the situation - we were warned by others in the lobby before we went down for breakfast that the queue was all the way up the stairs when they left, so we were in for a big wait. Eventually we were seated and all around us were free tables, this was annoying and fustrating as we had been waiting for such a long time!! The staff responded slowly and it wasn't all hands-on-deck to clear tables!! The managers just seemed to wonder around aimlessly, when we left they were at the computer on Outlook e-mails!!!!We queued up for the cooked breakfast, which took a good 10 minutes. The tables that was supposed to have breads and cereals was completely empty!!! By the time we got back to the table, our coffee/tea's were cold! The cutlery was dirty and the toast was cold . The food was not hot, only luke warm, which is concerning when eating meat! Both my Mother and I did finish our breakfast, as by this time it took atleast an hour out of our day!When checking out we told the staff of our experience in the morning, and asked to be refunded the full amount for a breakfast (13.50) The manager was having none of it! All staff lacked customer care.Another man on reception wanted to complain about parking, he was told by staff 'You'll be waiting all day to see the manager, mate' - as soon as he left, the staff were sniggering and laughing at him!I left the hotel feeling disappointed and disgusted.	
Jan 27 2009 	Bed too small for two biggies!	We booked the hotel as part of a deal including 2 seats to see Oliver! Seats were £45 and the deal was 2 seats + B&amp;B in a double room for one night coming to a total of £210. Great location for Euston station and underground. When we arrived we were immediately asked if we'd like to pay for an upgrade, which we declined. We are no fatties, but the bed can in no way be described as a double - we had to turn over in unison! Three-quarter bed at most. It was pushed up against a wall (stopped me from falling out) and there was plenty of room for a much bigger bed along the wall that the headboard was. Brasserie is very over-priced (try the Ibis next door for all-you-can-eat buffet, soup then main course for £12-50. Breakfast next day was excellent, but there were so many people the Brasserie could not cope and the queue stretched up two flights of stairs from the restaurant - they were still serving the end of the queue by 11.30 a.m.. Restaurant staff deserved every penny they earned for coping that morning.	
Jan 25 2009 	Disappointing Visit	This hotel has 4 star public areas and charges 4 star prices in the bar. Room was a good size, but decorations were not up to scratch, torn &amp; scuffed wallpaper, mould around window frames. We were a bath towel short and one light did not work in the bathroom, asked for this to be sorted at reception. Bath towel arrived but the light was not sorted, I think there may have been a problem with the electrics in the room as the fan in the bathroom did not work neither did one of the bedside lights.These are not 4 star standards.However the room was quiet and the beds were very comfortable.I have a suspicion that we were in a &quot;one nighters&quot; room which was a shame because I had booked the hotel as a traet for my 84 year old mum who had never been to a hotel before.	
Jan 15 2009 	CHRISTMAS FAMILY VACATION 2008	Thistle Euston is an excellent place to stay. Friendly staff, on-time cleaning schedule, honest staff, clean and safe environment. It is a short walking distance from Euston station (Tube) and some stores, restaurants just around the block as you come in from the station.Breakfast buffett was included in the vacation package but they are always the same menu everyday we stayed (6 breakfast days). Expect to stand in line during &quot;rush hour&quot; around 8:30-9:30AM. Expect a decent 5-7 minute wait before getting a seat. Some internet cafes are around the area north of the hotel and a bus transit station right next to the train/tube station.Very few taxi cabs pass by as Cardington St is a little bit off the main road on Euston St. Avoid the ground floor section where rooms are a little bit cramped. There are 2 small elevators to use and some nice area lounge to sit. There's bar/restaurant in the building. Concierge is very helpful, hotel price varies if booked individually, shop for the best price. This hotel is a &quot;tourist hotel&quot; so expect crowded lobby at times. The best thing is that it is quiet, safe to walk even at 2AM, and a good jumping point to anywhere in London City either by tube or bus. Hot water is always available, coffee, tea and hot water is always there if you need it. Cleaning is done EVERYDAY. About 40 minutes to LHR using a private car/taxi. Cost $135 converted. Negotiate.	
Jan 5 2009	Nice hotel but a very small room	Whilst I did feel very comfortable at this hotel, the single room that I booked was very small. However, it was functional and very comfortable for me as I was sleeping off my jet lag. Also, the reception staff were very friendly and the location was brilliant for Euston train station. The outside of the hotel doesn't look to appealing, but do not let this put you off - it is a nice, clean and comfortable hotel.	
Dec 22 2008 	Looks good on outside not so much on the inside	I have a mixed bag of emotions following my hotel stay at the Thistle. The location is indeed fab, but it's actually quite confusing to find, but when I tried to call the hotel to get directions no one answered the phone so eventually i had to hang up.Checking-in was fast, efficient and friendly. I managed to get complimentary check-out at 1pm which was good, and also got a complimentary upgrade to a deluxe room. Well I would not like to see the regular room!! There was barely any moving space, with my boyfriend sitting on the bed, i could barely fit between the bed and the tv to walk around. There was tea-making facilities but no water (a BIG no no for me), there was no mini-bar which is also very frustrating, especially when you want a drink of water. The bed was comfortable but not huge, not what I would have expected from a deluxe.But my main problem was in the bathroom - while the shower worked pretty well, the side of the bathtub was clearly dirty, dusty, and there was also a small hair, which I can only hope was an eyebrow. All in all very underwhelming.The cherry on top was checking out the next morning, very rude hostess barely looked at me and treated me like I didn't deserve to be there.For the price £80 on lastminute.com, it was ok, which is about what you'll find in London for a 3-4 star hotel, but the dirty bathroom really brought it down for me. Also there was only one large towel though I said it was 2 people checking in - unacceptable. I would NOT pay full price here - they're going at something crazy like £200+. You can find much better hotels at this price in London.	
Dec 10 2008 	Not all bad but rooms very tired	I was booked in here for a short business trip and found the hotel a bit of a mixed bag. I arrived early, at 1130 and was expecting to be sent away but the friendly staff booked me into my room immediately so thumbs up for early check in!The room however was poor. It was a single room and although the bed was large enough for 1 the room and bathroom were both small and cramped, with really ugly views onto the rear of the station. The room itself was tired, with small rips in the wallpaper and the furniture and pictures on the wall all well past their best. It all just felt slightly tatty and last decade. The bathroom had the same feel but at least it was clean.I ate in the restaurant and used a free voucher in the room for a free beer to celebrate the recent renovation to the restaurant. In general I am not a fan of hotel restaurants but I thought the food here was surprisingly tasty and really enjoyed my meal.The hotel ended on a high note for me as they allowed me a late check out as i had a meeting that morning that over ran without charging me extra. The hotel is good enough for a quick overnight business trip but for a holiday stay I would look elsewhere.	
Nov 22 2008 	Not a Four Star	Stayed 2 nights from 20th Nov 08 and this is not what I would call a 4 star hotel. We paid £40 for an up grade over the 2 nights &amp; even then the room was not in my opinion executive standardMore of a 2 star and just about 3 star at a push.Breakfast was the usual food on a hot plate etcNoise from lifts &amp; others walking by.Search well and you will find better 4 star Hotels in London	
Nov 16 2008 	Give it a miss	Arrived late and keen to sleep, given a room on the ground floor, pleasant enough. Road outside adjacent to the window but it seemed quiet. Woken up several times by what I assumed were people walking past on the way home from a night out, as I heard bottles clinking. Also heard snoring so assumed the walls were thin and it was next door. Up early the next day, opened the curtains and got a great shock as a homeless man was wrapped in a sleeping bag right next to my window with his bottles of cider lined up for breakfast ! I had to close the curtains to keep my privacy. Then my breakfast arrived and I was gobsmacked when the guy asked for five pounds in cash ( no mention of this on the breakfast label that you hang on the door ). It was awful, all the hot food was cold, toast cold and limp, tea was cold, milk was warm, it was not the cereal I ordered, a plate of scrambled eggs which could have doubled for pebbledash. In fact I was tempted to feed the tramp through the window but I couldn't open it. He did sit up and have a drink before snuggling back into his sleeping bag. I took a photo and when I checked out showed it to the receptionist and also told her the breakfast was hideous. She had a radiant smile and maintained this throughout but didn't offer more than that. I won't return.	
Nov 4 2008 	very disappointing	We stayed 3 nights at this hotel and were very disappointed in the room .It was called deluxe but would not even be a 2 star room .It was nothing like the website pictures being small dark and next to the lifts which kept us awake half of the night .Breakfast meal would have been ok if it had been hot and evening meal at the brassiere was way overpriced for what was served ie British cheeseboard was danish blue, edam and brie .40 minutes wait between courses and the ribeye steak whe it eventually turned up was more like a burger.Needless to say we would never stay at this hotel again. This was booked as a special 60th birthday weekend and this hotel put a damper on the wh weekendole. Disappointed from Dover	
Oct 24 2008 	Not up to 4 Star rating	The location to Euston Station is very convenient and the buffet breakfast that was included in the price was great and the waiting staff very attentive but the room was very disappointing. It was very dated and the bathroom was a disgrace; it had pink mould all over the grouting, the bath was very badly stained, there were cracked tiles and the extractor fan didn't appear to work. When I mentioned these things to reception I was told that housekeeping would deal with it but when I returned some 12 hours later no attempt to remove the mould had been made. There were a few other issues I mentioned at the same time and none of these had been rectified.	
Oct 20 2008 	Only if you really need to....	The hotel is close to Euston station, which may be of interest to you if you have a train to catch or want to walk to the British Library. Otherwise there are plenty of districts of London that have more going for them than Euston. Having set the scene here are the 'highlights' of my stay.I booked 2 nights in a single room, upper floor requested. I arrived early i.e. lunchtime so was quite prepared to request that I simply leave my case and come back. later This was certainly what happened then, along with the complete indifference of the receptionist, which signalled the level of service that was to follow. I booked in between 5 and 6 in the evening, ground floor room allocated (!). The room initially looked not too bad i.e. very dated decor but reasonable size and clean, chipped tiles and enamel apart. I was becoming used to the rumble of the underground trains below when I thought to turn on the TV for background noise. This was entirely non-functional (cue Monty Python 'dead parrot' sketch).. I phoned twice to request that this be dealt with and receiving no response other than a promise, went in person to reception. The staff member seemed to know immediately what I was talking about (no apology for not attending to the 2 previous requests). She immediately told me how busy they were, expecting another coach load of tourists (you know the type of hotel as soon as you see a designated reception desk for Sunwings/ Cosmic . whatever etc, etc) in the lobby). She immediately informed me the hotel was full and I could not be moved. I had until then said nothing apart from pointing out that the TV wasn't working so this info was fed to me unsolicited. I think she could tell from my face that this response was unsatisfactory so she diappeared into the office and a male staff member appeared (?? duty manager). I reiterated the problem to him and politely proceeded to agree a plan of action to correct the situation i.e. had to go out for a short time, would someone go to the room and repair. He agreed to this.Fool that I was to believe that he had paid any attention. Returned later in the evening to find no-one had been to the room. Returned to reception in person, No-one had been delegated the task, person came along with me then, confirmed the TV was defunct (I suppose I might have been really dim and not thought to plug it in etc). (Pointed out on the way that the ice machine did not have any paper cups in the holder, this was never addressed over the weekend despite the staff memeber's assurance). Hurrah he said 'they will have to change you to another room'.Was phoned to say that I should pack up and come tback o reception. Was given a key then to a room just opposite the one I had left (!!!!??!!)., why make me trundle back to reception with my case rather than have someone deliver the key to me?. Problem was this was a smaller room, looked out into a grimy enclosed area and beside the main ventilation/extractor fans. Room looked really dated. I was the too tired and defeated to go on and went to bed. So effectively I was downgraded for the faults of the hotel in putting me in the first room!!!!!!Any good points? Some staff at breakfast were really nice and had manners, knew something about customer service ( all Japanese or Far Eastern races, simple observation).If you want the 'cattle' experience in an overcrowded, too busy, under-staffed hotel, this is the one for you. Alternatively you might look around to find one of the very many other hotels in London that might offer you better service.	
Oct 20 2008 	A Relaxing Stay	My partner and I booked a 3 night stay at the Thistle Euston Hotel. It was superbly placed, just 2 minutes walk from the Euston mainline railway Station and Underground with direct lines into central London in about 10-15minutes.On arrival we found the lobby very impressive, clean and upmarket. The hotel clearly has a new front section with old building at the back. We were given a room on the old section and the back of the hotel, but this was not a problem. The room was spacious overlooking a small park (where some teenagers gathered in the evenings). The bed was spacious, although we had specified a double room by phoning the hotel directly they still had us down for a twin room! This was luckily rectified at check in!The bathroom was small, but adequte. It was always clean and served our purpose. The room had a new widescreen LCD tv with Freeview so there was lots of channels to watch. The room also had good facilites such as hairdryer, ironing board and coffee and tea making facilities. We also had loads of drawer and cupboard space. There was also a safe for valuables.We did not book to have breakfast, it was £13 per person, so we just grabbed breakfast at Euston Station, it has loads of eating places. The TV/Bar lounge was relaxing with a massive TV to watch if you wished.Overall it was a good stay, both my partner and I found the room relaxing and the staff helpful and friendly. We look forward to coming back at night after a long day sightseeing knowing that we had a comfortable room! I would not be adverse to going back there again the next time we visit London!	
Oct 12 2008	did not enjoy the exprience	Arriving at the Thistle Euston exhausted after long flght from Sydney I was greeted by cold uncaring staff....when asking for advice to get around London they were not forthcoming at all. I would never stay there again.	
Oct 1 2008 	Nice hotel great location	I stayed for 3 nights in early September. I took a chance on the &quot;secret hotel&quot; deal on lastminute.ie and based on the description, I had a sneaking suspicion that I'd get the Thistle Euston where my friends had already booked into. I have to say, I was impressed with the price of €75 per night and knowing I'd be getting a single room, there was no disappointment on room size like I had with the Radisson Grafton. The Thistle's single room was bigger and roomier than the Grafton and the sound insulation was much better too! Breakfast wasn't included in my deal, but my friends who did were all happy with the fare. Check in took a while because we arrived along with a busload from Cosmos tours. Another receptionist would have been a help as the one girl trying to deal with the queue wasn't enough. Having said that, she was pleasant and polite to everyone.Iron, trouser press, tea/coffee facilities, toiletries all supplied. Comfortable single bed, bit wider than average with good pillows! Bathroom was compact and clean with a small bath, shower and ample clean towels. Nice big tv with a plethora of channels... not that I intended staying in and watching tv for my stay! No air con, but there was a fan. I'm not too fussed either way about aircon anyway!Bar staff were lovely to talk to and nothing was too much trouble. Closing time was a little early when you're used to hotel bars serving until all hours. We remedied that with a couple of rounds delivered to one of our rooms which we could pay with cash and not have to put on the bill for the room.The hotel is a couple of minutes walk from Euston and Kings Cross St Pancras is easily reachable on foot too. The hotel looked after our luggage for the day, after we checked out which saved us worrying about storage until we were due to fly home.If you're looking for a good base and not expecting frills, this is the place.	
Sep 22 2008 	Avoid!	I booked this hotel specifically due to its proximity to Euston station. The rooms are small and dark. I had requested a double but was given a twin room. The bath was tiny - I'm only 5' 4&quot; but even I couldn't sit with my legs stretched out in the bath.There was also a lot of TV noise from surrounding rooms - as if the walls were too thin.The final straw was on each night at 4am I was woken by the most awful clattering/crashing noise - as it someone had dropped lots of metal chairs from 4 floors up. On the second night I worked out it was actually the bar staff putting all the waste glass bottles into the glass recycling facility.I never ate in the hotel so I can't comment on the food.The check-in area was always very busy - it took over 10 mins to check in and out of the hotel and they seemed very under-staffed.The hotel is very popular with tourists who were charming in every respect but it meant that the lobby was always very very busy with tour parties coming and going.Overall I wouldn't recommend this hotel to someone on a business trip.	
Sep 19 2008 	Rude Staff	On arrival for my Cosmos tour the girls at the Cosmos desk were not very help and not willing to assist with anything more than what they have to do. The receptionist was also rude when I ask for his assistance in getting directions, as he told me that was not part of his job. The concierge was also rude and very abrupt to me when I ask him for directions to the British Musuem. He said just walk in that direction!!!! Breakfast was the same each day and my room had no a/c so I had to open the window which was on a busy street.	
Sep 15 2008 	great hotel	had a great three day stay at the euston thistle hotel, staff were very friendly and helpfull. on our arrival we were told that they could not give us adjacent rooms but had upgraded our friends to a better room.the breakfast was excellent far exceeded our expectations.the hotel is well situated for the we will rock you show 15 min walk away.very handy tube station 5min walk away. all round good choice hotel	
Sep 11 2008 	Very Dissapointing	I booked this hotel as a Theatre Break package and it cost me £170 for a twin room. This was a treat for a dear friend who has many personal problems, and needed a break. So the dissapointing room didn't please me.The beds were fine, tea/coffee ok, breakfast ok. The bathroom was in a terrible state. The bath had a dripping tap which had left a black stain on the bath about 2&quot; by 8&quot; the hard water deposits were discusting. There was a 2' long piece of chrome tubbing hanging loose across the taps, for no purpose at all. the toilet when flushed made an appauling noise. After our trip to the theatre we ordered a snack from room service, it took 40 minutes to arrive and then the order was wrong, when I phoned to ask for the correct order it was difficult to converse with someone with limited english. When the correct order did arrive it was 65 minutes from the original order, by then we couldn't eat it and wanted to go to bed. So all we had eaten was a chicken wrap that cost me £20. The next morning on complaining I got a £10 refund. And at 7.50am a maid came in to clean the room, we were still asleep. I would not recommend this hotel to anyone paying over £50 a night for it. I am not in the habbit of complaining but in this instance thought it necessary.	
Sep 11 2008 	Mediocre	The Thistle's location is a definite plus &amp; the first impression of the hotel's interior is that it's worthy of its four stars.Our bathroom worked fine &amp; cleanliness throughout was good.However, our room was small despite a king-sized bed &amp; had no in-room drinks facilities (more annoying than I'd have previously thought).There was a mistake over our booking via lastminute.com &amp; we were told breakfast was not included &amp; would be charged at £12.95 each.We ate at the hotel's bistro in the evening &amp; the meal was satisfactory, but overpriced, particularly the drinks. Service was v-e-r-y slow &amp; some of the staff struggled understanding English (with us &amp; with each other) which created some confusion over orders.If staying in the Euston area again I might use the Thistle if there was a good offer on the room price, but all things beings equal, I'd look elsewhere.	
Sep 7 2008 	Location is the best thing!	I stayed here in the only hot week in London this summer and despite the hotel advertising rooms as being air conditioned mine and my colleagues were not. To add insult to injury the window did not open more than an inch to provide ventilation and the rooms were small and dated. The hotel is one of the closest to Euston Station but I have got better rates and rooms at the nearby Novotel (halfway between Euston and Kings Cross Stations) and the Radisson Grafton.	
Sep 5 2008 	Shabby and poor value	Fairly typical London hotel in being pricey for what it was but not terribly good. My wife checked in having come from home in the afternoon to get ready for our evening out at the theatre, while I finished off at work. She found the staff were unhelpful, with a poor command of English, and the room not ready. Whenever anything was requested there were mutterings about surcharges but eventually she was given an upgrade.If this was a superior room I would not like to see the bog standard. It would be best described as shabby, with scuff marks on the walls and tired looking fixtures and fittings.I did not get to sample the breakfast offerings, as I had to leave on the first Eurostar of the day and was too early. However, my wife said it was very good.It is rather sad that we expect poor standards and value for money from London hotels. Other European capitals seem to do so much better.	
Sep 2 2008 	Over rated	We stayed at the Thistle the night before and after our Cosmos Tour , I was disgusted at where they put us(on arrival) -in the back of the hotel through corridors and fire escapes and in a twin room when I had paid for a double. only saving grace was the bathroom was large . We left some luggage at the hotel for collection on our return it took my husband 15min to explain to the Concierge who had little grasp of English it also cost us 14 pounds. On return the room was two twin beds pushed together the bathroom was small I was so glad to leave. I would say If going on a Comos tour stay somewhere else and meet at the hotel on day of departure.We paid over $600AUD for the 2 nights I expected more.	
Sep 2 2008	just ok	Excellent location near tube in central london rooms were a disappointment-very standard accomodation,basis bathroom compared to the rest of the hotel which was modernFriendly staff At breakfast there was certainly problems due to the large volume of people they found it difficult to cope,waiting in long queue to be seated then waiting again to get your breakfast.I have stayed in many hotels in london and whilst breakfast is usually a busy time,unlike the other hotels this one has problems coping with the volume of people.	
Aug 26 2008 	Overall a wonderful place to stay	What a great location! We had to book this hotel through a promotional offer. The reviews were mixed but when we arrived on the 1st part of visit we had a very small room for 3 people but all the amenties. Tea,coffee and cookies every night and a wonderful large breakfast everyday that would fill you up until lunch. Great Bar and cute cafe with a big screen downstairs to enjoy a cup of tea or beverage while looking out into the lovely park next door. There are also several good pubs within a few minutes walk from this hotel. The staff was very helpful and attentive as well. This hotel is steps away from Euston Station which will get you to the heart of london in 10-15 minutes time on the underground. Walking distance to the British Library, British Museum, St Pancras Station (Eurostar) is you would like to go to Paris or Brussels while you are in Europe. On our 2nd return in the same month we received a very large corner suite with a view of the park as well. This was a perfect room for the day before the long trip back to the states. There was only one drawback and that was no wifi or internet service ($20.00 for 24 hours on their WifI connection). I would recommend this hotel for weekend away or for families looking to experience all that London has to offer.	
Jul 30 2008 	Nice hotel with friendly staff	Excellent location near tube in central londonClean and nice rooms with flat lcd facing small parkSize of the room was good enoughFriendly staff speaking excellent english, I don't trust the other negative reviews at all..Only negative was that there was a rush for breakfast. I could take 5-10 minutes before getting somewhere to sit..	
Jul 26 2008	A good hotel	Stayed here for 6 nights and found it to be clean, updated, and very conveniently located right near the underground, with quick access to most anywhere you'd want to go in London. The staff was friendly and helpful. And the breakfast exceeded expectations and was wonderful!! I would recommend it to others.	
Jul 22 2008 	All great.	Either people have incredibly high expectations or the Thistle are really trying hard to turn things around.The room was perfectly nice and clean, with flat screen TV, en suite bathroom with nice toiletries. The front desk staff were friendly and professional, and genuine.This isn't a &quot;destination&quot; hotel but I paid around £50 for it, and its a stone's throw from central London. See what else you can get for the price, this is probably the best value you'll find.Wouldn't hesitate to recommend this hotel.	
Jul 21 2008 	Find somewhere else.	Average large chain hotel with average rooms and average service, twin room was 230 pounds per night which is outrageous even for the euston location (back of the train station so not even a nice bit of london). Breakfast was 12 pounds for english breakfast, music in the breakfast room was an interminable 80s CD on a short loop. Matress was ropey, linen was holed, limited tv channels, bathroom small, shower ok but soaps etc poor quality. Just lacks any of the things that should come with 240 pounds a night. I wouldn't recommend this hotel to anyone.	
Jul 21 2008 	Fantastic	I have to admit after reading the reviews on this hotel I was dreading our weekend away we had booked through Omega holidays for a one night theatre break and had upgraded to this hotel as being nearest the west end from a choice of three....I was amazed when we arrived how beautiful the hotel was, with its highly polished floors and polite and courtious staff who spoke perfect English. We couldn't check into our room until 2pm and being only 11am we decided to go for a walk, the concerge took our luggage for us and told us to come back when we were ready to check in. We returned at 2pm and were promply shown to the room by the duty manager who couldn't do enough to help. The room was situated on the ground floor (Which seem to have the worst reviews) It was bright, spacious, clean and modern the only down side was that we had a twin bedded room not a double as requested, but i figured we would be that tired we would just fall into bed anyway...lol!!The bathroom was a little bit dated but clean with fresh crisp towels and the toilet was immaculate (something i am funny about!!)After a very comfortable, noise free night we ventured to the Brasserie 33 for our full english breakfast, this was hot and there was pleanty of it, the staff all had lovely cheery smiles and were very helpful..(they obviously appriciated the work!! unlike some people in our country!!)We checked out just after 9am even though we had til noon and left our luggage at the hotel until it was time to return for our train back home..In conclusion This hotel is idealy situated near all local transpotation Tube, trains, and buses. It is clean, modern and comfortable and the staff are friendly, helpful and extreamly polite.	
Jul 20 2008	high quality	A thoroughly pleasant stay Food good Room excellent Staff and managers care about customer satisfaction	
Jul 15 2008 	I liked it!	After reading all of the reviews we were very reluntant to stay at this hotel.We were booked through a promotion company as part of a free plane trip and had little choice as to which hotel we could use.We stayed 7 nights.We were pleasantly surprised that this hotel was fine.The staff spoke excellent English and were very friendly and helpful.The breakfast was great and we asked for a quiet room and got one that was very quiet (London is VERY noisy).The rooms were small but very clean.The location was next to the rail station and tubes and was in an excellent location.Every night was like coming home to our quiet home in London(the hotel is next to a park).The only negative was on July 5th a large tour group come in and was singing late at night and talking in the halls @ 3 to 4 in the morning.The banging doors were very evident that morning.The other nights were OK.I would return and enjoyed the hotel a great deal.	
Jul 5 2008 	Thankfully I wasn't paying	Hotel was paid for by my company (£175/night = $350). It would have been okay at $50. Indifferent/incompetent staff, hallways smelled of urine, rock hard beds, foam pillows, dark rooms. Besides the slamming doors coming from guests entering and leaving their rooms, the cleaning staff in the morning would set the dead bolt so they woudn't have to open the door as they went in and out, but would let it slam each time. Horrid racket. Can't really think of anything good to say about the whole experience. Couldn't wait to leave.	
Jun 30 2008	No vent no atmosphere	Stayed here as sold to us by 'Superbreak' as a 4 star hotel which it definiely is not.  The place is lacking from maintenance, from our expereince of 2 rooms lights dont work, room air con doesn't work, tap are loose.Basement bar has absolutely no atmosphere at night.	
Jun 15 2008 	Mediocre at best	This is the third time I've stayed here (I didn't book it myself) and each time they have put me in a room with &quot;an air flow system&quot; despite advertising themselves as having air conditioning. London in summer can be pretty warm and after a couple of weeks of old London buildings retaining heat it is pretty unpleasant. The bedrooms look like they were last updated in the early '80s apart from the &quot;jazzy&quot; new bedspread. Handy for the station but that is the only thing going for it.	
Jun 13 2008 	thistle euston london	Stayed here for 2 nights and then 1 night, Room down end of long corridor, tea &amp; coffee making facilities in room, plenty of everything. Bathroom clean and all necessary toiletries.Dinner was a little on the slow side coming, but no problem.It seems as though all employees are non English, but you get by.Very handy for Euston station and about a 10 minute walk to St Pancras International station.Would have no hesitation in staying there again.	
May 28 2008 	WHAT A DUMP	terrible room, more like a prison cell with dated unsafe furniture. Window wouldn't open, no tea/coffee or milk left. Bed can only be likened to a mortuary slab. Towels smelt damp. Pubic hair in bath. No staff about to report it to, and the member of staff I did find spoke very little english. Queued for over 30 minutes for breakfast, which was tepid at best and had to wait even longer for toast and coffee. Definitely one to avoid.	
May 24 2008 	Tired Hotel and poor service	Stayed here for 2 nights on business and wasn't impressed. Reception staff were not at all welcoming and check in took much longer than expected with receptionist tapping away on the keyboard and sighing an awful lot. Throughout the whole check in process she made no attempt to gain eye contact or smile...great start.Whilst waiting noticed a Cosmos desk tucked away in the corner which seemed odd in a business hotel.Room was small, reasonably clean but very tired and dated c1980's and in need of total refurbishment. Dodgy temperature control on the shower. TV reception poor and aircon noisy. No space to work on the desk as space was taken up by TV and hospitality tray.Went down to breakfast at 6.35am to walk into a room full of elderly holiday makers from the US and Australia ! (Cosmos desk now made sense !). Breakfast served in basement restaurant, dimly lit with no natural light.Staff were very abrupt and made no attempt to be welcoming and friendly. I was told that someone would take my order for tea or coffee.....I waited until I had almost finished breakfast, had to leave my table to find a member of staff and ask for tea and toast. Standard of breakfast buffet poor, especially if you didn't want English cooked breakfast, obviously aimed at the budget minded holiday makers.This is not a hotel for business people looking for good service and somewhere comfortable to stay.	
May 19 2008 	Never Again!	Ive stayed at this hotel on may occasions for business in the last 5 years or so but never again.My previous stay was in January and i wasnt impressed then, for various reasons. I decided to give it one last chance in April, mainly becuase of the close proximity to Euston which makes it very handy.this time i arrived about 8pm and was checked in my a poker faced woman. I am sorry to say that i am heartily SICK of being confronted by miserable foreign reception staff - usually eastern european - at London hotels. I was dealt with quickly but without any kind of welcome or smile, got to the room and was appalled. Hideous. Tiny, 70's bathroom, brown stained net curtains, rickety furniture and dingy. I know enough about this place to know that they have better rooms than this and just as i am deciding to go back to reception and ask for a change the fire alarm goes off so I have to evacuate.All guests were ushered out onto the street and instructed to walk down to the IBIS hotel and congregate there. Knowing full well that this was most likely to be a false alarm i wasnt prepared to walk down the street and stood a safe distance across theo road instead.I and other guests were then shouted at and harangued by various hotel staff insisting that we walk to the IBIS until i told them to stop trying to herd us like farm animals and that i wasnt obliged to move anywhere as long as i had evacuated the hotel. As expected, a minute later the instruction to re-occupy the hotel was barked out, so i took the opportunity to get first in the queue at recpetion for a room change.Same receptionist. i told her i wasnt happy with the room and that i knew there were better ones at the hotel. She tapped away and whilst looking for an alternative asked me what the problem with the original room was. As i began to reel off the list, I swear she raised her hand to my face and interrupted me with &quot;ok, ok, ok!&quot;. I was staggered and suggested to her that she had just asked me what was wrong and was now telling me to stop telling her! she ignored this and gave me a new key with the comment &quot;this is an executive......&quot; the unpoken message being so dont come back again becuase there's no chance of anything better&quot;the new room was bigger but still dingy and old. The whole place needs a total refurb. the furniture is like something out of a junk shop. No loo paper in the bathroom and no reply when i rang housekeeping, reception OR the concierge. I had to trek down to reception and report it in person. Terrible.The fact that there was a COSMOS holiday company desk stuck in a corner of reception covered in hand made posters for the sale of sightseeing trips, and the massive tv screen in the bar showing football says it all really. This used to be a nice hotel but is obviously now being used as a low cost package holiday hang out. It's a complete dump.Take a tip from me, you can stay at a premier inn or an IBIS for less than they were charging me at business rate for this substandard dirty and old room. I'll never go back.	
May 18 2008 	Great desk 	My wife and I stayed a total of 25 nights in this hotel.19 nights from april 11th. Ground floor/ basement room, low grade furnishing and heating, no table. The desk/ dressing table was not properly attached to the wall.After toilet was flushed it took 10/12 Mins to refill.We chose this hotel because it was cheaper than our last stay at thistle Marble Arch, we thought this was probably because of the extra distance.6 nights from May 8th. MUCH better room on 3rd floor, it made our first room look like a slum, it was more like what we have experienced at other thistle Hotels.Housekeeping overall was Very poor, as items were used they were not replaced i.e. shampoo, toilet paper, coffee and sugar.A serious problem was being unable to pay accounts using our &quot;DEBIT&quot; card, this caused several problems during our stays.Will we stay at thistle again? NO! NO! NO!Brasserie 43 food and service OUTSTANDING	
May 7 2008 	Absolutely Fine	This is not a bad place to stay, it is very well located and very easy to get to. The reception provided an efficient service and were very swift. The hotel is clean and very suitable for a brief stay in London. The room was a bit small, but again very comfortable and had TV/radio. The bathroom was clean and had no faults. Best of all, the price was actually very good.	
May 4 2008 	Better than expected	I think this is a very good standard hotel for the price in london. I booked a single room, and it was larger than expected and nicely appointed. The hotel staff were lovely - friendly and helpful - that includes reception and restaurant. The restaurant has been refurbished and I had an excellent meal there.The only downside was the huge queue for breakfast - breakfast itself was the standard hot buffet - fine. Will choose this hotel again on my next business trip.	
