	FAB-U-LOUS	Excellent value hotel in great location. Called myself and negotiated great rate for bed and breakfast. Good size room (studio) with large bathroom. Clean and comfortable. Very good food especially the room service curry!! All the staff we came into contact with were helpful, efficient and friendly. It only took 15 minutes to walk to the Eye along the river passed the Houses of Parliament so great location. Was very pleased with this hotel and would stay again.	
Nov 19 2008 	Great styling but a little noisy	We stayed one night in a standard room at The Park Plaza as we were attending a function at the hotel on Saturday night. We parked in the hotel car park which is small and under the railway bridge a short walk from the hotel and we were slightly concerned about security but it seemed to be well fenced and fairly secure.Having read the reviews I made a point of asking the reception desk if we could have a room away from the trains - the receptionist went to enquire with a colleague and said she would see what she could do. We ended up being towards the rear of the hotel on the 7th floor so were still quite close to the trains - so not hugely impressed with the reception desk, although I was impressed with the soundproofing and after consideration we decided not to ask to change rooms. The room itself was large and well furnished and spotless. The bathroom was nicely appointed and again very clean. We had no view from our room other than of another building and the train line. The bed was very comfy and lovely and warm. My husband said he could hear the lift going up and down in the night (even though we were well away from it) and we could hear the trains but it didn't stop me getting a good nights sleep and I am quite a light sleeper.I would stay at the hotel again if we were attending another function there but otherwise I would try and find somewhere a bit more central in a quieter location.	
Nov 18 2008 	very relaxing	Stayed here for 2 nights, very much enjoyed our stay, the room was modern and very clean. There was an iron burn on the carpet and the room was quite small. Breakfast was very nice and well cooked. Drinks were expensive but thats London for you! Staff were very good and obviously well trained. Happy weekend!	
Nov 10 2008 	Good Location Big Rooms Brilliant Food!	The hotel isn't in the best location for the tube, but there are plenty of buses about. The rooms are big, with strange orange lighting (which you can turn off), clean and comfy. The staff are all friendly. The noise of the trains in the back rooms is muffled but audible so if you're a light sleeper take ear plugs. The restaurant is one of the best in Europe, if you can afford it, but if not the Club Lounge food is fantastic although the service is a bit slow.	
Oct 19 2008 	Fanfastic stay	My wife and I have just come back from a weekend stay at the hotel. When we arrived we were greeted by very friendly staff and were immediately informed that we had been upgraded to their 5 star accommodation at no extra cost. The room was'nt quite ready for us so to compensate for the inconvenience, (which was minimal), we were given free drinks in the bar. The suite we were given was beyond our expectations, it was more like a fully equipped apartment, immaculately clean &amp; modern. Its worth mentioning the nice little touches that added to being made to feel important, such as after coming back at the end of the day to find the bed made down, music playing in your room &amp; chocolates on the pillow to welcome you.To summarise, a great hotel &amp; staff, a great location &amp; great value, a real find. Desperately trying to find an excuse to stay again.Mr &amp; Mrs Crayford,	
Oct 15 2008 	A poor cooked breakfast at the end of a sleepless night	Nice public areas and a friendly concierge and a smart looking room were all a good start. The room was at the back of the hotel.There was an annoying low level extractor hum coming from somewhere which was mildly annoying when I went to bed at two, however the trains traveling past were unbearable. They were very audible and from six it was constant roar for rush hour. The net result was I had next to no sleep. Breakfast was uninspiring but the cooked breakfast was inedible. The only bad cooked breakfast I can ever remember anywhere.In my opinion this hotel fails in the most basic requirement of a hotel, i.e. you can't get a nights sleep in the place. If you can't get a room on the front away and from the lifts avoid this place, otherwise it should be fine I imagine	
Oct 4 2008 	Nothing special at all!	The hotel was extremely average. Our room felt like it hadn't been cleaned properly, there was an iron burn on the carpet and there were no little extras to the room at all - just the usual tea making facilities (not even any biscuits). The room was tired and in need of some TLC, when using the toilet roll, the holder fell off the wall.The positives were that the room was large in terms of London standards, the staff were pleasant and it was a lovely walk along the Thames to the Millenium Wheel on the sunny Sunday morning - of course the weather can't be guaranteed ;) We are a young couple who used the room as a base so it did for us but if you want something special, go somewhere else.	
Oct 2 2008 	Becoming a favourite.	I have stayed at the Riverbank on a number of occasions and can recommend it. A large modern hotel, the rooms are excellent - larger than most London hotel rooms and with large bathrooms. Very well equipped (including DVD player) and some rooms have great views. Breakfast is comprehensive though the cooked version can be a bit lacking in freshness if it has been on the hotplate too long. You will need a large bank loan if you want anything from the mini-bar so I recommend the little shop almost next door which stays open until 11.00 and stocks most things.The only real disadvantage for many people is the location - it is a fair distance from the nearest tube and there are only a limited range of eating places in the immediate vicinity.	
Sep 26 2008 	Good location fulfills all needs	We stayed here before leaving on a cruise. We arrived early and the staff was helpful in finding us a room that was available early on a Friday afternoon. It's very centrally located, we walked to the Houses of Parlament for a late afternoon tour, then found dinner. There were a number of nearby bars, one of which we visited later in the evening and met a number of people leaving on the same cruise the next day.This was my 3rd time to London, both by location and service this is the best place I've stayed. I would certainly stay there again.	
Sep 26 2008 	Uninspiring...	I recently stayed at the Park Plaza Riverbank for two nights with my partner; we were in London celebrating our anniversary and so booked an 'Executive' room for two nights.The hotel promised much and was in a good location.However, the experience was utterly uninspiring: this hotel really is nothing special. What's more, there were a series of niggles and minor irritations which somewhat spoiled the occasion.The most blatant error was that our sheets were not cleaned after the first night. We returned from the city to find that the room itself had been cleaned, and fresh towels provided, but that no-one had seen fit to change the bedding.I've stayed in pokey hotels and apartments for less than £50 per night where the sheets were changed daily with metronomic precision; so why not, when I paid over £200 per night?Also annoying was the 'Executive' package itself - and the associated promotions.We were supposed to have been able to access the Executive lounge, with drinks and canapes included, which would have been nice, as the view from our room was of the walls of an apartment block (presumably) and a dirty side street...But we couldn't get in.Nobody picked up the phone when I called to query this; then, when we asked at reception, they informed us that drinks were to be served instead in the bar.The bar staff knew nothing of this and we left quite disappointed.Breakfast was also quite dismal - and similarly confusing. (It is served in three different places and we were shuffled between them all.) And, although we sat down towards the end of the allotted slot for breakfast, the staff seemed to actively want to get rid of us.The overall package - comfort, quality, service, etc. - was average (at best) and what I would expect for about a third of the price. For an outlay of £420 (for two nights), I expected a lot more.Definitely not recommended!	
Sep 23 2008 	Well worth a try	I booked the hotel through lastminute.com (one of their mystery hotels) for £300 (Thu &amp; Fri) in an executive room. Given that the rate includes a full breakfast and free drinks &amp; snacks between 6.00 &amp; 8.00 pm it was a bit of a bargain. We had a (very) partial river view room on the 10th floor which was very quiet. They wouldn't upgrade me to a river view room, even when I offerred to pay the difference in price (very odd).The hotel is quite new so all furnishings are immaculate. The design of the bedroom, the quality of the bed and en-suite are all first class. The aircon is effective but noisy on any setting.The executive lounge was closed and so drinks/snacks were served in the basement club lounge - the other half of which was full of coach-party guests - not very conducive for a quiet drink.Breakfast for non-executive room guests in the Club room looked pretty horrendous; breakfast in Chino restaurant was much better, but the tables would be much too close together for dinner.Check in / check out was efficient. Be careful when you ask the concierge to call a taxi though; make sure you get a real black cab. The porters appear to have an arrangment with a firm of unmetred minicabs that lie in wait outside the entrance. They take your bags to one of these guys, who, when you get to your destination, proceed to demand double the normal taxi fare. Beware.Mangement should put a stop to this scam.	
Sep 19 2008 	Room for improvement	Hotel is in prime location , adjacent to the Thames . Rooms at the front have excellent views of Houses of Parliament , rooms at the rear are next to a railway line and have terrible views of industrial areas . Many of the young staff are foreign and their command of english is not always good . Bar was understaffed and they were rushing about , which does not create a relaxed atmosphere . The continental breakfast was far better than the full english , which included tinned mushrooms , watery scrambled eggs and bacon rashers that appeared to be boiled . Overall disappointing for a hotel of this class .	
Sep 15 2008 	Not what I expected	After staying one night nearby in a Premier Inn for £68 we thought we would splash out and stay in a luxury hotel for a night. Ok, so we booked through a London discount hotel website, but when we turned up, the desk said they did not have my reservation entered on their system. Luckily I had a printout of my reservation so they grudgingly gave us a room while they checked it out. The receptionist refused to believe that we were entitled to breakfast and said we were room only.Eventually, after about half an hour, they found our booking and agreed that we were indeed having breakfast.The room was beautiful, although it was at the back of the hotel overlooking the main railway line (approx 25 yards away) into Waterloo. In spite of the triple glazing the sound of trains could be heard all through the night. Breakfast was good.So - lovely hotel but ask for a room at the front overlooking the river. It will set you back a lot more but at least you'll get some sleep.	
Sep 15 2008 	Good for business traveller	I frequently visit London and I think this hotel is one of the best hotels for business travellers. I have stayed here twice and I like the location and modern facilities.RemziTurkey	
Sep 4 2008	Just not as good as it could be	I stayed here for a night on business, and everything about the hotel isn't quite as good as it might be; the receptionists were too busy to attend to guests when I checked in; the room - which was great - had a sheen of dirt on every surface, cigarette ash on the floor (in a non-smoking room), drink stains on the furniture; housekeeping came barging in without knocking 3 times in as many hours; the room key had been disabled when I returned in the evening; the 4 bar staff were too locked in conversation to actually serve the guests... All little niggles but a surefire sign that someone needs to fire a rocket up the management before standards slip really badly.	
Sep 3 2008 	Great stay... no buts	Stayed here for two night... was upgraded to riverview without request... simply stunning. Staff was helpfull and professional at all times. One of the most stylish, and cutting edge hotels in London... Chino latino restaurant highly recomended, one of the best dining experiences in a long time (bring cash).This has been my fourth stay, (on one occasion Amy Winehouse was also a guest at that time, altough not much was seen of her) and each time this hotel has surpassed my standards, truly worth the premium...	
Aug 26 2008 	Very Clean and Modern Hotel at Good Location	I just got back from a 1 week stay at this hotel and I was pleasently surprised by this modern, clean, quiet and friendly staffed hotel. I highly would recommend staying at this hotel and it's worth the extra few $$. The location was very convenient to everything...tube, busses, Eye, Big Ben and there was a small convenient store next door to the hotel which was not over priced and was great for picking up snacks and bottled water. Cash station is right next door to the hotel as well. Telephone booth in front of the hotel. A pub and few other restaurants were located about a block down as well. Recommend the Portugese restaurant, good food. Just don't be surprised but there is a male Gay bar as you go towards Vauxhal Station but it didn't seem to be happening until after 10pm. Did not know it even existed until walking back to the hotel from the tube one night. The rooms are a bit small but the bathroom was great....very big and very clean. It had a separate tub and shower and plenty of counter space. We got the breakfast package as well and the buffet every morning was properly served...no matter what time we went down to eat they always had plenty of food and the service was top notch. The wait staff was alert and polite and quickly responded to personally seat us and serve us coffee/tea. The whole hotel is extremely modern and updated and clean. I have to say this hotel did nothing wrong. The entire staff from the front desk to the restaurants all made our stay comfortable and I would definately stay there again and recommend it to any of my friends that are visiting London. This hotel I give an A+ in all areas.	
Aug 16 2008 	AN EXCELLENT EXPERIENCE	The location of thiis hotel is ideal for a visit to the london eye and other top attractions. Located alongside the Thames near the Lambeth pier/ bridge it took us a gentle ten minute walk to the London Eye and this was with a 4 year old and 2 year old in tow. . The checking in was very quick and simple and the staff were all very friendly .The concierge desk was very busy but they are very efficient and know their stuff so don't be affraid to get as much information as you can .Our stay was part of the executive package and our room was very spacious, clean and modern.The executive lounge was closed but executive packages were still catered for in the lower lounge area . This was a very nice experience with complimentary drinks and canapes. It was very relaxing and the staff were very accommodating and efficient. Breakfast was served in the Latino restaraunt and and A la Carte menu was on offer. Once again all staff were very efficient and friendly. The breakfast was very nice with a good choice for adults and children. Overall we were very pleased with our choice of hotel, it covered everything we wanted from a good location to hotel amenities and we highly recommend this hotel. Thanks to all the staff for ensuring our visit was so enjoyable. .	
Jul 30 2008 	Fantastic Hotel	Stayed in this hotel for two nights and it was super. On the other side of the river from most of the attractions but was easily accessible by the tube. The room was spotless and very modern with great attention payed to detail. Lovely toiletries, fruit plate, slippers etc provided and we were just stying in thier basic room! View from the hotel over the river at night is really quite beautiful. Some of the rooms at the back of the hotel are perhaps a little close to a railway line, so when booking I would suggest that you ask for a room at the side or front. Great service in the bar downstairs, although a little pricey - around £17 for two spirits and mixers. Overall I would recommend this hotel to all and will make a point of returning myself.	
Jul 30 2008 	Pillows to die for	I stayed one night in this hotel in early July with other colleagues. The bedrooms were lovely and it is a real pleasure having a separate shower and bath rather than the usual over bath shower common in many London hotels. The pillows were the most comfortable I have had in any hotel and would have really liked to bring one home! Breakfast was good and freshly cooked. My room overlooked the rear of the hotel so it wasn't good but for one night it was fine. I didn't have dinner in the hotel but my colleagues did and said the food was very good.My only gripe was the long wait we had to check in to the hotel. It got to the stage where staff brought drinks for those in the queue so not an ideal start if you are on holiday or in a hurry to get to your room.I would stay here again but perhaps try and get a room with a river view.	
Jul 28 2008 	Great hotel for business and sightseeing alike	I stayed here for several weeks on business and had a thoroughly pleasant experience. The staff was helpful, food was good, and price reasonable (all things considered for London). Location was good in its own way (close enough to walk across the bridges to see the sights, but not right downtown with the hordes of tourists). I met two very nice HR staff from the hotel who were extremely hospitable and friendly. That experience made me respect the high caliber of staff the hotel attracts which is apparent from the courtesy and professional with which they carry themselves. Overall, five stars. Couldn't ask for much more in a hotel	
Jul 24 2008 	great hotel - central located - but still in a quite area - excellent for long s	We stayed as a family in this hotel for 12 days partly business partly private. The hotel is great, luxery rooms. very pleasant staff working the hotel. rooms are clean. we really enjoyed staying in London fro such a long period	
Jul 22 2008 	Good spacious hotel request river view upon booking	I booked a mystery room via last minute.com so got a superior room at quite a bargain rate. I requested a river view on booking (about 2 months in advance) and although they seemed to have forgotten, they changed us to a river view room on the 8th floor (I'm pretty sure it was not an upgrade) when we asked again at check in. It had spectacular views of the Westminster, especially at night (room 841). the room was spacious, with a large lounge room with a flat screen TV. The mini bar is locked unless you leave a credit card imprint with them (there is a very sensitive sensor in the fridge which deducts from the credit card every time you move an item from its spot). There is near no room for personal items to be left in the fridge. Having said that, there is an ice machine on each floor which was very handy. there is also a flat screen TV in the bedroom as well. The bathroom was also fantastic, with a large selection of toiletries, a separate bath and shower. There was a complimentary bath robe and pair of slippers. The only strange thing about the hotel was that when we requested an additional bath robe (they gave us one for a double room), this was denied flatly for no explained reason. On the second day, housekeeping also gave us two cactuses which was a little strange.The concierge and check-in staff were very nice (especially a man called Tom). The food at Chino Latino is also very good, and comes at a reasonable price with a 25% discount given in the room. All in all, the room and service was fantastic. The location is within walking distance to the London Eye. It is about 10-15 minutes walking distance from Vauxhall and Lamberth North, which is not the most convenient with luggage (there is a bus which you can take for one stop from Vauxhall station to the hotel).	
Jun 18 2008 	Excellent Location and Service	I am constantly amazed at the things about which people complain. The negative comments in some other reviews of this hotel are generally churlish at best. I found it to be clean, well maintained, and friendly. The service was excellent and cheerfully rendered. Our room was clean, spacious and comfortable. The concierge, Thom, was a great help with some problems associated with a tour company and with dining recommendations. The location was as good as I could possibly have wished. It is only a leisurely walk to any destination in the Westminster area and not much further for others. The Vauxhall Underground station is nearby and serves as a good departure point for many city locations. The restaurant was quite good, if a bit pricey. However, there were many fine and quaint places to eat within easy walking distance or, at most, a short cab ride.It is true that the railway route to and from Waterloo station goes right behind the hotel. However, I made sure to get a room away from that location and had no noise problem. Moreover, there is a convenient ATM right next to the hotel entry and a mini-mart adjacent on the other side. Not to mention the phone booth just outside the cab area (important if you want to make overseas calls with a calling card and not pay the hotel fees). Very convenient. All in all, an enjoyable stay and highly recommended.	
Jun 3 2008 	Very disappointing; room not cleaned properly; strong smell of cigs	Booked into this hotel by my company; map wrong so I alighted at wrong Tube and arrived shattered and near collapse (medical reasons). In spite of my obvious distress, was not asked to sit down while checking in, sit down check-in desk only feet away. Was upgraded though to river front room; told that my &quot;normal&quot; company room would have been at the back overlooking the very busy rail lines and I wouldn't have got any sleep! Room was a very long walk from the lift (furthest room away, and remember my state!). VERY strong smell of cigarette smoking (non smoking room and corridor) and carpet hadn't been vacuum cleaned properly; after complaining, room was freshened by spray. Otherwise very pleasant room.Hotel very distant from London eating places so visited the expensive Asian type &quot;fushion&quot; restaurant (with 25% discount card from room). Meal was very good and service excellent and friendly (not owned by hotel). Breakfast was included in my rate and was good with very good staff.Called and spoke to duty manager about the room issues, check-in and a number of other things; listened politely; did nothing. On return home, quite by chance, found out that hotel had debited my card twice; no apology though it was put right.Probably a good hotel but &quot;careless&quot; management?	
Jun 1 2008 	Fantastic view and service to match	I travel to London on a regular basis and its hard to find a good hotel in London without paying 300 GBP plus. Riverbank Park Plaza is a great find. Rooms are contemporary fresh, SPACIOUS bathrooms, plasma screen and wifi in rooms. A room for the business traveller. The hotel bar was again very modern and stylish with a great vive. Chino Lationa the main restaurant was a great place, fun, great food, stylish...I loved it!	
May 23 2008 	Nothing Special	The Park Plaza is located on the Albert Embankment a fair trek from the tube. The double room for single occupancy was an adequate size, the comfortable bed with 'pillow menu' is recommended - such a shame insulation between rooms is not to such a high standard. Or the fact that the hotel backs onto the train lines (there are at least seven of them) into Waterloo and fronts a busy dual carriageway. Well proportioned bath room - towels were fine if a bit on the small side. Plenty of essential toiletries provided. My worst gripe is breakfast, £2.50 for two slices of toast with jam is an absolute disgrace but no one cares. £3.00 for burnt coffee was also a rip off.	
May 16 2008 	Very pleasant stay	We stayed at the Riverbank Plaza for a long weekend and had a very pleasant stay. We booked it as a &quot;mystery hotel&quot; through lastminute.com and had a very nice surprise! The location is convenient, the London Eye was only 10 minutes' walk away and there was a grocery store right next to the hotel for buying fruit etc.Staff was very helpful and professional and made our stay enjoyable. When I found I was allergic to the feather cushions and requested synthetic pillows from the front desk they arrived straight away. Concierge was helpful too and advised us as to which tubelines were closed during our stay. There are trainlines right behind the hotel and unless you have an executive suite your room will face the trainlines and not the river. However, I'm a light sleeper and still didn't find it much of a problem. Room service was good too and not too expensive. Rooms were clean and nicely decorated in Japanese style. Bathroom had a tub and a shower cubicle, complimentary toiletries and was spotless. Hairdryer and ironing board also provided.I can recommend this hotel to anybody who needs a stylish and confortable hotel close to Westminster.	
May 16 2008 	River location but not always a river view!	With a hotel located only a few yards from the Thames, you might well think you would be enjoying a wonderful view of the river and nearby Houses of Parliament; not the case I’m afraid, with the most views being of a wall of windows or a busy railway track. Fortunately for me, having read Trip Advisor members’ reviews, I was prepared for my view of the ‘wall of windows’; however, as it was only for one night and my boss was paying, it was not a real issue for me. That aside, the hotel does have a wonderful ambience, feeling spacious and clean. My standard double room was well decorated with all the usual facilities you would expect from a 4 star establishment. The lighting was especially imaginative with strong orange lighting over the heavily netted window. The separate shower and bath was a nice touch of luxury and the large bed was extremely comfortable. There were some disappointments: there was virtually no hot water at 7.30 am which made my morning shower a chilly affair! The plates at breakfast were cold and so my scrambled egg ended up at the same temperature as my shower. The TV remote control did not work. Also, as is usual, the Minibar was exorbitantly priced with a can of coke priced at £2.50 and a Mars bar at £1.50! I probably would not stay at this hotel again unless I could be guaranteed a river view (or someone else was paying).	
May 15 2008 	Really Ropey - what a shame	Booked this on lastminute as an executive room but then found out on check in that had to pay an extra 35 quid - rip off and stress ful. Had issues with room service not arriving, check in being 30 minutes delay - meaning we ate in the restaurant only to find in our room there was a ticket for a 25% discount! Rang reception to sort out a problem with the minibar - my husband moved some things around but you get charged if you touch stuff, but on check out found out they'd done nothing - and another time we rang for something and again were lied to.Then we arranged a late check out only to have a cleaner barge in and tap her watch angrily at us. To add insult to injury the receptionist then said she would make sure we had some compensation and haven't received a thing!They lie. They're rude.Don't go here or go being prepared to complain loudly. I wouldn't have posted this but they didn't even get in touch with our compensation - I think that's appalling service.Go to Novotel they're much better.	
May 14 2008 	Good Value Weekend Rate	Good value hotel 5 - 10mins walk from Westminster and Waterloo. Probably a 4*, with decent sized rooms and bathrooms, all furnished well with Wifi in the rooms.We booked the &quot;Enjoy the Weekend&quot; rate which was around £120 for a superior room, continental breakfast, late checkout and free bottle of wine. Room very clean, breakfast was varied and fresh (we paid a £4 upgrade to full English). I would recommend that you include breakfast in the rate, as it is very expensive at £13.50/£17.50 for continental/ English.Only small downside is the lack of nearby tube station. The Victoria line was suspended when we visited so could not use Vauxhall, but I think even this station is 10 mins away. We had to walk along the South Bank in very warm weather with bags (but to be fair, it is a lovely walk past the London Eye and Houses of Parliament and we could have got a taxi). Otherwise, absolutely no complaints.	
May 8 2008 	Nice hotel great staff fantastic restaurant	This hotel was booked for me as a surprise birthday present and turned out to be a very pleasant surprise indeed.We had a superior room which was very nice with a very comfortable bed (although i wasnt a fan of the very squishy pillows - but that may just be me!). The bathroom was lovely and spotlessly clean, as was the rest of the room. We didnt have much of a view though - only of the train tracks, although the train noise was very minimal.The only complaint regarding the room was that the air conditioning didnt seem to be working, and even when we turned it down to the lowest setting it still blasted out warm-ish air. After calling reception about this they sent an engineer up within 5 minutes which was impressive (at 1am as well), but after taking a look he mumbled something about the main powerplant and said he would go and sort it out - which he obviously never did because the problem was still there. This was temporarily solved by the engineer opening a window for us - which i am sure is against many H&amp;S guidelines as we were on the 7th floor, and also meant that train noise increased. This wasnt really a major problem for us though as we were barely in the room - out seeing shows etc, in the hotel restaurant/bar etc. But if we had been spending most of the time in there it would have made much more of an impact because the room was too warm most of the time.The best part of the hotel is the restaurant, which is also open to outside guests. It is fairly expensive - around £20ish for a dish, but well worth a visit with the headchef there having previously been the head chef at Nobu. We received a 25% off voucher for a meal in our room which was a nice touch, and that combined with excellent food and fantastic service - the staff were attentive without being overbearing - made for a very enjoyable meal.This hotel is definately worth its 4 star rating and has a great location, and if we hadnt experienced the air con problems i would have def rated it a 5.	
May 4 2008 	Noisy	Booked hotel as part of a lastmin.com package deal with theatre tickets.I booked this as a surprise few days in London for my partner’s birthday.Room was nice and the room service staffs were very friendly.The reception staffs were not very friendly they just seemed like they didn’t want to help you. The noise pollution was unreal both of us could not sleep properly for 2 nights! For the price of £249.00 it should have been stated before booking!!!!!The position of the hotel was good but as you only stay here to sleep not impressed.	
May 3 2008 	Not the best hotel in London......	We booked and paid for our stay online, and we wanted a room with the view facing the River Thames, so this seemed like the perfect hotel. When we arrived, we gave our confirmation to the reception guy, who informed us that the room we booked was not available!He told us he would upgrade us to a better room, free of charge, which we thought was good.When we got to our room, we looked out of the window to find we were only about 10 feet from the mainline railway tracks....Even with the TV blaring, we could still hear the trains going past every 5-15 minutes, which was very noisy. also, whenever anybody used the hot water, we had a high pitched noise going right through the room! Needless to say, we had an almost sleepless night with the trains going past, and not very relaxing as we would of hoped for.We would not go back to stay there again !! If anybody is booking this hotel online, I would urge them to be very wary, as they may not get the room they pay for.	
May 1 2008 	River view suite	I initially made my booking for this hotel through last minute.com. The price for 2 rooms seemed very reasonable and although the hotel was at a secret location the reviews looked good. Upon being given the details of the hotel I checked there regular prices and was suitably pleased, however this booking seemed to fall outside there guaranteed lowest price online guarantee.Prior to our arrival at the hotel we upgraded our room from an exec double to a suite with a river view. We were charged £100 by the hotel for this upgrade. I have to say I was very impressed with the room and view. The suite comprised of a large lounge area with desk, sofa, flat screen TV (although a little small for the room size) and plenty of other bits an peices. The view through the floor to ceiling window really was a treat. There was then a seperate bedroom with another TV and plenty of storage space. The bathroom had everything you would expect for a hotel bathroom. Our friend also stayed in the hotel and it is worth noting that he got an upgrade from the standard (Superior) double to an exec double. It should be noted however that these are exactly the same rooms but some extras are the reason for the £35 upgrade charge. For this you received bathrobes and some bits and bobs for the room. You also got breakfast included and access to the executive lounge.The hotel itself was very pleasant and the breakfast really good. I took the advice I had previously seen on here and eat downstairs. The access and additional feature of access to the executive lounge was a bit of a let down. The room is fairly small, doesn't have any view of the city that you would want. The complimentary drinks offer was only between 6pm and 8pm and the snacks were few and far between. All drinks however were served by the dedicated waiter although I suspect this may be to stop those wishing to get there monies worth of drinks.We did use the hotel valet parking and although not advertised there is a £26 a night fee for this. In summary I have to say it really was a great stay and I would recommend it to others. If you can manage the extra fee for the river views it really is a treat.	
Apr 18 2008 	Great Concierge services.	Great Concierge service....Thanks Thom.	
Apr 13 2008 	Be careful where they stick you!	Having just returned from a virtually sleepless Saturday night I feel sufficiently moved to write a review. Don't get me wrong, it's a very nice hotel, impressive reception, smiling staff (although I'd like to see how they justify a £17.50 breakfast, but I digress) - just watch out which room they give you!We thought that our luck was in when we were upgraded to a suite (room 303) - how wrong could you be...As you will note on the maps, there are six lanes of railway tracks directly behind the hotel, and the woeful sound insulation in our suite made us feel like we were attempting to bed down in the middle of St Pancreas station. The trains clatter on until about 11pm, and start again relentlessly at 5.45am - even earplugs didn't drown out the clatter. Seriously, I am not overstating how loud the trains were.My partner and I had paid for this hotel through Lastminute as part of a theatre deal and if I had paid full price for a suite I would be demanding my money back.You have been warned!	
Apr 8 2008	A Nice Hotel	Located on the bank of the Thames River, it has a terrific view of Big Ben and Parliament on the other side. The rooms are small by american standards but ALL rooms are small in the UK. The hotel does feature 3 restaurants- one in the bar and another 2 off the lobby. The location is a bit far from the crowds and touristy places but cabs and buses will quickly get you wherever you want to go. It is clean and quiet with very helpful staff.	
Apr 7 2008	Woke up with flea bites!	This was our second stay at the Park Plaza. We were very impressed the first time around with the huge suite we were given and beautiful bathroom. It was a fantastic deal too at only £100 through lastminute.com.However, this time, we were left sorely disappointed. We decided to pay slightly more and upgrade to an executive room (which included a full English breakfast) but what a mistake that turned out to be. The room was half the size, had four or five ciggarette burns in the carpet, a broken toilet seat and a very unattractive view of the railway track.We tried to make the best of it and did have an ok(ish) time until the following morning.....however, when we both woke up we were covered in flea bites! We are not really the type to complain but both felt that the amount of money we had paid, together with the poor condition of the room and the flea bites did warrant enough of a reason to highlight this to the reception staff. The person we spoke to initially didn't say too much but advised the Guest Relations Manager would come and speak to us. Half an hour later, she turned up and said she had sent a colleague to check the room - almost implying we had made it up. My boyfriend then showed his bites and I did too and there wasn't really much they could say. As we had pre-paid through lastminute.com, we were not allowed a refund on the hotel bill but they did waive our parking charge and discount our room service bill by 50%. I was fairly disappointed with this as I felt our complaint hadn't really been taken that seriously. We were also offered a free upgrade the next time we stay, however, I think that the likelihood of us going back is pretty low!All in all, a good hotel, if you get the right room with a decent view but I think the majority of rooms need a big upgrade along with the hotels staff.	
Mar 27 2008 	An excellent time was had in an excellent hotel	I was lucky enough to stay at the Park Plaza hotel over the bank holiday Monday during the Easter period. I stayed there with my girlfriend for our first anniversary. We were lucky to stay in this hotel as we paid for it through lastminute.com through the mystery hotel section. We paid for 1 night's accomodation in a suite for £75 and it was worth every penny. Unfortunately we didn't have good views out of our window as we faced the railway track rather than being on the opposite side of the hotel which faces the houses of parliament and the river Thames. On occasion we did hear the trains passing by however this didn't cause too much of a disturbance to us. We used the hotel as a base to explore London. The hotel is a 10 minute walk to the houses of Parliament and approximately the same to the London Eye. The underground system is in easy walk ing distance from the hotel and is a very convenient way of exploring what London has to offer. The hotel was amazing value for money at £75 for the night. I would stretch to £90 for the night at this hotel, anymore and I think it would be hard to justify. The breakfasts and food items on the menu seem over priced and not worth shelling out for when you consider that there are hundreds of eating establishments in central London. For the business user I could see this as a perfect hotel to stay in. For personal use it is very good and of a high standard although a little pricey if you have to pay the full asking price.	
Mar 27 2008 	Eggcellent	Stayed for 4 nights over the Easter weekend. Got a great rate of £79 room only plus taxes with the hotel. Checking in and out was seamless, didn't have much interaction with the staff other than that. Very close to Vauxhall Station which makes everything within easy reach; once you have your oyster card, you can spend all day on the underground. As mentioned the Victoria Line closes around 10pm but any night were out late we got a taxi for less than £10 from Leicester Square/Piccadilly. The walk along the river embankment is very nice and well worthwhile if you don't mind stretching your legs.Hotel room was modern, comfortable &amp; spacious and with a slight river view which is probably as much as you get without upgrading. Large bathroom with separate shower and bath. Room included mini bar, safe, iron &amp; ironing board, hair-dryer etc. Both were spotless on arrival and everyday on our return no matter how much of a mess we'd made!I wouldn't classify this as a touristy hotel, but then it's great to escape from the crowds in the evening after battling them all day. However given the friendliness of the staff I'm sure they would be able to help with any requests.	
Mar 26 2008 	Ok base for city break	This is a modern hotel situated about 5 minutes from Vauxhall tube station, I got a good deal through lastminute.com, not sure if I would pay the goign rate for thsi hotel.Check in was appaling, very slow and un-organised, everything seemed to take ages. The rooms are actually quite nice, but make sure you dont get a room at the back of the hotel. These rooms face on to the main line to Waterloo and it gets very noisy until quite late at night. Our room had an LCD TV , the internet access is via a seperate handset which is a complete waste of time, pages dont fit on the screen correclty and the keypad is so slow, dont waste your money on this, use and internet cafe in town.Dining, the menu was ok if you like Pan Asian food, its not that cheap but inline with hotel prices in London, we didnt use the restaurant as chose to eat out. The Portuguese restaurant near the garage is amazing and well worth a visit. You can catch a No.3 bus into the city or walk to the tube.Overall its an average hotel a little isolated from the city, but it doesnt take long to get there, ideally situated for the London eye	
Mar 25 2008 	Great Hotel	Booked with Lastminute.com for the Easter Holidays. Had a great weekend. Stayed in Executive room, great extras.Couldn't fault the hotel. Good location with bus number 77 stopping right outside which takes you as far as Waterloo. Friendly and helpful staff. Would stay here again.	
