	Why go anywhere else?	A recent two night weekend break started with great excitement when we entered our room 510, stunning room, clean, well equipped with lovely balcony views, (even if there was a lot of scaffolding to see - I guess that's to be expected thou - and it certainly didn't dissolve any of our pleasure) we could see the Post Office Tower and in the opposite direction the London Eye. The hotel staff were polite and friendly throughout our stay, although one waitress was a bit short with us at the bar but then seemed to come round more friendly when she realised we were actually guests at the hotel! and service at breakfast could be improved as I'm sure table service at this level shouldn't include leaning over us to place or collect items! But the concierge came up trumps on our first morning with a letter for my wife containing two surprise tickets for the theatre (yes - I set it up and yes - she was thrilled!!!!) We really enjoyed our evenings in the lounge and library where we indulged in many wonderful cocktails although I would have liked the bar even more had it stayed open later than 12.30 (despite an honesty bar). The hotel is in a great location and just a few minutes walk to Chinatown or Piccadilly and even at night felt perfectly safe. Expensive? yes. Worth it? as a special treat certainly, in fact currently considering re-booking for another show next February. In answer to my title question - I know there must be other hotels of this quality but why take the risk!! One last tip - use the City of Westminster car park at Newport Place in Chinatown, it may smell a bit but it's secure and good value if you book online plus it's 5-6 minutes walk to the hotel.	
Mar 11 2009 	Wonderful hotel with slight service glitch	We stayed for one night to celebrate a birthday. Hotel is impressive - fabulous decor and buzzy atmosphere. The bar manages to be both informal and comfortable whilst also being very much the place to be seen and full of real characters! We had booked a suite. Tried to check in at ten to 2 (check in is officially 2pm) to be told that as it was a birthday celebration they had upgraded us to a 2 bedroom penthouse apartment. We were delighted. However, this room was still being cleaned and not available for at least half an hour. As we had an appointment we agreed to drop off our bags and come back later. When we did so we were shown to our room.......lovely, but most definetly not a 2 bedroom penthouse. Feeling a bit confused we called to reception and after some time, and lots of to-ing and fro-ing, we were told that the room we had been promised was no longer available (some story about a guest checking out of it then needing to come back - which we felt was unlikely as we had been told twice that the hotel was full that night). We were made to feel cheap that we were asking, which we felt was unfair. It was a disappointment and could have been handled differently - if only someone had raised this with us as soon as we'd returned and apologised for the mix up we would have accepted it and been fine. Anyway - that aside, the room was large and beautiful. The bed was massive and one of the most comfortable we've ever slept in. Food was very good - both room service snacks and breakfast. Most of the staff we encountered were polite and very helpful and welcoming. After a very late night we were given a late check out the following morning which was appreciated. All in all we enjoyed our experience and would come back.	
Mar 9 2009	Almost perfect	I stayed at Soho Hotel from Feb 28th to March 2nd with my mother, to attend Rigoletto's performance at Covent Garden opera and to have a pleasant extended weekend in London. I was looking for an elegant, clean and calm hotel in the city center, and the Soho hotel met all these requirements:LOCATION: Ideally located in the centre of Soho neighbourhood, the gay/alternative district, with lots of bars, pubs and restaurants, and incredible nightlife. However, the hotel is in a very quiet street, away from the hustle and bustle, with no cars nor pedestrians at all. Picadilly, Covent Garden, Regent street and even Mayfair are in a walkable distance.ROOMS: Individually decorated, with high quality furnishings, cared details, a well stocked minibar and a big flat screen Loewe TV with DVD. Rooms are very bright, with huge windows (average views) and extremely quiet at all times of day and night.The only reason for my 4 star rating, instead of a 5 star, is that I still doubt if the room I was given was a real Deluxe Suite -according to the rate I payed- or just a nice Deluxe room (especially after seeing the pictures of my room, posted by a previous reviewer, Sunflower 4477 NYC, in which it is stated &quot;Deluxe room&quot; photos.BATHROOM: Excellent, spacious, very well enlighted and incredibly clean. Separate tub and bath. Plenty of mirrors. Great water pressure.SERVICE: Real 5 stars service. Courteous, helpful, friendly, efficient and multilingual. The cleaning service was perfect, too, coming to the room 2 or 3 times a day, but only when we weren't there. Cleaninless is someting to be mentioned, other very expensive hotels should learn from Soho.BREAKFAST: Included in our weekend rate, breakfast was complete, abundant and excellent quality. Home made juices and smoothies, many types of fruit, yougurts, cereals, toasts and bakery, and other à la carte things (eggs, omelettes, bacon, tomatoes and mushrooms...)OTHER SERVICES: Very nice gym, with modern equipment and personal trainer. Honesty bar and a small cinema. There is an expensive relaxation service (massages) that I didn't use. I missed a swimming pool.Overall, a very good experience. A highly advisable hotel in the heart of London, very comfortable, modern and clean, at quite high prices.	
Mar 8 2009 	"It's absolutely lovely!"	Fantastic service - really warm and friendly yet very slick.Beautiful rooms that make you feel right at home (or make wish your own bedroom was exactly like it!!)Great lounge and bar areas- very cool yet relaxed and 'easy'.Soho hotel is a gem and we will be staying there again.	
Mar 1 2009 	Something missing but would stay again to try and find it!	My husband and I stayed here for one night to celebrate my 30th Birthday. He booked us a Deluxe Double room at about £350 inc. breakfast.We arrived early and left our bags with the hotel whilst we went to Borough Market. The hotel is located down a tiny side street and upon entering the lobby we were impressed with the plush yet homely ambiance they had managed to create. When returning late afternoon they honoured our request for a higher floor and we were allocated room 411. The room was bright and airy, overlooking the road below via (almost) floor to ceiling windows. The bathroom was the obligatory marble clad type, with a deep tub, separate shower and twin sinks. The room had great flow and a calm and serene feel to it. I was a little concerned initially about the interconnecting door, but thankfully we heard nothing from next door, assuming it was occupied.The welcome gift delivered to the room was a nice touch, (I'm a sucker for that kind of gesture) and the speed at which they delivered the toothbrush and toothpaste which my husband had forgotten was impressive. ALL of the front desk staff managed to give you a warm fuzzy feeling with their kind words/passing comments as you made your way in and out of the hotel...they really did make you feel welcome and appreciated.There are a few things to mention for feedback purposes as opposed to complaints because they did not adversely affect our stay. These include the &quot;one size&quot; bathrobes - they are too small. I am 5'4&quot; and a size 10, yet couldn't snuggle up in them as I'd like, and my 6' tall non-fat husband didn't have a chance in hell. He did call down asking for a 'his' bathrobe, thinking they had delivered 2 'her' gowns, but was told that is the only size. I would assume anyone with a little extra padding would need to have flashing on their list of occasional hobbies when wearing these robes. The room was spotless - impressively spotless - other than a grubby and scuffed valance sheet on the bed. This was a shame really as the attention to detail was otherwise superb, so why this was missed I'm not sure. Lastly, breakfast was a bit of a letdown. We decided to have it in our room and they forgot my husbands bacon and sausages (the best bit!). He called down and was told they would send them up immediately. 20 mins passed and feeling sorry for my husband pushing eggs and a lonely hash brown around his plate in anticipation of the meat fest, I politely chased it up, but was told, a little abruptly, that they were on their way. 5 mins later they arrived. They did remove the breakfast delivery charge from the bill, but a hotel of this supposed calibre should have either delivered the missing items as a priority, or if that wasn't possible, then the whole breakfast should have been refreshed.So with the slight negatives out the way, I can tell you that the bar and restaurant are buzzy, relaxed and fun and I wish we had spent more time there. On a Saturday night it was pleasantly busy and if you find a comfy spot could spend a long evening there....perhaps longer than you intended if you've indulged in their comprehensive cocktail list.It is difficult to be harsh when reviewing this hotel because 95% of the experience is very good indeed, but I wasn't as bowled over as I thought I might be and I'm not sure why. We have a weekend in London 4 or 5 times a year, and normally spend about £200 a night for a hotel. Perhaps because The Soho Hotel was that little bit more in cost, I was expecting that little more of an experience, but I'm still on the fence. I will say, costs aside, that were we staying longer, it may have given us more time to fall in love with the hotel as other people seemed to have, but as ours was just a short affair, perhaps we didn't have time to discover the true delights it has to offer.Until next time.	
Feb 24 2009 	Still favourite of the Firmdale Hotels	This was our third return to the Soho, this time on a Saturday to attend wedding in the evening. Last trip to London we stayed at the Covent Garden Hotel to try it out, but still prefer the Soho overall. Arrived to check-in around 2pm and after a quick drink and snack in the bar the room was ready with our bags taken up. Do have to agree about the service charge mentioned below. It’s reasonable I suppose if you order drinks to be delivered to you in one of the lounges, but we paid service to order drinks right beside the bar, which I thought was a bit daft. We had complimentary upgrade from Luxury Double to Deluxe which was very nice, and the rooms are huge in comparison to Covent Garden. Room 211 was wonderfully comfortable, think I preferred it over the larger suites we've had in the past. And still the great beds, pillows, facilities &amp; bathroom. The staff are all wonderfully cheerful and welcoming. Only minor niggle again to do with the Refuel bar. We returned late Saturday night and the bar was still full so decided to have a drink in there. The barman told us he was no longer serving and we would have to get our drinks from the honesty bar and could then return to drink them in the hotel bar. When we returned with our drinks he was busy mixing cocktails for other customers sitting up at the bar. Wasn't greatly impressed with that. Still, it didn't put a damper on things. We had a really good nights sleep - too much in fact because we didn't wake till after 10am! Still managed to get a really good full English breakfast via room service (included in room rate) and reception was happy to let us check-out a little later than the usual 11am because we were running so behind. Still the best choice if you want to be in the thick of things.	
Feb 23 2009 	Beautiful Hotel but some have some reservations	This is a beautiful hotel but I would have some reservations about some of the practices adopted by management. It is expensive to stay there but the practice of adding service charges to food and drinks bills is suspect. Service charges to room delivered food and drinks are acceptable but service charges added to food and drinks in the restaurant and bar is extortionate. You are provided with lovely cosmetic bathroom products from Miller Harris. However we stayed for two nights and the products were not replenished on day two. This meant we were provided with a 2 fluid ounce bottle of shampoo for two night between two adults. Thats a half ounce of shampoo per person per day! This is mean in my book when charged the sterling equivalent of over 300 euro per night! When we came to pay our bill we found items charged for but not ordered or consumed. They were promptly removed but no apology was forthcoming for their addition to the bill. The charges in this day and age for using the internet are unfortunate.Little things like these do not make for a memorable stay or a desire to return.	
Feb 21 2009 	Best choice ever	My friend and I, 2 middleaged mums, went to London for some serious shopping. I chose the hotel because it was rated #1 in Tripadvisor and i couldnot find any bad evieuws about it really. We made the best choice we could. Its perfectly located for shopping yet not on a busy road. We both had our own single rooms but unlike other hotels we did not get tucked away in the smalles room of the hotel at gthe end of a dark hallway..no, we got very nice rooms. I could write a book about all the nice things in it, but thats been done before i noticed, so i will just settle for Excellent Rooms!Roomservice is fast and good, beautifull bathroom and nice beds. We didnot have a nice vieuw from the windows but i dont think many rooms have that anyways in big citys. And we didnot come for the vieuws anyways.What for us makes the difference in this hotel is the atmosphere. Its laid back. Its 5 star service and luxury but not with the stiffness and posh it usually comes with. It was friendly, amical almost and we like that. The concierge said..OH MY GOD...when we came back from shopping with at least 25 bags....the doorman gave us complimentary umbrellas wehen we left for a second shopping spreee, because it had started to rain a bit, the waitress in the restaurant in the evening (who we didnot see before) gave us the same table as we had at breakfast, because we told teh breakfast waitress we liked the little cosy corner. Now THATS what i call service. Service with a smile. Everybody actully seemed to like working there.So, I found MY hotel in London and will not every try another again. Its The Soho for me all the way.I can only suggest you do the same! You will not regret it.	
Feb 19 2009 	Amazing Hidden Treasure of a Hotel	This hotel is perfect. The service was impeccable and the staff was beyond helpful. Arrangements that needed to be made were done in the most timely fashion. The conceirge was very helpful with directions. The room was wonderful and large. The design of the hotel was beautiful and there was not a single flaw.	
Feb 16 2009	You can't go wrong with this choice	Was looking for a romantic weekend with the boyfriend for valentines, and as always, looked to tripadvisor for a reccomendation. at the time it was the number one recommended hotel, and i can definatly see why. upon arrival, you can't help appreciate the attention to design details: quirky without being campy. We were very pleased to have been upgraded from the luxury suite that we had ordered to a Soho Suite. Honest to goodness one of the best hotel rooms in the world that we have stayed in. Modern and homey, with a bathroom to die for: 2 large basins, a huge freestanding tub (with tv if you are so inclined), as well as a waterfall shower. heaven. There is no way that one could fault the staff, they are friendly, courteous, and willing to do all they can to make your stay enjoyable. We cannot wait to go back!	
Feb 15 2009 	Fabulous	Very nice stay. Friendly welcome and very comfortable rooms.Wonderful stay for this first time at this hotel.	
Feb 11 2009 	loved the honesty bar	what a wonderful place.. the entrance is stunning! Our suite was fabulous. We were dining out so didn't sample the restaurant and when we got home (very very late) the normal bar was closed - we were directly to &quot;the honesty bar&quot; where you help yourself and write down what you have had. What a wonderful idea - reminded me of country pub lock ins where the landlord would slope of to bed and leave you to it. so much better than waiting around for a half asleep night porter to serve another drink like most 24 hour bars...	
Feb 5 2009	Snowbound yet snug in the Soho Hotel	First thing that hits you about this place is its friendliness. From the Australian receptionist to the room service, all the hotel staff have a warmth of character which immediately makes you feel relaxed and at home. Though the Soho is not large in terms of scale, it is a hotel with a big heart. And there seems to be a sense of teamwork permeating the place which is dedicated to high calibre customer service.I was allocated a great room on the fourth floor of the hotel. The rooms are large with latticed windows which run the whole length of the bedroom. There's a brightness about the place (both in terms of decor and natural light) which makes you feel good. It was snowing outside when I arrived and the room was alluringly warm. Given the cold weather conditions outside, I decided to take it easy for a while and watch the live Liverpool-Chelsea match on their high tech flat screen television. There's also a stereo sound system/radio in the room ; but it sounds a bit more tinny than the more authentic sound delivered by the television.The hotel has Soho as its natural hinterland. It is just off Dean Street and quite close to Gerrard Street. The night I arrived, there was a restaurant roasting three or four suckling pigs in an outside atrium (in honour of the Chinese New Year) and the smell was divine. Not surprisingly, I called in later on to sample this most succulent of pork. But, having read Timothy Mo's Sour Sweet novel (about an unfortunate London victim of the Triad gangs) many years ago, my imagination was in overdrive as I walked through Chinatown, wondering whether there was a more dangerous underbelly to this most sociable of places. But if it exists, I did not discover it.It was really a relief to be cocooned in this wonderful hotel as the weather conditions deteriorated outside. Though my view over the rooftops occasionally stretched way beyond Oxford Street, the burgeoning snowfall would reduce my visibility from the window to almost nothing in the space of seconds. The room was so comfortable that it made me reluctant to leave it in the morning. And the hotel has a great selection of breakfast dishes to suit all tastes. More importantly, however, the total cost of breakfast (of £20) was not unreasonable in the London scheme of things. If I had to describe it, I would place the food in the &quot;very good&quot; as opposed to &quot;great&quot; category. But incredible skill is required to produce hotel breakfasts which reach the guest's room in optimum condition.All in all, I had a highly relaxing stay at the Soho Hotel. My positive evaluation is also influenced by the fact that the room was available at a rate of Euro 250 a night. Not inexpensive. But worth it for the degree of comfort and service provided by the Soho Hotel.	
Feb 3 2009 	Superb Soho	Stayed here with my husband for two nights on 9th and 10th January to celebrate a special birthday for me.Fabulous room on the 4th floor with huge windows looking over the rooftops of London. Location is perfect and considering the hotel is so central was surprisingly quiet at night ,ensuring a good nights sleep.All the staff were friendly and helpful.Check in was dealt with quickly and efficiently and, as it was my birthday we were offered complimentary champagne at the bar.On our first night we ate in the restaurant. The food was ok - nothing special. We ate breakfast in our room, which was fine. I particularly liked the extensive choice for breakfast.Overall a lovely place to stay and I would definitely stay again.	
Jan 27 2009 	Excellent	I booked into this hotel for three days to meet with business colleagues from abroad. In the past I’ve used the Covent Garden Hotel for such a purpose; but having read the rave reviews on TripAdvisor, this time I thought I’d take the chance and switch to the Soho Hotel.The Covent Garden is certainly a tough act to follow but I was not disappointed. Enough superlatives have already been written about the Soho to benefit from further expansion here. All I can do is confirm that it is indeed rare to find a hotel as good as this and point out what for me are some of its best features. In no particular order, these are:-The location. Right in the heart of things and within easy walking distance of some of the best restaurants, theatres, cinemas and other entertainment spots in London! Surely no one could be bored while staying here.The rooms. These are spacious, kitted out with all mod cons (high quality flat-screen TV, DVD player, power shower, etc.) and furnished with traditional and modern items. The style is apparently known as ‘Contemporary London’. In any event, the elegant blend of the best of the traditional and modern is a winning combination and provides a relaxing home-from-home environment. The rooms are serviced twice daily and the bed linen and towels are changed every day, which is exactly how it should be in a deluxe hotel. The common parts are also kept in immaculate order.The staff. The people who work here are always keen to help and are clearly dedicated to maintaining the highest standards. They ensure the whole place runs like clockwork even when it is vibrant and busyI would agree with a previous reviewer that the hotel restaurant is a long way from being the best in London. However, the bistro-style food that it serves is very good value, particularly if you go for the set menu option. The restaurant is certainly vibrant, being separated from the hotel bar by just a glass screen. Are there any downsides? Well, one slight quibble during my stay concerned the refurbished of a nearby room. This resulted in some noise and the corridor being blocked on a couple of occasions by some ill-mannered and shifty looking workmen. This was an annoyance most certainly, but I guess nowhere is perfect. The Soho Hotel, however, comes very close. I’m already looking forward to my next visit.	
Jan 20 2009	Great location wonderful service	I just returned from a four night stay at the Soho hotel and couldn't have been more pleased with the hotel. First, the location is great - very close to the British Museum with tons of shops and restaurants within walking distance. One nice thing about this is that if you're there on a Sunday the area isn't totally dead like most of the rest of the city. Second, the hotel is just beautiful - it's modern without being overly hip and just very comfortable and cozy. There's a nice mix of traditional English florals with modern design - definitely not the sort of granny-nice that some high priced hotels seem to favor. Also, the rooms are enormous - we had a deluxe room and the bedroom portion was about 20 feet by 16 feet and an 8 by 10 bath. The best thing about this hotel is the service though. We arranged our trip somewhat last minute and so we didn't have all our details worked out before we left. The concierge made dinner reservations for us every night we were there at at nice places (Hakasan, Tom's Kitchen) and got us theater tickets as well. The service is what made this place stand out and made us feel at home so when we come back to London we will definitely stay here again.	
Jan 5 2009 	Why I love this site	The fact that the Soho ranks as London's best is one of the many reasons why I love Tripadvisor. I've stayed at the lion's share of upmarket London properties on business; time and again when I am asked what my favorite hotel in London would be, I immediately exclaim: The Soho! There's nothing that comes close to approximating the combination of nice design, warm service and buzzy atmosphere. I have even tried other Firmdale Hotels addresses thinking I might come close. The Covent Garden and Haymarket almost do the trick, but in the end, it's not just about the hotel - the cul-de-sac location is equally fab, almost like a cocoon, but at the heart of the West End, deep inside Soho, my favorite place to stay in Central London for about a million reasons. The restaurant isn't particularly noteworthy - not worth the price if you're an American in London with limited $$ to spend - but drinks and apps at the bar would be a fine idea at least one evening. Also make sure to take advantage of the guest lounges, both of them marvelous.	
Dec 23 2008 	Just wonderful!! Expensive but worth it truly.	My husband and I enjoyed a wonderful long weekend in the Soho Hotel (Dec. 2008). The hotel is the most perfect example of how a boutique hotel should be - small, exclusive, pampering, personal care and lots more - specifically the hotel is beautifully designed, excellent central yet quiet location - everything one could want for a quiet, romantic weekend. Well worth the splurge!	
Dec 21 2008 	Soho hotel just perfect	We booked two Luxury Double Rooms at the Soho hotel because of the great reviews the hotel has received here at Tripadvisor, and the they delivered! We were really sad when we were leaving for the airport...We had our two rooms on the 4th floor, 412 and 416. 416 is the better one of those two, its a little bit bigger and has a better view.The hotel is very chic as you can be seen on the pictures, but I found it to be even better in the reality. There is a cozy feeling about this hotel that makes you feel very relaxed. Both in the rooms and in the public areas.The staff is of course a big part in why we enjoyed our stay. The level of service was just perfect, you were always offered help when you seemed to need it but didnt get &quot;harassed&quot;.There was also a great mix of guests, mostly middle aged in beautiful clothes. It didnt have alot of the usual clientele that 5-star hotels usually has: that is fat businessmen that hang at the bar all night telling bad jokes. And I guess the oil-millionaires stays at the Ritz.To conclude, the pros:- Great designconcept with a luxurious feeling about it- The staff- The location- Breakfast (delicious but not cheap)- Spacious rooms with very comfortable bathrooms- The atmospherethe cons:- Price- The inhouse restaurant wasnt bad in any way, it just didnt wow us.All in all, we were were happy staying at the Soho hotel and will be back again (soon I hope).	
Dec 7 2008 	Soho hotel is great	My wife and i stayed at the soho hotel for a long weekend 3 nights. It was excellent - good servcie, lovely room, excellent location and great cocktail bar atmosphere full of theatre folk.Highly recommended!	
Dec 5 2008 	Best customer service I've ever had	This is not a cheap hotel, but if you have the dosh to give yourself a little treat, you will certainly feel treated. From beginning to end the staff were attentive, but not obtrusive, and the room was glorious. If I have a criticism it would be that the restaurant/bar in the hotel is overpriced for what it is, but you're right in the heart of Soho so there's no need to restrict yourself to eating there if you don't want. London's at your feet.	
Dec 4 2008 	BETTER than the reviews!	My husband and I stayed here on a two night shopping trip to London. We have travelled broadly and enjoy the indulgence of five star hotels whenever we can.The Soho Hotel was even better than the reviews; beautiful, funky, great/friendly staff, superb food, air-conditioning that worked properly, a spacious room etc etc.Special things to note included the breakfast. Never have we had such a wonderful &quot;continental&quot; breakfast. On the dozens of buffet breakfasts that we've had round the world, we've normally found that the fruit isn't necessarily ripe or not replenished but at the Soho there was perfectly ripe mango and strawberries amongst everything else. Home made granola, amazing pastries....Yes, it is expensive and a treat. Pity that breakfast and internet are not included in the price but it was still absolutely worth it. Will be back as soon as we can (hmm, wonder if we can move in...?!)	
Nov 28 2008 	simply the best	This was our 2nd visit to The Soho Hotel and the experience was, just as good as the first. I have stayed in many 5 star hotels but this is by far my favorite.On checking in, before we were taken to our room, we were given a quick tour of the hotel to get our bearings. A nice touch i felt.The rooms are fantastic with a nice modern feel and the bathroom was even better.Throughout our stay the staff were always extremely helpful and polite.We will defiantly be going back and i can't say any better things about it than that.	
Nov 15 2008 	A Fantastic Stay	I stayed for one night with friends as part of a civil partnership celebration. It was an amazing location with hospitality that was second to none. The room (a deluxe double) was huge by London standards with excellent facilities. The bar is buzzing and the cocktails are pricey but excellent.What sets the hotel apart though are the excellent staff. They are polite and cannot do enough for you, but also very friendly and laidback. This gives the hotel a very different more intimate atmosphere to others I've experienced and I would not hesitate to recommend it to others.	
Nov 14 2008	loved	beautiful hotel	
Nov 3 2008 	Fantastic Hotel	My husband and I stayed at the Soho hotel in London for 8 nights at the end of October 2008. We both loved this hotel. We stayed in a delux double which had a king size bed, sofa w/ottoman, side chair, desk and a huge bathroom with double sinks, bathroom was all in marble with toilet &amp; bidet, huge tub &amp; separate shower. The bed was very comfy &amp; we're very picky about our beds, they aren't usually good away from home. Cleaning staff were great, turn down service at night which left a bottle of water for each of us, each night.The front staff, conceirge, bellhops, etc were all excellent. They were so friendly and helpful and went above and beyond expectations. They helped with maps, directions, reservations, taxis, etc. We ate at refuel 3 times for breakfast (included for the weekend rate). The waiters were very friendly &amp; food good. We ate one night for dinner and the food was very good.If you want food outside near the hotel - I recommend the Breakfast Club for breakfast &amp; Pre-fix for dinner (the mussels &amp; scallop starters were amazing), since we found the food in London not up to par with home these two &amp; the hotels restaurant Refuel are really the only ones I recommend.I highly recommend this hotel and if we are every in London again we will definetly stay here again.	
Oct 23 2008 	fabulous hotel	Myself, sister and mother had a wonderful 4 day stay at the Soho to celebrate our mum's 60th Birthday. The staff were so friendly and the attention given to us was first class.We stayed in a junior suite and absolutely loved it the room was huge and had lots of lovely touches, lights in the fitted wardrobes,well stocked mini bar, flat screen TV that swiveled round to face the bed, great bathroom products (miller harris) we also liked the turn down service in the evening with complimentary bottled water, pillow spray to help you doze off and even complimentary aromatherapy oils !We ate in the Refuel restaurant twice, as the food was superb and would like to give a special mention to Kassia who really looked after us, she was a gem. we felt our stay at the Soho really made our weekend and would return in a minute, Loved it!	
Oct 20 2008 	Amazing	Really fantastic hotel - costs a lot to stay there but well worth it. We went for our 5th wedding anniversary and the staff made it so special for us. We had a half bottle of champagne waiting for us in our room with some nibbles.The cocktail bar is fab - great spot to celeb watch!!Food great and the room service isn't too pricey.Overall, better than Kempinsky and similar hotels we've stayed in.	
Oct 20 2008 	Wonderful	This was the final stop on our honeymoon and the most luxurious. I lived and worked in London for a number of years but would never have guessed the Soho Hotel was tucked away right in the centre of things. Although you are in the middle of Soho the hotel is at the end of a side street and so very convenient but also comparitively quiet (although the actual hotel was very busy with lots of guests).The staff were all very friendly and helpful. We received a complimentary upgrade to a Junior Suite which was brilliant. Don't expect any great views, after all you are in the middle of town so you'll be lucky to see anything other than brick walls out of your window. This didn't bother us though, the room was so lovely it made up for it. Great facilities all round. Very nice items on the mini bar. Our breakfast wasn't included (we still paid over £300 per night!) so the first morning we ate out. The second morning though we treated ourselves to breakfast in our room which arrived hot, fresh and on time and was delicious.For a special treat (unless you can afford 5 star all the time) then I would really recommend this hotel, but at the end of the day all you do is sleep there and there are much cheaper, decent hotels in London if all you're lookng for is a place to rest your head at night. Having said that this felt like a very special end to our honeymoon and if I could afford it again then we'd stay there every time we're in London.	
Oct 15 2008 	Style in Soho	Absolutely wonderful hotel in a fantastic position. Superb, friendly service without a trace of stuffiness or pretension in a very stylish and luxurious setting. Great cocktail bar - very lively on Saturday night. Bedroom exceptionally quiet and beautifully appointed. We loved it!	
Oct 7 2008 	loved the upgrade	We stayed here for our honeymoon on 7-9 Sept 2008. My husband had visited the hotel previously to ensure its perfection and received excellent hospitality from the staff. When we arrived, Mel on front desk had upgraded us to an apartment - what a surprise and so very generous. The apartment was amazing and so spacious. We love Soho and really, we wouldn't have left the hotel if we hadn't so much to see and do. The bar is a great place to hang out and it is very tastefully decorated. I can't thank Mel enough for looking after us so well. I truly had a wonderful honeymoon - once in a lifetime stay. Thank you.	
Sep 26 2008 	so-chic in soho	Quietly exuding charm and luxury this hotel doesn't scream look at me from its small back street entrance, but as you catch sight of the huge statue of a cat as you walk down the steps to reception something tells you this is no wallflower of a hotel.From the the reception team, to the spacious boutique feeling rooms; the honesty bar in the communal living room to the quality foods at breakfast; everything this hotel does it oozes style and panache and if you fail to be impressed I implore anyone to not raise an 'all appreciating' eyebrow at the beautifully boxed complimentary chocolates left in your room or even the clever way in which the bathroom mirror never steams up. This is a hotel that has thought about the little touches that make staying away from home an absolute delight. I challenge anyone to stay here and still pine for home - i've been looking for an excuse to go back ever since i checked out!	
Sep 21 2008 	Super Hotel	My Husband and I have just returned from a 3 night stay in the Soho Hotel. From the minute we entered the Hotel the Staff were more than courtious and informative. As per previous reviews it is a very modern hotel, with lovely amenities. We stayed in a delux Junior Suite which was superb. Great big comfortable bed with lovely egyptian cotten bed linen. Great selection of TV chanels for viewing. The food was excellent and the waiting staff were so friendly and pleasant, always smiling. Overall the staff were noticably pleasant throughout our stay. I did have a massage and the only down side if I wanted to be picky was that I could hear the tread mill operating outside the door during my treatment, which left it a little hard to totally relax. Once outside the hotel there was a magificant buzz in the Soho area every night. The hotel is close to a lot of the Theatres most of which are in walking distance. Would definitately recommend the Soho ot anyone considering staying there. However, it is not cheap, but you do get what you pay for.	
Sep 10 2008 	Loved the Soho	We booked six nights with the Soho Hotel and cannot complain about any part of our stay.The staff are friendly and willing to help not matter what the request was.We stayed in a junior suite which was spacious and beautifully decorated. Room was cleaned daily and all amenities replaced on a daily basis.Breakfast (which was included in our package) was great - more than we could eat. Very good location - close to underground and a large variety of pubs/restaurants.	
Sep 9 2008 	Very expensive but very goof	I stayed for a couple of nights on business and overall the experience was good. I had initially booked to stay for one night only but had to stay a second night. When I asked to extend the booking I was told the hotel was full but a room became available later on in the day, however I was told I had to change rooms. The second room I had was about half the size of the first. I went to reception and told them that I assumed that I was not being charged the same for the second night as for the first. They said I had been upgraded on the first night which I was not told on check in so am not sure that that was really the case. The bar was constantly busy and it was a great place for a little star spotting!Breakfast was excellent, again expensive.The resident's lounge is really lovely, beautifully furnished and decorated.There is a charge to use the WiFi which at the rates being charged by the hotel is pretty outrageous considering it doesn't cost them anything to provide it once it is in the building.	
Sep 5 2008 	lots of positives and a few niggles	I have just spent 3 nights at the Soho hotel with my 2 teenage sons. If I could I would rate the experience as 41/2 stars. Mostly it was lovely but there were a few flaws. Firstly the positives- We stayed in a deluxe suite which was large, very tasteful, pristine and with a super bathroom. The lighting was a bit subdued for my taste.The staff were all very pleasant, helpful and unpretentious. The service was excellent without being cloying. The hotel managed to be very luxurious and stylish without being overly formal. My issues were mainly to do with expense which I suppose is irrelevant to the super wealthy but an issue for people like myself who can afford the Soho as a once a year treat rather than a regular stay. When we arrived we were asked whether we would like a cup of tea sent to the room. Naively I thought this was complementary but in fact a pot of tea for 2 was £7.50! We were also offered tea in the morning but by this stage I knew to refuse. Breakfast was also confusing. The only way to have a cooked breakfast and to help ourselves to the buffet ( very important to my sons) was to order the £24-50 &quot;refuel&quot; breakfast which included fruit juice etc. However we were offered smoothies and I was amazed to be charged an extra £13.50 for these meaning are day 1 breakfast bill was £87-50! I must add that the food was lovely but still too expensive by most standards. Another niggle was internet access which my younger son was keen to have. This was £20 for 24 hours or 30 pence per minute - it should have been free in my opinion. So there we are - 41/2 stars.	
Aug 28 2008	Pleasing patchwork of English Modern style	Friendly and informal; and unpretentious, despite a fashionable crowd at the bar. Very quiet and large room. Decor is English Modern; spotlessly clean. Egyptian cotton beds invite an early night and late rise. A cheerful restaurant; good wine list and knowledgeable sommelier. Dinner's Dover Sole was large; it was a bit heavy going at the end, but the breakfast is varied and full of good fresh things. The staff were great; Australians, South Africans, Eastern Europeans and even a Pom somewhere.	
Aug 16 2008 	Excellent service	Stayed for just over a week in August and was very satisfied.From check-in to check-out staff was highly attentive, briskly efficient and relaxingly courteous. (No annoying servility or pretension)Concierges were outstanding in setting up trips and transport, as well as recommending and booking restaurants.The huge Junior Suite (superb washroom) and all public rooms were spotlessly clean.Location is ideal for walking to Covent Garden, the British Museum, Piccadilly and Bond Street shopping or to the Royal Parks and Buckingham Palace.Difficult to find a negative here but the immediate area, considered vibrant and trendy by most, could be seen as somewhat louche by others.Overall it's hard to imagine a better place to stay in London.	
