	5 star staff	After travelling for 13 hours from a trip abroad i decided to stay in London for the night. I looked online for a hotel near Angel station and this one was the nicest one i could see in my price range. I arrived at the hotel at 10:15 am with the intention of just dropping off my case as i was well before check in time. After mentioning to the staff that i have just been on an 13 hour flight they found me a room and let me check in so i could get some rest and freshen up. I felt they went that bit extra which made my day. The room was lovely, very spacious and clean. It had everything i need and was very comfortable at a very reasonable price.	
Mar 8 2009 	Excellent Hotel Great Location Modern and Clean!! Recommended!	We stayed at this hotel from 5th-7th March. Our visit to London was to visit the theatre and see some sights :-)We chose Jurys Inn Islington mostly due to its location. Its about a 5 minute walk from Angel tube station which is just one tube stop from Kings Cross St Pancras which was perfect. The local area was good, sainsburys near by which is good for snacks! Lots of other good shops like boots, starbucks, Macdonalds. A little shopping area is nearby. As well as a &quot;The Angel&quot; Weatherspoons pub which is good for cheap good quality food especially breakfast as the hotels is much more expensive!!All the staff at the hotel were very friendly and helpful! Check-in was quick. Our rooms werent ready when we arrived at 1pm but we were able to leave our luggage and come back later which was good. The rooms were modern with a double and single bed. Very clean with usual facilities like phone, tv, hairdryer (very basic I would take your own!!!). Beds very comfy :) Shower is greatttt!! Overall a very good hotel and I would defo recommend it! :-) We will be going back next time we visit London!	
Feb 10 2009 	Standard Jurys Fare	This is a standard Jurys Hotel. If you've stayed at a Jury's before this is similar the the rest of them.Large rooms, clean bathroom, decent air conditioning.Breakfast is help yourself buffet style, and the food always looks fresh.The bar shows sports and will show what you request if they have right the channel, prices are about what you'd expect to pay in London.Some of the rooms can be a bit noisy during the day, but it goes quiet at night.It's ideal for both business and leisure.The reason I booked it is it's location in Islington. It's not far from the tube station which is only a few stops from the City. It's also handy for Kings Cross and Euston Stations. Islington is a good part of London to stay in with plenty of places to eat and drink with some decent bars to be found.I've stayed here before many times and will no doubt stay here again in the future.	
Feb 8 2009 	Not a 4 star....	I stayed at the Jury's Islington in Feb 2009 as it was near a gig I was going to in the evening with an old school friend. We booked a twin room, and arranged to meet up with some other friends in town. First impressions were good (nice lobby and speedy check-in). However, things went downhill from then..The room had a nasty musty smell, the twin bed turned out to be a z-bed put-you-up (complete with a grim-looking pair of socks under the frame!), and there was only one set of towels...When my friend tried to check in later, he was told that I had two sets of room keys (which I didn't), so he had to leave his bag in reception.Post gig, we found out that the z bed didn't come with any bedding, so we had to wait for housekeeping to sort this out.Definately worse value for money than a premier travel inn (which are usually clean and smell-free)	
Jan 27 2009 	Will definitely go back!	Stayed with my sisters in a triple room both January this year and January last year for three nights each time. Found the hotel to be ideally located, clean, comfortable and perfect for what we wanted. This year we even checked into our room a few hours early and there was no problem. Staff were very helpful. Bar food was gorgeous although we never used the restaurant. Will definitely go back!	
Jan 24 2009 	Good hotel for good price!!	Stayed at the Jury's Inn in Islington for one night and had no problems at all....Check in staff were helpful, friendly, efficient in their jobs and good at dealing with their customers requests.Rooms were clean, spacious, tidy and well served their purpose. Breakfast was of good quality and restaurant staff were more than helpful.Business Design Centre literally 5 minute walk away so was perfectly positioned for what we needed it for.Would definately use this hotel again!!	
Jan 16 2009 	Value for money	We have stayed in this hotel twice and found it excellent value for money, expecially for a city like London( booked through superbreak both times).The staff we encontered were pleasant and efficient , the rooms are of a good size and are spotlessly clean ,the bathroom is pretty basic but does the job.There is a good choice in both the cooked and continetal Breakfast buffett ( can be slightly haphazard though as they are slow in replenishing items which they have run out off)The location is only a couple of minutes walk to Angel Tube and about ten to Kings Cross and there are plenty of bars, restaurants ,shops and cafes in close proximity	
Dec 27 2008 	Great hotel	Lovely hotel with nice rooms. It's expensive but everything in London is. The room was lovely. It wasn't a huge room but normal standards but bigger than what you would normally get in London. The staff were excellent. I was able to get into my room hours before check in which was a benefit. It's not far from Angel tube station and it's a very quiet hotel.	
Dec 7 2008 	best service with affordable price	the room was clean and the staff very friendly. Overall I would say this is probably one of the best hotel in London with the price of Pound 70.00 pernight.	
Nov 17 2008 	weekend break	booked a week-end through superbreak. The hotel was excellent the rooms were clean and comfortable.The breakfast was more than adequate with plenty of choice both continental and full english.We found the staff to be pleasant and helpful and enjoyed our stay. The hotel is well place for public transport into central london. We would certainly stay here again.	
Nov 17 2008 	Clean hotel	I stayed in Jurys fron the 14th until the 16th November. I found the rooms to be clean and the price £99 for 2 nights was good. At check inn i didnt find the female receptionint very friendly but having spoken to 3 male receptionists i found that they were very nice and professional. I had a problem with the shower and when i reported it they sorted it out straight away. The bar was clean but the staff were not very friendly or chatty and we were waiting for over 15 minutes to order food so we went elsewhere. I would recommend it for basic accomodation and if you are planning to go shopping	
Nov 17 2008	Nice Hotel shame about the poor service	Nice clean Hotel with some very friendly staff. We asked for a quiet room and got one at the back of the Hotel, albeit overlooking big piles of bin bags and the place where staff stood around to smoke.The plug in the hand basin was one of the metal ones integrated into the plug hole and annoyingly kept getting stuck solid. The Hotel handyman freed it once but then it got stuck again about five minutes after he left. We ended up having to use the bath to wash our hands!On our last day our room wasn't cleaned. We left our room to go shopping at 10.00am and said good morning to the chamber maid as we left. On our return at 4.00pm we found that the chamber maid we had greeted as we left hadn't serviced our room! I called reception to ask that our room be serviced.Reception called back to say that the &quot;do not disturb&quot; sign was on our door and that was why our room wasn't serviced. After pointing out that this was NOT correct and insisting the room was cleaned we were offered another room! After persisting that our room be cleaned, a very apologetic housekeeper turned up with a cleaner to sort our room out. We decided to go the Hotel bar for a drink while our room was cleaned.The bar was empty apart from a family enjoying some fish and chips. There were empty glasses on the bar and on the tables too. No bar staff in sight. We waited and waited, popped our heads around the doors and despite three staff at reception enjoying some social chit chat with the handyman, no one seemed to want to come and serve us. We gave up and sat in reception waiting for our room to be cleaned.So if you want a clean basic Hotel with poor service go here, if you want a Hotel that makes you feel welcome go somewhere else!	
Nov 14 2008 	handy and pleasant hotel in London	Although next to a busy road this is a quiet place and requesting a room at the back is a good idea as its even quieter there ! Spacious accommodation in the double room with table and chairs too. Nice public area and good restuarant area for breakfast. Adequate continetal breakfast although my husband did not like the coffee. The &quot; pub &quot; food was not so good, rather bland and a long wait for a simple dish of fish and chips ! Walk over the road and get the 73 bus to Kings Cross or to Euston, they arrive every few minutes and drop you back at the hotel on the return journey. Handy for restaurants and for general travel in London. No free wi fi but very cheap internet cafe just up the road.	
Nov 14 2008 	What it says on the tin..	Stayed at the Jury's inn for a night in November, on business, as the normal hotel was fully booked.Front desk service was polite, excellent and efficient.In general it was exactly what was expected - normal standard 3* hotel room, basic ensuite with tea and coffee facilities. If you just want a base without any luxury frills, this is the place for you.The only complaint was the noise of the air-con system but i just used it to heat the room up and switched it off when i wanted to sleep.Ate in the attached pub at night, food was fine, typical pub fayre and not overpriced in the context of the capital.Handy for the tube station (Angel) which is just down the road and equal distance between Euston/King Cross and the City which left it perfectly placed for my requirements.All in all would recommend as a suitable trip for a short business/leisure trip for those not concerned about frills!	
Oct 31 2008 	Room overlooked by office workers!	Booked through Superbreak - I expected Jurys to be bog standard, ensuite, TV and kettle type of room, which is what i wanted. It was clean and tidy with all usual things supplied.The breakfast was a buffet style, with both continental and cooked to choose from, although had some odd arrangement with a token that was given to me for cooked breakfast which i then gave back to man who issued it to me - not sure of the point of that? Anyway food was good and plenty of it.Only real problems were that the room was cold and the air conditioning unit was complicated to work out - lots of symbols but no proper instructions on how to encourage heat rather than freezing air to blast into room. The towels were bit scratchy too and the sink had a crack - but could live with that.What really shocked me was that in morning when i opened curtains (i arrived at night - curtains already closed) was that i was directly opposite a huge glass fronted office - with people facing me looking at me! There are no net curtains in room and absolutly no privacy. Luckily i was wearing clothes!! There must be rooms at back of building but no idea what is facing them?i would return but not in the rooms at front of building.	
Oct 28 2008	Very clean and quiet hotel	Stayed here for one night and was very impressed. 2 minute walk from Angel tube station. The room we had was very quiet on the side of the hotel (overlooking an office car park) and was very clean and offered everything we needed. The beds were really comfortable, the shower was first class and the breakfast was good quality and good value for money.Overall this was a very good value hotel and I would highly recommend it.	
Oct 27 2008 	Highly Reccomended	Its a great deal in London, would go there again..	
Oct 7 2008	Great	Great hotel. Very clean. Close to Angel tube. Good Breakfast. I recommend it especially for the reasonable prices.	
Oct 5 2008 	Very Nice Hotel	You know what your going to get with a Jurys Hotel and this one is very good.The hotel was very clean, in a decent location less than 5 mins walk from Angel tube and about 10 mins walk from Kings Cross.You can get in to Central London in 10/15 mins on the tube.The rooms are good, the usual Jurys standard. The prices are usually good if you can get a deal, which is not always possible. I booked through hotelconnect.co.uk.The breakfast selection is also very good, if you book with the continental breakfast included, you can get the full hot breakfast for an additional 2.50, which is good. If you don't want to eat at the hotel, there are a lot of places locally to eat and drink.I would encourage anybody to stay here, its more than adequate for a London hotel.	
Sep 24 2008 	Excellent value if you can get a deal	We got a great deal through otel.com which was 20 pounds cheaper per night than the price on the jury's inn website. At this price it was great value for money.Large size rooms for London with a full size ensuite with bath. Continental Breakfast was included and was fine, it was very cheap to upgrade to cooked breakfast if required.Location was great, not far from Angel tube. Plenty of buses also in all directions.For the price we paid this was great value - we have paid more for much less in King's Cross. Staff were helpful and the room spotless each day.	
Sep 17 2008 	Exactly what we wanted	I travelled to London in July of this year for a girls weekend of shopping, seeing a show and doing all the touristy stuff.We got a good deal on a triple room in the Jurys and were pleased to find that it was reasonably spacious, with comfy beds and a good powerful shower - all must-haves when 3 girls are on holiday together!!The hotel is in a nice leafy area of the city and the closest tube station, Angel, is only a few minutes walk away. There is also a nice bar just next door with a roof terrace.We didn't have breakfast at the hotel as we wanted to explore the nearby cafes.The reception staff were very helpful as were the bar staff.I would recommend this hotel as it would be easy to get ripped off in London and this place strikes the balance between cost and comfort.	
Sep 15 2008 	Visiting the Capital	We stayed at this hotel for 2 nights in August. The hotel is in a good location 10 minutes walk from Kings Cross Station. The room was fresh, spacious, well equipped and clean. The hotel was nice and quiet. Breakfast was a buffet and the food was nice and there was plenty of it. We did not rate the ticket service at breakfast as this made it feel impersonal. We would have preferred traditional table service rather than a buffet but for the price we cannot complain!Overall we had a very pleasant stay at Jurys Inn and will be considering staying at one of their other hotels when we go on other city breaks.	
Aug 25 2008 	Fab Hotel Fab Staff Fab Location Stay Here !!!!	dear all, please dont be put off by some comments on here, i have just returned from a 2 night break at this hotel, and i have to say we were totally happy with our stay from beginnng to endwe arrived on saturday at approx 12 noon, check in was quick and efficient, i was greeted by Amit on the reception desk, now i had booked myself and my husband in for 2 nights and our friends for the 1 night, we did arrive early before checkin at 2pm, and we asked if we could have a room at this time 12pm, firstly we were told no rooms available, but then yes we could have a room at this time, which really pleased us as we were going to a matinee perfomance of dirty dancing so needed to freshen up, we were both on the 2nd floor, the rooms were lovely, spacious, clean, air con was a blessing, bedding clean and fresh, towels clean and the bed was so comfy !! the staff here are very pleasant and will do anything to help you, the location is brill just a few mins walk to angel tube, felt .safe in this locationthe only downside i would say is the cost of the breakfast £9.95 ea we normally wouldnt pay this, but hey ho its London ! think they should include breakfast like xpress hol inn but never mind what we had we really enjoyed all was cooked cant complain reallyall in all a great hotel great location and i wouldnt hesitate at all to return to jurys islington, infact its the only hotel i would stay again in London !!! well done Jurys ! :-) we will be back !Dawn Webb,Yorkshire	
Aug 21 2008 	Ok if you don't stay at the top floor.	I went to London to attend a conference at the Business Design Centre (BDC). I chose Jury's Inn Islington because it was the nearest affordable hotel. I could walk from there to the BDC in 5 to 10min and also to the Angel Tube Station in 5min. The other option was the priciest Hilton which is door to door to the BDC.When I got there late night and after a 4 hour trip (plane, heathrow express and tube) I was a little bit tired and I just wanted to go to my room. However the recepcionist didn't find my reservation and politely asked me to &quot; wait by the bar where I could eat something&quot; while they would solve the mistery of the missing reservation. First problem... But ok, it happens! After 10 minutes or so I was told that there had been a problem with my reservation but they managed to get me a room and I was sent to the top floor. I finished my quick meal at the bar and headed to my room.The room was ok and met my expectations with the exception of the old CRT TV... I don't know about you but I'm less and less used to see that kind of TVs in hotels. I noticed the air conditioning was making some noise but I could live whith that too. I watched some TV, prepared myself for the conference and then I went to bed. Lights off! Ok... Sweet dreams... Wrong! The air conditioning was turned on and it was noisy! Lights on! Get up! Air conditioning off! Go to bed! Lights off! Sweet dreams... Wrong again! The noise was still there but the air conditioning was off! This is a problem... I decided to try to sleep anyway and if I failed to achieve it in the next half an hour I would have to go to plan B: get up, get dressed , pack everything and ask for another room which probably they wouldn't have. Not a great plan... Zzzz...Next morning I found out there was a big air conditioning system just above my room (check the photos) which was responsible for all that noise! I left in a hurry after breakfast (nice!) and I thought I would ask them to move me to a different room as soon as I would get back from the conference. During the conference I met a guy from Islington chain and I told him about this. He apologized for the inconvenience. It's ok, I said! After the conference I went for a walk and arrived once again quite late at the hotel. I decided it was too late to switch rooms and as I was very tired I would probably fell asleep just like the day before. And so it was... Zzzz.... My last noisy night there!While doing the check out during next morning the recepcionist called the duty manager because someone had told him I had some problems during my stay. The nice guy at the conference had warned him/them. I told him my story and he said they were sorry about it and I was free to go because everything else had been taken care. They didn't give me the traditional invoice and as I didn't asked for it I thought they wouldn't charge me because of all that had happened. A few weeks later my credit card was charged and I had to request the invoice to justify the expense.My overall experience wasn't terrible so I guess I have to rate it as &quot;Okay, but some problems - if you stay at the top floor&quot;. I won't say I won't stay there again because as I said before the hotel is well situated and affordable and probably I was very unlucky with my room.	
Aug 16 2008 	BASIC HOTEL MAINLY FOR TOURISTS	Stayed here for one night and would agree for tourists is ideal for location and transport.Clean and basic with local bars &amp; eateries and bar inside.We had booked for a theatre break(hotel choice was not ours) but was disappointed with our location as cost £ 15 to get to theatre-didnt fancy tube late at night!Limited menu and breakfast was not great-continental was a choice of 2 roll choices or mini croissant with no slices of cheese or meats etc-worst I have had in a hotel-so if not part of package go elsewhere!!Would recommend an hotel nearer to town-both for UK and overseas visitors.	
Aug 13 2008 	Is the Jury Inn or Out?	I stayed here a few weeks on a business trip. The hotel was comfortable but not particularly memorable. Location is convenient for Angel tube on the Northern Line - and a short ride from connections to other lines at King's Cross or Bank.The front of the hotel is on a busy road, I suggest asking for a room at the back where traffic noise is minimal. Mine was bright, was not overlooked and had a view clean. However this will on your position in the U-shaped building.The room was clean, and was kept clean. Walls are not completely soundproof - loud music from a neighbour troubled me twice but in general the hotel is quiet.Room temperature was fine and there is air-conditioning. the bed was comfortable except the pillows were to skinny. The coat hangars were the annoying hotel-type so you can't easily hang a jacket or short in a steamy bathroom to get rid of creases. Why do hotels do that ? Are hangars really so expensive? - Otherwise dry cleaners wouldn't give them away.The biggest shortfall in the room is the lack of a fridge - for a long stay in future this would lead me to look elsewhere. There was a kettle, tea, coffee and UHT milk,The (wired) broadband internet in the room was GBP 10 for 24 hours - a reasonable rate if you are using it frequently for business. I was double-charged for one day - watch out for this on your bill. The connection was fast enough for streaming video. For the techies amongst you - no smtp email server address is provided so you might have to your outbound emailing using webmail.The TV was the old fashioned CRT type taking up a lot of desk space and had only a few channels. There was no radio in the room - no way to listen to the BBC except via computer if you have one.The bathroom was clean. The shower is the in-bath type - and consequently rather cramped and inconvenient. The contorl was very hard to turn off - when wet it required forceful use of two hands. There was no wash-cloth, and the towels were very thin.My key became disabled twice and I had to traipse back down to reception to get it restored. Laundry was return promptly the same day. However the room cleaner usually forgot to supply a new laundry bag and form, which meant I had to raid the cleaning carts or visit the front desk. The only cleaner that I discussed this with spoke no English.The buffet breakfast is Ok for variety - but had the worst, diluted orange juice I've tasted in a long time and was barely drinkable. Why they had to cut costs here I don't know. Free newspapers (Daily Telegraph) were available at breakfast. The dining room is rather soulless and I didn't try it for dinner or lunch. The Inn has no real ale and I didn't eat there either. Meals were not available after 10pm.On the bright side, there are good dining options nearby - the best being Rooburoo - just at the end of the side street adjoining Jury's Inn. (I made repeated visits there) There are also several pubs within 2 minutes of the hotel, and one immediately next door. There is a Sainsburys supermarket in the backstreets and plenety of other shopping and dining on or near Upper Street only 5 minutes walk to the east.	
Jul 29 2008 	Oh Dear	Well I put that we stayed here in July 2008. We did not stay here because they had &quot;overbooked&quot; and therefore made us stay elsewhere..We wanted to stay in London near Kings Cross so we could go to the theatre and then get up really early the next morning and walk down to St Pancreas (King's Cross) to get onto the Eurostar. This was the whole reason we picked this hotel..On arrival, after a nice walk (It was a rather hot day), all we wanted to do was check in, take a shower, grab some food and head off to the theatre to enjoy the evening, before our european break. However the lady looked horrified when we handed over our reservation.. She asked us to sit down on the seats and she would be right with us. The manager than came over and gave an excuse that the computer system was down, and that they had overbooked.We had booked weeks in advance, so were a little confused. Maybe because we got there around 4ish (Train was delayed into London by 2 hours) they simply decided they could check someone else in.. This was a real pain, as we were hot and bothered and wanted to get something to eat. They said that they would book us into another hotel 10 minutes away, and upgrade us to get a breakfast (which we wouldn't be able to eat anyway because of the check out). We managed to get to get them to give us a free taxi into the City and to the train station the next morning, however we were left with a £25 bill from the City to hotel after the theatre. This is rather a lot when it wasn't budgeted.The hotel that they moved us too was called the Day's Hotel, which was rather nice, however more than about 20 minutes from Kings Cross. So we needed to get up earlier etc. This was a real nuisance to be honest, and when we got to the Day's Hotel they said they didn't know anything about the free taxi's, so we needed to ring the Jury's Inn Hotel back up (After asking the new hotel for the telephone number), to try and get a taxi. We felt like we were stranded in a part of London that we had never been too.We would not recommend this hotel to anyone. I understand these things happen, however moving us out of the area we had planned to stay in caused as a few pains, and since it was a short stay it compacted it even more. If we were staying in London for longer, this mix up would have cost us a substantial amount more simply to travel where we would want to go.	
Jul 19 2008 	Comfortable room and just what we expected for the price	Stayed here 3 nights midweek in July with my teenaged son who was in London for some work experience. Having read these reviews carefully, I confirmed my booking the day before and requested a quiet room. Check in was swift and efficient and we were given a room at the back of the hotel, so no view, but it was quiet for a London hotel. I had contacted the hotel directly to make the booking and paid £129 a night for the room, but couldn't find a better deal elsewhere as the hotel was full.The room had two beds, which were comfortable with white linen and duvets. The room and bathroom were clean, with freshly painted walls, plain tiles in the bathroom. It had tea/coffee making and TV with limited number of chanels. Internet wi-fi was available at a cost. The airconditioning worked fine. The room was nothing fancy, but a good standard and all that we required. This is not a luxury hotel so there is no room service, but the housekeeping provided an ironing board and iron as soon as I requested.We were pushed for time and didn't feel like eating breakfast, so we bought some food from the Sainsburys supermarket which is a short walk away and ate it in the room. On two evenings we ate locally on Upper Street. First night at The Fine Burger Co, a little place more like a cafe than a restaurant, but with good, homemade burgers, fries and salad, very wholesome and tasty - recommended. Second night we chose an Italian Restaurant called Ask, which served good food in large portions, perhaps not very memorable but nothing to fault. Lots and lots of restaurants of all descriptions to try in Islington, as well as branch of M&amp;S and Sainsburys very close.I had chosen this hotel to be near Kings Cross, with good public transport links to the City and Canary Wharf. Angel Tube station is two short blocks away. I liked this hotel. It met all my requirements. It was clean, comfortable, the staff pleasant, and I felt safe in the immediate surroundings, even if Upper Street seems incredibly busy and cosmopolitan when you come from rural Scotland. There are good tube links to the City, Thames Embankment, and the West End. I was pleased with my choice.	
Jul 18 2008 	Great Value Convenient to Tube Nice Neighborhood	I and my teenage son and daughter stayed here Sat-Fri (Jun 28-Jul 4, 2008). Booked it last fall for 75 pounds/night. Daughter used one full-size bed - son and I shared the other. We were on 3rd floor in back and it was quiet. The hotel was a lot more modern than I was expecting for the price. It was clean and staff were courteous - helped my make a call at front desk to confirm airline flight. One can walk to King's Cross/St. Pancras station in about 15 minutes or walk 5 minutes to the convenient Angel Tube Station. Found numerous delis, bakeries, grocery stores two blocks north on Chapel Market street. Islington High Street/Upper Street (near the Angel Tube station and going north from there) felt safe - just folks out enjoying themselves in the neighborhood. With the value of this hotel, location to Tube, and 7-day Oyster passes for Tube, we were easily able to get around London for the week.	
Jul 16 2008 	Great stay	Recently stayed in this hotel for two nights. Reception staff were very welcoming, efficient and helpful. The bedroom room was large, comfortable, very clean and quiet. Excellent air conditioning. A very good breakfast is supplied. Close to Saddlers Wells Theatre and the Angel tube station. There is a pub attached to the hotel which is useful when arriving in late. I really enjoyed this hotel.	
Jul 13 2008 	Noisey - don't stay here if you want to sleep	The location is good but perhaps that is why we got no sleep. Young people were partying in the corridor and shouting. Nightporter was ineffective at resolving the problem.	
Jul 4 2008 	Great Locatioin	The Jury's Inn Islington is about a mile from Kings Cross Train Station (12 min walk) and about a block and a half from the Angel Tube Station. This is why we picked this hotel. We either walked to Kings Cross or used the Tube to see London. It was very convenient. Hotel Pub was very good. Hotel staff was friendly, helpful and professional. No problems, aside from figuring out how to work the shower (just don't turn it on too far). Anyway, a block from the hotel is Upper St. where all the resturants and pubs are located. The area was not threatening, and there was even a Starbucks around the corner (however we could have an interesting discussion on black or white coffee (they pour the milk)). The hotel was basic, nothing special and not a closet. It was clean, functional and it was a great starting point for the day and a good ending point. The only bad thing was that our room was on a side street, which I thought would be ok, however it was busy until 2am (so traffic noise). However, I was so tired from walking for 8-9 hours I only partially noticed it and then went back to sleep. Ear plugs might be the solution, if you are on this side. Otherwise, the hotel was great. We went from London to Scotland, back to London and then did a day trip to Paris. So location was important to us. There is also a Dominos Pizza about a block up the street (one of the best meals we had in London - you don't go for the food).	
Jun 8 2008 	Good budget Hotel	We stayed here for 2 nights, Fri and Sat, on bed and breakfast.The rooms were basic, but very clean and comfortable. We had a room on the 5th floor which had good views over the City. Due to an incident late Friday night early Sat morning in the street running alongside the Hotel, we were constantly woken up with the sound of police sirens.Saturday night was much quieter, and slept uninterrupted.Breakfast was, on the whole very good, with a buffet style help your self.The staff were very helpful and cheerful at all times. The deputy Manager in particular was most helpful when we found they had no record of our booking, so a phone call or two later had us booked in. Thanks for that.Will definitely use again when we want to come to London for another show .	
Jun 7 2008 	Good value location 	Stayed here for just 1 night with my daughter who was starting a business course the following day. It was a last minute booking as our arrangements had changed, which I made through the hotel website and paid £85 for a triple room which I felt was pretty good value for this part of London. Didn't really know what to expect but I need not have worried, the hotel is very modern/contemporary and kept beautifully clean. Having booked the triple room meant that I got to have the comfortable double bed and my daughter the single - there's got to be some perks for the payer. The rooms are quite spacious and again are modern and clean. We were on the 5th floor and had a pretty good view across this part of London.My only negative comment is that the Inn Bar (which serves very nice &amp; reasonably priced snacks) appears very dingy in comparison to the rest of the hotel - I think this is some sort of concession to the foreign tourists who perhaps expect this sort of thing (e.g the mock antique look).I must though praise the reception staff who really bent over backwards to help. Having arrived quite late in the evening I was a bit concerned about where I would be able to park my car but the young lady who dealt with us had words with someone in the office and I was allowed to park in the staff car park to the rear overnight and as my daughter was staying with another group from the following day it was arranged so that she could remain in the same room that we had both occupied - First Class service for which I thank you very much.	
Jun 2 2008 	Good value for London	My daughter and I took a trip to London in April to go to a show, shop and eat in Fifteen ... we wanted a decent hotel which was accessible and represented value for money ... as with other Jury's Inns, the Islington property does exactly what it is supposed to. No frills, friendly welcoming staff, clean well maintained room, decent breakfast ...	
Jun 1 2008 	over priced	We stayed at the hotel one night to go to the Bruce Springsteen concert, so didnt spend alot of time in the hotel. The room was large and clean, and the bar and reception areas were pleasent.However I did think that £129 for a room with no breakfast was a little high, even for London. We recently stayed at a hotel of similar rating on the Strand, which is a far better location, yet is £10 cheaper and included a brilliant breakfast. Both hotels were booked through the hotels web site's with no special offers.We had a problem with obtaining the discounted parking rate and I am awaiting a response from the hotel, but be wary if going at a weekend.	
May 30 2008 	great place	The staff at jurys islington is very accommodating. Our travel agent told us that she booked us there including our continental breakfast, but apparently that was not the case. Jury's staff was very accomodating and helped us figure out the problem. The rooms are nice and clean, spacious. They also have tea in the rooms. The hotel is a couple blocks away from the tube which worked out great for us. The staff and the accomodations are wonderful.	
May 26 2008 	Clean and modern with good service.	I stayed here on 24th May for a romantic break with my husband and we were wary about what to expect since many London hotels often have very poky rooms. However, I was very pleasantly surpirsed by everything about this hotel. It is a 10 minute walk from Angel tube and the short cut takes you through the bustling Chapel Market in Islington and is very near shops and bars. The reception area was bright and modern and the staff checked me in efficiently with no waiting around. Service was polite and friendly and I was on my way to my room in seconds. We had a fourth floor room which was surprisingly large with a double and a single bed. The en suite bathroom was clean and white and my only criticism is that there were only soap dispensers, no shampoo, so remember to take some. There is also tea and coffee making facilities and a hairdryer. There were about 9 TV channels and radio stations and beds had crisp white sheets. Breakfast was the usual hotel fare- full English breakfast buffet and cereals/pastries/ fruit etc. Very impressed for the money we paid and liked the large room with a semi picturesque-ish view over Northern London. We paid £54 each including breakfast and considered it value for money.	
May 22 2008 	nothing exceptional and overpriced	stayed overnight the hotel was fine but nothing exceptional my name was mispelled and they could not find my reservation eventually all was ok the hotel had obviously some operational problems as the food and beverage manager was doing check in at the reception and there were lots of &quot;graduates&quot; in the hotel - this is a new job description for hotels Single room was small breakfast was rich but not spectacular Pub next to the lobby looked inviting for £135 B&amp;B i found it overpriced - but this is london Broadband in rooms £5 per hour £10 per dayBUT I am really impressed by the management responses on tripadvisor complaints - clearly the Deputy GM is listening and responding - but it is evident that there are operational issues So all in all s	
May 17 2008 	Staff let the hotel down	I've stayed at the Jurys Inn several times, mainly due to the locality to particular events.I asked the hotel to book a cab for us at around 5am as we needed to get the Eurostar, and was told, no problem, all done cab will be here at 5. When we got up in the morning, we found that no cab had been booked, and when they went to do it, there was a delay, we ended up getting a black cab, not that easy at that time of the morning, rushing around and nearly missing our train. Exactly what we'd tried to avoid. We just wish they'd been honest with us when I'd asked about booking a cab the night before.Staff let the place down.Other than that, standard chain hotel, clean rooms, good location.	
May 16 2008 	Great hotel great staff great location...	Stayed here twice now, loved it both times.The location is great, just outside of the busy centre part of the city, a short walk from the Angel tube station, only a short ride from Leicester Square, Oxford Street, The London Eye, The Zoo, The Aquarium, and so on... Our stay included Continental Breakfast, there were 4 of us and 2 of us upgraded to Full English each day for 2,50 p/p so we could share the eggs, tomatoes, bacon, etc. The breakfast lady always told us we could go back to the buffet to get some more if we weren't full yet, even though the 2,50 was only supposed to be for 1 plate of food. Food tasted good, always fresh fruit, plenty of cereals, cheeses, yoghurt, bread, etc.The rooms were clean, cleaners did an excellent job on keeping our rooms clean, changing the sheets every other day... The only remark I have here is that apparently not all cleaning ladies know about the fact that the hotel asks their guests not to throw newspapers in the bin... because when you put the papers next to it or even put the bin on top of the papers they simply just leave them there.Was a bit dissappointed at the lack of little soaps, shampoos, etc.We were lucky enough to get rooms facing the main street, so we had a pretty nice view. I've read comments of people complaining about the police/ambulance-sirens, but I can't say I really found the sirens disturbing.The entire hotel was very well maintained, very clean, and all staff members were very friendly and helpful.Another big plus for us was that when we got there at 11AM both of our rooms were ready, even though &quot;offically&quot; your room doesn't have to be ready until 3PM.All in all we had a great stay and would definately stay here again.	
May 7 2008 	OK hotel	I have stayed at this hotel before and knew it was an ok hotel I'd come to. The stay itself was good, but the shower was a bit broken (could not adjust the height). You could not combine hot and cold water in the washbasin either because it had two single taps. So the main disappointment with the stay was the bathroom. I think the bathroom was ment for wheelchair users too because of the armrests beside the tolilet and the very low sink. We had not booked a wheelchair friendly room, so this was weird.The rest of the stay (service, area, breakfast etc) was good.	
Apr 23 2008 	Great Location great deal!	Booked this through lastminute.com - one of their 'top secret hotels' 3* in islington - slipped up by saying the bay was called The INN! googled it and found it to be the Jurys InnWe got it for £100 a night and it included full english breakfast AND evening meal! for two people! the breakfast should have been £15 each and evening meal (2 courses) should have been about £45 - we stayed two nights as well. Bargain we thought.Room was really big, although the bed quite small for such a big room! nice and clean and bathroom spotless, great shower.There was some noise from drunken people on the friday but not the hotels fault and didnt last long.Great location for Angel tube and £5 in taxi from Euston - 5 mins walk from Kings Cross too.Would definitely stay here again! Friendly staff, pub was good for watching the football before we left on our last day too.	
