	Amazing view! Great location! Friendly service!	Stayed over in this hotel before heading off to Paris on the Eurostar for our honeymoon! I'll be honest - we were on a bit of a budget and this was the cheapest 4* hotel I could find within walking distance of St Pancras - I was not expecting much at all. The staff were very friendly when we checked in, and the hotel was very clean and well presented. Our bed was HUGE and very comfortable indeed, BUT THE REALLY AMAZING THING WAS THE VIEW!!! We were on the 14th floor with a direct view out over the London Eye. The way that the hotel is organised means that pretty much all of the rooms have brilliant views out over London, we had not booked a special room or been upgraded at all. Excellent value for money - and a wonderful start to a wonderful holiday!	
Mar 2 2009 	Perfect location for Eurostar ride	If you are taking the eurostar and need an overnight stay - this place fits the bill. easily within walking distance even with roller suitcases. Plus you can easily get to this hotel from the airport using the underground. Great breakfast. Certainly the price reflects location and london - so you pay more. HOWEVER cheque around before going. the price we paid with our travel company was less than advertised when we arrived. Several online travel companies had better rates per night as well. definately a good hotel for a business stay should you need.	
Feb 28 2009 	beware room size	We have visited the novotel st pancras since early 2006. There used to be 3 room types, standard, superior and executive but now they have reclassified them as either superior or executive, problem is the rooms have not changed, so you may book a superior room and get a big spacious room on the 14th floor with views accross London or you could end up with a shoe box on the 2nd floor overlooking the bins!!!Hotel is handy for both kings cross and euston train stations and buses pass by the front of the hotel all day and night for easy movement around London. The number 91 runs past the hotel and will take you to trafalger square in about 15 mins.Breakfast is overpriced at £15 per head and I would not recommend paying for it unless it is alread included in the roomprice. They do a better breakfast accross the road at the premer inn for about £8.Room prices vary geatly on different websites, best prices seem to be on novotel.com. On average you should be looking to pay about £100 per night for a superior room but as I said earlier beware the room size.	
Feb 5 2009 	ok but way overpriced for what you get.	We have just returned from a 3 night stay at this hotel. a normal room consists of muchthe same stuff as most hotels of this calibere.its clean and comfortable, but a bit on thebasic side.its handy for st pancras 300 yards and euston 300 yards the other way.walk up rooms (not pre booked) cost £250.The internet costs 12.99 for 24 hours, which is outragous, considering the price of the rooms, or you can have 1 hour at £7.99.BEWARE: if you go to the bar sit there and order a drink you will have a discretionary 10%service charge added as will you for anything you have in the resturant or cafe.I requested this all be removed on checking out, as its a way of subsidising the wages of staff in a lot of hotels in london. (a practice soon to be outlawed).they were not happy, but they did remove it. YOU ARE NOT LEGALLY OBLIGED TO PAY THIS CHARGE. the best thing, is to tip the waiter yourself, if you deem fit and then you KNOW he is getting the tip.I think in gereral this hotel is ok, but way overpriced and you can do a lot better for less in london.	
Feb 3 2009 	Standard Big Hotel	The Novotel hotel was absolutely fine and in a good location especially if you're travelling on train from Euston, Kings Cross or St Pancras.My room was clean with two single beds. Plenty of TV channels (no sport!).Shower was clean and powerful.Gym was freezing but well looked after and sauna and steam room were also in good condition.Buffet breakfast was fine for a mass catering effort.Absolutely nothing wrong with the hotel. It's just very big and rather impersonal but does exactly what it needs to do.Finally - if you get the lift to the top floor then there are some great views!	
Jan 21 2009 	Perfect for Eurostar getaways	We got a great deal on this in early January by dealing directly with the Accor website (the parent company). It's the perfect hotel if you're off on the Eurostar first thing in the morning., just a couple of minutes stroll away. It's big, impersonal and clean but poor toiletries in the bathroom. No shower cap! No mending kit! No hair conditioner! No body lotion! They needed one or two more luxurious touches to bring it up to standard, but it's a case of getting what you pay for. Don't bother with breakfast - St Pancras offers all sorts of interesting options, including delicious porridge and the traditional British bakers there.	
Jan 11 2009 	Great Hotel - Great Location!	We decided to book this hotel after a long flight because of its location. We were not disappointed as the travel from Heathrow by trains to the hotel was easy enough. The hotel is only five-minute walk from the St. Pancras station. Its location was also convenient for our friends in London to come and meet with us. The room was clean and the bed was very comfortable. Additional toiletry items were provided by the hotel within five minutes of our call. We were glad that we chose to have breakfast included in our package. It is a great value for money! We immensely enjoyed having a full breakfast before starting the day. Did I mention how much I love their bacons?	
Jan 5 2009	The Good and the Bad	There were a few small things, like only two towels, no wash cloths, and one small bottle of shampoo and shower wash. We flew Ryan Air so we didn't bring any toiletries thinking the hotel would have them. There was a walk-in shower for the handicapped room but it caused a major flood each time I used it. Not good for someone who has trouble balancing to begin with. The twin room was tiny but the beds were okay. The internet did not work. Something was wrong with the keyboard. So we had to use the phone instead for a lot of information which was very, very expensive in the end. The TV remote was slow and frustrating. They did back out the internet fee. They also charge for wireless. Also there was no breakfast with one available for 15lbs ( about 24 dollars). The conceirge was teriffic and because I had a bad fall while I was there they were very helpful with lending us a wheelchair (with a 250lb deposit) until we could find a rental. He also helped with all the calls we had to make The biggest complaint is that when we left I had to pay a 156.00 phone bill which was totally unexpected. I made only local calls but if they are to a business they are somehow special and you are charged a huge amount (38lbs for one call alone). The hotel charges .35p a minute plus 1.50 pounds for each call if just to a local number, but I have no idea who that might be as who would be calling a residence? I called the wheelchair place, the movie theater, the train and bus station and the airport. All &quot;special &quot; I guess. I made a collect call to my hospital insurer and they charged a &quot;collect call&quot; fee. Just the opposite in the u.s. with free calls to these places usually so just be very aware when you pick up the phone, and check the prefixes on the phone card on the desk This might be the usual to a frequent traveler but I'm not. We did get a good price on the room, 103.00 a night but the phone charges made up for that. Oh well. There is a wheelchair lift in the entrance and it's close to a ot of pubs and restaurants and very close to Kings cross and euston stations. .	
Dec 31 2008 	Amazing view over central London	A pleasant surprise for London - a very large and very clean room with a fantastic view over central London at a reasonable price. The interior is no different from any of the other Novotels around the world, but this can be a good thing when there are so many overpriced and misleading hotels in London. Obviously super convenient as it is a minute walk from King's Cross St Pancras tube station / Eurostar station. Definitely recommended for business travellers who don't need all the frills. One thing to remember is to ask for a room without a door connecting to the next room as you might hear your neighbouring guests.	
Dec 15 2008 	Great Hotel - Highly Reccommend	Great location for St Pancras station. Rooms were spacious and clean. Plenty of amenities nearby. Staff friendly and helpful.	
Dec 9 2008 	Hard to Fault	I stayed for one night on business and thought this an excellent hotel. The room was spacious and the bed large and comfortable. I had a standard room on the second floor at the side of the hotel and it was very quiet. Breakfast was good.The location is good for St Pancras (what a great station!) or Euston (er...) and right next door to the British Library (go and see the public exhibition area which has some fascinating documents, including Beatles lyrics on scraps of paper and Britain's declaration of war on Nazi Germany, all with interesting corrections!).It's easy to get into the West End and my experience is that comparable hotels right in the West End tend to be more expensive and have smaller rooms. I walked to a meeting in Camden Town and it took me 20 minutes.I've stayed at the Novotel Tower Bridge (also excellent value) and Novotel St Pancras is better, though pricier.	
Nov 30 2008	Great value	Exactly what you need for a city stay. A good-sized, clean, fresh and comfortable room under £100. The lobby is bustling and modern and the breakfast (included in our price) offered a lot of choices. Although ST Pancras isn't in the thick of where you might want to be, its transport options enable you to get most places quickly (and the area has been cleaned up considerably in recent years). Recommended.	
Nov 15 2008 	Great Choice	We stopped for 2 nights over the Lord Mayors Show weekend. We travelled by train to Euston and the hotel is a 5 minute walk from the station. It's actually closer to St Pancras and if you use the tube to get about, this is closer.We had a superior room on the 9th floor overlooking the Euston Road. The hotel was spotlessly clean and in excellent condition. The staff were polite and very efficient. The room was not huge and had a Queen sized bed, everything in the room worked fine, the only downer being the racket from the road, it is very busy. I wouldn't like to hazard a guess at the number of police sirens we heard over the 2 nights, but it was a lot!! The joys of the big city.The buffet breakfast in the morning was excellent, and considering the size of the hotel and the fact that it was full, the restaurant never appeared excessively crowded.The view from the end of the hotel from each floor was fabulous, and I would recommend you take the lift to the 16th floor and take in the views from the observation windows overlooking the British Library.Overall, my wife and I enjoyed my stay and would recommend it highly. It's extremely handy if travelling in by train, and just far enough out of the centre of London not to be exhorbently priced. My wife and I would definitely stop there again.	
Nov 15 2008 	Great location if traveling on Eurostar	Stayed at Novotel St Pancras because of it's close proximity to the St Pancras Eurostar station. Indeed it was less than 5 mins walk to the station so if you are traveling on the Eurostar, I'd definitely recommend this hotel. It is also less than 10 mins walking to Euston station, which is a big train station. So, if you need to travel on the train, this is also a good choice. Starbucks and fast food is right across the street. And there are plenty of choices of cafes and restaurants at the St Pancras station. The British Library is right across from the hotel where you can get free internet access. It is relatively good value for GBP122 per night. The room is basic and clean. Decor is Ikea-like.	
Oct 31 2008 	Fantastic Hotel	We spent three nights in the Novotel London St Pancras. We chose the hotel because we were travelling with our 5 month old son and didn’t want to have to bother with the underground or taxi’s once we arrived at Kings Cross with all our baggage. The hotel was only a 5 minute walk along Euston Road from Kings Cross. Check in was friendly and efficient, the man on reception even gave us a stuffed toy for our son as a gift! The room was fantastic, we only paid for the basic room but we’re sure we got a mini suite. We had a separate sitting area with its own widescreen LCD TV immediately as you entered the room then beyond the bathroom the sleeping area with a large bed and another widescreen LCD TV. The room had a fridge and a wonderful view out over Euston Road (we were on one of the higher floors). The breakfast was included in the price and was lovely. The location was also great; we were only a few minutes walk from Euston and Kings Cross St Pancras underground stations. I particularly loved the lift with the panoramic view. The rooms were always clean and the staff were very friendly and helpful. I would highly recommend this hotel.	
Oct 22 2008 	Great View of London	My family and I stayed 2 nights here after our Disneyland Paris holiday. The room was clean and comfortable. I especially liked how the room separated, where my husband and I had a double bed at one side of the room and my 3 year old daughter slept on a sofa bed at the other. She had 2 tv's too! Breakfast was fab, there were so much choice. We were on the 12th floor and the view up there were fab. All in all, the stay was very good.	
Oct 22 2008 	Very good for a chain hotel	We've walked past this hotel for many years and decided to stay there overnight before getting an early morning Eurostar train. We got a room for £99 (room only) which is quite expensive, however a couple of weeks earlier we paid £110 for a Premier near Kings Cross and the Novotel was far superior. I think we got a superior room as it was particularly well decorated and layout. The bar downstairs is very nice and we liked the Panoramic elevator.	
Oct 11 2008 	Great Stay	We have just returned from a stay at the Novotel. We had a great stay the hotel is spotless and in a good location for ease of access to all London has to offer.Its two mins walk from Kings Cross so the tube is very handy. the staff at check in were great and efficient.We had a wonderful room on the 15th floor the view was amazing. the room was large with a great walk in shower and a seperate office area. It had two flat screen TV's, mini bar, tea and coffee making facilities.The staff at check out were good too we would definitely stay at this hotel again.Only down side is if you dont want to use the tube you are too far from the tourist heart to walk and would maybe want to choose a hotel closer to Covent Garden.We went to see Wicked when there and would recommend it to anyone.	
Oct 9 2008 	Great rooms and service but quite pricey	I stayed here for one night while on a conference at the hotel itself.The hotel is inbetween Euston and St Pancras stations and next door to the British Library.Checking in was easy and the room itself was very modern, spotlessly clean and a decent size. The bathroom was a decent size which is nice as sometimes this is where hotels scrimp on) and there was plenty of cupboard space.We ate in the conference rooms for lunch and evening meals and the quality of the food was good as was the service. At the main bar, the staff weren't the quickest and some of the prices were eye watering - £7.50 for a glass of bog standard wine.There are plenty of decent pubs on and along the Euston Road where you will get better service and more for your money, but it is essentially a business hotel where people probably rack up the expenses and don't actually have to consider the prices involved.As the hotel is on Euston Road, expect some noise - my room was at the front and I was frequently woken up by sirens etc but my overall experience of the hotel was good. If I was paying £200 a night I would expect a bit more sound proofing however, or some ear plugs!	
Oct 6 2008 	Surprisingly great.	I usually hate staying in these big hotels, preferring to stay in B&amp;B's with more personal service and value for money. However, being London and the peak season, we managed to get a deal here and went for it. I have to say it was a really great stay - the best we've had in London in fact (and we've stayed in MANY hotels in London over the years).We arrived at the hotel at about 7.30am after being in an accident in the taxi on the way from Victoria Station and an overnight coach from Edinburgh before that (in other words tired and pretty miserable). We wanted them to hold our luggage until check in but they did one better and gave us our room early so we could have a nap. Bliss! Not only that but we'd booked the stay in two parts (as we realised later we needed more nights) one booking was a regular room and the other booking a superior room which was done by accident, but they were nice enough to upgrade our entire stay to the superior room so we wouldn't have to swap later.The rest of the hotel is the usual business hotel stuff - buffet breakfasts and internet at crazy prices, impersonal service with a weak smile. But nothing to complain about really, we were so happy with our room (gorgeous and huge with a king size bed and big bath). The internet is slow, which for the price is annoying, but to be expected in this sort of chain hotel. As London hotels go this was a great experience and we really appreciated the staff that first morning treating us so well, it made a massive difference.	
Oct 4 2008 	Great business hotel	I stayed at this hotel for two nights while I was in London on business. I was suprised by the standard of this hotel. It looks very new and modern and the rooms were superb - very spacious and modern. Everything looked brand new in my room. The bathroom was really nice as well, everything was spic and span. The beds are also very comfortable and it is quiet.The staff were attentive and very professional.My room wasn't cleaned however, and I thought this was strange. I raised it when I checked out and the reception manager was very quick to apologise.All in all a good business hotel and would come back.	
Oct 2 2008	Lovely Breakfasts Clean rooms	I stayed for two nights at Novotel St.Pancras in September 2008. I was on a Angela Coach holiday from Bournemouth for £135. The view from the 15 storey panoramic lift were excellent but brief. The buffet breakfasts were very good with cooked options as well as continental. I'm not sure how Angela Coaches got this hotel so cheap (perhaps it was a contract signed before St.Pancras opened and the hotel was known as Novotel Euston)	
Sep 30 2008 	Location near Eurostar Clean Well-Run	We are a 50-something gay couple that stayed one-night at this hotel this past September on route from London to Paris via the Eurostar &quot;chunnel&quot;. We chose this hotel based upon its location near the Eurostar St. Pancras station and overall good reviews from tripadvisor. We selected a superior double room (non-refundable rate of around 99 pounds.) Once again, the positive reviews on tripadvisor coincided with our own experiences. We had a nice, quiet, and clean room overlooking the British Library. As mentioned in previous reviews, the staff were welcoming, friendly, and efficient - check-in/check-out was a breeze. Since we were there such a short time, we did not make use of any of the hotel's facilities, so cannot coment on them. An aside: as luck would have it, the Eurostar train experienced a fire in one of its tunnels the day before we arrived and had been shut-down. As we were to travel to Paris the next day on the Eurostar, we were unsure of whether we could get out of London in time to reach our next scheduled destination. (Coincidentally, one or more British airlines had gone bankrupt around the same time, further disrupting overall travel in Britain, making the booking of alternative arrangements a bit of a headache.) Because of the Novotel's relatively close location to St. Pancras station, we were able to check in person on the status of the Eurostar and to get on one of the first trains leaving London for Paris after the chunnel fire - thank goodness - allowing us to continue with our trip without major disruption (or expense!). Summary: clean, modern, efficient, hassle-free accommodations, close to St. Pancras and King's Cross stations.	
Sep 22 2008 	Good hotel near Euston	I stayed at the Novotel for 3 nights in April with some friends - booked through Priceline and got it for $70 per room per night for 3 rooms. If you're looking for a hotel thats close to Euston then I would highly recommend the Novotel. It was modern and clean and had small touches like a connector for my ipod into the lcd tv in the room. There was an ice machine on each floor and a glass elevator showing panoramic views across the city. Staff were polite and friendly and handled my booking without a problem. Its situated on the very busy Euston Road and there's a variety of pubs and coffee bars opposite which offer decent food at affordable prices. The hotel is about 5/10 mins walk from both St Pancras and Euston - maybe a little out of the way if you're looking to be right in the centre but taxis are plentiful and the tube is a short stroll away.	
Sep 20 2008 	Amazing Hotel	The main ways we described this wonderful hotel was &quot;Wow&quot; and &quot;Amazing&quot;! We were lucky enough to be on the 15th floor with a fantastic panoramic view of London. The staff are great and very helpful and the room was extremely clean with everything you need. I would thoroughly recommend a visit, it's situated in a lovely area of London, not too busy but plenty to see and do.	
Sep 17 2008 	Good Hotel :)	I've stayed on Novotel London St Pancras last December during Christmas time (21th-25th December 2007) and I must say that I was pleasantly suprised with the hotel. I've stayed at other Novotel's and I never experience such quality. The building is very well positioned, with a panoramic elevator that took us to our hotel floor. The rooms are spacious, with a great bathroom. Everything has a very modern design. The food at the hotel was delicious with a wide variety of opinions. The location of the hotel is also good due to the metropolitan station that is 50 meters from the hotel. The staff were very friendly and helfull (they called several times to Lufhtansa because we had used this airline and they have lost our luggage) in order to help us. Overall, I must recomend this hotel to fellow travelers both for bussiness and holidays.	
Sep 7 2008 	Great stays and not so great stays	I stayed in this hotel 3 times in August all of which were very different! From a fantatic room on the 9th floor with execeptional service throughout to a broom cupboard with twin beds on the 4th floor not quite the double room booked as they were overbooked, with nonchalant staff! I have had some fantastic stays at this hotel and the bar area is great for a single female traveller although the room and the service I had on my last stay has seen me move to another hotel.	
Sep 6 2008 	Good hotel for the area	Had a 3-night stay here for a work trip. The room was small, but you can't expect anything else in London. The room had 2 single beds rather than the double requested but the check-in staff member pointed out that I would have a nice view from the 7th floor. I did indeed have a view - of Euston Road, with its interminable traffic and chain cafes! The bathroom was fine and the air con worked well. Internet access was a pricey £14.99 per day but at least it was fast. Breakfast provided a good choice, served in a bright spacious restaurant. Staff were pleasant. While the immediate vicinity is pretty charmless, Covent Garden is a pleasant 20-25 minute stroll away, not much longer than the tube or bus journey. I've stayed in 2 other hotels in the are and would rate this the best.	
Aug 27 2008 	Lovely hotel!	I stayed at this hotel for one night on a theatre break. The hotel is lovely, well located and has really nice rooms. In the higher rooms, there is a great view of London. You can also go to the top floor in the lift and look at the view.We really enjoyed our stay, the room was clean and modern, the bathroom lovely. We really liked the breakfast, there was lots of choice and everything was good. It is well located as it's near to Euston station and there were several restaurants and bars in the area. We went to one of the bars across the road in the evening after we had been to the theatre.Overall, I would recommend this hotel for a stay in London!	
Jul 25 2008 	Still perfect!	We were due to stay at the London Bridge Hotel but suddenly the price of the Novotel was reduced to 98 GBP so we changed and booked this hotel. I've already been there in february and it is still a very nice hotel. The breakfast is really good, enough choice, and the room is clean, convenient, functional. It seemed to me that this twin room was smaller than the double one I had in February, but maybe it's just an idea ... I would just be nice to have more towels but otherwise it's a perfect hotel, especially if you travel with Eurostar! St pancras is just a few minutes away.TIP: you can eat at the Pizza Express just opposite the hotel where you can also ask for 'takeaway'. I saw many people crossing the street to take their pizza and go back in their room.	
Jul 24 2008	Great hotel	This was an excellent hotel, clean big comfortable room, big bathroom, close to the tube, yummy breakfast.	
Jul 23 2008 	Great position great views: a good experience at the Novotel St. Pancras	We decided to spend a weekend in London. Finding a good hotel at a decent price is always tricky in London. I'm a big fan of the Hoxton, but there were no rooms at a reasonable price this time, so we decided to try the Novotel St. Pancras.The rate was quite good (a bit more than 100 quid per night), the room was very spacios, at the 10th floor, with a panoramic view.The view from the panoramic lift is also very nice.Apart of the view, the hotel has a nice lobby, the staff is quite friendly, and location is perfect: a short walk from Bloosmbury, and next to the British Library and Tube station (St. Pancras and Euston).So, all in all it was a great experience.	
Jul 18 2008 	Great for Eurostar	Like many other reviews on here, we stayed here on the strength of its convenient location for the Eurostar. The hotel is just 3 minutes walk from St. Pancras International Station. Check-in was OK and we were upgraded to an executive room on the 10th floor. The view from the room towards the city was fantastic.The room itself was great. It was a good size with a large bed (king or queen), a desk and a seating area. The bathroom was very interesting - a glass sink and a 3 way adaptor on the shower (choice of bath taps, hand shower or main shower).We did not eat in the hotel as neither dinner nor breakfast was included in our rate. There are plenty of food and drink options nearby including a Pizza Express, Starbucks and Pret A Manger directly opposite the hotel.As the hotel is situated on a main road in the city centre, there can be a problem with traffic noise during the night. As we were on a high floor, the only real noise we could hear was the sirens from emergency vehicles. If you are a light sleeper, I would suggest requesting a room towards the rear of the hotel.	
Jul 16 2008 	Good location if travelling with Eurostar	We selected the hotel because of its location next to the st Pancras Eurostar station. The price of the hotel was high, but then again this is London in july - I would stay there again if travelling with Eurostar.If I compare the hotel with any other European city hotel I would say that the quality was not up to standard - eventhough the building was pretty new, it was easy to find &quot;cracks&quot; in the interior - like that the pipe from the sink to the wall went through a cracked tile.A tip! Do not accept to be charged in Euros, they suggested that to me, but I declined - and when I got home and checked how much had been charged to my creditcard I could see that I made the right choice - I saved 4 € by charging the stay in pounds.	
Jul 3 2008 	American in London	Here is the email I sent the hotel with feedback to them:Dear Hotel Novotel London St Pancras,I am staying all week and wanted to give you some feedback on the hotel. [I am staying in a quiet room on the 11th floor](a) Your staff is very friendly and cheerful. They have been uniformly helpful when I talk to them. The restaurant staff is especially good. I recommend the hotel restaurant.(b) I really like the breakfast. It's much better than one I tried at aneighboring hotel with a colleague yesterday. (c) There is some trouble with wakeup calls and internet.wakeup calls: Specifically, on monday checkin I asked for a 730 wakeup call on tues morning only. I got a &quot;TV&quot; wakeup instead of phone. Tues night I set the TV for an 830am wakeup call and instead I got a 730am wakeup call on the phone Wed am. I asked the person who called on the phone to cancel all future wakeup calls. Last night I was out lateat the theater and wanted to sleep in. Promptly at 730am thurmorning I got another phone wakeup call, despite requesting all future wakeup calls to be cancelled. The person on the phone seemed confused when I told them this.internet: I am having some annoyances with the internet connection going in and out. I am using the cable internet rather than wireless. I pay L 14.95 a day for this and for the TV. For this price the service should be seamless iwthout interruptions. I have had to call down to the front desk at least once a day to ask for the lines to be reset.I suggest to charge less for the service if you can not provide seamless service. Preferably I suggest to provide better service and charge appropriately for it. As a business traveller, I am willing to pay money for good service.(d) The room is very quiet. I am quite happy with this (except for the wakeup calls of course). Ther eis a bit of construction noise from a building two blocks away but otherwise it is one of the quietest hotel rooms I have stayed at. I requested a quiet room and have been quite happy with this.(e) The bed is quite comfortable. It is comparable to the new&quot;comfortable&quot; beds that are such the rage in American hotel chains these days (e.g. westin heavenly bed). [NOTE I BOOKED A DELUXE KING ROOM](f) The size of the room is good.(g) I like the soap/shampoo and I have one request: can you please provide hair conditioner with the shampoo? As a female business traveler with curly hair - in London I have frizz hair if I don't use conditioner. Many top hotel chains provide this and I was disappointed not to find it when I checked in. With the new airport travel rules it isinconvenient to bring my own conditioner (liquid restrictions)so I am more dependent on the hotel products.(h) There is problems with communication to your housekeeping staff. I've asked to have my room cleaned without chemicals and the housekeeping staff on the floor has no idea what I am talking about and they don't speak English (or Spanish or French for that matter). I tried to talk to them by pointing but they were to shy to do that.(i) Your hair dryer is rather wimpy. I suggest to provide one with a bit more oomph to it. Also can it be provided for use in the bathroom rather than in the closet?(j) I was puzzled by the need to insert the keycard into the slotin my room in order to make the power and a/c work. The first couple of days I suffered from heat in the room because the a/c would only come on when I was there, otherwise the room would get hot. It took several hours to cool down the room because the a/c is rather mild. Finally on wed I asked for a second key and was able to leave the a/c on when I was not in the room. This could all have been avoided had I gotten a secondkey upon checkin. I told the front desk about the issue when I first arrived, and no one suggested to have a second key to leave in the slot. I suggest that in the future, when you have guests who are grumpy about the A/C only working when they are in the room, that your staff promptly give them a second key to leave in the room if desired. There is nothing worse than a hot hotel room. At the prices you are charging (approx L 200 per night) you should be providing perfect temperatures for the guests.Moreover, those of us traveling from north america are fussy about our A/C and are used to much better climate control than this. The price of the room should include appropriate climate upon entering the room, not after several hours of running the a/c continuously once in the room.(j) Newspaper. When I checked in they asked if I wanted a newspaper in the morning. I said that would be fine. No newspaper has ever showed up at my door since I have been here the past 4 days. It's not a big deal for me since I read the news online (when the internet works). However some consistency would be good.(k) I might suggest some additional clothes hangers in the long closet. There are only three fixed ones and two mobile ones and this is not enough to hang up pans and shirts for a weeklong stay. The other closethas no space to hang up long clothes.(l) The desk is very nice. I am working alot during my stay and find the desk and chair quite comfortable.(m) Room service is excellent (I only used it once however).(n) The blackout curtains are great. I am sleeping very well in London. Better than I do in Los Angeles as a rule (I have a skylight in my bedroom at home).(o) The shower has a strange hinged glass door that is supposed to keep the water from getting all over the floor. It is insufficient for this purpose and every day I have water on my floor after the shower.(p) The water pressure, hot water, and capacity are wonderful. I am used to flow restrictors in the US and it is a luxury to take a shower with so much water. On the other hand, I suppose this is not so good for conservation.(q) There is some trouble with the light above the toilet in the bathroom. It does not stay on while the other light does stay on. It does not seem to be on a motion dectector so it might be a problem with the bulb perhaps. (r) the sink in the bathroom has a slow drain. It is not a big problem, but someone should see to it. This is easy to fix.(s) The minibar has water and reasonable prices (for a minibar).I am quite happy with this. I might suggest to put more things in there. It can hold much more than you put there. More food is a good idea. There is just one chocolate bar and one can of pringles. On the other hand, I had some extra space to put my own stuff (evian purchased from a store). The minibar has only been restocked once since I have beenhere - is that normal? I'm not missing much but I was thinking either every day or once and it seems strange that it is one out of three days.	
Jul 2 2008 	Very Good Hotel	We stayed here for one night before going on the eurostar. We picked it mainly because of the location as we also cam in from euston and it's right in the middle of both.We got a free upgrade on the room not sure what the differance was though.Room was big as was bed nice and clean with a brilliant view.Breakfast was ok not great as hot stuff a bit more lukewarm but a good choice overall. Would not hesitate to stay here again	
Jun 26 2008 	Decent Hotel	The hotel room we stayed in faced away from Euston Rd and was quiet. The room was reasonably spacious and was modern and clean. The bathroom featured modern decor with the standard shower over bath. The hotel is located a 5 minute walk from King's Cross station and a 10 minute walk from Euston station/bus interchange. Buses stop directly across Euston Rd for a direct journey to attractions such as Oxford St. Just across the road there are a number of fast food joints and a block or two away there are grocery shops and convenience stores. The British Library is right next door.The concierge at the front desk was helpful with suggesting attractions and tours in and around London. The staff on the whole were quite polite in that typically English standoffish way. I never used the hotel's restaurant or other facilities, apart from the internet facilities on the ground floor, which were available for a reasonable(by hotel standards) pay as you go fee. Overall, pretty good value and fairly handy location.	
Jun 25 2008 	Good Location	Agree with other recent reviews 100%Great location for Eurostar.. less than 5 mins walkGood transport acess to Tube system. Kings Cross or EustonBuses to central outsideClean good sized roomsOverpriced breakfast. Pret accross the roadRequest a room towards top of Hotel. The view is brilliant. South side accross city or North accross HampsteadVery fast efficiant front desk	
Jun 17 2008 	Great rooms and location	I stayed in this hotel for one night on business. What impressed me about it was the modern styling and the generous sizing of the rooms - there is an entrance area with a desk and TV and wardrobe, then a good ensuite bathroom, then a nice sized sleeping area - with another TV. The aircon works well and the room was spotlessly clean and well equipped with internet access, an iron and a trouser press and tea/coffee making facilities. The minibar was not that well stocked. For a week day rate of £155 (only £15 more than the Travel Inn across the road when I was booking) it seemed good value for the space. The staff were friendly and helpful and the public areas clean and modern. The only slight criticism is I thought the breakfast (I had room service) was a bit overpriced for what was provided. I had the continental at £15 and whilst each component was of good quality, the portions were a little on the small side. Just about enough for me but maybe wouldn't be enough for someone with a large appetite! The other massive plus is the location if you are coming into London to King's Cross, Euston or St Pancras - its an easy walk to all three, even with a wheely case. There are also a couple of places to eat nearby too - Pizza Express just across the road. All in all, a really good option.	
Jun 12 2008	Pleasant surprise	Pleasantly surprised by the hotel -- good location, clean, great staff, nice coffee tray with shortbread cookies in the room. Good buffet breakfast. Convenient to the tube, to restaurants, to the train. This was booked as the start of our tour with Cosmos and I expected less. Great views from the hallway next to the elevators.	
May 28 2008 	Oh so trendy!	The Novotel St Pancras (which used to be referred to as the Novotel Euston) is very convenient for people taking trains. The rooms are large for London standards, in good shape and ell decorated. The bed was pretty comfortable, too. The one major lacking feature was an alarm clock - I asked at the desk and he said they did not have them, they use wake up calls. It is located between St Pancras and Euston stations, and just down the street from Kings Cross. The area is not the best in London, but anyone familiar with a US city won't find it bad at all. Wired internet access is available, but it is steep.The biggest problem with it is that being so close to the train stations, prices are a bit steep. but this may be outweighed by the convenience factor.	
May 11 2008	Nice welcoming hotel	Stayed here one night before going over to Belgium on Eurostar. The location can't be beat - good tube connections and right next to Eurostar Terminal. After the long overnight flight, it was wonderful to be greeted at the front desk by a welcoming, friendly and helpful young man. Rooms are excellent - clean, comfortable, good mattress, nice bathroom and tub/shower combo, good placement of electrical outlets and fairly large room (by London standards). If I were staying longer in London, there are other locations that I prefer, but for my purposes on this trip, it was a perfect choice. I checked around and found the best price by booking direct with the hotel. London is not cheap, but I thought this was a good value for the location and quality of room.	
Apr 24 2008 	Recommended	I stayed over a weekend in April and liked just about everything. Easy walk to/from St. Pancras (with bags) or Kings Cross Tube station. Lots of pubs nearby. As soon as I got to my room I got a call making sure the check-in went ok. My 16th floor room was very modern with a distant view of St. Paul's, the London Eye, and Big Ben. At 110 pounds a night I wouldn't say I got a great deal, but relative to other stops on the same trip the rate was reasonable. My only complaint is that the Orange wireless internet connection cost me 10 euros for 2 hours and was slow.	
Apr 23 2008 	A comfortable stay	Stayed here for two nights on a weekend break. It was clean and comfortable and was all that we needed for our stay. Close to the railway station and underground.We had been warned that the hotel was noisy if you were on the lower floors as it sits on a very busy road. We asked for a high floor but were told the hotel was full. Had a room on the second floor and were kept awake until the early hours on the Saturday night with the customers form a nearby pub out in the street. The Sunday night was peaceful though.Comfortable bed. Weird glass bathroom sink with heavy glass door. All in all it was ok but much prefer the Premier Inn.	
