	Great Hotel	My husband and two teenagers stayed at the Hilton Islington from November 20-26. We arrived at the hotel at 10:00 a.m. and our rooms weren't ready until after 1:00 p.m. but the hotel staff did everything possible to make us feel comfortable. We reserved a double room for me and my husband and a twin room for the kids. Our son came over from Swansea and stayed in the twin room and the kids weren't crowded. Both rooms were very clean and there was plenty of room to get around. We had questions every day for the concierge and they were very helpful.	
Nov 2 2008 	Great Hotel	Loved the Hilton Islington. Stayed for two nights on a shopping break to London. Nice area, lots of nice restaurants and bars and some shops, gap, fcuk, m&amp;s etc. Short walk to Angel tube station. Got there early and our rooms were ready, we got ajoining rooms. Beds very comfy, very quiet at night, tea and coffee facilities in room. All the staff were very pleasant. Would stay at this Hilton again.	
Oct 31 2008	OK for short stay	I stayed here for one night on a work trip. The hotel was average at best. The bed was hard, the room looked a bit dated (although it did have a nice flat-screen TV). I would not have stayed here but for the fact it was the closest hotel to the office. I would not stay here again if I had a choice, as I have stayed in much nicer properties in London for the same price. But if it is close to where you need to be, it is an OK hotel for a short stay.	
Oct 28 2008	A good value for London	Hilton Islington London. 4* Rated.One Night weekday stay. Hilton HHonors Gold status.A Hotel review is based on a personal and subjective opinion.What may be acceptable to you, may not be to me, and vice versa. Location: Excellent - right on Upper St, and adjacent to Chapel St. Market and Islington. Angel Tube station (Northern Line) 4 mins walk.Area undergone gentrification, is now somewhat a destination for dining, and reflects authentic London pub/night life. Lots of great shopping and dining options in immediate area. Sainsbury's and Marks and Spencer food stores. Everything you may need within a few mins. Direct Bus and tube access to Theatre land / West end shopping 10 mins away.Safety: Very good 7/10. Although Big City common sense always applies. Check in: Easy and good natured. Staff mostly European.Property: Stakis property managed by Hilton, currently undergoing some upgrades and improvements.Lobby Restaurant area. Good WiFi - Food and coffee ok, not too overpriced for London. Room: Non smoking floor - No club room upgrade but not bad - Flat screen tv - Bed too hard.Internet: BT OpenZone Public areas (Prepaid coupons for sale at Concierge)Conclusion: A great location to base yourself for all tourist activities. Easy to get to, but far enough from the tourist centers to be a better value. Consistent budget quality in a city notorious for overpriced, sub standard accommodations.Stay again? YesUS rating: Solid 3.5 Star.Value: Good $$. 7/10	
Oct 26 2008 	Great Hotel	This is a great hotel close to the Angel underground station and with a huge selection of restaurants and bars within walking distance.Despite having a full house when we were there we found the hotel to be very quiet and cosy, the staff are welcoming and helpful. The large rooms are clean and nicely furbished. A large buffet breakfast is seved in a bright room just off reception.In general this is a great hotel in a very central location.	
Oct 19 2008 	Excellent hotel in great neighborhood	I won a 3-night stay at the Hilton Islington on a Priceline bid of $80/night (about $98/night with taxes and fees included). I couldn't have been happier with my stay. I was already familiar with this part of Islington from previous visits, and was happy to stay in this diverse, untouristy neighborhood. Upper Street is full of bars, cafes and restaurants of all types - from pizza to Turkish to Indian. There are many lovely Georgian terraces and garden squares to explore, as well as the Regent's Canal and the charming antiques shops of Camden Passage. Excellent bus routes run to all parts of London from right outside the hotel, and the Angel tube station is also a very short walk away. I found it very easy to take the tube from Heathrow to King's Cross, and then the #73 bendy bus to the hotel.The hotel itself is modern and very well-kept. Front-desk service was gracious and helpful, and there never seemed to be a queue. My second floor room didn't have a view - it faced a pleasant interior courtyard - and was quiet and peaceful. The room's modern decor was somewhat bland, but everything was highly functional and in top condition; the room seemed to have been recently renovated, as the carpeting and furnishings all looked spic and span. There was ample closet and drawer space for my belongings. The bed had pristine white linens and was supremely comfortable. The A/C worked great, as did the large flat-panel TV. A business traveler would have felt comfortable here, as the lighting was great, electrical outlets were plentiful, and the desk was an excellent work space.The bathroom was large and just as spic and span as the bedroom. Outstanding water pressure and temperature, and plentiful towels and complimentary toiletries. I didn't try the hotel restaurant, as there are so many choices right outside the door. Breakfast wasn't included in my Priceline deal, but there are excellent options whether you want just a quick coffee or croissant, or a full cooked breakfast. Tinderbox Cafe has excellent espresso drinks and Ottolenghi, a Mediterranean deli/cafe/restaurant, is an outstanding choice any time, day or night.My stay at the Hilton Islington couldn't have been more pleasant, and I hope to win another Priceline deal at this hotel next time I come to London!	
Oct 17 2008 	Standard Hotel - Very Good Location	My room at the Hilton Islington was quite large for London stnadards. Everything was in very good condition but decor and furnishings were drably contemporary. While I prefer modern design over more traditional decor, in case of the Hilton Islington it was just two standard and unimginative to leave an impression. Also I did not like that the windows could not be opened for some fresh air - which amazed me given that hotel only has four floors and I mostly found windows that cannot be opened in much higher hotels. The bed was OK but you can certainly find more comfortable ones in many hotels today.Service seemed very uninspired not to say impersonal. I can't say it was truly unfriendly but definitely also not outgoing and making you feel welcome. We did not have breakfast or dinner at the hotel since there are so many great places just around the corner. The location was our prime reason for chosing this hotel. If you want to be in a very nice neighbourhood which is actually more frequented by locals than tourists I would recommend Islington. It is not far from the West-End and Angel tube station is a mere 5 minutes walk from the hotel with many direct buses also connecting you directly to most areas in London stopping even closer. Restaurants, Bars and nice little shops are plenty in Islington and all within easy walking distance.I might return to the hotel - given that choices in the area are very limited and the Hilton having a prime location in Islington. The hotel itself would probably not draw me back there but then again it would also not keep me from coming back.	
Sep 23 2008 	Was upset about the service	I stayed at this hotel for three nights. I chose it because it was conveniently located in Islington close to Angel tube station and because the price seemed to be good.The hotel rooms are not small and they are clean, although I could smell smoke in my room. The rooms were not nicely decorated and particularly uncharming. The staff was absolutely unhelpful. When I arrived, I asked them to call a taxi for me. I waited for 45 mins. That was not their mistake. However, I had told them where I wanted to go before they ordered the cap and when I got on the cap I found out that my destination was only a 5 mins walk away from the hotel.The next day, I wanted to get something to drink at night. They told me that the bar was closed and that I had to get something from the machine on the 3rd floor. When I got to the machine, I found out that it only operated with credit cards plus PIN, which I don't have. I went back downstairs to the reception desk where they told me to go to the machine on the 2nd floor. That machine only had snacks, but nothing to drink. I ended up, going to bed thirsty and upset. The worst thing is that the staff did not seem to care at all, where they were sending me.	
Sep 21 2008	Great!!!	What can I say but the Islington Hilton is a great hotel !!!!We last stayed here in 2001 and sadly at that time we were not impressed with its faded decor, lack of motivated staff and bad breakfast standards....On this ocassion we returned as part of a large party booking and were a little worried about the standards this time round....BUT we need not have worried!!!!Service was flawless, staff were friendly, helpful and professional.Rooms were very well decorated, high standards, very clean, well stocked facilities and good range of electronics.Room service was 24hours, super fast and great value. and quality.Bar staff were excellent, very professional and friendly and the bar had an excellent range of draught beers.Breakfasts were superb!!!!!Breakfast staff were all up beat, happy and efficient which was great to experience each morning!!!!Buffet fruits, pastries, porridge, cheeses, cold meats, juices, smoothies, yoghurts, cereals..... Were a;ll very well presented, well chilled and very very clean. Staff were very attentive and pro active in keeping stock levels up, clearing tables and generally maintaining the area. Flawless!! An excellent buffet cooked breakfast was provided by the Chef who was friendly, professional and efficient. We thought he seemed very proud of his role too as he was a friendly person and was happy to cook guests fried eggs to order. We observed all cooked breakfast meats being probed for temperature by the chef and we saw consistent high standards on all 3 mornings we ate breakfast.Reception and concierge were all extremely friendly and professional.... cannot fault them!!!!Room service were excellent and friendly and did not enter the room when do not disturb was requested. A card was left asking if room cleaning was required later in the day, and if so to let them know the best time for them to return!! A great consideration!!!!The only negative thing I CAN say about the Islington Hilton is that they didnt have any decent shoeshine facilities ..... apart from a small cloth supplied in the room.... BUT the concierge were very quick to offer advice on a local store about 10 metres away where we could get some from! Overnight prior to our departure the hotel bill was pre- supplied for review, with the option of an express checkout slip and envelope if we wanted to leave fast.We checked out with the reception who offered to arrange a taxi to the Train station, which we took advantage of. A quality silver mercedes private hire taxi arrived within 5 minutes and the driver who was very friendly and helpful took us to the station in quick time and the fare was only £3 more than the price of the tube!!! Overall... a fantastic hotel!!!!	
Sep 16 2008	Great location average hotel	This hotel has a great location in one of the best areas in London. Islington is bustling with lots of bars, restaurant and small shops. The hotel is a few minutes walk from Angel tube and easy to find. The rooms are above average size for London with well kept with nice bathrooms. The hotel is more modern than a lot of hotels in London but does not have a good range of facilities and an extremely samll restrauiant and bar area. The rates are good if you are lucky enough to get a deal. I stay here as it is the best hotel in Islington and convenient,	
Sep 1 2008 	Great value	I stayed in the Hilton Islington for one night in mid-August 2008. By London standards the room is perfectly fine and, for the price, as good as you could expect: neutral decor and spotlessly clean with LCD TV. The bathroom is fine and has crabtree &amp;evelyn toiletries. Service was very good; the staff polite and courteous. Gave me my HHonours points even though it was booked on priceline.The location is great - heaps of restaurants and cafes nearby, and a cinema in the N1 centre. Buses 19, 38, 30 will take you straight into the west end. Islington station is only a few minutes walk away. I didn't eat in the Hilton - considering what's around the hotel there is no need to.If you're bidding on Priceline this is the only 4* hotel in the islington/finsbury region. I got my room for £60 per night (the cheapest online price was over £100/n). For that price, it is incredible value.	
Sep 1 2008 	Avoid this hotel.... It is cheap for a reason!	Please be careful, when you book on Hilton.co.uk, or check through any other travel website. Hilton UK send prices without taxes/VAT through. What seemed like a bargain £106, turned into £130!We arrived at the hotel at midday, and were checked in by the most unhelpful member of staff ever. He looked like he had been on shift way too long, was really discourteous, and started questioning the room I had booked. As the first person, you see at a Hilton, you should expect to be welcomed to the hotel. We had previously booked via the Hilton website, and requested a non smoking double room. I ended up being given a disabled persons room in the smoking section. I do have to admit though the room was very clean. I would have complained, but due to dogdy trains, I would have been late for a wedding. Our room was Bed and Breakfast, we went down for Breakfast around 9.30am, and the Host sat us down at a dirty table, which was cleaned whilst we sat at the table. We had to wait for cutlery and crockery, which I was not happy about. To top it all off, we requested a late check out, so we could hit the stores on Oxford Street before going home, we were told it was not available. I was a little concerned..... surely they knew about our request at check in....I was very disappointed.	
Aug 30 2008 	Nice Hotel right by tube stop	Very nice hotel right by a subway stop. A bit out of town, but with the London subway systems, who cares? We got a good rate via Hilton.Staff was able to get us tickets to Wicked, 8 rows back in the center. That is a great show by the way. Everything else was flawless, very nice stay.	
Aug 17 2008	Efficient and convenient	Very clean with an efficient check-in/check-out and helpful staff. Room had all the facilities you'd expect, with brand-name toiletries, well-laundered towels, a really nice bathroom, widescreen LCD TV with extra channels, etc. The only thing that stops me rating as a 5 is that the extras such as internet, breakfast etc. are very expensive (prohibitively so IMHO). I booked through Priceline and the price was good for London fo this quality, but didn't include breakfast. I'd recommend eating at one of the local cafes/bakeries. Location is fine, and very convenient for where I needed to get to - just a few stops on the Northern Line (nearest tube is Angel which is around a 10 minute walk).	
Aug 3 2008 	Ideal Location	Great location and usual superb Hilton breakfast.Staff were friendly and helpful. The room was clean and of a good size.Ideal if you are going to Saddlers Wells as we were or the Business Design Centre. Fredericks restaurant in Camden Passage is a must.	
Jul 15 2008 	Fantastic service and the most attentive staff!	We recently stayed at the Hilton in Islington and must say that we were really impressed by the hotel generally.Firstly, the location is very good - not in central London but easier enough to get around as it is so close to Angel tube station.The room was spotlessly clean and spacious considering there were two adults and one child - one double bed and a single.The window was locked so could not be opened, which we would have liked as it was a warm weekend, but the air conditioning worked very well - however, would still have been nice to have got some fresh air in the room. Tea and coffee making facilities but no mini bar or fridge - again would have been nice.The only negative thing about our stay was the breakfast. We have stayed in numerous Hilton hotels and have always been very impressed with the 'Hilton Breakfast' - this one was disappointing. The selection was very limited and not fully stocked, the worst being the hot selection which consisted of baked beans, mushrooms, very pale undercooked potatoes, scrambled eggs, again very pale insipid looking greasy fried eggs, the worst sausages I have ever tasted (again very pale, undercooked with an overpowering herb ingredient) and bacon which was pale undercooked and very fatty - difficult to serve as all stuck together in a clump. The items looked as though they have been 'boiled' and could have done with a proper grilling to make them look browner and more appetising.The best thing about our stay were the staff - ALL of the staff without exception were polite, obliging, smiling and couldn't do enough for you - special mention for the housekeeper who did an excellent job with a smiley, cheerful attitude.Overall we were very pleased and would certainly return.	
Jul 15 2008 	Great London Hilton	I've stayed at many of the Hiltons in London and I have to say that this is one of the best. I was upgraded to a suite which was large and comfortable. Everything was very clean and overall the room was excellent, faced into the courtyard area so there was no traffic noise.As has been said before it's a great location for pubs and restaurants and very convenient for Central London.Breakfast was buffet style. Huge selection and everything freshly cooked.	
Jul 7 2008 	Much more than I expected! Loved it!	Our trip to the UK had us in London twice. We stayed here after we had stayed at another London Hilton and we did not expect the LARGE room and the great service. The front desk remembered us after our check in; the concierge was extremely helpful in finding a small pub that had been recommended; the buffet breakfast included in our rate was extensive but the large room blew us away. I mean, this is London! We also enjoyed the area very much. Just step outside the hotel and you are in the midst of a vibrant street scene: outdoor cafes, open air markets and a few short blocks from the tube (Angel station- last stop in zone 1) and the N1 'mall'. We found our new home away from home in London.	
Jun 19 2008 	Functional and convenient	I should say I'm not a fan of personality-free corporate hotel chains. That said, I booked this through lastminute.com's 'Secret Hotels' (&quot;4* in Islington&quot;) because I needed somewhere in that part of town and didn't want any hassle. The hotel did its job perfectly - no hassle, quick service, friendly staff. The room was a good size, with a comfy bed. As with other chains like this, extras were VERY expensive, but I didn't bother with them - I'm amazed people still put up with hotels charging for WiFi access. So, in summary, a good location, a trouble-free stay, very comfortable, and good value if you get a deal - but beware the extra costs if you want breakfast or internet access. (For breakfast, head across the street to the S&amp;M cafe on Essex Road - excellent sausages!)	
Jun 16 2008 	Fantastic hotel with great location!	We booked this hotel through lastminute.com and got it for £157 for 2 nights as a top secret hotel and was really pleased when we saw it was a hilton. We'd never stayed at a Hilton before so wasnt sure what to expect but it was brilliant. The front desk lady was really nice and booked us into our rooms no problem. We had two rooms in our party but we had booked sepreatly but she made sure we had rooms next to each other with no fuss at all. The rooms were a really good size for London and there was loads of room so you didnt feel cramped. The big plazma screen was fantasic and the beds were really comfortable and large! Tea and Coffee stuff was nice and even got herbal teas which is a nice touch. The bathroom was large and there was Crabtree and Evelyn toiletres which were replaced every day we were there which is unusal but great! The units in the room and bathroom looks dated in the photos but its not in real life and is really smart.The location was fantastic its a 5 min walk max on a straight road from Angel tube station (which is 1 stop from kings cross, it is really quick to get into central london) and was really easy to find. islington is like a mini town and has a Boots, Sainsburys, Monsoon, Waterstones etc all about 3 mins walk away. There are some really nice pubs and restaurants 2 mins walk from hotel, Cafe Uno is really nice! We didnt need to go into the centre of London at night cause there was so much to do so close to the hotel.Overall the hotel and the location were fantastic and I would stay there again.	
Jun 15 2008 	Wonderful stay!	Stayed here since I was attending a concert in London that evening; booked through lastminute.com and got a decent rate too. Very accessible to both public transport and the local amenities such as restaurants, which meant I didn't have to pay through the nose for room service. Very comfy bed, nice big room and Crabtree and Evelyn toiletries - what more could you want? If I got the same great deal on another occasion, I would have no hesitation in staying here again!	
Jun 1 2008 	Great hotel - just one flaw...	Excellent location, 5 minute walk from the tube and buses, 20 minutes into the city. Lovely hotel, nice decor and excellent staff. Most uncomfortable bed we've ever slept in though which results in a lower rating than it could have achieved.	
May 27 2008 	Decent Hilton in area with few hotels	This is not the easiest part of London in which to find a hotel, let alone a good price for one. However, this Hilton is above the usual UK Hilton standard, and so merits its price tag. The location is great for Islington, and within walking distance (at a stretch, and not with heavy bags) of Kings Cross St Pancras. Clean and comfortable, with friendly staff - would stay again.	
May 21 2008 	Great hotel	Great hotel not as good as the Hilton can be, be still a great hotel in a good location.	
Apr 29 2008 	Great Location Comfy Room	We stayed at the Hilton for three nights during a quick visit to London. I was a bit apprehensive about the location because I won this hotel on Priceline for $90 per night, but we were pleasantly pleased with the location and the room. The hotel is a five minute walk from Angel station, which is convenient to most of London (one stop from King's Cross/Pancras, which is a larger station.)Our room, #233, was a non-smoking room with a very comfortable bed and well-appointed bathroom. Very quiet and enjoyable. The window overlooked a courtyard but we weren't there to spend time at the hotel. Like most major chains, breakfast is not included. Sadly, the hotel did not have a gym and to use a nearby facility (down Essex Street, a three-minute walk) incurred a charge, even though they gave Hilton guests a 5 pound reduction.The location is actually superb....there is everything you need in the area from a Marks &amp; Spencer to great restaurants to even a Borders and Starbucks. In a little outdoor mall area there is even a Sushi Yo! and a Wagamama, which is an amazing restaurant with great food.The one thing we found troubling was that to use the phone in the room would require a 2-pound connection charge each time we dialed out, including toll-free numbers. For some reason, we could not access the toll-free number from the phones in the lobby but one of the managers was kind enough to allow us to use the concierge's line. What a lifesaver as we were desperate to let family back home know we arrived safely. When we asked a receptionist (Amy) for permission to use the concierge line before our departure, she sadly would not give us permission to do so. Fortunately, we found a famous red phone book on the main street and were able to call home.We were certainly stay here again. The housekeeping staff was very helpful and accommodating.	
Apr 26 2008	Aside from a broken toilet a good stay	This review is based on a four-night business stay. My rate included the breakfast, which was very good and worth the price.Considering this is London, the room was relatively large. I think my room may have been bigger than average because I was in a corner of the hallway. If memory serves me right, this was called a &quot;Club Room.&quot; I'd advise asking for one when you book, since this gives you a more comfortable feel. The room amenities were fine, although Internet access was rather expensive.The one problem with my room was that the toilet would not flush at all. I reported it broken the first day. On the second day, I could tell it had been repaired, however, it still had trouble flushing consistently. I eventually figured out how to work it, but it was a pain.As for location, this is a nice area with tons of eating options. There are plenty of Indian, Thai and Italian restaurants within a very short walk. You are also close to the tube &quot;Angel&quot; station, which I'd advise for a faster, cheaper trip to/from Heathrow.Also, keep in mind there is no fitness room with this hotel. They will send you to another location at an extra charge.But aside from the broken toilet, this was a great stay.	
Apr 8 2008 	Nice Hotel - good location	Just back from a weekend in London. Stayed at the Hilton Islington for two nights. Got a great rate with Londontown.com. Hotel is in a great location. Around 3 minutes walk to Angel tube station (even tho it was closed last weekend for maintenance) and Kings Cross station.Located right on the main st with loads of restaurants and bars in the immediate facinity.The rooms were nice, newly refurbished. The bathrooms were ok. Just what you want when your not spending alot of time in the room.Overall i would recommend this hotel as a good base. Staff were extreamly helpful and friendly.Not a four star standard, but for the rate i got and its location it was a great deal.	
Apr 4 2008 	One Of The Best	This was one of the best hotels I have stayed in! Travelled to London to see Arsenal play newcastle and stayed on the 29th Jan 08. Not one problem with the hotel as it was clean, had very helpful staff, breakfast was good and the fact they let me try full halfs of lager before i purchased full pints. Room was very modern LCD tv's lovely furniture etc... I would definatly recommend this hotel to eveyone from tourists to corperate personnel. Some very nice places to eat nearby. exit the hotel access road to the left and try the Masala Zone (obviously indian grub) it had a great selection on the menu and all the meals myself and friends had were very tasty indeed.Hope this changes people's opinion of this hotel.P.s Arsenal won which was a bonus!!!	
Mar 25 2008 	Great Hotel	Booked the room at hilton.com Got a good rate which included 1 breakfast and 1 dinner. The room size was good, which included a flat screen tv, desk, chair. The bed could have been more comfortable but it did the job. We requested foam pillows and they were there when we arrived. The room also included a bottle of still and sparkling water. Not sure if this is free for everyone of b/c we are hilton honor memebers. They also left shortbread cookies each day. The bathroom was a very nice size with nice toiletries. We were on the 3rd floor with a nice view of the street. The staff was excellent. We missed the breakfast b/c we missed our wake up call and the manager sent up coffee, juice and pastries. Overall we would stay here again without a doubt as long as we got a good deal. This hotel was expensive but worth it.	
Feb 25 2008 	OK but not the best	My husband and I stayed here for locality to Fifteen restaurant for birthday surprise.The good first:Great shower,seperate controllable power and temperature. Big shower enclosure.Crabtree &amp; Evelyn comp products. 2 double beds (more like large singles),clean white linens and duvets.Large flat screen tv,tea/coffee etc + kettle.Digital alarm clock.Wired internet in room £15 inclu vat for 24hrs. Wireless internet in lobby (buy vouchers in reception..Now the bad:He had booked a smoking room and this was very obvious when entering the room,it absolutly stank of old cigarette smoke,cant quite understand this as have stayed in many smoking rooms and no smell noticable to me and i am a smoker! This was made worse by the fact that the window didn't open!The view from the window was of a rubbish strewn alley and back of houses.My husband had breakfast and he said:Clean,tidy, efficient service.Buffet breakfast, tea,coffee,table service.Good variety of foods and all fresh cooked.Yoghurts,fruit,selection of breads,cheeses,cereals and full english as well.	
Feb 15 2008 	Quick trip to London	My fiance surprised me with a birthday trip to London. We found the hotel to very nice overall. It is right in the heart of Islington, just a 5 minute walk from Angel tube station. We didn't have breakfast in the hotel, but accross the road there is a nice funky cafe with serve great breakfast. The are lots of bars and restaurants nearby the hotel also. The room was modern and very clean.	
Feb 8 2008 	Good value base	This hotel is well located for both the financial district and other central London areas as it is close to the Angel tube station that is just a few minutes walk away.The hotel itself is clean and comfortable and my bedroom was a good size, although the furnishings were nothing special. The room could benefit from a more comfortable easy chair but as my stay was only one night this wasn't an issue. There was some noise from water pipes which disturbed my sleep; perhaps I was just unlucky with my room. Service was quick and efficient but nothing more.There are seemingly endless restaurants and bars in the locality, all within walking distance. There's also a shopping centre between the hotel and the Angel station.All in all this was a good value stay for the rate paid given the prices of similar hotels in London.	
Jan 23 2008 	Clean Hotel in City Location	Clean room, fairly spacious for a short stay. Flat screen tv with limited choice of channels. Comfortable bed with white linen. tea/coffee facilities in room along with iron and ironing board. On the negative side the towels were thin, the loo roll was single ply as was the insulation between rooms! Bedroom window did not open and the room had an unpleasant odour. Shower was a disgrace, with a dribble of water and did not give a refreshing start to the day. No traffic noise, close to Angel for the London Underground and bus routes into the city. At £135 room only I won't be rushing back.	
Jan 15 2008 	Great location nice staff lovely hotel	The Hilton London Islington Hotel is located in an excellent location. Hotel is a short walk from the Angel Tube Station on the Northern Line. There are numerous nice bars, restaurants and cafes on the same street as the hotel. Hotel has a nice restaurant and small bar. Staff are lovely and room was more than adequate.	
Dec 31 2007 	OK hotel but extras very expensive	Stayed overnight Saturday to Sunday. Check in was easy and rooms were fine for 1 night although the lighting was very poor and very little light from windows. Bathroom speaker from the radio didn't work and curtains wouldn't close. We were offered buffet breakfast at £17 not including coffee/tea which seems a lot for a self-service offering so we passed. There's car park under the hotel and while I don't blame the Hilton for the charges (it doesn't belong to them) we felt that £42.20 for not much more than overnight was well over the top.I'd go back there if we got the great rate through Hotwire but next time we won't bring the car!	
Dec 27 2007	Nice Hotel Good neighborhood	This is a great hotel. Very comfortable bed. Nice, clean room. Staff was helpful with info on how to get around by tube. The restaurant has good coffee. Felt like a 5 star. The hotel is located a couple of blocks from the Angel tube stop on the Northern line. Easy walk from the station. It is located in a good area with a mall, small shops and a Union Burger (good burgers) right across the street. I would stay here again for sure.	
Dec 21 2007 	Great location for London stay	We stayed at the Hilton Islington for 10 days prior to a cruise. The location is an easy 5-7 minute walk to the Angel Tube station and a 3-5 minute walk to the major bus stops. The hotel rooms are the largest rooms we have ever stayed in while visiting the UK. The bath room was very modern and had a speaker from the tv as well. The room included an ironing board and hair dryer. The rooms have internet access, but we did not take a laptop so had to rely on the computer downstairs at 3 pounds for 15 minutes. We got a great rate on hotwire and would certainly recommend this location to those who don't &quot;need&quot; to stay in the heart of London. This is just 1.5 miles from St. Paul's Cathedral/the City area. We connected for most underground lines at King's X/St. Pancras or Euston. Getting around from here was very convient and easy. For those traveling through Heathrow, there is a ground level access/elevator 1 tube stop up (about 10-12 pounds via taxi) for the Picadilly line. This makes for easy and cheap transport to Heathrow.Tons of good places to eat, just a few steps outside the hotel. We certainly would stay again. For $99 US a night we felt like we had a great find.	
Dec 20 2007 	Comfortable hotel	I stayed at the Hilton London Islington for work. Nice location, surrounded by great restaurants and pubs. The rooms are large - pretty comfortable. Internet not included and pretty expensive approx. $30 for a 24-hr period. Not convenient if you are here for business. Staff friendly enough. Overall a good hotel.	
Dec 1 2007	good location	I'm in the hotel right now. good hotel in a good location for local bars etc, but the standards were not great- if I had got a better deal I would have been happier	
Nov 5 2007 	Could not fault this hotel	We stayed at the Hilton Islington after booking it via LastMinute.com through their Top Secret Hotels deal. A total bargain at £63 p.n for a double room.Although before checkout you don't know the name of the hotel, it's easy to figure it out from the reviews :)Anyway, the hotel was lovely and i honestly could not fault one thing about it.Just a couple of minutes walk from Angel Tube station and there are loads of really nice restaurants and pubs on Upper Street (just across the road from the hotel)The room was a really good size and had all of the necessary amenities (including a flat screen tv, iron/ironing board etc) Lovely big bed and it was comfy too !!We didn't bother with breakfast as at £17.50 p.p it was a bit too much. We'd stay at the Hilton again without a doubt.	
Oct 30 2007 	No way is this 4 star.	This is not a 4 star hotel - It has no amenties such as pool, gym &amp; minibar (or fridge) - the only vending machine that worked was on a different floor &amp; charged minibar prices (without the convenience. While the room was large, comfortable &amp; clean, it is lacking in some areas. The beds are very springy. There isn't a powerpoint to plug your laptop etc at the desk without climbing under the desk. I asked for an extension cord, but they didn't have one. The clock is nowhere near the bed, so the snooze function is next to useless. The water pressure in the shower was very low.Prices charged for communications are astronomical. GBP 15 for 24hrs of internet. I only needed short periods to check email. Phone calls to Australia are GBP 8 per minute. Hilton is gouging with these prices esp. given the level of quality. Luckily this time I had an office to go to. Hilton should realise that people just don't use these facilities at all and go elsewhere. It leaves a very bad taste in your mouth.The staff were friendly enough, just not very helpful.The location is fantastic. Five minutes from Angel. The restaurants and pubs are lively and inexpensive. I ate at Le Mercury and dinner (Crayfish Ravioli, Chicken with Lentils, a cocktail and a glass of wine) came to less than GBP 20.00. The food was great. There is also a Sainsbury, unfortunately, there is no fridge in the room to put anything.I got a good buy on Priceline (USD 87.00 per night) but overall came away feeling that people only stay there when they can get a room at a high discount. Again it is not a 4 star hotel - lucky to be a 3, given the lack of amenities.	
Oct 1 2007 	Excellent value and rooms great location	A true priceline bargain at £45 for a one-night stay - one of the best four-star deals I've ever had.Location: at the Angel end of Upper Street (a few minutes' walk from the Tube), near the Business Design Centre. Upper Street gets a bit posher as it heads North but there are endless restaurants, pubs etc. as you head up there or Essex Road.Decor: nice subdued lobby, modern and unobtrusive decor in the room, but the corridors had unbelievable shrieking orange carpet and exposed brick, very seventies and clashing with the low-key elegance of the rooms.Rooms: Big, comfortable, good bed, LCD television (with a rather paltry selection of channels, but including some European ones). Tea and coffee making facilities, no mini-bar. Good-sized bathroom with above-average shower. Excellent standard of cleanliness. Ice machine on each floor (and vending machine for 'essentials' but this was empty).Didn't try the hotel bar or restaurant, both certainly looked at least adequate.A bit of a characterless hotel, certainly comfortable enough, a businessy rather than a touristy atmosphere, but extremely convenient for most areas of interest in London (5 minutes by Tube from King's Cross) and in a vibrant area. Recommended.	
Sep 30 2007 	Good stay at convenient location	Great Location, helpful staff. Got a great deal on Hotwire!Internet not included, but that is standard in Europe. Only a few blocks from the tube. Very safe. Nice room, updated hotel, very modern.	
Sep 16 2007 	Loved the area	Booked a late deal and proved excellent value for money. The room was spacious and very clean. Islington is a great area with lots of bars, cafes and restaurants to choose from and reasonably priced. Recommended.	
Sep 9 2007 	My new fav hotel in London	Stayed at Hilton Islington Aug 23rd and 24thTook the first capital connect from gatwick to kingscross and a cab to the hotel.Hilton Islington is tucked away in the corner from a street full of shops, boutiques, bars really a great areaThere’s a wine/liquor store on the corner and Sainsbury grocery store and a starbucks all less than 5 minutes walk from the hotelThe hotel room was small but adequate and clean, plasma TV, no tub standup shower, low pressure water in sink but shower was great. Don’t use the ice machine there was SLIME, anyone from Houston Texas knows Marvin Zindler God rest his soul we learn to investigate the ice machine lol. The staff was very friendly however they didn’t give me my Hilton honors points because I booked via hotwire.All in all i loved this hotel, clean comfortable great price awesome location.	
Sep 5 2007 	Overall a great stay	We booked this hotel on Hotwire, and for less than $100 USD a night, were very, very pleased with what we got. The hotel is a 3-5 minute walk from the Angel tube station, surrounded by places to eat, shops, and grocery stores. The room was spacious and clean.There was one unpleasant incident with the hot water not working our first morning there--the hotel had it fixed within the day, and we did receive an apology note. We also had one unpleasant run in with a member of the housekeeping staff, who didn't appreciate that on our one day to sleep in on our vacation we actually had slept in (we left the hotel at about 10:30, as opposed to 8:30), and subsequently interrupted her cleaning schedule. After huffing her displeasure and asking when she might come back to clean the room, she never bothered. But we didn't consider that reflective of the hotel, just of that one particular staff member.The front desk staff were helpful and polite. Again, for the price we paid for this hotel, we have no complaints whatsoever. It was a very nice stay.	
Aug 25 2007 	Very Nice	Was here from 21 - 23 August 2007. Well treated and given a free upgrade with breakfast !! Enjoyed the local area and as previously stated not too far from central London by Tube.Staff very pleasant and rooms clean and tidy with new flatscreen TV's. Like to move about however, this is a nice hotel and I can recommend it as long as you do not want to be in central London.	
