	Excellent Hotel in a great location	After much research I chose to stay at the K&amp;K while in London on business and sightseeing and I was not disappointed. The location is roughly 150 yards from the Earl's Court tube station. I relied heavily on mass transportation on this trip. The ExCel convention center is a bit of a trip and takes a little over an hour to reach but the South Kensington area is so much nice than the area around ExCel. I also used the train system for a number of trips to meet with clients. The connections into Victoria and several other stations were all very easy from the Earl's Court tube station.It is quiet. The hotel is a block off the main drag. In addition, you can get a room that overlooks a courtyard. There was minimal noise from the city or from within the hotel.The room was small (typical for Europe) but well designed. The internet was free (although they do not have wifi to all rooms so you may need to connect via cable).The bed was comfortable and the bedding new.The bath is well designed with plenty of light.The staff was very attentive. We were on their case early as a package had not arrived as scheduled. They dealt with our concerns professionally and notified us promptly when it arrived. When they learned that we were also scheduled to stay at a sister hotel in Paris they phoned ahead, confirming our reservation and ensuring that we were well cared for. A class act!I really enjoy the hotel location. There are a wide range of restaurants just a few feet from the hotel. We did not use the restaurant at the hotel but it looked clean and was very active in the mornings.I will stay at this at the Hotel George again.	
Apr 16 2009 	This is a very nice reasonably priced place to stay in London	My wife and I selected the K&amp;K Hotel George based on the reviews here on TripAdvisor and we were not disappointed. This is an excellent hotel. The room was average sized for London but the appointments were what made it standout. Fastidiously clean with free broadband in the room, a nice fruit bowl upon arrival, ample closet space, a wide variety of television stations and a top-notch bathroom with modern fixtures, heated floor tiles and great water pressure made for an above average hotel experience at the price point.The breakfast buffet was outstanding with a wide variety foods to fit European or American sensibilities. Whether your taste runs toward the standard European fare of pastries, cold meats, cheeses, fish, boiled eggs, muesli and yogurt , the traditional English style of bacon, baked beans, poached eggs, baked tomatoes, and sauteed mushrooms or the hardy American scrambled eggs, bacon, hash browns, and toast, this buffet will be just what you need to start your day. Add to it a glass or two of complimentary champagne, a variety of juices and an excellent cup of coffee or tea and you may wonder whether or not you really want to leave the hotel.As for the greater hotel, the K&amp;K is one of the nicest, cleanest hotels in the immediate area. The location is excellent with easy access to the tube and bus lines, and a wide variety of restaurants in the area. The large garden area is lovely and relaxing with several benches and tables around the lawn and a few more hidden away in intimate niches. There is also a cocktail bar which is open during the afternoon/evening hours. The only criticism I have is that the front desk seemed a bit understaffed as high volume of customers dropping off or picking up their room keys often caused queues to form. Overall, the K&amp;K Hotel George is a great hotel and I will definitely stay there again on my next trip to London.	
Apr 13 2009 	Wonderful hotel with great location	After reading the reviews we selected this hotel for our first trip to London. We went for our anniversary. The hotel is at a great location near the tube station at Earls Court. The staff was friendly and helpful. The room simple and clean. We loved the down cover on the bed although the bed was a little hard. The bathroom had heated tile floors which was wonderful. Nice towels. the view of the garden courtyard was beautiful and just starting to bloom. The breakfast was expensive and different than we expected but good. It had cerial, eggs, sausage, hash browns, cheese platter and fruit. It is cheeper to buy the breakfast at the hotel than with the package at orbitz we were glad to find out. The dining area looked out at the garden area. The free internet computers were helpful to look up information as we toured as well as e-mail. Hotel close to restaurants - we had Italian and Chinese. The bakery next to the tube entrance had great lemon poppyseed muffins.	
Apr 12 2009 	Great place to stay	My friend and I stayed here on our first trip to London and we loved our stay.True, the rooms are a little cozy (small), but we were only there to sleep and shower. We loved the breakfast, and everyone working there was very nice and helpful. The hairdryer in our room didn't work the first morning we were there, and there was a maintenance man there before I was even off the phone with the front desk. Exceptional service. They gave us great restaurant recommendations, directions to places, and booked a car for us for the ride back to Heathrow. We have absolutely no complaints.Also, we loved the location close to so many stores and restaurants, and close to Earl's Court Underground, which has 3 tube lines.I'd definitely stay at K+K again.	
Apr 10 2009 	Small and fluffy	After reading the good reviews, our expectations were set high. Looking back, they were not entirely met. We asked for one bed, not two twin pushed together. We had a verys mall bathroom with only one small washer, almost impossible to be with two persons in the bathroom. And fluffy ! Very fluffy, especially the new towels that left fluffy traces all over you and we were not the only ones, because while waiting at the buffet, we saw other people with traces of white fluf in their faces. Also when we arrived the safe was not working. We reported it on saterday immediatly after check-in and because new batteries didn't help either, it was only repaired during tuesday....	
Apr 8 2009 	Brilliant stay at a lovely hotel!	This hotel is simply brilliant in my opinion, from check in to check out everything was perfect. I was given one of the top floor rooms overlooking the road which was lovely, like other people have said the rooms are a bit small but perfectly formed and the bathroom was bigger than I expected. The breakfast was also a very good part of the stay, plently of selection and availability. The hotels additional features such as the computer terminals are very useful, they do get busy. The bar area is very fresh and appealing and gives a very nice atmosphere from the minute you set foot in the hotel. As other people have said about leaving the key at reception, in my opinion it is not only practical but acceptable from the hotel. The key is a fairly large rectangle with your room number on and a green circle, this is the bit that unlocks the door. The keys are not like other hotels which are simple credit card style cards. Also I never had to wait to collect my key so having peace of mind that I wasnt going to loose it was an added bonus!If you are looking for a hotel in this budget area and in London go for it, I certainly will be returning in the near future!!	
Mar 28 2009 	Great Place to Stay	Great location. Clean. Great Staff. Rooms are a bit small but well appointed.	
Mar 22 2009 	Excellent location and greatly accommodating staff	This hotel was very clean and inviting. The staff was excellent, and a wonderful resource for us. The location is only about two blocks from the tube and in a very safe area where we found many nice restaurants and pubs. The breakfast buffet was excellent. We had a very pleasant stay and would highly recommend this hotel.	
Mar 18 2009 	Fabulous location	We stayed at this hotel for two nights in mid-March. The location couldn't be better - so close to the tube station and surrounded by quaint homes. We were a little surprised that the hotel had more TV stations in German than in English - and the front desk staff all appeared to be German - so I would assume that this hotel specifies in accommodating German travellers more so than others. Having said that, we weren't in London to watch TV or chat with the front desk staff so it didn't really matter. The room was quite basic - tiny, but that's not surprising in Europe.We were thrilled with the location - would definitely stay again.	
Mar 16 2009	great location and value	My daughter and I just got back from a week at the K&amp;K hotel George normally we stay at an Embassy Suites or a Hilton Hotel, but Overall we liked the hotel. I have read some of the complaints and I can see where some things could be a problem. Yes they do ask for you to leave the room key at the front desk, but I don't thing its mandatory. We left it because the key is rather large and we didn't want to have to carry it around. Our bathroom had heated floors which we loved, but no tub. the shower was really nice and new and I had no problem with the water in the shower. Our sheets were new and clean and didn't have any holes. The beds were hard but I'm use to sleeping on a sleep comfort air bed, so I knew that the bed would be a problem for me. I put an extra blanket down on the bed to help give extra padding which worked great. I also took a battery operated sound machine to block out other people slamming doors and talking in the hall. Our flight got into London at 7am and we took the subway to the hotel which was really easy. We were in the hotel by 7:40. I knew our room wouldn't be ready but they held our bags and gave us free breakfast before we even checked in. I gave them the voucher from British airways and they kept it and I had no problem checking out. In fact I made a few local calls in the room and they were free and one 5 minute call back home in the USA and my total bill wasn't even two pounds.I agree that the cleaning of our room was a little less each day we were there, but I have to admit that I never left a tip, but I do keep things picked up and really only need a fresh towel. There was always plenty of toilet paper and shampoo. We left the room everyday by 9am and didn't come back till 5pm and the room was always cleaned by then. We left the service card on the doorknob each morning so that she would know that we were gone. The staff at the front desk seemed pleasant each time I went to ask a questions but I never really had much conversation with them. There was a mini bar but we put there stuff aside and put our own pop and water and fruit in the fridge. We used the electric kettle to make tea and hot chocolate in the room which worked great!! Having a few mini marts close by and a larger market Tesco nearby was great for getting snacks and the underground was only a block and half away. Also a good pizza place and bakery is nearby. There are other places to eat that looked good but we didn't get a chance to try them.The tv really is awful for the channels, but most hotels I've been in have about the same programming. They want you to be out spending money not in the room watching tv, so the only english channels was a cnn and a local news and my daughter found a channel or two that showed some older movies that she liked. We actually started laughing at some of the shows on the foreign channels.	
Mar 12 2009 	A Big Disappointment	Do you like bed bugs? Beds so hard your 29-year-old hip gets bruised? What about intermittenly out-of-service elevators? Do you like having to leave your room key with hotel staff everytime you venture off into the City because they're paranoid you're going to lose it since it has a room number on it? If so, you'll love the K+K! The location of this hotel is fabulous, a short walk to the Earl's Court tube, and the rooms look nice....at first, but there are many problems, namely of which is the front desk staff. From the minute we walked in there were problems. We were told that our room was not ready at and they did not know when it would be - they &quot;hoped&quot; that it would be ready at check-in (only a half hour away), but they weren't sure. To be fair, the breakfast was a nice touch and with the exception of the front desk, all staff were friendly. The view from the hotel was nice, and the location is quite convenient. Unfortunately, while the hotel appears clean, it is more appearance than anything (our sheets had holes in them, even), and the maid service gets gradually worse the longer your stay. Towels were not replaced, and toiletries were left waning. (Also, note that while the hotel provides shampoo and shower gel, there is no conditioner. Beware if you have long hair and want to avoid a tangly mess). They also took their sweet time cleaning the rooms, waiting until 4:00 pm some days. Water pressure in the shower is spotty at best, and temperature control can be difficult. They were stingy with toilet paper , often leaving just a partial roll, and the TV has more channels in German than English. The hotel does not deliver what it advertised - not that I care a ton about heated floors and towel racks, but they were definitely in absence. Despite this, I would have considered staying here again in a pinch, but the last straw was the check-out. Staff were tremendously rude, requesting a voucher from a third-party vendor we booked through, even though we pre-paid for the booking and showed them the voucher at check-in (it was a British Airways voucher). They literally wanted me to go through my bags and delay my journey to the airport for a document they should have requested at check-in a week earlier . (We offered them the voucher, and they gave it back to us so go figure...) They also told us that we had taken items from the mini-bar when we most definitely had not. This is always my worst fear with a mini bar - the staff seemed to indicate that we would not be charged, but I'm still checking my credit card to make sure. This hotel falls short of what it wants you to think it is. The stresses of the staff interaction marred our stay , and I would recommend staying elsewhere.	
Mar 12 2009 	So Happy With This Hotel	We just returned having spent 6 nights and are both very impressed with every aspect of this hotel. The friendly and efficient staff, the great breakfast buffet, the comfortable room and free access to the Internet and printing are only some of the reasons why we will return again and again.For travelers who have not stayed in hotels in London please note, rooms may be much smaller than you may be used to. We upgraded to an executive suite on the 5th floor facing the beautiful (even in March) garden and were really happy with that decision. The room was comfortable, well appointed and very quiet. As an added bonus, the bathroom had heated floors and a towel warmer.The hotel appears to attract business people as well tourists (couples in some sort of capacity) not traveling with young children. This would make sense as I would not consider the hotel or it’s surroundings particularly child friendly. The hotel is on a very quiet street and is less than a 5 minute walk from the bustle of Earl’s Court Station. Anyone flying into Heathrow is strongly advised to save money and take the 40 minute tube ride for 3.20.You can access both the District (green) line and the Piccadilly (Blue) from Earl’s Court. Please note that the District line is currently closed at weekends for track work so the Piccadilly trains can be more crowded. This is a small price to pay for a 15 minute ride into central London.Please be aware that the hotel charges a 50 pound charge for early check in. We booked through British Airways so it came as a surprise to us when we arrived to find out that we would have to pay to check in at 9 or come back at 3. We chose the latter option, checked our bags and spent a wonderful morning walking through the Victorian Brompton Cemetery and an afternoon wondering the streets of South Kensington and Chelsea.Typical of our London trips, we did a lot. 3 highlights were a self guided walk through the winding and hilly streets of Hampstead (Go for a pint and or something to eat at the charming The Holly Bush), a tour of Apsley House and seeing a great production of La Cage Aux Folles.	
Mar 3 2009 	OK hotel great location	We stayed 3 nights prior to sailing the Queen Mary back to New York. The check in went smoothly and the front desk staff was very helpfull to 2 very jet lagged ladies. We were given a room on the top floor that seemed smaller than the rooms on the lower floors that I peeked into. Breakfast was OK but never changed and after 3 days got a little boring. I loved the free internet in the lobby, was able to check my email. The Earls court district was wonderful. I felt safe and there were plenty of restaurants and shops to choose from. My only complaint was the size of the room, when we checked into the Queen Mary our inside stateroom seemed larger!	
Mar 2 2009 	Lovely hotel in a quiet location	We stayed for a Saturday night at the end of February and were impressed. The welcome was friendly and efficient, and the &quot;classic&quot; room, although a little small, was clean, well furnished, and looked out over the garden at the rear. We were given vouchers for a complementary drink in the bar. The buffet breakfast was of a high standard, and even included champagne.If your looking for a nice place to stay near Earls Court or Kensington, this is it.	
Mar 1 2009 	This hotel made business a pleasure everything was perfect	From the welcoming staff to the cleanliness of the rooms, the breakfast and the location, this hotel was excellent in every way.	
Feb 26 2009 	Excellent Value	We stayed here last week, based on the positive reviews that I had read on Tripadvisor. Our experience was excellent. The rooms are newly renovated and very clean and comfortable. They might be on the small side, but I have stayed in smaller in London before. You are probably not going to get much bigger in this price range. The pictures on the website and those posted here are all exactly how it is. A huge plus is the breakfast...there was nothing missing from the buffet, which included 3 different eggs, bacon sausage, potato, grilled tomato, grilled mushrooms, baked beans, breads, croissants, rolls, crackers, cheeses, slices meat, smoked salmon, jams, honey, nutella, 4 fresh juices, cereals with various toppings you could add, fresh sliced fruit, prunes, canned variety of fruits and yogurts. Another perk of this hotel is free WiFi in all the rooms and they have 5 computers with Internet for the use of guests. You will have a very comfortable stay here and it is one block from the Earl's Court Tube, which is on the Picadilly line, 40 minutes from the airport.	
Feb 26 2009 	A very comfortable stay - recommended (if this is a good location for you)	We are big fans of K&amp;K hotels, having stayed in and loved their hotels in Vienna and Paris. This was our first time at the George - we stayed 8 nights in February with their 'Winter Shopping' deal, giving us an executive room with breakfast for 2 for about 135 sterling per night - really good value for London I think.The room was not enormous (in London you have to pay fortunes for big rooms) but spacious enough and very comfortable. Excellent big double bed, we slept well. New widescreen TV. Good bathroom (though a little small).Breakfast was very good and the service from the waitresses was first class - a highlight.Location is good in that it's 3 minutes from the tube station and the Piccadilly and Central/District lines. Close to Kensington and museums but 20 minutes into central London so if you're planning to spend most of your time in the West End/Covent Garden (etc) then this might not be so good. In terms of location, it's in a very quiet street so there's little or no noise or hassle. There are restaurants nearby in Earl's Court Road but nothing spectacular and (be warned!) you'll get nothing after 11 pm except a Big Mac - astonishing for a cosmopolitan city, but we came back from the Opera on Friday night and ended up eating at odious McDonald's because there was, simply, nothing else at 23.15.Anyway - the hotel. Overall a good experience and we can recommend the hotel's comfort and service (reception was pleasant and efficient too, and we were looked after before our arrival too, by email). All fittings and furnishings are new, modern and very tasteful.One problem was the following: our room was 105 (1st floor) and immediately outside the window was one of the spotlights used to illuminate the facade of the hotel. We felt this would not be a problem because, surely, in this 'global warming' day and age, the lights would be switched off? No, only at 7 am. So energy being wasted and a beam of light being directed into an executive room - odd, really, to say the least. And it was not at all easy to adjust the curtains to keep the light out. Will write to the hotel separately about this.	
Jan 14 2009 	A pleasant stay	We stayed 5 nights at the K&amp;K Hotel George and thoroughly enjoyed it. Our room overlooked the charming garden at the rear of the hotel. Although not particularly large, the room was perfectly adequate for our needs and was clean, comfortable, well-maintained and the decoration was in good order. The bathroom had a shower only (no bath), but that suited us and there was a good range of complimentary toiletries which was renewed daily. One slight niggle - the granite floor of the shower cubicle could become rather slippery in use and there's no handrail, so best to be careful. The hotel is well-situated, in a quiet street, very close to Earls Court tube station, just a few minutes walk away. There is a good range of restaurants and local shops nearby too. We found the staff helpful and friendly. The buffet breakfast is very good indeed, with a great variety of both cold and hot food. All in all, a very pleasant stay in a very pleasant hotel.	
Jan 12 2009 	Nice hotelstaffroomand experience	I booked the K+K George through BA Holidays online and got 2 nights in a triple room with breakfast included for about $255.00per night(all taxes,etc. included)...could have had it even quite a bot cheaper had I waited to book,but.... The hotel staff was efficient if a bit stiff(mostly Eastern Europeanladies I recall),but other than that it was a worthwhile stay. Room was not big but held 3 people(2 large adults) well enough. Room was clean and not lacking the amenities. We had free wifi internet access from the room which we took advantage of. Also, at check in we were given a voucher good for 1 free beverage each at the hotel bar!..large selection of foreign,free newspapersawaits near the dining room entrance,but go early to get one.Breakfast was very good and the staff(once again,nearly all eastern European ladies) were very attentive and courteous. Easy access to the hotel from Heathrow on the undergroundto the Earl's Court station. Hotel only a block and 1/2 away fromthe Underground station.Overall, it exceeded my expectations and I would both stay again and recommend this hotel to others.P.S. Only about 2 or 3 street corners from the hotel(on a smalllane..(Hagood lane, I believe) off of Earls Court,there is a very good and reasonably priced French restaurant aply named &quot;the small French restaurant&quot; . WE had the special fixe prix dinner special for 3 persons, and with tax and tip it came to about 55 pounds. The food was superb and worth the slow service. At least the staff didn't rush us out..if you find this place, do eat there!....	
Jan 10 2009 	our favourite London hotel	We've now stayed here 3 times &amp; never been disappointed. We were upgraded this time &amp; can begin to see the benefits of the improvements that were going on throughout 2008. Some renovation work is still going on but it didn't intrude upon our stay at all.The staff are always friendly &amp; solicitous without being obsequious.The rooms are clean, neat &amp; tidy but probably not geared for a long stay.The bar is very comfortable &amp; there is no pressure to buy drinks.The breakfast area can get a bit crowded at the weekend but the staff are efficient at making sure nothing runs short &amp; if it does soon look to replace it.	
Dec 21 2008 	Great Location!	We stayed for a week. Had a great experience. Got there early and were able to get in our room (we weren't sure if we would be able to). The location was great. Tube station a couple blocks away.Front desk was very helpful. Whenever you called for something it was there in less than 5 minutes.	
Dec 21 2008 	Disappointing	I picked this hotel after seeing the generally positive reviews on Tripadvisor, but either we were unlucky, or the hotel is not exactly of the standard suggested.We arrived at just after 1pm for a 6 night stay and were told that there was no way our room could be ready prior to 2pm as that is the check-in time. As that is their stated time on their website, not too much of a complaint from me.We left our bags in the lobby and went out and returned later. I was assured the bags would be delivered to the room, but after waiting for 30 minutes I went back to the lobby and collected all but two bags myself, and the receptionist apologised saying she had forgotten to send the bags up. One of our bags duly arrived and I had to send the porter back for the second one as he had not been told there were two bags.As stated on other reviews, the rooms are pretty small, but I suppose normal for London.Breakfast was good with a variety of choice. They make a big thing on their website about offering champagne with breakfast. for me, it's a bit of a novelty, but after sampling it on the first day we didn't bother.My biggest complaint is about the room service. As is common in English hotels they provide tea and coffee in the rooms and a kettle. For four nights in a row they did not replenish our supply of tea or milk and I had to go to reception and to the bar to get tea bags and milk. I expect a four star hotel to do better than this!Our room was also not cleaned properly and we returned at 5-30pm one day to find it had not been cleaned at all and the bed was still unmade. I complained to reception and, to be fair, they did send the room service supervisor to my room straight away. She checked the general cleanliness of the room after the maid had visited and she was not happy with it. The location of the hotel is not too bad being around 15 minutes or so from central London on the tube.I have to say that I would not stay here again and I think the hotel is vastly overpriced for the poor quality of service that they give.	
Dec 18 2008 	not bad	We just stayed at the Hotel George for 2 nights and were satisfied.However we were not as lucky as the previous reviewer, we arrived early and I was not feeling well, but we had to wait for our room, even though the hotel was not fully booked.Our room at the back was quiet, but as said rather small, clean and ok beds. But the bathroom was built for ini mini. I am not tall, but no way I fitted in the bath. If you use the toilet, you will flush the toilet when trying to reach for the toiletpaper! Also the hallway is extremely narrow, and if housekeeping are in the corridor, it's completely blocked. Bit scary.The personnel is friendly, they provide bathrobes and slippers if you want to use the sauna.Breakfast elaborate and good. So apart from size, and that's always a problem in London they try to get in too many rooms on 1 floor, a good place to stay in nice neighbourhood, good public transport	
Dec 15 2008 	Loved the Hotel George	This is our second time at the hotel and we had a wonderful experience. The staff is very helpful and pleasant. We arrived way before check-in time, and yet they had a room available to us. As a matter of fact, I believe they upgraded our room to an executive-type suite!This hotel is very close to the tube station in Earl's Court as well, which was very good for us. Also there are tons of great restaurants within walking distance. However, if you want to stay in the hotel for dinner, we recommend the beef fillet. It was excellent.Overall a smashing place! Highly recommended!	
Dec 13 2008 	Very pleasant stay	I had stayed at this hotel before when my company had booked it for me. So when we decided to go to London with my boyfriend, I booked this hotel with no hesitation. There were no disappointments to my stay. The staff was very helpful and kind. They helped with our train tickets to Manchester. Room service was the fastest I've ever experienced. Free internet access on the computers in the lobby is an excellent service, especially in a place like London. Breakfast was very satisfying especially with long hours of service.If you are planning to use the tube heavily, Earl's Court is a great station to have access to different lines and it is only 2 minutes' walking distance. The rooms are very modern and nicely decorated. The only downside is that they are a little bit small. We had booked an executive room and I really wondered what a standard room would look like. Especially the bathroom is quite small. But I guess this also holds true for many London hotels. The exterior of the hotel has a stunning view at nights!I think this hotel is great value for what it has to offer. Don't hesitate...	
Dec 12 2008 	Good Hotel	Stayed here for 2 nights for a city trip.Location is perfect, just 1 minute walk to the Earl's Court tube station.As stated here before, the rooms are a bit (10-20%) smaller than the basic US standard. However, the rooms are very clean and the service of the staff is excellent.The hotel got 5 free computers to use.	
Dec 11 2008 	Fantastic Hotel	This was the first time that I had stayed in a hotel in London and I can say that I was happy that I chose this hotel. The hotel staff were fantastic and allowed me to check in early which was good as I was going to a wedding and needed to change.Unfortunately that weekend the circle and district line was down, a real pain if you need to get to Earls Court but reception advised me to take the bus to where I was going which I did.I had read that rooms in London were small and the room was bigger than expected and the bathroom really nice and I had good view of the garden. Breakfast was great, alot of choice and they serve it later on a Sunday. The hotel even looked after my bag as I had to do a Chrismas run before leaving London.The hotel has a gym, spa and a lovely garden but I didn't have the time to explore it all.Earls Court is a good base if you want to explore London, just make sure the circle and district line are working.	
Dec 2 2008 	Loved it!!	We stayed at this hotel for 2 nights in early November 08 after much deliberation as the choice in this part of London was vast. I'm pleased to report that we were not disappointed! The hotel has a very modern feel to it and the rooms have obviously been recently updated. The reception area is uncluttered and clean cut as well as unimposing. There are 2 lifts nearby that whisk you up to the desired floor, where the electronic door key (tricky at first) lets you into the small but perfectly formed room. The room we stayed in on the 3rd floor was contempory in style with an LCD tv and minibar at the end of the bed, pretty views out of the huge windows of the gardens below and gorgeous rich cotton bedding. The bathroom had a walk in shower and stainless steel fittings all of which gave a &quot;quality feel&quot;. As it was November the room was a little chilly at first however the this was easliy rectified with turn of the thermostat dial. It was especially quiet in the room (which we did specify when booking) and comfortable which provided for a good nights sleep.The staff were all polite and helpful and breakfast was of a good standard, a choice of full english or continental was on offer. There were 4 or 5 computers with internet access within the vicinity of the reception which was helpful when planning trips on the tube etc. Earls court tube station was only a 2 minute walk away as was cracking oriental restaurant just opposite the tube.This hotel is an ideal base for sight seeing and for the price we were pleasantly surprised.	
Nov 20 2008 	great location nice hotel	Having stayed at the K+K Cayre in Paris, we decided to try the Hotel George in London. Location is excellent, very easy to access anything in London since the Earl's Court tube station is a minute's walk away. Rooms are very clean and quiet, although of course much smaller than what you'd get in the US. Everything was immaculately made up by the staff, every day. Nice shower, comfortable bedlinens, and modern decor. Breakfast buffet was pretty good, lots of things to choose from. Very capable service, although the coffee tasted like mud! Nice, friendly hotel, excellent value for the price.	
Nov 15 2008 	A very pleasant place to stay	My fiancee and I stayed 3 nights for a short break in London. This was our 3rd stay at this hotel and if anything, it has improved. The room we had, a double on the 4th floor, was spotless on arrival and was kept immaculate throughout our stay by the friendly housekeeping staff. The bathroom had a large shower rather than a bath which we liked. A very important feature for us was the lovely breakfasts. A wide buffet choice is available including a beautifully cooked selection, cereals, juices, etc, etc. Sparkling wine was a novel, though in our case untried, inclusion! Five internet access stations are available free of charge, 1 in the lobby area, 4 on the lower ground floor. Very handy for getting info on what's on and travel options.The hotel itself is set back in a quiet street, away from the busy Earl's Court Road so traffic noise was not an issue. It's convenient for the tube (3 minutes walk) and for many bus routes serving the city centre. Oodles of pubs and eateries, including Thai, Chinese and Indian restaurants, are within a few minutes walk as well as several coffee houses and late-opening convenience stores.Overall, we'd highly recommend this hotel and will definitely stay again on our next visit to London.	
Nov 12 2008 	Nice hotel	We got a really nice deal by contacting the hotel directly with a city tour and afternoon tea (although the afternoon tea was really just some tea and cookies). The room was nice and clean and we had a baby but did not have any problem. The staffs were super helpful and the breakfast was nice. Our friends who lives in London also said they will recommend to their friends.	
Nov 12 2008	Might stay again.	This hotel was alright. As an American who had been to London before, the room was quite small as well as the halls and elevators. Upon arriving at the hotel about 9 AM their time, 4 AM our time and after an 8 hour flight, we surprisingly received our room key. But, after getting our luggage onto the elevator and squeezing down the hall, we found our room was in the process of being cleaned but the maid was no where to be found. As we waited the maid did appear and told us we needed to leave.This is when problems started: * When we booked our room, complimentary breakfast was included, so we didn't understand when it wasn't honored. The staff said you never get complimentary breakfast through travelocity and to eat in the hotel was ridiculously over priced.  *Wireless and DSL line internet never worked in the room (which was pretty aggravating when you have carried a laptop across the pond.) *Probably the most RIDICULOUS thing about this hotel is that every time you LEAVE the hotel you HAVE TO LEAVE YOUR KEY AT THE FRONT DESK. This means when you are trying to get back to your room, sometimes you have to wait in line up to 10-15 minutes just to get your room key. RIDICULOUS! *Our phone would not dial out and when I tried to tell the front desk they acted like I had been dialing out the wrong way until they finally sent someone up to fix it. *Beds were tiny and there wasn't even space between them.Even though I had some problems here, I would have to say that the staff was friendly and that the hotel was very clean. The bathroom was very nice and had really neat HEATED FLOORS! It was very close to the Earl's Court Tube stop and some great pubs.	
Nov 5 2008	Excellent Stay	Have just returned from a two night stay in London having been up to see Billy Elliott and the Byzantine Exhibition at the Royal Academy. We stayed for two nights in two rooms at the K+K Hotel George. Lets get the negatives over first, yes the rooms are not large, oh and perhaps I could add that I did not like the ergonomic keyboards on the computers!!The positives, oh where to start! Arrived very early, fast check in, very welcoming. Pointed in direction of complimentary tea’s and coffee, Initial impression suggests a very up to date hotel which is spotlessly clean. Left our luggage and spent rest of the day in and around London. Returned later in the evening, Luggage brought to room for us. Rooms a little on the small side yes, but very modern, extremely clean and very quiet especially at the back of the hotel which overlooks the gardens but be warned, you might just be woken up at around 8 a.m. by the birds singing in the garden!!The buffet style breakfast is available to 11 a.m. There was ample food which would suit most tastes. Staff again very polite and the service was excellent.There are some old fashioned things about this hotel! The complimentary newspapers, free fresh fruit available on the reception, local phone calls are free ringing the states costs 20p per minute, champagne with your breakfast, cleanliness and a sense of peace within the hotel. Internet connections are available in all rooms and it is free! If you do not have a laptop with you there are five terminals you can use without charge.The positive comments made about this hotel are well deserved. We thoroughly enjoyed our stay there and would definitely return should we be in London again. If you are looking to stay a little longer than us then one of the bigger rooms would be a good idea. If you are looking for a really good hotel though, this is a really good choice.We booked direct through the hotels website, we could not find a cheaper rate than there.	
Nov 1 2008 	a great stay in a fab hotel	We booked via lastminute.com and the hotel really lived up to expectations and the reviews. We had a triple room for a night which was clean, comfortable and well worth the money. Breakfast was buffet and avail from 6.30 to 11 so lots of flexibility there. It is a few minutes walk from Earls Court which was a perfect base for our 2 days in London. I would stay there again and recommend it to anyone.	
Oct 25 2008 	Best Deal I have found in London	At GBP 111 per night plus VAT for a double bedded room, including free WiFi and a full breakfast (with champagne!) I don't think you can beat this hotel.The rooms aren't huge, but they are certainly as large as most hotels in the central area of London which are anywhere close to this price and quality, and you also get the Internet service and breakfast included. The halls are narrow and the elevator creaks and groans, but who cares?!?! The staff are welcoming and friendly and the hotel is spotless.A short walk to the Earl's Court Tube station and the price performance of K+K Hotel George make it the best business deal in London that I have found.	
Oct 24 2008	what a wonderful place	It's a pearl in london-town. quiet, clean, nice rooms with very comfortable beds and bathroom. An excellent breakfast and a very friendly service.	
Oct 23 2008 	Very Nice quiet street and great neighborhood	Let me start my review by stating that the most important things to me in a hotel are the following: (in order of importance)1. cleanliness2. service and amenities3. location4. room sizeWe stayed in this hotel for two days as a stop over on our way to Ireland.This hotel was generally great. Very clean and comfortable. The location is really nice. It's a short walk to Earls Court tube stop and the area is filled with places to eat and shop. The hotel is on a quiet street and consequently very quiet. It has a beautiful garden in the back of the hotel which our room overlooked. I was staying there with my wife and 4 year old child. We had what they called a 'triple' in what was really 3 single beds in a room made for 2 beds. While it was a bit tight in the room, we didn't spend a lot of time in the room so it wasn't a big deal. The bathroom was also very small (even by European standards) but still functional as long as two people did not have to access it at the same time. The staff was very nice and very helpful to us as well. We chose the hotel based on good reviews on Tripadivsor and for the price. All in all it was a really nice stay. Would I stay here again...Definitely. If we were going to stay for a longer time, I would probably prefer a slightly larger room. Pros: Very Clean, great location, good serviceCons: A bit tight even by Euro standards.	
Oct 14 2008 	Quite nice!	The K+K Hotel George is a bit away from downtown but well worth the tube travel which whisks you away so easily and quickly. The room was quite small but very adequate for our stay. The staff was supportive, the facility clean and quiet, and the breakfast buffet excellent. The TripAdvisor ratings are well earned. I would stay again in a heartbeat.	
Oct 12 2008 	Good hotel base in London	We have never stayed in a hotel in this part of London before, imagining that it would be rather rough and noisy. K+K is a gem: tucked away on a quiet square with a restaurant opening onto a garden (not that the weather was good enough on our visit to make use of it). Spacious room, pleasant decor, very comfortable bed. We were able to walk to both the Royal Albert Hall for our evening concert, and to the South Ken museums; and there was a good choice of local restaurants including for late night dining. We travel up to London every couple of months and would definitely add this hotel to our list of regular haunts.	
