	overpriced/overrated	We booked a theatre package which recommended this ( 4 Star hotel !) My sisters &amp; myself were looking forward to a relaxing birthday celebration.The first thing was one of our rooms was still not ready at 4pm then we discovered one was considerably smaller &amp; very dark we asked for another room but were told there were no more to be had. we could not get a seat or meal in the hotel on Saturday as there are no facilities for paying guests over the general public the only thing we were told to do was order room service ! considering the overpriced rate of this hotel we wondered what facilities we were paying for. Breakfast was good but we were kept waiting for a table each morning &amp; the dinning room was very cold, on complaining we were ignored..staff we very abrupt and rude On our last day we tried to get a meal before leaving only to be told they had run out of food &amp; the kitchen was closed ! we have travelled &amp; lived abroad for several years &amp; I can honestly say this is the most dismissive disorganised overpriced hotel we have had the misfortune to stay in . because they have a captive audience due to location (which is very good),pride in a job well done along with standards &amp; quality are sadly lacking (watch out for the same standard reply from the hotel)	
Jul 6 2009 	Very disappointing	I stayed here with my partner on Friday night last and was so disappointed. We have stayed in Radisson hotels before and were very pleased but this was such a disappointment. To give them their due the staff were very nice but the room was dreadful (room 226). The room was extremely small and dark. The bed was lumpy and uncomfortable. Perhaps I should have complained when we were there but we assumed that all rooms were of this standard. We also found a toenail clipping on the floor and there was an old bar of soap left in the shower in the tiny bathroom.Luckily we were only staying for one night and I certainly will not return. We had a much better experience in the hotels in Southwark - even though it is further from the centre of town it was far better value for money and worth the trip on the tube.	
Jul 4 2009 	I cannot praise this hotel enough!	I cannot praise this hotel enough. The hotel was great, the room was brilliant, the staff is very helpful and friendly and the location is perfect for business and vacation. Stay here and you will not be disappointed. Only downside is that the hotel is a bit expensive, but if you can afford it – this is a great hotel. A few comments regarding my stay: after check-in I went to my room and five minutes later the reception called me up and asked me if I liked the room (which is a nice gesture), and when I was leaving the hotel the concierge helped me to get a cab that accepted credit card and that took it him at least 20 mins but he was very friendly and cooperative.	
Jul 2 2009 	A beautiful hotel in a pretty road a real hidden gem in London!!	I have just stayed at this lovely hotel for the third time, my husband and I came fora birthday treat and a show, this Hotel is such a rarity in London, It is tucked awayin a very select area of London, gorgeous restaurants, bars and shops all within walkingdistance. The hotel is beautiful inside and the rooms are lovely.Breakfast was a delight. Beds were so comfortable, the staff are very attentive.I have not got anything negative to say about this hotel.It is always on my list for that extra special treat.	
Jun 30 2009 	Very Disappointed at our stay at the Mountbatten	I have just returned from a weekend trip to London and I must say how very disappointed I was with my room ( room 211 and my brother had room 210)My husband and I have stayed before at the Mountbatten and had a much better room. I had recommended the hotel to my brother who was with us on this trip for this reason and he was also dissapointed with his room, as you can imagine I felt responsible for the trip and this is why I am writing this review.The mattress on the bed in my room had old springs in it and was very uncomfortable and the curtains on the wall were non existent apart from a blind which was too short for the window. I presume there had been curtains there once as there was a big hole in the wall where the tie back must have been.As we were there just one night and as we had originally checked in before the room was ready at 10.30 am we didn't get to see the rooms till gone 6pm when we arrived back from sight seeing all day so I was just too tired to move rooms.Although the hotel is in a good location and the breakfast is good , we just expected more for spending £180 on a room which was very tired in appearance. With this in mind I would definately look at staying in another hotel with more value for money next time we stay in London.When we checked out the staff on the front desk did not ask if we enjoyed our stay maybe they knew what the answer would be!	
Jun 29 2009 	Location Location Location .. oh and very quiet room..	Stayed at this hotel a few times, mainly due to it's location, friendly staff and reasonable price.The location couldn't be better for a mid-London Hotel, smack in the middle of Theatre Land / Covent Garden / Leicester Square, but in a lovely little area that has an atmosphere all it's own. Plenty of good restaurants within a stone's throw and a short walk to everything else.On this occasion the room I was in was so quiet (especially for London) I had no clue what time it was without looking at the clock, a strange experience in London, where you usually know by the ambient noise when it's time to get up.	
Jun 26 2009 	If you're looking for a great place to stay in London	The location is great. The staff is terrific - very helpful. A great value for the dollar.I plan to stay there again on my next trip in July, 2009.	
Jun 21 2009 	Fabulous Hotel	My friends and I travelled down to London for a girls weekend and were booked to stay at the Radisson Edwardian Mountbatten in Covent Garden. On arrival we were greeted by Jorge who was so welcoming and friendly. Every request we made was met with no hesitation. The rooms were all very clean and well presented with all the necessary facilities. The breakfast the following morning was absolutely wonderful and well worth every penny. This hotel is perfectly situated for night life and day time tourism. Without hesitation I can recommend this hotel as I will certainly be staying there again when I next visit the City.	
Jun 18 2009 	Good Value in Superb Location	The Mountbatten is superbly located in the Covent Garden area and the West End. Bloomsbury is a few minutes walk. The British Museum, Trafalgar Square, the National Gallery all are in walking distance. My room was a standard double and was very small, but clean and quiet. I'd say the standard double would be a tight squeeze for a couple. By pass the hotel breakfast. It is way overpriced and there are many places in the neighborhood to get breakfast. Staff is very helpful and accommodating	
Jun 17 2009 	Good clean and in a brilliant location.	We booked this hotel for the nights either side of our wedding and we chose it mostly because of its location. We opted for an upgrade on the room as we needed a bit of extra space for people to get ready in. The room was nice and had good views out over the west end from the 6th floor. The furniture was a little battered but nothing too bad. Service from the reception staff was good and the breakfast although pricey was also good.All in all good but a little bit uninspiring.	
Jun 15 2009 	A really comfortable and relaxing hotel	Service at the Mountbatten was very good, from check-in to check-out. Anything required seemed to be on hand. The room was very clean, with all facilities you would expect from a city centre hotel. The location was superb. Was centrally located, about five minute walk from Covent Garden. Plenty of designer shops in the immediate vacinity, with cafes and restaurants. My visit was business, shared with leisure. Therefore it was very suitable for my purpose.I would definately be staying again with the very competative prices offered.	
Jun 15 2009 	Great Location Very Nice Hotel	This hotel is in a perfect location to see all of the sights of London as well as trips to the theatres near. The hotel is very clean and well-appointed. The twin room was a bit small, but that is typical of European hotels. Overall, it is a great place to stay while visiting London.	
Jun 14 2009 	Fantastic convenient location for theatreland	Stayed at this hotel for 2 nights whilst going to see shows in covent garden area. Room (no121 - standard double) was small but adequate, although carpets/bathroom were starting to look a little tired. Was however very quiet - didn't hear any of London traffic noise. Lots of great restaurants within metres of hotel. Didn't eat in hotel restaurant at night so can't review but breakfast at £18 gave a good choice and was plentiful. They also gave us a voucher at check-in which let us have continental breakfast for £9.50. Would certainly stay here again if going to theatres.	
Jun 13 2009 	Worth another visit	Very welcoming at check-in and good first impression. Had a smallish room with no drawers for clothes which is not convenient for a couple staying more than 2 nights,( we were there for 4 nights) . Housekeeping excellent. Friendly staff. Breakfast during week was exceptional and freshly prepared, portions huge, did not need to eat until evening time! Weekend breakfast was buffet style but still good value. Restaurant staff efficient and very helpful. Location ideal for theatres, restaurants and Leicester Square only 5 minute walk away. Covent Garden even closer.	
Jun 13 2009 	Excellent position and helpful staff	We have stayed at the Radisson Mountbatten a few times for family and business stays. For the family stay their long serving concierge Michael was brilliant in helping to make arrangements. The recent stay was with a colleague, we attended an exhibition, so it was good to get back to hte hotel to relax. On this occasion we were lucky enough to be up graded to a King Deluxe Room which was better for the longer stay - having the extra room, however the standard rooms which tend to be on higher floors can be a bit claustrophobic! we were upgraded as the previous stay we made, we were put into a twin room which was not up to the expected standard - very tired looking faulty shower and very small for a twin, so did have to let them know we were not too impressed.However overall stays have been good, do think that if breakfast not included that £15 a bit steep for tea, cereal &amp; toast, surley a basic quick breakfast could be included. Generally though we have always found Radissons (Edwardian &amp; SAS) very good,The Mountbatten is not large, but has a good feel, I am quite happy to stay there on ,y own. The position is excellent, real London atmosphere, so close to Convent Garden.	
Jun 10 2009 	Clean room great location	Good value for central London.Small room but clean and quiet.	
Jun 8 2009 	Excellent location close to all the major attractions	A superb small hotel on the edge of Covent Garden, with great service and very friendly staff, there a great atmosphere about the hotel.	
Jun 6 2009 	A Little Gem - Perfectly Located	On arrival, I was greeted by friendly and professional front of house staff. I was offered an upgrade to a double rom for a nominal fee. I declined as it was a one night business stay. The single room was small, but perfectly adequate, with excellent full size bathroom, good facilities (safe/mini bar/tea making) and good aircon. Importantly, it was clean and quiet. The bed was comfortable. The only tired part of the room was the TV, but it worked OK.The hotel bar was delightful with a window on to the world of Seven Dials and reasonably priced (for London) wine. Restaurants and bars abound in the nearby streets.On departure, I was looked after very well by the reception staff and concierge. I suspect that none of the staff I met were UK nationals, but all spoke good English, were impressively polite and extremely helpful. This speaks volumes for the training standards and leadership of the hotel.I would definitely stay here again at the price (Good rate from Late Rooms) and strongly recommend it for its staff, location and service.	
Jun 5 2009 	Excellent location and great for a weekend stay	My wife and I stayed here for a weekend in January 2009 and the location is super. It was recommended by a good friend who has stayed here many times. The rooms are typical London sized. The bar in the hotel is super as it looks directly out onto Seven Dials and great for people watching.It is just so near everything including theatreland. The breakfast was great and the staff very polite and professional. Will defintely be back.	
Jun 4 2009 	Would keep going back	I first stayed here last year as I love the Covent Garden area. I truly was pleased and happy with this hotel. It's located on this cute circle called the Seven Dials. It's slighly off the beaten path from the main streets, but so close to EVERYTHING, I barely take the tube when I stay there. I just recently went back to London and didn't look to stay anywhere but here. The location cannot be beat. Prices are totally reasonable, every staff member was very helpful and pleasant. There is a small gym, good restaurant/bar and a fun pub across the street. I highly recommend this hotel and will continue to go back.	
Jun 4 2009 	Great spot -	Great hotel in a great section. Staff was very accomodating, rooms were comfy.	
Jun 2 2009 	A wonderful hotel in a wonderful location	The Radisson Edwardian Montbatten is situated in the Seven Dials area of London. It is within walking distance of Theatreland, restaurants, pubs and famous London landmarks. The room we had was large, clean, well appointed and obviously well maintained or renovated. An in-room safe was provided.The service we received from Reception, Concierge and Cleaning staff was exceptional.The only thing that bothered us to a minor degree was a slight hum from the air-con system, which is probably to be expected in an old building.	
May 27 2009 	Excellent hotel in a great location	The radisson edwardian mountbatten is an excellent hotel in a great location. The rooms are reasonable size and have all the amenities that you could want. The hotel is in the centre of Covent Garden and minutes away from Holborn and Covent Garden tube stations. Right beside shaftsbury avenue and lots of tourist and shopping areas.The best thing about this hotel is the staff. As a business traveller, the staff are friendly, remember your name and make every effort to make you feel at home.	
May 27 2009 	Excellent location	This hotel is great, the rooms are small but we were hardly in ours. Very convenient location. Friendly helpful staff. We didn't have breakfast but went to a cafe round the corner.	
May 22 2009 	Great Location	The best location to stay, whether you're traveling alone or with a group, with family or friends, and whether you're gay or straight. The theatres are a very short walk and there are plenty of restaurants to choose from right outside the door. The area is very quiet after 11PM, so no problem with noise interrupting your sleep. The staff is very friendly and helpful; they even allowed an early check-in.	
May 20 2009 	Avoid a single room.	Having seen the reviews and website I was confident that my £165 (room only) 'special' rate would be money well spent - however I was put in a tiny single room with a bathroom that anyone with a BMI over 25 would have trouble walking through! The decor was beige and dowdy, quite unlike the pictures in the website. On the plus side the location is brilliant, and breakfast to go is excellent.All in all quite disappointed and will be choosing alternative accommodation from now on.	
May 15 2009 	Our favorite hotel in London	My family and I have been in London more than 30 times, the last 15 years. we have lived and checked many of London Hotel. Both in business and pleasure .Now we have found our favorite hotel. It is: The Radisson Edwardian Mountbatten. Great location, between the cultural experiences, shopping, relaxation and the trend experiences. Great service, where you feel welcome from the very beginning, charming rooms, trendy bar, good restaurant and welcoming and positive people !	
May 13 2009 	Great location. Nice room. Good service.	Great location. We did not need a taxi nor the underground during our 3 days of staying in London. Covent Garden is a lovely neighborhood and the theatres were near by. We had a nice and clean roon and the service was friendly and professional.	
May 11 2009 	Great one night stay	Really enjoyed my one night stay. Very convenient to Piccadilly tube line for easy access to/from Heathrow. Located in the heart of exciting and lively Covent Garden/Soho neighborhood. Hotel is very nicely furnished and kept in excellent condition. Check-in was quick and courteous. Room was very spacious, and the ensuite bathroom was very up-to-date. Room overlooked the rooftop of the next-door restaurant - wasn't a great view, but I wasn't in the room for long. Steps leading into/out of the room were a bit awkward to navigate with luggage. Would definitely consider staying there again for the price.	
Apr 23 2009 	FANTASTIC WEEKEND	very clean modern hotel with character in superb location for theatres and opera.Covent garden, China Town and Shaftsbury avenue on the door step. Staff very friendly and accomodating.Parking not so easy but possible ( a little expensivve)	
Apr 21 2009 	Great Hotel Great Location	We started and ended our Spring Break trip at the Mountbatten and so saw 4 rooms. Only one was really too small and we should have asked for a slightly bigger one. The others were perfectly sufficient. The hotel is in the perfect location at the corner of the 7 dials. It's any easy distance to Covent Garden or Leicester tube stop. We walked with our luggage with ease. The concierge desk is well staffed and we had excellent dinner recommendations and got great directions. We like being able to access the internet from our room. All in all this is a beautiful hotel at a good value in the perfect location. I don't have any photos, but if you go to google maps and choose the street view, you can get an idea of what a nice hotel it is and understand the location advantage.	
Apr 21 2009	Unbeateble location kind staff comfortable	Less than 15 minutes walk away from all major attractions (Picadilly, Leicester, London Eye, Oxford Street, Covent Garden, Thames cruises). Rooms are small, but not tiny, with everything we needed (iron, hairdryer, even Spanish channel,...) and quiet. Very clean bathroom. Kind staff. Seven Dials is a lively quarter even at night.	
Apr 16 2009	Excellent location and comfy beds!	I booked this hotel through lastminute.com - it was one of their 'secret hotels' which meant that I got a good deal but didn't know which hotel I had booked until after I had paid. We arrived at 11.00am to leave our bags as check-in wasn't until 2.00pm - but our room was ready when we arrived so we checked in and went straight up and unpacked before going on a shopping spree! The hotel staff were polite and very friendly and they couldn't have been more helpful. I was so impressed by the location, the hotel is in a cobbled street with little boutiques and places to eat and the entrance to Neal's Yard in just a few yards down the same street on the opposite side of the road. Seven Dials is great for shopping with small independant shops as well as shops such as Office, Fat Face and Fred Perry. We went to see Priscilla Queen Of The Desert which is showing at The Palace on Shaftesbury Avenue and it was just around the corner! This hotel is absolutely perfect for anyone going to the theatre as they are all nearby but you also have the advantage of staying in a hotel on a really pretty little street. We often walked up from Piccadilly Circus and straight up Shaftesbury Avenue or through Chinatown or Leicester Square to get to the hotel so it really is in a great location. I was very happy with this hotel, the bathroom was lovely and clean and light and the room was decorated in shades of chocolate, mustard and cream. The beds were really comfortable - I slept like a log! I would say that the twin room (number 606, which was at the front of the hotel) was about the same size as a normal Travelodge room and as we were out all day and every evening and really only used the room to change in and sleep in it was fine for myself and my teenage daughter. We checked out at 10.00am (check-out time is 11.00am) and left our bags at the hotel until 4.30pm when we returned to collect our luggage en route to the station - the staff insisted on hailing a cab for us and helped us out with our bags and in to the taxi - they were really great. I would definitely stay here again.	
Apr 16 2009 	Superb friendly elegant Hotel.	Stayed here 3 times now, its an absolutely lovely, clean, well presented Hotel. Situated fairly central to all main shopping areas, and a few theatres ( including Cambridge theatre right opposite - showing Chicago ). The staff are very friendly and helpful, always with a smile on their face! Although not the cheapest, you get the service and quality that you pay for. The rooms are generous in size with everything you expect to be there eg. towels, iron, hairdryer. All with clean en-suites. Plenty of shops, eaterys, pubs etc in the area. Usually have a full English breakfast in the hotel which is plentiful! Overall i would highly recommend this Hotel, look forward to going back. *****	
Apr 16 2009	Great location rooms clean but very small	We stayed at the Radisson Mountbatten for the Easter weekend 2009.Since we stayed there some years ago and had a room next to an elevator (noise during the night), we requested a room on a high floor away from the elevator. We we satisfied, that the wish was fully fulfilled and we got a room on 6th floor very far away from the elvators.Location:We love the lovation, because its right in the busy district of Covent Garden, lots of shops, bars and restaurants around the hotel. We did not need a ticket for public transport, you can reach everything by walking.Picadilly Line station (from Heathrow) is 10 minutes walk.Hotel:The lobby is very stylish, also bar and restaurants have been renovated and are very nice. Reception staff and Concierge were always very helpful.There is a PC with free internet access in the Lobby to check in for flights or check mails. Nevertheless its just one, people stay there for an hour although other are waiting behind them.Rooms:The rooms are VERY small (like in most London hotels) and furniture very dated. There is a small, old TV set (far from flat screen). Bathroom is not huge but OK.Overall the room was OK, very clean. But be careful, our room was on a high floor. Since there is some traffic around the hotel, rooms on lower floors might be noisy.Area:We did not book breakfast since there are plenty of restaurants and cafes around.Covent Garden and the market are a busy area, great for shopping and watching people.Overall:We like the hotel because of its excellent location and helpful staff. There are hotels whith much nicer and bigger rooms in London, but nevertheless, we will stay here again (if we get it for a good rate - this time we paid 150 pounds per night).	
Apr 14 2009 	Perfect location 	I check for reviews on tripadvisor for all hotels since it offers the most useful and honest reviews and after careful consideration I chose this hotel.For the price of this hotel in London, you could easily just choose another good quality hotel for the same price but since the location seemed very convenient I decided to choose it.I read a couple fo the past reviews with a few critisizing the hotel however I totally disgaree with them. The service offered by the staff at the reception &amp; at the door was absolutely spot on friendly and great. The woman behind the reception was extremely welcoming and helpful when I first arrived. Checking in was quick and not a hassle at all. The reception and front room was well presented and nicely decorated with staff to help with luggage and any tourist information.The room was small but comfortably small and it did not feel cramped with enough storage space. Another good point is the free internet available throughout the hotel which is a bonus since most hotels i've stayed at apply an extra charge for access to their internet service. The bathroom was well presented and clean with shower and bath facilities.I stayed for 2 nights and both nights was pleasant even though it was in the heart of a busy area of covent garden. Extremely convenient location with covent garden just a minute away and lots of clothes stores, coffee shops and food stores within seconds of the hotel. I would definately return back to this hotel in future. The location makes it definately worth the price I paid.	
Apr 4 2009 	excellent locationbreakfast brilliant and definitely will be returning	central location for covent garden and surrounding areas, all in walking distance. theatres all nearby good pubs and restaurants.	
Apr 2 2009 	Extremely poor value for money!	Polite and courteous staff, however the woman at the front desk who greeted us was very difficult to understand due to English being her second language.Were given room 614. If you are EVER offered this room turn around and WALK OUT!!! It would have been small as a single but as a double this was a complete joke, and the bed was pushed up against the wall so you could only get out of one side. Bathroom was small but clean and well appointed. The other couple we travelled with did have a larger room so they do exist!Breakfast was £18 for a buffet, which i think is absolutely extortionate compared to some boutique hotels I have used which charge less for a cookeed-to-order spread.The only saving grace is that the hotel is in a great location for Covent Garden and the west End.Not a bad place to stay, just INCREDIBLY POOR VALUE FOR MONEY!!!	
Mar 27 2009 	Absolutley Fabulous Hotel!	I stayed here for my Birthday weekend. We wanted to find a hotel in the centre of Covent Garden and this one really is! We were pleasantly suprised that this hotel is in such a great location. It is only 5 mins walk from either Leicester Square or Covent Garden Tube stations. Only 5 mins walk to The Ivy! Room was small but lovely and clean i especially liked the speakers in the bathrom so i was able to continue listening to my favourite programme whilest taking a bath! Staff were friendly and helpful. On a number of occasions we asked the concierge for advice on where to go and they were very informative and helpful. We were also able to leave our luggage with the conceirge after we checked out so we wouldn't have to lug our bags around London. All in all i had a fantastic time here and cannot wait to return.	
Mar 26 2009 	One to revisit	Stayed for just one night but wished it was for longer. The hotel is in an amazing location right alongside Covent Garden and most of the theatres. Staff were very friendly, and went out of their way to be helpful, and the breakfast was great - good quality food, plenty of choice, prompt service. Even though we had an executive room it wasn't huge but was clean, comfortable and had everything we needed. The television was old style and looked a bit dated, and the room key system to operate the lifts seemed to cause some guests problems, but these were minor issues in what was a very enjoyable stay. If you want a clean, comfortable hotel that isn't too large, has friendly staff and is in a superb location then give it a try!	
Mar 20 2009 	Great hotel in a perfect location	Although our room was small it had all the facilities we required. The hotel have noted my comment on size &amp; have offered to allocate one of their larger rooms for our next visit. Breakfast was included in the price &amp; was a first-class buffet. We were in the perfect location for theatreland, Covent Garden shops, Trafalger Suare galleries &amp; the Embankment. We will definately stay there again.	
Mar 20 2009 	Absolutely fabulous	The location of this hotel is extremely convenient, in the middle of Covent Garden. The reception was extraordinarily special, they make a real fuss of your stay and nothing is too much trouble. The standard twin room was clean and tidy and looked luxurious.I could not have wished for a better place to stay for a theatre weekend in London	
Mar 19 2009 	Excellent location clean rooms 	Very good hotel in a convenient location. The room was very clean, although a bit on the small side. Staff were very helpful, friendly &amp; welcoming. Overall a very enjoyable stay.	
Mar 14 2009 	Excellent hotel in a fabulous location	We spent three nights in this great hotel. The staff were efficient and very friendly and we paid a bit extra to have an upgraded room which is much bigger than the standard room with a very comfortable bed and good size bathroom. The room was very quiet situated towards the end of the corridor. The breakfast was good but the dining room in the morning is a little chilly. The location of the hotel for getting in and around central London is brilliant and is in walking distance of so many great areas including China Town and theatreland. We will definitely be returning and would definitely recommend people to book an upgraded deluxe room if possible.	
Mar 10 2009 	Great Hotel	Great hotel in a tremendous location. Staff extremely helpful. Rooms large and very well kept.Will definately re-visit.	
Mar 10 2009 	Great location for Sight-seeing Theaters and Soho	Great central location for major tourist sites. Covent Garden Station Picadilly Line is 2 blocks away (use the lift to street level), but I walked everywhere. Bed and bath very clean. My room was on the 6th floor, and at night cold tap water was nonexistent. I suggest having bottled water in your room.I would recommend this hotel for singles or couples, young or old, gay or straight. For lesbians there is one bar in Soho, Candy Bar.	
Mar 6 2009 	Spot on location!	I had the pleasure of staying at the Radisson Edwardian Mountbatten Hotel for my 21st birthday. And if like me the location of your hotel is paramount to your decision and this hotel basically summed up exactly what I was looking for. You're in the heart of one of the cleanest, safest and trendiest locations in all of london. With great restaurants, shops, transportation and nightlife on your doorstep, this hotel is perfection.The hotel itself is a stunning building and from the moment you step inside a feeling of comfort and warmth will wash over you. The rooms although small and me being 6' 3'' found it a stretch getting settled on the bed, were charming, clean and exquisite. The staff at the Radisson were incredibly polite and helpful. The last person we saw when we left, was so lovely it made us walk out with a smile. No joke!I recommend this hotel to those aged between 18-35 and if you're 40+ and enjoy reliving your youth like a sad Madonna esq individual then you would probably feel particularly hip here.(Those who have activities in Covent Gardens/Leicester Square or 'Chicago' Theatre would find this hotel ideal)	
Feb 27 2009 	Ticks all the boxes	On walking into my deluxe double room the first stricking feature is the size...it's small. Even so I would not let that dissuade anyone from staying here. Taking some time looking about i noticed my room had everything i would expect for a short weekend stay. I would not call it luxury but it's clean and all the the basic amenities the most important of which was the free wifi service which can be quite invaluable when travelling in an unknown city. Staff were friendly and helpful. The location is the real asset this hotel has going for it. Only steps away from shopping, theatre, sights, and food I could not fault the location. Overall i believe most people would be happy staying here if they are new to the city and need a central location but would spring for a larger room if there are more than two people.	
Feb 24 2009 	Location Location Location	Just returned from a stay at this hotel. The location is truly ideal. Centrally located, safe, and close proximity to transportation, great shopping, food, theater and the many attractions London has to offer. The room was decently equipped and functional despite the room size. I stayed in a Standard Double bed room which was OK for a single person. It might be a bit tight for a couple especially if you require space. If you are considering a Single room with a Twin...I would reconsider.	
Feb 7 2009 	Excellent Service	I haven’t provided feedback on a hotel before but, for good reasons, I feel compelled to comment on my stay at the Radisson Edwardian. On my arrival, I was very well received at reception and was given my room card. When I arrived at the room it was too small to be comfortable so I returned to reception to ask for a bigger room. An upgrade was not available because the hotel was very busy (it was a weekend) but the gentleman on reception said he had one room available but it still required servicing. I retired to the bar and within minutes the receptionist came to me and insisted he show me the new room so as to be sure it met my needs. The room was excellent and I had a very pleasant stay.From the receptionists to the concierge and the staff in the restaurant, all were the best I’ve experienced and I stay in hotels regularly – my compliments to the hotel manager – this is very difficult to achieve especially in central London. The location of this hotel is also spot on!	
Jan 29 2009 	I've loved the Mountbatten Hotel for 12 years!	I've been staying at the Mountbatten three times a year for twelve years. Although I usually go on business, I've taken my family there many times over the years.I book directly with the hotel (the newest manager, Dawn, has been both nice and professional. I've also liked all the managers over the years), and I always find them to beincredibly accommodating (For example: I always need 4 foam pillows, because I'm allergic to feather. My pillows are always in my room when I arrive). I truly feel this terrific hotel is my home-away-from home. Also the concierges -- especially the wonderful Michel -- are outstanding (and so very nice).I've had a few problems over the years with little things (that happens in all hotels); the staff always goes out of their way to fix the problem quickly.I only eat breakfast (part of my package) in the Dial (the restaurant) in the am; the waitstaff (especially a couple of the women that I've known for years) are also excellent.Housekeeping has also been top-notch.Every once in a while I think about staying somewhere else for variety, but what's the point? I'd miss the Mountbatten. I next go in March. I'm looking forward to it!	
Jan 26 2009 	never again	Last year ,for my birthday, I received a package proposed by Travel for the Arts which included a choice between five or six hotels and the Wagner Ring at the Royal Opera.I choose the Radisson because of its proximity with Covent Garden and the description seemed lovely.My standard single room was the smallest and most claustrophobic room I had ever got in a hotel of this category.The bed filled the room and I came back with bruises from negotiating my way to the bathroom which was rather nice when compared with the closet called room.The safe was near the ground:I had to crouch.The breakfast was ordinary and I preferred to eat the other meals anywhere else : from Rules to Carluccio ...The Wagner Ring meant that I had to stay six nights in that hole : never again.My critic comes a bit late but I send it because the opinions about this hotel vary so much.	
Jan 23 2009 	Good location for Business and some Leisure	If you consider the usually very poor standard of British hotels (always 1-2 stars more than they would get in continental Europe or the US), the Mountbatten was a positive surprise.The location is good for business around the main city and in the evening you have a lot of nice restaurants, theaters etc. in walking distance (Covent Garden).The (single) room was quite small, but sufficient for a one night business stay. Same with the bathroom. Compared to other British &quot;4-star&quot; hotels the (bath-)room was clean and tidy, i.e. clean carpet and no rotten fittings in the bathroom what are &quot;standards&quot; in many London hotels. Free Wifi (still not standard in many hotels) allows a quick mail check and connection to company server. The bed was also very good, so I had a relaxing night. The &quot;Dial&quot; bar is nice and built in a contemporary style. Very attentive and friendly staff. I didn't take breakfast since I usually have a coffee and a croissant only and I feel that 18GBP are a bit much for that, but this is a usual problem at most hotels nowadays.	
Jan 10 2009 	Not up to 4 Stars	I travel very frequently for business to London and have stayed at many of the business hotels there. This one has a nice location- Covent Garden is an ideal walking neighborhood and the hotel is on a great street. The hotel is terrible for business needs however. There is no lobby to speak of, so meeting colleagues is difficult. Internet was slow, and my room was very very small- even for London standards. It was also quite worn down. I would definitely rate it a three star hotel, not a 4.	
Jan 5 2009 	A conveniently located hotel	We stayed at the Radisson Edwardian Mountbatten hotel in London from 01/01/2009 to 01/03/2009. I know they call it a &quot;Luxury Boutique&quot; hotel in London, but frankly there is nothing &quot;luxury&quot; about it. The best feature of this hotel (by far) is its wonderful location. Right in the heart of Covent Garden, next to the great Neal Street and the cute Neal's Yard. Really, it's difficult to beat this location. You can walk almost anywhere in Central London from there. The hotel itself is ok. Rather small but with a nice bar. The breakfast buffet (which was included in our rate booked on expedia) was extremely nice and the staff courteous and kind.The rooms are... well, VERY small. We stayed in room 105 on the first floor. The corridor going to the room feels like one from a Russian Embassy in the 1970s. The room itself was ok but incredibly small with a low ceiling. The british windows were not adequate at this time of cold weather in London (January). You had to put on the heater most of the time to beat the cold wind coming from the window. The TV was old and small. The bathroom was small too. The beds were ok.Overall, it's a great location but do not spend much time in your room and don't go there thinking it's a &quot;luxury boutique&quot; hotel. It's not. But it's not worst than some of the other hotels in London. My preference goes for the Sofitel St James, I admit.	
Jan 5 2009 	Perfect Location	This hotel is located in a great area, shops, cafes, bars and just down the road from leicester square.nice facilites, good size rooms although we had a deluxe room. overall a pleasant stay with good staff and a nice breakfast what more can you ask for.	
Dec 12 2008 	Pleasantly surprised by spacious room	I stayed at the Radisson Edwardian Mountbatten Hotel in early December. The front desk staff was friendly and called me shortly after check-in to ensure the room met my needs. The room was spacious (especially in the UK), offering a small sitting area with a sofa and coffee table, a small work area and king-size bed. Work space was however limited although the hotel does offer free wireless internet. The bathroom was also sizable; it had double sinks and the most luxourious bath robes. The only complaint was that the minibar was not stocked daily so after drinking the water on day one, I had none available for the remainder of my stay. Covenant Gardens is a lovely section of London offering a variety of restaurants and shopping. I would definitely stay at this hotel again.	
Dec 10 2008 	Fantastic location hotel breakfast	My wife and l stayed in deluxe room no:104, which was very nice and spacious with an impressive bathroom and a pleasant outlook onto a quiet street. The only disappointment was the tv which was a CRT17&quot; or 19 &quot;, this really needs to be upgraded to a large screen flat panel LCD, although channel and pay movie access was perfectly adequate.Checking in was straight forward, initially on line, and then at the hotel, but more instruction is required advising the guests how the lift operates. It has a restrictive floor access system which only allows you to go to the floor corresponding to the inserted room keycard.The breakfast was superb, almost everything you could want , in a very pleasant environment. with excellent service.The hotel bar was very nice but was only used on one occasion due to the excessive pricing, £10,60 for 2 drinks. The same 2 drinks were bought for £5,50 the following evening in the 2 Brewers pub about 50m down the road. Overall a very pleasnt stay in a great hotel but the bar prices are extortionate.	
Dec 9 2008 	rodent hell	Horrible hotel.The room was ok, the location is great. The staff are unhelpful. They have a serious mouse problem. I was having drink at the bar and could see several mice running around the dining area. I even had one run under the table at which I was sat and dissapear under the sofa.. I alerted the staff who were not in the least bit interested. I also alerted the website through which I booked the hotel. Never again.I am glad I didn't order any food.	
