	Clean and well located	London is an expensive city, especially when it comes to hotels / accomodation. I was looking for something very simple, quiet , clean and affordable where to spend a week in London.That's what Windor House is.For £38 / 40.00 a day I got a very clean room with shower (not en-suite) and a simple breakfast (enough to start a day).Ok, no TV, no telephone, no internet, but if there was a tv set, for example, I would spend my nights seeing tv, &quot;ruinning&quot; the day after !So, it is not a place to stay during the day but a quite and clean place where to keep your things and sleep. Earl's Court tube station is really just around the corner, making it easy to go everywhere.If you want to take food to the hotel, the kitchen is open to guests and there is a Marks &amp; Spencers &quot;Simply Food&quot; shop 50 meters far from the hotel.Two internet shops are really nearby.I recommend Windor House : good value for the price !And friendly people too.But if you are looking for real luxury, go to ... the House of Windsors (call Beth or Phil).André Acker, from Rio de Janeiro, Brasil	
Aug 23 2008 	Nice hotel	Windsor house hotel is a nice and friendly B&amp;B for people who don't want to spend too much for their accomodation.it's just the place to rest after a long sightseeing tour of the magnificent London.The staff are friendly,the rooms are clean and breakfast is good..a lot of toasts and eggs (including cerals butter,coffee and milk).I think that it's a good place for young people,maybe older people are snobber and prefer a higher quality for theri accomodation.Finally i'll definitely choose again Windsor house hotel for my next tripo to London with my friends!	
Aug 13 2008 	Good family option	As a family of 5 finding hotels that could fit us all were hard to find. Windsor House was great for us. It's location is very convenient. 1 minute to Earls Court Tube Station and close to food stores and shopping.Room was clean, bathroom small but adequate, front desk service always available and a breakfast that filled us up. One big plus for us was the availability to use the kitchen for cooking our own food at dinner time (big money saver). Breakfast was toast and jam (as much as you want), tea/coffee, hard boiled egg and cereal.The room we had was 5 single beds and a small full bathroom. Our room was cleaned daily. The hotel is on a quiet street we heard very little noise from the other rooms.To be sure it was not deluxe accomodation but it was a very good value for the money and nice for us as we didn't have to rent 2 or 3 rooms in a normal hotel. The furniture was worn but serviceable and the carpet plain and functional. The Hotel has a no frills feel to it and a no frills price. Exactly what we were looking for. The staff were friendly and willing to help. We would stay there again.	
Aug 8 2008 	To be avoided! The worst experience I've ever had in a B	To begin with, when I arrived, they charged me an extra £6 because I paid by credit card. Then, the so-called 'superior' room I had paid for was tiny and smelt of damp. Two days before I was supposed to leave, they informed me that I had to move to another room on the following day, which I did. But on my last night I realised there was no shower in the new room I was given even though I had booked an ensuite bedroom.I immediately complained to the receptionist and asked for a refund since I wasn't given the room I had paid for. She said that was impossible, but she was unable to explain to me why I had to pay for a shower that was not in the bedroom. When I said to her that I wanted to speak to the manager she replied that I couldn't. Well, what kind of a 'hotel' is this?I sent an email to the website through which I had booked my accomodation, and the hotel manager replied that my comments were 'purely subjective'.This dingy B&amp;B is run by rude, incompetent people who make fun of their clients.Do yourself a favour, and avoid this shabby place like the plague!	
Aug 8 2008 	excellent location in London	My daughter and I stayed 8 days at Windsor House Hotel (1min. from Earls Court tube station) recently, and we were totally satisfied with this cosy hotel.The staff were polite, friendly, and willing to help with any questions or problems. The room/toilet were cleaned every day, and the beds ready to sleep in again.A simple, but good breakfast is included in the price also. Local cafes and supermarkets are open until midnight, bank and post office 2mins. walk from the hotel.The tube takes just 8mins into central London(Oxford St., Piccadilly etc.).This is a &quot;no fuss&quot; hotel, located in a quiet side street. An excellent location for families with children for example. We have stayed at this hotel once before, and will certainly stay there again in the future. Thoroughly recommended for anyone that wants to stay in London for a reasonable price, which includes very good service!Derek and Susanne	
Jul 26 2008 	Flying the Flag	Cheap and cheerful best describes this accommodation. The rooms are cramped but spotless. We came to see the sights of London not to stay in looking at the walls! Brilliant location- easy travelling from Heathrow Airport and back to Gatwick, safe neighbourhood with underground and shops close by. Staff friendly and helpful. Use of the kitchen all day a bonus. No complaints and would recommend this B&amp;B as an excellent budget accommodation for all. If you want luxury and mod cons go somewhere else and pay a lot more.	
Jul 16 2008 	Pass on this one	I was not very impressed with this hotel. When we arrived, after flying all night long from the States, we found a dark, narrow hall and a guy seated at a table in a folding chair instead of a traditional reception. He was friendly enough, and he took a key deposit from us and called to a shirtless guy, who took our bag up one flight of stairs to our quad room. The room was both big and small. It had towering high ceilings, but was full of beds (3 singles and a double) and so had little walking room. The bedding was not luxurious, but it seemed fine and clean. The bathroom was the tiniest bathroom I've ever seen in my life. (And I lived a year in Japan). You could literally sit on the toilet, wash your hands, and shower all at once. After one visit, the toilet clogged up and stopped flushing. (To their credit, management fixed this promptly).The first morning of our stay, the kitchen was out of commission, so &quot;breakfast&quot; was set on the table in the front hall. It consisted of a bag full of grocery croissants (no butter or jam or anything else to put on them), several boxes of pineapple juice, and a box of glazed donuts. That's all. No coffee or tea. This was a blow for me, as I was trying to adjust to the time zone and needed caffeine! The second and final morning, we ate breakfast down in the basement kitchen. It was crowded and sort of depressing. The shirtless guy from the day before was there (this time in a shirt), and he set me up with coffee and gave my kids hard boiled eggs and toast. Much better.All in all, I would give this hotel a pass. It is quite dingy and does not seem worth what we paid. That said, it is very convenient to the Tube station and located in a nice area full of decent restaurants -- so I do recommend a place in this area.	
Jul 13 2008	The Windsor House was great for us	My family and I stayed at the Windsor House Hotel for 4 days on vacation. It is the perfect place to stay if all you need is somewhere clean and convenient to stay while you visit London. It's a very modest B&amp;B with just the basics. They provided a good/plentiful breakfast every morning, we had use of the kitchen anytime, and the location is extremely convenient to get to the tube.	
Jul 8 2008	Holding up the Dutch flag	Reviewer: Harry van Haeren (from the Netherlands).My visit to London in March 2007 with my son was very special.On the internet it was a pure coincidence that we came to the website of the Windsor House Hotel. The communication during the booking was very personal en it just felt good. No, it felt great. Once we were in London, the rest of the staff of the Windsor was also very friendly.The Windsor is a nice, clean and cheap hotel in a quit street and it’s just a few yards away from the underground station Earls Court. Breakfast is simple, but there is a lot of coffee and tea. Just visit www.windsor-house-hotel.com and the people of the Windsor will make your stay in London more special.I will visit London again in September 2008 with my second son and yes, we are definitely staying at the Windsor again.	
Jun 27 2008 	Basic and lowprice moneysaver at great location	The Windsor House is a very basic budget hotel. If you want a roof over your head, a bed to rest, a base for your London excursions with more money to spend on shopping etc rather than hotel extravaganza, this could be the place for you. Don't expect anything else than a simple hotel to satisfy your most basic needs, no TV, WC in the hall, simple standard budget rooms. 2 minutes from Earls Court tube station, all of London is at your feet, ready to explore, overall I was satisfied with my stay here, the low cost, basic accomodation made more experience and more to spend outside the hotel which was perfectly fine by me, if you're like-minded I think the Windsor House will suit you fine too.	
Jun 23 2008 	Loved the breakfasts	My family (2 adults 1 child) stayed here for 5 nights while we viewed the sights of London. We were made very welcome on our early morning arrival and offered breakfast which after a long flight from New Zealand was very welcome. Our room, which was way up on the top floor, was clean and tidy. It was a little bit noisy with the trains passing but this did not worry us as the hotel was our base only and we only went there to sleep. The young Russian staff in the breakfast room made our mornings fun with their English. The location was ideal for getting around London with a short walk to the tube station. The Windsor was ideal for inexpensive accommodation and the good breakfast set us up for the day of sightseeing. If you are looking for all the frills in a hotel don't stay at the Windsor but if you are looking for inexpensive, clean accommodation in a handy locality for all the sights the Windsor is just the job. We would have no hesitation staying again.	
Jun 23 2008 	The most friendly and enchanting place in London	The first time I spent a week at Windsor House Hotel was in 2006 and it was my first trip to London.Everyone in Windsor House is welcoming, helpful and nice, they helped me moving around the cuty and gave me great advices.Rooms and Toilets are always clean, the chance to use the kitchen (all furnished and always clean too) is a great idea to save money or to have breakfast looking the little garden just out of the kitchen.Since I really loved that place I came back this year on March and had a wonderful week end, Earl's court underground station is just around the corner and shops all around make it wonderful to have little walks in the morning since it is a quite place.Well, what else?I'm going to go back there on September,so come on guys let's join them.Prices are great and they are homely, not an expensive or snob place, a great place to live your London holidays!	
May 23 2008 	Would never consider returning	I have been several times to London, a favorite vacation city &amp; like the Earl's Court area. Found this &quot;hotel&quot; last year on TripAdvisor but ended up booking our triple for 3 nights for a few more $ @ the Hensley House round the corner. Since US dollar is weak, we opted for a special offer @ the Windsor. Five of us reserved for a triple &amp; double for 2 nights. The first bad sign was checking in. Despite a 50% credit card deposit made weeks earlier, employee/receptionist demanded we pay the remainder due in cash before giving us the room keys. Then, instead of a labeled legal hotel receipt, he wrote down the amount paid on a blank piece of paper. We refused this &amp; he then scribbled a few words on a hotel stationary pad but w/o signing his name. There was no computer, telephone or even calculator on the desk. It all looked very thrown together. We knew there was no lift &amp; fortunately our rooms were on first floor. Bathrooms are very tiny but clean w. hot water. We didn't care that there was no TV or phone in the rooms. BUT - beds should have been replaced ages ago! Bed linens &amp; towels were highly suspect. The sheets looked OK but one woman had stains on her pillowcase that smelled of hair oil &amp;/or body odor. Dark colored towels were large but didn't smell clean (one had white paint stains). Worn dirty carpet. Wall by a bed had what looked like blood spatter! Hardly room for 1 person to pass between beds &amp; no place for 3 medium-sized suitcases. After we complained, pillow cases were replaced in the triple room.Breakfast room w. TV &amp; small adjoining kitchen not very clean. Basic breakfast was undercooked egg, stale but toasted white bread, instant coffee. Cups didn't looked properly washed. We waited 5-10 min. in the AM past opening time for young woman to unlock the breakfast room &amp; then waited some more while the eggs cooked! Nice enough but spoke almost no English. I would not classify this business as a hotel, more like a youth hostel but I don't want to offend youth hostels! The website misrepresents on various levels. We never encountered the person named Jan, listed as hotel owner. No one seems in charge &amp; there is palpable employee indifference.	
Mar 4 2008 	It all depends upon your expectations	We stayed a week 2/23/08 through 3/1/08. I would go back. My wife, maybe not. This B&amp;B is just what it says it is contrary to those who post that it has deceptive claims. It is an old place in fair condition kept relatively clean which provides BASIC needs very economically. The hotel is in a great location for public transportation and even walking to many London attractions. It is surrounded by plenty of eateries of all kinds and 4 major supermarkets have locations within a block.Breakfast is a boiled egg and toast, Cornflakes and milk. Plenty of excellent tea and passible instant coffee. We always augmented ours with english chedder, fresh fruit and yogurt which we bought at Herrods just 10 minutes away on the C1 bus to knightsbridge. We kept our things in one of the two fridges without any problems. Breakfast can be tricky because there are many more beds in the hotel than seats in the dining area. If everyone shows up at once it is an interesting process which seemed to stress out some. This was one of my favorite aspects though to be seated with a group of strangers every other day or so and make aquaintance. Many different countries were represented.We only used the kitchen for sandwiches, but we saw others which cooked full meals. Small and with again just the bare essencials.There are no phones or TV in the rooms. Accept it. There is a TV in the breakfast room. You will lug your own bags up very steep stairs without assistance. There are just 2 ground floor rooms and even they are up stairs from the street level.The bathroom/shower combo is the size of a training module for the mile high club. I suggest that you take full advantage of that. On the other hand, it was kept clean and I, 300+ lbs had no trouble getting clean in it.I actually found its size quite reassuring after we visited the &quot;Golden Palace&quot; chinese restruant on Earls Court Rd which was recommended by other reviewers. This is because the Cockroaches we saw in that establishment would not fit in our cozy commode.I recommend you steer clear of that place there were several all bigger than a fat thumb.The water was always hot. The heater worked and we were able to keep the room comfortable very easily. There were clean sheets and towels when we checked in. The towels were only changed when we asked but it was never a problem to get clean ones. We messed the room up every night and each day they vacumed and straightened it just like a real hotel except without the pillow mint.The mattresses should be replaced. They were clean but not firm and were well past thier prime. This is why my wife will likely make me choose another place next time.This was my 4th trip to London in the last 5 years. I have always paid more. There is only one of those places I would prefer. It was over twice the price and did not provide breakfast.The place is ok and saves a bundle for other funI hope this lets you know what to expectMarvPa	
Feb 20 2008	Returning home in London	When my oldest grandson and I first came to Windsor House in 2006, we met Jan, the proprietress, who was most helpful in information about London sights and travel. We had all we needed in the room and enjoyed staying there. This year 2008 I am returning with my second grandson, and I was so glad to talk with Jan today and to know a room was available and would be set up for our needs. This hotel is inexpensive and close to tube stations for all of London. Consider it when you make your plans.Pat BinfordWaco TX USA	
Feb 15 2008 	We were deceived	We didn't expect luxury knowing how bad London rooms can be for the price they charge, but we, my partner and I, were put in a room with a very small &quot;double&quot; bed which was sunken in the middle and we had to stick a leg out the side to keep from rolling into the center. We complained and they did bring up a single cot which worked fine. They only change towels when you ask them too. We had to ask for more toilet paper when we ran out and they never gave us any soap - fortunately we had taken a bar with us.The bathroom was about the size of that found in a jet airplane! No kidding. You couldn't turn around in the shower without pushing out the too-short shower curtain and the floor of the bathroom was always covered with water. The sink was miniscule and there was little room for toiletries to be set. You can't sit on the toilet with the door closed there is just no room around you - one leg under the sink and the other in the shower with your knees up against the door. We were promised a TV but there was none, until we complained and one was brought up the 2nd day. The heating was inadequate. We understood we would be having a full English breakfast but all there was was generic cornflakes, milk, stale coffee or tea (at least in large amounts), awful white bread toast with generic jam of some kind and a boiled egg. It got us through for a while. And when we reserved the room we asked for a smoking room. The staff never told us that no smoking was allowed in any room. They said we were free to step outside - yeah and freeze! Of course smoking has been virtually outlawed in the UK so SMOKERS BEWARE you cannot smoke anywhere in London, except outside, and that is even not for certain. Go someplace less repressive like Spain or Portugal or Hungary where you can still have your freedom to smoke and have a better climate, lots of castles, history and culture too. That's what we will do from now on. Goodbye London/UK forever! There are too many places to see that are more tolerant and just as interesting, charming picturesque.	
Jan 27 2008 	it did wot we wanted	If you want just a bed for the night and you are on a budget his is your ideal stay. I booked this room for myself, partner and my 3 kids. My first opion of this room was that it was dirty and the carpet was filthy, but after a long night out in london i must admit it was nice to come back to a hotel with nice white clean bedding. The staff was friendly and it was an ideal location for the tube on a main line, just wouldnt want to spend more than one night there. I paid £79.00 for 2 adults and 3 children and couldnt find any were cheaper. You get wot u pay for. And we managed to park our car for £20.00. We have stayed in london as a couple without the children and paid 250.00 for one night and that wasnt any beter located. So if you have a kids with a budet spend one night there only, or if you are a back packer i recommend all week. Very difficult to find low budget hotel with more than 2 children.	
Jan 15 2008 	Awful Nightmare	The only redeeming feature of this environmental health disaster area is its short walk from the Tube.Receptionist/Managers view is that everyone complains and threatens to report them to environmental health, so Go Ahead - there are always people desperate enough to stay.Their own view is their website is a load of lies but as they didn't write it, not their problem. Damp, mould growing on the carpets, no heating, no working water in room, dust to write your name in. Toilet cubicle on shared landing - only use if you are a slim flexible adult who has no problems with embarassing splashes - the micro sink ensures the plastic non-stick floor is permanently wet.No rooms on ground floor - Be prepared to carry your own luggage up steep flights of stairs.  Families with small children should avoid at all costs. Windows in this four storey experience do not lock, fully open and catches are loose. If you prepay - their view no refunds unless you give them 72 hours notice prior to the start of your stay. On arrival you will regret having paid them anything.Breakfast if you can get it is a single hard boiled egg, barely toasted cold toast and awful tea or coffee. You will quickly understand why all the guests staying longer than 1 night are eating their own supplied breakfast.Staying here will ensure you have a warped bitter view of London - plenty of other cheap hotels will leave you with a positive experience of London. Very glad only there for 1 night of cold shivering hell.If you must pick this place - bring own blankets, towels, loo roll, breakfast. Do not expect a lot and you will still be disappointed.	
Jan 2 2008 	What an awful place	I would not recommend the Windsor House Hotel to anyone. This place is awful! Lumpy beds, down the hall toilets (was supposed to be in room). Nothing that was supposed to be in the room was actually there, like a television or telephone.Then there are the rude student receptionists and managers. Very unprofessional and unconcerned.If you can stay elsewhere or at home.	
Jan 1 2008 	GOOD PLACE TO KNOW - GOOD ROOM - GOOD LOCATION	We four chums stayed 5 days over Christmas for Shopping and the SALES and for Partying. We all internet searched seperately for a place which looked homely - with our limited budget - and not too fussy/snobby and 3 of us came up with the same hotel - so we booked. The reservation process was fast and informative and we were told from first response that the hotel had stairs to the rooms and that we could be on the 3rd floor (fine for us - ) and that this was economy/budget - i.e. straightforward room and breakfast - clean, cheap and cheerfull. Our room was exactly as the website said - large, cheerfull decs - lots of tartan plaid, 4 single beds - clean and warm - and with its own basicnloo/shower unit - well cared for and plenty of hot water for hair-washes etc. The breakfast was very tasty - WHEN we got there - (just 2 mornings - due to late nights out) - eggy toast and lots of strong coffee (much needed) and smiley ;) staff. We paid £80 per night - so £20 each and this left lots of spending money for us for the shops - even on our budget. A friend of ours spent £85 recently on a single room in London - and said it was pretty much rubbish... but his firm paid....plus too many moaning /annoyingtourists ) Amazing location - central London, near the tube and with 3 great pubs close by + caffs - restos and chippies. In fact we could have used the kitchen there if we'd needed to - and we did see a few families cooking away - but we had better things to do (SHOPPING !) . Our stay was well positive - and we'd like to say thanks - and that we'll be back for the summer sales if not before. Traceyann and mates	
Dec 8 2007	The nightmare of my life	Complete rip off! We booked this hotel on-line - a room with a shower and WC. On arrival we were given a tiny, stinky, noisy, dirty, flea-ridden (I think) room with no shower and no toilet. Complaints were countered with &quot;If you don´t like it, you can leave&quot; (with no payment refund). Shameless, rude receptionist. I would not reccomend this &quot;Hotel&quot; to my enemy.	
Nov 11 2007	Would not recommed to my WORST ENEMY!	I am a travel agent, have been for 20 years! I was ashamed of myself for being taken in by these people and their pictures on the internet. This was a horror story! I was looking for a room that would accomodate my mother, myself and my 2 sons which meant we needed 4 beds! This hotel offered that. But! The rooms were filthy, the bathroom in our room was a porta-podi and when you sat on the toilet you could take a shower! The beds were metal cots like they have in army barracks!The garden was a disgusting mess with brooms and dirty mops standing upright where plants should have been!Please do not save a dollar and go here or you will forever regret it!If I sent you there you would sue me!	
Oct 19 2007	Great location	A regular guest for the past 10 years. Easy from Heathrow on the tube, easy for travel around London, or walk around London.Staff always friendly. Accomodation is basic but clean and the use of the kitchen is really an asset as food is very expensive in UK. Within walking distance of 2 large supermarkets.	
Sep 10 2007	Back for the third time!	I first stayed at Windsor House in December of 2005, when I was traveling by myself. As a single woman, and being out of college, I do not enjoy hostels. I was looking for something safe, yet comfortable and reasonably priced. I very much enjoyed my stay there; the staff were very friendly and obliging, arranging a taxi for me when I left and always happy to answer any questions. It is a no-frills establishment, in a reverted townhouse, so those looking for four star amenities will not find them here, as the house is not wired for room phones, internet, or television. However, you will find a pleasant atmosphere, a lovely breakfast in the common kitchen (a huge plus for those traveling on a budget or who simply like to prepare their own food instead of always eating out), daily maid service, and a small entryway with CCTV cameras, someone at the desk, and a large metal security door that closes at night and to which only hotel guests have keys. For me, the location is ideal; right round the corner from the Earl's Court tube station, and across the street from a great pub and one of the best Chinese restaurants I've ever been to, not to mention the Marks &amp; Spencer Food shop. Granted, the Earl's Court Concert Pavilion is nearby, and it can get loud and noisy on the street from time to time. Those who have difficulty walking should note that most rooms are up a staircase and there is no elevator. For me, that is part of the charm. During my stay, I had two friends come to spend their vacation; Windsor House gave them a room right next to mine.Although there is no internet in the hotel, the McDonalds around the corner is also an EasyInternet Cafe, and is open til early in the morning.The neighborhood once you turn right out of the door is very pleasant, and a good place to go jogging.When I returned to London in September of 2006, I was with my younger brother, who had never been to London. We stayed in a lovely room with a window. We had requested to have a shower and toilet in the room (some have them down the hall, never a problem for those who have lived in dorms or stayed in old buildings, but my brother was 18 and legally able to drink-my mother thought an in-room toilet might be a good thing!) and the staff placed a small portable television set in for us. We had a fabulous time! And when my parents stopped over for a quick weekend on their way to Italy they were able to book a room at Windsor House with us as well. I am now preparing to return to London with my boyfriend, and of course will be returning to Windsor House. One of the neatest things, I find, is the common breakfast. Served family style in the kitchen, you can meet all kinds of interesting people from all over the world who are staying there, and have delightful conversation and make new friends.If you are traveling on a budget and don't need all the &quot;frills&quot;, but merely a comfortable, pleasant, clean room that is centrally located, I really don't think you could do better.	
Sep 4 2007 	A youth hostel would be better	This hotel was such a nightmare that we were going to stay for two nights but ran off after one. The shower didn't work at all and the toilet sounded like a jackhammer for about 15 minutes after flushing it (the bathroom was so tiny that toilet was nearly inside the supposed shower). The bed was uncomfortable, lumpy, and the TV only received one fuzzy channel. The location sucked -- bars in the area closed at 11 p.m. and there were no good places to eat. We were exhausted and miserable after one night there, as were a family of tourists leaving at the same time as us. It was among the worst hotels I've stayed at; a youth hostel would've been better.	
Aug 27 2007 	Easy stay and easy on the pocket	Not at ALL easy to find space for a famly with 4 children in London in Summer. We found the Windsor House Hotel and enjoyed it loads ! Firstly - they LIKE children - no matter how bouncey - and ours are... 5,8,12,14 - and this means some noise and a fair bit of jumping around and lots of untidiness. 2 years back we tried a large hotel (as opposed to a smaller, simpler B&amp;B) and we were honestly made to feel uncomfortable by other guests (too posh to play) and by the Staff (too stiff to bother). NOT so here. We felt relaxed and were made welcome and in the final event our kids met other children from all over , including a specially nice Dutch family - and now have pen-friends - AND the smallest two cried on leaving day and wanted to stay on - A first ! These are great rooms for families - large, bright, functional - with a shower and loo inside the room - cleaned daily cheerfully by cheerful staff - no matter the state we left it in. we used the kitchen 4 evenings out of our 6 night stay for warming up the inevitable fish fingers and chips - without which our kids suffer withdrawal symptoms and the garden was a blessing. We could scoot them all out of the room while we took a desperate nap and recovered from them. Breakfast was cereal and eggy toast which the kids approved of - and we paid £87. 50 pence per night. Our verdict was Easy stay, Easy on the Pocket and location perfect. Very child friendly. Not posh if you are posh, but just as a previous review said - Not RItzy, or glitzly but nice.... to paraphrase. Thanks to all for putting up with us . Dave and Annie BODMINN.	
Aug 15 2007 	This is not a hotel - this is bed and breakfest room	This was the worst &quot;hotel&quot; i ever have been in.The location is ok , the staff were ok but the lady manager was sorrow and unwelcome. We felt like children in summer camp.The place need complete rework , no phone in the hotel at all , no internet , no TV, no lift , so thin and clastrofobic.I could not called that a hotel , it is a low value room with a breakfest (toast , butter , jam , egg , tee , coffe).it has 2 small refrigirators in the kitchen for the guests.Sometimes you have to wait in the mornings about 10-15 minutes to sit (4 tables for 25 rooms) for the meal..Try to find better choise , it is wort to invest few pounds more and have good vacation , the bitter taste will follow you for a long time but the money will be forgoten soon.	
Aug 11 2007 	Room Suited Family Of Five Cheap Hotel	Booked this 'hotel' in Earls Court, had alot of trouble finding a hotel that would accomodate a family of five, and in fairness the location of this hotel was brilliant, it was just 3 underground stops from south Kensington where the natural history and science museums are located, which is what we wanted to explore, so the hotel location was great, just down from the tube station. The room was basic, small, but it did have a double bed and 3 single beds. It was fairly clean, the beds were fine, there were two pillows on every bed, which was a blessing, as sometimes it can prove impossible to get a 2nd pillow ! I had booked an ensuite room, and had received confirmation that I would have a 'new' shower in our room, and that is exactly what we got, a plastic square box containing a shower in the middle of the room, it was like it was dropped in there from Mars or some other planet. No toilet. I raised this with the girl at the downstairs desk, there was nothing she could do, the hotel was full, so we didn't have a loo in the room, which was a bit inconvenient as the next available toilet was up a flight of stairs, and with three kids this can prove a bit troublesome, plus we tried various bathrooms in the hotel on different floors whilst we were there, and none of them contained soap or towels or even paper towels to dry your hands ? which I found strange. The breakfast was ok, we arrived down the first morning at exactly 8.50 a.m. all excited and ready for our day, to be told &quot;sorry breakfast finishes at 8.45 a.m.&quot; and there was no arguing there, they were adamant, so we ended up going down the road and getting the breakfast in a cafe, which was fine. The following morning we were down at 8.30 a.m. and had to queue outside in the hall, we were lucky to get a table at almost 8.50 a.m. (same time as previous morning !) and were allowed breakfast that morning, which was adequate, consisted of cornflakes, a boiled egg and toast, tea or coffee, its a no frills establishment, but in fairness for the money, its good value, it cost us approx £85 per night for the room, this was a special offer apparently, which for a family of 5 was good value, and the location was brilliant. I would not stay there again, as it was a bit too basic for my liking, but if all you are going to do is sleep there, then its fine, but if you have kids, make sure you ask that there is a toilet in the room, and do not be fooled by the fact you may get a shower in the room, this does not automatically mean you will be getting a bathroom with a toilet, as its a box in the middle of the room, you certainly wouldn't want to have any vanity issues with your family, as everyone had to hop in and out of the shower in full view of everyone else !! All in all, the room was fine. Cheap and almost cheerful. A little bit dark and in need of a revamp, but for the money, you get what you pay for, and if you're in London, then you are looking at he sights outside of the room really.	
Aug 8 2007 	Bad start	Stayed five nights after reading OK reveiws. Despite booking many months ahead we were told that there were no family rooms available for the first night. We were offered 2 rooms - one that smelt of cigarette smoke and had a very small double bed and another a flight of stairs up that had 2 single beds. I wasn't happy and the manager attempted to pacify me by showing me the room we would have the next night. So he showed me in rooms that people already had their belongings in. The showers were cold if you over slept. On the plus side the breakfast was vertually all you could eat and the use of the kitchen at night was a benefit.	
Apr 7 2007 	NOT Ritzy Chinzy Glitzy but NICE !	We had a perfect stay - thank you all. Very relaxed and our 3 boys (6,8,12) gave the ‘thumbs-up’ and said not snobby so they felt very ‘chilled out’ from the word go ! A standard family room equipped with 5 single beds was just right for us, as was the price of just under £80 for each night. Ensuite shower and toilet not huge – but then neither are we ! One Big bonus was the kitchen use as the kids got very tired on day 2 after the London Eye and the Tower and the ability to heat up sphagetti, oven chips etc was ever so handy and there was no need to drag them out again for a meal.  This is not a ritzty, glitzy, chinzy, bijou, chi-chi type of place (!) and if that’s what you need it may not be right for you. A good little homely B&amp;B is our opinion – clean, straightforward value for money where kids can hop about safely and make the odd squeak and not get told off No designer kitch – just functional and just right for a good cheap family stayover. We also thank our London friends for finding this B&amp;B for us. Tom and June Grifon and the boys.	
Apr 5 2007	just what i expected from the advertisement	I stayed at the Windsor House Hotel with my family for 10 days at the end of March, 2007. The website promised no luxuries, but warm clean rooms, and a decent breakfast. I am happy to say that this is exactly what we got. The room was always warm, and kept very clean, just how we wanted to find it after long walks around London. Of the staff, the two gentlemen at the front desk, were always willing to help us with all our queries., and the breakfast people did an excellent job – the food was always warm, the servings were big, and there was plenty of choice for our two children. I also felt that the room was given to us at a bargain price, but I had in fact booked six months in advance. My (Greek) husband complained that the shower/WC unit (in the room - no queuing!) was too small - yes, it was small, but it only caused minor discomfort (big-size people may find it a tad more uncomfortable than I did!). He also complained that the hotel looked 'old', but I think he was unfairly comparing London with the mediterranean island where we live! The soft rumbling sound of the trains from Earls Court Station was more reassuring rather than noisy. The other good thing about the the location of the hotel was that you didnt need to cross any streets to get to it from the station - another bonus for travellers with kids and suitcases to tow. The only downside is that some rooms required you to climb a lot of stairs - in my opinion, just another minor discomfort, given the price, quiet and convenient location, and hearty breakfast. I would definitely stay there again if I had the chance to visit London in the future.	
Mar 28 2007 	Disappointing	Only stay here if you're on a budget and don't care about anything but a bed and the tube station nearby.All rooms are above ground floor by narrow stairs which were difficult for my senior mother to navigate, especially with luggage. The 'bathroom' was a porta-potty sitting on the floor in the room with a very small shower, again difficult for my mother. The egg breakfast and toast consisted of hard-boiled eggs only. The heating barely kept the chill off.We almost forfeited our prepaid booking to stay elsewhere.	
Mar 27 2007 	Fantastic wIll stay here again	For the price you pay you get a no-frills hotel, a great and very satisfying breakfast, and a decent clean room, right next to the Earls Court tube. What more can you ask for? OK so it's not the Ritz but I really loved this place. For the price you pay it is really a good deal. Before coming here I analyed every budget hotel like you wouldnt imagine, trying to choose the best hotel for price, comfort, safety - I took a chance on this hotel and was very pleased.If I come to London again (and I will certainly do so) I will stay here again.	
Mar 22 2007 	A GOOD SIGHTSEEING/SHOPPING SLEEPOVER BASE	We've just stayed 5 nights and were well satisfied. A room with two good beds at Pounds 26 each - no extras - we grabbed eggs and toast at 7 30 on the dot daily and were on our way out by 8. 30 to make the most of sunny mornings in town. By the time we got back at 5 ish our room and shower and loo were all nicely cleaned up for us. Perfect. Clean decorations - clean room. Good enought for us. We've been readiing various reviews on various sites on several hotels, pior to making our choice and we wonder if it's mainly the 'negative lot' who bother. . We overheard quite a few 'London is a rip off' moans around town and yes - the dollar's not getting a good exchange rate right ow and we simpathyse - but do please spread a little cheer as you go round our Capital City? This is a good little place to know in London - plain, clean and good value. A good sightseeing.shopping sleepover base. Thank you staff ! Sandy and Joshua, Taunton, near Bristol	
