	nice place shame about the area! No Good for anywhere really.	Sold as London Park Royal, this is about as royal as China is Democratic, no obvious park and about 90 minutes from the City, an hour from the west end.The hotel is clean enough, nice and new with rip off parking and expensive films. The area is a bit mix and match with possibly the worst &quot;Mediteranean&quot; restaurant in london across the road, if it wasn't out of stock it was still in the freezer, even the kebab was bland, the lebanese beer on the menu was fake appletise at £1.50 a bottle. The food we had was fresh and the waitress useless but funny, mainly because she spoke about 30 words of english.There is a pub, and a tube station 100 yards away which is JUST in zone 2 and manages to make just enough noise to get you up before dawn.Breakfast starts half an hour later than most at 07:00 and given that it's an hour or more into the office, is totally useless apart from the very nice mini muffins which came out first.You can do so much better for less money.It's handy for... wormwood scrubs prison. It's a short list.Close to the BBC, wembley and some of the roughest places in northwest London, but not close enough to be of any use.	
Mar 7 2009 	Clean comfortable convenient - and cheap for London	Agree with other reviewers about this Holiday Inn Express location as a cheap and cheerful base for a business or leisure trip to London. With a Priority Club advance purchase promotion I got B&amp;B for about £40 a night which is excellent value for a hotel so close to central London.Handily located next to North Acton tube, the only thing worth pointing out is that this suburb is not the most attractive area of West London and, other than a small Tesco Express store and a couple of independent take-aways / eateries, there's nothing else of note in the immediate area. Some might even describe the largely commercial district as a little threatening, especially by night, and I'd not recommend it for lone female travellers as the short walk from the tube station, whilst well lit, takes you behind the hotel and some commercial properties on a ramp / steps which can't be seen from the (quiet) road on which the hotel is located. Five minutes on the tube though back towards London (alight at Shepherd's Bush) and you have all the eating and shopping you need at the fabulous Westfield London shopping mall.Definitely worth considering if you need to 'do' London on a shoestring.	
Feb 27 2009 	Spotlessly clean warm and good value.	My husband eleven year old son and I stayed in this hotel recently and I would certainly recommend it. It was spotlessly clean, warm and we were able to park our car for £10 in the hotel car park each night. We found the staff very polite and welcoming and the continental breakfast was refreshing. The train station was literally yards from the hotel and it took only twenty minutes to travel into central London each day by train. It is ideal for familes/couples/single people who need a clean basic hotel which is handy for central London. There is also a Tesco Express situated across the road which we found very handy.	
Dec 22 2008	Good location	Very good location, clean rooms, value for you money. The breakfast is a little bit poor. Staff is friendly. Tesco is 2 minuts walk.	
Dec 13 2008 	Excellent value for money	We stayed here for 5 nights at the end of Nov. 2008. We took a blind bid on Hotwire, and we have no regrets. As others have noted, the rooms are clean, comfortable &amp; modern. furnished Ikea style. Although the hotel is adjacent to the North Acton tube station on the Central line, we asked for a quiet room. They gave us a room on the 4th floor, and noise was never an issue. The hotel is now all non-smoking - a big plus. There is a Tesco Express mini supermarket across the street from the hotel, but little else in the neighborhood. However, the tube will get you to the center of London in less than a half hour. Trains run frequently - don't forget your Oyster card. Thanks for the transport tip from member freci, regarding the easiest and fastest way from Heathrow Airport, which is worth repeating. Take the Heathrow Connect train ( a real train, with lots of room and luggage racks ) to the Ealing Broadway stop. You can then transfer across the platform ( no steps ) to the tube. You then have only 2 stops to Acton North. However, you must navigate some steps after you get off of the tube. It is an uphill walk to the hotel, and there are no elevators or escalators at the Acton North Station. The continental breakfast buffet is included in the room rate and is quite nice, but does not include bacon &amp; eggs, like the Holiday Inn Express hotels in the US. For all of this, we paid the miserly sum of $68.03 per room, per night, including all taxes and fees. So stay here, and with the money you save, ride down to the half-price theater ticket booth at Leicester Square. We saw Michael Gambon on stage in Harold Pinter's &quot;No Mans Land&quot; ( The play was so-so, but Michael Gambon gave a brilliant performance). Go, and enjoy London.	
Dec 12 2008	Great value for money	My husband and I spent a long week-end here recently. Very clean modern hotel and most helpful staff.Bedroom was spacious, bright and airy with a good sized en-suite. The bed was most comfortable. I note that a previous reviewer mentioned 'no hair-dryer', it's in the dressing table drawer.Breakfast was more than adequate with a choice of juices, teas, coffees, cereals, yoghurts, toast, danish pastries, fruit, croissants etc.The North Acton Tube Station is a 2 minute walk from the Hotel, and the Tube takes about 20 mins into the city centre, and it runs until the early hours of the morning.Our flight home was late in the evening, and there was no problem leaving our luggage with staff until required.We would stay there again.	
Dec 4 2008 	Perfect	This is a pleasant, clean, comfortable, new hotel that is only about twenty minutes on the underground from the center of London. The only thing missing is hair dryers in the rooms. The breakfast was simple but good. The stafff is helpful and pleasant. The underground stop is right behind the hotel. I doubt that you could do better for a reasonably priced hotel in London. There are coffee shops, a pub, a bank and a small supermarket right nearby.	
Oct 20 2008 	Good Price Convenient Location	I have stayed here a few times now as it is convenient and well priced. The rooms are a good size and quite comfortable. The included breakfast is fine although hot food would be nice but not essential.The staff were extremely helpful and on my last visit the cooling system in the room was not working and I was moved to a new room with no problems.Also the hotel has recently become 100% non smoking which is great.I only have one problem and that is that the wireless internet service was often quite slow with a poor signal strength, hopefully this will be fixed.I would be happy to stay here again in the future.	
Oct 11 2008 	Great Value	We found this hotel &amp; decided to give it a try due to the positive ratings &amp; the price. We would highly recommend staying at the Holiday Inn Express London-Park Royal if you are going to London for a few days. It is located outside of Central London - but it is still considered Zone 2 - which helped w/the Travelcards. It took approx 15-20 minutes to get anywhere you wanted and it is literally right next to the North Acton station. The breakfast has a wide variety of juices, pasties, cereal and fruit. The rooms were decent size and comfortable. If we go back to London - we will look into staying here again.	
Aug 31 2008 	Ideal	We Stayed here because it was an ideal price for us,Iwas unsure what to expect as it was such a good price.But the out come was that it was a very clean and comfortable hotel.It was ideal to get into the centre of London to do all we wanted to do.It took about 110-15 mins by tube to Oxford Circus and from there the tubes were ideal to get any destination you wanted.The tubes also ran late into the night so you do not have to rush back to North Acton at a certain time. I will definently be staying there again.	
Aug 12 2008 	Excellent Value Comfort and a Good Location	The Express by Holiday Inn London Park Royal was booked at a rate of seventy-two pounds fifty per night through IC Hotels on-line. The hotel was reserved a few months in advance for the summer high-season of early July. Impressed with previous Express by Holiday Inn's before, I hoped this one would be good as well. It was, with a comfortable and clean room, a decent location with good transportation links, good service and above all, a great value for four people.Coming via Heathrow was difficult and took about forty minutes. I opted to change for the District Line at Acton Town and then change for the Central Line at Ealing Broadway. The change at Acton Town was not easy as I had to cross over a footbridge carrying luggage to the District Line Platform. This may have not been an issue had the lifts not decided to take a day off. The change at Ealing Broadway was thankfully all ground level (seeing how it is a terminus for both the District and Central Lines). From Ealing Broadway, it was a few stations to North Acton Tube station. Again, another set of stairs greets guests loaded with luggage up to street level. The hotel is very close by, it can easily be seen at the tube station. Exiting the tube station, is a pathway, either left or right. It does not matter which one you take, they both lead you up to street level and eventually the hotel which is just roughly 200 meters away. Check-in was fast, though the room was not ready on arrival just after 11AM. The motorist will note the parking area at the rear of the hotel. The helpful staff offered to hold the luggage until the room was ready. When the room was ready, I headed to the typically small lifts and through the bright and clean hallways to my room. The room was similarly clean, bright and modern, what I expect of these new Holiday Inns. The room was at the back of the hotel, facing North Acton Station. The bed and sofa bed were double sized and reasonably comfortable. Cubbyholes and storage were adequate for four people. Though it was not spacious, it was just fine. A CRT TV near the window displayed a greeting. It sat on a small desk where luggage can be placed on it or an accompanying chair. Ice can be obtained via a ice machine in the lobby. The window is large and can be opened for fresh air. However, if left open at night, one gets to enjoy the pleasing sounds of the Central Line, and if one listens carefully, can hear the announcements. Those not wishing to hear Emma Clarke's voice can shut the window and rely on the HVAC system which worked reasonably well. The bathroom was of standard Express by Holiday Inn fare, with the WC being able to be separated from the powerful hand-held shower and clean wash basin via a double hinged door. The fire alarms all worked well and were loud enough to wake guests, as a guest had burnt toast one morning and set off the alarms. Comforting to know such basic safety features function as they were intended to. Breakfast consisted of excellent pastries, breads and juices along with fruits and other continental fare. The room was busy at around 9AM, but not overly so, and it was reasonably spacious. Tables were available, and TVs were set-up to keep travelers up to date with their news. In the lobby, there is also a computer with internet access for the price of one pound for five minutes. The area is relatively quiet. The road is not very busy at all. A small convenience store is located adjaecent to the hotel, but a larger Tesco Metro is just down the road. A petrol station is also adjaecent to the hotel (though not connected) for the motorist. The area is reasonably well lit at night, provided by the petrol station in all. Not too much in the way of dining in the area though, but the hotel does provide food for dinner in the lobby area. The main local transportation link is North Action Station. While small, it does have a ticketing booth for tourists unfamiliar with TFL fares. The Central Line, unfortunately, does not connect well with Heathrow, Gatwick or St Pancras International Railway Station. Each one of these destinations will require at least one changeover. To St Pancras, changing at Notting Hill Gate is probably the best solution given the other options of Oxford Circus, Tottenham Court Road, and Holborn are likely to be busier. Still, remember that the Central Line is a &quot;Deep Tube&quot; line and the Circle Line at Notting Hill Gate is a &quot;Sub-Surface&quot; line, meaning a long set of escalators to change. Even so, pay attention to the destination of the train, as the District Line shares the same platform, and you want the Circle Line to Kings Cross St Pancras. Still, for trips to Central London, the Central Line is the Central choice, given a trip to Oxford Circus took just twenty minutes. As well, the train does not tend to be too crowded at North Acton. When coming back, it does not matter the direction of the train, (either towards West Ruislip or Ealing Broadway) rather ensure the train does not terminate prematurely, sometimes at White City. Also, Stand Back! The Central Line and its Automatic Train Operation means it tends to come into stations very quickly. Check-Out was as efficient and speedy as check in. This hotel definitely is recommended. The great value, the friendly staff, the clean and comfortable rooms and the breakfast all count towards it. The only area where it could have been better was international transportation links and perhaps a few more amenities in the area. Still, highly recommended for and a great value, suitable for four people.	
Aug 5 2008 	OK but no working A/C	I stayed at the hotel for 3 nights it is of good value, especially as the tube station North Acton is very close and this is zone 2 of the tube.The problem I had was that the air conditioning was out of order during all nights I stayed at the hotel. For the third night I receieved a table fan. As it was not very hot but rather humid I slept OK with the window open and ear-plug (because of the heavy traffuc outside and noisy fan). I do wonder if the hotel is trying to save money by not fixing the A/C.I have an additional transportation tip: either use the Heathrow Connect to Ealing Broadway and switch to the Central Line there. Or Take the Piccadilly Line from Heathrow to Hammersmith and catch the buss 266 there towards North Acton Station. This is a cheap option and much more convienent than the tube-only option(Heathrow-(Piccadilly)-Acton Town-(District)-Ealing Broadway-(Central)-North Acton.	
Aug 5 2008 	Be careful which room they put you in!	We have stayed in a few holiday inns both in the UK and US and been very happy with them however our most recent trip to London was a big disappointment.We were staying in room 115, do not stay in this room!!!! When we opened the door we saw what looked like a giant camp bed that folded up into the fitted wardrobes on the wall, we could see all the metal below the bed and the mattress was no more than 10cm thick! There was a table that folded out at the end of the bed but didnt as the fold out as the bed was in the way! This makes me think this room may be used for meetings not a real hotel room!We went out for a meal and returned to the hotel about 1am to find there were only 2 very thin pillows, after looking in the wardrobes we could not find any more so called reception to be told that they did not have a key to the housekeeping cupboard (!!!)That night we both woke up every hour as as the bed was so uncomfortable, thinking about it now we would have been better on the floor!Breakfast is good however it was clear that they were very understaffed as one girl was clearing everything up, there were no free tables and we ended up having to clear our own table to sit down. We had to ask for plates, bowls and teaspoons as there were not any out.I'm sure other rooms may be fine just remember if you have room 115 do not not stay in this room!	
Jun 27 2008 	Good value a little outside London	This hotel was a bargain compared to the other prices I could find for accommodations in London. While it is about a 45 minute ride on the Tube to central London, the hotel is literally located on the hill above the North Acton tube station. This was very convenient for accessing the tube. There are about 15 steps that must be negotiated to exit the station. But then, there is a ramp outside the station to get up to the street with your luggage. When going to Heathrow, there is about a 45 minute tube ride, if you first go to the Hammersmith tube station to avoid negotiating any steps with your luggage.The hotel is very clean and the breakfast is adequate, but included in the room rates. The shower is quite good. The rooms are bright, a little small, but very clean. The hotel was very quiet.	
Jun 17 2008	Postion perfect and thats why you stay	This hotel wasthe choice of my sister and I as we wanted to explore London on a budget. The hotel is Zone 1/2 on the subway and a 2 minute walk to the station. I would like to know if anyone can stay closer to central London cheaper. The hotel was clean, comfortable, with an above average breakfast (continental style) We really did only use the hotel for sleeping so I cannot review its facilities. We ate early and had no issue with seating in the dining room. The Tesco over the road is very handy and there is also a laundry a ten minute walk away (or a bus ride that we didn't bother with) Lack of laundry facilities was my only complaint. The hotel is not 4 star luxury,it is clean convinience.	
Jun 2 2008 	Excellent value for money	We opted to stay in this hotel for a couple of reasons. We wanted a weekend away in London, and the hotels in the city were charging extortionate amounts. For what we could afford (£60-£70) we would expect some sort of hole in central London. I am a Priority Club member anyway so Holiday Inns are preferred where possible, and the rate we got was just £60 for the night. For London that is a very good price.We arrived on the tube into North Acton, and as others have mentioned you can see the hotel from the tube station. Unfortunately you have to walk all the way around to get to it, which only takes about 5 minutes. The first thing that hit us was that the area wasn't that great. There were lots of black people driving cars with the bass turned up to full volume, and lots of youths hanging around on the corner outside the hotel. Not the best if you are a single woman I guess, but as a married couple (and me being 6ft2 tall) I wasn't too bothered.On arriving to the hotel, being a Priority Club member meant that we just had to sign the book and take our key to check in, as usual at these hotels. We had a letter with my name on it from the manager welcoming us to the hotel, again standard practice.Check in was friendly and we were advised that we had free breakfast too - again not bad to be included in the £60 room rate.Our room was on the third floor and overlooking the tube station. The room was very, very smart. Clean, modern, comfortable, everything you'd want from a hotel room and more. Bed was very comfortable (but only a double not a king), and was a good size. There was a comfortable settee and air conditioning.The TV had many channels, all the usuals plus Sky News, BBC News, movies and more.Shower was powerful and bathroom very smart again. The room felt more like a 4 star hotel than a budget chain.We went down for breakfast in the morning that was nice, typical continental really. No cooked breakfast scored a minus point for me, but it wasn't bad for free.We checked out and again service was very friendly. The bathroom in reception was out of order, but my wife needed to use it. Not a problem said the receptionist, as she showed her to the staff toilet to use. Very good service.Big thumbs up from us, and certainly somewhere to stay with easy access to central London, just 20 mins away on the Central Line.	
May 9 2008 	Serves the purpose	This was my second stay in this hotel and in both cases I was pretty well satisfied with the experience with two minor exceptions. There are no real dining choices close to the hotel, but there are plenty within a short Tube ride in either direction. Secondly, the charges for using the telephone or internet in the room are high , so be careful. Generally speaking, European hotels have not caught on to the idea of free internet usage yet. Other than these two small issues, the rooms are affordable, clean, of adequate size and comfortable. And, as been said in other reviews, the central line is a two minute walk. Plus, the Heathrow Connect is a lower price alternative than the Heathrow Express and can be taken to and from the Ealing Broadway station on the Central Line.	
Mar 29 2008 	Well worth the Money	excellent buy for the price; room clean, bathroom spotless and continental breakfast included! just steps away from the tube and approximately 15min from Victoria Station	
Feb 9 2008 	Nothing Special	Having read the reviews I expected more from this hotel. It's position adjacent to North Acton tube station is indeed convenient, as is the Tesco Express across the road. As in any HI Express, it is fitted out in Ikea type furniture which is functional. Bathrooms are pleasant and the rooms have a nice bright feel to them. As a double/twin they are fine, but as a family room, they are far to small. The breakfast was better than the standard HI express, although the breakfast room was too small and was often crowded. Our room had heating/air conditioning which worked well, if a little noisy. The quilts were the exact size of the bed and should have been larger, enabling some overhang. We found the staff hot and cold. At reception they were very helpful, but we asked the maid for some shampoo as our dispenser was empty and she told us to go to reception because she didn't have a key? My wife asked for a teaspoon at breakfast and was told there weren't any. After 10 minutes or so, newly washed ones appeared, which was 10 minutes too late. The TV remote control didn't work properly either and it meant keep having to get in and out of bed to use the TV properly.Given the fact that it is a fair way out of the centre of London, there are better options closer to town. If you want somewhere cheap to crash out, this place is fine.	
Dec 26 2007 	Great Hotel - Very helpful staff	I really enjoyed staying at this hotel with regards to most things. The staff are exceptionally helpful, there is a simple but good cooked food menu available in the eating area, the standard holiday inn express breakfast is good and the hotel interactive TV system is good. it is also clean, comfortable and well maintained. There is a convenience store next door, a petrol station with convenience foods further down the road and a cafe and pub across the road.The North Acton tube station is literally behind the station but despite facing the station we did not experience any noise problems.The main problem is that the tube station is quite far out from the central London stops and so you can expect a 10 to 15 stop journey if you want to see attractions in London. Also the tube gets VERY crowded, especially weekday mornings and weekend evenings (which is to be expected, but it is still annoying when it is such a long journey).Also there are very limited eating options available. but there are a couple of very good delivery services that the hotel had brochure menus for - an indian place and a pizza place, both of which we got delivered without any hitches and the hotel staff also gave us plates, knives and forks so we could eat the food in our room easier.Overall I was very impressed and the Hotel Wifi service was also good and useful.	
Nov 9 2007 	Excellent Value: Paddington / Heathrow Convenience	I arrived in London late in the day and needed simple accommodation before going to Heathrow via Paddington the next morning. I think this was a similar scenario for many of the other guests.The easy visibility and the short walk from the North Acton station lends a lot of comfort and mental ease when you arrive. The hotel is decorated with modern good style -- colorful and fun. The rooms here, as in most Holiday Inn Express, are designed to be kept spotlessly clean. The lighting is excellent, and the on/off switches are easy to find and figure out. (Not always the case. :-) )The array of breakfast items, included in the cost) is excellent, and the abundant staff kept things stocked.Desk staff were all enthusiastic young people, friendly and helpful. I was very pleased.If you stay at this hotel as part of an extended trip to London, be sure you do not need access during the day. It's an easy but long trip on the Underground. And also be sure to buy the new Oyster Card for the Underground. The paper tickets cost an arm and a leg now. The Oyster Card, like the Washington DC Metro Pass, never expires and you simply add fare as needed.Except for the breakfast buffet, the hotel restaurant is a bit odd. Located in the lobby, it requires ordering and waiting in the lobby, with a 20-minute wait indicated. I wasn't convinced it was worth it, so I stopped in the mini-mart next door and bought a refrigerated sandwich.	
Oct 26 2007 	A gem right off the Tube	This hotel was a great start to our vacation. It has a great location on the outskirts of town, but right by a Tube station(North Acton). You get out of the tube and you are literally looking at the back of the hotel. It was extremely clean with breakfast included. Nice spacious room with a nice bathroom. There is a little convenience store next door if you need a Coke or a few bottles of wine to finish the day. The Tube staop is the last one in Zone 2 so you can buy passes for Zone 1 &amp; 2 and it worked perfectly. I would stay here again next time in London.	
Oct 19 2007 	Good Value HI Express	I think nearly all of what I will say has been said before but here goes. Price: good value - £48 per room per night booked 6 weeks in advance via HI website (for a Friday and Saturday)Location: Very close to tube line, 20 minutes to Oxford Circus - in zone 2. Little hassle to get into town (Central Line).Room: Standard, clean HI express room. Comfy bed, well powered shower. Quiet but no air conditioning. Newish room.Breakfast: Continental Breakfast satisfactory - clean room where it was served, but did get busy. Don't expect it to be awesome and you should be ok.Service: Generally fine, though for some reason it took an age for our three rooms to get allocated, even though it was mid afternoon and there was nobody else to allocate, but we were chilled and it didnt offend. However check out was quick, professional (and accurate! - mind you I had paid in advance). Overall: I would stay here again if I could get the same price &amp; the positive reviews are very much in line with my findings. Represents a good value for money clean hotel	
Sep 12 2007	good value for money	We stayed at the Holiday Inn Park Royal for 5 nigths in September. The connection to the hotel from Liverpoolt Street Station (Stansted Express) is usually very comfortable as the central line tube crosses the entire city and the stop North Acton is rigth behind the hotel. from the hotel to central London destinations you can plan a 15 min trip with the tube. The hotel is perhaps not the cheapest stay, but for london you get a really nice room with a nice bed, sofa, desk and clean bathroom, TV and tea-making facilities.The noise of the tube is not disturbing because of the new windows.Check-in and check-out didn't take longer than 2 minutes.Breakfast is more or less designed for vegetarians but you don't have to leave being hungry.The staff was quite helpfull, since the tube was on strike and they checked every day which line was working or suspended.We also wanted to have a non-smoker room but there was none availible. They suggested that we get a not so smelly room for 1 night and move to a proper room the next day. But since the smoker room didn't smell at all we stayed there without any problems.	
Aug 19 2007	Lovely New Clean Hotel	Well myself and my fiance'e stayed here back in Aprilover all we found the hotel to be very convinent and very close to the Tube station. At first we were really worried about how we would find the hotel from north acton tube station. DONT WORRY ! you can see the hotel from the tube station hehe so its that close !And also dont worry about the noise. we were facing the tube station and when we had the window shut and this other swing window. we heard near enough nothing ! Breakfast is as you would expect for a holiday inn express. Nice continetnal breakfast and also very friendly staffThis is a newly built hotel and you can certainly tell. its in a nice enough area of london and you are only 20 minutes away from central london on the Red Central Line. so its a very handy hotel The only disadvantage we had was the line between north acton and marble arch was closed So it meant either the replacement buses ( which arent actually as bad asi thought !) or you go back to ealing broadway then take the district line all the way to central london. Suffice to say you have lots of options.Overall a good holiday inn express with Friendly staff and the fact we got it for 49 a night is a bargain !!!Defintly worth a visit ! .	
Aug 16 2007 	Good convinient location good staff	Booking the hotel directly from their web-site is the best bet.Hotel staff was very courteous and helpful. Our original bookingdid not include cont. breakfast and they ok-ed it just for asking.Hotel has double connecting rooms at reasonable price.Best part is it's just a min away from underground metro.	
Jul 6 2007 	Good Hotel	After reading the reviews for this hotel, I decided to book it for our 5 day trip to London. I was pleasantly surprised at the cleanliness and the staff was both friendly and helpful. Our room was a nice size. My only complaint that could have made my stay more enjoyable was the bed. It was not very comfortable - very stiff and bounced a lot when either one of us rolled over or got up. The breakfast was a nice continental buffet and the room had nice amenities. The neighborhood was pretty uninteresting - 1 pub on the corner and a middle eastern take out restaurant across the street that had good curry. The hotel does have a bar and serves a limited menu for dinner. We had the salmon the first night and it was good and nicely presented. The underground is right behind the hotel, so it is convenient, but it takes about 20 - 30 minutes to get into central London and about an hour with 2 tube changes to get to Healthrow. All things considered, this is a good choice if your priorities are cleanliness, roominess and price. We would stay there again.	
May 27 2007 	Quite Good	As others have said, this hotel offers good value and decent accommodations. Located just in front of the North Acton tube station makes it quite convenient for getting into central London notwithstanding the dreary location of the hotel itself. But there's a convenience store, bank (with ATM), pub, etc. all on the same block and the area is safe at all hours. The hotel itself is modern and comfortable and the breakfast is quite good. What the hotel desperately needs, however, are more cups and glasses. At busy breakfast times the staff can't seem to wash and recycle them fast enough to meet the demand. Also beware of the wireless internet. It is NOT FREE. In fact, you must physically purchase vouchers at the reception in order to connect. It's 2.50 GBP for 30 minutes! You can buy longer time vouchers but they're only good for continuous use, i.e. no log on and log off. Otherwise, the hotel has everything you need including a pleasant staff and excellent housekeeping.Getting to the hotel from Heathrow takes nearly an hour. You take the Picadilly line to Acton Town and cross over (steps up, steps down) to the District line to Ealing Broadway. There you reverse directions again (no steps) to the Central line to North Acton (steps up). It's not difficult at all unless you have heavy baggage.	
May 26 2007 	Not Air-conditioned as was advertised	I stayed in this hotel from 21 May to 23 May 2007. I booked the room in February at £74 per room per night through their website.My room number is 205. It's a two minute walk from the North Acton tube. First impression of the room is it is clean, spacious(by london hotel room standard) and bright. However, the room is stuffy, hence we try to on the air-cond remote control, after two hours the room is still hot and stuffy. We then inform the reception regarding the air-cond problem. Only then we were told that all the hotel rooms were not air-conditioned. However, we told them that their website states that the hotel room were individually controlled air-conditioning.We were ask to keep the windows open. The tube is right in front of the room and it is very noisy till 1am.The next day, upon checking the bill on the tv, I realised they have accidentally bill my room for another guest. Luckily it was rectified within the same day.The positive side of it is the continental breakfast. Plenty of choice-muffins,juice,coffee,bread,cheese,jams,teas.....they refill quickly too.Would not stay here again especially during summer. I have written to the hotel and hi-express regarding this complain-however they did not reply at all.	
May 17 2007	Nice People nice place	This hotel is very nice. If the room is avaiable, you can check in very early. And assistants is always nice. Breakfast is good and healthy. It is just along the subway in Zone 2. I like the place.	
May 14 2007 	Be cautious of the 'Safe Secure Parking'!	I have stayed at this hotel as a business traveller on two occasions.The first time it was exactly as I would expect a Holiday Inn Express to be: fairly priced, clean &amp; comfortable; no problems at all.The second time was a DISASTER! Despite the fact the company website advertises 'Safe, Secure Parking' I arrived and was directed to park my car down a very narrow alley at the back of some shops. The following morning I went down to get my car to find that they had directed other guests to do the same and blocked my car in. Unable to find out who the guests were I was forced to leave my car or risk being late for my meeting. I obviously then had to return at the end of the day to collect my car, adding an extra hour to my already long journey.The entire operation seemed unorganised and they were not particularly apologetic about the inconvenience. A member of staff even had the audacity to demand that I left my keys in case they had to move my car; clearly, I did not. Quite simply, NOT IMPRESSED!	
Apr 16 2007 	excellent value for money	Clean, modern, big rooms. Excellent breakfast buffet and friendly and helpful staff - you would´nt expext such a hotel in London. Just 100 m from North Acton Tube Station (Zone 2 - 10 min to Nottinghill Gate)	
Apr 14 2007 	Avoid it if you can!	What an experience, after taking at least 25 minutes on the underground to get there from Kings Cross, we checked in slightly earlier after I had rang the previous night to request an early check in.I had booked 6 rooms and we found the rooms to be very pleasant, clean and comfortable.The nightmare came when I checked out, we were presented with a bill for almost £600, which was double what I had expected. At £49 per room per night (6 rooms for 1 night) I explained that this was wrong. I received nothing of an apology and £300 was deducted from the bill.The credit card terminal was not working either to process my debit card, I spoke to NatWest later and they confirmed that everything was okay from their side.Finally, the last insult came with a mysterious £99 charge on my AMEX. When I called the hotel I spoke to someone called &quot;Thomas&quot; who was certainly not gifted in customer services, he agreed to look into it.After calling me back, he explained that the charge had been their error, they thought I'd booked 7 rooms and not 6 so that was the charge for the room we didn't take...Completely nonsense and useless, given that we had booked a £49 rate anyway and only 6 rooms. I would avoid at all costs staying at such a hotel, the management and staff are not able to run and organise a correct system and are not particularly helpful or apologetic when things go wrong (as it seems they often do).I was eventually refunded the £99 with intervention from Intercontinental Hotels customer care.	
Feb 24 2007	Even my wife loved it!	We stayed two days over the weekend (16.-18.2.07). Arriving fom London Heathrow Airport we had to change (subway) trains twice to get to North Acton station, but it was no problem. From the station we walked 5 min. with baggage to the hotel. Check-in was fast and professional. The room was excellent, new, perfectly clean. Our room was quiet, too (R. 320). Our room rate (less than 100 EUR) included the good and fully sufficient continental breakfast for two. In the same building there is a convenience store; coming home from the city after midnight we could even buy some things from the close-by gas station. Check-out was as fast and smooth as check-in. I already stayed in different London hotels of different categories: if you don´t mind the 15-min ride by tube to the city, I couldn´t think of a better choice at this price!	
Jan 3 2007 	Clean and convenience	I love this hotel. I stayed 5 nights during christmas time. My room has a sofa, very clean and new. Shower is great. Just in front of the North Acton Underground station. 15 mins. to city. Can't find any better at this rate (49 pounds includes vat) Will recommend to anyone. Breakfast is great, with the normal continential breakfast plus fruit. I tried the dinner as well. Good too!Just a short note. I had a problem when check-in, staff can't find my booking, but they were helpful and resolve it for me efficiently.	
Oct 5 2006 	It would be hard to find a better place	I stayed here for the last weekend in Sept. I have to say i was plesently surprised by the hotel. We had a double room which was very cosy and it had a sofa in it!! The bed was very comfy as were the pillows. Rooms were cleaned every day and the bathroom was quite large for London. Shower was absolutely heaven!! There is an undergrond just up the way from the hotel and this services everything you could need. The time we stayed it was out of service but complimentary buses were provided and these worked just fine (they ferried us to our stop and we used underground from here).There is a pub just up the way from the hotel and it stays open till midnight (most pubs close at 11pm). They do a great &quot;English&quot; breakfast and dinner menu.The only thing about the hotel is that it is a bit too far out of town (a taxi from Liverpool St Station cost us £40) but if we have mastered the underground earlier would have used this instead. Be careful of taxi ripping you off, it's done quite often in London and always get into a taxi that has the &quot;taxi&quot; sign on it.	
Sep 28 2006 	OK hotel	I stayed at this hotel and I actually liked it.A room (two single beds) was big - very big for London.It was clean, the staff was kind.Only one negative remark: rooms which view to the street - the noise from the street is so loud. So, better to ask for the room on the other side.Anyway, very decent hotel for very decent price.I will surely stay there again when I am in LDN.	
Aug 12 2006 	Very hard to get better overall.	I believe this hotel to offer the best value in London. The staff are very good, the hotel is very clean the rooms are excellant and the breakfast is great. At check in at 11.30 am there were no rooms available (understandable), however a member of staff, Thomas, radioed one of the housekeepers to enquire if a twin room was available. It was so we checked in earlier than expected. Thomas, thank you and well done. Instances like this encourage me to return to Holiday Inn. The manager Ms. Fernandes operates a good hotel. The Tube station is girectly behind the hotel (2 min walk). The area around the hotel seems safe. The hotel serves a limited selection of hot meals in the evening. There are two convenience stores within a few yards of the hotel.I recommend this hotel.	
Jul 20 2006	Pleasant surprise but somewhat costly	This was a terrific place to stay (for 1 night en route back to the USA). The room was new looking and very clean, the bed and sofa-bed were comfortable. It was quiet; the Tube station is directly behind the hotel, extremely convenient!) The area seemed pleasant (across the street is a big BBC office building). The rate was a little high (may be a given due to London and we were in high July tourist season), as paid 105 pounds for a 4-adult room. (queen bed + sofa bed). We also reservedlast minute online. If coming back to London, though, I would try to get this hotel and get a good rate. At a lower price, this placewould definitely get my &quot;Excellent&quot; rating!One thing -- our room wasn't ready when we got there at 2AM, so it was a bit irritating, but we eventually got in. They were kind enough to extend our checkout to 12:30 afternoon, so that was good.	
Jul 14 2006	I highly recommend this hotel !		
Jan 18 2006	Great Hotel		
Jul 15 2005	great stay at the express		
Jun 8 2005 	Good Hotel		
May 25 2005	Excellent!		
Mar 6 2005	Perfect!		
Sep 17 2004	Clean but Far		
Jun 21 2004	Good choice for London Stay		
Feb 10 2004	New but basic hotel		
Jan 23 2004	good Holiday Inn Express Park Royal in London		
Oct 29 2009 	???????????????		
Oct 27 2009 	Hotel à recommander		
Oct 25 2009 	Empfehlenswert		
Oct 8 2009 	hotel in Londra		
Aug 14 2009 	Buen hotel		
Jul 26 2009 	sauber und modern gute Anbindung Central Line freundlich - kleine Zimmer.		
Jul 18 2009 	Impeccable		
