	ok hotel	Clean, comfortable. We chose the area for the O2 arena, although it is about 7 minutes walk from Waterloo. For sightseeing, it is a good area. Rooms very comfortable, although we were woken on Saturday morning at 08:40 by house cleaners to see if our room was ready to be cleaned! (it was a bit early)!. Check in/out fairly fast, although loads of people. Breakfast good. Major problems with elevators. Only 3 for the whole hotel. Luckily we were on the 3rd floor and did the staircase, otherwise you could be 1/2 hour waiting for lift. Staff very professional. As in many London hotels,didn't like the fact that you had to pay for internet access.	
Jul 15 2009	Fantastic! Stylish great location large rooms... Very happy we stayed here!	This is a great hotel in a good location --- very close to the Waterloo station, so it made it easy to access the city. The rooms are a very generous size, which is a rare find in London. The room was clean, bright, stylish and well-equipped with a hair dryer, tea and coffee, fridge, microwave, and two flat screen TVs. The washroom was spacious and very tasteful, with a granite shower and bath with silver accents. The wi-fi in the rooms was a bonus! The rooms are soundproofed so no need to worry about interrupted sleep --- we were very close to the elevators but didn't hear a thing. Breakfast was good but depending on the time you arrive you may have to queue as the dining area is disproportionately small as compared to the capacity of the hotel. Staff is pleasant and knowledgeable. We were thoroughly impressed with our room --- after a busy day of sightseeing it was the perfect place to retire to!	
Jul 14 2009 	Will definitely stay in again if I go to London again	The hotel is located in a very convenience location which is very closed to the metro (around 5 mins walking distance) which has saved us a lot of time on traveling from one place to the others. The staff is very helpful and polite. And the room we stayed in was a suite and it was neatly clean.	
Jul 11 2009 	dreadful experience	Couldn't wait to get out of this hotel. Where to start...... capacity in breakfast room no where near the capacity of the hotel, so in short expect to que .... and when you do get in expect service to be slow (too few staff for numbers coming through). 14 floors to this hotel and finding the stairwell is not easy ... so pretty relient on lifts .... of which therere are three ....spent four nights in this hell hole and it took between 8 and 12 minutes every morning just to get in a lift which were then so full .... I would compare it to squeezing yourself into a tube at rush hour ... not pleasant at all. For some reason the half of the lift is glass, so if you suffer from vertigo this would be your nightmare situation. Moving on to the rooms, the nearest comparison I can make is - halls of residence - truely dreadful. Camp beds, really low and wooden bits at the end that you constantly catch your shines on, hard and smaller than an average single, bit like sleeping on a low level shelf. Half of the rooms do not have external windows - bad enough not having any natural light but what window you do have faces an internal walkway .... the window is quite big and other guests using the walkway to get to there rooms are constantly passing by ... so from the inside its a bit like being in a shop window... only option is to close your curtain ... completely surreal experience .... leaving you with sensory deprivation. I had to ask for my room to be cleaned on two separate occassions, no bins emptied, coffee etc not replenished, towels not changed, cups not washed, bathroom not cleaned. They did however make my bed. My room didn't have an hairdryer in it. A team of six of us stayed and used conference facilities on one day, for a new hotel the finish is really cheap ... for example in the bathroom we couldn't wash our hands because the tap was broken. Without exception my colleagues had a bad experience in this hotel.On the webb site it gives the impression that it is near the river and overlooking the London Eye. This is completely misleading, there is quite a lot of construction going on around and reception for your phones is poor.Other than that its fine!!!	
Jul 11 2009 	Excellent hotel for kids	We travelled with our 8 and 5 yo to london for a week. Original hotel (marriott county hall) was was over-priced so we walked into this one and got a great deal. The hotel looks brand new, has excellent service, clean new rooms, with fridge, microwave, flat screen tvs. Public computers and internet, free gym, and FREE laundry machines which worked out great with kids spilling on their clothes constantlyPerfect location to Waterloo station, major attractions in Southbank. Those with older kids could probably walk to most London attractions, but it was nice to travel long distances and come back to Waterloo and only short walk to hotel with little kids. There are a lot of restaurants and convenience stores to eat and shop at close by so you don't blow too much money eating in hotel.	
Jul 11 2009 	Great Location Friendly Staff	We just returned from a week's adventure in London. While there we stayed at the Park Plaza County Hall London. Since we were a group of 9, we required 4 rooms. What a great experience we had at this hotel! The staff was friendly and helpful, especially the concierge staff who graciously helped us with luggage, directions, and even made airport van arrangements at the last minute. The rooms were very clean, and roomy enough, though not large by American standards, and amazingly quiet considering we were just a block or so from a large hospital and sirens could be heard all day long. Inside the rooms you would have thought you were out in the country. The beds were comfortable, and there was a microwave and refrigerator in each room, so late night snacking or storing extra food or drinks was not a problem. Our package deal came with breakfast included, and I have to say the buffet each morning was wonderful. Everything from cereal to fresh fruit to scrambled eggs and bacon, plus various breads, rolls, croissants, etc. It was a convenient and pleasant way to start the day. Best of all was the hotel's location. We were well withing walking distance of several attractions, such as the London Eye, Westminster Abbey, the river cruises, and there were close Underground stations when we wanted to venture farther into the city. Really the only thing I can fault about this hotel was their elevator system. It was generally slow, and there were several guests I heard complaining about the elevator car going to the wrong floor when they pushed the button for their floor. We experienced this once, ending up at the penthouse floor when we had wanted to get off at the 4th floor. Other than this small inconvenience, there really is nothing I can think of that was a negative experience during our week's stay. I plan on recommending this hotel to friends, and we will definitely try to make this our destination hotel when we travel to London again.	
Jul 8 2009 	If your budget allows try room # 1227- Jr. Suite with view	I spent four nights at the Park Plaza in mid June 2009. I had booked a standard room with no view for 85 GBP/night. When I arrived at the hotel I was offered an upgrade to a corner Junior Suite for an additional amount which included breakfast in the executive lounge-2nd floor, drinks throughout the day and &quot;Happy Hour&quot; with beer and wine in the evening. Room #1227 was a corner suite with a spectacular view of The Eye and Big Ben from the bedroom. The suite had a master bedroom, living room, small kitchenette with expresso maker, tea kettle and microwave oven. The bathroom was very modern with a separate tub and rain forest shower. The room rate included a full English breakfast in the executive lounge. The upgrade was well worth the additional cost. The main breakfast room in the hotel is a madhouse during breakfast. The executive lounge was quiet and peaceful with excellent service from the youthful staff of the hotel. The hotel offers free internet, although it serves mainly as a babysitter for other guests' kids. The hotel also offers free use of washers and dryers to wash your clothes if you happen to be on the road for awhile as I was. The hotel is in a good location near the Southbank, The Eye and Waterloo Station. The staff tends to be young and somewhat inexperienced. What they lack in polish, they make up with a helpful attitude and a friendly smile. So do engage the staff in conversation and you will make some new friends quickly.In closing, I enjoyed my stay at the Park Plaza and would certainly return again. If your budget allows, at least opt for the breakfast in the executive lounge. Please be aware a sister hotel (Park Plaza Westminister-opening 2010) is being built across from the Park Plaza and you will hear some construction activity from your room starting around 8am. Most of the work is interior construction so noise is not a serious issue nor should it preclude you from staying at the Park Plaza. If you are looking for the best fish and chips in London (arguably), try Masters on Waterloo Rd. It's about a 20 minute walk from the hotel.	
Jul 6 2009 	Lovely Hotel - If you are staying for a special occasion mention it!	My partner and I, both 26 stayed here for a birthday treat. I booked over the phone direct with the hotel and mentioned it was my partners birthday. I booked a Superior room with kitchenette &amp; breakfast including VAT price came to £126. A couple of days before my stay I enquired about an early check in. Staff were very helpful and advised that if an early check in wasn't possible the concierge would look after our luggage free of charge.We arrived at Waterloo at 12pm and the hotel was a 5 minute walk away. (Early) Check in was excellent, the only downfall was that the lady who served us spoke broken english and was quite hard to understand. We were given room 1225 on the 12th floor, not ideal if you are scared of heights as the lifts are made of glass and the room faces the huge drop down into the restaurant! Upon entering the room we suddenly realised we had been upgarded (the check in lady may have mentioned this, but can't be certain!). Our room was lovely, we had a main bedroom with large TV, an amazing bathroom with seperate shower/ bath, a living area with another TV and a kitchen area. We went downstairs for a drink in the bar, pint of beer was £4.25, but in London you expect these prices. The manager Luke came over and offered us a free shot of Vodka, as we toasted I said &quot;Happy Birthday&quot; he then went onto offer us a free glass of champagne with strawberries each! This was a lovely touch and I would recommend letting the staff know if you are celebrating. The breakfast is fantastic (served 6am - 11am)! They serve everything you could ever imagine from a full english to fruit, cereal, pastries, cheese.... the list is endless. This hotel was fantastic and since paying the same price to stay in a Holiday Inn at Covent Garden it was well worth the money! Plus was in an ideal location near the war museum and South Bank. I will be returning!	
Jul 6 2009 	Old Fashioned Service New Shiny Hotel	We stayed on Saturday 4th July 2009. We booked a standard room and at £136.50 including breakfast and were offered an upgrade to a studio for an extra £15. The rooms are large, well-equipped and the beds are by Hypnos and are exceptionally comfortable (very very firm).There was a bedroom with LCD tv, vanity and wardrobe. The bathroom had a marble topped soaker tub and a huge walk-in shower with sunflower rain style shower head. There is lots of marble. Outside the bathroom was a small kitchenette with a microwave, sink, minibar, cutlery and plates, mugs etc. A kettle and an expresso machine with those little foil packed expresso shots.The lounge had a huge sofa, two chairs and huge picture windows (floor-to-ceiling) plus a desk with a large LCD tv on it.Soundproofing and air-con were good.Breakfast was excellent. The hotel is one block behind the Marriott County Hall and is therefore in an exceptional location at a much lower room rate.The best point in this superb hotel is the staff. They were all highly motivated courteous and professional.We have stayed in many high end hotels and this hotel compares very favourably to them.	
Jul 6 2009 	We Loved it	The location is outstanding and the hotel is clean, modern and very comfortable. We were offered an upgrade to an Executive room. What a room! We had a corner room with a full on London Eye view. It doesn't get any better:) The staff was excellent, the room amazing, and the location outstanding. I looked down on the breakfast restaurant and was very very glad we were able to have breakfast in the Executive lounge. The upgrade was well worth the little extra they charged for it. Yes, the elevators are slow (very very slow) and it is annoying but not annoying enough to ruin a fabulous hotel. I do wish they would monitor the free internet as some children took it over and were playing games and watching u-tube. I reported the situation to the front desk and a manager was down straight away. We used this hotel as our base to watch the Wimbledon tennis matches. Waterloo station is less than a 10 minute walk away. We also enjoyed walking along the Thames river on the South Bank walkway. Staying at this hotel was an excellent choice.	
Jun 30 2009 	Excellent hotel - perfect location	I stayed in this hotel for only 1 day in June with my young family. We did not have much interaction with the hotel staff and services but I can tell you that the room was excellent in every respect. It was new, modern, stylish and comfortable. We could not find anything wrong with the room. We absolutely loved it. The location was perfect, just minutes walk from waterloo station and Westminster bridge, Big Ben, etc. The room is a bit pricy but I still recomend it to everyone.	
Jun 25 2009 	Great Hotel in a Great Location	5 minutes walk from Waterloon Station, London Eye, County Hall, South Bank - what a great location. The check in girl was unbelieveably friendly and helpful. The room was of a high standard - bathroom a little on the small side but fully functional. Never ate in the hotel and breakfast looked pricey.Checkout was very busy but still performed in under 5 mins.Would definitely stay here again.	
Jun 25 2009 	5-star suite 1-star breakfast	We stayed here for two nights in one of the 13th floor studio suites. The suite was perfect: comfortable bed, large living room with a fatastic panoramic view over the Houses of Parliament - Big Ben and the London Eye, sleek design bathroom and a fully equiped kitchenette (even including a Nespresso machine). Double glazing kept all outside noise out. Location was good: next to Waterloo Station, a short walk away from all South Bank attractions. The 5-star rooms clashed unfortunately with the below-average quality of the breakfast service, but that's about the only fault I could find.In short: forget about breakfast, ignore the slow elevators, and you have an excellent hotel in central London for as little as 105 pounds per night.	
Jun 1 2009 	Well it was better last year	We came back to this hotel after having stayed there in July 2008 and having really enjoyed it. When we tried to check in, the lady at the front desk was incredulous at the rate I had. You see, the guest relations manager had seen my prior posting here and said if i ever wanted to come back to contact him. Well I did and he gave me a decent rate. When the lady came back she had in tow her supervisor. Who asked me: &quot;Who and or where did you get these rates?&quot; I said a &quot;Francois gave them to me.&quot; Oh that would be me, he replied and went on to say that it was lucky for me that he was there on his day off to honor the rate, because God knows if he wasnt, it probably would not be honored. He then--rather than give me an upgrade or a breakfast voucher--instructed me to go kill time as our room was not ready; after an 8 hour transatlantic flight. Off we trudged to the restaurant, where the hostess was more concerned that we understood that we had to pay--she said it at least four times--than in welcoming us. The staff at the restaurant is mostly new. Other peevs: 1) Not once was a cab hailed for us; and 2) The toiletries were rationed: we were given one tiny bar of soap for three people. The only bright spots: a doorman and Luke (?) the concierge, the latter was extremely helpful for reservations and a drive we did to the cotswolds and the former recognized my daughter from last year and asked us how we were doing. Finally, would I recommend this hotel? Yes. It is less than a block from waterloo station, it is centrally located and has new rooms. We barely used the rooms as we were mostly out all the time.	
May 30 2009 	Excellent Stay	My wife and I chose this hotel because of its proximity to Waterloo Station - about a five minute walk- and because we had enjoyed our stay at the Park Plaza Victoria in December last year. As soon as we arrived we were impressed by the efficient and warm welcome. We were offered an upgrade to a Junior Suite with a London Eye view for a reduced rate, £45 per night extra. We weren't sure at first but eventally decided to take up the offer and we were very glad that we did.The Suite was very spacious and the view was fantastic. The room had everything you would expect at this level and was spotless and quiet. However, the best thing about the upgrade was the access to the Executive Lounge and terrace on the 2nd floor. This was where our breakfast was served (our original booking didn't include breakfast) and during the day was open to card holders for unlimited hot/cold drinks, muffins etc, and from six o'clock in the evening provided alcoholic drinks and snacks. Everything complementary. Needless to say we spent a fair amount of time here and wthout any excess or abuse we felt that we more than justified the price of the upgrade . If this offer is made available to you we would advise you to accept.Unfortunately because we spent so much time in the Executive Lounge we didn't make use of the hotel bar or restaurant but they looked fine and the prices seemed ok. The health centre offered a good range of treatments but I was unable to book a massage for the day I wanted. I was told that they would contact me to arrange another time but nobody got back to me.The only problem we encountered was on the evening of arrival when the first suite we were allocated had a bad smell - drains I think. I mentioned this straight away to concierge who helped us with our luggage and we were moved to another suite immediately.The hotel is well located. There are several restaurants nearby but the ones on the South Bank can be very busy with people queuing. Westminster and Jubilee bridges are five to ten minutes from the hotel which means that Westminster Abbey, The Houses of Parliament, Trafalgar Square, Covent Garden, St James Park etc. are all within comfortable walking distance.	
May 21 2009 	Excellent choice!	I've been to London several times, and the general standard of hotels is appalling, so I decided to book my own hotel before going to London on a business trip.The hotel is located pretty much next to Waterloo Station, an ideal location. We had booked the hotel online, and upon arrival, we were offered an upgrade to an executive suite. This package also included access to the executive lounge, for a private breakfasts, coplimentary snacks and evening drinks.The room was large, with a sitting room with a desk and a kitchenette, and a spacious bedroom. The decor was modern, relatively minimalist, and the room had huge floor-to-ceiling windows overlooking the London Eye. The room was very clean, the bathroom was large and spotless, with soft towels and bathrobes.The executive lounge offered a free selection of snacks, muffins, fruit etc, as well as drinks, including wine each night. We had breakfast in the lounge as well. The selection wasn't huge, but everything was fresh, apetizing and delicious!All in all, staying in the hotel was very enjoyable. The beds were slightly on the hard side, but it was no problem. The only negative experience was when the aircondition went haywire, so the room suddenly turned sweltering hot, and since it was on the eighth floor, you couldn't open the windows... We notified front desk, but it took them until the next day to fix it, so we didn't get much sleep that night...Except for that, the experience was great, and I would recommend it to anyone.	
May 9 2009 	Forget about breakfast ...	This is my hotel of choice in London - its location suits my purposes perfectly as its a stone's throw from St Thomas Hospital, Westminster and Horseguards.If you are lucky you will get a really nice room - if not then the rooms are still good - but small and you cannot turn the air con off. I stayed there during the &quot;big snow&quot; in February and the room was very cold indeed.However - its a nice hotel - with terrible food (as reported in a previous review) and friendly staff. The lifts need reprograming as they seem to have minds of their own - that don't best serve the customers - and the staff need reprograming on reception to cut out the cackle and just give you the key. I am seriously not interested in all the have a nice stay chit chat.Now we come to the problem - if you stay in an executive room (£40 extra) you get access to the executive lounge - with a decent breakfast - you even get a cup not a MUG. If you elect to stay &quot;normal&quot; then breakfast is a real bun-fight - last time I stayed there I managed to get a cup of tea and three pieces of toast - sat in the bar area. This is unacceptable and could mean that I will leave this hotel to find another. There are simply too many tourists for it to be a business hotel.Sad - but true.	
May 6 2009 	Really Dissapointed	After staying at the Park Plaza County Hall last year and having a wonderful experience, I was really looking forward to my repeat visit. Our check-in was relatively smooth, with few hitches. However, when we got to our room - a studio for three persons - we noticed that the room was different in shape to our previous stay, with the toilet adjacent to the bedroom. When I visited the reception, I was greeted by an extremely rude staff member, who told me that this room was exactly what I requested and there were no other types of rooms within this category. When I explained that we had stayed before, the lady looked on her system - rather reluctanly - and found that I had stayed before, but still refused to change our room to a more suitable one. The lady also spoke over me as I was mid-conversation, which was incredably rude and not what I would expect from a Rezidor group hotel. The whole experience was even more off putting, as I am a Silver Elite Goldpoints Member with the Rezidor Group - staying in several Rezidor group hotels a month - yet I was treated extremely rudely and in a condisending manner. On a more posative note, the room we had was nice, but not quite what we wanted or had asked for. A pleasant stay, let down by an extremely rude member of front desk staff - not what anyone would expect when paying a premium price for premium service. As a result of this experience, I will not be returning.	
May 4 2009 	Superb	Just returned from an outtanding stay at the Park Plaza County Hall. Fantastic location - Waterloo station and London Eye/South Bank 5 minutes walk and Covent Garden within walking distance over one of the bridges.Lovely staff. We stayed in a Junior Suite on the 12th floor. Separate bedroom and living room, with views of London Eye and Big Ben from the bedroom.	
Apr 27 2009 	The Best Plaza in London EVER....	Park Plaza County Hall London, Opened early 2008.I rang and booked this hotel as a surprise trip for my girlfriend who finished her masters and passed with flying colors.After i booked, I rang and explained the situation and they said they'd sort something out for us.On arrival i couldn't believe how close the hotel was to the London eye.When we checked in we were told we had to wait for the general manager....??Anyway he came down congratulated my girlfriend on her results and said they had a special room for us.He got in the lift with us and showed us to the door, We were on the top floor.At no extra cost they had put us into the Penthouse suite (which when i got home at further notice on there site the room was £800 per night, Yow)They had given us a bottle of Champagne, Chocolate covered strawberries, A bouquet or flowers and a hand signed congratulation card from the manager himself.The room well, it was a penthouse need i say any more, all open planned living with it's own top floor balcony that stretched round the hotel.The views were amazing over the thames and of the London eye.A huge bathroom with had a shower, bath, twin sinks and was really high standard.We Had loads of free amenities such as a fruit bowl, two big glass jars of nuts and a selection of fresh coffee.There was loads of cutlery in the draw enough for a family of 6, along with plates etc..The Staff were really efficient even though none seemed english the spoke english very well and were very friendly.Breakfast in the hotel was very good, a huge selection was available.They offer a lot of good bargains on there website http://www.parkplaza.com/countyhall_londonI have stayed here again and was treat with the same my up most respect and receive a warm welcome.Overall this being a 4 star hotel, expect nothing but 5 star treatment.	
Apr 27 2009 	Inept staff terrible infrastructure	Very disappointing stay. While the hotel presents all new and shiny from the outside, the problems start right at the front door, where there is rarely a doorman around. We had to struggle completely on our own with our bags through a tricky revolving door. The real problem is that the hotel is large, and the number of rooms and guests simply overwhelm the limited staff, public space and restaurants. The elevator situation is a disaster--plan on waiting five to ten minutes for the lift, assuming you can fight your way on to one (or don't get your hands snapped off by the vicious doors). The hotel has 13 floors, so the stairs are generally not an option. Breakfast is the other disaster. Though we stayed three days and ate at different times, it was also a total zoo. The line to get into the dining room snaked out the door into the lobby and took about 20 minutes to work its way through. The staff is just clueless--polite but utterly inept and ineffectual and unable to solve any kind of problem. And there were basic management issues--as in they run out of food for the number of guests they have. The bar is no better; we tried to get club sandwiches there one day at lunch, and the bar staff (who were far more interested in somekind of busy work behind the bar that absorbed their full attention) seemed utterly flummoxed by the concept--and clueless on how to set a place for lunch.This place needs new management and some infrastructure upgrades. Maybe they will work out the kinks, but for now, why should YOU pay that price (its not cheap after all).The rooms are OK, though small, and one thing they did get right is the soundproofing--a necessity since many of the rooms overlook the Waterloo Station train yards.	
Apr 24 2009 	Impressed	I stayed here with my wife and young daughter here over a long weekend recently, and couldn't fault it (barring a couple of minor niggles). The location is excellent, westminster is 5 mins walk. We asked for a river view (as it was out wedding anniversary) and got it (you can't actually see much of the river but you do get an impressive view of the London Eye, parliament etc.). The room are smart and very clean, and the sofa bed is great for kids. The only issues were the faint smell of drains in the bathrooms (as mentioned by others), and the air conditioning is only adequate. Apart from that were were very impressed, especially by the quality of service - the staff were very friendly and efficient. We'd definately stay here again, this is well worth considering, especially if you have children with you.	
Apr 24 2009 	Fantastic - great hotel!	Myself and my sister stayed at this hotel on the 5th July 2008... fantastic hotel 5 minutes walk from the London Eye and Aquarium.. When we arrived at the hotel we were quite early but they kindly let us check in to our room which luckily was ready for us! We had paid £120 for one night so in the centre of busy london we were quite happy with that... we however had booked for a twin room but were given a suite( not to be grumbled at)the suite/studio apartment was fabulous... bedroom and they made up the setee in the living area for me... Had its own kitchen facilities and the bathroom was amazing.... shower fit for two people and a bath too and various facilities which we were delighted with....Wished we could have stayed more than one night.... Great PlaceAlso had a meal in the restaurant which was quite nice actually! Go there and enjoy it... We did...!!!	
Apr 23 2009 	Nice view of London eye	A nice property near the London eye, this place is pretty close to the Waterloo Station. Although not as spacious as Park Plaza Riverbank a few hundred yards away, this place is equally good in other aspects	
Apr 21 2009 	great service very stuffy bedrooms	I stayed here for the first time having had it recommended by my colleagues. The check in service was excellent, very friendly and welcoming. However my room was a real disappointment. As someone else has commented there is a funny smell of drains on the first floor and that increased when I went into the room. The air conditioning didn't work the first night although that was fixed very quickly for the 2nd night. THe room overlooked the bar area which meant it was quite noisy at night and as it faced into the atrium area there are no real windows. This makes it a very stuffy place. I'm sure there are good rooms here but I think you need to check what you are getting very closely. Personally despite the great service, I prefer the rooms in the Novotel.	
Apr 18 2009 	Friendliest service ever - a clearly well-run hotel	Fabulous service from arrival to departure. Trendy rooms, funky bar, cool restaurant, good food, great gym and spotless facilities!	
Apr 17 2009 	Impeccable	I must admit, this is one of the most incredible stays I've had. As a seasoned traveller around Europe, this establishment had everything going for it - steps from Waterloo station at the heart of London, vibrant and electric ambiance, friendly and helpful service under the direction of their guest managers. The value for the affordable price for a hotel frequenter was great as well. As you can tell from the other reviews here, this place *is* the address of choice in London, and that I will not argue. Cheers and thanks to the wonderful staff at County Hall during my Valentine's day stay. - Tahir	
Apr 16 2009 	Stay here!	Lovely, smart, exceptionally clean, contemporary hotel, good location for Westminster sights, near to Waterloo Station. Execellent room, excellent breakfast, very helpful, friendly concierge. Stayed for a business trip, had one meal in restaurant, which was very good, but beware of the prices of drinks! Gym was small and no air conditioning, but you can't have everything!	
Apr 16 2009 	Ideal in every way	Superbly located hotel, just a two minute walk to the London Eye, ten minutes to Big Ben and fifteen minutes to Trafalgar Square. Lots of bus routes pass nearby, Waterloo underground is a five minute walk and all of the London bus Tours pass very close by.The family studio we had was great, we did not upgrade to the river view rooms, but we were never in the room during the day, and couldn't see the point. Contintental breakfast was included and having read previous reviews we were down by 7.30 - always seated straight away and the service was very good, choice was fine. For families with young children (ours are 10 &amp; 6) this is a fine choice for the capital.	
Apr 15 2009 	Fabulous hotel!	I stayed here with my partner a few days before Christmas in 2008.It's a great hotel - rooms are modern, clean and spacious, and come with a kitchenette.Location is great - literally a 3 minute walk to London Eye and everywhere is walkable of tourist interest.Breakfast is one of the best breakfasts I have had at a hotel. It's help yourself to a large cooked breakfast choice, cereal, pastries etc etc.The hotel is good value for money in a great location. The only complaint I had is the staff are mainly foreign so it can be hard to communicate but that didn't affect the fact that we had a really nice stay.	
Apr 11 2009 	nice hotel	very nice hotel, clean and spacious rooms, breakfast was lovely too, we used the restaurant not very good choice on the menu and very expensive, hotel really central for everything, having read previous reviews was a little apprehensive, but had no gripes at all, staff friendly but receptionist lost interest when we declined an upgrade at 49.00 per night,. stayed in a studio room which was very comfortable, if I go back to london would use this hotel again...	
Apr 6 2009	supberb	We have just returned from a trip to London with 2 sons aged 4 and 7. We stayed at the hotel for 2 nights and had a fabulous time. The room was extremely comfortable with fridge and microwave in the kitchen area. The children were made very welcome and given a welcome bag with bubble bath a game and £5 in vouchers to spend at the hotel.The food was great with an excellent selection at breakfast and the staff were all very efficient and helpful.The location was perfect a simple walk across the road to the South Bank with a variety of places to eat and loads of street theatre to keep tjhe children entertained.We will definately return!	
Apr 6 2009 	Couldn't have asked for more!	This was the 2nd time my partner and I had stayed here, and this time we took some friends along with us too.On arrival, as I was a GoldPoints card holder (a loyalty card that you can get free from the Park Plaza website), we were given a free room upgrade to a junior suite. Amazingy, this had happened last time too, so we knew what to expect! The room was spotlessly clean, spacious and had bags of storage space. The view from the full-length window was amazing, overlooking the Gherkin and Canary Wharf. The kitchen area was great, we were able to make our own food using the sink, crockery, cutlery and microwave oven and the coffee machine was a great addition.The separate bedroom area was clean, spacious and comfortable (if a little on the dark side what with no natural light) and there was extra bedding too.The bathroom was clean, bright and I loved the steam-free mirrors! huge fluffy white towels, bath robes and slippers made me feel very cosy!The location too was spot-on, only a few minutes walk from some of the biggest landmarks in the city. The staff were friendly, helpful and professional as well as being only too happy to help.I'd definately stay here again!	
Apr 3 2009 	Above average but some problems	Organised a group booking here towards the end of March 2009. Check-in was efficient, professional and friendly. Some were upgraded to Executive Rooms which feature separate living / bedroom areas, 2 flat screen TVs etc and a bathtub in the bathroom. Standard rooms are smaller than average and have shower only in the bathroom. Bedrooms were generally found to feel clean and modern.Problems reported included sewage smells in the bathrooms. poor sound insulation in adjoining rooms which was bothersome. Odd bedroom layout in standard/studio rooms. Pretty disorganised approach to breakfast in the Spectrum restaurant mean long waits for tables at peak times and slow replenishment of breakfast items means guests are left with limited choices sometimes. Staff are friendly and well-meaning but the system needs improving.This hotel is good (great staff) but could be much, much better with a more focused and joined-up management approach.Would be inclined to recommend with reservation.	
Mar 25 2009 	Location Cleanliness.........Park Plaza County Hall is.................?	This is our second stay at the Park Plaza County Hall and both times were great, but there are some exceptions that the traveler MUST know about! Room 1327 Exec SuitePROS: Check in was made quick and easy with an upgrade to Exec Suite, thank goodness we were offered this as the room we had confirmed was city facing (more on that later). For only a few pounds more we upgraded which also allowed us an Exec Breakfast and use of the Exec Lounge with our room key. The Exec room is made up of a hallway with built in kitchen and with bathroom across. The kitchen was top class, clean and had ample supplies of coffee and tea stuffs with espresso maker, mini bar and mini fridge. The bathroom while small had a fantastic walk in shower and full size bathtub. Again everything was clean and presentation of body lotions, shampoos and soap was top notch! The first room, with fold out sofa bed was good sized and came with a writing table, flat screen TV and large built in wardrobe. There is a safe, slippers, hangers and iron/iron board. The sofa bed is HARD and not meant for an adult. The second room, the bedroom, is very nice with two walls made up entirely of glass!!! Bed is OK, not plush, not soft and not hard, kind of lumpy and short, about 6 feet and half long and 9 feet wide. Flat screen TV and night stands on each end. Again all clean and new looking. CONS: The toilets still make this whooshing noise when you flush, what is the deal with that? Later in the night the water smelled of backed-up sewage, and again it did early in the morning.........not bad, but noticeable......Park Plaza do you have a water overflow pressure problem? Had some towels that were not clean, they looked to have some motor grease on them? City view verse River View.......again thank goodness we had an upgrade to Exec Suite. If you have a city view the full size glass walls face the construction site of the new Park Plaza Westminster Hotel along with the construction workers! Again, two of our windows faced this direction and the third faced the river Thames; we drew the curtains facing the city the entire time. While the workers were friendly and gave us a wave, we decided not to entertain them in other ways :) In the future when this new hotel is done (2010) I would not want to stay in any city facing rooms!!!!! Warning to Parents: If you have little ones be aware that the furniture is sharp edged!!!! The end tables for the bed are so close and at head height (when laying down) that you could literary cut your head open at night!!!!Breakfast; In 2008 we did not take a breakfast option. We are glad we did not as every morning the line formed around the hotel and it was chaos. This time our breakfast was included into the Exec Suite price and our Breakfast location would be in the Exec Lounge. The lounge is small, the tables are small and so is the breakfast but not in a terrible way. You get all the fixings of a full English Breakfast, while some things were cold (eggs, mushrooms and tomatoes) everything else was ample and the coffee was good. The lounge is relaxing, no pressure or stress and the servers do their best. A lot better than going out to the chaos!!!!! Or you can go across the street to Starbucks! Room Service; After getting in late one evening after a show and with no dinner we decided on room service. The selections are limited after 11pm but still a nice variety of items. The Caeser salad with Salmon was fantastic as was the cheese plate and cold beers. Check-Out: Fast and easy. There are some problems with check out but that seems to be the group tours departing all at one time. If you leave around 11 am than there is no issue. The staff is very helpful and will store your bags at no charge after check out. Our last stay; While we love the location, the fantastic staff and comfortable rooms we don't think we could stay here again due to the new hotel across the street. This new hotel overshadows the County Hall and is typical of the English deficient city planning. Our options of a decent view is diminished and the extreme costs involved with Exec Suites or the Penthouse is $$$. We may look into the Westminster once it is complete or go further down river to the other Park Plaza.	
Mar 24 2009 	Good Hotel Great Location Fantastic Staff	Got a great rate though an internet agent, then got upgraded when we told reception that we were celebrating a special aniversary. The room was very trendy but also extremely comfortable and service throughout the hotel was first class.The only issue we had was the queue for breakfast on the Saturday morning, it's typical of a London hotel to not have enough capacity to feed a full house, we cured this by having room service on the Sunday morning. The room service breakfast was the best I've ever seen or tasted!You will not be disappointed with this great hotel.	
Mar 18 2009 	this was just a dream!!!	I don't understand all the negative comments on this hotel.Two friends and myself just came back from an excellent stay in the plaza county hotel.The reception staff were very friendly.The girl helped us with almost everything,all questions were answered and we could enter the room immediately(arrival time around 11.00AM).The room(a studio)was perfect.Large and very clean and with an amazing view.My friend appreaciate the expresso machine and I adored the cookies(all free of charges).We would recommend this hotel to our friends.May be a new manager was found if I read all those negative comments!!We will come back.	
Mar 18 2009 	holiday with the kids	this hotel was top notch we have stayed in the crowne plaza and put htis on are budget par you get what you pay for trawl the interweb on cost compare and prorata to the hilt this hotel par for par on location and service and cost come prity close to the top of the list you dont get a merc for ford moneyp.s. we are just about to book our next trip and will be stay at the plaza again	
