	stay somewhere else	We spent 2 weekend nights at the London Guards and could not wait to leave. The receptionist barely spoke to us when we checked in..we had to ask about breakfast times, check out etc. and were given one word answers. We stayed in a quad room that smelled like my grandmothers attic. Luckily our next hotel in Edinburgh had laundry facilites because our clothes all smelled musty. My daughter fell badly on a wet floor coming downstairs one morning (no signs posting it was wet) and the 3 employees who were watching didn't say a word or try to help. Unbelievable. The Lancaster Gate tube stop was also shut down so it wasn't even convenient. The breakfast was sufficient and the servers were polite. This is about the only positive thing I can say about this hotel. There are too many other options in London to stay at this hotel.	
Mar 7 2008 	The Worst Hotel EVER	Myself, mother &amp; daughter booked 3 nights in early February. We were booked into a triple room on the top floor. The elevator was a very old, scary, small frieght elevator with carpet on the walls. In our room the 3 single beds were mattressses on wooden boxes and very uncomfortable. The TV was on top of the wardrobe with poor reception and the remote did not work. Worst of all the bathroom reeked so bad of sewer I was gagging. After a few hours I called the Front Desk and told them we would be leaving the next day. I said although the room wasn't what we wanted, I would pay for the next night because of early check out.By midnight the first night, my daughter became very ill and I called the Front Desk to ask where the nearest hospital was. The Clerk kept saying 'I do not know this'. I finally asked for a taxi and was shocked when a private town car picked us up. I asked for the nearest hospital as I was almost carrying my 16 year old. He drove 3 blocks and dropped us off telling us to just walk down the alley to St. Marys, and charged 20 pounds!!My daughter was treated and discharged at 8am and we returned to the hotel. I told the Front Desk we would be leaving at 3pm as we were paying for that 2nd night anyways and he said fine.When we came down at 3pm he told me the manager said i had to pay for all 3 nights as I had not confirmed we were going. I was amazed!! This is the same clerk I had spoken to every time. I asked for the manager and he said he was out and was not sure what time he was returning. What a crock!! I left a message for his manager detailing my feelings and took my sick kid and elderly mother out of that hole!As a Manager of a hotel on Vancouver Island I was horrified by everything we experienced at this place. We moved to a great little hotel in Chelsae and paid an extra $10.00 and had a wonderful experience. We returned home to find a form letter from the London Guards thanking us for our stay and urging us to contact them if we return to Britian. I would rather be buried alive. Go elsewhere.	
Feb 19 2008 	Quiet hotel in good location	I booked this room on the internet for myself and my two children (13 and 11) for a short break in London. The hotel was clean and all the staff were pleasant and very helpful.Breakfast was included and it was a cold buffet, fairly limited; toast, cereals, fruit juice, yoghurts etc. No cheese, meat or fruit.The room we were given was very small but clean and in good repair. The hotel is very quiet at night, there is no road noise at all and you wouldn't know you were in central london even though you are walking distance, accross the park, from Harrods.It was good value and I would stay here again.	
Feb 11 2008 	You get what you pay for	Having read the previous reviews and booking the London Guards we were left wondering who had actually written some of the extremely positive comments?! That is not to say it was bad just not as good as we had hoped. The good points were the location (2 mins walk from Lancaster Gate tube), the size of the room (huge with 5 beds (!) - 2 doubles and a single), it was in a quiet location and was clean. However the hotel was somewhat dated and in need of a bit of an update. The desk in the room was made from a leftover bit of kitchen worktop (rather out of keeping in what was once a lovely old building I'm sure), the lift was out of order (despite being directed towards it by the reception staff), and the breakfast was extremely poor. The price we paid was good for London though I suppose and we didn't spend that long actually in it to be honest. Might stay again if I couldn't find anything else reasonable.	
Feb 5 2008 	Good hotel great location	We are two adults and three teenagers and we had a family room with one double and three single beds. Room was spacious and clean. Front desk staff were friendly and let us check in early. Breakfast was good, toast, cereal, yoghurt and instant (yuk) coffee. It was difficult to find the hotel from the maps we printed from the website but this may have been due to jet lag after a 36 hour journey from Australia. The location is very good - close to the tube and Hyde Park. December in London was freezing and the hotel was a lovely warm refuge. In hindsight it was one of the best value for money hotels we stayed at during our European holiday.	
Jan 27 2008 	Good value	This hotel is simply good value for money. It's not a five star hotel, but then the rates are not five star either. Stayed in a triple, or more like a quad, room with two single and one queen size bed. Room was clean and nice and had both coffee and tea making facilities and a fridge. Big plus for the fridge! Room was quite spacious, bath kind of tiny but clean and well functioning. The queen size and two beds were in different parts of the room and made it almost like having two rooms with shared bath - also a big plus. Some seating options would have been appreciated, but no big deal, I accept sitting on the bed when rates are this good. The complimentary breakfast was good, nothing special but no reason to complain either. Staff polite but I didn't exactly get the impression I made their day by stopping by. A smile or two wouldn't kill them, but they stayed on the safe side, just in case. It was a challenge to find the hotel, it's kind of anonymous and hidden. Probably would have been easier if I took the time to study a map before arrival. From Lancaster Gate underground, walk straight up Bayswater Road towards Queensway, turn right when you see a church and the hotel is right behind it. In a quiet and great location, close to underground, Queensway and Hyde Park. Unless you're expecting a five star hotel for the price of a three star, you won't be disappointed.	
Jan 3 2008 	Small beds poor service still decent value for money	My wife and I staid at the London Guards hotel for two nights in November 2007 while stopping in London for some sightseeing and pre-christmas shopping.The hotel is very conveniently located just north of Hyde Park and in easy walking distance to Lancaster Gate, Bayswater and Queensway Tube stations as well as to the Bayswater area with many Restaurants for all tastes.We got a very small room overlooking the (in our experience quiet) street. The room was so small, that there was literally not space for walking around the bed once we had put our bags down. We had booked a double room, but the bed looked more like a single to us. We managed to sleep ok but it was not particularily comfortable. We also tried to get an extra blanket as it was quite cold in the room at night, unfortunately it took over two hours and at least two additional reminder calls to reception to actually get it.The breakfast on the first day was basic and not very good and we didn't bother to go on the second day.We didn't really enjoy our stay, but i guess you can't expect much more for this price.	
Dec 31 2007	As the Brits say "Well Done"	This appeared to be a hotel in the middle of an upgrade - painting was occurring. But this was not a problem. In fact, the improvements were very nice.The rooms were large, the price very reasonable ($150 per night) and the staff very courteous. The location was exceptional, only one block to Hyde Park.If there was a fault it was more an annoyance. The breakfast staff chatted noisily and continuously while we were eating.	
Dec 11 2007	Decent Hotel Good Location	I liked the location of this hotel, very near Paddington Station and the Underground. I also liked the price: $71 for a Sunday in December. Checkin was easy, the room was decently appointed if unspectacular and basically clean, and the coffee supply and shower were acceptable. In other words I would rate this place as completely acceptable if looking for a relatively inexpensive place to stay in London close to a cool neighborhood and with easy public transportation access to the rest of London.	
Dec 10 2007 	Good value for money	I booked two single rooms via Londonnghts.com for my friend and I as we were visiting London for a spa day treat and an overnight stay. My friend had two double beds and one single in her very large room, and I had a double bed in mine. The rooms were clean and comfortable, bathroom had toiletries, and there was a hairdryer and fridge in rooms. The breakfast has obviously improved a little bit since some of the reviews I had read before we went, as in addition to the toast, croissants and cereal, there was cheese (but only processed cheese slices), yogurt and fruit juice. It is a very basic breakfast but the B&amp;B rate was so cheap that I think that is perfectly acceptable. The hotel is near to the Lancaster Gate tube stop and close to hyde park, and about a 20 -30 minute easy walk to the Marble Arch end of Oxford Street. I would stay there again, I think it is good value for money.	
Dec 4 2007 	Good Clean Hotel for the money	Stayed in this hotel for my last two days in England. The room was clean yet sparse. Hotel staff was friendly enough, I didn't try the breakfast (English breakfasts were not to my liking anyway). Location was lovely and close to tube stations and Oxford Street, a great place to get last minute gifts. Overall a good deal for the location in London and would certainly stay here again.	
Dec 3 2007 	Good location Quiet hotel	I booked this hotel using [--] but you can also book on their website as well. Londonnights may give you a little bit of a discount. There were good reviews on Tripadvisor so we looked forward to it. London Guards is located on a quiet square in Bayswater, a very short walk from the Lancaster Gate tube stop and not much further from Queensway, Bayswater and Paddington stations so you're in a very good location for transportation. It's about a 15 - 20 minute walk to Oxford Street and you're only 2 minutes from Hyde Park as well. The room came with continental breakfast which was fine. You could order a cooked breakfast for an additional cost. The room was spacious and clean and it had a small fridge as well as the usual tea/coffee facilities. Average sized bathroom with tub and shower. Hotel has a lift but some rooms also may be up a few stairs as ours was. Ask if there's a mobility issue for you. They have singles right up to family size rooms. Bed was a little hard for me, however that's a matter of individual taste. Cost is in the vicinity of about 70 - 75 pounds for a double/twin which is pretty reasonable for central London with a quiet location and close to transport. Lots of restaurants in the area near Paddington and Queensway. Can walk straight across Hyde Park for 10 minutes to get to Albert Hall, the V&amp;A and Natural History museum. Also, bus 274 goes from Lancaster Gate all the way to Camden which we really loved.	
Nov 4 2007 	Small but quaint - Great location	We stayed at the London Guards hotel for 3 nights, found it very serviceable &amp; clean. It was very close to hyde park &amp; the lancaster gate tube station. The included breakfast was standard fare, nothing to rave about though.	
Oct 30 2007 	great budget hotel	This hotel is situated a two minute walk from Hyde Park and close to Lancaster Gate tube station making it perfect for accessing the hustle and bustle of Oxford Street and the rest of London but also giving the option of a quiet walk through the park to the Natural History Museum if this is more your scene.The room my daughter and I were given had a double and single bed, television, fridge and bathroom with a shower over the bath, The accomodation, whilst a bit dated, was very clean and the staff helpful.The reviews I read before visiting were generally critical of the breakfast but we were quite happy with the continental option and found it perfectly adequate.I would definitely stay at this hotel again and would recommend it to anyone on a budget wanting a convenient and clean place to stay.	
Oct 11 2007 	chmcsouza	We stayed 6 nights at London Guards. The hotel is clean, the rooms are nice with comfy beds and a good bathroom. The neighbourhood it's quiet. It's easy to get the subway from there and you are 2 blocks away from Kensington Park. The service is cold and the breakfast ok.	
Oct 9 2007 	Top value for Budget Hotel	We had a good experience at this hotel. We had read the reviews before we went so we were a bit apprehensive as to our accommodation. We stayed in a room with 3 single beds. We had large suitcases but were able to lay them flat on the floor with enough room to walk around. The room was cleaned every day with clean towels. We had a bath with a shower over it. We were very pleased with the room. The staff at the front desk were helpful and I did hear them speak other languages besides English. As we had a laptop we were able to use the wifi in the lounge. The breakfast was as advertised. It is just a basic breakfast which was all we needed. If they wanted to improve the breakfast they could add some tinned fruit instead of yogurt. We went to the bar one night. It could be made more profitable by selling beers other than Russian beer, and it could be more guest friendly. However, there are lots of other pubs with great atmosphere in the area. The position of the hotel is excellent. It is only a short walk to Lancaster Gate tubestation, plus all the buses, and Hyde Park just one street away. We had read many reviews on the different hotels in London before we went over, and we feel that this hotel is good value for money. If you are expecting more than you are going to have to pay more.	
Oct 9 2007 	If you don't like noise	After reading some of the reviews we were surprised at the size of the room. A double bed, with very little room to put your suitcases. We book a room with twin beds, and when we arrived this was the only thing that was available (after booking two months earlier). The room was very clean and cleaned each day with fresh towels. The free breakfast was basic, cereal, yougurt, toast, and coffee. Now comes the bad stuff...noisy, noisy, noisy. the restaurant is run separate from the hotel so the bar was going all night, and because there is no smoking in the building, everyone congragated outside for a smoke 2-3am in the morning. Also next door to the hotel is a flat that is filled with forgein exchange students who sat outside most of the night drinking and smoking. Make sure you check the services provided for shuttle service to the airport. The post one price but is higher when you book, I dont think this the hotels fault but make sure you check.	
Oct 8 2007 	VERY VERY NICE VALUE FOR MONEYMANAGER VERY COOPERATIVE	Very Good Hotel, Value for money,Would certainlt recomend and stay again	
Sep 17 2007 	Good Value-for-money	We booked a triple room and were pleasantly surprised by the size (Room202) and the huge windows. The bathroom was also larger than most budget hotels in London. The room and beddings were clean except for the bed covers which we did not use. The front desk staff during the day was very helpful. The breakfast was sub-standard. However, 5 minutes away close to the Bayswater tube is an entire street of local restaurants and shops which is very convenient. We also loved the quiet location and the Kensington Park across the street.HOWEVER, make sure you get a good internet rate. We booked our room for C$190 a night but found that at a later day the rate was C$600 for the same room possibly due to availability or events.SKY, Canada	
Sep 2 2007 	Dirty!	Stayed only one night because the hotel was so poorly taken care of and dirty. The lobby looked clean and well taken care of but rooms were a different story. My room had a loft, which sounded good until I got to my room. The prink carpet was old and stained. The stairs leading to the loft were broken and ready to give out, not to mention a loose handrail. The bed was very uncomfortable. Overall the room was so filthy I forced myself into the dirty shower and had socks and shoes waiting near the bathroom door so my feet didn't have to touch the carpet. Not worth the savings!!! Spend a little more for a clean hotel room.	
Aug 16 2007 	I've stayed here for the past 10 years or so	I've been staying in London for 20 years now on a regular basis. 5 or 6 trips a year. Since the mid 80s I moved from hotel to hotel looking for a decent place that did not charge an arm and a leg. (Just try finding this in London!) In the late 90s I latched onto this place right after they opened up. I've been staying here ever since. I've stayed here probably 100 nights or moreIt is true that some of the AC units are not as cool as they used to be. It is true that the dining room is not the best. It is true that the carpets and such have some wear and tear. HOWEVER, FOR THE MONEY, this place can't be beat. They have huge rooms. You can request a fan. Each room has a hot pot and a refrigerator. Since eating in London is sooo expensive, I always go to the grocery store and buy food and bring it back. The fridge is a real bonus. You could find a cleaner hotel with a better restaurant, but you are going to choke when you see what they charge. This place is the best value for the money in this area of LondonPluses: Close to PaddingtonLocated in the corner of a quiet square. Request a room in the back of the hotel if you want complete quiet. Quiet is real important to me, so I weight this heavily in a hotelFridge in the roomPrivate Bath: You'd be surprised the number of places that don't have this when you get into the cheaper hotels in LondonLarge rooms: There are some small ones, but many of them are huge.Great location near Queensway. You can get most anything on this street and there is a mall there as well, and two tube stops.I know the staff now and I've always found them to be friendly.Minuses: Food. But I don't eat there.Restaurant: not the bestSmall towelsCarpets and spreads are tiredTV is very small. But I don't watch TV.No Internet connection. At least the last time I stayed there.All in All: a great great value.If someone out there knows a better value in that area. I'd like to know about it.	
Aug 8 2007 	Friendly and good value	We are a family of 2 adults and 3 children, and we booked 4 nights in a family room with 2 double and 1 single beds. The room was spacious for London, except for the hanging closet which was inadequate for 5 people. Clean and well maintained rooms and lobby, very friendly and helpful staff, especially at breakfast - which could have offered more variety. We had to supplement the breakfast with items we purchased from a local minimarket. Bathroom was modern and well ventilated. Main positive points: quiet but central location, airconditioning, roominess, friendly staff. Negative point: meager breakfast.	
Aug 4 2007	Good hotel....worth a return	Rooms had been updated, and had modern bathrooms, and airconditioning. There was a generous refrigerator, and the room was larger than other European rooms we'd had. The carpeting had seen better days, and there was no shower curtain in the bathroom. A hand held shower worked well. The elevator was slow. We walked down...and rode up to the fourth floor.The location was good, between two tube stops, and just a block from Hyde Park/Kensington gardens, so the walking around was great. Places to play if there were children. The street was quiet and pleasant.The housekeeping was immaculate, and prompt.The continental breakfast, included in the cost, was adequate, and served by very friendly people.	
Jul 23 2007 	Good budget hotel	Booked the hotel through venere.com, and got a very good price. £75 for a twin room in central London is not bad!The hotel is close to Lancaster gate tube station, Paddington station, and has several buses stopping just 1-2 minutes walk from the hotel.We'd booked a twin room, but got a family room with two single beds, one double bed, sofa, TV, fridge, and bathroom/WC. Good value for money.The hotel was clean and the receptionists were friendly. It's not a &quot;wow&quot; experience, but if you're not spending a lot of time in your room, and you're just looking for a cheap, nice hotel - this is perfect.I would NOT recommend the breakfast, which was the worst I've ever experienced at a hotel.	
Jul 21 2007	Mixed impressions	I must say that though a solo traveller, I booked a double/twin room, because the description of a single was not satisfactory. So, I can't comment on a single room and the value for money issue (a double room for one person doesn't come cheap). The room was cosy, spacious, clean. The air-conditioning was useful (as the weather was rather cold and rainy). Very important is always the safety box; it keeps you out of worry. The coffee-maker was OK, the refrigerator a plus. It was also a quiet room. The bathroom, although full of amenities, seemed &quot;rather tired&quot;, asking for &quot;upgrading&quot;. Unfortunately, the main elevator was out of order for a long time and the back-up one was to be avoided. The big problem was the breakfast: horrible! If you don't have to eat first thing in the morning, skip it! The front desk staff were correct, but not very friendly. Location: pretty good. Clean, safe, civilized surroundings, yet lack of pubs, shops. The bus stops were close. Suggestion: don't use the Underground. There are 4 bus lines (24 hours in service!) which can take you directly, or with easy connections, pretty much to all important sights. And the bus pass is very convenient!	
Jun 16 2007 	Truly woeful	Where do I start:1 Asked for room at front with view- got basement room looking at concrete wall.2 Asked to have room changed and only got this done next day- then they put me in top floor and lift not working.3 Most unwelcoming bar- strong hint from barman that I should take drink to room rather than linger.4 Breakfast room dreary and smelly ; and breakfast pitifulA disgraceful establishment, dont stay there.	
Jun 6 2007 	Enjoyed our stay here	This is a very nice place for a family to stay who will be out sightseeing all day. It is clean and a very safe place to stay with only a 5 min walk from Lancaster Gate underground, 2 mini-markets, and also Hyde Park. The cleaners kept the room very clean and we had plenty of room with a nice-sized bathroom. The continental breakfast was fine for a light breakfast on the go(corn or bran flakes, croissants, rolls, juice, milk, coffee) I don't understand why some of the writers thought it was so bad. I've had far worse! The downstairs area doubles as a Russian bar and is where breakfast is served. It is clean and not problematic. The bar patrons could be heard leaving at closing time, but that was the only disturbance, other than early morning delivery trucks. The desk staff was courteous and helpful. We were pleased and would stay again.	
May 30 2007	Good value	My daughter and I stayed at this hotel for two nights. It has a charm, was clean and the staff was friendly. It is in a good location for travelling via the underground to see the sights of London. A bonus was the fridge in the room. I would definately reccomend this hotel.	
May 12 2007 	Terrible breakfast	Hotel situated in calm quiet area, with a very kind and careful staff.The room itself is very clean and wide though the first day we had troubles with the radiators.In general, a good hotel to stay in London, but the worst thing was the breakfast: bad attended, very poor, very small, bad smell, and if you want a simple chocolate you must pay for it (though we reservated our room with breakfast included!).Another strange thing which I didn't like was the fact that if you ask in reception for a taxi, they will call a particular driver who will collect you a 50% more money than a normal taxi tarif (I guess the hotel staff have a commision of that money).This &quot;taxi&quot; affair is not a strange thing in London, because I can tell ift is not the first time it happens to me.	
Apr 19 2007 	Good location	I and my teenage dughter stayed here on a four day trip to London, my daughter's first visit to London.Good: the price, the location: feels safe coming home at night for two women, right beside Hyde Park, really Londonish - white painted houses with porticoes - three bus stops from Oxford Street (my daughter is 16! Three hours in Topshop) and the bus also goes through Piccadilly which is door to door after a show on the West End. Great. Big room, clean. bright. quiet. Large fridge, which I expect would be great in the summer, especially with children. Could keep stocks for picnics in Hyde Park. (Hyde Park has boating, pedaloes and paddling pool).Less good: public areas not very inviting - more a guesthouse than hotel. Very little in the way of facilities in the hotel itself Bad: breakfast: served in basement in smelly room (smell identified as stale urine from toilets/drains?). Breakfast basic, coffee undrinkable. Tea OK. Not enough tables, had to wait, and table not cleared off. However: at these prices could forgive this, might even skip breakfast, with fridge could keep stock of cereal and milk in the room. Marks and Spencers only a few stops away on bus to stock up.If hotel reads this: could you serve breakfast on ground floor, improve the coffee and the orange juice a little? I think it would make a big difference.Note: if going to London: discover the buses: a great. really efficient way to get around, much more pleasant than tube, and you get to see London. The buses come every two minutes. With day or three day pass, really cheap and convenient and fun. They come so often it doesn't matter if you get the wrong one, you can quickly get back. Buses from this hotel go directly to Oxford Street, Tower, Piccadilly, and easy changes for everywhere else. The system is not at all as complicated as people make out, and well worth the effort to work it out. Try finding your tube line in one of the bigger stations with a couple of tired and slightly bewildered children: now that is difficult. Lots of families were staying while we were in this hotel, not surprised at the price and with the great location. Would be really good for a family with a child on any special diet, given the fridge.Receptionist really helpful re booking theatre tickets: I was rather stupid that morning, and she was very kind and helpful.I recommend the hotel for someone on a trip like mine. Great for anyone on a budget. If fussy, and wanting a 'HOTEL' and prepared to pay for it: maybe not.	
Feb 14 2007	Fear Not!	Having read the previous reviews, I stayed here with trepidation. But I had nothing to worry about. Yes it was cheap, but my basic requirements of white sheets, white towels and en-suite bathroom were met. It was clean and warm. The reception staff were courteous despite English not being their first language. Although I only stayed one night, the breakfast was adequate and with a fridge in the room had I been staying longer I could have stocked that with my own favourites. I was not disturbed by the Russian restaurant in the basement or by passing traffic. It is in the corner of a cul-de-sac so there is no passing traffic or pedestrians. Only one negative - is it that hard to programme the tv so BBC1 is on 1, BBC2 on 2 etc etc!!	
Jan 31 2007	A total let down	We read the reviews and went with an open mind. We spent four nights here and our first impressions were the friendly welcome and smart Reception. We asked for a quiet room and were given a front room with a balcony, it was low on space due to two old chairs and an extremely long occasional table. The middle of the carpet was stained and the outer edges of the carpet were in need of a thorough clean as were the bed cover and the nets at the window. It was noisy at night time from the kitchens below and rowdy passers by, and some of the doors on our floor were noisy on closing.The bathroom was long however the shower head which is the old fashioned type is very high, and the plumbing with the toilet left much to be desired as we had to wait a full 20 mins before a second flush.The breakfast room smelt of food from the previous evening as this hotel serves Russian food and other continental foods, and it was dreary and unwelcoming. The table cloths were wine red and stained on two of the tables we used, nice white or pastel cloths would have been much nicer. The lady serving the coffee has no social graces so a Good Morning was asking too much. There is very little to eat, a choice of two cerials, bran flakes or cornflakes, juice and some rather ancient croissants. The coffee tasted disgusting and everyone seemed to vanish as quickly as possible once they had eaten. Two cups we were given had chips in the sides. The room is down some steep steps which are dimly lit, not suitable for anyone disabled.I have never encountered such a dark eating room in all of my travels, shabby and below street level.The lounge area was occupied by possibly a member of staff most evenings using a laptop and we sensed he did not wish for company. Apart from this person we never saw any other guest using the lounge.We requested a booking for a black cab but were told we could only have a private hire care. We asked at the local taxi rank if they would pick up and they told us to request Reception to arrange this and we explained they would not use black cabs.We would not stay here again. It is very over priced with little comfort, it is tired and dreary and needs some bright refurbishment, some clear cut interior decor and the retraining of breakfast staff. It needs to provide a better standard of food. The Reception staff however were efficient and friendly but if you book on line be sure to take along your documentation as they tried to overcharge us by over £100.A plentiful supply of coffee, tea and milk was available and the fridge was useful. The room had a heater.It is so convenient to Queensway, Baywater and the West End. It has easy access to Hyde Park and underground stations and a useful bus service with a direct route to Camden markets, The Angel at Islington etc. We used a daily bus pass to give travel on any bus, the cost of buying underground tickets has now become far too expensive at £4 with limited zones, paying £3.50 for a day rider gives one the ability to see parts of the London suburbs one would not normally visit.There are quite a few hotels in the area which seem not to be so well advertised however we have to admit each time we passed by we wished we had done more research. The next time we visit we will not be staying at London Guards	
Jan 25 2007 	Hated it	It was cheap, which is about the only good thing I have to say about it.It was hard to find due to the vaugeness of the map provided.The room stunk of cigs despite our request for a non smoking room. The &quot;double bed&quot; was very narrow.The bath room was of a good standard except for the fact the shower head was so low it only came up to my chest!The bar was shockingly expensive even by London standards and the bar staff spoke hardly any English.Breakfast consisted of hard pastries and cereal with warm milk, nice.	
Dec 27 2006 	Great value in London!	When I heard my husband booked us a room in London for less than 100 GBP per night, I was a bit skeptical of what we would find. But, after arriving at Heathrow and taking the London Express to Paddington (a very easy and fast way to get downtown from the airport), we easily found the hotel at the back of a quaint cul-de-sac few blocks from the station. The front desk checked us in quickly and cheerfully and we arrived to our room on the first floor overlooking the front entrance. The room had nice high ceilings and a surprisingly large bathroom. Everything was clean, though the curtains, sitting chairs and bed linens were a bit worn. This is not a luxery hotel - it is basic. However, for the price it is very very impressive. The best feature in the room was a mini-fridge (which seemed to be brand new and was actually somewhat large). We kept water and snacks in there, which is helpful considering how much it costs to dine in London. We stayed three night and were very pleased with the location which was near 2 Tube stations and a strip of hip restaurants. The front desk was always helpful. The included breakfast was served in the lower level, and it really wasn't much to write home about, but you can get some coffee or tea to start your day with at least. The area seemed very safe and we were comfortable walking through the dark streets early in the morning to catch the London Express for our trip back out of Heathrow.	
Dec 7 2006	We hated this hotel!!!!	First of all we found the hotel very difficult to find. It wasn't explained clearly on the website. When we finally got there, we were received by a very un-friendly reception staff member. He told us he was unable to locate our reservation (even though it had been confirmed and paid for over 6 months ahead of time). He was completely unhelpful and wouldn't give us any kind of solution to this problem. Finally we urged him to show us all of the reservations he had for that night, and were able to find ours. He immediately threw a receipt at us and told us to sign it and write down our passport numbers clearly (implying that we were not to be trusted). We were very dissapointed with this treatment and will never return again, and would certainly not reccomend this hotel to anyone else!!! Please take our advice, and book somewhere else.	
Nov 24 2006	Decent Budget Hotel	I stayed at the London Guards Hotel in Nov. '06. This hotel is a decent budget hotel, emphasis on the budget. The room was clean and maintained and the staff was very friendly, although seemingly unaware of the neighborhood around them. Their directions got me lost on more than occasion. London is an expensive place so if youre running out of options, dont freak out this place isnt so bad once you get over the fact that its very quaint (but clean). When you pay $12 for a sandwich in London, you'll be happy you were able to save some money on your hotel.	
Nov 23 2006 	Give it a very wide berth	Apart from the location, this place was terrible. Tatty room. Extremely noisy air conditioning. Broken window lock. Room poorly cleaned. Breakfast not before 7.30am, ideal for those with an early start! I paid £89. The staff were friendly and smiled a lot, probably as a way of mitigating the dreadful experience of this lousy hotel.	
Nov 9 2006 	Did the job	I stayed at the London Guards hotel for three nights with my boyfriend. Good points: The staff were friendly and helpful, good location. warm, cosy decor, air conditioning + electric fan. The accommodtion was basic but comfortable and had everything we needed for out break.Not so good: The breakfast was nothing exciting (aldi cornflakes or branflakes, juice, tea, mini croissants, and bread rolls). The safe deposit box was locked. The girl at the desk said she'd send someone to fix it but didn't.	
Nov 8 2006 	OK Budget hotel	We stayed in London Guards hotel in tripple room in september 2006. Our room was decent size and it had fridge in the room. The room was also cleaned daily. On the third day of our stay we had problems with toilet in our bathroom which wouldn't flush. After we reported the situation to the reception the toilet was repaired on the same day. As others already noted the breakfast really is terrible so we mostly didn't bother with it. The staff at the hotel could also be a bit more knowledgeable about the area. When we stayed at the hotel the Lancaster tube station was closed so it was quite a walk to the nearest tube station (10-15 min). Overall, I would recommend this place to budget travelers if you get the deal like we did for 68 GBP per room per night otherwise it might be better to look elsewhere.	
Oct 12 2006 	Very satisfied	Large room with tall window and large bath as well. Refrigerator and television. Close to two metro stops, but in Bayswater there are few attractions. However, there is nightlife on Bayswater and another road a bit West. Hard to find the first time. Hardly saw any staff besides at the desk but they were friendly.	
Oct 7 2006 	Excellent value and location - recommended for budget travellers	We spent six nights at the London Guards at the end of September. Our room was quiet and large (for London standards) with two chairs, a desk, a bench, a wardrobe and lots of room for two exploded bags. The decor is old fashioned, but everything is very clean and the beds were comfortable (firm). The location is excellent, although beware the Lancaster Gate tube station is shut until later this year, although it's only a seven minute walk to Queensway. The reception staff were very friendly. The breakfasts were okay - again what you'd expect for London. Overall for 65 pounds a night we were very pleased. I can see that it would have been very hot during the heat wave as the air con was not flash. This is not a problem in the cooler months.	
Sep 14 2006 	Would go back anytime	Although there was only the two of us, we booked a triple room (for 3 nights) simply to give us more space than the usual double. It was totally worth the money. The staff was courteous. The air conditioning (which could have been a bit cooler) was nonetheless effective enough to make sleeping quite comfortable. The location is well away from traffic enough to make it a pleasant night.	
Aug 8 2006 	Disappointed	We reserved 2 rooms. One was air conditioned. The second one was a sweat box at best and while they kept promising that it would be fixed, it was not - we were there 3 days. The second room's air conditioning worked however, we had water running out of the vent onto the vanity on the second and third day of our stay. It was a great little water fountain! I threw our towels down to soak up and just barely got our belongings moved prior to getting soaked. Water also appeared around the base of the bathroom sink - I just threw down our used towels to soak up.The hotel ran out of bath towels so for our second and third days we had hand towels only. The bed linen was not changed daily as promised (I asked about this not knowing what the policy was and they said it was changed daily - a definite untruth!) they promised to change the bed when I called on the second day, saying it had not been changed but it was not. they said they would send someone up to change it and then called back about 1/2 hour later and said they could not.We always asked politely, but the answers were what we wated to hear and not the truth - not very good service.	
Aug 1 2006	Clean comfortable and cool!	We stayed at the hotel near the end of July 06 during extremely hot weather. Our room was a triple on the top floor. It was very spacious, clean, and had a good size bathroom with shower over the bath. As soon as we walked in the room you could feel the air-conditioning working. There was also a portable unit in the room so sleeping was easy even in the extreme temperatures! The hotel is very close to Hyde Park on a quiet part of the street with no noise at night. Staff were not overly friendly and some of them did not understand English very well. The breakfast was basic - croissants (stale on day 2!), bread rolls, 2 choices of cereal and toast with jam or marmalade. However, for the price (£75 for a double or £89 for a triple) we were pleased with what we got and we will stay here again.	
Jul 22 2006 	Utterly disappointing	Based on mostly positive reviews (THEN), I booked London Guards for a two-week stay for my daughter and me. Our room was tiny, but having spent much time in Europe, I wasn't terribly disappointed--until a friend came to visit us and spent the night at London Guards in a much nicer room with a real view--as opposed to our room, which was half underground with almost no natural light at all. After the roaches appeared in our room, we were moved to the same room my friend had occupied for the remainder of the visit. (That is, we were told to move but were provided no assistance.) Breakfast was typically bad English, so I had one (instead of 13). The final insult came the day we departed. I asked the desk clerk to order us a cab, but apparently the hotel has a racket going with a private company, so instead of the 7 or so GBP we paid to arrive by cab from Paddington, the private guy charged us 16 GBP. In an attempt to say something nice, I will mention that the air conditioning worked well, and there is an ice machine in the building. The staff, none of whom we encontered in two weeks, was a native speaker of any of the world's Englishes, varied from helpful to terribly rude.	
Jul 21 2006	Good value for families	Actually woried about this hotel - it was the only one I could find that had rooms for a family of five - yet I needn't have, it was good value, clean and in a good, quiet, location. The area is safe with large expensive houses surrounding, it is just over the road from Hyde Park and lots of good places to eat (mostly Italian) nearby. The man on reception was helpful but the breakfast wasn't worth bothering about - better to eat out nearby. It says it is close to Paddington and Lancaster Gate tubes - Lancaster Gate isn't far but Paddington is quite a hike. The room was clean, the bathroom adequate and although there were five of us, it didn't feel overcrowded and there was air conditioning. Would definitely stay here again if taking the kids to London.	
