	Great location	i stayed here as it was close to Paddington and I was leaving the following day for Heathrow and could jump on the Heathrow Express. I had a single room on the 2nd floor (no elevator). It was VERY tiny and the bathroom was even tinier. I had to be careful when using the toilet as there was a ridge around the shower and I could have easily sprained my ankle. Quite frankly, the walk in closet I have in my apartment is larger than the bathroom was. This hotel, as in many others in London, does breakfast only one way. I've never understood why the cooks cannot scramble an egg. They can only fry them sunny side up. If you have a bowl and a fork, you can scramble an egg. But here they couldn't do that. In fact, when I asked, the waiter looked at me like I was from another planet and he didn't even know what scrambled eggs were!!It's an OK place to stay if all you want is a bed and tiny bathroom. For breakfast, I suggest Garfinkel's on the corner of Praed Street.	
Jul 2 2007 	Good value	I just returned from a work trip to the UK, my first trip to Europe, in which I spent the first three nights at the Cardiff. I booked the Cardiff because I didn't want to spend too much money on accomodation but wanted a step up from a hostel, as well as somewhere with a good location and this fitted the bill.To be honest my very first impressions of the hotel were not that great ( that could have been the jet lag) but by the end of the stay I was really glad I had chosen to stay here.I stayed in a single room with an ensuite on the third floor. The stair way is quite narrow and the steps are steep, so I recommend anyone with mobility issues that wanted to stay ensure they have a room on the first floor. The room was very clean and had what I needed. The ensuite was quite small (like I couldn't streach out my arms), but again clean and did the job. All in all from the bit of research that I did, I think the room was good value for what I paid. In addition I found the room really quiet, apart from the odd person making thier way up the stair case. I only heard noise from the street a couple of times and never from other rooms.The cooked breakfast really make this a good value place to stay. The food was good and came quickly and the staff were friendly.Many other people seemed to be also travelling on their own, and I felt very comfortable, so I would definately recommend this property to people travelling on their own.The staff at the reception were accomodating, and I felt that if there was something I needed I could ask them and it wouldn't be a problem.The location of this hotel was fantastic and exactly what I wanted. Located right near Paddington it was no trouble from Heathrow airport and the underground. I found the underground really good and easy to understand. Most of the things that I wanted to see were near a tube station so I managed to get around london easily on the tube, and this saved me a lot of money compared to taking the sight seeing bus tours (which I think are a waste of money when the tube is so easy to use.)All in all, I would definately stay here again. In fact unless I was going to stay somewhere really luxury in london, it wouldn't be worth paying the extra to stay anywhere else. (unless you don't want to have to walk up all the stairs!)	
Jun 21 2007 	Convenient Location and Cosy Little Hotel	Very near to Paddington station which is convenient for travelling esp using the underground including to Heathrow airport. Staffs are polite and helpful (Alex and Nara) - could not expect for more as this was probably one of the better location in central london and not the most pricy.The hotel room and bathroom are very small however, given that hotels in central london for that price - not to expect much.	
May 31 2007 	Great location great price	We just returned from a five week trip to England and Ireland. We started at the Cardiff. The staff (Alex, Agnes and Nara) were fantastic. They made this average hotel above average. We were able to obtain a rate of $136/night because we stayed five nights and the fifth night was free. We had a small (but adequate) room upstairs but our friends had a larger room on the first floor. Everything was clean, water pressure in the shower was fine. It was a quiet location, but had restaurents close by. Also close by were Paddington Station (London metro and trains to Windsor and Oxford), bus stop and Kensington/Hyde Parks. Breakfast was a nice buffet for cold items and a full hot English breakfast.	
May 15 2007 	Loved the hotel and location	I stayed at the Cardiff Hotel for 3 nights recently. The hotel was exactly as advertised. The staff at reception were exceptionally friendly and helpful. I was given a hand drawn map of the area with all the info I needed, e.g. food, transport, bank, post office.I had booked a single (smoking room) which was located on the top floor. My room was a small ensuite, but it met all of my needs perfectly. It was located at the front overlooking a lovely little park and was very bright and private. It had a tv, phone, tea / coffee and hairdryer. It cost £55.00 per night.My Bed had Cotton Sheets and feather pillows which was a luxury I had not expected. I was delighted by this special touch.The room was very clean and housekeeping staff came each morning to make bed and change towels, etc.Breakfast is just wonderful with lots of fruit, cereal, yoghurt, full English breakfast and earl grey tea!Paddington station and underground is just around the corner and is perfect for visiting all parts of London. There is an internet cafe just across the road (many people had problems with getting online though) and a few shops and restaurants. As a single woman travelling alone, I felt very safe in this area. It rained for the whole weekend and Nara at reception loaned me an unbrella which I was most greatful. I have never met such friendly and helpful staff, in particular Nara and Maria. Such lovely people. I felt I'd known them all my life... I would definately stay here again. I have stayed in much more expensive establishments in the past, but I would rate the Cardiff Hotel as one of the best.Bad points: No lift. (Two rest stops required on way to top floor!)Breakfast finished too early: at 8.45amCarpets needed cleaning from stains, but otherwise very clean.None of these negative points bothered me excessively, but they might bother some people.Overall a very good hotel with friendly helpful staff in a great location	
May 8 2007	Handy London Hotel	Good location close to the Tube. Hotel clean and comfortable. Room was very small and basically furnished. Staff polite and helpful. Good shops and retaurants close by. English breakfast served as part of package was good.	
May 5 2007 	Excellent Location but that's about it!!	My girlfriend and I stayed at the Cardiff for a week in early March. We could not have asked for a better location in London. It was so easy to get to being so close to Paddington Station. The Heathrow Express only takes about 15 minutes to get there from the airport. Paddington station offers you a variety of Tube Lines so we had no problems getting around London. However the hotel is pretty much what you pay for. It is more like a hostel in terms of the size of the bedroom and bathroom. In fact the &quot;bathroom&quot; was absolutely disgraceful. It was no bigger than a broom closet. I was expecting it to be small but even I was shocked by its minuteness. The breakfast was not all that great either, but I suppose it's what you pay for. The bacon was dry and the eggs plastic. The staff were extremely friendly but did lack some essential London knowledge, eg a simple question about a weekly transport card had them stumped. The room on the street at night was a bit noisy but I suppose that is the price you pay to have such a good location near the train station and several nice small pubs and restaurants. I probably wouldn't stay here again and pay a bit more to go elsewhere. But for the price I suppose we could not complain about the Cardiff.	
May 2 2007 	Good Value Location	I stayed on my own for just one night recently, attracted by the price and location. And that's really what the place has going for it. My room was mid-sized and clean, the decor a bit old fashioned and drab but fine considering the price. The location so close to Paddington is great, especially if you are coming from Heathrow on the Express. And the surrounding area is lively, even while I was there on a Tuesday. So, not a bad option if you're watching your budget.	
Apr 11 2007 	good value unbeatable location	I stayed in Cardiff for 3 nights in during Easter with my husband and my goddaughter. Having had horrible experiences in overpriced hotels in London, I was very cautious about the hotel I'd book for my goddaughter's first visit to London. Also my husband's pet peeve is the abysmally bad price/quality ratio of London hotels, so I was merely looking for an OK experience.We all loved the Cardiff.Yes, the hotel is old, and shows its age. The furnishings are worn and the decor outdated. Rooms are small just as in all London hotels and the bathrooms are also small. There are no freebie toiletries or chocolates on pillows, but there never are in hotels within this price range (you can buy shampoo from the reception).However, the room was very clean (definitely no bed bugs or mice here!) and by far not the smallest one I've had during my numerous trips to London. We had a triple room on the lower ground floor, facing the square. The beds were comfy, the TV worked, there was plenty of hot water and adequate water pressure for showering. OK, the toilet cistern took for ages to fill up and the bathroom ventilation was not very efficient, but these were not major issues for us. (BTW: in previous reviews someone complained about the sheets not being changed every day: it is part of the hotel's efforts to be eco-friendly, but if you notify them, you can have fresh sheets every day if you want)The service was very friendly. We arrived in the middle of the night and got a very warm welcome. Also the breakfast staff was very nice even if they were a bit busy. The breakfast was good: both a buffet of cerals, fruit, juice and youghurt plus a full English one if you like. The location is unbeatable: literally 100 meters from Paddington tube station and a number of buses (some running 24/7) stopping equally close. Hyde Park is only 5 min walk away. Plenty of restaurants and corner shops in the area. However, what we most enjoyed was the feeling of the proprietors really caring for their clientele. There were little touches such as a very informative information folder in the room, the possibility of buying sight-seeing tickets at the reception, the numerous guide books in the lounge, the small chocholate easter eggs on the saucers in breakfast etc. that made us feel that we were in a good, old, family-run hotel. This is not a feeling that you generally get in London these days!To put it short: It's not fancy, it's not new but it is clean, friendly and overall a good place to stay and you really are cared for. The price/quality ration is exceptionally good for London, and you can't beat the location.	
Apr 8 2007 	A Convenient and Pleasant Place to Stay	It was my first visit to London and the Cardiff Hotel was a convenient place to stay during the week-long trip. They had a deal on their website for the room including hop on/hop off bus tickets, which picked us up right by the hotel. Transportation was incredibly convenient with the Paddington train and tube station literally a block from the hotel doors. Also, there are multiple bus lines that stop nearby, making it easy to get around the city at all hours of the day. The neighborhood is pretty quiet and calm, with restaurants, shops, and a post office nearby.The hotel is small but the people working there are generally friendly. They were quick to respond to my reservation request and when we had a problem with the shower, they changed us to a different room. The rooms were a bit small and both rooms had windows with no views but overall, it had everything we needed. The breakfast was good and the service was prompt. They had the full breakfast with eggs, bacon, baked beans, tomato and toast as well as a buffet of juices, jellies, cereals, and fruits.Overall, we had a pleasant stay at the hotel.	
Mar 11 2007	Great location for public transport access	I had an enjoyable stay at this hotel for 2 nights in Jan 2007. They have a very good breakfast spread of cereals, juice, breads in addition to the English Breakfast. Tube and bus accessibility make this location an excellent choice although the immediate area has a great number of hotels to select from. If you want to find a bargain, just go door-to-door around the block. I ended up moving to a hotel across the street where I booked a double room for roughly the same rate. The breakfast there wasn't as good though.	
Mar 3 2007	An enjoyable stay	The Cardiff delivered on what it promised. The front of the building is almost visible from the Paddington train station exit. About a one minute walk. There are also pubs, restaurants and shops all around it, one shop conveniently open 24hrs a day. Food is no problem, I woke up at 1.30 am one morning and felt a bit hungry so decided to call into a KFC just around the corner for a quick bite. The reception staff were very helpful and provided me with a guide book and map free of charge. I stayed 4 nights and had an en suite single and while it was a small room, it had a tv, tea and coffee, phone, hairdryer and a comfy bed. The shower was particularly small but had excellent pressure and plenty of hot water. The room was also very clean and fresh smelling. Breakfast was very pleasant. My order was always taken very quickly and the food arrived fast as well. The &quot;Full English&quot; tasted good and you could have as much tea/coffee, toast, cereal, orange juice as you wanted. Faults would be the thin doors that don't keep noise out so well (though noise was not a problem) and the fact that it was quite tough climbing 4 or 5 flights of stairs to get to my room (no lift). So if you are looking for an economical base for an adventure around London, you won't go far wrong with the Cardiff.	
Feb 11 2007	Lovely stay	My Son and I had a most enjoyable stay at this good value hotel. Desk staff Alex, Nara and Agnus were more than helpful. Each morning we had a delicious English breakfast from happy staff especially Maria, nothing was a problem. If you are looking for good value for your Australian Dollar than I recommend the Cardiff Hoel. It is very clean, good food, friendly staff and a great location. We will certainly stay there again.	
Feb 7 2007	What a little gem!	When searching for hotels in London you come accross some horror stories - bed bugs, unclean rooms, moddy staff, etc.....NONE of these applied to The Hotel Cardiff!After trawling through many internet sites (including Trip Advisor), and looking through many hotels I finally decided, about 2 days before I was due to stay, to book in to this hotel.I have to admit being worried, even though nearly all the reviews I'd read had been excellent, however there was no need!I e-mailed through my reservation enquiry, and I got back a very pleasant E-mail informing me of the available rooms, so I rang and booked. The telephone manner was excellent and so the room was booked without any problems.I booked a single en-suite room for 2 nights at £45 per night including breakfast.Now... Upon arrival at Padington...I hadn't recieved a map from the hotel which is usually common place..but I didn't think anything about it as had a little map book from an earlier trip to London on business...however Norfolk square where the hotel is situated wasn't on the map...so I wandered around for about 20 mins looking for the hotel...which when i found it was just around the corner from the tube station!So that's a very minor point.The front desk staff were very pleasant and allowed me to see my room before payment (which must be done on arrival..and yes they do accept cards). This is the only other slight niggle..the room was right on the very very top floor...alright for me..20 something male... but you wouldn't want to do it more than twice a day!However the room was spotlessly clean with tea and coffee facilities, freshly made bed, and of course it's own bathroom (also spotless!).Other reviews have mentioned that the bathroom was a little on the small side....and well yes I suppose it is.... but it's similar to one which I'd had at university...it was perfectly, more than adequate for what you need a bathroom for!I had a wonderfulnights sleep, and to say the hotel is so handy for shops, tube, and...well anything else you might need it was very quiet.The breakfasts in the morning were wonderful, cooked english or eggs. The English was very tasty and not too heavy.As well as the cooked part there were cereals, fruit, tea, coffee, fruit juice, and as much toast as you could possibly want to eat!The staff were very pleasant and friendly, nearly always smiling, which when you're awayfrom home it's nice to see on a morning.So the Cardiff Hotel, a friendly, happy, CLEAN, place to stay in London!(Literally 1 minute from the tube - if you get off the circle line turn right out of the enterance..not left like I did at first! Then it's about a 10 minute tube ride to Kings Cross. Perfect location!)	
Jan 30 2007	Great location1	A good hotel near Paddington. Rooms are somewhat small and worn but very clean. Staff is friendly and a fantastic value for London. Near some good restaurants and around the corner from the Underground.	
Nov 28 2006 	Blah Blah Blah	It wasn't fantastic. The benefits of this place involve its location to the Tube (via Paddington station), to a close laundrette, green grocer, internet cafe and restaurants.Our room was small. Some body contortion was required to walk around the bed. We were on the first floor and could hear every person who came and went (including when they were on the loo and what they were doing there). We had an ensuite. Sometimes the loo flushed - and sometimes it didn't. Not totally cramped but very small. The shower had great pressure but for someone not used to the one-dial tap it will present some confusion. Service was... okay. No rudeness but no interest in what they were doing. Breakfast was okay. Best part about it was choice: hot breakfast (of either breakfast sausages, bacon, eggs, baked beans, and toast) or cold breakfast (of a couple of different cereals, fruit salad). Coffee, tea and fruit juice are on offer.I'd stay again but only as we didn't spend much time in the room - we got up early, had breakfast and didn't see the room until after dinner.But! It isn't luxury and any person staying there must be prepared. It has amazing potential but is in desperate need of a makeover.	
Oct 30 2006 	Great value	Following extensive reviewing of hotels in London on Tripadvisor(which is a must before booking) we decided to book the Cardiff hotel in Paddington.My wife and i had a double room on the third floor(beware NO LIFT) which was clean and tidy. The bathroom was tiny but didnt bother us at all.Breakfast was good,as is the hotel position,very close to Paddington Station.As a base from which to explore it is ideal and excellent value for money.Recommended.If your after a late drink and some food then forget this area.Two pubs the Dickens and Sawyers stop tap at 11pm with the Sussex Arms open til 12.The Mughals indian restaurant waste of time for a late meal,we settled for alfresco fish and chips from the chippie next to the Sussex and this at mid night on a Friday in of the supposed major capital cities of the world.	
Oct 22 2006 	Ideal location	We stayed at the Cardiff Hotel for one night in a double room. This was our second visit to the hotel, and it was just as good as the first visit. The location is literally 5 mins walk from Paddington Station, and Tube Station.The hotel is near to several restaurants, shops and the London bus tour stops 2 mins walk away, there is also an ATM close by as well.The location is also ideal to walk to Oxford Street which is approx 10 mins walk away. Our room was ensuite and on the small side, but clean tidy and with plenty of hot water. The breakfast is inclusive, and is very good with plenty of choice, including full english, plus cereals, fruit, toast, yoghurt, fruit juice and tea and coffee.All the staff we encountered where very pleasnat and helpful.We'll stay here again next time.	
Sep 29 2006	very good stay	I stay for 3 days with my friends in 2 quad rooms. we're 8 adults.quad room. Clean but a little bit small for 4 adults. Maybe perfect for a family with childs. Excellent position. normal breakfast.p.s quad room are at the ground floor but are without view.	
Aug 14 2006 	Great Service and Breakfast	This was our second stay at the Cardiff. This time we brought the rest of the family. We had a triple, two doubles and a single. The staff were great, and let us move rooms due the the heat wave, as one of the first rooms had little ventalation. They also provided extra fans for the triple room. Also we different parts of our group paying for different rooms at different times, the front desk staff had no trouble meeting our needs. One of the best parts of the Cardiff is the breakfast. The cereal buffet, fresh and can fruit and of course the full English, gets your day off to a great start.While the single room had a great new modern toilet and shower, the triple and doubles are begining to show wear. Even with this, the hotel is comfortable, and the price, while expensive for Canadian standards, it seemed very reasonable for London. The neighbourhood is great. Lots of pubs, restaurants, shops and close to bus routes, the underground, Paddington Station and even a great walk to Little Venice. Overall it was a great stay again.	
Jul 27 2006 	Lovely staff	Great location, we had a room overlooking the garden in the square which was beautiful at the begining of June. Do ask for a higher level room if you can manage the stairs ( it was hard after breakfast) as it means you are above street / pavement noise.Wonderful breakfast and excellent value for our NZ dollars budget .	
Jun 30 2006	lovely cosy place to stay	We really enjoyed our stay at the Cardiff Hotel and felt very at home. We got 5 nights for the price of 4 making it very good value and were pleasantly surprised by the freshly decorated room, not large but good for the price, and lovely garden view. The room was quiet and spotlessly clean. Breakfast was the best part of my stay, very generous buffet with fresh fruit, yoghurts etc and the big fry up for my husband. Staff were always smiling and willing to help. We have styed in a couple of other budget places in London and the Cardiff was by far the nicest. A lovely stay in London and we will definitely return.	
Apr 22 2006	More than adequate	My husband and two adult children shared a quad room for four nights, two things to remember when thinking of this Hotel are - 1. this is budget accommodation and 2. this is London. Our room was of adequate size holding a double bed and two singles, with a small foyer which the bathroom lead off. The bathroom was typical english - small but big enough to do what is needed - I have stayed in a 5* hotel in London and the bathroom wasn't that much bigger just had fancy fittings, thinking about it nor was the bedroom. Breakfast was more than adequate, served by friendly staff. Cereal etc. help yourself and plenty of, standard cooked breakfast if you want. Reception staff were friendly and helpful - the days we were in London were extremely cold and coming from an Aussie summer we really felt it. When returning to the hotel of an afternoon staff happily turned the heating to our room on, over riding the automatic system for us. The Cardiff is very handy to the train station both overland and tube, bus stops nearby, big bus sightseeing stop, plenty of restaurants and other eateries (incl. Burger King and KFC), internet cafe, laundromat and other shops. I would happily recommend the Cardiff Hotel to anyone, keeping in mind though it is budget accommodation.	
Apr 20 2006	Good price\Good breakfast\few stops to down town	If you want to visit London without spending a lot of money in accomodation , Cardiff Hotel is a good choice.The bathroom is very tiny but clean, and also the room .Breakfast is very nice and there are a tube/railway station and a bus stop 2 minutes walking from the hotel.The hotel is next to many restants.There is no lift, so you must &quot;climb&quot; the steps	
Feb 6 2006	About what I expected	Something to keep in mind when reviewing a hotel is the value versus price. My wife and I wanted a budget trip to London, and since we are active travellers, i.e. get out early and stay out late, the quality of the hotel was not a top priority. Granted, this hotel is not on the level of the Waldorf Astoria or even an average Holiday Inn. But, considering the price we paid, the location and the actual time we spent in the room, I would consider staying here again. Here are the pros and cons we would give the Cardiff Hotel:Pros: Location. (BIG) A 3-minute walk to Paddington station and you can be anywhere in London. We found the ammenities numerous--internet cafe, liquor store, laundry, grocery, Indian restaurant, pub(s) within 100 yards. Plus the fact that it is in a relatively quiet section of hotels, with a park facing the property it is a definite plus. A five-minute walk will get you to Hyde Park!Price. We stayed in late January 2006, and paid 55 (about $95) pounds/nite, which was a decent value. I don't think I would say the same thing for our room with Summer rates. $95/night with breakfast in Central London in an acceptable hotel is a deal.Breakfast. Wide selection and good, freindly service. As far as English breakfasts go it was very acceptable.Cons:Rooms. Extremely small (it was as tall as it was wide). If you plan to have leisurely days sleeping in or hanging out, this is not the hotel for you. Our shower had duct tape around the bottom, and forget about any hot water after about 8:00 am. Our sink was slightly larger than an American football (really). The carpet was overdue to be replaced, and my wife found the bed uncomfortable. We did, however have a room on the second floor facing the square, which was nice. We had a space heater in the room, which was fortunate because the radiator was irradic. Note: The only bathroom items provided are soap and towels. I don't think they changed our sheets our entire stay (eight nights). No lift. When you reserve a room, ask for the lowest floor possible, unless you like climbing narrow staircases. Overall, the inconveniences were bearable, the location is excellent, and the value for the money was acceptable. If you want a decent hotel to generally sleep and store your stuff while you enjoy this fascinating city, you will not be dissapointed.	
Jan 21 2006	Good value and location	The hotel is in a nice area, very convenient to Paddington Station (with a convenient express train from Heathrow). At the time there was even a stop on the London Bus Tour across the street. The staff was generally friendly and the breakfast was nice. The room was the typical London hotel, I guess -- small but efficient. The room was generally clean with a TV, desk, bed and nightstand (pretty minimal). The bathroom was very tiny. All in all a decent value for the money.	
Nov 14 2005	Cozy well priced hotel..see my pictures	There are hundreds of budget hotels to choose from in London and I've read all the horror stories too..it's difficult to make a decision when one person is raving about a hotel and then someone else says it's the worst place they have ever stayed. I poured over the reviews and did some research online and ended up finding the Cardiff Hotel. One huge factor in my decision is that they responded to my e-mails very quickly. I changed my plans a couple times and they were very quick to make adjustments via e-mail for me. I found a good deal on the room thru one of those online services and I contacted the hotel directly and asked if I could simply book right with them for that price and they honored it.  I also heard they had a full English breakfast included so that was another plus. :) When it came time to finally roll into the Cardiff, I found it was part of two very long, probably at one time apartment buildings facing each other that had been broken up and sold to several different hotels. So the photo you may have seen on the web of a big white giant hotel has the Cardiff as part of it and other hotels as well. They have a 24 hour reception desk which I like..there is always someone there. Your key fits your room and the front door which is always locked. Everyone spoke English and were always pleasant and accomodating.  True to other reviews, there is no elevator, you will have to pull your bags upstairs..but if an able bodied adult cannot pull luggage up a couple flights of stairs I would recommend joining a gym :)...and asking ahead for a room on the 1st or 2nd floor will help minimize the amount of hoisting you will have to do. I had no problem as a woman getting my stuff up to the second floor. OK, admittedly, when I put the key in the door and opened it I burst out laughing..the only real Achilles Heel of the hotel..the single rooms are incredibly tiny. I mean really small! I wasn't sure I would be able to hack it for 2 weeks in there, but really, your attitude is everything. You find you can adapt and it's no big deal in the end. My room had a recently put in bathroom unit..I paid a few dollars extra for that, otherwise you use the toilet down the hall from the room. It is a small but adequate unit with a shower, toilet and sink. I have read many complaints about small bathrooms in London hotels but one should actually consider themselves lucky to have one in the room. I really don't care about things like the size of bathrooms, I mean how long do you plan to be in the shower? Most of the time you will be out enjoying yourself.  Breakfast is served from 7-9 am and is pretty expansive. A choice of cereal, yogurt, juices, fresh fruit, and of course the English breakfast. Only tiny complaint is they only make the either fried or hardboiled with a runny yolk, which I don't like. Again, nothing worth worrying about. The wait staff was friendly and quick to serve and spoke English.  The reception staff was also friendly and can provide you with information about local sights and sounds, they also can sell you phone cards to use in your room to make international/local calls and were always very prompt to get the heat on in my room when I called down for it. No complaints here. The hotel is very close to Paddington station (walking distance) which is where the Heathrow Express drops you off from the airport. Also nearby are plenty of mini marts, food places, internet cafes (I recommend Reload which is a short walk from the hotel) and Paddington Underground is very close too so you can easily hop onto the tube and be off. Another small thing is that my window was above the sidewalk outside the hotel so you do get noise from people talking and cars parking, etc. It's actually a smaller road next to a park square so it's not like major traffic noise but enough that you may want to bring a pair of earplugs is that bothers you or see if you can get a room that doesn't face the street. Also you can sometimes hear people in the room next door but it wasn't really much of an issue. After a while the place was starting to feel like home. I was greeted with a smile when I came in at night from my fun days in London. The place did not smell, the carpet looked pretty new and my room was clean and no smoke odors. There was nothing damp or musty about the place. The room was made up for me daily with a fresh towel and bar of soap. Small but adequate TV is mounted on wall above bed. Tea maker with tea and coffee in room. Just bring your own shampoo. I have attached photos of my room to give you an idea of what it was like. American tourists are often shocked at the size of the rooms and sometimes lack of regular sized bathrooms the rooms too. You need to go in knowing what to expect, that these are very old buildings that can only be modernized so far. It is a *budget* hotel. And in my opinion a pretty good one. I didn't feel uncomfortable at all. I would stay there again!If you have any questions I can help you with about the hotel or London in general you can e-mail me at serafinsgirl@yahoo.com and I will try to help you out.	
Sep 5 2005	Know what you're getting going in and you'll be fine here	I'd read enough reviews of this place in planning our trip to avoid some of the issues reported here. I requested a lower room and got the first floor, which I'd recommend to anyone planning to stay here. We faced Norfolk Square which is actually quite attractive. We did have a few noise problems with people walking through at night, but generally it was fine. Now for the other bad and good points:The Bad:Yes, the rooms are small. It doesn't help that much of the available space on the vanity is taken up by the television and the teapot, especially since TV reception is marginal and the electric teapot didn't work at all.Breakfast wasn’t quite as good as we’d expected. Cereals and fruit were plentiful and the selection of jams was excellent, but the English breakfast was rather disappointing. The bacon was extremely salty – much more than I’d ever tasted before – and the staff only serves one banger per breakfast unless you request otherwise. Also, eggs may only be ordered sunny-side-up or over-easy. For some reason, they can’t/won’t scramble eggs. Go figure.The staff was pleasant enough, but sometimes their command of the English language left a bit to be desired.The Good: I have two basic criteria a hotel must pass for me to consider it worthwhile and this property passes on both. First, the showers, though cramped, were warm and had great water pressure. Second, the beds were firm but not too much so. I slept really well in them.It would be hard to beat this property’s location. Enough people have described the hotel’s proximity to Paddington Station that I don’t really need to, but I haven’t seen anyone mention the fact that the Big Bus sightseeing tour has a stop within 50 feet of the hotel’s front door. Restaurants, pubs, shops, money changing stores, and a couple of Internet cafés are just steps away in addition to the shopping and eating arcade within Paddington Station itself.While the problems with the TV and tea pot were annoyances, the fact is we didn't spend much time in the room so both of those points were essentially moot.In summary, you can certainly stay in better places if you’re willing to pay the tab. Consider this hotel’s warts and decide if you can live with them. If you simply want shelter and are willing to deal with the shortcomings, the Cardiff will be fine. If you need plusher surroundings, there’s a Hilton at Paddington Station, a fairly new Quality within a few steps of the station, and a host of other small hotels in this neighborhood.	
Jun 20 2005	Hated the Cardiff Hotel	I climbed 79 steps up a narrow staircase, with occasionally loose bits of carpet, to a small and stuffy room on a hot and humid night. The room was clean and the area generally quiet but the bed was narrow, lumpy and uncomfortable. There was no shampoo provided, the shower and toilet were tiny and the lack of air conditioning was a real problem on the night that I stayed. The breakfast was fair but I found the room rather cramped. Generally there was a rather stale small about the place and my friend complained about the tang of cigarette smoke from the previous occupant. The only redeeming feature was the proximity to Paddington Station!	
Jun 4 2005	Pricey in Canadian dollars	Glitzy, it was not! However, it was handy, and even though we are in our sixty's the climb to the fourth floor was not impossible. Tough, but not impossible! Excellent food for breakfast in quaint dining room in basement. We were shown room in lower (basement) level. Would advise travellers not to take the lower floor as it is not as secure as the upper floors. The accommodation is reasonably clean, but shows wear and the rooms are small.	
Mar 21 2005	Best Value in London!	Our family of four found the Cardiff to be a real gem. I chose the Cardiff because of its proximity to Paddington station but found that that was not the main benefit of staying there. We were only there for one night as we had a stayover between airports being brought in at Gatwick and flown out of Heathrow. Although the Paddington train station is just a couple blocks away, we found that using the Tube to get to Heathrow was just as easy. It may take more time, but the Tube was much, much cheaper and only involved one transfer. (A serious consideration due to the current exchange rate!)Upon arrival by cab, we were greated most appreciatively and made to feel welcome. My teenage daughters felt so at home they decided not to leave for dinner. They would rather watch the tele! We found the variety of restaurants in the area to be exceptional. Everything is quite convenient in the area as there are many stores close by. We also enjoyed our first English breakfast there and were treated most kindly by our server who was very helpful to us first-timers.We loved the park right out the front door, the very pleasant staff, the cleanliness, and the location of the Cardiff and we would most certainly return.	
Mar 6 2005	Great value hotel..fantastic location	Our family of 3 stayed at the Cardiff for a few days before Christmas 2004 and again for a week at the end of January. We found it to be a vey convenient location, Heathrow Express, and the tube system. Rooms are compact but were kept clean and tidy by friendly staff, tea and coffee making facilities were a bonus. We enjoyed the English breakfast each morning which was always enough to keep us going till late in the day. Laundromat is across the road and inside Paddington Station is Sainsbury's and Marks and Spencer for day to day supplies.	
Jan 24 2005	A great place to stay	A cozy , friendly hotel with lots of character . I didn't have the breakfast as I had to leave early in the morning , but I had a great night's sleep ( what a warm , comfy bed ! ) . Excellent value for money . I would definitely stay there again !	
Dec 15 2004	A Dump	Worst Hotel we ve ever stayed in the carpets in the room and on the stairs were a disgrace the en suite was so small you could hardly move in it, the shower had duct tape around the bottom and was filthy, for what we payed we would have had a five star Hotel in Canada never again.	
Dec 2 2004	Liked the location and friendly people!	Our first visit to London. Spent 5 nights at Cardiff and liked it for the right price for London and convenient location. Triple room was OK but if you are more than 200 pounds it would be hard to move in the bathroom/shower. Breakfast was good and kept us going till late afternoon. Do not expect any extras in the hotel - very simple but clean. Have your shampoo, etc. with you. People (Brits in general) are very friendly and were ready to help with anything you need -in the hotel, on the streets, on the bus and the tube - we liked it a lot. Couple things we didn't like about hotel and London - lots of people smoke and second hand smoke is everywhere you go. Ask for a non-smoking room if you are non-smoker. Another thing you have to be aware of - the nearby grocery store &quot;Portland food and wine&quot;. I was shortchanged there twice and the Indian shopkeeper refused to give my change back. After that we were shopping at Sainsbury store at Paddington station - few minutes walk from the hotel but prices are much cheaper and they do not shortchange you!Overall we really enjoyed our stay at Cardiff.	
Sep 21 2004	Satisfactory	The best thing about the Cardiff is that it is so near to Paddington station...Buses, underground all is around. No, lift (elevator) so ask for a room on a low floor (and facing the garden), the rooms are definitely small - the breakfast is okay the staff can be helpful. The street noise dies down at night -but you can tell when it is morning. All in all, a budget hotel in London (hard to find). I got in on an Aug/Sept special... ask for specials, and check around different sites for different prices. Every little bit helps when the dollar is so low.	
Sep 7 2004	We should have stayed in the park.	We were prepared for small rooms, no a/c, and service different than found in America. But this was awful! We saved London for the end of our vacation so this was the last place we stayed. I am very glad we did, I may not have had the courage to keep going after this place. We stayed here in August and had to keep the window open because there was no a/c. However, there was a window from the next room facing ours about 4 feet away. There was just enough room for one person to walk around the bed at a time. The bathroom was so small you had to bend yourself around the sink in order to sit on the toilet. The light burnt out in the bathroom shortly after we arrived. We notified the front desk, but it was never fixed during our stay. The breakfast was not worth going to. We didn't plan on spending much time watching television, but the olympics were on and we wanted to see the diving. They did have a television, but the only thing with any picture you could make out was the cctv for the front desk. I always try to find something good so I will say the hotel is close to Paddington Station and there is a lovely park out front.	
