	Great service top class cleanliness and and central location	Stayed at the Imperial midweek for a couple of days in November. Perfect location for visiting any part of London's West End, we were going to the theatre and shopping. Hotel reception cosy and relaxing. Staff were superb ( repeat superb) throughout, always hepful and polite. Twin room on third floor overlooking courtyard was large and had good quality lighting rather than the 40 watt bulbs provided by other hotels.Breakfast of hot and cold food ( all you can eat buffet) served to about 10 am, staff come around with tea and coffee which stops the buffet area getting clogged up.Very clean hotel and we would definitely stay here again. by the way the rooms are not air conditioned but you do not need that in London anyway.	
Apr 18 2009 	Imperial? I don’t think so!	Imperial? I don’t think so! Such a disappointing hotel. The actual room wasn’t awful, it did at least seem clean. But there were so many other things wrong, that it all added up.Where to start, well how about check-in. The hotel is clearly used to having large groups staying, so if you are a family or couple checking in you get the same officious processing. No one behind the desk seemed to want to actually welcome guests, just deal with them. You have to fill out a form, with exactly the same information that you supplied when you booked online.As I say, the hotel room itself wasn’t too bad. However the shower holder was broken, so you could only really have a bath. The towels were the size of handtowels and some were well past their best. The TV is tiny and barely visable from the bed, also they have about 8 channels, (1 to 5, plus BBC World and a couple of other channels). Why do hotels not offer Freeview or FreeSat, which would give so much more choice?There is supposed to be a wireless network throughout the hotel. I had hoped to do some work while staying, so booted up my laptop to pick up my emails. Sadly the service wasn’t working. I phoned reception, who told me they couldn’t guarantee it would work in rooms, but that it would work in reception. Strangely when I tried in reception the service still didn’t work, and this time the story changed to ‘We’ve been having a few problems today.’ When I asked whether someone could have a look at the system, I got ‘Oh I don’t know anything about computers and the person who deals with this has gone home’, surprising bearing in mind it was 4pm, not midnight.Breakfast was dreadful. The cooked breakfast was far from nice, with cheapest ingredients – avoid the sausages! The tea that we were served, was the colour of coffee and tasted worse.All of the above was pretty awful, but the windows were the final straw. We were on the seventh floor and with the windows firmly closed we could hear the conversations of people in the park outside and sirens reverberated around the room. There was no balcony on the rooms, which is no problem, however the windows open wide, meaning even the largest hotel customer could easily fit through. There was no safety catches to stop windows from opening too far, which is particularly scary with small children. I would love to see the risk assessment that has been written for that, as I would have thought inspections should have picked that up and forced the installation of safety catches.This hotel very definitely doesn’t offer a Quiet Night Guarantee and if sleep or comfort is part of your planned visit to London, I wouldn’t choose this hotel.	
Apr 2 2009 	Friendly Well Run Hotel In Good Location	Stayed at the Imperial in March 09 and find it difficult to think of any serious faults. All staff were friendly and helpful, especially the porters who deal with keys which must be handed in whenever going out. Our twin room was spacious and appeared to have been recently refurbished; the large bathroom was well fitted out and had twin hand basins, however the shower head had a mind of its own when turned to normal pressure. We managed by running the shower at lowish pressure to encourage the shower head to stop spraying the ceiling and walls.Bedding consisted of crisp white sheets with smart, clean bed coverings. Carpets and curtains were clean and looked fairly new, the view from the room just consisted of the other three sides of a quadrangle of hotel buildings, which meant that we were not bothered by any noise. My sister had stayed at the hotel a few weeks before in one the rooms overlooking Russell Square and said she had not been too bothered by noise and certainly enjoyed the view.We picked the wrong time for breakfast on our first morning, as a large party of guests who had been attending a conference the evening before all arrived for breakfast at the same time. After twenty minutes the queue soon cleared and guests arriving later had no queuing problems at all. Food was freshly cooked and plentiful and on our second morning no queues were encountered. Breakfast staff were helpful and efficient with coffee and tea being dispensed as soon as we were allocated a table. My request for decaf coffee was quickly dealt with.As part of our package, dinner was included on our first evening, with choices of restaurants within the various hotels owned by this group. We decided to dine in the restaurant of the adjoining President hotel, which was reached by simply walking through the coffee shop and into the bar and reception of the President. We chose the carvery meal which offered a choice of three meats served by the chef, followed by a good choice of vegetables. The all inclusive menu included a choice of starters and an extremely tempting choice of deserts.We intend making a repeat visit to London quite soon and probably won’t consider staying anywhere other than the Imperial, it offered us everything we needed for our short stay and was a welcoming and restful place to return to after a long day spent sightseeing. The location was superb, within walking distance of many attractions including the British Museum &amp; Covent Garden. Bus stops are very close by with buses every few minutes taking you to Holborn, and Aldwych where you can transfer to buses going East and to the West End. Holborn tube station is very close by. This hotel suited us perfectly and came as part of a competitively priced package, although the full price “rack rate” seemed a bit excessive when compared to the all inclusive deal which included our rail travel.	
Mar 11 2009 	great position	i have been in this hotel many times... and i can say its value for money... remember its in the center of london where hotels are presumed to be very costly... but in this case it wasnt.. its position is great its walking distance to the shopping center and when i say walking distance i mean 20 mins walk max. its very close the the underground railway station about 5 mins walk.. its an ideal hotel if you to go london for shopping.	
Mar 8 2009 	Not up to standard	Was booked into this hotel due to 2-day course in London. Sadly, all the negative comments and very few of the positive comments from previous reviews were evident.POSITIVEHmmmmm …. Struggling here! I suppose, the location could be a good and bad thing (see below). 2 mins walk from Russell Square station and overlooking the square.NEGATIVEThe location: due to Russell Square being very noisy, especially at night/evening. Paper thin glass does nothing to block the noise.The room: Apparently refurbished (not that you would know!). Tiny room, small tv, separate toilet (no ventilation) and extremely small and uncomfortable beds …. and not exactly the prettiest rooms either. Also, no keycard entry so you get a Yale key on a long metal keyfob.The service: Very slow (couldn’t find my booking) and no real effort to give a good room or respond to requests.The breakfast: Very basic, small/poor choice, cold and dismissive staff!Would not stay in this hotel again, much, much better value hotels in London for this price. The hotel would have been passable 15 years ago but by today’s standards and competition, it really isn’t good enough.	
Mar 8 2009 	Ideal central location	We stayed for 3 nights on a theatre break / sightseeing visit , our first for many years. Hotel location was excellent for travelling around and the hotel was clean and tidy if a little lacking in facilities - no bar - limited dining facilities. Staff were very friendly and helpful and overall it was an ideal place to rest after a busy day sightseeing	
Feb 20 2009 	Ok..Needs modernising	This is a cheap,basic hotel in desperate need of refurbishment and remodernisation. The rooms were clean but the bedlinen in the room was dated,cheap and itchy. We'd booked well in advance and requested a double bed at the time of booking but we were mortified to find that we'd been put in twin beds. We pushed the beds together to solve this issue but the only problem with this is that in the middle of the night you can sometimes slide between the two beds. When we arrived at the hotel the radiators in the bedroom had been turned onto a full blast temperature and so it was like being in a sauna so we had to open the windows to get some air however we couldnt sleep at night because room was so noisy as windows are only single glazed and the traffic outside was constant all throughout the night pretty much.The bathroom was tidy and clean however the shower would not stay at a regulated temperature so you had to continually adjust the temperature settings to advoid either being frozen or scalded. The towels were tiny and the tea and coffee facilities were laughable. The Staff seemed to all be foreign,the front desk staff were surly and grumpy and not very welcoming however the waiters were helpful and poliite when we went down to breakfast in the morning. Talking of breakfast - the food was ok, a bit like school dinners but edible. The orange juice was blatently watered down which was disappointing and the tea was gray but wasnt earl gray - work that one out! The whole handing the key to the porter every time you wanted to leave the hotel (due to keys being so large) was a pain. The decor of the hotel is dire - it seriously needs sprucing up as there is so much potential to be an amazing hotel...On the plus side the location is good!!	
Dec 13 2008 	Regin Lagaac Thomas and Gywn in Imperial Hotel London	Very convenient place to stay, near underground station. Bountiful breakfast and staffs are hospitable. Free wifi access. My only negative comment: I can hear the noise outside the hotel, the window is not soundproff....	
Dec 13 2008 	better than I expected	This hotel was booked for me by a company I was doing some work for. When I saw the price -- £76 per night, with breakfast -- I feared the worst: the hotel is very central, and you can easily pay two or three times that amount in central London, and still not get a very good experience.I was pleasantly surprised. The place was clean and tidy, the staff helpful, and the breakfast entirely adequate. The bed was ok, though I did roll off, and onto the floor, when I got up to cancel my alarm clock! Yes, the style is dated. Yes, the rooms overlooking Russell Square are apparently very noisy (ask for a room at the back instead). Yes, the rooms are not large. No, I wouldn't be particularly comfortable leaving valuables in my room: the room lock system, with keys handed to the porter every time you go out, is, er. rather dated. There's a sign saying you need to present card/id every time you ask for your key, but they didn't check. There is a bolt on the inside of the door -- best to remember to use it when you're asleep.If you want a central location to lay your head, then by London standards this is good value for money. A sign in reception gave the standard room prices as £76 for single; £102 for a double. Don't pay more than that!	
Nov 25 2008 	Good Location	Stayed in this Hotel in July, staff were very friendly and more than willing to give you directions to tourist sites.Good location within walking distance and also near the tube!!	
Nov 16 2008 	"does exactly what is says on the tin"	this hotel is a reflection of its price range....... average.the downstairs and common areas are serviceable clean and comfortable.the staff are friendly, welcoming and very helpfullmy husband and i stayed here for 3 nights with our infant daughter. the room was small and has an unusual floorplan, the bath and washhand baisin are in one small room with a separate toilet opposite. the main part of the room was neat, clean and compact but with large fitted wardrobes one of which was big enough to accommadate a folded buggy which was great to clear up floor space. our room looked out over russell square and a busy road the windows are very old ?1970's and alot of traffic noise came into the room but didn't actually keep any of us awake it just seemed to be a constant hum the breakfast was of simular standard not particularly good not particularly bad. the dining room is of a large size and can get very busy at times but staff do their best to move things along as quickly as they can.will i stay here again? not really but for a short budget stay in central location it is a clean, comfortable hotel.	
Nov 10 2008	Pretty Good Stay.	I stayed at the Imperial Hotel in June 2008 during my London/Paris contiki tour. The hotel is centrally located, the breakfast buffet was excellent and for an older hotel the rooms were clean. The doors to the rooms are very thick, so you can hear almost everybody coming and going. The keys to the room have to be left at the front desk due to the size of keys. I would recommend locking up your belongings to be on the safe side.	
Nov 9 2008	Better than I thought...clean!	I stayed one night at the Imperial Hotel in London in October 2008 as part of my Contiki tour. I was pleasantly surprised that I could check in early (around 8:30 a.m.).The staff was kind and courteous. The room itself was small (I had booked a single on the trip), but clean. Really for one night that's all I could ask for. My room faced the inner courtyard so I got a great night's sleep. I had heard horror stories about the hotel, but once again was pleasantly surprised. The keys were....well kinda awkward to carry in your bag since they were attached to a big metal rod. Overall, I had no complaints.	
Nov 4 2008 	Needs a re vamp!	We booked this hotel simply because of the price and close location to the West End! The hotel was good value, but we did have to change rooms after our first night. From the outside the hotel looks rather dated and needs a good lick of paint. The area isn't too bad, plenty of little shops and restaurants within walking distance. We sampled the bar food - very rude staff by the way! Well the people who served us our food weren't polite at all. Food was a little overpriced but okay, just shame about the service. Breakfast wasn't too bad, though we chose to eat out the following morning. The rooms hotel, but in general the hotel just needs updating and it would be fine! Good Value though - Joseph and Hiarspray shows were great!	
Oct 26 2008 	London's best value	We have just stayed at this Hotel and cannot rate it highly enough. It was our Golden wedding and they did upgrade us when they received an order for champagne from our daughter. For £102 per night, there is a very adequate newly refurbished twin room with breakfast. Reception was fast and efficient. Unlike most hotels we were checked in at 1p.m. Breakfast has plenty of variety. There is a Bar with food available all day. A pleasant large lounge on the first floor. Newspapers were free. For London, for situation and value I do not think you can beat this hotel.	
Sep 23 2008 	Successful Hen Party	We stayed at the Imperial Hotel Russell Square for my daughters Hen Party. We had five rooms all next to each other at a very reasonable cost. The rooms were surprisingly very nice and the breakfast was excellent. The staff could not have been more helpful. I had prepaid because it was classed at a group booking and one of our party dropped out at the last minute due to illness therefore we reduced down to four rooms. I phoned the hotel just two days before explaining the problem and they immediately offered a refund on the room which I certainly was not expecing. We also had to leave a package behind the reception for somebody to pick up as she could not get it before we went home and the staff were extremely helpful and our friend picked up the package with no problem at all. When I booked this hotel I was a little dubious as it did have mixed reviews. All in all I would definetely recommend this hotel for cleanliness, location, helpfullness of staff. It made our stay extremely enjoyable.	
Sep 14 2008 	Imperial was just OK!!!	Stayed here for one night on business on the 7th September 2008. Hotel location is good for travelling around london with the Picadilly line tube round the corner. You basically get what you pay for which is an old hotel that has seen better days. The hotel needs a major overhaul. The staff however were great and the breakfast looked worse than what it was. All in all i would stay here again if i needed to be near a picadilly line tube. Just remember you are getting exactly what you pay for so dont expect the ritz.	
Sep 14 2008 	what is everyone moaning about???	Just returned from a 2 night stay and I can quite easily say that I have no complaints what so ever.Having read so many bad reports I now wonder if these people were staying in the same hotel as I was!We had a lovely room on the 4th floor over looking the Russell square gardens, yes there was traffic noise but you have to remember you are in the centre of London and cant escape traffic noise where ever you go!Hotel is in a good position. Next to tube station and just around the corner from the British Museum. About 10-15 min walk from Oxford street. You can easily reach all major attractions by foot.Our room was a good size twin clean and modern. Comftable clean beds and the bathroom was spotless and a nice LCD flat screen t.v. All in all this has everything you would expect from a 3 star hotel.If you are are looking for luxury, room service gym and swimming pool then dont stay here. Go 4 star and pay 3 times the price. At the end of the day, you don't come to London to spent all day and night in the hotel, you would be aswell staying at home!!	
Aug 25 2008	The worst hotel I have ever experienced	I recently stayed at the Imperial Hotel and am now trying to collect my thoughts concerning the utterly abyssmal condition of this establishment. I booked the room through British Airways - as part of a &quot;2 free nights in London Promotion&quot; (free means the 2 nights only cost $180 when all was said and done). I believed I could trust the hotel's relationship with British Airways - and that the hotel would be at the very least clean and well run. I was mistaken.The room was absolutly filthy with a stained and smelly bedspread, wallpaper and carpet. There is no airconditioning in the entire hotel - it was 85+ degrees outside, and the radiator in the room was &quot;on&quot; (its only setting), so it was sweltering in the room. There is no clock, no radio - and a small very small TV which gets only 2 channels. The room itself was less than 8 feet wide - and the bed is an ancient, tiny twin bed that appeared (and felt) to have been there since the hotel opened - which must have occurred at some point during the ugliest &quot;modern&quot; 60's or 70's architecture period. The pillows are made of the thinnest foam, and the sheets are threadbare and have the consistency of sandpaper.The &quot;courtyard&quot; of the hotel (my window looked out on it) is a parking lot shared by the hotel and a rundown, noisy, seedy casino. The hotel is located in a wonderful spot - right on Russell Square, around the corner from the British Museum - and next to the Russell Square Tube stop on the Picadilly Line - but is one of the few remaining hotels that gave London such a bad repuatation for accomodations that has only recently started to lift. The best thing to do would be - implode the buidling (and its adjacent &quot;sister&quot; properties including the Royal National Hotel) and start again with new building. Shame on British Airways for partnering with this dreadful place.I left the hotel after one sleepless night and paid full price at a very nice small hotel near Marble Arch for the balance of my time in London. The Imperial refused to issue me any credit or refund. STAY AWAY!	
Jul 29 2008 	nice location	Having spend seven nights and days in the Imperial in Russell Square, I can tell : avoid room 547 at all costs!! Its toilet is in a separate room without any ventilation!!! Overall the hotel is in a good location ,close to a sub and bus station and the British Museum. Cleanness of the room was adequate (bathroom's curtain was stinking),but the staff was extremely helpful and friendly.In the morning don't expect nothing else,but a very British breakfast with lousy coffee. A free Wifi service in all the Hotel's areas is a welcome feature.	
Jul 28 2008 	Loud but Budgeted..	The Imperial Hotel located at Russell Square, was a very centrally located hotel.. not bad for a budget hotel. We went to the hotel in the winters, it was pretty loud, the sirens and people talking was loud.... you could not really sleep through it. The view was ok, as we had asked for a view that showed us the garden opposite the hotel, not bad for a hotel centrally located. The breakfast was the same everyday, but cold, but the variety was not at all bad... just that the enviroment was not really up the the standard. The lobby area was pretty big.. but our first impression was spoiled completely as the staff was pretty rude to us, as we were checking in the hotel. Over the coming days, the staff improved... it reached the 2-3 star hotel standards. The rooms are pretty not really equipt, the elevator is also pretty small, holds only a certain limit. I wouldn't recommed this hotel for Families with Young Children, and Teenagers, nor for couples.. only for budget travellers.	
Jul 27 2008	Robbed at the Imperial Hotel !!	Warning !! Don't stay at the Imperial Hotel London. Left the room locked at 10am for a day shopping in central London. Returned around 4pm to find over a thousand pounds worth of camera &amp; music equipment stolen from the room. Tried to report the theft to the hotel management but got repeatedly fobbed off with a form to fill in by the Porter. Not happy as during the time we'd been out, the room had been opened by hotel staff to allow the room to be cleaned but the hotel wouldn't take any responsibility. How's that work ?? Anyway before you ask there’s no safe in the room. PS: breakfast was great &amp; location ideal for central London.	
Jul 24 2008 	Sad	It is with a heavy heart I write this review. We have stayed at the Imperial quite a lot of times now and indeed I have recomended it on trip advisor numerous times as a clean, decent central place to stay. This time we were given a room on the 9th floor with fantastic views, the eye, telecom tower, russel square so as it was my 50th I was pleased.the room was refurbished, nice tv, bathroom everything great.  We were showered and going out when I couldnt find my Estee Lauder eye shadow set, not a small item, bigger than a mobile phone but nowhere to be found, instinctively I looked for my diamond ring opened the box...gone. Went down to reception asked to see the manager but he wasnt aboutthe young man came back and said he would take my details which I gave him, he phoned the housekeeper who wasnt there, spoke to someone and said nothing had been handed in and that was that sort of thing, The next day I was out of my shocked state went to reception again saw a more experienced member of staff who informed me that I needed to fill in a form etc. This done I decided to go to the police and report it to them. They were nice asked if door had been forced, it had not but I said that yes I should have hid the ring away, but makeup!!!! where does it end. Being on the 9th floor apart from the maids and other guests there isnt a lot of passers by. The hotelstate they &quot;cannot normally be responsible forany guests possessions not positioned in accordance with the requested instruction&quot; by this I think they mean they have a safety deposit box at reception open between 9 and 6.30. So not much use if your out during this time. So if you go to the Imperial dont leave any stuff of worth about I wish I hadnt.	
Jul 21 2008 	So Loud!	I stayed at the Imperial Hotel in London for only one night (thankfully) in early July. The location is pretty good, and the rooms were decent enough. They were small, but clean and comfortable enough. Upon checking in, the front desk staff was pleasant and since my friend and I had arrived before check in time, we were allowed to check our bags in so we could go and explore the city without having to worry about them. Also, the keys are on giant keychains, but try and carry them with you rather than leave them at the front desk if you can (i.e. bring a giant purse with you).If you do plan on staying at this hotel or are assigned to stay here through a tour (as I was), I would definitely try and request a room that does not face the main street. At night, if your window looks out onto the main street it is incredibly loud. There's a bar right downstairs, or next to the hotel, that blasts music at night. Between the music, honking cars, traffic, and drunk people walking down the street, I'm honestly shocked that I was able to sleep at all. The fact that I had been traveling for nearly 24 hours, was jet-lagged and exhausted, and wearing ear plugs probably helped me get some sleep. My friend and I are both pretty good sleepers, but the noise was honestly astounding. I don't think I would ever stay at this hotel again unless I didn't plan on sleeping.	
Jun 17 2008 	Great refurbishment great price great location	I recently came back from a week in London. I have stayed at the Imperial before, but this time it was different. They have refurbished the rooms, and they are great. Everything from the pint to the wallpaper, carpeting, drapes, bedding and furniture have been replaced. The bathrooms were gutted and everything there was also replaced. As usual the staff was professional and always helpful. The price is right. One of the best things about staying at the Imperial is its closeness to the sights. You can walk to most of the major sights, saving you money. I will stay there again on my next trip.LMB	
Jun 1 2008 	Central but basic	A good location and you pay for this. I paid £76 per night for three nights. The room was simple but OK.Wireless internet access in the lobby only.There is a bar - which serves sandwiches.There was an offer of a free meal if you booked two consecutive nights. I booked for three nights but could only have my free meal on the first night and I was arriving too late. The way round it was to book a single night and then two nights. Daft. The meal options were also basic.	
May 16 2008 	Good enough but not great	I booked this reservation through my airline, and I read all of the reviews. I am staying on the 5th floor. I can detect Wi-fi's in the hotel, but they don't work. The only wifi that does work is in the lobby so I have to come down. I think it's from another hotel, because it's called &quot;President Hotel,&quot; and connects at 11mbps. The room is very basic. One 12&quot; LCD tv with an over the air connection (no cable) No Air conditioning (you can open the window) If you aren't used to living in a city this is will annoy you a lot). There is a bathroom in the room but it is seperated into 2 different rooms. There is a saftey deposit box room. It is open 9:00am-6:30pm daily, with a 20pound deposit, and a 50pence/day fee. It is a good base to clean up and rest if you are in town for a couple of days, and the beds are nice and soft. The key thing is annoying. You get an actual key attached to a 12&quot; aluminum rod it's annoying but functional.	
Apr 23 2008 	time for a revamp	Well we can start with the positves,when we arrived seemed quite positive good location had great facilities and all these seemed modern and pleasent including a nice sports bar and a modern wine bar,then it came entering the room and it was like going into a time warp.It must have been at least 20 years since they were re-furbished they seemed un-clean the television was tiny and just wasnt a nice place to be.This was when we felt it was time to use some of the excellent facilities downstairs,we used the computers downstairs to find another hotel local which was in the same price range,we checked out and spent our rest of our stay in london at hotel russel	
Apr 14 2008 	Nice hotel given the price!	I have just come back from a weekend stay at the Imperial Hotel in Russell Square.We paid £51pp including breakfast and the hotel was quite nice bearing mind the good location and price. Even though the hotel looked quite dated, the rooms had all been nicely decorated and the bathrooms were all new.The breakfast was plain and simple, hot english &amp; cereals were provided, however there was no continental such as a pastry or a yogurt available. The toast was also put under the hotplate which made is very chewy!The tube from marylebone;- bakerloo line to piccadilly then the piccadilly line to Russell square (tho russell square has 175 steps to the exit, therefore please be advised that the way out is via a lift only (same as covent garden). from the tube station the hotel is literally 5 min walk away. Turn left, the first left down a little road (has a very nice pub, i would recommend), then across the road stands the president hotel. The imperial is the sister hotel the other side and can be accessed through the president.There is also a nice bar in the hotel.	
Apr 7 2008 	Average British hotel?	The whole experience was a bit bizarre. As we arrived, there must have been 10 people standing behind the counter. Still, only one of them could handle our check-in, as others weren't allowed to handle cash. It took bloody long time, especially to get our change. Staff was giggly and disorganised and it felt a bit rude towards us. We got our key, attached to a harrypotterish wand - only one key for the whole room! Like a couple wouldn't have separate schedules?!We had a room on the 9th floor, so view was fabulous - except the window was SO dirty. Noise from the street was pretty bad, but we got used to it quite quickly. The radiators seemed to have two positions, on or off. With the rag-like blanket as a cover, we either froze our asses off or bathed in sweat. The double bed was far too narrow, that sized beds are usually found in single rooms! There was a new flat screen tv, but all the channels didn't have a good reception. The water kettle was..old and worn. I couldn't imagine drinking anything coming out of that pan. There were only two glasses in the room and it would have been great if they had been changed. We had to ask for a bin (not in the room at arrival) and extra towels, and they were delivered straight away! The bathroom was freezing cold with no heating. So, we took hot showers to heat it up a bit in the morning, but as there was no ventilation either, is was left foggy and wet for a looong time. Moisture condensated to the ceiling, luckily it didn't rain down.. Some of the soap bottles provided looked a bit suspicious, soapy all over with too running contents. There was no mini bar in the room, but luckily there were shops nearby. The room was a bit worn, but quite alright. A spacious closet but only 3 coat hangers. Bathroom was recently refurbished - actually, we asked for such room. Ask and you shall receive and if you don't, demand. The breakfast..well, it was English. Eggs done in several ways, toast and beans. No chance for glutein-free bread though. So, it was rice crispies and slices of grapefruit. &quot;Coffee&quot; was..british. Service in the breakfast room was great, though. As an athmosphere it was a really noisy one. One of the elevators was out of use and another one skipped a few floors.. Complimentary papers you really had to find. Advertising in the elevators was from 2006 and there could have been a better selection of brochures. During one of the nights there was a fire alarm and it went off three times. Luckily it was a false alarm, but no information was given unless you asked from the right person. We were also a bit alarmed with the fact that while in London, there were no CCTV in sight inside the premises. At least we didn't spot a single camera anywhere. Made us feel a bit insecure, especially with the swinging 'fire' doors.Great location, though, but I'll try something else next time.	
Apr 1 2008 	Good accommodation	We wanted to see the Terracotta Warriors and the King Tut exhibitions on a specific date and the only way was via Superbreak who offered this hotel. I am slightly disabled so requested a disabled room. The room allocated was quiet, which was great; the bathroom really needed some attention. The toilet seat was broken and the door didn't work very well. There are many things I could suggest to make it easier for a disabled person and have left a message for ‘the management’ regarding this but it was ok. The room seemed newly refurbished and the bed was new.. too hard for me but more than adequate for most people. The room wasnt huge but certainly acceptable. The size of the bed was also generous, queen I think. The tv with many stations was good too.Whilst the hotel had many great features, the free newspaper, the reception staff, the cleaning staff and the reception area itself which is very ritzy.. we were very unimpressed by the lack of a bar, coffee area, restaurant or snack area usually found in 3 star hotels. There is a place to eat which is attached to the hotel but not part of it but this was quite basic food. Ok there are places to eat everywhere in London so this wasn’t a problem but sometimes when you are tired with a capital K after wondering about the capital you just want to veg out and stay in for something easy.Breakfast was good. Very good. All you could want from a full English and other things too.. the breakfast staff were also very attentive indeed.Overall this was a good, basic hotel with many qualities, the remaining thought is that though it wasn’t a great hotel in the usual sense of the number of services provided, it compensated with good bedrooms and breakfasts.	
Mar 30 2008 	Truth in Advertising	I booked a triple for 3 nights, and left after one! The room was stuffy, uncomfortable &amp; dirty. Very out-dated. It looked more like a &quot;no-tell motel&quot;, than what it was hyped up to be. 1st clue should have been the 14 pictures, that were really around 5, they were just repeated.	
Mar 29 2008	Very Pleased	I stayed six nights at this hotel in early March. I was very please with the serve, the room, the location and the area in general. The rooms were biger than I expected and kept clean each day. Staff were friendly and accommodating. The Russell Square tube station is only a block away. The neighborhood felt very safe. There is internet access in the adjoining President Hotel (owned by the same company) or you can request a room with connection service.	
Mar 13 2008 	no problems	stayed for 2 nights booked with &quot;superbreak&quot;.check in was effecient.room was on 9th floor overlooking the square,practically noiseless with the windows closed.spotlessly clean and dust free,rad was belting out heat.Breakfast was included .perfectly edibleand lots of choice.very handy for British museum ,and the brunswick centre across the road from the tube has lots of decent places to eat.Iwould happily stay there again.	
Feb 24 2008	Worst Experience Ever!!! DO NOT STAY HERE!!!	My friend and I stayed at this hotel for 2 nights in Mid August 2007 before catching our Contiki Tour. This was the hotel that our tour provided for us (I think many of the Contiki Tours start in London and have their tour guests stay at this hotel or one of its sister hotels nearby). Everything was okay at check in. One thing that was a little sketchy was that the keys are on huge key chains so, they want you to leave your key at the hotel every time you leave...as the key will definitely not fit in your pocket or a normal sized purse. Having worked at many hotels in San Diego, CA, I felt a little unsafe having a key that you had to drop off at the front desk every time you left the building. But, after all, we are in a different country so maybe they do things differently here. So, like everyone else, before going out on the town, we left our key with the front desk. Our first night went well but the second was a nightmare! We went out on the town even though we were supposed to get up at 5am to catch our tour buss. Upon returning to our hotel at 2am, we went to the front desk to pick up our key from the night shift person. The night shift person was not there...we figured maybe he was in the restroom, etc....so, we reached over the counter and picked up our key. We went up to our room and opened the door to find THE NIGHT SHIFT PERSON GOING THROUGH OUR PERSONAL STUFF WITH MY WALLET, THAT I HAD LOCKED IN MY BAG BEFORE LEAVING, IN HIS HANDS!!! We were completely confused and caught off guard. Luckily we walked in at just the right time so he hadn't had enough time to take anything. After we realized that he was the night shift person and not some random guest at the hotel. We kept him in the room and made sure he had not taken anything. When we asked him what he was doing he responded &quot;I got a report that there were drugs in the bags in room 708(our room).&quot; This statement was totally bogus and made no sense to me because in the states it is illegal to go to someone’s room and go through their things without having a warrant and police escort. If it hadn't been 2am and we didn't have to get up in a few hours to catch our bus, I would have definitely called the police. But, we figured we needed our sleep a little more than placing a report that could take at least a few hours. In the morning when checking out, we asked to speak to the manager to tell him what happened. My thoughts were &quot;this guy is going to get fired...the manager is going to be so thankful that we told him what happened…etc. But, when the &quot;Manager&quot; came out and we told him our story he said, &quot;The night shift employee already reported this to me. He had to check your bags for security purposes.&quot; I was SHOCKED!!!! I could not believe my ears. The night shift person and the manager were both the same nationality, probably related, and in on this kind of scheme together!!! Lesson learned: Do not leave any important docs(passport especially), money, or other valuables in your rooms when you are traveling...even if they are locked up!!! Always carry them with you in your money belt!! We are soooo lucky that we got back just in time and took our key from behind the desk without waiting for this guy to come back from stealing our stuff to give us our key! Please do not stay at this hotel or the other hotels that are owned and managed by the same chain. Check out there website with a list of other hotels NOT to stay at!!! http://www.imperialhotels.co.uk/imperial1_hotel.aspx	
Feb 13 2008 	Pleasantly Surprised!	I booked this hotel very last minute, actually the day before I flew into London so I didn't have very high expectations. I stayed for 6 nights. Once I got there, the front desk staff were great, I had no probems checking alot earlier then normal check-in times. The location was perfect, very close to Russell Sq. tube station, a great pub (Friend at Hand) across the street and lots of shops and resturaunts around the block! I would definitely stay here again.	
Feb 8 2008 	Dusty room	ok, im reading all these reviews that suggest this place is fabulous...but really, not so great. carpet had not been vacuumed. Ever! Top bed quilt v dusty. Bathroom was clean though. The room key was attached to a long metal rod that you had to return to reception each time you left the hotel....pretty annoying standing to wait for it back each time. Easy to get to from tube. Would pay a little extra next time for a nicer place.	
Jan 28 2008 	Good location	I stayed at the Imperial in January for a business trip. Upon arrival,i was upgraded to a double room for the same price.The double rooms are very spacious, nice flat screen tv, phone,very clean rooms.The bathroom had double sinks with granit countertops, soap and shampoo is provided by the hotel.The hotel is very big, but its never an issue.Internet access is available with a wireless-b network in the autorium for free, i stayed on the 5th floor. Wireless-g network is available on the 4th and 5th floor for free.So if you need a fast internet network, i would suggest to stay on the 4th or 5th floor, where you can have a g network.Breakfast had a big variety of foods, lots of egg product choices.Fresh orange and grape juices, cereals, toast, bagel, beans, etc...The service at the breakfast area is also very nice. You never sit for long without coffee or tea freshly served.I would definitely stay there again.	
Dec 18 2007 	good value	we stayed in the imperial for one night in December 2007. the hotel is located on russell square and is a short walk to the russel square tube station and is also very close to the british museum. the hotel itself is quite big. the rooms very clean and seemed to be well kept. there was a flat screen tv, tea/coffee, hairdryer ets, all the usual from a three star hotel. when we checked in i heard other guests ask for a rear facing room as on their previous syat the rooms at the front have a lot of street noise. breakfast was a choise of cooked breakfast, cereald, bread of a self service nature. all in all a good location, acceptable standard, would recommend and would definately stay there again.	
Dec 9 2007 	Good value for central London	I didn't have high expectations of the hotel but was pleasantly surprised. The check in was very welcoming and quick. The room wouldn't win awards for decor but had a good tv, was of a reasonable size and had a great view of Russell Square. The breakfast was good and the staff were very prompt bringing drinks. The price was excellent for such a central location so I would recommend the hotel for people on short stays who don't like wasting money.	
