	Was close to work was the best reason for being there	Room was finished to a terrible looking DIY standard. Shower curtains were marked, windows full of condensation and bottom of loo was brown. I had noisy room at the front onto main road. Wouldn't go back unless it was my last resort (and then I'd pay more to go elsewhere and travel into the office from further away.	
Dec 13 2008 	Worst Travelodge I have stayed in	OK it was partly the time of year which meant that I had to pay over £90 for a single room with no breakfast included but that does not excuse all the other shortcomings. The room was far from generous in size compared to the usual travelodge room. It was in serious need of care, it was shabby, needed a good clean and a good paint. The furniture looked like rejects from other rooms and just did not seem as clean as it should be. The bathroom also needed a lot of attention as the shower did not work properly and it all needed a deep clean, fittings needed repair as well. This place really was a disappointment and has seriously damaged my confidence in the Travelodge brand. On balance I think that my mark of 2 for this place is a little over generous.	
Dec 12 2008 	Best bed in London for £29	This Travelodge is definitely one of the better hotels in the chain.Situated about a 30 second walk from Marylebone tube station, it is very easy to find. There is a Marks and Spencers inside the station which is very handy although a tad pricy but hey it's London.The staff were very friendly throughout and attentative.The room was on the first floor and we were very impressed for £29 a night! The bed was suprisingly comfy, the bathroom had seen better days but I'm not complaining at all. It was clean and smelt nice, and there was plenty of space to hang clothes and dump shopping.One small problem is that the walls are quite thin so if you have loud neighbours (which always seems to happen to me!) then you'll have to bear with it until you sleep.All in all I was very impressed and wouldn't hesitate to go back here, nothing fancy just a good comfy clean bed and a nice hot shower!	
Nov 24 2008 	Really scruffy	Standard Travelodge, the room was a good size and location good but it looks like it needed refurbishing a few years ago. In the entrance lobby the carpets are stained, you pass up the stairs past the out of order lift you notice the paint kicked off the doors. The walls are marked with the paper damaged. The radiator covers are broken. In the room the carpet is stained, paint is damaged, sealant around the bath is cracked and broken, the wooden surround around the light over the washbasin is hanging loose.Hotel prices in central London are outrageous during the week so £92 for this location didn't seem to bad to me until I stepped inside and found what a dump it was.	
Oct 17 2008 	Great hotel clean and good location	I have just stayed at this hotel for a long weekend. It is very nice and up tpo usual travelodge standards. Staff are friendly and helpful. room is a decent size you get a table with a big mirror and an lcd tv with freeview. The bathroom is a little bit small but doesent cause a problem. The beds are comfy and linen was in good condition. One thing to watch tho if you are staying more than 1 night and you want a fresh towel the cleaners dont change them even if there on the floor like it states i had to ask for new towels but the reception just give you them no problems. Its in a great location just 2 min walk to marylebone train station so easy to get the tube to were you want to be. We also went for a night out and was easy enough to get the night bus back to hotel it drops you of at baker street 5 minutes round the corner. I would recomend this hotel to my friends but i would say dont go expecting 5* luxury at travelodge its basic and thats what you get. Overall for £100 for 2 nights in central london bargin!	
Oct 8 2008 	Good place for a jolly	Just stayed here the one night for a gig in London.(Jimmy Barnes). Right beside train/tube station which is handy &amp; it's pretty cheap. £40 for a double/twin. Bathroom could do with a few tiles replaced but other than that it's clean &amp; comfortable. Good spot if you are away with the lads.	
Sep 8 2008 	Great location no frills hotel.	Reception staff were very helpful on check in.Twin room on 5th floor. Shabby bathroom and decor but the room was very clean and the bed comfortable. The hotel is located next to Marylebone train / tube station and is very well placed for public transport. Didn't eat at the hotel so unable to comment of food.Not as good as the rooms in other travelodges I have visited around the country but at £49 per night in central London it is a good no frills option. Perfect if you just want a place to sleep! I would be happy to stay here again as the location is so good.	
Aug 31 2008 	Good location	Good size bedroom but the bathroom is so small! Not a lot of restaurants/cafes nearby but few steps away from the Marylebone railway &amp; tube station (Bakerloo line).Book here if you're in a tight budget and only if you can get a discounted rate (around £59). For a £59, it is a lot better and cleaner in comparison to other hotels/B&amp;b of the same price.	
Aug 3 2008 	Serves its purpose	Having read some of the other reviews, I came to the conclusion that either they were for the wrong hotel or I got very lucky.I stay in Travelodges regularly for business purposes and am quite happy with their no frills approach. I tried the likes of EasyHotel and they are just to basic so Travelodges are one step up.The location is very handy being next door to Marylebone Station.I was allocated a single room on the top floor so noise was minimal, the room was a little hot but there was a fan and a door onto a balcony which opened a reasonable amount to permit air through.The room was small (I've been in and seen smaller!) but enough for what I need - reminded me of many of the rooms you see in places like The Netherlands and Austria.The bathroom was fine except the shower pressure was a bit hit and miss - I eventually worked out that if the room next door was also taking a shower it vastly reduced your pressure.In terms of cleanliness, couldn't fault it.The breakfast was fine, no issues there.I think the point you must remember with the Travelodge brand is you are paying low prices for premium locations, it would defeat the object to increase the facilities and have to increase the cost. People always complain about not having this and that but this is always mentioned to you on the website when you book.	
Jul 26 2008 	Awful - spend your money elsewhere	I stayed here recently for work having stayed in other Travel Lodges that are good value for money. It was awful! If I wasn't so tired I would have checked out and gone somewhere else.The room was so small I could hardly get dressed without bumping into bed or table. Shower room and bedroom were just filthy - like a room that hasn't been cleaned for months. Mould in the shower, hairs in the tray - yuk! I didn't want to put my feet on the floor or touch anything. Staff on reception not trained to deal with this sort of thing - felt sorry for them as obviously didn't know how to respond except to say 'other people like it'.	
Jul 23 2008	This is soooo bad!!!	The only good thing about this hotel was the location. Spend a bit more &amp; don't stay here. We thought you couldn't go wrong with a Travelodge.....boy were we wrong. On entering the hotel, there is brown patches on the ceiling &amp; the hand rail is swinging in the wind. The reception is a sort of hatch with a grubby bench in it. I felt so sorry for the staff, they know how bad it is. After going to our room, I asked to see another as the desk was hanging off the wall, the bathroom was mouldy, so were the curtains. I was given three cards to different rooms. They are all the same....very small, very shabby &amp; very dirty. What ever you do, don't lift the sheets off the mattress, or the mattress off the bed frame, yuk. In the end I settled for a room, as I was losing the will to live. Should have looked better, as there was a hole the size of a football in the bathroom ceiling, with lots of thick black mould around it...lovely. A nice piece of someone elses chewing gum next to the bin just topped it all. Many thanks Travelodge.xxxx	
Jul 13 2008 	Hot hot hot	The room was a twin over looking Marylebone underground station. Excellent location (especially for Lords Cricket Ground) Excellent value, breakfast was nice and woth the £7.50 however the bed room was far too hot and made it difficult to sleep which spoilt the stay which was a shame.	
Jun 24 2008 	Good location fair price.	Single room was very small but clean and well decorated. Good location right by the station and near to Baker Street. Would recommend.	
Jun 23 2008 	Small small small	It's been said before but I'll say it again, the single rooms are small! I had to close my suitcase to make enough room to open the door to get out. The bathroom is a wet room with shower. Mine filled the whole bathroom up with water which did not drain away for some time.The rooms are scruffy, the only plus point was a nice tv. I guess the location is convenient, but don't pay full price, it's really not worth it.	
Jun 5 2008 	Agree with Other Reviews!	It is always difficult to review a hotel when your own experience is often focused on the particular accommodation or room you stay in.We were given a first floor room looking directly towards Marylebone station. Good view! But...It was not a warm day (about 18 deg C), but the room was baking. Windows had restrictors for safety, which restricted air movement. Fan provided, but was very sick! Naturally, no air conditioning. Having the windows open had the negative effect of noise - late night revellers, emergency service sirens, early moring rush and bin men. Not a good nights rest.The en-suite was similar with a shower that showered everything, making it a very &quot;wet&quot; room!!The bedroom was VERY tired, indeed close to being a refusal to stay. We did not stay in the hotel for food - there are some good places nearby towards Oxford Street.The location of this hotel is very good, but seriously let down by its poor condition. Not recommended until refurbed.	
Jun 1 2008 	The bones of a little gem are there shame about the skin...	We actually stayed in this hotel about 4 years ago when it was a Ramada Jarvis, so we knew that the location was excellent, and our first stay was very positive. We booked a room at £49 per night (it was half term so rooms were no cheaper) which for London is a steal. The staff were really helpful and as said before the location is spot on, but the rooms have definitely gone down hill since our last trip. The rooms have been given a half hearted rebranding, but there are still the same old desks, the lift still has Ramada logos in, and the bathrooms are crying out for a refurb. The rooms have got very scruffy, and the whole hotel would benefit from a complete facelift.If this refurb took place, we would defintiely be regular guests. The loaction is fab, staff are attentive, and the breakkie cheap. But until it is smartened up, we won't be going back.	
May 28 2008 	Good location but tired	I stayed here three times during April in 2008 because of its location (2 minutes' walk from Marylebone station) and price (I booked early so got the £19/night deal). This Travelodge used to be a Thistle hotel so it's actually got some character, unlike most other 'modern' Travelodges. But, like all other Travelodges, it doesn't seem to be maintained in any shape or form.My first two stays were in rooms facing the train station, or rather the busy road next to the station. The room had only single glazing, so was noisy. On my third and final stay I requested a quiet room (I had to do this in advance, apparently) and duly found I was facing a side street and had double glazing. So it was a bit quieter.The stay was fine for the money but as I say the rooms are tired and worn out - the bathrooms are minute (even by UK standards) and on my third stay the integral sink plug was stuck down.I didn't use the 'bar' but the M&amp;S in Marylebone station is open until about 10 or 11pm and sells alcohol as well as the usual food.	
May 27 2008 	Good location great if you get a good rate.	Got a twin room here, staying bank holiday monday , 26th May, and booked well in advance on the travelodge website. Got the room for £29.Excellent value at that rate, but wouldn't want to be paying more than £50 per night for a hotel of this standard.Is basically a Ramada Jarvis hotel that has been bought by travelodge, but has not been refurbished.The rooms are at the end of their shelf life, bathrooms, windows etc are damp, and are extensively covered in mould.Beds etc clean, hotel directly opposite Marylebone station, so good rail and tube connections. Would stay here again if I could get a cheapo rate, but if you want something special for your london break, go elsewhere !	
May 21 2008 	Good Value 	This is a typical Travelodge &amp; if you can manage to book at the saver rate is extremely good value considering the location.It is right next to Marylebone station as well as on good tube &amp; bus routes.The area is pleasant &amp; as a solo female I had no qualms about returning at night.The members of staff at reception were polite and pleasant at all times. I didn't use the bar of restauarant so can't comment.The single room was tiny, but fine for a couple of nights. There was a shower room only which was also small but adequate. I was not aware of any noise either from the street or other guests and slept well The hotel is within easy walking distance of Baker St, Madam Tussauds &amp; Regents Park.The carpets &amp; soft furnishings are a little worn, but the place is clean.	
Apr 8 2008 	Not As Described 	Travelodges in London are generally of a much lower standard that those in other towns and cities around the UK but this one was dreadful. The advertised Bar Cafe was not really available - they were serving drinks but no food. A rather embarrassed member of staff offered to send out for a pizza for me, but the result was (a) more expensive than the Travelodge advertised equivalent, and (b) so dreadful that I would probably have derived more nutritional benefit from eating the box it came in.I am also seriously concerned about the maintenance in London Travelodges. When I got stuck in a lift in one in February, I thought that was just a one-off. After spending half an hour stuck in my bathroom at this place because the door handle broke, I began to sense something of a pattern. In the end the Manager had to break the door down to free me.Worst of all I have been trying to contact their Customer Services people for 5 weeks now and no one ever responds.For a few pounds more you can have a much better, safer experience elsewhere. That's certainly what I will be doing in future!	
Mar 13 2008	Travel Lodge Marylebone	My wife and I regularly stay at this hotel because It is ideally placed for the work that she does in London. However this hotel is in need of serious refurbishment. Some rooms are in a very sorry state, especially the bathrooms. We have decided to change to another Travelodge nearby just to compare them. Paul Quest	
Jan 14 2008 	Best Customer Service Ever	It is true after reading the reviews,you don't know what to expect at Travelodge Marylebone.Upon check in the staff were great and helpful, the room do looked old but their English Breakfast Buffet is the best for just £7.50per person.I have stayed in many travelodge but Marylebone Customer service is the best by a mile.Steven Benoit	
Jan 6 2008 	Overall a good experience	Having read some of the reviews on this site I was quite unsure about staying in this hotel and contemplated cancelling my reservation. It is true to say that some of the criticism is justified. Our room was shabby and in need of decoration. The room was noisy due to the busy road outside. The facilities, as with all Travelodge hotels, are limited.However, there were also many good factors. We were able to book this room for just £19 through one of the offers run by Travelodge (a bargain for anywhere, let alone London). The location was excellent - literally opposite Marylebone station. The check in staff were friendly and efficient. The room though basic was clean. If you want luxury accommodation don't stay here - but get your chequebook out. If you want a good value base for a night or two in central London this may just be the hotel for you.	
Dec 17 2007 	Needs Refurbishment	This hotel is badly in need of refurbishment. The extractor in the bathroom didn't work which probably accounted for the black mould all round the bath and tiling and the marks on the ceiling. The room had that tired, &quot;too many greasy take-away meals eaten here&quot; smell, chipped and marked furniture and marked paintwork. The shower fitting leaked, so when the bath was run, water came out of the shower head. The room was clean and fresh towels provided every day. On balance, this hotel should not rate any stars and I would not recommend it.	
Dec 8 2007 	Disappointing - even by Travelodge standards	Good location, but shabby, shabby, shabby. Room and bathroom desperately neeed refurbishing. Room was noisy and overhot, with broken control on radiator and windows which wouldn't open. Bath stained.All you could eat breakfast, but food cold and gave impression of having sat around for some time despite turning up within 5 minutes of advertised start time. Coffee machine in dining room didn't work.Staff friendly.	
Nov 29 2007 	Cheap as chips	I just needed a cheap overnight stay in London and managed to get a £26 Saver rate at the Travelodge Marylebone for a Sunday night (TOP TIP: the Travelodge website tends to have good availability for London on Sunday nights at the cheap rate - this is the third time I've booked) . The room was massive compared to others I've stayed in - it was a twin and there was plenty of room. Everything was clean and worked OK but there were a few dodgy bits where the attention to detail wasn't up to much (see pics). There wasn't anyone on reception when I arrived and after waiting for a while, I found someone in the downstairs bar who wasn't in any hurry to check me in. Didn't bother with breakfast.It's in a great location though - right next to Marylebone Station so dead easy to find and good connections. I walked from the hotel down to Baker Street, Marylebone High Street and Oxford Street and it's a pleasant walk so ideal if you want the shops/Madame Tussauds/etc.	
Nov 3 2007	Always a Great Choice	This is our third time staying at Travelodge Marylebone. We love the location, just steps outside the tube/train station and our rooms have always been clean and comfortable. The traffic noise was somewhat more noticeable this time around, but definitely tolerable. We had a broken radiator, so the room was quite warm, but those type of minor inconviences are fine when only paying 26 pounds for the room. I'd definitely recommend this Travelodge in London.	
Oct 31 2007 	Don't do it!!	Stayed as a last minute, had been warned that hotel was being refurbished but wasn't prepared for something loosely termed as a room. The heating was not working due to a radiator being broken, lights were missing, tiles damaged the sink was broken etc mould covering the walls in the bathroom. If it wasn't for the fact we couldn't get anywhere else we would have moved.... When we asked about heating we were given two blankets that looked like they were donations, unwashed and covered in stains looking mysteriously like blood. nice!	
Oct 30 2007	Great but don't book a single room	This is my preferred Travelodge when staying in central London. Although it is starting to look a little shabby and the bathrooms really need a refit it isn't as soulless as some of the other Travelodges I have stayed in and is good value for central London. The twin and double rooms are a good size and the bathrooms have baths rather than just a shower. However, don't book a single room here. My company travel agent had made the booking for my most recent stay and had only booked a single room. The room was extremely small, with barely any room to move, let alone space for luggage. These rooms should not be the same rate as the twin and double rooms. However, the reception staff were very helpful and I was able to switch to a twin room, but only smoking rooms were available. I would say this was a worthwhile compromise.	
Oct 28 2007	Good location but needs a coat of paint!	I stayed here last week booked 2 rooms for the £26 rate on the travelodge website. I have stayed in a lot of Travelodges and this is my 3rd visit to Marylebone.Check in was easy at 3pm, very friendly helpful staff on reception. At first i was given room 310, and my friend has 313. 313 was fine but 310 was very damp - the window was dripping in condensation and the curtains felt damp, I went back to ask if another room was available and ended up in the room ive stayed in the past 2 visits 414 which is in a quieter location not overlooking the road.The bed was so comfy a really good matress! The room was clean, but the heater did not work. There was a spare pillow and bath sheet in the wardrobe space and nice flatscreen tv. The bathrooms are in need of re furbishment here - shower was fine but this hotel is looking scruffy now - peeling parer on walls in the corridors and scuffed woodwork/paintwork. Lots of mildew in the bathrooms but all Travelodge hotels are due a refit now.Its a great location - opposite Marylebone tube/station with Marks and Spencers food store open til 11.30pm, other good coffee shops and a soup/juice bar within the station and cafes nearby for cheap breakfast. I never eat in Travelodges as Im vegan so nothing id eat there!I had a very good nights sleep and would stay there again, the staff are very helpful and professional there, my friend had problems accessing her room and the manager and deputy were available straight away to help. As with all Travelodges no left luggage - we got the 205 bus to Euston to leave our bags, the museums have left luggage for £1 too.I find this a good basic hotel yes its scruffy but our rooms were clean and the £26 rate is very good!	
Oct 17 2007 	Shoehorned into the Travelodge	My wife and I stayed at the Marylebone Travelodge last night, each of us in a single (me in 116, her in 215). It's been said elsewhere but it bears repeating: the rooms are tiny: two steps in any direction and you're at a wall. Shoehorned into the room is a bed (smallish, with an OK mattress), a desk, a TV (8 channels only but flat screen) and a cupboard of sorts. The bathroom is tiny too. I'm six foot three so I felt like Gulliver. The outlook is the back alley. The towels were thin and a little damp, there was no shower mat and no soap, shampoo etc. This is minimalist lodging.I don't like the Travelodge very much, but I admire the management for getting 85 pounds a night for so little space, and amenities that feel shabby (except for the TV !). The doubles might be nicer, but were all taken as the price is supposedly the same for all room sizes.The hallways are tight, and there is an odor in the air which is hard to describe, but certainly is not pleasant.The staff were pleasant at check-in. Still, the desk cannot take a reservation for a future date (you have to go to the website or call), which seemed backward. I was also a little disturbed to notice that when I walked through the lobby (also tiny) at 9p.m. there was no-one at the desk. Anyone can just walk in and slip up the stairs unnoticed.Yes, the location is great: right next to Marylebone Station, and my room was relatively quiet (but I was on the back and wondering how I would get out of my room in a fire). Speaking of fire (alarms), mine went on for no obvious reason at 9 a.m., screeched twice (I was dressed and ready in seconds) and then...nothing. Got my day started early so that's a positive. No word from anyone at the desk as to what had gone down.I'll never stay there again. Not truly awful, but not spic and span enough, too small, and too smelly. It just goes to show that in the hotel business location alone is not everything.	
Oct 10 2007 	The worst hotel ever	This hotel is by far the worst I've stayed at anywhere in the world.The bedroom was filthy, the furniture stained, the bathroom full of mildew, no extractor fan, no plugs in the sink/bath. The hallway and lift stank of damp. If I could have walked out I would have done. Never again.	
Sep 25 2007 	Phone the decorators!	Travelodge has just announced that it plans 20,000 &quot;new look rooms&quot; by the 2012 Olympics and I hope that this hotel has been penciled in for an early overhaul. The location is excellent - just beside the station and is safe and quiet - but the hotel itself is a bit on the shabby side and is looking dated and tired. The general areas are just ok but the rooms and particularly the bathroom of the one I stayed in, need a complete upgrade. The bedroom was clean and spacious but the ceiling was stained from a leak. The bathroom fittings dated back to another era. Water temperature and pressure were fine but the taps looked ancient and worn. Somebody had done an amateur DIY sealant job around the bath and the bath itself was chipped. More dampness was evident above the wash-basin area. I don't think that any amount of cleaning would make this bathroom look good. On a more positive note the receptionist was very helpful and he allocated me a room at 10 AM which was several hours before the hotel's agreed check-in time. It was good not to have to haul luggage around until 3PM. Check-out was also efficient. I got a reduced roomrate of £49 per night as opposed to the usual £80. It is definitely not worth the full rate. The Travelodges Farringdon and particularly Holborn are far superior. In future I would opt for those or the 3 Night Weekend Rate at Ibis Euston (Convenient, spotless and excellent value). Roll on the refurbishment programme.Travelodge Marylebone needs it-and sooner rather than later.	
Sep 23 2007 	Have stayed in better places.....	I stayed at this Travelodge for one night for work - being London Fashion Week pretty much everywhere else was overpriced so I managed to obtain a 'bargain' priced single room for £80... I have stayed at this hotel before with my husband and so felt quite happy to go back alone based on the fact that it has a very convenient location next to Marylebone station. Unfortunately that fact is about the only positive thing that I could say following this visit! I had a room on the first floor; there was an overpowering smell of air freshner which was trying to mask the damp smell pervading the floor. The carpet seemed wet so I'm not sure if they had had some sort of flood. Fortunately my room was dry - but it was one of the smallest rooms I have ever seen (I'm a hotel contractor so have seen quite a few!) - quite similar to a cell. The room was also dirty, the toilet broken and I couldn't bring myself to have a shower in the morning given that the fittings looked dirtier than I was (!) - and rustier.. All in all, I would say this hotel is a good choice only if you get one of the really cheap deals and don't expect a lot from it. It has a good location, but so do a lot of other hotels in London. Unless standards improve and the hotel offers clean, value for money accommodation, I certainly wouldn't choose to stay there again!	
Sep 22 2007 	Great if you like dead mice!	Hotel location is great, it is just across the street from the Marylebone tube station and about a five or so minute walk from the Baker St. line. The bar was nice and cozy and the all you can eat breakfast buffet is pretty well stocked with eggs, bacon, potatoes, yogurt, toast, fruit etc. etc. a pretty good way to start your day! If you can stay during the supersaver nights (26UKP) then I guess you could put up with the rusty fixtures, mold on the walls in the bathroom, a hard mattress, and I guess you could even put up with a dead mouse in your bathroom! I however, did not pay 26UKP I paid 49 UKP which adds up to $98 which is too much to pay for a room with a dead mouse in it! They were “oh so kind” (please note sarcasm!) and gave me 26UKP back! - I have since tried to contact them about this and they have refused to answer me. I guess all in all if you like rodents then go ahead and stay at this hotel – if however, like me, you don’t particularly want to pay for a mouse’s room and board then maybe go and find a different hotel!	
Sep 18 2007 	Can't fault the location	the London Marylebone cannot be faulted for location! Checkin was smooth &amp; the receptionist pleasant. We booked 2 rooms - a twin &amp; a double.The double was adequate, though it was very disappointing to find that there was no lock on the bathroom door - there was evidence that there used to be a lock! The bed was a bit creaky but comfortable - the shower was good &amp; we had no traffic noise. The twin had the two beds pushed together - this was a little disappointing - the whole point of a twin room is two separate beds! We managed to pull them apart about 6 inches which improved things. The rest of the room was fine.We didn't eat breakfast in the hotel, again preferrign the M&amp;S on the station!The rooms aren't large but for the one night we stayed it was absolutely fine. Again the location is GREAT!	
Sep 17 2007 	Absolutely fine would stay again.	Was a little worried about booking this hotel based on some earlier reviews, although the most recent ones (2007) seemed to be better. I'm glad we did, the room was what you would expect.... well it's just a hotel room, a little basic but it had a TV, tea &amp; coffee making facilities, a small wardrobe and a bath with shower. the bedding and bathroom were clean, the carpets and decor were fine and the lifts worked!We did have a small problem with an uncomfortable mattress on one of the beds in our twin room (dodgy springs). We asked for this to be changed which the staff said they would do, unfortunately when we returned we still had the same one, I spoke to someone at the front dest who apologised and moved us to another room with no fuss. Again this room was clean and tidy and the mattress was better!!In general the staff were also friendly and welcoming, similar to another reviewer we checked in at about 9.30am a good few hours early and the staff were most helpful, on checking out we asked about the luggage and were told that they didn't have this facility, some of the larger railway stations have this facility for a few pounds a day so it didn't really matter anyway.The location is absolutely A1, right across from the station/tube and easly walking distance to a few great places (Regents park, Tussauds etc.) Is short (too late eh!) when we come back to the city this is the first hotel I will check for price and availability, and I would definitely recommend this hotel for somewhere central and fairly cheap to stay in London.	
Sep 16 2007	Great for the price	Stayed here with my mum for one night while we were in London seeing a show. Was a bit concerned by some of the reviews as my mum is a clean freak and I didn't want to end up in a dirty old room. However, apart from grubby taps in the bathroom the standard of cleanliness was fine. The fittings are worn but it looked like there were new floor and wall 'tiles' in the bathroom, the beds were comfy with nice white linen and the shower was hot and powerful. We only had brief contact with staff (checkin/out and on returning from theatre) but they were friendly and smiley. I don't know London at all so use the tube all the time and this Travleodge is 4 stops from Picadilly Circus - mega convenient. As far as road noise goes - er, yeah, the Travelodge is on a road in central London so there are cars driving past it, but er, yeah, the Travelodge is on a road in central London. We paid £26 - I would stay here again at that price and probably even at £39 or £49 rate.	
Sep 13 2007 	Just about OK	My employer booked a room for me and was charged 106 pounds! I know that the booking was last minute and London was very busy - but this was a complete rip off! I was allocated a smoking room as there was nothing else available. The smell was quite unpleasant and, although a notice on the window said that it would only open to a limited extent (being on a high floor, I suppose) it did in fact open fully. This was fortunate as the room was desparately short of fresh air. The room itself was OK - but only just. It had definitely seen better days and all the furniture was dented or scraped or marked, as were the walls. The bed was quite comfortable - I have certainly slept in much worse. The room did not look very clean, but it was difficult to tell properly as everything was so old and worn. The bathroom was tiny and contained nothing but a small hard bar of soap. Some of the tiles round the bath were cracked, but it was reasonably clean. The shower (above the bath) was very ordinary, but the water was hot and the shower surprisingly powerful. There was no hairdryer in the room - fortunately I knew this was another Tripadvisor review. The corridors and lifts looked old and shabby. Breakfast was fine - juice, cereals, cooked breakfast, toast and tea/coffee. The hotel was well placed a stone's throw from Marylebone station and there was a good M&amp;S Simply Food at the station. I think the verdict is that if this had been a cheap rate (even though I didn't pay it myself) I would have been reasonably content. But for this price, it was a very bad deal. I wouldn't go back again.	
Sep 9 2007 	Cheap basic hotel.	I stayed here with my best mate in September for a girlie shopping trip. We didnt expect the ritz but there were a few problems that the hotel really should have dealt with. Starting with the bad points about this hotel, the bathroom in room 304 wasnt very clean. The taps were stained and grubby looking and the shower curtain mouldy. The skirting board on the boarders of the room was coming off and could have been tripped over if we hadnt paid attention! The room was quite hot, no air con and because of the height of the building the windows had opening restrictions so we couldnt really get a lot of fresh air. Our main grumble with travelodge is that they DO NOT LET YOU STORE BAGS! They have no luggage room, which correct me if I'm wrong, a hotel should have! This is NOT mentioned anywhere on the website, we only found out through reading other reviews! You need to drop it off at the train station and pay for the priveledge. Other than that, the location is excellent, right across the road from Marylebone station. Generally helpful staff based on the minimal contact we had with them. Check in and check out was a breeze. I'd stay there again if I could get a £15 room rate or a £26 one.	
Aug 26 2007 	Good for short stay	We wanted a cheap clean hotel with good location for our 2 night theatre break. This hotel is ideal. We got the £48 twin room deal from their website. Located 1 min from Marylebone underground station.Tea making in room, we bought our breakfast from M&amp;S also 1 min away.Staff were very friendly and helpful.Room clean,with plenty of room. We stayed in room 104 on the side street and the traffic noise was fine, even though we had the window open.Faults: No left luggage as mentioned before. We were lucky we arrived 12.30 and were allocated a room straight away.As our return journey was late evening, we had to get to King's cross after checkout, to leave our 2 cases there. This cost us £13 plus the tube fare, and took about 1 1/2 hours. There are only 2 people on the left luggage who were receiving, scanning, and also giving back luggage, so expect a queue!No air conditioning, windows do open though.Take a hairdryer, not provided.	
Aug 23 2007 	Travelodge- our experience	Me and my partner stayed at the Marylebone Travelodge for 3 nights (August 2007). Check in is at 3pm but we arrived early at 10am in the hope of leaving our luggage there while we went out and about. The staff were welcoming and helpful and despite being there 5 hours before check in they allocated us a room which was ready for us. The location of the hotel was ideal for us being next to the station as we did a lot of travelling about on the tube, the only downside to being so near was the noise at night. It got quite hot in the room at times and i would have liked to keep the window open but it was far too noisy with people shouting and talking, the busy humdrum of the station, cars, buses and taxis.The room itself was very basic but with plenty of space. The cleanliness of the room was not as good as I would have liked but generally it was okay. The room had a good sized double bed, bedside tables, an open cupboard for clothes (not many hangers) and a table with a TV and tea/coffee making facilities. The wallpaper was peeling in places, the furniture is VERY old and in desperate need of replacing and the bed was pretty awful to be honest. The mattress was very lumpy and you could feel every spring in your back. The bathroom was a marginal improvement with good space and a fairly nice bath and shower. However, on our first morning there when we showered, there was no water coming out of the hot tap. My partner visited the front desk to complain and was told to wait 10 minutes for the air in the pipes to clear before trying again before they would change our room. Luckily, after 10 minutes the water started working again but this was not the first time we had this problem.The only other problem we had was on our departure date. We had been informed that we could leave our luggage at the hotel after check out (10am) in order for us to go and spend the day out before leaving. However, at the front desk we were told there was no where to keep luggage. This meant that we had to cancel our plans for the day and catch the train home straight away as our cases were too large to cart around all day so please be aware of this!We paid £26 a night which was a complete bargain comparred to how much we have spent on hotels in London in the past and for that amount we did not expect anything spectacular- you certainly get what you pay for. Overall, this hotel was okay for us as we spent very little time there. If you are looking for somewhere to just sleep and shower then it is fine but do not expect quality or much comfort. But at £26 a night you don't really expect much!	
Aug 23 2007 	A good Travelodge	This was a good, decent hotel in central London. Travelodge is just Travelodge, of course, easy budget accommodation with the basics: bed, en suite, TV, tea and coffee making facilities. This was excellently placed and nice and quiet considering how central it was. Keep clean and tidy and pleasant front desk staff. Good for those on a tight budget or wanting a one night stop over.	
Aug 16 2007 	Great if you get one of their Saver Rates. But BEWARE no left luggage	Stayed for three nights and only paid £26 a night so this is an absolute bargain. Hotel is just outside Marylebone station and Baker St tube station(with a lot more lines) is a five minute walk away. I'd never really been in this neck of London and it's a nice mix of business and residential, traffic noise isn't too loud, it's even easliy walkable from Oxford Street. Good bus connections too from just outside the door. The hotel room was fairly standard three star business class hotel. A good size; a few scuff marks on the wallpaper where people had run their suitcases along the walls but otherwise very clean, good beds, extra pillows. The bathroom unfortunately was less impressive. Small, poor flush on the lavatory, shower fittings were quite rusty. But the shower did work well after we tightened the nut around the taps so the bath/shower selector worked correctly. We were in town to see some shows so we only spent time sleeping in the room. If you want a luxurious space to relax in, then look for another hotel. We had no meals at the hotel as there are lots of breakfast options at the station. However there were two major drawbacks with this hotel. One : no air conditioning. Our room faced due south so fortunately the weather was quite cloudy as otherwise it would have been unbearable. The window does open, which might be a problem if you have small children. It meant we could get some fresh air, but had the temperature been really hot outside it would have been almost impossible to sleep. Two : They refuse to hold bags for guests. We arrived on an early morning flight and were lucky that a room was available at 11a.m. But on our last day we had an evening flight and the receptionist said they didn't have any facilities to leave our bags. We had to drag them to the left luggage at Victoria Station. This is the first time I have ever come across this situation in a hotel and was quite angry about it as the website, of course, doesn't mention it. I now realise how lucky we were to have had an early check in. Would I go again. Not for the full room rate, no way. But at the saver rate definitely. And only with light bags!	
Aug 11 2007 	A Reasonable stop in London	The hotel was very easy to find as just outside the trainstation. Check in was very quick as had pre-paid. The corridors were quite small and a bit grotty. The room was comfortable, bed and bedding clean and the supply of a large fan was much appriciated as it was quite hot and not very well ventilated. The bathroom was a bit of a let down as there was mould on the windows and seemed dangerous as not double glazed and right over the bath. The shower curtain was way too long and easy to trip over. The loo seemed to not want to flush. We did have a hot shower though so that was fine. OK for a night but not much longer.	
