	Nice hotel in great location	The Windermere Hotel is in a great location. Conveniently located near Victoria Station, and within walking distance to major sites (Buckingham Palace, Westminster Abbey, Parliament, etc), grocery store and coffee shop. The complimentary breakfast was good and the service overall was wonderful. The room was clean and met our needs. Would definitely stay at this hotel again.	
Jun 19 2007	Friendly Quaint Good Food	Lovely, charming, small family-owned hotel, on a relatively quiet street in a decent neighborhood of apartments and turn-of-the-century traditional hotels like the Windermere. The breakfast included in price is ample and tasty. The below-ground-level dining room is small but genteel--plan to eat at least one dinner there; food is great. Staff are cheerful, gracious, and helpful. The room was smallish, but adequate for the four of us (including two young adult daughters); not many hotels will put four adults in a single room!. It was wonderful to have extra pillows. Of course, there is no air conditioning, but with the large window open, the fan provides reasonable enough cooling. If you are not in such good shape, ask for a first-floor room, or you'll be climbing stairs, as there is no elevator. In the dining room, a computer with internet connection is available for guests' use at no charge, and if you are a night owl, you can stay up late at night in the dining room web-surfing or watching TV without disturbing your roommates. It takes about 15 minutes to walk from the hotel to the Victoria Station, or about 10 minutes to walk over to Buckingham Palace Road and catch a bus. We stayed June 14-17, 2007. Would definitely recommend.	
Jun 7 2007	Excellent hotel with superb service and great restaurant	.....The Windermere Hotel was an excellent choice for London.....It's location makes it convenient to visitingvarious sights.....Rooms are spacious, comfortable,and exceptionally clean.....The restaurant, The PimlicoRoom, provides an outstanding full English Breakfastas well as well-prepared dinners.....The staff is veryknowledgable and can provide directions, suggestions,recommendations for varied activities.....The Windermereis a small hotel with large ideas.....My next visit toLondon will certainly include a stay at the Windermere.....Lloyd Barber.....Chicago, Illinois, USA.....	
May 4 2007 	Shady	I stayed here but found the place a bit shady. The price we agreed upon when I checked in was NOT the price that was charged to my credit card. When I got back home and realized it I called the man that runs the place directly several times to resolve the issue and he denied he had ever quoted me that price and would not resolve the issue. When I kept insisting he basically admitted he purposely decided to charge me more and told me that he would not refund my credit card. As for the room it was small and ugly. The only thing good I could say was that the food in the restaurant was good. I would never stay here or recommend it to anyone.	
Apr 4 2007 	Excellent service	The hotel was very comfortable and the staff were very friendly and welcoming. Couldn't fault the cleanliness of the room and hotel in general, it was spotless! I agree with what other people say though about how the decor could be updated and also the noise disturbed me through the night too. The floors are extremely creaky with it being an old building and I could hear every movement of the fellow guest upstairs!Overall though I would definitely recommend it to anyone needing a comfortable place to stay in the Victoria area. I would certainly stay there again.	
Mar 25 2007 	Great Place to Stay in London For Many Reasons	This hotel has so many advantages for the traveler that it makes an excellent choice for the visitor to London. My family of three stayed there for a week in March, 2007/. Like they say in real estate, Location, Location, Location. Being so close to Victoria station with its access to trains, tube, buses, and coaches makes it easy to reach all of the sights and wonders of London. We could easily walk to Victoria Station every morning and upon our return. The hotel itself is clean, neat, and well managed. The staff will go to great lenghts to make your stay a pleasant and wonderful one. Food in the resturant is very good and the breakfast, which is included in the room price, has about the best variety you could expect. Rooms are small and hallways are narrow but that's normal for European hotels. I did have a complaint upon entering my room but once I notified the management the problem was corrected immediately and not repeated. This is a sign of a concerned staff and well managed hotel. It was especially nice to come back to our room at night and enter a very clean and fresh smelling room.	
Mar 2 2007 	Super friendly staff	I've mixed feelings about this B&amp;B. The staff is really cool and friendly, which isn't too common in London. I had the largest deluxe room they have, which is of good size but is on the road side. I usually sleep well, even with some background noise but I was woken up a couple of times each night by traffic. The bed is way too soft. The bathroom is OK, but overall the whole room would need to be seriously refreshed.The price is on the high mark for a B&amp;B (you can find a number of 3* and some 4* for the same price), but the breakfast is included and quite good while limited in choice.It's a 10-15 minutes walk from Victoria.	
Dec 31 2006 	Clean Hotel and Friendly Staff	We recently stayed at this hotel in December 2006. We found the staff extremely helpful and responsive. We stayed in a Superior Double Room, which we found to be clean and large for London standards/price. The bathroom was clean and large. However, after showering the room would become damp. We were not impressed by the food at the restaurant. We found that we could find more appetizing food on our own. We enjoyed the location and found that it was easy to get to the Tube and to/from Gatwick Airport. Overall, we would recommend this hotel.	
Dec 20 2006 	Adored the Windermere	We booked a family room (for 3 adults and 1 child) in November at the Windermere hotel in London and we had a very pleasant and comfortable stay. The room was very clean, the staff were extremely friendly and the food-both breakfast (which was included in the price) and dinner in the Pimlico room- was delicious and creative. Having dinner in the hotel's restaurant is definitely a must. The room was surprisingly comfortable enough for the four of us (sparkling bathroom, cosy beds) and the free Internet in the bar area was a nice touch. The staff were very helpful in booking taxis and tour tickets for us. The location was also perfect since we were walking distance from the tourist attractions we wanted to visit- Houses of Parliament, Westminster Abbey, Buckingham Palace-as well as Harrods and the shops near Sloane square.We will definitely be staying here when we next come to London.	
Nov 26 2006 	O.K. place to stay but overpriced	The Windermere experience depends on which room you get. We had two different short stays. The first was in a double room on the top floor. It was a reasonable size for Europe. Very quiet. Nice shower. Hard to get up the stairs with our luggage, and no one offered to help. However, they did keep some luggage for us when we left for a few days. And they treated my son to breakfast one morning when he visited. The second stay was in a room below ground level, next to the dining room. Much smaller and musty. Very dark. The bathroom was tiny, a converted tub into a shower with a very mildewed shower curtain. Noisy, as we had both the noise from the street traffic and people walking by and also the bathroom (used by hotel staff, and people in the dining room) across the hall from our bedroom. We asked to change rooms, but it was full. All rooms had hairdryers, toiletries, T.V.. Free internet in dining room area.Hotel is convenient to tube, bus and train (Victoria station)- all within a few blocks. Not many restaurants in the immediate area, although a friendly and reasonably priced pub, King George's, was nearby.	
Oct 30 2006	Wonderful experience!	Took my dad on his first-ever trip to London and, on the strength of the good reviews I read here, booked us two rooms. The hotel was perfect; the rooms were small but impeccable, and Nick and Sylvia were the most gracious of hosts. Breakfast was really yummy and plentiful. The hotel is in pretty easy walking distance of Victoria Station, and the walk to St. James Park was an easy 15 minutes, so it was very convenient. My somewhat curmudgeonly father was also really impressed with the whole of the experience - no small task, believe me!!!! I will return to this little gem as soon as I can!	
Oct 24 2006 	second stay...can't wait to return	We spent 5 nights at the Windermere this trip and enjoyed our stay as much as our first in 2004. The helpful staff, the location (10 minute stroll to Victoria Rail Station) and the Pimlico Room for wonderful meals are all reasons to return over and over again. We stayed in the Cartmel Room this trip, and were very comfortable. Free wireless internet service was appreciated as well!	
Oct 2 2006 	highly sumptuous! 5*	Before we stayed in this hotel we read mixed reviews and reports of squeaky floorboards, nosiy reception phones and other minor complaints. however, i can happily say that the only compliant that i have about the windermere was that my sausage was burnt on my breakfast!!our room was lovely, windows were a bit tricky to close though. the room was light, airy and spacious and the bed and sofa comfy. the desk area and tv were superb and the bathroom was lovely. thick fluffy towels and a nice selection of toiletries.the whole hotel was sqeaky clean and comfortable. the staff were very jolly and helpful and the breakfast buffet was super!the location was perfect, however i would think that parking would be a problem.i would definately stay at this hotel again....most enjoyable	
Sep 18 2006 	Lady Windermere's Fans	Great restaurant, great location - the Windermere Hotel was perfect for us.Breakfast was a wonderful array of hot items made to order and buffet style cold items, the standouts for me being the organic yogurt and tiny glass jars of dreamy jams and marmalade. Both dinner in The Pimlico Room and Room Service were served from 5:30 to 10:30p.m. We had a lovely and nutritious dinner in the Pimlico Room each evening of our two week stay, except for one night when we had a delicious sandwich awaiting our latenight return. The dinner menu has something for everyone and Nick's wine list is very well-selected with the white Sancerre being especially attractive. For London, all the prices are most reasonable. The Soup of the Day, the Fish of the Day and the fish cakes were highlights for us.We didn't spend all our time eating. At Victoria Station, about 5 blocks away we bought weekly bus passes [13.5 pounds] with a free bus route map and a brochure of where to find the various buses around Victoria Station. Most of the ones we used also stopped at Buckingham Palace Rd. and Elizabeth St. which is only about 5 minutes away from the hotel [a few houses north on Aldernay, right onto Hugh Street, left over the Elizabeth St. Railway Bridge]. Among the handiest buses are the #11, a double decker that goes by Westminster Abbey, Parliament, Trafalger Sq., Somerset House, St. Paul's etc.; #C1 to Harrods, the Kensington Museums, Holland Park, Leighton House etc.; #C10 to Tate Britain [here you can get a boat to the Eye and Tate Modern]; and #211 to Waterloo Station. We used the underground once for Kew Gardens, only 1/2 hour from Victoria Station. Perhaps our biggest sightseeing bargain was the 6.5 pound[senior rate] round trip to Oxford on the Oxford Tube, a double decker bus that boards on Buckingham Palace Road, near the Elizabeth St. Bridge.Our room, number 32, was also excellent, many windows, spacious bathroom, and quiet. But what brought it all together were the staff, uniformly kind, competent and caring. Kudos to Sylvia and Nick Hambi, owners and managers, for choosing such interesting and accomplished staff and providing delightful accommodation - from the fine antique prints of London and environs in the public areas to the most recent computer printout of the BBC weather for London at the front desk. Thanks in large part to the Windermere, our visit to London was a joy.	
Sep 8 2006 	Fabulous breakfast!	The breakfast was fantastic and included in the room price. It is cooked to order egg dishes with a side dish. We always got the tomato or hash brown on the side. I think they also had eggs benedict on the menu. There is also a buffet with cereal, yogurt and fruit. They also bring you fresh toast and coffee or tea. Another plus was the free Internet use at the computer in the restaurant.The room was fine. The furniture seemed a bit worn, but it was comfortable enough. The bathroom was a decent size with a shower/tub.The staff was friendly. The location near Victoria Station was great.	
Aug 11 2006 	It Is What It Is	We stayed in a family room and with the windows open and a nice breeze flowing we had a good night stay. [Note: After flying all night and not sleeping on the plane I could have slept on nails] The only thing that kept me from giving it 5 stars was: the battery cover on the tv remote wouldn't stay on and the fact that 5 star reviews, I feel, are not that objective. Breakfast was very good and the coffee was the best that we had in England the whole 2 weeks we were there. I ask for cream and they had it, not knowing that the rest of England would be out of it or never heard of putting cream in the coffee. They are big on milk. The hotel is a few minutes walk from the train station and a great location to base oneself.	
Jul 31 2006 	nice stay	Nice hotel. The room served our needs nicely. The staff were helpful. The breakfast was delicious. May have been my jetlag, but the map from their web site only served to confuse.	
Jul 19 2006 	Great Restaurant Fair Room	The best part of the hotel is the restaurant. The food and room service was great, and they were able to provide breakfast for an early departure. We booked one room for two adults which was nice, and a second room for two teens that was musty. The staff was not interested or helpful in providing a different room. The weather was hot and with the windows open, the rooms were noisy. The view included several dumpsters from the apartments across the street. The furniture in the lobby was is disrepair. Unless your suitcase is small, this hotel really isn't close enough to wheel your luggage to and from Victoria Station. Taxis refused to stop on the street, apparently because they were headed to Victoria Station. The neighborhood did not seem as safe as other areas in London late at night. Overall there are better choices in location and value.	
Jun 28 2006	Highly Recommend the Windermere Hotel	We were very fortunate to have stayed at the Windermere Hotel last week--2 adults and 2 teenagers. The Windermere is one of the rare London hotels with family rooms en suite, and our room was perfect for us all: it was spotless and charming and a thoroughly welcome respite after a day of sightseeing. The bathroom was surprisingly large and well equipped with large, fluffy towels and toiletries, and the lovely draperies blocked out unnecessary light. The small bit of street noise that we did hear was all part of the London scene. The kind, polite and professional service made us feel quite at home and welcome. The restaurant and full English breakfast are not to be missed! We had assistance with our baggage, even to the point of storing the bags after we had checked out until we left for our next destination later in the day. We walked fairly easily with our roller suitcases from the Victoria Underground along Buckingham Palace Road over to nice-looking Hugh Street. If we ever have the occasion to stay in a London Hotel again, we will definitely stay at the Windermere.	
May 22 2006	Could Not Have Been Nicer!	My wife and I recently spent eight wonderful days at the Windermere Hotel. First, we liked the location. It is within easy walking distance from the Victoria Coach Station, if you happen to arrive by bus from Gatwick, and about a 15-minute walk to the Victoria Train Station. We’re closing in on 70 years old, but found it was a pleasant walk, even with our luggage in tow. We had a large, well-appointed double room with tub and shower on the lower ground floor (Rm. LG3). The room is only a few steps down the hall from the restaurant and couldn’t be more convenient and in a very quiet location. And please don’t be concerned about any noise coming from the restaurant, which is relatively small. Furthermore, the wine and spirits are located in small area having a couple high-backed stools next to a marble-topped counter near the center of the restaurant; it is very attractive and discreet. Not at all what some might think of when they read there is a bar in the cellar. We ate here often, and the food and drink were always superb.But best of all were the wonderful people that made our stay so pleasant. We were always greeted at the desk with a smile and a ‘hello’. The owners, Nick and Sylvia Hambi, made sure that the hotel was always running smoothly. Anna (and Jo) kept our room spotless. And as I write this, Nancy and I think fondly of Aki, our waitress (who can make a great Manhattan drink) and Mehdi, The Pimlico Room’s very accomplished chef. Over the past 40 years, we have stayed in many London hotels, but the Windermere has surely been the best.Pennsylvania, USA	
Apr 29 2006	What a wonderful hotel!!!	I recently had the pleasure of staying at the Windermere Hotel in London. My 7 day stay at the Windermere was a wonderful vacation. I will definitely stay again.The whole hotel is so comfortable: from the dining room chairs in the restaurant, to the lovely bed in the quiet rooms. They are certainly true to their motto; &quot;Home comforts in an elegant setting&quot;. The staff are so warm and friendly. Everybody is helpful and polite and I must say, it's so nice to be greeted every time with a smile. The complimentary breakfast and the Pimlico Room Restaurant are great. I highly recommend you have dinner in their restaurant during your stay: the quality of the food (breakfast &amp; dinner) is superb. Service (at every level of the hotel) is at a very high standard. I enjoy staying in hotels which have character... and which are, of course, clean too! The Windermere Hotel has both: the decor is warm, comfortable, clean and individual. The free wireless internet is such a bonus- a lovely surprise! Merci :-)All in all, this charming and friendly small hotel in London is a lovely place to stay and value for money. The people, the location, the hotel in general... everything is very comfortable and extrememely relaxing.The next time I'm in London....&quot;Taxi!&quot;&quot;Where to, Sir?&quot;&quot;The Windermere Hotel please!&quot;	
Apr 1 2006	Hotel Windermere Review	Stayed 3 nights at Hotel Windermere, vicinity Pimlico district, Victoria Station, London. Just returned. Bedroom and bathroom spacious, room clean, neat, sanitary, recently decorated in modern decor, functional and nice, but tasteless. (This traveler would like decor fitting to architecture surroundings. Why would a nice-looking hotel spend good money on furniture looking like bought from mass quantity 1970s motel furniture broker?) TV worked. Big plus: room came with Wi-Fi internet at no extra cost. Web site indicated not all rooms had it, but I was informed that, now, all rooms have wireless internet. It, too worked. Also free use of computer and connection located in the bar. Gripe: room uncomfortably warm on check-in (probaby between 80 and 85 degrees F) and, despite discussions with management, turning off all 3 radiators and radiators in nearby hall, and leaving windows open entire time, room stayed too warm, made somewhat comfortable only by leaving window open (which was secure due to the gap between window and sidewalk). I think room G3 must be directly over the kitchen. Felt like room had floor heat instead of radiator heat. Complaint first drew unnecessary, short lecture on operation of radiator heat, sort of in denial about the problem I suppose. Second manager receiving complaint checked and agreed there was a problem and took some measures which reduced temperature, but still had to leave windows open, making for pretty noisy night. Price: 109 pounds. Location: 10 minutes walk convenient to Victoria Station. I found the walk not unpleasant, not risky. I would walk it, even with luggage, unless you are infirm and must take cab, following the rule that not much good happens out on the streets after about 1030 p.m. anyway. In other words, the walk is through quieter, residential streets and apartments. You can walk part way through the shopping Colonnade south of Victoria Station, and can enter the south end of the station, or the mid-section without going all the way to the north end of station. Breakfast was superb and free as advertised. Restaurant located in lowest floor is open to public, sports a good menu and looked pretty good, but we did not try it out, just wanting to get out and explore. I'd try it next time. Hotel has bar too. There are stores, a few pubs, and other places to eat within a few minutes walk but this area does not abound with eateries.I'd stay again, but, considering the price and the heat, I might try somewhere else. I would specify not room G3 unless htey assure you they have the heat situation under control. Overall: good experience, clean room, good facilities, and good location.	
Mar 4 2006	Wonderful	We spent 3 wonderful days in this charming hotel. Everything was perfect. Staff were very efficient and polite. We had a Superior Double room that was roomy, had a king size bed and a good size bathroom with a very powerful shower. Towels were thick and fluffy. We had no problem with noise, we slept very well.Breakfast was excellent, an excellent cold buffet and eggs etc cooked to order (none of that pre-cooked eggs), I particularly liked my scrambled eggs with smoked salmon. Dinner was really good, all fresh ingredients and they could even accommodate my husband's gluten free diet without fuss. Location is excellent. Both Victoria and Sloane Square tube stations are within walking distance and we felt safe walking back to the hotel even at night.On arrival we were given free maps of the area and advice on where to go and what to do. They even booked us on a Hop-on Hop-off Sightseeing Tour of London which was very informative (word of caution wrap-up well - it does get very cold).I particularly liked the free use of the internet. They have a computer tucked away in a corner of their Bar/ dining room.Overall we found it to be excellent value for the price that we paid. We will be back.	
Feb 24 2006	Average	Our family of 2 adults and a teen stayed at this Hotel mid-February. We went there because of its &quot;award winning&quot; and recommendation by Frommer's. We are a bit disappointed. The place is next to a small street and close to a major street and they have &quot;no rooms away from the street&quot; I was told, so noise was a huge problem for me, especially trying to fight the jetlag. The room is small (so are the rest of London hotels it seems). The breakfast was very good, which is included. The service is lukewarm. The price may be a bargain. Victoria tube station is close enough to walk to and from, but don’t try it your first night.	
Jan 9 2006	Friendly Hotel	We spent New Years here for 2005. This is a cute hotel with a very friendly staff. Sure we had to bring out luggage up some narrow hallways and stairs, but that's part of the character of these old charming hotels.The only downfall was the person above us who never stopped walking on the creaking hardwood floors. Loved the breakfast down stairs, no way I was oversleeping for that.I would definitely stay here again. It probably wouldn't be my first choice for a week long stay, but for a couple nights, it is very nice.	
Dec 31 2005	Quite acceptable	The Windermere was our starting point and ending point for a multi-week trip through Europe. The hotel, booked over the internet was everthing we expected. Excellent choice! Central location close enough to sights and yet quiet for a restful evening.Wonderful breakfast, we did not try the resturant though. We found the Hotel Windermere to be clean, well kept with a friendly, helpful staff, especially Jo. If we ever have occasion to again have London as our starting or ending point the Windermere will be enjoyed again.	
Nov 17 2005	A Great Experience	My husband and I stayed at the Windermere for two nights in November 2005. It is a cozy and quaint little hotel. Great location if you have come to see the sights of central London. After an eight hour flight from Canada we were greeted to a warm welcome even though we arrived four hours earlier than the check in time. Our luggage was safely stored and was awaiting us in our room after returning from sightseeing and lunch.The included breakfast is excellent (NOT the usual half warm buffet stuff often included at hotels). We also enjoyed dinner each evening in the cozy Pimilico Room - great chef.We hope to make the Windermere our home away from home when again visiting London.Thanks for a wonderful stay.	
Oct 25 2005	Great Location Creaky Floors.....	We stayed at the Windermere from Saturday to Tuesday in October. The location is great... a very short walk to Victoria Station. The breakfast was great... very fresh. Here is the catch:I NEVER was able to sleep! the floors are very creaky (I swear there was a Elephant above us..... constant creaking!) the street was fairly noisy. you could hear the front door opening (and slamming). Plus, the phone at the front desk was terribly loud and annoying. in conclusion....i will NOT return to the Windermere Hotel.	
Oct 5 2005	Some good things	Since I relied on trip advisor to book the hotel, felt compelled to give you my opinion. There are some good things about this hotel, but it is a misperception to categorize it as 4-stars (unless the rooms vary widely). The location was great for public transportation and walking; the hotel was clean, the bed solid, and the staff very nice. Convenient to have breakfast there, and we had a very nice dinner there one evening. However, the rooms very small (not a problem, just would have expected a bit more for the price), and we had to walk to the top floor dragging our luggage as no one was available to help us--hard after about 15 hours of travel. Also, I can't help commenting on the fact that the cloth head boards and the bed spreads were somewhat grimmy and dirty. I can't help feeling that even in London we could had paid less for something comparable, but I was really swayed by the rating.	
Sep 23 2005 	Brilliant Hotel	I have stayed a number of times at the Windermere Hotel, my last visit was only last week. The Windermere is, for me, the perfect place to stay when in London. I am always welcomed with a smile by whoever is at the desk, whether its Jo, the receptionist, or Sylvia Hambi (the owner). I usually opt for a Large Single room that has a double bed and bathroom. I do not mind the 3rd floor because it's bright and quiet but if you have a problem with stairs tell them when booking a room because they do have rooms lower down. I always have dinner in their restaurant, but when I am tired or busy I simply ask for Room Service (excellent value and delicious). They are constantly upgrading the hotel and recently they have installed a computer downstairs for the use of all guests, and unlike other hotels I have stayed at, it is FREE WIFI. Breakfast is excellent and location is great whether you are there on business or simply to enjoy the sights of London. I will definitely be back.	
Sep 13 2005	Windermere in Sept.	My husband and I stayed at the Windermere for a week in a double room on the second floor. The room was very clean it was smaller than expected. The bed was VERY soft, and the room was hot a few nights (no air conditioning) therfore, we left the window open most of the time. It was quite expect for staff accessing a small closet outside our room at odd hours throughout our stay. The breakfast was good, and we were able to order eggs in addition to the cold breaksfast buffet. The staff in the kitchen/waitresses were very nice and service of food was very quick. The staff working on the desk were polite, however no very helpful for suggestions in the area attractions. We relied on our Frommer's book for information or we used the information booth at Victoris station. The location was great, we were able to use public transportation all week and even walk to some of the sites. Overall, the Windermere is a good value for London, however we wouldn't stay here again.	
Sep 7 2005	Fantastic place to stay	I came toWindermere Hotel in the month of August for one week with a friend. We shared a very clean and nicely furnished twin room on the first floor and it was quiet. We arrived very early so we allowed to leave our heavy bags at the hotel whilst we went out and they also offered us drinks when waiting.  The breakfast was more than we expected and the best thing is that this is included in the price. We could choose from the buffet (cereale, fruit salad, croissant, yoghurt ecc..)or order a hot breakfast (eggs, bacon, mushrooms, sausages ecc...) from the kitchen. We even had dinner three times when we were there and the food was delicious. I recommend having a drink at the bar and dining in the Pimlico Room restaurant whilst staying at here. There is even a computer that is connected to the internet downstairs, free of charge, and we found this very useful.Overall, this was a very pleasant experience since the rooms were not only clean but nicely furnished, the service was very good and the staff were very helpful. I hope to return here in some time soon!	
Aug 28 2005	good location good breakfast but room basic	The Windermere is located in an area which is ideal if you enjoy walking and want to be away from the city centre. We walked along The Kings Road and across the bridge to Battersea park. This is something that we hadn't planned and was a bonus because of the location. Breakfast was excellent and the staff were pleasant and helpful. There is someone on duty all night which was very good when I became unwell and he was both kind and helpful. However the bedroom we were in could have done with a revamp although it was clean, the stairs are very steep and there is no lift, and the public areas are cramped. The Windermere did offer value for money at London prices but I wouldn't stay there again.	
Jul 25 2005	Nice Visit	We stayed on July 19, 2005 for one night. Hotel was nice, cozy and clean. Our room was an en-suite (#36) and was very comfortable and clean. It is actually the Premier Double Room photo on their website. Nice standup shower and double bed with plenty of closet space. It was located on the 3rd floor and halls/stairs were narrow, like most properties. It was a very warm day in London, but we opened our window and it cooled down just fine. We even slept with the window closed and the fan blowing. The Windermere is located on a quiet, clean and well lit street. Only 2 blocks away are quite a number of restaurants. We recommend the &quot;Chopstix Xchange&quot; on Wilton Road. We had a super 4 course dinner. Great price!Although it is about a 10 minute walk from Victoria Station, do take a cab. It will only be about 5-7 Pounds. Well worth it. We did not do this but rolled our suitcases the several blocks..... We took a cab on the return trip. We had an early flight out of Gatwick and would miss the breakfast time which began at 7:30 AM. The hotel staff was very nice and arranged cereal, toast and jam, juice and coffee for us at 6:30 AM. Very Kind!!We did our reservations through Londontown as we found a good rate that included breakfast. I would recommend this property and would stay again.	
Jul 23 2005	Great staff and nice facilities	My mom and I stayed at the Windermere for 3 nights and had a really good experience. We flew into Gatwick so we were able to take the Gatwick Express directly into Victoria which was a quick walk to the Windermere. The staff was very helpful and were available 24 hours a day. Breakfast was included and amazing (eggs made to order!). Internet was free which was so nice. Its a good location in the Victoria area and we were able to take the underground most places (although it was difficult since we arrived on the 17th and many stations and lines are still closed). We would definitely stay there again :)	
Jul 11 2005	Windermere hotel	We stayed in a superior double room for 3 nights:- Clean, spacious (London standard) bathroom, with a standard bathtub and power shower- Reasonable size of room- Friendly staff, will try their best to fix problem, if any- Nice chef, excellent food, must try the egg benedict- Located on a quiet street and managed to get into sleep at night, even our room was on the ground floor- Even though it takes only a few minutes to walk from Victoria station to the hotel, don't walk, take a cab, if you don't want to have any unpleasant experience at night- Will consider Windermere again if we are going to london	
Jun 1 2005	Great place to stay	This hotel is less than a 10 minute walk from Victoria Station, making it very convenient for many buses and tube connections. It is also less than a five minute walk from Golden Tours, the London Gray Line partner. It is within walking distance of the Tate Britain and the Parliament area. For me another advantage is that it is less than a 10 minute walk from the Roman Cahtolic Cathedral.The hotel has its own restaurant, and, though there are many others quite near, this was great after a long day of walking and sight seeing. The menu does not change, but there are enough choices. The restaurant is also fully licensed, which means it can sell wine and liquor. Breakfast is served in the restaurant and is included in the cost of the room. There are juices, fresh fruit combinations, prunes, croissants, yogurt and cereal. Several cooked breakfasts are also available.The proprietors are very nice and very helpful. The staff consists of several personable young ladies and men. We stayed there 10 nights and, therefore, received a discount on our bill. Our room was small but there was plenty of closet space and drawer space and a very nice full bath with great thick, large white towels!The only drawback might be that the hotel lacks an elevator and covers several floors. However, we had requested a ground floor or first floor room, and did have one on the ground floor. There is some noise from traffic, but not enough to be bothersome with the windows open. I will definitely plan to stay here again if I am able to return to London	
May 30 2005	Loved the Windermere	I have just spent 3 days at The Windermere and its the best place Ive stayed in. The location was central with easy access to all the main attractions.My room was great being spotlessly clean and serviced every day. I particularly liked their big fluffy towels and facecloths were provided.Their food operation was unbelievable. The quality and service was comparable to Restaurants where I have paid 2 or 3 times as much.This is really a little gem of a Hotel! I really recommend that you try the food in the Pimlico Room Restaurant.This is the first Hotel that I have stayed in where there is high speed wireless internet access free for all guests. (Also a fixed terminal if you dont have a laptop) Such a homey place. I definitely recommend it.	
Apr 24 2005	Clean and Excellent Location	While in London, England, we stayed at the Windermere Hotel for three nights, from April 14-16, 2005. This hotel is a 10-minute walk from Victoria Station; however we took a taxi to and from Victoria Station (for about $3.50 USA), as we had lots of luggage to carry. Our room was small, but very clean. Rooms are equipped with TV, coffee maker, and blow dryer. We stayed on the third floor, so we got lots of exercise climbing stairs (there are no lifts/elevators). Our room was on the street side, so there was noise of traffic until around midnight; however, beds were clean and comfortable and we had no trouble sleeping. A wonderful breakfast was included each morning -- you can order eggs any way you like them. Hotel staff were very friendly and helpful. We were a 5-minute walk to Victoria Coach, where we caught our bus each morning for sight-seeing tours -- so this was a great location. We loved it.	
Apr 8 2005	Loved the Windermere	I know I was there some time ago, however my stay for 6 nights was wonderful. We had a twin bed room with a shower that was clean and we didn't think it was all that small for London hotels. The breakfast included with the room was wonderful and we also ate there one evening and the food was excellent. They also provided room service one evening when we were exhausted from sightseeing. The staff was friendly and very accomodating. I would definitely stay there again and would recommend to my friends. We found the neighborhood quite nice and the walk to Victoria Station pleasant. The only thing I would recommend when giving directions is to let everytone know to go out the back of the station to avoid the long walk around from the front.	
Apr 4 2005	Nice location	We spent one night at the Windemere before flying back to the States on April 1st, 2005. Was in a good location just a walk away from Victoria Underground station and we were in the middle of London in 10 mins. Nice size room for London and nice shower although water pressure was low. Good english breakfast was included in room rate. would definitely reccomend.	
Mar 22 2005	Love this place!	I first stayed at the Windermere in 2000 with my daughter. The staff were amazing! Very friendly and helpful - the chef even made us Cornish Pasties to order! I stayed again in February 2005. I was a little worried in case it wasn't as good as I remembered it. No need to worry, it was just as good, and just as friendly! The staff even remembered me from my visit 5 years previous. My second visit with my friend from the U.S. was fantastic. Clean accommodation, superb breakfasts to start the day, excellent evening meals in the restaurant, and professional service. A close walk to Victoria station and Buckingham Palace. Very good value for the price and location. I will definitely be back.	
Jan 4 2005	Great place to stay!!!	My wife and I recently stayed 3 nights at the Windermere and really enjoyed our visit. Our room was very clean and comfortable. Our room had a bathroom which was small but very modern. The nearest tube station is at Victoria and it takes between 10-15 minutes to walk there. A previous reviewer noted that the area can be unsafe at times but we didn't notice anything out of the ordinary. Overall, an excellent stay and we highly recommend it!	
Dec 21 2004	A Great Place To Stay Just Like Home	A great location and a clean hotel. The owners are great and keep the hotel cozy and clean. The breakfast are very good and the dinners are good and the value is excellent for the price. The dinner menu is very good and the food is excellent. The knowledge of the owners and their staff is fanstitic. The location is excellent close to underground stations and tourist attraction. The staff and owners make you feel like you are home. Have stayed there 16 times and would not stay anywhere else.	
Dec 12 2004	Very Solid	We live in England but are from the States. Recently we spent a night at the Windermere while visiting London. I have travelled alot both in the States and overseas. This hotel, for the price, is one of the best I have stayed in. If you are travelling outside the States for the first time remember that hotels in England are not like those in the US. By those measurements this is more like a bed and breakfast. Having said that it's comfortable, a fairly convenient location, clean, and includes a continental or hot breakfast with the room.Some details. First location. The hotel is located behind Victoria train station. That's great if you are coming from Gatwick since the Gatwick trains arrive there. But plan on catching a cab to the hotel if you haver bags. The walk to the hotel is ten minutes without bags, fifteen with. Also, the area is marginal for safety. If you are traveling alone, with bags, etc. be smart and take a cab. The closest tube (subway) stop is at Victoria. So plan a cab when you are coming back from shopping and the like. It's 3-4 pounds one way.The hotel is a boutique hotel. There's only one or two rooms per floor. Make sure you don't get one of the basement rooms; I would think they would be dark. The rooms are about three-quarters the size of a standard US room but comfortable. Non-smoking rooms really smell clean (this can be a problem with the older, smaller hotels in Europe). The bathrooms are for one preson at a time, but are clean and adequately equipped/stocked. Beds were comfortable. Pillows were feather. I didn't see individual heating controls, but I didn't look hard either.The hotel offers a complimentary breakfast with the room rental. There are croissants, toast, juice, coffee, etc. There's also a no-charge option for scrambled eggs, eggs benedict, and a bacon and eggs b'fast. It's good and hot. Even on Sunday morning when they were very busy the service was good and the meals hot.The staff is very freindly and service was excellent. It may seem like a lot to pay for a smaller hotel in London, but as things stand these days, it's a bargain.	
