	Cool chic comfortable and central.	Enjoyed a 2 night 'theatre break' in the City and well pleased with our choice of hotel. Has benefited greatly from refurbishment and we enjoyed an 'Upgrade' at check-in. Beautifully appointed room, (view onto back of a church but we weren't there for a view!)with nice sleek minimalistic lines. Very pleasant staff. Got a good deal through website booking and found location ideal - easy walk to Covent Garden and Theatreland.	
Apr 1 2008	Really nice very friendly and helpful staff	After booking I read the reviews here on tripadvisor and got really worried. But we soon found out that there hadn´t been any need for worries. So if you too are worried about having booked this hotel, don´t be. I wonder if those very dissappointed people actually stayed at the same hotel...This is an good four star hotel in a fantastic location, close to shopping, theatres, restaurants and just about next door to The British Museum.There were five of us (three teenagers) staying in three different rooms and everyone was happy and satisfied. The rooms were spacious with really comfortable beds.The decor and furnishing may not be at your liking and a few things are a bit dated, but we found it rather charming and above all; everything was really clean, everything worked (loved the towel heaters) and the service was excellent. Breakfast was fresh with lots of things to choose from.We would definitly stay here again.	
Mar 13 2008 	great location	Booked hotel as part of a package including rail travel so didn't need to park a car. Would recommend the hotel based on location for theatres, shopping, museums and restaurants and probably short stays. The staff were very friendly and helpful, though I would suggest the hotel rating is a little dated along with the decor. The room was clean and tidy and deceptively spacious as it had a walk in wardrobe.	
Mar 4 2008 	Disappointed!!!!	We made the decision to stay at this hotel as it was convenient for the British Museum. We found the reception to be okay and the building very charming. Our room however was 'tired', someone had kicked in the bathroom door at some time and the door had been very poorly repaired. The heated towel rail was repaired with red masking tape leaving bare wires in the bathroom. The cleaners appear to use very poor quality vacuum cleaners as the room made my wife's eyes and chest irritated. The bed was comfortable and the room well appointed if somewhat shoddy. At one point a cleaner let herself into the room without knocking which could have been embarrasing!At breakfast we entered the dinning area and were shown to an uncleared table. Crockery and cutlery were taken from another uncleared table to set ours. No one took our order, I had to search out a member of staff who found english very difficult. Eventually our full english breakfast arrived and to say it was disgusting was to put it mildly. Disgarding this onto another table we approached the buffet which was completely devoid of food. So our breakfast consisted of toast and jam. The staff saw that we disgarded our breakfast but made no attempt to approach us in any way. We did not make any represention at the hotel due to the attitude of the staff and wanting to leave this place sooner rather than later. I can assure you that Thistle Hotel will not be first choice next time I visit London.	
Feb 29 2008 	Don't use this hotels recommended car park!	This hotel directs customers to the NCP on Museum Street if driving. DO NOT PARK HERE! Drug users live in the stairwell and there is no CCTV or staff at this location.We had our car broken into overnight and the hotel management couldn't care less. Basically this spoilt the weekend. Having spoken with the Metropolitan Police, they recommend Camden council run car parks. The nearest one is Bloomsbury square and is clean, secure and crime free. Also it's cheaper and only a 2 minute walk to the hotel.A costly weekend, dirty rooms and a car repair bill of £750, all because we followed the hotels notes on the website.Good location, but that's it.They are a poor advert for the Thistle group......Avoid.	
Feb 25 2008 	Adequate Hotel inGreat Location	The Thistle Bloomsbury is a pretty average hotel in a great location...close to shops, Theatres, Bars and Restaraunts.We booked as thee seperate parties and arriving early, two rooms were available and one was not. We dropped of opur luggage (sixth floor, mouldy stain on wall) and went out for the afternoon.When we came back, the third room in our party was allocated the Kingsley Suite....well, Interesting is the word to describe it...a combintaion between a seventies cop's pad and a chinese brothel!! Very, very interesting!!Nice staff..good breakfast...just a little old and tired is th real problem with this hotel...time for a refurb!!	
Jan 24 2008 	Nice Break	We stayed at the Thistle as part of a Theatre package. The accommodation was average, our room had poor secondary glazing and the original windows rattled in the wind. The staff were fine, location was great for theatres etc.I would use it again.	
Jan 22 2008 	British charm	We stayed for the second time at this hotel in January 2008 and it was even nicer than two years ago. The staff was very friendly and made it possible for us to check in early. It is true that the windows are a little old and single glazed, but the room was very well equipped and the furniture was fine (new beds!).The lobby, staircase and hallways have a delightful British charm and are so much different from the postmodern hotels you see all over the world.Above all, the location is ideal. You can walk to Soho, Covent Garden and Oxford Street, and of course have a stroll around Bloomsbury.	
Jan 19 2008	good choice	This a hotel of some character and the location is great; safe and within a stroll of theatres and British Museum. Room was great, staff freindly and breakfast cooked to order (not a semi cold buffet)Downside?Single glazing means road noise is an issue .. windows need upgradingBar is souless and even for London prices are steep with a poor choice.. go round corner to Museum Tavern a lovely old pub with 4 real ales and decent wine by glass	
Jan 1 2008 	Bad experience	Terrible experience during our holiday arrival at the reception.Arriving with two children after a long journey we did not feel welcomed at all. Rude and unpolite reception desk personel.Although rooms were available reception personel refused to give us the rooms according our booking. We were placed in the smallest room with the wrong beds. Both children became sick because the heater did not work and the window in bedroom and bathroom coild not be closed for three days. Our London trip during Christmas holiday was spoiled because of this bad experience. NEVER AGAIN. Prof.Dr.H.Baker, The Netherlands	
Dec 29 2007	Great Location -Close to Theatres	The rooms were okay, and overall our stay was fine, but the experience could have been better. When we arrived we had two twins instead of the double we requested, and they were unable to change our room that night. However, our two twins ended up being quite comfortable. There was a nice tea service setup in the room, but when we drank our allotted supply of tea on the first day it was never replenished. In fact, on at least one day they didn't even take our teacups to clean or replace them with fresh ones. The best thing about this hotel is the location. VERY close to tube stops, the British Museum, and the Theatres. We walked to see Spamalot on the first night, and to the wonderful Ivy restaurant the second night. While we only used the tube, we did notice that we were quite close to bus stops as well. Not bad for the price and location!	
Nov 14 2007 	Great location great staff	We recently stayed here for one night with a young baby and the staff could not have been more helpful.The hotel is really close to all of London's West End, meaning you can walk home and you don't need to use public transport.Reception and eating areas are clean and fucntional and the check -in and concierge staff were great.I used room service for dinner - it was prompt and friendly and reasonably priced.Only mild downside, rooms not huge (although I 'm not sure you can do too much about this in an old building like this) and need freshening but apparently this is due shortly.Also, main entrance is up a set of steep stairs.Not the cheapest by any means but you will really appercaite the locationWould come again	
Sep 28 2007 	Not bad at all	After the many poor reviews given to this hotel, Thistle Bloomsbury was really my last resort as London Hotels were totally packed during the period I was there, and I had to stay for 8 nights. Hence, my wife and I opened the hotel room door with much anticipation and dread --- but immediately heaved a huge sigh of relief. Room layout - We were left with a twin room (312). It was spacious and clean with ample wardrobe space. The design was &quot;English&quot; with curtains, wallpapers and a nice couch. The aircon was noisy so we did not switch it on much. We used the ceiling fan instead.Bed - Bad. The twins were small (even for us Asians) and you can actually feel the springs in the mattress i.e. not comfy.Toilet - Clean, well spaced out with shower gel, shampoo and nice clean towels (no toothbrushes, toothpaste and shaver). The bathtub had a plastic screen by the side to prevent water from splashing out and wet the toilet floors. There's a electric heated towel rack to dry your towels quickly. Others - We had kettle, iron and iron board, coffee / tea, safe inside the room.Meals - B'fast was standard English breakfast of eggs, mushrooms, toasts, ham, bacon, baked beans, cereals, pastries served with tea/ coffee. But it's the same everyday.Service - The front-desk was cordial but not exceptionally helpful. I tried for many days to change to a double, but they did not go their way out to go the extra mile for a customers staying for 8 nights! The restaurant staff are ok.Location - Not a lot of convenience stores around. The nearest tube is Holbon (3 mins walk) and Tottemham Court (6 mins walk). There's a bus-stop directly outside the hotel which is well served by buses coming in from central tourist areas. It's a 10 mins nice stroll to the theatre districts, and there's lots of restaurants and pubs serving cheap and good food for threatre goers (about 7-8 GBP for a 2 course). Lot's of bookshops along Tottenham Court - Charing Cross just less than 10 mins away. British Museum is directly behind the hotel. Oxford street (shopping) is also within walking distance. My verdict - I got corporate rate for the hotel, so it's worth it. Otherwise, it could be a tad expensive. Based on the feedback on this website, I also think that the quality of the rooms varies and it just happened that mine's pretty good. If it helps, its ROOM 312.	
Sep 18 2007	Basic hotel in a good location	The hotel is situated within a good 20 minute walking distance from Euston station, and is conveniently located between Holborn and Tottenham Court Road Tube station. We were upgraded to a deluxe room for free of charge. The room was clean and tidy, but a little small. I dread to think what size a normal room was. The bathroom was also a little small, the bath could be a little bigger and the toilet was located so closed to the bathroom door. We only had breakfast in the hotel. The service was a little patchy, more staff required a think. Overall, I give the hotel 6 out of 10. Good location, clean and tidy. Service from staff is a little patchy and needs improving.	
Jul 12 2007 	Not nice room	The public spaces in this hotel are very clean and generally well presented. However, my room on the 4th floor had clearly seen better days. It suffered from cracked tiles, flaking paint, curling up carpet, torn curtains, no lamp shades, and worst of all I thought grotty stained headboards on the beds.Additionally, when I checked in the reservation price I had been quoted (in writing) didn't include VAT.I didn't use the restaurant for dinner or breakfast - too put off by the room - there are plenty of restaurants of all varieties and prices nearby.	
Jul 3 2007 	Absolutely dreadful	Only stayed at this place for one night, and believe me, that was one night too many. Duck tape covering holes in the bedroom carpet, broken tiles in the bathroom, an ironing board that wouldn't stay up, musty smells in the wardrobe, and a beautiful view of a rusty old emergency stairwell and scaffolding.The only saving grace was a very nice breakfast in the morning. However, this wasn't enough to compensate for poor facilities and an overall feeling that the place is lacking investment.	
Jun 30 2007 	Staff at both ends of the spectrum could not get internet to work	My company booked this hotel for me as London was fully booked for Wimbledon.Checkin was very ordinary.Room was tucked away and in a corner which I really liked. Number one problem was I couldn't get my internet to work. They have a BT hotspot system but I couldn't get a signal anywhere. The reception told me no one else was having a problem. I use my WiFi all the time and I never have problems but I don't know if the problem was theirs or mine.Some of the staff I found just rude and then others were really friendly and helpful - on balance they were more good than bad. The bed I had was very old and lumpy - worst bed I've had in a while.Checkout is normally at 12:00 and as my flight was at 7.00pm I tried to get a late checkout for 3.00pm - the front desk was having none of it telling me I had to checkout at 12:00 - in the end I asked to speak to the manager and he said &quot;no problem with a 3.00pm checkout but we charge GBP20/hour&quot; - I don't mind paying the GBP20/hour so problem solved.Breakfast in the morning is pretty chaotic. Room service did not want to deliver breakfast as they advised me they were very busy.Average london hotel but they charged GBP188 without breakfast which was GBP15. Very expensive for what you get but thats London. I would use this hotel as a last resort but there are better hotels in London for the price	
Jun 14 2007 	Excellent London base	We spent an excellent girls weekend at the Thistle Bloomsbury. We had spent the same weekend here last year and this year was even better. We booked through --- (same as last year) which allowed us to reserve our rooms in advance at half the standard rate but not pay until the departure date, we were also able to cancel or change our rooms until 24 hours before our arrival, excellent!We had 4 twins and 1 single all on the same corridor, excellent condition, clean, spacious, light, these were much nicer than our rooms the previous year. I suspect that this floor (4th) may have been more recently refurbished than those we previously stayed in (2&amp;3). The breakfast buffet was good, nice fry up but limited choice of continental breakfast for those wanting cheese, ham and fruit. This hotel is an excellent base for tourists or anyone wanting to enjoy the entertainment in london. Bloomsbury is a nice area and is about 5 minutes walk from Covent Garden and a few minutes more to Leicester Square. Shaftsbury Theatre is even closer. Holburn tube is a few minutes walk so easy to get around London full stop.The staff are very friendly and helpful although only 1 of the 6 reception staff we encountered was english and although the other staffs english was good, we did loose a few things in translation. We had the same problem the previous year, if your booking, payment etc is straightforward you'll be fine and we got there in the end.I would definantly recommend this hotel for anyone wanting a good base in London. I wouldn't pay full price but london is expensive so this is an excellent hotel for the price I paid.	
May 13 2007 	Convenient 	Our room was fine, with sufficient space, windows that opened(!) &amp; nice set-up for making tea. Bathroom was tight, with a &quot;moody&quot; toilet. The hotel was very convenient: walking distance from the tube, with plenty of transportation &amp; restaurant choices. This was our first &quot;full English&quot; breakfast and it was terrific. The only hitch was getting coffee &amp; tea orders placed. The staff was helpful and friendly. This hotel made a good base for touring the city.	
Apr 25 2007 	A good visit for a family	We stayed here the weekend of 13th April, we were a little concerned after reading some reviews, but the whole weekend went really well. Staff were polite at all times, the best we have experienced in 4 star and 5 star hotels. The decor is traditional, but tidy. Our room was clean, everything worked!!! The bed was comfortable. We have two small children and they had decent single beds, feeling safe in the room and hotel. Although at the front, in a turreted room, on the first floor, the road noise was fine, we all slept well. Fresh milk was easily available and staff were so helpful!!The breakfast was extensive, fresh and well presented. One moan- the coffee was instant - not ground- a tiny isue corrected by Pret a manger! Definately stay here again and would recommend it for anyone with a family or going to a show!! Thank you Thistle Bloomsbury- super experience.	
Mar 31 2007 	Awful Hotel - Do Not Stay Here	The hotel gave us a disgusting, filthy room. The tiles in the bathroom were broken and the bed was literally hard as a rock. This is NOT a four star hotel - it is more like a one star hotel.Furthermore, the staff is incredibly rude and refused to help when we complained about the room. Save yourself money and a headache - do not stay at this hotel.	
Feb 24 2007 	Good size room for London	The hotel is very convenient. It has easy access to transport and feels safe at night. My room was a good size for a London hotel. The TV was up on the wall right at the end of the bed, which mad for uncomfortable viewing. The public areas of the hotel are clean and well presented.	
Jan 26 2007 	Great location average hotel	This hotel is in an excellent location for the British Museum and other major London sites, its also very convenient for public transport. The entrance lobby and bar areas are very nicely decorated. However, the rooms (the one I stayed in at least) are pretty dated and don't get much light, although they are clean and quite spacious. The breakfast was good but somewhat overpriced.	
Jan 10 2007	Very Good Underrated Overbashed Hotel!	I was a member of a school band trip to London for the New Year's parade and enjoyed the stay very much. What I first noticed was the hotel's great location near many attractions. Second, the front desk staff was very accommodating when dealing with issues regarding rooms or room assignments. The rooms were ready for all of us 5 1/2 hours before what is the regular check-in time! The room I stayed in had a very well kept and clean bathroom as well as an odd-sounding but perfectly working air-conditioner that got my roommate and I's room warmer or cooler whenever we needed it to do so. The elevator's worked well and appeared to be newly renovated or at least very new. The only negatives to the stay was the inability to get a wake up call at the time asked for and the rooms all smelled slightly smoky, but so do many other establishments in central London. Overall, the band and I's six night experience in the Thistle Bloomsbury was very positive and I would not hesitate to stay here again on a future visit!	
Jan 8 2007 	Fairly nice hotel good for first time in London	I stayed at this hotel this past August 2006 during my first time in London. Starting with the location, its great since its walking distance to alot of attractions and tube stations. Places like British Museum, Oxford Street, Soho, Covent Garden, theatre district and several restaurants and shops. Must be mentioned the 'easy cafe' which is good price for internet access on Tottenham Court Road. Also near tube stations like Holborn and Tottenham Court Road.Rooms are basic and European style. I was travelling with my sister at the time, there were 2 twin beds and good size for 2 people. Bathrooms were okay but seemed they needed refinishing, like tiles and lighting. Most importantly were spotless and clean. But one thing though, the toilet needed alot of energy to flush. Maybe since the toilets in England don't waste as much water, as I'm used to in North America. So I guess that was a good thing.One thing I enjoyed was the included buffet breakfast at the hotel. Food was good when you arrive early, at around 7:00-8:00 am. But usually the standard breakfast fare, sausages, eggs, beans, tomatoes etc. It can be tiring but well worth it for a long day of touring as you don't have to eat for a while.The only issue I had with the hotel, was that the second day our door wouldn't lock. The hotel staff were glad to change us to another room and even deducted phone charges because of the inconvenience. But with the room we were moved too, location was terrible. Since it was the 1st floor and facing the street. Looking out the window you can see people on the double decker buses closely and was extremely noisy during the evenings due to the nearby pub.Overall, a good stay at the Thistle Bloomsbury especially since it was my first time in London. I definitly recommend it for first timers travelling there.	
Jan 5 2007 	Tiny overpriced room	I stayed overnight here as I was on a two-day training couse. The location was very convenient, and on first impressions, the hotel looked impressive, with a nice reception area and lounge. Check-in was a breeze, but when I eventually located my single room down a rabbit warren of a corridor, I was shocked at how much they were charging given the size of the room. There was barely room to turn around, and when the room service I ordered arrived, it was awkward for the waiter to get past me into the room so he could set the tray down.My food was ok, but the burger I ordered was slightly underdone in the middle, and the whole thing smelt a bit of stale fat (seems to be a theme in Thistle hotels - see my review of the Thistle Barbican!). The cheesecake made up for it though...Once the food was out of the way, I settled down on a comfy bed and read complimentary newspapers and watched TV. The room was comfortable and nicely furnished, if a bit chintzy. However, I was woken up several times in the night, partly by strange noises from water pipes, and partly by rowdy people in the street behind the hotel (admittedly not the hotel's fault!).I didn't have breakfast at the hotel the next morning, so can't comment on that. Overall, not a bad stay, but expensive for what you get. Much better than the Thistle Barbican though!	
Jan 4 2007 	the horror of it all	I have worked 17 countries as an attorney, and Thistle Bloomsbury was a truly unique experience.Booked through a hotel agency in a train station, was put into a room where... i kid you not... the ceiling was falling down. It was water stained and pieces of it fell into the corner of the room where the chair was. When questioned, the manager advised me that &quot;there are many rooms in the hotel and management doesn't have a chance to check them all&quot;. Translating this into American, this would mean that in the couple of weeks it takes for water damaged ceilings to dry and start falling in, no one in management saw the hotel room. Sad really.This was the SECOND try, the first try was being sent to a room in the actual basement, no elevator, nothing, just a steep flight of stairs into the basement with a suitcase. Makes you want to weep.Dirty scuffed walls, peeling wallpaper covering, some kind of permanent stain on the rug. Some sense of despair at being trapped there. After advising the front desk of the falling plaster, I DID get (at my suggestion) upgraded to a better room. Not saying this lightly, but the worst hotel I have encountered anywhere in the European Union.If you MUST try the Thistle experience, the one near the train station (Charing Cross?, don't remember) was far less depressing.Paul. telcohr@mail.ru	
Dec 21 2006 	Loved this hotel	Stayed at this hotel last weekend and loved it. Great location, the staff were very friendly and helpful. Our room was fine - Room 527. The porter, in particular, was absolutely brilliant - great sense of humour - and believe me this is hard - I've worked on Reception in a hotel - and very, very helpful. The bar staff also were great and a good laugh. We ate in the hotel restaurant the first night and the meal was one of the best I've had in a hotel - great price and the wine was fab too. Will definitely be back.	
Dec 8 2006 	I didn't think it was that bad...	I got a great deal to stay here for 2 nights via Priceline. Admittedly, I did not spend much time in the hotel or my room. The staff were accomodating and let me check in a little bit early. My room was adequate in size. I spent most of my day out exploring and only really returned home to sleep/shower/change, so it suited my purposes fine. The location was great as it was not too far from the Underground. For the price, I thought it was great value.	
Nov 29 2006 	My Low Expectations were Confirmed	This is the first hotel I ever booked on Priceline, and I feel I was duped. When Priceline confirmed the reservation with the hotel name my heart sank. (I had read previous reviews about this hotel.) There was nothing I could do about the reservation, but hope for the best.Before leaving the U.S., I sent e-mails and followed up with faxes to the hotel front desk staff with legitimate questions, and no one ever responded. I couldn't get a re-confirmation for our room reservation prior to departure.The Thistle Bloomsbury Hotel is located on Bloomsbury Way, and there is a bus stop directly in front of the hotel. Bus #38 runs from Victoria Station to the hotel for GBP1.50.The room assigned to us was on the fourth floor with no view, just the scaffolding on a neighboring church. It was clean with two twin beds having lumpy mattresses. The white down comforters and sheets were spotless and soft with mushy bed pillows and no extra pillows in the armoire.I felt like it was 1945: There are two original separate hot and cold faucets in the bathroom sink. You have to swing your cupped hands back-and-forth to mix the hot and cold water! Aggravating to say the least. We had brought an electrical converter and adapter, but my husband's electric shaver wouldn't work in the one and only wall socket. A maintenance man tried to get the shaver to work, but to no avail. (He was in our room because the in-room safe was broken and he replaced it with one in working order.) The water pressure was excellent in the shower, and there is a &quot;tepid &quot;chrome water heater unit where towels are placed. Breakfast was not included in the our room rate of $148.The room was quiet at night, and we did not hear any other hotel guests. Each floor has a &quot;lobby&quot; where the staircase and elevators (2) are located. Off the lobby, you pass through a door with 1/2 glass (so you can see oncoming traffic), which again leads you to more 1/2 glass interior doors depending upon your room number. These doors may be a factor in keeping the noise level down.This hotel is located next to a church, which was undergoing an exterior cleaning (power washing), and went on all day until about 5:00 p.m. (We would stop back at the hotel during the day so we assumed the power washing noise may have been constant.)The decor is long past its prime - I believe it is Victorian. This may have been a grand hotel at one point in time. However, its location was excellent for visiting the British Museum, which is around the corner.The Holborn Tube Station is the closest station to this hotel, and it is about a 5-7 minute brisk walk - not that convenient.This may have been a grand hotel in the past, but they should drop the moniker of a 4-star hotel. The very best part of our stay at the hotel was the concierge, Salvatore. He is a class act, and he did, in fact, compensate for the hotel's shortcomings. Unfortunately, he's retiring in December, 2006.We do not recommend this hotel.	
Nov 20 2006 	Far from the 4-star experience advertised	I'd heard great things about the Thistle chain from friends, so was looking forward to staying in a glamorous 4-star rated hotel while I was in town to see a show. Just as the review said, the location was pretty good for the theatre, it was only a fifteen minute walk so saved us having to get a cab after the show. Unfortunately, the stay itself left something to be desired. First, while I was checking in they put me in a single room even though I specified a double, and when I went down to change rooms the clerk acted like it was a big inconvenience. Once we got into the correct room it was certainly a long way from four stars. It was a decent size and relatively clean and tidy, except for the toilet seat in the bathroom was broken off. There was no view, no cable, no frills. All in all it was motel-standard, which ordinarily I wouldn't complain about, but was well disappointed because it was billed as luxury. The hotel either needs to drop the attitude and lower prices, or have a serious overhaul to justify the rating.	
Oct 9 2006 	Do Not Stay Here - Would not recommend to Anyone	We picked the hotel out of the QANTAS Holiday book. Talk about FALSE ADVERTISING. The room looked NOTHING like the brochure. It was supposed to be ranked 3 stars - more like one. The musty smell started when you left the small lift. The smell of room 304 was disgusting. The room was small , dark, smelt musty and mouldy. All the fittings were shabby from the bedspread to the carpet. The bathroom was tiny and not well lit (to hide the mismatched tiles).  The hotel room was next to a bar which played loud music until 2-2.30am. The cleaners came in at 6am and cranked up the music. So you won't get any sleepThe windows wouldnt close so the noise of the music (and the drunks at closing time) came through - it was like sleeping in the street.When I went to complain, the lift doors opened and there were empty pint glasses in the lift - leftovers from the bar I suppose. We were booked for 7 nights and only stayed ONE. We checked out and found another hotel across the road (ironically ranked 2 stars) and it was much better.The staff were unhelpful and suggested we should have complained to the bar directly!!! and didnt offer any alternate rooms. I couldn't wait till breakfast to check out!!!!!!!!!!!. Certainly tainted my first visit to London. Luckily it got better once we checked out!!I wouldn't let my mother - in - law stay there.	
Sep 28 2006 	Decent Hotel for a Decent Price	We booked this room via a priceline bid. Stayed for 5 nights. Basically, you get what you pay for. When we checked in, we asked where the internet terminal was located and were told there wasn't one. I later found this on my own. After a 2a.m. check-in, we received wake up calls at 6:30a.m. and 6:35 a.m. Neither were requested. The rooms are clean, but did smell similar to urine at times. Definitely ask for a &quot;quiet room.&quot; We wish we had. The street outside is incredibly noisy; heavy traffic and people were singing and shouting throughout night. Day concierge was incredibly helpful and professional. Evening concierge was the exact opposite. You're better off finding things on your own than asking the evening conciergeMany restaurants nearby close early, but we found 2 that were open later that are worth mentioning. We had an excellent Greek dinner at Konaki and equally enjoyed an Indian dinner at the Chambeli. Highly recommend both. Overall, I would recommend this hotel if you aren't looking for any frills. Definitely not a 4 star hotel (compared to US standards), but one of the better deals in London. Rooms are clean and most staff are very polite and helpful. Felt safe in hotel and surrounding area.	
Sep 12 2006 	Well they offered us cosy rooms....	I’ve often read reviews on Trip Advisor and thought ‘don’t be so fussy’ or ‘worse things happen’. I now realise how lucky I have been, the truth is I’ve done a lot of travelling and had very few things to complain about….then came my stay at the Thistle Bloomsbury….The customer care at the Thistle Bloomsbury is dreadful. I was particularly disappointed as I booked the stay in London for my birthday; my husband and father had a dinner to go to and my mother and I had booked theatre tickets.We arrived at the hotel at 3pm and were greeted (reluctantly) by a gentleman on reception. He advised me that our rooms were “not yet ready so could we please wait”. After waiting fifteen minutes with no offer of refreshments, I once again queued at reception. This time I spoke to a young woman behind the desk. I explained that as we had not yet eaten lunch and it was now nearly 3.30pm we would like to check in, leave our luggage at reception and go out for the afternoon. I duly went through the check-in procedure, had our bags tagged and left for the afternoon.We all arrived back at 6pm when I was again greeted by the same gentlemen on reception, he mumbled that I needed to speak to somebody else and asked me to wait. Another fifteen minutes passed and there was still no sign of anybody. Eventually, the duty manager turned up and she told me they had experienced a ‘booking error’ on their system. This basically meant they only had single rooms available. This was in itself a disappointment but not a disaster, at least we all had a bed for the night – or so I thought! It transpired we were expected to share single beds! Two single beds for four adults. My husband is over 6Ft, there is no way we would have slept a wink. We were not even to receive a reduction in the room rate, I was told we would be given a discount on our next stay!!!!!! By this time, it was gone 6:30pm and my mother and I had less than an hour to get showered and changed and travel to the theatre. I asked the duty manager if she could book us another room at an alternative Thistle hotel as the single beds were not acceptable. I patiently explained that we were running out of time and that we needed to at least shower for our evening out. She offered us a hotel near Euston station which would have been fine at 3pm but at gone 6:30pm we did not have enough time to get there, get changed and get back to Covent Garden for the theatre. We were told if we insisted on staying at another hotel we could not use the facilities at the Thistle Bloomsbury. We only wanted a quick shower! After battling with the duty manager for another ten minutes she finally relented and allowed my mother and I to get showered in one of the single rooms. My husband and father sorted out our luggage and checked us into our alternative hotel.The actual result was okay; we stayed in a nice hotel near Charing Cross. The real problem was that I really had to fight for what I had already paid for. If we had been told at 3pm of the error, instead of been ‘checked in’, we would have had plenty of time to make alternative arrangements and this would have been perfectly understandable, mistakes do happen. It was the lack of communication that was so frustrating! Even if when we had arrived at 6pm the hotel had immediately called a taxi for us, and taken us to the alternative accommodation, this too would have been ok. What was not acceptable was the waiting around, the haggling and the suggestion that four adults should be happy to pay nearly £200 to share two single beds. I would not book a room here again simply because there is a complete lack of customer care.	
Aug 14 2006 	Like staying at Grandma's House	We stayed here saturday night, it's was really nice. Nothing like the Ritz. Our room was 215, a narrow room, probably 10ft x18ft. Had the wallpaper, floral comfortor and rufffled pillow atmosphere. Bed was smaller than what I'm used to but it was cozy with a down comfortor on it. nice vanity desk area and decent TV (although no news channels on it.) Bathroom was great and up to date fixtures, towel warmer, hair dryer and all the fixings. Reception was super nice and very helpful with the neighborhood. The Holborn tube is a 10 minute walk, the neighboorhood is very nice. Overall I liked my last night in London (Heathrow the next day was a different story!)	
Jun 30 2006	Charming older hotel in great location	Two of us stayed here for 2 nights June 25-27, and overall were quite satisfied with the hotel. Bid through Priceline and paid $110+tax per night, which came to about $134 total.Best points:LocationFriendly, efficient staffMinuses:Rooms on the smaller sideRooms might not be equipped with all 4-star amenitiesWe arrived around 11am and tried to see if we could check in, but weren't surprised to be told that we'd have to wait till 2pm. We were able to leave our bags with the concierge, and when we came back around 5pm, a room was ready for us. Priceline had only guaranteed a room with two twin beds, and that was what the hotel had told me we had when I called them after winning my Priceline bid, but when we showed up, they told us we had a &quot;Double Deluxe.&quot; The first room we were given was, mistakenly, a twin room, but as soon as I went back down to the desk, we were given a double with no problem. I got no Priceline attitude from anyone, and all the staff (3 desk staff and 2 concierges) I dealt with were friendly and helpful. Check-in and check-out were a breeze, and they also had no problem with us leaving a bag with them for one more night after we'd already checked out. However, since the reception desk is small, and I only ever saw one person working there at a time, I can imagine that when it is busier, there could be a wait.Room was small by U.S. standards, but not terribly cramped. There was a small loveseat as well as a desk and chair. The window had a very wide sill, so we put one suitcase there, and another on the floor in front of the closet. Bathroom was older and not completely without evidence of that, so I can imagine some U.S. customers being displeased, but it was fine for me. The bathtub was deep enough to take a nice bath, although the shower worked in an odd way that took me a few moments to figure out. (In order to adjust the temperature, you had to adjust the bathtub faucets; to make the shower hotter, you turned on the cold water bathtub faucet to divert the cold water away!) Air-conditioning worked very well, although it was on the noisier side.The television was small, probably only a 13-inch screen, and had only a few stations (probably the 5 terrestrial ones), but we weren't in London to watch tv so I didn't really care. There was no clock at all, but this was true of all the three hotels we stayed in in England. Internet available in the room if you had a laptop, but we made use of the BT pay Internet machine in the lobby instead (1 pound for every 15 minutes, although if you go out in the world, you can find Internet cafe where 1 pound buys 1 or even 2 hours of time.) There was supposedly a way to set the tv as an alarm, but we never needed to make use of it. (You could also get a wake-up call if you asked.) There was an iron and a (fairly old) built-in hair-dryer. No mini-bar in our room, but not a big deal for us.Bed was firm and quite comfortable, but not being used to sleeping without a topsheet (European custom is a comforter only), I was hot the first night (we turned up the AC the second night). Pillows are also quite flat (another thing that seemed common in England), so be sure to request extra pillows if you need them. Room was very quiet both nights.As others have commented, this is an older hotel. The outside of it could do with a good cleaning (brick looks grimey), and parts of the common areas have a faded feel with respect to the condition of the carpet etc., although during our second day, they were replacing parts of the stairway carpet. However, it also has a certain charm -- there's a nicely furnished sitting area around the reception desk, and the stairway has chandelier-type lights.Location was really convenient. We were 5 minutes walk or less from the Holborn tube station on the Picadilly (blue) line (which is the line that goes to Heathrow Airport) as well as the Tottenham Court Road tube station on the Central (red) line. The hotel is a very easy walk to the heart of Soho, as well as being blocks away from the British Museum.All in all, I think it was a good deal for what we paid during one of the busiest times in London (first week of Wimbledon), even though it was admittedly on the lower side of the 4-star range. We came back to London after one night away, and got the Cumberland Marble Arch, which was superb; I think if we'd stayed at the Cumberland Hotel first and then came to the Thistle Bloomsbury, we would've have been let down, but as the first hotel we experienced in London, we were very pleased.	
