	Beautiful hotel shame about complacent staff	The Mayfair Hotel is stunning-great location, very clean and tidy and uber trendy.Barely a week goes by without photos of one celebrity or another seen going in or coming out of this popular hotel.Therefore, I expected alot more from this hotel.We arrived later on in the day, when reception was relatively quiet, however the gentleman behind the desk was surly, moody and didn't look remotely bothered to attend to us when we approached the desk. He made no eye contact with us whatsoever and didn't even greet us.After he gave us our room key he walked away without telling us where our room was,how to get there etc....I was at least expecting him to ask us if we wanted a newspaper in the morning, or if we needed help with our luggage (of which we had a very large suitcase), but I was very disappointed by his whole demeanour and couldn't believe this was a 5 star hotel I was checking in to. However, once we got to the room I was delighted.Large, clean, with a king size bed and marble bathroom, this more than made up for the rude reception staff. However, at 8am the following morning, we were woken by a knock at the door! It was the housekeeping staff wanting to make up the room! At 8am! We couldn't believe it, especially as we had gone there to relax for the weekend and catch up on our sleep.I was shocked later in the day after returning to the hotel at 4pm to discover our room hadn't been made up, despite housekeeping being so eager to do it at 8am! When we confronted the front desk about it, surprise surprise they just shrugged their shoulders and didn't really see what the problem was. We had breakfast in the bar on our first morning as the restaurant was too busy. The staff were very polite and attentive, however we still had to wait 40 minutes for our breakfast, which we ordered off the a la carte breakfast menu, which I felt wa too long, especially as it was only a bowl of porridge that I ordered.All this being said, the hotel does have alot of excellent qualities. The bar is fantastic and there is always a lively atmosphere in there no matter what time of day.The spa is outstanding and the food in the Amba grill is delicious (I would recommend the cod!).It is also one of the cleanest hotels I have ever stayed in.When booking a room, asking for one that doesn't overlook the front of the hotel as we were kept awake through the night by people leaving various bars/nightclubs in the area.	
Aug 10 2009 	Fantastic Room Just Needs Improvement in Some Areas of Service	Great Hotel in a brilliant location – especially if you like celebrity spotting. Nobu and Funky Buddha are just across the road and the Hotel also attracts its fair share of ‘celebrities’ although the Bugatti Veyron parked outside the door was attracting the most attention! Check in was very smooth and the room was ready even though it was still only 12 noon. I had asked for a courtyard room and the receptionist explained that this was a smoking room and did I mind. She said that I could change rooms if it smelled very smoky, however when I entered the room I was only too happy to stay. One wall had patio doors which opened into a courtyard with decking, outdoor furniture and outdoor lighting and it was just perfect for a nightcap on a warm London evening.The room comes complete with minibar (beware about lifting items out as you will be charged immediately even if you put it back in) a Bang and Olufsen television, ipod docking clock alarm system, tea and coffee making facilities and a well equipped bathroom. It’s quite strange that the wardrobe is in the bathroom as it can get quite steamy from the shower and causes the clothes to feel damp. The safe was also in the bathroom along with a hairdryer (you have to keep your finger on the switch the whole time you are using it) Gilchrist and Soames toiletries including hair and body shampoo, conditioner and soap, cotton wool, emery boards, shower caps, sewing kit and shoe sponges.I ordered room service which arrived within the 20 minutes stated. If something is on the menu that is what I like to receive, however the smoked chicken sandwich which was supposed to come with an onion baguette came with a plain baguette and there was no sign of the accompanying crisps. However the smoked chicken and avocado filling was very tasty.The bed and pillows are extremely comfortable and we had a really relaxing nights sleep. Decided to have our breakfast in the May Fair bar the next morning and were really disappointed. It took an absolute age for it to arrive, my husband saw my bacon roll come out twice and both times it went back to the kitchen before I got it. When it finally did arrive it was freezing cold but as I had waited so long I didn’t want to send it back. My husband ordered orange juice twice before he got it and we never did get the preserves we asked for. When the plate was taken away I did comment on the breakfast being cold and they comped the full meal, however I would rather have paid to get a nice breakfast and good service. The next morning we decided to try Amba instead but it really didn’t fare much better. I asked for white toast and got brown, when we asked a waiter for coffee he said it wasn’t his table and couldn’t bring it, we couldn’t have hash browns even though they are served in the May Fair bar breakfast, and our preserves hadn’t been replenished from whoever had sat at the table before us and I had to ask for a knife and fork. This really isn’t what you expect from a 5 star hotel.We did, however receive 5 star service from the evening hostesses in the May Fair bar. They were excellent and couldn’t have been more helpful. The cocktails are to die for – try the Tutti Frutti it’s a work of art. The Concierge and reception staff were extremely professional and helpful and a credit to the Hotel.If they can get the breakfast sorted, this Hotel would be the perfect package.	
Aug 6 2009 	Wonderful Hotel in a great location	My husband and I stayed at the Mayfair for 10 nights, our room was huge, the bathroom was large, the service was excellent, the concierge was always extremely helpful with all our questions. The service to the room was always excellent, always very well cleaned. The breakfast was very good with a wide selection of foods to choose from. The location is good, just down the street to the Green Park Tube. The free WIFI was also very strong into the room. We were very happy with our stay at the Radisson Mayfair.JulieMelbourneAustralia	
Aug 5 2009 	Fabulous! HUGE Rooms!	My fiance and I booked the Mayfair for his birthday weekend trip. It is a wee bit more expensive, but it so much better than the cheaper hotels! Our room was absolutely huge and the bathroom was also a fair size too. One small complaint with bathroom was that because it was a screen water leaked out everywhere and the floor got soaking everytime we used it. The bed was so amazingly comfy! I rarely like beds in a hotels, but this was even better than my own beloved super king size lol. There wasn't much of a view, pretty much a brick wall but who cares, you don't go to look out the window of your hotel! There was an irom and a full size ironing board in the room. One down side there wasn' t a power point near a mirror for my straighteners put that's just a personal issue. Hotel staff were lovely, we didn't eat in the hotel, but on the Sunday night we went into one of the bars-they were going to be closing soon but they politely informed us of this and toldd us they could still give us a drink and also showed us the way to the bar across reception. There was a lady working in the first bar-Iwish I got her name, but she was lovely, really nice and chatty (and not in the usual forced way- she actually seemed genuinely interested!) which I thought was especially nice as they were trying to get the place ready for breakfast. It is a good place to star spot if you're into that, we saw Ronan Keating leaving on the same day we were and Nobu is just across the road. If you are flying into Heathrow nothing could be easier- you get on the underground at Terminal 5 and it goes straight to Green Park and the May Fair is right round the corner. We loved The May Fair- so much so we are going back for a Christmas weekend mid December, we wouldn't stay anywhere else now. After reading some of the reviews on here I wish we had booked breakfast, but there is no option to do that when we have booked (on hotels.com) I'm sure if we called they'd let us add it on tho... Maybe next visit!We'll probably have one of our eveing meals this time to give the restaurant a try.	
Aug 5 2009 	I live in London - and when the wife is mad I stay here - fantastic!	I know all the top end hotels and know London inside out. When I need to stay in a hotel in London, this is where I go first. This hotel is in a great location in the best part of the west end, and has a nice modern and chilled out feel. For the prices, this is hard to beat! Recommended.	
Aug 5 2009 	Free Enabled Internet and two bathrooms per family room	The five star hotel turned out to be a bargain. First, we got a &quot;family&quot; room with two double beds and two bathrooms (great when traveling with teenage girls). But the best feature was the internet - free with a strong wireless signal. And, unlike many hotels, the firewall didn't block VOIP Vonage phone calls or prohibit you from hitting &quot;reply&quot; on received Outlook mail. My crew had three computers and two iPhones. Any other place would have charged $30 for each. With these savings, the room was a true bargain.	
Aug 2 2009 	Just like Hotel Babylon!	As you walk into this hotel you know it is going to be very special. Check-in was great, very personal service. Our room was 267 very quiet not a great view but hey you don't spend too much time in your room do you?Bathroom huge, fantastic shower and fluffy towels. Lots of lovely smellies to use too.The Mayfair Bar serves the best Mojitos in town and is opposite Nobu so you can sit and celeb spot along with all of the paparazzi and autograph hunters around the area.A stones throw from The Hard Rock Cafe, Harrods, Harvey Nicks and Oxford Street.All in all a great time...will be going back again in October for my birthday!!	
Aug 1 2009 	Awful Hotel Stay Away	We arrived and were told our reservation was canceled. We produced a print out of confirmation and were then told there was no credit card guarantee. We called U.S. Radisson who then confirmed card provided. Still no room. After twenty minutes we got the manager and showed him credit card number printed on confirmation sheet. We were then told no check in before 8PM. And that we would have to move rooms the next day… Never even an apology. I travel a lot. Have never seen a hotel treat people this way. we were far from only ones. Avoid this hotel at all costs. They do not like or respect folks who book online.	
Jul 31 2009 	Location location location...	As the title suggests, the location of this hotel is sought after. It is within walking distance to Hyde Park, Buckingham Palace, Picadilly Circus, Trafalgar Square, Covent Garden, Leicester Square (Chinatown). There is a supermarket across the street, and a Boots pharmacy a block away. There are restaurants and a huge multi-level bookstore called Waterstones nearby. My kids loved going there to read. I stayed at The MayFair for 7 nights with my husband and two kids, ages 7 and 9. The May Fair is more of a business hotel but we still enjoyed staying there as a family with young kids. We would definitely go back and stay there. We were on the 5th floor and did not have any noise problems. We originally got a small room but then we requested a larger room for the 4 of us. It was slightly larger. The room was clean and the bathroom is a good size with a shower and a bathtub. The shower does not have a door, it only has a small glass partition, so water would get out and the floor would get really wet after a shower. Though I have to say sometimes housecleaning would come and make up the room in the early evening, but not consistently every night though.The one complaint I have is my husband left me an envelope with the room keys at the Concierge desk for me to pick up at the desk when I arrive at the hotel. But the hotel staff couldn't find it. I waited for along time and it seems they had lost it. I finally asked for another set of keys and went up to the room and found the envelope inside the room!	
Jul 28 2009 	They most certainly are NOT 'fair' as their name implies!	Initially, I was delighted at the price, location and first impressions. Sadly, however, it was all downhill from there- The fridge was missing all but someone's left over food (seriously-presigious I think not!) and when it was reported, it stayed there until we left! Furthermore, we were asked if we'd consumed anything from the mini-bar - so had the report had not even been logged I ask?The air-con leaked so that there was a large wet patch on the floor, in the middle of the room. When reported, a dressing gown was used to catch the water, there was no offer of a room change.On mentioning these problems, we were told it would be looked into, but it wasn't- on our departure we waited to be apologised to or informed about the reasons as to why the standards were so poor, and instead we had to again say what had been wrong.The duty manager said he could not do anything and would get the General Manager to ring- when she did, a free upgrade was offered. The breakfast was plentiful and would definitely suit all, but that is it I am afraid!! They even had they cheek to charge for using the t.v/radio (needless to say we didn't use these at all)!Now why on earth would I part with my money to this hotel ever again? For a free upgrade? No I think not.	
Jul 28 2009 	Great hotel but Accessible room it was not	My husband surprised me by booking this 5 star hotel. My first question to him as he is a wheelchair user was is it accessible for him. He said he had made sure of that when he booked the room.Well after checking in and a helpful man named John helped us to our room and showed us where everything was. I said to him that as my husband was a wheelchair user and he has limited mobility he could not use the shower as there were no handrails. This is a definate need for someone disabled, either that or a fold up wall stool. John then arranged for a bath stool to come to the room however it was very low and so my husband couldn't use it. After some help from me he managed to stand when using the shower.The manager on duty that day was very good and apologised for this and saw that we were looked after in the lovely restaurant. The food was out of this world and my husband and myself enjoyed every bite.If the handrails were put on the walls in the accessible rooms we would stay here again.The downside was the maid that knocked on our door at 10.00am asking if we wanted service and I said no, and again at 10.30am asking the same question. I did say that we will leave the room at 11.00am check out time and she can then clean it.	
Jul 26 2009 	excellent stay- only some little problems (our maid)	I think it's one of the best hotels we've stayed. We arrived very early in London and went to the Mayfair. We did the Check-In an could left our luggage there. The staff was very friendly and helpful.On our stay we had two little problems. Our safe was still closed. We told it the Concierge, but I think they forgott it. The safe was still closed at our departure. The other Problem was our wardrobe. It was very hard to open it, but not a big problem.Our maid wasn't very friendly (I think she can't speak english), and once she forgott to fill up the toilet paper. We told it to the Concierge and max. 5 minutes later we had some.Great service from the Concierge!The Mayfair is very great located, in about 5 to 10 minutes (by feet) you are at the Picadilly, Oxford Street, Buckingham Palace, .......	
Jul 24 2009 	First Class Service!	Recently I stayed for 4 nights with my partner at the Mayfair and did not quite know what to expect. We were regular guests when it was previously the Intercontinental Mayfair. The public areas and room was certainly much niceer than before after the extensive renovation program. Cool, clean and modern best describe the establishment. We had a slight problem during check in and was told there were no twin beded rooms available even though it was almost 2.30pm. However, we could see that the staff at the reception was trying their very best to secure us a room ASAP. That immediately made me very happy as we both feel they genuinely care. In the end without much delay we were assigend a room. Our entire stay was trouble free and the level of attention that the staff lavished on us was quite outstanding. Nothing was too much trouble and from the breakfast wait staff to the concierge to the bell/door man they were all professionals their roles. I have stayed in a lot of 5 star properties around the world but I must admit, whomever trained this excellent group of people I have to take my hat off to. Bravo and I most definitely would be back the next time I am in London. Thanks for making people dreams a reality.	
Jul 24 2009 	Marvellous May Fair	We booked 2 twin rooms here as part of a theatre package and got a very good deal with breakfast included (it would have been £22.50 each otherwise). This really is a 5* hotel, cheery and helpful doormen, friendly and efficient reception staff and a warm, welcoming team in the dining room all made us feel like valued guests. The rooms were big, with extremely comfortable beds, air-conditioning and windows which could open. Bathrooms were bright and clean and towels were changed twice a day, which was a real luxury as we were showering in the morning and again in the evening before going out. As long as it doesn't get too expensive here we will definitely be back.	
Jul 21 2009 	What a fantastic stay!	Having stayed at many top hotels in the city of London and around the world for that matter I can honestly say that The Mayfair is one of the best I have ever stayed in. From the prompt and quick friendly service at the reception desk, to the immaculately presented guest rooms with exquisite furnishings and high quality technology, The Mayfair is most definitely the place to stay. Some may say it is expensive, and over priced, but you really do get what you pay for. Forget the dilapidated Ritz down the road, as soon as you enter The Mayfair you know it is always kept clean and tidy, always of the best presentation and with staff really enjoy working there and aim to please very wish of the guest.Need I really say any more..? If your looking for a high class hotel, that's modern and friendly, with great rooms and great customer service, and within a stones throw from Oxford/Regent Street, then you MUST go to The Mayfair!	
Jul 19 2009 	Great Hotel and Location	Stayed here as part of a weekend Hotel/West End show package and had a great time.Room was a decent size with modern decor and fittings-although the outside windows could do with a clean!We had dinner at the Hotel Restaurant both evenings. On the Saturday we met up with friends and had the pre Theatre menu which was excellent. On Sunday because Mayfair is &quot;closed&quot; we dined there again and the food quality was of a very high standard. The Moroccan waiter was very good and his advice on the wines was spot on. As you might expect the breakfasts were also good.I used the gym which was quite small but did not get crowded and there was also a spa.We used the Hotel as a base for sightseeing and had lovely morning strolls around the Royal Parks. Also with Green Park Tube nearby it was easy to get to other areas and handy for Euston to get the train home.Just one gripe-at checkout a deduction of 50p for some Children's Charity was put on our bill-and we were then asked if we were happy to pay it. Obviously you do not want to appear like scrooge and of course we left it on. But as a matter of principle we all have charities that we support and the choice should not be made for us. It would be better if they just had a collection pot for loose change or better still show some corporate responsibility and give a proportion of their profits to the Charity.Anyway gripe aside we would definitely stay here again for a similar sort of weekend package.	
Jul 19 2009 	A personal fridge on request... need I say more?	The May Fair is in a fantastic location. Short walk from St James Park and the tube station by the same name. The rooms were roomy and comfortable with no luxury spared! A television in the bathroom included, of course! A cab is always waiting for you and a staff member always ready to take your bags, the concierge at the ready to book a West End show or make a booking at a recommended restaurant. Nothing is too much for the staff, which was proven to us on 2 separate occasions. 1) We had bought some food items at the supermarket down the road that needed to be refrigerated, but we couldn't put them in the minibar because it had a sensor that automatically charged to your bill. So the staff arranged for a PERSONAL FRIDGE to be brought up to us so we could refrigerate all but 3 tubs of yoghurt. 2) Accidentally dropped a large take-away container of hot coffee in front of the lift. (You can imagine...) We informed a staff member and they replied &quot;Not a problem sir&quot; with a friendly smile. The May Fair allows you to explore the city of London with ease and comfort.	
Jul 12 2009 	A fantastic weekend at The Mayfair	I've recently returned from an amazing weekend in London, after staying in the dashing Mayfair hotel, Stratton street. The hotel has just undergone a £14 million refurb and it looks stunning. The staff are so friendly and helpful and make you feel like you're the only person staying in the hotel. At the time of our stay, Paris Hilton, Peaches Geldof, Katie Price and the Saudi prince were all staying there so the paparazzi were everywhere which is great of you're into that sort of thing. The tube is accross the road, and its so close to Bond street, Park lane, Piccadilly etc. I recommend this hotel to anyone who doesnt mind paying a bit more money for better quality.	
Jul 9 2009 	Stay at the May Fair in London to know 5 star service	While Radisson has a modest reputation in the U.S., the May Fair in London is really a 5 star hotel. The room was terrific but the staff was what made the stay excellent. They really take service and respect to a new level.	
Jul 8 2009 	Perfect Location	I would definitely stay here again. A nice hotel in a perfect location, right in the center of London, near Green Park, Berkeley Square and the tube -- we got an unbelievable internet rate. The staff was helpful and our rooms were nice. The business center and gym were convenient and the free wireless was much appreciated by my teenager. My one piece of advice is to skip the overpriced breakfast and go to the nice pub on Charles St. just a block away or find a place on Picadilly.	
Jul 8 2009 	Excellent	Stayed for one night only on 2nd July 2009 whilst attending the tennis at Wimbledon. On this occasion it was booked via SuperBreak as the whole package including first class rail travel from Devon couldn't be bettered.We have stayed here in the past but not since the refurb'. The whole experience was first rate from check in to check out. We arrived early for the tennis and our room was ready at 10.30am! The room was clean and comfortable with a Bang &amp; Olufsen TV. The position is great as all of the shopping we wanted to do is within walking distance, (if the weather is good). Green Park tube is about a 2 minute walk and the Hard Rock Cafe about a 5 minute walk. I recall the breakfast used to be good on our prior visits, but the staff and quality of the food this time was excellent.We will be back on our next London visit.	
Jul 3 2009 	Amazing hotel fantastic staff	This hotel is very modern and fashionable, yet still comfortable. The rooms are nicely appointed with all the conveniences. Beds are fantastic, i didnt want to get up in the morning. Our rate included breakfast which was delicious.But what truely sets this hotel apart from other 5* properties is the staff. Everyone we met from the doormen, front desk staff, waiters and bar staff etc, truely made you feel welcome and as though they were glad to have you as their guest. Nothing was ever too much trouble. One of the managers, Tom, greeted us like an old friend every time we met him.There are usually a few paparazzi outside the hotel as it is popular with young celebrities at the moment.I had a wonderful massage at the spa, and spent some time in the steam and sauna which was never busy and therefore very relaxingI cant wait to return here again.	
Jun 29 2009 	No Way Is This Hotel A 5 Star!	Booked this hotel through an offer they had on their website for Easter - Easter Egg on arrival and book of vouchers included. Front of staff knew nothing of this. Our room was situated on a floor which was a smoking floor, albeit the other end. Even so, the smell of smoke was terrible. We were offered another room which was just as bad, a third try rectified the problem. Rooms are not that great, already looking tired - we have stayed on several occasions since the refurbishment. Went to the bar at night and ordered champagne coctail - the drinks brochure states they use Moet &amp; Chandon but the barmen actually used a far inferior brand of champagne. When we questioned this he stated that's what they have always used!! So the price for the drink is a total rip off for what they actually serve you. The coctail was very poor - ingredients were definately not as listed - fruit juice from a carton were used as opposed to the fresh juices stated. Nobody gives a toss about complaints and I for one would not go back to this hotel.	
Jun 29 2009 	a first-class experience	Fantastic service, excellent food and all round first-class experience - and free wifi internet everywhere!	
Jun 27 2009 	Perfect	Beautiful rooms, modern contemporary, very nicely appointed, perfectly clean with beautiful bathrooms and even a heated rack to keep your towels warm. To top it off the tv's are bang &amp; olufsen.the staff is great very very very polite, and helpful. The location is just perfect.. a short stroll to the best shopping, picadilly circus and the queens palace.	
Jun 26 2009 	Great rooms!!	We stayed at this hotel for one night for our anniversary, and booked a deluxe room.. The hotel is in a great location just off Berkley Square and central to everything, with Bond street, Picadilly Circus, Buckingham Palace all within easy reach. The hotel is beautiful in all areas, the rooms are spacious and clean with flat screen TV. They are decorated quite contemporary and are absolutely gorgeous, with great bathrooms double sinks etc. The shower wasn't that great though. and I agree with other reviewers that having the wardrobe in the bathroom is strange, though this didn't bother us as we were there 1 night.We didn't eat in the hotel restaurant though it looked lovely. We did have room service for breakfast which was nice if a bit cold, but the sausages were the best i've tasted!!The bar was great it gets really busy in the evening and has a funky wine bar vibe, quite trendy. The drink prices were resonable compared to other 5* hotel prices.All in all I would definitely go back to this hotel we loved it, out of 4 hotels that we have stayed in in london this was the best!	
Jun 25 2009 	The studio rooms are amazing!	This hotel is highly recommended.The staff are very attentive and helpful as required.We stayed in room 207 called the Nero suite, this i believe comes under the studio heading although not certain. It is a junior suite with a leather based bed, hand made wool carpet (black and white squiggly lines not to be stared at for too long), bathroom with two basins, bath, seperate shower.The hotel did have a function on somewhere, the disco went on until midnight and thumped a bit, just bad timing i guess. I am sure its not usually like that.The breakfast was superb, cold buffet incl fresh fruits/cereals/cheese etc as expected, the hot food was included and cooked to order and served by your waiter. This included a full breakfast, omelettes and kippers.Excellent choice of hotel!	
Jun 25 2009 	how cool is this place ? stay anywhere else at your peril	this is just the best place to stay. bang in the middle of west one, london. uber cool design, big quiet (in contrast to the jumping and pumping bars and lobby) bedrooms, 12 hour beds, take- a- friend showers....you get the picture.they have a pretty happening bar scene at this place. resident dj, lots of pretty boys and even prettier girls. and mean cocktails, all served by attitude free bar staff.the lobby here is also great to mill about in and people watch - in fact it was celeb central when we were there. this meant check out took a while but hey - who cares !	
Jun 24 2009 	Excellent London hub	My firm has a limited range of hotels for staff to stay in when travelling. This is usually a very troubling situation, but the Mayfair was actually tremendous. A very nice room (with no outlook whatsoever) only drawback being the stink of cigarette in a non-smoking zone. It took 4 calls to housekeeping for them to eventually arrive with the deodourizer.Outside that hiccough the staff was very efficient and I was able to negotiate a lower charge than the egregious STG70 for a phone call back to Australia to report a lost Blackberry. It was still ridiculous and anyone who voluntarily uses their hotel phone is probably insane.The location is perfect if like me you want to escape the City at the end of your working day. I actually look forward to staying here again.	
Jun 24 2009 	Stylish 	I recently had a 6 night stay at the Mayfair with my 18 year old niece and we were very impressed from start to finish with the hotel and its staff. Check-in was fast and smooth which was greatly appreciated after a long night flight from the US. I enjoyed the spacious room with the ultra modern bathroom. The beds were very comfortable and we made good use of the extra pillows provided in the closet. I especially enjoyed the terrycloth robe and slippers after a shower.My niece loved the free wireless internet service since she brought along her laptop which she used extensively. We also used the hotel business center for printing services.Our room rate included breakfast and we enjoyed the buffet and the hot entrees offered. We also had lunch a couple of times in the bar and although it was always full, the service was impeccable. I was very impressed with the concierge staff, especially Jeremy. They helped us with directions, tour information, and great tickets to “Wicked” with 90 minutes notice.The hotel location was the best since we were close to the Green Park tube station where the Double Decker Tour Bus also has a stop.The only minor problem we had was with the Mini Bar in our room. It’s touch sensitive, so if you pick up or remove any item, you’re charged for it. I asked the staff to remove all items from the fridge so I could store personal snacks and I was charged for every item. However upon pointing this out to the staff at checkout, they apologized and the charges were quickly removed. All in all, it's hard to impress a teenager these days, but the May Fair succeeded and we can't wait to return to this awesome, elegant and friendly hotel on our next trip to London.	
Jun 24 2009	Fantastic Hotel - Highly Recommended!	I took my mother to stay at the May Fair for her birthday last month and we could not have had a more enjoyable stay. I had booked a twin room for our stay and on check-in we were very kindly upgraded to a fabulous twin room which benefitted from having two bathrooms - a first in my experience! The room was beautifully decorated, spacious and having two bathrooms really made all the difference. The staff couldn't have been more helpful or friendly and concierge managed to secure us fantastic seats for Les Mis on the Saturday evening at very short notice. We went to the May Fair Bar to sample some of their delicious cocktails and whilst it was very busy, the staff were extremely attentive and also managed to find us a table. All in all, I cannot recommend the hotel enough - I will definitely be staying again.	
Jun 24 2009 	Excellent Hotel; Great Location; Great Service; Great Staff;	Staff was prompt and courteous; Room was very large in size (especially for London) and had excellent amenities. Service staff was very attentive and polite and helpful. Location near Picadilly is very convenient. Short walk to Subway station Green Park. You can easily and inexpensively get to the hotel from Heathrow by taking the Subway (Underground) directly. Just get on the Picadilly line at the airport and in about 40 minutes, you will get off at Green Park at a low cost of 4 British Pounds. Location is walking distance to Picadilly, Trifalgar Square, White Hall, Buckingham Palace.	
Jun 24 2009 	Favorite hotel on earth!	The May Fair Hotel is by far the greatest hotel I have ever stayed in. I have been to London 7 times in the past several years and always return to the May Fair for an incredible stay.From the moment you approach the hotel, the doormen greet you with a smile. You will never open a door for yourself. In fact, they even remembered part of our party from the year before and greeted him by name. A very nice touch.The hotel has an INCREDIBLE smell...I wish I could figure out how to bring it home with me. They make the scent come through the vents, so if you're smell sensitive, then I wouldn't stay there. That being said, the scent doesn't go into the room, just the public spaces.The rooms in the hotel are fantastic. Comfortable beds, immaculately clean, modern design, spacious bathrooms with hair dryers, magnifying mirrors, ipod alarm clock, lots of counterspace, and great smelling bath products. Your key is required to use the elevator, which is great, as it keeps the hotel quiet. I was never woken up by any noise. The breakfast at Amba is rather expensive, so try to get it included in your rate. If you can, it's worth your while to try it just once. Very delicious and excellent service. Buffet includes tons of pastries - croissants, danishes, muffins, cupcakes. Also lots of fresh cut fruit and cereal, yogurt, granola. The hot food is also great, and it's not served buffet style, so you order as you like and it is delievered to you with adorable toast triangles in a little holder. It's nice to know the hot food hasn't been sitting out for hours, and you can choose from the freshly replenished cold buffet to supplement your ordering. They also have a great selection of cheeses, cold meats, and juices, too. The hotel location is fabulous - within a 2 minute walk to Green Park subway station, and you can walk to so many wonderful places. Leicester Square is a 10-15 minute walk, and so is Piccadilly. Starbucks is just around the corner, as is Nobu, as popular sushi restaurant. There's a great french restaurant within walking distance, too, called Le Boudin Blanc. Highly recommend it. This hotel is the perfect location as everything is accessible from it. I can't say enough about that!The hotel also offers free internet access in their computer lab, which is wonderful for staying in touch with family and friends back home. Overall, you will not go wrong with this hotel. It is wonderful and I would move in if I could. I wouldn't dream of staying anywhere else. The price is steep, but you really do get what you pay for.	
Jun 22 2009 	Top Notch Service	For business meetings this hotel was fantastic. The planning as well as support onsite was top notch. I also found this hotel to be in a great location within the city. I loved the fact that I could walk to shops, restaurants, pubs, etc.	
Jun 22 2009 	Consistently Tops	I have been working in London on and off every two weeks for about a year now. Most of my stays are with the Mayfair hotel. It really is 5 star without being so uptight. Te food is great and the atmosphere always seems to have something going on with big stars and paparazzi often in the lobby. You can even walk to Buckingham Palace The only problem i've had was having to ask for an extra sheet (they only have one on the bed), which was delivered promptly. A great hotel and a consistent experience.	
Jun 18 2009 	Amazing!!	I had booked this hotel as I liked what I read on Trip Adviser. On arrival the contempory lobby was very impressive. The checkin was smooth, the staff extremely polite and efficient! I cheekily asked for an upgrade as it was my first time that I was visiting a west end theatre. The checkin staff obliged and upgraded my to a family room.I have travelled to the far corners of the world and stayed at some amazing hotels. This was up there with the best!!!!The room was extremely stylish - very modern - with top end fittings - accessories!I did not try the restaurants but if the rest of the hotel was anything to go by - then im sure they would have been exceptional.!!!A superb experience.... Thank You	
Jun 15 2009 	great hotel with a great price!!!!	We loved this hotel- the rooms were quite large by European standards as well as the bathrooms! great water pressure in the showers! The concierge was quite helpful in getting us around and telling us places to eat. this hotel has a great location-- close to buckingham palace and the underground. My husband kept asking me if I was sure the room rate was correct--We paid for a Radisson but stayed at a Fabulous hotel!!! My only complaint is the pillows are foam and not feather they are quite hard.	
Jun 14 2009 	Outstanding with superb spa centre in the basement. Recommended.	As you would expect, a superb high-class hotel with comfortable rooms, modern bathrooms, tasteful decor and good food. Breakfast superb. The view from my room was a bit dismal but more than made up for by the superb spa centre in the basement. I enjoyed a full body massage by a charming therapist and spent a long time relaxing in the sauna and relax rooms afterwards. They bring you tea and fruit and pamper you thoroughly. They do not have a hard line about attire in the mixed sauna, which is very refreshing for those of us used to saunas in Finland and Sweden, but do be discreet and tasteful nonetheless. This is a real find and a relaxing treat from the bustle of city life a couple of floors above. Only gripe: the concierge (who spoke very bad English) directed me to the wrong pay car park a few blocks away when I arrived out of hours (normally they collect your car for you), which ended up with me getting lost and incurring much higher parking charges than the hotel deal. But the hotel manager responded very generously to my complaint afterwards, so I have nothing to complain about. I look forward to my next stay at the Mayfair!	
Jun 10 2009 	Great Hotel centrally located with cool bar and restaurant.	I had a very good experience at the May Fair. The staff were very welcoming and helpful, the room was good (slightly on the small side but you tend to get that in London) and the hotel amentities were excellent. The location is fantastic and I walked from there right around London from Chelsea right across to Aldwich with ease.Would definately recommend and go back again.	
Jun 9 2009 	Fabulous Hotel	After reading some of the reviews I have to say that we thoroughly enjoyed our stay at the Radisson Mayfair - my 4th visit in a year. Although the rooms are a little strange in that the wardrobe is in the bathroom and the hairdryer can only be used in the bathroom, so the space cannot be freed up for someone else to use I think these are minor inconveniences more than made up for by the location and comfortable bed. Room was a little noisy - they seem to have forgotten about sound proofing the windows during the refurbishment but the staff are fabulous - especially Darren, the concierge, who can magic up tickets for even the more elusive shows. Well done him!! The guys on the door also make for a welcoming arrival. Any problems we have had have been rectified immediately and I have always found the reception staff to be very polite and welcoming. As to rooms not being ready on arrival, this happened on our first visit but now when booking we give the approx time of arrival and the room has been ready for us every time. Keep up the good work everyone at the Radisson Mayfair - looking forward to our next visit-hopefully in the not too distant future!!	
Jun 4 2009 	Fantastic Hotel	What can I say about this hotel it is fantastic...!LocationYou cannot get better it is right in the middle of everything, but just out of the madness ServiceThe service that we received was great and the reception staff were very helpful, happy and smiling.The RoomI have stayed at many great hotels over the last few years and this one rates as one of the best .I would recommend this hotel to everyone looking for a great hotel experience	
