	Perky staff. Tired rooms.	Staff are great. They're the best thing about the hotel now. I've stayed here a few times when on business in London. On my previous visit I changed rooms because the room I was assigned wasn't up to scratch. This time, on booking, I reminded reservations that I hadn't been impressed on my previous visit expecting that I might get a better room this time around. It was basic, tired and shabby. Lumpy pillows. Poorly ordered room. Hand held shower. It felt and looked more like an upscale hostel. It's a pity, because it used to be great.	
Sep 1 2007 	Love the location hate the construction noise	This was my third or fourth stay at myhotel Bloomsbury. The room was smallish but comfortable, the staff friendly and accommodating, and the amenities acceptable. As a business traveler, I dislike being trapped in touristy areas, where everything is overpriced, selection is limited, and locals scarce. Fancy tourist hotels are also a tipping nightmare - I don’t need anyone to open my door or hail me a cab, thank you. For me, the best part of myhotel Bloomsbury is its great location, just off Tottenham Court Road a few blocks from Oxford Street. From here, buses, tubes and cabs can get you anywhere in the city, pretty quickly, and if the weather is tolerable, you’re within walking distance of all of central London. It’s a great stroll neighborhood. There are funky little restaurants and shops on Goodge Street, two blocks away. Tescos and newsstands and electronics shops and conveniences abound. The British Museum is around the corner. There’s a little movie theater across the street. The hotel itself houses a popular little sushi restaurant, and has a hip young bar scene at night. There’s a friendly corner pub right next door.All that said, here are my quibbles:1. Construction noise - The stately old building that completely flanks the rear of the hotel is being renovated, with jackhammers and all. The work doesn’t begin until around 8 am and ends around 8 or 9pm, but if you’re expecting a nice afternoon nap or some quiet time for daytime business, you’d best bring heavy-duty earplugs. I don’t know when the work is scheduled for completion, but from the looks of things it won’t be any time soon.2. The flat-screen TV receives something like 7 or 8 boring channels, plus a few music-only channels. If you need video entertainment in your room, bring a laptop and a pile of DVD’s.3. No vending machines. Most neighborhood shops close at 10, the Tesco at midnight, so plan ahead. If you want a snack or a soda, you have to get it at the lobby bar, which is open 24 hours. A glass of Coke will set you back 2 pounds. Outrageous!One more thing - try to avoid rooms facing Tottenham Court Road. Although the large double windows and heavy curtains muffle most of the sound, there is truck and bus traffic all night long. It’s impossible to open the windows and sleep with the fresh, cool night air.	
Aug 14 2007 	small rooms equiped with everything you need excellent amenities...	I stood there for one week. Reception was always friendly and helpful.Room was quite small, but with everything equiped you will expect in a 5 star Hotel: coffee &amp; tea facilities, flat TV, CD, Radio, shoe shine...In the basement you can find access 24h to the so called library...real cool location with tea &amp; coffee facilities, allways fresh fruits, relaxing area and 6 Internet Terminals with free use of printer and everything you need to do your admin.The F&amp;B was very good, always nice people at the bar / restaurant. The location is perfect in London for Musical (Queen round the corner) shopping, clubbing...and for business. I will def. go there again for my next London trip!	
Jul 13 2007 	Good hotel good service and good location	This hotel is a bit of a wierd one. I've stayed in so many hotels in Londona and all over the world that this one doesn't really stand out - except that it is more expensive than it should be for what you get and the service was very good. 1. No parking - you have to go to the NCP 5 minutes round the corner. Pain if it's raining.2. Lovely reception area, friendly staff and very helpful. 3. Room was just about OK, getting a bit faded and bathroom was v average but with nice toiletaries. 4. V comfy beds. Everything else random and a bit small. Tiny tiny wardrobe, fiddly lamps that are meant to be feng shui I guess but are just annoying. Everything getting a bit tired, but I guess originally was very nice. 5. Man from reception phoned to say that we would we like a late check out as it was my birthday. Nice touch. 6. Man from reception walked us out in to the street under a brolly and called a taxi for us in pouring rain. 5* service in a 3* hotel. 7. Location is excellent, right on Tottenham Ct Road and all the big shops, plus near British Museum and Marylebone High St great for browsing shops and brekky. 8. Has a Yo! Suhsi next door - always a bonus. Overall a good hotel experience, nothing too wow, nothing too bad, but I do think you can get better for less in London. Would I go back? Hmmmmm.....only if I needed to be in that exact area, otherwise I would probably try something else. If the rooms were improved then Yes, 100%.	
Jul 8 2007	Don't call it myhotel...	I'm surprised by all the reviews saying how wonderful this hotel is. I guess it all comes down to expectations. My experience here was a disaster. I travel alot for work so maybe my experience makes me a bit more discerning but here were the problems. You judge for yourself whether you want to deal with this place or not.1. Price: Extremely overpriced compared to what you are getting and what you can get for the money. The room is too small with too few amenities to be worth the £150-£200 per night going rate for a double. Plus it seems like it has seen better days. The rooms carpets are dirty and stained and the bathrooms are worn and tired.2. Loud: I was first placed in a 1st floor room above the sushi restaurant (which was actually pretty decent). The music drifting through the floor, heavy base beat, made it all but impossible to sleep. I had to change rooms. 3. TVs: In my first room it was placed against a wall parallel to bed. You couldn't see it (I thought this place was supposed to be about feng shui and smart design...no so smart.) My second room it didn't work at all. Someone came up and fiddled with it and got it to work if the wire to one of the boxes was held just so and left. I didn't have the patience to fix the thing every time i wanted to watch it (which involved crawling on hands and knees under a desk etc) So if you want a TV chances are you're gonna be out of luck here.4. Temperature: The heat was blasting in my room and the AC could barely counter it. This was the middle of summer. It was horrible. No one could figure out how to fix it!!! And the hotel's response was simply to pretend it wasn't an issue...weird.5. Towels: 1 per room even though it's a double? That's just plain dumb. I had to beg for an extra towel and the maid took it away the enxt day even though I left it hung on the rack indicating I'd use it again. She did this every day. She also took my shampoo each day and didn't replace. So I had to go to the front desk twice to get towels and shampoo.6. Breakfast: What a waste of time. It was pretty lame. The continental had no fresh fruit or anything beyond some pastries. Just some old breads and danish you'd see in a conference room setting and some croissants. This was pretty pitiful.7. Service: Pretty non-existent. And given all the problems I had, no interest in fixing them. This was the biggest issue to me. If you're gonna personalize the experience and call it 'my' hotel you really need to follow through and fix problems and meet requests as they arise. There was absolutely none of this...Overall I'd avoid this place. Not worth the money and really nothing special to recommend it. At one time it was probably pretty nice and cool but judging on the wear and tear that time was about 5-7 years ago...	
Mar 30 2007 	If you can get a good rate very nice	Spent 6 nights at myhotel Bloomsbury at the end of March 2007. We booked through a hotel web site for just over $250 US. The room offered at this price was very small so we chose to upgrade to a superior room (#201) which was double the size. It was about $50 US per day for the upgrade. Our room had 2 large arched large windows in the front of the hotel, a flat screen tv, cd player, safe, desk and sitting area with sofa and chair. Very pleasant and the linens (hotel frette) were great. At the rate we paid--and considering it was London--we felt we got a good value. There is comfortable library in the basement with internet and a workout room. A nice breakfast was included with the room. The staff was friendly and attentive as well. The location is a couple blocks from the British Museum. myhotel's web site was a video tour of the hotel that it a good representation except that some spots are getting worn.	
Mar 28 2007 	Lovely myhotel	Had a lovely weekend staying at myhotel - good location in Bloomsbury, near shops/bars/musuems/cinema. Hotel is very stylish - lovely bedding and aveda toilettries. Staff were all very helpful andthe breakfast and bar area are lovely. Our only problem was not beingable to work the heating during a cold spell but can't really fault them on that.	
Mar 15 2007	ok location overpriced	nice modern hotel in a good location, however the quality did not match the price. room was nice inside but lacked some details, too much noise from the corridor and the floor above my room, you could hear steps and squeaking.staff was decent, in all honesty I had trouble understanding the receptionist, he spoke in an indian type accent at 150mph.I have no major complaints but next time I will stay at another hotel, there are many that are equally nice for a more reasonable price.	
Feb 15 2007 	Never been treated better	The staff at myhotel Bloomsbury were great. The attention to detail makes you feel like you're at home with things set 'just how you like them'.Service was personal without being in-your-face.The library is a great place to just sit. The decor and the aromas throughout the hotel are just lovely.The buffet breakfast offered a great selection of healthy options.The location is fantastic, I walked everywhere.I highly recommend myhotel Bloomsbury and I'll definitely stay there again.	
Feb 14 2007	Strange odd stainy	I was given a tour of this hotel after I went in out of curiosity. I will never stay at this hotel after having seen the rooms. They are so tiny, they look like jail cells. And the &quot;closets&quot; consist of thin and long spaces in the wall designed so that you cannot see the clothing (that's actually what the tour guide told me!) So you have to stick your arm in and around just to access the clothing. But the worst thing was when I saw the comforter on the bed. First of all, it was all fur (no idea if that was real or fake fur). Very fuzzy. Then I made the mistake of touching it. A white, sticky substance got onto my hand...say no more. That was it. I was outta there! Too weird.	
Jan 24 2007	My Home Away From Home	I never normally write reviews but I am compelled to make a comment on MyHotel Bloomsbury. As a global traveler there are certain essential services that are a &quot;must have&quot; in a hotel such as; internet and business facilities, good location, 24 hour services including quality room service, security, concierge relations and gym amenities. As a regular visitor to the UK I have for the past 18 months been a regular guest of MyHotel Bloomsbury because of the entire staff’s attention to detail and a genuine concern for me as a guest. Not only are the rooms well appointed, the hotel has an excellent conference facility and catering service that results in my time being thoroughly utilised. The rooms are well appointed with first rate beds and linen, and to make sure you don't feel like you are living in a box, each room has a slightly unique décor that is not off the shelf IKEA. There is a 24 hour bar and an excellent Japanese restaurant that is open for lunch and dinner. They also provide quality transport to and from the airport ensuring you are fully managed during your stay. From the management through to the house staff their commitment to hospitality is truly exceptional and unlike the larger hotel chains - they remember your name! When I meet other guests the comment is always the same, &quot;I will be staying here again&quot;. MyHotel is a great example of a modern boutique hotel that caters to the modern guest that does not want to be just another number through the door. It truly feels like MY Hotel.Mark MontgomeryCEOBrainbow Pictures	
Jan 24 2007	bland	its ok. Just ok. But god at that price Id want more than ok. Bland central. The staff were fine - but I wouldnt go crazy about it. For this price you can stay at the Milestone hotel - and their staff are good.	
Jan 11 2007	ridicilously overpriced	the location of MyHotel Bloomsbury is definately good, but comparing the price and quality it should be hovering above oxford circus to be considered reasonably priced.We stayed at the hotel for a week and overall had no major problems with our stay. the room, a deluxe sized one, was small but decent for London. some setbacks included a squeaky floor, which made loud noices everytime I walked over certain parts of it. the room door had quite a gap underneath it and was poorly sealed, making even small sounds form the hallway hearable inside the room - probably the other way around too. service was ok but not special in any way, breakfast was good. considering the location, it would be a good deal for half the price. recently I stayed at Radisson Sussex, which is located a block or so from selfridges - actually a better location in my opinion. price was almost half of this one, and considering the fact that hotels share even a rather similar style, I very much prefered the Radisson.	
Dec 15 2006	Appalling....but the pigeons love it	One of the worst hotels I have ever had the misfortune to stay in.First of all, my partner and I were allocated a room with a single bed...thats correct, a single bed in a four star hotel in Central London. Naturally we pointed out their error and we were then given a double room, overlooking the street. The room was absolutely tiny, when one of us was getting ready to go out, the other had to lay on the bed, as both if us couldn't stand up at the same time!The worst thing however was the window. The one window in the room which was at head height when you were sitting on the bed (the only place to sit) had approx 3 inches of pigeon crap on the sill, which had endless cigarette ends sticking out of it...it looked like somekind of dirty protesters birthday cake! VileService not good, bar staff outside on street chatting whilst waiting for a drink.Avoid if possible.	
Nov 28 2006 	Awful	Oh dear. This qualifies for my duff hotel of the year so far and I have stayed at dozens of places this year. Things I liked: Plenty of wardrobe space (between the eaves); Bulbous drinking glasses in the bathroom; The bathrobes; Cleanliness was fine.Things I did not like: Hard and uncomfortable seats that are meant to be used with the desks- mine looked as if it had been found in a skip (I did report it to reception but got no sympathy); Claustrophobic attic rooms Extortionate price (£220); Lack of mobility in phone (have to hit my head to answer it); Not being offered a non smoking room; Not being able to see the TV from the bed; Solvent smelling towels; Awful desk to work at with slidey glass topNoise from street (ok its London, forgiven); Paying for the internet with this room price! A bit worn feel about it (bathroom edging missing, holes in some tiles where old hardware had been?)Fuzzy TVSo the price and this particular grotty room made this a disaster that I will not be repeating. Beware!.	
Nov 22 2006 	An Oasis	This hotel was great. Just far enough off the main road to ensure it's quiet. Rooms are chic and tasteful. Their website offers a 'mypreferences' tab which allows you to specify what type of bedding, music and even bottled water you would prefer upon arrival. There's an eclectic array of teas, sleeping masks and slippers. No scrimping on toiletires either, Aveda brands rule here!It was a tranquil oasis in a busy city. I would recommend a stay!	
Sep 5 2006 	good option great location	Great location, close to Soho, Convent Garden and theatres but still calm and quiet.Modern, clean, good brekfast, but small bed for two and needed black out curtains in the room.	
Aug 10 2006 	Terrible Service and more	We stayed at Myhotel Bloomsbury early August 2006, it was the worst hotel experience we've ever had.We stay at many hotels as we travel a great deal for work and pleasure, we have stayed in hotels ranging for 2 star to 5 star luxury and the service at Myhotel in Bloomsbury London was on par with a $50 a night 2 star hotel, actually we've had much better service at the worst 2 star hotel we've visited. We arrived very late checked in, no welcome no help. The bottom lift was broken we were on the top floor so we had to lug our bags up the first and last flight of stairs, one night person took pity on us and rode the lift up with our bags while we walked up the 4 floors as there was no room for us.We upgraded to a superior room as we had 3 adults in our room, we were provided with a tiny room that just fitted a double bed and a desk in it, the they squeezed a tiny $20 fold up bed against a wall. The bed was too small for a adult and it was so uncomfortable (worse than a hammock) that we had to pull the 2 inch thick mattress onto the floor for the first night.We complained the next morning and were greeted with blank looks from the guy behind the desk, he got a manager who was much more helpful and had the bed replaced with a better quality one (still very uncomfortable), which we were pathetically grateful for.We were expecting a choice of pillows, music and bags of toiletries as they advertise, instead we were supplied 1 tiny bar of soap, 1 bottle of shampoo and conditioner for all 3 of us to share, the second night we got no toiletries at all, we called down for some, they never arrived, we called again an hour later and received a bottle of shampoo and conditioner and a shower cap no soap, so we gave up and went out and bought a bar of soap.The next night we asked for some ice, that never came either we didn't bother to ask for anything else as it was clear we weren't going to get anything we asked for.They were renovating the bar and restaurant so we had breakfast in a basement room grey carpet white walls (like our room, no decoration, very similar to a hospital room) with no windows and booming music, there was no hint of Feng Shui or peacefulness.We checked out early on the 3rd day - thank goodness. Lift still broken, no sign of it being fixed any time soon, so we lugged all our bags down the stairs ourselves out to the street as the 2 staff behind the counter looked on with no offers of help, as we lugged the last bag out one guy got off his backside and went over to hold the door we were struggling with, then waited for a tip, which he didn't get.We booked Myhotel last minute, we were booked into another hotel, but came across the Myhotel website and it looked more our style, a friend had stayed there a while back and said he had enjoyed the experience so we stupidly ignored some bad reviews on trip adviser as it looked so lovely on the website and it was at the end of a very long European vacation so we decided to stay at a contemporary relaxing spa hotel for our last few days. The towels were great, the linens were nice, and that was all - the rest of the hotel was terrible, the room was tiny and hot, the air conditioner was broken so every few hours it would start banging and rev up to deafening noise levels, the bathroom was so tiny it was a laughable. All the staff (bar one) may as well been not there, as they just mostly ignored us. We were in a non smoking room (I think the whole hotel was meant to be non smoking), yet every time we came in after it had been made up it smelt of old stale tobacco - it was disgusting.Never again will we ignore reviews, all the other hotels on this trip we stayed in were fantastic, it was a shock and a shame that Myhotel was so bad on all levels.	
Aug 5 2006 	A very decent value for London	London is certainly a difficult place to find a hotel that's not a bloody fortune. Most decent places start at £220 a night, and that still gets you a closet. I always prefer to stay in the Soho-Covent Garden area because I tend to do work there, but when you look at places like the Charlotte Street Hotel, Soho Hotel, and One Aldwych, the prices are staggering. Myhotel in Bloomsbury is close to both Soho and Covent Garden, but a few minutes farther into a fairly quieter area. You can walk to Covent Garden in 10 mins. It's right off a little park, and feels really safe. It's a pretty building next to a nice little pub and Sushi restaurant (attached to the hotel.)The hotel itself is nice, but most rooms are still small. This is London. Ask for something bigger because they do have them in all but the cheapest catagories. But all in all, for prices in the £150 and higher catagory, it's a relative bargain then the others hotels closeby. You'll find a comfortable bed and nice linens, a good breakfast and a small gym which does the job. There is free internet in the library downstairs and wireless in the rooms that you can pay for. I think the rooms are simple and nicely decorated, but there were small stains on the carpets and the couch in my room. Slightly gross, and I wish they would keep up with that stuff better. I noticed this the last couple of times I've been there. So in the end, if you can accept the possibility of a small, clean but soiled room with decent amenities in a central location, you'll be fine with this place. If you want more, pony up some extra pounds and move to a different place. I myself only slept here, so it was fine. I'd give it 3 1/2 stars if possible just for the prices in a crazy market.	
May 12 2006 	Feng-Shui...really?	Myhotel is situated in a side road off Tottenham Court Road above a bar and a Yo Sushi!. I was in a double room with sofa and space to walk around the bed (unlike some reviewers). Sadly it turned out to be two single beds pushed together masquarading as a King-sized bed covered by a rather weird stripy acrylic fur throw. Still the bed(s) was reasonably comfortable as were the square pillows.I suspect the Feng-Shui guys had got a bit bored by the time they reached my room. It was all a bit tired and sad rather than sereen. There were a couple of oriental pieces of furniture, yes, but these sat alongside a pseudo-victorian badly scratched desk and Ikea- style lights and cabinets with wonky handles. The orange/red tilied floor in the bathroom stuck out like, well, an orange/red tiled floor!.Still, the aircon worked, the windows were double glazed to cut down on noise (and they opened too) and there was no noise from neighbours. The reception on the flat screen TV wasn't too bad for a London hotel, either.It was just the finishing touches that were missing - the decor that needed a paint job, an iron that took 2 calls to reception and 11/2 hours to arrive that was all rusty on the bottom, the lift that lurched from floor to floor. Finally, at checkout nobody offered to find me a cab. All a bit Travelodge at 4-star prices (but, hey, there was an orchid in the room!).	
May 5 2006	A relaxing oasis!	We stayed at Myhotel Bloomsbury for our 1st wedding anniversary and had a lovely stay. The hotel is in a great location, a short distance from Oxford Street and tube stations. The hotel is everything you expect from a 4 star plus a bit more. Extras that made it special for us were the free magazines on London in our room, a library with books, magazines, fruit and drinks, and bath robes &amp; extra large towels!! Our room was of a good size, with modern decor. I was impressed by the normal sized hairdryer and Aveda products, whereas my husband liked the magazines and flat screen tv. The air-conditioning was also very welcome due to the unusual hot weather!! The staff were very friendly and eager to please us. I had read that the hotel's mission was to provide a relaxing oasis amongst the busy streets of London, and it certainly does this. The hotel has a nice bar/cafe, small gym and treatment rooms. If it had had a swimming pool and spa, I would have given it 5 stars!! We didn't have any problems with noise within the hotel as we were at the end of the corridor so had no rooms one side of us. I would recommend this location (Rm 219) as less people went past our door than if we were closer to the lift. Due to the great location, it was noisy outside and the windows do not block it out that well. You can always request a room on the side street (Bayley Street) as Tottenham Court Road is always busy and therefore, noisy! There are many sirens and other strange noises throughout the night!! We had paid for a continental breakfast with our stay and this was really nice. One of the healthiest breakfasts I have had in a hotel! There was fruit, bread, eggs, ham, cheese, salmon, croissants, etc. I also loved the facv that there were Innocent smoothies as well as a wide range of other drinks. Overall, we had a fab time and I would recommend the hotel for a leisure stay.	
Mar 10 2006 	Terrible - would not stay again if you paid me	I stayed at this hotel for 3 nights whilst in London on business. I would usually stay at Malmaison but unfortunately it was fully booked. As I was staying for a few nights I looked around for an alternative that would be a bit different to the standard and found this one. On paper it looked good. The reality was very different.I was given the smallest hotel room I have ever been in. The room was literally the exact size of 2 single beds which did not make it particularly good to spend any length of time in - nevermind whole days of remote working. There was a generator outside my room which was very loud and during the day the refurbishments happening on my floor contributed to a very noisy and not at all &quot;zen&quot; experience.I found the staff to be rude, and unhelpful when I made a complaint, and despite promising to charge me at a low rate for internet dial-up, presented me with an enormous bill at the end of my stay. I sent a letter of complaint and received an offer of an upgraded room the next time I stay....which will be never. Communal areas are nice, breakfast was good, although staff very slow to clear tables. If you do stay there, don't book a single room.	
Feb 16 2006	Awful Service	Having spent a great weekend at the hotel several months ago, me and my boyfriend booked it again for our anniversary. Unfortunately, we had a very unpleasant experience.Everything was as good as it was before until we finished breakfast when we were presented with a bill for £28! By far the most expensive breakfast I've ever bought...We went to query that with the reception staff who claimed that there was nothing on our confirmation slip that indicated that breakfast was included in the rate. I've stayed in many hotels over the years where I was given breakfast even though it was not stated on the confirmation slip, but the reception staff refused to consider it and argued with me that it's my fault. I felt that it was wrong of them to give us information about the breakfast when we checked in without stating that it's not included, yet once again the staff disagreed with me. I guess that it's at their best interest to not advertise that breakfast involves an extra charge and i still think there were plenty of opportunities to stress that to the guests rather than giving them nasty surprise at the end of their stay.I felt particularly aggrieved as the reception staff were very rude, did not acknowledge my criticism and failed to offer any mitigation or compensation. It's a shame as it left a bad taste in my mouth and ruined my good impression on the hotel. We will not stay there again.	
Nov 22 2005	Perhaps not for more than an overnight stay...	there are some great things and bad things about this hotel. the great things are the location, the public areas - library, (with free internet access) bar and cafe - all great for informal meetings or just a coffee. overall it has a really nice 'feel'the bad things were (in my experience) the rooms. the singles are like being in a shoe box - barely room to get past the bed. I asked to be moved as the first room i was given had a huge generator just outside the window which meant i did not sleep all night. The second room at least had more space.breakfast was overpriced and a little slow/painful on the service front. found a great caff on charlotte street just down the road if you fancy something more substantial!ok - maybe i am not sophisticated enough to understand 'capsule' accomodation but in my book, on a business trip, you need a bit more comfort and a little less scrimping on the room front. Also the feng shui principles to which the hotel claims to adhere surely dont apply to sleeping in a shoebox!	
Nov 7 2005	There's no pleasing some people!	Me and my boyfriend, both Londoners, stayed at the hotel as a special treat for his 30th birthday party and what can I say, it was one of the nicest hotel experiences I've ever had! I cannot believe that there are a few bad reviews here, maybe some people just have impossible standards?The location is very quiet and central, for tourists this one of the best areas to stay. The atmosphere in the hotel was very relaxing and the service was extremely friendly and efficient, I can tell you that's very rare in London. Everything we needed was taken care of immediately.Our room, standard, was lovely and big enough for our needs. Loved the design of the room and especially the bed, very comfortable with nice big pillows and a gorgeous fake fur bed cover. The bath was also very nice - we enjoyed the Aveda products and fluffy bathrobes.We ordered dinner from room service and the food was very good, nice size portions and reasonably priced. The breakfast was also very impressive - fresh ingredients, lots of variety and friendly service. There's also a room called the Library which is fantastic. It has free internet and printing, lots of newspapers and magazines and free refreshments like a coffee machine, bottled water, fruit and pastries.The only slight quip is that one of the reasons why I booked the hotel was because it had a treatment room, but unfortunately they were too expensive for us. Oh well, nothing is completely perfect but Myhotel is as near as it gets.	
Oct 24 2005	My favorite for the money	For the money, this is my favorite hotel in London. I stayed there last weekend for the third time in the past few years and was not disappointed.The rooms are very comfortable, modern, and the beds are heavenly. The rooms are well stocked with nice touches like Aveda amenities, big bathrobes, Tazo teas and Wallpaper magazines. The hotel is just off a main street but quiet, and the location is fab. We had the Energizer package, allowing us each to enjoy a super 30 minute head neck and back massage and full breakfast in the morning. We were contacted by the Spa prior by email to schedule the treatment.The library downstairs is great with free internet access and comfy sofas. didnt get to the gym but it looked clean and sufficient for a light workout.Negatives: There is a sound issue between rooms - I was awoken by some neighbors apparently having a very good time early Sunday morning, and a singing maid at 9:00 am cleaning the room on the other side. Service is good, except for sunday morning breakfast -where there was a dire need for more staff. Only 2 persons to serve the hotel descending at 1030am to catch breakfast before it closed was not sufficient. Food quality however was very good.	
Aug 7 2005	Would definately go back again!	This hotel is situated in a prime location in London, with only a short distance to walk to the nearest tube station. My first impressions of Myhotel were excelled by the really friendly and helpful staff at checkin and any questions I had about the local area and things to see and do were quickly and sufficiently answered. My room was an ideal size and very comfortable. The decor generally of the hotel is impressive and modern. The bar is 'upbeat' and trendy and again, staff are very polite. I really enjoyed the ambience in the bar as it was small and 'cosey'. The small gym and internet access is also a bonus for what seemed like an excellent price for such an attractive City centre hotel. I would definately return to the hotel when visiting London again and would recommend it to friends and family.	
Jun 6 2005	Good Vibes but they need to sort out their rooms.	After reading reviews on this site, I booked myself into Myhotel via a Lastminute rate of £147 per night including breakfast for a double room.I agree with other reviewers in that the location of the hotel is excellent, the service friendly and efficient, the general atmosphere and vibes good, and the breakfast plentiful and varied.In my view however, what lets the hotel down are the rooms themselves. My double room was fairly small but that was not the problem. The problem was that the furniture and furnishings did feel cheap, the bathroom was ordinary, and somehow I doubt that a bed facing a large expanse of blank wall falls within good feng shui principles (I am only mentioning feng shui because apparently it was used in designing the hotel interior). Wear and tear was visible (bedside lamp falling off the wall, damaged double glazing, broken slats on the wooden blind, stains on the carpet). There was tea and coffee making facilities but no minibar or goodies box (bad news for anyone craving a cold drink or snack/chocolate bar at 2am!). Flat screen TV was good but placed in an awkward position (on the side wall, so that when lying in bed I had to twist my body completely to watch it). Wireless broadband worked fine, but only half-way through the registration process did you actually find out the prices (£10 for one hour's use during a 24-hour period - other choices also available).On the plus side, the floor was quiet and there was a peaceful quality to the atmosphere. What was provided was fine (Aveda toiletries, bathrobes, free Guardian/Observer paper, Tazo tea).Bottom line: would I stay there again? Definitely not at that price. I MIGHT try out Myhotel Chelsea next time I am in London, but it won't come at the top of my &quot;to-try&quot; list.	
Jun 2 2005	Great Hotel !	Stayed at MyHotel over the Bank Holiday and had a wonderful time. Hotel is very hip and cutting edge with hi tek gym and library kitted out with free internet PC's. Rooms are not huge but have sony cd/radio's and plasma's and beds are huge. Breakfast is extensive and can be served in room whcih was included in our rate. Thet are opening a hotel in Brighton that we hope to stay in when finished.	
Apr 18 2005	Excellent Location Fantastic staff Shame about the price	The low figure I have put here is perhaps a little unfair but read the review and hopefully you'll see the problem.Firstly the location. This is excellent, especially if you like a bit of retail therapy. It's just off of Tottenham Court Road, about 100 yards from the Tube and the Dominion Theatre. For those that don't know, Tottenham Court road is the &quot;gadget&quot; and &quot;technology&quot; centre of London. If you want the latest hi-tech kit at the lowest prices this is tha place to be. It's also only 100 yards from Oxford Street, which everyone has heard of.Despite it's proximity the hotel is surprisingly quiet (despite other reviews) for a London Hotel. The road directly outside is a one-way street and is pretty minor so you get relatively little traffic. The biggest problem with noise I found came from inside the hotel. I don't know if we were over some kind of sevice elevator or something (we were quite some way from the standard lifts) but from about 10pm until about 1am there were some VERY loud thumps and mechanical sounds that were very anoying. This is part of the reason for the low mark. As it was our anniversary they kindly upgraded us to a superior room. Well, I'd hate to see a standard room. You must bear in mind that the decor of this hotel is minimalist chique. To me that just means they don't want to spend money on furniture. Not reallt my taste. The bathroom was on par with the cheapest hotels I have ever stayed in, although the towels were enormous and they did supply bath robes. The room was also very small (although extremely high) and to me the furniture looked cheap. It had a nice LCD TV but not all of the channels worked and the picture was poor. There was also a nice stereo and tea and coffee making facilites but that was about it. We had a fantastic view of the fire escape and air conditioning unit on the building opposite, which was a bit disapointing for a &quot;superior&quot; room. The windows from the building opposite also looked right down onto or bed which was a bit off-putting but then this is London. On the positive side, the bed was very comfy.Now onto a couple of more good points. The staff and the food. The staff were VERY friendly and VERY helpful. To give you an example; we asked for directions to a concert venue called the &quot;mean fiddler&quot;. The guy on reception looked it up on the internet for us and then drew on a map showing us how to get there. We were about 50 yards from the hotel when I was tapped on the shoulder by the receptionist who said he'd found a more detailed map and pointed us to exactly where the building was. That certainly deserves praise.In the morning we had breakfast (included in our deal) and I can honestly say it was the best full-english I have ever had. Being English and 38 years old you can imagine that I have had a few but their's was exceptional. I can only guess they use very high quality produce. Again the service at breakfast was excellent.I was shocked, however, when I left to see the &quot;standard&quot; rate for the room we had. It was close to £400 !! We paid about £130 which, considering it was central London was only marginally over-priced.To sum up:Excellent LocationFantastic StaffGood foodMassively Overpriced if you pay the full rateDon't expect anything more than an average room. Good for business accomodation, not so good for a romantic break.Can get a bit noisey at night (not traffic noise).Would I stay there again. To be honest, probably not....I just don't think I am &quot;hip&quot; enough.	
Apr 2 2005 	Excellent value at Easter rates	I took advantage of the low Easter rates here and hence found this excellent value for money. Stayed in a standard double which was small but fine for one person. The bed was very comfortable and the room had a flat screen TV, tea making facilities, bottled water &amp; small desk. There was no inroom safe. The bathroom was fine with bathrobe &amp; excellent Aveda products. I asked for a room away from Tottenham Court road, a very busy road, to limit the traffic noise. The room service menu has a good selection of dishes and there is a trendy bar &amp; a Yo Sushi downstairs. You can also take advantage of the library downstairs to relax, surf the web or stock up on supplies of bottled water, tea/coffee and energy bars. There is a small gym with cardoiovascular machines &amp; free weights. The service is excellent. The staff are very friendly and natural. The location is very central &amp; good if you want to be near Oxford St shopping and the theatre district. I would definitely return here if I could get a £99 rate again.	
Mar 18 2005	Loved the energy and it's hip	Justed arrived from australia after 24 hours of travelling... on entering the hotel, I sensed a great calm.... The energy was great! My room was excellent.. It seemed renovated... Had a huge plazma TV screen on the wall and wirless connection for my laptop... Anyway, ask for room 404 when you book with them. This is a great hotel!	
Mar 17 2005 	Finally a hotel that really cares about you!	From visiting the well laid out website to making the booking to telling them what my preferences are to turning up to find my room prepared just as I had requested it - it was all seemless! What a great experience. Without overdoing it, the staff quietly anticipated my every need. The only reason not to come back on my next stay in London would be to check out if myhotel Chelsea also would live up to my now very high expectations of myhotels.	
Mar 17 2005	Outstanding hotel !!!	Top drawer hotel - best I have stayed in London and came highly recommended by friends who are complete devotees.I stayed for 2 nights and had a great time. The hotel is very funky and is excellent value for money. Drinking in the bar next to Natalie Imbruglia no less (Beth from neighbours) and surrounded by the beautiful people. Everyone is very friendly as well - no attitude or arrogance, which makes a change in trendy gaffs like this. When you next visit London make a point of visiting!	
Mar 17 2005	Recommended to friends	Very comfortable with great service.Beautiful hotel with very friendly staff.	
