	Peaceful stay in London bustle and hustle	The Beaufort feels a bit like home. Very nice staff, a complimentary bar with soft drinks and alcoholic beverages, a liitle lounge, quiet street, so close to Harrods, Knightbridge and even Piccadilly.We had a Junior Suite with King size bed, sofa bed and a rollaway, were we stayed with 2 adults and 2 teens. The bathroom was a bit small and there was only one washbassin. But that's the charms of the houses the Beaufort is settled in, I guess.	
Nov 18 2008 	Perfect Boutique Hotel	Spent one week at this wonderful hotel! As one of two couples staying here, I can honestly say that all four of us were pleasantly suprised at all the amenities and courtesy we recieved. Svitzlana (asst mgr) made reservations, gave us travel advice, booked train tickets, gave wonderful advice on local pubs, and was an important part of the reason we loved our stay! Every employee was concerned for our comfort and extremely friendly (thanks, Svitzlana and Uri). The lobby area (where the bar is located) was always full of nice people and we met many interesting travelers. This boutique hotel, located on a lovely tree-lined cul-de-sac, was very quiet and had no traffic noise. Centrally located, we had no problems getting anywhere by underground or on foot.Our room was large, clean and very comfortable, even though we had to walk stairs from the 4th to 5th level, as the lift only went to 4th floor. This was no problem!I can't compliment the staff enough, and we will definitely stay here again. Thank you Beaufort Hotel!!	
Oct 28 2008 	Hollyday in London	The hotel have a cosy atmosphere. The services are good, the localization is fantastic, saving money from transport. The employess are lovelly and helpful.	
Oct 26 2008	Beautiful but beware the basement rooms!!!	We have just returned from a weekend at The Beaufort and on the whole have to agree with all the other reviews.It truly is a beautiful hotel, very well located and with the little extras such as the complimentary bar and cream teas (delicious).However I would advise anyone to check which room they have been allocated before confirming a booking. Room 4 is a very small basement room, only room for a bedside cabinet on one side of the bed. It did have a small window which looked out onto ventilation shafts and drain pipes but we were unable even to tell what the weather was like. The mobile signal is non existant - important when you have left children with a relative. There was one fresh flower in the room and two after dinner sized chocolates. The bathroom was lovely, however the flooring in the bedroom was &quot;cheap&quot;, poorly laid laminate, the bed was comfortable but one of the throws on the bed had stains on it. We were able to hear the guests in Room 3 using the bathroom facilities and guests in the lounge talking late into the night. We did ask to change rooms but apparently the hotel was fully booked.All said a great hotel but do avoid the basement rooms	
Oct 24 2008 	Enjoyed the Beaufort Hotel great location...	We just returned from London where we had a wonderful stay at the Beaufort Hotel in Knightsbridge. Very comfortable, welcoming staff.The room was small by American standards but very nice. While I would have preferred to have better control of the temperature, opening the window worked just fine. Free bottled water in the room, chocolate in the evening with a nice turndown service. We are still not that crazy about English showers but it was alright at the hotel. I like a bit more water pressure though but I am being nitpicky.We stayed on the third floor at the back of the hotel with a view over the roof tops. One word to those who are claustrophobic, the elevator is very, very small. Two people maximum with out luggage... believe me there was no room for it. But it works fine and the staff brought up all our bags.Nice extra's, cream tea in the afternoon included, wine and beer in the evening included, use of the computer in the lounge and we could print our boarding passes.The hotel took good care of us and we would definitely return.	
Oct 10 2008 	Excellent location	Excellent location, great staff, excellent value for money. I f you are lookig for a casual and friendly atmosphere, that's the place to stay ! We'll be back for sure.	
Oct 9 2008	Great for a 'Special Day'	This is my third stay. Well worth the cost for a special occasion such as an anniversary if coming to London, going to a show and visiting Harrods. - Food (Breakfast / afternoon tea) top knotch and plenty of nice touches.	
Aug 14 2008 	Great short break	A well priced, small Hotel in the exclusive shopping area of Knightsbridge in London. The rooms are small in size but stylish in design and amenities. It is run by a very helpful, cheerful and courteous group of people. Our stay there certainly added to the enjoyment of our short break in London.	
Aug 13 2008	Beaufort the best	We stayed at The Beaufort Hotel last week.Our staying was wonderful.The hotel it's very nice ,clean,the front desk it's excellent,and very helpfull,to give you recommandations anddirections. The rooms are very beautiful and quiet.If you come on vacation or for work it's very nice to stay in a peaceful street.The location is the best.Right next to Harrods,ready for shopping!! We will be back atThe Beaufort and we will recommend this hotelto everybody who want an unforgettable stay in London.Ilaria Gabbrielli-Marco Donati( Florence Italy)	
Aug 10 2008 	absolute luxery!	i recently stayed at the beaufort for mine and my partners anniversary!! from the moment we got their it was beautiful and peaceful, and very romantic with the music playing in the room when we entered! We loved it so much we wish we hadn't booked to go to see the lion king at the thearte, all we wanted to do was relax! the complimentary bar was amazing, sipping on champagne before going out. We only stayed there for 1 night and i wish we could of stayed for more. absolutely enjoyed out stay.	
Jul 28 2008 	lovely charming very friendly and helpful	My daughter and I stayed at the Beaufort for two days in July, the staff made us so very welcome, the room was small (as expected) but very comfortable. What great bathrooms! Tea was lovely. The staff made us dinner reservations, show reservations etc. I would highly recommend the Beaufort to anyone. Location is PERFECT!!! Cant wait to return for a longer stay!	
Jul 3 2008 	A welcoming small hotel in Knightsbridge with cream tea and bar	I really enjoyed by one-night stay at The Beaufort. I got a very warm welcome when I arrived and was shown to my very comfortable room. The reception gave some helpful suggestions about where I might go for dinner. The hotel runs an open bar so on my return I poured myself a generous whisky and retired to my bedroom for a hot bath and then bed with a good book.The following morning for breakfast I had a delicious freshly made omelette delivered to my room at the time I'd specified. I managed to squeeze in some shopping into my schedule so I was relieved to be able to go back to the hotel in the afternoon for the complementary scones and tea..... the scones were so delicious that I even asked for the recipe.This is a small hotel with a very homely feel very close to Harrods. The staff are very helpful about checking out and finding parking spaces.Thoroughly recommended.	
Jun 9 2008 	London Visit	Booked through IAPA and enjoyed our nights stay very much. Nice room - complimentary drinks, tea/scones and breakfast included. Our son was inlcuded in the complimentary drinks.Comfortable but small room with wi-fi and large bathroom. the staff were very efficient and pleasant.	
Jun 9 2008 	Great little hotel	Travelling as a family, we booked a junior suite (295 pounds/night) with use of the sofa bed for our teenage daughter (extra charge 40 pounds). This was a perfect choice for a 2 night busy shopping&amp;theatre weekend in London. We loved this hotel, but it's a very easy-going style of hotel. If you like the flashy luxury 5 star style, look somewhere else.Positives: I had requested a room on a higher floor, with view and away from the lift and this had been taken into account. Our room No 43 overlooked the Beaufort Gardens cul-de-sac and was situtated as far away from the lift as possible. The room was pretty small for a junior suite but OK by London standards. Very nicely decorated and with trendy cusions and nice darkwood modern furniture and a flat screen TV. The location is excellent, just 1 minute away from Harrods and the busy Brompton Road but removed from the noise and very quiet. We slept with the window open and didn't get disturbed at all by the traffic. The complimentary 'bar' (= help youfself fridge/cupboard in the lobby) is a nice touch instead of expensive in-room minibars and we enjoyed a glass of fresh white wine - which we brought up to our room - upon our return from a busy day. Reception staff was very friendly, smiling and efficient and helped with all our restaurant bookings, taxis etc.Negatives (although very minor):On our first night we came back from dinner to find the sofa bed was not prepared. After a call to reception, housekeeping arrived literally within 2 minutes to fix it - so no big deal. Housekeeping staff was very apologetic.The bathroom was a bit on the cramped side and could do with some refreshening (paint peeling of on corner of furniture). Also, there not very much cupboard space for 3 adults - enough for a short stay though. Breakfast is not included and added at 8.50/per person is just the very basic choice. Also the breakfast room is small. We opted for breakfast in one of the many coffee shops on Brompton Road - good choice, convenient and mcuh cheaper!	
Jun 3 2008 	LOVED THE BEAUFORT	we found the hotel to be very comfortable, unique and quaint. it was located on a quiet side street, close to harrods, restaurents, museums etc. the staff were fantastic, they took such good care of us, which was no easy feat as we were eleven ( family trip)	
Jun 3 2008 	Fine hotel but when is a suite not a suite?	We stayed at The Beaufort Hotel in Knightsbrige for 2 nights this past weekend..The staff were friendly and helpful, the room clean, the hotel in a fantastic location if you want to be in the middle of London and just around the corner from Harrods and Harvey Nichols without the usual traffic and noise you'd expect.The only issue we had was we were booked into a king sized suite which from the virtual tour on the website suggested it was significantly bigger than it actually was. (We chose it because we have two children) The sleep sofa was about the most uncomfortable we have ever seen with a really cheap internal design. For £375 per night we were disappointed but would recommend the hotel if you are a couple looking for a lovely location and cost is not an issue for you.	
May 4 2008 	The Perfect Stay	We absolutely loved this hotel! Modern, clean, customer oriented. The homemade scones and tea in the lounge were relaxing plus the evening cocktails and drinks were fabulous especially when you are sight seeing London with a 4 year old and 7 year old. Location is perfect! A must stay and a great value.	
Apr 30 2008 	centralelegantfriendly	went on holiday to london and cannot recommend a better hotel than the beaufort in knightsbridge.so central..easy access,very friendly staff.upmarket modern finishes.extremely comfortable.highly recommended.5	
Apr 29 2008 	Coming back for more	Last June I stayed at the beaufort and throughly enjoyed my stay. Firstly the location of the hotel is brilliant, right in the heart of london town.But more importantly I was impressed with the service and tranquilty of the hotel. The room was cosy and reminded me of home. The internet room ( I do apologise to the management for taking advantage of the free flow drinks and snacks that was provided, but the feeling of home was felt) was easy to access. The scones are delicious as well.I will be heading back to London in June and the beaufort will be my choice to stay again. Thanks guys for everything see u soon.	
Apr 21 2008	Overpriced and shocking customer service	We were very optimistic when we booked our stay at the Beaufort Hotel. The location can't be faulted, but the hotel doesn't quite execute it's great ideas.The staff were aloof and I was told at check in that breakfast was included in our rate - so it should have been at just short of £1000 for three nights! We carried on with our stay, hardly taking advantage of drinks in the lounge, which was so small that we preferred to stay in our room.Our room was in the basement and lacked attention to detail. Complementary chocolates - whilst correct is a little misleading. It should really say one small square chocolate each...We had the breakfast in our room and commented to one another, that we were very glad it was included - we would never have paid for it were it not included in our tariff.... When we checked out we were presented with a bill for £75 for three mornings of breakfast. Shocked, we explained that we had been told it was included otherwise we would have eaten out - we were in London at an exhibition with our business and had already found an excellent, value for money eatery near Earls Court.The receptionist didn't seem to know how to deal with our issue and before leaving the hotel, I requested that my credit card not be charged with the £75 that we disputed.Since then, the hotel manager has implied that I am a liar, and that we created this situation in order to avoid paying for their substandard breakfast! I have also been told that we were rude and that we walked out without paying - a complete fabrication!I read many reviews before booking hotels, and I would like to advise other travellers to think carefully before booking a stay at the Beaufort - there is much better value for your money available, with a higher standard of customer service, and where you won't be grossly insulted!	
Mar 26 2008 	Excellent place Excellent location Excellent people	This a really excellent hotel. This is the kind of hotel you are supposed to stay when you travel to London. Rooms are big enough. Breakfast was excellent. Staff is lovely and discreet. The window of our room didn´t close properly but it wasn´t an obstacle for an enjoyable weekend in London	
Mar 22 2008 	overpriced	Stayed for three nights in a suite, which was a very small room to be entitled 'suite'.There was obviously some form of staff accomodation above our room as we were woken each morning very early by someone getting ready - noise of shower, walking on creaking floorboards etc - not ideal for a leisurely break.Beware the 'sales pitch' on the Hotel website such as - chocolates in room on arrival - this consisted of two small after dinner sized chocolates !!! On the first day only !!No tea/coffee facilities in room !!!Guest lounge where you can get drinks and can also have breakfast is full if more than about 6 people occupy it at once - again very small.Cleanliness of room and hotel were very good but very overpriced indeed.Excellent location for Harrods, selfridges and Museums but thats about it - very disappointed.	
Mar 11 2008	Home Away From Home	In January 2007, my two adult daughters, 24 and 29, joined me on a 9 day trip to London and we stayed the entire time at The Beaufort. I was very nervous about the trip as this was my first trip abroad but to my absolutre delight The Beaufort was perfect. The service was excellent, the junior suite comfortable, clean with modern decour. The entire atmosphere was wonderful and before I knew it, I was referring to The Beaufort as &quot;home&quot; - I had initially planned to book our trip at a 4 to 5 star hotel but found The Beaufort to be a much more enjoyable stay and felt as though we were the center of attention. We especially enjoyed the afternoon tea and scones - actually I am still talking about the joy of having tea and scones brought to our room on a tray of china. The wine and other refreshments were an added bonus.The staff was more than helpful and very thoughtful. The neighbor of Knightsbridge was quiet and less tourist than other areas. We felt very much at home.A year later we are still talking about our great trip to London and The Beaufort stands foremost in our memory. We miss them. While we have opportunities to stay at other locations - I'm positive that we will return to The Beaufort and I highly recommend it as a great boutique hotel.Close to Harrods and the underground so you can easily get around the city and visit all the sights.It made our trip to London an experience of a lifetime. LindaSouthern California	
Mar 10 2008	Loved the Cream Tea!	We enjoyed our weekend stay very much. The hotel location was very central for us, being just down the road from Harrods and just a few minutes taxi ride from the Royal Albert Hall where we were visiting that evening.The hotel staff were very welcoming and the checking in process was speedy. We arrived just after 3pm to be told that our cream tea would be brought to our room - what a treat and, together with a free residents bar downstairs, was included in the price of our stay.There is a lift, but beware if you are claustrophobic as it is tiny and there is only room for two people and no luggage, or for one person and luggage! However, it performed its function perfectly well so no complaints.Our double room on the third floor was compact but well furnished with modern decor and air conditioning and it had a lovely, spacious en suite bathroom, which was immaculately clean.Breakfast the next day was brought to our room - again no extra charge for this service - along with a Sunday paper so that we could have a relaxing morning.As we were only staying one night and had arranged to go out during the evening, we did not spend time downstairs in the guests' lounge, but this looked comfortable and inviting, so next time we stay at the hotel, which we plan to do this summer, we will make sure we make full use of this facility.Overall we both felt that the hotel offered good value for money and we fthought it was far more personal than a number of others at we have stayed in central London.	
Mar 10 2008	Quiet retreat in the heart of Knightsbridge	I picked the Beaufort because of the Trip Advisor reviews.I was taking my parents to London for a few days sightseeing - they are both in thier 70's. I wanted somewhere quiet, resonably priced but central to West London and West End - and I got exactly that.The staff are superb - afternoon team is a great addition to an already nice hotel experience and the free guest bar made my dear old mother very happy because she had a free afternoon aperatif! (sorry about the spelling). I do agree with one reviewer's comments that decor is starting to look a little tired and without attention this could stop me staying again at some point in future. However - right now, I am a real fan. London can often be an overpriced, overblown and dissappointing hotel experience.The Beaufort does not disappoint. Oh and did I mention, its in a really sweet and quiet cul-de-sac and only 2 mins walk from Harrods and Knightsbridge tube?.	
Mar 5 2008 	Finally a high-end boutique hotel in London! An Oasis!	After years of trying out various hotels in London, paying incredibly high prices and getting terrible quality and service, we finally found an oasis in Central London!We've stayed at the Beaufort about 4 or 5 times between November 07 and March 08. It is unmatched. The rooms are very clean and very well appointed. The lobby area, though small, is very comfortable and welcoming. The staff are some of the best we've ever come across.The only not-so-perfect thing that we've noticed in the few rooms we've stayed in is that the windows are old and not well sealed, and sometimes it gets a little drafty if it is windy outside. However, this is a very minor item in comparison to the excellent standard of everything else in the hotel. This is our first and only choice when visiting London. Well worth the price they are charging!	
Feb 22 2008	loved the Beaufort	I spent 6 nights in the Beaufort with my wife. we had a junior suite . the Beaufort is really a boutique hotel. the staff was great and the service was exceptionaly good. the only glitch was the size of the room which was too small for a suite.	
Feb 4 2008	very good but getting tierd	I agree with other reviewers - great location - rooms very good - but getting a little tiered - needs new carpets and a lick of paint - lots of sratches on the doors ect - but will stay there again	
Feb 1 2008 	Very Nice Stay	Hi we just found this website so we have several vacations to enter. Went to Europe in April 2006 and went to London, then Amsterdam and then to Paris. Very Nice Hotel with one of the better rooms we have had. Slept well and kept very busy while in London almost to busy. We recently had retired and have taken several vacations the last 3 years. London was nice and we saw as much as we could in the last three days. make sure you get to Heathrow early as we got there two hours before our flight to Amsterdam and it took almost that long to get through security. The Beaufort is a fine hotel with very friendly people working there and we want to thank them.	
Jan 31 2008 	Cute hotel great staff!	We stayed 2 nights in a standard double room with our 6 month old. Upon arrival we were advised we may find the room somewhat small with the cotbed in it. A special rate was offered for an upgrade. After inspecting the room we went ahead and stayed in the standard room. A bit difficult to move around with the cotbed in there due to the lay-out, but otherwise spacious for European standards. The staff was extremely helpful in suggesting restaurants and making reservations. They called us on our mobile to inform us of our reservation. Helping with the baby stroller up/down the stairs, arranging taxis, serving (complimentary) scones and tea in the room, and having breakfast to us a few minutes early!(!) nothing was too much trouble. Loved the complimentary mini-bar in the lobby.Great location! Right around the corner of Harrods in a cute quiet street. We would stay there again.	
Jan 25 2008 	It was just OK	I have to be honest, I just don't get the reviews this hotel is getting. It was just ok, not even good, just ok. First the location is very good--around the corner from Harrods, etc. Internet access was also very good. However I am very disappointed in the websites misleading 'photos'.  Yes I know this is a small charming hotel, in former town homes, however the photo's are SO MISLEADING!!!, taken with wide angle lenses, portraying the rooms and lobby as somewhat expansive. I had a jr. suite, and have to say, for what I paid, and the hype the website and reviews gave, well perhpas I was jaded. The rooms was small, and the rugs bordeline line dirty. The free drinks and snacks the tell you get in the room, a bag of 5 mini short bread cookies, and two mints. The drinks they tell you are available downstairs, nothing more than a mini bar down in the lobby, nothing special or unique.  I have traveled extensively, usually staying in both small and large luxury hotels--what can I say I like the bells and whistles. And that is what I expected at the Beaufort--boy was I disppointed. I won't be returning to the Beaufort. I'm sure they will miss me.	
Jan 24 2008	Excellent as always	As always the Beaufort Hotel was an oasis of tranquility in the centre of London. Lovely staff, elegant rooms and lounge and nothing too much trouble for them. Please don't stay here if you are loud and want a large hotel chain, please do stay if you want personal service, peace and quiet, and expect the same from your fellow guests.	
Nov 30 2007	Excellent hotel	We stayed at this hotel for 3 nights and could not fault its location, the friendly efficient staff nor the restful decor. We would definitely not hesitate in booking the Beaufort again. Fantastic!	
Nov 30 2007 	Small Charming Hotel	my wife and i just spent 4 nights at the beaufort, this place is great!unbeatable location, lovely rooms, great inroom breakfast service, very quiet/relaxing, young, caring &amp; professional staff, free drinks in the afternoon, clean, charming, good relationship quality/price considering the very expensive city and neighborhoodwe were given room 32 which is supposed to be one of the largest double (standard) rooms: it was small but with a very large bathroom separated from the room by a few stairswe loved it and will be back!	
Nov 29 2007 	Gratitude for the charming Beaufort	There are many lovely, small hotels in London and I have stayed at and enjoyed a number of them. But I must say that the Beaufort now ranks at the top of my list. Wonderfully located (almost literally around the corner from Harrod's), it's a very pretty hotel, more contemporary than some, and yet has a gentle edge and personal style that makes one feel so comfortable. I was received at the reception desk very graciously, and offered a cream tea, which could be served either in my room or in the drawing room or the downstairs lounge. I chose my room because it was so inviting--not huge, but beautifully appointed and quiet, everything in a soft cream color with luxurious bedding and jewel-toned silk pillows and draperies. Bless the hotel Gods --it was surely one of the nicest single rooms they have to offer.The hotel also provides drinks late in the day, accompanied by olives and nuts and chips, just enough to see one through til dinner and they have a good room service menu (my breakfast arrived exactly on time).Everyone was so nice--when I needed help getting online on their communal computer, someone immediately came to my rescue. I was also impressed by how well maintained the Beaufort was--not always the case in London when a building is vintage. I only had a single night's stay (I tried to stay an additional day, but they were, understandably, booked). I hope next time it's longer.	
Nov 20 2007	Seriously recommend "the Beaufort" to all visitors to London	We were extremely delighted with our stay at the &quot;Beaufort&quot; Hotel last year that we thought we should shareour experience with other visitors.Apart from its central and most convenient location to London's major shopping district of Knightsbridge,(with Harrods just around the corner), we found that the hotel provided the upmost in comfort, congenial and pleasurable surroundings and client service to more than match what we wanted from our visit to the nation's capital.We were delighted with our room which was extremely ,tastefully furnished, providing every comfort needed. We loved also the extra 'little touches' provided by the Management - complimentary scones, jam and cream; and the perfect way to relax after a long day spent shopping to have and enjoy ,complimentary drinks from the bar .We found the service provided by the Hotel's Management team, extremely good. They were prepared to go that 'extra yard' to be helpful and ensure that our stay at the hotel and our visit to London was indeed a memorable one.I/We would highly recommend the hotel to any discering visitor to London - and our best recommendation is to say that we will certainly be returning there when we visit London next.Ms Jillian Menon	
Nov 16 2007	A touch of paradise	The Beaufort has all that classic charm you would expect from a boutique hotel in the heart of Knightsbridge. The hospitality is impeccable with the staff being the friendliest and most cheerful I have encountered in a hotel. In the hub of one of the nicest parts of London, the hotel is in a quiet, quintessential London street yet only moments from Harrods, shops, transport, Hyde Park and Kensington Gardens. The hotel has the comforts of home, from the warm &quot;good morning&quot; when breakfast arrives to the ability to have a relaxing champagne in the evening. The rooms are tastefully decorated and the little extras do count for a lot - water, biscuits, chocolates and of course delicious scones for high tea in the afternoon.This is a great find in the heart of London.	
Nov 12 2007 	Relaxing break	If you like small boutique hotels then this is the one for you. Just around the corner in a quiet tree lined street from the hustle and bustle of Harrods. The room we had stretched from the front to the back of the hotel and so had windows at both ends. The room was spacious, clean and well appointed.Positives: Our room was quiet and comfortable. The free residents bar is a definate plus with a good selection. Soft drinks are available free any time of the day and night free of charge. The staff are polite and friendly. The flat screen TV was good with a variety of international channels. The bed was really comfortable. The morning paper was complementary with a further good selection available in the lounge.Negatives (really nitpicking!): The water in the shower had a weak flow - not close to the power shower effect. I asked the receptionist to recommend a resturant locally and she had to resort to &quot;google&quot; a reply.If you want a centrally located, small boutique hotel in London then this is ok. At the &quot;best available&quot; internet rate it is value for money. I would recommend an upgraded room because the aspect of these is good. The receptionist also recommended this and offered to show us different rooms if we wished to see the difference.	
Sep 27 2007 	The Beaufort - A great night in Knightsbridge	We stayed at the hotel when we attended a wedding in London and had a very enjoyable stay. Very well located for all the well known shops in the area and has the fantastic offering of afternoon tea and a bar all included in the price! Excellent find with another date in the diary!	
Sep 9 2007 	Elegant and sophistacated hotel	This was my second time to stay in the hotel and it surpassed my first experience....it has a great location in a safe and sophistacated area of London with ample of restratants and Harrods just around the corner with Krispy Kreme donuts!The first time myself and my mother stayed there were over for my first and only wedding dress fitting...the staff were very friendly but the room was very stuffy with only one window which led to a small courtyard that had no exit, which made me uncomfortable in case of a fire etc. However, the hotel has so much to offer that the second time we stayed there (to collect my dress) we requested a larger room which had more space and better views etc and when we checked in we were upgraded to the junior suite...Included in the price there was an open bar from three pm onwards...after collecting my dress we decided to head back to the hotel, as we were mentally exhausted, we decided to have a glass of champagne with olives and of course it led to a bottle and a half of champagne....all included in the price!!!top hotel for fellow travels who are looking for a home away from home!	
Aug 31 2007 	Fantastic	What an amazing time we spent in this hotel. The only negative thing to report was the size of the room, (a deluxe).The staff were excellent, they could not have been more helpful. Afternoon tea was worth leaving the shops for!!The help-yourself mini bar in the foyer (free from 3-11pm) was gratefully appreciated!!! It was well stocked with wine, champagne, spirits etc. It even had cocktail mixers!It took about 90 seconds to walk to Harrods, and the tube.I will certainly return- however, breakfast is so expensive there, so advisable to eat out in one of the many nearby restaurants.	
Jul 24 2007	a relaxing pleasure in a great location	This is a beautifully appointed boutique hotel located in the midst of everything. I found everyone so pleasant and responsive. I especially appreciated the prompt response of technical help with wifi and room service. This is a place to enjoy again and again.	
Jul 15 2007 	What a pleasure!	Our family arrived weary from an assortment of Italian lodgings. We were delighted to be in such a charming and comfortable environment. The hotel is immaculate and thoughtfully appointed. It is technologically well-equipped. There are two public areas for gathering and relaxing. The staff was knowledgeable and extremely helpful. Great location. We highly recommend the Beaufort and hope to return.	
Jun 29 2007 	Great Little Boutique Hotel	Situated in a quiet garden cul-de-sac in the heart of Knightsbridge the Beaufort is wonderfully located. The hotel is nicely decorated and not overly done. The room was slightly small for the cost but was clean and well furnished. Staff very efficient, helpful and knowledgeable.	
May 21 2007 	We absolutely loved The Beaufort Hotel in London!	We had a wonderful experience at The Beaufort Hotel in London. The hotel is charming and extremely comfortable...with complimentary cocktails from 3p to 11p every day! The room was just perfect and the location of the Beaufort is within walking distance of all of London's interesting sites. We will definately stay at the Beaufort again.Todd and NancyMichigan	
May 11 2007	Tea at 33	The Porter greeted us as we arrived in Beaufort Gardens. Our Bags were taken care of and we were checked in and in our Suite within 5 minutes. After opening the terrace doors, taking in the sunshine and jumping on the bed in utter delight, we ordered a Cream Tea. All i can say is....wow.The Rooms are all very well furnished, the Guest Lounge is equally impressive and the staff could not do enough for us, from organising babysitting to sorting out our congestion charge, nothing was too much trouble.After coming back from a party late at night, we unfortunately missed the free bar offered by the hotel, however we were allowed to sit and demolish our own Champagne and Krispy Kreme doughnuts until the early hours.It is our hotel of choice when in London.	
Apr 30 2007 	Great stay at the Beaufort	A wonderful boutique hotel. Very close to Harrods and very central with many restaurants and shopping in walking distance. The hotel is very clean and nicely furnished. My room while small, but that is to be expected in Europe, was very comfortable and stylish. The staff was very responsive and helpful. i had arrived very late and the young lady at the front desk went out of her way to call local restaurants to see which were open late so that i would not be inconvenienced. There was a free bar in the evening which was unexpected. While my stay was brief, literally overnight, it was very plesant and i thought it was a good value for the money. will definitely return and will recommend to others.	
Apr 23 2007 	Charming Beaufort Hotel	Lovely and comfortable. A very beautiful hotel!	
Apr 12 2007 	Problems on Second Visit	I have stayed at the Beaufort twice. The first stay was very pleasant although the room was tiny. The most recent stay was not as nice. The elevator was not working and as I have trouble walking so we were put in the basement room 1. It was larger but open to the street and outdoor lights shined all night. There was noise from the reception area above. The location is very convenient to Harrods and the service is fine although there seem to be hardly more than 2 or 3 staff around most of the time. They do a nice afternoon tea and offer free drinks in the evening,	
Mar 16 2007	Ssssoooooo relaxing	This is a beautiful hotel. A lovely place to return after a day out in London. The staff are helpful and friendly and everything done just right. Comfortable whether relaxing in your room or one of the Beaufort's common rooms.....but keep this a secret! ;-)	
Aug 22 2006 	Fit for Madonna	A long review but worth the read! If you want a quick review here's a simple sentence - STAY AT THE BEAUFORT ITS THE PERTECT HOTEL FOR A VISIT TO LONDON!At the last minute on of my friends supprised me with tickets to see the Madonna Birthday concert, on the Confessions tour. I couldn't believe it!!! The only problem was I had to find a hotel that was up 'my standards'! London is such a large city with thousands of hotels - so where do you start? - Knightsbridge is the answer! The Beaufort Hotel is well presented and in an ideal location - next to Harrods - where I managed to fit in some shopping in my 24 hour stay. For those of you who love a good cup of Coffee - Nespresso is just around the corner too. (Gave me a chance to get some more coffee and acessories for my machine) I stocked upon Ristretto to bring me back to life in mornings!!!So why choose the Beaufort among the vast array of Hotels? I have a simple answer to that - Cream Tea!!! The Beaufort offers complimentary cream tea from 3pm. A lovely English touch! There is also a complimentary bar - see the hotel website for details.The staff:Any one who knows me, knows I like things to be simple and easy - stress free. That's because In work in a stress-FULL environment. So I don't need any stress in my social life. The staff were friendly, helpful and a joy to meet. I even had chance to meet the Sales and Marketing Director - by accident really - he was in the lounge reviewing the Beaufort website -- while the cream tea was being served. I gave some feedback on the website. Its very easy to use - so I would recommend booking through there, plus you'll probably get the best price booking direct!Check in - Check OutReally simple and no problemsOverall Rating 5 out of 5!!!I've recommended the Beaufort to all my family and friends simply because the hotel, the staff and the cream tea really added up to something special. As I work within customer services its always nice to hear about the good things as well as the bad. If there are hotel awards - The Beaufort staff deserve one!GP Fradgley	
Jan 21 2006	Pleasant stay	We stayed at the Beaufort last weekend for 2 nights. It is a very pleasant hotel and like another review said, the complimentary afternoon tea and drinks in the evening are a really nice touch if you have the time to take advantage, we didn't unfortunately.We stayed in room 6, it was down a couple of steps from the entrance hall near the ladies toilet.The room was very very small and it had an enormous bed, so that didn't help, I would say it should have been a single room. One step from the side of the bed and you were in the en-suite, which was a good size compared to the bedroom. It was very difficult for my husband and myself to move around at the same time, so getting ready to go out was quite an effort, plus it was unbearably hot as the air con didn't seem to work, I had to take the front off the radiator cover to turn the radiator off.There wasn't a dressing table in the room and the full length mirror was on the inside of the door to a tiny built in wardrobe, and I mean tiny, you would not be able to stay for any length of time as there's hardly any space for your clothes plus, and this one is more for the ladies, I found it really difficult to dry my hair because of the mirror/plug situation.The room above us must have had wooden floors as we were woken both mornings at about 7am with people walking around.The hotel was in a really convenient position and it was spotlessly clean and the staff were really friendly. I would stay there again but only if we guaranteed a different/much bigger room.	
Jan 18 2006	Fantastic Value	In an overpriced London hotel market this one really stands out. Fabulous location; stylish, well thought-out bedrooms; a very sleek and inviting lobby and interesting artwork on the walls. Best of all are the little touches: free afternoon tea and scones brought to your room; free drinks – including chilled champagne – from the help-yourself bar; free movies and internet access. Of course if you don’t drink tea or champagne, don’t watch movies, don’t like art and don’t use the internet you may as well stay somewhere else. But if you do some or all of these things, you’ll immediately shave quite a lot of money off your bill – which is very reasonable in the first place.	
Nov 5 2005	Beaufort......do not stay in the basement	The Beaufort is a small hotel in a very nice location in central London. The place has been given a facelift recently, so it is quite pleasant. The rooms are well appointed and modern. However, the room you get is very important. One word of caution....DO NOT STAY IN THE BASEMENT!! The floors are thin as paper, the ceiling is very low (maybe 2.3M or 7 feet) and there is constant activity in the reception area over your head. Our friend stayed above ground level and said it was pleasant. Also, hotels in London are generally overpriced. You would expect the Ritz in the States for these prices, but this is just a small, relatively simple boutique hotel. One other plus; free wine and champagne all evening.	
Oct 19 2005	Better than ever	I had stayed at this hotel several times although not in the last couple of years. Imagine my surprise to see the major changes since I last stayed here. At first I wondered if I was in the right place! Gone is the cozy, comfy country house and in with the new, sleek modern style. At first I didn't like it, but then grew to love it. Although the lobby area is quite cold and unwelcoming a planned fireplace may make it more welcoming. Our room was large, immaculate and complete with all the amenities. Service remains superb with the complementary afternoon tea, bar and wonderful breakfasts served on Wedgewood China. We were in Room 3 in the basement and right across from the lounge which housed the computer (with complementary internet access) snacks, cofee and comfy chairs. We felt like we were in our own home or at least an elegant suite. One might imagine that it would make the bedroom noisy, but everything was as quiet and elegant as can be. In a very inflated London Hotel market, this little gem offers great value and I can't wait to return.	
