	Love the thistle!	I recently visited the Thistle Westminster as part of a group which was organised through my work. It was very cheap due to the amount of people we were travelling with and only cost £150 bed and breakfast and coach travel for myself and my boyfriend. So for me the hotel was very good for it's price.However regardless of the amount I spent, I still feel this hotel is a lovely place to stay. It is the second time I have stayed here and found it just as pleasant as last year. Upon arrival I checked in where I was told all the relevant information (breakfast times etc) and then took my luggage to a room with two double beds in!! (for just me and my boyfriend!) There was also a sofa and facilities to make a tea or coffee which was well needed after a hard days shopping! I do admit the hotel room was very warm however as it was extremely cold outside it wasn't a problem when we stayed there.The bathrooms do seem a bit old and tired however were very clean which is the most important thing when you are only there for a short time.We then walked to the nearest tube station (Victoria) which was approx 5 minutes from the hotel. Victoria is a very central station and any of the key places you would want to visit are minutes on the tube (It was fantastic!).After having a lovely evening at the Tiffany ice rink at Somerset House, we went back to the hotel very tired and ready for a good nights sleep. At about 11:45 we were both woken up by an alarm that had gone off. I was very concerned as it half sounded like a car alarm and half sounded like a fire alarm. I rung down to reception and asked if there was a problem, my mind was put at rest by the deputy manager and after about 15 minutes the alarm went off. About 10 minutes after I rung down we had a knock at our door from the deputy manger who had come to check out the situation and see if everything was okay! (Fantastic service and a lovely man who made us feel our concerns were dealt with appropriately!) The breakfast was fine, not much variety but good quality and the staff pleasant.Overall the hotel has a great location, lovely staff and big rooms. I would definitely return again!	
Apr 2 2009 	Very disappointing - avoid this hotel!	My boyfriend booked this hotel as part of a birthday present trip to London. On arriving at the hotel I thought it seemed fine...not attractive on the outside, but pleasant on the inside. Our room had two double beds and was a reasonable size. I thought the decor was a little dated however, and not worth the exepsnive price tag.We discovered soon after arriving that the hot water was not working. We went out and came back a little later to find a note under our door explaining that the boiler had broken, but would be fixed witihin 2 hours. We also found that our air conditioning and heating was not working and it was a freezing day. We went down to the reception and said the heating was not working. We were told someone would go and see to it. We were also told the boiler had been fixed and hot water would be back on. After coming back from dinner much later on, my boyfriend and I were both looking forward to a hot bath or shower. I was really disappointed to find that the water was still freezing cold. We also found that a small fan heater had been placed in our room to provide heating. I had a terrible night in the hotel. We could not have a wash and the room was still so cold as a tiny fan heater could not warm it, even when we left it on all night.In the morning, I was really hoping to finally have a shower, but no, the water was still cold. We went down to reception again, and they seemed to view it as some kind of joke, with no apology. The breakfast was badly organised. There was supposed to be a member of staff to allocate tables, but they weren't there half the time, so people were pushing in and sitting at tables instead of waiting in the queue. The breakfast was buffet style and not great, but edible.	
Apr 1 2009 	Pretty Good !!!!	Stayed at hotel for 2 nights in room 111. Check in was easy, just a little waiting. Room was a reasonable size with LCD TV. Nice double bed, nice pillows. Bathroom was clean, but a little dated. Good location just around the corner from Victoria Station. Room was quiet. Had a air-con unit in room ( free-standing), which looked a bit odd, but worked a treat. Had wireless internet, which I was able to use free as I was a BT Broadband user.Breakfast was excellent. Buffett style, with plenty of choice for full English or Continental. Used the resturant on Saturday night, we was the only people in there. Food was OK, but not much atmosphere. A little inpersonal, but who care's? All in all not a bad hotel to be based at. Would recommend the resturant across the road, Noodle Noodle. Nice staff, good prices for the special, and great food. Only gripe about the area, is drinking in the local pubs is VERY exspensive. Might be me though, as I live 'UP' North.	
Mar 27 2009 	Avoid like the plague	Awful. Honestly the worst hotel I've every stayed in, we paid upwards of £120 for a night in a supposedly non-smoking room which stank of smoke, and had no hot water. Complained to the staff who couldn't have cared less, nothing was done about the hot water. The corridors to the rooms are clad with brick (think Vera Duckworths house on Corrie and you're nearly there) - so decor is nothing to shout about either! Generally appalling place.	
Feb 17 2009 	Disgraceful	I booked 2 nights for Xmas shopping in London and wanted a hotel close to Victoria Station (where the Gatwick Express terminates). The room (101) was well below the standard I expect from a 4 star hotel, too cramped, outdated decor and the bed was hard and uncomfortable. The bathroom was simply filthy, the back of the shower head leaked and the hot water was practically absent.At around 6am I was awoken by a frightening wailing fire alarm in the room and the hotel was evacuated, well loads of screaming families running round the poor layout trying to find the fire exit with no help from any staff! We had to wait in the freezing cold street for 45 minutes whilst the fire brigade went in with a hose.When we were allowed back in, the corridors stank of smoke and visibility was quite poor, and to top it all off the fire alarms kept sounding on and off. After this I decided to check out and go to the Hespiria Hotel (which was right next door to the station) and book a room there which was a lot better and ensured that Thistle did not charge me for night number 2.This experience has put me off all Thistle Hotels regardless of what they may be like. Hotel chains must ensure that all their properties are up to the same standard.	
Feb 2 2009 	Great staff good hotel despite the hassle	I have just come back from a weekend at this Hotel with my mother and sister. The first impression was very good and we got a big, deluxe room with 2 double beds and also a sofa bed. However, the room was only set up for two people not three and we had to ring housekeeping for extra towels and toiletries, which arrived promptly. The main problem we encountered was that there was no hot water available for Friday night and all day Saturday. Seemingly road works outside the hotel had burst a pipe and this resulted in the hotel's boiler going out of action. We found out this by talking to the workmen, in the hotel corridor, although the hotel manager did send around a letter explaining that there was a problem. The hotel also has apartments next door and they provided a key for the apartments and you could use the shower there. This was inconvenient but did provide a solution. Water was back up and running on Sunday morning but it was not too hot. I must praise the receptionist Helena, who was at all times very polite, very helpful with directions and suggestions as to where to eat, despite being at the front line for all the complaints. We managed to get a discount on the price and although we requested to speak to the Manager he never appeared. Breakfast was ok, and the usual hot and cold selection. We ate one night in the hotel restaurant, because we were short of time before we went to a show, and we would not eat there again. The chef should learn how to cook a steak, medium rare as opposed to well done. There are some very good restaurants, Italian, Spanish and Mexican within a minutes walk of the hotel and I would suggest eating there. Despite the water issue, (which was not the fault of the hotel) I would stay in this hotel again, (althought not eat in the restaurant) it was very centrally located, really near Victoria train station, and near the Theatres for Billy Elliot and Wicked. It would be possible to walk to House of Parliament within 20 mins. Also the rooms were comfortable and the front line staff very helpful.	
Jan 20 2009 	Modern Budget Hotel	I would say the Thistle Westminster could be compared to like a Days Inn, maybe a little better. I stayed here Jan 14th-17th with 2 of my freinds and we got a room with 2 double beds and a pull out sofa. The room and bathroom were very big, especially for London. We got breakfast included in our room rate and it was well worth it. Breakfast was a buffet of hot and cold items. The hot items were everything that constitued an english breakfast and the cold items were pastries, fruit, cereal and yogurt. This hotel also had a restaurant and pub attached to it. The location was great, about 2 blocks to the Victoria tube station and about a 15min walk to Buckingham Palace, Westminster Abbey and the Houses of Parliment. The concierge was extremely nice and helpful. They also have a luggage room if you come early or check out and want to do sightseeing.I guess my only complaint about this hotel is they charge for wifi, 4gbp for an hour or 10gbp for a 24 hour period	
Jan 19 2009 	Modern hotel	I stayed at the Thistle with 2 of my friends for approx 3 nights. The hotel seems very modern and it's very nice looking inside. Our hotel room had 2 double beds, and a couch that also pulled out into a bed. The layout of the room was a bit weird, as it had a long faux cabinet with mirrors (that were tinted so you couldn't really use them) that took up the majority of the walk way from the door to the beds.The beds were comfortable, and the bathroom was a good size. This hotel also had a shower that you had to step up to get into it, so I wouldn't recommend this if you are older or have any type of physical aliments that would allow you to not be able to get into the shower. The hotel does not have free wifi, it costs 4 pounds for an hour or 10 pounds for 24 hours, and you can buy a card from the front desk. The concierge was very helpful and assisted us when one of our day tours got canceled - he was able to book a new trip right there and then for us.The continental breakfast was good and consisted of your usual &quot;English breakfast&quot; items, in addition to cereal, yogurt, fruit and pastries. The hotel is also about 2 blocks away from the Victoria tube and Coach station, which was convenient. There were also a couple pubs in the area.Overall, I would recommend this to anyone - the hotel is also in walking distance of Buckingham Palace and other attractions.	
Dec 28 2008 	Chaotic	My wife and I stayed here after a trip to the theatre for her 30th. We found the hotel staff pleasant at check-in, and the reception area was clean and well presented which gave an excellent first impression.Our room was very spacious, with freeview TV, very good value for money especially for Central LondonOne thing that spoilt the whole experience was that we discovered in the early hours of the morning that our room was opposite the maids' staffroom - consequently the last few hours of our sleep was constantly interrupted by chatter and maids shouting down the corridor in various European languages. Obviously this isn't a problem with every room but be warned, you may be unlucky like us!The other aspect that wasn't up to standard was at breakfast time. The food was generally good apart from my croissant - rock hard and difficult to cut into! Also we observed that some parties were being given a rack of toast on their table as they arrived but some weren't, including us. So we asked for one, along with a refill of my coffee, but only the toast arrivedOverall, the hotel is clean, spacious and presentable, and as good a hotel as you will find for the price. Most visitors will enjoy their stay, but a handful each night will have their stay ruined by the situation of their room, and for this reason I could not recommend the Thistle Westminster	
Sep 8 2008 	Loved the Thistle Westminster	My husband and I stayed at the Thistle Westminster for 3 nights, during the last weekend in August. Our room was super nice (see photos). The location is perfect: It's right across the street from Buckingham Palace and a 3-4 minute walk to Victoria station. There is a hop-on-hop-off bus stop at the corner.The hotel staff treated us very well, and even let us check-in early.	
Aug 23 2008 	Thistle Westminster	We stayed at this hotel for 3 nights in August 2008 having booked through &quot;PriceBreaker&quot;. When we arrived the hotel had had a flood and everything was covered over in the foyer - however it was all sorted and open again within a few hours. For an extra £20 per night we took an upgrade to a deluxe room which had 2 queen sized beds and a sitting area. The room was clean and had all the usual facilities. The iron didn't work but this was okay as a second one had been put inside the wardrobe. The bathroom was in need of updating and we had a problem with the bath. This was attended to quickly and efficiently by some very pleasant staff. In fact we found all the staff to be very friendly, polite and efficient. The location of the hotel is great for anyone wanting to visit the sights of central London. Victoria underground one block away, Buckingham Palace at the end of a short street, and Westminster, Traffalgar, the Strand and Knightsbridge are all within walking distance. The hop on hop off &quot;Big Bus Co&quot; tour is directly outside the door. Local eating included very good Sri-Lanka &amp;Indian and an Italian within about 50 yards. I can honestly say that this hotel added to what was a great holiday. I would certainly return and recommend it to whomever reads this.	
Aug 21 2008 	A bit of a lottery	I've stayed in this hotel a number of times as a business traveller over the last few years and have found that room allocation is a bit of a lottery. Sometimes the rooms have been nice and relatively spacious, other times not. Sometimes there have been cleanliness issues but apart from the very tired bathroom (a couple of broken tiles, a very rusty plughole in the bath, very poor water pressure, a non-adjustable showerhead and a toilet that wouldn't stop flushing unless the handle was pushed back up), this time was fine! It's not a huge problem, just something to be aware of. On one occasion the TV didn't work and could not be fixed and I was given a twin room instead the double that was booked. No one was interested in resolving the problem until I traipsed down to reception to complain to the duty manager. I felt that they only exchanged the room because there were people checking in at the time and I emphasised that they would lose business if my company decided not to use this hotel in the future. Refurbishment is definitely well overdue but it's still not a bad choice. London hotels are generally overpriced and rooms are small compared with US standards but fairly average for European hotels. One improvement that has been made recently is the individual air conditioning units in the rooms - although they are portable units and clearly a temporary measure they do work effectively which is welcome (and necessary) in the summer. They have attempted to cover up the bathroom issues in part with some new grouting but they do need a complete overhaul to come up to the four star rating. The bathrooms are also quite cramped but I guess there is little that can be done about the layout.Check in and out can be slow as there are too few staff on reception - not a major problem but something that can be improved. Breakfast is average and adequate. There is a reasonable choice but service is slow - some times are busier than others but you need to ask for toast and tea/coffee. I do think that the majority of staff try their best but there simply aren't enough of them.	
Aug 21 2008	Not Great! SO-SO!	Rooms are dark and musty! Moldy shower curtain! Staff was nice though.	
Aug 15 2008 	Good location good staff. Stay here again no problem	Stayed at the Thistle Westminster for 3 nights in August. Short break for the family and very happy with the room. The location is perfect for access to all attractions and a short taxi drive to theatre land. Staff were all very pleasant and attentive - special thanks to Taran in the bar who remembered and took time to congratulate my younger daughter on her birthday which was a nice personal touch. Breakfast was decent fayre and served by a well turned out, attentive staff. Would stay at this hotel again with absolutely no issues. Some of these posts comment on the decor etc - but this is a popular hotel with a high turnover of visitors so you guys get a grip ! You could an awful lot worse than stay at this hotel.	
Jul 29 2008 	4 Star?????	Spending one night in London I wanted it to be special so assuming 4 * meant luxury booked with this hotel. Initially quite pleased however after returning to the hotel from an exhausting day went for a bath to disover hot tap not working. No iron in the room (even though supposed to be one), mini bar was empty, no access to &quot;latest movies&quot;, no music in bathroom (broken?), dirty grouting in the bathroom. Dissapointed as fully expected this to be a 4*. I would not stay there again.	
Jul 1 2008	Decent service dated rooms	There's much to recommend about this hotel. The staff were good, breakfast was better than many other places. Its location is handy for Victoria.But the place is long overdue a revamp. My room was dated and tired. There was precious little natural light and the place felt over-furnished and claustrophobic. On a warm day the aircon was rattly and old. As the rating suggests - okay, but some problems.	
Apr 26 2008 	Staff is fabulous......rooms are fine	I moved to the Thistle Westminster after a disappointing try at another 5 star down the street. The reception staff member took my phone call , arranged for a better rate via the reservations toll free number and made sure I had a quiet room away from lifts.Staff is fabulous. Busy hotels usually have impersonal staff but this is the exception. The Thistle Westminster could not take me for the total 8 days that I needed so they assisted me in staying at the nearby Grosvenor at Victoria Station (their sister hotel). Way beyond what I would expect in busy London. Rooms are larger than a standard room. I stayed in Room 117 at the end of the hall. Bathrooms have tubs, window opens onto a quiet street with nice breeze, coffee/tea, safe, and ample toiletries.Beds were comfortable but I think they may need to add more pillows for the Americans like me. Clean clean clean.Yes I quess that they may want to change the decor a little. But in the defense of the Westminster the room I stayed in was so quiet that I slept soundly every night.Internet cafe and lots of restaurants around the corner by Victoria Station.The front reception and conceirge staff was so helpful that I will stay at Westminster again.	
Apr 22 2008 	Nice Room But Service Issues	We stayed here just one night the week on April 14th. When we arrived, the front desk offered us an upgrade for 20 GBP. We decided to take it and were pleasantly surprised at the spaciousness of our rooms. The promised free mineral water, bathrobes and slippers however were no where to be found. After calling the front desk, they brought a small bottle of water and bathrobes up. Be sure and pin down what the upgrade includes before you spend the money. Our daughter's room we soon learned had no heat so space heaters were brought up and set about the room. When I made the reservation with Thistle the clerk told me all of the Thistle group hotels were being refurbished with the Grosvenor next and then this hotel. It probably will not be so affordable after that. We also never received a requested wake up call. Our upgraded room was 150 GBP a night so I'd probably stay here again if only for the location.	
Apr 16 2008 	Great location-awful conditions and sevice!	We stayed in this hotel last week while we visited London. When we checked in to the room, various lights in the room including the bathroom were not functioning, the toilet was not flushing properly and worse, the bathtub had not been cleaned and was filthy. I could not believe they gave us a room in this condition. They did send maintenance and housekeeping immediately to correct the problems. Sadly, the problems did not end there, on our final stay we booked a car to the airport and a wake-up call. They never called us, had no records of the request for the call and never came to our room to notify us when the driver arrived and just turned him away. We almost missed our flight out of Heathrow had we not woken up on our own. This is by far the worst service we have ever received. On a positive note, it is within walking distance to just about everything, the breakfast was very good and the size and layout of the rooms were spacious. Maybe we were just unfortunate but I will warn you, if you need a wake-up call, make your own arrangements and do not count on them.	
Apr 13 2008 	Good location good staff but serious weaknesses	Stayed two nights over a weekend at this hotel located between Victoria station and Buckingham Palace. Good reception run by very pleasant staff and spacious, well maintained public spaces. Breakfast, which was included, was standard buffet fare, but we've had a lot worse. However, our room (on the second floor)suffered from three serious weaknesses. First one was the temperature. The room was like an oven the entire time we were there. The staff were concerned but could only advise us to turn off the heating/cooling system altogether, since it would not cool at all. They did however bring a fan to the room. Even leaving the room window open all night didn't help much, and London streets can be noisy at night! Bafflingly, this was in the middle of a particularly cold snap for April. The shower suffered from the same design fault - it was probably adjustable at one time in its life, but at its great age it was completely unpredictable in temperature, varying wildy from scalding to cold. Finally the bed - the mattress must have been years old. Springs gone and the wooden structural supports all too evident when you sat on it or lay on it. The worst I have experienced. If Thistle have some sort of quality control, surely they can do better than this.	
Apr 11 2008 	great location friendly staff	I stayed at this hotel on a short sight seeing trip with my family. Like other reviewers I booked through Superbreak as it was one of the very few hotels in London that could accomodate a family of 4 (or 5) in one room. The location is excellent, you are round the corner from Buckingham Palace (I teased my children that I could see the queen brushing her teeth!) and just 2 minutes from the Victoria train and tube station. There are lots of eating places and shops nearby and you can walk to a number of the major tourist attractions from the hotel. The room was clean, pleasant and comfortable. The staff where very friendly and helpful, we asked housekeeping for extra pillows and they arrived almost immediately. Reception rang to check our room was ok and arranged for extra hot chocolate as the children had drank it all. I needed to print of my London eye tickets and reception directed me to a nearby internet cafe rather that the business centre which had a minimum charge. There is just one drawback to this hotel and that is the heat. The public areas are far too warm and the rooms are not much better. As stated in other reviews the air conditioning does not work. If you cannot sleep in a warm room this is not the hotel for you. Otherwise I would highly recommend the Thistle Westminster, particularly for families.	
Jan 18 2008 	quite good	We stayed at this hotel between Christmas and New Year and were quite happy with it. It does not look very pretty on the outside but inside it is warm and the staff are welcoming. The reason I booked it was we could get five of us in one room - it was probably the only one on the Superbreak website to have a room for five. The room was large with two double beds and a double sofa bed so was perfect for myself, husband and three teenage children. The location is excellent and we were able to walk almost everywhere. It is very close to Buckingham Palace and it is a nice walk through St James' s Park to Trafalgar Square and Regent Street. We also walked to the Houses of Parliament and the Thames quite easily from there. The street is a bit noisy if you have the window open.The breakfast was quite nice and plentiful. No problem with hot water. Beds were comfortable.	
Nov 27 2007 	Disappointed with hotel	I stayed at this hotel for 3 nghts and I was very disappointed, the food was good but it was let down by the staff who took ages and didn't always understand you and brought out something different to what you ordered, the staff on reception were no better, I got overcharged and explained each day I was there and they still got it wrong, I was charged for Dinner, Bed and Breakfast and then charged Dinner again for each night. The rooms are ok, if you want a shower in the evening don't expect hot water, the only time the water was hot enough was first thing in the morning. Would I recommend this hotel to anyone else probably not.	
Nov 26 2007 	Good Hotel very nice staff	Just come back from a 3 night stay at Thistle westminster with husband and 3 children. main reason for booking was it was one of the few places that could accommodate all of us in one room. Room was an 'Executive Double' with 2 double beds and sofa bed - was a bit cramped with sofa extended but fine with it up. The room was fine but probably now in need of some upgrading , bathroom especially. Unlike some other reviewers we had no problem with hot water, lack of aircon not a problem as was very cold outside ! Location is excellent - walking distance Buckingham Palace, Big ben etc . NIce buffet breakfast and all staff lovely which we really appreciated - Would recommend for family breaks etc - perhaps couples wanting a romantic weekend away would do better somewhere plusher !	
Sep 22 2007 	In desperate need of mattress replacements	The location of this hotel is excellent and as many individuals mentioned it is close to Buckingham Palace, Victoria Tube and Victoria Coach Station. Our room was small as expected and faced the side street; which made it quiet. We found out that the AC is being upgraded and 80% of the rooms were finished. Fortunately for us we got a room with AC as it made the air in the room fresher. Our included breakfast was broad and delicious.Our biggest drawback was the condition of the beds. We got two twin beds in our room and in both mattresses you could feel the coils sticking out. In one of the pictures I uploaded, you can see the bed sinking in the middle of the mattress. This is why I'm giving a low score for comfort. This made it difficult to sleep during our four night stay.Most of the staff was friendly, especially the concierge. We noticed that the early morning and evening receptionists seemed inexperience and were not of great assistance to people trying to check-in after their long fights.Overall, I would not stay here again since I feel we paid too much for what we got.	
Sep 13 2007 	Pleased with the Thistle Westminster	After researching alot of hotels and preparing for a small room with an even smaller bathroom, we were pleasantly surprised with the Thistle Westminster. The room was big enough to accomodate our family of 4 with 2 twin beds (which were more like doubles) and and sofa. The bathroom was fine. Everything was clean and the service was above what we expected. We had a corner room and it was a bit noisy from the street traffic, but we expected that due to the location. The AC was broken yet our room was comfortable. The windows did open. It was close to Buckingham Palace, Victoria Station, bus stations and there were plenty of places to eat. All within walking distance. A good price for a good place.	
Sep 4 2007 	same as the rest	have to agree with everyone else. great location..would stay again just for that. Across the street from buckingham palace.They could not give us two rooms together although it had been requested months ago, one room was very small, one was ok.As everyone has said they have done nothing to fix the cooling sysytem so very hot(or noisy) in the rooms at night. English breakfast was fine and included in the L99 rate. The concierge was very helpful.Gave great bus directions.All in all a wonderful trip(but very expensive)	
Jul 26 2007 	Worst Hotel Ever	The worst Hotel I have ever had the displeasure of staying at.While we were out some body used our bath room and left it in a real mess , complained and in the end had to clean it up my self.The Air con in the whole building is broken and has been for quite along time and the rooms are that hot and air less my fammily could not sleep in it. Thistles answer is to put a portible air con unit in the bed rooms, its to noisey to sleep with it on and to hot to sleep with it off. IF YOU WANT A 4 STAR IN LONDON THIS IS NOT THE HOTEL FOR YOU, ITS NOT FIT FOR HABITATION. A TOTAL DISCRACE, THANK YOU THISTLE FOR SPOILING MY DAUGHTERS BIRTHDAY.	
Jul 24 2007 	Couldn't Fault It	What a brilliant hotel - we paid £99 for the double room which included breakfast. The hotel was clean, comfortable and very nicely furnished - our room had tea making facilities, complimentary toiletries and its own iron and ironing board! The staff were very friendly and most helpful. If we had required a meal in our room there was a quite comprehensive menu available. We decided to eat in the hotel restaurant and the food and service was very good, prices may seem a little high but not for a hotel in London (we paid £66 for a two course meal for two people with a bottle of wine). Breakfast was superb - I have never seen so much food - the selection ranged from melons &amp; grapefruit through yogurts and cereals to a full English breakfast. The food was well presented and the hot food was very hot!Our only fault with the hotel was a problem with the air conditioning as it did not seem to be working, the rooms were very hot and stuffy, however, almost as soon as we'd got to our room a member of the hotel staff turned up with a large floor standing fan! The location for us could not have been better - we were in London to go to Buckingham Palace and were delighted to find we were within a couple of minutes walk from there. There were also plenty of bars and restaurants nearby and for sightseeing purposes 'The Big Bus Company' had a stop right outside.All in all an excellent experience and one I'd like to repeat.	
Jul 20 2007 	Not a bad hotel Great Location but no air conditioning!	I had read both good and bad reviews but decided to try the hotel since I only needed it for one night and the location was really good. Additionally, for Central London the price was really suprisingly affordable and included breakfast. Upon arrival, we were greated by really nice staff who found our reservation with no problem at all. The trouble started when we reached the second floor and stepped out of the elevator----and were greeted with a very warm blast of warm, musty air. As we walked down the hall, and saw the housekeeping staff carrying fans we immediately knew we were in for a very warm afternoon and evening. After some inquiry--we were told the AC was out but they were working on it. I guess my major complaint is that I kind of wish I was told that when I was checking in and maybe had been offered another room at another close by Thistle hotel. I know London is not the warmest of cities and an open window can do wonders but this was really quite unbearable.......I actually had to take a Sominex to be able to sleep. The pillows were also really hard. I could have lived with the outdated 1973 decor, because the room was really clean, the staff was really nice, and you could tell they were trying to do their best. But I think management should have done something a bit more for the guests who all came out of their rooms beet red and perspiriing! I would suggest that you call ahead and make sure the AC is functioning before you commit to the Thistle Westminster.	
Jun 27 2007	Not the best	Disgraceful, We stayed here recently. Room was a joke, hardly any toliet roll. Shower thermostat was either roasting hot or freezing cold.Double bed was more like single and half. The chamber maid could not read a simple sign of &quot;do not disturb&quot; and woke us at 8.30am after only getting in at 4.30am. No air con and the room was so stuffy.No drinking water in the room or bottled water supplied my partner does not do hot drinks either.On a positive note the hotel is 2 minutes away from Victoria and without the maid, staff were fantastic. A credit to the hotel.	
Jun 20 2007 	Room barely OK; staff great	My mother &amp; I stayed here for 4 nights in May. The beds were the worse thing - they obviously sagged and you could feel the springs. Bathroom had mold in the shower, no washcloths on several days. Rugs very old. Luggage hold broken - I called and requested another - it never came - had to keep our luggage on the floor. Stuffy and hot - cooling system dials didn't work - was able to turn the fan on and that was it. It was in the 70s and it was as hot as we could stand it to sleep. I would never stay there if it was in the 80s. Consierge very helpful and saved us from missing a tour. Restaurant staff just barely polite - not friendly at all. Smoking is allowed in one public area off the bar and tends to go into the lobby. Location is great.	
Jun 18 2007 	great hotel	My wife and I were in London for the first time. We flew into Gatwick and wanted a hotel that was easy to get to and was near the main attractions. Got the Gatwick Express train into Victoria. The hotel was less than 5 minutes walk. Had read reviews on Tripadvisor and the hotel seemed like a good choice. We were not disappointed. Yes the outside is a bit drab but our room was a good size and was well appointed although the air conditioning could have been better, but that said, couldn`t find and other fault. The reception and lobby were very nice, breakfast very good and we had an evening meal which again was very good. We were only a 5 minute walk from Buckingham Palace. Plenty of restaurants, pubs etc in vicinity. Tour bus stops right outside the hotel. Would definitely stay here again. D &amp; S Northern Ireland	
Jun 14 2007 	fairly good..	Was with my wife at this Hotel early May. Very convenient location and anmenties fairly good (interesting biscuits and coffee). Morning call was timely. However was having problem with the access card quite frequently. Also no minibar..The recept was courteous and the conceirge especially helpful with our selection of tour package. Definitely a plus.Generally we still expect more value for the price it is charging.J&amp;S_Singapore	
Apr 23 2007 	Excellent	Staff were wonderful, friendly and very helpful. Room was clean and very tastefully decorated. Only complaint was that there was no mini bar in our room it had been removed and as my husband was doing the marathon and it was a very hot weekend it would have been handy, but it didn't spoil our stay. It is in such a convenient locaton you can't go wrong.	
Apr 19 2007 	Lost in the 80s	Hotel in a very poor condition, some places have this advertised as a 4* hotel but I think it would struggle to get a 2* rating now. Some of the problems with my room:* Hot water tap would not turn off in first room allocated* Only single beds available* No ventilation in room other than to open window to busy street* Extractor in bathroom did not work* Mould growing in bathroom* Mini bar removed from room. Water only available from room service at £3.60 per bottle* Exposed screw heads around room where it appeared fixtures and fittings had been removed or broken off* Curtains only stayed closed with chair wedged against window* Bathroom had only 2 hand towels and 2 face cloths, had to request towels from room service* housekeeping knocking on door at 08.00 on day of check out The Thistle website calls the hotel &quot;modern deluxe hotel&quot;, looking at the rooms it looks like they have not been touched since the 80s.	
Mar 29 2007 	So-so but not good for business travel	Whilst the hotel itself was average &amp; I am sure is quite fine for tourists, etc., I am not sure if I was going to London for work again, I would use this hotel.A few colleagues checked in before I did; they were allocated smoking rooms. Our company policy is that we only ever book non-smoking rooms, so this was the first problem. After many phone calls - things were finally resolved.When I went to my room, there were two twin beds. Again, our company always books us a double bedded room. It was like being 6 years old again having to sleep on such a narrow bed. Next was trying to set up a wake up call. I know I have an alarm on my mobile, but I always worry my battery will go on me, so I like to have a back-up plan. Trying to set the wake up call was a nightmare. You have to go through a very complex process that also sets up the rooms voicemail; but if all you want to do is set a wake up call, it takes forever to get to that option. This robbed me of 5 minutes of valuable time when I could have been working. This may sound petty, but the next morning the call actually came at 06:50, when I requested 07:00. This may sound picky, but if I had wanted to get up at 06:50, I would have set that as the wake up time. 07:00 means 07:00 in my book.Althought there were many lights in the room, it was still very dark. Not sure why this was - at one point I put on every single light and it still was not enough light to see by. Especially in the bathroom - not good for ladies trying to apply make-up.Earlier reviews have mentioned the fact that there is one sheet between you and the mattress, with no mattress cover. I found this very creepy, so I put on another sheet (from the spare bed!) Surely they should have mattress covers that can be laundered.The voile panels covering the window were nearly black with grime from the busy street below. It wouldn't go amiss for the hotel to launder them occasionally. This brings up the point about street noise. Yes the hotel is in a very busy part of town and there was a mild amount of noise, but after 23:00, it was significantly reduced (keep in mind I was there on a weekday - might be worse on a weeknight).Having said all that, I am sure if you are a tourist and need a hotel with the usual ammenities in a good location, you could do worse. I didn't have the breakfast - but I am told it was fine. And it is within walking distance of Buckingham Palace.	
Mar 8 2007	Not that good really	We had a number of issues right from the start of the booking. The hot water... well there was none. The room was adequate but is definitely in need of refurbishment. Like other London hotels, some of the staff seemed put out with the simplist of requests which is a shame really. It ranged from unhelpful to completely ignoring us There are some positives though. The main reception is nice and the restaurant serves one of the nicest breakfasts that I've ever had. The Head Receptionist was extremely helpful... when she was around but seemed to have 101 other jobs to do (unsurprisingly). The hotel does have a lot of potential but I think Thistle need to spend some time training in customer service techniques.	
Feb 25 2007 	Don't be put off by the exterior	The exterior of the hotel is not very attractive but don't be put off by this.We travelled with our two children aged 6 and 9 and our room was excellent. Plenty of room with two king size beds.The breakfast was very good and the staff helpful and friendly.Location was really good, very close to Buckingham Palace and five mins walk froim Victoria Tube/train/bus station.Would definetely stay again.	
Feb 14 2007 	Just OK	The room was ok, the location was great but the there was some issues. We stayed on a Saturday night after a night at the theatre, the hotel was quite noisy with doors banging and loud tv's. The worst was the chambermaid knocking on the door at 8.30am Sunday morning when checkout was not until 12pm.	
Jan 6 2007 	Wonderful Courteous Service Helped Make Our Trip The Best!	We stayed here December 28th through December 31st 2006. The room was very neat, clean and comfortable. The TV had some nice BBC channels to relax with at night. We really enjoyed the breakfast which was included with our stay. The food was good and there was a fantastic variety. The concierge was absolutely the best. He consistently helped us with any need we had such as directions, getting a cab, hooking up with a tour and getting our airport connection. The location is second to none with many London attractions within easy walking distance. If there was anything not within walking distance Victoria Station was very close by.	
Jan 4 2007 	Great location friendly staff	This hotel is in a great location (close to Victoria Station) and within walking distance of most sightseeing. The staff was very friendly and helpful. The concierge service was great with helping book tours, marking routes on maps, hailing cabs and got us three tickets (fabulous seats) to a sold-out &quot;Mary Poppins&quot;.The hotel was clean and the maids came to our room everyday. I did have to request extra towels and face cloths, but they were delivered without delay. The room was small, but not cramped with two adults and one child. The only thing that was disappointing to me was the breakfast. I did not eat breakfast at the hotel, but the buffet did not look overly appetizing. Service in the bar area was good.I was happy with this property and I got what I expected for the price and would stay there again.	
