	Warning this hotel overbooks rooms	This hotel over books rooms and tries to relocate you to hotels several miles away, in my case 13 miles away in the middle of nowhere.	
Nov 3 2008 	Great location and tiny room	I stayed at Radisson Edwardian Berkshire Hotel in the end of October 2008 in connection with a short business trip to London. I booked the hotel in advance and paid 188 GBP. When I arrived, the check in was very fast and I was assigned to room 801 which was on the top floor When I first came into the room I found a small room but I was prepared for this based on the reviews that I have read in advance. But the room itself was quite nice and seemed very organized and tidy at first glance. On the floor there was a “rough” carpet and the walls were in light colours. I had a queen size bed, a small table and chair, a wardrobe and a centrepiece containing the Bang Olufsen TV on top of a minibar and safe. The furniture was in dark wood and it made quite a slick contrast to the carpet and the walls. The bed was not bad at all but I would have preferred a proper duvet as I was freezing all night long when I stayed there. I discovered that there was a tiny temperature controller by the door….but I only found that the next morning.The bathroom had dark tiles on the floor and light tiles on the walls. The bathroom furniture was quite modern so I think it must have been refurbished not too many years ago. There were not that many amenities by the way: dispensers with soap and lotion, shower cap and shampoo in the shower. The bathroom was quite cold as there were no heating in the floor so the big mirror fogged up after taking a shower. It was not that easy controlling the temperature of the water in the shower either and it felt like it varied every time someone used water in any of the other rooms. But the shower was great with a proper glass door to avoid water splashing.The location of the hotel is great. Once you step out of the door you are basically seconds away from Oxford street and right across the street was Bond underground station.The breakfast buffet was also very nice. There was a nice selection of egg, bacon, sausages etc. ConclusionRadisson Edwardian Berkshire Hotel was not bad at all. The location is excellent and the rooms are modern. The rooms are tiny but what more do you need if you are only there for a night ? As usual the internet was free and that is always a plus when you are on a business trip.	
Aug 9 2008 	Good location	Great location just on Oxford Street opposite Bond St tube station. 3 mins from Selfridges and grosvenor square.Problems were a/c didnt work the first night and as you cant open the windows due to the noise we didnt get to sleep. Also the fire bells went off twice for just enough time to get you dressed then went off.], at about 2-3 in the am. :(The rooms were small but well appointed and it really is a very good location, but you do need ear plugs. staff were helpful and shifted us for the second night, however concierge mentioned they get complaints that its too hot in summer and too cold in winter. With all that I'd stay again with decent ear plugs.	
Aug 4 2008	Great shopping location small rooms	This hotel has a great location on a side street of Oxford Street, next to Debenhams, and 30 seconds from Bond Street tube station. However, the hotel and rooms feel small and cramped, with a reception area smaller than my living room, tiny lifts and small rooms. My standard room contained a double bed and a small round glass table under the wall-mounted tv, and that is it - not even room for a chair, so if you need to use the computer (free wifi is available) you have to perch on the end of the bed. I liked having the free wifi though - nice touch as too often hotels charge for this. The rooms were fairly stylish and fairly recently refurbished, so no complaints there. It can be a bit noisy at night, though to be expected due to its location. Overall, I would recommend if you require a convenient location and not much else from the hotel.	
Jul 21 2008 	So so	This hotel is right on oxford street which makes for a great location. people seem to have problems with noise they think that will wake them up if they are facing oxford st but i was there 2 weeks ago and our room was right facing the street and when the windows are closed u hear nothing. Also at night the street is lyk a movie set it's completley bare so that's good.It's right next to all the good shops obviously and directly across from the tube station. Buses are also always there but getting a taxi on oxford st is nearly impossible. They avoid it unless they're customers wanna go there in which case they're fulll.Back to the hotel - at check in we moved rooms 3 times. Firstly i am from a family of five and we needed a room for 3 and a room for 2. We had specified a room for 3 but didn't find it in the first room as tehre was only one double bed. We didn't find it in the second room as tehre were 2 single beds so we had to go back to the first room, pull an extra duffle bed in and someone slept on the floor. That was dissapointing.The breakfast is nice - it has everything you need. Hot food and continental but the coffee is the worst thing in the world. Beware of the bar by the way that's on the ground floor next to reception - 4 pounds for a glass of water? i think not.	
Jul 16 2008 	great location decent accomodation	The Berkshire is one of few Radissons located quite centrally around Oxford Street, all quite close to each other. The location of this one is possibly the best, located practically on Oxford St., about a hundred meters from Bond Street station and a lot of excellent shopping locations. The lobby of the hotel is quite small, as was the room, which according to the receptionist was a deluxe room which we were &quot;upgraded&quot; to. I'm quite sure they didnt have any basic rooms left as I've heard of several stories where these Radissons have run out of rooms. anyway, I didnt mind the upgrade, the room was definately liveable and still certainly not the smallest in London.I was a bit worried about noise, so I was delighted to see a modern double window in our room which indirectly faced Oxford St. to my surprise though, the other of two windows was missing the additionalm thicker layer, meaning everything from the street was quite audible in the room. I'm not sure if the second window was broken or what, but it being the one next to the bed meant that earplugs came in handy.that was however the only complaint I have, otherwise I enjoyed the stay here and was more than happy with the location. well, only other thing I'd mention is the sliding glass door on the toilet, this fad many hotels seem to buy is just ridicilous. it benefits no one, really. the price I guess is what you need to pay in London, anything cheaper most of the time shows an obvious decline in quality as well,another option worth considering is the Radisson Sussex located behind Selfridges. perhaps a bit more spacious and slightly more slick.	
Jul 11 2008 	Great location room could use help	I just spent 3 nights at this hotel and was somewhat disappointed, but gradually grew to like it. The negatives: I booked the Business package on the website which includes internet and breakfast and is supposed to be a deluxe room. I requested a room away from Oxford Street that was quiet. They put me in 217 which is a low floor as I arrived at noon rather than their check-in time of 2 pm and it overlooked Oxford Street. It was noisy and emergency vehicles could be heard. There is no air conditioning, yet it was summer and quite warm, but they did bring a fan which helped. The furnishings - especially the mattress are tired and should be replaced. The decor could use a fake plant or something to soften it.The positives: Some of the staff were quite helpful. One evening, I brought back a curry from a farmer's market and the young man at the front desk kindly heated it up for me and served it in my room with dinnerware. The location is awesome! If you have limited time in London and want to get in quick shopping and the theatre this is so convenient.Will I go back? Hmmm - depends on if I can afford something nicer. I would have preferred a boutique hotel, but if I want to save money and have limited time I would consider staying there again.	
Jun 5 2008 	Great location	In general, we enjoyed our 4 -nights stay at this hotel. The location could not be better for transportation and shopping. Rooms are small, but confortable and very clean.Be aware when booking through the hotel's web site: it does not offer the choice &quot;smoking or non-smoking room&quot;. You have to ask for a non-smoking room as a special written request. As we are used to other web sites, where the choice appears in the first place, we did not made the request. When we arrived to the hotel, late in the evening, the clerck told us that &quot;as you did not ask for a non-smoking room, I have to give you the only room left&quot; and it was a little smoking room on the first floor. We felt cheated. If we had noticed that detail....!! We think the web site is prepared that way to give the hotel more flexibility, but that is not fair to the clients. Next day we got a non smoking room, but no discount or breakfast free; nothing apart of the apology of the clerk.	
May 27 2008 	Rather disappointing...	Had a Sunday afternoon flight from Gatwick and decided to treat myself to a nice night out in London the evening before...booked my room at this hotel through Lastminute.com at a fairly hefty discount. If I'd paid the full rate, I'd have been fairly displeased with what I got, but even at the discounted price I'd have to say this place was nothing really special. The only things going for it were the superb location and the fact that I could smoke in my room - something I thought government Nazis had outlawed everywhere!. Aside from that, there was the empty shampoo packet left in the shower by a previous guest (something one doesn't expect in a 4 star hotel!)...the rather meagre tea and coffee supplies(if you want more than one container of milk in your hot drink, that's the only drink you'll get, because the hotel provides two containers of UHT milk and that's it!)...and the completely outrageous food prices (£20 including tray charge for a continental breakfast, whereas a hotel of a similiar standard that I stayed in recently offers a full hot buffet AND Continental breakfast for two pounds less). The list thoughtfully provided to give guests costs of items in the room in case they decided to make off with them was really the final straw - next time I'm in London, I'll spend half what I spent last weekend and stay in a hotel that really knows the meaning of customer service!	
May 11 2008 	Excellent location to Oxford Street but terrible check-in	Stayed at this hotel as part of a theatre break weekend. The hotel's entrance is situated just off Oxford Street, the ocation cannot be beaten for access to the shops! Check-in was terrible, our room was not ready when we arrived (1pmi-sh) and was told it would be ready at 2:30pm - went for some lunch, returned and still not ready - this continued for the next hour, each time I spoke to someone different and was told only 10 more minutes........1 hour later someone finally took onus of the situation and we were finally let into our room!!Rooms were nice, lovely decor, quite spacious and had a lovely bathroom - not much of a view though. We received a complimentary newspaper each day and the breakfast was self-service and delicious. The staff at breakfast time were very attentive but staff at reception seemed a little vacant at times. They also had very little knowledge of the local area.	
May 1 2008 	stolen	I stayed at this Hotel for 3 nights..early check-in was allowed without extra charge.. this was good~but when I check mini bar, there's some missing bottles..so I noticed to the front desk right away.. not to charge me.also house keeper took my cell phone charger away on last day. and my cell phone was running out of battery..( it was my business trip... )	
Mar 26 2008 	Perfect Hotel for Weekend Getaway	Great location and a great hotel. Stayed in a deluxe room which was roomy and had an amazing bathroom. Would def stay again.	
Jan 30 2008 	Good Location for Oxford Street Shopping	Stayed here for 4 nights in early January 2008. Booked a deluxe room through the hotel's web site. Daily breakfast and newspaper are included in the package but newspaper was delivered to my room only 2 out of the 4 nights. Although the address is 350 Oxford Street, hotel entrance is actually on a dead-end side street off Oxford Street and is not well lit at night. If returning to hotel by taxi, it involved a &quot;diversion/detour&quot; before it can get there or ask the driver to drop you off on Oxford Street o/s Debenham for a quick short walk. Checked in online in advance but it did not expedite the check in process on arrival. The lobby is small and no staff was on hand to assist with baggage. Hotel staff were otherwise friendly and helpful. Breakfast selections were okay but did not eat at the hotel otherwise for lunch or dinner. My room faces Oxford Street but the window noise insulation was quite good and was not bothersome except for the occasional emergency vehicle siren. The hotel is just off Oxford Street across from the Bond tube station. Excellent location for shopping and access to transportation. The overall condition of the hotel and my room are good except for the mattresses and sofa in my room were near the end of their useful life. Housekeeping was good.	
Dec 4 2007	Style over substance	Stayed here about 18 months ago in a small room with a small bed so have avoided and tried to stay in hotels at a similar price where you can walk round the bed and get a bath. Was booked here last week and thought I'd try it again, specifically asking for a bath through the agent - when I got there spent 5 minutes whilst this request was considered, discussed with the other receptionist and then the manager. I was then told that they were graciously upgrading me to what I would get for the price at many other hotels in the area. The room was noisy as it was at the Oxford Street end, the bathroom noisier and the cold blast from the window over the bath unpleasant. A triumph of style over substance. Would go again if the only alternative was the Sussex!	
Nov 27 2007 	What is there not to like? It´s just great	This is now my favorite hotel in London. The location is great for shopping. There are a lot of little things that are to my liking. The bathrooms have plenty of shelves for cosmetics and they have Q-tips and cotton wool balls! There is wireless internet included and the breakfast was good. The staff were extremely helpful also.We had our 18 year old daughter and her boyfriend with us and both rooms were roomy and comfortable.We also had dinner in their restaurant and it was excellent.I will definetly stay there again.	
Oct 7 2007 	Horrible hotel well situated	Horrible dark and dingy hotel with peeling wallpaper, scummy bathtubs, rotten carpets and an awful smell !! Two room changes. No difference.And I forgot the building works. Drilling from 8 in the morning.Absolutely shocking. I will never stay in a Radisson group hotel again.	
Sep 22 2007 	Wonderful week	First the &quot;bad&quot;: The room itself was a culture shock. Extremely small for the price. Amenities are rather lacking and the bed was small by American standards.The &quot;good&quot; far outweighed the size of the room: The hotel is extremely well maintained and spotlessly clean. Service was excellent.The staff could give lessons to their counterparts in America.They are extremely polite, very helpful, and most importantly, very friendly. The concierge personnel went out of their way to help me navigate the city, explained the Tube system to me, and mapped out paths for me to follow to the various sites I wished to see. I walked most of London and when I'd return to the hotel, the lounge staff would make sure I was okay and then leave me alone until I raised an eyebrow or looked their way and then brought me a cup of tea or coffee. (If you are American, drink the tea. British coffee is terrible.)Just an aside, I asked the concierge about a particular restaurant and was told not to eat there because I wouldn't enjoy a &quot;British&quot; steak. Instead a Tuscan restaurant (almost everything is now Italian around Oxford street) named Caldesi was recommended. It is approximately 4-6 minutes from the hotel on foot. The food is superb and the cappuccino was the best coffee I had while in England.All in all, the staff of the hotel made my trip to London a very wonderful experience and was well worth the cost. I am ashamed to say I didn't write down the names of the staff. I can't say enough about what a wonderful experience they made my trip. I can only recall a young lady named Barbara who served in both the restaurant and lounge. Her attention to my needs was terrific.Finally, Londoners are a great people. Friendly and extremely willing to help you find your way about. Especially if you have a southern American accent. (tongue in cheek.)Richard Palmedo	
Sep 18 2007	Fantastic Location!	We stayed here for one night and were very pleased. The hotel is situated right on Oxford Street and is perfect for shopping! The hotel itself is spotless, the room was well furnished and had everying thing you would need for a comfortable stay. The only thing I would say is that the air con. is quite noisy at night. Breakfast was excellent with something for everyone. Only a stone's throw from two tube stations, and very reasonably priced - we would definitely return again due to its central location. The staff are very friendly and helpful. We were able to leave our bags at the hotel for a few hours after checking out with no charge.	
Aug 30 2007 	Excellent Service	I won a 5 night trip to London and was placed here by the agency handling the arrangements. My family of 3 couldn't have been happier. We all agreed this hotel offered the best service of any hotel we've stayed in. The staff was very accommodating and kind. The room was lovely and although Oxford Street is bustling and we could see it from our window there was very little noise and had no problem sleeping. The beautiful marble bathroom was a nice size. We didn't eat in Ascots but did enjoy the bar menu. The included breakfast was also very nice and offered a wide variety. We were very, very pleased with our stay.	
Aug 29 2007	Not Good	Not a great experience. I had a room you'd be hard pressed to swing half a cat in. The TV didn't work properly. Radio 4 was completely inaudible. Air con was loud. Thankfully, I wasn't paying, but if I had been then my complaints would have been long and loud.Staff were perfectly nice, but on my experience I'd avoid it if you can.David	
Aug 2 2007 	Perfect location for shopping!!	Every year I go on a mini break to London with my mum. This year we chose the Berkshire Hotel. What a find!!You really cannot find a better location for shopping on Oxford Street. Handy if you intend to purhcase alot as you can simply drop your bags off in your room and head out again.The breakfast was of a high quality with plenty of choice. The rooms were decorated to a high spec, very modern. Only downside was that we didn't have a bath, but did have a double shower. The staff were all very friendly and helpful.Security is good as you need to insert your room key to gain access to residental floor in the lift and stairs.All in all we had a wonderful 4 days staying at the Berksire Hotel in Oxford Street and would recommend it to anyone!	
Jun 28 2007 	excellent experience	I enjoyed the hospitality of the Radisson Berkshire for 4 nights in early May. Travelling solo I only needed a single room which , whilst on the small side provided a very comfortable double bed well appointed bathroom and a good quality televison. Staff were very welcoming at check in and check out. I greatly enjoyed a traditional english breakfast of the highest quality in the hotel's breakfast room which also had a lovely traditional ambience.Location is sensational , next door to debenhams and metres away from the Bond street tube entrance. However being right on Bond street you can hear the street noise if you are in a room close to the front of the building. Daily newspapers and free internet access in their computer room were welcome bonuses. highly recommended hotel.	
Jun 15 2007 	great location	We stayed here last weekend for our fifth anniversary, and booked it though lastminute.com under 'top secret hotels' - what a great deal! The location is fabulous, you walk out of Bond Street tube station and the hotel is right in front of you.The decor is very stylish and comfortable. Rooms are on the small side, but if you are staying a long time in your room then shame on you - its London! We stayed on a room only basis so can't comment on the breakfast.Down side to the hotel is the noise, being right on Oxford Street you can hear the traffic and the beeping of the pedestrian crossing.Overall, if you're looking for a chic hotel that is a great base to explore London this is the right hotel for you.	
Jun 13 2007 	Great location for shopping	If you intend to do some shopping, then this location is perfect. The rooms are small but so very comfy. There are computer terminals for free internet access (husband surfed the web, while I shopped). The bar is nice in the evening. I would only stay at the hotel if you have already been to London before or are there for several days. If you are only there for 1-4 days, I would pick a hotel closer to Westminster where all the tourist sights are. But don't think you'll get away from the tourists at this hotel either. Oxford Street is very busy. There are lots of side streets to explore. Many dining and bar choices as well all around. There are also a lot of pedestrian only streets for shopping and eating nearby..	
Jun 2 2007 	Excellent location	Ideal location ....However the hotel isn't particularly good. Nothing to feel amused or let down. The service is ok....It is quite a small hotel...particularly the reception area without a lounge area.	
Apr 10 2007 	Smart Hotel close to shops 	Booked this hotel as going to see a show in the Palladium Threatre (7 mins walk away). Ideally close to Oxford Street - hotel entrance on side street right beside Debenhams which proved to be a good landmark when wanting to return to hotel. We had booked a twin-bed deluxe room which although not big was spotlessly clean with lovely bathroom. We overlooked Oxford Street (Room 519) which could have been noisy if you opened the windows but the air conditioning worked fine. Breakfast was a hot &amp; cold buffet and staff pleasant. We booked via the hotel chain online and had no problems with our booking - receiving a welcoming e-mail one week before travel. From previous experience of hotel chains in London you should always try to book the best room you can afford as the quality is always less in London. Have no complaints regarding this one. It is right beside Bond St tube station with easy links to other attractions. Staff helpful and kept our cases even after we had checked out so that we could go shopping.	
Jan 2 2007 	Great service Convenient spot for shopping	We stayed at this hotel in December after Christmas with another couple. We had two rooms there on the same floor. Our stay in London was strictly a shopping trip during the big sale in London after xmas. The location is awesome. We mainly shop at Selfridges and along New and Old Bond Streets. All within walking distance from the hotel. The staff has been very helpful. They helped us arrange tables at nice restaurants, even at New Year's Eve. Very nice and modern decor in the rooms. Very good value for the money for a nice room in the center of West end London. We are definitely coming back in our next shopping trip to London.	
Dec 21 2006	Noisy and cold - never again!	My boyfriend and I stayed here after my office Christmas party this week. The hotel is in a great location, right in the West End and hence I also understand that there will be a certain amount of noise from outside. However, I didn't bargain for the beeps of a pedestrian crossing going off approximately every 10 seconds from the first light of dawn. On closer inspection of the window, it was only half double glazed which would also explain the icy winds coming in on the coldest night of the year so far!Our mood wasn't improved by the breakfast delivered to our room - on time, but freezing cold and shrivelled up - totally inedible.I expected more from Radisson, having stayed at other hotels in their group and been pleased with the accommodation there. Never again for the Berkshire!	
Dec 13 2006 	Very disappointing	I had what I experienced as a nightmare of a stay at this hotel as from Dec 8th until Dec 11th.I booked by Internet, and was sent some welcoming reminders from the hotel with weather forecasts etc. before going. I had great expectations, and had a booked a &quot;Let Loose In London&quot; offer in a deluxe room, and I also had great memories of the hotel after staying there a couple of years ago.The offer was described as including the following:Accommodation Full English breakfast VAT at 17.5% Let Loose voucher booklet given upon arrival. Pass is full of exclusive London offers from The Comedy Store, Natural History Museum, Vinopolis City of Wine, Victoria and Albert Museum and many more The DeLuxe room was described as containing:Deluxe roomsKing or twin deluxe bedrooms are more spacious than standard bedrooms, with a king size bed or two single beds. Deluxe rooms also offer a seating area with a sofa or chaise lounge, turn down service and bathrobes and slippers.I was given a small and most standard and poor room, I never obtained any voucher booklet during my stay and I was even told in the breakfast room the first morning that breakfast was not included. When I asked a lady in the recpetion about this and told her that I was on the Let Loose In London offer, she reluctantly wrote in the system that I was supposed to have breakfast inclusive. (Nevertheless the breakfast appeared with a charge on my bill when I checked out, but I refused to pay it and it was deleted). Nothing else happened, and as I had not printed what the offer included I became uncertain of what was in the package and let go with the treatment they gave me.I will also mention the disappointment in finding the room undone when I returned in the afternoon (I had turned on the green light for &quot;Please clean the room&quot; when leaving in the morning), and that I had to ask them to refill the minibar after it had not been done for two following days.A most disappointing experience, and they broke all my expectations of a comfortable and nice London stay.Let me add that I have written a complaint to them after returning home and having found the scope of the offer, as well as a complaint to the chanin's customer service department. It will be interesting to see of they care enough to give me a response....	
Oct 29 2006 	Great Hotel	We stayed at this hotel for 1 night as part of a theatre break in London.Although it was a little small, the room was clean and very quiet. We had arrived earlier than the stated check in time and the hotel took our bags, so that we could go and enjoy the shopping delights of Oxford Street!Our rate didn't include breakfast, however this was available for an additional £16 each. Personally, I wouldn't bother, as there are several Starbucks or cafe's around within a few minutes walking distance.A great hotel in a fantastic location, especially if you would like to be close to all the shops and directly opposite the tube station (Bond Street).The only negative was the bathroom was very small (but clean), however, for a few nights stay ie a weekend trip, it is adequate enough.Would stay here again and reccomend it to others.	
Jul 20 2006	Great Hotel	Just got back from staying at the Radisson Edwardian. Was a little apprehensive about staying here after reading the other reviews but was pleasantly surprised.The hotel is very stylish, staff very friendly, the room not too small (standard) but very upto the minute, clean and facing a side street so not too noisy. The bathroom is really modern. The bed and pillows are very very comfortable. The only slightly negative points are the lack of two bedside tables (there was one on one side) and clock, also the marble floor in the bathroom is very slippy went wet. Having said this, the location is perfect, the bar is trendy (but expensive) and the restaurant is worth a visit. Will stay here again the future.	
Jul 12 2006 	London Hotel Surprising	Stayed for one night on business in June 2006.Nice enough hotel if very expensive. I expect less from London hotels than anywhere else in the country, as such this was a good hotel. Room was small but ideal for one person.Caters for tourists in my opinion rather than business.Great location as over road from the tube.	
Jul 3 2006	Confirmed 	Our reservations were confirmed and PAID FOR two weeks ahead of time, but this didn't matter. The Radisson overbooked and then shuttled customers to other Radissons in the London area. There were no comps for this inconvenience, no coupons, nothing except a weak &quot;I apologize.&quot; The Radisson hailed a taxi to take us to the other hotel. The taxi driver told us he had been shuttling customers between the various London Radissons all day. Evidently this is a well know fact in the London area. DO NOT STAY AT THIS OR ANY OTHER RADISSON IN LONDON. They are all participating in this unethical, but not illegal activity. Forget that the customer selected a particular Radisson for it's location, or past experience, or a friend's recommendation. None of this matters to the Radisson organization. Remember when you book with Radisson in London, you know not where you will actually be staying. From a business view, I understand how this happend. I had booked a Saturday night only because we were traveling from Edinburgh to London and then flying home the following day. It was the Queen's birthday weekend, the weather was beautiful and there were other special activities in the city. I was knocked to the &quot;unimportant&quot; category because they had several reservations for Thursday-Saturday night. This is exactly why a person pays ahead and has a confirmed reservation.I have never written a review, but this situation was so unacceptable that I had to tell others.	
May 30 2006	Fab hotelfab location	We stayed at this lovely hotel located right off of oxford street after a freinds wedding in town.The hotel has been completley re-furbished with lovely marble bathrooms &amp; one of the best nights sleep I've ever had.The staff were also extremely friendly which made a pleasent change.Highly recommended &amp; fab location especially for tourists.	
Mar 28 2006	Not to be recommended	We stayed at this hotel yesterday for one night only and were not impressed. Ridiculously small reception area, no public rooms to relax, tiny lifts and even smaller bedrooms! You cannot swing a cat in them. This combined with appalling room lighting (non-existent or &quot;full prison compound&quot;), a tiny, poorly equipped bathroom and it's noise levels due to proximity to Oxford Street make it a hotel not to be recommended.TW, Coventry, England	
Mar 14 2006	Disappointing!	Booked last minute for an annisversary, stated that it was a 4* deluxe. first impression, great location for shops and tube.Hotel itself,our king deluxe room was fairly standard, it had an overpowering smell of fresh paint.So we asked to be moved. Which they did! Eventually got a room that was of similar size to the one was had paid for, but the previous guest had left a little suprise inside the toilet! We were reliably informed by reception upon informing them,that his name was Mr Bennett!! However, we were offered two free breakfasts, which are not worth paying for! The following morning, we were woken up by workmen in the room next door at 8am. There were no robes/slippers in the room and the free paper didnt arrive! On the whole disappointing, not worth the £145 paid for it!	
Jan 26 2006	Extremely Average for a Radisson	Location for this hotel on Oxford St is excellent, also being close the the Bond St Tube. Service from the staff is at best poor, with them often being rude. Rooms are clean and recently refurbished. Lifts are a nuisance, being small and often out of service. Rooms can be noisy, particularly on the higher floors.	
Dec 30 2005	Disappointed On The Whole	Hotel location was perfect for the purpose of our visit (sales shopping) and well connected with Bond Street Underground directly opposite. On the whole the hotel is very small, room/bar/restaurant and the service was poor to average (especially in the bar). The hotel has 2 lifts (again very small 4 person capacity) one of which was broke for the majority of our stay resulting in taking the stairs to the 6th floor on several occasions. Having stayed at other Radisson Hotels we were disappointed.	
Dec 8 2005	bad Radisson no cookie.	I stayed at the Radisson edwardian Berkshire thinking I would be safe with their Radisson Edwardian brand name. I have since reavaluated this thinking after staying here. It was not at all what I was expecting or hoping for.The only advice I can give you if you're planning to stay at the Radisson Edwardian Berkshire,- Look closely in the rooms to make sure that it has actually been cleaned.- Bring your own soap for the shower, I wouldn't recommend a bath.- Avoid the breakfast. It costs a fortune and is a monumental disappointment. save your money and eat at a café instead.- Speak slowly and clearly to the staff.- Don't look at the Radisson Edwardian's website beforehand.I'll be staying elsewhere next time.	
Nov 17 2005	Good location but noisy and rooms are cramped bathrooms are tiny	I would be inclined to avoid the Berkshire on Oxford St again. (it's actually just off Oxford St on a little side-passage, officially called &quot;Marylebone Lane&quot;, which quite a few taxi drivers don't seem to have heard of.) The standard rooms are minute, with positively microscopic bathrooms. &quot;Deluxe&quot; rooms are quite nice with decent (soft-ish) beds, and tiny cramped bathrooms. Several annoyances include bath taps that can only be turned off by standing up in a slippery and somewhat dangerous manner, a tiny kettle to match the tiny rooms and round-the-clock loud vehicle and people noise from Oxford St. The staff are friendly but sometimes too helpful, insisting on hassling you for hours afterwards in their determination to &quot;deal&quot; with small complaints. The usual language problems apply, with concierges and restaraunt staff showing a limited grasp of English in some cases. Nearby car park is phenomenally expensive and nearby car parking spaces relentlessly patrolled by zealous central London warders. Great location but not particularly pleasant hotel for the price.	
Oct 27 2005	Recommended.	My parents come down to London once a month and I put them in a different place almost everytime - just so I can see the state of London hotels!I managed to book a superior room via Lastminute for £125 (it was a secret hotel but with some investigation it was easy to work out).The hotel looks freshly refurbished and rooms were fantastic. I noticed that some people complain about the space, but any room which can include a sofa and a coffee table does well in my book - especially for London (and being British I'm used to small rooms).The ground floor bar was ok, although the waiter had a serve shortage of champagne glasses (not very proffesional)! I put my head into the first floor bar/restaurant and both were desserted (Friday night) - I don't think this is a major problem as the location next to Oxford street is excellent for food/drink/shopping.Overall recommended.	
Oct 19 2005	Everything on your doorstep!	I stayed here for two nights in October; one on my own and the second with my man. For anyone booking a hotel in London for the first time, there is no such thing as cheap and cheerful. I got a great last minute rate of £119 plus VAT on londontown (the rooms are usually over £200) Even the dumpy 3 stars out in the suburbs are about £80, so I figured this was a good deal..The best thing about this hotel is location! It's literally on Oxford St, so for anyone interested in shopping, it's a great base, as it means you can pop back to the hotel several times a day to drop off any heavy bags, or just to have a nap or rest. Selfridges is 3 minutes walk away and the hotel is right next door to Debenhams. As I was on my own for the first night, I was glad that I could head out for a casual meal with my book, and stroll home safely on my own, without the worry of scary tube stations or dimly lit laneways out of town. The hotel is right beside some really nice (and really expensive!!) bars and restaurants, and also 100m from Bond St tube station, so it's the perfect city break location. The rooms are pretty small and a little noisy, but hey that's what you get when you stay in central London. Very modern coffee and cream decor, spotlessly clean linen, towels and sparkling bathroom, and of course yummy fluffy robes, minibar, and tea and coffee. The lobby is small, as is the bar, but it is quiet and discreet, and a nice oasis of calm after the hustle and bustle of Oxford St. Can't vouch for the restaurant as I ate out all the time. London rocks!!	
Sep 22 2005	TINY rooms even the deluxe - not like photos	Arrived midnight and checked out 1/2 hour later! After research I had settled on the berkshire as budget luxury. Knew the rooms were small after research but booked a deluxe thinking it would be bigger. It was a surprisingly hot still day and the room was so hot and stuffy found out quickly the a/c was broken opening the windows mad no difference was noisy and still. was informed there was no more rooms to switch us to that night but we couldn't have stayed in that hot room. was very disappointed to find out how poky and tiny it was. was lucky another hotel had a room and checked out.	
Aug 2 2005 	Clean Room Consistent with Radissons	The Radisson Berkshire is in a grrrrreat location. It's very close to Oxford Circle and it's shopping GALORE around the area. Additionally, it's a short walk to Bond Street for great eats and ... more shopping.I stayed at the Radisson for business since our office is nearby. It was really convenient to be able to walk to work, go shopping after work, meet up with colleagues to get cocktails/dinner nearby, and then head to the bars.The food at the hotel was &quot;o.k.&quot; Don't expect much, and you won't be disappointed. Bathrooms were clean (as always, which is really nice about the Radisson), and the people at the front desk were relatively helpful. I think Americans expect their &quot;deluxe&quot; rooms to be pretty large, and if you haven't been to London before, don't expect that. Expect your &quot;deluxe&quot; room to be S M A L L. But, try not to complain about that because does it really matter? You should be out on the town anyway, especially since the hotel is in such a great location. (Well, except the K-West hotel which was a pretty large &quot;deluxe&quot; room, except that it's FAR from central london)For business, the hotel is PERFECT. Getting Internet access was a breeze, and I never had connectivity problems (see my review of the K-West hotel).	
Jun 5 2005	Fab city hotel	Just came back from a weekend at this hotel - we were booked into a Delux twin room - beds were so comfortably, large sofa, huge TV, mini bar, marble bathroom with shower/bath, shower very powerful, luxery toiletries, bath robes, very good powerful hair dryer (a must for the ladies), tea and coffee, iron and ironing board. The room was fairly large and no noise from next door rooms. Staff were very friendly and helpful. The hotel decor is very modern and classic. The hotel is ideal for shopping on Oxford Street, Regent Street and close to some fab resturants on the Edgware Road. I would highly recommend this hotel and I will definatly stay here again.	
May 30 2005	what a great place!	I had a superb experience at this hotel. The (deluxe) twin room I booked was reasonably roomy with extremely comfortable beds and a decent sitting area.The bathroom was gorgeous. No bath but a huge shower with three different showerheads! All gorgeously marble and very clean. Good wardrobe space. Minibar was pretty useless but it was really cold (how often does that happen?!) so restock it to your spec!The common areas throughout the hotel were very stylish and well maintained and the staff were very friendly and helpful - check in took about 30 seconds!The location is what really sets is apart though. It is footsteps away from the main part of Oxford Street. Perfect for shopping and also perfect to stagger back from Soho after a night out.Compared to the other hotels in the area it is very reasonably priced. I highly recommend it and will be staying here again.	
