	Great location tiny little rooms mediocre service	Chose this hotel for its location - near to Green Park tube. Will not be going back again. The service was mediocre - sometimes good, sometimes standoffish and not helpful. The rooms were really disapointing - and the corridors were small with lots of steps up and down which is a pain.Overall well worth avoiding unless you get a great rate and don't plan to spend any time in the room.	
Dec 12 2007 	The Good The Bad and The Ugly	After reading numerous reviews on this hotel before travelling, I really was HOPING it would be better than expected. We've traveled to London before so I knew to expect small rooms, narrow hallways, and tiny elevators.... but this was a total disappointment.The Good: The location is excellent. You can walk to many key places from here. Shepherd's market was a nice convenience on eating options late at night. We LOVED the location. Our room was clean and in good condition. The bathroom and toiletries were also adequate. Breakfast was superb.The Bad: The odd stairs and sloping floors I expected because of the reviews. But the floors actually dip and have soft spots that can trip up even the sturdiest youth. The walls are thin, and we heard people talking in the hallways, and could hear guests in the room above us walking around. The Ugly: This hotel is designated as a non-smoking hotel. What a joke. The halls reek of smoke. It's in the very fiber of the walls and floors. At night I woke up three times thinking the building was on fire only to realize smoke was seeping into the room under the door. Then it occurred to me that people were probably going into the halls to smoke late at night rather than go out into the cold and the rain. It was not pleasant.The Extra: When we arrived we were greet warmly by a friendly staff. We had requested a deluxe large room since our 9 year old was with us. We were given room 129. Don't ever take this room. It was so small that we had to turn sideways to get around the bed. My daughter and I both banged our shins several times. My husband went to the desk and requested a larger room.... stating we booked a deluxe size room. By the time we left the hotel after 2 nights we were sick of hearing &quot;I'm sorry sir...but....&quot; They promised to deliver a small bed to the room for our daughter. We both busted out laughing. We could barely get ourselves and our luggage in the room - there was NO WAY a bed was going to fit. They apologized, comped breafast for the next morning and promised to move us. Now, if you've read any older reviews you will know there is a lovely view of a brick wall. This room has it! I actually laughed when we opened the curtain to a big gray cinderblock wall. Not to mention a glance to the right looked right into the window of the next room down. The 3 of us crammed into one queen size bed for the night - to tired to fight with the staff anymore. The next morning after breakfast they moved us to room 108. What a difference!!! This one looked out the front windows. It had tall ceilings, 2 sets of french door/windows, a sitting area, a chaise lounge, flat screen tv, and was very roomy. We were delighted! The only downside was the smoke coming in from the hallway at night. My summary. Don't take your kids to this hotel. It's probably perfect for a young couple who will spend more time out on the town than in the hotel.	
Dec 2 2007 	So fun and friendly!	I only stayed in this hotel for two nights, but I experienced the utmost comfort and courtesy! Even the smallest room has a large bath and comfortable bed. Any information I needed from the concierge was immediately available, 24/7. The whole staff are warm, friendly, and eager to help. If you have the opportunity, you should definitely stay here! It's only a block away from the piccadily line, a stopping point for many fun locations.	
Nov 24 2007 	Great Location	Overall we enjoyed our stay at the Hilton Green Park. The location was excellent and the staff very friendly and helpful. We got a cheap deal at the last minute and paid £63 a night, mid week, not including breakfast. If we had paid the full price, I guess we'd have been a little dissappointed, but we couldn't ask for more at the price we paid. I think we got upgraded to a larger room, prior to arrival, so the room was spacious and the decor modern, with a view over the quiet (for London) street. Our only negative comments are that some of the linen was stained and the walls and door frames in our room were very scuffed and flaky in places and could do with a repaint (everything else in the room seemed really new, so I don't know why they didn't paint the woodwork and walls at the time of the refurb). If you get a cheap deal, then I would definitely recommend this hotel.	
Oct 28 2007 	Not your Hilton class	The staff was nice and the location of the hotel is wonderfull. Nevertheless, if you are expecting to experience of good quality you may be disapointed. The hotel is located in old building, but that not explain dirty carpeting, holes in towels and dirty gray window treatments. First we've got the room at the ground facing the street, the noice was not acceptable, so we switched to the back room next to staircase that everyone used because elevatyors are very slow or not all of them working. Also we got charged $48 for 3 minute phone call to the London area cell phone. There is no free internet service in the hotel and such service actually cost $30 for one day use...uneceptable. The hotel was very pricey and the price did not reflect the services and accomodation...very disapointing.	
Oct 24 2007 	Handy for the buses	Good location for public transport and walking to numerous sites, on a quiet (for London) side street. Staff friendly, helpful and numerous. Bedroom very small, very dark, little drawer space, large TV. Bathroom OK, &quot;environmentally friendly&quot; towel policy negated by constantly replacing part-used toiletries. Breakfasts very good, large choice but no variation, twice in four days had to wait (up to 15 min) for a table but efficiently managed by head waiter. Dinners also very good (albeit overpriced but what hotel in London isn't) and adaptable to special diet. Just one minute walk away is an area called Shepherd Market, no market but 6 to 8 restaurants offering better value meals, we had an excellent dinner at Sofra, a turkish place very busy and friendly and also able to do a special menu.	
Oct 24 2007 	Mildly disappointing for the money	Stayed 1 night at the Hilton Green Park in London's Mayfair neighborhood. Quick review...THE GOOD:--Service was excellent all around, I was treated very well.--Location is great, lots to see and do in the area (though I was there on biz)THE BAD:--I was upgraded to their highest level room, and yet, it was a big disappointment. Floors were oddly sloping and uneven with soft spots,shower was laughably narrow, furniture was chintzy, walls VERY thin, and the room wasn't terribly clean.--Internet access costs more than $30 a dayGiven that I paid around 250GBP (around $550 USD at this time), I'd expect a lot more. Small rooms and limited services I'd expect in London, but the other stuff I don't. The place needs an upgrade on the rooms, and they should be embarrassed to charge that much for internet access.	
Oct 5 2007 	great location at the hilton green park	my husband and i stayed at this hotel from friday to sunday and got a good deal booking with the hotel directly which included buffett breakfast which was absolutely fantastic and 1st night evening meal which was also very good and quite alot of choice, the drinks are very expensive!! the staff were very helpful indeed. our hotel room was on the 1st floor a guestroom double which didn't have a very good view at all, but was nice, clean &amp; comfortable. it was our wedding anniversary while we were there, i mentioned this when booking and a complimentory bottle of wine was sent up to us just after arriving!!the location though is fantastic,and alot of sights within walking distance, or tube ride, green park tube station is a 2 minute walk away.	
Sep 20 2007	Great location upgrade your room for sure!	The location is great, right across from Green Park and walking distance to Buckingham Palace. The lobby is very small, staff friendly. I was first placed in a room that was on the ground floor, all the way to the back of the property, and up a strange set of stairs. This room was horrible, too small to move around, closet bathroom, no air. I was over a construction site and a bar, sleep was impossible the first night. The next day I was moved to a nice room on the 3rd floor near the elevator - what a difference! Much bigger room, queen bed, large bathroom, night and day. Definitely upgrade your room or you will be miserable.	
Aug 28 2007 	Great Location	Try and avoid room 127 - very small single and a view of a concrete wall, and no sunlight so the room is in darkness all the time. However a super team of staff and a great location.	
Aug 26 2007 	Way Below Hilton standards	When I checked into my room I could not believe that Hilton would actually put their name on this hotel. I had received a roon upgrade at check in, but even my upgraded room was well below the standard that you would expect from a Hilton.The rooms had no air conditioning, and the decor and furniture seemed very cheap. The rooms were small, but that is expected in London. I have stayed in another Hilton hotel with even smaller rooms, but those room were still of a much higher caliber than those at Green Park.My room was quiet,clean, and the hotel provided a decent breakfast. Location was good, but I would definitely hesitate staying here again unless the hotel goes through a major refurbishment of their rooms and airconditioning.	
Aug 17 2007 	Good location but I wouldn't stay here again	Nice location, just off Green Park, near the Underground. Staff were also very good, but I was not very impressed. Very small rooms (single beds!) with no A/C or bathroom fans. There was also construction right outside my window, so there was no sleeping in. Last, there was next to no TV channels, so if you are like me and up at night getting used to the time difference, I hope you like soccer...sorry, football. It was clean, so no major complaints, but there is better value for your money out there.	
Aug 13 2007 	A really good stay	We booked to stay at Green Park and mixed feeling's due to the reviews we have read. But on arrival we were shown two rooms and chose 343 which was very accomodating but as other people have said there is no A/C so very hot, but saying that we had a comfortable stay.The bathroom window overlooked the old Tavern Ye Grapes and was noisy but only for the Friday night and that was only untill 11.30pm.You will not get view in this hotel as it is down a side street but for location you cant beat it.If you have not got breakfast in you deal dont spend the £20 as there are a lot of eating places nearby example Katies full breakfast £4.We ate in the hotel restaurant on the 1st night and the food was excellent and being a hilton member I used my loyalty card for 50% off on the food but the drink was anothr matter 2 spritzers £16 well overpriced and they automatically take 10% for service. If you are looking for a cheaper drink look for Samuel Pepy's just around the corner from Tesco's.Saying that we would stay here again the staff are lovely.	
Jul 29 2007 	Good all round hotel	The best way to describe this hotel is there is nothing truly outstanding that makes you go wow, instead they do everything very well. We had two interconnecting rooms for three nights for a family of four. The children aged 9 &amp; 11 had to share a queen size bed even though two singles were requested. Our room had a king bed with a small two seater lounge. The childrens room had hardly any furniture and i thought our room had too much to the point that we moved it out of the way. The rooms were immaculately clean though there were some stains on the lounge. Both rooms had fantastic Plasma TV's and reasonably modern furniture. The bathrooms were a good size. The only fault with the rooms is there is no airconditioning (central heating in every room). We had a portable aircon unit that was new but took up awkward space and was rather noisy. Other than that the rooms were more than adequate. Breakfast was included in our room rate. We all absolutely loved the breakfast. Full english buffet. No complaints at all about breakfast, extremely well done. The staff were very helpfull especially the concierge who seemed to know the answer to every question including bus routes, tube stations, theatres the lot. This was very helpful. There was a mix up on check in with our reservation and only one room was reserved yet four persons was noted on our reservation with interconnecting rooms requested. Since we arrived lunchtime this couldn't be sorted until after normal check in time, this was not a concern to us. the hotel provided luggage storage and dual key safe facilities until we returned. We required a late 6pm checkout on our final day. The hotel offered us an extremely reasonable hourly rate until our departure. Location is 50 metres off Picadilly and about a three minute walk to Green Park tube station. Would definitely stay again.	
Jul 9 2007 	Worst Hilton ever!	Good location this may be, but an experience I would happily have missed. I'm a Gold HHonors member and booked two reward rooms at Green Park for a holiday break with family - unfortunately therefore not changeable, or I would have been out in a flash. Despite the Gold membership (supposed to give you upgraded rooms) the first room we were shown was dark, tiny,and on the first floor facing a working demolition site, with dust flying through the open window. Luckily the porter warned us on the way up about the construction! We were then moved to street facing rooms. Because of the different levels in the building a good portion of the room was taken up with stairs down from corridor level. There was just enough space to get round the bed, but &quot;cat swinging&quot; would have been impossible. The hotel had thoughtfully provided rubber guards on the exposed ends of the bed, as it was impossible not to knock your legs on the way past - an admission of defaet if ever there was one. A postage stamp bathroom had not even an extractor fan, never mind a window. The furniture looked like they bought up a bunch of Ikea rejects - a small desk which opens up to a dressing table mirror belongs in a boarding school, not a Mayfair hotel. No room to unpack into a three foot wide cupboard with one shelf, and not enough room for two suitcases to stand - the room may have done at a pinch for one adult, but was very uncomfortable for two. No airconditioning, London summer humidity and double glazing made the room like a sauna, day and night. An electric fan unit stacked into the cupboard worked only on one setting as the remote needed to operate it had no batteries, but was so noisy that you may as well have stayed at Heathrow. The worst part of it all was not directly the hotel's fault - after the traffic congestion charge ends at 6pm, the street outside turns into a short-cut racetrack for half of London cabs and cars, and particularly the Mayfair and Park Lane Maserati brigade, who accelarate as fast as possible from Picadilly past the windows. The problem was that with no aircon, the choice was living through the Grand Prix all night with a window open, in order to get some air in the room, or broil . Service was very patchy - the porters and concierge were excellent, front desk staff defensive and not very helpful (but probably exhausted by the many complaints which we overheard) and the bar staff downright rude. The only good thing - the breakfast buffet, which was world class. Never again, if you're determined to stay in a London Hilton, head for the Trafalgar or Paddington.	
Jun 25 2007 	Sub Standard Hilton Property	One star rating. Only positive and it is a minor positive is proximity to the West End and notice I say proximity as opposed to location.Checked into room 433, was told this was an upgrade.Outside the window of this room is a wall, you can see nothing but the wall, not that I imagine the view from of the front of the property is any better as this over looks another hotel. Billed as the Hilton Green Park I envisaged views over the park. They should call this hotel Hilton Piccadilly as this is a more acurate description of its location. The property is very tired as is the attitude of the staff. This hotel is in decline, it needs to be shut and refurbished. With the staff retrainedThe beds and the other furniture within the room have seen better days.There are much better hotels in the area for a lot less money and I will use one of these in the future. I regularly stay in Hilton Hotels (Diamond) and this is the second worse Hilton I have stayed in. The other is now no longer a Hilton (Manama, Bahrain) so there fore technically this makes this the worst.At over two hundred pounds a night it must have been Dick Turpin stood behind the counter because I was robbed.I could have chatted to the previous occupant of the room as most of him/her was still in the bath.Stay here if location is important and money and cleanliness is not.	
Jun 15 2007 	Location is about the only good thing!	This hotel has a great location, but that's about it! We booked three rooms in this hotel, all of which were extremely dusty and needed the carpets cleaned. After the first night, several of us developed a cough from the dust in our rooms. Additionally, this hotel does not have central air conditioning in the guest rooms, so the staff brings in a large unit that sits on the floor and is vented out the window, keeping the window open all of the time. This is an old hotel, with uneven, creaky floors, so that you can hear anyone walking by your room. We were extremely disappointed and would not stay here again.	
Jun 2 2007 	Clean and Comfortable Base in Central Location	Hotel is situated in a quiet street just off Picadilly. I stayed one night in May 2007 and was more than happy with the service. Rooms are clean and comfortable with modern decor. My room, a single, although quite small, had all amenties listed (except a Sony Playstation!) There is a bar and restaurant on site and the Hark Rock Cafe is just around the corner!Central location to explore London. A short walk past the Ritz Hotel takes you to Picadilly Circus, Regent St and Oxford St - a shoppers paradise! Hyde Park is close by and the upmarket Knightsbridge with Harrods and Harvey Nichols is a 10 min walk.A great base!	
May 29 2007 	No room for your clothes.	A reasonable hotel, although we were on the fourth floor and there were four steps from the door of the room and bathroom up to the room itself, not suitable if you are old or infirm. The room was also quite small, and very little wardrobe/ clothes space. Also no air conditioning so beware in the summer.Breakfast and evening meals were good,and service excellent.	
May 26 2007 	Modern clean and a great location	I stay in London almost every week and I'm always on the look out for good value hotels. This hotel is very centrally located, spotlessly clean with modern fittings and decor. I got a very good price - about £135 p/night but it included dinner and breakfast. I was told by reception I couldn't get my dinner as room service, but when I went to the restaurant they told me this wasn't a problem - they need to get their stories straight! I was charged £3.50 to have it delivered - not a problem. The room I got was on the ground floor overlooking several heating units and looking straight into the windows of other rooms, but for the price, I wasn't expecting anything else. I would say though that if the weather had been particularly hot, the lack of air con would have made the room very uncomfortable. There was quite a bit of noise from local bars which is a problem if you need to keep the window open. I suggest when you check in, you ask for a room on the higher floors.	
May 10 2007 	Just okay...nothing special	The hotel was just okay but certainly can do much better in London. It is right across from St. James Park and close walking distance to a few sites but it certainly wasn't anything that stood out. We got a pretty good rate because we booked in advance but when we wanted to add a night they wanted to charged us 200 pounds. There is no way the hotel was worth 200 pounds a night. The breakfast was fantastic but if you pay the menu price- its ridiculous because there are other great options just a short distance away for 5 pounds.	
Feb 25 2007 	Good location but nothing great	I spent 7 days at the Hilton Green Park for Business. The hotel staff was very nice and they were able to check me in early which was very nice. The hotel is down a side street which is very nice because you don't get much traffic. The lobby is very small but it is very clean and nice. The elevators are incredibly small so if you are afraid of closed in spaces this is not the hotel for you. Once you get off the elevator and walk down the hall the first thing you notice is everything seems small. When you walk in your room you realize WOW everything is pretty small. Every review I had read prior to my trip said the seats in the hotel room had stains and guess what? Mine did as well and that had me laughing. The room was very small but it was good enough for me since this was a business trip. The bathroom was nice and the shower was very big and water was always hot. The bed was nice and big and the pillows were perfect for my head. The Bar and Restaurant were ok and I didn’t have any meal that I could single out as great. The best part about this hotel is the location to all areas of London. If you are in London for a few days and want to see the sights this hotel is for you. You are going to pay a big price for an average hotel but this is London and you are going to pay anywhere.	
Feb 11 2007 	Great food and location room OK.	We stayed on a Hilton winter break for two for two nights with dinnerincluded on one of them all in for about £230. The location was excellent, close to the underground station and a very short walk from Buckingham Palace and Picadilly Circus. Not far from Oxford Street or Charing Cross. The food was excellent and the waiters were friendly and pleasant. The staff were generally great. The room was tidy, clean and fairly modern but not very spacious. That said, we didn't spend a lot of time in it.The hotel is down a side street so there were no noise problems from the London traffic.All in all we were very happy with our stay. The hotel doesn't have much in terms of facilities except the excellent restaurant. That said there is plenty to do nearby.	
Feb 2 2007 	Mayfair - almost	Location was great - one of the reasons for booking.Fabulous food. Staff very efficient rather than friendly, except for the waiting staff who went the extra mile. The room wasn't much to write home about - stain on the chaise longue and nothing but nets to cover the bathroom balcony window. Creaky floors too. Still, for the location and price it was a good deal and if you're after 5 star luxury there's always the Hilton Park Lane around the corner.	
Jan 31 2007	Good location so so hotel	I stayed here in early December and found the hotel to be decent. Actually, the location is all that makes it good; the hotel itself is nothing to write home about. It is very close to the bus and tube and easy walking distance to Piccadilly circus, Leicester Square, Buckingham palace, and most of the other central attractions. Because it was holiday season there were always people out and about, and even being alone I never felt unsafe, even walking back to the hotel at 3am! I stayed in 3 rooms over my stay, and all of them were small by American standards but decent for London, and quite clean. However, this hotel is “historic” meaning it is old and tired, even though they were doing restoration (I can’t call it renovations because it seems like they were just painting and replacing carpet). The floors creak, the hallways are long and rambling, and even the double paned windows didn’t quite keep out the street noise – although my second room was facing the back and was much quieter than the ones facing the street. I requested a non smoking room, and apparently they consider a “room I won’t be smoking in” a non-smoking room. So, the first room I was placed in was on a smoking floor and the halls and room smelled horrible. When I complained they told me it was their “biggest room”. Whatever. Moved to a smaller room on a non-smoking floor which was much more pleasant, so if it matters to you make sure you specify that the whole floor should be non-smoking and not just the room while you are in it. The beds are quite comfortable, and the bathroom is decent sized with a combo bathtub/shower. The last room I was in (extended my stay so they moved me to another room, which was the smallest of the lot but still adequate), ehad problems with the shower curtain, and every time I took a shower water flooded all over the bathroom floor. At least there were enough towels to mop it up! Other reviews have mentioned this, but there is basically no way to control the heating in the rooms, and they kept the hotel excessively hot. Even though it was winter and cold outside, I would open up the windows for at least an hour before going to bed so I didn’t sweat to death at night. The concierge was not even remotely helpful unless you knew exactly where you wanted to go and just wanted them to make reservations (and even then, they couldn’t get you into popular places). I asked for a good Indian and was handed a restaurant guide. Totally not up to par with other hotel concierge services, in London or anywhere else in Europe.My rate didn’t include breakfast so I didn’t spend the money on it, with Starbucks and Pret right down the street. Shepherds Market is right around the corner and has wonderful reasonably (for London) priced restaurants. Still, for all of its flaws, I kind of liked the hotel, and just loved the location. If I got a reasonable rate I would stay here again with no hesitation.	
Jan 23 2007 	Put me off Hilton's	Myself, my boyfriend and two friends stayed at the Hilton Green Park for my Birthday. A friend booked it through a website for £100 each per night, this was a 'special deal' with a 'complimentary evening meal' on night of arrival and a 'complimentary' breakfast both mornings we were there. He chose a Hilton thinking it would be something special...not so.The receptionist didn't seem too friendly when we checked in. We arrived at 6.45 but the earliest evening meal booking they had for us was 9.30.The rooms were tiny and I banged my leg on the edge of the bed twice.They were clean rooms I can't fault that and if it was a case of £60 for the room and £40 for the food I wouldn't feel the need to write a bad review but I have stayed in much better hotels in London for less money. I don't think they should state that the food is complimentary when it's obviously included in the price.On the other hand, the food was excellent, the evening meal was delicious but then we did have to wait until 9.40 for our table to be ready even though it was virtually empty in the restaurant, so by the time we ate it was 10pm and we were all starving.Same with the breakfast, full buffet, anything you wanted, very nice, couldn't fault it.It was just the standard of room for the price we paid.	
Jan 22 2007 	Good Stay Overall	We stayed between Dec 26 and 28 and the stay was pleasant. Check-in was easy (we arrived the hotel at 8:00am and they let us check-in early). Location is great and is close to bus and tube. Room is small but very clean. Breakfast was excellent. Our deal also included dinner on the first night and the meal was decent. We would consider staying there again on our next trip!	
Jan 6 2007 	Lovely Hotel great location but....	Don't drink in the hotel bar !!My husband &amp; I stayed here Dec 29th - 31st, got a great deal with londontown.com, 2 nights B&amp;B plus one evening meal for 198pounds inclusive, well worth the money, would not have eaten here otherwise, as breakfast was around 16 - 18 pounds, nice as it was , way to expensive.Checkin went very smoothly, staff, we found to be friendly &amp; helpful, our room was lovely, very clean &amp; modern. On arrival, as well as the usual tea/coffee making facilities, there was a beautiful fresh fruit tray in the room which had, banana, apples, oranges, strawberries, grapes &amp; star fruit, a really nice touch &amp; yummy. All in All we would stay here again, for all of the above, plus location, BUT definitly not for a drink !!!!! We invited friends for dinner &amp; drinks, met up with them, went to a bar close by for a drink before dinner, then headed to the Hotel , on arrival our table was not ready ( had to wait about 10 minutes ), so my husband ordered drinks, 1 whiskey &amp; coke , 1 vodka &amp; coke, 1 bacardi &amp; coke and a pint of beer, now in the bar we just left this cost around 14 pounds, in the Hilton Green Park this same order cost..........wait for it................. a few pence short of......30 POUNDS !!!! So beware, as much as we loved this hotel &amp; would not hesitate so stay there again, we would not be using the bar as I could never justify spending that amount of money on 4 drinks.	
Dec 2 2006	Super!	I booked this hotel from reading reviews on 'Trip Advisor' and comparing with others in the area - and by price. This wasn't the cheapest deal I could have found, but average for the time of year (20th Nov.). We stayed one night, but wish it could have been longer. Room was very clean, specifically bathroom which I think is beyond 'a must' as hotel accommodation goes. We had a street facing room, which wasn't a problem - you have to expect some noise in central London. The room wasn't small, neither the bathroom - much better than some &quot;couldn't swing a cat&quot; examples. Bed was comfy, seating adequate (one at desk/dressing table) and a large footstool type thing, not that that's important. If I were on business the desk would be a little on the small side, but not a crisis. A portable Air Con. unit was found in the wardrobe along with ironing board, iron, safe, usual laundry bits and extra linen/blanket. Lighting options were good. Toiletrees were by 'Crabtree &amp; Evelin' thus a nice quality and smelt rather good.Room service: quality/quantity of food was super, not overpriced but did take longer than the 20 minutes suggested by staff. Not a problem on this occassion.Location, as anticipated is EXCELLENT,close to lots of attractions, Green Park itself, shopping, tube connections (several), quiet (for London) and safe. Staff gave speedy service, were well informed, corteous, and offered good quality service. Will most certainly return - a credit to the Hilton chain!	
Oct 27 2006	Decent accommodations fine location	Our room was large by European standards: a true double bed at one end, a sitting area -- with sofa, chair, TV set, and tables at the other. The bathroom was small, but included a tub/shower and many toiletries.The restaurant served a full breakfast at a high cost; it also offered lunch and dinner menus with rather good food. (Our first night coincided with the last night of a 'Malaysian Food Festival,' a buffet prepared or overseen by a chef from a Hilton in Malaysia. It was different, interesting, and delicious. The standard menu, a few nights later, was less interesting and less delicious.)	
Sep 26 2006 	Hard to love easy to like	Now that the Trafalgar is getting too pricey for me, I decided to stay down the street at another Hilton. I stayed here for 3 weeks during the height of the summer heat wave. There are no permanent airconditioners in the hotel, but portable ones are avialable on request.Bar/lobby: traditional, clean, functional. Not air conditioned. Bar prices typical of hotels. Newspapers available.Restaurant: good variety of food, but typical hotel prices. Nice concept in style. I ate there three times and was happy with the food. I never had room service. The breakfast buffet is $$$, so go somewhere else for breakfast.Location: 5 minute walk to GreenPark tube station, 10 minute walk to Picadilly circus, the US Embassy (grovesnor square). 2 minute walk to the park to walk of your food (Buckingham Palace is at the opposite side), 5 minute walk to Bond street (luxury stores). The neighborhood is very upscale and you will find Bentlys and exotic cars commonplace - the Saudi Embassy is a 2-minute walk away.Concierge: I never used them, but were always present. Dry Cleaning: fast, good job, but they never got the starch instructions quite right...there is a dry cleaner across the street, but he doesnt do laundry.Food: a couple of grocery stores within 5 minute walk (tesco, M&amp;S). Many restaurants and pubs in Shepherds Market is right behind the hotel. Rooms: I stayed in 3 rooms over my stay, as I would take one-night jaunts over the weekends while there. Rooms are typical small London sizes. Every room had very poor TV reception and channel selection. Why they chose german infomercial channel to be one of the 10 stations you get is anybody's guess...definitely not 4 star material. The beds are comfortable with decent threadcount sheets. I never heard any of my neighboors, so the rooms are well insulated for noise. Not much streetnoise, but remember that if you suck in outside air for your AC unit, you will get more noise. The bathrooms were spacious, clean, well-light, but types of toilettries changed daily. Sometimes you get bodywash, sometimes you get moisturizer, but do get shampoo and soap everytime.The airconditioning is only an issue for 2-3 months in the summer. There are a limited amount of portable A/C units, so make sure you order one asap upon your arrival. The A/C units come with no instructions, so rely on your instincts. Also, they will turn off if you dont empty them of water. I hate it when it turned off in the middle of the night while I was asleep -- I woke up sweaty!I am thinking of trying the more modern Hilton Park Lane that is a 5 minute walk next time I go to London. Probably better for the business traveller, but not as romantic and quaint as the Green Park Hilton.	
Sep 16 2006 	Excellent location	Front desk staff was only slightly friendly. We always seemed to catch them at a bad time, no one seemed happy with their jobs. We had a problem with some changes that were made to the dates of our stay and it was a big ordeal to get it fixed.The concierge staff was great! Always willing to help point us in the right direction. Also, we were there when the unfortunate bomb plot incident happened, and they were more than happy to take us to the local Mail Boxes, Etc. around the corner and carry back our boxes! Not many people would do that! We were not thrilled w/the restaurant. Not much to choose from on the dinner menu, and the English Breakfast was a bit over priced. Needless to say, we grabbed a quick bite at Starbucks or PRET to start our day.The location was excellent! A beautiful stroll through Green Park and there was Buckingham Palance. The tube station was just a couple blocks over and the bus was right across the street. We rode the tube just about everywhere. I highly recommend getting an Oyster card! It's worth every penny!The rooms were nice. There were 3 of us travelling. Unfortunately no adjoining rooms, but luckily they were on the same floor at least. One with a double bed, very nice sized room! The other was 2 single beds. A litte small, but certainly a nice place to hang your hat at night. Bathrooms were nice, the only annoyance was the light switch being on the outside of the bathroom. No a/c in the shared room, but we did have a fan so that helped. The single room had a big a/c unit.There was some construction work going on while we were there. Windows were being replaced to double pane windows, so it was very loud very early in the morning. One good thing about that, we weren't able to waste the day sleeping! Too much to see and do!Overall, good experience. Would probably stay there again, mainly for location.	
Sep 13 2006 	Great location AC only available in King size rooms	The Bad:If you need Air Conditioning then you have to book a King size room to get one of the few portable AC units. There is only 1 ice machine in the hotel hidden on the 3rd floor. Hallways have lots of weird short stairs that go up a couple of steps and then back down a few steps later so anyone with walking problems should avoid any room not on the gorund floor. Take the small slow elevators because the stairwells are down right scary (kind of an outdoor stairwell with tin metal sheeting and no lighting).Hotel claims to be non-smoking, but there are no signs telling folks to refrain from smoking. My family put up with neighbors cigarette smoke, but called the front desk when they lit up stoggies (cigars). Staff did nothing other than tell me the room number of the offender and say they had called and left notes but no one answered (LAME). Damp towels under the door, making coffee to smell something else and opening the windows helped us get thru the nights.If small rooms or smoking bothers you then you should stay at the newer Hitlon on Park Lane a few blocks away. The Good:Was able to cut the price by booking first night with Hiton and the rest of the week with Expedia (Expedia said it was full if I tried to book the entire week). Opted for non-breakfast booking, but ended up being told breakfast was free anyways when we got there (great breakfast buffet).Hilton Green Park is in one of London's most desirable neighborhoods, the May Fair. It is one block from Green Park, one of the 3 largest green spaces in London, and a pleasant walk to Buckingham Palace. It has a underground tube stop just 3 blocks away.Starbucks and a Mark and Spencers grab and go food store 1 block away. So getting coffee and cheap internet access is close at hand.Coin laundromat to do your washing cheaper than the hotel is 2 stops away on the tube (Pimlico station on the Victoria line). Red &amp; White Laundries, 6 Lupus Street SW1V 3DY and another at 64 Lupus Street SW1V 3EQ	
Jul 22 2006 	ok but not great	Pros: quiet neighborhood, great breakfastCons: no air conditioning, small roomsHilton Diamond member, family of four (two adults, two kids 5 and 10) stayed here (2 separate rooms) in July, during a serious heat wave. We sweltered, as the place didn't have any air conditioning. There was a snafu at checkin with a misplaced reservervation, but it was corrected on the spot. The hotel is near a subway line, Green Park (for the kids to run free), and had a good full English breakfast.	
Jul 9 2006	Bad hotel - great location	Excellent location but overpriced. We could manage with the small room, which was tastefully decorated, but no air conditioning was available - hotel provided a small fan. Only one window facing onto a noisy alley. Impossible to keep shower from flooding the bathroom and the towels we used to mop up the floor were later folded and replaced on the racks by housekeeping for reuse as if clean. This was our first and last visit to this hotel.	
Jul 6 2006	Not a Four Star	We are HiltonHonor Members and stayed here from 6-20-06 thru 6-23-06. The staff was helpful and check in went well. Upon check-in they were doing remodeling work in the lobby but did not think much of this. When we arrived to our room, it faced Half Moon Street, the French doors/windows did not open to let air in. The temperature was a pleasant 70 degreeduring our stay, so without the windows opening no air. There is no air conditioning in this hotel. There was mold around the bath tub, and in the corners of the bathroom. The door to the bathroom was on a spring and closed so we had to prop it open to get some light in there as there was only one light in there. The bed consisted of a mattress on some wooden boards, no spring. When we complained to the manager he said he would try to fix the windows, which he did but not until the next day. He also said he would try to upgrade our mattress, which he did not, He also told us he had some air conditioners and would try to get for our room. No air conditioner. The hotel is in a great location but if on vacation do not stay here.	
Jun 19 2006	Cramped	Other than location it would be hard to justify the cost of staying here. The rooms are cramped and by the time you have removed the ironing board, luggage rack, telephone directories there is scarcely room to swing the proverbial cat.The wardrobes are small as are the beds and the noise from the renovations to the building next door is horrendous ( not the Hilton's fault admittedlly), but we were not advised in advance. The window in the bathroom was cracked and the panel under the sink was held together by a series of sticky pads, not what youwould expect from a 4 star Hilton The food was good quality and well presented, we had some difficulty with the speed of service which the staff recognised by way of a complimentary drink. A &quot; discretionary &quot; service charge is applied even on drinks where you are at the bar so be aware of this extortionate add on.Not a hotel that I would recommend.	
Jun 18 2006	Good Location some issues	Great location however has some issues. No air-con although you can get a portable unit which is loud and big, however they only a few and on hot nights are all taken very quickly. If you need a good nights sleep, they provide a fan - which for a Hilton and at this price is just not acceptable. Rooms are small and stuffy but well presented. No room safes are in the rooms but you can lodge articles at the front desk which is a hassle. There is no gym (but there is a great park to run in at the end of the street) and lastly, the iron was faulty and when I asked for the front desk to have it fixed, no response whatsoever.Breakfast buffet was excellent and staff really good. . Actually all the staff were very friendly and very helpful which offset the above issues however as a business hotel should you need to get sleep and to make sure you look presentable in the morning, it is not geared up for this in a london summer. As a tourist hotel in the heart of London, great location.	
