	This the budget hotel that you need	The hotel is located in the very center of the London. It allows easy access to the main objectives, via bus or via underground.We arrived late and first impression in the lobby was of &quot;no frills&quot;.Room was very clean and it was kept like this for the whole 5 days of our staying: 5+ stars for the maintenance staff. Furniture was simple and practical and it fitted well with the neo style. Very comfortable bed, moderate size room for 2 ppl maximum (considering European standards, though an american might find it small, but nonetheless tiny); small bathroom, but not claustrophobic :). Because one has so many things to do in London and won't spend days in the hotel room, I feel this is really a minor thing. Great staff both at reception and also at the restaurant / breakfast room. Also maintenance stuff was very friendly and they did a great job.Very good breakfast for the price (with enough options like: English breakfast, fruits, French croissants, cereals, several varieties of tea &amp; coffee, etc). Some vegetables could be added to really make a difference. We stayed for 5 days and we had enough morning options not to feel bored :)I really recommend this hotel, it will be my first choice when visiting again London.Big price difference between online and lobby quote: book online, you might be able to stay up to 50% more days.	
May 10 2008 	My favourite London crash-pad	My partner and I often stay in this hotel and we’ve never had anything but a great experience there.The neighbourhood is a little rough, but we’ve never had any problems or felt unsafe. There’s a local convenience shop just across the road, which is very handy. It’s a short work from the curry houses of Brick Lane and Spitalfield market. The hotel benefits from excellent transport links, with Aldgate East tube station right next door – you can roll out of bed and be in the city in a matter of minutes!The rooms, like are all Ibis rooms, are basic but functional. Rooms don’t have a separate bathroom as such, more of a bathroom ‘pod’ containing a toilet, sink and shower. There’s not a great deal of room in these pods (you can only really have one person in them at a time), so bear that in mind if you are elderly or think that the lack of space may cause you problems.Breakfast is ok, and there’s a nice lounge bar in the lobby if you fancy a nightcap after your adventures in the city. Overall, it’s a good, clean hotel at reasonable price.	
Apr 12 2008 	Nice Hotel	After 14 days of 5 star luxury travel in Egypt I checked in to the Ibis hotel. Check in was quick and easy. I loved the room. Its was very nice, clean. Yes it's small but something about it just felt homey. Bathroom very funny, round cubical, but the shower was big and had some power in it. Not a lot of space to get dressed in it. Overall was great! We had a web deal so we could surf the internet in the evenings after a day out, that was very nice. You can use your own laptop or use the TV for that purpose. The internet crashed during one night and it took the whole day to fix it (we were out so it didn't matter to us) and they did a good job of fixing it, a man checked every room (not a small job) to see if the problem was really fixed. Check out was quick and easy as well, they kept our bags in a locked room for the day.	
Apr 2 2008 	excellent location budget price	Im not going to review the hotel itself as it is a standard Ibis, they are the same the world over - like a French Travel-inn, reasonably priced and everything you need, where it exceeds the other budget travel hotel chains is with the levels and friendliness of service which was superb and efficient, and the price - £69 a night with unlimited internet and movies etc on TV in room for an extra £10 if you wish (standard TV includes Sky 1 and some satelitte channels) and a free paper in the morningNice bar attached to the hotel and a restaurant (didnt eat there so no comment)Nice power shower in compact bathroom, only critisism would be that an extra pillow on the bed would have been nice (probably could have on request) and the bed was possibly a little too firm for my liking but this is personal tastes. Immaculately clean however and fresh towels each dayLocation wise it is superb - next door to Aldgate East tube which is in zone 1 and 5-10 minutes on 2 different tube lines to central london (trains every 2-3 minutes), it is close to Pettycoat and Brick Lane markets, The Gerkin and tower of London. The area was reasonably quiet at the weekend for the centre of London and seemed perfectly safe to walk aroundThere are several decent pubs that also do food in close proximity but the ease of access into the west end meant we didnt really stop near the hotel during our stayI would definately stay again as at this price with such easy access to the city it is probably unbeatableIf you are driving it is on the edge of the congestion zone so be careful, and there was no obvious parking available	
Mar 14 2008 	Traffic noise all night	I spent one nite at the Ibis this week on business.The hotel is fairly close to the city about 15 min walk from the Llyod's building.Its a basic hotel, the check-in was too long because they had mistakenly cancelled my reservation. The restaurant staff were okay but the food was not good.The room was clean, but sparse - it overlooked the main road and there was traffic noise all night.Overall I was not happy.	
Mar 11 2008 	a good crash pad at a reasonable price near city	Pensioner couple spent weekend chose it for location near city and transport. Very handy for tube Not posh but very clean and tidy with helpful staff bar/restaurant/reception spoke english room staff didn't! Room comfortable and well appointed no bath but vg power shower breakfast continental only and not at all bad By london standards vg value for money we booked in advance room@ £65 double. would certainly go again if we wanted to be near relations 10 mins walk away.	
Mar 1 2008 	Excellent value for money!	The three of us, 2 adults and one four year old stayed at the IBIS on the first weekend of december. We arrived at Stansted and took the Xpress train to Liverpool street. This was really convenient because the IBIS is only two stops away by subway to Aldgate East (there are two underground lines here that gave a pretty good coverage of the major areas of London). And from the subway station it was only a few meters to the entrance of the hotel! The hotelroom was excellent: it was clean, had a flat screen tv and was spacious enough for the three of us. It is close to Bricklane with a lot of fine Indian/Bangladesh restaurants. And because our daughter didn't want to go out on the first day after all the traveling and sightseeing, it was convenient there were both a KFC and Burger King in close proximity. And for other shopping there is a supermarket in about 500 meters distance. Although I read in some reviews on Tripadvisor that the neighbourhood felt unsafe, we never had that feeling.The breafkfast buffet was excellent. We also had dinner at the restaurant one night but we were not very impressed by the quality.There was an &quot; interesting event&quot;: there was a serious power failure and the manament evacuated the whole building. Nobody wants to stand outside a hotel on sunday morning but the way the evacuation was handled gave a good feeling about what would happen if there would be a serious emergency. We paid EUR 115 per night for three persons including breakfast and consider this a bargain during X-mas Season in London. Because of the excellent value for money, next time when we travel to London for touristic purposes, we 'll definitely return to the IBIS hotel again!	
Feb 22 2008 	Value for money	In the city-financial district, right on the side of a metro station, the Ibis is an excellent option if you have no problem in using the tube. It's not really at walking distance from Picadilly Circus or Covent Garden but one gets there in 10-15 min by tube and at abt 80 pounds per night (weekend rate) it's dificult to get better in London (for a similar 3*** hotel). Very clean and friendly. Will return for sure.	
Jan 28 2008 	A good place to stay for tourism	In our first trip to London, we (my fiancé and I) chose Ibis London City Hotel because of its proximity to an Underground Station.- The LocationThe hotel is located really near Aldgate East Underground Station (about 1 minute by walking!). Tourists can visit all the main attractions of London using &quot;The Tube&quot; and spending £ 5.3 for a 1-Day TravelCard (Zones 1 and 2) which can also be used on the buses.- The neighborhoodThe streets near the hotel are not exactly beautiful sights. The near main streets (Whitechapel and Mansell) revealed to be safe for walking even during the late night. We didn’t have any problems but we think it’s better avoid some side streets and underpasses during the night.There are some little markets where you can buy chocolate, soft drinks, snacks and other things they don’t sell at the hotel.- The breakfastThe same breakfast is served everyday: Some different types of bread, croissants, cereals, juices, coffee (from coffee machines) and fruits. Everything is very clean and the girl who receives the guests at the door of the restaurant is very kind.- The staffEveryone was really considerate, especially a girl, two French guys (one of them is the manager) and a Spanish guy who work at the reception during the day, and also, a blonde guy wearing glasses who works at the reception during the night. The only exception was one guy who works during the evening and who cannot understand what you really want but… Anyway!!The cleaning staff is very efficient and well-organized.Don’t expect them to smile or laugh because everyone seems to be very serious during the worktime in London!!- The barIt’s a very good place to take that “last pint of the night” or eat a sandwich before going to bed.- The roomWe stayed in a double bed room and what we can say is that it is good. Not really a big room but enough to sleep or just take a break and watch some TV. There are about ten free channels available and some charged movies.The in-room internet connection is charged separately and the speed is so-so…- ConclusionThe price is good if you come to London for tourism or business. Not a great place to enjoy the best special moments of your life.	
Jan 19 2008 	Fantastic Hotel	I stayed in the London City Ibis with my partner on a friday night taking a double smoking room, we were going clubbing so needed somewhere quite central and not too expensive. The room was £69 and the cheapest deal we could find so we were both quite worried as to what we would find! We normally prefer to pay more for peace of mind and luxury, but due to budget had to find a cheap alternative. The hotel was very easy to walk to from London Liverpool st and we were greeted by lovely friendly staff at check in. The room was bright, modern, clean, with plenty of space, exactly like the picture on the internet. There was tea and coffee, plenty of towels, excellent TV, with a choice of films and internet connection and a lovely view from our window over the city. The shower was quite small, with plenty of hot water and the room was very warm. The only thing to mention as a negative would be as the room was so warm we kept the window open slightly and there were noisy road works in the morning, this didnt bother us but may do an older guest. There are no shower gells, shampoo or a hairdryer provided which was a bit of a pain. The restaurant was fantastic and excellent value for money ( the cheese board was better than alot ive had in very expensive places!) After our meal the staff called a taxi for us, and in general nothing was too much trouble. I would like to add we arrived back at 2am with a bottle of wine, rather worse for wear and the porter even opened our wine for us to take back to our room with ice! There are also snacks such as paninis available 24hours which was very handy! The fact that check out is 12 was great for us, and the continental breakfast was still going when we arrived in the restaurant at 11.30,and i have to say it was lovely, all very fresh with a wide choice.  Overall the quality of this hotel is outstanding, because of the price we didnt expect much so were very surprised, i would reccomend this to all ages. The main positives are location, cleanliness, staff and restaurant/bar	
Jan 2 2008 	Excellent Value for Money	We stayed at the Ibis for two nights over New Year and felt we had received excellent value for money in a London hotel at peak time. Whilst not being central to key tourist hotspots the hotel is very close to Aldgate East tube station and bus stops that go to all parts of the city. It is within yards of the Brick Lane curry houses and near to the river and Petticoat Lane/Spitalfields markets. As for the hotel itself, rooms were spotless and more than adequate for our needs. We had not booked breakfast but when we saw the quality and choice of food on offer decided to take it and pay on the morning. Considering we ate on New Year's Day it was an excellent spread - a very fresh and tasty continental that included fruit / cereals, ham, turkey, cheese, eggs, croissants, pastries, preserves and a wide range of drinks.All in all we would thoroughly recommend the Ibis City in what can be a very expensive city when it comes to hotels.	
Dec 26 2007 	Great hotel but near sketchy neighborhood	This is a good hotel. Staff is very helpful. Room is a good size for London and for the price. Both room and bathroom were clean and the hotel has a nice overall appearance inside. Lifts for each floor so you don't have to haul luggage up the stairs. A plus in London! The entrance is just around the corner from the Algate East tube (underground train) stop on the District (green) line. That is very nice. However, the hotel is on the &quot;edge&quot; has far as neighborhood. It is close to the tower bridge and a really nice section of London but it is about a block into a sketchy part of town. I kept my after dark walking in the neighborhood to a minimum. There is some construction going on next door which was a bit loud during the day but no problem at night.	
Dec 14 2007 	good budget hotel	Stayed at the Ibis london city hotel for 2 nights. Excellent location- right next to Aldgate East tube station. Near brick lane- good for indian restaurants. At the moment there is building work going on right next to the hotel. The hotel does warn you of this when you check in- that there will be construction work from 8am-6pm but we found that work started around 7am. this didn't really bother us because we were planning on getting up and out in the morning anyway.The room and bathroom were clean. did have to ask reception for items a number of times, but all requests were dealt with. This was for extra pillows and towels since only 1 set was provided and on the second day of our stay the housekeepers had taken our towels but not replaced them with clean ones.If you book on the internet it can be misleading as we thought breakfast would be included but this is actually extra.The only major problem we had was trying to leave our luggage there during the day when we checked out. We were not leaving london until the evening and so wanted to leave our baggage at the hotel during the day whilst we were out. However, when we checked out, the receptionist told us we couldn't do that and made a reference to an incident 'last week' which meant we couldn't leave our bags there. It wasn't until I made a fuss and asked to speak to the manager that he allowed us to leave our bags there. And when we put our bags behind reception, there were other bags there!Overall- a clean budget hotel in central london. I would check that certain facilities are available before staying there again.	
Dec 12 2007 	Best Budget Hotel for the City of London	This is the best budget hotel within walking distance of the City of London. The hotel is very well run, with professional staff, well maintained and good amenities.One thing to watch, although close to the City, travellers should be cautious about personal security in the area immediately around the hotel. I've not had any problems in over 20 stays, but there are some underpasses and side streets best avoided alone at night. Having said that there is a tube station within yards and there is easy access to taxis, so if you use these you will be fine.The food in the hotel isn't fantastic, and you woldn't expect anything different from an Ibis, but does the job if you don;t have the time or inclination to venture out.	
Dec 4 2007 	good location for Spitalfield and Petticoat lane Markets	I stayed for 3 nights in november. First of all if you arrived at Aldgate east station, take the exit to your right towards Petticoat lane ,there are few steps then turn left again past a building site, hotel is just on the left opposite Sportec. If you take the left exit, hotel will be across 2 busy roads. Check in was fast, room as they all said was clean and large enough for two of us. The power shower was a great success, there is a shampoo/soap dispenser on the wall. I was on the first floor and most rooms were vacant, I did not mind the noise from traffic and the building site but the staff store room and lift was right next door and the noise from there every morning around 7am to 9am was very annoying, sounded like drawers opening and closing, doors slamming and a lot of banging. I would not have stayed more than 3 nights. Friendly staff in the restaurant and bar though. If you borow a hairdryer from reception, they charge £10 which is added to your account, make sure they refund it when you return the dryer.	
Nov 20 2007	Great Hotel	Great hotel. The rooms are very clean and spacious. Flat screen TV's which also connect to the interent - very cool. We arrived at midnight and the bar was very busy but upstairs in our room was very quiet. Breakfast was amazing - I would come back just for the breakfast!	
Nov 10 2007 	Location and friendliness	I have stayed in this hotel in October 2005 so there could have been some slight changes since... I have stayed there for 2 nights after getting a pretty good Eurostar + Hotel deal. I was really pleased with the experience.This was my first visit to London as a &quot;real&quot; tourist (I have lived in London for 3 years and went back to my home country). My aim was to find a cheap place to stay, with a good location. I got what I expected.This hotel isn't actually super central but it is just a 10 minutes Tube ride to Oxford Circus and Piccadilly. I think it's nice to go back to a quieter area to spend the night after a long and busy day shopping in the heart of the City!Staff were pleasant and friendly. Most of them were French and you could really feel the French vibe (I'm French myself so I wasn't too mad about it). But they definitely spoke good English.Room was quite nice. The view was so-so but the rest was fine. Spotlessly clean, the shower was big enough for my tall self (I'm 6'4). Beds comfortable, chamberladies saying hello when you walked past them in the morning, nice and quiet breakfast with all sorts of mini croissants and a good general atmosphere.Went to the Bar on the second night to enjoy a beer while watching football on the screen. The bartender was more than friendly and not just because I was French and him too ; he was friendly to everyone.This weekend in London was a great experience and this hotel definitely made it even better! Much recommended for tight budgets.	
Oct 31 2007 	A clean place to sleep	This hotel has a great location and is very clean. It sits on top of the Aldergate East Underground station. The staff was rude and the amenities were terrible. According to the front desk there was only one hairdryer for the entire hotel! The pillows for very hard to sleep on. The bathrooms were exactly like one you would find on a cruise ship cabin. Overall, its a cheap place to sleep and a great place for location but I would not stay there again because of the staff.	
Oct 24 2007 	Practical 	We stayed here for 3 nights at the beginning of our Europe trip in September 2007.The location is very handy with the tube just around the corner and a lot of things within easy walking-distance.Like all Ibis hotel rooms, you get what you pay for and what you really need, i.e. a bed, a shower, a TV and some space to put your stuff. Everything was clean and the hotel has a friendlier atmosphere than similar properties somewhere else in central London.The restaurant had a very nice, decently priced menu and the food was good.Should you find yourself needing accommodation in this part of London this Ibis hotel is a good bet.	
Oct 23 2007	Excellent choice in London	My partner and I stay here whenever we go to London. Its easy to find (right by Aldgate east Tube), and very handy for Hoxton, Brick Lane, Shoreditch, Columbia market etc.It's a busy chain hotel, so it's a bit impersonal, but the facilities are good, its very clean, and rooms are good. Recommended.	
Oct 20 2007 	Clean and great location for the price	Ibis London city was good quality for the price and location in London. Room was basic but immaculately clean and literally around the corner from Aldgate East tube station. Staff were helpful and breakfast was adequate. Within walking distance of London Tower.	
Oct 19 2007 	Good functional hotel - very clean but soulless	This hotel seems very modern and has certainly been built as an ultra-functional enterprise. e.g. easy to clean bathrooms, simple furnishings, minimal decoration. This makes it glaringly obvious that the hotel is run just for the money (heh- aren't they all of course, but you don't necessarily wish to feel like just another number in a room). The corridors of rooms are particularly clinical - like rows of cells in a modern prison! I would recommend this hotel if you are looking for a clean, modern hotel and for just a base from which to explore London. You won't want to spend hours in this hotel and the immediate area is pretty rough and unattractive. But it is conveniently placed right next to Aldgate East tube and it is a short walk into the financial district of the City. I would not recommend this hotel if you are on holiday to enjoy London as a tourist (go and stay somewhere in the West of the city) but if you have to be in this particular area, I can't imagine that you could do much better. Don't bother with the breakfast. It is very basic, continental only and the coffee is AWFUL! This side of the hotel let things down for me. Staff were helpful. They only supply one pillow and one towel per person, which is rarely enough, but they will happily give you extras if you ask. I stayed on the 9th (out of 10) floor and it was relatively quiet. Very little noise from outside, especially if you kept the window shut. There did not appear to be many restaurants in the immediate area but I did not explore very far.On the whole you could do a lot worse than this hotel. I thought it was quite expensive, but then London hotels always are.	
Oct 14 2007 	We loved it!!	Very good!!Great hotel!!Good location,and excelent breakfast !!!	
Sep 21 2007 	Good Value	Booked via IBIS own website after reviewing comments on Travelcity website.Stayed for 5 nights Sept 2007 on 7th floor. Check in very swift but there is a minor language barrier as the staff are all French but it was not too difficult to overcome. I would agree with previous comment, it is best to pay at check in as the desk becomes very busy at times wth long queues, although the staff are efficient.Room is just big enough, and the one outstanding feature being that it was very clean and kept that way throughout our stay. Hair dryers were not provided in every room so you had to hope one was available at the desk when requested. If you asked the desk staff for something it was given or delivered to your room quickly, ie we needed extra coat hangers, towels, tea and milk.Shower, toilet &amp; wash basin are was an integral plastic unit which was suitable and functional although not much space to leave any toiletries anywhere.Flat screen TV in each room with good reception. No noise from adjacent rooms (good solid walls). Room wardrobe was not very big and there are no drawer units to put clothes in.Hotel is situated next door to Aldgate East station and was a 5 min walk to Aldgate bus station and tube station. It was also 10 mins for Liverpool St station. Good eating places were situated round about the area. We did not try the restaurant at the IBIS.Good value overall especially as most other places were more expensive. Room not really suitable to relax in but we spent nearly all our time touring London so did not need this. Bar was noisy at times so again not a good area to relax. Overall a good experience.	
Sep 21 2007 	What a gem what a price	Stayed one night with my 10year old, who had a late hospital apptHaving lived locally until recently we thought we'd try this place as trip advisor had good comments.Must say staff where very good and greated us warmly, rooms were clean tidy and strangely quiet for being in middle of noisy London. Restaurant was excellent with good specials and wine resonably priced for a hotel bar. Restaurant was very busy at 8am in morning and did'nt really like queing for breakfast like at school.But would definately go there every time have hospital appointments.	
Sep 20 2007 	Great value for money	We stayed here for a long weekend, having booked through the hotel's website. There is a special weekend low rate if you stay for three nights over the weekend (£51 a night over the weekend) which we thought was excellent value for money, especially in London. The hotel has a nice reception area with a bar and restaurant. We had breakfast in the restaurant (at an additional charge) one morning- it was a good continental style selection.The room itself was not luxurious but more than adequate and again great for the price we paid. It was cleaned every day and had a big comfy bed and flat screen TV. I've read a couple of comments on trip advisor which said the hotel wasn't in a good location but I disagree with that. Its right next door to Aldgate East underground station, so right in the City and within walkable distance to the Tower of London. Its also on the same street at Spitalfields Market (def worth a look on a Sunday morning) so is just down the street from some nice bars and restaurants. In addition its a stone's throw from Brick Lane. My only complaint would be that despite the total cost of our stay being just a little over £200, they reception staff pre-authorised £400 on my card (and this was despite me saying we were happy to pay the whole cost of our stay up front) which seems a little excessive.I would definitely stay here again and would consider other Ibis hotels if going elsewhere.	
Sep 4 2007 	One of the best hotels in London	I'm in London once a month or so, and this hotel is my favorite. The price is fair, the location is quite good, the rooms are clean.Check-in and check-out can be a problem if you get here or want to leave at peak hours (especially since they don't generate the bills before 3am - so no early check-out/express bill), the staff turn over seems high (I always see new faces) and they seem to still work a lot with paper... not very efficient.The area is quite noisy, so make sure you get a room on the back of the building.	
Aug 30 2007 	Disappointment	This is the most centrally located London hotel below 100 GBP with relatively good Tripadvisor reviews.Though, I was disappointed due to a number of reasons. 1. The room was cold and windy - heating switched off, untight window, draught from ventilation outlet. The room temperature was about 18 C. I asked to change the room for the second night and the second one was better, not warm though. 2. There are only 3 towels in a double room. We had to pick up an extra towel from the reception (no room delivery) - it was dirty! The room, however, was clean except a dark stain on the carpet. 3. There was no Wi-fi internet access in the room, contrary to what is stated on the web site. In the lobby the Orange network was accessible which one could use for an extra fee. The wired access in the room is provided for a fee as well (sort of 6 GBP per hour)4. Location is far from being great. Aldgate East station which is around the corner is the last station in Zone 1 with two tube lines, and trains come not as often as in other central lines. There is very limited bus connection to the central districts - you will probably have to go to Liverpool street (about 10 minute walk) to have a variety of bus routes. The view from the room is rather dull as well. 5. On check-in my credit card was pre-authorized for 200 pounds, though my booking was for 174 pounds. This is what they usually do at other hotels, but here I was additionally offered to SIGN a check for the amount EXCEEDING the booking. The staff promised to cancel the pre-authorization on check-out. The only reason for them to do this, as I can imagine, is to make chargeback virtually impossible if something goes wrong. Resume: there are much better hotels for about the same price.	
Jul 20 2007 	good value not streached london prices	hi we stayed for 2 nights in june sat and sun nights. not 4 star but as for value for money it was first class compared to other hotels with london prices. clean tidy rooms good location next to tube. braekfast was good with good service. nice bar area and nice snacks/meals. we will be staying here again, one small point check out was a bit slow but a good 8 out of 10	
Jul 9 2007 	Good budget hotel	We stayed in the Ibis London city for two nights in June. The hotel itself is new and the rooms are spacious and well-equipped. There is no free internet access but wired internet is available at extra cost. The room itself was clean and furnishings were acceptable. I booked through Ibis' website and there were no issues during check-in or check-out. You can leave your bags at reception if needed. The staff are mostly foreign, so I wouldn't rely on them for detailed local area information.The hotel is not in a great area of London - it is in east London right next to the Aldgate East underground station. We did not feel unsafe at any time, but there certainly are better areas to stay in. The hotel is within easy walking distance of the Tower of London and London bridge, and is still in Zone 1 which means travelcards are still cheap-ish. That said, public transport in London is expensive - depending on the distance you need to travel and your group size, a taxi may be cheaper. (As an example, a taxi fare from Waterloo to the hotel was just under 10 pounds while 2 underground tickets would have been 8 pounds). If you're travelling from Heathrow, bear in mind that you'll need to cross London to get to the hotel - try to avoid doing this during rush hour if you're carrying big bags.Overall, this was a good budget hotel, but I wouldn't pay more than 100 pounds per night to stay here.	
Jul 2 2007 	Good central location good public transport	I stayed at IBIS London City for 3 nights, booking on their own website taking advantage of the 3 night deal, save 25%. The hotel is located next to Aldgate East underground station which makes it ideal for getting around London. It is also about 10 minutes walk from London Liverpool Street mainline station.The reviews on this hotel on Tripadvisor are mixed and I share some of the observations. The hotel is very clean and modern decor and fitting offer an attractive ambience, the rooms are well maintained too. The room has a integrated bathroom, in the sence its a plastic prefabricated design but has a good quality large shower, loo and sink - everything you need. There is an LCD TV with all five channels, plus bbc news, sky 1, a couple of radio stations and german, french and spanish channels. The TV also has a cable for you to hook up to your network port on a laptop.I had a room on the 9th floor overlooking the Gherkin, I had asked for a quiet room and for 2 out of the 3 nights its was quiet no sirens nothing. The problem was the Saturday night, even though I returned around 2am, the noise from the street level night club was thumping to quite some extreme.My impression of housekeeping was very good, I didnt leave my room until around 11 each morning, having the do not disturb out. Dispite this the team of maids always returned and serviced the room, not just left it - even though the next check in was due.Check in was swift and easy, however my check out on the monday mid morning was tiresome. The hotel obviously attracts many visitors from overseas, but there is no order to the front desk when busy. The various languages spoken all at once by guests and desk staff mean groups of people end up confused and people are served out of turn. I would advise paying up front when you check in to save the bother. I didnt eat in the hotel, but the restaurant and bar looked ok.	
Jun 26 2007 	Great Location	This place was very affordable, centrally located, and comfortable. If you are there for a luxury look some place else, but if you need a comfy place to rest your head, and nice staff it is a good choice.	
Jun 26 2007 	Good Location but not so friendly staff	Have been trying to find a reasonably priced room in London and read about all the good reviews about the Ibis. So there we were in Ibis London City in June for our short holi before our work commence in France a week later. The place is good as the tube is just beside the hotel. The room is functional and as some of the traveller mentioned it is smallish. If you are a light sleeper then the occasional ambulance sirens may wake you up. We have no problem as we walked a lot in the day and must have tired ourselves. We have no problem with the aircon cos the weather is considerably cool but it may be quite irritating the air may get quite stale. I agreed with some of the reviews that the front desk staff were not so good. Also, do not use the broadband as the speed is not reliable. I would suggest to use the ground floor public internet access.	
Jun 19 2007 	Price hard to beat	My sister and I stayed here in May 2007 and have only good things to say. We took advantage of the 3-night weekend stay deal for 48 GBP. I have never seen any accommodation that cheap in London. 24 GBP per person a night is practically unbeatable, even for a really rundown place. Imagine our surprise when we arrived and discovered that our room was spacious, with a king-size bed, cable TV and very clean facilities. We couldn't have asked for anything better! What a fantastic deal. AND, it was right around the corner from the Aldgate East tube station which took us everywhere we needed to go. I would stay here again in a heartbeat!	
Jun 8 2007 	bad ventilation / cooling - beware during summer bring earplugs	This hotel isn't a bad budget option for cental london. Check-in is a bit chaotic, the staff seem to indicate for you to come forward to get processed then bark at you to tell you that they haven't finished with the previous client yet. Maybe a roped off section where people could line up properly wouldn't be such a bad idea?The rooms themselves are student halls chic - a pod shower room dropped into one corner, and more mdf than you can shake a stick at. The bed was quite firm, i think largely as it was a matress on a block of concrete, but that's fine with me, i like a firm bed. The real issue with this place is the ventilation. There appears to be air con as there is a setting on the wall and a temperature control. However, it doesn't operate at night - i called down to reception and they told me it wasn't air con, but air-cooling and that I'd have to open the window. If you know Aldgate East then you'll realise that its right next to the City Hospital where the air ambulance service operates out of, so you have sirens and traffic noise all night. BRING YOUR EARPLUGS as you will need the window open in summer. Bizarrely, come 9AM the morning, the air con unit in my room was blowing chilly air again at full blast. I suspect that Accor just turn the air-con off at night to savve money and the reasoning I was given by the night manager was just fabricated. Ibis claim that if you're not satisfied with their response to a problem within 15 minutes, you don't pay for the room - well, I wasn't satisfied sleeping in a bake house or sleeping with the window wide open to Commercial Street traffic, but no one from the hotel made any mention of this promise. Functional, noisy, too hot, but reasonably priced given its centrality.	
May 11 2007 	Perfect	We stayed here in April and I have nothing but praise. I took quite a while choosing the hotel from reading such reviews as this, but quite simply it was....A: Incredibly clean, modern and comfortableB: The staff were all incredibly helpful and friendlyC: In a good locationPersonally I dont want much more from a hotel. The only thing i'd say is find out before, or ask the hotel, for somewhere to eat, as we could only find Indian restaurants for about an hour of walking!The hotel has a nice bar and restaurant howeverOverall, definitely recommend the hotel	
Apr 23 2007 	Be careful....be very very careful!	We were looking for a hotel in the City of London for the night before the London Marathon. When we found a room at this hotel at £75 we were pleased, and booked on Accor's own website.When we arrived, we found the usual price of the room for that night was £65. It said this on a notice at the Desk, and also on the card on the back of the door in our room. Nowhere did it say that special rates applied for that night. I also checked the Ibis guide in our room, and although the guide does say room prices may be changed without notice, as far as we could see, if we had turned up on the day, rather than giving advance notice, we would have saved £10.Now, the hotel was everything it should be. Everywhere was sparkling clean and new. The staff were very pleasant. There is an Underground station just around the corner, a car park just outside the congestion zone, taxis pass the door...what more could you want?Well, it would have been nice if we had not ended up with a very sour taste in our mouths. If it says £65 in the book, at the desk, in your room, it doesn't feel good if you have to pay £10 more. If we had booked through an agency, we would have just shrugged, but I do think the hotel's own site could make it clear that they were asking a higher price than usual. It is not a nice feeling when it appears that someone who walks in at the last minute will get a better price than the person who books in advance. Before booking an Ibis hotel in the future we will ask a lot more questions.....	
Apr 21 2007 	Great Budget Hotel on East End	We stayed here in April 2007 for a few days. The hotel is in a great location near Tower Bridge, Brick Lane, Southbank and other East End attractions. Located right next to a tube station and within walking distance to great sights/dining, this budget hotel delivered more than expected; A clean, spacious room, helpful staff and great price. It is a no-frills room, so it's best for a trip where you intend to spend your time out and about rather than in the room. Room did have nice bathroom, LCD TV and enough room for two adults to stay comfortably. I'd easily stay again on future trips.	
Apr 12 2007 	Nice hotel chaotic breakfast!	We were 4 adults staying in this hotel, and took advantage of the 3-night stay at unbeatable 48 GBP per night.Hotel was easy to find, just 30 meters around the corner from the tube station Aldgate East, very convenient. Taxi from Oxford Street cost us about 16 GBP one night. Nice and welcoming staff, internet in lobby and free newspapers.Rooms were very clean with enough space. Bathroom was spotless. TV and internet available. Breakfast however, was rather chaotic. We stayed in the Easter weekend and the hotel seemed fully booked. Loooong waiting line and they seemed to run out of everything while people served themselves, and the staff had to replace constantly. We complained and they were nice enough to remove the breakfast from the bill(about 5 GBP). Next morning we had breakfast at a small place nearby instead, solid english breakfast for only 3,30 which can be highly recommended.The bar and restaurant was good. Nearby is a nice traditional english pub, and there is also a small grocery store nearby where you can buy some snacks or beverages for the night.Would definately stay here again for this price, but I'll have my breakfast another place.	
Apr 8 2007	My stay at your Hotel	I stayed at The London City Ibis in March 2007 and would like to share my experiences with other people. On entering the Hotel to leaving the Hotel it was a very pleasurable stay. The room was very spacious and very clean. The en-suite was very spacious and the shower was great. The staff were very friendly smart, helpful. I would definatly book to go again. Sandra Longstaff	
Apr 2 2007 	first time in london	it was our first trip to London. and will not be our last Great hotelgood location. for the tube.it was just round the corner. The staff could not have being more helpful. the tower of London was just down the road about one mile. we are coming back to London again next year and we will stop at this hotel. The rooms were very clean and tidy.	
