	Excellent Value for Money!	This hotel is ideally located with Kings Cross Station and underground on your doorstep. You can easily walk from Euston station too as it is a mere 10 minutes along the road. Also note that there is a burger king next to it (makes it a lot easier to find). The rooms itself are lovely and maintained to a very high standard. All rooms come with free tv and internet(via the tv) and each morning you are supplied with a newspaper of your choice which is also a nice touch. The bed's are very comfortable and the shower is excellent. Only slight problem was the heat of the room which was soon solved by asking reception to turn on the air conditioning. They also have a luggage room which is very handy if you have late flight/train. I would definitely recommend this hotel as it also has a Starbucks, Costa and Tesco nearby.	
May 27 2009 	Great location - Excellent Value	We arrived at this hotel early in the morning from Australia and as it was fully booked the previous night the room was not available until at least 1.00pm. The reception staff were very friendly and offered us an area at the end of the bar to open our luggage and to change our clothes in the ground floor bathrooms before storing our luggage. We were also offerd coffee by the recption staff. The rooms at this hotel are very modern, the bed was extremely comfortable, the shower was great and the room was air conditioned and fitted with a safe. All this at a very reasonable tariff.We left early so did not sample the breakfast but there is a wide range of good eateries opposite in St Pancras stationWe would definitely return to this hotel.	
May 22 2009 	Unwelcoming	Very unfriendly reception, unhelpful, disinterested receptionist was too busy chatting to a friend to serve us!The restaurant was being cleaned when we turned up for dinner we were offered a table in an empty room that turned out to be the worlds most uninteresting bar there were no other customers.The windows would not open they were locked shut. The air conditioning would not work and when we complained we were told it was sunday and no-one could fix it it until Monday if we were lucky.This was a very expensive awful experience I would not recommend this hotel if it was the last one in London it claims to be 4 star that is a joke and a sick one at that.	
May 17 2009 	Upgrade! Woohoo! Great location for Eurostar!	We arrived and were upgraded to the deluxe room as we are honeymooning. The deluxe room was huge, really massive for London! The coffee machine was great, great view of Kings Cross station and so convenient for our travels to France on the Eurostar and no train noise whatsoever. Bed was comfortable, bathroom was clean, nice and modern. Staff were very helpful - they printed out tickets for us. Would recommend this hotel, especially for those using the Eurostar. Had a great stay and the staff were lovely!	
Apr 30 2009 	LOVE this hotel!	We stayed at the Megaro on our last night. Wish we would have found it earlier! The room was large, very modern, and the bath was great! The bed and pliiows were the most comfortable we stayed in! The hotel was quiet as well-good when you've been gone from home for 10 days! The train station is right across the street, which makes travel easy! My only complaint was that the &quot;bartender&quot; did not what he was doing. He told us he had never even drank a beer and did not have any recommendations-OK. It would be nice if they had someone a little more experienced in that area.Otherwise, great stay. I will visit this hotel again!	
Apr 28 2009 	Excellent hotel. Shame about rude staff!	The hotel is in an excellent location, and if you pre-book is not a bad price. The rooms were exceptionally clean and very large.One big problem is the bath tub. The side of it to climb out of was stupidly high, and for anyone shorter than about 5ft 9 would likely cause real problems with wet feet.We had a great time until we 'overstayed' our welcome. On the day we were checking out we used the lastminute.com booking slip as our reference, which stated 12 midday as checkout time. At about 11 we got a reasonably rude call to the room telling us we has overstayed and should immediately check-out as checkout was earlier. When we got to the reception desk we queried the booking form with them, and a lady that had previously had nothing to do with us (and was sat in the office on her hotmail) came out and very rudely told us that we were wrong and lastminute had made a mistake - she made it feel like WE should be in charge of telling their booking agent, and that it was nothing to do with them!Other than that, very good.	
Apr 26 2009 	Just right to make you feel comfortable!	Excellent hotel, fantastic location, friendly stuff, very cosy spacious room, contemporary design with an appreciation for details, but without overdoing it. Just right to make you feel comfortable! I also appreciate the wooden floors and white linen, free in-room internet, deluxe coffee-machine and the daily refill of still and sparkling water. The beds are huge, but the mattress was for my standards a little too soft. However, without any doubts my favourite hotel choice in London.	
Apr 24 2009 	Ideal location for an early start on the Eurostar	Great hotel with really helpful staff and spotless rooms. The only issue was problems with the thermostat in the morning - the water was too hot to shower and no cold water to clean teeth! However, well worth staying here if you're off early on the Eurostar - just across the road.	
Apr 23 2009 	A WONDERFUL SURPRISE	We stayed here for 2 days in April and picked it primarily for the location because we were headed to Paris via Eurostar. TIP: We got a great rate including full breakfast right on their website that beat all other sites prices. I arrived a bit nervous because 2 days before the trip they emailed me to confirm my reservation was for a single (which it was not) and that there were only rooms with double beds available. I wrote back to say a double bed was really not acceptible since I had a reservation stating I booked a room with twin beds and listed the number of guests. I was travelling with a teenage daughter who tosses a lot and I am a light sleeper. They said would get me an extra bed and I assumed it would a be a roll away cot. I appreciated them doing their best to fix a terrible mix up but the idea of putting a roll away into what I imagined would be small city hotel room was a bit nerve wracking. Well I was SO WRONG they instead upgraded us to room with a separate seating area that had a double pull out couch (Which a very thick and nice mattress not one of those ones where you feel the springs through). In general the room was a great size, larger than we expected (even minus the 'sitting area' ). The upgrade made our day but without that I still have to say the beds were VERY comfortable, everything was in beautiful new condition, I loved the Expresso machine , the bathroom was huge (not sure if that was just in the upgraded room or not) and the staff was very helpful. We were worried about Kings Cross being a bit out of the center of things but is was so easy to get around. We'll definitely chose it again if we make it back to London.	
Apr 22 2009 	Excellent hotel	Excellent hotel for a leisure weekend in London. The underground is just in front of the main door, and St. Pancras station is at 5 minutes from the center. Huge rooms with ultra modern design and high quality materials (have the most confortable bed I've ever seen). Highly recommended !!!	
Apr 21 2009 	Pricey but worth it	A bir pricey at £120 per night but if you want to avoid a dodgy place and make sure you stay somewhere convenient, clean and close to the train station then Megaro is the best :)	
Apr 19 2009 	Great location for Eurostar station	We stayed here on 9 April for one night before travelling on the early Eurostar to Paris. It is literally across the road from St Pancras Station, so incredibly convenient. Food in the restaurant is excellent but unfortunately did not open until 7 am for breakfast, which was too late for us. The rooms are comfortable but quite small, however we were staying overnight only so it was not a problem. The only real criticism; the shower screen is not wide enough and the bathroom floor tends to get very wet! If you are staying for longer it might be worth paying more for the better rooms because we did suffer slightly from street noise, not enough to keep us awake all night, but enough to be disturbed.	
Apr 19 2009 	Almost perfect	Stayed at the Megaro this weekend with my boyfriend for one night. The location was fantastic. Right next to the tube station so within seconds of leaving the hotel you could be on the tube to anywhere in London. Also just down the road from St Pancras so really useful for getting the train back home. We were able to leave our luggage with the hotel after checking out so didn't have to lug it around the city all day. The hotel was almost perfect. Really comfy bed, free tv and internet and a really cool jukebox kind of thing on the tv! Room was very minimalist and the wall to the bathroom is glass and completely see through! Not a prob for me and my boyfriend but might be a bit awkward if with family! Was very clean which is always a big thing for me. The only little niggles I had were we didn't have any milk in the fridge so we had to ask a maid for some before we could have a cup of tea, and we were only given one bottle of water. Could have done with more (especially with a hangover!) although seeing as it was complimentary suppose I can't really complain. To sum up great location, reasonably priced, plenty of complimentary things and really lovely hotel. Would def stay again.	
Apr 16 2009 	Almost perfect - big room clean good service	I was there earlier April, it's close to train/bus station, very convenience, service is super good and the staffs are helpful~~ The room is very big and clean and the bed is confortable, also, I enjoy the free wifi and little thing is that a bit noise, but it's ok.	
Apr 15 2009 	A Perfect Last Day in London	Excellent location - right next to St. Pancras/ King's Cross station. The staff are all very friendly and helpful - they even gave me a message my friend left for me the night before before i checked in; on another occasion, i couldn't find the phone (because it looks really modern and is only this small, minimalist, rectangular thing at the corner of the wall) and decided to go down to the reception to ask about it, but as i was waiting for the elevator a staff member casually asked if i was happy about the room and i told him about the missing phone. He immediately went to my room to show me where it was even though he seemed to be in a hurry to some duty.ABSOLUTELY loved the free internet access inside my own room. The shower was great too. I checked the floor plan and it seemed that i had the smallest room on the whole floor but it already felt spacious enough. And there's an expresso machine inside the room too.The entrance of the hotel is quite small so some might miss it by mistake.	
Mar 29 2009 	Loved it!	I booked Eurostar for a day trip but to get the £59 deal it meant having to stay in London the night before so that we could check in at 5.45 am. I can't actually remember how I came across this hotel but so glad I did. The hotel itself is just across the road from Kings Cross and St Pancras and probably the most attractive business in sight. Location wise you really couldnt find anything closer.I booked directly on the hotel's website as this seemed to be the cheapest at £79 including VAT. When booking I asked if we could have a quiet room which is probably a bit optimistic in Kings Cross area but they accomodated my request and placed us in a bedroom on the 6th floor which was not directly overlooking the Euston Road. The room was HUGE. There was a separate lounge area with a big sofa, flat screen TV and wardrobe which had in it mini bar with two bottles of water and fresh milk, an espresso machine, iron and ironing board. In the bedroom area again there was another LG flat screen TV and then there was a huge bathroom which was beautifully decorated. I had booked a table for dinner but we decided to go to the bar for a quick drink first, The bar is cosy and seems to get a few regulars who are commuting back home from London. The barman was very friendly and service was great,We went downstairs to the restaurant where I have to say I probably had the nicest dinner I have ever experienced out of all my years of dining in London. The menu itself was a great menu with varied choice and reasonable prices. I chose the halibut and my boyfriend the lamb. Both were exquisite. We both then chose chocolate fondant dessert for dessert. The atmosphere was very buzzy with hotel guests and people who were not staying there dining there. I would go there again in a heartbeat.I would certainly stay at Megaro again. Value wise it was amazing.	
Mar 23 2009 	Disapointed	I booked this hotel through expedia and expected the price online to be the total. However, the hotel added Tax - VAT? so it was an extra £10, breakfast was not included. They left a paper outside the room door, which was good, then charged us for it! The lift was not working and 4 flights of stairs were hard to negotiate with luggage.The shower had loads of jets which was nice but no shower door so flooded the bathroom!I am cross as I left a radio behind and this has not been handed in.The good things were the bed was really comfy and large, we overlooked the main road but the room was really quiet, the temperature was just right. Nice TV and wireless internet for free.	
Mar 11 2009 	absolutely OK!	hotel is absolutely ok.very good location, easy to access from heathrowrooms are small but have avery cool shower and everything else you need for a 8-hour sleep,even free internet via TV and tea and coffee!i will stay there again for sure... just try to get a room on the lower floors since that lift never seems to work.	
Mar 3 2009 	Most Comfortable Bed - Ever!	I have just returned from a 2 night stay in the Megaro hotel and I would highly recommend this hotel. The hotel is situated directly across the road from the entrance to the King's cross station - it is easily accessable from an underground tunnel that will bring you to the door of the hotel! True the King's cross area is not the most picturesque area of London by a long shot but it is a good location for sightseeing in London. We went there for an Arsenal game - the Emirates stadium is only 3 stops away. Anyway back to the hotel - from the outside it is nothing much - tucked away between Burger king and a bureau de change. The reception area is quite small with a bar/dining area next to it. We stayed in room 402 on the 4th floor - the room itself was huge - a large double bed and also the capacity to fit 2 more people with 2 pull out beds hidden in 2 wardrobes - there would be plenty of room for 4 to share this room. The bathroom had a bath and shower and interestingly the sound from the television also was piped through to the bathroom from the large flat screen TV in the bedroom. Also in the bathroom they provide fluffy bathsheets rather than the miserable little affairs that some hotels think pass for a towel! The decor of the bedroom and the hotel in general is very understated with a lot of use of pale wood and frosted glass - very minimalist in design and very easy to keep clean. The bed itself was one of the most comfortable beds (besides my own!) that I have ever slept in with lovely crisp white sheets - they use down filled pillows and quilts so bear that in mind if you have allergies. The windows were quite well insulated against the noise of Euston road- you will hear some noise during the night but it is quite muffled and I don't think that it is at a level that would prevent anyone from sleeping.Continental breakfast was ample with a good enough choice served in their basement restaurant - very good quality fruit juice and raspberry jam! Dinner is also available in the restaurant.Our room was also equipped with an espresso machine and fridge.The only downside to this hotel was the fact that the lift was not working during our stay which meant we had to climb 4 flights of stairs after a day spend walking around London not the best way to end the day! The hotel staff made it sound as though it was a recent problem but I only just discovered from reading other reviews just now that it appears as though the lift has been out of order since at least the start of February which isn't really acceptable for a 4 star hotel.All in all - I would recommend this hotel for a short break in London.	
Feb 19 2009 	Incredible rooms clean centrally located nice price	This was a very pleasant find! Thanks to the reviewers in TripAdvisor that included pictures and their experiences, we found a gem in London.The rooms really do look like in the pics. It is clean and centrally located. It cost less than our B&amp;B in York and I will go back again. It is trendy, the rooms are quite large, modern, free espresso, plasma TVs with internet. Loved it!The check-in was incredibly fast but the woman was not very friendly (shame). The rest of the staff was accomodating and cordial.	
Feb 17 2009 	Great location; bathroom needs work	The Megaro has a fantastic location, just over the road from St. Pancras and Kings Cross stations, though it is wedged somewhat unprepossessingly between a bureau de change and a Burger King. My room was very spacious, tastefully fitted out, with a comfortable bed and an espresso machine. Very good value at a low weekend rate. Some quibbles, though. The shower cubicle in the bathroom had a pebble-effect floor, which had been patched up several times with sealant; the rest of the bathroom was floored in laminate which had become warped and was lifting away from its base. The lift was also not working and wasn't repaired in the 24 hours I was there. The hotel had been open less than 12 months, according to the reception.	
Feb 3 2009 	Great room but some small improvements to make excellent	Found this hotel through Laterooms.com and got a bargain - absolutely fantastic value for money. The hotel was smart, clean, beautifuly decorated and the location was perfect! Literally 20 yards to Kings Cross underground and station, and right opposite St Pancras.When we first arrived we were booked in quickly and the staff were friendly and professional. We were given our room key and found out we were on the top (5th) floor, and then told that the lift was out of order! They did offer to carry our bags for us though. 10 flights of stairs later and we finally got to our room.... well worth every step! We had booked a standard but when we checkedo ut it turned out we had been upgraded to a deluxe room! Very nice, but there were a couple of small problems. When we first arrived, there was no heating in our room so it was really cold but after turning the thermostat on it quickly got warm - too warm! There was no plug for the bath but a quick phone call to reception soon sorted that out. It was a little noisy but not too bad - however if we had been lower down it may have been an issue.Would definately stay there again but only at a discounted rate. I wouldn't pay full rate for this hotel!	
Feb 1 2009 	Good location and friendly place	The hotel is very handy for kings cross (overnight business trip). The restaurant is reasonable in price and selection. The room was clean and comfortable although a little quirky with the phone located on the far side of the very large room. The room had two 32&quot; flat screen TVs. Freeview was available but no on demand services which were out of order. The slightly complicated coffee machine failed to work. Free wifi was available throughout. The staff were efficient and helpful. One major problem is there is only one lift and it was broken down so people on the 6th floor had quite a climb. On arrival on the floor there are no direction signs to the rooms so unless you know exactly where to go a little exploration is required. Otherwise its very pleasant and will if possible stay there again.	
Dec 13 2008 	Noise!!	This hotel is in an excellent location for St Pancras International and Kings Cross stations. The room was very spacious and modern and potentially good value. The modern ensuite had glass doors and some folks do like a bit of privacy when on the loo!! I also found the shower a little complicated to use and had some difficulty getting into the very high side of the bath to stand under the shower. However, all this was of little significance when we tried to get to sleep. We had a beautiful room at the front of the hotel but the window glazing leaves a lot to be desired. The noise from Euston Road is unbelievable. There was traffic noise, people shouting and continual sirens all night. Several times during the night I got up just to check a window had not been left open. At one point the sirens were so loud, I began to wonder if it was the hotel fire alarm. As a result we had very minimal sleep. The hotel could easily remedy the situation with a little double glazing. Anyone booking this hotel should insist on a rear room.	
Dec 5 2008 	convenient location and clean rooms but nothing special	I booked a room based on decent reviews here, and because we wanted to stay near King's Cross station for travel convenience. The price was right -- certainly reasonable for London. But the room was extremely small and we had trouble regulating the temperature. Despite turning down the thermostat, the room was terribly overheated, and we ended up having to leave the window open all night. We've stayed at a number of other London hotels, and perhaps we're spoiled, being accustomed to much more posh accommodations -- but I admit, you do have to pay quite a bit more for that poshness. So for the price, the Megaro is O.K. But I wouldn't give it high marks for anything but what it is: a handy stop for travelers who need access to the train system.	
Nov 30 2008 	Getting overpriced	I often have business in this part of London and decided to give this hotel a try as a new entrant to the market. Generally, I was quite impressed but the posted rates seem high for the location and market and the internet rate I got was higher than the tripadviser average. OK - but this is not a really special hotel. It is right across the street from St Pancras and Kings Cross. Despite the heavy traffic, the sound insulation is very good and I had an undisturbed night. The room was very spacious and modern in decor, although I would not be a fan of sharing it - the bathroom was in the contemporary style with a glass front that had a very narrow opaque band to preserve the privacy of one's personal activities. Good shower, but a high side to the bath so it wouldn't suit anyone with any degree of hip problem. The espresso machine was a nice idea but needed better instructions - I could only get a dribble of discoloured water out of it. Front desk were friendly and efficient. Didn't try the breakfast - there are nicer-looking places within St Pancras.	
Nov 27 2008 	Great for a Eurostar Stopover	This is a great hotel for anyone needing a stopover in london before using the eurostar like ourselves, i probably wouldn't recommend it as a leisure break stop hotel in london, simply as i feel it lacks any kind of personality or warmth. As other reviews say it is directly opposite kings cross (our room overlooked it) so is very convenient. check in was quick and easy, not overly fussy we were directed toward the lift that was it (we wernt told what floor are room was on or offered any help). Rooms were clean and tidy, very good tv with internet function (keyboard is very niggly). I can see the decor looking very tired and dated in a couple of years yet at the moment looks as new as it is. Workmanship is questionable such as the finishing touches look rushed and botched in places. We couldn't get any cold water in our bathroom both taps produced hot water which was a pain. however the price is very good for london and being that its so convenient to kings cross and st pancras you cant complain to much. I would stay here again if we need a stopover for the eurostar again.	
Nov 20 2008 	very solid find in Kings Cross	The Megaro is directly - and I mean directly - across from Kings Cross station, and thus hugely convenient both for that station and St Pancras next door (and for the British Library, my own destination). It is on Euston Road, which is noisy, busy, and filled with the &quot;youts&quot; of various nations - that said, two blocks to the south you are well into Bloomsbury, home of good pubs and restaurants and the British Museum. The hotel itself provides shelter from the Euston Road storm; desk staff were efficient and friendly. I didn't use the bar (24 hours, supposedly) or restaurant, but they looked fine. My room was off the front and quite quiet - good array of toys and conveniences (expresso machine, high pressure shower (pretty good for the UK!), flat screen TV, free wireless, fridge, safe) and certainly big enough to spread out a bit. All in all a good stay - while the neighborhood might be wearing for a long stay, for a night or two, or if you don't mind walking, this can be good value for money and a comfortable hideaway. And for an overnight to or from a Eurostar train, it would be hard to beat.	
Nov 7 2008 	Excellent stopover	This hotel is clean, modern and very comfortable. We stayed for one night before catching the Eurostar and I would highly recommend it. The location is ideal, literally across the road from St Pancras. The staff were extremely helpful and all spoke good English (a rarity in London hotels these days, from what I can gather!)As a family of 4 with two young children aged 5 and 3, we had booked a family room. The children slept on good quality beds that pulled down from the wall (already set up). There was still sufficient space in the room even with 2 single beds and a 5-ft main bed. The room also offered a flat screen TV, free internet access via a wireless keyboard, a pod-type coffee machine (didn't seem to be working properly as very slow), complimentary milk (for the coffees) and water. At check-in we were advised that everything in the room was free except chargeable movies - it was nice to have that certainty. The bathroom was also modern with a range of nice toiletries offered and the shower had good pressure. We didn't try out the restaurant at all.I would definitely stay here again if catching an early morning Eurostar out of St Pancras.	
Oct 27 2008 	What a pleasant surprise!	Spent a night there before catching an early train to France. The service was exceptional, rooms clean, spacious and new. Loved the bathrooms. It is an oasis in the middle of Kings Cross.	
Oct 22 2008 	Mega fab!	My family and I stayed one night here before heading to Disneyland Paris the following morning. The hotel was clean and comfortable. They provided a cot bed for my daughter and there were still room to move around! I especially liked the use of the free internet (with a wireless keyboard) and Wifi. The Tv on the wall was great too! Breakfast was including but it was a very basic contenential breakfast, cheese, bread and ham. Cooked breakfast was charged extra. St Pancreas station was very close by, we walked there with one large suitcase and a pushchair. All in all the stay was very good.	
Oct 16 2008 	Very good stay at Megaro	Slightly dubious that there might be a lot of noise at night when booking this hotel, but was reassured by reading other reviews. Having asked for a quiet room when booking (and got a great deal at £99 for one night double room), I was very well pleased with the hotel and facilities.A small problem with the TV was immediately fixed by the staff, and the room and bathroom was very clean and stylish. Loved the jukebox feature on the TV as well - a great range of music available to suit all tastes. Would definintely stay here again, and recommend to people wanting a convenient base from which to explore London.	
Sep 24 2008 	Lovely Hotel	This was the second time we stayed at this hotel. I chose it for its close proximity to St Pancras (we were supposed to be travelling on Eurostar the next day but it was closed due to the fire).The staff at the hotel rang while we were on the train to check we were still coming - apparently lots of people had cancelled due to the Eurostar problems.We were given a lovely room on the top floor with great bathroom, which made up for not going on Eurostar - we got a flight to Paris from Heathrow (expensive though and we weren't covered by our insurance).We hadn't had the breakfast on our last stay but decided to go for it this time - it was good with plenty of choice.The staff were really helpful and friendly, and we will definitely be back for another visit.	
Sep 22 2008 	Ideal for Eurostar travellers	Stayed one night at The Megaro before taking Eurostar to Paris, used some airmiles so there was no cost involved. Having seen some of the seedier type hotels in London, was pleasanly surprised, there was a good welcome from the staff. The room was large, and the bathroom really good, there was a great shower!..Breakfast was excellent, and the young lady serving was really happy and helpful.We were sorry we did not have dinner there the previous evening, as we had a somewhat mediocre meal at St Pancras station.It is ideally situated for Eurostar, just across the road, couldn't be easier.	
Sep 18 2008 	Fanastic hotel!	We stayed in this hotel the night before we travelled on the Euro star.When we got there we were upgraded to a fab room with a view over king's cross.We paid a rate of £109 not ncluding breakfast.Three year old had her own bed and baby was in a travel cot.Room had coffee machine swing around chairs huge bathroom and big fluffy towels.Staff were very helpfull during our stay.Breakfast was expensive.	
Sep 15 2008 	Finally a nice affordable hotel in London	I just spent two nights at Megaro Hotel and was impressed. It was my first time in London with my daughter (17 months) so I was looking for somewhere nicer since we would be spending more time than usual in the room. Finding somewhere decent and affordable seemed like an impossible task at first but then I found a 120 £ per night deal on the hotel's website and decided to go for it. The hotel is modern and clean. Our room was on the top floor and for a standard room it was huge. It had a slightly separated closet area which we used as a baby room. They provided a cot and were very child friendly in general (which can't be said of every hotel...). They even brought us extra milk for the baby! The bathroom was amazing! Breakfast wasn't the cheapest but the waitress was adorable and they had a highchair for the baby. If you don't want to have breakfast there, there is a delicious French bakery on Judd street (I believe it's called &quot;Les deux amies&quot;). As far as the noise is concerned it is true: our room was right on Euston Road and it did get quite noisy, but it was manageable. No noise coming from the other rooms though, which would have annoyed me much more. The area isn't particularly nice or posh but I wouldn't decribe it as dodgy. I got home by myself with the baby around 9 pm on the second night and felt completely safe. Plus Russel Square and the British Museum are just a 20 minute walk away. Toward the end of Judd Street (perpendicular to Euston RD, a couple of 100 m from the hotel, about a 5 minute walk from the Megaro) there is a very nice open air shopping center with plenty of stores, restaurants and even a cinema. I don't exactly recall the name but it was something like &quot;Brunswick Center&quot;. We had lunch there on the first day and coffee in the sun on Sunday. Couldn't have asked for more. There are plenty of other restaurants and pubs in the British Museum area, an easy walk or a cheap taxi ride from the hotel. So all in all if somewhere vaguely affordable, nice and pretty central is what you're looking for, go for the Megaro!	
Sep 9 2008 	Really good convenient hotel	I agree with all the positive reviews. I stayed here for 2 nights on business. I asked for and got a quiet room which was nice and large and light.Good things to note were the helpfulness of the staff, the free internet access and great quality food via room service.I booked this hotel because my usual choice (the Whitehall Hotel on Montague Street) was full, but this will be my first choice in future.	
Sep 5 2008 	Good quality	The Megaro is located opposite Kings Cross train station on Euston Road. Convenient for those travelling to/from London via this station. It's location however, means that if you have a front facing room then the busy traffic on Euston Road will likely disturb your sleep in the morning. The windows aren't double glazed so when the traffic noise starts up at about 7a, it sounds like you're right on the street.Other than that though the rooms are a reasonable size with new and modern decor.The staff are friendly and courteous. The rooms are also clean. So it ticks all the boxes for as far as stay was concerned.Breakfast wasn't cheap - £13 for a full cooked breakfast. The quality seemed ok. No issues there. The area around Kings Cross isn't the greatest though - a bit dodgy. It took us 10 minutes to find a restaurant (any restaurant) - an Italian place where the food tasted like i cooked it. Yes, it was that bad.Overall this hotel is worth staying at if you need to be in the area around Kings Cross. Otherwise though, I'd stay clear of the area altogether and stay somewhere else in London with more stuff going on and a bit safer.	
Sep 3 2008 	Superb hotel	This hotel was a complete and welcome surprise! We stayed with out two children (9 and 13) and had a GREAT time. The staff was very professional and helpful and they held our bags when we arrived at 7:45am, and we checked in later in the day. The room was very large with a superbly appointed bathroom. The bedding was exceptional, and changed regularly during our stay, as were the luxurious towels, which were provided for each person in the room. The air conditioning worked wonderfully, and the double pane window system made the traffic a distant mumble. The hotel was literally feet from the Underground station, and there were plenty of restaurants in the area. This was a remarkable find in London and we thought it was an exceptional value for the price. We felt perfectly safe there, and the free unlimited Internet access through the room's large flat panel TV was very helpful.	
Aug 26 2008 	Megaro Hotel Great Hotel near Kings Cross	We spent one night at the Megaro Hotel and it was a great hotel and we good a great rate (99 pounds for double). The room was larger than all the other London hotels we stayed in). The room was very modern with room for all our bags to be opened without putting them on the bed. They even had wash cloths!! The bed was very comfortable. The hotel is just across the street from both Kings Cross station (for train to Edinburgh) and St Pancaras (for EuroStar to Paris). They only issue we had was there was no sign out side of the hotel - they said it was on order. There is a sign for the Megaro Restaurant and Bar. So, I went in and found the hotel lobby to the left of the restaurant entrance. Breakfast is not included, if you want it, be prepared to spend $25. We skipped it and went down the street to McDonalds.	
Aug 8 2008 	Perfect Stay	I seriously love this hotel! We booked last minute at the height of tourist season and were able to stay over a week in their double executive suite. We had a great view of the beautiful St. Pancras Station. A paper every morning and expresso machine in room...although ours was leaking due to a faulty o-ring. What can ya do about those things. Anything we needed we got straight away.Wi-fi is available in room and also access through the LG flat screen television. All and all this was a great stay and I would absolutely stay here again. I should mention that travel via the tube is extremely convenient as you are right across from King's Cross Station (very central).Friendly staff who helped squeeze us in when we extended our stay!	
Jul 31 2008 	Recommended highly especially for Eurostar Terminal	Stayed here both before and after a Eurostar trip. The place could not be better - located, immediately across the street therefrom. But beware ! - it's an older building right next door to Burger King so not easy to spot at first.It proved a totally excellent place to stay in every respect.The food was of a particularly high standard - no need to eat out, although there's the Betjeman Gastropub and Carluccio's opposite.Bathrooms are very modern and well-fitted with luxury toiletries [and in some much on display !!] but splashproofing of power showers and the wooden bath surrounds not too effective.	
Jul 28 2008 	Rooms are lovely but..........	Booked a Deluxe room as a treat for my husband and I. I was a little disappointed on arrival as i had to go to reception to ask for robes, slippers, complimentary water, wine and petit fours.... as they were not in room on arrival as promised on their hotel website. Never did see the &quot;petit fours&quot; or wine... as they didnt seem to have a clue as to what i was talking about!!! The room was great( clean and tidy), coffee machine was easy to use,and bed was very comfy.We didnt eat in the restaurant as thought £13.50 was a bit expensive for breakfast. The hotel is in a great spot for kings cross/st pancras as they are only across the road.Just make sure that if you book a deluxe room you receive the complementary items listed!	
Jul 16 2008 	Good quality	Very sensibly I checked out the reviews on Tripadvisor before booking a hotel in the Euston/King Cross area - and I was really pleased with the choice I made.....so thank you all previous reviewers.This is a really nice hotel. The outside - located between a couple of fast food outlets, a bank, and a post office isn't particularly striking - but once inside it's a haven. My room, on the corner of the building, directly overlooked King's Cross Station, was spacious and very comfortable. Nice, simple, tasteful decor with good lighting. Flat screen TV gave excellent free internet access once I'd figured it out (some written instructions would be useful) - but they also supplied an ethernet cable free of charge for my laptop. Bowl of fresh fruit and big bottle of water was appreciated. Bed and pillows were very comfortable, and the double glazing and air-conditioning meant that I had a quiet night's sleep at a comfortable temp.Bathroom was lovely - although I do wonder how long the timber frame around the bath area will last without beginning to look grimy? One downside - when checking out the settings on the shower I managed to squirt water directly into my eye from one of the many squirters - and because I couldn't reach in to switch it all off without having water blasting into my face, I soaked myself and part of the bathroom! So, be warned, don't play with the settings until you're undressed and standing in the bath! Quick note about the restaurant in the basement (-1 in the lift). I tried the taster menu and it was really, really good, tasty food well-prepared.So - overall, a hit! I'll stay again.	
Jul 7 2008 	Fantastic hotel fantastic location	This hotel is absolutely fantastic, both in terms of location, being opposite the Eurostar St Pancras and Kings Cross entrances and also in terms of decor and luxury. I would go back tomorrow!!	
Jul 2 2008 	superb	This is a superb new hotel right opposite Kings Cross. The rooms are very well kitted out with the best of equipment. The hotle restraunt provides amazing dishes at not unreasonable prices. The continental breakfast was well balanced and provided good choice. Found this hotel by accident but will return the next time I am in London	
Jun 20 2008 	2nd visit and superb	This is my second trip to Megaro and I have to be honest - FANTASTIC. My wife loves the Gilchrist &amp; Soames wash bags that are supplied in the rooms and comp to take away. The rooms are spacious and very well finished. Since staying here on my last visit I didn't bring my laptop because I can access my email via the flat screen TV and it's FREE. No charge - brillant if your company frowns on paying £15 - £20 for internet like mine does.The best thing is that you can be anywhere in London in 10 mins and at Eurostar checkin in under 2 mins.Had dinner and paid £15.50 for 2 courses. Service was attentive and food was fantastic and beautifully presented. The best risotto I've ever tasted.	
Jun 7 2008	Excellent Hotel in great location	I booked this hotel for a special weekend with my friends without the kids.I was given a very big room with wooden floors and a big bathroom, the toiletries come in a nice bag ideal to take home, big LCD TV. The staff at reception recommended the restaurant at check in and we decided to try it before going out the food was great and very reasonable price.Great location just across the road from St Pancras.	
