	A Tad better than Tourist Class	We were cautious about a hotel in a converted terrace house, since the sound transmission of every footfall from the room above in a Pimlico (Belgrave Road) tourist class hotel a few years ago kept me awake each night. At the Academy I was sure to request a top-floor room in advance and on arrival--and having just read that so many others suffered the heavy footsteps of their upstairs neighbors, I'm so glad I did and very grateful to have been granted one (the pretty but uncharming clerk repeated that he could &quot;not guarantee anything&quot;). The interior storm windows were effective in reducing street noise. I'll very briefly list the strengths--location, location, location, near lots of interesting restaurants, shops, the British Museum, and the University of London. The decor is charming, too, as most reviewers have already said. The weaknesses center on attention to detail. I had to ask twice to have the light over the bathroom sink repaired. The bottled water was missing the last day. Neither were the coffee packets replaced over the three-day stay. The tiny bar of soap (in the shape of a frog) was never replaced, nor were the fine shower amenities (shampoo, conditioner, body wash). The drains in the bathroom smelled, and on the second day the wakeup call came 40 minutes late. And the last night a attic exhaust fan whirred noisily. The front desk staff is polite but undertrained. I booked the room through the hotel Web site and would highly recommend booking through Kayak or another consolidator, so as to pay in American dollars, if that is your currency. (The dollar declined so badly that we ended up paying $233 per night for a tiny room.) I'd certainly stay Bloomsbury again but would try for the Hotel Russell.	
Jun 18 2008	Pleasant hotel unpleasant staff questionable billing practices	We stayed at the Academy while on business with University College London, which booked it for us.Hotel is quiet, great location, pleasant rooms (although rather dark in &quot;English&quot; dark and rainy weather) but staff is not helpful--and I would pay very very careful attention to your bill afterwards.We were charged twice for 1 minibar item, after a lengthy exercise in which one us attempted to pay for it. We have not yet resolved this error--they basically ripped us off.We were quoted a laughably inaccurate rate when we inquired about taxi rates to St. Pancras train station, even after the staff consulted a &quot;notebook&quot;.We were not offered breakfast as part of our stay, so I find it interesting that other reviewers got breakfast.We were first put in a dark, cramped garret room, and it took a lot of work to get moved to a larger room when one became available. One of the staff is basically ornamental (a pretty young east European woman) but incompetent.There are literally dozens of other very similar hotels to this in Bloomsbury (small hotels made out of several townhouses joined together)--I would guess that some of them are a better deal with better staff.	
Jun 9 2008 	Ripped Us Off - Literally!!!!	Booked partially from the review page that says such lovely things on tripadvisor. This hotel continues to be a financial nightmare a month later. I was charged twice, once with a 3.5% &quot;US Conversion Fee&quot; that I refused to sign, and a second time without the fee. They've YET TO REMOVE either charge a month later.They also charged a 17.5% GRATUITY (over and above the VAT) that they refused to remove. Service was mediocre at best while we were there, and has been disgraceful since we are home.They never removed the first charge, which was ona debit ard and went directly out of my account, and no matter how much proof I fax them they still refuse to even acknowledge my emails. Horrible, horrible place.	
May 25 2008 	A Great Hotel	My husband and myself loved this hotel. We had read some of the reviews on this site and where a little apprehensive. The whole experience of staying at the Academy was excellent throughout. The staff were attentive and helpful at all times. The room was clean and spacious. Breakfast: both cooked and continental was just right, plenty of choice. The parking was very reasonable and secure in a lock up garage.The hotel was central with easy access to all the tourist attractions. We thoroughly enjoyed our stay and couldn't fault anything. Staying at the Academy topped off an amazing weekend in London.	
Mar 23 2008 	The Only Answer Is "No".	I booked at the Academy because I wanted to stay in Bloomsbury again and the hotel had a decent rating on Expedia. I liked the idea it was a bunch of converted townhouses and thought that might add an element of charm to the digs. It does not. I won't complain about the small room size because that's what Europe is all about unless you're staying in very posh accomodations. Travelling alone, quality of staff and amenities trump room size every time. I'll begin with the positives so you can skip right to the bad stuff at the end, if you're so inclined. The room was clean and the bathroom had modern fixtures, including an enclosed shower stall instead of a tub with a curtain like my previous hotel in London. The breakfast, both Continental and Full English, is nice and the basement restaurant is cozy with an attentive staff. Location wise, it is within easy walking distance to several tube stops, the shops of Tottenham Court Road, and the British Museum. It is a drag that you have to go at least two blocks to find a Tesco or Boots, both seeming to be on every other street in the city. Now, on to the little things that wore me down over my three night stay and would have caused me to go elsewhere had I planned on staying longer. My room was situated near the reception area in a very small hall with a fire door on each end. People in other areas walked through, slamming the doors at all hours. The walls are thin and you can hear creaking and talking from every direction. I'm not one to complain about lack of a view, usually, but I'd like a little more than air conditioning units and rotted wooden beams. There was an inroom safe, as advertised, but I kept getting a low battery message and it would not work. This was never fixed during my stay. I mentioned that the bathroom fixtures are new, and this is great. I would, however, appreciate it if when I sat on the toilet my shoulder wasn't pressed up against the edge of the sink! I didn't have any problems with the small shower enclosure but people of more than average height or girth might have a difficult time with it. The 24 hour room service shut down at 11:00pm (I guess it wasn't 24 hours in a row!). All of these little things are irksome and do add up to a moderatly negative experience. The worst part is that I could have laughed off most of these issues if the staff made any effort to treat me like a guest instead of a bother. All three of the concierge's I dealt with said &quot;No&quot; to every single request I had. No late check out. No baggage hold once I'd checked out. No, they didn't know where a store was, etc. They wouldn't even call for a real taxi and tried to stick me in some gypsy cab without markings or meter inside! On my last night, my room service order was delivered incorrecty and i had to go out to the front desk and ask the blank faced girl for help before someone told me they were out of the second part of my order. Was I supposed to guess for myself that they were out and that's why it was missing? She wasn't even slightly apologetic. I'm not even close to the &quot;Ugly American&quot; tourist stereotype but I do expect the hotel staff to make me feel like I'm a customer and not a bother. There are so many other hotels nearby that there is no reason to settle for this place, particularly because they don't seem to really want your business.	
Jan 2 2008	Outdated terrible service	All started in a very bad way.We did our reservations through the internet, but on arrival the clerk did not have the reserves. The check in took almost one hour – reservation problem, system problem, computer problem, etc, etc. After one our, we went to our room – terrible, with a huge smell of fresh paint. We asked for another room and it was as bad. Finally, after all the problems we got a decent room on the last floor with no elevator (watch out for heavy bags!).The room was quite small and outdated.The checkout was another problem, it took too much time and again payment\reservation problems.The location is not that good.	
Dec 4 2007 	Horrible	The room I had was to small as well as the bed and the room was a bit dark. The barthroom looked allright but you find better showers on east-european campings - the bit of wather what came out was freezing cold. Dont think about bringing a lot of lugage because there is no elevator so you have to carry youre stuff up tiny staircases. The location is excellent if you like the british museum.	
Dec 1 2007 	Don't waste your time 	Beware: check-in time is 2pm. If you're flying in from the States, you land at 0800. You'll get to the Academy at 0900. What next? Not their problem. Check-in time is at 2. There is no accomodation or negotiation: even for the elderly. The room truly is the size of a postage stamp.	
Oct 19 2007 	Atrocious	Not one of Summit's finer properties. Avoid at all costs.The shower was mildewed, the curtains torn and paperclipped into place to hang. Pillows torn and toilet wouldn't flush. No maid service for days, even after I made a specific request. Staff was also unattentive and ungracious. When I asked about getting a taxi, I was told to go take a walk to get one.	
Oct 2 2007 	worked really well for us	Spent a week at the Academy while settling kids into university in the UK. Suite was a good size. Really a king bed with a decent sized sitting area. Tea, kettle, cups etc all available along with stocked mini bar fridge and safe. Paid for 1 week internet wireless connection which worked without a hitch...on any laptop we opened in the room (and we had a few!), even three running at once. Can't remember what is cost except that for the number of us it made sense.Breakfast wasn't included in our booking ([--]) but we sprang for it one morning. It was really nice but ridiculously expensive. If you want the breakfast try to get it included in your quote, otherwise there are pleanty of Pret a Manger type breakfast places around for way less. The coffee (in a presse pot) was particularly good and we did have that a few times.Our sons started out in suite 21 (I think) upstairs (3 or 4 floor). I thought it had a funny smell. Kind of like they were trying to cover up a smell with a pine or eucalyptus air freshener. They really liked it though, and thought I was nuts. We stayed in suite 15 (1 floor up). It was darker than 21 but a nice room. Bathroom had bath/shower with very low shower nozzle. If you are taller than 5'5&quot; you will be on your knees in the shower. But water pressure and warm water were fine.Staff was adequately helpful, kitchen crew were quite lovely. Moved one son to a single room once the other had left. It was a small room with a single bed, but a great bathroom and very nicely appointed. If you had a lot of suite cases it would be too tight, but he kept the big cases in our room.Value was fine. Didn't feel like we got a fantastic deal, but by London standards we thought we had done fairly. We looked around at a number of other locations while we were there (myHotel, Radissson Kenilworth) and decided we'd probably stay at the Academy again if we got a fair price.	
Sep 20 2007 	Charming Hotel in London	I was searching for a decent hotel at a fair price and was able to book at the Academy. It is centrally located to a few tourist sites including the British Museum. It is also close to a few tube stations so easily accessible to almost anywhere you would like to go. The area is very nice and I felt safe coming back late at night as I was traveling with another female. The hotel itself has a charming courtyard and an attractive lobby. You must climb the stairs to get to your room as there is no lift. It can be quite a climb if you are on one of the top floors. The room itself is small, but the beds are comfortable and the room was clean. I could tell the furnishings including the carpet were a little worn, but it was tastefully decorated. The hotel advertised luxury (frette sheets and sparkling water), but I didn't see any of that. We did get free still water, but that's about it. The bathroom was clean, however the shower did not have enough pressure. In addition, it took awhile to flush the toilets. Overall, I would stay here again for the right price.	
Sep 17 2007 	Needs much improvement	We stayed at the Academy based mostly on location and price. This was out 5th trip to London and this was the worst place we have ever stayed. The location is great - walking distance to everything. That is seriously the only positive thing I can say. For starters, it was extremely difficult to communicate with the mostly, non-English speaking staff. The room were ridiculously small, and ours was on the 4th floor. They do not have lifts, so pack light! The porters work spotty hours and are not available in the early morning to help. The rooms were very dated and not well-kept. The towels provided for our family of three were 1 large towel and 2 bath mats....I called several times for extra towels and was told the hotel was full and that was all they had. The brochure states they have breakfast, in-room dining, etc, They did not offer this. I feel like we were scammed. London is great though - just need to find a better hotel next time.	
Sep 7 2007	Nice place	We stayed in this hotel for one night and it was really nice.The room is large and clean, and the location is really great, just few minutes from Oxford street, Totenham by walk.The only negative point was that there was no bath, only a shower, and the hot water was really long to come (nearly 5 or 6 minutes to have hot water !)But this is a nice place to stay and you'll be welcomed great.	
Aug 29 2007 	Would recommend the Academy	I stayed at the Academy over the bank holiday weekend (to escape the Notting Hill carnival) and really enjoyed it. I booked a Townhouse Single and was slightly concerned it might be very small (having read some of the earlier reviews) but was relieved to see it was a good size for a single room with a nice bathroom too.I noted the earlier comments about service but have nothing but good things to say about the staff who were very friendly and attentive. I didn't have a hairdryer in my room and this was soon sorted out (on the Sunday of a bank holiday weekend too) and I felt that nothing was too much trouble for them.The prices were good for that premium weekend in London (I booked via Hotels.com) and considering the good location in Bloomsbury (less than 5 mins to the British Museum and 10 mins to the new Brunswick shopping centre) I thought it was excellent value. It was about the same price as a budget hotel chain (like Premier Travel Inn) but superior quality.My only negative was that the breakfast was expensive for what it was. Would happily recommend the Academy.	
Aug 21 2007	Lovely stay at the Academy	My husband and I stayed at the Academy for 3 nights after 1 night at its sister hotel the Colonnade. We loved its convenient location and our lovely room. Our room window opened into the hotel garden where there are some tables. The daily breakfast was very good with various options. The coffee and fruit selection were the best we've had (even compared with 5-star hotels). We had an enjoyable stay at the Academy.	
Aug 2 2007	I recommend the place but you should know	Located near the university, it is at a 10 minutes walk from 2 tube stations, Euston Square and Russell Square. The room we had was really great: super nice bed and comforter, extra quiet air conditioning, nice bathtub. It was quiet, we didn't ear street noises. But the service wasn't as great. For instance, if you ask for a wake up call at 7:30 am, it will most likely be 20 minutes late or... you may never get it. They did not refill the shampoo or soap, the bottle was even taken without being replaced, while some was left.... They have an express check out (if you don't do it, it will take foreverer), but you still have to give them your credit card (again) and wait for them to process it). The front desk won't do calls or reservations for you. Note that they don't have hair conditioner, but they do have hair dryer. They have a minibar. The in room safety deposit box wasn't working. Phone calls are extremely expensive. And breakfasts are REALLY good and breakfast service is really good (they were nice and quick). One stupid idea they had was to refinish the hardwood floor in the up season. We were on the top floor and it smeeled a lot. We just opened the window for a few hours and then it was OK.Over all, I recommend the place.	
Jul 30 2007 	Surprisingly plesant	My husband and I stayed here on the weekend of 28th July. I booked a double room directly with the hotel for a good discounted price. The hotel's location is excellent for the west end, Covent Garden as well the British Museum and University College London. It was also very easy to hail a cab from right outside the hotel as it is a busy one way street.When we arrived at the hotel we were upgraded to a suite. It was spacious and elegant. The bed was enormous and very comfy. The room was clean and bright. The bathroom was average but adequate. However the room was stuffy and the air conditioner didn't work. We opened all the windows and rang reception. They sent someone straight away who couldn't fix it and said they would try to contact an engineer asap. So we went out for a drink and when we came back there was a bottle of chilled Mumm Champagne, glasses and a bowl of fresh strawberries. There was a note to say sorry for the inconvenience. Actually the room was cooled just by opening the windows and we didn't need the air conditioning, but it was a good customer services touch. We felt that the staff tried everything to help and were polite and courteous. I would recommend this hotel but if going in summer check that the air con is working as others have complained about this in their reviews.	
Jul 25 2007 	Stay Far Far Away!	This hotel advertises its &quot;quirkiness&quot;. Apparently quirkiness means that the bathroom will smell disgusting, there will be mold in the shower, and the air conditioner will hardly chug along enough to keep the room at a barely tolerable temperature. The teeny, tiny shower stall didn't drain properly the entire two week period of our stay, although there was nothing plugging it. I'm not exaggerating about the size of the stall either... there wasn't anywhere to put down a shampoo bottle because there wasn't enough room to bend down to pick it up. Even outside of the shower stall, there was about a single square foot of space. A folder containing important documents went missing from our room, and the front desk staff did not seem to care in the least. The only good part about this hotel was the two women working in the restaurant each morning at breakfast. It's a nice location, but not worth the smell or hassle.	
Jul 9 2007 	Depends on the room	Very nice location, quiet, walking distance to the West End, Covent Garden etc. 5 stations are within walking distance.Breakfast is excellent, staff very nice and helpful and a newspaper is delivered to your door every morning.The hotel building is an old Victorian townhouse so there are only stairs and the corridors are narrow, not practical for getting to and from your room with luggage but very charming and there is a garden.Don't stay in a single room, they are tiny, go for a double instead.It is a bit overpriced and there aren't any smoking rooms but would consider staying there again	
Jun 9 2007	Don't stay here	Don't stay here! Unless you are guaranteed a ground floor room don't even think about this hotel. The room I had was at the top of the this town house hotel -it smelt awful, the fan didn't work ,the bathroom was appalling and dirty and when I tried to open the windows for some air found that they were All Painted Shut! There was no fire escape -only way out is back down the narrow flights of stairs I came up -no access to any other stairs . Its a death trap . The manager tried to tell me that the fire brigade had told them they had to paint the windows shut -this is plainly a lie.The reception staff were rude and unprofessional and couldn't have cared less. Another guest told me that his ground floor room windows did openThe breakfast is fine and the staff in the breakfast room polite. I would never ever stay here again. And its not as though its cheap.	
Jun 2 2007 	Pleasant comfortable stay	We (husband and I) stayed here for one night on 31st May. I had found a very good deal on the hotel's own website and booked a large king &quot;suite&quot; (this actually seems to mean just a more spacious room with a sitting area). The room was clean and well-appointed, and the bed was extremely comfortable. Robes, slippers and complimentary mineral water (a nice touch) were provided. Also, there is an early evening turndown service.We found the staff to be welcoming and helpful. Breakfast was included in our deal and was taken downstairs in a pleasant room which also doubles as the hotel bar. It was good (though not remarkable) and the service was friendly and efficient.The hotel has a lounge/conservatory which opens onto a small garden - a very pleasant place to sit if the London weather is kind.Around the hotel there are numerous places to eat and drink from cafes and pubs to smart restaurants (we can particularly recommend the Salt Yard) and on the evening we were there, the whole area was buzzing.Overall, an enjoyable stay, and we will return.	
May 15 2007 	Had a fantastic time.	I recently ventured across the pond for the first time. I chose The Academy based on it's location near to the British Museum and the Wet End. I was a bit nervous being a single female travelling alone but I couldn't have had a better time. The staff at the Academy were friendly and helpful, from helping me with my bags, to providing information on the best tube stop to get to attractions. My room was small but served its purpose, a bed and a bathroom are all I need. The service at breakfast was terrific, the wait staff friendly.I had a wonderful trip all around and can't wait to return.	
Apr 9 2007 	What a nightmare!	After trawling endless hotels to find a nice base to stay for our weekend in London we chose the Academy for its location. We do not know London well but everything we wanted to do was within easy distance from the hotel. We should have guessed there would be a problem as soon as we saw the scaffolding going up outside when we approached!On arrival at reception we were told that there had been a problem with our room (a leak - although we got the impression that there had probably been a mess up with the booking and there wasn't a room available so an excuse had been made) and we would have to go to another hotel. This hotel was over the other side of London in Little Venice which would mean that we would have to encur extra travelling time and cost. We were not offered help to cover the extra cost and by now we had wasted a good hour. We were however told we may be offered an upgrade. However the size of the room was not an issue for us, we hadn't planned to spend long there, rather see the sights.They then had the gaul to tell us that we could park at the other hotel but it would have to be in metered parking or in the hotel parking which cost £20 a day but even this would depend on whether there was a space!The receptionist was clearly uninterested in the whole affair. He didn't really seem to comprehend the fact we had driven over 2 and a half hours down the motorway and that they could have contacted us to tell us the problem to save us setting out. He didn't even seem bothered that we were clearly distressed and upset by the whole palava. Infact he was busy seeing to other guests whilst serving us. The impersonal service was probably the thing that upset us most.In the end we decided that the weekend was more or less ruined and that we would spend the rest of the day doing a couple of the things we had planned to do and would go home in the evening and give it up as a bad job.After working ourselves up to a lovely weekend away I cannot tell you how upset we were that our hard earned romantic weekend away was utterley ruined.	
Mar 27 2007	Charm Loosing its luster	I stayed at the Academy over the last five years several times. I love the location and when I first went there it was very well looked after. Unfortunately it has not been kept up as well as it might be. Staff used to be crackerjack but on my last visit new folks had been brought on, mostly from eastern Europe I think, as they had difficulty with English. Service was perfunctory and indifferent, much different from the way it used to. Like the rest of the neighborhood rates have soared despite all this. I'll miss the way it was and look elsewhere next time.Additional note: Under no circumstances should the elderly or handicapped stay here. There is no lift and stairs are narrow,uneven, and very steep.	
Mar 5 2007	Not what I expected from a boutique	I stayed at The Academy for two nights over the weekend with my girlfriend for my birthday. On entry the hotel looked quite impressive and then as we ventured up the tattered stairs and marked wallpaper I started to feel like I was in a seaside B&amp;B. The room was small and the decor was more granny's spare bedroom than hip hotel. Service and staff were excellent though so credit where credit is due, although breakfast wasn't the best, and the pillows provided were about 20 years old and massively uncomfortable.	
Feb 6 2007 	Mostly great!	My husband booked a weekend stay here for our wedding anniversary. We booked a romance package for one night and normal B+B for the other two nights, staying in a suite. Unfortunately, despite having had an email confirmation of our booking, we arrived hot and tired and looking forward to the champagne, chocs and bubbles only to find the hotel had made a mistake and we would have to wait another day for our romance! Fortunately, our room was still available and the suite was lovely - clean and spacious. (As the hotel is made up of several Georgian town houses the standard rooms are pretty small and the stairs would be very difficult for those with mobility problems - there is no lift). Overall the hotel is great. Beautiful courtyard and lounge rooms, good convenient location and good food. They could do with improving their organisation... we failed to get a drink in the bar as there was no sign of any staff (just a tv playing to itself)And the romance package? Well, the flowers and champagne arrived late because they'd been put in somebody else's room, but the breakfast in bed was very very good! I would recommend the hotel, but would suggest confirming and reconfirming your booking before you arrive!By the way, the tea and cookies served in the courtyard is definitely a good way to relax after a busy day in London :-)	
Jan 8 2007 	Unknown?	Well, I would love to be able to write a review of this property. Let me start at the beginning. I booked the Academy via American Express Travel; due mainly to their location and mostly positive reviews. I reserved for a Christmas Day check in for a 8 day stay. Arriving at the hotel by taxi, there was a note tacked to the front door, stating they were closed and would reopen after the holiday. But, they had reserved a room for me at another hotel, The Colonade. The very wonderful taxi driver went directly there. Nice enough looking from the outside, but I had no idea where I was and the property was miles from where I wanted to be. Upon entering there was a broken chair arm lying in the foyer and a rude young man who could not have cared less and spoke only 5 words to me. &quot;You aren't booked until Wednesday.&quot; Not a good start to my trip and I certainly wouldn't / couldn't recommend either property, which are indeed owned by the same people. I received no phone call nor email informing me that they had decided to close. I threw myself on the taxi drivers mercy, he recommended the Jury's Clifton Ford hotel in the west end. Excellent property, great service and wonderful staff.	
Dec 18 2006 	Excellent Location	Stayed at the Academy while attending a conference at University College London. Fantastic location!! Close to Tottenham Court Road and Soho, as well as the British Museum. A little pricey, but that's London. I booked a double on the hotel's website for 130GBP/night; check the Hip Hotels London website, as the price of their singles is a bit lower than the hotel's website (around 80GBP). Breakfast is not included in the price. My room was well-appointed and spacious, given that it was in the BASEMENT. There are a million other hotels on Gower Street, so if price is of a concern, check out the other ones, like the Arosfa....	
Nov 6 2006 	Excellent Location - Close and Quiet	We stayed at the Academy as part of our honeymoon. The location was great - in the academic area. Quiet in the evening, but very close to anywhere you want to get to. The hotel is just a couple blocks from Totenham tube station and a 10-15 min walk from Oxford Circus. Although the rooms are small (this is to be expected in London), we found the room to be well furnished and clean. The staff were quite friendly. Also, there is a little garden that you can enjoy some peace and quiet in the back. The only drawback is that there are no elevators - so anyone with problems walking up several flights of stairs should be warned.	
Oct 23 2006 	Will stay at The Academy again	Loved The Academy! Our room was spacious, nicely appointed and we were particularly impressed with the size &amp; quality of the bathroom. The amedities &amp; the staff were also very nice &amp; attentitive. Located about 3 blocks from the nearest Tube station. Have been to London many times &amp; this is the first Hotel that I will stay at again!	
Oct 9 2006 	doesn't live up to the promise	£150 gets you a single, tiny room at the top of many flights of stairs. There is no lift. Reception area is very small and the bar minute and in the basement with no natural light. Breakfast is in the same (hot and humid) basement.Essentially this is a couple of houses converted into a hotel on the cheap. The garden at the back is as small as all the other spaces. If you get a room at the front your sleep will be disturbed by traffic up until about midnight, and again from 6.00am.	
Oct 5 2006 	OK for Doubles	I stayed at the Academy with my wife many years ago and we thought it was great. This time, I travelled alone and booked a single room for £85 including breakfast (I scoured the internet for a good deal). I was a little disappointed since the single room (the smallest in the Hotel according to the fire escape instructions and map) seemed to be a little past its use by date. The shower room was small and a little shabby with a tiny, cracked hand basin and cracked tiles. The television was small and on the blink (This didn't bother me since I was in London to see the opening night of Spamalot anyway!). The chambermaid turns down your bed in the late afternoon/early evening and leaves a bottle of mineral water. Nice idea but I often wondered (since it has a replaceable stopper - see by the hi-fi in the photo) whether it genuinely was mineral water or tap water. Having said all that, it is very good for access on foot to central London. I could have stayed in a Travelodge on the road between Kings Cross &amp; Euston for £75 with no breakfast. The breakfast was great. I would therefore recommend this place for couples, but if you're booking a single room, don't expect too much and don't pay too much!	
Sep 18 2006 	Charming but noisy	We spent 4 nights in a suite on the first floor (2nd floor in US; 'Virginia Woolf Suite') and had a much more positive experience than many of the others who recently posted. The room, with a 4 poster canopied bed, was large and charming -- 3 enormous windows overlooked the street, and the soaring and swooping window treatments, along with the 2 English chandeliers and the non-working fireplace, gave the room a bright, comfortable Victorian feeling. The bathroom was recently renovated, quite clean, with a large bathtub and a glass screen rather than a shower curtain. There were various toiletries, robes, slippers, etc -- in short, all the amenities one associates with a boutique hotel. I was expecting meager streams of water from the shower head; it was fine. Service was good and the stairs were quite manageable. The TV had very poor reception (but I didn't go the London to watch TV); the CD player and FM stereo radio worked well.So, what's not to like? Despite the presence of double glass in the windows, sensitive souls (like this writer) can hear the deep vrooom of traffic. One can either be somewhat annoyed by it (as I was, although I got over it), or one can completely ignore it (as my travelling companion did). One should be aware, however, that if your room is in the front (and I believe all the suites are in the front), you may find it a bit noisy (but you're in a city!).I was also a bit miffed that breakfast was not included in the price(and I booked on their website, paying an average of 170 pounds / night plus tax), but the Deco cafe around the corner is excellent.We enjoyed our stay there very much, but given my sensitivity to noise, I'm not sure I would stay there again -- I certainly wouldn't book a room in the front.	
Sep 5 2006 	Hmmmm	Me and two of my girl friends stayed for two nights at the end of May, it was convienient for Covent garden, and the bed was comfy.The room was a suite on the third floor, dont mind there being no lift, we brits are used to walking up stairs unlike our american cousins it seems!There was a comfy king size bed which two of us shared and the other on the pull out sofa bed. We couldnt get a decent radio reception, the room looked a little like someones livingroom with a bed in it, decor was tired and shabby, and the carpet dirty. However that part of the room served its purpose. The bathroom however was another story, decent in size, looked unclean, I could pee harder than the shower and there was a musty odor we think from either the manky shower curtain or the peeling sealant round the tub.Staff seemed very pleasant, but over worked, we went down to the bar late saturday afternoon after shopping and a show, we had to wait a long time to be served quite expensive g&amp;t's then they ran out of tonic, and the bar man dissapeared for long periods to goodness knows where, so we wasted lots of time hanging around waiting to be served. We didnt eat breakfast at the hotel - £15 for a full english, even in London is laughable.	
Aug 3 2006	Loved the hotel hated the shower	This is a lovely, well appointed hotel located in one of the most charming areas of London. It is conveniently located near the Tube (just a short walk across the lovely park in front of the Russell Hotel) and reasonably quiet (particularly if you're on a higher floor facing the back). The hotel's staff is friendly and the breakfast is quite satisfactory. (Visitors should also try the cute cafe at the corner). However, my only gripe is the miserable trickle that tries to pass itself as a shower. It made for a rather unpleasant experience each time I turned the tap on (or is that statement an oxymoron?). If only these hotels would give us the opportunity to pay a bit more for reasonable water pressure: I, for one, would be more than happy to do so and would not hesitate to come back over and over again. It always amazes me that a hotel that's trying so hard to please can give something as basic as a shower such short shift.	
Jul 27 2006	Good Location but a few unwelcome surprises	We recently stayed at The Academy while on a whirlwind tour of Ireland, Scotland and London.I chose The Academy because it had parking and we had rented a car. What they don't tell you is that if you don't specifically request parking when booking your room - you don't get parking.We arrived on a Friday night at 8:30 p.m. after driving from Edinburgh, Scotland. It had been a very long, tiring day and we got very lost getting to the hotel so we were not in a very good mood when we got there. When we arrived we were told that we hadn't requested parking so there wasn't any for us. We could park on a side street for the night but would have to move the car before 8:00 a.m. the next morning or we would get a ticket. They would see if there was space in the morning for us to park our car and if not we would have to use a public lot 3 blocks away. We were lucky enough to get a spot the next day, but even the hotel parking is not at the hotel - it is a 1/2 a block away and they charge you 20 British Pounds per day!!!!! Our friends had to use the public lot and it was 27.50 BP per day.The rooms are nice and very clean, but unbelievably small and there are no elevators. We were originally on the 3rd floor. The staircases are very narrow and not air conditioned so hauling your luggage up those stairs is not pleasant - my husband almost passed out from the heat. We ended up paying for the upgrade to a suite (the size of a normal hotel room) which was on the 1st floor.The location is very good. Two blocks from the British Museum, three blocks from the tube so getting around was easy.Also, if you are allergic to feathers as I am make sure you let them know because they use feather pillows and feather duvets and it was very difficult to get them changed at the last minute.All that being said. The staff was very accomodating and I would stay there again, but now I know not to assume anything. Ask for every little thing you can think of that you are expecting to make sure you get it.My last tip - if you are crazy enough to drive in London, don't try and find your hotel yourself. Hail a cab and have him/her escort you to your hotel. After much stress we finally did that and it cost us 10 BP (the driver wanted 5 - I would have given him the world).C. Bailey, Sudbury, Ontario, Canada	
Jul 8 2006	Left after one night!	i stayed in a suite with the king bed. the room was big, but the whole place felt like it was trying to be luxurious, but when you looked at the details, you could tell it was far from it. the hallways were too narrow, the bathroom a tiny cube-with hot water and cold water coming down in seperate streams out of the same faucet. so one hand was freezing, the other scalding. the trashcans didnt have liners, and there were none of those perks you expect from a boutique hotel-like nice toiletries, etc. the room felt musty, and the couch and bed were stiff and uncomfortable. the whole place felt unlived in. the only plus was the location and the staff, they were really nice. but it wasnt enough for me to stay. i cancelled my rsvp after one night.	
Jun 28 2006	affordability and luxury all in one!	After the long transatlantic flight nothing could have made me happier than falling into that bed piled high with pillows! The hotel staff was very attentive, carrying my bags, bringing in bottled water, answering questions, even calling a car service (which was excellent and affordable to btw) The room was perfectly clean, and the little extras like slippers and in room tea and coffee service were well appreciated. The full english breakfast was simply divine. The only low point was that the minibar fridge had a slight odor and every now and then a funny smell would drift in thorugh the AC, but it was nothing that put a damper on my stay. Be wared there is no lift, so if stairs are an issue for you request a 1st floor room, but there are plenty of staff on hand to carry your bags for you if thats your only worry. I highly recommend this hotel. Shop around too. I found my room rate at almost 70% off, and I noticed a lot of discounts for this hotel on those hotel search sites. Oh and yes their rooms are small (though I had a very spacious single) but this is Europe people and the hotel is located in a Georgian Townhouse, small rooms are the norm.	
Jun 7 2006	Dream Location	Two blocks away from the British Museum, and easy walking to the West End and Covent Garden make this a perfect place to stay, but what makes this stand out from the rest of the hotels and B7B's on Gower street is the level of service. the room felt like home, and all of the little touches ( coming home to a room with the radio play, a fresh bottle of sparkling water and slippers by the bed) made me feel very spoiled indeed. The place has vintage charm, and at the same time a wonderfully modern and up to date bathroom. The best of both worlds!	
