	Glorious public spaces but worn out rooms	We stayed at Claridge's for a weekend in November in a suite, which we were told had recently been 'refurbished'. The bedroom and living room, although both very large for central London, were rather worn out with vintage curtains and some chipped paint and tired carpets - fine generally, but not at £1,200 per night! The service standards are good, probably amongst the best in town, and the lobby is one of the most glamorous. For us, though, the room was a big let-down. Brown furniture, cheap pictures and very old fashioned lights and so on. It reminded me just how chic The Connaught now is, albeit with rooms which are a fraction of the size.	
Mar 3 2009 	Lovely.. but.....!	On entering the Hotel after the 2 minute walk from Bond Street tube, you are welcomed into a wonderful lobby area.... check in was OK - the reception staff had to keep calling housekeeping to check if the room was ready... then escorted upstairs. The man on reception walked us briefly around the foyer and gave us a little history of the building and took us up to our floor in the oldest elevator in London- one of the old fashioned ones where you can see the floors rushing past!The room was comfortable and functional and to be honest looked a little the worse for wear (unless that is the Art Deco style??)- not by any great shakes &quot;amazing&quot;.. one big plus point though, our bath was like a swimming pool! It was so deep and perfect for sharing!We went to London to have a meal at Gordon Ramsay at Claridges so thought it would make sense to stay here to save the discomfort of walking in killer heels!! The restaurant is wonderful and the food utterly superb - well worth the visit if you can afford it - not cheap.....More than anything. the location is just excellent, we spent a couple of hours and walked from the hotel, to down Oxford Street towards Marble Arch, along Park Lane towards Buckingham Palace, to Big Ben, Downing Street and back to Trafalgar Square before returning to the hotel.. so its truly excellently placed!Like I said, worth it if you can afford it, but I think there are probably better places to stay for the money?	
Feb 5 2009 	Claridge's The highest hotel became the lowest hotel.	?One room at the hotel that had been prepared for us on the door was connected with the next. Therefore, we heard of the sound and the voice of the next television for three days.?The air-conditioning of this hotel is as very annoying as the sound of the airplane. ?The water of the rest room at this hotel doesn't flow.?Employees of the remainder of ten people that stood in the reception desk did not greet us in the morning. Is it because we are Japanese??Three housekeepers were chitchatting that it ate by us and returned to our room.?We were claimed more than the promised hotel charge. ?They do not surely have sincerity. ?This hotel has forgotten the tradition of which the British should boast. ?This hotel will collapse if it is Japan. ?We do not want never to stay at this hotel. It is likely to stay at the hotel of an American style when staying in London.	
Feb 5 2009 	Excellent Hotel Incredilbe Staff	When we arrived a doorman promptly assisted us with our luggage. He asked for my name and that was the last I had to deal with it. Check in was a breeze, we were upgraded to a fantastic two room suite which was decorated perfectly. The room was very clean and have to say the pillows and bed were some of the most comfortable we've slept on. The entire staff was incredibly helpful booking shows, dinners, cars, etc. The bar food at the hotel was incredible as well. Treat yourself to the Square Meal and a beer made with champagne yeast (Korbel Kru I think). Breakfast was wonderful and again the service was excellent. My wife needed a stronger hair dryer and it was at our room within minutes. They were just as quick with a request for a heating pad and extension cord. This is a great hotel for a romantic getaway. Truly five star service.	
Feb 1 2009	Simply The Best	Claridges is the epitomy of style. It is not trying to compete with other hotels as it simply does not need to - it is Claridges! I booked for 5 nights and had a sumptious room located on the first floor which allows one to ascend/descend the grand staircase savouring the magnificent atmosphere and recalling the many greats of history who have done the same. Rooms or suites at Claridges are huge with bathrooms beautifully appointed with art deco taps and fixtures and bath tubs so large you can laps in them! Buttons to summon your valet or your maid or your butler remind you of the status of this hotel and the service level they deploy in a silent effortless manner. Of course there is no tea bag in your room, one calls for tea and within five minutes tea arrives - and not tea bags! Flat screen tv's, free wireless internet, complimentary champagne, crisp white sheets and magnificent art deco rooms indulge your senses and make any stay at Claridges a memorable experience. Servcice is perfect, concierge can and will get you dinner reservations or theatre seats that you could not secure. Afternoon tea in the grand lobby is a must as are drinks in the hidden bars off the lobby. Ramsay's is a must if you have not dined there before. Crossing the threshold of Clardges is an invitation into a world of discreet service and forgotten style - even if you only stay once Claridges is a must for any visit to London.	
Jan 28 2009 	Not What We Expected	Sorry to say but we were disapointed; having stayed at 5 star hotels all over the world there are alot better in London.I decided to push the boat out and booked a two bedroom suite, the rooms were actually impressive by size, but I found the fixtures and fittings somewhat dated and shabby at £1400 per night plus a 7% service charge I felt quite angry.In addition to this the staff all had complete personality bypasses; I have been treated much better at much lesser hotels.We decided to try Gordon Ramseys where the service was exellent; but again the food was not what we expected, being ex pats and living in Belgium now, we can find 20 restaurants equal to Ramseys within a few miles of our home.To sum everthing up basically this is a very over rated, drastically over priced hotel. The Marriott County Hall is everthing Claridges should be in terms of staff service.i will not be booking again.	
Jan 27 2009 	Excellent Night	My girlfriend and I stayed at Claridges on the Friday just gone (23rd) in Celebration of my 30th Birthday and our 1st year together, and what a treat it was. I think the blonde was expecting a Travelodge, so when we pulled up outside Claridges her mouth was agape. We were welcomed not only by very polite and courteous Staff, but also wonderful checked marble flooring, an open fireplace with flames blazing, and a sweeping staircase leading up to a Grand piano.....If I wanted to impress I had achieved it within the first 20 seconds!! The Receptionist then informed me that as it was a Special occasion of ours, we had been upgraded from a King Deluxe room to a Claridges suite at no extra cost, which was very welcome indeed. Upon entering the Suite I was overwhelmed (though tried not to show it), and the blonde was amazed, it was so spacious, clean, and majestic, I was impressing myself now!! I did ask the bell boy for a pot of tea to be brought up (as the Suite rather oddly didn't have hot drink making facilities) which was obviously lost in translation, but upon calling room service, a sumptuous salver containing a huge pot of English tea, milk, sugar, cups and brownies arrived within 5 minutes. After returning from our dinner reservations we headed in to the Bar, and happily whiled away the hours until 3am sipping on glorious gin cocktails and wine on the comfortable sofas in Reception (as there was more light there) while watching the other guests meander about. In the morning our breakfast was delivered to our room at bang on 9am as requested, and was set up in all it's splendour, with everything except the black pudding which had been forgotten, but was soon brought up.....it was all delicious! We then returned to the most enormous and snug bed I have ever had the pleasure to sleep in for a couple of hours until the unfortunate time came to leave. The one bad point was then having to wait for an age in Reception to book out due to there not being adequate Staff, which did annoy me a little considering the high standard received everywhere else, but other than that it was some of the best money I have ever spent. I won plenty of brownie points with the blonde as well!!	
Jan 9 2009 	Our Wedding Night Venue	We spent our wedding night at Claridges on 23 December 08. It's always been a dream of mine to stay at Claridges, having visited for tea and dinner at Gordon Ramsey's restaurant on several occasions. In my opinion, it's the most beautiful hotel in London.We were deferring our honeymoon till Feb 09 due to our kids/Xmas being just after our big day so decided to spend the night in luxury - and it certainly was that. Our room was lovely, particularly the original art deco features, spacious and elegant and a big comfortable bed. It was exactly what we needed after the exhaustion of the day. I sent a piece of lingerie to be pressed before dressing to go out to supper and was frankly surprised to see they'd charged me £12.50 for this service. It was literally a silk camisole which I could have pressed myself had there been an iron in the walk in wardrobe area. Little point but I felt it was excessive considering there was no cleaning involved.Main gripe was that we didn't get to bed until 0200 having completed our in room breakfast request for an 0900 delivery that morning. At 0700 our phone rang - breakfast was served gaahh ?! They had misread my writing which meant we were robbed of two hours much needed rest which when you have kids under five, you'll appreciate how galling that is ! Seemed strange to wake a couple clearly staying for their wedding night with such an early breakfast, they could have checked if there'd been any doubt over handwriting.But otherwise a truly lovely experience and much befitting of one's first night as a married couple.Enjoy	
Jan 8 2009 	London's best	Claridges is my firm favourite when staying in London. I have stayed here a few times and each time the room and service has been excellent.The hotel itself is stunning and whist thoroughly modernised it is not a 'modern' hotel, retaining many original fixtures and fittings. If cutting edge is what you are looking for Claridges may not be for you. If, however, you are a fan of more glamarous era of travel and you want a glimpse of the past this hotel will delight.Each time I have stayed we have been upgraded and on the last occassion we were given a Mayfair suite. The rooms have all been beautiful with the best bathrooms in London by a mile. That said they have been quite different each time so I would ask to move if you don't like your allocated room.Breakfast is great and a treat all in itself. Dinner in Gordon Ramsay's restaurant is good although book well in advance. There are many amazing restaurants in London if you can't get a table and the concierge is very helpful in arranging dinner.Downsides? Like other reviewers I have had errors on my bill when checking out so do have a proper look when paying the bill.	
Dec 19 2008 	Quirky - needs to sharpen its act	One expects a lot from a hotel with this reputation. Unfortunately, it seems to be trading on that reputation more than it should. I should say from the outset that with the exception of the reception staff, the other staff could not have been more friendly or helpful - the lift operators (yes, still working here) were absolute gems. From there, things aren't so good. I booked a Deluxe King weeks in advance, ordered champagne, chocolates and flowers to be in the room on checking in at the official time, and had dinner booked at Gordon Ramsay's Maze (the Gordon Ramsay in the hotel was booked up months ago). On arrival, at the stated time, I found the porters excellent but the receptionist brusque, and almost rude when she demanded my wife's name - why? No-one has ever asked before, and I could see no reason for the request. We were shown to the room, and I immediately noticed that none of the requested items were in place. I was told they would arrive later, and to help us along they would send up two glasses of champagne. These never arrived. In the end the flowers turned up after two hours, and following a sharp phone call - where reception made excuses - the champagne and chocolates arrived even later. The fruit tray consisted of a small bunch of grapes, a single tangerine, and a solitary, bruised apple. Not a good start., but to give the hotel its due, they removed the charges for the late items. The room itself was large and airy, with a original Art Deco style, well equipped in the main, although the TV picture quality was rather poor. Turndown service was nicely done.The next morning we went down to breakfast. We had to queue for a table (queue? in a 5 star hotel?), and were given a table overlooked by the aforementioned queue,. This table was also subjected to freezing blasts of cold air from the front door. Although we asked for different teas, only one pot turned up for us to share.We had room service twice, and it was excellent. - they did this well.We ran out of toilet paper - there was no spare - I rang housekeeping but none came. Most odd. One day the flannels disappeared from the bathroom, to reappear the next. Although a hair dryer was supplied, there was no power point beside a mirror. In the end we had to improvise with a chair and a wardrobe door (see picture!). I suppose the traditional clientele have a maid to do this stuff, the rest of use have to adopt the Camilla look.The bed itself, while impressive, was two singles pushed together and it sagged badly n the middle, which we kept rolling into. On our final night, we found that sound insulation between rooms was non-existent. The gentleman next door came in at 0300 and started a party. We heard every detail through the paper thin isolating doors and finally complained to reception at 0400. The music stopped but the conversation still kept us awake for another hour. I complained when checking out but the receptionist had little interest in my problems.All in all this was a curious experience. The hotel reflects the standards of an earlier age, and for those who are seeking that kind of experience, despite the inconsistent service levels, it may be a good choice. For those wanting value for a lot of money, look elsewhere. Once you've got over telling taxi drivers &quot;Claridge's, please&quot; - there is a certain buzz - you realise that it is offering little beyond its name, and that travellers with an expectation of more modern faciltiies and predictable service would do better elsewhere.I also find it amazing that guests do not get some priority at the the signature restaurant. Fortunately the Maze is only a few yards away, but that, at least for now, still needs advance booking.	
Dec 11 2008 	Beautiful but not as good as expected	Claridges will never be short of custom because of its status. It was that status that enticed us to book a night there before going to Paris for our wedding anniversary. I had been longing to stay in Claridges for some time having gazed at the beautiful staircase every time I was passing through the lobby to meet friends for drinks or dinner.Whilst there were many positive aspects to our stay - nice well appointed room with art deco furniture, excellent bathroom with what looked to be original 1920's porcelain, comfy bed, turndown and ample space - finding a half eaten chocolate bar in our mini bar when we arrived in the room was less than positive.Of course an oversight can happen anywhere and in a hotel as busy as Claridges it is perhaps not surprising. However I sincerely doubt when the Jolie-Pitts arrived in their suite (they stayed the previous week) they would have found anything of the sort!If you are going to charge upwards ot £300 a night you need to make sure that the mini bar is checked when servicing the room. We reported this instance to an apologetic (if slightly insincere) receptionist when we were on our way out shopping, yet had to follow this up later when a replacement was not forthcoming.Our room was not made up as requested. I had asked for non allergenic pillows and while I was having a relaxing bath before dinner, housekeeping arrived as there had been a last minute change of the room we were allocated and the pillows were not non allergenic. Thankfully my husband was able to close the bathroom door and deal with this. Had I been alone it would have been an irritation.Breakfast was not included in our room rate - which is fine but at no stage was this made clear. Perhaps it is not included in any room rate. Whilst it was a decent breakfast, service was on the slow side and we paid around £40 for the privilege. Had I known I'd have opted for a pain au chocolat at St Pancras on my way to the Eurostar.In summary, a gorgeous hotel and I'm glad we stayed, but would I return? Probably not . I'd rather gaze at the staircase from the lobby and imagine a world of luxury at the top. The dream and the reality don't quite match up. I'd recommend Claridges (it is a London institution after all) to friends but only after I'd told them what to look out for!	
Nov 15 2008	Timeless Style	We spent a long weekend in London and returned to the Claridge's for the third time.We love the whole of it: the place, the service, the flower arrangements, down to the silver sugar tongs nicely lying on the sugar box for breakfast. Details are everything and they sure know how to care for them.Step inside and you will be taken back in time into a Wildeian Era where beauty is a style of life.Go, pamper yourself and forget about what you leave behind. Easy to check in, hard to check out!!Good food, great service.Only mishap: the bathrobe was dirty; by putting it back on the hangers every morning they sometimes 'forget' to put fresh ones when new guests arrive. Should be more careful, not really Claridge's!	
Nov 7 2008 	Epitome of old style charm and service	Claridges is the best hotel in the UK and deservedly belongs to the group of Leading Hotels of the World.It has old style charm coupled with attentive impeccable service. You are assured a wonderful experience from arrival to departure. It is always a delight to climb the sweeping staircase that leads from the Foyer onto the wide grand corridors to your suite/room. There are lifts if you prefer a more relaxing ascent!We have been fortunate to stay at Claridges several times and our rooms have all been supremely comfortable. Actually, they have been the largest bedrooms and bathrooms in any of the luxury UK hotels we have stayed in. One room in particular, Suite 216 was an Art Décor paradise. It was absolutely fantastic. However, our favourite piece of décor was the grand Dale Chihuly chandelier which adornes the ceiling in the Foyer area.Claridges Bar is still one of the most stylish in Mayfair and the staff amaze us with their fantastic memory of our personal drink preferences.Gordon Ramsey’s is a must, where you will enjoy some of the finest cuisine in London. It is advisable to book well in advance to secure a table reservation. However, be aware, GR isnt a keen supporter of vegetarians and therefore their choices are limited.	
Nov 1 2008 	Claridges in London - Nice but not as good as what I had hoped	I booked a queen sized luxury room for the weekend for my husband's birthday. The hotel had been recommended to me by a friend.We paid for a car to pick us up from the airport and take us to the hotel. This was a Mercedes S Class and was luxurious and well worth the money. The arrival to the hotel was amazing as we were greeted by footmen in top hats who took our luggage to our room as we checked in. The hotel itself was perfectly located for shopping, the theatre and sightseeing around London.The room itself was ok, it had lovely high ceilings, air con and a flat screen tv. The issues with the room were that: the internet did not work in the bedroom; the shower screen leaked so that after a shower the bathroom floor was a pool of water; and at night because we had a room overlooking the inner courtyard all you could hear was the noise of the the fans of airconditioning machines, even after using earplugs!Whilst I cannot fault the service and the location of the hotel I would have expected not to be kept awake all night by the sound of the fans of the airconditioning when you pay to stay in a 5 star hotel.	
Oct 12 2008 	Wonderful	Our family has been staying at Claridges for some time now. While it has lost some of its flair, it still remains one of the best hotels in london. We booked one linley suite and several rooms and found them to be in excellent condition. The staff as usual were very friendly and made a tremendous effort, in particular Martin the concierge, and the very friendly elevator boy. It still is top notch, has a wonderful sixth floor and the best location. I highly reccomend it.	
Sep 6 2008 	A lesson in how to make people love you....	My friend and I booked a twin room at Claridges and it wasn't cheap. However it was worth every single penny. Every penny. Everything was perfect. Service? The service made me proud to be British. Our room wasn't ready for 10 minutes - we were escorted to the bar for complimentary champagne. One of our keys didn't work - more free champagne. EVERY member of staff was excellent. We were greeted everywhere we went. Everyone was helpful. The room was wonderful, the bath like a swimming pool and the bed?! If my bed would have fitted in my bag I would have nicked it it was that comfortable. I am gushing but I really can't fault it. It lives up to it's reputation. A really special treat. I've given other places 5 stars - but this is a class apart.	
Aug 22 2008 	Wow wow wow	Had the most amazing 3 nights stay in Claridges mid August. I was brought away by my husband to celebrate my 40th birthday and on our arrival we found a bottle of Laurent Perrier Champagne on ice and a plate with hand made chocolates and happy birthday written in chocolate all courtesy of the hotel. We booked a superior king room and got a lovely room on the 4th floor over looking a side street. We had a choice of an art deco room or a traditional decor and opted for the traditional which was understated and lovely. It had a large king size bed mirrored bedside lockers a writing desk and lounge chair. I then had my own dressing room with wardrobes and a fab mirrored dressing table which then led into the bathroom which was original 1920 s decor but updated with a shower head the size of an average dinner plate! They had a switch in the bathroom so you could opt to listen to the tv/cd player while in there. The toiletries were Asprey s Purple water range - fabulous with shower gel, shampoo and conditioner available along with a silver dish of cotton buds and the usual sewing kit etc., They had this really clever button pad system on each bedside locker with a valet, maid and privacy button. If you opted for the privacy button it would light up outside your room and no one would bother you (do not disturb without the hassle of hanging a sign on the door). We could have had a valet come in to unpack but to be honest was far to concious of my suitcase and its contents for that! You can leave your shoes outside your door in the evening and they will polish them for you free of charge. They changed the fruit in your room daily. We ordered breakfast the first day and although the room was huge we were bemused as to where we would eat it as no obvious side table. The waiter arrived in with a hostess trolley - he pulled out 2 side leaves and dressed the table with linen etc., breakfast in silver platters individual cooling buckets for our selected juices.... there was even a little box full of dried fruit and nuts with a little tag which said &quot;for your elevenses&quot;. The attention to detail is amazing yet the staff friendly and you don't feel fawned over. There is a clever brass plaque on the wall beside lift door on each floor telling you were this lift is situated on the ground floor i.e. you will exit to the right of the concierge desk. The lifts have sofa's in them! While flicking through the hotel information book one day I came across suggested jogging routes ranging from 1.5 - 5 kms and a map mapping out the routes.The dress code is smart casual and they dont encourage cameras in the public areas as a privacy policy to anyone famous staying there. (didnt spot anyone while we were there). The bar is small and cozy with an extensive cocktail range and very nice nibbles courtesy of the waiter. We ate at Gordon Ramsays at Claridges on the evening of my birthday and it was fab. We opted for the tasting menu and although 7 courses long you didn't have that christmas day feeling when you were done (nor did you need to stop off for chips on the way home!) . The hotel is excellently located around the corner from Bond St tube station, Oxford Street, Bond Street and Regent Street. We paid £360 per night not including breakfast which was a further £32 per person. Although expensive we felt we had got value for money. We would definetely go back - next time before christmas as would love to see the foyer decorated with christmas trees etc., Go if you can its worth the expense - you only live once.	
Aug 17 2008 	Hope to be back	Passed a very pleasant two nights here in August 08. Paid £300 per night without breakfast.Central location, near Oxford/Bond Street and tube stop.Its a real class act, the service was excellent, friendly and professional, not overtly pretentious like e.g Ritz, Paris.The hotel is mainly Art Deco in style and has beautiful features (see pics).Room, comfortable, clean, not as sumptuous,nicely furnished or as large as some hotels I have stayed in but none the less very nice. Foyer area with wardrobe space, main room and marble clad bathroom,which had a huge bath,wide and deep,and all the usual 5 star hotel paraphernalia, bathrobes,slippers,soaps,wi-fi,tv,umbrella, turndown service etc. Bars, choice of two, and in addition in the main foyer they serve cream teas,and meals.One bar is quite/intimate the &quot;Fumior&quot;, leather seats,elegant Art Deco, the other was quite lively and laidback, although nowhere as nicely furnished as the Fumoir.Service in both was spot on. Drinks prices from about £10 glass of red, £11 + for cocktails.Restaurants, there are 3, including a Gordon Ramsay £70 three course menu. I didn't try any but they all looked great.For £300 per night good value.	
Aug 8 2008 	Paradise on earth	Stayed at Claridge's for four days in August 2008. The hotel is certainly not cheap, but if you accept that any hotel is worth these prices, then Claridge's certainly is. The room was an excellent size, and the Art Deco detailing was exquisite. All of the furnishings were wonderful, and all modern conveniences were supplied. However, what truly distinguishes Claridge's is the service. Everyone receives perfect service, whether they are the Grand Duke of Luxembourg (very possible at this hotel) or an ordinary visitor. By the second day, each elevator operator knew me and knew which floor I wanted. When I made the reservation, I had told the hotel I was celebrating a milestone birthday, and on my birthday upon my return to my room there was a small (and delicious) birthday cake. The entire staff is invariably pleasant and there to serve. What is amazing is that they remain in the background discreetly when you don't need them, but somehow sense when you want them, and are there before you even summon them. I cannot imagine a better hotel. If only I could afford to go more often.	
Aug 8 2008 	Quite Disappointing	As a special treat (and 7 months in advance) we reserved for the last 2 nights of our vacation. On arrival in the late afternoon from Paris we found that our rooms were not ready and despite repeated assurances that it would be 10 minutes we waited almost an hour.I have read a lot of glowing reports of the rooms here but I have to say that when they did their renovation they must have forgotten about the rooms we got (far from each other and on the 3rd floor I think). Except for a few new electrical outlets and some very noisy A/C they seemed nearly untouched since the War.On the plus side, the public rooms of the hotel are nice, the food was excellent and the bathrobes cost less than the Meurice (though the Meurice's were nicer).Over all I guess I would not stay there again unless I was sure of getting one of those fab new rooms I hear about...	
Jul 6 2008 	Class in London	I went with my wife to the Claridge's in London for a two day vacation. We had reserved a superior room. For some reason, they upgraded us to the junior suite.The junior suite had been recently renovated. It was elegant (30s art deco) and confortable. A subtle flower smell was floating all around, a bottle of Laurent Perrier Champagne waiting for us. The room was big and confortable and the living room was very big. It made our stay a blast. The whole suite was maybe 90 sqm. The turn down service was also very well done, with a number of indirect lights giving a very cosy atmosphere, the fatly padded slippers for our feet, a bottle of water should we be thirsty in the night, new towels, etc etc... Every detail was attended to. Even their shower was exceptional- a Head shower and a shoulder shower!!!We had the tea ceremony at 17:00. the ambiance was very refined, the service good, the tea and pastries very tasty. paying for this indulgence 35 GBP We however skipped the sandwiches and the champagne saving around 50 extra GBP. The morale: nice experience, but veeery expensive. But this is London...The hotel is centrally located, 10 mins walk from picadilly circus, 20 mins from the theater district.There is nothing i can say negative about this hotel apart from the fact it was expensive, (but worth the money if u can afford it), Staff was courteous and friendly, ambiance was superb, make u feel like royalty. They even have a couch in the elevator!!!I Strongly recommend it for a 2 day romantic getaway.	
May 23 2008 	The Best Hotel in London	We stayed for two nights at Claridge's (having stayed on previous occasions), and were thoroughly delighted. We had a deluxe refurbished room on the seventh floor, which was extremely spacious, with a very large bathroom (including walk-in shower), a lobby and walk-in wardrobe. The style of the room was toned-down Art Deco (rather than Belle Epoque), and very elegantly done. Service in general in the hotel is more or less flawless, with a seamless flow from door to room. One's bags are whipped out of the taxi and reappear in the room; the reception staff are very helpful, and the lift-operators are always very friendly, and usually remember which floor you are on. There is something about the whole operation which just seems to work so much better than anywhere else. One can tell that the only concern of the staff is to get things right every time.Breakfast in the very comfortable Foyer or Reading Room is excellent, with no uncivilised buffet nonsense. You just order what you want and they bring it. The staff also know your name when they serve you.Two slight disappointments about the hotel are, first, that it is almost impossible to get a table at the Gordon Ramsay Restaurant without booking more than a month in advance; and secondly, that the main bar can get full and a little rowdy at times. One has to settle for a drink in The Foyer or Fumoir instead. The service remains, nevertheless exemplary.I have been to hotels which are different, but not one which is better.	
May 22 2008 	Timeless Glamour!	From the moment we arrived we were swept away with the style and glamour of this London property.The bar oozed class and the food in the reading room was to die for!Our room was art deco in style and I had the most conforatble nights sleep. Breakfast in bed the bed the next day with the most fantastic menu choices available- they even made us items not featured!!We soaked up the atmosphere before leaving but I know that we will be back again before the end of the year-definitely a new London home for us!!	
May 16 2008 	Loved Claridge's. Discreet attentive service wow factor!	Stopped here in a suite for my 30th birthday. Suite was great - large sitting room with DVD, CD player, flat screen etc. Bedroom also large with flat screen. Bathroom massive. Champagne, flowers and chocs. Cannot fault it. It's expensive at £330 per night but to be honest, worth every penny! What is really magnificent about Claridge's though and what makes the difference between a 4* and 5* hotel IMHO is the service. The service is FANTASTIC!!! At breakfast for example we were asked if we would like some orange juice we said 'yes please' and then our waiter, who had a 'secondary waiter' behind him, snapped his fingers and OJ appeared instantly courtesy of the secondary waiter. It was rather marvellous. Claridge's is also down to earth and not at all pretentious. The staff, including the door staff, reception and chambermaids who we spoke to, was incredibly professional and friendly. One woman we met had worked there for over 30 years. Stopping at Claridge's is an experience that I think everyone should do at least once in their lifetime! Book early (i.e. 3 months in advance) to get a table at Gordon Ramsay at Claridge's though or you won't get in!!	
Apr 14 2008 	A Grand Hotel with Great Service	Stayed at Claridge's for four nights on business in April 2008. What a fine property! This is a grand hotel that really knows the meaning of the word &quot;service.&quot; The rooms are large (even by American standards) and the furnishings are very nice. My room even had an antique desk, which was beautiful in addition to being functional. The bathroom was also large. Room service was prompt (when you ask for breakfast to arrive at 7:00, it is there at 7:00 on the dot) and the food was delicious. The service staff was very helpful and courteous, and always went out of their way to make sure I had everything I needed.Location is also great --- in the heart of fashionable Mayfair and close to both Hyde Park and Bond and Oxford Streets. For those taking the Heathrow Express into Paddington Station, it is less than a 10 minute cab ride to Claridge's from Paddington.Claridge's is quite pricey, but for Americans everything in the U.K. is expensive these days. If the exchange rate were 1-1, Americans would probably think Claridge's was a bargain considering the comfort and service you receive. I would go back in a second.	
Mar 6 2008 	a classic	stayed recently at claridges and found it magnificent.it is truely an institution to good service and customer care.had stayed there once before in 99 but since then it has undergone a facelift especially in the public spaces but i found these changes were completed tastefully.the room was very large and spacious and the location in central london is excellent.while it certainly is rather expensive i can only say that it is worth it.	
Jan 29 2008 	What an Amazing Hotel	We loved Claridge's! We only had the pleasure of staying one night, but found it to be one of the best hotels we've ever stayed in. Both of us are former employees of The Ritz-Carlton hotel company, and are pretty particular when it comes to hotel experiences - although Claridge's was a big splurge for us. From the moment we got out of the cab, we had a fantastic experience with the friendly and non-stuffy bellmen, front desk staff and in-room dining. Our room was beautiful - the linens were great, the bathroom was sparkling and the magazine selection made me happy. The only issue we had was with the shower, it did not drain properly and we had a hard time with the partial glass curtain (I guess we Americans are used to a fully enclosed shower) so our bathroom was pretty flooded after two showers. I can't wait to go back!	
Jan 15 2008	Claridge's -- the ultimate luxury hotel	We have stayed at Claridge's four or five times now. This is not a hotel for someone who likes modern or sleek hotels, as Claridge's aspires to be neither. It's as I would imagine staying at Buckingham Palace would be -- exciting and extremely nice, but a little bit dowdy.The lobby at Claridge's is sparkling and electric however, lined with photos of prior customers (think Churchill, Hepburn, and Jackie O). And the location of the hotel is top-notch. We love to walk, and Claridge's puts you in a fantastic London location. There has been a lot of work in the hotel lately -- new carpets and some room refurbishments. However, their idea seems to be to maintain the traditional feel of the hotel. So you will get some really unusual (and some would argue unattractive) light fixtures and such, but they are all in wonderful shape. The bathroom countertops in a kind of black marble look to have been there forever -- or a good fifty years or so, although they are fabulously well-maintained as well. There are a few pieces of furniture in the rooms that are of rather questionable taste (chrome coatracks come to mind). If you saw them in a budget hotel you would not be surprised. These are coupled with some really beautiful, old built-in wood fixtures - mahogany closets and drawers of which you don't see the likes today.Truly, the feel of the place is magical to me, and of another world and time. And frankly, that's what I enjoy about London -- the feel of being able to travel back in time. And perhaps the best qualities of the hotel are the fantastic staff. Housekeeping standards are top-notch. And other staff are readily available to take care of any requests. They promptly ran out and got needed medicine for us this time from the late-night pharmacy at Marble Arch.Far from being totally stuck in tradition, however, Claridge's does make changes when necessary. There is now free wireless interenet access from the rooms (very much appreciated) and the new Asprey toiletries are a big improvement.We travel a lot, and find that you must look harder and harder for truly unique and memorable travel experiences. Claridge's is one of those and is definitely worth a try for the luxury hotel lover.	
Jan 15 2008 	Tired and outdated	We stayed at Claridges for one night after returning from a fanatastic break in New York.We arrived at the hotel at 9.30 am feeling tired and in need of a freshen up.Firstly our 6 suitcases were not removed from the taxi and we had to ask for this to be done-not what we expected.Reception was a little better,although another guest checking out was not at all pleased with their stay and the receptionist was fetching the hotel manager as we were checking in!!! We were shown to our room,and had a quick tour of the facilities. We were then offered compilmentary coffed,which we gladly accepted.After 40 minutes wait no coffee,so rang reception who apologised and sent some up within 10 minutes.This would not have been so bad if we were not wanting to have a shower and go to bed for a few hours sleep.After the coffee arrived,and we had time to look around the room,it was clearly in need of some much needed refreshment.The carpet was lifting in places and although lovely at some time,the wardrobes and furniture could do with some restoration.I am fully aware this is not a modern hotel with modern fittings,but that is no excuse for looking tired.The bathroom however was a lot better appearance wise,until we lifted the toilet seat to find an unwanted leftover from the last guest or housekeeping.Wanting to get to bed,nothing was said until checking out in the morning.There was then only an apology from the check out desk,and a note to mention it to housekeeping.Very poor and not what is expected of a top class hotel.Throughout our nights stay,we had to open the door to leave the and enter the building ourselves as the doormen seemed far more intersted in chatting to each other or delivery drivers/taxis.Perhaps our experience was a one off or we are just picky,but a hotel of this level should have perfect service and not rely on false Englishness for the sake of foreign visitors.Quaintness may be very well for overawed American tourists,but if you have just returned from a perfect stay at an American hotel in New York,then frankly claridges is a little poor to say the least.I would not recommend this hotel,there are far better hotels in London,so do not be swayed by a name.Our stay may have been a one off,but we have been left very dissapointed.	
Jan 6 2008 	Pretty Good Stay 4 out of 5 overall	We stayed at Claridges recently on our return to London on a UK round trip after having stayed at the Dorchester the week before. Having read all of the reviews I would say in brief that it seems to largely depend on which room you are allocated as to the quality of your experience. Our experience was above average as:- 1) We arrived at the hotel at 11am and were immediately shown to our room.2) We were allocated a Luxury Double room on the refurbished 7th floor. We found the room to be quite spacious with a separate dressing area, separate entrance corridor, and bathroom with separate shower and bath - all in marble and in appropriate high quality.3) The quality of the amenities is also high and we enjoyed the thick slippers and robes.If I were to be picky, the negatives I would highlight are:-1) The AV system in the refurbished rooms is very old - an early 90s Philips TV and Sony Stereo. I would have expected new plasma/lcd screen as can be found in other newer hotels (Covent Garden, Soho House for example).2) The maid service was good but I was a little surprised to get a knock on the door before 9am to ask what time they would be able to clean (on our final morning as well..).Finally, in comparison to the Dorchester, I think our room at Claridges was slightly better; the public spaces in both are excellent as is the service, the Dorchester did however offer better value for money as the room rate included an excellent breakfast.	
