	Works for Me	This is trip #5 to London for me in the past 3 years and out of all 5 hotels in which I have stayed, I feel the Strand Palace works the best for me. Booked a package through Air Canada Vacations and got a very reasonable rate including breakfast. I was assigned a standard single room which was small like so most London hotel rooms in this price range, but it was clean, comfortable, functional and home for 8 days and nights. No complaints at all. Location is great with an easy walk to central London attrractions and the hotel is within a 5 minute walk to 4 tube stations (Embankment, Charing Cross, Temple and Covent Garden). Lots of cheap and fast eats handy as well as some great dining and theatres. The hotel breakfast was pretty standard English breakfast fare served fresh and hot. Seemed that a there was only a wait on weekends. Hotel staff was friendly and helpful and the doormen on the Strand were very welcoming. Overall the hotel rates well for value for price. I would stay here again.	
Jul 23 2009 	Great roms and location for the price	I have stayed here many times over the years and was impressed with the Club rooms for design and comfort.It is excellent value for the money considering the locayion.I paid £85.00 for a single Club room with breakfast,which was more than acceptable,its always worth having breakfast early to avoid a lenghty wait	
Jul 23 2009 	I wish I had stayed somewhere else	Where do I begin? This was hands-down one of the worst hotels I've ever stayed in, room-wise. To be objective, the location was pretty good and the service was average. We'd booked a Club Room (with king bed) which obviously one would expect to be better than the average room. Imagine my surprise when we saw the room! Besides being cramped (once we put down our 2 average-sized suitcases, there was hardly any room to move around), it was incredibly warm. There was no air-conditioning (even with the small electric fan provided in the room, it was STILL hot), and obviously no one wanted to spend any money buying curtains for the room because instead of curtains, there were wooden boards over the windows! Granted, you could open and close the boards, but they really made the whole place feel like a prison or a poorhouse. I was so adamant that this could NOT have been a Club room that I had to go downstairs and check with the Club Desk that we indeed did have a Club room, and worse still, the staff informed me that the room had been recently renovated! I wouldn't want to see what it looked like before. The bathroom was also incredibly cramped and the furniture and fittings looked really worn and old. The hotel corridors were long and winding and resembled a confusing maze, and there was scaffolding on our floor (8th). The housekeeping services left much to be desired, we returned one evening to find some plastic we had left on the table still there. Only the bed seemed to be made, that was all the housekeeper saw fit to do apparently.I really really regretted booking this hotel for 3 nights, especially when I realised that the Waldorf Hilton (just a couple blocks away) charged only very slightly more. I will never return to this hotel again, even if you paid me.	
Jul 21 2009 	Fantastic hotel!!!!Supprised it's only 3*	I have just returned from a weekend end stay at this fab hotel! I'd read the previous reviews before I booked &amp; to be honest it was far better than I'd expected.Me &amp;my partner booked a club double room which was on the 5th floor(previous reviews moaned about the lenght of time it takes to get the lifts up &amp; down-we never experienced any problems &amp; all 3 lifts came quickly)the room was a corner room over looking the strand, yes there was a little noise from the very busy strand below but the rooms have shutters that shut out almost all of the noise! The room was trendy, spacious and very clean. Plus the shower in the bathroom was excellent too! It was a warm week end and yes the hotel has no aircon but the fan in the room is all you need. The breakfast was great too!The major plus for me was that covent garden was less than a 1min walk around the corner, trafalgar square a 5min walk down the road and leciester square 5min walk up the road.We never had to use the tube once!!!The conciage if great too, as well as giving you all the info you need on how and where to get about london you can also book show tickets, bus tours with them etc .I've stayed in many hotels in Londons west end and this has to be the best so far mainly due to it's excellent location and great rooms.The only negative I could think of was the hotels bar prices £19 for two vodkas &amp; cokes!!Overall I would defenatly stay here again and would recomend this hotel as a must to stay at if you like being in the thick of londons action!	
Jul 19 2009 	Good Location Hotel needs Air-con	Great location, minutes from Covent Garden. Carvery is excellent value for money but drinks in the Bars are over the top.Queues for breakfast are rather long and very busy, not a relaxed start to your morning.We had a club room &amp; the layout is lovely with an excellent shower. However, the heat in the room is overwhelming &amp; stops you sleeping, this will stop me staying again. A ll public areas are air-con, why not the bedrooms!If location is what you want, this takes some beating, but the sheer heat in the rooms could spoil your stay.	
Jul 19 2009 	GOOD LOCATION AND FRIENDLY STAFF	Stayed there in July for one night only, as we were seeing a show. A very good location for theatres, the staff were very friendly, and the room was perfectly adequate, no air conditioning, but the room did come with a portable fan which was o.k.Only down side was price of drinks, and breakfast. We had a pint of beer in local pub for £2.50...hotel price for a bottle was £4.50....We also had a good breakfast in the side street next to hotel for £4.00 (full English).Would definitely stay there again and would recommend.	
Jul 18 2009 	Lovely hotel: Shame about the airless bedrooms	We had a lovely stay for two nights in this hotel. Room ready to book in well ahead of time stated on confirmation. Breakfast was excellent and plenty of choice. Dining room not big enough at the most popular times and quite a wait for a table. The biggest problem is the lack of air conditioning and opening windows in the bedrooms. Probably for this reason alone I would not stay again. Such a shame as location really excellent	
Jul 16 2009 	Excellent location and value for money	I would definitely return here as the value for money via staff service and location of hotel is second to none. This is everything you expect from a hotel in London.The hotel is big and can get busy at breakfast time but is ideally positioned for everything london has to offer. Covent garden tube is up around the corner while charing cross is just down the street. The room could do with air con during the london summers tho as they can get quite warm.All in all - a great experience at the strand palace!	
Jul 15 2009 	Would definately return	My partner &amp; I stayed at the Starnd Palce hotel for 1 night in June 09 &amp; were very impressed. After spending hours trawling the internet trying to find reasonably priced hotels in London we found this one &amp; in comparison to the prices of many other London hotels this is much better. As many people have said the location is brilliant, 1 minute to Covent Garden which we loved. Hotel was very clean, staff were very friendly &amp; breakfast was great - lots of choice. The only negative I would have is the price of drinks in the hotel bar - I would recommend going elsewhere. But other than that we would defianately return to this hotel.	
Jul 12 2009 	The Perfect Location (just don't count on the lifts !!).	As my title suggests, an excellent location, I was going to the Adelphi Theatre and couldn't have got any closer if I tried! The rooms were hot ( a fanatastic weekend weatherwise) and due to health and safety guidelines you couldn't open them further than the standard amount, BUT a fan was provided and I have been so happy to see a fan in my life !The hotel itself is a magnificant building, the staff, brilliant - always polite. Special mention - the Concierge, fantastic.I didn't try the breakfast , bit pricey - opting for the cafe next door (bargain!) On the negative side : The lifts worked but seemed to have a vendetta against the 7th floor where I was and really weren't adequate for the amount of people in the hotel.The Lounge Bar was not relaxing and felt more like a waiting room. But all in all, a fanatastic place to stay.	
Jul 9 2009	Better bring a travel iron	There are good qualities and bad qualities to this hotel. First, the bad. -They only have a limited number of irons. When I called housekeeping to request one, I was told that they were out. Instead, they have &quot;ironing rooms&quot; on two floors where there is an iron. I had to go to an incredibly hot room on a different floor each morning that other guests could see into. I swear I felt like the hired help. -There is no air conditioning so be prepared. I visited during a heat wave and it really was unbearable. -Yes, London hotel rooms are tiny. But friends, this one is really, really tiny. The good: -You cannot beat this location if you want to be near the center of the action. It's within walking distance to much nightlife. - I had a Club single that was modern and housekeeping cleaned it everyday. - If you book a club room, you have free access to a gym in the neighborhood.	
Jul 9 2009 	Great Location.	The Stand Palace is a lovely clean and modern Hotel. The rooms are very hot with no air conditioning. The bathroom was spotless. The breakfast was great, plenty to choose from.We walked to most places and it's very central. Near the London Eye, Covent Garden, Trafalgar Square, and Buckingham Palace.	
Jul 9 2009 	Location Hard to Beat but the Rooms Are!	I was booked in here by some colleagues in London. In terms of location and value the Strand Palace is very hard to beat. In the middle of the Strand with Covent Garden and theatreland literally round the corner, the hotel is ideal for business and leisure trips. The common areas of the hotel are well kept and the lobby in particular gives the impression of a very well-run establishment. Similarly, all the staff I encountered were courteous, efficient and knew what they were doing. The doorman didn't seem interested in greeting any of the female guests that came in the main door but this is a mere trifle.There were no problems with my stay as such - the hotel is clean, safe and breakfast hearty - but there were some things that would make me think twice about making another booking. I had a 'club room' (a step up from standard) which as far as I could make out meant that the furniture all matched and there was a flat screen tv on the wall. The room was very small - but singles in London are - and, as with the rest of the hotel, it was very very hot. There was no heating or a/c control in the room so I made do with the electric fan which was on full blast all night!The other gripe was the bed and bedding. The bed was pretty hard and the bedding was not great quality. Perhaps the club rooms should have an upgrade in the pillows as well as a trendy headboard! The only other problem was noise. My room was on the 8th floor and overlooked the sidestreet looking onto the Lyceum Theatre - this meant noise until the early hours and then the binmen from 5am. So, if you do stay here, ask if they have any quiet rooms.Overall, this is a good hotel in terms of value and location. It's ideal if you just want a base in the centre of town. However, beware of the tradeoffs you have to make to save some cash!	
Jul 5 2009 	Great Location	The best thing about this hotel is the location it is pretty much central to most places.We arrived at Waterloo train station and it was about a 10-15 minute walk to the hotel.We stayed in a Club room which was very nice wih a good modern bathroom and a great shower. The only downside was that there was no air conditioning and the window could only be opened so far. As we only stayed the one night I guess it wasn't to much of a problem.The breakfast was very good and there was just about all you could want .We only has one drink in the bar and although the service here was very good we paid £9.00 for two small bottles of beer!!!! I know it's central London but at home the same beer in a local pub with stunning views over the harbour is £3.90. Surely if the drinks were more reasonable they would sell more! All in all a very plesant stay and due to the hotels location no doubt we shall return.	
Jul 3 2009 	Good basic hotel for £90 great location	Super location on the Strand, 2 minutes from Covent Garden and theatre district. A one night stay in a single Club Room for £90 via Last MInute (the hotel site wanted a minimum of 2 nights stay); small but clean, and adequately furnished. No A/C but a fan in the closet kept me cool in to 30 C. (90 F.) degree heat; Good bathroom that you could actually move around in . Considering some of the British hotel disasters I've stayed in, it was very good value for money. Did not experience any problems with noisy neighbors..	
Jul 3 2009 	Great location would return	Really couldn't fault this hotel and would definately return due to location alone. Close to West End, Trafalgar Square, tube stations, Covent Garden etc. We had room facing away from the street so no noise, would recommend asking for a room not directly over the street below. Also if booking via hotelclub for a double you will still need to ring and confirm you want a double room, not a twin. We didn't realise this and ended up with a twin.	
Jun 29 2009 	Great location disappointing hotel/	We paid more for this hotel than some others we'd seen because it looked like a lovely hotel in a great location. The location is very good, close to all the centre sights and very near to Covent Garden and CG tube. The rooms, although they have been refurbished, are small and dingy - we were in a King Size Double, so the standard rooms must be very small. The staff were helpful and friendly and the rooms were clean. The breakfast is not very good, it has all the usual stuff but it not all hot or well prepared and the staff are constantly crashing crockery around and clearing all around while you are trying to eat. Even though the service was meant to be finished at 10.30 in one of the breakfast rooms, they were clearing all the food away and relaying the tables for lunch by 10.00 which made people still eating feel rather unwelcome. We were also astonished to have to pay for the cases to be watched for an hour while we went for a final wander round after check out. As someone else has said, its not the money, but when you have paid for a decent hotel, it seems a bit mean of them - a bit like the budget airlines. Overall, not the best hotel I've ever stayed in and I wouldn't want to go there again.	
Jun 28 2009 	Great Location- room for improvement	I stayed there for 2 nights on a business trip. Location could not be better. Five minute walk to Charing Cross and bunch of bus lines and taxis. I had booked a &quot;club&quot; single room. I was pretty disappointed by the size and amenities of the room. Very basic for a 4 star hotel. One twin bed, a window that didn’t open and no A/C, only a fan. Bathroom ok and clean. I was &quot;lucky&quot; to get a better sized than normal single room...perhaps the size was 1.50m*2.00m?? so, very few room to move. The check in, was ok because they have a &quot;club&quot; line, so nothing compared to the &quot;standard room&quot; check-in line. The club rooms have the advantage to have a daily pass to the Virgin Active gym just steps from the hotel. Breakfast room is packed!! don’t expect quality, but enough to get your day going. Wi-Fi is free for 30 mins in the lobby area only. No WIFI in the rooms. If you forget your telephone charger, you can charge at a rate of 2GBP!! A bit chip for a 4-star hotel. The staff was ok. Some are very nice some are just doing their job...but that happens everywhere. I would go back to the hotel for a leisure trip but not for business.	
Jun 26 2009 	Not value for money	Standard rooms are all twin and small - nothing like the picture gallery. Had to pay extra 20 pound per day for upgrade to double bed as none available for both our 4 night stays. Rooms were hot and stuffy and reception staff were not friendly or helpful - concierge and cleaning staff were very good. No bar fridge in rooms and after spending over two thousand pounds had to pay six pounds to leave bags for 2 hours after check out - not the money but the principle. Convenient spot but would not stay again.	
Jun 23 2009 	Great Location OK Rooms	The Strand's biggest advantage is its location, which can't be beat. One of us had a conference at a nearby university the other was a tourist so being a few minutes from Charing Cross tube station, and 10-20 minutes' walk from most other major sites was terrific. The standard rooms are small but tolerable for two adults although one side of the bed is jammed up against the wall. The room was stiflingly hot though without the fan, which we finally found hidden in the closet. Our room on the 7th floor looked onto an interior courtyard; even with the window open 24/7 to catch some nonexistent breezes, we were not disturbed at all by any noise. The breakfast buffet that comes with the room rate is generous with decent food; just get down there early to avoid huge lines and crowds. Didn't eat any other meals there but a look at the high-priced menus, compared with nearby restaurants, deterred us from even thinking about doing so.The hotel is therefore a good tourist hotel; safe, reasonably comfortable, included breakfast, and excellent location.The in-room wifi for standard rooms is outrageously priced at 16 pounds a day and their business &quot;service&quot; center downstairs had similarly extortionist pricing for printing up documents. It would be nice if the Strand re-thought this gouging but they probably won't. Be forewarned if internet is important to you.	
Jun 19 2009 	Small but comfortable	I stayed at The Strand Palace the last week of May over a &quot;bank holiday&quot; weekend. Overall, it was a nice stay. The room was very small, just enough space for the bed, a desk, and the bathroom. Though it was a holiday weekend, I was never bothered by the other occupants and they really jammed those rooms onto the floor. I counted how many there were on the map and it was over 30. The bed was comfortable, the room very modern with a nice flat screen TV and a room safe. Bathroom was a good size with a full shower. The breakfast each morning was free and sufficient and good enough to get me started for a day or touring and photography.The downside is that they JUST finished the renovation and the place still smelled of paint. I was on the first floor and my room opened up to a courtyard with some electrical units so I couldn't leave my window open to ventilate it. Although the bathroom was a good size, the lights were LED lights in the ceiling. That's a great energy saver and I appreciate the attempt at being green, but the light over the bathroom sink was BEHIND me...try shaving like that. And I could tell from the fumes that the building was far from green. I didn't spend much time in my room, but it would have been nice to have more than just BBC channels, like maybe CNN. The WiFi is not included and you have a choice of one hour or one day. Unfortunately, credit cards charge 3% for each international fee so every day I got the extra charge for buy WiFi. Also, at checkout the woman at the front desk asked if I wanted it in Pounds or Dollars. What she didn't tell me was that the Hotel adds an additional fee for the conversion, this in addition to the fee my credit card would charge. After sending a letter, they made the adjustment. Finally, the Website mentioned a free membership to a gym across the street, but that was never offered and I was too busy to ask about it.I would recommend The Strand Palace with the above caveats.	
Jun 16 2009 	Don't expect a quiet night....	Stayed one night and never again. Constant noise all night from people in tight corridors, inadequate sound proofed rooms, televisions/conversations in adjoining rooms, plant &amp; machinery on walls outside in courtyard. Worse night's sleep in a long time. Expect more for your money.	
Jun 8 2009 	Excellent Hotel!	Stayed in a club single room for two nights and could not have been happier. The room was small but nicely decorated and very clean.All the staff I encountered were super helpful and friendly.You can't ask for a better location, the hotel is within walking distance to many of London's attractions.	
Jun 7 2009 	Good hotel	Stayed for one night in a single room. It cost £80 which I think is good value for such a good central location. Room was clean and functional. Bed comfy and the bathroom had decent toiletries. All the staff I spoke to were polite and helpful. Had some drinks in the Lounge Bar and the waitress gave us free pastries even though we didn't all have hot drinks (the pastries are free if you order tea or coffee apparently). Also had a cocktail in The Mask Bar which was open till 3am. Overall I thought this was a nice hotel. Not somewhere you would go if you wanted to spend all your time in the hotel room but great if you just want to use the room for sleeping.	
Jun 7 2009 	excellent location-minor comfort	I stayed at the Strand Palace for 3 nights. Location is perfect for exploring the city (only 5 minutes form Charing cross station) and perfect for visiting some theatres in the west end. Hotel itself seems to be refurbished in some parts but there are lots of details that remind u how old the house is. For example the missing air condition, problems with the water pressure and the fittings in the bath room. I got myself a club room which was quite small but ok apart from the details i just mentioned. During the summer time i would not advice to take a room in the upper floors. And: don´t try to take your breakfast (if included) between 9 an 10 am, the restaurant is horribly crowded then. So if u´r lookin for a place to explore London and u could get a good deal on a Club room, ucould do worse than stay in the Stand Palace !	
Jun 3 2009 	great location for theatre land	stayed one night to go to show, brilliant location only 5 mins from durery lane. good price but you get 3 star accomodation. no air con in room so was very hot, room was small but only to be expected for the price. ate in hotel restaurant before show - 2 course deal well worth the money	
May 25 2009 	Never Again!	Stayed here recently for 3 nights on a short business/leisure stopover in London.I've stayed in some pretty average hotels around the world, but this one has to take the cake. When I checked in (pretty late at night), everything seemed well and good. The staff were friendly, the place looked nice. Got to my room, that looked good as well. Not a bad size for a London hotel room given what I paid (100 quid a night on Expedia including breakfast). The bathroom was nice, big deep bath and good water pressure in the shower. The breakfast in the downstairs dining room was decent.Going to sleep that first night, I thought the hotel was pretty good. Only when I woke up in the morning, I had a really really nasty red rash ALL OVER my body. Now I know hotels have bed bugs, but I have never suffered this badly (and I was wearing long sleeved PJ top and long PJ pants!). It was horrible. I mentioned it to the hotel reception and they said it had nothing to do with the hotel and maybe I'd come into contact with something I was allergic to...Yeah, their beds! I slept on top of the blanket the next 2 nights and still suffered. Amazingly enough the rash disappeared the day after I checked out.This ruined what would have otherwise been a pretty good stay at the hotel.	
May 21 2009 	Disappointed	The pictures are deceiving. Don't be fooled by the nice looking furniture -- the hotel is old and crickety. The plumbing needs help. I tried to avoid flushing the toilet until I left my room because otherwise I had to hear the water running through the pipes for 15 minutes. On the other hand, the bed was comfortable and the breakfast was very good. Good location as well -- but I've definitely stayed in better 3 star hotels.	
May 20 2009 	Good hotel and great location	I booked a single standard room. Altough the room was small it was cozy, nicely furbished and it gave me a nice feeling. The corridor was narrow with lots of doors like in a train:) The location is great and the staff very helpful and friendly. This is a great hotel for London, suited for both leisure, party and business trips. It is near convent garden and all the great pubs and shopping area.The hotel offers different types of rooms to different prices.It has the atmosphere of a classic, big hotel. Very good value!	
May 20 2009 	Very Good location for Central london	Good comfortable stay for people who have offices in Central London. Take the corner room as its bigger.GBP 100-110 is a good deal. Have the breakfast at Hotel as it's sumptuous although repetitive. Some great Landmarks are just a stroll away. London Eye, Lecister square etc	
May 15 2009 	Excellent break away	The room was very good nice and clean, The breakfast was excellent, all you could eat and the service was very good, staff were very friendly and helpful and the location was excellent for the theatre and shopping. Covent garden is around the corner, where you could also eat or have a drink. All in all an excellent break away.	
May 14 2009 	Excellent	I have just returned from my second stay at the Strand. Last year I had a room facing the Strand, this time I looked out into the tiny inner courtyard which was boring. But as there are major roadworks going on at the Strand at least it was extremely quiet! The room was a good size and perfectly clean, I felt perfectly at home. The service was faultless, the breakfast of fantastic variety, something for everybodys taste. Obviously the location of the hotel is also excellent, I arrived in Gatwick, the Express took me to Victoria and from there it was only 3 stops to Embankment, about 5 minutes walk to the Hotel. Perfect! I left my comments card at reception when I left and the only thing I regreted about my stay was the fact that I would have liked a room with a view as this is more interesting for a single person. The next day I got an email from the hotel thanking me for my comments and promising me a room to the front if I requested &quot;facing the Strand&quot; next time. Great service, I will be back and so will my family and friends I recommended this hotel to. Also, if you have to leave to leave your luggage between checking out and going to the airport, this only costs 2 pounds for the day, very reasonable.	
May 13 2009 	Fantastic location excellent value for money nice refurbished room I'll be back!	I chose this hotel for my weekend away after having stayed in the 5 star Atheneum hotel last time, and been really disappointed (see other review). I thought I'd go for a hotel that was in a great location, and was reasonable, but nothing fancy, and as a result did not have very high expectations.In fact I was pretty impressed. It has a great location, slap bang in between Covent Garden and Charing cross tubes, Trafalgar Square just a 10 minute walk, Covent Garden barely 5. The hotel is undergoing a refurb, though it did not bother me where I was - there were decorators at one end by day, but they were very quiet. The areas that are done look good. I had one of the refurbished rooms on he first floor. It was a standard single. Everything was very clean and new, there was a nice flat screen TV, and the bathroom had a power shower and enormous cubicle. The only downsides were that I was at the back, and looked out onto a quadrangle with some unsightly construction in the middle - there was no view at all! However, there were nice wooden blinds and I just kept these shut and it was fine. Plus the room seemed hot the first day, and I couldn't work out why (radiator off); couldn't open windows. The concierges were very helpful, and check in efficient. The queues for breakfast were a bit long, though moved quite quickly, and there was lots of choice at breakfast. All in all, for a good value place to stay in a fab location, I was really impressed. I'd definitely stay there again!	
May 12 2009 	What an improvement	Wow what a difference….. This is the third time I have stayed at this hotel and I can honestly say, I will book again. The hotel management and staff must be congratulated on the improvement they have made the this fantastically located hotel.I first stayed here in 1997 and thought the hotel the hotel service and rooms were ok, with a superb location right in the heart of the West End. Imagine my disappointment when I stayed here again a few years later, what a disaster!! Tired rooms, which to be honest didn’t look too clean, and a breakfast service which could only be described as comical…. Staff running around like headless chickens – and still failing to deliver coffee to mine or my neighbours table. I was so disappointed that I didn’t stay at the hotel on my next visits to the capital, and I was somewhat apprehensive when I booked a two-night weekend break recently.I needed have worried. It was like walking into another hotel completely. The atmosphere was the first thing I noticed, with groups of guests sitting and chatting in the newly decorated lobby, they were obviously, happy and contented and enjoying their stay.The check-in was pleasant, speed, even though a number of guests had arrived at the same time. I was dealt with extremely courteously, and was in my room in no time.OK, I’m going to be honest here, I booked a single club room which was a little on the small side and too warm, it was only a spring day, I would have found the room far too hot in summer. However, having said that, the room was obviously recently renovated and a very fine job had been done to it too. Very comfortable and spotlessly clean bed, plasma TV and a clean a pleasant – if tiny bathroom completed the room package.So OK the room was a little tiny, and if you want the extra star, you’re going to have the think about air-conditioning, and where’s the mini-bar….?The biggest improvement the hotel has made is to its service in the restaurants! Breakfast both mornings was an efficient and relaxing, unhurried pleasure… the choice and quality of food available was excellent and the staff, helpful superbly efficient turning tables around quickly but without ever giving the impression of wanting to rush people out. Full marks to staff!!Would I stay here again, absolutely, I’m already planning my next trip….. If you’ve stopped here before and had a bad experience….. Consider giving it another go, yes its still a little rough around the edges. The rooms, single ones at least are tiny…. But if the hotel continues with these improvements and keeps up this level of service, then I for one will be returning time and time again.	
May 11 2009 	Great hotel in a great location	Just back from a two night stay in this hotel. I had a single room which although was quite basic wasnt overly small but had no view at all. . The location is great as it's only a short walk to the west end. The breakfast was also very good and i would stay in this hotel again.	
May 10 2009 	Great location and stay	The Strand Palace hotel is excellent located near Covent Garden, Soho, Leicester square etc. When visiting London for leisure, you almost don't need to use any public transport. Lot's of great shops, pubs, restaurants and musicals around the corner.We stayed in a standard twin bedroom, great size, good facilities and the room was cleaned everyday. Free English breakfast was excellent, enough fruits, different kind of breads and eggs, cheese, sausages, croissants etc. The room tended to be a bit warm, so we always kept the windows open. Great hotel, would definitely stay here again when visiting London next time!	
May 6 2009 	Lovely stay and excellent location	We stayed here with a 7 year old, the room was a good size with a double sofa bed and decent sized comfy double bed with 2 TV's which was excellent! the bathroom was very small but ok for what we needed. Hotel was clean, we didnt have a very good view a but couldn't complain as there was no noise from the strand at all. Only real issue was the heat the rooms arn't air conditioned so it got pretty hot at night even with the windows open all day, there was a tall fan in the room which helped. Reception staff were lovely and doormen so polite.I read a few bad reviews before staying here so was slightly nervous as it was our first stay in London, but for us it was perfect and can't complain, the location is fantastic. Even with a 7 year old who hates walking we were only 4 mins from Covent Garden 5 mins from Charing cross and only about a 10minute walk from London eye big ben etc. We went to watch the lion king (absolutely fantastic show) and it is quite literally just around the corner to the lyceum theatre.I didnt eat at the hotel as there wasnt much choice for children but there are so many nice places to eat around the area. We ate at Garfunkles in the evening just a few mins down the road it was nice food and reasonably priced and had a decent childrens menu.There is a tesco express very close and a boots so your never too far away from what you need. The hotel room had toiletries although if you are staying longer than a night then take your own as they are very tiny bottles.It said our (club) room had sky TV true but you do have to pay for it otherwise you just get channle 1 2 3 4 5 and itv2, films wernt too badly price we payed for Madagascar 2 £3.99 but you could watch it when ever you liked throughout your stay. Overall a great hotel in a fantastic location i would stay here again without a doubt.	
May 6 2009 	Great locationClub room was tiny	clean room but extremely tiny :(not ventilated at all and we had major problem on the hot days or even when we used the hot shower/water as the room was like a steam roomfan in the shower stuck from dirtcleaning was oklocation excellentservice of the staff more than ok	
May 3 2009	One of the best	Have tried many hotels in central London and have used Strand Palace on many occasions. Have found no other hotel to beat the Strand Palace. Rooms are a good size and the hotel is spotlessly clean (they seem to have an army of staff constantly polishing away !). The staff are pleasantly friendly and helpful and make you feel like they welcome and value your custome. Any time I've encountered a problem or a mistake they've sorted it out quickly and without fuss. Club rooms, although much more expensive, are excellent. Location is perfect for tourism and nightlife. Highly recommended hotel. In fact, the only negative aspect is that the hotel is becoming so popular prices are climbing upwards.	
May 1 2009 	Excellent Quality.. Excellent location	The Strand Palace has a beautiful lobby and a very helpful staff. The room was nice and priced ok. The concierge was helpful with maps and information about London Tours.I also appreciated the doorman being courteous.Thanks!	
Apr 29 2009 	Poor Service very basic rooms not ideal for a beautiful stay in London	Basically, I had to wait forty minutes to get in to breakfast in the morning, and then I had to wait whilst in to get any food...and whilst sitting down I had the staff rushing me to scoff my breakfast. For a massive hotel it is a tiny dinner area. The lovely reception does not match the low quality of the rooms. You are charged extra for internet..and everything else. In summary, it is okay as a business place of stay if somebody else is paying but if you are paying then I would encourage you to find somewhere else. The club roms offer a Virgin Fitness Pass but they did not have any when I was there...suspicious!	
Apr 24 2009 	Decent Place	Stay for a week was not bad. some rooms have no view and some have a road view.The locaction is very good for commuting within London,	
Apr 23 2009 	Excellent Hotel in Excellent Location	I recently stayed with a friend in this hotel, purpose of out trip was leisure, shopping, west end show etc. and I can honestly not fault the hotel. The location was excellent, around the corner from Trafalgar Square and Covent Garden. I was surprised with the size and amount of rooms in the hotel, it's huge. Location was the biggest plus for us though. The only thing I can say is that we were waken by housekeeping at 9am so be sure to put out your Do Not Disturb sign if you want a lie in!!!We also had to pay £2 to leave our luggage for the day when we checked out because our flight was not until the evening, in my mind this was great value for money to know your luggage was safe! Had never seen a hotel charge for this service though! Note we also did not eat in the hotel so I can't comment on the food. Overall I would definetly recommend and will return to this hotel again.	
Apr 17 2009 	Rooms didn't look like the website	Booked this hotel on Orbitz for $110. Didn't appear at all like the photos on the website. The room was clean but older, and the bathroom was large. The bed was comfortable, and there were many tv selections. The best part was the location, near the theater district, within walking distance of Traflagar Square, and near a couple of underground stations. Skip breakfast at the hotel and pick up something at the pub, or Exiter just up the street (eggs, bacon, sausage, toast, beans, coffe/tea for 4 pounds). There are quite a few stores across the street, Boots (everything from candy to nail polish remover), and Tesco (grocery store with fresh pastries everyday). Beware, just to dial a call costs 2 pounds.	
Apr 14 2009 	Noisey for the price	A well appointed Hotel-and well positioned.I booked for a theatre visit for myself, wife and child, and wanted the young 4 year old to have an afternoon sleep prior to evening theatre. Impossible due to the loud drilling and banging below and around us.When i complained to reception that it was too noisey at 4pm he advised &quot;We have to due refurbishment and they will finish at 5.30&quot; and that was that! -No other room available.Not for the weary traveller or someone needing afternoon peace!	
Apr 13 2009 	Perfect location great service good value.	My 16 year old daughter and I went to London for 5 nights. Strand Palace was perfect location, just minutes from Charing Cross or Covent Garden tube and buses. Staff were very helpful and pleasant, full breakfast was fresh, bountiful, and delicious. Room was simple, but clean, quiet, and spacious enough for a teen ager and her mother. Staff had good recommendations for the neighborhood for food and theater. We'd stay here again.	
Apr 7 2009 	Really pleasant hotel	Easy check in and no fuss service. It is large but you do not really feel that this detracts. Soundproofing is good. Management dealt swiftly with some noisy guests on my floor. I am not a fan of the buffet breakfast but this is a good one, not massive choice but everything just right and efficient and friendly team. The Club bedroom was petit but newly decorated and spotless and there was enough space to work with my laptop. Flat screen TV and bath. Convenient for many west end theatres, also Covent Garden and Soho.	
Apr 4 2009 	I'd Do the Strand Again ...	I booked The Strand for a last-minute, four night stay based on reviews read here on Trip Advisor. I don't mind budget hotels, but I can't handle sub-par cleanliness. One of the reviews here described the rooms as &quot;sparkling&quot; and that, along with my budget, sealed the deal for me.I reserved a club room, which included breakfast. After my long flight, I showed up hoping for an early check in, but prepared to store my bags and taking a jet-lagged tour of the area. The agent at the front desk checked me in immediately, gave me a brief orientation of the hotel and surrounding area, and sent me on my way. When I entered the room, the first thing I noticed was how clean it was.My room overlooked the Strand and was subjected to a considerable amount of road noise; however, the wooden shutters definitely helped. The weather while I was there was such that I could leave the window cracked at night, which made for a wonderful sleeping temperature. There was an oscillating floor fan in the room and no A/C. I probably wouldn't use this hotel during the summer, but that's just me. The room is definitely basic, but I'll take basic and clean over luxury and dirty any day.Breakfast was great, but I noticed several places only a short walk from the hotel where breakfast could be had for a considerably cheaper price. Didn't eat at any of them, so can't speak to the quality. Breakfast at the Strand was plentiful, hot, and actually very tasty. On my last day there, I went later than usual and encountered a long line. The hostess promptly led us to one of the other restaurants and seated us there. Everyday there was a variety of pastries, breads, meats (sausage, bacon, blood pudding), eggs, broiled tomatoes, cereals, juices, fresh fruits, etc., etc. After breakfast, each day I was never hungry again until dinner.Overall, this was a good choice. I walked to the Thames, the theater, and the Tube with ease. A Booth drugstore is across the street, Tesco foods right down the street, and several other retail outlets nearby. Great location!	
Apr 2 2009 	NO A/C - Poor Management	Yes, no A/C, that was bad but to make it worst we paid to use their Internet on TV and it never worked right, talking to the on duty manager was a waste of time, she even told us we picked the wrong hotel because our executive room didn't offer what an &quot;executive room&quot; should offer.Would never stay here again.	
Apr 2 2009 	Great Location	Stayed for one night the 30 March,Hotel has a great location on the Strand, 2 minutes from Covent Garden. Several busses just outside the hotel. We were luckey at check in and got a big room at the 8 floor.	
