	Small but satisfying	After reading some of the negative reviews on this website, we decided to upgrade as we arrived at the hotel. The upgrading from standard double en-suite to executive double en-suite cost us £15 a night, and it was well worth the money. We were explained that the standard rooms were very small, with room little more than the bed. When upgrading we got a small, but rather nicely furnished bedroom, with a high double bed (with wooden carvings India style), with room underneath to stack the suitcases. There was a TV, a big Indian wardrobe, and a desk. Big windows facing Trebovir Road. The bathroom was small, but nice with tiled walls and nice equipment, and clean (!). The first morning the breakfast room was full, so we decided to have breakfast in a local cafe instead, but the next two mornings we ate at the hotel. Breakfast was good and plenty: rolls, bread for toasts, croissants, muesli, fruit, cheese, coffee, tea, juice, milk......Service was also good. Our room was not ready when we arrived so we left our luggage in the foyer, and on return, the luggage hade been placed in our room. The next morning we discovered that the electric kettle was not clean (probably some earlier guests have been warming milk or something in it) and when we pointed that out, the kettle was changed immediately.Some of the other reviewers complain about the room size. I quite agree, everything in this hotel is very tiny. The web side photos are almost real size photos! Tine reception, tiny rooms, narrow staircases, but if you're not planning to spend much time at the hotel, it serves your needs. The location is very convenient: 1 min from Earls Court underground station..	
Jun 18 2008 	a pleasant surprise	We booked one night at this hotel fairly last minute. On arrival at Earls Court tube sation we realised we had stayed in another hotel in the area a couple of years ago and it was dreafully, o it was some sense of foreboding that we made our way to The Mayflower. The street gave no clues to how good the hotel is. The location is central and its easy to get around on the tube system, there are also plenty of fair-good eating places in easy walking distance. The hotel reception was clean and modernan d the receptio staff welcoming. Our room was on the first floor at the front of the hotel so it had a small balcony. The lift was remarkably small, only or 4 persons and once upstairs it is a maze of small the corridors, some extra signage would be helpful. Our double room was small but had everything we needed.It was beautifully clean, well decorated and furnished and we were exceptionaly comfortable. The bathrom was just the right size with a walk in and efficient shower. Overall we were very impressed and would not hesitate to stay at the Mayflower again.	
Jun 14 2008 	Great Location!	The location was fantastic!!!! My husband, myself and our 2 daughters (ages 19 &amp; 24) stayed at the Mayflower for 9 days in June. It was extremely difficult to find a room in London that would hold 4 adults for a resonable price. My husband and I had traveled in England before and knew that the hotel rooms are notoriously small as compared to the US so I was a little concerned about the amount of space we would have. We had a room in the main hotel, in the basement just down the hall from the breakfast room. The room was fairly quiet and much larger that we had expected. We had 2 double beds and there was plenty of closet space. There was a desk and 2 chairs in the room and we still had sufficient room to move around. The bath was unusually large with double sinks. The only anoyance was that the bathroom exhaust fan was poor and when more that 2 people took a shower the room became humid and muggy. The room did have a stand fan supplied that helped with that problem. We were at the front of the hotel and since we were in the basement our windows where below street level. They were frosted so that nobody could see in but that meant the we could not see out to check the weather until we left the room. We spent so little time in the room that this was not that big of a deal. Being in the front of the hotel also meant the we didn't have the annoyance of hearing the underground as other reviewers have mentioned. We also had a computer and took advantage of the wireless internet. We had no trouble getting connected and communicating with people back home.The complimentary breakfast became a little boring after the 4th day but it was filling and it was one less meal you had to buy. They had cereal, yoguart, fruit, cheese, crossaints, rolls, toast, juice, coffee and tea. You could order extra (eggs, etc) for an extra fee.The very best thing about the Mayflower was the proximity to the Earl's Court Underground station!!! It is litteraly around the corner! At the other end of the street was Earl's Court Road with a couple of grocery stores that were a good place to buy snacks and many eating places including Subway and some cute taverns. There is a great pizza place called Snappy Pizza, the pizza was really good. While I can't really call the prices a bargin (nothing in London is a bargin with the currency exchange as it is now) our experience with the Mayflower hotel was very good and I would stay there again.	
Apr 29 2008	Scam -- beware!!	We booked a night in this hotel using the property website. As we checked-in, we were asked to pay for the night in advance, which seemed weird (as other hotels bill you when you check-out). After we paid, we were told we had been assigned a studio in a property next door, because the hotel was full. We were told the studios were more spacious and luxurious than regular rooms (?). A hotel employee showed us the way, to a building on the street in front of the hotel. As soon as he opened the door of the building we could see we were in for a disaster: The building was old, not well maintained and with poor light. We were shown our studio, which was just TERRIBLE -- the furniture was old, the carpet was dirty and smelly, the bed was oddly positioned on a split level, etc, etc, etc. I knew I was not going to be able to sleep there so we went back to the reception and asked for another room, preferably in the hotel. We were told there were no other rooms and that the one we've seen was the only one available. We decided to leave and ask for refund to try our luck and go to another hotel and to our SHOCK, we were told that they could not give us a refund (of the money we had juts paid 10 minutes ago) because they had offered us a room. Unbelievable. We argue with one of the ungraceful employees in the reception desk but he said we will had to go back next day to discuss that with the manager as he was not authorized to give us a refund. We could not believe that was happening in London, and we felt were part of a SCAM. In a nutshell, we left the hotel and spent the night at another one. We are still waiting for our 135 pounds refund. LESSON: DON&quot;T EVEN DARE TO GET CLOSE TO THIS HOTEL.	
Apr 20 2008 	Lovely hotel great location.	We arrived at the Mayflower Hotel on a freezing cold December morning (two hours earlier than the official check in time) and were warmly greeted by the helpful reception staff. Even though we had arrived earlier than expected, our room was already ready and we were able to have the keys so that we could drop off our bags and head out for the day. The room was lovely, and although fairly small, it had everything you needed and plenty of storage and hanging space. The bathroom, again, although small was clean and tidy and the shower was lovely! The radiator had obviously been left on prior to our arrival and consequently, the room was lovely and warm-just what we needed! Little tip though-turn the radiator down or off before going to bed-we woke up in the early hours and it was like an oven! The dining room is lovely too- really modern and contemporary; the food simple but enough to fill up on and even though we arrived towards the end of breakfast, there was plenty left! Overall, the staff were friendly and helpful, location perfect, (literally a 2min walk to Earls Court Station) and our room was lovely! Would definitely return and would recommend to friends and family!	
Apr 6 2008 	Small but still perfect!	The hotel location is perfect - it is literally just around the corner from the Earl's Court tube station and Earl's court exhibition halls. It is really handy for the Piccadilly line to and from Heathrow, and easy to get into the town centre.The staff were very friendly and welcoming. Our room was quite small, though it didn't matter as we were barely there! However, the room was cleaned and the beds changed daily, so it was very clean. A newspaper was left in the room each day too, and there were some lovely toiletries in the bathroom.Would stay here again no problems.	
Mar 30 2008 	Pokey Bedrooms	Have just spent a night at the Mayflower - We got moved there as there were problems at their sister hotel. The hotel looks nice from the outside and the receiption was ok but our room was small and dark with no room, outside of the wardrobe, to put anything on. The bed was very hard and uncomfortable and the room was not particularly warm. The bathroom was tiny and when sitting on the loo it was almost impossible not to knock the toilet roll on the floor (or bruise your elbow) as it was so close to the wall. Saying all that, it was a very clean room. We were under the impression that we were staying in a 4* hotel but when we asked for a newspaper for the following morning we were looked at with amazement and told there was a Daily Mail in the room - not what we wanted and, as it happens, no Mail appeared the next morning anyway!! The breakfast room was a joke. It was so crammed in with tables and chairs it was very difficult to get to the cereals/breads/fruits and beverages that were on offer. We seemed to spend most of our time in a queue edging around the tables - not a leasurely breakfast and we were glad to leave!I feel that there are better 4* hotels in the area and will not be making a return visit.	
Mar 23 2008	Good hotel not the best for couples.	We read the reviews and expected it to be small but were surprised at how the bed was pushed up against the wall making it tougher for the person sleeping on that side (ie. me) to get in and out without disturbing the other. This was made all the more challenging with a wardrobe set right at the foot of the bed. The bed was rock hard, we both had sore backs from it. That duvet weighed a tonne so we had to make do with the thin blanket. We were on the 4th floor looking out over the back so yep, there was noise from the trains and when stopped there was construction that would go on all night. And the walls were paper thin so you got to hear all kinds of activity going on in the adjoining rooms.There is free wi-fi however the signal was very weak. Often we had to hold the laptop towards the middle of the room to get a signal. The television had two remotes and no explanation on how to switch it on. It took a while to get that figured out and then the picture was pink.The bathroom was very small with a laughably tiny sink but the shower was pretty good.The service was good, the people working reception were very friendly and helpful.The breakfast cut off at 9:30 so we didn't get a chance to try it out but thanks to the location there were many great restaurants and pubs in the area. Plus the tube is right there which was great.If it's one person staying here then I totally recommend it. Two, and I would try to get the largest room possible otherwise you're going to have a hard time.	
Mar 22 2008 	Mayflower hotel	Me and my partner booked a standard double room for two nights. Friendly staff, nice warm atmosphere in the reception area. There is only one lift to share with staff and it is very small. There was sacks of laundry in the lift so we had to walk three floors up to our room, but I must warn you there is alot of steps to walk up! Room was pretty standard, quiet small but I was impressed with the cleanliness of the room. The shower room is very luxurious and I must say it is much more impressive than the room itself. The only problem's with the shower room is that there is no shower curtain/doors and floor gets very wet. Also there is no ventilation/air con so the shower room can be very humid. Room walls are quiet thin, my partner had difficulties sleeping because he can hear other room doors slamming, also I was awaken by the trains outside. Loss of power on the first night except for the lights which is strange but was sorted out the following day. A little dissapointed with the breakfast as there wasnt much of a choice. I'd recommend this hotel, but I'd advise you to book an executive suite.	
Mar 20 2008	Just OK	The good thing about the hotel is that it's close to the Tube station and numerous restaurants and pubs. The area around the hotel is relatively safe. Also, the bathrooms are brand new and clean with marble tile.The problem is the room itself. It felt much more like my college dorm than a four-star hotel. I can deal with small rooms. But my room at the Mayflower just felt uncomfortable. The wood floors looked liked they needed to be cleaned. The furniture and wood paneling looked cheap. The old sheet on the bed had a hole in it.The staff was nice for the most part. But, unfortunately, I can't justify the cost of the room with the quality of the room. I probably won't stay here again in the future.	
Mar 17 2008 	Good value and convenient for the tube	This hotel is very convenient for Earls Court tube station and the Exhibition Centre. We have stayed here three times on weekend breaks to London and have found that, although the rooms are small, they are clean and comfortable. A good breakfast is included in the price of the room which makes the package very good value. Check for special offers in January and February.We have asked for a room at the front of the building as we were told that the trains can make the back rooms rather noisy. You do get some noise from the road but this can be overcome by earplugs. We also suffered from noisy neighbours as the rooms aren't particularly well sound-proofed. Because we live in a very quiet area, we are particularly sensitive to noise!We have always found the staff to be pleasant and helpful. I do not remember seeing a lift so suggest that anyone with walking problems ask if there is one before booking as the stairs are quite steep and narrow.	
Mar 16 2008 	Climbing practice!	It is easy to be disappointed with hotel rooms in London. The Mayflower promises something a little different however, but does disappoint!The furnishings are quite luxurious and oriental but I had two major gripes. Firstly there was little or no room around the bed. It was a good job paid a bit more for the delux room as it was difficult enough getting around. The cheapest rooms must be even more cramped.Secondly the bedding was unusual and uncomfortable. A sheet and a single blanket was topped by a heavy and quite stiff bedcover. A very uncomfortable night followed.I'll not try them again.	
Mar 10 2008 	Never Again	We stayed in this hotel for one night and let me tell you this was enough. Not sure what type of room we stayed in but it it definitly did not deserve to be called a room. It was the smallest room i've ever seen and lets just say if you were any bigger than average size you would have some problems moving around this room.The earls court tube station was directly behind our room. The trains did not stop until approx 12am and started up again at about 5.30am. the bed was really uncomfotable so as you can imagine we got hardly no sleep. It wasn't all bad the hotel was clean and was just around the corner from the tube station but it was not worth the £99 we paid for it.	
Feb 20 2008 	Mayflower Apartments are very nice and good value	Last month (Jan. '08) we stayed in the Mayflower Apartments in a one bedroom flat next door to the hotel. It was clean, nicely designed, comfortable and spacious with very nice beds and a well-equiped kitchen. Because our stay was such a nice experience, we booked in again for February. After we checked in this time, we were surprised to be walked all the way down Trebovir Road, into Warwick Road, and past the tube entrance to flats the hotel also manages. This ground floor flat was also lovely (although smaller - a studio) - nicely designed, wll lit, and comfortable. The double bed was just twins pushed together but very comfortable none-the-less. The full kitchen was nicely equiped and well organized. The bathroom was beautiful and well designed.The only negative aspect of this accommodation was that it was on the front of the building right on Warwick Road, and consequently very noise all night! If you are a light sleeper, you would not have been happy.We will happily book this hotel again but would most likely request a different flat.	
Feb 19 2008 	Lovely hotel	This hotel was good for the price. Although it was smaller rooms compared to other hotels it was worth the money. The room was clean, beds were layed everytime we left the room and had fresh towels for the two days we were there. For £96/per night it was a good deal. The downside to our stay was the beds, although it was big it was two beds pushed together which made it uncomfortable when it came to sleeping at night.Breakfast was served early and had a nice range to suit everyones needs. Our room was on the third floor and hardly heard the noise from the train station round the corner.I would definietly visit Mayflower hotel again.	
Feb 18 2008 	Egg bacon sausage beans mushrooms 	This hotel was fine except the individually themed rooms were as individual as a standard holiday inn room for example (it didn't live up to the pictures on the web site). The bedding was not really appropriate for cold February nights and the one thin extra fleece blanket provided between two beds wasn't enough.Although not stated the breakfast was quite a basic continental.All in all it was clean, bright and modern (if ordinary) and the staff were helpful and friendly. But we could probably have stayed at a comparable hotel and had a good nights sleep in a warm bed followed by a full English for less money.	
Feb 12 2008	Nice hotel	Nice hotel. Good location (2-min walk from the metro)Friendly staff, Buffet breakfast, good quality.Room is newly decorated, a very beautiful. but I saw different rooms have different style, let's see whether you are good luck or not.rate is GBP79 per night. worth for it.	
Jan 12 2008 	Big on the Small Stuff and Handy to Everything!	This hotel is really an amazing deal for London for ?75/per night (booked online). We have stayed here twice and will continue to use and recommend The Mayflower. As in most hotels that are not part of chain in London, the rooms are small, but you can’t beat the price (which includes a continental breakfast) and amnesties. We stayed in the hotel for four nights on a business trip in September 2007 and on a holiday in July 2006 and would recommend it to anyone who is seeking a deal but doesn’t want to sacrifice too much. By American standards, the room and beds were small, but considering the current rate exchange with the pound and the US dollar, it was a bargain! In September, we stayed in one of the front rooms facing Trebovir Road, which had two twin beds and was fairly roomy for the hotel. The room came with an ensuite bathroom (not necessarily available in many of the smaller hotels) and the following amnesties: free wifi, hair toiletries, and kettle. The room we had in July had a single, queen size bed (ensuite bathroom) and was facing the back yard area and the rail lines, although neither the trains or the street were really noisy. You can also hear doors opening and closing in the halls, but hopefully all the hotels’ guests are considerate. (Although not used by me) the hotel can also provide guests with theater tix, secure parking facilities and a temporary membership to a local gym. If you are staying in London for a while, the hotel also offers temporary apartments.The few downsides are that the desk area is quite small and the room lighting needs to be brighter if one is going to work on a computer or have to read. The one major downside is that the rooms do not have air conditioning (again fairly typical in small London hotels) and can get quite steamy. The fan (in both my rooms) and the ability to open the windows helped (although for fair disclosure, when we stayed there in July, it was the hottest day ever in recorded history for London!). Not sure how draft-proof the rooms are either when the weather gets cold.The hallways and the elevator (lift) are tiny, making it difficult to navigate large luggage pieces, but an elevator in these small hotels is quite a luxury! There is lounge room with a small juice bar, a large and airy breakfast room (in the basement), and outdoor seating in the small backyard. If you aren’t carrying a wifi enabled PDA or laptop (consider yourself lucky!), you can access the internet for free on a computer in the lounge for short periods of time. Breakfast is served early, but it’s plentiful with many fruits, yogurt and cereal, breads, and juice (you can view the breakfast menu on the hotel’s website). Eat as much as you like! For a fee, you can get a traditional (cooked) breakfast. Local pub grub and Indian food abound (with the fancier restaurants further afield via cab or tube). At the Trebovir and Earls Court intersection is a Gourmet Burger Kitchen with the original Kiwi flair in food and attitude evident by the burger combos such as beetroot, egg and pineapple, and the Go All Blacks! stickers. There are a couple of small grocers on Earls Court Road to stock your room with snacks, you can visit Marks &amp; Spencer’s Food Hall (113 Kensington High Street), or for a really unique, eating experience go to the Babylon at The Roof Gardens for lunch or dinner (99-121 Kensington High Street, tube for both: Kensington High Street).If you arrive at the crack of dawn from an overnight flight (as many do from NYC), you can check in early if the room is available and/or drop off your luggage if you have other plans. Conversely, they will also hold your luggage if check out but have a late flight. You can easily take the tube or local bus (even walk on Cromwell Road or various sides streets if you just want a stroll) to the posh shopping areas of Knightsbridge (Harrod’s) and Chelsea, or visit the many museums in South Kensington.The hotel is literally around the corner from Earls Court tube station, it is highly accessible to London’s Underground (locally called the tube) system. If you’re coming from Heathrow, you can take the slow Picadilly line train from Heathrow tube station (terminal 4) to Earl’s Court and save yourself a few pounds by purchasing an off-peak 3 day Travelcard for zones 1-6 for £20.00 (which you can also use on London buses by flashing it at the bus driver). The tube is unwieldy and its map in no way reflects the streets of London, so if you are going to be sight seeing or traveling to places outside the normal tourist zones, do yourself a favor and buy an A-Z booklet of street maps (almost every newsstand has one). Even our friends who live in London walk around with one!	
Jan 3 2008	Great location	George and family from ScotlandWe have returned from a very nice trip to the Mayflower.The hotel is well placed for getting the tube from Heathrow.Just round the corner from Earls court tube station, and the tube is not busy from Earls court to Heathrow so no problem if you have a few cases.Tip-: If you have children under 18 pre-book an oyster card for the tube, Send photos of the kids and pick up at Heathrow tube station. It will save you a small fortune.We were never off the tube and for the 6 days it cost around £70 for the 4 of us.We got the family room (B4) 2 adults and 2 children 17 + 14 and it was ideal for our needs, 2 double beds, well decorated with a lovely bathroom great shower. Room cleaned every day with fresh towels, and free shampoo,gel ,body lotion etc.The continental breakfast was ample, the fresh fruit salad went down well with the women.The waitresses were always on hand to restock.Be aware if you want cooked breakfast you pay extra.We were able to leave our luggage in the hotel on the last day as we had a late flight, which enabled us to do an extra days shopping (Husbands beware).I read earlier reviews about some of the staff not being very helpful.Well we stayed there for 5 nights and found all the staff very friendly and always eager to help.I would book here again without any problem.	
Dec 14 2007 	Its very good and I say so	This is my first review and I thought I will write one because it is only right I contribute since I read other people's before I booked my hotel.I stayed in Mayflower Hotel in Earls Court, London. I read reviews about the hotel on the website and I thought some of them are quite negative. I stayed there for 3 nights and I thought the staff were friendly and helpful. The hotel is 1 minute walk from Earls Court tube station. Good thing is that its on the Piccadilly Line so if you are flying to and from Heathrow its on the same tube line, so I didnt even need to change which is helpful. The hotel is at zone 2 so its not actually far from central london. Around the hotel there are quite a few restaurants and supermarkets so its very convenient. I found the room very clean and tidy. The only downside is that the room is small and I think that has been mentioned by some of the reviews but then it is London!! I think people have too high expectation. After all, if you want a big room how about the savoy thats £400 a night. The continental breakfast was good. When I was searching for somewhere to stay in london for the money I was paying to stay at Mayflower it ranged from a 6 bedded hostel to hotel with shared bathroom facilities. So I think this is by far the best location.	
Dec 9 2007 	Convenient location shame about the service.	We were &quot;upgraded&quot; to an apartment, despite the fact that we'd specifically booked a room. On our first night we had no hot water for a shower. Reception informed us that they couldn't reach maintenance and that we should come back in the morning. By the morning we had no running water at all. Reception informed us that we couldn't change rooms but we could use another room to shower. The manager was keen to point out that the whole street had no water, although interestingly the hotel itself (on the same street as the apartment) was unaffected as we were able to shower in the room which they lent us (which they did not clean between the guest vacating and us using). At no point did anybody come up to our apartment to check the water. The hotel itself was nicely decorated, although our apartment entrance was tatty with ripped carpet and missing batteries from smoke alarms. Breakfast was nice but not well stocked and cutlery was at a premium.	
Nov 14 2007	amazing!	Booked through laterooms.com, went for it because it was very well priced and advertised as 4*. From the websites it looked lovely and modern, but feared it wouldnt live up to the pictures. Well, it did, and then some. Its in a nice road, barely a minute from Earls court station, good resturants and a supermarket. You walk into a modern receiption enclosed in a beautiful wooden frame. The staff were friendly and nice and show you to your room. We were down in room 8, which is small, but not too small and very cosy, the only issue was the TV placement which was on the wall but you had to squeeze past it to get to the other side, but that was it; it was modern, clean and comfy. There wasn't a lift to the room, but it was in the basement with only one other room (which was a luxuary room and looked AMAZING! four poster bed, the works...) so a lift there would have been a bit unnessesary i feel, although there did seem to be a lift to other parts of the hotel.The bathroom was awesome, with possibly the biggest and best shower ever, it must have been 4.5 foot square at least, and all marble with massive mirrors, lovely. There was a slight rumble from the tube in the basement, but it was much nicer than traffic and didnt seem to happen much.The rest of the hotel was clean and tidy, free wifi as well as a computer on site to use in the coffee bar, which also had the most comfortable sofa ever in it. The Complementry breakfast was the usual affair, cossiants and jams, cearals, tea and coffee all in a rather nice dining area. It looked as though there was an outside courtyard which im sure would be lovely during the summer but in november it was less appealing, mostly due to the cold and the rain.Possibly my favourite hotel so far.	
Nov 4 2007 	its all about your room location	My partner and I have recently stayed for two nights at the Mayflower Hotel on Trebovir Road in Earls Court.It's literally only three minutes walk from Earls Court Tube station and sits in the beautiful Trebovir Road which is leafy and and very exclusive.Check in/out experiences, friendliness of staff etc aren't really relevant in this type of review in my opinion. Not unless they're rude for any reason which they weren't at all.We booked a 'superior double room' however, the size of the room was very, very small. If this is a superior double then I wouldn't like to be in the non superior. The extremely small bathroom was pretty nice to be fair.Our room had two double beds but they weren't really adequate enough to sleep two adults and were uncomfortable. On the second night we slept in a bed each so we could stretch out a bit. This room is designed to sleep four adults. I'll tell you now I wouldn't like to be in a party of four in that room.Unfortunately our room backed onto Earls Court Tube station which caused constant noise. The tubes run from around 6am to midnight. However, when the tube stops the all night maintenance work starts. This is very noisy and the double glazed slide-able window did a poor job of keeping the noise out.This hotel may have ticked enough boxes to make it a four star, but it certainly didn't meet our expectations of what we would expect from a four star hotel. No amenities, doesn't serve hot food, no room service, health facilities, generally very small.It serves continental breakfast (which isn't included in the £100 per night room fee, £15 extra roughly) because it is obliged to for its star status. There isn't a cooked option and no evening meal dining option (four star hotel?) The continental breakfast is nice, however the orange juice was clearly watered down quite a bit on our second morning at breakfast. That's very poor.We've stayed in five star accommodation in Edinburgh (The Scotsman) for the same price as the mayflower (£100 per night) and that place was a like a palace compared to the Mayflower (Yes, I know its London).The next time my girlfriend and I go to London we're considering just doing a budget hotel and going out for a paid breakfast. The tube service is so good and quick it matters not where you actually stay in Zone 1 or Zone 2.After reading some of the other reviews it seems to me that your experience of staying in the Mayflower will be decided entirely on the room that you stay in and its location within the hotel. That isn't really what you should expect for £100 per night now is it?A two star hotel hiding in a beautiful building, in a beautiful street with a 'lottery' room allocation system. People who have &quot;loved&quot; this &quot;excellent&quot; &quot;value for money&quot; hotel, I'd suggest are very easily pleased indeed.	
Oct 9 2007 	Nice room great location	My friends and I did our homework/research, read reviews, asked questions, etc. Finding out in advance where the better rooms are located within the hotel really helps to prevent disappointment upon arrival. Yeah, you got a cheap room at 54 pounds but where was it? Top floor (hot), overlooking tube station (noisy). You get what you pay for. This is London, after all. For 105 pounds you do get a luxury room (mine had a balcony) on the front of the hotel, first floor. When we checked in, I suppose they only had one of these rooms available so my friends were given the Pasha Suite, just next door, street level, a very spacious suite with kitchen and king sized bed (for the same price as the luxury room). They were very accommodating to us. The rooms were nicely decorated, although I think they could have put a little more money into plusher mattresses and pillows, but we still slept well. The lift was rather amusing due to its tiny size, but at least it worked. The location was excellent. Every day we walked to Earl's Court Road and did our shopping, dining, anything you need is just a short walk away, including the tube station around the corner. We didn't take avantage of the continental breakfast included with the room because we enjoyed sleeping in a bit and it wasn't served after 9:30. But we found several restaurants/pubs nearby which served a very good full cooked breakfast for about 5 pounds. Overall, we enjoyed our stay in Earl's Court and the Mayflower Hotel.	
Sep 12 2007 	Very nice room!	I stayed at the main hotel for three nights this weekend, as did several of my work colleagues whilst attending an exhibition at Earls Court.From the comments of my colleagues, it would seem that I had the best room (maybe because I made the main booking?). My room was on the ground floor and had obviously just been decorated. It had a really nice plasma screen, the bathroom was lovely, the decor was great and the bed really comfortable.On the negative side, you had to shoulder the bedroom door to open and close it (new floor laid and door needed to be adjusted which was done on the second day of my stay without having to say anything), no waste bin in the room and no phone. Not having a phone proved a bit inconvenient on the first morning as I could not get the shower to work and then had to get dressed to go to reception to ask someone to look at it. Which they did and between us, we managed to understand it.My room was at the back of the hotel with the tube station just behind it but I can honestly say that the noise from it wasn't that loud and having such a comfortable bed, it certainly didn't keep me awake.I cannot fault the front of house staff, they were very friendly and extremely courteous. If the breakfast room staff could smile it would be a welcome sight in the morning!	
Sep 6 2007	somewhere you never want to stay.	MAYFLOWER APARTMENTS in 22nd out 24th June 2007We arrived in London on the 22nd June 07. We had booked accommodation with our Travel Agent in New Zealand.What we had booked was described as A Superior Two Bedrooms MAYFLOWER APARTMENTS26-28 Trebovir RoadEarls Court London, ENGLAND. We booked into the Mayflower Apartments at which point they informed us that our accommodation was down the road at their other apartment.We walked about 50 mtrs dragging our luggage down to the apartment. Then up a very narrow staircase with worn carpet some parts had had tape put on them places just holes. Finally at the top (4th floor) we entered the apartment 1st bedroom had a queensized bed in it, then into the lounge were we saw the next bed it was pushed into an alcove with a 45deg attic roof surrounded by three walls. This meant that the person on the far side of the bed had to either get the other person to get out of the bed so they could get out, or roll over the top of the other. This was totally unsuitable for us as two members of the group had medical conditions that would prohibit them from climbing steep staircases or trying to roll over another person in the bed.We went back to the office with luggage in tow, and requested another apartment to which they replied there is none the towns fully booked as there is tennis on. At this point we asked for a refund which was also refused.They then instructed a representative of their business (cleaner they said) to go back to the apartment, two of our group went with her. At this point they discovered that the apartment was inhabited by long term residents which again was not satisfactory.The remaining two in the office retrieved the voucher and asked if they could try and find us some accommodation, again the answer was no.We then asked if they could ring us a taxi again no was the answer.I wonder if we would have had a better reception if we had told her we were in fact Moteliers from New Zealand. This is an appalling way for people in the accommodation business to be treating overseas guests, what a poor opinion we will have of the people of London. If I a asked by anyone I meet where to stay in London I can certainly tell them where not to stay.David &amp; Jillian Griffin53 Meeanee Quay WestshoreNAPIER Phone 64 06 8357566bamboolodge@callplus.net.nz	
Sep 3 2007	good for london	Check in was average, not overly friendly staffWent up to the top floor twin room in the tiny lift.very clean and modern by London standardswent to get a shower but there was no shower gels or soaps, when there should have been. so i rang down to reception and asked for some, and the lady told me that there was some in the room. well i was in the room and there wasn't. so she reluctantly came up to give us the small shampoo and shower gel bottles. On arrival to our room, she just walked in straight to the bathroom to check if there was any. I think she must have thought we had stolen it which i found very offensive and she just barged in and didn't ask if she could have look. The hieght of rudeness if you ask me!!!!!! hotel went seriously down in my estimations after that.As we were on the top floor the heat in our room was some what unbarable! there was no air-con and only a small attic window.Breakfast was very good for a London hotel.Location was just 3 minute walk from Earls Court tube. so good location.Overall,+ve = good location, good breakfast, clean and good value for money we paid £54 altogether for a twin room and breakfast.-ve = poor customer skills from staff,. they need to learn how to smile! no aircon therefore got too hot at nightwould probably stay again and reccommend the hotel as it is nice for london and for the price!!!!!!	
Aug 31 2007 	Loved this Hotel	A great small hotel. We loved this hotel for it's location and ambience. This is a small boutique hotel that is very clean and friendly. Our room was newly remodeled and everything was spotless. The room overlooked the tube station, but the trains do not run at night and it was very quiet. The only complaint I have is that the room was warm and we had to keep the windows open. The breakfast was much better than we expected -- everything you should expect prepared fresh. We will definately stay here again.	
Aug 29 2007 	Very overrated - a 2 star hotel	When we booked we paid the extra to get an executive room, as the hotel told us these were much bigger than the standard room. It was still pitifully small, barely enough room to move, although we did see some much bigger rooms there. We asked could we be moved to one of the bigger rooms, but the staff were simply not interested. The service was non existent, the lift is so small that only one person could get in with their suitcase. We had 3 families staying there for 2 nights, and none of us would go back. The only positive we could give it was the bathrooms, which were very modern by London standards, although quite small. Altogether a very disappointing experience. We later stayed at Victoria Park Plaza near Victoria tube station for the same cost, and the difference was amazing - that is a really nice hotel.	
Aug 15 2007 	Mayflower is great value	Stayed in one of the Maylower apartments actually opposite Earls Court (which was handy as we were there for the Beer Festival within). Apartment was great - especially the bathroom.Only downside was the traffic noise of the main Warwick Road - but nothing earplugs couldn't solve.In all, very good value for money for London.	
Jul 21 2007 	Good location and value	We found the Mayflower via an Australian magazine review and we were looking for a place in London that was affordable and could house 2 adults and 3 children together (vs separate rooms). We were given a separate apartment in a separate building on the 4th floor. It had 2 bedrooms, separate bathroom, kitchen and large lounge room. The quality of finishes and cleanliness was average, but the price excellent for London. You are really only a 4 minute walk to Earls Court Tube station and as a family you can have meals at home and do laundry. For us this outweighed the lack of quality of furnishings and torn carpet. We may sound negative but this is place has a great location and is fantastic value is you need a 2 bedroom place with laundry and kitchen facilities in London. Unless we win lottery we would stay there again.	
Jul 13 2007 	lush bathroom	Stayed at the Mayflower Hotel for the first time for 2 nights earlier this month after booking it via the hotel reception direct. It was £99.00 p room p night with breakfast which was quite reasonable given the location and decor of the hotel. The interior was of a very high standard but I had entered the reception area before and it appeared a lot smaller this time as if they have put a room of some sort behind the reception area. The staff were very friendly and accommadating and always had a smile which for London is RARE!! We were told our room was ready and on the third floor so we waited (&amp; waited) for the very small lift to take us and our luggage up the stairs. The lift is tiny!! Our room was very pleasant with nice &amp; clean decor with two windows facing the main road. There are a few bars/clubs nearby but the noise was tollerable really and you have to expect noise in the middle of London. The shower was very spacious and the bathrooms nice and clean with lovely tiles. Our tv didnt work so all we had for a bit of entertainment was a crackly radio on the teasmade machine but Im not really one for staying in watching the telly anyway!!! Other negative would be the lack of love shown to the rear courtyard/patio area which was looking very sad and some of the plants had died. The courtyard could have been a lovely feature of the hotel. I peered over the fence of the next building and noticed that it had a very grand landscaped garden which then made the hotel's look a lot worse. The breakfast room was very pleasant with lots of cerials, rolls, toast &amp; juices. The cooked breakfast is extra, which is fair enough. We were going to The Ivy for lunch anyway so we didnt want too much at breakfast. On check out the staff once again were very friendly and let us leave our bags there whilst we went and did a bit more shopping. So overall this hotel is very handy and Ive walked past it in the past &amp; often thought about staying and now I have. I would stay again for sure.	
