	Great LocationOutstanding Staff	We spent 1 night at this hotel.The Staff could not have been more friendler..everyone of them said Hello and the Concerige was really helpful.There are some renovations taking place but it didnt disturb us,the room was a little dated but comfortable.It did lack a tea/coffee maker but this was the only negative.we really loved the location and would definetly stay there again	
Jan 25 2008	Shabby in a number of respects	Royal Garden Hotel is in a great location right next to Kensington Gardens and tube, buses, taxis -. Ideal for tourists.It is a modern hotel, nice building and elegant foyer. The Park breakfast and lunch restaurant is light, spacious and very attractive with views of park. Splendid breakfast buffet Sats and Suns. Also smart fine dining restaurant on top floor with great views too.BUT we have stayed twice , once in their basic level room and this last time in the next grade up. We were not thrilled with the first experience but a few years on we thought it might be better but it isn't.Tiny narrow beds, tiny tv set, worn furniture.Problems with key card - being locked out of room - they thought we were checking out that day when in fact we were staying a few days.Housekeeping rather in a muddle - room left a long time before cleaned - nuisance.Coffee at breakfast always cold - had to complain more than once.Operative staff and supervisors very pleasant.Management inclined to argue with you if you grumble - not a modern approach to customer service.A classic example of a hotel with all the facilities but with unreliable service quality. Would not stay again or recommend.	
Jan 17 2008 	Staff are what makes it	I stayed at the Royal Garden Hotel just over a year ago, My room was pretty shabby but the staff were amazing, The Concierge department were faultless, they helped me book me theatre tickets and made me dinner reservations, Tiernan &amp; Stuart in particular were great.The location of the hotel is ideal for shopping, not too close to the West End but close enough, my room overlooked Kensington Gardens and was a treat.My advice is stay at the Royal Garden, you can get some cheap rates but it is not a 5* in terms of decor but in terms of service it is a 6*!!!	
Jan 7 2008 	Great location has stood the test of time.	We have stayed in this hotel a few times over many years and it really never fails to impress. Great location, excellent concierge, spacious rooms and a fab mini-bar. (sounds mad but they stock mens black socks, the extra pair of stockings and jellly babies - what else could you need?) Check out the juice bar Crush just across the road for a morning smoothie.The Churchill Arms is a short walk away, great if your are looking for a real traditional London pub (and possibly a few &quot;famous&quot; faces), why not follow up with a Lebanse meal @ Maroush - don't miss the Chicken Taouk! With a nightcap in the hotel bar you will not be disappointed.	
Nov 26 2007 	Really lovely	My husband and I stayed her for one night in a room that overlooked Kensington Gardens. Fantastic views, very nice hotel and room service.Great locacation for the Royal Albert Hall too. Would definately recommend.	
Sep 28 2007 	Loved the Royal Garden Hotel	Was pleasantly surprised with the Royal Garden Hotel, after reading some of the reviews. We just got back from a Celebrity transatlantic cruise and booked a 2 nite pre-cruise thru Celebrity, couldn't have been better. We found the hotel to be spotless! Beautiful lobby! Great view of Kensington Park from our room which was very comfortable and clean. The buffet breakfast was great, had a nice selection of fruit, cereals, danish, croissants, and more. You can walk thru the Park to Diana's Palace and there is a lovely coffee shop next to the palace called the Orangy, very elegant. Across from the hotel is the &quot;BiG Bus&quot; ho/ho bus, very convenient, great tour. Also across from the hotel is a great Italian restaurant called &quot;La Strada&quot;, food was excellent and not too pricey! Cost us 40 GBP for the both of us for 2 great dinners, appetizers and wine! I would definitely recommend this hotel.	
Sep 16 2007	wouldnt give it 5 stars...	here it is listed as 4 stars. some websites show it at 5. excellent location. clean room. spacious enough for two adults. two twin beds were adequate, thought the pillows were pathetic but i suppose everyone has their preference... room was clean. nice view over kensington gardens. plenty of places to shop and eat on the high street. concierge/help was accommodating, never quite going the extra mile... no major problems just several small irritations. the tv was a nuisance to get working, a problem more suitable for a motel 6... also, i asked the concierge to order tickets for buckingham palace and he did, but he ordered the wrong ones... we were able to do what we had planned out an extra 3 pounds when all was said and done. wouldn't necessarily recommend the hotel, or stay there myself as a top choice. but overall a decent stay. not luxury, but better than your average hotel.	
Aug 24 2007 	you get what you pay for...5*	the royal garden is situated on kensington high street, a bustling shopping area, with plenty of places to have a coffee etc..it backs onto hyde park, so ask for a room which overlooks one of the largest patches of grass in london!as i say, you get what you pay for...a good standard of room, ours was only average in size, but well appointed and clean. good standard of bathroom with shower over bath.eating in the hotel is expensive, english breakfast is about £18, it was nice, but i think it's the most i've ever paid for bacon, sausage and egg!the hotel whilst unquestionably being furnished to a high standard, gave me the impression of being characterless. perhaps that's how the management want it to be, clinical.overall, enjoyed our stay, don't know if i would return, too many other hotels in london to try...	
Jul 15 2007 	Not a five start hotel but OK	It is an average hotel that felt like a 3 or 4 star hotel, I could not see why it had 5 stars. That said the hotel rooms were fine (had a standard room), a standard hotel room similar to something you would find in a holiday inn, nothing special. Although I had the smallest bathroom I have ever seen	
Jul 14 2007 	Put a damper on our weekend in London	We were looking forward to our long weekend in London to see where Princess Diana lived on the 10th anniversary of her death. Looking through several hotel websites we came across this hotel that was near Kensington Palace. We arrived in London early in the morning (6am) and spent the day exploring the sights. When we turned up at the hotel around 4pm they insisted that they did not have a reservation for us. After a long discussion with the front desk manager who insisted that they did not have a reservation for us, my wife finally found a print out of the reservation in her purse. The front desk manager then indicated that he had found our reservation but our room was not ready and asked us to wait 15min. After sitting in the lobby for almost 2 hours, our room was finally ready. Remember this is after flying 10 hours from the US, and spending the day walking around London. Looking forward to resting in our room by Kensington Palace, we were disappointed by the damp smell in the room. The small television was at the side of the bed and difficult to watch from the bed. The bathroom was dirty with well worn towels. And worst of all the staff did not even apologize for the horrible rooms or having us wait for so long. The hotel stay left us bitter at the hotel and the overall london experience.	
Jul 2 2007 	Great for Family Stay	This isn't a hotel that particularly caters to families, but it worked out wonderfully for us. We spent 5 nights over two trips in a Junior Suite. It was hugely roomy and comfortable. Room service was quick and accomodated our little boy very helpfully.The beauty of the place is that it is right next door to Kensington Gardens, so we could be out and feed the ducks or play in the Diana playground quickly and easily. The hotel has many buses that stop right in front and is a short walk from the tube. (We had rooms both in the front and the back and didn't find the traffic side particuly noisy, but you might want to request the back.)Whole Foods has opened its first store about a block away, so we got bagels in the morning there. Wagamama's is next door and very kid friendly. There is a Boots Pharmacy for emergencies (and apple slices and carrots). A Marks and Spencer is also good for sandiches and the like. Plus you have all the high street shops.I lived in London for 6 years and always laughed at this hotel -- it is a big grey box with a pretty tacky lobby. And here I am, happily staying there and recommending it. Times change!	
Jun 19 2007 	A nice stay but definitely not 5 star	Stayed for two nights as we were going to the Albert Hall. This hotel is ideally located for the Albert Hall being 10 minutes walk away. It is ideally located for Kensington Gardens and Kensington High Street.The room on the 9th floor was spacious and clean with a large and very comfortable bed. The TV was a bit on the small size as a lot of quality hotels have larger flat panel units these days. No tea or coffee in the room but this can be supplied if you ask.Breakfast was very good with good selelction of hot and cold dishes and the service was good.Overall the hotel is in need of a bit of an up-grade and up-date to get it to 5 Star level as it is looking a bit tired; the location is good though.	
May 29 2007	Very nice stay	We had a very nice 3-nights-stay at the Royal Garden Hotel. The staff was very friendly and helpfull and our room (5th floor, street-view) very spacious and very clean. Although Kensington High Street is very busy, we didn't hear any traffic-noise except the police or ambulance sirens from time to time.There is no tea-making facility in the room, but you can ask for a tea-tray at the consierge-desk and we were brought one immediately. The hotel is officially rated 5-star, but surely can't be compared with some other 5-star luxury-hotels. But it was more than worth the money we paid for and we will surely stay there again on our next trip to London.	
May 16 2007 	Don't stay at this 2 star hotel...	PROSLocation (near Kensington Gardens)CONSLocation (on a noisy street)Rooms are very dated, and smellWorn carpet in the hallwaysMoldy bathrooms need cleaning and updatingBugs in the closetLong check in/out timesBad staff attitude, treat guests with contemptManagement attitude even worseTheir web site looks very professional, but in reality this is a very dated hotel, claiming 5 star status, but more reminiscent of an hourly rate 2 star hotel - with staff to match. Don't be fooled by their low rates. You don't get much for your money. Owners clearly have not invested in this property in decades, but are still able milk the tourist traffic who are not repeat guests.	
May 15 2007 	Great value	Four of us booked the Spa Indulgence Package. We arrived at the hotel at approx 11.00 and were pleasantly surprised to be allocated rooms at this time. Don't be mislead by the title &quot;Superior Room&quot; the decor of the rooms werebasic ,but the rooms did include all the facilities you would expect.. (Tea making facilities and newspapers are both available FOC if you request them) The customer care in the spa was excellent as were the staff we spoke to throughout the hotel. Breakfast was first class with a buffet catering for every dietary requirement possible. We would definitely stay again.	
Apr 30 2007 	fake 5 star hotel	When we arrived at 1100, the hotel gave us an early check-in and we were very impressed with the service. But when we got into the room, my god, it was tiny. I booked for a single room, and after fitting in a single bed, wodedrobe, a desk, chair and a single seated sofa, there was no space left in the room! Because the room was so small, the TV was placed on the SIDE of the bed (not at the end). And normal stuff like kettle, tea, coffee, toothbrush and toothpaste could only be supplied if you ask. Since there was only a single bed (my mistake that i should have booked a double), we asked if the hotel could give us an extra bed or change to a double room, expecting to accept any extra charge. The reply i got was1) cant give you extra bed (or more duvets or pillows) because it is a single room2) hotel is full tonight therefore we cannot exchange the room for youThe attitude of the person i spoke to was bad and he did not offer me any other help (like suggesting I could go to another hotel )apart from repeating the room was for single person and it was not meant to have more than one person inside. This is just not the the type of service i would expect from a 5 star hotel.Lastly, the bar in the hotel was noisy, i could only hear people talking and I could hardly hear the music. Again, i did not expect this from a 5 star hotel, i would have thought it would be more classy.	
Apr 3 2007 	Perfectly fine place to stay	Modern, upscale, business/tourist hotel. Don't expect to face Kensington Gardens, rather the basic rooms all face High St. Kensington, a busy thoroughfare but not particularly noisy. The location is a bit off the beaten path, but easy to get to via tube station down the block. Lots of good local restaurants in Kensington,just prepare your wallet. Otherwise, would definitely stay there again.	
Mar 1 2007	Pleasant family break	I booked a Suite for 3 nights in Feb for myself, husband and 2 kids (3 &amp; 6yrs) for 230/night. Room was decorated to a high standard and exactly as depicted on the hotel website. Sofa bed was a single so they wheeled in another bed for the 2nd child at my request. Concierge was very helpful at reccomending evening dining options outside the hotel as dining in-house was a bit too formal for our kids in this predominantly business traveller hotel. Great location near High St. Kensington Tube and less than 10 pounds Taxi ride from Paddington for easy transfer to Heathrow express. Overall very enjoyable.	
Feb 16 2007 	Poor service staff and managment display poor attittude	I have stayed here for the equivalent of 5/6 months in total over the past 10 years (my former company uses the hotel). Its not worth the money, staff have poor attitude. They just do not understand service. Food is generally rubbish and expensive. Breakfast is OK. Management can not offer help even to resolve simple issues. Location is great.	
Feb 13 2007 	Great location and lovely staff	Booked a three night stay through an online agent, hotel was a 'mystery' choice although you could work out which hotel it was from the description. Paid just over £100 a night for a room including continental breakfast and so considered this excellent value for money in central London. Staff were fabulous, all very pleasant and the service was faultless. The room I had was very large accommodating a kingsize bed, sofa, chair, desk, table etc with no problems. Bathroom in very good condition and of a reasonable size. The only thing I would criticise is the food in the hotel which is distinctly average but really quite expensive. In addition the hotel were carrying out renovations while I was staying and I was awoken each morning to the sound of drilling from the floor above, and as the hotel was busy I wasn't able to move rooms.	
Feb 5 2007 	good value	Stayed in January 2007. Good value for money and I would stay again. Some reviewers expect too much. It is not fair to compare budget 5 star hotels to luxury 5 star hotels. This hotel was plenty good enough for the money. I stayed in the Dorchester earlier this year- it was twice as good, but I paid twice as much. I enjoyed both hotels for different reasons and would use both again.	
Jan 24 2007 	Great hotel great location great price	Stayed here for 3 nights over a long weekend in January and got a great deal from a 'top secret' type we offer, had enough clues to know which hotel it would be before I booked, 100gbp per night B&amp;B for London 5* - unbelievable price. Arrived early and no non smoking room was available, so was offered choice to wait or to take an available smoking room. I took second option with proviso I could change if the room was smelly. It wasn't. Got a 9th floor street facing room - great view looking down Kensington High Street, especially when lit up at night. The room has a dvd &amp; cd player, plus a little mezzanine with a sofa and armchair, so bigger than I was expecting. It was in good condition - no complaints at all, ditto for bathroom. Daily Telegraph free each morning. Breakfast was good, not amazing - continental included in room rate price. Great for fresh fruit and juices, ok for cold meats &amp; cheese (what was there was nice, but limited choice). Possible to order cooked breakfast for an extra 4.50 per person which I though was reasonable (took it one day and was not disappointed). Staff were very helpful, concierge helpful and friendly. The hotel bar was ok but a bit boring in terms of look &amp; feel. Didn't try the restaurant. Knightsbridge &amp; and west end just a short bus ride away (bus stop outsdide hotel), or a cheap cab ride. Tube station also very close, but found that bus was more convient to go into west end. Area surrounding hotel is nice - next to Kensington gardens on one side and high street shopping, bars &amp; cafes on the other. Overall &amp; given the price paid - it was suberb &amp; highly recommended. If I had paid double or more would have expected a more specacular breakfast selection and a more interesting hotel bar.	
Jan 21 2007	Getting older but ok	The Royal Garden was my default hotel from 1999-2002. During that time it had just undergone a renovation and I found the rooms (although a tad small) nice, the beds nice and the bathrooms very clean.Now, five years later, the Royal Garden is starting to show some signs of aging. The carpets are getting a tad dirtier and my last mattress was quite lumpy. It's still worth staying, but I suspect things will be getting a little more tired in the months and years to come.You can get some good deals here, compared to other hotels in London, and the location is quite nice. Overall I have no real complaints, but I just remember when it used to be a little bit nicer...	
Jan 10 2007 	The only nice thing there is the lobby.	Apparently this hotel has different size/quality rooms since my coworkers like to stay there (for the same money).My room was horrible: small and outdated with poor ventilation. The worst thing about it was the bathroom! I actually couldn't fit there, and no, I am not fat, I am pretty thin. Every time I was coming to my room I thought how overpriced it was. The floor hallway was just scary.The food on the first floor and on the top floor was good but pricey.The room was ready very late and I had to hang in the lobby for several hours, therefore the title...Will try some other hotel next time!	
Jan 6 2007 	Great!	We stayed here from December 24th, 2006 until January 2nd, 2007 and booked a great deal through otel.com. Although the room (330) had one somewhat broken window (noisy and it didn't open) we were quite happy! Continental breakfast was included and was sufficient (although something like salami or pepperoni would add a bonus to the breakfast buffet) and varied. Breakfast via roomservice was free of charge and the requested ham and cheese was complimentary! Compliments for the concierge who booked dinner reservations for us, and told us everything we needed to know! A shame though that the Tenth, which is supposed to be absolutely fabulous, was closed everytime we tried to visit (and believe me: we've tried!). The only thing that wasn't so great is that, contrary to what the hotel itself states, not all rooms look out onto Kensington Garden. Our room looked out on Kensington High Street and that can be quite noisy. But all in all it's a good five star hotel and I can recommend it to anyone! Close to the tube, 20 minutes walk to Knightsbridge, what more do you want?	
Jan 1 2007 	First Rate!	We stayed at the Royal Garden for a long weekend during the Christmas/Newe Year week and could not have been more pleased and pleasantly surprised. The hotel public areas and our room were comfortable and welcoming. The staff could not have been nicer or more professional. The concierges on duty during our stay were all professional and quite knowledgeable and went out of their way to be helpful and accomodating. I had forgotten collar stays for my dress shirts and the concierge directed me to a local shop where I was able to obtain them. Simlarly, they made recommendations regarding convenient and inexpensive transportation and useful tips.Continental breakfast was included in our package and provided a wide slection of fresh fruit, cereal and breads/pastries nicely presented, the staff could not have been nicer. They were attentive and very professional.Only minor issues- my companion found that the lighting in the bathroom was not conducive for putting on her makeup; there is little drawer space and the closet could use a light- but these were minor inconveniences in what was an otherwise pleasant sojourn at the Royal Garden.For those needing to use their computer -- the wireless service was fairly reasonable at L5 for a two hour card.The hotel location was very convenient- just a short walk to the tube and bus stops and for a nice walk- Harrod's and other shopping. All things considered- I'd go back.	
Dec 5 2006 	Good but could be better	I stayed here a 3 years ago and it was fine, so I booked it again for 2 nights last week (Sat/Sun) I booked direct and seleted the deluxe room. When we arrived we had been bumped up to a junior suit, didn't have to ask. Room fine, large with lovely views across the park, clean and everything working fine. I agree with the previous post that the walls are thin, could here child crying somewhere.I have however stayed in better 4 star - The Chestrfield at Mayfair for example.BreakfastHere's where they let themselves down. There was obviously lots of office/works parties on the Saturday night, so Sunday was chaos. They provided a buffet breakfast clearly because they can't cope with the level of people. I detest English Breakfast being served this way, as it is usually cold and the selection is limited. The continental buffet was fine, lots of choice. My husband asked for fried eggs instead of the scrambled slop that was provided and this took 20 minutes!!!The staff were far too busy and the service was poor, for £19.50 per head it was dreadful - my breakfast was included, but that is a terrible price. It felt like a travel lodge.What a difference the next day. No crappy hot buffet, just all cooked to order. Much much, better. Service was fine as it should be and staff were polite.I don't think the Royal Garden deserves 5 stars anymore, it needs a shake up to get them to realise that good service is a continuious thing, not just when they feel like it.	
Nov 28 2006 	poor concierge not a 5 star	Ive stayed in many 5 stars and this just doesnt compare to any of them the concierge in particular were the most dissappointing and were of no help when we asked if they could try and get us a table in a restaurant he said no chance when we asked if there were any nearby restaurants he didnt know any (strange considering there are about 5 across the road!) as a 5 star hotel service should be their number 1 priority and it fails dismally the rooms are small and outdated and the walls are thin I could hear people in the next room talking at 6am.the bar is overpriced and so is the tenth resturant which is also in need of a refurb how can you charge the same price as claridges when you arent in central london and you aint anywhere near that standard! v dissappointing and definatly not a 5 star hotel the service just isnt there its got no atmosphere and is vastly overpriced! Ive stayed in the atheneum which is closer to shops etc the service is the best and the rooms are better my advice is stay there we will next time.	
Nov 21 2006 	An unexpected pleasure	We stayed at the Royal Garden Hotel from Oct 20 the 28th. We were very surprised to find that is is a very nice hotel in a nice area. The DH found it to be a bit far from downtown London but Kensington has its own charm.The hotel seemed to have a great many diplomats &amp; sports figures- a little embasy row is just next door- and it is next to Kensington Palace. The continental breakfast was included but we were able to purchase the full English breakfast for just 4 pounds more. That was cheaper than going to Giraffe across the street. There are many small but relatively inexpensive restaurants across the street ranging from Starbucks to Giraffe , Italian and Greek as well as a popular pub. The area is just great about a mile from Notting Hill. The service was very good although room service for a splurge evening snack left much to be desired but when we complained they withdrew the charge. Marks and Spencer are just up the street also for an inexpensive meal with the underground next to it - about 500 yards from the hotel. The room and bath was average size for an American hotel with a nice tile bath. We would stay there again. We had not seen many reviews and had thought it to be a possible dud. But we now think that they are just keeping a great secret.	
Nov 13 2006 	The Grass is Greener at Royal Garden	We stayed at the Royal Garden Hotel October 28 – November 1, 2006 while in London on our honeymoon. The hotel location is excellent, there are many shops &amp; a variety of restaurants right out side the door, Kensington Palace &amp; Gardens is also next door to the hotel. The Kensington High Street Underground stop is a short, pleasant walk from the hotel. The front desk staff were professional &amp; the Concierge was very helpful with arranging transportation to the airport at the end of our stay. The room was a comfortable size &amp; was clean with a comfortable bed &amp; nice sitting area (small couch, table with magazines &amp; a big window overlooking Kensington High Street – great view). The bathroom was also clean, amenities included the usual soaps, shampoo, conditioner, shower gel &amp; lotion along with bathrobes, cotton swabs &amp; a sewing kit. In room internet access was available but for a hefty price.The continental breakfast that was included in our room rate had a good variety of cereal, fruits, yogurt &amp; pastries. The restaurant had a nice atmosphere with big windows that looked out onto Kensington Park. Royal Garden Hotel was in a great location &amp; met our needs, I would stay there again &amp; recommend it to others. While in London I would also recommend seeing the play “Wicked” at Apollo Victoria Theatre (esp. if you’re a Wizard of Oz fan). If you’re American, I must warn you, the $ exchange rate isn’t very good… prepare to shell out $$ esp when dining, even one basic meal at a fast food joint will cost about $13+USD per person but after all, you’re (hopefully) on vacation so enjoy! Another dining tip, most London restaurants include the tip in your meal price so be sure to check on the menu to see if a “service charge” has been included before leaving a tip.	
Nov 8 2006 	Very comfortable	I stayed at the Royal Garden hotel for one night on business.The reception staff were very helpful, and the room very comfortable, clean and large (for a London room). In room facilities were very good (interactive internet TV, etc). I've only given it four stars as:- you couldn't stretch out in the bath- no tea or coffee facilities in the room- a rather chaotic breakfast (no tea or coffee offered to me, and I didn't have time to wait).These are minor quibbles - all in all it was a very pleasant place to stay, and at £147/night including buffet breakfast, pretty good value.	
Oct 9 2006	Great location perfect breakfast excellent views	This really is the perfect location for a stay in London and with great views (from our room at least) I'd highly recomend it. The ground floor restaraunt where we took breakfast was fantastic with really hepful and friendly staff, and FULL table service too, not some 'Harvester' type buffet! Top marks.	
Aug 19 2006 	Location Location Location	The Royal Garden has a prime location on Kensington High Street close to the best shops in London, including Harrods and Harvey Nichols.Reception and Concierge staff are among the best I have ever dealt with. The rooms are a bit dated but very well mantained. It is worthy to upgrade to one of the rooms overlooking the park. What a view!Breakfast is served in the cafe restaurant, excellent choice of food for £18. The service is attentive and friendly but try to avoid peak periods if you can.There are a lot of restaurants in the area but dinner at the Tenth restaurant is a must.I highly recommend this hotel to anyone. Location, location, location!.	
Aug 4 2006 	Great Hotel Great Location	My partner booked this as a surprise break for me. We had a spacious room overlooking Hyde Park and even better we were right in the midst of High Street Kensington shops. Our room was very clean with traditional furnishings, but the ensuite could do with a bit of an update.The reception staff were very helpful and polite and the doorman couldn't help us enough with all the local information.On the first night we ordered room service as we arrived very late but the next evening we went to The Tenth Restaurant which has stunning views overlooking the Park and even towards the London Eye. The food was very well presented but perhaps not very substantial for my apetite.Overall I would recommend this 5 Star Hotel to anyone who wants to be in a great location and enjoy a warm and friendly atmosphere	
Aug 3 2006	Loved it Except>	Loved the hotel it was very worth while, the staff in the main restaurant for brakfast where all very cheerfull and friendly especially the restaurant manager who on arrival found us the location of an Ameriacan Bank and a suitabke alternative, What knowledge!!	
Jul 11 2006	Pleasantly surprised..	We stayed here for 3 nights in June. Had a lovely quiet room (which is rare for London) on the back of the building looking over a tree lined street. Staff wonderful - rooms spacious and very clean - liked the sitting area with the large picture window. Room service was excellant - breakfast wheeled in on a trolly and everything we asked for. Would have liked to have stayed here again after our time touring - we tried everything but they requested more than double what we paid for this visit so alas didn't go back.	
Jun 5 2006	Enjoy The Royal Garden!	Had a terrific stay at The Royal Garden. Great hotel, that comes with a perfect location. The staff was very polite and helpful.The room was nice, modern and clean. TV/Computer and DVD player, had no problem operating the pay tv etc.The food was excelent, so was the 24-hour room service. Late one night we had dinner at the hotel room. Steak with new potatoes. Fantastic!We had a nice view of Kensinghton High street, a typical London &quot;picture&quot; :o)The Royal Garden is a true 5 ***** star hotel, no doubt!	
May 1 2006	Dated no longer 5 stars.	Five star hotel? Maybe twenty years ago. Service - very good, I must say.Location - excellent- overlooking kensington palace and on high street Kensington - good shopping and bus/tube access. Rooms - Was on tenth (top )floor. Wonderful views of royal kensington park. Musty smell to room- dated furniture with stains. Nothing special Good size. Thin sheets, difficult to control air conditioning- expect a hot/cold night. TV difficult to use and took ages to load up. No preview of movies. No kettle! Bathroom - nice- bidet in one of our rooms. Bathrobes.Breakfast - ok, not worth the £18 a head. Poor service. Expect to have to ask for everything, and twice. Business centre - open 24hrs a day, £2.50 for 15 mins internet, 25 p to print.Paid £100 per night for twins. Conclusion - Great location, and historically probably a five star hotel, but now the rooms are too dated, furniture is old, rooms are musty. Worth going if you find a deal, but would not pay more than £100. Very nice for a weekend break - to walk around kensington gardens/hyde park, and high st ken for shopping.	
Apr 10 2006	Decidely average	We stayed at the hotel as part of a large group celebrating a special birthday. All in all it was very functional without being very special. The rooms were perfectly adequate although for the cost surely the provision of tea/coffee facilities should be a given. The quality of staff was fine but the problem was the lack of said staff. Each area seemed to be understaffed. Breakfast was somewhat chaotic purely because there were not enough staff to deal with the guests. When food ran out there was no one to bring out more. Overall there was nothing particularly wrong with the hotel other than an insufficient staff to guests ratio.	
Apr 8 2006 	Good Expensive Hotel !	Hello, I stayed in this hotel for 5 days (biz trip). the overall impression is very good, yet, if u r paying from ur pocket for the accomodation, then watch out. i know that there r other hotels in london much more expensive but this is not the cheapest eaither. for ex, to clean a shirt it costs u 6 pounds, to use the hotel internet, u pay around 20 pounds/2 h. there s a wirless connection that costs less anyways. english breakfast costs u around 18 pound..this is just to give an example then it is up to u and the budget u have in mind.as for the services, it very good i must say. staff s attentive and polite (the majority. room is ok but not big. toilets r in a v good condition and the food and the room service is excellent. u can request for ur tean &amp; coffee making kit if there s no one n ur room. in general - it is a good choice if u can afford it.	
Mar 30 2006	Personalised Stay in a 5*	I recently stayed at the Royal Garden Hotel in London during a business trip and my family joined me for the weekend as they never been to London (my wife and our son). The hotel is well located as it is not far from heathrow and close to shopping areas such as Harrods and Slone Square. I was very satisfied by the efficiency of their driver who came to pick me up at the airport and knew moreless most of the info I asked him and even tried to talk to me in Russian. In general i stay on teh other part of teh park but my assitant was adived by our agency to try this hotel has they had a good deal and ok feedback. I will also myself recommend this hotel being above the average 5* without the added $$$ that you can get in the other hotels on the Park Lane. Being on this side they concentrate more on making me fell having a personalised stay (with a welcome card in russian). But they should have more russian speaking staff.	
Mar 27 2006 	5 star service 3 star rooms	Can't fault the service and location but expected much more from a five star hotel where the room was concerned. Had booked a non-smoking standard room but when I arrived they did not have one available so gave me a free upgrade to a 'suite'. Was really glad as it was tiny and so was pleased not to be in a standard room. However, it was the bathroom that amazed me - I have never been in one so small - ever. Bear in mind I am from the UK so not judging it against American standards. You had to open the door which opened against the bath, stand close against the sink, and close the door to get to the toilet. Was here on a conference and was really pleased it was on expenses and not coming out of my own pocket! Unless you have a strong reason to stay here I would not recommend it as there is much better available in London.	
Mar 21 2006	Had a great Time	Stayed here for our Wedding Aniversary 17th March for 4 days. Excellent again. I book through National Trust in conjuction with Super Breaks. Only pay standard room charge over looking the High Street. No noise as were never in our room. I found the staff excellent, breakfasr included with our booking no problem with the food. Dined in the terrace resturant three nights and the food was very good.I wouldn't hesitate to recommended Royal Garden.All the staff very good.Hope to go again in the Autumn	
Mar 14 2006	Very mixed experience	I booked this for a 2 night treat for my husband, and we enjoyed ourselves on the whole, but sometimes it was hard work. I'd asked for a garden view and we were given a room that overlooked a concrete roof (!) - you could just see the Kensington gardens if you stood at the very corner of the window and craned your neck. After some discussion they upgraded (at a cost) to a room which had a fantastic view on the 9th floor - but later realised it was extremely noisy with a/c units above (&amp; we had to ask for a tea tray - 5 star?). When I complained at checkout a very nice receptionist refunded the upgrade. First breakfast was great - lovely table/view &amp; lovely food &amp; v good service. Second was a disaster - terrible table near kitchen door (really there shouldn't be a table there at all) and we were told we couldn't move because they were 'too busy'! We insisted and then had to wait 25 mins for a breakfast that was undercooked - definitely felt that was the punishment. All in all, a great location but very varied staff attitudes - a shame!	
Feb 10 2006 	Patrons beware	On Jan 26th, 2006 we (three of us) got up at 4am and flew to London for a computer show. One in the party went to the Royal Garden, checked-in and indicated to the hotel staff that the other two rooms would be coming in after the show. After a hard day we showed up at 7pm checked in. (Credit Card taken, passports photocopied). Then we were asked to take a seat in the bar. After 15 minutes we were told their were no rooms. We were put in a cab for a &quot;nearby&quot; hotel... The Royal Garden was one subway stop and in walking distance from the show. The nearby hotel was six subway stops and one change away. It was 4-star vs 5-star and available at &quot;the same rate&quot;. The room was confirmed with Credit Card on booking. Only later did we find out that some rooms never checked out, so we were bumped. Our group split, to an inferier Hotel, added transport time. etc. We have now recevied a letter that &quot;apologies&quot; and offers .... nothing.So it seems that one should not rely on late checkin at this hotel. (Copy of letter from Hotel available upon request).	
Feb 6 2006 	One for the best in london	I was in London at a company event and decided to stay at the Royal Garden Hotel from the list of recommended hotels. It was only slightly more than some of the other hotels even though it had five stars, but was the hotel where the event was being held. Staff were very friendly and helpful. The staff in Berties bar went out of there way to make me feel welcome and really impressed the clients I was entertaining. Rooms are spacious and I had a great view over Hyde Park.Its not the cheapest hotel in London, but with most things, you get what you pay for. Definitely one for the A list.	
Dec 13 2005 	Beautiful views but watch the bill !	Stayed for one night in a super deluxe room (which I was upgraded to IMHO for being polite at check in !)Stunning Room with equally stunning views. Lots of nice touches (Bathrobes, slippers etc) but my personal favourite was the Heated bathroom mirror which didn't steam up in spite of my hot shower !Room was big, servicein hotel fair (but didn't eat there so can't comment on dining experience)Overall, would reccomend, but watch the bill (4 drinks in bar cost over £30)	
Nov 29 2005 	Watch the bill!	Stayed in this hotel on the 16th of September. The bathroom was not well cleaned and the room and whole corridor smelt strongly of cigeretts. However, what really annoyed me was the bill. I received a letter on the 23rd of Spetember relating to a mini-bar charge dated 16th Septmeber for my roon (room 612). I did not use / take any item from the mini bar during my stay - but did open it in the hope of finding coffee making facilities. I left a phone message for Ms Felicity Yexley of this Hotel to this effect on the 24th but she did not bother to ring back. I emailed Ms Yexley also to no avial. My tip - Watch the bill and what they try and charge you for after they have leftDr Jason Halford	
Sep 24 2005 	Lousy Service	There is no way that this hotel is 5*. The food in the hotel restaurant is terrible with a chef that has a bad attitude. Had two meals in the hotel. Everything you asked for had to be relayed to the chef. Our last meal (for 10 persons) took two hours to arrive and was cold. Chef is unable to cook a rare steak. All the restaurant staff seem scared of him including the manageress who was professional when dealing with our complaint but was limited to what she could do.The hotel foyer looks impressive but then this does not reflect the bedroom comfort. The toilet is 1 inch away from the wall and therefore impossible to sit comfortably on. The key card system is a total joke. Every day, our key cards had to be replaced.All in all, we would not return but then again, they have enough business in London to not bother about any of the above.	
