	Simple hotel good location	Overall the hotel provided exactly what we needed - a base for a 2-day sighting seeing trip around London. The location was good since it was right near the Earl's Court Station that allowed us to get everywhere we wanted to go. Otherwise there was not much near the hotel.The room was actually bigger than anticipated. It was very basic though. Only negative was that the one women at the desk wasn't helpful at all with any of our questions. Would recommend for a basic sightseeing stay.	
Feb 18 2009 	Location is great...Hotel is not.	I live in Chicago and am no stranger to tired buildings but this one needs to be retired. The place looked old and worn out but I thought it was at least clean...until the cockroach crawled across the floor. I am sure everybody will not have this same experience but after checking in and dropping off our luggage we left to go check out the neighborhood. When we returned back to the hotel we found that our key did not work nor did the other 3 keys that were made for us at the front desk. It ended up that the hotel maintenance was not able to get our door open until the next morning at about 11am and our luggage was still in the room. We were put up at their sister hotel and given free cab fare to and from there. Seeing as we did not have any of our luggage and were locked out of our room for roughly 14 hours it was a major inconvenience and I really do not think the situation was handled very well.It has been a while but I think they did not even comp that night and were given the excuse that they couldn't because we booked through Expedia. If you stay here keep an open mind and make sure you bring a sense of humor. (you will need it) Also, don't take any room on the 1st floor...it is the basement...and from my experience that is where the cockroaches live. Last but not least, know that you get what you pay for. Good luck and enjoy your vacation!	
Feb 15 2009 	Cheap 	Booked this hotel through Alpharooms we had a 3 night stay for £160 for the both of us. Hotel is very near Earls Court tube station and shops and pubs but we did not hear any noise at night time. The room we had was done is stairs and was quite gloomy, the heating was not working but they had gave us a small heater which took the chill out of the room and we only had hot water one day, other two days the water was tepid think you have to watch what time you have your shower get up early but it had good pressure to it. The hotel is clean but a bit dated we had clean towels every day and the breakfast was ok.We were hardly every in our room so we were not bothered about the down sides. I would recommend this hotel if you are looking for a cheap break in London. Gave above average for the price.	
Feb 1 2009 	Good Budget Hotel for London	Location is definitely a great selling point for this hotel - just off Earls Court Road, which is full of places to eat and a very quick walk to the tube. Nevertheless, our room was very quiet, overlooking the residences that back onto the rear of the hotel. The staff were friendly and helpful, allowing us to check-in two hours early without charge. I'll be honest - when I visit London I don't spend too much time in the hotel and this is fine for crashing out at the end of the day. Beds were comfortable and the room itself was of a good size and clean. The bathroom would have benefited from a little refurbishment work but was perfectly acceptable. I cannot comment on breakfast as I always ate outside the hotel. Note: no evening meals are now being served. Only downside to our stay was the lift. It proved increasingly difficult to call and by the last day had given up completely. We left the engineers to it and walked down the stairs. Could happen anywhere but it did seem that this event wasn't too unusual. May not be great for those with limited mobility. Don't expect 5* comfort here but for a brief visit to London on a budget, it's fine. I would recommend the hotel for budget conscious travellers who do not spend too much time at the hotel. If you're looking for luxury, it may not be the place for you. For the value, it gets four stars.	
Dec 19 2008 	Enjoyed staying there	I spent three nights in the Barkston Gardens Hotel in mid-December. The hotel web page itself seems to be the cheapest way to book a room. I am used to travelling on a budget, and I also stayed at other Earl's Court hotels before. All in all, this hotel turned out to be my best choice in the area so far. I really enjoyed my stay at Barkston Gardens very much. First of all, as many others have already noted, the location is excellent - very (!) close to Earl's Court Tube station but nevertheless in a quiet street. Besides the many small surrounding shops and pubs, there is also a huge Sainsbury's at just a few minutes distance at Cromwell Road.Though others have criticized that the hotel might benefit from refurbishment, I found my room as well as the public area very clean, charming and cozy. The high ceilings, the big windows and the light and warm colours clearly contributed to this impression. The bed was really huge and comfortable, and the whole room was large for a London hotel. Though the heating was a bit difficult to regulate, room temperature was pleasant. There were, however, a few points that might be problematic for travellers who are used to higher standards, though they didn't bother me that much. As was also already mentioned before, water pressure could have been better, though the temperature was warm enough. Moreover, for some reason, the fire alarm turned on a few times in the middle of my first night. Finally, as this is an old building, floors tend to be rather noisy, so it might be a good idea to use earplugs in the night.Hotel reception staff was ok, though they could have been a little bit more concerned. Breakfast was a rather hectic experience - though I'm convinced that the staff wanted to make everything perfect, they could have been a bit more relaxed. The continental breakfast was included in the price and was really good. In sum, I really liked the place, as it is such a nice house with comfortable rooms in a great location. I will definitely try to stay there again at my next visit to London.	
Dec 2 2008 	Competitive price for a comfortable hotel	Pros:- 50 mt from Earl's Court station;- quiet zone, with fast food and restaurants in the immediate nearby;- comfortable bed with two pillows (and I am 1.90mt high);- very good price: I paid 50 pounds/day.- clean bathroom and room;- free wifi;Neutral:- breakfast;- very hot, I cannot stay fully dressed in my room;Cons:- noisy floor, especially from the above floor;	
Nov 28 2008 	lived up to the reviews	As a traveller on a budget I rely heavily on Trip Advisor reviews when it comes to booking accomodation. Once again I have found a hotel which (perhaps because of realistic expectations) has not dissapointed.Yes it is a little tired (especially in the corridors) and a lick of paint would do no harm. Yes the floors creaked and as an added extra during my one week stay the fire alarm went off for no apparent reason a number of times ... including memorably once at 1am !!BUT ...... The room I was allocated was clean, the bedding (and importantly the bed itself) was in good order. The bathroom was well maintained and while I did have a shower over the bath i also had a bath large enough to have a proper bath in .. and I had no problems with lack of hot water.The staff were very helpful .... starting with reception who, even though I arrived at 10am were happy for me to check in and go straight to my room. Gus and his team made sure that the breakfast rush was well managed and the cooked breakfast was fine.The hotel is well located and when I compared its prices with others that I investigated  gives value for money.	
Nov 27 2008 	To some extent then - the luck of the draw	In London with my work - stayed at this hotel, Monday with a check out Friday morning, on two consecutive weeks. Overall impressions: Staff were friendly and accommodating. The hotel is tired but the bedding and towels in the rooms are clean and in good order. On both my visits I was located at the front of the building overlooking what must be, The Barkston Gardens. The hotel is just around the corner from the Earls Court tube, (Earls Court Road end). I like to sleep with the window open, and the noise from the Earls Court Road was always present and can be really loud at times. Breakfast was provided, staff friendly - but the fare was so totally bland I only tried it the once. First week: small single room – cosy, on the fourth floor. Cubicle shower, quite adequate, but hot water is something that appears to be provided only at certain times during any 24-hour period . The central heating works fine and can be turned up and down to suit; so if you like it cooler when you go to bed, as I do, then you’re catered for. Nice touch: tea coffee making facility provided and the staff did keep this topped up. Second week: larger room on the sixth floor. Shower over bath – and I can only guess that due to insufficient water pressure at this altitude was the reason I had to run around under the shower in order to get wet – didn’t really matter though as hot water barely managed to get up there. When in the room I noted that from the state of my bare black feet, that the carpet was due a clean - could have really used that hot water.To some extent then, clearly a case of the luck of the draw in The Barkston. Although I have returned to London for subsequent weeks I’ve relocated to another hotel for a similar price and overall I’m happier there.	
Nov 6 2008 	Cheap but a bit of a dump	This hotel is in a pretty good location, on a side street off Earls' Court Road, overlooking a garden area. It is very convenient for the Earls' Court tube station. The traffic and people on the main road are audible but with the windows shut just about bearable (ear plugs might be a good move though). The noise does continue fairly late though.The hotel is pretty grubby-looking (paintwork etc desperately needs attention) which makes you feel that it is not very clean, although in reality the sheets and bathroom seemed fine. It's ok if you're on a budget and willing to tolerate it, but not ideal.My main gripe was the temperature of the room. I visited in November and for some reason the room was absolutely boiling hot. I arrived about 10pm and opened the windows immediately, in the hope that it would cool down before I wanted to go to sleep. The radiator had evidently been on but was off by that time and there seemed to be no other way to control the temperature. Unfortunately it remained extremely hot all through the night, forcing me to leave the windows and curtains wide open to try and get as much air as possible, and even then I only got a few hours' sleep. I do not think this is normal for November, especially considering that I generally get cold easily!I will definitely not be returning.	
Nov 2 2008 	positionposition	this hotel is a typically old London hotel with acceptable service and good breakfast - though it can get a little crowded.However the position is great - a side street off Earl's Court Road facing leafy private gardens.The tube is a five minute walk and offers a quick direct ride from Heathrow being on the Piccadilly line which then offers you an ideal base to all the attractions of London.Get an Oyster card before you leave for use on the tube from Heathrow and then yse it for the rest of your stay.It's so easy and much cheaper than single tickets.Avoid eating at the pubs in Earl's Court - check out the little restaurants down some of the side streets .	
Nov 2 2008	perfect location	all reviews i read before booking this hotel were right. the hotel is a perfect location with subway only about 2 mins away. only complaint and it very small was that lift so slow. would highly recommend it to anyone going to london just for holiday. willie waterford ireland.	
Oct 22 2008 	Convenient location-close to tube	I picked this hotel as I needed to stay in the Earls Court area and wanted to be near the tube so I wouldn't have to drag my suitcase very far. This hotel is ideally situated.Check in was efficient and friendy. I was on the 4th floor - there is a lift. My room was at the back and was very quiet. The room was clean, tidy and cosy. A hospitality tray was provided with a kettle, tea, coffee and 2 packs of biscuits. There was a trouser press, chest of drawers and a small wardrobe with approx 6 hangers.There was a TV - old but works fine for the main 5 channels.The bathroom was fine - shower over the bath. Plenty of towels and a little basket containing soap, shower cap, sewing kit and shoe shine pad. There was a large container of shower gel mounted on the wall above the bath,.Continental breakfast was included in my room rate. The breakfast room was very busy - it was a Sunday morning - but I got a table without trouble. The choice of breakfast items was fine. Different cereals, tinned fruit including prunes, slices of ham and cheese, croissants and fresh rolls ( which were lovely) toast, yoghurt, tea and coffee. The staff were very efficient in clearing tables etc.If required there are plenty of places to eat in Earls Court Road which is a minutes walk from the hotel - restaurants, takeaways, coffee shops, pubs, grocery shops etc. I needed to leave my luggage at the hotel after check out time and this was no problem as they have a secure luggage room.All in all I had a good stay at this reasonably priced hotel and I would certainly stay there again when I am next in London.	
Oct 19 2008 	This wonderful hotel seems to generate very mixed reviews.	It was only with great trepidation that I took a chance that the guests who had loved this hotel were more precise than those who hated it. I was travelling with a good friend who expects good accommodations and who is probably used to spending more than what I am willing to spend.I booked this room as part of a package through Air Canada vacations. They had the best deal for a direct flight from Ottawa and had the flexibility to book for the exact number of days we needed to be in London.Our check-in and check out were efficient, they had a safety deposit box for our valuables. They also had plug adaptors at the front desk for a small deposit so I could plug my laptop and camera into the 240 volt mains power. (check to ensure that you have a switch able 110 - 240 volt power supply) My bedside lamp died one morning and when the problem was reported to the front desk they came right up with a box of assorted lamps, one which corrected the problem.Our room on level 4 faced the back courtyard - not a very pretty view but very quiet. We had a large bedroom with a comfortable king-sized bed with sufficient room to move about in and plenty of storage space. The room and bathroom were approximately twice the size of similar priced accommodations I have had in Paris.There have been comments about the television reception - about the 5 available channels and the old TV’s - but we could get the BBC for the news and who needs anything else. The room also has wireless internet (slow), an iron and ironing board and a hair dryer. The bathroom was enormous with a large tub and shower with an unlimited supply of hot water though the shower was tricky and it took a little time to determine how it worked.Our room was super clean with very cosy towels and sheets We had pre-paid for the continental buffet breakfast as part of our package deal. There seems to be a lot of complaints about the breakfasts but I don’t know what the complainers are talking about. Every morning our breakfast included an assortment of juices; coffee (the English have difficulty making palatable coffee) and tea; prunes, grapefruit and orange slices or peaches; sliced ham and cheese; toast and jams. The full English breakfast is an additional 4.50 pounds. Granted this isn’t what I normally eat for breakfast but the variety and quantity of the food offered was very reasonable considering the cost. On a few occasions we had to wait for about 5 minutes for a seat in the welcoming and bright breakfast room. The service was efficient and friendly. The hotel is located about a three minute walk from Earl’s Court - There is terrific local connections to the tube and buses run frequently a few steps away. We found a number of local restaurants, Chinese, Indian and French which were both inexpensive and excellent just around the corner on Earl’s Court Road, Earl’s Court Gardens, Hogarth Place and Kenway Road. In closing I found the staff helpful and their English skills were adequate to their tasks.	
Oct 19 2008 	Dump	Cracky floors, very diry carpets, walls in need of paint, dirty bed sheets, water pressure problems at the bathroom. Overall, if you can book this hotel for around 40GBP its a fair deal. The facility is very below average. Not worth trying to save the extra bucks. My travel partner's room was worse and he encountered rouches!!!	
Oct 13 2008 	what a gem	This was my second stay at the Barkston Gardens, having stayed in May 08 also. The reason i returned was because it was such a great stay the first time round i thought it must be a fluke.It wasnt, the hotel is a little worn and could do with a little decor TLC however it is clean, the staff are friendly, the rooms are a good size and it is so advantageously situated for travel with both underground, road links and within walking distance (25mins) from some of the museums through some of londons most affulent and beguiling architecture. Also you can simply fall out of the hotel and you are eating out in any number of restaurants you simply couldnt ask for more.Another 10/10 from me and a definate promise to return.A well priced gem in the heart of London.	
Sep 26 2008 	Nice LocationMismanaged Hotel	This is actually a very nice location if you want to stay in central london but i have not seen a hotel that has such an advantage but has been so poorly managed.Rooms were dirty,old paint on all the walls,bathroom dirty....am planning to visit london again...i will give you the latest update about this hotel.Frank[---]	
Aug 29 2008 	Itchy few days!	I booked this hotel as a 40th Birthday surprise and emailed the hotel advising it was a 40th but got no reply....perhaps I was hoping for to much! Arrived, checked in and all ok, had asked for joining rooms as we have 2 young children and got rooms on different floors which makes sharing the shampoo and toothpaste a cardiac workout! Rooms are basic, only 5 channels on TV but you are in London so TV is not a priority. After 1st night I noticed bite marks from insects on my arms, checked the beds and found....what we think were bed bugs, now I am home and checked on the net I am convinced! In fact I am still itching now!Rooms get very warm, our windows looked onto the back, into private homes so make sure your curtains are closed. The floors creak but it is old.Breakfast is very very simple. Its not even what I would class a continental breakfast which is what it was advised as. You get a pot of Tea, Coffee or Chocolate. 3 Rounds of toast (4 people), the &quot;buffet&quot; is a plate of cheese slices, ham slices, buns, yoghurts, fruit (tinned) and cereal...(how old??). The staff are all foreign, If you need help getting to places ask at the tube, they are very helpful. Bar is for the dead or elderly only, the lady serving spent the hour glaring at us as we only got 1 round!So I think thats it, we will not be staying there again...its cheap (ish) not cheerful and very basic....and with bed bugs!	
Aug 23 2008 	Cockroach towers	Well, great location, just a shame about the cockroaches! Two of us stayed here for 3 nights (each booked singles) and by the end of our stay we had slept in 5 rooms. Our first single rooms were rather grimy and at about midnight the cockroaches came out! We were given insect spray and then moved; my new room (admittedly it was the only room available and was not meant to be used due to a maintenance problem) had a sink and bath that did not drain. My colleagues room was OK, but for some reason she was moved again, this time to a room without a working shower!. Our biggest gripe apart from the additional guests in our initial rooms was the general cleanliness; during our entire stay it did not appear that the stairwells and corridors were vacuumed, with food crumbs trampled into the carpet...no wonder the cockroaches enjoyed their stay!	
Aug 20 2008 	Good location average hotel	This hotel is strictly average. The size of the room you're in is hit or miss, so be a little fussy while checking in. The rooms have all the basic amenities and are reasonable clean and comfortable.Breakfast is usually included and is adequate, but nothing fancy. Don't bother with room service or the hotel restaurant, there's plenty of options for food and drink nearby that are far better. Staff are rather stoic and don't speak English very well.The advantage of picking this hotel is its location--it's a stone's throw from Earl's Court station on the Picadilly Line, so getting to the hotel from Heathrow Airport is quite easy. And once you're there, the proximity to the Tube station makes it quite easy to get to other parts of London you want to go.	
Aug 6 2008 	Complete Satisfaction	Excellent Hotel, main is Room and Bed Size Confort and cleanness is Important, Everythig is all right, stay there and Happy and Enjoyble Trip! NICE!!	
Jul 20 2008	Worst Hotel we have ever stayed at please look elsewhere!!!!	First of all the hotel receptionist didn't have a clue and she didn't care one single bit....My husband and I and our two young daughters had to get two rooms and we asked for rooms next to each other or even on the same floor...one room was on level 5 and the other one was level 2 near the basement...you had to pass 4 fire exits with all your luggage....we tried telling them we had to have two rooms close together as we had organised it months ago but they didn't care!!!It only gets worse, the room on the 5th floor, i was sure that the room was going to collapse as the floor creaked every time you moved...you could not sleep at all as who the hell knows what the people above us were doing all night, it was so noisy from the creaking that we had a terrible sleepless night...The room we had down on level 2 was freezing...the carpet smelled like it hadn't been cleaned for 5 years...The bed was hard as a rock, we would have been better off sleeping on the road and im not joking!!The breakfast maitre'd, did not give you a chance to sit down before he shouted at you whether you wanted tea or coffee!! Not much selection at breakfast at all and the staff at breakfast were so ARROGANT!! I have never seen anything like this before in my life. Not one of them had a smile on their face!! It really put a damper on our trip and we will be definitely telling everyone we know not to stay there!!!The only one good thing about that hotel was the location but at the time we stayed there there was a burst water main around the area so there were a few buses operating which made it hard...I hope this helps you and if you really want to have a good stay in London please don't stay at this hotel!!	
Jul 12 2008 	Loved the King Tut exhibition	Stayed here for one night. Hotel was clean, but the room we stayed in was a bit on the small side and the carpet a bit shabby.It was continental breakfast but not much choice. Overall though it was not far from the underground and would consider it to be a reasonable hotel for the price paid.	
Jul 5 2008 	Convenient Quiet Location	Our family of 3 stayed at the Barkston Gardens Hotel for 5 nights. Having previously traveled in Europe, we're aware that the standards in European budget hotels are not the same as are expected routinely by US hotel guests. The last time we stayed in London, the room was only slightly larger than our single double bed.Our family room was spacious and comfortable, allowing us to move around without tripping over each other or our suitcases. Yes the carpet is worn, and (as expected) the floor was very squeaky, but the street outside was quiet at night, and we loved having a view of the gardens across the street.The continental breakfast had enough variety that you didn't have to eat exactly the same thing every day, but it gave you a good start for your day and the breakfast room was sunny and pleasant. We loved the convenience of being so close to the tube stop, and thought that the prices on the nearby restaurants were more reasonable than those in Central London. We ate at Dino's and the Little French Restaurant.We would stay here the next time we visit London	
Jun 2 2008 	Value for money !!	We booked this hotel as we were staying in London on a budget and were looking for a hotel near central London. We had booked the full English for breakfast and found this to be good value and there was plenty to eat, along with the continental on offer was enough to set you up for the day. The staff were poliet and friendly enough. We booked a double room and were pleasantly surprised to find 3 double beds in our room along with a massive bathroom, all clean. The hotel is clean but if anything could do with a spruce up here and there. In all if you want to stay in central London for less than £80 this is the hotel for you. We will certainly stay here in future.	
May 25 2008 	Good value	The hotel is conveniently located near to Earls Court tube station - convenient access from Heathrow. Eating places, launderette and pharmacy are nearby. Staff were friendly and helpful. Has a comfortable lounge and bar. Room and bathroom were adequate size. Continental breakfast was plain but ample. Is in the London traffic congestion zone and has no parking. I would stay there again.	
May 23 2008 	Cut Your Expections in Half	It is often said you get what you pay for...and this is true about this hotel. While the U.S. Dollar is at a low point in value, many Americans still want to travel to London; but, usually look for hotels is a price range that fit their wallet. That was my situation and how I ended up staying at this hotel for four nights.The hotel is fairly well worn and the lobby is nothing special. The outside look of the hotel is better that its inside. The hotel is made up of a series of old Victorian homes and the narrow corridors with multiple fire doors makes navigating these halls very difficult when you have luggage in tow.The hotel's location is good, being just a short walk from the Earls Court tube station. There is a wide range of eateries, including fast food, in the neighborhood.Do not go to this hotel expecting a range of services...there are barely any. The WIFI service only works in the lobby so if you are traveling on business, I would hesitate to recommend this property to you.The TV reception in my room was like watching a blizzard on a tiny set. While the room was basic and clean, I regret the front desk staff were lacking in skills on how to be friendly. To rate this hotel two stars is a bit of a stretch. I have stayed in Motel 6's that are far superior to this property. I have learned my lesson, cut the ratings in half when it comes to Trip Advisor...	
May 7 2008 	Bed infested with ticks.	We stayed in the Barkston Garden Hotel recently - have to say, it was dire. One of our party had bitemarks all over her legs and arms after sleeping in the beds, the rooms were gloomy and dirty and had a peculiar pong from them!Not worth it, even if you're on a budget - there are lots of decent budget hotels in London, this place is just a dump.	
Apr 16 2008 	Bleak and dreary just like the weather	I would like to preface this review with the fact that I found London to be the most depressing city that I have ever had the pleasure of visiting, and as such my opinions of the Barkston Gardens Hotel are coloured by my opinions. We stayed here as part of an around the world honeymoon for almost a week. We had a room on the 5th floor, at the back of the hotel. On arriving we discovered that the window had a gap in it and that the heater did not come on until after 5pm - not good when it is 10degrees celsius outside, and all you want to do is go to sleep! Our room was basic, although it did have a kettle with tea making facilities which we greatly appreciated. The breakfast was strange, with an entire ritual revolving around the maitre d for the breakfast room. If you speak limited English beware. Questions and requests by staff in the breakfast room to non-English speakers were treated with greatest aplomb and tact, shouted or yelled when these guests failed to understand the first time. Maybe some staff training in continental European languages such as Italian, French, German and even Japanese wouldn't go astray, perhaps???The one thing that the Barkston Gardens Hotel could immediately improve upon, is its customer service ethic. A smile or a more pleasant attitude at the check-in counter would have made most of our qualms with this hotel wash away immediately!That said, the price was good for London and the location is excellent - just around the corner from the Earl's Court Road tube station.	
Mar 30 2008 	Great Location Friendly staff	We have just returned from a 4 night stay at this hotel. (Check the Hotel Website for rates as they were cheaper than other sites we tried) We arrived around 9pm in the evening and found the reception staff to be very helpful. Breakfast is served on Weekdays from 7-9 and the continental breakfast offers basic but good and plentiful choice. We found that the decor in the room was a little tired, but the bathroom had been refurbished and was very clean, with fresh towels provided daily. After reading the reviews on this site we decided that we should shower in the evening, but the first morning we tried the shower and found that we had a lot of hot water, maybe this was because other guests were following the hotels advice to shower in the evening. There are a lot of choice of restaurants near to the hotel, we tried Zizzi (good for Pizza) and Masala Zone (where we shared a grand Thali). Lots of other choice in the area (Chinese, Japanese, Portugese, Hamburgers, French and more) Very handy if you have had a long day sightseeing and don't feel like going far for something to eat. The hotel is very close to Earls court Tube station, but it is situated just off Earls Court Road and there is not a lot of street noise. Check out was efficient, and we were able to leave our luggage and have another full day of sightseeing before returning to the hotel to collect the luggage. This hotel is very handy for sightseeing as you are able to access the Piccadilly line on the tube, Earls court tube station is in Zone 2 of the metro and travelling to the hotel was the only time that we travelled into Zone 2 (apart from a quick trip to portabella road.) All in all I would recommend this hotel for people travelling on a budget, who are looking for somewhere clean, comfortable, and in a good location.	
Mar 26 2008 	Very Nice	Stayed three nights at this hotel. Picked it because it was close to the tube station and busses. I was very happy with the location. The single room was suitable and I did not feel closed in. The hotel is old but the bathroom had been updated. Continental breakfast was included and enough to get a good start on the day. The staff was good and check in and out was simple. They also offer free internet! That was a plus just to keep in touch with family. I travel on my own and have a problem walking long distances so this hotel was the best for me. It was not the Ritz or Hilton, but the value was above average for being in London. I would definitely stay there again. I saw a lot of single travelers, couples and business people when I stayed. The worst thing for me is that they have central heating and at night the room was too hot. I had to open the window and because I was in the front of the hotel, heard all the noise from the traffic on the main road. Otherwise, I enjoyed the stay.	
Mar 18 2008 	FIND Another hotel	Worst Hotel on EARTH! Poor check in and check out service. Basement room is the pits and hard to pull luggage up and down steps. Water pressure in our room was Great at all times but dirty bathroom.	
Mar 16 2008 	Find an alternate hotel!	Hotel had a sign stating that there were &quot;problems with running shower water between 7 - 9 a.m.&quot; We tried to alter our shower times, planning to shower in the evenings or afternoons but instead found NO hot water available at any time throughout the day. When we discussed this with the manager, our room was moved to an alternate one in the hotel - this time, the shower ran only a trickle of ice cold water any time of day or night. In addition, when we turned on the light in the morning there were roaches on our floor running for cover!! Ick! The TV plays only 5 channels (no alternatives like cable or movies) and internet access is only in the lobby/lounge area where there is no privacy to work. Location was great, but there are FAR more important things than only that - there are other alternatives near the tube throughout London that are reasonably priced - take one of those! Run, don't walk, from this spot. Finally, you should know that the photo run on all websites is NOT the hotel, it's a building across the street!! Talk about false advertising!!!	
Mar 15 2008 	Avoid the basement rooms	Unfortunately we were given a basement room, it was very dark, and needed the lights on all the time. It was a big room, with bath and shower, but there was no heating in the bathroom, and the toilet was dirty at the bottom of the bowl. The breakfast was good, and it was very convenient for Earls Court underground.	
Mar 13 2008 	Water pressure still a problem............	We have just returned from a four night stay here. The location is spot on and just across the road from the tube station. There are plenty of pubs and restaurants. Would recommend Mango bar for 2-4-1 cocktails before 9pm (turn right out of hotel then left at Earls Court Road, its on right hand side just before O'Neills. Almost opposite is the restaurant As Greek as it gets, lovely meal - beware of charming Greek waiter who doesnt speak much English......we thought he was giving us free samples of chef's starters but it turned out we got complete starters! Probably more than we originally wanted, stuffed vine leaves and excellent meat balls, but they were lovely, followed by the mixed meat platter for 2 at £17 which was excellent. Dont go to Dinos Italian however, the meal was less than mediocre!Our room was 601, top floor at the back, so the view was not good! The room was a very good size but we have never heard floor boards that creak so much! We pitied the people who were staying in the room below us!The room and bathroom could definately do with refurbishing but were passable.............However...........we were not prepared for the lack of water..........Early morning there was no water at all from the hot tap on bathroom sink. The shower NEVER worked, so we just had baths - these did take over 30 mins to fill - quite a wait! The best time to take a bath we found was early evening - didnt take as long to fill the bath! The hotel reception does have a note up regarding the water pressure but we didnt expect it to be quite so bad!Continental breakfast was adequate, but the toast always seemed to be burnt! Overall good (ish) hotel for the price £59 per room per night incl continental breakfast (booked from the hotel website) especially for London!	
Mar 3 2008	Think about what you want and set your expectations accordingly.	I stayed for 4 nights when visiting London with my wife to spend some time with our children. The location is excellent - 2 minutes walk from EC tube station. There is a very good choice of places to eat (including the hotel) within easy walking distance. Basic shops are handy - Boots, M&amp;S food, Sainsburys, Threshers, Somerfield etc. - so you can pick up your day's picnic provisions on your way to the tube.The hotel is old &amp; shabby, but it's clean and the TV in the room worked OK. The staff were very helpful and friendly, despite my having seen some of them receiving totally unjustified abuse from an African 'prima donna' type. This while they were &quot;going the extra mile&quot; to try and help her with her travel plans. I guess she was missing her slaves.Our room rate included 'continental breakfast', which was better than we expected. One morning we 'upgraded' to a full English breakfast for £4 each - and it saw us through the rest of the day. The fried bread was brilliant.During check in, it was pointed out to us that they were experiencing difficulties with the water supply, which meant reduced pressure &amp; airlocks, and that baths &amp; showers could be problematic during peak periods. As far as I could see, water pressure was poor 24/7, but we worked around it with a bit of patience. Had we checked in to the Best Western a few yards further along the road, I'm sure the plumbing would have been fine &amp; everything less shabby - but it wasn't worth the extra £20-£30 per night to us.If you want a great location, decent breakfast, free wireless internet throughout the ground floor, a reasonably priced yet comfortable bar (with a free PC/Internet station) and somewhere clean and relatively cheap to rest your head then it's fine. If you want the 'branded chain' experience then pay for the logo &amp; don't stay here. It's London. The city is expensive, so set realistic expectations &amp; decide what matters to you.	
Feb 23 2008 	Great price and excellent location	My 6 year old daughter and I arrived early, before our room was available, but were greeted by friendly staff and were able to leave our bags in the office until we returned. The hotel is situated on a quiet street a mere 1 minute walk from Earl's Court underground station and has very handy banks, resturants, an M&amp;S and Boots etc. on the main road. The hotel itself was very clean, our room was spacious with 2 queen-sized beds, an armchair, kettle, TV and bathroom. Water pressue is a problem in the mornings so shower in the evening. The shower was very English style, so do not expect any power shower jets! Soap &amp; shampoo provided.Breakfast is self service overseen by a manager complete with bow-tie! Basic fare but eat all you like.Recommended.	
Feb 4 2008 	Excellent value pleasant experience	Excellent location (about 2 mins walk from Earls court tube station - which is a very good starting point to get around London). I was a little concerned about this hotel after reading reviews (I like my comfort) but we had a good experience.Check-in was quick efficient. The room was a good size, nice view over a small park and posh apartments. Good high ceilings and tv with usual 5 uk channels. The room also had kettle and teabags/coffee/milk/sugar etc. Conveniently, there was an iron and ironing board. The bathroom was large and very clean. The water in the shower was a bit low in pressure but when running for a couple of mins it was good. The floorboards were very creaky and yes carpets a bit worn but overall decor and room in general was quite good. We ordered breakfast one morning and it was fairly poor - £15 for 2 people. It wasn't quite what we had ordered and it was small and cheap. Given the location it's worth popping out for breakfast.The major attraction to this hotel is the price (about 135euro for 2 nights for 2 people). This is fantastic value for the location. We didn't have any problems whatsoever and would certainly return.	
Jan 28 2008 	1980s chic	The welcome to the Barkston Gardens was less than friendly and the rooms don't seem to have been decorated since the 80s. The carpet was worn and marked, and the throw on the bed was stained. The bathroom was very large and clean, however the water pressure could not be relied on and the shower did not always work. The location is excellent, just next to the tube station. Which is handy, as you probably won't want to hang around your room too long!	
Jan 27 2008 	Great location clean hotel better price	The hotel is just a few steps from Earl's Court station in a very nice area.There are plenty of choices for your meals around the area.The rooms are clean , bathrooms have generous proportions if compared to hotels of its ranking.Definitively I would not mind staying there again if I return to London for vacations.	
Jan 24 2008 	Look Elsewhere...Please!	I've used this site for many years and this the first time i've been compelled to write a review.Check-in was problematic. After checking-in, we were told we couldn't have the room key until 2pm (at was 12.45pm). When we did get the room key, we found out someone else was already staying in the room!Finally got another key. Room itself was ok - good size.Real problems started the next day. No water - we couldn't even flush the toilet. Rang reception and they had to send someone to check! We were given a key to another room to have a shower. Key didn't work. When housekeeping let me in, still no water! Luckily had a friend staying in the basement (yes, rooms starting 100 are in the basement) whose shower did work.When we checked out, I asked for the manager. No sign of him/her. We were offered £20 but we demanded a full refund. This was refused and then it turned out we hadn't paid - just pre-authorised the amount. We left and will never return.I don't like giving bad reviews, but this hotel was a disgrace. I haven't even gone into the number of people we also heard complaining about various things who were virtiually shouted at by the receptionist.I was embarrased to be British as it gave such a bad impression of accommodation in this country.	
Dec 12 2007	A real bargain	Make no mistake, this hotel is not perfect. The mattress sagged a little, the carpet was worn, and everything was very plain. But for the price, it's an *incredible* bargain. We stayed in central London for about 50 pounds a night. We had feared the place would be flyblown and bedbug-infested, but it was perfectly clean and serviceable. We would definitely stay there again.	
Nov 22 2007 	Okay for the price	This hotel has a fantastic location in Earl's Court with really large bedrooms with high ceilings and large bathrooms. The property is in dire need of renovation in that the carpets, both in the hallways and the bedrooms are very worn and stained. The bedroom furniture is basic and the beds could do with upgrading. Having said that the rooms are spotlessly clean with clean linen and tea and coffee facilities. The bar is basic and serves snacks and light meals with very friendly staff.Compared to other hotels available in Earls Court this hotel is good value.	
