	Pleasantly Suprised !	Stayed here while attending the ATP Tennis Finals at the O2 Arena. I booked the hotel for economy and practical reasons to be near our digs when leaving the o2 late at night.After booking ......I then turned to Trip Advisor (!!! Not the way its supposed to work ...read reviews then book !!) Half the reviews hated the place the other half satisified .We where pleasantly suprised , expecting the worst the hotel was well located and safe , front staff polite and helpfull.Room basic but definately clean ...especially the bathroom.Will use again .	
Aug 13 2008 	You Get What You Pay For - But Better Than I Expected From Previous Reviews	Goof Points - Very near (2 mins walk) to East India DLR station where you can go directly to Bank or go to Canning Town to taken the Jubilee line.In a nice clean and respectable looking area. Mostly offices and apartments.Cheap if you get a good rate when you book in advance (there are rooms for £29 if you look on the Travelodge website).Bad Points - Room and bathroom smelt mouldy and of toilets!Dirty windowsFlight path above hotel, expect areoplane noise!!Bar and Cafe downstairs is expensive, food was cold and for the price you only got a mouthful, doesn't fill you up!Sell beer in the bar from cans for about £3 each!Breakfast £7.50 each!! We did't have this we thought it was an absoulute rip off for a contininetal breakfast!Slow reception service, waiting 20 mins to check in and out.Pay for parking - £15 but tried to make us pay more when we left but we refused!Overall, it was better than I expected from previous reviews and I suppose you get what you pay for!	
Jul 23 2008 	This is Travelodge - Not Brittania so expect what you paid for!	I stayed in Travelodge for 2 nights for the weekend. It was not the best hotel I’ve been to but it was reasonable for what I paid. The rooms were very basic with bed cabinets a TV a window and a bathroom, like I said very basic. The hotel has a main road on one side and a business complex on the other so depending which side your room is will determine the ‘noise’ I didn’t experience any noises as I was on the side of the business complex.You have everything there the closest transport is the DLR that will give you access to the Jubilee line or the Central line. There are many food shops scattered around the area. Nearest shopping mall will be Canary Wharf Cabot’s Place shopping mall.The hotel was altogether reasonable and gives you everything you paid for, one thing that did make me cringe was chewing gum marks all over the floor..yuk it was everywhere in our rooms, but ignoring that everything else was fine.It is in a good location and is great if you’re going to The o2, the ExCel Exhibition centre or Canary Wharf. If you’re a fussy person that deserve nothing but the best and would like something more luxurious there is a Radisson Edwardian 5 minutes across the road where you will get 5* treatment.	
Jun 30 2008 	Not as bad as is made out	Having read the reviews on here prior to our trip I was worrying that we had booked a nightmare hotel but how wrong I was.We stayed at the Travel Lodge whilst on a weekend family visit to London and found it a great place to stay. Yes okay the room was basic but we didn't spend much time in it after all. We were up early for breakfast and didn't arrive back until well into the evening. As a base for the weekend it was great. The East India DLR station is only a few minutes walk and in around 15 minutes you are in the centre of London. The Hotel was clean, as was the room and the staff couldn't be more helpful. We had a room on the opposite side to the car park which was noisy but to be fair we were that tired when we arrived back I think we would have slept through anything !The family room cost us £125 for 2 nights bed and breakfast for 2 adults and 2 children and I think it represented excellent value for money. The breakfast was basic but plenty to fill you up before heading off for the day.Don't be put off by the previous reviews, if it's a base you want for a hectic weekend in London then this is your place. We intend to book again and next time I won't have any worries.	
Jun 28 2008 	Good value for price paid	We stayed at the Docklands Travelodge for two nights over the February half term.We had boked to see the Tutunkamun exhibition and combined this with some time in London.Found the Travelodge to be very good value , stayed the car park side and it was quiiet, clean and somewhere to rest our weary heads.20 mins into central London on Docklands Light Railway..... 5 mins to o2 bubble.Conveinient no frills place to stay,good for what you pay.	
Jun 28 2008 	noise alert	we stayed in the hotel one night. good check in, good clean room. we went out for a meal and when we went to our room to sleep there was a problem. it was a warm night so we had to have the window open. the problem was the room backed onto the A13 and the trafiic noise was constant all through the night. we got limited sleep. ask for a room overlooking the front.	
Jun 13 2008 	The basics of al Travel Lodges	I stay at Travel Lodges on a regular basis but this just seemed so basic. Everything was basic &amp; empty from the Reception, the room, the bathroom &amp; the food. It was clean however I could not pin any specific issues with the stay.Would not stay here again - it is too far from the station but there is a bus stop outside.	
Jun 1 2008 	Hey what's everyone's problem?	Look come on guys this is a Travelodge which advertises the fact they keep prices down by no toiletries or hairdrier etc. Don't expect the world. We have just returned from three days here as my son was attending the David Beckham Academy (DBA)and I really have no complaints. I am used to staying in 5* hotels all over the world and I certainly didn't expect this standard at a Travelodge in the Docklands. You get what you pay for, for goodness sake!! The room was comfortable, clean and quiet (yes do stay on the car park side). A quick walk to the East India DLR and a change at Canning Town sees you at the O2,(North Greenwich) (three minute walk to the DBA) with loads of restaurants. SPUR was our favourite by far. On the first night we bought a bottle of wine from the bar at the hotel but soon got wise to the Budgens by the East India DLR station (If only they sold ice!!)) Fifteen minutes will see you in to the heart of London. Bargain price for the location. Breakfast a bit average but apart from that no complaints!!	
May 28 2008 	Rubbish	Never stay in that place again!the bedrooms was rubbish. the bathroom was discusting the shower was growing moulded and had holes in the slicone.the bar downstairs celling was falling down which is a health and safty hazard.the food was crap i asked everyday what the soup of the day was and guess what tomatoe soup everytime.the cheese and the burgers wasnt proper cheese that most places use it was just normal cheese from a supermarket cut up.the only thing good about it was the reception people were a big help when i needed directions and take away menus.	
May 23 2008 	Yuk Yuk Yuk never stay there	I have never stayed in a worse hotel, I thought all travel lodge should be the same how mistaken could I be apart from a terrible location and haveing to pay out for taxi's all the time, the room and facilities were awful, the ceiling of the bathroom was black and peeling, there was not shower gel or shampoo and I had not taken any as have never stayed at a hotel where it was not complimentary, the curtains in the bedroom were falling off the rail I did report this and nothing was done, on the morning I left they came off in ny hand. I got out of the shower to discover that a hairdryer was not provded, but could not ring reception to borrow one as there was not a phone in the room, so had to dress and wait 10 minutes in the checkout que to ask for one.I thought it was terrible and as I was at an exhibition at the excel centre paid a huge inflated price.Bad Bad bad	
May 21 2008	Good price just what we needed.	Stayed at the Travelodge Docklands because the price was right, and it was a great way to see London on a shoestring. The hotel offers the basics, such as a clean room and comfortable bed. There is a restaurant downstairs which was good for dinner, but the breakfast was a bit pricey. Instead, we took the DLR and had breakfast at the Wetherspoons right near the Tower Hill/Tower Gateway underground stop.It did not take long to get to the hotel, or back into town. Don't let the Docklands location put you off. The hotel is close to the East India stop, just 2 blocks north.I've stayed at Travelodges all across the UK, and they're all exactly the same on the inside. If you've seen one, you've seen them all. But they're good basic hotels and you know what to expect - a MUCH safer bet than similarly priced independent hotels. Don't expect the Ritz, but expect to be comfortable.	
May 7 2008 	Terrible - Avoid	The worst hotel I have ever stayed in. Check-in is not until 3.00 pm, however, if you pay £10.00 extra you can check in slightly earlier. On the weekend we were there the Docklands Light Railway was out of action, this necessitated a number of very expensive taxi journeys and we struggled to get a taxi on the Sunday and eventually took a bus.The staff were indifferent to the point of rudeness. The room was relatively clean but very jaded. The curtains fell off the rails when used and the net curtain was a greyish colour. We had a family room which slept up to four, but we were only given two towels and only only 3 sachets of coffee. The website we looked at said that it was 5 minutes from the O2 Arena. This maybe true if you took the DLR, however, it took 15/20 minutes by taxi.My sister, who also had a family room, was unable to use her shower as the tiles were so broken around the fixture that she felt it might fall off the wall.When we mentioned the problems to the desk they did not care. Travelodge should be ashamed of this hotel.	
Apr 7 2008 	goodinexpensiveclean Travelodge	My husband and I have just stayed at this Travelodge to visit the Tutankhamun exhibition at the O2 and travelling up to central London,We stayed on the 4th floor,it was clean no smoky smells( which I hate) BUT unless you are used to traffic noise ask for a room overlooking the car park.Docklands light railway (East India Station ) is 300m away,There is a large clean new looking supermarket ( Budgen's)underneath this station ( outside) which sells travelcards they cost from £5.30 for one day which you will use even just to travel up to the city.Hotel breakfast was good,fresh and plentiful but a bit of a free for all like many hotels now,Be aware they close promptly at 10 am on weekdays and 11am on weekends.They start clearing the stuff away at lightening speed as the clock hits the hour!Car parking is safe and £5 for residents ignore the sign as you go in stating that its £24 this is for non-residents only,The receptionist told us people complain about this mis-leading sign all the time,Makes you wonder why don't they just move it then!All in all it's not luxury but for between £26-40 per night it's fine.	
Mar 31 2008	Avoid like the plague	Having stayed in many Travel lodges before, we thought this would be just the same. How wrong we were. For a start it is in an area with offices and Tower Hamlets town hall. Driving to it means you have to go through a manually controlled barrier and ask for the Travel LodgeThe room was extremely noisy as it was right next to an exceptionally busy main road. This is not indicated on the website when booking. The room itself had a broken window catch making it impossible to shut effectively against the noise. There was a large gap where the catch should have been which we stuffed with toilet paper against the noise and the cold. The room was rather grubby and tired; the curtain covering the window was filthy, full of dust and grime from the road. The shower was rusty, mouldy and the floor had not been cleaned properly so had accumulated ingrained dirt. Breakfast was poor, toaster not working effectively, very long queues, lack of food. For our evening meal we had to wait 45 minutes and there were only a dozen people in the restaurant, so it was not busy. Our room bore no resemblance to the one shown on the website.After a sleepless night we asked to be moved to a different room. One member of staff said to come back in 2 hours and he would check for us. At 10am we checked with a different member of reception staff who informed us she had no idea who was checking out that day! and so couldn't tell us if another room was available until after 12pm, but this was highly unlikely. I find this unbelievable. Surely the staff know who is checking out? I did feel as if she felt we were a bit of an intrusion. Yes the rooms were cheapish (£50 a night) but when we checked into a rival companys hotel, the standard and service far exceeded those we had expereinced here, all for an extra 20 quid a night.If you go here ask for a room away from the road, don't book a saver room on the internet	
Mar 27 2008 	good location for 02	Stayed here for one night to go to concert at 02. hotel is great location for this purpose. Basic but ok for the what we needed it for. Bar/Cafe is located within the Hotel there are no bars or restaurants in the immediate area.I had booked and payed for 6 rooms for our friends 2 months before the event. On arriving we were told sorry we hadnt got any of the rooms as they had double booked!! They offered to find us rooms at Kings Cross and pay for taxis etc but we had to be at the o2 within an hour so we said that this was not an option as we would be late for the concert. They tried to tell us we had booked in late. We were booking in at 5.15pm and you can only start checking in from 3pm so that was ridiculous! What annoyed me was that how can you pay for the room and then they still book it again if it had been one room by mistake then fair enough but all 6! After alot of confusion and frustration miraculouslyhalf an hour later they found 6 family rooms!! Amazing!Saying all this if i needed a hotel for a concert at the 02 again and i could find no other hotel i would still stay for the convenience.	
Mar 25 2008 	Good basic hotel; cheap and convenient	London Docklands Travelodge is conveniently sited 200m from East India DLR station, but a quicker route from the west End is Jubilee Line to Canary wharf then bus 277 to Leamouth: the bus terminates approx 50m from the hotel!)Room was comfortable and clean, fine for 3 of us, Tea and coffee are provided, as are big towels. No tolietries (only soap) so bring you own. The weird thing was not having a plug to bath or basin, and none turned up after asking (tho' i only asked once, as I was ok with the shower really). Otherwise quiet and comfortable,so I wouldhave rated it higher if the plug had turned up. Excellent value for £29 per night booked in advance, as only 30 min from west End!	
Mar 25 2008 	Great Location for O2	This is an ideal location for the O2 and to get into London. Stayed 4 nights in two rooms at 29 GBP booked in advance. Parking is 5 GBP per night as a guest and is outside the Congestion Charing Zone. Save the Congestion fee and take a walk to the newsagents about 10 minutes away and by an Oyster card which allows travel at the cheapest rates on all London systems including the Docklands Light Railroad which is a 2-3 minute walk (East India Station) and goes right into the heart of London or connects to the Tube to get you to the O2 or elsewhere in London. Well worth the money for this location.Hotel is basic as expected, was clean, but could use a few touch ups. Elevator (they have another) was broken for the duration of our stay but it was the Easter long weekend.Staff was courtious and got us extra towels and pillows. they have a bar/cafe but we avoided due to line ups, not sure on prices but if it is like the rest of London.............get used to it in a hurry!!!!	
Mar 24 2008 	OK for O" Arena	This is OK if you are staying no more than one night for the O2 arena!! Although the taxi is not cheap. The staff were cheerful and helpful. However this is a very tired travel lodge. Our room was cheap but it stank of cigarette smoke even thought the whole building is non smoking. The net curtains were very dirty and I imagine the problem is that the soft furnishings have not been cleaned since the smoking ban came in to force. There was loads of very hot water but this really is &quot; no frills&quot;- you need to bring almost everything with you apart from towels and bedding. Breakfast is just about OK - as long as you do not want a cooked breakfast - my husband said it was disgusting - I only had toast. But there really is nowhere nearby to have breakfast. Use it for what it is - some where to get you head down for a night!	
Mar 8 2008 	Low cost and well located.	We booked a family room. We stayed two nights and paid 60 pounds per night.This hotel delivers what you expect. The room was fine, and the bar and food acceptable. It is ideal for the budget traveller, perfectly located for jumping on to the Docklands Light Railway and on in to the city centre.Wifi is available, at a cost.A bonus is the relatively secure car park where it only costs a fiver a day to park.	
Mar 1 2008 	Good Location for 02 and value for Money!	I stayed at this hotel as we were going to Alicia Keys Concert at 02. Booked through travelodge website stayed for one night and it was a value for money experience. Arrived by car drove to London from Midlands. Car parking for guests £5 per day payable at reception upon checkout. Location-Well placed for accessing O2 Arena, Docklands Light Railway is literally a few minutes away turn right at car park barriers and then imediate left East India station is ahead .You will need to get the DLR to Canning Town then tube (jubilee line westbound ) to North Greenwich and you are at the Arena. Total journey time around 10 minutes. Buy the required tickets at the pay as you go machine at DLR. Reception Check In/Out: No queue's when we arrived around 5pm.Note if someone has booked on your behalf to check in you will need the person's adress they booked in. Checkout was swift simply drop your room key at reception.No issues.Staff: Reception helpful, provided a tube map for free and directions as required. Bar /cafe staff were ok cleared and cleaned tables swiftly so guests could be setaed. No problems.Room: Booked a standard double room at early saver rate of £29 ,again good value for price, considering when I checked other hotels within the vicinity they were extortionate due to their location. Decor looked fresh and no signs of bad smells or disrepair. Double bed matress/pillows were not as comfortable as I would have liked but livible for one night oh and clean, bedding was clean , carpet appeared quite new or well cleaned, wardrobe adeqaute for a nights stay and to hang a days worth of clothes. Bathroom clean, good water pressure , clean towels provided, No cleanliness issues in my room.The room had a tea/coffee making facility kettle and a few sachets of tea cofee, milk and sugar. A small LCD t.v with around 6-7 channels 1-5 and 2 cable channels one a music channel. Not an issue as we werent their to watch TV.Food: I booked breakfast for the following morning had a choice of two options £4.50 light breakfast consisting of cereal, OJ, yogurt. or £7.50 option cooked buffett breakfast eat as much as you like self serve style. Kids eat free on this option. If you dont book night before dont worry it can be done the same morning at reception who will give you a voucher to present at Cafe.I had cooked buffet breakfast which was reasonable bacon,scrambled eggs, mushrooms, beans and plummed tomato's the usual,selcetion of brown or white bread for toast, apple/orange juice, hot drinks the food was topped up regularly no problems with temperature of food. Overall a value for money hotel I would stay again if visiting the O2 arena if the rate was good.	
Mar 1 2008 	Ok for a short stay	A good basic hotel with good public transport links into Canary Wharf, the City etc via the DLR at East India Station just a few minutes walk away.I've stayed at this hotel a couple of times now and what can I say? Its a Travelodge! So you get a fairly basic hotel which is all you need if you're going to be staying for one or two nights.It's getting a little bit grubby in places and one of the lifts was out of order on my last stay which was a little inconvenient.......but it was a better stay than my last time here when some idiot left a trail of vomit along the corridor outside my room. Not the hotel's fault of course.As has been said in other reviews, if you want a quiet night's sleep make sure you get a room which faces on to the hotel car park rather than the busy road which runs along the back of the hotel.There is a hotel bar/restaurant with a somewhat limited menu and various vending machines in the reception area, however there is a late-night opening &quot;Budgens&quot; supermarket on the other side of East India DLR station a few minutes walk away which sells a wide range of foodstuffs and drinks.	
Feb 22 2008 	AWFUL AWFUL AWFUL - avoid	I stayed here on business for 2 nights and it is an experience that I will never repeat.It is shabby and my room was smelly and dirty. The furniture had cigarette burns in it, the curtains fell off the rail when I pulled them closed and I had to clean the bath before I could use it. The carpet was sticky and I was not able to walk in bare feet. It was simply too awful to contemplate. The bar was OK but the tables were sticky and the food wasn't that great. Even though this was a business trip and I had little choice over where to stay, I would not recommend this dirty hotel to my worst enemy. The room was also freezing cold and the quilt was thin and grotty - urgh!	
Feb 20 2008 	You get what you pay for	My two friends and I stayed here in January, as we were going to the O2. One of the girls booked this as there was a 2 night deal for about £100 total and we thought it would do for a couple of nights. The room was pretty basic really and a bit grubby. The reception staff were friendly but some of the dining room staff were quite rude! Breakfast was a bit of a mess as they kept running out of food. When the cooked breakfast ran out there wasn't even any butter for toast which didn't go down well with the guests!I wouldn't go back here as I think there are better places for about the same price.But if you're not planning to spend much time in the hotel it might be ok!	
Feb 17 2008 	Brilliant for the O2	Visited the Docklands travelodge at the start of January. Reason for travel was the Spice Girls.We took a seven hour train down to London and after an expensive taxi ride from Kings Cross to the Docklands the one thing we didn't want was a massive queue. I'd say the was the hotels one fault, the queue at reception. Reception staff were excellent, friendly guys always wanting to help! The hotel obviously has a designated Taxi service who were again excellent, especially the young guys - dropped EVERYTHING to come pick us up after the concert. Unlike all that other folk who queued hours for a taxi! The room was very small but ample for us two young girls. Smelt a bit smoky though, although apparently smoking is now banned in all of the rooms.Overall an excellent stay...perfect if you are going to the O2!	
Feb 13 2008 	Dirty East India	We have just returned from a one night stay to visit the O2.We have stayed in numerous travelodge rooms and although had odd problems never had a bad time overallGood points.... position , price £20,reception staff pleasantBad points.... room was dirty, shower curtain disgusting, towel rail not working (heated), yellow nets, bath tiles mouldy. small pull out bed smelly(didn't dare look at our matress)and side tables missing. Breakfast, poor kept running out of things and cooked things cold, extra staff required.Room was generally grubby and I was extremely glad visit was only one night!!	
Feb 12 2008	well placed for the o2 arena	Myself ,hubby and son where going to see Prince at the o2 and i dont think we could have a better location for most of London [if you are sight seeing the chances are you would have a zone card anyway .]Check in staff where friendly ,the room was tidy and quite large with plenty of space to hide your suitcase .We had a meal down stairs in the Bar Cafe and were very impressed with service quality and price .The only gripe is that breakfast could have been slightly better organized .We only paid around £70 for the room [including breakfast ]and we dont think we can get better value for money Stomp ps its worth checking their websites for deals some nights only £15 !.Also a must for London is a tube map ,as long as you are ok on your feet and can read you wont get lost !This comment comes from someone who was terrified at the idea of the tube and spent hours researching directions ,as long as you have got this map you dont need to.	
Jan 15 2008 	Smelly smoke travelodge lol	We booked this hotel as it was so close to the O2 arena....and like many others in Jan we were goin to see the Spice girls =)(they were amazing btw)Hotel....not so amazing....we were given 2 smoking rooms for some reason (we thought the smoking ban would have stopped people from smoking in rooms, but obviously not)....and for 6 non smokers....it STUNK!Room was ok....sheets were provided for the single pull out bed....but for some reason there were none for the double. By the time we realised this, it was already late and we were in our pjs so we couldnt be bothered to go and tell reception!Theres a flat screen TV in the room....surprising really considering everything else in the room was a bit tacky! My friends room only had one light bulb out of 8 in the room, so they had to get ready in the dark!Breakfast was £7.50 all you can eat....well worth it really considering theres not really any other places to eat very near to the hotel...it was a good standard too, and actually hot lol!So to sum it up.....fine for a one night stay....but dont expect anything too impressive! great location for the o2 arena....only 2 stops on tube =)	
Jan 9 2008 	Really dirty and scruffy	The only good thing about this hotel is its location. I booked the hotel with my friend for one night as we were going to a concert in the 02 and after searching through various hotels it seemed both very cheap and well located for our visit. And it was. Just a five minute walk to East India DLR station and then one stop on that before getting on the tube for one more stop to North Greenwich, it was ideally located and overnight parking was just £5. (Coming home from the O2, it was also handy as it seemed that most people were travelling towards the city centre and as we were going the opposite way, we were back at the Travelodge in about 20 minutes.)But that's where the good points stop for us. The main room itself was scruffy, bordering on dirty - with marks on the duvet, ominous white stains on the rather dilapidated sofa, dirty net curtains and poly-fillered holes in the wall. However, the bathroom was worst of all. Mould all over the roof, the area around the sink hadn't been cleaned before we arrived, the showercurtain was yellowy brown (and should have been white) and there was a loose wire and ugly holes where a notice told us a heated towel railshould be. We couldn't shut the door to the bathroom either as if you did you would get locked in as the door could only be opened from the outside. All this seemed very odd to me for somewhere that looked quite new and had a fancy flat screen television - personally I would have thought that a new shower curtain, lick of paint and some cleaning materials would have been more important. For one night it was bearable but any longer and we would have either asked to be moved or gone elsewhere.	
Jan 7 2008 	perfect loction for o2 arena! only 2 tube stops! "dont forget your swimmers!"	After much searching on the net I opted to book this Travelodge as it appeared to have the best location with regards to the O2 arena, I wasnt disappointed.On leaving Kings Cross we got on the tube to Holborn (Picadilly Line DARK BLUE) then from Holborn get the tube to Bank (Central Line RED) then from Bank get the DLR to East India. When you arrive at the station make sure you leave at the correct exit (sign posted for the docks I think)! Continue to walk forward, you will pass Nutmeg Lane on your right, the hotel is literally a few mins from the station, you will think you are in the wrong area but you arent.Upon arrival at the hotel the reception area was very busy, it would seem everyone who was off to see the Spice Girls opted to stay here as it was so close!! The check-in could have been better as for the amount of people checking in there was only one member of staff on!We were given the card key to room 31. The room was smallish but it was fine! The room itself was ok and clean compared to other Travelodges I have stayed in in the past. However the bathroom was a bit disappointing. You will see the bits of grime and dirt on the pictures I have attached. This was just a case of the room hadnt been cleaned to a high enough standard. The shower curtain smelt foisty, myself and my friend were conscious of it touching us whilst we showered. The shower was a serious cause for concern with regards to our safety! When we showered (using the shower curtain as a barrier from main bathroom) the water went onto the bathroom floor which is to be expected, the only problem was there was no means of drainage to get rid of the water, therefore the water didnt have anywhere to go, we didnt want to use towels as we needed the ones that had been provided. During our one night stay the water remained on the bathroom floor and we had to ensure we had footwear on to enter the bathroom to avoid a slip or fall. I advised reception of the problem and they apolgised.We left the hotel at around 6pm as we needed to get some food before the concert and the hotel bar didnt open till 6pm which was too late for us as we had a concert to attend.The distance from the hotel to the O2 is perfect. You board the DLR at East India and go one stop to Canning Town, you then jump on the tube to North Greenwich (Jubilee Line GREY) you arrive in no time at all and the North Greenwich is just outside the O2 arena!Overall the stay at the Travelodge was fine and if I was going to the O2 again I would most certainley stay here again despite the bathroom issues it was a perfect location for the O2.	
Dec 31 2007 	Very nice and modern Travelodge	For anyone like us being not familiar with East London, it can be difficult to find. Thankfully we had a London A to Z book!  Apart from that, this Travelodge is very good indeed! A rather up market theme to this one, compared to many others we have used. Rooms very nice, new flat screen tvs, coffee and tea in the room, breakfast buffet excellent value at £6.75 if you pre book it, and thats for one adult and two children, a breakfast feast! Staff very helpful, and secure car park at £5 per night for guests (take ticket on arrival, and pay reception on leaving). Very close to the Docklands Light Railway station, East India with excellent links at Canning Town for tube services to the 02 Arena, and Central London. Excellent value if you can get a £26 per night deal, but still worthy at the full price which Im told is £80 per night. This one is a good advert for Travelodge, and they can fly their flag high over this one!	
Dec 24 2007 	Great - easy to find clean crash pad!	Stayed here for the night but arrived at 11am, left the car in the car park and got straight onto the DLR line, which is 5 minutes walk from the hotel. We were in central London within 30 minutes of parking!! Not a lot going on around the hotel in terms of bars, restaurants etc, but this is not something that bothered us.Good check in and staff well informed. Room clean, quiet, although it was smaller than others we've stayed in, but nevertheless no complaints there. We didn't eat at the hotel but did have a quick drink and service and prices were pretty good.Securtiy good - barrier to get into car park, and the room key also opened security doors in the communal corridors. Good vending machine in case your forget toothpaste/brush for instance or need a cold drink or snack.Parking cost £5 which we felt was very reasonable.All in all very happy stay, and will definately return.	
Dec 20 2007 	Marathonner's listen up!	We've stayed here several times and never had a problem with any aspect of this hotel. It's a short stroll to the DLR, parking is reasonable for London and the family rooms are more than adequate to cater for our party of four. We last stayed here for the London Marathon and the hotel opened it's breakfast facilties much earlier, to cater for it's running guests. They were extremely helpful in accessing travel information, when it became apparent that there was an issue with the DLR that day and they were polite and professional. It's a reasonably quiet hotel, with little road noise and I don't know what else people want from their money!	
Dec 13 2007	Hmm not a great experience.	Not a great experience and in fairness, not all the fault of Travelodge. That said, I wouldn't stay there again.We booked for two nights as it was near to the o2 arena and we had tickets for Led Zeppelin. The room, although cheap, was very small and dull. The biggest gripe I had was the bedside lights. One side was working, but the other wasn't. To make matters worse, there was no bulb in it!! Perfect for an electrifying weekend! I reported this to the reception and was told it would be sorted out promptly. It still had no bulb when we left nearly 48 hours later..The check-in was painfully slow and seemed to be unprepared for the major event taking place nearby that weekend. One person on duty was not good enough. Several of the customers had travelled from all over the globe for this concert and were NOT impressed. The location is OK -ish IF the DLR was running. The Sunday we arrived it wasn't. We had to have a bus transfer AND a walk, in the rain not knowing where we were going. Most definitely NOT the fault of Travelodge, but it exposed the limitations of it's position in Docklands. Buses and taxis were available, but there were huge traffic problems around that area due to the silly ticketing arrangements for the Zep concert. Next time out, (the concert and the o2 were fabulous by the way) we will stay somewhere more Central London. The marginally longer tube journey would be well worth it. Again I realise that most of my gripes were not the fault of Travelodge so apologies to them, but they could have done better with decor, housekeeping and check-ins, there-by improving our overall impression of the stay.	
Oct 14 2007 	good value	typical travel lodge. very basic but clean &amp; comfy. location was industrial but no problem as convenience was our main priority.close proximity to O2 stadium, just a short ride on the tube will take you straight there.the staff were organised &amp; efficient, helpful &amp; friendly.they use taxis which offer set rate. it cost £10 to get a taxi around to the O2.It has a car park which cost only £5 to park overnight.breakfast for just a few pounds was very nice &amp; good value.child friendly too.we would stay again.	
Sep 22 2007 	Good location for O2 arena	I stayed in this hotel for 3 nights in september. The transport is great, as the DLR East India station is right on the hotel's doorstep. This is the first time I have stayed in a Travelodge (my friends swear by them), and it was way better than the regular London hotels I have stayed at in the past (you know the type... advertised as 2 or 3 star, but in reality are disgusting dumps). I found the main lobby area to be very well presented, which gave a really good impression of the place. The receptionist was polite and did her job well.Good points:1) Location to East India DLT - brilliant to be honest - with quick access to the o2 arena and central London2) Out of the way of central London - great to get away from all that noise and huste and bustle3) Feels very secure - inside and out. Room keycard needed for corridors as well as rooms 4) No idiot guests - i.e. no running up and down the corridors all night5) Problems dealt with quickly by manager - my first room had faulty lighting and I was switched to another room quickly6) Honest cleaners (well, at least one) - I left a lot of loose change (counted about £8 in slummy) and left it in my room during the day due to my pockets being full. Every penny was there when I got back, after the cleaner had been in. To be expected I suppose, but still impressive :)7) Cafe on site. Serves main meals and breakfast buffets. Also a few vending machines and internet PC's in main lobby8) Rooms basic but very well presented and generally &quot;clean&quot; (i.e. no torn furniture, stained bedsheets, mold on walls etc..)9) Excellent bathrooms. Well decorated and with large shower area10) WiFi in roomsBad points:1) Seems to me that the whole of London lies under a flight path - even more so here :)2) General traffic noise is high 3) No air conditioning. It was generally cool but typically muggy, so felt slightly uncomfortable with the window closed. Must be horribly sticky in summer4) Poor cleaning. They may not be thieves, but they sure as hell can't clean 100%. Floor unhoovered, mugs not cleaned properly etc.. Cleaners were all eastern europeans who smirked to each other whenever a guest walked past. Creepy really :(5) Check your kettle. Mine was thick with limescale and looked like paint peeling from a wall. Disgusting :( Took me 5 minutes to clean.. why the cleaners don't check them is beyond me6) Being in the middle of nowhere, it can feel pretty intimidating at night. It's in the middle of an industrial estate type area.7) Breakfast buffet may be all-you-can-eat, but the standard and variety is pretty poor. £7.50 as well :(8) Poor TV channel selection. Would be nice for all Freeview channels to be available (no excuse really)Despite it's faults, I would stay here again - mostly based on security reasons. I don't trust regular London hotels, but this place felt secure. The rooms may not be cleaned 100%, but they are &quot;clean&quot;. If you can put up with a bit of nightime noise (not too bad to be honest), dodgy cleaning and out of the way location, then this place is ok.	
Sep 17 2007 	Ok if you don't mind dirt 	I stayed one night only at this hotel during a business trip. Even if I understand that you should expect only basics from this kind of hotel, I did not expect the room to be that filthy. The carpet had not been hoovered for ages obviously, and it looked like the cleaning ladies also rushed to do the bathroom. My room was facing a road with constant traffic (mainly trucks) which added to my discomfort due to the noise. There was a kettle with cups and coffee/tea in the room, on the moment I thought that this was quite nice at least... until I opened the kettle and saw how dirty it was inside. In addition the spoons in the cups looked like that they had been used over the years but never washed. As you understood, I would not book a room again in this hotel and would certainly not advise anyone to stay there!	
Sep 16 2007 	Best Travelodge in London (For best results - ask for front-facing room!)	I've stayed in many travelodges around the UK, but this one has to be my favourite. It's in a great location that makes you feel important (only a couple of DLR stops from Canary Wharf), and you can get i very cheap if you book early enough in advance.It is only about a 3 minute walk from East India DLR stop, so transport links are excellent for Canary Wharf and City Airport. People who want central london, the City/West End may want to allow about 20-30mins travelling time though. Hotel itself is quite modern and fresh, it has a relatively good cafe/bar in the building, as well as a good sized carpark. Staff are very helpful and on the whole cheerful. I won't go into rooms, cos every travelodge is basicly the same once you're in a room.WARNING: if you find it difficult to sleep through traffic noise, ask for a room on the front after you have booked, as rooms on the back face directly onto the East India Dock Road (i think its the A13) which can be very noisy. Other than that small issue, i can't fault this travelodge. Great value for money!	
Sep 3 2007 	Good value for money but can be noisy -	Good value for money if you don't mind travelling out from the city. DLR runs frequently but buy 1 or 3 day travel tickets to cut cost. Ohoned day before to ask for room overlooking car park andit worked, was quiet at night (planes stop after about 22.00). Did ask if we could book in earlier than 15.00 but was told no, in the event we arrived about 13.30 and our room was ready and we did appreciate being allowed in earlier. Wouldn't say hotel is easy to find. Was told to take right hand walkway but could only see 1 walkway. Once down steps we got stuck. Someone took pity on us (2 cases, 2 kids wandering around aimlessly) and pointed us in right direction. Had small problem with taps which wasn't fully resolved but it didn't spoil our stay too much. Was v noisy on our last night. Family with 3 kids in 1 room and parents in another booked in opposite us at 21.00. The kids then spent more than an hour opening and closing doors (for fun?), this was extremely irritating as we have younger children trying to sleep. Hotel was good value for money, staff helpful, food fine. Would def use again.	
