	CLEAN GOOD LOCATION CHEAP	Stayed in London travelodges before, but never on the South Bank. This was an excellently located hotel, 100 yards from the tube station of Southwark and a 5 minute walk to the Thames. Great base if you want a bed for the night clsoe to the amenities of London town.Reception staff very helpful.	
Apr 28 2009	Couldn't be happier!	I stayed at the Southwark Travelodge for 4 nights April 18-22/09. All in all my stay was an extremely pleasant one, the location was fantastic, the room was very clean and the connections to the Tube are great being just a 2 minute walk to Southwark Station or Waterloo Station about 5-8 minutes away. There were lots of restaurants and pubs in the area, and a handy convienience store just under the hotel for drinks and snacks.Although the room was basic, it had plenty of space and was bright and airy with a great view of Union Street. The hotel was kind enough to loan out a hairdryer, as our North American one we brought along was giving us trouble. I would like to mention that 99% of the time the service from the staff was absolutely fabulous, and Chris (I hope I remember his name correctly!) went out of his way to make sure our stay was enjoyable. I cannot thank him enough. I would definitely stay at this hotel in the future.	
Apr 24 2009 	Pound for pound excellent!	We stayed at the travelodge for 4 nights last week and OK it's not &quot;perfect&quot; but it does represent real value in clean modern surroundings 2 minutes from Southwark tube, and so easy access to all of central London.We didn't like the lack of shelf storage space nor the short hanging rail over the sofa bed - that is disappointing planning by the hotel's designers. It would be easy to fit more adequate storage space.The lcd tv on the wall was fine and the air conditioning both effecient and quiet. Our room smelled of the previous occupants food and wasn't the inviting first ipression that you want when you first step into your allocated hotel room. However by propping the door open for a short while (you cannot open the windows) and switching the air conditioning on, the smells did go away.With the proximity of the railway and the sounds of the night-time locals, it's advantageous to have a higher room, we stayed on the top (7th) floor which was ideal.For the money, probably the best value hotel in London.	
Apr 20 2009 	Good for a London base - and close to Waterloo.	I've just spent two nights at this Travelodge, whilst our excuse was going to a friend's wedding in Surrey. We needed to be close to Waterloo for the train, which we were - about a 10 - 15 min walk in heels!Our room, 506, was overlooking the railway lines and we thought that we were doomed for two nights of sleepless nights. Not at all! Thankfuly we could hardly hear a thing and what we could hear was so muffled that it didn't spoil my beauty sleep. The double glazing must have been pretty good!The room was very clean (not something that we experienced at the Ashford Travelodge!) although my husband complained that they hadn't really thought when they installed the tv on the wall - it was too high up! I suppose that was our only minor complaint about the room. There was hanging space for our clothes and Reception could provide us with an iron and ironing board to press our clothes so we looked semi-presentable at the wedding!We didn't have breakfast at the Travelodge. We made the most of having Borough Market within a 10 min walk on one morning (some of the cafes there are open all week) - cheaper than eating at the hotel and the following morning we walked along the Thames and had breakfast in the Tate Modern cafe. Pretty great, to be honest. This is definitely one of the best Travelodges that we've stayed in and will definitely seriously consider it again when needing a London base. We'd paid £52 for the room per night which is almost impossible to find in London - and so close to Borough Market.	
Apr 19 2009 	You get what you pay for... but customer service should cost nothing	Arrived at the hotel at 2:15pm, at reception were told we hadn't paid for early check in so would have to wait or pay a tenner. Very true, but there's ways of saying it! Checked in at 3 to a room smelling badly of takeaway food and no way of getting fresh air in to get rid of it. The room was OK... I can't think of another word. The view of the train tracks (you could hear them passing but it didn't interfere with sleep or anything), no ventilation, toothpaste on the floor from the previous customers (cleaners?) and the only hanging space being over the bed were the bad points. I still label it OK as there was tea/coffee, a TV and comfy clean beds. Only one towel though in a family room.. easily got more from reception.Breakfast was OK, again no other word.. sausage was a bit dodgy (aka artificial) and having to put the toast through the machine twice was a pain but again, you get what you pay for, there was probably more choice than I expected. However again my customer service comment applied as when I asked for sweetener I was told to go to reception to get it, forgive my humble opinion but I would have expected them to say it in a bit less of an abrupt manner, or actually get me some. Then, after I got it, I put it on the table, with my tea, got up to get a yoghurt, came back and found along with the empty plates the sweetener had been taken!!! Also we left our breakfast voucher in the room, they said it was OK as they could check at reception, then waited until we were mid breakfast before deciding we had to go and get the voucher, and we had to get it now. Bit of common courtesy amis again! Other than that, location excellent, place served it's purpose, was clean enough and was what I would expect for what I paid... however customer service and courtesy is free and shouldn't lower in line with the price, and for me that I what would perhaps make me personally consider looking elsewhere for a next visit to London.	
Apr 19 2009 	clean and friendly	I stayed for two nights and found the location fabulous. i was travelling as a single female with two teenage girls but felt perfectly safe. Rooms basic but clean and even had air conditioning. I was amazed at how quiet it was just a rumble of trains and gurgling pipes. I stayed at london city road last year and it was awful, hot and very very noisy so this was a pleasent surprise. staff polite and spoke good english. breakfast ok but the kids ate free so really cant complain.	
Apr 17 2009 	Genuine value in London	Having stayed in many travelodges in recent years whilst working away from home, I am not a big fan. Slough, Reading, Bracknell - yes they are cheap, but just souless, and I have had my share of problems with late night noise and even unwanted 'guests' sleeping in the corridor outside my room (thanks, Travelodge Watford).Spent 2 nights in Travelodge Southwark last week and also this week, and I am pleased to say - Travelodge Southwark is very decent. Still the basics only in the room, but you knew that when you booked, and a very decent (if a bit small) flatscreen. Staff have been very friendly to me, rooms are quite large, clean, and quiet (apart from a little train noise - but it's London......). Breakfast was a bit of a scrum with lots of kids, but it is the Easter hols, so hopefully whan I stay again next week the little darlings will be back in a school many miles away...Location is excellent - one minute walk from Southwark station, and less than 10 mins walk to the variety of Southbank attractions. So well done Travelodge - value for money in London, now there's a novelty.	
Apr 15 2009 	Not at all impressed	We stayed for two nights Sunday 12th and Monday 13th april 09.On arrival we were told if we wanted to book in before 3.00pm we would be charged £10.00 so we sat in the bar with several other families and waited.The bar doesn't open until three either so you have to buy bottled beer soft drinks etc. The first room we were allocated had wet carpets so we had to move. The first night we were woken in the early hours by other guests banging doors and shouting.We were refunded the price of our room.You can hear people in rooms above and below running water baths shutting doors etc.we were away from the railway line but the noise from the traffic was disruptive I don't know where the double glazing came from but you could even hear people talking in the street.The majority of the staff speak very poor English which is frustrating.Breakfast is £7.50 per adult with kids eating free and was adequate in volume but of very poor quality, no fresh fruit one very slow toaster and food continually running out.On our final day we gave up waiting for the food to be replenished at the so called buffett and left the restaurant and were refunded our money.The location is good with a nearby tube and all the sites very close.There are some beautiful cheap restaurants five minutes away with every kind of food imaginable but you are going to need to eat out because the food in the hotel is poor.On the whole good location and if you're prepared to complain enough they do give refunds but take a bit more money and eat out.	
Apr 13 2009 	Clean hotel with a very good location	myself and my partner stayed in this hotel for 3 nights, it was basic (although at the price we payed you wouldn't expect any better)) but very clean. hotel was in a great location with a tube stop just yards away, Our room was right beside numerous train tracks but we had no problem with the noise from the trains.	
Apr 6 2009 	What more do you need?	We stayed for a 3-night city break, having visited many London hotels / apartments over the last couple of decades. The hotel was clean, staff friendly and the simple room had all basic requirements. I did miss a bath, I only have a shower at home and love to have a good soak when in a hotel. Guess that my loss is the planets gain.Minutes from the Southbank there's plenty to do nearby; you can spend at least a day without venturing onto the nearby tube network. Make it a day when the Borough Market is on. Avoid the first Indian Restaurant you come to on the Cut ... re-heats &quot;R&quot; us.	
Mar 30 2009 	Had a great stay here	The room was basically furnished, but it was clean and modern and suited my needs. Water pressure was super, lots of hot water, and very comfortable bed. Reception loaned me a hair dryer for my eight nights. The climate control system is a nice feature, as is the electric kettle with tea, coffee, sugar, milk, mugs and spoons. My room was at the top floor (with view of St. Paul's, as requested), and though I did hear the trains below, I was not disturbed. Location is pretty good once you figure out your transportation options and bus routes. In addition to the on-site cafe and bar, which I did not use, there are plenty of eating places in the area. There are two computers for guest use, but they were down for 4-5 days during my stay. Considering the price I paid, it was an excellent value all around.	
Mar 27 2009 	good base camp for london	i have to say that i agree with most peoples reviews on here. spent 3 nights at travelodge in room 121 which was 1st floor on the corner at the front of the building. we heard some traffic noise from the road but nothing to really upset us. we paid £108 for 3 nights with breakfast which is good for london. i opted for the breakfast but it really wasnt much kop. typical self service that alot of chains are opting for which doesnt really bother me. premier inn and village hotels use this method but the food at the travelodge wasnt of a good quality. for £7.50 each it was too dear. if you just want juice, cereal, toast, tea or coffee then your ok but the hot cooked side was pretty drab. i would search out other reviewers reccommendations for local caffs. location wise was great. literally 300 yards down the road to southwark tube. used the tube everyday and came back at 11 or 12 at night with no fear of safety. the rooms were comfy but basic. if you want superior quality then go and pay the scandalous rates of £150+ per night that many a london hotel will gladly take off you. if you just want a good location with basic comfy beds then i would have no hesitation in recommending this travelodge. would i use this branch again? yes but i would look elsewhere for breakfast!!!!!	
Mar 22 2009 	Ideal for a budget break in London	Stayed here recently for 2 nights in a family room. Only a couple of minutes walk away from Southwark tube and less than 10 minutes walk away to the Tate Modern and the riverside (where Thames Clippers go from). Also about 10 mins walk time to Waterloo. Had a pleasant stroll along the river to the London Eye and back during our stay.Our room on a high floor had both a bath and shower with soap (bring your own shower gel / shampoo etc) and a kettle with tea and coffee. The room was spotless and both the main double bed and sofa bed were comfortable. The air conditioning worked.I have stayed at far more more expensive hotels with saggy mattresses in stuffy, stifling rooms. Nice flat screen tv and a window with a glimpse of St Pauls and the Gherkin beyond the train tracks. The window had a simple but effective blackout blind. Virtually no noise from the trains passing beneath so the double glazing obviously works.Didn't have breakfast at the hotel ( I think it was £7.50 with kids free). There are a couple of small basic cafes near to hotel (one was outdoor), and a few more elaborate places around the Blue Fin building area. There was a very good convenience store right next to the hotel and an M&amp;S Simply Food within a few minutes walk. A small wine / aperetivo bar was also situated next door to the hotel. As you walk along the riverside area, near Shakespeare's Globe Theatre and onwards, you'll find places like Pizza Express, The Real Greek etc.The staff at reception were polite and helpful. There was a vending machine for drinks and a couple of internet terminals. The Bar Cafe was next to the reception area and there was a food menu in the bedroom with reasonably priced options including pizzas available to order and take back to your room.We paid £10 for a late check out at 2pm. This was well worth it as we had a relaxed lunch and freshened up before the journey home. You can't leave luggage at reception, and this was the best option for us as leaving several items of luggage at any of the London rail stations is not cheap. Southwark tube was closed on the Saturday we left but a bus goes from right outside it directly to Kings Cross station, which was extremely handy. For the rate we paid, this hotel offered excellent value. Would definitely consider it for any future London visits.	
Mar 15 2009 	A basic motel but excellent value for money	Donlt expect any frills beyond a tea and coffee tray and a flat screen TV at any travelodge. Having said that, it's a brand new building (about 9 months old) and our room was still in excellent condition with a responsive A/C heating system. Very efficient power shower - a clean functional box of a room. The location is fantastic, about 5 minutes walk from Southwark tube station, 3 stops or so on the Jubilee Line from Central London.Staff were efficient and friendly. That is a huge compliment for Travelodge as at some London locations they struggle with even the english language. We found a great cafe a few minutes walk away if you wanted to an alternative to the hotel's breakfast offering.	
Mar 11 2009 	well positioned value for money	A good budget hotel, very basic room, but lovely comfy beds and hot, powerful showers. Wall mounted flat screen T.V. not big, but who goes away to watch t.v.??? Kettle, tea coffee and milk. We were there for two nights and the second day our rooms were not 'done' or replenished, had to go to reception for more tea/coffee/milk. Said our rooms had not been done, but receptionist never replied and I couldn't be bothered to question it. A Cafe/Bar provided the usual snacks and meals, Chilli, Pizza, Lasagne etc..Beer, Wine, bottles etc. with a large T.V . Not bad but not the place you'd want to spend an evening, but of course that's not what it's meant for. It also serves breakfast in the mornings. Next door to the Tavelodge is the Wine Theatre Restaurant, this is very nice if you do not want to go to far. Early evening you can order a drink and help yourself to light snacks which was very popular when we were there. The nearby pub's were very busy on the Friday night and Saturday night they seemed very quite. The hotel is well placed for London's sights. The Young Vic and the Old Vic are just down the road. We chose this hotel because it was walking distance from Waterloo Station.	
Mar 9 2009 	Would recommend it!!	Was pleasantly surprised at my stay at this Travelodge. Booked it on the Travelodge website for £9 one night and £19 for the second night, so was a bargain!! The hotel looks pretty much brand new. Room was very clean and comfortable. Staff were very friendly and helpful when checking in. Our room overlooked the railway track on the 2nd floor and although there were plenty of trains going past, we didn't hear a thing, so that wasn't a problem. The location itself is quite quiet, especially at night. There's several nice bars and restaurants in the area and Southwark station is only a 2 minute walk away and from there it is very simple to get into town. Would definitely recommend it.	
Feb 27 2009 	nice but cold	stayed her as i needed to go to a conference it was a normal standerd travelodge. the people were polite my only problem was that it was cold in the room and i couldn't find anything that would warm it up. There is however a noisy air conditioning system. I didn't eat in the restraunt as i find there food is expensive.	
Feb 27 2009 	Great for Trainspotters	In short, this is thew worst hotel I have ever stayed in. Upon arrival I was informed that the hotel had spent £75,000 on soundproofing, however, this did not stop me being woken up every night by the 23:56 Victoria to Waterloo train. The highlight of my stay was checking out! There was also an annoying problem with the lifts!	
Feb 25 2009 	Brilliant budget accomodation	We booked this way in advance in order to get the room for £19. We were aware it was walking distance to Waterloo and Southwark, but didn't realise just how close to Southwark tube station. The hotel amazingly clean, and the room was pristine too. It was quite a basic room, but what do you expect for £19. The large double bed was very comfy, air con/heating in the room, tea &amp; coffee making facilities, flat screen TV, plenty of pillows! Can't go wrong! Check in was easy and the chap was very helpful. Breakfast we felt was a little expensive at £7.50 for what it was (buffet style), but when you add the cost of the room to it, it turned out ar £34 for both of us B&amp;B! Can't be bad! Although the room looked out onto the train track, the windows were really well insulated and we never heard a thing. The shower was remarkably powerful and there was an abundance of roasting hot water! There was a massive snowstorm while we were here and the hotel were great in finding information regarding transport we required. Will definitely be recommending it and returning.	
Feb 24 2009 	£9 a room!!! Bargain!	2nd time have stayed at this Travelodge. 2 mins from Southwark tube on Jubilee line. 4 stops and you are in Bond Street. We thought location was ideal. Went to Vinopolis on Sunday and is within walking distance. Also close to Borough Market.There is a shop next door to hotel which sells newspapers/snacks etc, but no alcohol. Walk bit further down road and there is a costcutter.To avoid to train tracks, request a room not over looking them. They usuall accomodate if not too busy. You wont have a view (building oppo), but will have a very quiet night sleep - heard no noise. Room 418!! Comfy bed, clean room, not much space but ideal location for getting out and about.Only down fall is the shower......its very slow trickle, very annoying but hey it was one night and I paid £9 unbelievable.Staff at check in were extremely friendly and helpful!!	
Feb 20 2009 	Surprisingly Good	I was expecting to be a little bias against Travelodge as I work for Premier Inn but I couldn't resist booking this hotel as it was so cheap. We booked on a saver rate and it worked out better value than anything I could get with my own company in central London. The hotel is in a great location near Southwark tube station. We actually walked past the entrance as it looks like a office building with only a small sign above the door. We arrived at 2:50 pm and check in was at 3pm. We thought that it was a little strange being told that we could only check in before 3pm if we paid an addittional £10. Surprisingly we waited in the bar along with about six other groups of people till 3pm and then had to wait in a queue for 15 mins to check in. I would have thought that you could have checked in at whatever time to make things easier for both the staff and guests.The room we were given was quite nice. Basic as budget hotels tend to be. The room was clean and well furnished. The bathroom was the same if perhaps a little small but not really a problem.We did have some issues while we were staying though. The reception wasn't staffed at various times of the day. We did wait on a few occasions for a member of staff to appear from the back office. The fire alarm went off at 8am on the day of departure - talk about a wake up call. We presumed that it was a test as it went on and off about four times. I understand that the alarm does need to be tested but it would make more sense to test at a time later in the day when people aren't sleeping.Overall it was a nice place to stay. I think the negative points we found were very rare occurances and shouldn't put anyone off staying. If you're looking for a place to stay that's cheap and central this would be it. I would definitely stay here again. I'm visiting London again later on this year and have booked the Travelodge on Liverpool St to see how it compares. Fingers crossed!	
Feb 17 2009 	Excellent value for money	We stayed at the Southwark travelodge in London for valentines weekend. We were a bit apprehensive before we went due to getting the room for only £35 a night!! A total bargain, so we thought that there must be a catch somewhere. We arrived into Kings Cross train station and got the Piccadilly line to Green Park then changed onto the Jubilee line to Southwark. It was really simple and very quick. Within 10-15 minutes we were at Southwark tube station. Directly across the road there was a Costcutter (excelent for cheap beer, wine and nibbles) then less than a 2 minute walk away was the hotel. As the hotel only opened in May 2008 everything is still very fresh and new. There are no stains on the carpet and no mould on the tiles in the bathroom. Only slight drawback was that we could not check in until 3pm. Our room was large (especially by London standards), very clean and even had tea/coffee making facilities. It was basic but contemporary in design. We did not eat at the hotel but breakfast was a buffet at £7.50 per person and they had evening meals and a bar. I can find no faults with the hotel whatsoever. Last time we were in London we stayed at Premier Inn County Hall which was £200 for 2 nights. The room was the same size and although slightly more central, we still had to buy a day pass for the tube at £5.20 so we would highly recommend the Southwark for fantastic value. If we had booked even earlier we could have got the room for as little as £9!! Unbelievable. We used the money we saved on acommodation to see a couple of musicals.	
Feb 9 2009 	Excellent Base in Central London	Myself and my husband stayed at this travelodge on Feb 4th - 6th. We booked via the website for £19 per night, and for a budget hotel this was perfect for what we needed. It was close to Southwark tube station (1 minute walk), has a convenience shop next door, and plenty of pubs around. We had the breakfast one morning, which was nice although a bit pricey at £7.50. The staff were friendly and helpful when we needed them, and they did let us check in slightly early as we arrived before 3pm.Basically you get what you pay for - a no frills hotel, clean, comfortable and as cheap as you will find in central london. I plan to return to this hotel again on my next visit to London.	
Feb 9 2009 	No Frills!	I stayed here with 3 friends for a girls weekend. We got a deal of £50 per room and paid an extra £10 for early check in (midday). For what we paid the room was a cheap overnight stop in London. We had 2 rooms on on 7th floor and one on the 4th floor. One room was much bigger than the other (7th being the largest room).The bathrooms were new and clean, the beds were only double, although we did have a single sofa bed in the room. But as mentioned the bed was not made up just sheets etc left in a bag.Surprisingly there was tea and coffee in the room although no hairdryer. There was plenty of towels.The beds were OK, although have stayed in a Premier Inn and they were better there.The location initially looks a bit grim, grotty pub opposite, but you are very near Southwark tube station and the London Eye and plenty of buses round the corner.Check in was a bit slow when we arrived (midday) but not too bad.If I wanted a cheap no nonsense hotel in London I would stay here again but may look around for other budget hotels to compare quality etcThere is a shop next door selling drinks, sandwiches snacks etc which was handy and seemed to be open fairly late.We did discover a tapas restaurant down the road opposite Southwark Street tube station, which would have come in handy if we had realised it was there the night before!	
Feb 8 2009 	It was okay	Southwark, London Travelodge was would have been okay to find if here weren't so many different lanes and cars on the road in London, other than that we clearly spotted it. It's close to some newsagents and a local park, opposite the Travelodge. The staff are okay when they're not outside smoking. Inside the hotel is a cafe, yo can get a lift upstairs for those who are disabled. Or there is the option of taking the stairs. There is a car park next to Travelodge which is handy. The rooms are nice, there is a sofa which underneath a bed is there and there is double bed for a family of three. Only at night gangsters and teenagers shout and smoke and are very noisy at night. The views are pretty nice when you're not looking at the common flats because there is the River Thames in sight. Locally is a Metro bus stop and a tram station to travel around London. The location couldn't be better and nearby is a pool and a leisure centre, different museums and other things.	
Feb 2 2009 	Had a great stay at this hotel	I have just returned from a 3 night stay at this hotel, myself and 11 year old daughter. I found it to be in a great, safe location. Our room was on the 2nd floor and was very spacious, beds comfty, etc, yes the tv is small and there are no curtains or tolitries but if you want 5 star you would pay for 5 star these things dont really matter when your on a city break. The staff were all very friendly and helped us with any queries we had, we enjoyed breakfast every morning and found it very reasonable £7.50 for me and the child eats free, it filled us up for a day of sightseeing. The location is great and we found it very quiet and safe to return to the hotel in the dark evenings as the tube is only a minute down the road. We popped into the Lord Nelson bar across the road were the staff were really welcoming and gave us board games and sweets for the kids, a great night was had in there, worth a visit for a nice drink. I will definately return to this hotel.	
Feb 1 2009 	New building; but little else.	We have been staying here for the last few days after spending 4 weeks in the USA; mainly at Best Western properties. Out of all the staff here that we have talked to, only two were remotely helpful. The property is new, and so the funky little rooms keep promising me a good stay; but at every turn I was disappointed. It seems like no one was trying. No room clean one day, only one towel left in a twp person room every day, bad cleaning, had to ask at reception for soap and toilet paper because it wasn't replaced, smelly rooms, loud doors, UHT milk in the rooms out of date, un- adjustable air con, lift dirty and common areas not cleaned..it just seemed to go on and on..Seems like the whole point is penny pinching, not being part of the hospitality industry.I keep trying to like it, but every time I say &quot;it must just be me&quot; something else happens to drag me down again. I don't mind being next to the train line, thats sort of fun, but insolent staff who treat me like I am interrupting their REAL work make me angry.Never Again!!	
Jan 29 2009 	Find Another hotel	Even for the price this hotel is not good, it´s too basic, they didn´t even put the sheets on the sofa bed, they just put it in a plastic bag in the front door, so you can arrange it, incredible???The rooms were smelly, like humidity, and if it turns out that your window is beside the rails of the train........well imagine it....Hear a good advice don´t go to this hotel, if you want at least minimal accomodation and peace of mind	
Jan 26 2009 	Cant fault the location	Everyone knows that a Travelodge is a no-frills experience, but this one I have used 4 times now and have no problem with it. Bed are comfy, bath just adequate for a well built male, and OK for what I need. Close to the Tate Modern, Southbank, Imperial War Museum, and mid-way between Waterloo and London Bridge stations, plus 2 mins from Southwark Tube, it is ideally placed. Contrary to suggestions the area is rough, it's anything but, with regeneration taking place in the form of new offices on Southwark Street. There are restaurants and cafe's in The Cut opposite, and also some restaurants and wine bars near the Blue Fin Building (IPC Media HQ) on Southwark Street. If you want a good breakfast, or lunch, try first of all Frank's Cafe on Southawark st (must be good as local tradesmen and cabbies eat there) or there is another cafe on Great Suffolk Street - left out of hotel, under railway arch, left at lights an it's 300 yards on left.	
Jan 25 2009 	Surprisingly Good	I was surprised by this Travelodge branch in London Southwark.The hotel is a stones throw from the Southwark Underground station and 5 minutes from the Tate Modern Gallery. It is in a nice area which good choices of pubs and sights in the local vicinity.When we entered the hotel we were welcomed by the staff who were all friendly and helpful, the check in process was quick. We were in room 402 at the hotel, which was clean with some nice touches. The only disadvantage was the view from the room, which looked over the rail-track.I would recommend not to go for the breakfast option if you are staying over the weekend. There are cheaper places in the Southwark area. Go somewhere like the Blackfriars Cafe on 169 Blackfriars Road for a good fried breakfast or the Young's pub near the Tate Modern.All in all, if I visited London again I would stay here.Positive Points 1. Clean and good functional rooms.2. Good security. There was a electronic lock on the front door and an electronic on the floor door. 3. Friendly staff.4. Very good location Negative Points 1. The air-conditioning unit was complicated and I couldn't get it work properly 2. The room door used to shake when someone else on the same floor closed theirs. 3. Limited choice on the television channel. I couldn't get BBC3,BBC4 or any other digital channels.	
Jan 20 2009 	Brand New Bargain	I don't book old roadside Travelodges, or Travelodges created from creaky old hotels which have seen better days. But brand new Travelodges are a bargain, and £19 for Central London is pretty unbeatable. This Travelodge is very close to Southwark tube and some decent restaurants in The Cut and Bankside. There is a Simply Food M&amp;S just around the corner, and the rooms are very good. They're barely equipped, but the modern design doesn't make you feel cheated. It feels 'minimal' in a designed, rather than a penny-pinching style. The plasma screen TV works, the blinds do the job, the carpet is in good condition, and the bathrooms are new. Yes, you have to bring or buy your own toiletries, and the towels are no frills. Yes, wi-fi is extra, tea and coffee is limited, clothes hang on an open rail rather than in a wardrobe, and there isn't a phone in the room. But mobile signal strength is good, and the beds are comfortable. I thought it was excellent, certainly for the price.Two cautionary notes: the cafe restaurant looks expensive for a rather underwhelming range of food, and I didn't have breakfast. And access from ground level can take you straight from street to bedrooms, and I'm not sure how safe single travellers, women travellers or those unfamiliar with London might feel about that. Your swipe card is required to access the bedroom floors after leaving the lift, but it still felt a little isolated. But overall, really good for the money.	
Jan 11 2009 	Basic but OK	Basic rooms, take your own toiletries though! Comfy beds and very clean. Good location.Naff cooked brekkie, OK if you are into the 5000 sausages for £2, rock solid bacon and tinned tomatoes type of food and at over £7, a bit cheeky!!Very friendly and helpful staff are a great plus for this budget hotel.	
Jan 8 2009 	great VFM	Ideal location about 2 mins walk from tube and 10 mins walk from Waterloo. Room very clean. Needs a small wardrobe or drawers though as we were using the sofa bed for my daughter and the 3 hangers were directly above the bed so we lived out of our cases for the 3 days but not a problem. Ate in the Bar which was ok felt sorry for the 1 member of staff who had to serve at the bar and serve food she was very pleasant though despite being very busy. The food was clearly frozen/chilled and pre prepared then cooked (microwaved I think to order) but was nice for the price and would eat there again. Breakfast was served in the bar and was very busy as the bar is small for the no of rooms in the hotel but there was a good selection on offer and constantly being refilled. Only complaint is that the breakfast staff were very slow at clearing tables causing a queue for the tables. would definately stay there again though.	
Jan 8 2009 	Great Location Modern Travelodge	A well located Travelodge which is modern (rooms have airconditioning!) and well located close to Southwark tube, Waterloo station and all the attractions of the South Bank ie London Eye, Aquarium, Tate Modern, Imax etc are within walking distance. We booked one of Travelodge's very cheap deals and had a family room for 2 nights over the weekend. The room was spacious (not much in the way of clothes storage) and clean, bed OK but soft, the window does not open. As the hotel only opened last year it is still in good condition, and was fine for a Travelodge - you know what to expect and it does it fine. There is a bar/cafe which we didn't use, we had to pay £10 for an early check-in and there are no facilities for leaving luggage which is annoying (use the left luggage facility at Waterloo station at £6.50 per item). Our room was directly overlooking the train track and this could be noisy - we were lucky with no train noise till Monday morning, and it was not as bad as I expected. I have stayed in many Travelodges, this is one of the better ones and I would happily stay there again so long as the price is right.	
Jan 6 2009 	Great Value Again	Our 2nd stay at the Hotel in the last 3 months. Managed to get it for £19 a room this time (unbelievable value, especially for London).We had a family room this time round, which was as lovely as last time, and the big sofa bed was more than adequate for my little boy. Again the Hotel was really clean, there was enough towels, bedding and tea, etc.We walked from Embankment this time (as the Southwark tube was closed).. and was surprise that it was only a straight-forward 20 minute walk!It was a little noisier this time round, but I guess it just depends on who is staying at the Hotel at the time.My mum had a room also, and was unfortunate to have one at the back where the train track ran - which she said was very noisy and kept her awake most the night.Would recommend this Hotel again, and book early for exceptional value.NB: We didn't check in till 9pm and was worried about this, but check-in was straight-forward and no problem.	
Jan 4 2009 	Great Location	The hotel had recently opened when we stayed but other than the reception being a bit messy it was great. The room was comfy with air conditioning and a view of St Pauls (over the train lines). It was about 10 minutes walk to the Tate Modern and 2 mins walk to the tube.I would certainly recommend stoppping there to people and would think about using it again if I go to London. The price and location was great.	
Dec 29 2008 	Perfect location - great value	This is a great location and great value! I booked 3 nights in mid-December for £19/night during their sale on the Travelodge website. My sister from the USA was visiting my husband and me so a family room suited us perfectly. Colleagues had warned me that Southwark was a rough place but we had no problems at all -- just need to use common sense, as you would anywhere. The room was ideal and had everything we needed -- a clean bed and towels. Had a nice cuppa as well! I didn't buy the breakfast so I cannot comment on that. It seemed expensive for what it was. Instead, I brought bowls, spoons, cereal, and few boxes of long-life milk. It did the trick and costs hardly anything. The money saved over the three days paid for a lovely dinner one night out in London :)	
Dec 28 2008	Agree that possibly best Travelodge in the UK	This hotel gets a 5 star rating not becuase it is a 5 star hotel, but for sheer value for money off this recent stay I could not fault this at all. Along with the other posters comments this is probably the best Travelodge in the UK.Hotel is situated on Union Street about 1 min walk from Southwark Tube Station (although Waterloo is less than 5 mins away along The Cut) Buses 45, 63 and 100 and Night bus N63 pass by the hotel. Blackfriars is 10 min walk across the bridge so the location is great.Yes the hotel is situated by the Waterloo East/Blackfriars trainlines where they both meet, and rooms at the back overlook the train line, but tip is to ask for a high floor, as the noise is not bothersome at all if you are high up.Full marks go to the check in staff who let me check in early at 2.30 instead of 3pm without a charge. Travelodge are notorious now for enforcing the 3pm check in rule, so its nice to see some customer service here! The hotel is a new build opened in May 2008, rooms are of the updated Travelodge variety i.e. they all have white duvets.The beds are a little on the soft side, although the pillows are adequate. The room has a 15&quot; LCD TV on the wall, quite nice mood lighting for a change and also in a departure from other Travelodge rooms there is actually wall art on one of the wall instead of 4 white washed walls!! So not quite totally basic.Bathroom is clean and tidy, The Double I was given only had a shower and no bath, but the shower is a powerful one anyway. As Travelodge by law have to provide a bar of soap to be classified as a hotel, this is all you get in the way of toiletries so bring your own.Tea and coffee making facilities and the biggest plus in this travelodge which left me gob smacked. Air conditioning!!! and it works a treat, Cold and hot!!Rooms at the back as mentioned overlook the railway lines, although you get a stunning view of London from the upper floors and of St Pauls Cathedral. Some hotels would have charged a premium for this type of view of the Cathedral!!The hotel is also one of the quietest Travelodge's I have stayed in although I may have just been lucky as this was over the Christmas period . The chain is notorious for having doors that slam too easily and attracting large groups with no respect for other guests and feel the need to shout down corridors first thing in the morning.Superb value considering I only paid the £9.00 winter sale promotional rate and most definately would stay here again!!	
Dec 21 2008 	Rare value for money in London	OK this is a Travelodge and, as such, you get what you pay for. In this case, I would summarise this as VFM!My room was clean and very modern looking: flat screen TV on the wall over the bed, LED bedside lights. Decor was ultra modern rather than plush.I booked early but only paid £60 for the last Friday night before Christmas- probably the busiest night of the year in town for office parties.The hotel is a 5 min walk from Southwark tube and then only 15 mins from the West End or City. You'll probably have to change lines at least once to get onto the Jubilee line, but its close enough to make the price of the room well worth it.I was on the 1st floor, on the other side of the hotel from the train line, so the only noise was from the street below. When I crawled into bed at 2am there were still partygoers heading home outside and the noise was evident rather than intrusive. If you want an early night's sleep or have kids, you may want to request a room a little higher up.As with all Travelodges- you don't get shower gel or shampoo supplied so make sure you take your own.	
