	love this place	Great hotel, staff lovely, great gym and food is cool. Not cheap.	
Sep 15 2008 	Spa hotel that doesn't make you feel good.	My friend and I stayed there for one night as a last minute change of plan - we were due to travel to Paris but couldn't because the Channel Tunnel fire. We decided to book a hotel with a spa in a good location of London, hoping that some luxury will compensate somewhat for disappointment. We booked a package which included one night in a double room, full breakfast (which by the way was really rather good) and two half hour treatments + use of their spa, total cost £144 per person. Due to refurbishment of the nearest underground station, Shepherds Bush, we had to walk from Holland Park station which takes longer than 10 minutes mentioned on their website. Initial impression on arrival was not great, the building is not the nicest in the area by far, and the design of its interior maybe meant to look modern but instead looked just basic. Our room was well equipped and clean, so we decided to reserve our judgments. At the time of booking our package over the phone the spa manager told us that our treatments will be ‘after 11 o’clock’. It wasn’t very specific, so on arrival we expected the receptionist to be able to confirm our spa arrangements, given that we booked the package, not just the room - she had no idea and didn’t try to find out. The next morning at 11 o’clock we went to Reception to check out, that didn’t go smoothly either, and we got delayed. When we eventually got to the spa at 11:15, they told us that we were late and instead of two treatments can only have one. We tried to tell them that it was a misunderstanding, at no time were we told to get there before 11 in order to get ready and to complete a necessary form, but they were adamant: you missed your time, 11 o’clock was confirmed with you over the phone, you can’t have it later. We were refused any refund, weren’t offered any alternative solution, not even a voucher for another time or simply a bottle of one of their spa products – we didn’t need them but it would have made us feel better. We did have time for a massage which was nice apart from the time when the music stopped and a loud hammering noise could be clearly heard in treatment rooms.The spa facilities were nice but rather small, and more people were trying to use them than space allowed. No swimming pool at all.On the whole I have to agree with Kiran76 – it is not so much the hotel but the attitude of the staff (did I mention a ‘fed up with stupid customers’ expression on the receptionist’s face when there was yet another misunderstanding during the check out? ) that will stop us from using it again or recommending it to others. Ok for staying the night and leaving after breakfast, but if you are looking for a hotel with spa facilities to make you feel good, there must be better choices in London.	
Sep 8 2008 	Solid but not special	What is all the fuss about ? This hotel has all the right words connected with it - boutique, niche, spa, West London...but this comfortable, clean and well equipped hotel just doesn't feel special.I booked on a whoppingly discounted corporate rate and stayed in a double deluxe room with a rack rate of £319 per night. The room was beautifully designed, nice modern layout, plenty of space and some nice touches like the full length mirror and the lockable fridge. Very nice bathroom facilities and only Aveda toiletries dahling. Very comfortable and practical with style.The disappointment comes from the rest of the experience at K West. Everything seems to be a little bit extra. There is a free internet cafe but if you want it in your room, or wireless, then thats extra. Spa access ? Stump up £10 a day for &quot;environmental&quot; reasons. All perfectly reasonable but when you're paying over £300 a night one might expect these little touches to come for free.The most bizarre aspect of the stay is breakfast. This is held behind the bar and then served to you by waitresses, causing needless confusion compared to a simple buffet. At £11 for a continental or £17 to dine in the odd mezzanine restaurant its also another little extra that will add up.My safe didn't work and nobody could fix it otherwise service was friendly and fast.There are touches of cool - the little LCD screens in the corridors showing wavy coloury video abstracts, the vending machine room service, but overall it doesn't feel like luxury it feels like a Novotel or Holiday Inn with slightly better decor. The hotel needs to add in more service to really be a luxury bolthole.Finally, its in Shepherds Bush. Its not near Shepherds Bush, its not in Brook Green in the Shepherds Bush area, its in Shepherds Bush. Lets be clear.	
Aug 5 2008 	K West really cra*	I was deeply disappointed by the entire experience which we were really looking forward to, as part of our anniversary weekendThe initial impression was not impressive, the front of the hotel was covered in scaffolding – refurbishment work that I feel I should have been warned about when I ran reception to confirm our room, or even when I booked the room in the first place. The room itself was entirely characterless and whilst I couldn’t argue with the ‘spaciousness’ claimed for it, it wasn’t particularly ‘soothing’ or inspiring. And the ‘courtesy Aveda toiletries’ were so scant to hardly merit mention. And when I phoned to ask the reception if I could have a feather pillow my request was met with an abrupt and unaccommodating ‘no’. I feel that £150 is rather a lot to pay for a single night in what felt like little more than Travelodge-style accommodation. I’m not sure whether all rooms are like this or whether we were unlucky in the room we were put in. I regularly travel with work and am used to much higher standards. The rate didn’t include breakfast, or a welcome drink Or even a welcome smile from reception!	
Jul 31 2008 	Nice clean hotel trying too hard to be trendy	I stayed in K-West while travelling on business, the hotel is trying too hard to be trendy, the corridors are dark and have a futuristic colour theme with random screens on the way playing BBC24.The room itself was decent size single room, the bed was slightly larger than single (Probably queen size), the bed is very comfortable, except for the silly oversized display pillow, I only ended up using one of the two pillows provided.I was surprised to read that some reviews mention that there wasn't any toiletries, I was glad to find the usual shampoo/body wash.The rate quoted to me by the hotel was £150 + VAT per night, when I checked laterooms.com I found the rate offered was £115 inc. VAT but they do know how to trim the service to get to that rate, at that rate the breakfast was optional £15 for Continental and £20 for full English (No big loss, there are plenty of cafes on shepherds bush green) no Gym access (£10 charge per day) mini-bar was not stocked, although they did take £200 deposit for &quot;incidentals&quot; Internet access is expensive so I didn't bother using it, although there is free access in the &quot;lounge&quot; but I have never tried that.Going by the name my expectations was high, the standards achieved were on par with my expectations but the trimming of the service was disappointing.I would stay there again, it was clean, quiet and air conditioned.	
Jul 22 2008 	Basil Fawlty customer service	This is quite a trendy hotel with nice decor and lovely rooms, all ruined by inexperienced staff.i've stayed here four times with work and each time have left so frustrated by mistakes by staff and their complete incompetence. Its like they all landed here for the day from a planet with no hotels, they quite literally haven't a clue what they're doing. First time they insisted on taking my credit card when I checked in even though my work was paying, they said it was for security and they wouldn't take any money off, stupidly I gave it to them and over £1000 was taken off, all my colleagues rooms were charged to my card. Another time we were having a meeting in our suite and a bellboy knocked on the door (even though the Do no disturb sign was on) looking for a trolley we had borrowed and when I told him I would bring it up when we were finished as we were in the middle of a meeting, he insisted he come in and get it now and I had an argument with him at the door but still he demanded to come in and get it. Unbelievably rude and I've never encountered anything like it.This could be a good hotel if they could find good staff, I'm sure they're not all bad, maybe I've been unlucky and only encountered the ones they hired from Faulty Towers. Its almost funny how bad they are.....	
Jul 15 2008 	Rock 	I stayed at this hotel for 6 days on a business trip to London and I was mildly surprised at my stay there. The hip decor, sleek lobby and happening bar overshadowed the fact that it's in Shepherds Bush... an area that isn't all that exciting. It's mainly residential but the nearby park (Shepherds Bush Green) was nice for a relaxing stroll. Unfortunately, the hotel is covered with scaffolding and the Shepherds Bush tube station is under construction also. Which meant that you had to walk 15 minutes to one of the various other tube stations around. However, the service was solid, the food was serviceable and the room was a good value. I think that the best aspect of the stay is the bar scene. You will find that many rock bands tend to stay at this hotel and it brings a (one might say) lively crowd to the bar... which is open 24 hours. It's not lux but if you want to stay at a relatively inexpensive room in London and feel like a rock star, this is your place!	
Jun 30 2008 	Nice room shame about the noise and the service charge	On arrival, the friendly receptionist informed me that I'd been upgraded to a superior room. I am very glad I didn't get put in an ordinary room, but was right at the far end of a corridor. The bathroom was very nice with a powerful shower and lovely toiletries.When I purchased two beers in the bar, actually walking up and ordering them myself, I was charged 12% service, for the privilege of the barman bending down and handing me two bottles. I felt this was rather a rip off.The noise through the night was terrible, there was little sound proofing, or effort by other guests to keep quiet. Doors slammed in the corridor every few minutes throughout the entire night, and even though I was at the far end of the corridor I was kept awake. It must have been much worse for those situated in the central area. At 4.30 a.m. the person in the room next door started a phone conversation with America and woke me up. I am not a light sleeper and usually it takes an awful lot to wake me up, so you can imagine how noisy this man was. At first I thought he was speaking loudly in the corridor but realised he was actually next door. There is no way that anyone can have any real privacy when the walls are that thin.Room service was fast, though the food was a little tasteless. The chips were the best thing.Be warned if looking at the map on the hotel website showing the route from the tube station to the hotel. Holland Park tube station is about a 25 minute walk or five pound taxi journey. Until Shepherd's Bush tube station reopens, travelling to this hotel via tube is not an easy option.	
Jun 23 2008 	Nice hotel shame about the service	You spend all that money making a place look great and then waste it on the customer service!We stayed here for one night, largely as we could get a spa plus room deal. The room was the highlight of the stay. While not well thought out in design (not a lot of hotels work this out though) it was well equipped (except a vending machine in the corridor instead of a mini bar).However that's where it stopped. Customer service was appalling. They lost the spa booking (although the manager worked hard to save us asking for a full refund), bar service was unfriendly and we appeared to be doing the breakfast staff a favour by actually eating there.The photos on the site make it look larger than it is which is credit to their photographers skill but makes you disappointed when you do walk in. If only the manager took the time to invest in the staff then this place would be fantastic. What a shame!	
Jun 16 2008 	kwest - tops	Our experience in this hotel was fantastic. My husband and I stopped for 4 nights. We were upgraded on arrival at no extra charge and without us askin. We were not expecting much and we were amazed at what we got for our money. Breakfast was even included. Reception staff, often the first line of defence with alot of moaning guests were excellent, especially Sumaya (sorry if we have spelt that wrong) she was very helpful and made are stay extra special and the band (the Mission) that we came to see topped it off a treat	
Jun 13 2008 	Wouldn't stay here again	Far too many inconsistencies at this hotel. Bathrooms look lovely in the photos but need work as the tubs had mould. I was told only some rooms had bathrobes. For room service not all items were available (during dinner hour) front staff each had a different story.Housekeeping did a great job as the room and main areas were always clean.The only reason I noticed inconsistencies was due to the fact that I stayed here with a colleague and despite the same booking (room type/rate etc) we had different services and when asking the same questions had totally different answers.	
Jun 12 2008 	The Best	Just literally came back last night and in all honestly, the hotel is better than I remembered. Stayed here last in 2002, and a major refurbishment has taken place. Was a little learly when I read the recent reviews, but the negative reviews are unfounded. We upgraded to a Executive Super-king, garden side, quiet, non-smoking room, and it was roomy and clean. Everything in the room worked, and the bed was changed every two days, as well as the towels. Keep in mind that when you are at home, you don't change your linen everyday, so why do you need this when you're on vacation. The promo of 30 pounds upgrade per night was great. Renee Piggott, the Reservations Manager went above and beyond the call of duty. She worked with me regarding the upgrade, and no hidden fees were added. We need a cab twice during our stay, and we asked for a metered black cab with no problems. The desk staff was very professional and very friendly as well. No complaints whatsoever. Would stay again in a heartbeat. I'm very picky when it comes to hotels, and the K west has met my needs again.	
May 15 2008 	Top Class!!	Every part of my stay in this hotel was incredible! Every single member of staff was friendly and helpful, the rooms were spotlessly clean, and the facilities were second to none!The gym caters for all with top of the range machines, and the jacuzzi, steam rooms, and sauna were all superb.K-West has it all, and is an ideal place for a night's getaway!	
May 1 2008 	Just don't!!	I don't even know where to start. This hotel was a massive diappointment. I'm not one of life's complainers but this hotel has really set me off on one!We were down in London for one night visiting friends, and this seemed like the prefereable option to kipping in our mate's lounge. We should have just taken the sofa and saved ourselves a lot of bother and money.The room was in the basement and it would seem they need sturdy water pumps to drain away water from sinks, loos etc.. After being asleep for only 2 hours we were woken by the pumps and every time someone on the same floor flushed the loo or ran the tap it went off again - sufficed to say we only managed 4 hours sleep tops.The irony was that come the morning, when we wanted showers to refresh ourselves after the worst nights sleep ever, the pump didn't seem to work too well at actually draining water. I had to stop the shower 4 times to allow the tray to drain or it was going to flood the bathroom. A 5 minute shower became a 25 minute shower.There were several plug sockets in the room, but only one worked, and obviously it was the one nowhere near a mirror!!The room was tiny and the bed was hard. The bathroom was clean but in tatty condition. The real icing on the cake was how little the receptionist cared when we presented her with our list of complaints. She basically accused us of making stuff up and then calmly asked for a credit card - a well rehearsed routine I fear. This place clearly gets by on location alone. Oh, and a very &quot;creative&quot; website which gives away nothing of the horrors that await you.	
Apr 19 2008 	Good. If You Need to Be in That Part of London	I chose the K-West because I was seeing a show at Shepherd's Bush Empire. It's only an 8-10 minute walk from the venue to the hotel, which is quite convenient post-concert. I would stay there again for the same reason.CommentsBed was comfortableRoom was cleanService was pleasant and responsiveExpensive non-metered taxi called by the hotelGarbage pick-up noise early in the morningNo shower cap or other standard toiletries. A disposable razor from the front-desk cost me £3. I will treasure it forever.Internet service in the room was £20/24 hours.Chicken dumplings with teriyaki sauce at the bar are incredibly salty. Don't bother.The continental breakfast for £10.50 looked paltry. There are nice bakeries and coffee shops on Shepherd's Bush Common. I went there instead.	
Apr 18 2008 	Agree overrated and overpriced	Agree fully with some of the previous who stayed here. I stayed there recently after recommendation and the web site does not tell half the truth. Here's my shortlist to make it easy for y'all:Pro's:+ nice bar+ the open area with internet access+ the small semi-dodgy Shepherd's Bush shopping mall is close, so you could eat/drink there if on a budget.Con's:- rooms outdated, refurb needed soon- rooms could be cleaner, carpet did not feel clean- a lot of rooms still have old TV-sets, no flat screens- staff does not speak English very well (it's a London thing, indeed), you'd get by a lot better speaking Russian or Polish- internet access in rooms is overpriced- too expensive (yes, they work of 'Rate Of the Day'-principle, but in general they are too expensive for what you get)- location not really good. trains pass by near the hotel (noise) and you are as far as you can be from three different tube stations, so either a bit of a walk or taxi all the time.	
Mar 25 2008 	Average	Nice comfortable rooms but nothing which really stood out. Friendly staff and a lively bar. Very noisy at night and no apology offered at check out. Lovely big bed, PS2 and nice flat screen TV. We were given an incorrect bill for check out but this was quickly rectified. VERY expensive breakfast if you wanted room service and rates in the directory seemed to be different to what we were told on reception. We didn't have breakfast in the end. Mini bars in corridors very strange as you have to leave your room to use them and then they only have a very small selection of food available in strange combinations so that you cannot just have a drink! It was nice but I found it slightly disappointing and the website misleading.	
Mar 25 2008 	Loved the KWEST!	The K WEST has changed or some old reviews are off the mark.I found the staff extremely friendly and helpful. The manager Renee went above and beyond my expectations. My executive room was huge, spotless and had a comfortable king bed. The cleaning staff was excellent. Even room service food is good. Location was great for me and less than 5 minute walk to the tube. I have booked the KWEST for my next London trip! This is a young and hip hotel. If you are old and hate fun, stay somewhere else!	
Mar 14 2008 	Not as amazing as you would expect	Have stayed here a couple of times in the past month and have found it to be a bit of a disappointment. Staff can be great but also surly and difficult at times. Beds are comfortable and rooms are a decent size but those by the train line or main road are often noisy. Bathrooms are nice enough but a few essentials that you would expect for this amount of money are missing (such as shower cap, vanity set and moisturiser)I find I stay here more out of convenience than choice...	
Mar 12 2008 	Nice stay at K-west	K-West Boutique Hotel in London / UKVery trendy and nice hotel with a spa wich is not a bad thing in poluted London! Good hotel and very modern desing of the loby and the room. It is a good value for the money but I think that they have stil a lot to improve about the service ! we've got some friends calling us and theirs mesg. where lost- can not understand how &amp; why ? Good location when the tube station is working- we have staied end of February for 8 nights and found out that the Tube station -Shephardbush- entered in works so was closed up to June !- otherwise is a litlle off but taking in consideration that Holland Park is so close 7minutes walk, was not so bad ! Notting Hill is close so is adding value.If you are looking for an area quite and not bustlling there it is !Carol from Jerusalem	
Mar 2 2008 	Noisy Noisy	We would not normally stay here in London but it was convenient for a family party.We decided to treat ourselves and stayed in one of the top of the range suites.First mistake as the two adjacent suites had all night parties that seemed to start at 4 in the morning.In addition the room smelt of stale smoke and when the air conditioning went on a greasey cooking smell came in.The decor may be classed as hip but I like a door to my bathroom and its already showing signs of wear.The staff are very mixed with some good, some rude and some untrained.Not an experience we intend to repeat.	
Feb 27 2008 	Watch the cabs!	I stayed in the K-West with my friend, on February 21st, after booking the Girly Night Package, which included a manicure or pedicure each, a goodie bag full of a girls best friend, CHOCOLATE! complete with some chocolate covered strawberries and a glass of champagne while we received our beauty treatments. Everything great except for cab driver, who my friend says overcharged us, she lives just outside London and has used cabs frequently before. Almost £30 from the Hotel to the near the Prince of Wales. We got a cab back for £18. This cab was called by the hotel, which was a hackney cab, so no meter, not a taxi or black cab as requested, but we didn't have time to argue as we were going to show. I feel we were ripped off especially considering he told us when we handed him £30 he had no change, the fare was £25. My friend said to give whatever change he had so I received the princely sum of £2.50. Normally I tip but I like to do this voluntarily not forcibly. After reading another persons review of the way they were ripped off by a cab from the same hotel at around the same time I think the hotel should review the provider of this service and perhaps employ a new one as this reflects badly on the hotel.One other negative, the spa is tiny and does not have a pool but the staff, especially Charlotte were very friendly. I would recommend the package but do not order a cab from reception, use directory enquires and then call from your mobile!	
Feb 21 2008 	Not Even Close To A 4-Star Hotel	I was booked at the K West through Hotwire after buying a 4-star hotel in the Kensington area of London. This is not a 4-star property. Not even close. The website makes it look hip, which it may be in the lobby, but the rooms are dumpy. Our sink wouldn't drain, and still wasn't fixed after our complaints. The room we had was not particularly clean either. We stay at a lot of hotels and are relatively easy to please, but this place is just not worth the price, even in overpriced London. And I have never written a bad review of a hotel ever.Another caveat, the closest Underground station is closed for renovations. Walking to the next closest, 10 minutes away, is not bad, but be warned that this is the case. Buses are nearby and work well.I think the worst part of the stay was the cab ride out that the hotel arranged. We had two stops, one to the Eurostar train station and the other to Paddington station to transfer to Heathrow. We asked to go to Paddington first, but the cab driver took us to Eurostar first instead. That was not so bad, but I heard later from my boyfriend that the cab driver almost insisted he drive him to Heathrow for 30 extra euro, and that he wasn't going to Paddington. My boyriend threw a fit and should have reported him, but just beware. It would not have been safe for a woman alone, and the hotel should NOT be calling cab drivers like this or their guests.	
Feb 11 2008 	Great location	Regularly stay here on business as it is very close to Olympia, Excellent large rooms, great food, reception staff are very slow though!	
Feb 9 2008 	I had a good experience	I'll give a good summary of what this hotel is about...First, be aware of the excessively bad one-star reviews, as these seem to happen in most hotels on this site and usually are isolated experiences.This hotel offers a very specific product: A true 4-star facility in a very well designed &quot;cool-urban-contemporary-boutique&quot; (you know what I mean) type of place. Most importantly, it is cheaper than the typical 4-star hotel in Central London, because it is just off the edge of a very nice area as opposed to in it.If what you read above suits your taste, I recommend staying at this hotel. The drawback for some is that its precise location is kind of an ethnic working class area, but you are a very short walk away from the Underground and the upscale Notting Hill shopping streets. I actually enjoyed experiencing a bit of the middle-class London scene as I walked to/from Shepherd's Bush Station.	
Jan 31 2008 	The customer is always right but not at the K West!	I arriverd at the hotel and the rrom was not ready on time. The porter stood about then walked off for twenty minutes so we were stuck in the lobby with our suitcases. Later in the evening i arrived back at the hotel and the porter was stood at the door to open it for you. This didn't happen he just looked at my girlfriend and I.They will not change your bed everyday (first hotel i have found with this policy).When i checked in i had to make a payment on top of the fee for the room. This was to cover any additional expensices that may be put on the room bill (£50 per day). I was told by reception that this would be put straight back into my account on checked out. 7 days later i still have the the room charge and additaion charge frozen from my account, evan though the bill was settled when i left. I spoke to the manager of the K West and got a response - &quot;I have nothing to do with your personal finance and its the bank who are holding your money (Not true). The hotel is overpriced and over rated, London has much better to offer.	
Jan 19 2008 	A cool hotel but with some problems	Booked through Hotwire so didn't know where I was staying until I commited payment.Was a little further from central London than i would have preferred but the room was very comfortable and the hotel is obviously a fashionable place for local BBC types who work nearby. (Paul Weller was there in the bar the last night I was there!)However, wi-fi costs £10 a day in your room but is free in the lounge area - why? And the second day I paid for never worked, but hey did refund that.Also there was a problem with hot water, especially in the morning when everyone else is using it. Had to get someone in to fix it eventually.A good hotel but I've stayed in better in London that are cheaper	
Dec 29 2007 	Do not stay here!	Do NOT stay here. My boyfriend and I stayed here because we thought it was a sleek, modern hotel and the rooms looked nice. However, we had some major problems here that pretty much ruined our trip.The customer service is horrible and I can tell you that you will not be satisfied here. If you have the slightest problem or need any sort of accomodation, forget about it here. They will not take care of you. These are the reasons you should NOT stay here:1. They were to call us a cab in the morning and it was never called and we almost missed our plane. We finally got one after standing in the freezing cold at 5 am after 30 minutes. 2. They held $400 USD (200 GBP) for 7 days WITHOUT TELLING US and because the hotel was $250 USD, I went over my daily withdrawal limit and could not access my money when I continued traveling.3. The hotel staff(especially the management) is horrible and very unaccommodating. The management was very rude when we returned to tell her about our stay and the inconvenience and even laughed at us when we felt that we should be accommodated for our travel experience being affected. Trust me. Do NOT stay here.	
Dec 12 2007	Good location next to the Tube station	We were not too impressed when we arrived there having booked a twin non smoking room, and they tried to fob us off with a smoking room, but eventually after we complained they gave us a non smoking room. My parents were both upgraded free of charge, but their room was not as nice as ours. The rooms were quiet, but were very small and not very cosy. The hallways in the hotel were very dark and not very welcoming.I went to this hotel with my parents and sister for a night in London. We found that the hotel was in a good location for transport to the rest of the city, it was right next to the Shepherd’s Bush Tube Station.We found that the breakfast was excellent with a good choice, but we didn’t stop for the evening meal there as we were going to the theatre to see the Sound Of Music. Overall, we would say that this place was great for music fans, and for people like us who wanted somewhere to stay with a carpark, but I’m sure there are some much nice hotels that are better value for money. If anyone wants to ask me a question just leave me a message and I’ll get back to you :)	
Nov 18 2007 	Lousy stay	Firstly, my room was a shoebox, but that is to be expected sometimes in this expensive city. Checking in was not a problem, but everything after that was. Where do I start? Out of the 3 lamps in the room, 2 had burnt out bulbs. Just call the Front Desk you say? Well, they never seem to answer the phone here. I decided to shower- I turned on the water and immediately scalding hot water was spraying out and it was nearly impossible to turn it off. Seems that there was no cold water pressure. Once I finally got it to a less-than-boiling temperature, I showered; however, between the half shower door (why do they do this over here?) and the bad seal at the bottom, my bathroom was flooded. The heat doesn't work, either (again, good luck reaching the Front Desk; fortunately, being a small room, the hair dryer helps). Between all that, the noisy slamming hallway doors, no furniture in the room (besides the bed and a desk chair) and the inability to get service will make me stay elsewhere when I am back in London.	
Nov 11 2007 	K Worst	My husband stays at K West often and while he's had problems before, this was the worst experience yet. First, he checked in on Oct. 31 and there was a problem with check in for one of the rooms which was embarrasing as my husband is a Tour Manager an this made him look bad in front of his client. Secondly, while there in person checking out on Nov. 1 he arranged for my early check in on November 3rd and had specific instructions regarding parking etc. that had been pre arranged by our travel agent and confirmed in person by him on Nov 1. I arrived the morning on Nov 3 tired from my overnight flight from the U.S. and had one of the worst hotel experiences ever..my room wasn't ready, they had no indication that the six rooms we had reserved (my husband and his party would be arriving later that evening) were together so they had trouble routing the billing and seemed annoyed at my request. I asked about the parking to re-confirm the arrangements he had made before, they knew nothing of it and indicated that it would be a problem. This really got me upset has he would be coming in late at night in a van full of expensive music equipment and we were assurred that there was secure parking. Finally the check in agent, Sveltana, got a manager Mina, who introduced herself as the Deputy duty manager. Mina was very nice and apologised for the agent who she said was new, etc. She assured me the parking was okay and that my room would be ready soon. She took me over to the bar and bought me coffee. She promised to bring me her card and come back to check on me. I never saw her again for the next two days. After I had been there about an hour or so, I decided to go up to the front desk again and check on my room. Marquez, seemed annoyed but checked and said it would be 10 minutes and he would get me. After about 30 minutes, I went back up and he said my room was ready, cleary I had been forgotten about. I then wanted to ensure that the rooms for the rest of my party checking in later where as we requested. Every question was met with annoyance. The room was okay but not what you'd expect for the money.The next morning at breakfast, they literally treated me like a child. I went upstairs and asked for a table for one. They asked my room number which I provided and then I said, however, I'd like to settle this bill separately. She then explained that it cost 15 GBP and I said that's fine and she tried to get me to go downstairs to the less expensive continental breakfast. I mean, what, did I look like I couldn't afford the 15 pounds?  We ordered room service one night which was fine, but the morning of check out I went downstairs to pay for the room service charge separately and we discovered several incorrect room service charges that add been added to our bill. This took awhile but they finally sorted it out.Things should just not be this difficult, every single thing you ask the staff feels like you are just overburdening them.I would not recommend this hotel unless you have a lot of patience and have the time to go through your bill with a fine tooth comb.	
Nov 7 2007 	Fabulous stay in a cool hotel...	After reading mixed reviews by people on here I wasn't sure what the hotel was going to be like.I'd known about the hotel for a while and thought it looked like a cool place to stay and I have to say I wasn't let down.My housemate and I are teachers, so during our half term break we wanted a relaxing stay with some spa treatments. Now most spa treatments in London (we did some research) cost anything from £50 to £90 and more in some cases.The package we chose was the weekday wind down and we were staying for for 2 days which entitled us to 2 treatments... cool!!! We decided before we got there to upgrade to an executive room which made each night cost us about £125 a night each. Seems a lot but when you think that it includes the treatments it was good value.We thought about going to The Sanctuary, but once you have done with your treatments you have to go out into the city... not relaxing at all...Anyway, the hotel is close the Shepherd's Bush tube station and the hotel is no more than 10 mins walk from there.We arrived about 1hr 30 mins too early to check in, but the staff just moved us into a room which was ready so we could go up :o) All great...I've put some pics of our room on. We thought the room was great and was glad we'd upgraded. We were able to control the temperature of our room which I thought was a great feature!After checking out our room we went to the gym for about 1 hr which is quite small but has plenty of stuff there and all equipment had it's own tv and place to put headphones.We then went to the steam and sauna room which was really relaxing. After this we rounded it off with a jacuzzi soak hmmmm :o)We had our 2 treatments arranged for 4pm, 1hr 30 min massage and dry floatation and mud wrap... The women doing the treatments were lovely and extremely professional with a setting which was exactly what we were looking for. The great thing was we just put on our robes, collected our stuff and went up to our room, ordered room service and watched a movie :o)Next day we had breakfast, a great choice of food which I thought was filling, didn't need to eat for the res of the day!Went shopping on Oxford street and came back, used the free internet access in the lobby area and had another session in the gym and jacuzzi.That evening we went out to a few bars and ended up back at the hotel which was buzzing with people. There had been a Mark Ronson and Chemical Brothers gig and this was a kind of after party. Ater charging a few drinks to the room and feeling that we were the only ones staying there we went to bed at 4am!!! What was great was that there was a bouncer/doorman there and he made sure there was no one causing trouble or falling asleep in the bar. Lots of industry types were there, EMI, BBC etc, but we had a great time chatting to them all.The next day we checked out which was no troubel as my friend and I had to sort out the bill in different amounts.I'd recommend this hotel on many different levels, for it's proximity to London, coollness and relaxation. The rooms were very quiet and there was no trouble at all with anything. Staff were extremely friendly, saying hello as you walked down the corridor ans being extremely accomodating. The treatments were a dream and will definitely stay there again, already planning a second trip this xmas :o)Hope I haven't blathered on and you find this useful :o)	
Nov 6 2007	Bad servicenoisy roompoor breakfast	The room was extremely noisy because of a boiler next to the room.Thw breakfast was very poor ,we had to beck for a little more because there was no buffet.And the worst happened at check out.The receptionist wanted to bill my credit card because they claimed I used the internet.I then complained and did not charge me	
Nov 5 2007	Appalling customer service Harassed by staff member of the spa	Atrocious Customer Service.Harassed by staff member at the spa for treatments that had already been paid for.Made to wait over 30min when checking out whilst they check the room (in case we had stolen anything) and they were aware that we had a cab waiting outside.Spent over £1000 at the hotel and would have expected a better service.Overall we felt we were treated like criminals.NOT RECOMMENDED!!	
Oct 31 2007 	Nice and comfy	We stayed here after seeing a concert at Shepherds Bush and found the hotel to be pretty cool. The area is a bit dodgy and I don't think I would have been too comfortable walking from the main bit of town around the back streets to the hotel on my own.The foyer was nice and we did not have to wait too long to get checked in. They knew we were on honeymoon and so sent up some bubbly for us.The room was ok size, v.comfy bed and bathroom was ok, and the decor seemed quite uber-cool.We didn't use the bar or other amenities so cannot comment.May stay here again if over that way!	
Oct 29 2007 	Good Hotel... Horrible Location	I was there for my honeymoon for 4 nights, the food was great, the room was OK, I was pretty amazed of the size at first, but I would really trade space for another location. The closest underground station was &quot;Sheperd's Bush&quot;... but after that you had to walk though a strange street, well really this walk was not that long but it trully felt like walking from Miami to Seattle it was really creepy. If you are someone who does not mind a bit of insecurity feeling, or if you are a person who does not get up if the fire alarm goes off for nothing... Stay at this hotel. Really its not that bad the location is the only bad thing... overall ok....But what really is outstanding is the Club Sandwich... Service is really good, people are very friendly... but dont arrive there before check in... they will just check you in and leave you hanging @ the bar because there are no chair in the lobby	
Oct 29 2007 	Weird experience	This isn't a terrible hotel, but I honestly did not have the experience I had hoped. Booking and upgrading was fine, but check in was an horrendous ordeal. Tired from the journey and HOT in the hotel lobby, it took the best part of half an hour while the receptionist dealt with the fact that I'd brought a different card to check in with from the one I booked with. While she processed this obviously painful fact, she was left reeling when I told her I'd be paying for two rooms on the offending card (OH THE HORROR). Come on, surely this isn't the first time this has happened? Where's your procedure, K West! I also resented having to pay £100 per room deposit in case I damage their state of the art audio visual systems in the room. That is OUTRAGEOUS. I've stayed in hotels all over the world and not once have I been asked to pay because the hotel has some smart kit! Well, aware of the deposit, I checked that the a/v stuff in the room was working and it wasn't. No instructions in the room and pretty useless info in the hotel guest folder in the room - mainly info relating to their products and services (food and spa). As useful as the proverbial chocolate fireguard. So had to phone down and get the maintenance person to go through the set up procedure on the phone with me. And even then the MP3 connectivity (what's wrong with supplying a proper dock?) failed to work. The room was clean, large and a bit bland. I agree with a previous reviewer, the toiletries although AVEDA were really pathetic (a shampoo and a body wash). No conditioner, no moisturiser and annoyingly, no bloody showercap. But strangely, about a 100 million blooming towels!! Less towels, K West, more toiletries...The bar was so expensive I nearly fell off my bar stool when I was handed a bill for over £15 for two small glasses of (rather bog-standard) Sauvignon Blanc. The restaurant was cheap by comparison. The service was rather less than attentive, something which was evidenced again at breakfast. The overall feeling I was left with was that the place is run for the convenience of the staff rather than the guests. While staff were friendly, they were all without exception peculiarly detached and indifferent. So weird is it that I wondered later if the staff were being drugged through the hotel's airvents!! It's a bit like being catered to by the Borg, from Star Trek. If you've money to burn and need a place to stay in London, go and see for yourself.	
