	excellent	very attentive staff and lovely hotel. upgraded to a suite which was very luxurious. breakfast great with a good choice of hot &amp; cold.	
Sep 1 2009 	beautifull hotel small room!	We stopped for one night and the service was excellent, the hotel was beautifull and plush and always smelt like flowers ( i think they pumped air freshener through air con)its recently be renovated and you can tell as everything is brand new and spotless, the security is very good, if you want to get to the bedrooms via lift or stairs you need to have room key to activate.The area is lovely its very close to the attractions and the theatre but in a very safe neighbourhood.The buffet breakfast is a real treat and well stocked, the restaurant is great and the staff are very friendly.The only thing I didnt like about the whole hotel was the smallness of the room for the price but it is London and it did have the benifit of air con so I maybe being picky lol!	
Aug 31 2009 	Fabulous stay!	From entering the hotel, to checking-out, the whole experience was FABULOUS! Recently renovated, contemporary in design and minimalstic in appearance, the hotel was spotlessly clean!The breakfast room was air conditioned and spacious. My bedroom was large, tastefully decorated, with plasma TV, iron board and iron. The bathroom was amazing!!The hotel staff are very pleasant, courteous and helpful.And.... its location is brilliant -close to Covent Garden.	
Aug 31 2009 	Great staff great location	Stayed recently for our aniversary. Staff are great and it is just near the Bristish Musem and Oxford street so a great place to base yourself when you are in the city.The hotel has been recently refurbished which makes a great difference	
Aug 30 2009 	Just a perfect weekend	We were orginally booked into a double but to our delight up graded free,the room was large clean and modern with all the usual things tea coffee etc, the bathroom was the same large clean and modern with bathrobes.The buffet breakfast was great all you can eat with a wide choice of food from fresh fruit ,pastries, cerals and bacon, eggs etc.All the staff were very polite, helpful and friendly.It made our weekend to see the Jersey Boys perfect,I would stay again no problem and would recomend this hotel to any one	
Aug 27 2009 	The most convenient comfortable and out of the way hotel you'll find in Central London	we stayed at the Radisson Edwardian for a long weekend and had the most comfortable nights sleep ever. In fact, it was so comfortable we just called the hotel to find out what the bed was! As courteous as ever, we got a reply in a day :)Anyway, the hotel is in a fantastic location that is within walking distance of virtually everything you'll want to do in central, central London and if you don't mind the walk you can get to Waterloo and Knightsbridge on foot.Super comfortable beds, courteous staff - maybe the only niggle is the rather average buffet breakfast.	
Aug 25 2009 	The best hotel for galleries museums and theatres in London	We had a fantastic stay at the Radisson Edwardian Bloomsbury Street. ALL the staff were extremely friendly and helpful. The complimentary anniversary sweet they gave us at dinner was a very nice touch and much appreciated. The room was lovely. Absolutely brilliant and, of course, the location was perfect for the theatre, galleries and the British Museum. 10 out of 10! We will DEFINITELY be back and have already recommended you to friends and family planning to go to London.	
Aug 25 2009 	great hotel	the hotel was beutifull, always smelling good, the service was excellent, i came here for medical reasons and was taken care of by staff including house manager...the location of the hotel is perfect, i was in a fragile state but the comfortness of the room exceeded my expectations... surely i recomend this hotel and the next time i come here for my surgery ill be staying here.	
Aug 24 2009 	Just right for London!	We arrived in a downpour and were treated like special guests. Our room showed up on the computer as not quite ready so the dear man at the front desk went to check it himself. When he returned in about two minutes, he said it was indeed ready and because of the inconvenience (all of five minutes, I kid you not), we were upgraded to a beautiful corner room-5 windows around a curved wall. The amenities were new, elegant, trendy, and comfortable. The heated towel bar dried our soaked clothes! The included breakfast was a great start to each active day.We were one minute from the British Museum which let us visit whenever we had the urge to see something we missed last time out. We were five minutes walk from the theater district where we saw Priscilla, Queen of the Desert--amazingly good--and very close to a tube station. We figured out the buses too and as there are stops just around the corner, everything in town was within easy reach.We will stay here again--no doubt.	
Aug 21 2009 	Good hotel for a theatre break	We spent one night at this hotel having been transferred from the Kenilworth ( sister hotel) which did not have room for us. The hotel reception staff at both hotels were efficient, helpful and pleasant. The hotel booking was made as part of a theatre break package and it was certainly very convenient for the Dominion theatre and also the British Museum. Breakfast was good, with varied choices available from fruit to cooked buffet.. Our room was a quiet and comfortable twin but rather small and dark although, as we did not spend much time in the room, this was not an issue. The quiet air conditioning was much appreciated. The only suggestion I would make would be to clear the rubbish, including black bags and wooden palettes that we could see from the small window that looked out onto the internal service area. The fact that this was at the head of fire escape stairs was concerning.	
Aug 17 2009 	Ok- very small beds!	Hotel is in a great location walking distance of Oxford st and the theatres. We had booked a double room and when we got to our room we were just shocked by the size of the bed, it was so small! We called reception and they said they didn't have any other rooms, so on our way out I spoke to a guy- can't remember his name but began with a V I think! He said he could move us 2 another hotel- which we didn't want, he said to go out and come back see him later, which we did... He took us to the new room which was a corner room with 2 single beds- we took this room as it was bigger and decided we would get a better sleep with our own beds- would of preferred a big bed but was told they were full! Other than that everything was good. Breakfast was nice and lots of choice, staff were friendly and hotel was very modern. Only 2 things that I would say is, there are no plugs near the mirrors for dryers and straightners, and the hair dryer in room you have 2 hold a button down the whole time you want to use it. Would recommend this hotel with these things in mind.	
Aug 13 2009 	Wouldn't hesitate to come back	This is the first time I have stayed at a Radisson Edwardian Hotel and I would definitely return. Having stayed at a number of Hilton hotels before with a view to being loyal to one particular chain, I had noticed an inconsistency in the quality of their hotels and the appalling maintenance and housekeeping of the rooms and grounds in a couple we stayed in recently in Scotland, so we decided to try somewhere different. The online booking process was straightforward and provided a good room rate. The reception staff were friendly and efficient. The hotel exterior and communal areas were very well maintained and appeared immaculately clean and orderly. The room was immaculate and the housekeeping staff were polite and friendly when we spoke to them. The room was in an almost perfect state of repair and the air conditioning was quiet and kept our room comfortable during our stay which was during warm weather. My only minor negative comments would be that the shaving mirror in the bathroom was loose and the large towel rail wasn't working (turned off due to warm weather perhaps?). The reception on the large plasma screen in the room was quite poor however holidays aren't about watching television so this was no problem although if I'd been staying there alone on business this might have been an issue. The room was luxurious and quiet and the bed was very comfortable - almost too comfortable. The ice/water dispenser in the corridor was a nice touch too. The breakfasts were of a high quality with a varied range of foods (buffet/continental/fruits/yoghurts etc.) and the serving and bar staff were courteous and efficient. I hope that these high standards are maintaned as the hotel matures as I realise that it was recently refurbished. I will definitely be choosing one of their hotels over any Hilton when I stay away and hope that the the standards of the other hotels in this range are consistent with those in Bloomsbury Street. The nearest tube station was Tottenham Court Road (5 mins walk) and there are a few restaurants and takeaways around the hotel. The hotel is a short walk to Oxford Street and Russell Square. I would recommend the King Deluxe Room which we upgraded to on arrival. It had his/hers sinks and a glass partitioned wetroom which was huge and had a deluge showerhead as well as a regular showerhead. I'll definitely be back if I get the chance.	
Aug 13 2009 	Great location but customer service lacking.	Great ambience at this hotel and ideal location for Covent Garden,Oxford Street and Theatreland.Unfortunately some elements of the stay were disappointing.1.A bedside light was not working and despite 2 promises to rectify it nothing was done.2.The promised vouchers were not received until I returned home3. I did not receive the morning paper(Telegraph) I ordered the night before.The reason given was none were available to the hotel that day!!!No alternative was offered.4.Despite lots of staff being on duty at breakfast attention to detail was missing eg no butter /jams/marmalade...no replenishment of milk/coffee unless one got up from table to ask.Ordering from the menu was also difficult with noone coming to take orders...had to leave table to order.5.Although this was a more expensive hotel(chosen as a special occasion)I've had far better quality/choice /service at breakfast at the Holiday Inn!!!6.Ice machine in corridor did not work.However room was nice and comfortable and the evening meal and service were good.	
Aug 12 2009 	Excellent Hospitality !	I just wanted to say what a lovely weekend we had at the Bloomsbury Street hotel. It was my 30th birthday and some friends had travelled from the Isle of Man to stop with me in London. The comfort of the hotel really did help to make it a very memorable couple of days. All the staff were extremely hospitable and the rooms were really comfortable. The fried breakfasts in the mornings were a perfect start to the day and we very much liked the fact you could go up for second helpings !What really was the best thing about the hotel though was the location. I did think it was going to be a little further away from the Covent Garden/Charing Cross Road area but it was literally a five minute walk from the heart of Covent Garden and Theatre Land. It really is pefectly situated and it benefits from just being slightly out of all the hub bub.And finally, we all loved the ice dispensers in the corridors !!We'll definitely all go back again.	
Aug 10 2009 	Don't be fooled by the refurb some of the rooms are tiny and dark.	I stayed in thus hotel a few years ago before the refurb and it was so bad I never came back. I only decided to try it again because of a recommendation from a friend. I wish I hadn't bothered. I was offered three rooms all supposed to be doubles. All of them were small and dark and and one had a window that opened out onto a roof section that was covered with cigarette butts. After almost half an hour I have ended up with a room that looks onto a building site. There is no chest of drawers to put anything in, the wardrobe is tiny the safe deposit box too high and awkward to get to and - my pet hate- I cannot sit down in front of a mirror to dry my hair. The mirror is a thin strip above the desk and the chair is too low to let you se yourself in it. Were any women involved in designing the rooms? The lobby and public areas are flash, but other than being a bit cleaner and recently decorated, the rooms are still not up to much. I've cancelled my room for tomorrow night. The staff did their best and were courteous despite me being unhappy.	
Aug 6 2009 	Good Price Fab Location Super Front of House Team	Location great, front desk very welcoming, excellent parking service, room small typical London - but had ever thing we needed and tastefully decorated. Breakfast buffet very good selection shame breakfast staff seemed a bit disorganised. Room service didn’t sort out our super hot room air didn’t appear to be working they fobbed us off, wish now I’d gone down to front desk to sort but it was 2:00am. We had an early evening meal in the restaurant okish but not wow, not everything available on the menu. Would stay at the hotel again definitely due to location and very helpful friendly front desk, parking service and concierge.Added bonus free wireless internet access	
Aug 5 2009 	Elegant Sophisticated yet affordable	Dear traveler, The newly renovated Radisson Edwardian Bloomsbury Hotel, formerly the Marlborough, is located close to Covent Garden, Oxford Street and the British Museum. A Perfect Location! The moment I stepped into the lobby, I knew that I had made the right choice in choosing the Bloomsbury Street Hotel. The staff was very accommodating and friendly. The lobby is very spacious and simply decorated yet very sophisticated and tasteful. I had booked a king deluxe room and was shown several rooms from which to choose. When I saw the rooms, I was impressed at the size of the rooms, but I was also impressed with the size of the bathrooms. Each room had a flat screen TV, a mini bar and complimentary high-speed wireless internet access. The hotel and the rooms are immaculate and well-looked after. I would definitely, without reservation, recommend this hotel to all my friends and colleagues. I can hardly wait to revisit London this spring and stay at the Bloomsbury Street Hotel.  Curt Mortenson Los Angeles, CA.	
Aug 5 2009 	Great hotel service and location.	Travelled from Sweden to London on vacation. We stayed four of us in two rooms. All areas including the rooms were modern and recently refurbished. The air-conditioning worked fine. The hotel staff was very professional and helpful. Free wireless internet was a definite plus. It was very easy to get to and from the hotel with its convenient location close the British Museum and Subway stations. Walking distance to anywhere in Soho.I can definitely recommend it.	
Aug 4 2009 	Excellent location good hotel	For years when in London I've stayed near Great Russel st., British Museum, Tottenham Court Road Undeground Station, Soho and Fitzrovia. This hotel is right there, and that is the main reason I chose it. The hotel itself is in good conditions. We checked in very early and by 10:30 AM we had been given a room that didn't quite fit our expectations (low floor, a big fan as a &quot;view&quot;) but took it, had a nap and a shower and were then allowed to change to a better one. Size is jut OK, I guess fine for a London hotel. The bathroom was very comfortable. The above mentioned change of rooms was the only contact we had with the staff. It is a quite unpersonal hotel, don't expect to be greeted or the door opened for you, but anyway everything seems to work OK. We didn't have breakfast there (quite expensive) but there are plenty of places round the corner, and a small coffee shop exactly across the street where you can have a decent breakfast. All in all, a good experience.	
Aug 4 2009 	Hi quality rooms in the heart of London	The Edwardian Bloomsbury hotel is completely renovated, the rooms are fresh, very clean, modern and especally the bathrooms design is superior for this kind of price level.The hotel is value for money plus top location. We have not tried the kitchen.	
Aug 3 2009	Very convenient location for theatres	On arriving my 18 year old daughter and I were upgraded by Kumar to a deluxe room with king size bed as no twin beds were available as pre-booked on-line. Kumar was very welcoming and mentioned a note about theatre tickets. ( I had asked the hotel if they could book theatre tickets, I received an e-mail reply in the affirmative about a fortnight later by which time I had purchased the required tickets on-line). Our room was on the 4th floor. A long passage led to a separate wardrobe and desk area beyond which was the bedroom and en-suite bathroom. The bed was very comfortable, the room extremely spacious. There were many windows, all of which opened easily and the room was light and airy, air conditioning was also an option. The decor was subtle and added to the quietness of the room. The bathroom was large with a long bath and modern shower heads. The two way switch at each end of the passage didn’t work. The safe was on the top shelf of a tall wardrobe, I am tall and found it cumbersome to access. The buffet breakfasts were fantastic: fresh fruit, nuts pastries, cooked items, one felt spoilt for choice. The breakfast room had a lovely buzz to it and felt warm and welcoming, the staff were very attentive. The hotel is very conveniently located to the West End theatres, all of which are an easy stroll away and to the British Museum. Tottenham Court Road tube station is a few minutes walk away. Wi-fi wasn’t working when we arrived, we were told we could use the cable connection at a charge. The next morning wi-fi still wasn’t working, we were told we could use the computers in the business centre, a very small room, and both computers were in use. I then asked if we could use the cable connection for free and was told we could do this whilst the wi-fi was down. When we came to check out we were charged for our cable connection time (one hour) whilst wi-fi was down. We were also charged for two bottles of water from the mini bar which we hadn’t taken. The person checking us out was cold and aloof and seemed disinclined to believe us, even asking us to name the person who had given us permission to use cable connection for free. (She didn’t dispute the non availability of wi-fi). Fortunately Kumar happened to be strolling by and quickly reversed these charges. It did leave a sour taste in the mouth.	
Aug 1 2009 	A smart comfortable hotel with great service	I travel to London regularly for both business and pleasure and I always try to stay in Radisson Edwardians so I have stayed in several of them now. After a multi million pound refurb, the Bloomsbury St hotel (formally the Marlborough) is now very smart, comfortable and tranquil. The furnishings and linen are sumptuous and everything is very clean indeed. An acid test for me is always whether a hotel feels clean enough for me to walk on the carpet with bare feet and I certainly can here. The staff are extremely efficient and very friendly both at reception, in the restaurant and housekeeping. Would stay here anytime with my family and have recommended it to business colloeagues. A special thank you to Mr Mehra for sorting out my room booking problem on my last visit!	
Jul 29 2009 	Fabulous Hotel!!!!!!	Spend 4-5 weeks in London a year and have stayed at every hotel possible. The &quot;new&quot; Bloomsbury Hotel is the best of the best. Newly refurbished with stunnning rooms. Great location and best staff I've encountered. Though all the Radisson hotels are generally superior, this is their crown jewel.... The siutes are the most glamourous rooms I've ever seen in London.	
Jul 29 2009 	another lovely couple of days in London	we visited London for the second time in a few months to see a show and stayed at the Radisson Edwardian Bloomsbury St, once again the reception staff were curtious and helpful, the room was immaculate, although a little noisey ,as this time we had a room at the front, the sirens of police/ambulances was constant, perhaps triple glazing would be better at the front of the hotel... breakfast was great, no wait and plenty of everything.The hotel is just right for theatreland, easy walking distance to theatres, restaurants, pubs and Covent Garden, which we visited before heading home, to stay in a luxurious hotel, makes for a pleasant stay in London.	
Jul 29 2009 	Ideal central location for theatreland	Hotel is not too large to be impersonal, staff are friendly and polite. Whilst some rooms can be described as cosy (Small) they are all clean, comfortable and stylish. Some rooms can be noisy if the window is opened onto the one busy street adjacent to the side of the hotel. Very wide range of food for breakfast with fresh cooked egg dishes.The location is perfect for the British Museum, about 200yards (230 metres) and has good access to many of the Theatres by foot. Loads of small restaurants about and public transport is easily accessed.	
Jul 29 2009 	Thank you for another lovely stay.	Another overnight stay at this great hotel while visiting my mum and brother. Checkin quick and soon settled into room before seeing family. I stayed in a deluxe room which was of a good size but I do agree with comments that rooms do differ as I have experienced this for my self but was moved to a larger room when asked....I assume that would not have been impossible if their hadn't been one available so perhaps my views of this hotel could have been different. But I have to say that all rooms I have stayed in have always been well maintained and beautifully clean. TV has a wide choice of channels with good signal and the choice of movies fantastic......never had such a wide choice.The staff I have always found extremely friendly and helpful and nothing seems to much trouble. The position of the hotel is fantastic and if you were sightseeing everything is on your doorstep......something that you should be willing to pay for and compared to most central london hotels I feel the Bloomsbury is good value for money.I have eaten in the resturant once and it was great. I always have my breakfast sent to my room and I cannot fault this......a little added luxury that makes you feel even more special and the gentleman greets me like a long lost friend which is lovely.My brother and mum move from Gower Street soon but I will continue to stay at the hotel when visiting London. As a solo woman traveller I like to feel safe and secure and that is how I feel at the Bloomsbury	
Jul 25 2009 	Great Great Great	This hotel is very nice one. Rooms are quite big, people very kind. It has a nice bar just behind (hopefully because no much pub or restaurant around). Internet is free of charge and breakfast are quite ok. No much to say : nice place to stay for business!	
Jul 24 2009 	Great Location	Stayed at Radisson Bloomsbury for 7 nights,outstanding location, staff fantastic, bar open till late, Internet free &amp; wickedly fast. 5 minute walk to Soho &amp; Covent Gardens. several restaurants within within 3 mins walk, Laundry across the road, Museum 200m up the road. highly recommended	
Jul 23 2009 	Excellent stay	Excellent stay, so clean and comfortable, all the staff were lovely and friendly, breakfast was delicious and so fresh, will definitely go back	
Jul 23 2009 	Lovely Hotel for !st Wedding Anniversary	Stayed here last weekend for our 1st Wedding Anniversay. The room was a fair size for London, clean and well priced. Breakfast was fantastic. Lots of varied choice but rather pricey at £17 per person. The location is superb and perfect for us. Literally a stones throw from the british museam. Can see it from the enterence of the hotel! Also about a three minute walk to Tottenham Court Road Station. Overall this was a great hotel. We are both in our 20's and would thoroughly reccomend this hotel to all and will be returning when we next stay in London.	
Jul 21 2009 	perfect location - nice hotel	I frequently stay in this hotel and choose it because of the the very good location as well as for London it has got quiet spacious rooms (not to be compared with US-standards). The staff is professional and friendly and after the renovation of the hotel last year you feel like home. I surely recommend this hotel.	
Jul 20 2009 	Fantastic Location	We stayed here to go to Take That Concert Breakfast was fantastic Room was really lovely but I did book a Double and we Ended up with a twin the hotel was fully booked so we had to stick with it, but saying that we have had an offer from them that we can not refuse I will certainly be going back ;-)	
Jul 19 2009 	A beautiful hotel in the heart of London with a friendly team	This beautiful hotel is set in the centre of London and a stones throw away from the Shaftesbury Theatre and Oxford street. The hotel team were extremely friendly and helpful through out our stay.The food in the hotel restaurant was stunning.	
Jul 16 2009 	Rooms Very Small	Stayed here for two nights with my daughter - location is very good especially for theatre. The hotel is very nicely designed - modern decor but we felt the rooms were very small - we both ended up with bruises on our legs from hitting on the bed - really cramped. On the second night we asked for a bigger room and paid and extra £34 - we were moved to a room with a double bed and a blow up bed. OVerall I think the hotel was okay but I wouldn't stay here again.	
Jul 16 2009 	This beautiful hotel is a stones throw from londons famous oxford street.	Having arrived at this hotel we were greeted very warmly with a special welcome from Kumar the hotels public relations manager, who could not have done enough for us. As is was our first wedding aniversary Kumar had arranged for chocolates and strawberrys for our room which was very beautifully decorated and modern with all the mod cons you would expect from a radisson hotel ie. plazma tv mini bar and in room internet access. The food in this hotel is amazing and well priced, if your not sure what to have try a combination of the cooked meat and seafood platter that arrives in a lovely wooden box. Breakfast was also amazing. This hotel is located five minutes from the main shopping district of London which is the famous oxford street and the hotel is also very near the london underground subway, which will get you anywhere in london high speed rapid. The only downfall with this hotel is that the bar closes way to early, try throwing an irish man out of a pub at one o clock in the morning it doesnt go down well. Well done to all the staff here that made our visit so magical.	
Jul 15 2009 	I could not have picked a better hotel	The reception / lounge area was refreshingly cool during a hot spell outside. Staff are well mannered and pleasant and attentive. The room that I was in was very comfortable and there is a hearty breakfast in the morning. I didn't eat in the restaurant simply because there is excellent choice within minutes to the hotel. Also Covent garden is less then 10 minutes walk.The only downside was the morning paper that I ordered didn't arrive, but I made do with a complimentary daily.	
Jul 14 2009 	Very Nice Hotel good location	Upon arrival we were greeted by very efficient and professional staff. The hotel looks new and the decor is tasteful and modern.The room we were assigned was on the second floor and was a decent size. The bed was comfortable, and even though the room had three windows, it was very well insulated from the street noise. The location of the hotel is convenient to the center of London. We had breakfast included in our rate, and it was GREAT. Very good service and excellent food selection. Overall we were very satisfied with our stay	
Jul 14 2009 	Good Days	Had a lovely time and would most definatly do it again soon.	
Jul 12 2009 	This place makes Fawlty Towers look 5 stars - beware!!!	I don't know where to start with this review as it is sooooo bad. Firstly I arrived on a Friday evening and there was a Salsa party full of underage drinkers happening in the lobby (very loudly) - there was no use complaining as some of the attendees were staff as they came and went from the room behind the reception desk.After struggling from the taxi with several bags - there is no porter service, so you need to manage your own luggage - 3 people stood behind reception whilst I struggled to manouvre through the revolving door with all my bags.The fitout is very nice, and recently refurbished in an elegant manner - so after seeing the public rooms I was looking forward to seeing my room. I was shown to a twin room on the 3rd floor - (room 3004) - it seriously was about 2 metres square - with the 2 beds and a wardrobe there was no room for our bags and 2 adults to be in the room at the same time. But very nicely fitted out. I called reception to ensure that this was a superior room as I had paid extra for a superior over the standard and was told it was and when I enquired if all the rooms were this size was assured they were.The next day the shower blocked and flooded the room. Maintenance were quick to respond and said it happened regularly and they would immediately fix and dry the carpet in my room. I left for the day at 10am. When I returned at 7pm - the carpet was still sodden and all they had done to dry the carpet was open the window. I complained and asked to be moved to another room as I was staying for a week. They argued for a while about not having other rooms and so I said I would check out then as I was not prepared to stay in a wet room - and miracously they found another room for me.My new room was on the 7th floor and was about 4 times the size of my previous room - so much for all rooms being the same size. The next day I told them my airconditioning wasn't working - the thermostat said 19 degrees so it would cut out after 1 or 2 minutes, when in fact it was about 28 degrees. After 3 maintenance guy visits they all said it was fine and they hadn't done anything. Finally the concierge Kumar came to help - and he was the ONLY person in the hotel who had any sense of service ethic. He got it fixed and did everything he could to try and improve my stay. If it wasn't for him I would have checked out at this stage.The list of complaints goes on so I will summarise:-tried to order room service from the menu in my room but was told they don't actually have the food on the menu (pizza etc) - just sandwiches. When I said 'whats the point of the menu then?', they didn't care.-asked for a taxi to be ordered to take me to a business meeting - took 40 minutes for them to understand the address, I even had to log onto google maps and print it for them and take it down to reception. (and this is supposedly an english speaking country!)-booked a meeting room in the function centre for 6 hours supposedly with tea, coffee and water - they didn't offer tea or coffee once during the 6 hours or even refill the water, there were no staff visible at all -after having a very nice muesli for breakfast on the first morning, I enquired for it on the next morning and they said they had run out - never appeared again for the rest of the week. Likewise the coffee making machine broke on the Monday and wasn't fixed again for the remainder of the week I was there.All in all a nice looking hotel - but the service levels are what you expect of a 3 star hotel - they have no idea of what 5 star service is, and given it was in excess of 250 pounds most nights certainly not what you pay for. I usually stay in the Charlotte Street hotel, and tried here for a change but it was a big mistake.Beware - if you are used to good service you will not like anything about his hotel - it is amatuer hour on every level.	
Jul 10 2009 	Great value in great location	i have stayed there twice this year and will stay again next time i am in london for leisure. the location is great, only a short walk from tottenham court road/ oxford street and covent garden/ leicester square - all of the rest can be easily reached by bus and tube.hotel and rooms are newly refurbished in a modern and trendy style. the first time i got upgraded without noticing it and got a spacious, quiet room. the second time the room was significantly smaller, but still not too bad for london standards and certainly large enough for a city hotel stay. the great thing about radisson is they offer free wifi service - a thing that most other hotel chains lag behind and makes their rates great value in comparison to other hotels where you have to pay extra for it.another plus: staff are very friendly and go out of their way to assist customers.	
Jul 7 2009 	A warm welcome and a very comfortable stay!	Having stayed in Radisson hotels in the USA, I was interested to see how a London hotel would compare. My wife and I were not disappointed! Our room was immaculately clean, comfortable and well provided with refreshments and entertainment facilities (including some late-night &quot;street theatre&quot; courtesy of the Met Police and an agressive scooter rider!). The air conditioning guaranteed a comfortable sleep on a very humid night. The hotel restaurant menu looked very impressive, if not a little pricey, but there are a number of good restaurants and bars within a few minutes' walk of the front door. For those reliant on public transport, the hotel is a very short walk from two London Underground stations and the area is well served by cabs and buses.A short walk also takes you right into the heart of Covent Garden and the British Museum is also very close by.	
Jul 5 2009 	An efficient and relaxing experience'	I travel to London on business at least once a month and often more and discovered this Radisson when it was th venue for a meeting I attended. Sine then, it has been substantially refurbished and it shws!I now stay there every time I come to London and I combine business and pleasure by staying tehre either before or after a business appointment. I have stayed in a veriety of rooms all of which have all been excelently appointed, some with great views of London with the starting point being the British Museum across the road. Significantly, weather permitting, it is a pleasant walk to Euston from the hotel and only round the corner from Oxford Street with easy access to shops and theatres.If I had a gripe it would be that room service could be better in terms of the food being kept hot but the staff do their best to help in this regard and are fast and efficient at delivering fod and drinks.I am always made welcome and staff on reception treat me s a regular customer and actualy appea to remember me rom last time! This is a luxury hotel wher I feel 'special' with staff ready to respond to any request fro service. I am always disappointed if I am unable to get a room there so I book early to avoid disappointment!	
Jun 30 2009 	Modern hotel in good location	Helpful and attentive staff; good location and impressive decor. Our room was a good size (king deluxe) and the bathroom was very modern &amp; had a great rainfall shower. It's central to oxford st &amp; the british museum. Just round the corner there's a great french restaurant &quot;Savoir Faire&quot; and the food is fantastic. It's a little quirky decor wise but great food and very competitively priced. Could not recommend it high enough.	
Jun 29 2009 	Top Class	Must be one of the best hotels in London for quality, service and value. Gotta agree with others who have raved about the place. Very nicely modernised, with every touch included. Asked for a quiet room and it was. Nice size, very comfortable, well away from the main roads, with great double glazing and soft carpets that dampened any noise from the hallway. I liked the simple touches that make a hotel that much better: not just free wireless, but a couple of machines availble for the general user. Ice/water dispensers at each floor. Fresh strawberries, raspberries, quality cream yoghurts at breakfast, etc. Can't praise the staff enough. They would do anything to make your stay a pleasant experience; from Mercedes at the check-in on arrival through to Gary the concierge helping with issues even after I left. Many thanks to you all.	
Jun 29 2009 	Oh yes this is more like it!!!	This hotel seems opulent and boutique-y when you enter, and you may think it's a bit too clinical looking because of the black marble foyer - but trust me, this place ROCKS! I was booked into this hotel as my original choice was unavailable and I am SOOO glad! The staff were brilliant - welcoming and professionally friendly. My room was compact without being poky, beautifully decorated, fresh and comfortable with an excellent bathroom. I had my breakfast delivered up to my room for a very reasonable charge - and when I left the next morning the helpful staff and the charming concierge gave me a map to find where my meeting was taking place, and directions for the quickest, safest route. Such warmth and helpfulness was a surprise, and I am very glad I was booked in there instead of my original choice! I want to go back!!!	
Jun 27 2009 	Beautifully and completely remodeled modern ideally located.	This is a very, very nice property that appears to be completely refurbished (not simply remodeled!) Our room was really perfect for our needs. The bathrooms, with their rain-style shower heads and marble or granite construction was definately a highlight. The British Museum is less than a block away. There is a small convenience store across the street. There is a bus stop 1/2 block away and the Tottenham Court Road subway station is about 2 blocks away. There are theaters within walking distance, a major YMCA health club, many restaurants, shopping, and other retail stores. The St. Pancras international rail station is nearby. If you are in London for business or pleasure, you really can't go wrong by staying here.	
Jun 27 2009 	cramped	room was very small, can get better hotels for the same price ..very avg	
Jun 27 2009 	One of the best london hotels I have stayed in.	Our fantastic experience at the Radisson began as soon as we arrived .After a very early flight from Belfast we were allowed our room from arrival at 1100 am. The staff were friendly , hotel was immaculate , room was very well appointed with superior views and an excellent bathroom.Right in the centre of all the theatres , an underground station a short walk away our only regret is not staying longer.Highly recommended we would certainly stay here again when visiting London.	
Jun 26 2009 	Excellent service at the Radisson Edwardian Bloomsbury	My stay at the Radisson Edwardian Bloomsbury Street hotel in London has been very plaisant due to the extraordinary friendliness, service and attention of the entire staff. The restaurant is excellent. The hotel is also situated in probably the most pleasant area of London, close to the British Museum, Russell Square, Bloomsbury square, and in walking distance of Covent Garden. This is a real winner for a plaisant and rewarding stay in London.	
Jun 26 2009 	Nice and modern hotel	Centrally located and modern. Good service. Food average.	
Jun 22 2009 	Luxury and service reliable and friendly	HiI like to try and stay here when i am in london. I am a lady and i travel on my own - this place is safe, friendly and cool.Rooms lovely and nice smellies - the bathrooms do not disappoint. Clean bedding and great room service.I arrived on a late sunday evening and needed to print some bits for an event the next day. The two chaps on reception were brilliant - they sorted it all out for me and I emailed them the docs and even thought the format was wrong - they sorted it all out for me and did me lots of copies.Breakfast coffee is great also and I got porridge on request.I will be staying again soon.L	
Jun 19 2009 	Felt like a Boutique Hotel......no sterile chains here!!!!	When you walk in it feels different from the normal chain hotels immediately. Very chique but not overly so. The bar area greats you and the check in staff and concierge were particularly helpful and polite.My room was one of the best I have stayed in and the room was enormous with lovely furnishings and wonderful bathroom......all you need PLUS a massive flatscreen TV!!!!!Down in the bar the staff were really attentive and the atmosphere relaxed.Didnt experience the restaurant but if it was like the rest of the experience it would be worth a visit	
Jun 19 2009 	Excellent service well located	I have used this hotel many times over several years which will tell you that I have a high regard for it and the service that I have consistently received. With the disruption of a major refurbishment now long passed, I can confirm that all concerned have sought not only to maintain service quality to the previous high levels but have managed to exceed them. I find the front-of-house reception always welcoming and helpful, without becoming overbearingly obsequious, while any query or request has without fail received the necessary attention.Rooms are spacious and well equipped (including air conditioning), with suitable sound-proofing to keep the traffic noise to a minimum.The hotel is ideally situated to allow walking access to the varied delights of Theatreland, Oxford Street, Covent Garden and Soho while the proximity (5 mins) of Tottenham Court Road station allows easy entry to the underground system.Finally, given the general excellence of service, I must nevertheless make special mention of Kumar, the Guest Relations Manager, and Aaron in the breakfast room, for their helpfulness and willingness to engage with guests, thereby setting an exceptional standard of customer care for their colleagues to match.	
